[00:00:00.009 --> 00:00:01.470]  The War on Corruption.
[02:23:55.208 --> 02:23:56.349]  That's GardenInACan.com.
[02:23:56.469 --> 02:23:56.949]  Or call 866-598-7396.
[02:23:56.969 --> 02:23:57.249]  866-598-7396.
[02:23:57.269 --> 02:23:59.090]  Before you slip into unconsciousness I
[02:24:16.481 --> 02:24:29.187]  Yeah, most of the Alpha Maggots that work for the New World Order work for the Soviets or the Nazis.
[02:24:30.108 --> 02:24:37.071]  And then their children are then the people running things now.
[02:24:37.331 --> 02:24:38.812]  But I knew that Soros
[02:24:40.430 --> 02:24:43.232]  Had some, uh, bad things going on in his background.
[02:24:43.792 --> 02:24:46.034]  Uh, go ahead and finish up with that story, Bob Chapman.
[02:24:47.295 --> 02:24:56.882]  Very despicable, because what he did was go to Jewish families and tell them, look, I'm Jewish and, and, uh, you know, I'll, I'll help you hide your stuff and get you out of the country and that sort of thing.
[02:24:57.622 --> 02:25:07.309]  And, uh, he found out where their wealth was and, you know, the next day they marched in with the Gestapo and took their wealth and then, you know, put them on a train and sent them someplace.
[02:25:08.231 --> 02:25:10.812]  And so, you know, this is the worst of the worst.
[02:25:11.632 --> 02:25:16.654]  It's just like Madoff and what he did to all the Jewish charities and etc, etc.
[02:25:17.254 --> 02:25:20.575]  I mean, it doesn't get any worse than that as a human being.
[02:25:20.956 --> 02:25:28.638]  And I just want to let people know, this arrogant, connected member of the Illuminati, where he's coming from.
[02:25:29.719 --> 02:25:33.400]  And it's not a very illustrious history, that's for sure.
[02:25:33.928 --> 02:25:36.992]  Yeah, I had seen that, but I'm glad you gave us more details.
[02:25:37.613 --> 02:25:42.799]  Well, you know about Albright, her dad is on record killing a million, and then stealing everybody's stuff.
[02:25:42.819 --> 02:25:44.321]  I mean, these people are sick!
[02:25:45.122 --> 02:25:53.051]  And then she was on 60 Minutes with all these million-dollar famous paintings behind her, stolen from famous families by the Soviets.
[02:25:54.062 --> 02:25:55.343]  They really want to do that here.
[02:25:55.383 --> 02:25:59.145]  I mean, look at how all the Trotskyites came over here and founded the neocon movement.
[02:25:59.185 --> 02:26:07.090]  I mean, it's so weird that every founding neocon was a Trotskyite who then decided they'd take over the conservative movement, and they've done it.
[02:26:07.390 --> 02:26:11.332]  Then you've got the left over here, and they're all controlled by a bunch of criminals, Bob!
[02:26:12.353 --> 02:26:12.993]  That's right.
[02:26:13.573 --> 02:26:17.215]  And it's always been that way, and that's what this whole bag is all about.
[02:26:18.116 --> 02:26:23.179]  This is a white-collar criminal element, if you may.
[02:26:23.874 --> 02:26:27.056]  And some of them before were not white collar, but they are now.
[02:26:27.436 --> 02:26:30.378]  And that, again, is their arrogance.
[02:26:30.418 --> 02:26:31.999]  They can get away with anything.
[02:26:32.359 --> 02:26:34.161]  I mean, look as an example.
[02:26:34.601 --> 02:26:41.465]  Yesterday, Carlisle Corporation was fined, I'll guess, $20 million.
[02:26:41.525 --> 02:26:43.206]  It's in this issue coming out tomorrow.
[02:26:43.867 --> 02:26:53.393]  And what they were doing in order to get funds from the state of New York to invest for the state of New York, they were paying people off.
[02:26:54.278 --> 02:27:02.320]  And they were doing it through intermediaries, hoping that if something happened and they get caught, the intermediaries would be blamed.
[02:27:02.360 --> 02:27:05.481]  And of course, they said they didn't know what they were doing, and of course they did.
[02:27:05.521 --> 02:27:08.302]  Well, Bob, I had a state senator on here.
[02:27:08.322 --> 02:27:09.803]  The bottom line is this.
[02:27:10.443 --> 02:27:13.264]  There's two sets of jurisprudence in America.
[02:27:13.944 --> 02:27:20.986]  The guys at the top never get put in jail, or hardly ever, and they pay a fine, and they go back and do it the next day.
[02:27:21.761 --> 02:27:25.242]  The average American goes and does that, he's doing 5 to 10.
[02:27:26.703 --> 02:27:36.106]  Absolutely, but the point I was going to interrupt was, it's confirmed there's federal bounties, and they have to increase them each year to even get their quota to kidnap kids, and that they're told how to lie.
[02:27:36.126 --> 02:27:39.827]  It's like recruiters are told to tell kids, sign the paper or you'll be arrested.
[02:27:40.187 --> 02:27:41.928]  And then they get promoted when they get caught.
[02:27:42.788 --> 02:27:44.849]  And she was giving documented cases.
[02:27:45.868 --> 02:27:46.108]  We're good
[02:28:07.103 --> 02:28:14.385]  Well, I think a lot of Americans realize this, and I got a report last week from several different gun shows, people standing 15 deep
[02:28:36.238 --> 02:28:44.584]  Uh, waiting to buy a minimum, they wouldn't sell small lots of a thousand rounds or more of ammunition at any given time.
[02:28:45.185 --> 02:28:55.152]  And they, at this one particular show, I got details on, they brought in two of these great big large trailers, uh, full of all kinds of cased ammunition.
[02:28:55.852 --> 02:28:58.614]  And in three or four hours, it was all gone.
[02:28:59.475 --> 02:29:02.697]  So I think the American public's, uh, catching on.
[02:29:02.737 --> 02:29:04.118]  They know something's going to happen.
[02:29:04.560 --> 02:29:09.041]  And they're trying to prepare for it, because they know that their system hasn't been working for them.
[02:29:09.441 --> 02:29:15.582]  I agree, Bob, and I think the dirty bankers are used to rolling over Cuba and Cambodia and Russia and China.
[02:29:17.243 --> 02:29:23.184]  I think they've miscalculated, and I think America's going to find its old, vicious instincts, and it's going to be a hell pit.
[02:29:23.244 --> 02:29:27.025]  It's going to be an absolute wall-to-wall bloodbath, unless the new order backs off now.
[02:29:28.925 --> 02:29:30.085]  Well, I'll tell you one thing.
[02:29:30.506 --> 02:29:32.306]  We are not taking any prisoners.
[02:29:33.041 --> 02:29:34.823]  And if they think they're gonna hide, they're not.
[02:29:34.863 --> 02:29:35.463]  We'll find them.
[02:29:36.444 --> 02:29:37.285]  Well, that's the issue.
[02:29:37.645 --> 02:29:42.289]  When this war is all, you know, said and done, I want to make sure all the bankers are arrested.
[02:29:43.189 --> 02:29:47.313]  And I mean the elite bankers, not your corner grocer, you know, the delivery boy.
[02:29:47.793 --> 02:29:48.794]  Bob Chapman, stay with us.
[02:29:48.834 --> 02:29:50.035]  Financial news straight ahead.
[02:29:56.880 --> 02:29:57.781]  We're on the march.
[02:29:58.262 --> 02:29:59.763]  The empire's on the run.
[02:30:00.772 --> 02:30:03.575]  Alex Jones and the GCN Radio Network.
[02:30:06.837 --> 02:30:15.204]  Many human illnesses can be attributed to the fact that soil in the United States no longer provides plants with the mineral elements which are essential to human nourishment.
[02:30:15.464 --> 02:30:19.868]  Many studies have shown that the majority of Americans are deficient in minerals.
[02:30:20.329 --> 02:30:21.930]  Deficiency in any one
[02:30:22.210 --> 02:30:22.410]  Of course!
[02:30:47.873 --> 02:30:53.614]  Many foods today have herbicides, pesticides, fungicides, and insecticides that were not intended for human consumption.
[02:30:53.854 --> 02:30:59.036]  Go to RawOrganicVeganSuperfoods.com today and see some of the amazing products available.
[02:30:59.296 --> 02:31:01.876]  You are what you eat, so eat what your body needs.
[02:31:02.116 --> 02:31:05.617]  Remember to go to RawOrganicVeganSuperfoods.com today!
[02:31:06.977 --> 02:31:09.538]  In the New World Order's war against humanity,
[02:31:10.166 --> 02:31:12.287]  Barack Obama is the tip of the spear.
[02:31:12.787 --> 02:31:19.791]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[02:31:20.370 --> 02:31:26.555]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[02:31:26.875 --> 02:31:28.796]  Well, Obama's already fudging.
[02:31:28.936 --> 02:31:31.358]  He's fudged since day one in this election.
[02:31:31.438 --> 02:31:42.386]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[02:31:43.007 --> 02:31:44.288]  It's not about left or right.
[02:31:44.688 --> 02:31:46.049]  It's about a one-world government.
[02:31:46.528 --> 02:31:52.835]  This film documents who Obama works for, the lies he is told, and his real agenda.
[02:31:53.435 --> 02:32:01.223]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[02:32:01.704 --> 02:32:02.845]  The Obama Deception.
[02:32:03.285 --> 02:32:04.467]  The people strike back.
[02:32:06.969 --> 02:32:12.431]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[02:32:12.471 --> 02:32:12.991]  and the world.
[02:32:13.251 --> 02:32:16.712]  And for the first time in their lives, they are feeling the need for preparedness.
[02:32:17.112 --> 02:32:23.354]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[02:32:23.614 --> 02:32:25.394]  Ready Reserve is the manufacturer.
[02:32:25.654 --> 02:32:30.856]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish.
[02:32:31.076 --> 02:32:31.356]  I think so.
[02:32:49.153 --> 02:32:49.934]  Free of charge.
[02:32:50.234 --> 02:32:50.555]  Dial 1-800-453-2202.
[02:32:50.575 --> 02:32:50.635]  1-800-453-2202.
[02:32:50.655 --> 02:32:52.177]  Or visit our website at ReadyReserveFoods.com.
[02:32:52.197 --> 02:32:54.320]  Factory direct, wholesale pricing from Ready Reserve Foods.
[02:32:54.340 --> 02:32:54.700]  Call us at 1-800-453-2202.
[02:33:47.151 --> 02:33:48.972]  This is real, ladies and gentlemen.
[02:33:49.012 --> 02:33:50.352]  This isn't a dress rehearsal.
[02:33:51.133 --> 02:33:53.654]  You're only alive one time.
[02:33:54.154 --> 02:33:54.935]  Make it count!
[02:33:56.295 --> 02:33:57.456]  Choose which side you're on.
[02:33:57.476 --> 02:33:58.616]  Get out of the middle of the road.
[02:33:58.656 --> 02:34:01.458]  Don't be hot or cold, but lukewarm.
[02:34:02.118 --> 02:34:02.458]  Choose!
[02:34:02.478 --> 02:34:04.959]  You're gonna serve the new world order?
[02:34:07.341 --> 02:34:09.782]  You're gonna serve liberty and freedom and the God of creation?
[02:34:11.102 --> 02:34:12.023]  That is the choice.
[02:34:15.612 --> 02:34:17.133]  All right, let's go back to Bob Chapman.
[02:34:17.173 --> 02:34:19.055]  Bob, I've been asking the questions here.
[02:34:19.075 --> 02:34:22.918]  I want you to take a few minutes out to get into anything that you think is important.
[02:34:22.938 --> 02:34:24.899]  I would imagine that always seems to be metals.
[02:34:25.280 --> 02:34:28.442]  Where do you see the market going in metals, but also in other commodities?
[02:34:29.283 --> 02:34:31.445]  We've seen gold and silver racing up.
[02:34:31.485 --> 02:34:35.488]  Then the big banks trying to pound it down, but it seems they're not having as much success.
[02:34:35.928 --> 02:34:37.349]  Chinese starting to dump the dollar.
[02:34:37.409 --> 02:34:38.951]  Other nations publicly dumping the dollar.
[02:34:39.851 --> 02:34:42.794]  How long can this hold, or can they just keep playing games forever?
[02:34:43.234 --> 02:34:45.396]  Because normally gold would be going down in the summer.
[02:34:45.656 --> 02:34:46.757]  What are we going to see this fall?
[02:34:48.338 --> 02:34:52.181]  Well, I think the rule of rule is about gold going down at this time or that time.
[02:34:53.022 --> 02:34:54.283]  You can throw them out the window.
[02:34:55.324 --> 02:35:04.811]  Because of the intercession into the markets by the United States government and others, in the manipulations that have gone on, that anything can happen at any time.
[02:35:05.752 --> 02:35:07.974]  The suppression of gold has happened because
[02:35:08.806 --> 02:35:15.148]  Central banks, in conjunction with one another, were gold sellers, and they have been over the past ten years or more.
[02:35:15.888 --> 02:35:29.333]  And, you know, we saw England selling gold at $2.75, sold out three-quarters of their gold, and now they're offside about $7 or $8 billion that they threw down the sewer, so to speak.
[02:35:29.913 --> 02:35:30.853]  But the point is this.
[02:35:31.353 --> 02:35:33.134]  They only had 33,000 tons.
[02:35:33.614 --> 02:35:35.755]  My guess is they probably get less than 5,000 tons left.
[02:35:37.102 --> 02:35:49.625]  And how they've been deceiving everybody is that they have been leasing gold to bullion market makers, which would be JP Morgan or Goldman Sachs, etc.
[02:35:50.265 --> 02:35:59.507]  And they would take this gold and they would either pay a half a percent interest or no interest or sometimes they get paid to take the gold off the central bank's hands.
[02:36:00.267 --> 02:36:04.849]  And they would sell it into the market to depress the price at certain times.
[02:36:05.649 --> 02:36:06.609]  Now what's happened
[02:36:07.125 --> 02:36:18.369]  In the interim, the central banks didn't want people to see them doing that, so they leased the gold to the bullion dealers, who in turn sold it.
[02:36:18.710 --> 02:36:33.895]  The little trick here is that in their accounting procedure, all of these central banks are holding this leased gold on the books, and still having had it, when in fact it was sold long ago.
[02:36:36.033 --> 02:36:39.414]  I tell you that because they don't have much gold left.
[02:36:39.614 --> 02:36:40.674]  That's what I was about to ask you.
[02:36:40.714 --> 02:36:46.636]  I've seen that in the news, where a lot of big nations and corporations are starting to say, we want our gold out of your vaults.
[02:36:47.756 --> 02:36:49.336]  Well, Germany just asked for theirs.
[02:36:49.396 --> 02:36:50.637]  Switzerland asked for theirs.
[02:36:51.317 --> 02:36:54.858]  And, you know, I got a question today by email, well, why are they doing that?
[02:36:54.898 --> 02:37:00.079]  Well, very simply, they don't trust the Illuminists running the United States government anymore.
[02:37:00.333 --> 02:37:01.114]  That's what I was about to say.
[02:37:01.134 --> 02:37:13.963]  When you start seeing countries moving their gold reserves out of private central bank vaults, that is a, you know, that's like seeing a giant thunderhead with lightning and wind blowing at you and it's boiling towards you.
[02:37:14.283 --> 02:37:22.189]  You don't have to be a rocket scientist to know that the economic tolmalt we're already in is just the very leading edge, Bob.
[02:37:23.470 --> 02:37:25.912]  Well, it's like lightning over the treasury building.
[02:37:26.816 --> 02:37:32.619]  And incidentally, Dubai has asked for their gold from the British.
[02:37:33.040 --> 02:37:39.383]  And so I think there's a few now, countries who would like their gold in their own vault.
[02:37:39.603 --> 02:37:43.505]  So is this the heading towards the exits?
[02:37:44.666 --> 02:37:45.626]  Yes, I think it is.
[02:37:46.347 --> 02:37:51.770]  And I don't think they can get away with this leasing facade much longer.
[02:37:52.170 --> 02:37:55.892]  And I don't think they have much gold left to sell on the market anyway.
[02:37:56.548 --> 02:38:04.055]  And so, I think that this is going to come to an end, and I think it will come to an end as soon as gold and silver break out.
[02:38:04.755 --> 02:38:17.706]  And they're both in reverse head and shoulders formations, technically, which means, and these are long-term formations, which means that when they do break out, the two of them will go berserk.
[02:38:18.287 --> 02:38:19.808]  And I don't think it's very far away.
[02:38:19.828 --> 02:38:24.212]  And that's why Ted Anderson and I and others have been saying, look,
[02:38:24.625 --> 02:38:33.088]  Take this opportunity created by the Illuminists of driving the prices of these metals down to where they should not be by buying them.
[02:38:33.588 --> 02:38:43.211]  And then when the leverage disappears and gold and silver take off, you'll be able to keep your wealth intact and you might even become wealthy.
[02:38:49.178 --> 02:38:50.719]  What's the time frame on this then?
[02:38:50.779 --> 02:38:54.522]  I mean, gold's up, what, 50-something bucks in the last week.
[02:38:54.963 --> 02:38:56.164]  Silver's up a few bucks.
[02:38:56.184 --> 02:39:01.428]  I mean, do you see it going up before it goes back down for another, you know, testing a bottom?
[02:39:01.448 --> 02:39:06.833]  Or do you see it just racing back through like we had last summer, but instead of going up to $1,000-something, $1,200, $1,300, $1,400?
[02:39:07.513 --> 02:39:11.957]  I mean, are we going to see the next time it crests?
[02:39:12.397 --> 02:39:13.318]  How high do you think it'll go?
[02:39:14.999 --> 02:39:16.741]  Well, I think it can easily go to $1,200 for starters.
[02:39:18.823 --> 02:39:24.027]  Probably will feed upon itself and get back up to a go-to $2,000 on the gold.
[02:39:24.768 --> 02:39:31.833]  And, you know, I have a lot of subscribers who are very heavily involved in gold-related assets.
[02:39:32.573 --> 02:39:35.756]  And they say, well, you know, I've got another million here.
[02:39:35.776 --> 02:39:36.456]  I've got another $10,000.
[02:39:37.237 --> 02:39:37.878]  What do I do?
[02:39:38.778 --> 02:39:41.180]  And I say, well, you can buy more here.
[02:39:41.200 --> 02:39:43.142]  I know you've got a lot already.
[02:39:43.922 --> 02:39:46.884]  But then again, if you want, you can pass through $1,000.
[02:39:48.251 --> 02:39:51.354]  And then pay a higher price, knowing that we've broken out.
[02:39:52.274 --> 02:39:56.277]  But, I say that to people who have positions, or large positions.
[02:39:57.218 --> 02:40:02.702]  And, you know, there's not much product out there, either in the coins, or even in the shares.
[02:40:03.103 --> 02:40:04.644]  There's not much to choose from.
[02:40:04.664 --> 02:40:06.465]  Well, that's why you see all these ads.
[02:40:06.605 --> 02:40:08.687]  It's not like back in 78, 79.
[02:40:10.008 --> 02:40:10.869]  Yeah, when you had plenty of it.
[02:40:10.889 --> 02:40:17.434]  Well, no, I mean, I was saying that's why you see all these... Well, we had hundreds of stocks in South Africa, and I used to do them, they used to...
[02:40:17.802 --> 02:40:21.884]  Yield between 12% and 25% annually, you know, the dividend.
[02:40:22.604 --> 02:40:28.367]  And, you know, I bought stocks like Free State to Goodwill at $8 and it went to $50.
[02:40:29.128 --> 02:40:43.095]  East Rim Proprietary and Jervin Deep went from $0.35 to $51 and $54 in that time frame of four years.
[02:40:43.115 --> 02:40:47.377]  Of course, most of these companies aren't around anymore, but the point is,
[02:40:48.211 --> 02:40:51.492]  When the game really starts, it'll be something else.
[02:40:52.192 --> 02:41:04.494]  I mean, you'll pick up the paper and you'll see an MS64 that was trading for $1,500 three months before that's selling for $5,000.
[02:41:04.634 --> 02:41:14.396]  Or you'll look at Agnico Eagle, which is selling around $53,000, and now it's selling, could be selling at $144,000.
[02:41:14.476 --> 02:41:17.937]  I mean, these are the kind of moves you're going to see.
[02:41:18.618 --> 02:41:19.278]  And I've been there.
[02:41:19.718 --> 02:41:22.019]  I've been in every bull market and gold since 1960.
[02:41:23.700 --> 02:41:32.043]  Now, Bob, the point I was going to make is, you see these ads everywhere in print, on TV, radio, sell your old gold and they give them way under what it's worth.
[02:41:32.363 --> 02:41:35.504]  Folks, what does that tell you when there's all these ads trying to buy your gold?
[02:41:35.865 --> 02:41:41.847]  That's because there's a shortage everywhere and companies are trying to buy this stuff up right now.
[02:41:42.487 --> 02:41:45.528]  Most coin dealers still have very low supplies of gold and silver.
[02:41:45.588 --> 02:41:47.009]  It's way jacked up prices.
[02:41:47.509 --> 02:41:53.012]  And speaking of that, we've got a guest coming up, an American who was told he couldn't videotape an Englander, he'd be charged as a terrorist.
[02:41:53.332 --> 02:41:55.753]  That video and audio is coming up here in just a few minutes.
[02:41:55.833 --> 02:42:00.735]  Video for PrisonPlanet.tv viewers, audio for everybody else, but this video is up on InfoWars.com.
[02:42:00.995 --> 02:42:06.838]  But I wanted to bring Ted Anderson up for the weekend, because Ted still has gold, and he's almost out of it.
[02:42:06.958 --> 02:42:08.178]  And this has happened before, folks.
[02:42:08.218 --> 02:42:09.159]  He's going to be out soon.
[02:42:09.219 --> 02:42:11.460]  He still has quite a few different types of coins.
[02:42:12.745 --> 02:42:19.249]  That are collector coins, but that he's selling at bullion prices, bullion prices from two weeks ago.
[02:42:19.829 --> 02:42:21.310]  But he's selling out.
[02:42:21.390 --> 02:42:22.190]  In fact, let's bring Ted up.
[02:42:22.210 --> 02:42:28.754]  Ted, you said you're getting pretty low, but on the Sovereigns and on the Franks, you've got some other coins that you got at positions, you know, two weeks ago.
[02:42:29.114 --> 02:42:30.996]  Gold's up 50-something bucks since then.
[02:42:31.116 --> 02:42:35.878]  Silver's up, and you've got the half dollars.
[02:42:37.099 --> 02:42:38.560]  Tell folks what you've got, Ted Anderson.
[02:42:39.093 --> 02:42:48.616]  I'll do that right now, Alex, because yeah, you and I kind of went over the inventory last week, and we had an incredible sum of British sovereigns and French francs at that $8.80 level.
[02:42:50.116 --> 02:42:59.299]  They're not all sold out, therefore I'm going to hold it right through the weekend, but I still have the franc at $2.14, and I have the British sovereign at $2.67.
[02:42:59.859 --> 02:43:04.101]  Now Bob is so eloquent about how he articulated what's going on.
[02:43:04.841 --> 02:43:08.742]  With the market, when it hits that $1,000 level, there's a tremendous amount of pressure.
[02:43:09.312 --> 02:43:12.935]  From central banks, the countries of the world, trying to press it back down.
[02:43:13.375 --> 02:43:15.677]  And if you're a trader like me, you get to see that.
[02:43:15.717 --> 02:43:16.638]  You get to read that.
[02:43:17.058 --> 02:43:28.668]  And that's why when the gold was down there around $8.80, it creates a little position where I can get in and I can pick up, you know, a half a million to a million dollars worth of gold coins to have them made available later on.
[02:43:28.728 --> 02:43:30.309]  Because, you know, it's like a rubber band.
[02:43:30.549 --> 02:43:32.771]  You're pushing it down, but you know it's going to spring back.
[02:43:33.111 --> 02:43:35.073]  They don't have enough reserves to hold it together.
[02:43:35.535 --> 02:43:37.616]  And really, the gold market tells the story.
[02:43:38.296 --> 02:43:43.878]  They're trying to put the smoke and mirrors in front of us, but the gold market keeps coming back and raging through.
[02:43:44.138 --> 02:43:46.058]  You write about that head and shoulders thing, Bob.
[02:43:46.498 --> 02:43:50.380]  When we get through that thousand dollar level, that's the resistance point.
[02:43:50.520 --> 02:43:51.720]  And when it breaks that point,
[02:43:53.066 --> 02:43:59.807]  You know, I really, truly believe we'll see $1,500 gold or better, and it's not going to be a short-term thing.
[02:43:59.847 --> 02:44:09.710]  It's going to just, like, you'll get through that $1,000, it'll hold, the next thing you know, $1,200, $1,500, and now you're trading at a level where gold comes down to $1,200 and looks like a good buy then.
[02:44:10.070 --> 02:44:16.231]  But Alex, at this point in time, the stuff that I've accumulated here just a couple weeks ago, a week ago,
[02:44:16.892 --> 02:44:17.173]  I don't
[02:44:34.358 --> 02:44:38.521]  And when I have the opportunities, I just hope the central banks try it again.
[02:44:38.981 --> 02:44:44.804]  Because they're losing that battle, and every time they make gold a better buy, I'm in there trying to snap up deals.
[02:44:44.984 --> 02:44:46.345]  And then I can offer them later on.
[02:44:46.465 --> 02:44:51.388]  So Ted, but you will guarantee the deal through midnight, coming up on Sunday evening into Monday morning.
[02:44:51.408 --> 02:44:54.770]  Brokers will be there all weekend on the Sovereigns, on the Franks.
[02:44:54.830 --> 02:44:56.131]  What else do you have at that 880 level?
[02:44:56.171 --> 02:44:59.893]  Well, the Silver and the Franklin Habs at that 869 level,
[02:45:01.547 --> 02:45:03.629]  That reflects silver at $11 an ounce.
[02:45:04.170 --> 02:45:09.194]  The silver's been real strong, and the Lakota coin, even at $19.66.
[02:45:11.263 --> 02:45:14.665]  With silver as strong as it is, I'm sure that thing's going to be trading over $20.
[02:45:14.765 --> 02:45:16.606]  Yeah, but Ted, stop right there.
[02:45:16.666 --> 02:45:17.767]  Let's explain this to people.
[02:45:18.347 --> 02:45:22.490]  You had Lakotas at $17, which they're $25 everywhere else.
[02:45:22.550 --> 02:45:25.612]  You had to go up to $19 when you bought more, because silver had gone up so much.
[02:45:25.972 --> 02:45:33.817]  You still have silver half dollars, the Franklins, at the price when silver was $11 factored in.
[02:45:34.157 --> 02:45:34.738]  Now what is it, $14?
[02:45:35.718 --> 02:45:37.099]  Yeah, it's trading right at $14.
[02:45:37.639 --> 02:45:42.422]  It pokes up to about $14.20, then it gets down to the high $13s.
[02:45:42.882 --> 02:45:47.245]  Right now, the last time I looked, silver was at $14, even hit $14.22.
[02:45:47.405 --> 02:45:56.871]  Okay, but regardless, regardless, folks, if you can't figure that out, Ted is selling silver at the price it was when it was $11 an ounce factored in.
[02:45:57.151 --> 02:45:58.492]  You can find nothing like this.
[02:45:58.532 --> 02:45:59.312]  Check for yourselves.
[02:45:59.332 --> 02:45:59.372]  800-686-2237.
[02:46:02.054 --> 02:46:03.615]  I just believe in this so much, folks.
[02:46:04.035 --> 02:46:05.717]  And that's what I bought last week was some silver.
[02:46:05.777 --> 02:46:08.178]  I bought some Lakotas back at that 17 level.
[02:46:08.819 --> 02:46:10.380]  And you can still get it with these half dollars.
[02:46:10.400 --> 02:46:10.640]  800-686-2237.
[02:46:10.660 --> 02:46:10.980]  800-686-2237.
[02:46:11.000 --> 02:46:12.741]  800-686-2237.
[02:46:13.222 --> 02:46:20.646]  The trusted name, Midas Resources.
[02:46:21.047 --> 02:46:22.468]  Patriots, great folks.
[02:46:23.068 --> 02:46:24.709]  And what other little gold coins you got?
[02:46:24.749 --> 02:46:29.092]  I know I saw that huge inventory you had a week ago or so, you showed me, but I know that's almost all gone.
[02:46:29.112 --> 02:46:30.013]  What do you got left?
[02:46:30.073 --> 02:46:30.613]  Anything else?
[02:46:32.494 --> 02:46:37.295]  Yeah, we do have some buffalos, but Alex, I think if somebody bought 20 of them from me, they'd take out my whole inventory.
[02:46:37.515 --> 02:46:40.136]  And I wish I could buy a thousand of them, but I just can't.
[02:46:40.296 --> 02:46:40.756]  Can't get them.
[02:46:40.776 --> 02:46:41.156]  What else you got?
[02:46:41.176 --> 02:46:41.796]  They're that tough.
[02:46:42.056 --> 02:46:48.378]  You know, the other thing, too, is these halves that we're talking about, just about a year ago at this time, I couldn't get anything at all.
[02:46:48.738 --> 02:46:53.999]  I mean, if I had a million dollars to buy, it wouldn't matter because nobody had them to deliver.
[02:46:54.039 --> 02:46:54.979]  And at that time, I did.
[02:46:55.519 --> 02:46:58.040]  So, you know, that was just the experience I had just then.
[02:46:58.618 --> 02:46:59.859]  The things are breaking loose here.
[02:46:59.899 --> 02:47:07.586]  I mean, there's so much going on economically that you know that gold and silver is going to be hot.
[02:47:07.626 --> 02:47:08.667]  Yeah.
[02:47:08.687 --> 02:47:09.128]  800-686-2237.
[02:47:09.148 --> 02:47:09.588]  800-686-2237.
[02:47:09.608 --> 02:47:11.710]  And the brokers will be there all weekend until midnight tonight.
[02:47:11.990 --> 02:47:13.171]  Ted Anderson, thank you so much.
[02:47:13.191 --> 02:47:14.593]  I hope folks take advantage of this deal.
[02:47:14.853 --> 02:47:17.535]  Yeah, well, not just midnight tonight, going right through Sunday.
[02:47:17.555 --> 02:47:20.318]  Yeah, you can go ahead and we'll honor these prices.
[02:47:20.677 --> 02:47:20.997]  Oh yes, it is.
[02:47:21.017 --> 02:47:21.717]  And I've been a buyer myself.
[02:47:22.057 --> 02:47:24.738]  And gold right now is up $3.50 in the late trading in the outside month, which is June.
[02:47:46.622 --> 02:47:50.626]  And I don't know what spot closed at today, but gold is acting strongly.
[02:47:51.306 --> 02:47:56.591]  And I wouldn't be surprised if it wasn't up firmly on Monday, which is not normally a good day for gold.
[02:47:57.571 --> 02:48:05.078]  And so, you know, the prices anywhere in this level, you know, people say to me, well, should I wait to see if it comes down?
[02:48:05.558 --> 02:48:06.659]  Look, you're not traitors.
[02:48:06.679 --> 02:48:08.360]  You can't second guess this market.
[02:48:08.921 --> 02:48:09.882]  Just buy it.
[02:48:10.722 --> 02:48:11.623]  Just buy it.
[02:48:11.703 --> 02:48:13.104]  You know, that's what I do.
[02:48:13.204 --> 02:48:14.866]  I don't even ask what the price is.
[02:48:15.433 --> 02:48:17.313]  I just say, this is what I've got.
[02:48:17.874 --> 02:48:20.094]  Can you buy this or that with that?
[02:48:20.454 --> 02:48:21.074]  And that's it.
[02:48:21.494 --> 02:48:22.335]  I don't even look.
[02:48:24.355 --> 02:48:28.456]  Well, the bottom line is that I bought gold and it was $300 an ounce and I've done well.
[02:48:28.476 --> 02:48:30.136]  And I bought silver and it was $5 an ounce.
[02:48:30.156 --> 02:48:32.877]  Now we've got a guest coming up in the next final segment, Bob.
[02:48:33.457 --> 02:48:36.358]  And I want you to comment on this briefly when we come back.
[02:48:37.098 --> 02:48:41.839]  All over England, I've been there, they walk up and say you can't have a camera, it's an act of terrorism to videotape them.
[02:48:42.759 --> 02:48:44.400]  Now they're arresting people in the U.S.
[02:48:44.781 --> 02:48:45.481]  videotaping.
[02:48:45.541 --> 02:48:48.083]  This guy was 100 plus yards away from the embassy.
[02:48:48.764 --> 02:48:49.104]  U.S.
[02:48:50.425 --> 02:48:54.269]  paramilitary guys come over, the British come over and read him the riot act.
[02:48:54.309 --> 02:48:59.173]  Let's play that video, then we'll come back and talk to the man briefly it happened to and get Bob Chapman's take on it.
[02:48:59.493 --> 02:49:05.338]  Here is the video for PrisonPlanet.tv viewers, the audio for everybody else, but the audio is very self-explanatory as well.
[02:49:05.358 --> 02:49:05.678]  Here it is.
[02:49:18.308 --> 02:49:20.790]  He's on a sidewalk videotaping a statue in England.
[02:49:23.391 --> 02:49:24.212]  He's in, like, a park.
