[00:00:07.035 --> 00:00:12.279]  We are live at PrisonPlanet.tv every day during the four hour radio show.
[01:08:52.253 --> 01:08:57.135]  That's U-T-O-P-I-A Silver dot com or call 888-213-4338, 888-213-4338 and help us win this battle!
[01:09:06.269 --> 01:09:06.770]  Don't worry.
[01:09:07.250 --> 01:09:08.711]  This show is documented.
[01:09:09.292 --> 01:09:12.555]  Alex Jones on the GCN Radio Network.
[01:09:14.657 --> 01:09:19.862]  Listeners are mailing us clippings of Obama being the savior, saving us.
[01:09:20.042 --> 01:09:21.203]  He's saving the Bill of Rights.
[01:09:21.243 --> 01:09:23.265]  He's saving the Constitution from Bush.
[01:09:23.305 --> 01:09:24.786]  It's all torn up in pieces.
[01:09:24.826 --> 01:09:25.847]  He's putting it back together.
[01:09:25.867 --> 01:09:26.888]  We've seen that hundreds of times.
[01:09:28.149 --> 01:09:28.530]  Look at this.
[01:09:28.570 --> 01:09:29.671]  The new Global Elite.
[01:09:29.711 --> 01:09:31.173]  I showed this about two weeks ago.
[01:09:31.653 --> 01:09:33.375]  Special double issue of Newsweek.
[01:09:33.816 --> 01:09:36.959]  And I wanted to zoom in on this because we were analyzing this closer last night.
[01:09:38.550 --> 01:09:39.711]  And everything is 666.
[01:09:40.091 --> 01:09:44.454]  They'll show three things by three things over and over and over again.
[01:09:44.995 --> 01:09:46.716]  And he's got a crown on.
[01:09:47.437 --> 01:09:51.139]  There's all this mind control, Illuminati symbolism on here.
[01:09:51.780 --> 01:10:01.928]  Down here, again, they'll repeat something three times and have it by three times and have it by three times until it forms 666, which is all this Kabbalah stuff.
[01:10:02.928 --> 01:10:10.618]  And what this is, is in Kabbalah they will, as in a lot of other weird mysticism religions, they will draw things.
[01:10:10.658 --> 01:10:17.326]  They believe by showing it, or showing the numbers, or showing, you know, drawing a picture, and then it's like a prayer that it makes it happen.
[01:10:18.027 --> 01:10:26.512]  And again, we told you over a decade ago that Madonna was doing Kabbalah rituals in her concerts, and now for about three years she's been admitting that for over a decade she's been doing that.
[01:10:26.932 --> 01:10:37.458]  So you can laugh at this all day, this is saying the world government, the world elite, list all these world elite around him, are giving all their power under the beast.
[01:10:37.538 --> 01:10:40.360]  I'm not saying he's the Antichrist, I'm saying that's what they believe they're doing.
[01:10:41.681 --> 01:10:46.944]  Okay, now answering the last guy's question, I'm going to go through some more of these Obama Magazine covers, and then some other news, then your calls.
[01:10:48.356 --> 01:10:56.064]  To answer his question, Christians thought that Hitler was the Antichrist in Europe, so they stood down to him.
[01:10:58.046 --> 01:11:02.111]  The Seventh-Day Adventists, the Jehovah's Witnesses, even some of the Baptists
[01:11:03.305 --> 01:11:06.026]  But they weren't so much into the whole, this is the end of the world thing at that time.
[01:11:06.066 --> 01:11:06.707]  Those groups were.
[01:11:07.287 --> 01:11:09.468]  They went, and I'm not bashing any of these groups.
[01:11:09.488 --> 01:11:14.191]  The point is they went along with it and didn't fight back because they thought that it was the end of the world.
[01:11:14.771 --> 01:11:25.057]  And so that's kind of a cop-out in the New World Order version of Christianity to say, well, the rapture's going to happen, nothing, you know, praise God they're calling for microchips and world government because that means we're about to be teleported out of here.
[01:11:25.797 --> 01:11:26.477]  It's ridiculous.
[01:11:26.577 --> 01:11:27.278]  It's not in the Bible.
[01:11:28.010 --> 01:11:28.351]  Okay.
[01:11:29.052 --> 01:11:32.196]  It says that the beast wages war on the saints and overcomes them.
[01:11:32.516 --> 01:11:33.898]  The saints go through the tribulation.
[01:11:34.759 --> 01:11:36.241]  But if you don't believe in that, that's your issue.
[01:11:36.261 --> 01:11:39.746]  The point is that what they push isn't real Christianity.
[01:11:41.809 --> 01:11:45.572]  Now it's the same thing with Planet X. I remember in 1999 everybody got mad at me.
[01:11:45.612 --> 01:11:46.813]  I said Planet X wasn't real.
[01:11:47.253 --> 01:11:48.014]  It wasn't coming.
[01:11:48.374 --> 01:11:49.415]  It wasn't going to kill us.
[01:11:50.856 --> 01:11:52.617]  And then I predicted the guy writing the book about it.
[01:11:52.898 --> 01:11:54.819]  He said it was coming in 2002.
[01:11:55.239 --> 01:11:58.722]  I said, watch, he'll claim that the Gregorian calendar was wrong and now it's a year later.
[01:11:59.022 --> 01:12:00.504]  And exactly what I predicted he did.
[01:12:01.184 --> 01:12:02.425]  And then they said, oh, it's still coming.
[01:12:02.445 --> 01:12:03.866]  And then people ask me, what about Planet X?
[01:12:03.886 --> 01:12:04.767]  What about the Anunnaki?
[01:12:05.027 --> 01:12:06.208]  It's coming through our solar system.
[01:12:06.448 --> 01:12:07.389]  Do planets come through?
[01:12:07.409 --> 01:12:08.430]  Do planetoids come through?
[01:12:08.490 --> 01:12:10.091]  Do giant asteroids hit the Earth?
[01:12:10.391 --> 01:12:11.792]  Does it cause massive calamities?
[01:12:12.173 --> 01:12:12.833]  Is this stuff, you know?
[01:12:13.113 --> 01:12:15.035]  Yes, but are they setting the date?
[01:12:16.016 --> 01:12:17.136]  And then you've got the Mayans.
[01:12:17.196 --> 01:12:18.357]  If you really study what they said...
[01:12:19.218 --> 01:12:31.184]  When the Aztecs, in that part of the Mayan culture, who were in power, because it's a Mayan culture with just different tribes, they just said that 2012 was the end of an age and the start up of a new one.
[01:12:32.124 --> 01:12:32.444]  Okay?
[01:12:33.045 --> 01:12:34.786]  And that's in their own text.
[01:12:34.806 --> 01:12:37.687]  So this whole thing about the world ending, but the globalists love that.
[01:12:37.747 --> 01:12:42.289]  They love that idea because then people say, oh screw what's happening with the economy or the banks or the world order.
[01:12:42.569 --> 01:12:43.570]  Why should I fight back?
[01:12:44.110 --> 01:12:44.890]  2012 it all ends anyways.
[01:12:46.731 --> 01:12:47.252]  Now the
[01:12:48.396 --> 01:12:49.457]  I said I was going to make a JFK film.
[01:12:49.477 --> 01:12:50.617]  I've been working on it for three years.
[01:12:50.797 --> 01:12:55.040]  It's suspended again for the Obama film and it's suspended again for a 2012 film I'm making.
[01:12:55.340 --> 01:12:56.160]  That's my next film.
[01:12:56.620 --> 01:13:07.106]  I'm going to rush it out at light speed after Obama so that I can explain that 2012 is a fraud and a lie but that major crises are going to be happening up until that point and after.
[01:13:08.177 --> 01:13:08.537]  Okay.
[01:13:08.998 --> 01:13:10.479]  So we're going to make a 2012 film.
[01:13:11.079 --> 01:13:11.620]  It's happening.
[01:13:11.980 --> 01:13:12.440]  It's in the works.
[01:13:12.460 --> 01:13:13.501]  It's been in the works for years.
[01:13:15.342 --> 01:13:18.305]  I kind of got off on this track last year of I want to be cinema verite.
[01:13:18.725 --> 01:13:19.906]  I want to make a cinema verite film.
[01:13:19.926 --> 01:13:20.306]  And I did.
[01:13:20.346 --> 01:13:21.007]  And it's a great film.
[01:13:21.047 --> 01:13:24.730]  It's the most, quote, entertaining, good to watch, like mainstream, you know, movie.
[01:13:25.987 --> 01:13:29.708]  Truth Rising is excellent, and it was kind of like, oh, as a filmmaker, I want to do this.
[01:13:30.068 --> 01:13:31.168]  I don't have time to do that.
[01:13:31.788 --> 01:13:35.769]  The JFK will be a cinema verite, and it'll end up coming out.
[01:13:37.329 --> 01:13:41.870]  But it's just more important to hit these issues right now.
[01:13:42.750 --> 01:13:47.071]  By the way, the trailer for the Obama deception, my new film, it comes out March 15th.
[01:13:48.571 --> 01:13:50.591]  Normally we make a film in about six months, seven months.
[01:13:50.611 --> 01:13:51.772]  We're making this one in three months.
[01:13:51.912 --> 01:13:53.432]  We've been working on it the last month and a half.
[01:13:54.631 --> 01:14:03.579]  And doing some research before that, over the last four months, but we're doing this in an accelerated program here on top of everything else we're doing, because we know the time is short.
[01:14:04.040 --> 01:14:05.421]  The enemy's moving against humanity.
[01:14:05.641 --> 01:14:06.762]  The enemy knows the time is short.
[01:14:07.223 --> 01:14:07.783]  And we're doing that.
[01:14:08.744 --> 01:14:09.785]  But there's your answer.
[01:14:10.266 --> 01:14:12.087]  I don't get into aliens and stuff like that.
[01:14:12.808 --> 01:14:14.730]  Is there a government program to have a fake alien landing?
[01:14:14.750 --> 01:14:15.691]  Yeah, that's declassified.
[01:14:16.031 --> 01:14:17.212]  Are they hyping it up in the culture?
[01:14:17.252 --> 01:14:17.572]  Clearly.
[01:14:19.727 --> 01:14:21.769]  And I, you know, talk about that from time to time.
[01:14:22.109 --> 01:14:23.791]  I cover what I can prove.
[01:14:24.151 --> 01:14:25.852]  There is 666 all over this.
[01:14:25.892 --> 01:14:26.713]  This is Kabbalah.
[01:14:28.154 --> 01:14:29.095]  He is wearing a crown.
[01:14:31.377 --> 01:14:33.379]  It is saying global government with both hemispheres.
[01:14:35.701 --> 01:14:38.443]  This is like Church of the Subgenius Illuminati artwork.
[01:14:39.544 --> 01:14:40.205]  Yeah, that's what this is.
[01:14:40.945 --> 01:14:41.706]  And all this other stuff.
[01:14:45.966 --> 01:14:48.128]  44, which is a big Kabbalah number.
[01:14:48.908 --> 01:14:52.532]  Also in the German runes, in the Norse system, that's one of the most powerful numbers.
[01:14:53.072 --> 01:14:53.573]  That and 88.
[01:14:54.274 --> 01:14:55.254]  Same thing with the Chinese.
[01:14:57.937 --> 01:14:58.558]  There's Obama.
[01:14:58.898 --> 01:14:59.478]  Gonna save us.
[01:15:00.019 --> 01:15:01.480]  Hundreds of magazines saying this.
[01:15:01.500 --> 01:15:03.502]  People are mailing us.
[01:15:03.522 --> 01:15:04.844]  2009 Inauguration Special.
[01:15:04.964 --> 01:15:05.704]  America's Hope.
[01:15:05.724 --> 01:15:06.405]  Barack Obama.
[01:15:07.186 --> 01:15:08.547]  How he will change our world.
[01:15:08.847 --> 01:15:10.008]  What he's gonna do for you.
[01:15:11.350 --> 01:15:16.354]  If you turn over yourself and your soul and your mind and your thinking process, they're saying, just do what he says, he'll fix it.
[01:15:16.394 --> 01:15:16.915]  Don't worry about that.
[01:15:17.175 --> 01:15:18.216]  Look at this, Parade Magazine.
[01:15:18.796 --> 01:15:22.099]  What I want for you and every child.
[01:15:22.239 --> 01:15:23.120]  A letter to my daughter.
[01:15:23.180 --> 01:15:27.884]  So, it's like he's talking to his children, but also all of the other children.
[01:15:27.964 --> 01:15:28.804]  He's their father.
[01:15:29.225 --> 01:15:30.045]  He's our father.
[01:15:31.426 --> 01:15:33.248]  And it's all how we're part of his family.
[01:15:33.268 --> 01:15:35.990]  I mean, they didn't do stuff like this for Bush.
[01:15:36.471 --> 01:15:40.514]  The full Beast system, the full New Order system is putting their power behind him right now.
[01:15:42.759 --> 01:15:44.941]  Here's the gay magazine, The Advocate.
[01:15:45.361 --> 01:15:47.343]  What will he do for you first?
[01:15:50.806 --> 01:15:52.667]  What will he do for you first?
[01:15:52.687 --> 01:15:54.429]  And I should have marked it, we're putting this in the film.
[01:15:56.591 --> 01:16:08.941]  It talks about austerity movement, austerity chic, and how not having money is going to be a great thing, and the new Obama thing, and how we've all lived too good and it's been bad for the earth.
[01:16:13.527 --> 01:16:16.911]  Austerity chic.
[01:16:17.672 --> 01:16:18.553]  And how it's chic.
[01:16:18.653 --> 01:16:19.394]  It's stylish.
[01:16:20.956 --> 01:16:25.861]  How novelist and performance artist Mike Albo gets by in lean times.
[01:16:28.564 --> 01:16:29.505]  And then it just goes through that.
[01:16:29.606 --> 01:16:29.766]  Okay.
[01:16:34.039 --> 01:16:47.665]  Here is the classic fascist colors, and I've seen Mussolini posters, Hitler posters, Mao posters, Marx posters, Fidel Castro posters, the same coloration.
[01:16:48.385 --> 01:17:00.831]  And even three weeks ago, the Washington Post did an article admitting that they're using fascist and communist overtones and nomenclature, but said it's for the good of America.
[01:17:01.611 --> 01:17:03.092]  And earlier in the show I talked about how
[01:17:05.213 --> 01:17:09.757]  Well, a caller brought up the point that he told all his conservative friends, don't worry, don't worry about Obama, you're going to like him.
[01:17:09.797 --> 01:17:10.958]  He's acting like an ultra-liberal.
[01:17:11.279 --> 01:17:14.542]  The guy's going to increase the wars, the police state, all of it.
[01:17:16.003 --> 01:17:19.366]  And then now he's come out on national television and said, well, that was all campaign rhetoric.
[01:17:19.707 --> 01:17:20.628]  I agree with Cheney.
[01:17:21.088 --> 01:17:22.229]  I need to do what he did.
[01:17:22.249 --> 01:17:27.294]  I need the new presidential powers that they claimed they had, that I had said was, you know,
[01:17:27.694 --> 01:17:28.954]  Improper power or tyranny.
[01:17:29.335 --> 01:17:31.595]  Because I do need these powers to fix things.
[01:17:32.195 --> 01:17:32.996]  And then here's Newsweek.
[01:17:33.336 --> 01:17:34.596]  What would Dick do?
[01:17:34.676 --> 01:17:38.177]  Why Obama may soon find virtue in Cheney's vision of power.
[01:17:38.197 --> 01:17:39.938]  And that's been the talking point by Cheney and others.
[01:17:40.578 --> 01:17:42.439]  And then, it's Obama.
[01:17:42.659 --> 01:17:49.321]  He doesn't like Cheney, but he's realizing, he's realizing here that he's gotta do it.
[01:17:49.621 --> 01:17:50.561]  Oh, he doesn't like it.
[01:17:51.602 --> 01:17:55.223]  But there he is signing some order and realizing he's gotta do it.
[01:17:57.805 --> 01:18:00.351]  So, classic propaganda there.
[01:18:01.374 --> 01:18:06.827]  Now, I want to get to these articles and then your calls for everybody that's holding.
[01:18:11.681 --> 01:18:17.002]  In Japan, where they have a 1.3, 1.4, depending on which year it is, population growth.
[01:18:17.022 --> 01:18:19.903]  For every two people, on average, they have about 1.2, 1.3, 1.4.
[01:18:21.903 --> 01:18:23.644]  It varies every year, but dropping.
[01:18:24.164 --> 01:18:25.784]  Italy's the same way, Germany, England.
[01:18:26.524 --> 01:18:30.765]  If it wasn't for the immigrant populations coming in, they wouldn't even have the numbers to do the basic jobs.
[01:18:31.905 --> 01:18:36.906]  And the immigrants come in to, you know, pay taxes and things to pay for the people that are retiring on their pensions.
[01:18:36.946 --> 01:18:39.247]  Same thing here with the baby boomers who are starting retirement this year.
[01:18:40.196 --> 01:18:44.177]  Well, they're talking about 70, 80 million people in the next five years going, you know, on retirement.
[01:18:45.418 --> 01:18:47.358]  Workers urge to go home and multiply.
[01:18:47.978 --> 01:18:49.059]  Same thing's going on in Russia.
[01:18:49.619 --> 01:18:52.159]  They've got a 1.3 population growth.
[01:18:52.820 --> 01:18:54.060]  In fact, I want to get the exact numbers.
[01:18:54.080 --> 01:18:55.300]  I haven't looked at them in about a year.
[01:18:55.700 --> 01:19:00.522]  Pull up world population growth numbers.
[01:19:01.222 --> 01:19:02.983]  And it'll pull up an encyclopedia online.
[01:19:03.003 --> 01:19:03.743]  You can see the latest.
[01:19:05.061 --> 01:19:05.321]  Numbers.
[01:19:05.341 --> 01:19:07.523]  We'll test this on air and see if my memory serves right.
[01:19:07.543 --> 01:19:09.565]  I believe Japan's 1.3, but it fluctuates.
[01:19:09.845 --> 01:19:12.427]  Workers urge, go home and multiply.
[01:19:14.108 --> 01:19:22.055]  Even before one reaches the front door of Canon's headquarters in Tokyo, one can sense the virtual stampede of employees pouring out of the building at exactly 5.30 p.m.
[01:19:22.695 --> 01:19:27.339]  And it goes on to say they're being told, go home, have babies, you know, they're going to get money, they're going to get incentives.
[01:19:29.065 --> 01:19:30.526]  Oh, here it is in the article.
[01:19:31.206 --> 01:19:34.987]  As I mentioned this earlier, I haven't read this article yet, but they ran into me.
[01:19:35.127 --> 01:19:50.273]  It says at 1.34, so at 1.3 as I said, it's there in the fifth paragraph, at 1.34, so I said 1.3, a birth rate is well below 2.0 needed to maintain Japan's population according to the country's Ministry of Health, Labor and Welfare.
[01:19:50.313 --> 01:19:54.515]  Indigenous Americans, whether you're Hispanic, black, white, meaning your grandparents were born here,
[01:19:56.886 --> 01:19:58.106]  You know, not immigrant families.
[01:19:58.847 --> 01:20:00.267]  I believe the United States is 1.7.
[01:20:00.627 --> 01:20:08.870]  Now we're 2.2 if you count the 30 plus million illegal aliens brought in the last decade.
[01:20:10.531 --> 01:20:12.011]  It's called the death of the West, so there's that.
[01:20:12.271 --> 01:20:16.333]  Now, what is Nancy Pelosi saying about the United States?
[01:20:17.773 --> 01:20:19.034]  Put that up on screen for folks.
[01:20:20.535 --> 01:20:30.562]  Speaker of the House Nancy Pelosi boldly defended a move to add birth control funding to the new economic stimulus package, claiming contraception will reduce costs to the states and the federal government.
[01:20:30.582 --> 01:20:32.183]  What do you think the HPV shot is?
[01:20:33.024 --> 01:20:38.668]  Pelosi, the mother of five children and six grandchildren who once said, nothing in my life will ever, ever compare to being a mom, and it doesn't.
[01:20:38.708 --> 01:20:39.709]  Being a parent is just magic.
[01:20:40.129 --> 01:20:42.991]  She seemed to imply babies are somehow a burden to the Treasury.
[01:20:44.912 --> 01:20:46.092]  See, America's done for, folks.
[01:20:46.152 --> 01:20:47.353]  We're slated for termination.
[01:20:48.153 --> 01:20:50.554]  And what do you hear Ted Turner and all of them saying?
[01:20:51.794 --> 01:20:52.294]  Same thing.
[01:20:52.374 --> 01:20:59.176]  Fox News, I have a clip of it in the endgame, saying babies are bad for the earth, or carbon footprint, we should only have one baby, we need to tax on people that have more than one baby.
[01:21:00.496 --> 01:21:03.237]  The revelation came during an exchange Sunday morning on ABC's This Week.
[01:21:03.257 --> 01:21:06.438]  Stephanopoulos, hundreds of millions of dollars to expand family planning services.
[01:21:06.478 --> 01:21:07.298]  How is that stimulus?
[01:21:08.779 --> 01:21:09.739]  That means abortion, folks.
[01:21:09.779 --> 01:21:12.440]  Pelosi, what did he sign for Africa and China?
[01:21:12.520 --> 01:21:13.480]  Forced abortion in China.
[01:21:15.009 --> 01:21:15.789]  That's the liberalism.
[01:21:16.569 --> 01:21:17.290]  Less black babies.
[01:21:17.750 --> 01:21:19.690]  Well, the family planning services reduce costs.
[01:21:19.710 --> 01:21:20.411]  They reduce costs.
[01:21:20.731 --> 01:21:26.032]  The states are in terrible financial budget crisis, and part of what we do for children's health is education.
[01:21:26.072 --> 01:21:28.973]  Some of those elements are to help the states meet their financial needs.
[01:21:29.453 --> 01:21:35.835]  One of those, on the initiatives you mentioned, the contraception will reduce costs to the states and the federal government.
[01:21:35.855 --> 01:21:36.395]  Stephanopoulos.
[01:21:36.435 --> 01:21:37.695]  So, no apologies for that.
[01:21:37.735 --> 01:21:38.115]  Pelosi.
[01:21:38.155 --> 01:21:38.896]  No apologies, no.
[01:21:38.936 --> 01:21:41.997]  We have to deal with the consequences of the downturn in our economy developing.
[01:21:42.397 --> 01:21:43.317]  So, abortion.
[01:21:45.066 --> 01:21:45.566]  Less babies.
[01:21:45.606 --> 01:21:48.889]  She says less babies is good, more babies bad, abortion good.
[01:21:49.349 --> 01:21:59.396]  As if we don't need new people in the workforce to pay for the baby boom after World War II and 60 to 80 million, depending on how you look at the numbers, in the next 6 to 10 years leaving the workforce.
[01:22:00.696 --> 01:22:02.918]  They're going to replace those with third world populations.
[01:22:03.318 --> 01:22:04.799]  They don't like America.
[01:22:05.840 --> 01:22:06.520]  You understand that?
[01:22:07.261 --> 01:22:10.323]  They don't like whites, blacks, they don't like indigenous people.
[01:22:10.383 --> 01:22:11.984]  By indigenous, they've been here for hundreds of years.
[01:22:14.241 --> 01:22:16.542]  So, and it's just everywhere.
[01:22:17.362 --> 01:22:18.622]  But in Japan, it's the opposite.
[01:22:20.763 --> 01:22:23.103]  Now, under the Communists, they had these policies in Russia.
[01:22:24.244 --> 01:22:32.946]  Did you guys find an international list of world population growth rates?
[01:22:34.301 --> 01:22:34.941]  That will find it.
[01:22:34.961 --> 01:22:37.862]  Now, I was right, it was 1.3 this year, or last year.
[01:22:38.862 --> 01:22:40.882]  But again, I go off these numbers from my mind.
[01:22:40.902 --> 01:22:41.562]  There aren't always 100%.
[01:22:42.783 --> 01:22:43.803]  That's why you gotta check them.
[01:22:44.203 --> 01:22:50.504]  And that's why I play this little game on air where I check what I'm saying because it's been a couple years since I've seen population numbers and I was right.
[01:22:51.084 --> 01:22:52.204]  That does not mean I'm always right.
[01:22:52.224 --> 01:22:52.704]  Oh, you found them.
[01:22:54.165 --> 01:22:54.745]  Okay.
[01:22:55.705 --> 01:22:56.105]  Let me see.
[01:22:56.185 --> 01:22:56.725]  The regions.
[01:22:56.765 --> 01:23:01.246]  World, Africa, Asia, Europe, Latin America, Caribbean, North America, Oceania.
[01:23:01.266 --> 01:23:01.846]  That's England.
[01:23:03.055 --> 01:23:06.156]  And Ireland, Greenland, and Iceland.
[01:23:08.617 --> 01:23:10.318]  This is broken down in different ways.
[01:23:10.338 --> 01:23:13.720]  I want to see the, this is population growth.
[01:23:16.001 --> 01:23:20.483]  Here's one, right over here, this graph shows Europe, the United States, everybody going down.
[01:23:20.823 --> 01:23:21.483]  This is a good one.
[01:23:22.323 --> 01:23:24.364]  Look at Europe going way down.
[01:23:27.913 --> 01:23:28.613]  England going down.
[01:23:28.633 --> 01:23:31.455]  Remember, there's immigrants flooding these nations, so these are Cook numbers.
[01:23:31.475 --> 01:23:35.037]  It would actually go way down, like a rainbow or a hump.
[01:23:35.738 --> 01:23:36.738]  Asia going way down.
[01:23:37.679 --> 01:23:43.362]  The world growth rate has gone, the speed of the growth has gone way down.
[01:23:43.382 --> 01:23:46.944]  It's going to plane off at about eight and a half billion, all the different studies show.
[01:23:48.605 --> 01:23:53.208]  I'm still trying to find one that just shows the basic, maybe that's not the term to search.
[01:23:54.889 --> 01:23:56.009]  What's the term they use?
[01:23:58.120 --> 01:24:00.623]  Well below the needed to maintain Japan's population.
[01:24:04.287 --> 01:24:04.868]  Well, it doesn't matter.
[01:24:05.228 --> 01:24:05.789]  We'll find those.
[01:24:05.809 --> 01:24:07.171]  You can pull those up for yourself.
[01:24:08.766 --> 01:24:11.408]  The point is, is that the best places in Europe have 1.5.
[01:24:12.148 --> 01:24:13.910]  Some of them have 1.2, 1.3.
[01:24:14.330 --> 01:24:15.251]  Same thing in Japan.
[01:24:16.471 --> 01:24:29.861]  And then people are aborting most of the girls in China, so they have hundreds of millions more boys, and they tell them in public service announcements, immigrate to Africa, immigrate to the US, immigrate to Israel, immigrate to other countries and go get their women.
[01:24:33.399 --> 01:24:37.402]  It's not that I'm even saying Chinese men should be able to go around and find a wife whatever color they want.
[01:24:37.662 --> 01:24:40.223]  The point is their government's advertising, you're not getting a woman here.
[01:24:41.344 --> 01:24:43.946]  Go colonize the planet and that's part of their takeover plan.
[01:24:45.887 --> 01:24:48.688]  I mean literally just to get women and their social engineers knew that.
[01:24:49.589 --> 01:24:51.830]  One reason the Vikings would come to England was to grab the women.
[01:24:52.471 --> 01:24:57.614]  So I mean it's the same deal over and over and over and over and over and over again.
[01:24:59.135 --> 01:25:00.536]  I just hope everybody will visit
[01:25:01.949 --> 01:25:07.092]  Infowars.com and PrisonPlanet.com right now because Obama is bringing in a eugenics agenda.
[01:25:07.172 --> 01:25:11.375]  Taxes and fines and fees and regulations and shutting down family farms and ranches.
[01:25:11.635 --> 01:25:12.656]  You go, how's that going to shut them down?
[01:25:13.316 --> 01:25:24.704]  If you get a $1,000 a day fine if your cow dies or runs off or gets hit by a car, they get out and you don't immediately file by computer and pay a fine, a fee to be able to do that, to tell them your cow died.
[01:25:24.944 --> 01:25:29.107]  You get a $1,000 a day fine when they find out your cow got struck by lightning and then coyotes ate it.
[01:25:29.667 --> 01:25:30.728]  And cows get killed all the time.
[01:25:31.428 --> 01:25:32.889]  They just get sick and fall over dead.
[01:25:34.811 --> 01:25:37.673]  Sometimes you leave some plastic out, cows will eat it, it gets in their stomach and they die.
[01:25:38.094 --> 01:25:41.757]  Thousand dollar day fines, twenty dollar little ring that goes around the chicken.
[01:25:42.157 --> 01:25:45.200]  You can't sell the chicken for five dollars wholesale.
[01:25:45.620 --> 01:25:51.786]  But you got a twenty dollar ring around its neck or on its wing under the Animal ID Act.
[01:25:52.326 --> 01:25:53.227]  It shuts you down.
[01:25:54.208 --> 01:25:55.109]  But guess who's exempt?
[01:25:55.169 --> 01:25:57.431]  Tyson, who helped write the Animal ID Law.
[01:25:57.731 --> 01:25:58.852]  They don't have those costs.
[01:25:59.943 --> 01:26:02.427]  So they can wholesale sell their chickens for $2 or $3.
[01:26:03.068 --> 01:26:05.431]  Your chicken's going to cost $25 when you sell it.
[01:26:06.012 --> 01:26:07.114]  Nobody's going to buy from you.
[01:26:09.137 --> 01:26:12.181]  Meanwhile, they've got SWAT teams raiding people all over the country selling eggs and milk.
[01:26:13.021 --> 01:26:13.581]  And cheese.
[01:26:14.202 --> 01:26:14.722]  The Amish.
[01:26:15.182 --> 01:26:15.783]  The Mennonites.
[01:26:15.823 --> 01:26:16.963]  And private people out there living.
[01:26:17.204 --> 01:26:19.145]  I mean, this is an attack on everybody.
[01:26:19.225 --> 01:26:20.846]  Carbon taxes on everything you do.
[01:26:21.186 --> 01:26:22.046]  Everything you sell.
[01:26:22.447 --> 01:26:23.387]  On life itself.
[01:26:23.407 --> 01:26:24.968]  With a cashless society grid.
[01:26:25.168 --> 01:26:27.069]  With a new national sales tax they're going to push.
[01:26:27.550 --> 01:26:29.711]  Which then tracks all your purchases and what you do.
[01:26:29.731 --> 01:26:32.332]  Because it's going to be a fair sales tax that's graduated.
[01:26:32.673 --> 01:26:34.554]  Where, and that's in quotes when I say fair.
[01:26:34.974 --> 01:26:38.016]  Where people who have low incomes won't have to pay the sales tax.
[01:26:38.036 --> 01:26:41.358]  But you'll still have to swipe the card to show that
[01:26:42.409 --> 01:26:45.751]  You, A, deserve to be in the lower bracket and don't have side jobs.
[01:26:45.971 --> 01:26:51.075]  They'll know if you've got too much money that you're not in the right tax bracket or that you're working in the black market.
[01:26:51.455 --> 01:26:56.298]  This is all about micromanaging, social engineering, everything you do, every facet of your life.
[01:26:56.579 --> 01:26:58.300]  Take a bunch of calls in the final segment.
[01:26:58.620 --> 01:27:02.723]  The new trailer is up on InfoWars.com with the Obama deception.
[01:27:03.303 --> 01:27:08.026]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[01:27:08.387 --> 01:27:11.609]  Our hemp foods are anti-inflammatory and gluten-free.
[01:27:11.997 --> 01:27:12.417]  I'm good to go!
[01:27:38.615 --> 01:27:45.877]  HempUSA.org believes that now is the time to plan for the future and food will be your greatest asset.
[01:27:46.497 --> 01:27:53.299]  People spend money on all kinds of things, but our warning is prepare now for food shortages in the future.
[01:27:54.119 --> 01:27:59.000]  So don't delay, call today, 908-691-2608 and see what our powder, seeds and oil can do for you.
[01:28:03.502 --> 01:28:05.164]  Our beloved Republic is on her knees.
[01:28:05.485 --> 01:28:08.909]  The forces of globalism are destroying national sovereignty worldwide.
[01:28:09.090 --> 01:28:10.932]  But in Liberty's darkest hour, there is hope.
[01:28:11.413 --> 01:28:14.276]  For the first time in modern history, the people are beginning to wake up.
[01:28:14.597 --> 01:28:18.422]  It is essential that patriots worldwide accelerate their fellow man's understanding.
[01:28:18.422 --> 01:28:18.802]  We're good to go.
[01:28:48.424 --> 01:28:50.506]  Exclusive audio interviews and so much more.
[01:28:50.826 --> 01:28:53.328]  The Info War is waiting for you to set it free.
[01:28:53.689 --> 01:28:55.330]  Join PrisonPlanet.tv.
[01:28:55.730 --> 01:28:57.532]  Burn the info bombs to disk.
[01:28:57.732 --> 01:28:59.534]  Put them on the file sharing networks.
[01:28:59.854 --> 01:29:01.275]  Bring down the new world order.
[01:29:01.636 --> 01:29:02.396]  PrisonPlanet.tv
[01:29:03.573 --> 01:29:06.616]  Have you ever wanted to generate your own supply of electrical power?
[01:29:07.057 --> 01:29:10.361]  If so, this is going to be the most important message you will ever hear.
[01:29:10.841 --> 01:29:16.788]  Solar-powered generators are now available from Solutions from Science, one of GCN's oldest and most trusted sponsors.
[01:29:17.148 --> 01:29:21.253]  These emergency backup systems provide life-saving electrical power when you need it most.
[01:29:21.773 --> 01:29:27.497]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity for free.
[01:29:27.797 --> 01:29:30.859]  It's like having an electric power plant running quietly in your own home.
[01:29:31.199 --> 01:29:35.622]  Run sump pumps, shortwave radios, computers, and even keep food from spoiling.
