[00:00:00.069 --> 00:00:00.709]  Corruption.
[01:14:22.644 --> 01:14:25.384]  And I can't believe you can't go out and sell flags.
[01:14:25.404 --> 01:14:27.685]  But, I mean, again, these videos are everywhere of people getting attacked.
[01:14:27.985 --> 01:14:30.385]  We're going to have more on throughout the week.
[01:14:30.505 --> 01:14:32.426]  Women being attacked, men being attacked.
[01:14:33.186 --> 01:14:35.306]  And these are such self-righteous people.
[01:14:35.326 --> 01:14:46.669]  They come running out screaming, you're a racist, trying to stop citizens from getting into public events, getting into grocery stores, getting into libraries, getting into churches.
[01:14:47.629 --> 01:14:50.790]  And, I mean, these are political thugs, and it's very, very scary.
[01:14:51.991 --> 01:14:53.351]  Anything else, Mr. Brown?
[01:14:53.371 --> 01:14:54.372]  Anything else, Mr. Gladney?
[01:14:54.632 --> 01:15:00.714]  Perhaps the SEIU's motto should be, we'll clean your toilets, then we'll beat the hell out of you.
[01:15:03.115 --> 01:15:04.275]  Wait, that'd be a nice t-shirt.
[01:15:04.295 --> 01:15:05.876]  Why don't you get some of those printed up, Alex?
[01:15:06.976 --> 01:15:09.097]  We'll clean your toilets, then we'll beat the hell out of you.
[01:15:09.117 --> 01:15:10.577]  We're the SEIU.
[01:15:10.977 --> 01:15:12.058]  We're the purple shirts.
[01:15:15.276 --> 01:15:21.738]  Hey, get this, they got a group in Austin that are Obama supporters, you can't make this up, called the Austin Brown Shirts.
[01:15:21.758 --> 01:15:25.019]  Sounds like an 1890s baseball team.
[01:15:26.259 --> 01:15:27.459]  Uh, yeah, yeah, that's what they are.
[01:15:27.479 --> 01:15:29.700]  They actually had some in Germany.
[01:15:30.400 --> 01:15:34.621]  But I don't even think they historically know what they're doing, but they're out.
[01:15:34.641 --> 01:15:41.483]  In fact, Google Austin Brown Shirts for people, or Obama's Brown Shirts, and you will get their local chapters in Brown Shirts.
[01:15:42.466 --> 01:15:45.730]  Gentlemen, I'm glad that you made it out of this okay.
[01:15:45.770 --> 01:15:46.290]  God bless you.
[01:15:46.310 --> 01:15:48.372]  Godspeed in defending the First Amendment.
[01:15:48.393 --> 01:15:49.313]  We'll talk to you again soon.
[01:15:49.334 --> 01:15:50.615]  Thank you for having us.
[01:15:51.236 --> 01:15:51.576]  You bet.
[01:15:51.836 --> 01:15:57.642]  Folks, this is a big deal because the people are angry and upset about what's happening.
[01:15:58.143 --> 01:16:01.306]  All the polls show we don't want cap and trade, we don't want government health care.
[01:16:01.326 --> 01:16:04.210]  We'll be right back.
[01:16:06.072 --> 01:16:08.654]  Hello, this is Alex Jones with some important questions.
[01:16:09.054 --> 01:16:14.038]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[01:16:14.399 --> 01:16:16.160]  My answer would be all I can get.
[01:16:16.440 --> 01:16:21.264]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[01:16:21.444 --> 01:16:22.365]  How much do you want?
[01:16:22.625 --> 01:16:23.366]  When do you want it?
[01:16:23.746 --> 01:16:25.347]  Now or after the battle starts?
[01:16:25.628 --> 01:16:26.468]  When will you need it?
[01:16:26.708 --> 01:16:28.770]  Can you buy it without proper identification?
[01:16:28.910 --> 01:16:30.011]  Will there be any food?
[01:16:30.251 --> 01:16:31.592]  Will it make your children sick?
[01:16:31.773 --> 01:16:36.857]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[01:16:37.037 --> 01:16:40.240]  You wipe out all these problems if you have a good food supply.
[01:16:40.640 --> 01:16:44.103]  Food is your ammunition to fight for your freedom and your life.
[01:16:44.443 --> 01:16:45.424]  How much will you need?
[01:16:45.664 --> 01:16:46.284]  We don't know.
[01:16:46.564 --> 01:16:47.485]  How much do you want?
[01:16:47.665 --> 01:16:48.405]  All you can get.
[01:16:48.605 --> 01:16:49.446]  I'm Alex Jones.
[01:16:49.706 --> 01:16:52.467]  I want all of you good guys to live to fight another day.
[01:16:52.747 --> 01:16:55.368]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[01:16:55.589 --> 01:16:56.349]  Again, that number 1-800-409-5633.
[01:17:05.182 --> 01:17:09.166]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[01:17:09.426 --> 01:17:11.208]  Do you really know what's in your tap water?
[01:17:11.428 --> 01:17:19.717]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[01:17:19.957 --> 01:17:25.182]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[01:17:25.502 --> 01:17:27.124]  Now what are you going to do about it?
[01:17:27.344 --> 01:17:33.688]  The Acola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[01:17:33.868 --> 01:17:44.616]  The Acola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[01:17:44.916 --> 01:17:45.416]  That's right.
[01:17:45.696 --> 01:17:47.978]  Clean water, right from the air you breathe.
[01:17:48.258 --> 01:17:49.999]  Order today by calling 1-800-691-6043.
[01:17:50.059 --> 01:17:50.259]  That's 1-800-691-6043.
[01:17:50.319 --> 01:17:51.500]  Or visit acolablue.com.
[01:17:57.244 --> 01:17:58.525]  We're good to go.
[01:18:20.120 --> 01:18:28.144]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[01:18:28.545 --> 01:18:35.608]  Try their Inner Food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[01:18:36.009 --> 01:18:41.612]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health ranger.
[01:18:42.052 --> 01:18:47.615]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[01:18:48.055 --> 01:18:51.860]  Try all of their truly honest products that will keep you alive and healthy.
[01:18:52.200 --> 01:18:58.408]  Go to enerfood.com or give them a call right now.
[01:18:58.428 --> 01:18:58.869]  866-762-9238.
[01:18:59.670 --> 01:19:02.974]  Click on their banner at infowars.com to see all the available discounts.
[01:19:05.370 --> 01:19:10.354]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:19:10.574 --> 01:19:14.358]  Number one, new climate legislation could easily double or triple your electric bill.
[01:19:14.598 --> 01:19:20.203]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:19:20.503 --> 01:19:25.367]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:19:25.567 --> 01:19:26.068]  Number three,
[01:19:26.468 --> 01:19:31.914]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:19:32.775 --> 01:19:35.418]  The hurricane and dangerous summer storm season is here again.
[01:19:35.679 --> 01:19:39.883]  Every year, thousands of families lose their power from weather-related outages.
[01:19:40.204 --> 01:19:43.808]  A solar power generator provides powerful backup insurance and peace of mind.
[01:19:44.028 --> 01:19:49.531]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[01:19:49.771 --> 01:19:54.334]  You can get more information at www.mysolarbackup.com.
[01:19:54.454 --> 01:19:56.015]  That's mysolarbackup.com.
[01:19:56.235 --> 01:19:58.577]  Remember, the government doesn't own the sun yet.
[01:19:58.817 --> 01:20:01.438]  So go to mysolarbackup.com or call toll free 877-327-0365.
[01:20:20.195 --> 01:20:29.639]  Senator Barack Obama's presidential campaign is asking Missouri law enforcement to target anyone who lies or runs a misleading television ad during the presidential campaign.
[01:20:30.139 --> 01:20:32.540]  First, John Mills is live at the county election board in Maplewood.
[01:20:32.560 --> 01:20:37.242]  He's been learning more about which members of law enforcement are getting involved in this.
[01:20:37.282 --> 01:20:38.162]  John, tell us more about this.
[01:20:38.922 --> 01:20:39.542]  Russell, good evening.
[01:20:39.642 --> 01:20:45.705]  Prosecutors and sheriffs from across Missouri are joining something called the Barack Obama Truth Squad.
[01:20:46.045 --> 01:20:49.306]  Two high-profile prosecutors are part of the team.
[01:20:49.606 --> 01:20:52.047]  We met them this afternoon in the Central West End.
[01:20:52.407 --> 01:20:55.608]  They are Jennifer Joyce from the city, Bob McCullough, the St.
[01:20:55.648 --> 01:20:57.269]  Louis County prosecuting attorney.
[01:20:57.289 --> 01:21:04.191]  They will be reminding voters that Barack Obama is a Christian who wants to cut taxes for anyone making less than $250,000 a year.
[01:21:06.445 --> 01:21:13.952]  They also say they plan to respond immediately to any ads and statements that might violate Missouri ethics laws.
[01:21:15.553 --> 01:21:17.976]  We want to keep this campaign focused on issues.
[01:21:18.456 --> 01:21:24.021]  We don't want people to get distracted and Missourians don't want to be distracted by these divisive character attacks.
[01:21:24.141 --> 01:21:27.124]  So we're here to respond to any character attacks.
[01:21:27.492 --> 01:21:28.793]  To set the record straight.
[01:21:28.893 --> 01:21:38.176]  Whether it is directly attributable to the campaign or to one of the soft money operations, if they're not going to tell the truth, then somebody's got to step up and say, wait a minute, that's not true.
[01:21:38.376 --> 01:21:39.137]  This is the truth.
[01:21:40.657 --> 01:21:50.841]  Now the Obama campaign tells News 4 that others, prosecutors and sheriffs, are also part of the team, including some from the Kansas City area and from rural parts of Missouri.
[01:21:51.081 --> 01:21:52.642]  We're also told the Truth Squad
[01:21:53.098 --> 01:21:56.249]  ...is expected to include Jefferson County Sheriff Glenn Boyd.
[01:21:56.751 --> 01:21:58.858]  Live in Maplewood, John Mills, News 4.
[01:21:59.058 --> 01:21:59.741]  John, thank you.
[01:22:01.004 --> 01:22:11.273]  Now look, I can't play all the other newscasts in the time we have because I want to come back and take at least 30 minutes of calls here in the last half hour of the show, your response to all the things that are happening.
[01:22:12.114 --> 01:22:15.317]  The toll-free number to join us is 888-201-2244.
[01:22:15.337 --> 01:22:15.778]  888-201-2244.
[01:22:15.958 --> 01:22:25.406]  Or if you're listening to us on our flagship NewsRadio 590K LBJ here in Austin, you can call in in Central Texas.
[01:22:25.527 --> 01:22:26.487]  Well, I guess you can hear us from
[01:22:27.446 --> 01:22:28.747]  Oklahoma down to Mexico on 590.
[01:22:28.887 --> 01:22:29.047]  It's 512-646-1776.
[01:22:29.067 --> 01:22:31.789]  Now look, what you just heard is pure, un-American, anti-freedom evil.
[01:22:41.064 --> 01:22:58.095]  It's all color law fraud, and we saw those TV newscasts out of Vermont, of all places, great state, out of Florida, out of Illinois, out of California, where the police are the political officers, the Commissariat, or the Gestapo, in German terms.
[01:22:58.875 --> 01:23:00.196]  And did you hear him?
[01:23:00.496 --> 01:23:02.978]  We're going to keep this campaign focused on issues.
[01:23:03.358 --> 01:23:04.939]  We're going to decide what you can talk about.
[01:23:05.219 --> 01:23:07.541]  We're going to remind you as your friendly big brother.
[01:23:08.301 --> 01:23:17.107]  Now, of course, if I say that Barack Obama is from the planet Pluto and chops children's heads off and drinks their blood, of course, that's hypothetical.
[01:23:17.167 --> 01:23:17.688]  It's not true.
[01:23:17.728 --> 01:23:18.288]  I'm joking.
[01:23:18.568 --> 01:23:19.489]  This is hypothetical.
[01:23:21.670 --> 01:23:23.291]  The police can't arrest me for that.
[01:23:24.232 --> 01:23:28.355]  Obama has to sue me and get a civil judgment on me.
[01:23:29.775 --> 01:23:31.836]  The police aren't judge, jury, and executioner.
[01:23:32.977 --> 01:23:37.140]  So, they said, oh, we'll decide if you're lying or, do you hear, misleading.
[01:23:38.837 --> 01:23:40.838]  We'll decide if you're... And of course, they're the liars.
[01:23:40.919 --> 01:23:42.540]  Introduced all these bills to take your guns.
[01:23:42.780 --> 01:23:43.640]  We've read them here on air.
[01:23:43.901 --> 01:23:44.561]  Introduced bills.
[01:23:44.641 --> 01:23:45.562]  Total socialism.
[01:23:45.822 --> 01:23:46.903]  Take over the health care.
[01:23:47.023 --> 01:23:48.064]  Aspirin for a heart attack.
[01:23:48.124 --> 01:23:48.984]  Rationing of care.
[01:23:49.365 --> 01:23:50.786]  Instant access to your bank accounts.
[01:23:50.866 --> 01:23:51.686]  Fining, feeing you.
[01:23:51.866 --> 01:23:52.627]  It's all in the thing.
[01:23:52.667 --> 01:23:54.088]  I've read the bill over and over again on air.
[01:23:54.368 --> 01:23:55.649]  Subsection by subsection.
[01:23:55.829 --> 01:23:56.630]  So they're lying!
[01:23:57.430 --> 01:23:58.891]  But see, they're going to decide who can speak.
[01:23:58.972 --> 01:24:04.916]  And now, we had three videos on the front page of YouTube yesterday.
[01:24:06.078 --> 01:24:22.023]  Two, I was calm, cool, and collected, talking about how Republicans are being booed off the stage as well, how they want to make Republicans and Democrats fight with each other, and how the people are waking up and calling for Americans to be active and to shatter the left-right paradigm peacefully.
[01:24:23.274 --> 01:24:28.320]  Those videos that were in the top 10 on there were taken down.
[01:24:28.360 --> 01:24:34.767]  Now the one where I did a funny 20 minute spoof just having fun as the Joker, making fun of this Joker Obama poster.
[01:24:35.027 --> 01:24:35.828]  Why did I do that?
[01:24:37.730 --> 01:24:43.397]  Because somebody in California put Joker paint on the Time Magazine cover of Barack Obama.
[01:24:44.341 --> 01:24:45.822]  And said socialism.
[01:24:46.642 --> 01:24:49.563]  And then they started saying, this should be illegal, this is wrong.
[01:24:49.643 --> 01:24:51.104]  The White House called it dangerous.
[01:24:51.404 --> 01:24:53.344]  The LA Times said they should be taken down.
[01:24:54.085 --> 01:24:55.905]  And they called it racist.
[01:24:57.306 --> 01:24:58.226]  And I went, wait a minute.
[01:24:59.467 --> 01:25:02.288]  People did magazine covers of Bush as the Joker.
[01:25:02.888 --> 01:25:05.929]  I posted stuff of him attacking the Statue of Liberty as a vampire.
[01:25:05.949 --> 01:25:07.690]  I mean, that's our right as Americans.
[01:25:07.730 --> 01:25:10.291]  That's pure Americana to make fun of your leaders.
[01:25:12.250 --> 01:25:13.691]  Love your country, fear your government.
[01:25:13.711 --> 01:25:16.734]  I mean, Teddy Roosevelt said the most patriotic thing to do is criticize government.
[01:25:16.754 --> 01:25:18.235]  It's your right, even if you're wrong.
[01:25:18.695 --> 01:25:19.836]  Or if you're right, it's your right.
[01:25:20.096 --> 01:25:20.576]  Either way.
[01:25:20.596 --> 01:25:29.723]  I mean, how is showing him as the Joker, a psychopathic master criminal, which is what he represents, who he works for, $23.7 trillion?
[01:25:29.743 --> 01:25:31.324]  I mean, the Joker's an imaginary character.
[01:25:32.625 --> 01:25:34.766]  That video, though, got left up.
[01:25:34.826 --> 01:25:35.807]  They don't care about that.
[01:25:37.602 --> 01:25:40.466]  You know, I did it to get people to go to Infowars.com.
[01:25:40.566 --> 01:25:44.311]  We made our own versions of Obama fascism, Obamainfowars.com.
[01:25:44.331 --> 01:25:52.622]  They're all over Austin, all over England, all over Ireland, all over Russia, all over Japan, all over San Antonio, all over Houston, all over L.A.
[01:25:52.882 --> 01:25:54.064]  You guys have gone wild.
[01:25:54.144 --> 01:25:54.865]  This is awesome.
[01:25:55.908 --> 01:26:05.332]  I mean, Kurt Nemo's posting the videos up on InfoWars.com, and we're having the contest for next week for who can put up the most posters in public places where you're allowed to post flyers.
[01:26:06.292 --> 01:26:08.593]  And, you know, videotape it and put it on YouTube.
[01:26:08.613 --> 01:26:09.573]  A thousand dollar contest.
[01:26:10.234 --> 01:26:12.674]  But the point is, in San Antonio they tried.
[01:26:14.235 --> 01:26:15.476]  We are Change San Antonio.
[01:26:15.756 --> 01:26:17.636]  Black folks, Hispanics, whites together.
[01:26:18.036 --> 01:26:24.319]  White yuppies and others run over and start grabbing the signs and ripping them down, trying to violate their First Amendment.
[01:26:25.606 --> 01:26:26.306]  We're playing some of that.
[01:26:26.326 --> 01:26:28.127]  I mean, see, this is the craziness, folks.
[01:26:28.527 --> 01:26:32.028]  They believe the propaganda.
[01:26:33.188 --> 01:26:36.149]  They have said that if you criticize Obama, you're racist.
[01:26:36.189 --> 01:26:42.491]  And all these weak-minded people then, when you go, hey, I don't want to turn my guns in, they really believe you're a Ku Klux Klan member.
[01:26:42.751 --> 01:26:47.492]  We've got to come out boldly and not let this chilling effect against our First Amendment work.
[01:26:48.613 --> 01:26:49.853]  Because if we do that,
[01:26:50.959 --> 01:26:51.399]  It's over.
[01:26:51.779 --> 01:26:52.640]  That's what Hitler did.
[01:26:52.680 --> 01:26:53.640]  This is how tyrants work.
[01:26:53.960 --> 01:26:57.282]  They come in and they intimidate you and they bully you into doing this.
[01:26:57.362 --> 01:26:59.783]  And I want to say something to other people, too.
[01:26:59.803 --> 01:27:02.844]  The Joker videos I've done, there's two of them, are viral all over the web.
[01:27:02.885 --> 01:27:10.248]  I mean, you know, a million plus total, just what I could count up on BlipTV and a few dozen channels I looked at.
[01:27:11.108 --> 01:27:15.710]  What, two hundred and something thousand plus on YouTube, just on our channel, just on one of the videos.
[01:27:15.790 --> 01:27:16.871]  I mean, this is amazing.
[01:27:17.211 --> 01:27:18.912]  So when I say a million, that's underestimating.
[01:27:20.199 --> 01:27:26.022]  In the last 48 hours, or less, we put it up, yeah, less than 48, about 40 hours, about 44 hours actually.
[01:27:27.043 --> 01:27:28.043]  So they're going mega-viral.
[01:27:28.884 --> 01:27:33.626]  But people are so freaked out by me, in fact it's in there in the bathroom, I'm gonna go grab one to show people.
[01:27:34.427 --> 01:27:39.770]  All these are some red paint, some white, you know, pancake makeup.
[01:27:40.070 --> 01:27:41.811]  You put that on, everybody's so scared.
[01:27:42.171 --> 01:27:47.234]  I went out in Austin and cops saw me and actually started stepping back and were scared.
[01:27:48.211 --> 01:27:52.202]  Like, they look like little boys when I got out of the car and said, hello officers.
[01:27:52.222 --> 01:27:54.829]  I mean, they look scared and start stepping back.
[01:27:55.831 --> 01:27:58.733]  And full-grown adults look scared at red lights.
[01:27:59.414 --> 01:28:22.893]  And people look... Again, they're not scared of John P. Holdren, White House science czar, who wrote an 1,100-page government policy book, Ecoscience, about how they're putting drugs in the water to sterilize you, about how the CPS will break up the family, and the job of the government is to end the family institution and raise all children in government institutions, and how they're going to force sterilize and force abortions.
[01:28:23.513 --> 01:28:27.340]  See, he's got a little beard and talks quiet and sweet, so it's not scary.
[01:28:27.741 --> 01:28:32.129]  People have to stop looking just at the surface and start looking at the deeds.
[01:28:33.035 --> 01:28:37.699]  You know, Obama doubled the funding for forced abortion, and it goes on in Africa.
[01:28:38.460 --> 01:28:39.481]  Under State Department Random 200.
[01:28:39.521 --> 01:28:43.044]  You see, killing black babies is loving and liberal.
[01:28:43.384 --> 01:28:46.006]  Like Margaret Sanger, who said blacks were subhuman that had to be killed.
[01:28:46.266 --> 01:28:47.688]  She's loved by black groups.
[01:28:48.188 --> 01:28:51.791]  But then, if you wear pancake makeup, everybody gets scared.
[01:28:52.191 --> 01:28:53.613]  And I did that to illustrate
[01:28:54.133 --> 01:28:56.838]  That people are acting and behaving like children out there.
[01:28:57.198 --> 01:28:58.701]  Let's not let them censor us.
[01:28:59.001 --> 01:28:59.803]  Get the videos.
[01:28:59.863 --> 01:29:00.864]  Get them out to everybody.
[01:29:00.925 --> 01:29:02.167]  Get the posters up everywhere.
[01:29:02.387 --> 01:29:03.268]  Your call straight ahead.
[01:29:05.353 --> 01:29:06.434]  This is Alex Jones.
[01:29:06.734 --> 01:29:08.516]  Have you heard of the Millionaire Patriot?
[01:29:08.716 --> 01:29:09.377]  Well, you should.
[01:29:09.697 --> 01:29:13.942]  He has a free handgun and five days of firearms training waiting for you.
[01:29:14.202 --> 01:29:14.682]  That's right.
[01:29:15.003 --> 01:29:23.471]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[01:29:23.651 --> 01:29:24.933]  All for pennies on the dollar.
[01:29:25.013 --> 01:29:26.174]  Plus, if you act fast.
[01:29:26.374 --> 01:29:31.978]  The Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[01:29:32.338 --> 01:29:38.863]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[01:29:39.243 --> 01:29:44.427]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[01:29:44.747 --> 01:29:45.908]  This is real.
[01:29:46.209 --> 01:29:46.949]  Don't miss out.
[01:29:47.270 --> 01:29:55.658]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[01:29:55.838 --> 01:29:58.021]  Go to FrontSight.com today.
[01:29:58.201 --> 01:30:01.704]  That's F-R-O-N-T-S-I-G-H-T dot com.
[01:30:01.905 --> 01:30:04.808]  Go to FrontSight.com for your training and free gun.
[01:30:05.984 --> 01:30:08.587]  Hello, this is Alex Jones with some important questions.
[01:30:08.987 --> 01:30:13.953]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[01:30:14.334 --> 01:30:16.076]  My answer would be all I can get.
[01:30:16.376 --> 01:30:21.202]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[01:30:21.382 --> 01:30:22.303]  How much do you want?
[01:30:22.543 --> 01:30:23.303]  When do you want it?
[01:30:23.664 --> 01:30:25.265]  Now or after the battle starts?
[01:30:25.545 --> 01:30:26.385]  When will you need it?
[01:30:26.625 --> 01:30:28.686]  Can you buy it without proper identification?
[01:30:28.826 --> 01:30:29.927]  Will there be any food?
[01:30:30.167 --> 01:30:31.508]  Will it make your children sick?
[01:30:31.708 --> 01:30:36.771]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[01:30:36.971 --> 01:30:40.153]  You wipe out all these problems if you have a good food supply.
[01:30:40.553 --> 01:30:44.015]  Food is your ammunition to fight for your freedom and your life.
[01:30:44.355 --> 01:30:45.356]  How much will you need?
[01:30:45.596 --> 01:30:46.217]  We don't know.
[01:30:46.497 --> 01:30:47.398]  How much do you want?
[01:30:47.599 --> 01:30:48.339]  All you can get.
[01:30:48.520 --> 01:30:49.361]  I'm Alex Jones.
[01:30:49.621 --> 01:30:52.384]  I want all of you good guys to live to fight another day.
[01:30:52.664 --> 01:30:54.426]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[01:30:54.446 --> 01:30:55.367]  Again that number 1-800-409-5633.
[01:31:05.000 --> 01:31:10.167]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[01:31:10.307 --> 01:31:14.693]  Will you continue to be their profit center, buying their processed food that makes you sick?
[01:31:14.833 --> 01:31:16.676]  Go to the doctor and buy their drugs?
[01:31:17.116 --> 01:31:18.458]  You don't have to cooperate.
[01:31:18.718 --> 01:31:19.760]  There is a solution.
[01:31:20.000 --> 01:31:28.006]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[01:31:28.427 --> 01:31:35.492]  Try their Inner Food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[01:31:35.873 --> 01:31:41.537]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health ranger.
[01:31:41.917 --> 01:31:47.502]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[01:31:47.922 --> 01:31:51.725]  Try all of their truly honest products that will keep you alive and healthy.
[01:31:52.065 --> 01:31:59.011]  Go to enerfood.com or give them a call right now.
[01:31:59.031 --> 01:31:59.231]  866-762-9238.
[01:31:59.531 --> 01:32:02.854]  Click on their banner at infowars.com to see all the available discounts.
[01:32:04.940 --> 01:32:08.921]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[01:32:09.181 --> 01:32:10.961]  Do you really know what's in your tap water?
[01:32:11.181 --> 01:32:19.463]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[01:32:19.703 --> 01:32:24.925]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[01:32:25.245 --> 01:32:26.865]  Now what are you going to do about it?
[01:32:27.105 --> 01:32:33.451]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[01:32:33.631 --> 01:32:44.381]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere, and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[01:32:44.682 --> 01:32:45.202]  That's right.
[01:32:45.462 --> 01:32:47.765]  Clean water, right from the air you breathe.
[01:32:48.025 --> 01:32:49.586]  Order today by calling 1-800-691.
[01:32:51.528 --> 01:32:52.169]  We're good to go.
[01:33:18.476 --> 01:33:23.660]  There is a science that the global architects have perfected of divide and conquer.
[01:33:24.020 --> 01:33:25.001]  The great game.
[01:33:25.481 --> 01:33:27.022]  They play us off against each other.
[01:33:27.042 --> 01:33:31.586]  And that's all that's happening with Obama.
[01:33:32.747 --> 01:33:42.094]  But people are resisting and rebelling and going to any and all city council, county commissioners, state boards, federal meetings, and getting angry.
[01:33:43.032 --> 01:34:06.469]  What the media doesn't tell you, O, is they first get up, because I've talked to people, I've talked to, again it was my mother's birthday today, and a lot of her old friends were down here from Dallas and places, and one of them, Steve Heimberg was there, and he was a good friend of mine, he was telling me about how he went to a town hall, and they were shouting a Republican off the stage, and how there were all these goons
[01:34:07.580 --> 01:34:13.762]  Handing out, from Acorn and Things, literature about how great healthcare is.
[01:34:14.142 --> 01:34:19.103]  And that there were other people there handing out literature saying it was bull, that appeared to be just regular citizens, you know.
[01:34:19.644 --> 01:34:23.265]  The Acorn people were all organized and focused and the other people weren't.
[01:34:23.725 --> 01:34:30.707]  But that this turned into people basically chasing the Republican leader off and then taking over the podium.
[01:34:31.630 --> 01:34:36.513]  Because people start chanting the Republican left, so the citizens just went up and started speaking at the microphone.
[01:34:37.034 --> 01:34:41.056]  I mean, in fact, that was the article I had you print, Hartman.
[01:34:41.537 --> 01:34:42.517]  I know you gave it to me.
[01:34:43.498 --> 01:34:44.359]  I had several of them.
[01:34:44.379 --> 01:34:45.359]  It was here in my stack.
[01:34:45.379 --> 01:34:52.864]  I meant to get to that, then I'm going to your calls, where we've got multiple reports where all these Congress people, there it is on the screen.
[01:34:52.904 --> 01:34:53.124]  Good.
[01:34:53.164 --> 01:34:53.665]  Good thinking.
[01:34:54.305 --> 01:34:58.548]  Citing safety concerns, you city councils, councils,
[01:35:00.149 --> 01:35:15.442]  McCaskill's event, a day after Russ Carnahan event led to the arrest of five participants and a reporter, they don't tell you it was the arrest of the Obama people, so they won't tell you that, University City High School where U.S.
[01:35:15.702 --> 01:35:23.008]  Senator Claire McCaskill was set to hold a similar event on Thursday announced the forum had been
[01:35:23.709 --> 01:35:24.270]  Canceled.
[01:35:24.871 --> 01:35:26.653]  And they went on to say because of safety.
[01:35:27.094 --> 01:35:29.937]  Terrorists, you know, terrorists might strike.
[01:35:29.957 --> 01:35:36.826]  So the message is, just like the DHS report, you don't like world government, you don't like banks raping you, you're a terrorist.
[01:35:37.833 --> 01:35:48.039]  And I told you that was next, would be them abandoning these meetings, abandoning these events, because they only want to have these events for the news to make it look like the public's buying into it.
[01:35:48.299 --> 01:35:55.603]  So people sitting at home who are angry will go, I guess other people don't care, well I won't get involved, because they know how human psychology works.
[01:35:55.983 --> 01:36:06.629]  If you figure out both Republicans and Democrats are all awake and angry, and that we actually agree with each other on more than we disagree, and that the Bill of Rights and Constitution is being violated, we can bring all these crooks to justice.
[01:36:06.969 --> 01:36:11.658]  We can audit the Fed and arrest their butts for the crimes they've committed as Ron Paul said here last week.
[01:36:12.019 --> 01:36:14.484]  Alright, let's go to your calls as promised for the balance of the show.
[01:36:14.564 --> 01:36:14.864]  It's just...
[01:36:16.212 --> 01:36:18.453]  YouTube says they're going to shut down the Alex Jones Channel.
[01:36:18.573 --> 01:36:20.674]  They've sent us a notice to get ready for that.
[01:36:21.015 --> 01:36:21.755]  For no reason.
[01:36:22.555 --> 01:36:23.716]  Just saying we're racist.
[01:36:24.436 --> 01:36:27.758]  Because nameless goons complain.
[01:36:28.659 --> 01:36:34.982]  That means if a hundred people wanted to burn down my office under that idea, that the police would come light the torches for them.
[01:36:35.382 --> 01:36:36.383]  See, in a republic,
