[00:00:00.009 --> 00:00:02.670]  That's at SuperiorLifeWater.com.
[01:26:35.626 --> 01:26:42.911]  Let me say first of all that people who went through 2008 talking about an attack on Iran, there was no attack on Iran.
[01:26:42.931 --> 01:26:49.496]  There will be no attack on Iran and the Israelis have been told that they're not allowed to attack Iran, so they've been essentially banned
[01:26:50.134 --> 01:26:51.195]  from attacking Iran.
[01:26:51.635 --> 01:27:03.784]  I think there's certainly a big push towards what amounts to compulsory militias, compulsory service, masquerading as volunteer service.
[01:27:03.824 --> 01:27:11.850]  Here we have Colin Powell wants everybody to carry out volunteer service to celebrate Martin Luther King Day.
[01:27:12.390 --> 01:27:13.111]  I really wonder
[01:27:13.615 --> 01:27:31.939]  Whether Volker, Geithner, Jamie Dimon of JPMorgan Chase, Blankfein from Goldman Sachs, Mac over at Morgan Stanley, Larry Summers from the White House, I really wonder if Rahm Emanuel is going to be out there carrying out volunteer service.
[01:27:31.979 --> 01:27:33.800]  And I somehow, I doubt it.
[01:27:33.960 --> 01:27:37.361]  And the military side of it is perfectly possible.
[01:27:37.781 --> 01:27:42.482]  And I think what you see now is a kind of gloating in the ruling class that they now
[01:27:43.208 --> 01:27:54.070]  have a whole series of options that had been foreclosed during the late Bush years because of the fact that Bush was so discredited and so hated and so isolated that they couldn't get away with those things.
[01:27:54.170 --> 01:28:00.512]  And obviously the military draft is one side of it, and he would bring that in under the left cover.
[01:28:00.552 --> 01:28:04.733]  He'd say, we have a humanitarian emergency in Darfur in Sudan.
[01:28:05.133 --> 01:28:07.193]  The Burmese government is oppressive.
[01:28:07.593 --> 01:28:10.554]  The Pakistanis are harassing women.
[01:28:11.107 --> 01:28:20.253]  So it would be now a series of invasions conducted under left cover rather than under the worn out discredited cliches of 9-11.
[01:28:20.273 --> 01:28:21.974]  So I think all that's possible.
[01:28:22.014 --> 01:28:26.037]  The other obvious possibility is the false flag option.
[01:28:26.097 --> 01:28:34.923]  And remember the famous or infamous speech by Joe Biden in Seattle on October 19th is going to be a foreign affairs crisis in the first six months.
[01:28:35.443 --> 01:28:37.685]  It's going to be ginned up, generated, fake.
[01:28:38.165 --> 01:28:39.486]  The righteousness of the U.S.
[01:28:39.546 --> 01:28:40.927]  position will not be obvious.
[01:28:41.383 --> 01:28:42.444]  Gotta support Barkey.
[01:28:43.024 --> 01:29:09.425]  And then the other one, the 12-month perspective that the economic policies of the new administration, obviously now based on austerity, sacrifice, lowering the standard of living, wage gouging, taking away various economic rights under left cover, that that would make the whole Obama team so hated that their standing in the polls will have collapsed within 12 months, which based on the model of Jimmy Carter, I think is about right.
[01:29:09.465 --> 01:29:10.466]  And actually, I think it'll go even
[01:29:10.876 --> 01:29:12.977]  Even faster this time around.
[01:29:13.037 --> 01:29:15.698]  So they've got all of these things going.
[01:29:15.818 --> 01:29:19.979]  And I, of course, urge people, don't suspend your critical judgment.
[01:29:20.039 --> 01:29:29.463]  Don't have your autonomous judgment as a citizen taken away by this hysteria, this hype, the messianic, utopian rhetoric.
[01:29:29.903 --> 01:29:33.184]  The inaugural address will be a tissue of lies.
[01:29:33.264 --> 01:29:40.247]  And as a matter of fact, let me ask people, if you have a chance, tomorrow afternoon, starting at 2 o'clock Eastern,
[01:29:40.683 --> 01:29:45.204]  You can, on this same network, Genesis, you can go over to my program, the World Crisis Radio.
[01:29:45.744 --> 01:29:59.627]  I recorded, just in the past couple of hours, a counter-inaugural, counter-State of the Union, where I go through an economic recovery program to fight the Depression, a program for world peace, a program of institutional reform.
[01:29:59.667 --> 01:30:03.988]  Just listen to that and you'll get the whole lowdown on the way that I see things.
[01:30:04.048 --> 01:30:06.509]  But the important thing now is to have an opposition.
[01:30:07.349 --> 01:30:08.549]  If Obama comes forward with a
[01:30:09.059 --> 01:30:15.742]  With a bailout of $850 billion, it simply will not do to stand around in the corner saying, I want the free market, I want the free market.
[01:30:16.042 --> 01:30:21.725]  It's like saying I want Santa Claus the Tooth Fairy and the Easter Bunny to come and save me, because this stuff just doesn't exist.
[01:30:21.785 --> 01:30:23.746]  It's nowhere to be found in the world.
[01:30:23.786 --> 01:30:30.249]  We live in a world of monopoly cartels, trusts, oligopolies, duopolies, you name it.
[01:30:30.689 --> 01:30:31.790]  There's no free market.
[01:30:31.830 --> 01:30:33.871]  There never really has been in centuries.
[01:30:34.726 --> 01:30:43.771]  If you talk about free market and say you think that the government ought to let the depression take its course, this basically puts you in a deep freeze.
[01:30:43.831 --> 01:30:45.753]  It puts you off the political map.
[01:30:46.133 --> 01:30:54.758]  What you've got to be able to do is have the sophistication to get in there and distinguish between the things that Obama will have in his programs that are good and that ought to be in there.
[01:30:54.798 --> 01:30:59.040]  He'll say, more money for food stamps, yes, ten times as much as Obama wants.
[01:30:59.340 --> 01:31:01.502]  He'll say, more money for unemployment benefits, 52 weeks.
[01:31:02.532 --> 01:31:04.213]  A hundred and four weeks, yes.
[01:31:04.634 --> 01:31:06.195]  Ten times as much as Obama wants.
[01:31:06.235 --> 01:31:09.137]  And then they'll say, green jobs and green energy, no.
[01:31:09.157 --> 01:31:12.999]  Then they'll say community development block grants for ACORN, no.
[01:31:13.460 --> 01:31:25.008]  So that you get in there and actually grapple with these problems rather than retreating into some ivory tower of a world that has not existed and certainly does not exist now.
[01:31:25.068 --> 01:31:29.851]  You've got to get in there and be able to fight, you know, point by point, as Obama
[01:31:30.836 --> 01:31:33.498]  He's got a woman called Killifer.
[01:31:34.379 --> 01:31:37.821]  I suppose she's going to be Madame Killjoy or Madame Killer.
[01:31:38.222 --> 01:31:42.565]  Killifer is the performance officer of the administration.
[01:31:43.145 --> 01:31:52.211]  We can avoid all the obvious jokes about that, but the performance officer is that she's supposed to go through the federal budget line by line and find out the things that are not necessary.
[01:31:52.291 --> 01:31:55.313]  So she's going to be the new cap the knife, right?
[01:31:55.373 --> 01:31:58.936]  The new austerity czar and budget deficit hawk.
[01:31:59.477 --> 01:32:09.783]  And the kind of thing that somebody like this is going to do to Medicare and Medicaid and Social Security and to all the other remnants that we have of our tattered social safety net.
[01:32:09.823 --> 01:32:11.624]  This is going to be an absolute tragedy.
[01:32:12.004 --> 01:32:15.306]  But again, you've got to be able to get in there and fight point by point.
[01:32:15.626 --> 01:32:16.866]  You've got to get in there and grapple.
[01:32:17.287 --> 01:32:19.588]  And I hope that people will join in that.
[01:32:19.828 --> 01:32:23.370]  You can see some ideas for it at actindependent.org website.
[01:32:24.386 --> 01:32:35.154]  Well, going back to you talking about left cover and how we're going to, you know, have this possible conscription, don't you think that he's still using just a little bit of the right cover with the war on terror?
[01:32:35.174 --> 01:32:43.461]  I mean, first of all, Bush in his, maybe not in his farewell speech, but his last media appearance, he said that his number one thing was keeping America safe from another terrorist attack.
[01:32:43.541 --> 01:32:43.701]  Right.
[01:32:43.741 --> 01:32:50.246]  That'll be the number one thing for the Obama administration, and the Obama administration is already talking about really a redistribution
[01:32:50.706 --> 01:32:56.149]  Of course, from Iraq, of course we're de-escalating there, but he says he's going to put them into Afghanistan.
[01:32:56.570 --> 01:32:58.531]  So I see them creating the same quagmire there.
[01:32:58.551 --> 01:33:09.117]  The only place in the world, the only place in the world that they still talk about Bin Laden and Al-Qaeda is this area where Obama and Biden claim that Bin Laden lives.
[01:33:09.257 --> 01:33:18.722]  Remember, that was the line in Obama's convention speech was, Bush says he'll go to the end of the earth to get Osama Bin Laden, but he won't go to the cave where he lives.
[01:33:18.802 --> 01:33:19.803]  Meaning, let's invade
[01:33:20.353 --> 01:33:20.793]  I don't think so.
[01:33:39.383 --> 01:33:43.086]  They're going to go after Pakistan with the goal of dividing it up, right?
[01:33:43.126 --> 01:33:49.430]  Remember, it's Balochistan, Pashtunistan, Waziristan, Sindh, Punjab, tribal areas.
[01:33:49.630 --> 01:33:52.252]  The idea is to shatter it into mini-states, right?
[01:33:52.312 --> 01:33:54.374]  Mini-states, micro-states, regionalism.
[01:33:54.794 --> 01:33:57.856]  And the general model is, they're against big government.
[01:33:57.876 --> 01:33:59.017]  They don't like big government.
[01:33:59.057 --> 01:34:01.059]  The government in Islamabad is big government.
[01:34:01.099 --> 01:34:01.719]  They don't like it.
[01:34:02.119 --> 01:34:05.021]  They want to have mini-states, and above that, the empire.
[01:34:05.081 --> 01:34:05.662]  That's the new
[01:34:06.272 --> 01:34:13.955]  And they have India now as a relatively willing spear point against that until somebody in India does something about it.
[01:34:14.015 --> 01:34:19.898]  But if you look at the past six months, Brzezinski and company have already been dictating policy.
[01:34:19.918 --> 01:34:23.359]  In other words, Bush and Cheney left power long ago.
[01:34:23.499 --> 01:34:26.200]  They have not been calling the shots for at least a year.
[01:34:26.721 --> 01:34:29.542]  And what has happened, of course, is Georgia attacks Russia.
[01:34:29.762 --> 01:34:32.223]  Straight Brzezinski-Soros foreign policy.
[01:34:32.603 --> 01:34:34.544]  Ukraine has just cut
[01:34:35.049 --> 01:34:50.659]  The gas deliveries from Russia to Europe, which I've been predicting for, what, four or five months, since August at least, that there would be a natural gas crisis created by these NATO IMF puppets in Kiev, the Yushchenko regime.
[01:34:50.719 --> 01:34:52.100]  So they're trying to gin that up.
[01:34:52.140 --> 01:34:55.482]  And then behind that, remember, is the Polish missile crisis.
[01:34:55.603 --> 01:34:58.184]  And again, that supposedly got to do with Iran.
[01:34:58.665 --> 01:35:03.768]  But I think you're going to see that the 9-11 stuff gets to be less and less relevant for all areas.
[01:35:04.258 --> 01:35:16.888]  Other than Pakistan, which of course is important, and you're going to get more into this area of great power rivalry, and I think the great danger is of course that there will be some new false flag that will essentially change the subject.
[01:35:16.948 --> 01:35:26.976]  In other words, it will be, you know, Bin Laden has joined the KGB, or Bin Laden has joined the Beijing secret police or something, and now he's operating for them, right?
[01:35:27.611 --> 01:35:32.015]  Some, you know, form of this Legion of Super-Villains or something like this.
[01:35:33.156 --> 01:35:34.677]  And then try to use that.
[01:35:34.737 --> 01:35:37.979]  But the main idea is that you can't muck around in the Middle East.
[01:35:38.059 --> 01:35:40.521]  Again, the fact that there has been no attack on Iran.
[01:35:41.102 --> 01:35:44.885]  Notice, Biden went to the Israelis and said, guess what Israelis?
[01:35:45.205 --> 01:35:49.489]  There's going to be a nuclear Iran and you're going to like it and you're going to do nothing.
[01:35:50.670 --> 01:35:54.673]  Now, the caller that you had at the beginning of the hour wants to know about Gaza, of course.
[01:35:55.143 --> 01:35:59.885]  It's an orgy of genocide by the Israelis and it has to be stopped.
[01:36:00.306 --> 01:36:03.007]  The one person who could stop it is Obama.
[01:36:03.147 --> 01:36:07.729]  Obama could simply make a statement, I call on the Israeli government to stop what they're doing.
[01:36:08.270 --> 01:36:12.632]  At that point the Israeli government would probably collapse and the operation would cease.
[01:36:12.732 --> 01:36:13.872]  Notice he doesn't do this.
[01:36:14.353 --> 01:36:22.957]  The reason is that the attack on Gaza is a kind of a consolation prize for people like Zippy Livni and Ehud Barak who want to be
[01:36:23.430 --> 01:36:24.670]  The successors of Olmert.
[01:36:24.690 --> 01:36:27.851]  They want to compete with Netanyahu as warmongers.
[01:36:28.211 --> 01:36:29.892]  So they've been given this opportunity.
[01:36:29.932 --> 01:36:40.395]  They're told, you know, go in and kill 1,000 to 2,000 people, and then you can run on that and you can compete with Netanyahu because you're not going to be allowed to attack Iran.
[01:36:40.435 --> 01:36:48.597]  And, you know, it's a constant flow of news stories that the Israelis were pressing and asking, and the answer kept being no, no, no, and that came from Gates.
[01:36:49.210 --> 01:36:51.571]  It came from Mullen, and it came from the U.S.
[01:36:51.611 --> 01:36:53.111]  administration in general, because the U.S.
[01:36:53.151 --> 01:36:54.831]  and the British just don't want this.
[01:36:55.291 --> 01:36:57.072]  They want to look at Pakistan.
[01:36:57.752 --> 01:36:59.732]  And again, Pakistan is an energy corridor.
[01:37:00.272 --> 01:37:04.073]  Pakistan is the way that Iranian oil could go overland to China.
[01:37:04.533 --> 01:37:16.856]  Pakistan is a way that tankers could unload at the port of Gwadar and send oil up to Pakistan, all the way into China, above the Himalayas, above Kashmir, and so forth.
[01:37:17.378 --> 01:37:18.478]  It's an energy corridor.
[01:37:18.518 --> 01:37:29.062]  Pakistan has got to be destroyed, not because of Pakistan, but because it's an ally of China, and we're now in the area of Russia, China, Shanghai Cooperation Organization.
[01:37:29.102 --> 01:37:30.202]  That's the new enemies list.
[01:37:30.242 --> 01:37:45.426]  So, generally speaking, kick the Chinese out of Africa, attack Sudan to cut off the oil from there, attack Zimbabwe somehow to prevent the Chinese from getting minerals from there, attack anybody in Africa who's dealing with the Chinese, attack Pakistan, attack Burma.
[01:37:45.727 --> 01:37:47.087]  These are all Chinese allies.
[01:37:47.857 --> 01:37:50.838]  And then ultimately try to play China against Russia.
[01:37:50.878 --> 01:37:54.080]  So this is the perspective that they have.
[01:37:54.140 --> 01:38:00.022]  And they will need to evolve the ideology, because you can't come forward sounding like Bush-Cheney neocons.
[01:38:00.042 --> 01:38:01.923]  You've got to sound like something new.
[01:38:02.223 --> 01:38:12.508]  Generally speaking, I think they'll talk much more about human rights and genocide, Darfur, Burma, places like this.
[01:38:12.568 --> 01:38:15.269]  I think that's the wave of the future.
[01:38:16.266 --> 01:38:19.147]  All right, let's take some callers in the last 15 minutes of the show.
[01:38:19.167 --> 01:38:20.507]  Let's try to keep it on topic.
[01:38:20.567 --> 01:38:24.369]  And for Webster Tarpley, let us go to Matt in Ohio.
[01:38:24.449 --> 01:38:25.229]  Matt, what's on your mind?
[01:38:25.249 --> 01:38:26.909]  Hi, Jason.
[01:38:26.929 --> 01:38:27.930]  Thanks for taking my call.
[01:38:28.170 --> 01:38:29.150]  And hi, Mr. Tarpley.
[01:38:29.450 --> 01:38:29.990]  Hello.
[01:38:31.691 --> 01:38:40.914]  My first question was, which one of your books gives some groundwork for your economic plans?
[01:38:40.994 --> 01:38:41.934]  Thank you so much.
[01:38:42.234 --> 01:38:42.594]  Thank you.
[01:38:43.014 --> 01:38:45.315]  It's called Surviving the Cataclysm.
[01:38:45.819 --> 01:38:53.743]  And the second edition will come out from Progressive Press of California within a month or two, or something like that.
[01:38:54.083 --> 01:39:01.447]  We meant to do this a year ago, but then along came Obama, and I had to shift into overdrive to try to warn people about Obama, right?
[01:39:01.487 --> 01:39:04.928]  Two books in about five or six months.
[01:39:05.008 --> 01:39:09.290]  But there is a second edition now that's practically in the press of Surviving the Cataclysm.
[01:39:09.571 --> 01:39:11.952]  You can send an email to info at progressivepress.com.
[01:39:12.842 --> 01:39:14.583]  And get on the list and be informed of this.
[01:39:15.243 --> 01:39:22.468]  I think you can probably even sell you an electronic version, which is going to be a little bit messy, but it may be the thing.
[01:39:22.548 --> 01:39:24.689]  And that was the basic story there.
[01:39:24.729 --> 01:39:26.250]  That was written about ten years ago.
[01:39:26.710 --> 01:39:35.135]  And it talks about deindustrialization and the derivatives bubble as leading towards a world economic depression of unprecedented severity.
[01:39:35.155 --> 01:39:36.496]  And that's where we are now.
[01:39:36.576 --> 01:39:38.017]  So that was ten years before.
[01:39:39.153 --> 01:39:59.399]  Okay, the reason why I ask is because I'm pretty much a free market adherent, and I've heard you talk about, you're on another radio program about a week or two ago, and you don't seem to really think the free market would work in this situation, so I just kind of wanted to get some of your
[01:39:59.915 --> 01:40:10.980]  Fortunately, I haven't been drinking enough fluoride to not be willing to question my assumptions, so I wanted to get some groundwork, just to re-look at that analysis.
[01:40:11.000 --> 01:40:20.584]  Well, definitely check it out, because Webster, again, you put it out there ten years ago, and right now, ten years later, is when a second edition is warranted, and I'm sure, would you add a couple chapters, basically?
[01:40:20.604 --> 01:40:20.924]  Yeah, sure.
[01:40:20.944 --> 01:40:22.465]  There's a new economic program.
[01:40:23.567 --> 01:40:23.767]  I don't
[01:40:42.748 --> 01:40:45.470]  The other part, the thing about free market is that this is a myth.
[01:40:45.850 --> 01:40:46.851]  This does not exist.
[01:40:47.631 --> 01:40:52.314]  The 19th century generally knew that the subject you're talking about is political economy.
[01:40:52.374 --> 01:40:56.197]  In other words, it's economics and the state, economics and the government.
[01:40:56.697 --> 01:41:01.360]  And the only time that you don't have that is if you're in the old stone age, right?
[01:41:01.380 --> 01:41:09.926]  If you're in the Paleolithic hunting and gathering caveman phase, when there's no state, then you could call that a market, I suppose, but that's basically
[01:41:10.410 --> 01:41:16.416]  Hunting and gathering since the emergence of the state in any form about, what, 10,000 BC, right?
[01:41:16.436 --> 01:41:18.517]  When you go into the Neolithic, right?
[01:41:18.538 --> 01:41:19.438]  The New Stone Age.
[01:41:19.819 --> 01:41:22.441]  Then you've already got some kind of a state coming up.
[01:41:23.642 --> 01:41:25.424]  And then you're talking about political economies.
[01:41:25.444 --> 01:41:29.087]  So the idea that you talk about economics as if there's no government is crazy.
[01:41:29.407 --> 01:41:30.929]  All of this grows out of Ricardo.
[01:41:31.297 --> 01:41:50.923]  The founder of monetarist economics is David Ricardo, who was on the board of directors of the British East India Company, and he ran opium, and he ran the monster debt of the British after the Napoleonic Wars, and from there it goes on to Oxford, and then it goes on to Vienna, and the various people from Vienna you know.
[01:41:51.283 --> 01:41:54.544]  And the thesis of that school is that production is impossible.
[01:41:54.964 --> 01:41:58.625]  That there's no such thing as production that creates something qualitatively new,
[01:41:59.119 --> 01:42:02.500]  In the universe, but only rearranging things in space.
[01:42:02.940 --> 01:42:04.021]  It's a crazy thesis.
[01:42:04.361 --> 01:42:10.383]  You find that in Fonmises' book of 1912, his main theoretical treatise.
[01:42:10.463 --> 01:42:13.744]  So, what you need is industrial economics.
[01:42:13.864 --> 01:42:17.285]  And this is a school that never mentions the word production.
[01:42:17.765 --> 01:42:19.285]  They don't talk about production.
[01:42:19.345 --> 01:42:22.947]  They talk about money supply and all the rest of this.
[01:42:23.207 --> 01:42:25.447]  Basically, it's up in a never-never land.
[01:42:25.487 --> 01:42:27.468]  In other words, it's profoundly unrealistic.
[01:42:28.084 --> 01:42:39.476]  Why we should turn from the American school of Hamilton and Lincoln and Franklin D. Roosevelt, which is the most successful in the world, to the Austrian school, which is a failure.
[01:42:39.516 --> 01:42:42.859]  I mean, is Austria a model of economic success?
[01:42:43.199 --> 01:42:43.860]  I don't think so.
[01:42:44.040 --> 01:42:45.602]  But America was, and could be again.
[01:42:46.676 --> 01:42:47.957]  All right, it's the Alex Jones Show.
[01:42:47.977 --> 01:42:50.980]  We're going to continue to take your calls in the last ten minutes of the program.
[01:42:51.280 --> 01:42:57.506]  If you missed any of the broadcasts today, remember we rebroadcast everything over at Infowars.com and PrisonPlanet.tv.
[01:43:07.705 --> 01:43:11.987]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[01:43:12.227 --> 01:43:17.129]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[01:43:17.329 --> 01:43:18.669]  Hi folks, Alex Jones here.
[01:43:18.829 --> 01:43:22.311]  Why not go back to basics and be safe with Calbin Pure Soaps?
[01:43:22.451 --> 01:43:27.613]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[01:43:27.853 --> 01:43:33.615]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[01:43:33.955 --> 01:43:36.377]  Now, Calvin Soaps are available to you and me.
[01:43:36.477 --> 01:43:38.799]  Triple concentrated for all your cleaning needs.
[01:43:38.999 --> 01:43:41.141]  From bathing and laundry to dishes, hair and more.
[01:43:41.421 --> 01:43:42.422]  No harsh chemicals.
[01:43:42.622 --> 01:43:43.563]  No animal testing.
[01:43:43.823 --> 01:43:44.964]  I use them and love them.
[01:43:45.144 --> 01:43:46.745]  Knowing they're all naturally safe.
[01:43:47.045 --> 01:43:48.106]  And I save big time.
[01:43:48.446 --> 01:43:49.667]  Call Calvin Pure Soap at 1-800-340-7091.
[01:43:49.707 --> 01:43:49.927]  That's 1-800-340-7091.
[01:43:49.947 --> 01:43:51.609]  Or log on to 5starsoap.com now for a free catalog.
[01:43:59.936 --> 01:44:02.604]  Again, that number 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[01:44:07.503 --> 01:44:10.025]  Terror Storm, a history of government-sponsored terror.
[01:44:10.365 --> 01:44:11.646]  Loose Change Final Cut.
[01:44:11.926 --> 01:44:13.908]  Endgame, blueprint for global enslavement.
[01:44:14.068 --> 01:44:15.829]  The true story of the Bilderberg Group.
[01:44:15.970 --> 01:44:17.210]  The late, great USA.
[01:44:17.471 --> 01:44:18.872]  America, freedom to fascism.
[01:44:19.232 --> 01:44:26.077]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[01:44:26.257 --> 01:44:30.200]  When you visit prisonplanet.com, you can connect to our amazing online store.
[01:44:30.340 --> 01:44:33.723]  Whether you're looking for survival and wellness products like Berkey water filters,
[01:44:34.023 --> 01:44:34.504]  We're good to go.
[01:44:54.040 --> 01:45:04.284]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[01:45:04.624 --> 01:45:06.085]  Join the info war today!
[01:45:06.898 --> 01:45:10.521]  Everyone knows that omega-3 should be an essential part of our daily diet.
[01:45:10.601 --> 01:45:16.247]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[01:45:16.347 --> 01:45:20.410]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[01:45:20.690 --> 01:45:22.973]  Nature's gem, premium omega-3.
[01:45:23.153 --> 01:45:29.058]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures.
[01:45:29.198 --> 01:45:29.738]  We're good to go!
[01:45:58.394 --> 01:46:00.755]  GoldenFLAX.com or call 800-387-5516.
[01:46:00.875 --> 01:46:02.136]  That's 800-387-5516.
[01:46:02.176 --> 01:46:06.298]  Free shipping included.
[01:46:06.318 --> 01:46:15.942]  Final segment of the Alex Jones Show.
[01:46:15.962 --> 01:46:24.046]  Yesterday we played a really quick clip of the FX program Rescue Me where Daniel Sinjada big ups to Daniel.
[01:46:26.107 --> 01:46:30.089]  Had a two and a half minute tirade for 9-11 Truth, and it was just awesome.
[01:46:30.570 --> 01:46:37.294]  Well, there's a new FX program that premiered last night called The Beast, and they slandered 9-11 Truth in that.
[01:46:38.826 --> 01:46:51.837]  They have a 9-11 truther come on, he starts talking a little bit of truth, but then they bring in the wacky no-planes, CGI planes, butter planes theory in there, and really, and this is the guy that, I guess the guy is like the crack smoker on the program.
[01:46:51.877 --> 01:46:54.239]  He shot himself in the foot while trying to play Russian roulette.
[01:46:54.259 --> 01:46:59.844]  So the major idiot of the program is pro-9-11 truth and talking ridiculous CGI theories.
[01:47:00.825 --> 01:47:07.730]  We have Webster Griffin Tarpley with us, and he is the author of Barack H. Obama, the Unauthorized Biography, and of course, Obama, the Postmodern Coup.
[01:47:07.750 --> 01:47:10.331]  You can get that over at Infowars.com.
[01:47:10.351 --> 01:47:13.453]  We're going to fly through your calls right now for Webster Griffin Tarpley.
[01:47:14.154 --> 01:47:17.516]  Let's go to Chad, who's out in very cold Albany, New York.
[01:47:17.556 --> 01:47:18.316]  Chad, what's on your mind?
[01:47:18.336 --> 01:47:19.977]  Hey, Jason.
[01:47:20.017 --> 01:47:20.478]  How are you?
[01:47:20.818 --> 01:47:21.138]  Good, man.
[01:47:21.158 --> 01:47:21.518]  How you doing?
[01:47:22.339 --> 01:47:22.619]  Good.
[01:47:22.639 --> 01:47:24.420]  I've got two points, trying to make them quick.
[01:47:25.321 --> 01:47:28.423]  Rahm Emanuel's plan to make it compulsory to do
[01:47:29.099 --> 01:47:30.760]  National Service, whatever that means.
[01:47:31.381 --> 01:47:33.282]  That would have to be approved by Congress first.
[01:47:33.322 --> 01:47:35.744]  They couldn't just backdoor that through an executive order, right?
[01:47:36.205 --> 01:47:36.445]  Right.
[01:47:37.405 --> 01:47:37.726]  Correct.
[01:47:38.686 --> 01:47:40.268]  And the second thing is, they have the votes.
[01:47:41.128 --> 01:47:41.268]  Right.
[01:47:41.288 --> 01:47:41.829]  Yeah, they do.
[01:47:41.849 --> 01:47:56.180]  Although, would it really... I wouldn't put it past Congress to pass that, because they have the huge majority now, and they worship the ground Obama walks on, so any idea he comes up with must be brilliant, right?
[01:47:56.468 --> 01:48:00.251]  Yeah, and the House, the Speaker of the House, Nancy Pelosi, is a total hawk.
[01:48:00.271 --> 01:48:04.615]  You know, she's been in with this, not only the Bush administration, but this administration for quite some time.
[01:48:04.675 --> 01:48:07.297]  She headed up the initial congressional investigation.
[01:48:07.337 --> 01:48:09.439]  She was the lead Democrat of 9-11.
[01:48:10.000 --> 01:48:12.162]  You know, Pelosi is not a good person, is she, Webster?
[01:48:13.082 --> 01:48:16.265]  No, she's a monster, and she ought to be out.
[01:48:16.345 --> 01:48:18.127]  But remember, these people are
[01:48:18.709 --> 01:48:36.243]  Totalitarians, in the sense that they believe, whether they know it or not, what they believe in is the Mussolini fascist corporate state, and they believe in forms of national mobilization, such as the so-called voluntary labor service that we saw in Germany in the 1930s, which was not voluntary at all.
[01:48:36.364 --> 01:48:43.649]  So the point is, the ability to get this stuff through is, I think, going to be largely concentrated in 100 days.
[01:48:43.750 --> 01:48:46.432]  In other words, from January 20th to about May 1st.
[01:48:47.082 --> 01:48:48.663]  You gotta try to fight a holding action.
[01:48:48.923 --> 01:48:55.128]  If you can stop Obama in a hundred days, after that he will crater, as Biden predicted.
[01:48:55.168 --> 01:49:03.635]  In other words, his economics will be so unpopular that he'll be hated within a very few months, and at that point it'll become much harder for him to get this stuff through.
[01:49:03.695 --> 01:49:06.237]  So what you want to do, ultimately, is gridlock.
[01:49:06.597 --> 01:49:10.500]  Gridlock and partisanship, and stop this stuff from going through.
[01:49:10.921 --> 01:49:15.064]  And I urge everybody to mobilize now, as you've never mobilized before, between January 20th
[01:49:15.743 --> 01:49:15.983]  I think?
[01:49:37.515 --> 01:49:40.900]  Hi, Webster, your podcast is really awesome and I encourage people to listen to it.
[01:49:40.920 --> 01:49:41.120]  Thank you!
[01:49:56.331 --> 01:49:57.692]  College credit for listening to it.
[01:49:59.673 --> 01:50:01.974]  I don't have any college credit to give, I'm sorry.
[01:50:02.274 --> 01:50:03.415]  Quickly, Ken, what's your point?
[01:50:03.515 --> 01:50:21.844]  Okay, there's an article today from Kurt Nemo about the Pentagon paper that said they were equating, well not equating, but saying Mexico and Pakistan could collapse and then, not presented, but there was a video out there that a Mexican broadcaster
[01:50:23.055 --> 01:50:28.139]  Talking about the collapse of Mexico, I gotta let you go just because we're in the last 30 seconds of the program.
[01:50:28.339 --> 01:50:28.839]  I got it.
[01:50:28.860 --> 01:50:29.220]  Go for it.
[01:50:29.240 --> 01:50:33.403]  The existence of the United States of America is a historical achievement of the first water.
[01:50:33.443 --> 01:50:36.265]  Don't let little George Bush sour you on it.
[01:50:36.325 --> 01:50:43.090]  So, no subversion, no secessionism, territorial integrity, constitutional government, and economic recovery.
[01:50:43.411 --> 01:50:46.613]  And fight for it through the organs of government that we have in our Constitution.
[01:50:48.174 --> 01:50:49.635]  Thank you for listening to TCA.
[01:50:53.044 --> 01:50:55.368]  Visit GCNlive.com today.
[01:50:57.331 --> 01:50:58.934]  Hello friends, this is Alex Jones.
[01:50:59.034 --> 01:51:03.601]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[01:51:03.781 --> 01:51:04.843]  We need to be independent.
