[00:00:00.784 --> 00:00:02.966]  He's the T-Rex of political talk.
[01:18:48.633 --> 01:19:03.523]  And so, this slapping governors around and congressmen around and they're going after Rangel right now and everybody else, that's about the real government, the military-industrial complex, letting everybody know in line, we don't care how powerful you are, we'll crush you whenever we want.
[01:19:03.623 --> 01:19:06.685]  Even if you've got dirt on us, our media won't let that come out.
[01:19:06.926 --> 01:19:08.767]  And you don't get a fair trial, do you understand?
[01:19:08.787 --> 01:19:11.188]  Right, right, exactly.
[01:19:11.329 --> 01:19:12.329]  No, I mean, it's bad.
[01:19:12.970 --> 01:19:14.711]  And the thing that's really interesting about it is,
[01:19:15.427 --> 01:19:39.089]  Which kind of hit home, I mean, even though, you know, he is a pseudo-scumbag, you know, to begin with, but the thing that was really interesting that he said in his speech, which, you know, he was getting kind of teary-eyed and stuff like that, but the one thing that he did say is he talked about, you know, his First Amendment rights, he talked about all of his rights to be able to speak about this, and he says if you think that they would do this to a governor,
[01:19:39.838 --> 01:19:43.460]  What do you think that they would do to you, the ordinary citizen?
[01:19:43.580 --> 01:19:45.701]  I'm also fighting for your rights.
[01:19:45.881 --> 01:19:47.121]  I hear you, I appreciate your call.
[01:19:48.982 --> 01:19:50.183]  Yeah, it's bad.
[01:19:50.203 --> 01:20:00.968]  The reason I don't care if they destroy him, even if they're violating his rights, I am against that, and I certainly want him to be able to call witnesses, but that doesn't mean that I'm going to cry tears for Blagojevich.
[01:20:01.988 --> 01:20:08.051]  The guy, three months ago, said he's calling out the National Guard for door-to-door gun confiscation in Illinois.
[01:20:10.618 --> 01:20:12.279]  I mean, he's evil, folks.
[01:20:12.479 --> 01:20:12.940]  He's evil.
[01:20:15.742 --> 01:20:17.123]  Tommy in Michigan, you're on the air.
[01:20:17.163 --> 01:20:17.843]  Go ahead, Tommy.
[01:20:18.524 --> 01:20:18.804]  Alex.
[01:20:19.604 --> 01:20:19.945]  Hello.
[01:20:20.625 --> 01:20:20.885]  Alex.
[01:20:21.926 --> 01:20:22.066]  Hey.
[01:20:22.867 --> 01:20:23.047]  Hey.
[01:20:23.167 --> 01:20:23.467]  Okay.
[01:20:24.067 --> 01:20:25.668]  Hey, I got a couple questions for you here.
[01:20:27.190 --> 01:20:27.670]  Can you hear me?
[01:20:28.510 --> 01:20:29.291]  Loud and clear, brother.
[01:20:29.311 --> 01:20:30.372]  Alright.
[01:20:31.232 --> 01:20:36.416]  Alright, so I don't really see people standing up against this whole New World Order thing because
[01:20:37.093 --> 01:20:43.177]  From what I've come across on the internet these days, it's like people are just, they're just arguing with each other.
[01:20:43.197 --> 01:20:44.979]  Yeah, they're trying to be slaves, yeah.
[01:20:46.159 --> 01:20:52.604]  Yeah, and they claim they're, you know, anti-New World Order, I'm going to change this, and
[01:20:53.413 --> 01:20:59.397]  You know, they've come out of, they've run out of things to really talk about, and... They mainly talk about me.
[01:20:59.417 --> 01:21:00.118]  Right, exactly.
[01:21:00.938 --> 01:21:02.839]  They talk about me more than they talk about Obama.
[01:21:03.160 --> 01:21:05.101]  I mean, literally, I'm like... Exactly.
[01:21:05.141 --> 01:21:06.382]  Which actually only helps me.
[01:21:06.462 --> 01:21:09.404]  I love the fact they spend their energy attacking me everywhere.
[01:21:10.284 --> 01:21:12.526]  People just remember my name and go check it out.
[01:21:12.886 --> 01:21:15.428]  That's the big dirty secret, is that I actually love it.
[01:21:15.448 --> 01:21:16.969]  I mean, it's all a bunch of baloney anyways.
[01:21:16.989 --> 01:21:17.629]  It's not true.
[01:21:17.970 --> 01:21:18.690]  None of it sticks.
[01:21:18.790 --> 01:21:19.691]  I'm gonna let them make up
[01:21:20.745 --> 01:21:25.327]  Whatever malarkey they want, but let me comment on that when we come back.
[01:21:25.627 --> 01:21:26.628]  Anything else you want to answer?
[01:21:27.508 --> 01:21:28.409]  Yeah, I'll stick around.
[01:21:29.349 --> 01:21:30.310]  Well, just go ahead and add it now.
[01:21:30.330 --> 01:21:30.630]  Go ahead.
[01:21:31.250 --> 01:21:31.530]  Okay.
[01:21:31.711 --> 01:21:33.872]  Well, yes.
[01:21:34.492 --> 01:21:35.352]  I guess that's it, Alex.
[01:21:35.613 --> 01:21:36.073]  I appreciate it.
[01:21:36.093 --> 01:21:36.273]  All right.
[01:21:36.593 --> 01:21:37.353]  Good to hear from you.
[01:21:37.433 --> 01:21:42.236]  I'm going to comment on what you had to say when we come back, okay?
[01:21:43.236 --> 01:21:46.378]  This is key information straight ahead after this quick break.
[01:21:46.678 --> 01:21:48.039]  We'll be back in three.
[01:21:50.623 --> 01:21:53.608]  We're on the march, the Empire's on the run.
[01:21:54.549 --> 01:21:57.234]  Alex Jones and the GCN Radio Network.
[01:22:00.925 --> 01:22:04.306]  More than 700 chemicals have been found in our drinking water.
[01:22:04.446 --> 01:22:09.667]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[01:22:09.847 --> 01:22:14.628]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[01:22:15.008 --> 01:22:26.111]  The KDF Dual Media Shower Filter works with both hot and cold water, and is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[01:22:26.531 --> 01:22:32.077]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year, whichever comes first.
[01:22:32.297 --> 01:22:38.383]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[01:22:38.563 --> 01:22:39.223]  What about you?
[01:22:39.604 --> 01:22:45.650]  Order your KDF Shower Filter normally, $49 for our special price of only $39.99 with free shipping.
[01:22:46.050 --> 01:22:48.172]  Call the Berkey guy and order now by calling 1-877-886-3653.
[01:22:51.516 --> 01:22:52.837]  That's 1-877-886-3653.
[01:22:55.319 --> 01:22:58.843]  Or simply click on the banner at GCNlive.com to order online now.
[01:23:00.424 --> 01:23:03.547]  A day unlike any other in the long course of American history.
[01:23:03.647 --> 01:23:06.750]  A terrorist act of war against this country.
[01:23:07.110 --> 01:23:08.772]  The enemy struck America on September 11th.
[01:23:09.747 --> 01:23:10.768]  But who is the enemy?
[01:23:11.288 --> 01:23:11.808]  Bin Laden.
[01:23:12.089 --> 01:23:13.089]  This is his M.O.
[01:23:13.109 --> 01:23:14.430]  We have to look to the Middle East.
[01:23:14.470 --> 01:23:16.111]  We have to look to Osama Bin Laden.
[01:23:16.451 --> 01:23:23.216]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:23:23.596 --> 01:23:24.036]  Some U.S.
[01:23:24.076 --> 01:23:29.760]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:23:30.420 --> 01:23:33.942]  I'm aware that some Israeli citizens have been detained.
[01:23:34.302 --> 01:23:36.924]  Either you are with us, or you are with the terrorists.
[01:24:00.137 --> 01:24:05.842]  People around the world are testifying that their cataracts are quickly disappearing like magic thanks to Can-C.
[01:24:05.982 --> 01:24:15.830]  The original Can-C eyedrop used in clinical trials maintains that only the original unadulterated formula is effective in reducing, reversing and slowing the occurrence of senile cataract.
[01:24:15.970 --> 01:24:20.332]  CanSee can also assist in lowering the intraocular pressure associated with glaucoma.
[01:24:20.452 --> 01:24:27.414]  CanSee is beneficial for contact lens disorders, to treat corneal disorders, combat eye strain, kidney's computer vision syndrome, and more.
[01:24:27.534 --> 01:24:33.336]  People enjoying the benefits while using CanSee report no side effects and the drops are gentle and don't cause eye burning.
[01:24:33.416 --> 01:24:34.117]  We're good to go!
[01:25:12.538 --> 01:25:14.900]  Are we gonna do what they say can't be done?
[01:25:15.821 --> 01:25:20.646]  We've got a long way to go, and a short time to get there.
[01:25:20.686 --> 01:25:22.808]  I'm eastbound, just one more bandit run.
[01:25:23.108 --> 01:25:25.570]  Oh, Smokey, keep your foot part on the pedal.
[01:25:26.111 --> 01:25:27.492]  Son, never mind them brakes.
[01:25:27.912 --> 01:25:31.496]  Let it all hang out, cause we gotta run today.
[01:25:31.596 --> 01:25:35.039]  The boys are thirsty in Atlanta, and there's beer in Texarkana.
[01:25:35.099 --> 01:25:36.160]  And we'll bring
[01:25:41.903 --> 01:25:45.987]  To answer that last caller's question.
[01:25:48.669 --> 01:25:54.936]  I will do that and then we will go back to your phone calls and some economic news that I haven't covered yet.
[01:25:54.996 --> 01:25:55.496]  But first!
[01:25:56.533 --> 01:25:57.974]  I like this one little part coming up.
[01:25:58.054 --> 01:25:59.294]  No, I don't have time to play the song.
[01:25:59.814 --> 01:26:01.415]  Old Smokey's got his ears on.
[01:26:02.095 --> 01:26:03.095]  He's hot on your tail.
[01:26:03.115 --> 01:26:05.416]  And he ain't gonna rest till you're in jail.
[01:26:05.776 --> 01:26:07.757]  So you got to dodge him, you got to duck him.
[01:26:08.157 --> 01:26:09.598]  You gotta keep that diesel truckin'.
[01:26:09.878 --> 01:26:12.038]  So let that hammer down and give it hell!
[01:26:13.039 --> 01:26:13.479]  Alright.
[01:26:14.880 --> 01:26:18.861]  Little Alex Jones karaoke, uh, torture for everybody.
[01:26:25.390 --> 01:26:26.611]  You know, so what?
[01:26:28.111 --> 01:26:33.614]  I would talk about this type of news 13 years ago, and most people would laugh at me.
[01:26:34.214 --> 01:26:36.615]  And then about 10 years ago, about half the people would laugh at me.
[01:26:37.176 --> 01:26:39.597]  And then about 3 years ago, 10% of the people would laugh at me.
[01:26:40.317 --> 01:26:43.719]  And now, I do radio talk shows every week where people are attacking me.
[01:26:43.739 --> 01:26:46.920]  The host is attacking me, and every single caller calls in and agrees.
[01:26:48.421 --> 01:26:49.202]  And the host gets mad.
[01:26:50.462 --> 01:26:52.583]  Canada, England, the United States.
[01:26:53.724 --> 01:26:54.044]  Period.
[01:26:57.111 --> 01:27:00.594]  So, let people continue to attack.
[01:27:01.094 --> 01:27:02.035]  They've all been proven wrong.
[01:27:02.075 --> 01:27:03.376]  Everything we've talked about has happened.
[01:27:03.596 --> 01:27:07.139]  And I say unfortunately, because I wish we could have turned all this around.
[01:27:07.239 --> 01:27:13.283]  I wish I wasn't right about all this, but I was reading Rand Corporation documents, CFR documents, declassified CIA documents.
[01:27:13.303 --> 01:27:13.964]  That's what I do.
[01:27:15.225 --> 01:27:17.507]  And so I know what was going to happen, so I've been proven right.
[01:27:17.747 --> 01:27:20.089]  So my stock goes up, mainstream media stock goes down.
[01:27:20.849 --> 01:27:22.711]  And it goes for the entire alternative media.
[01:27:23.746 --> 01:27:27.848]  There's a lot of bull out there in alternative media as well, but people learn what to trust and what not to trust.
[01:27:27.868 --> 01:27:30.970]  People know the government's out there with disinfo on the internet now, attacking people.
[01:27:30.990 --> 01:27:31.690]  That's now admitted.
[01:27:32.110 --> 01:27:33.351]  Wasn't before, now it's admitted.
[01:27:33.371 --> 01:27:34.912]  My stock goes up again, I told people.
[01:27:35.812 --> 01:27:37.153]  Pentagon admits they go after me.
[01:27:37.353 --> 01:27:42.976]  They show 9-11 truth groups in Congress saying these are terrorists, we've got to shut down the web because of them.
[01:27:43.316 --> 01:27:45.397]  People hear that and just come and check us out even more.
[01:27:46.952 --> 01:27:54.197]  So, fortune does favor the bold, and the fortune we're looking for is liberty and freedom, and as things get darker and darker, more serious folks are going to wake up.
[01:27:54.257 --> 01:27:55.818]  So, understand something.
[01:27:55.938 --> 01:28:08.948]  It was about 2% that started the Revolutionary War against the British because of their abuses in 1775, and then it kicked off officially in 1776, and only 5% were involved for the entire war against the British.
[01:28:09.898 --> 01:28:11.539]  The majority of people were Tories!
[01:28:12.020 --> 01:28:13.121]  They were for the system!
[01:28:13.541 --> 01:28:19.667]  George Washington just wasn't fighting the British, the greatest army ever in the world, never been defeated in ground fights.
[01:28:20.107 --> 01:28:25.231]  He was fighting the people who were mainly British, who wanted to go along as cowards.
[01:28:26.593 --> 01:28:31.457]  Now by the time they started winning, seven years in, around 20% of the public then started saying they were for it.
[01:28:31.817 --> 01:28:35.500]  Guess what happened to hundreds of thousands of people who've been prominent for the British?
[01:28:37.231 --> 01:28:38.052]  They were very nice.
[01:28:38.132 --> 01:28:40.374]  The founders let them sell their property for value.
[01:28:40.414 --> 01:28:43.798]  Gave them a year to get out and said, go to Canada or go to England.
[01:28:44.018 --> 01:28:44.719]  Get out of here.
[01:28:45.139 --> 01:28:46.340]  Leave or we're going to hang you.
[01:28:47.802 --> 01:28:50.625]  Because they had engaged in all sorts of atrocities, killing people, murdering.
[01:28:50.645 --> 01:28:52.727]  Some of you have seen that movie, The Patriots.
[01:28:52.747 --> 01:28:53.368]  It's a true story.
[01:28:53.688 --> 01:28:54.689]  Burning them up in the church.
[01:28:55.290 --> 01:28:56.331]  They did that all over the place.
[01:28:57.552 --> 01:28:58.893]  Concentration camps, you name it.
[01:29:00.183 --> 01:29:03.925]  So, we've got more than 5% here in the Info War.
[01:29:03.965 --> 01:29:05.066]  We don't want it to become physical.
[01:29:05.506 --> 01:29:07.207]  But if we have to defend ourselves, that's the way it is.
[01:29:07.687 --> 01:29:08.868]  We've got 5% of the public.
[01:29:08.888 --> 01:29:11.129]  We've got probably 10% that really knows what's going on.
[01:29:11.569 --> 01:29:13.250]  Just a lot of them are scared and aren't in the fight yet.
[01:29:14.551 --> 01:29:24.656]  If you look at the abolitionist movement in 1800, you can go pull these numbers up, less than 2% of the British population were abolitionists, less than 2% of the American population here in the United States. 2%!
[01:29:27.233 --> 01:29:33.736]  Go forward 60-something years, and they were now the majority in the South, the majority in the North, and the minority in the South.
[01:29:34.456 --> 01:29:37.898]  But the point is only, what, 3% of people in the South owned slaves.
[01:29:37.918 --> 01:29:38.858]  That was a minority.
[01:29:39.318 --> 01:29:41.139]  They were the only ones at the end that were actually for it.
[01:29:41.599 --> 01:29:50.123]  But you're talking about the vast minority just 60-something years later who were for slavery, and it was outlawed with the Emancipation Proclamation.
[01:29:50.623 --> 01:29:53.264]  So you can look at that 2% in the North,
[01:29:54.970 --> 01:30:01.315]  In 1800, and people laughing at them, people saying they were idiots, they had no power, it was a joke, they were fools.
[01:30:02.757 --> 01:30:14.066]  But you saw England outlaw slavery, you saw Latin America, the countries down there outlawed by the 1830s and 40s depending on the nation, you see Mexico outlaw slavery, you see slavery being outlawed all over the world.
[01:30:15.748 --> 01:30:18.890]  You saw slavery being outlawed in areas of Asia.
[01:30:19.270 --> 01:30:19.710]  Separately.
[01:30:19.730 --> 01:30:21.811]  You know, that was Asians with Asian slaves.
[01:30:22.371 --> 01:30:23.452]  They call it the caste system.
[01:30:23.932 --> 01:30:25.173]  Where do you still have slavery today?
[01:30:25.313 --> 01:30:25.613]  India.
[01:30:26.673 --> 01:30:27.134]  Only place.
[01:30:27.214 --> 01:30:28.414]  And it's the color of your skin.
[01:30:28.694 --> 01:30:29.515]  It's a caste system.
[01:30:30.712 --> 01:30:36.454]  Because Europeans, about 4,000 years ago, came into Northern India and they set up a caste system there.
[01:30:36.814 --> 01:30:38.074]  That's what groups always do to each other.
[01:30:39.495 --> 01:30:42.636]  They've got caste systems in Africa where one tribe that's bigger has the other.
[01:30:42.696 --> 01:30:45.197]  That's how humans, when they get out of control, operate.
[01:30:45.777 --> 01:30:48.638]  So people can sit here all day and say, oh, you're not going to do anything, Alex.
[01:30:48.858 --> 01:30:49.778]  You're not going to affect change.
[01:30:49.858 --> 01:30:50.138]  Bull!
[01:30:50.898 --> 01:30:52.259]  I'm just one person in this fight.
[01:30:52.719 --> 01:30:55.660]  I'm just one little piece of the fight against corruption and tyranny.
[01:30:56.640 --> 01:31:02.823]  And I know that as you wake up others and as the enemy squeezes tighter and tighter, we have the moral ground.
[01:31:02.863 --> 01:31:06.125]  I don't care how much propaganda the establishment has, how much spin they've got.
[01:31:06.145 --> 01:31:12.147]  The police running around in black uniforms tasering people and cameras in schoolrooms and bathrooms is tyranny and it's wrong.
[01:31:14.451 --> 01:31:17.373]  Private offshore banks looting the country and setting up tyrannies wrong.
[01:31:17.973 --> 01:31:19.454]  And it's going to fall.
[01:31:19.794 --> 01:31:22.716]  The question is, how far will the tyranny get before it falls?
[01:31:23.517 --> 01:31:25.698]  And so, just saying, nobody's going to do anything.
[01:31:25.958 --> 01:31:26.859]  People are doing things.
[01:31:26.879 --> 01:31:27.739]  People are doing a lot.
[01:31:27.979 --> 01:31:33.203]  We'd be in a lot worse situation right now if people hadn't stood up to tyranny and hadn't warned folks.
[01:31:33.243 --> 01:31:36.585]  What if people 10, 15, 20 years ago, talking about the New World Order, hadn't done what they did?
[01:31:36.885 --> 01:31:38.466]  We wouldn't have all this credibility right now.
[01:31:40.595 --> 01:31:41.856]  But we told everybody it was going to happen.
[01:31:42.116 --> 01:31:42.637]  We were right.
[01:31:42.957 --> 01:31:44.899]  The enemy moved forward and now people are listening.
[01:31:46.340 --> 01:31:52.706]  So it's up to us now, as we see everything unfolding, not to whine and complain and bitch about it, but to say, OK, we were right, let's do something about it.
[01:31:53.066 --> 01:31:56.089]  To all the people on the fence, OK, you didn't believe FEMA camps were real?
[01:31:56.269 --> 01:31:57.430]  Here it is in a bunch of newspapers.
[01:31:57.670 --> 01:32:00.113]  OK, you didn't believe that the WMDs were staged?
[01:32:00.133 --> 01:32:00.873]  Well, now it's admitted.
[01:32:01.134 --> 01:32:04.397]  OK, well, you didn't believe that a Barack Obama was going to keep the secret arrests and torture going?
[01:32:04.617 --> 01:32:05.738]  Here's his own executive order.
[01:32:07.165 --> 01:32:08.728]  You don't believe the mainstream media is lying?
[01:32:08.929 --> 01:32:10.231]  They told you he got rid of this!
[01:32:10.432 --> 01:32:11.694]  Here is WhiteHouse.gov!
[01:32:11.875 --> 01:32:12.296]  Here it is!
[01:32:12.336 --> 01:32:13.197]  He didn't do that!
[01:32:13.418 --> 01:32:14.219]  He lied to you!
[01:32:14.480 --> 01:32:15.943]  Now what are you going to do about that?
[01:32:16.143 --> 01:32:17.226]  What are you going to say about that?
[01:32:20.538 --> 01:32:23.201]  And there's thousands of other issues, and I could rant all day about it.
[01:32:23.281 --> 01:32:24.102]  So, look.
[01:32:24.242 --> 01:32:25.383]  Keep the attacks going.
[01:32:25.664 --> 01:32:26.725]  Keep lying about me.
[01:32:26.765 --> 01:32:27.686]  Keep doing everything you're doing.
[01:32:27.706 --> 01:32:28.527]  Just spell my name right.
[01:32:28.567 --> 01:32:33.352]  It's A-L-E-X-J-O-N-E-S-InfoWars.com-PrisonPlanet.com.
[01:32:34.153 --> 01:32:35.054]  Just keep attacking.
[01:32:35.114 --> 01:32:36.175]  Just keep it going.
[01:32:36.595 --> 01:32:38.518]  Please, I want you to intensify it.
[01:32:38.918 --> 01:32:41.140]  More, more, more, more.
[01:32:41.461 --> 01:32:42.282]  Give me more.
[01:32:43.649 --> 01:32:47.012]  Because all your curses and all your attacks are just blessings to me in the end.
[01:32:47.292 --> 01:32:50.014]  God just turns it right around and turns it into something good.
[01:32:50.034 --> 01:32:50.635]  So just please!
[01:32:52.516 --> 01:32:58.221]  If you strike me down, and I don't want that to happen because I've got work to do, but even if they strike me down, that just gets bigger!
[01:32:59.562 --> 01:33:00.603]  What did Thomas Jefferson say?
[01:33:00.643 --> 01:33:05.967]  The tree of liberty must be nourished from time to time, must be fed, must be watered.
[01:33:07.048 --> 01:33:10.991]  The tree of liberty must be watered with the blood of patriots and tyrants.
[01:33:14.212 --> 01:33:15.473]  So understand that, ladies and gentlemen.
[01:33:15.773 --> 01:33:16.933]  That's why they probably won't kill me.
[01:33:17.174 --> 01:33:20.515]  They'll destroy me in the media.
[01:33:20.655 --> 01:33:22.296]  But there's not much to go after me on.
[01:33:22.777 --> 01:33:23.797]  I'm a pretty boring guy.
[01:33:25.298 --> 01:33:26.659]  So they'll try to manufacture stuff.
[01:33:27.299 --> 01:33:28.059]  That doesn't work anymore.
[01:33:28.079 --> 01:33:29.220]  People know they're a pack of liars.
[01:33:29.580 --> 01:33:33.922]  Look at Blagojevich, a complete open criminal, and people are defending him because they know he's the underdog.
[01:33:34.142 --> 01:33:38.685]  They know the system's so corrupt that even though that guy's corrupt, he must have done something against them.
[01:33:41.417 --> 01:33:42.797]  The system is shot, folks.
[01:33:42.857 --> 01:33:44.058]  It's got to be reworked.
[01:33:44.118 --> 01:33:45.098]  It's got to be recreated.
[01:33:45.438 --> 01:33:47.999]  Real change, not phony, Obamanoid change.
[01:33:48.259 --> 01:33:49.079]  Obama!
[01:33:49.359 --> 01:33:51.379]  Obama!
[01:33:52.560 --> 01:33:54.720]  Bush!
[01:33:55.220 --> 01:33:58.741]  You got all these neocons now, all these super right-wing people saying, I like Obama.
[01:33:58.961 --> 01:34:02.882]  Yeah, he's starting new wars, encircling Russia, setting up a police state.
[01:34:02.902 --> 01:34:03.442]  They love him!
[01:34:03.683 --> 01:34:05.083]  Pat Robertson's endorsed him!
[01:34:07.210 --> 01:34:08.591]  What does that tell you out there?
[01:34:09.191 --> 01:34:10.772]  That means they're making their move with this guy.
[01:34:11.393 --> 01:34:15.576]  And so am I going to wimp out and wait until people wake up to him to attack him and go after him politically?
[01:34:15.616 --> 01:34:15.816]  No!
[01:34:16.276 --> 01:34:17.517]  I'm stepping right up to the President.
[01:34:17.537 --> 01:34:20.219]  They know that I've produced some of the most viral videos in history.
[01:34:20.479 --> 01:34:21.780]  Hundreds of millions of views online.
[01:34:22.480 --> 01:34:23.841]  They'll probably try all kinds of crap.
[01:34:23.861 --> 01:34:25.002]  We've had all sorts of stuff going on.
[01:34:25.242 --> 01:34:25.583]  Good!
[01:34:26.423 --> 01:34:27.944]  I'm here to fight the New World Order.
[01:34:28.144 --> 01:34:30.504]  I'm not here to suck my thumb and play games.
[01:34:30.804 --> 01:34:42.668]  I'm here to go toe-to-toe 110% and they may kick my butt in the ring, but I'm here in the ring, and you better believe this, you attack my liberty, you attack my freedom, you attack my country, you attack my family, I'm gonna fight back.
[01:34:43.088 --> 01:34:46.469]  And you may beat me, but you better believe I'm gonna keep swinging all the way.
[01:34:48.544 --> 01:34:50.885]  And I kick like a mule and I bite like a crocodile.
[01:34:51.426 --> 01:34:52.747]  And so do the American people.
[01:34:53.067 --> 01:34:57.990]  So we need to come together against the New World Order and stop forgetting race, religion, all the stuff we fight about.
[01:34:58.610 --> 01:35:02.473]  We need to agree on liberty and freedom and the destruction of tyranny in the New World Order.
[01:35:04.714 --> 01:35:07.076]  Let's go ahead and talk to who's up next here, Annie in New York.
[01:35:09.877 --> 01:35:10.578]  Hello, Alex.
[01:35:10.958 --> 01:35:11.398]  Hi, Annie.
[01:35:11.919 --> 01:35:12.859]  I think you're wonderful.
[01:35:13.680 --> 01:35:16.822]  I was working the night that you were
[01:35:17.694 --> 01:35:22.237]  You went after Geraldo, and I worked in the McGraw-Hill building, and I watched that whole thing.
[01:35:22.277 --> 01:35:23.618]  It was quite amazing.
[01:35:23.819 --> 01:35:24.759]  Did you watch it out the window?
[01:35:25.160 --> 01:35:25.480]  Yeah.
[01:35:26.981 --> 01:35:27.942]  I was working.
[01:35:27.962 --> 01:35:30.063]  300 demonstrators taking over their live broadcast.
[01:35:30.103 --> 01:35:30.664]  That was beautiful.
[01:35:30.964 --> 01:35:31.905]  It was great!
[01:35:32.045 --> 01:35:32.785]  It was wonderful.
[01:35:33.326 --> 01:35:35.387]  But I wanted to ask you a couple of things.
[01:35:35.447 --> 01:35:38.309]  I mean, it's so difficult for people.
[01:35:38.429 --> 01:35:40.311]  I'm one of eight, you know, children.
[01:35:40.351 --> 01:35:43.393]  I'm a baby boomer, but, you know, I've been following this stuff.
[01:35:43.413 --> 01:35:46.736]  I used to work for FEMA, and I'm following this stuff for years.
[01:35:47.284 --> 01:35:47.604]  Thank you.
[01:36:06.035 --> 01:36:09.717]  I get scared that this might be the make or break year, 2009.
[01:36:09.877 --> 01:36:17.500]  That's because subconsciously, they know it's true, they're afraid, so they go, uh-uh, no, no, everything's fine, uh-uh, no, no, everything, I don't want to hear it.
[01:36:18.061 --> 01:36:23.263]  I mean, I've seen people, I've had family, cousins and people over, and I've tried to give them a DVD and they act like it's a snake.
[01:36:23.563 --> 01:36:25.284]  Oh, no, God, no, I don't want, you know why?
[01:36:25.304 --> 01:36:26.124]  Because they know it's real.
[01:36:26.865 --> 01:36:27.365]  But go ahead.
[01:36:27.905 --> 01:36:33.668]  I appreciate that point of view, because when I tried to get people to watch Loose Change,
[01:36:34.355 --> 01:36:39.919]  It was almost like they were little kids, and they were breaking one of the church commandments, and they were going to get caught.
[01:36:39.939 --> 01:36:42.581]  They were so afraid, but they did watch it.
[01:36:42.821 --> 01:36:48.484]  Well, that's a good way to get our material out, because it is avant-garde, it is cutting-edge, it is underground, it is dangerous.
[01:36:48.504 --> 01:36:51.266]  You tell them, this is a super-suppressed video, which it is.
[01:36:51.286 --> 01:36:58.151]  They're trying to erase them and shut down Endgame, Terror Storm, all these powerful films, and you tell them, well, this is hardcore, and they'll run home and, you know.
[01:37:00.127 --> 01:37:02.088]  Anything else?
[01:37:02.308 --> 01:37:13.715]  It would be helpful if one of your writers, you know, like the Five Steps of Grieving, there's also a process like that akin with coming to grips with what the heck is going on.
[01:37:14.475 --> 01:37:15.856]  You know, and anger.
[01:37:15.916 --> 01:37:16.917]  I feel a lot of anger.
[01:37:16.997 --> 01:37:19.958]  I'm over the shock between your stuff and crossing the Rubicon.
[01:37:19.998 --> 01:37:24.341]  And I really like that new site that you, the August review.
[01:37:24.381 --> 01:37:25.441]  That was very helpful.
[01:37:25.501 --> 01:37:28.043]  But it would be great if somebody could put together
[01:37:28.615 --> 01:37:34.392]  You know, the steps of not grieving, but coming to grips with the horrible... Ma'am, we're trying to expand.
[01:37:34.432 --> 01:37:35.455]  We've got three riders.
[01:37:36.598 --> 01:37:40.619]  that are full-time, a couple that are part-time, and some folks that are guest contributors that we appreciate.
[01:37:42.420 --> 01:37:45.341]  We're trying to expand, and we're doing it while everything's imploding.
[01:37:45.721 --> 01:37:47.362]  So yes, we're trying to do that.
[01:37:47.402 --> 01:37:48.342]  We're going to add a lot.
[01:37:48.362 --> 01:37:50.223]  In the next few months, people are going to see it.
[01:37:50.243 --> 01:37:52.724]  A set of two films a year, three, four films a year.
[01:37:54.384 --> 01:37:54.904]  Well, just wait.
[01:37:54.924 --> 01:37:56.545]  You're going to see some new things happening here.
[01:37:57.085 --> 01:37:58.305]  Anything else you want to add?
[01:37:59.326 --> 01:38:05.648]  I wonder if you think that peak oil will play any role in putting the, you know,
[01:38:06.331 --> 01:38:08.974]  Kibosh to their global movement.
[01:38:09.134 --> 01:38:10.355]  I mean... It's contrary.
[01:38:10.395 --> 01:38:15.100]  You know, when you mention Rupert, he would talk about 98% accurate, and he would add some things.
[01:38:15.120 --> 01:38:17.262]  You know, Rupert called for population reduction, right?
[01:38:18.162 --> 01:38:19.063]  I did not know that.
[01:38:19.083 --> 01:38:20.024]  Yeah, he wrote that.
[01:38:21.145 --> 01:38:26.430]  And has given speeches on it, and he kind of... He's retired, I guess, to put it lightly these days.
[01:38:28.430 --> 01:38:36.211]  Peak oil is actually, they want to reduce resources to control the population, but certainly
[01:38:39.124 --> 01:38:43.889]  Well, let's just put it this way, PECOIL is one area that I think you should look at the alternatives on and research, okay?
[01:38:44.209 --> 01:38:45.010]  Good to hear from you, though.
[01:38:45.050 --> 01:38:46.632]  Great to have you on board with us as a listener.
[01:38:47.092 --> 01:38:51.176]  I'm going to come back, I'm going to plug these sponsors, then I'm going to go to some more of your calls.
[01:38:51.577 --> 01:38:53.078]  I do have some economic news I want to hit.
[01:38:53.158 --> 01:39:00.646]  All these top economists are talking about we are already in a depression, even The Economist magazine, which is as prestigious as it gets.
[01:39:03.004 --> 01:39:04.165]  It's economists that write it.
[01:39:04.405 --> 01:39:08.668]  It's kind of a prestigious internal journal that's sold on newsstands.
[01:39:09.289 --> 01:39:11.511]  I mean, these are actual white papers, you know, that are in it.
