[00:00:00.197 --> 00:00:01.318]  The GCN Radio Network.
[01:16:19.956 --> 01:16:31.800]  I saw the interview that you had on that girl's show during the daytime, and I would encourage you to challenge these commentators, these people, these hosts of these shows.
[01:16:32.902 --> 01:16:34.823]  That put their money where their mouth is, you know?
[01:16:34.923 --> 01:16:37.223]  It's just his point-blank is that, just, you know.
[01:16:37.584 --> 01:16:42.365]  Yeah, you've got these little soft ninnies who've never lived anything and they're saying torture people.
[01:16:42.425 --> 01:16:43.946]  It's so decadent and evil, Jesse.
[01:16:44.046 --> 01:16:53.229]  Well, you've got to remember, too, though, you can't go on the shows and be a bull moose and a bull in the china shop, or you'll never get invited back, either.
[01:16:54.409 --> 01:17:00.551]  You know, you can take a firm stand, but you've got to be cordial, you've got to play the game a little bit.
[01:17:01.454 --> 01:17:02.955]  Because you can't just go in there.
[01:17:03.516 --> 01:17:05.578]  The only person I do that with is Hannity.
[01:17:06.378 --> 01:17:07.179]  Okay, gotta jump.
[01:17:07.219 --> 01:17:08.460]  Thank you, Mark.
[01:17:08.920 --> 01:17:10.041]  Solomon in Brazil.
[01:17:10.121 --> 01:17:11.162]  Quick question or comment.
[01:17:12.443 --> 01:17:13.044]  Good afternoon.
[01:17:13.084 --> 01:17:14.045]  Greetings, Brother Jones.
[01:17:14.105 --> 01:17:18.348]  I just want to let you know also that we internationally, we pay for the phone calls.
[01:17:18.408 --> 01:17:23.793]  So, I was waiting for you patiently because I really like to interact with Brother Ventura.
[01:17:24.249 --> 01:17:31.534]  Thank you very much, Brother Ventura, for your courage to speak out about some topics that no other retired military has spoken before.
[01:17:31.874 --> 01:17:34.836]  I would like to make a comment and a short question to you.
[01:17:35.376 --> 01:17:40.199]  You, as I, are familiar with the expression, once a Marine, always a Marine.
[01:17:40.359 --> 01:17:43.681]  That is almost the same as, once a military, always a military.
[01:17:44.141 --> 01:17:51.726]  Over here, like in other places around the world with dictatorship, they say that the difference between a civilian and a military is that a civilian
[01:17:52.299 --> 01:17:57.182]  Almost ever can be militarized, while a military almost never can be civilized.
[01:17:57.622 --> 01:18:05.447]  My question is, how can I trust a former military will embrace their brothers and sisters in civilian life once retired?
[01:18:05.967 --> 01:18:07.388]  Okay, I get the question.
[01:18:07.408 --> 01:18:09.129]  I gotta let you go because we only got a minute left.
[01:18:09.529 --> 01:18:12.811]  How can you trust someone who's in the military?
[01:18:13.151 --> 01:18:14.412]  What about George Washington?
[01:18:14.572 --> 01:18:20.576]  Well, I believe you can trust someone who's in the military just by talking to them and realize that
[01:18:21.176 --> 01:18:25.438]  They served in the military to protect the freedoms that we hold true.
[01:18:25.478 --> 01:18:31.100]  You know, I remember during the war in Vietnam, I was asked at one point if they were going to march on the base.
[01:18:31.720 --> 01:18:32.601]  And I refused.
[01:18:32.701 --> 01:18:35.282]  I told them I won't go out there and beat up Americans.
[01:18:35.322 --> 01:18:36.182]  That's ridiculous.
[01:18:36.782 --> 01:18:37.663]  I will not do that.
[01:18:37.703 --> 01:18:39.003]  That's a First Amendment right.
[01:18:39.043 --> 01:18:40.284]  They have the right to protest.
[01:18:40.624 --> 01:18:41.044]  Oh, really?
[01:18:41.064 --> 01:18:43.165]  They asked you to go beat up people when you were in the military?
[01:18:43.185 --> 01:18:44.425]  They didn't ask me to beat them up.
[01:18:44.445 --> 01:18:47.047]  They just wanted me to stand watch.
[01:18:47.087 --> 01:18:50.408]  And if these people pushed forward, well, what else would we be able to do?
[01:18:51.932 --> 01:18:57.159]  And I didn't want to be in that position because I thought I didn't join the military to beat on Americans.
[01:18:59.363 --> 01:19:02.627]  And what they did, how they covered, I didn't have duty that day.
[01:19:02.707 --> 01:19:04.069]  So see how smart I was?
[01:19:04.149 --> 01:19:05.872]  I got out of duty and could go to the beach.
[01:19:08.148 --> 01:19:09.329]  Well, no, that's where it comes down to.
[01:19:09.369 --> 01:19:10.770]  That's my madness always, Alex.
[01:19:11.351 --> 01:19:13.592]  Well, you know, the military kills people and breaks things.
[01:19:13.633 --> 01:19:14.954]  They don't police their own people.
[01:19:15.254 --> 01:19:17.175]  Isn't that the very definition of a police state?
[01:19:17.636 --> 01:19:18.517]  Yeah, exactly.
[01:19:18.977 --> 01:19:30.547]  You know, our military should not be, and so just because you served in the military does not mean that you can't be trusted as a civilian because you chose to get out of the military.
[01:19:30.667 --> 01:19:34.450]  I chose to after six years and certainly embraced being a civilian again.
[01:19:35.253 --> 01:19:37.393]  Governor Ventura, let me say bye to you during the break.
[01:19:37.454 --> 01:19:43.575]  That's it for the interview, but maybe in the next few months we can have you back on with news about the TV programs.
[01:19:43.815 --> 01:19:44.955]  Okay, hopefully.
[01:19:45.675 --> 01:19:46.255]  Absolutely.
[01:19:46.315 --> 01:19:47.376]  Okay, stay right there, sir.
[01:19:47.396 --> 01:19:48.696]  I want to say bye to you during the break.
[01:19:48.736 --> 01:19:53.637]  We'll come back, take folks' calls, break into the new cyber security news, cover all of that.
[01:19:54.017 --> 01:19:54.997]  Very, very serious.
[01:19:55.077 --> 01:19:58.078]  Infowars.com and PrisonPlanet.com are our websites.
[01:19:58.118 --> 01:19:59.498]  His new book is in paperback.
[01:19:59.879 --> 01:20:01.059]  Don't start the revolution without me.
[01:20:01.179 --> 01:20:01.719]  Jesse Ventura.
[01:20:03.430 --> 01:20:04.691]  Hi, this is Alex Jones.
[01:20:04.731 --> 01:20:10.077]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:20:10.317 --> 01:20:14.961]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[01:20:15.342 --> 01:20:20.407]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[01:20:20.927 --> 01:20:25.632]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:20:26.152 --> 01:20:28.014]  They call it a Survival Seed Bank.
[01:20:28.450 --> 01:20:33.053]  And it can produce an endless supply of nutrient-dense food for you and your family.
[01:20:33.253 --> 01:20:34.134]  And here's the best part.
[01:20:34.354 --> 01:20:37.116]  These seeds have not been genetically modified in any way.
[01:20:37.136 --> 01:20:40.719]  And you actually get enough seeds to plant a full acre crisis garden.
[01:20:41.059 --> 01:20:43.901]  So visit them today at survivalseedbank.com.
[01:20:44.241 --> 01:20:46.142]  That's survivalseedbank.com.
[01:20:46.463 --> 01:20:47.383]  Or give them a call at 877-327-0365.
[01:20:47.403 --> 01:20:47.583]  That's 877-327-0365.
[01:20:47.603 --> 01:20:48.724]  Remember, in a real crisis,
[01:20:57.543 --> 01:20:59.784]  Non-hybrid seeds are the ultimate barter item.
[01:21:00.084 --> 01:21:02.525]  This is Alex Jones for survivalseedbank.com.
[01:21:03.846 --> 01:21:09.148]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:21:09.668 --> 01:21:16.691]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[01:21:17.233 --> 01:21:23.435]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:21:23.835 --> 01:21:25.656]  Well, Obama's already fudging.
[01:21:25.796 --> 01:21:28.217]  He's fudged since day one in this election.
[01:21:28.297 --> 01:21:39.240]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[01:21:39.875 --> 01:21:41.156]  It's not about left or right.
[01:21:41.536 --> 01:21:42.916]  It's about a one world government.
[01:21:43.397 --> 01:21:49.759]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:21:50.299 --> 01:21:58.103]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[01:21:58.563 --> 01:21:59.723]  The Obama Deception.
[01:22:00.143 --> 01:22:01.344]  The people strike back.
[01:22:04.585 --> 01:22:06.566]  Are you wondering about your retirement portfolio?
[01:22:06.947 --> 01:22:12.910]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[01:22:13.170 --> 01:22:17.093]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[01:22:17.313 --> 01:22:24.137]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[01:22:24.457 --> 01:22:30.019]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[01:22:30.379 --> 01:22:37.741]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[01:22:41.175 --> 01:22:43.037]  If being prepared doesn't apply to you, disregard the next minute.
[01:23:06.696 --> 01:23:09.317]  We're way beyond a question of if and when it's upon us.
[01:23:09.757 --> 01:23:14.300]  When you can't safely touch anything and a cough or sneeze can shut down your school or business.
[01:23:14.660 --> 01:23:20.503]  How would you or could you disinfect a school bus, office, locker room, place of worship, or your entire home?
[01:23:20.783 --> 01:23:21.783]  And do it in just minutes?
[01:23:22.463 --> 01:23:31.228]  Go to hazard.com and see the 8-minute video that is guaranteed to show how our unique application process can do really big jobs that you never could do before.
[01:23:31.728 --> 01:23:32.568]  H-A-Z-A-R-I-D.
[01:23:34.577 --> 01:23:38.238]  Total protection kits kill viruses, bacteria, mold, and much more.
[01:23:38.838 --> 01:23:41.158]  And they do it for less cost than what you're currently using.
[01:23:41.758 --> 01:23:44.799]  Don't risk facing shipping bottlenecks and possible shortages.
[01:23:45.339 --> 01:23:50.620]  Act now to assure prompt delivery and to receive our two-for-one double product special.
[01:23:50.780 --> 01:23:52.260]  You can't buy Hazurid in stores.
[01:23:52.740 --> 01:23:55.521]  Order online at Hazurid.com or call 800-675-0323.
[01:23:55.581 --> 01:23:55.761]  That's 800-675-0323.
[01:24:08.773 --> 01:24:16.020]  Look, I know I was going quickly through your calls and that was because I wanted to get as many in as I could for Jesse Ventura.
[01:24:17.181 --> 01:24:28.872]  Look, I have sent him articles, I've sent him films, and I have seen him wake up and then talk about those things on the news.
[01:24:32.438 --> 01:24:34.740]  He's an influential guy because the media has him on a lot.
[01:24:34.900 --> 01:24:35.681]  They find him interesting.
[01:24:35.701 --> 01:24:36.862]  The public finds him interesting.
[01:24:37.543 --> 01:24:38.984]  Multiple generations like him.
[01:24:39.905 --> 01:24:41.927]  And so we are slowly educating him.
[01:24:41.947 --> 01:24:44.290]  And he came out for 9-11 Truth on my show.
[01:24:45.030 --> 01:24:47.493]  When I called to set him up for the show, he said, I'm going to come on your show.
[01:24:47.513 --> 01:24:48.794]  I remember you giving me those videos.
[01:24:48.854 --> 01:24:50.936]  And Austin and I have seen some more.
[01:24:51.016 --> 01:24:54.660]  And I'm going to come on your show and break that I think they blew the towers up.
[01:24:55.666 --> 01:24:58.527]  And you heard Ventura on this show break that.
[01:24:58.927 --> 01:25:05.489]  Just like Willie Nelson and Jesse Ventura and Rick Linklater and so many others have come on here and it's gotten news every time.
[01:25:06.289 --> 01:25:11.251]  That was in the Associated Press, National News, you name it, when Willie Nelson came out.
[01:25:11.571 --> 01:25:15.412]  And then it makes it kosher for other people to say, oh, 9-11's an inside job.
[01:25:16.072 --> 01:25:20.253]  But I disagree with Ventura on quite a few issues, but I think overall he's a good guy, plus I know him in person.
[01:25:27.182 --> 01:25:27.903]  Oh, it doesn't matter.
[01:25:28.423 --> 01:25:39.069]  Look, I want to go over cyber security in detail at the end of the show, and integrate it in with all this other news, and the thing that happened with General Motors going bankrupt, and the dollar plunging, it's just getting too insane.
[01:25:40.570 --> 01:25:48.355]  But let's go to Mark in Oregon, who had a lengthy question, I think he was talking about my film, versus Ventura, and so let's go back to Mark.
[01:25:48.395 --> 01:25:48.995]  Mark, go ahead.
[01:25:49.836 --> 01:25:51.697]  Yeah, Alex, I was just going to say that
[01:25:52.233 --> 01:26:12.698]  You know, I've been listening to the Obama deception clip so many times, and of course Jesse Ventura has a very strong presence even in an audio sense, and he says that Obama has been fudging since day one of the election up to the presidency, and I assume that he includes the presidency as fudging.
[01:26:13.198 --> 01:26:19.780]  But I see it as, if not disingenuous, just highly ironic and contradictory.
[01:26:20.447 --> 01:26:27.631]  That he says he wants to give Obama a year to see how he's going to do when he must have seen the Obama deception by now.
[01:26:28.271 --> 01:26:32.293]  He may be trying to protect his own life and his own family, and I respect that.
[01:26:32.893 --> 01:26:47.561]  But people who have a public voice and who have fame, if they don't step out in front of the microphone at this point and expose the evil tyranny which is about to engulf us all, Alex, which is what the Infowars is all about, is to try to expose this.
[01:26:48.058 --> 01:26:48.258]  This is
[01:27:09.400 --> 01:27:22.026]  Ventura came out and said he's already fudging about the war, he's fudging about all these things, and then now he realizes Obama's popular, and I've talked to him privately, too.
[01:27:22.066 --> 01:27:27.969]  He doesn't want to be premature in really going after Obama, but I'm sure you're going to see him criticized.
[01:27:27.989 --> 01:27:30.110]  I mean, you heard him say the Democrats are all bad, too.
[01:27:31.231 --> 01:27:32.171]  Don't vote for any of them.
[01:27:32.211 --> 01:27:33.232]  I didn't vote for any of them.
[01:27:34.221 --> 01:27:39.885]  I just think that, well, I heard him on Fox say, I hate Bush so much that anything's better.
[01:27:40.565 --> 01:27:41.466]  But see, that's a lie.
[01:27:41.506 --> 01:27:45.108]  Bush was obviously arrogant, obviously bad, obviously corrupt.
[01:27:45.588 --> 01:27:49.271]  He wasn't a good salesman like Obama, who's slick and charismatic.
[01:27:51.272 --> 01:27:52.353]  He's much more dangerous.
[01:27:52.373 --> 01:27:54.114]  You know, we had a caller before Ventura came on.
[01:27:55.418 --> 01:28:01.041]  Well, I didn't really comment back to, because I knew they'd just gotten Ventura on right when I went to his call.
[01:28:01.361 --> 01:28:04.983]  Ventura was on a little bit earlier than he was supposed to be, which is fine.
[01:28:05.003 --> 01:28:05.944]  We just had more time with him.
[01:28:06.264 --> 01:28:15.889]  The caller's like, I think you're secretly a right winger and you really like George Bush and that's why you, you know, criticize Obama and not George Bush.
[01:28:16.589 --> 01:28:17.590]  And that's just asinine.
[01:28:18.834 --> 01:28:23.957]  I mean, I went on air when George Bush had a 90 plus percent approval rating.
[01:28:24.257 --> 01:28:23.957]  94.
[01:28:24.658 --> 01:28:25.578]  Largest in U.S.
[01:28:25.598 --> 01:28:25.919]  history.
[01:28:26.399 --> 01:28:28.860]  And I said, the people controlling him staged the 9-11 attacks.
[01:28:30.700 --> 01:28:32.701]  When no other host was saying that or doing that.
[01:28:33.101 --> 01:28:35.922]  And I was attacked on this network by other talk show hosts.
[01:28:36.243 --> 01:28:41.685]  And I had people, George Humphrey's a really nice TV producer, nice lady, got in my face and cussed at me.
[01:28:42.365 --> 01:28:48.808]  The night after 9-11, my show was on after theirs and she was there and she got in my face and cussed me out.
[01:28:50.229 --> 01:28:53.711]  And a couple years later was running George's show and never apologized when he was doing 9-11 Truth.
[01:28:56.817 --> 01:28:58.978]  You know, I mean, I've got to be there first, folks.
[01:28:59.018 --> 01:29:02.020]  I'm always there saying the hard things that need to be said.
[01:29:02.580 --> 01:29:08.543]  And I detest George Bush and his handlers, Dick Cheney and Karl Rove.
[01:29:09.603 --> 01:29:20.829]  And it's wrong and mentally ill when all those fake mainline right-wingers were calling me a hardcore communist and a Taliban sympathizer and I was secretly trained in Taliban camps and all this made-up crap.
[01:29:22.369 --> 01:29:29.193]  To then, when Obama comes out, and I say, my gosh, this guy is the worst thing that we've ever seen, because he is slick, and they go, oh, you're just a right winger.
[01:29:29.973 --> 01:29:35.156]  You're so desperate to hold on to your left-right paradigm that you've got to put me in it and make me part of it.
[01:29:35.196 --> 01:29:38.337]  Just look, hate me, love me, whatever, just don't put me in that.
[01:29:38.837 --> 01:29:43.360]  Don't, don't, don't, you know, don't tell me what I think and what I believe and who I am.
[01:29:44.901 --> 01:29:45.621]  All right, stay with us.
[01:29:46.501 --> 01:29:47.502]  Key transmission coming up.
[01:29:53.652 --> 01:29:56.635]  We're on the march, the empire's on the run.
[01:29:57.555 --> 01:30:00.358]  Alex Jones and the GCN Radio Network.
[01:30:03.000 --> 01:30:08.545]  This is Alex Jones and I want to tell you again about a company that has supported us in the truth movement for years.
[01:30:08.865 --> 01:30:10.026]  Inner Health Botanicals.
[01:30:10.147 --> 01:30:14.050]  This company produces the highest quality superfood around, called Innerfood.
[01:30:14.417 --> 01:30:15.978]  My wife just loves the stuff.
[01:30:16.279 --> 01:30:22.584]  And now, the Health Ranger, Mike Adams, has awarded InnerFood his Editor's Choice Award for Best Superfood of 2009.
[01:30:23.345 --> 01:30:26.287]  InnerFood is loaded with 20 great organic ingredients.
[01:30:26.607 --> 01:30:28.088]  No fillers, no sweeteners.
[01:30:28.349 --> 01:30:31.131]  It would be impossible to blend this up for a better price.
[01:30:31.351 --> 01:30:32.812]  And their formula really works.
[01:30:33.073 --> 01:30:35.635]  This is the real thing for the great health you need.
[01:30:35.875 --> 01:30:41.760]  Try the NutriCafe, their great organic coffee infused with polysaccharides that boosts the immune system.
[01:30:42.122 --> 01:30:44.305]  A truly healthy coffee that tastes great.
[01:30:44.545 --> 01:30:45.546]  And take it from me, folks.
[01:30:45.766 --> 01:30:46.788]  It really does taste great.
[01:30:47.008 --> 01:30:48.750]  Don't forget to try their other great products.
[01:30:49.110 --> 01:30:54.577]  Go to www.enerfood.com.
[01:30:54.797 --> 01:30:59.242]  That's www.enerfood.com.
[01:30:59.462 --> 01:31:02.366]  Or just click on their banner on infowars.com for special pricing.
[01:31:03.697 --> 01:31:08.701]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:31:08.922 --> 01:31:12.705]  Number one, new climate legislation could easily double or triple your electric bill.
[01:31:12.945 --> 01:31:18.530]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:31:18.850 --> 01:31:19.291]  It's true.
[01:31:19.491 --> 01:31:23.695]  Total government control of electricity in the name of smart grid technology is coming.
[01:31:23.915 --> 01:31:30.280]  Number three, in some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:31:30.461 --> 01:31:30.901]  Number four,
[01:31:31.101 --> 01:31:33.765]  The hurricane and dangerous summer storm season is here again.
[01:31:34.005 --> 01:31:37.270]  Every year, thousands of families lose their power from weather-related outages.
[01:31:37.290 --> 01:31:41.395]  Folks, I really believe in the solar power generators offered by Solutions From Science.
[01:31:46.542 --> 01:31:46.963]  I think so.
[01:32:04.412 --> 01:32:09.536]  By harmful indoor air that can easily deliver many harmful toxins straight into our bodies.
[01:32:09.776 --> 01:32:10.617]  Take a deep breath.
[01:32:11.578 --> 01:32:17.843]  Can you actually feel the airborne influenza, viruses, mold, bacteria, and dangerous ozone entering your lungs?
[01:32:18.063 --> 01:32:19.124]  Have a glass of water.
[01:32:19.624 --> 01:32:24.548]  Can you taste the harmful chlorine, fluoride, lead, pharmaceutical drugs, and numerous other chemicals?
[01:32:26.721 --> 01:32:26.981]  I think so.
[01:32:47.677 --> 01:32:51.798]  Atmospheric water generators, humidifiers, dehumidifiers, and much more.
[01:32:51.998 --> 01:32:58.800]  To learn more and see the products that will change the way you look at our air and water, please visit airandaqua.com.
[01:32:58.920 --> 01:33:01.020]  That's airandaqua.com.
[01:33:01.120 --> 01:33:02.661]  Purify your life today!
[01:33:04.381 --> 01:33:07.122]  Crashing through the lies and disinformation.
[01:33:07.142 --> 01:33:10.963]  It's Alex Jones, only on the GCN Radio Network.
[01:33:22.804 --> 01:33:27.466]  The French News Agency had a headline we linked to up on PrisonPlanet.com.
[01:33:29.467 --> 01:33:29.888]  Sunday.
[01:33:30.888 --> 01:33:31.909]  They told it like it is.
[01:33:32.329 --> 01:33:35.571]  Cyber security, the new direction of the Pentagon.
[01:33:36.312 --> 01:33:48.900]  They're saying everything is cyber, everything is internet, everything is computer, everything is hacking computers, everything is loading viruses onto printers that they gave the Iraqis in the months before the invasion in 1991, 1990.
[01:33:50.541 --> 01:33:54.263]  This is the control grid.
[01:33:54.304 --> 01:33:56.185]  This is the master control system.
[01:33:57.025 --> 01:33:57.225]  And I
[01:33:58.985 --> 01:34:16.319]  I filled up almost an entire booklet this weekend of ideas and points I wanted to make about this and I tend to get off into other news and start taking calls and having guests on and not getting to all this properly because I don't want to just cover a piece of it.
[01:34:16.919 --> 01:34:21.383]  I want to cover every piece of it that I see and then every pre-programmed response.
[01:34:22.024 --> 01:34:24.666]  Like earlier, I've tried to get into this twice today and then run out of time.
[01:34:26.519 --> 01:34:30.902]  And I just get up to the point of, yes, they're announcing this is the power to shut the internet off.
[01:34:31.302 --> 01:34:33.064]  Yes, they're saying they're going to filter.
[01:34:33.544 --> 01:34:35.165]  Yes, they're saying they're going to restrict.
[01:34:35.405 --> 01:34:47.214]  You know, just so when I talk about this and people are listening or watching at PrisonPlanet.tv or a year from now watching this, you know, when it's got a million views on the internet somewhere, if we still have the web,
[01:34:48.464 --> 01:34:56.492]  That I can counter, that's why I'm successful, I can counter every preconditioned piece of disinfo they have if I take the time out to do it.
[01:34:57.261 --> 01:35:03.427]  Because I know the first thing, when I get up here on air and say, they're openly announcing they want to be able to shut the internet down.
[01:35:03.647 --> 01:35:05.529]  They're not shutting it down, that's impossible!
[01:35:05.969 --> 01:35:22.044]  They are saying they want the power to be able to shut it down, that they're going to tax it and regulate it and track everything you do, and make you have subdomains on other people's sites, and get rid of the free internet as we know it, and yes, if they take over all the major hubs, yes they can do it.
[01:35:23.513 --> 01:35:26.835]  And then I can get into all the evidence, but there's just so much denial.
[01:35:27.616 --> 01:35:31.339]  I mean, I had people up until last week denying GM was going to go bankrupt.
[01:35:31.779 --> 01:35:33.740]  When I told you two and a half years ago it was.
[01:35:34.941 --> 01:35:41.726]  I think I need to hire just an employee to go through all our videos and articles and shows just to toot our horn.
[01:35:42.066 --> 01:35:43.307]  Because that's what matters.
[01:35:43.648 --> 01:35:44.949]  That is effective.
[01:35:45.769 --> 01:35:51.533]  Here's Lindsey Williams, and he got it from a separate source, former head of an oil company, going around saying,
[01:35:52.822 --> 01:36:00.666]  Nine, ten months ago that oil for at least the next six to eight months was going to drop below $50 a barrel when it was at $149 a barrel.
[01:36:01.547 --> 01:36:02.487]  That sounded insane.
[01:36:02.567 --> 01:36:03.047]  It happened.
[01:36:06.249 --> 01:36:09.731]  And then a listener pointed out, hey, Paul Watson wrote a Bilderberg Group article.
[01:36:10.151 --> 01:36:14.994]  Jim Tucker said his Bilderberg sources said they were going to cut the price of oil by at least half.
[01:36:15.294 --> 01:36:17.375]  That sounded crazy in 2008 and June, a year ago.
[01:36:20.236 --> 01:36:22.557]  Just a year ago it sounded like it was $149 a barrel.
[01:36:22.817 --> 01:36:23.778]  It sounded insane!
[01:36:24.518 --> 01:36:26.939]  And it turns out we're the source of all that.
[01:36:27.239 --> 01:36:28.640]  The source of the revelations.
[01:36:28.680 --> 01:36:29.880]  PrisonPlanet.com.
[01:36:30.160 --> 01:36:33.622]  We're that exclusive with Jim Tucker and we don't even know we predicted it!
[01:36:34.963 --> 01:36:36.024]  Like everything else!
[01:36:36.084 --> 01:36:38.206]  I mean, we know their exact plan!
[01:36:38.506 --> 01:36:40.968]  That's why they're attacking me everywhere and going after me.
[01:36:41.228 --> 01:36:45.132]  With asinine attacks in mainstream media and Alternative and everywhere else.
[01:36:46.153 --> 01:36:48.515]  Because they know we've hit on what's accurate.
[01:36:48.535 --> 01:36:53.539]  And it takes me realizing just how important the issues are I'm talking about.
[01:36:55.401 --> 01:36:56.542]  Will you call Rob Dewin here?
[01:36:56.562 --> 01:37:01.085]  I want to ask who's on the show tomorrow, because I know I've told a bunch of guests I want on, and I may just cancel some of them.
[01:37:01.105 --> 01:37:01.806]  Will you call Dewin here?
[01:37:01.886 --> 01:37:02.687]  I want to decide right now.
[01:37:04.275 --> 01:37:09.520]  Because I may just do four hours with no calls, no guests, no nothing, to go over all my notes and things I want to cover.
[01:37:10.801 --> 01:37:13.064]  Because it's exhaust... I'm not whining, but it just is.
[01:37:13.204 --> 01:37:20.591]  It's psychologically and intellectually exhausting to... Now is it lunch?
[01:37:22.212 --> 01:37:27.378]  Yeah, well you just, since Deuce is gone, will you go look at tomorrow's schedule and just tell me who's on tomorrow?
[01:37:28.439 --> 01:37:28.699]  Thanks.
[01:37:30.350 --> 01:37:35.752]  Cause I don't want to make an announcement that I'm going to do a whole show on one thing tomorrow and then not do it.
[01:37:37.312 --> 01:37:39.533]  Or then some new hard thing will happen tomorrow.
[01:37:48.716 --> 01:37:51.097]  Let me just do this as simply as I can.
[01:37:51.697 --> 01:37:53.518]  I'll do a simple synopsis tomorrow.
[01:37:53.978 --> 01:37:57.579]  I printed a bunch of articles up to back all this up and then we'll uh,
[01:38:00.182 --> 01:38:06.087]  We'll detail it all tomorrow, at least one hour of the show, plus the economy and the bankers and killing the dollar openly.
[01:38:06.147 --> 01:38:08.068]  I mean, it's all happening.
[01:38:08.088 --> 01:38:09.549]  They're openly raping us.
[01:38:09.609 --> 01:38:11.111]  Come on in, Douglas.
[01:38:14.713 --> 01:38:16.475]  Rivero and Tarpley, those are good guests.
[01:38:16.515 --> 01:38:17.556]  I'm not going to cancel them.
[01:38:19.417 --> 01:38:20.358]  What times are they on?
[01:38:20.378 --> 01:38:24.041]  Rivero will be at noon.
[01:38:28.626 --> 01:38:29.086]  Why is he on at 12.15?
[01:38:29.607 --> 01:38:31.007]  He's supposed to be on at 12.
[01:38:33.729 --> 01:38:35.150]  Oh, C'est La Vie, it doesn't matter.
[01:38:35.190 --> 01:38:35.830]  Okay, whatever.
[01:38:36.851 --> 01:38:38.211]  I'll do it in the first hour then.
[01:38:38.592 --> 01:38:40.653]  But I'm going to do it right now to an abbreviated version.
[01:38:42.454 --> 01:38:48.037]  After I tell you about who makes this radio show possible, number one, we're going to have the Money Bomb, June 11th.
[01:38:48.137 --> 01:38:51.059]  A listener started the first Money Bomb, Eric Nordstrom.
[01:38:51.899 --> 01:38:55.401]  It was listeners' ideas, and the extra $250,000 that was raised
[01:38:57.901 --> 01:39:01.664]  Helped us move into a 7,800 and something square foot building.
[01:39:02.064 --> 01:39:08.608]  Helped us set up this prisonplanet.tv system that you're seeing right now.
[01:39:09.449 --> 01:39:10.650]  And took us to that level.
[01:39:13.331 --> 01:39:22.376]  If we could raise another $250,000, I could hire a couple more video people and get the space next to us and do the TV thing properly.
[01:39:22.416 --> 01:39:23.597]  If not, I'll do it on the cheaps.
[01:39:24.377 --> 01:39:28.939]  But we have had something like $30,000 pledged so far, or actually given.
[01:39:28.959 --> 01:39:31.281]  You can enter your email there to pledge.
[01:39:31.321 --> 01:39:32.601]  You can stay in contact with us.
[01:39:33.182 --> 01:39:42.347]  It's InfoWarsMoneyBomb.com, InfoWarsMoneyBomb.com, or you can link through on the big banners at InfoWars.com and PrisonPlanet.com.
[01:39:43.027 --> 01:39:56.751]  And we just asked folks on June 11th to donate, whether it's $5 or $1,000, and 100% of the Money Bomb money will go towards buying new equipment and personnel and what we need to do here.
[01:39:57.892 --> 01:40:05.474]  And believe me, I almost don't want to take on more responsibilities, but other people aren't doing it, so we've got to go to the next level and do it.
[01:40:06.587 --> 01:40:14.474]  And I've been trying to put more things out, like the new Aaron Russo video that's now out at PrisonPlanet.tv and ships on DVD in two days, June 3rd.
[01:40:14.895 --> 01:40:16.276]  Order that at InfoWars.com.
[01:40:16.296 --> 01:40:23.442]  We're putting out the monthly best of with the InfoWars arsenal.
[01:40:24.163 --> 01:40:28.347]  I mean, we're trying to make more films, trying to make three or four films a year instead of two films a year.
[01:40:28.767 --> 01:40:30.829]  I'm trying to do everything I can do.
[01:40:31.832 --> 01:40:34.173]  As best I can because I know we're reaching people.
[01:40:34.813 --> 01:40:53.437]  I went down and got a little cabin in Port Aransas for three days with my wife and children and I rented one of those golf carts with a little lawnmower engine in it to put around at 10 miles an hour on the beach and the beach was totally packed just cars end to end and I would drive with my children
[01:40:54.662 --> 01:40:56.903]  And every fifth vehicle, they'd go, Alex Jones!
