[00:00:00.009 --> 00:00:00.129]  It's
[01:41:15.356 --> 01:41:15.816]  It looked good.
[01:41:15.836 --> 01:41:16.437]  We've redone it.
[01:41:17.157 --> 01:41:18.038]  You can see the video cover.
[01:41:18.559 --> 01:41:20.260]  That's what the main front side is.
[01:41:20.280 --> 01:41:21.121]  TheObamadeception.net.
[01:41:22.910 --> 01:41:26.833]  And we hope you also go to Infowars.com and secure DVD copies today.
[01:41:27.433 --> 01:41:33.737]  We also have a great new t-shirt, several Obama t-shirts, but these are to strike up conversations with Obamanoids and deprogram them.
[01:41:34.278 --> 01:41:38.941]  On one side it's a split image of George Bush's face and on the other side Obama's face making the whole face.
[01:41:39.541 --> 01:41:43.024]  And above Bush it says, Worst President Ever and Beside Obama Until Now.
[01:41:43.584 --> 01:41:46.726]  That way people know you're not a Bush supporter and you're explaining to them that it's bought and paid for.
[01:41:46.766 --> 01:41:48.247]  It says, Don't Be a Sucker on the back.
[01:41:48.868 --> 01:41:49.528]  Infowars.com.
[01:41:51.189 --> 01:41:52.390]  We have those t-shirts in right now.
[01:41:52.430 --> 01:41:55.472]  You can order those if you would like one as well with the DVD.
[01:41:55.492 --> 01:42:03.277]  We hope you will go to theobamadeception.net or infowars.com or presentplanet.com to get your order in or call toll-free 888-253-3139.
[01:42:03.297 --> 01:42:03.797]  888-253-3139.
[01:42:03.818 --> 01:42:09.221]  You can also write to me at Alex Jones, to Alex Jones at 3001 South Lamar, Austin, Texas 78704.
[01:42:21.490 --> 01:42:25.215]  The Obama deception on March 15th.
[01:42:25.556 --> 01:42:27.038]  The people strike back.
[01:42:27.987 --> 01:42:32.670]  Another fellow emailed me and said it ought to be on March 15th, the republic strikes back.
[01:42:33.191 --> 01:42:39.095]  The general public doesn't even know what a republic is, so on March 15th, the people strike back.
[01:42:39.435 --> 01:42:43.438]  And then they learn exactly what that means when you see the film.
[01:42:43.959 --> 01:42:45.300]  The Obama Deception.
[01:42:45.380 --> 01:42:46.540]  Again, Infowars.com or 888-253-3139.
[01:42:52.839 --> 01:43:01.446]  In other news here, I mean it's just coming on, AP Transportation Secretary says taxing how much we drive may replace gas tax.
[01:43:01.467 --> 01:43:03.768]  When you actually read it, they're preparing to bring that in.
[01:43:04.889 --> 01:43:13.677]  Federalize basically all transportation, put a satellite tracker box that will share the money with the county, city, state, federal, and international, with of course a bunch of carbon taxes on it.
[01:43:14.258 --> 01:43:19.082]  And in the federal documents, we've been telling you about for over a decade, they say that to drive from Austin
[01:43:19.582 --> 01:43:20.764]  They're now doing the test here in Austin.
[01:43:20.784 --> 01:43:22.146]  It's going in cars now here in Austin.
[01:43:22.546 --> 01:43:23.688]  And another test around the country.
[01:43:24.268 --> 01:43:30.477]  It will be $165 plus to drive on top of your gas to Dallas and back.
[01:43:30.877 --> 01:43:32.339]  The 400 mile journey roughly.
[01:43:32.359 --> 01:43:33.381]  $160 plus.
[01:43:36.917 --> 01:43:37.377]  Oh yes.
[01:43:38.117 --> 01:43:40.618]  It will be as much as five dollars.
[01:43:40.638 --> 01:43:41.258]  You can pull this up.
[01:43:41.278 --> 01:43:42.859]  They're not doing it in many areas of Europe and England.
[01:43:43.499 --> 01:43:46.900]  Five dollars a mile during peak times during traffic.
[01:43:47.380 --> 01:43:49.580]  Five dollars a mile.
[01:43:49.820 --> 01:43:50.241]  Google that.
[01:43:50.261 --> 01:43:51.261]  You can pull up their own documents.
[01:43:52.361 --> 01:43:56.462]  People told me I was a conspiracy theorist twelve, thirteen years ago when we had federal documents.
[01:43:57.723 --> 01:43:59.743]  Now it's being proposed everywhere.
[01:44:00.623 --> 01:44:02.624]  Your car becomes a taxi cab.
[01:44:03.860 --> 01:44:13.269]  In other news, all over the nation, they're putting in body scanners that 360 scan your body with a naked image of your body in federal databases, so then their biometric cameras can track your walk.
[01:44:13.289 --> 01:44:17.232]  That's what these are really for at the airports, not scanning for weapons, that's a dual use.
[01:44:17.853 --> 01:44:20.535]  And they only always talk about how a new airport puts it in, but they're going in everywhere.
[01:44:20.555 --> 01:44:23.718]  Tulsa passengers try out TSA's full body scanners.
[01:44:23.758 --> 01:44:25.200]  Oh, they try it out, oh, it's a new fun thing.
[01:44:26.653 --> 01:44:27.574]  Now that's some of the news here.
[01:44:27.614 --> 01:44:30.616]  Surveillance cams may fight crime, City says.
[01:44:30.656 --> 01:44:34.099]  They say every street corner will have cameras in Chicago, Mayor Daley says.
[01:44:34.699 --> 01:44:39.263]  So that is coming up as well after this quick break.
[01:44:39.663 --> 01:44:41.584]  We'll see if we get this Lieutenant Colonel on the show.
[01:44:41.605 --> 01:44:44.947]  Looking forward to talking to him about what they're doing in Iowa.
[01:44:45.047 --> 01:44:45.788]  Stay with us.
[01:44:49.671 --> 01:44:50.571]  We're on the march.
[01:44:51.052 --> 01:44:52.653]  The Empire's on the run.
[01:44:53.574 --> 01:44:56.276]  Alex Jones and the GCN Radio Network.
[01:44:59.608 --> 01:45:06.013]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:45:06.393 --> 01:45:08.355]  The enemy struck America on September 11th.
[01:45:09.035 --> 01:45:10.056]  But who is the enemy?
[01:45:10.576 --> 01:45:11.097]  Bin Laden.
[01:45:11.377 --> 01:45:12.298]  This is his ammo.
[01:45:12.318 --> 01:45:13.639]  We have to look to the Middle East.
[01:45:13.679 --> 01:45:15.400]  We have to look to Osama Bin Laden.
[01:45:15.740 --> 01:45:22.486]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:45:22.886 --> 01:45:23.326]  Some U.S.
[01:45:23.366 --> 01:45:29.011]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:45:29.711 --> 01:45:33.194]  I'm aware that some Israeli citizens have been detained.
[01:45:33.214 --> 01:45:35.355]  Either you are with us, or you are with the terrorists.
[01:45:59.349 --> 01:46:07.735]  There is growing evidence that Americans would have better health and a lower incidence of cancer and fibrocystic disease of the breast if they consumed more iodine.
[01:46:07.815 --> 01:46:18.503]  Neutriodine iodine is formulated to work with your body to help to stimulate proper hormonal balance and can assist in detoxification from fluoride, bromide and chloride toxins.
[01:46:18.763 --> 01:46:22.787]  And helps provide protection from radioactive iodine from nuclear fallout.
[01:46:22.947 --> 01:46:27.772]  Nutriodine is made with a proprietary high energy field from pure crystalline iodine.
[01:46:27.872 --> 01:46:30.875]  Nutriodine should be used by all ages every day.
[01:46:31.015 --> 01:46:34.819]  If you suffer from chronic fatigue, low thyroid, and mitochondria function.
[01:46:34.919 --> 01:46:37.141]  Or if you just want to feel better from day to day.
[01:46:37.301 --> 01:46:39.163]  Nutriodine drops are for you.
[01:46:39.243 --> 01:46:41.005]  There are several forms of iodine.
[01:46:41.105 --> 01:46:43.387]  Nutriodine is the only trusted source.
[01:46:43.447 --> 01:46:43.767]  We're good.
[01:46:59.597 --> 01:47:02.899]  The United States is bankrupt and the bankers want you bankrupt also.
[01:47:03.139 --> 01:47:05.500]  How would you like to be debt free in 90 days?
[01:47:05.620 --> 01:47:06.280]  Guaranteed!
[01:47:06.680 --> 01:47:13.303]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[01:47:13.603 --> 01:47:21.307]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens and you won't pay one dime to creditors.
[01:47:21.547 --> 01:47:22.007]  We're good to go!
[01:47:45.376 --> 01:47:47.497]  Writers on the Storm Writers on the Storm
[01:48:12.996 --> 01:48:15.377]  Into this house we're born.
[01:48:16.498 --> 01:48:19.519]  Into this world we're thrown.
[01:48:21.940 --> 01:48:26.582]  Like a dog without a bone and actor out of loan.
[01:48:27.262 --> 01:48:29.043]  Writers on the storm.
[01:48:31.403 --> 01:48:33.744]  There's a killer on the road.
[01:48:38.709 --> 01:48:40.909]  Alright, we are back live and Lt.
[01:48:40.969 --> 01:48:41.369]  Col.
[01:48:41.449 --> 01:48:47.130]  Greg Hapgood is our guest on the spokesman for the Iowa National Guard.
[01:48:48.090 --> 01:48:48.691]  And Lt.
[01:48:48.731 --> 01:48:51.511]  Col., I really appreciate you coming on on such short notice, sir.
[01:48:52.271 --> 01:48:52.791]  My pleasure.
[01:48:52.831 --> 01:48:53.751]  Thanks for the invitation.
[01:48:54.192 --> 01:48:54.532]  You bet.
[01:48:54.752 --> 01:48:59.253]  I saw this article out of the Daily Times Herald in Carroll, Iowa.
[01:48:59.413 --> 01:49:00.073]  Have you seen that?
[01:49:00.833 --> 01:49:01.373]  I sure have.
[01:49:03.019 --> 01:49:08.160]  And it's telling us about an urban warfare drill to be held in several towns.
[01:49:08.180 --> 01:49:09.500]  Can you tell us about that?
[01:49:10.441 --> 01:49:10.761]  Sure.
[01:49:11.221 --> 01:49:28.384]  It's actually a planned training event to provide our soldiers with greater proficiency at what we call Coordinate Search, which is a mission that, just for a little background, we've deployed nearly 13,000 members of the Iowa National Guard in the Global War on Terror.
[01:49:29.241 --> 01:49:41.523]  And the vast majority of those have been in Iraq and Afghanistan, and one of the missions that they perform in Iraq and Afghanistan on multiple occasions is coordinate search, where basically you are trying to get to an area
[01:49:42.079 --> 01:49:43.000]  We're good to go.
[01:50:05.997 --> 01:50:11.539]  So, the plan on this particular training event was to actually use a small town of about 450 people.
[01:50:12.620 --> 01:50:19.022]  The town has actually kind of adopted the unit, which is called Company A, 1st Battalion, 168th Infantry.
[01:50:19.042 --> 01:50:26.745]  It really has adopted the unit, considers them their soldiers, and they were more than willing to participate in the exercise.
[01:50:27.726 --> 01:50:33.368]  Okay, sir, depending on how many questions I can ask, can we have you for another 20 minutes or so?
[01:50:34.441 --> 01:50:34.961]  Whatever you need.
[01:50:35.382 --> 01:50:35.702]  Okay, great.
[01:50:35.762 --> 01:50:36.883]  Well, we'll have you to the end of the show, then.
[01:50:36.903 --> 01:50:37.803]  That's about 24 minutes.
[01:50:38.784 --> 01:50:44.167]  Specifically, this is a very well-informed audience, and I know all this training has dual use.
[01:50:44.587 --> 01:50:58.996]  You certainly know about PDD 51 and the John Warner Defense Authorization Act, that the National Guard is being federalized now, and that the Pentagon three months ago announced that, and that the governors will serve as dual-hatted officers, as federal officers.
[01:50:59.996 --> 01:51:01.337]  Or if you're not aware of this, you can tell us.
[01:51:01.397 --> 01:51:10.080]  But they're also saying that they're going to have $20,000 as part of the brigade's homeland for civil insurrection, for rioting.
[01:51:10.840 --> 01:51:12.961]  And I've been to urban warfare drills over the years.
[01:51:13.641 --> 01:51:14.562]  In fact, guys, Google.
[01:51:15.182 --> 01:51:15.682]  Police State 2000.
[01:51:16.323 --> 01:51:19.165]  Let's pull up some of my Urban Warfare footage I shot myself with the Marines and Army.
[01:51:19.886 --> 01:51:21.867]  The Marines are now running DUI checkpoints.
[01:51:22.287 --> 01:51:25.470]  Homeland Brigades, they're going to help at car wrecks with the jaws of life.
[01:51:26.170 --> 01:51:27.832]  So I'm just laying out some facts there.
[01:51:28.212 --> 01:51:35.578]  Are you aware that there's now a massive domestic role for the regular Army and National Guard in the United States?
[01:51:36.471 --> 01:51:44.235]  Well, I think you have to look historically, is that that domestic role really has been filled by the National Guard across the United States for decades.
[01:51:44.755 --> 01:51:46.036]  And in Iowa, we're no different.
[01:51:46.416 --> 01:51:50.218]  For instance, last summer we had incredibly historic floods.
[01:51:50.798 --> 01:51:56.841]  Here in the state, the number one response force for many military is always the National Guard in their home state.
[01:51:57.482 --> 01:52:01.604]  And we deployed more than 4,000 people last summer to fight floods in Iowa.
[01:52:02.084 --> 01:52:04.305]  That being said, if there are other kinds of
[01:52:04.935 --> 01:52:11.437]  response necessary in the state, and typically the responses that we really have to do with are most of the time natural disasters.
[01:52:12.158 --> 01:52:19.100]  But in the event of other disasters, let's say some kind of weapons of mass destruction or some other kind of incident, we'd be also called upon to do that.
[01:52:19.180 --> 01:52:21.561]  So I do have some visibility on that duty as well.
[01:52:22.302 --> 01:52:29.404]  Colonel, if you are ordered to confiscate citizens' firearms under PDD 25 or PDD 51, are you going to follow that order?
[01:52:32.553 --> 01:52:40.697]  With respect to any kind of duty that we perform in Iowa, it kind of depends on which status it's in, about who we take orders from, number one.
[01:52:41.537 --> 01:52:50.662]  If it is in a peacetime situation, the vast majority of the time, any kind of request for assistance comes from the governor of the state of Iowa.
[01:52:50.702 --> 01:52:56.985]  I can tell you that the order of which you just spoke has never been received by the Iowa National Guard.
[01:52:57.802 --> 01:53:05.665]  And I can tell you that you will not find stronger defenders of the Constitution than the men and women of the Iowa National Guard.
[01:53:06.765 --> 01:53:16.589]  Well, I remember back in 2002 seeing local newscasts with Iowa National Guard, not in drills, but out on the highways searching cars and then telling the news cameras to turn off.
[01:53:17.049 --> 01:53:18.670]  Were you in the Guard then or were you aware of that?
[01:53:19.270 --> 01:53:21.753]  I'm in the Guard for 23 years and I've never heard of that.
[01:53:23.215 --> 01:53:27.241]  I've been a member of the Iowa National Guard since 1986.
[01:53:28.684 --> 01:53:30.145]  I've been in public affairs since 1991.
[01:53:30.225 --> 01:53:34.726]  I do not recall ever hearing of a situation such as that.
[01:53:34.926 --> 01:53:36.187]  Well, let's just boil it down to this.
[01:53:36.307 --> 01:53:42.389]  I have video of Army and Marines with role players screaming, I'm an American, please don't put me in the camp.
[01:53:43.509 --> 01:53:45.630]  And the military trying to confiscate their firearms.
[01:53:45.650 --> 01:53:55.413]  I mean, certainly you've heard the Army Times and the new director from Secretary of Defense, Robert Gates, that they will use the National Guard under federal control for civil insurrection.
[01:53:55.493 --> 01:53:56.514]  Are you saying you're not aware of that?
[01:53:57.165 --> 01:53:58.847]  No, I'm certainly aware of that, absolutely.
[01:53:58.887 --> 01:54:02.730]  But I think you have to look at the role of the National Guard historically.
[01:54:02.831 --> 01:54:09.457]  Historically, we are used in states for disasters, overwhelmingly.
[01:54:09.918 --> 01:54:16.404]  And our job is to, number one, be ready for our mission federally, which is to go to war.
[01:54:17.000 --> 01:54:20.683]  And number two is to help our fellow citizens here in the United States of America.
[01:54:20.723 --> 01:54:23.045]  Those are the things that we prepare for and train for.
[01:54:23.385 --> 01:54:34.794]  The Army War College three weeks ago issued a report saying they're shifting a lot of their focus to engaging the American people and directives on engagement with the American people under NORTHCOM.
[01:54:35.214 --> 01:54:39.478]  Now this isn't, you know, NORTHCOM isn't, you know, part of our history.
[01:54:40.218 --> 01:54:46.123]  The National Guard being federalized as a full integrated force, that is new, that is different.
[01:54:47.133 --> 01:54:56.519]  Well, you've got to remember that the National Guard, 99% of the time, if you're talking about peacetime, belongs to the state in which they are located.
[01:54:57.340 --> 01:54:59.541]  Only on occasion do they become federalized.
[01:54:59.681 --> 01:55:05.685]  One of those examples, of course, is being mobilized and deployed to go to war or peacekeeping or other kinds of federalized missions.
[01:55:06.206 --> 01:55:10.829]  But other than that, the National Guard generally, in peacetime, belongs to the governor of that state.
[01:55:12.850 --> 01:55:14.071]  Absolutely.
[01:55:17.611 --> 01:55:19.832]  We know that they're federalizing the police.
[01:55:19.952 --> 01:55:31.296]  We know that National Guard and Regular Army on ABC News and NBC in high and dry areas went in, hand-guffed Americans and confiscated their firearms in New Orleans and surrounding areas.
[01:55:31.816 --> 01:55:34.457]  We know that city officials were told to stand down.
[01:55:34.477 --> 01:55:35.097]  I've had them on.
[01:55:35.797 --> 01:55:40.259]  We also know that I've had state reps on, probably more than 20 of them in the last three weeks.
[01:55:40.919 --> 01:55:57.046]  Saying they're passing 10th Amendment resolutions preparing to tell the state police and others to resist federal occupation of the states because the Pentagon's directive says that the governors will be federal officers serving at the pleasure of the president and that the Congress
[01:55:57.726 --> 01:55:58.307]  Under PDD 51.
[01:55:58.507 --> 01:55:59.467]  You can go read it, sir.
[01:55:59.567 --> 01:56:00.988]  I bet you've even seen the classified version.
[01:56:01.028 --> 01:56:01.829]  I've read parts of it.
[01:56:02.189 --> 01:56:04.790]  Congress isn't even allowed to see that, by the way, what you've been allowed to see.
[01:56:05.111 --> 01:56:07.772]  Congress was told... I mean, is that how the branches of government work?
[01:56:08.032 --> 01:56:10.634]  Is to have Congress told they can't see all of PDD 51?
[01:56:10.694 --> 01:56:13.436]  I mean, I gotta be honest with you.
[01:56:13.456 --> 01:56:14.917]  I'm not here for political discussion.
[01:56:14.937 --> 01:56:16.878]  I work for the people of the United States of America.
[01:56:16.898 --> 01:56:17.538]  I'm a soldier.
[01:56:17.638 --> 01:56:18.719]  Every day I put on the uniform.
[01:56:19.441 --> 01:56:21.943]  Politics, I leave that to the politicians as well.
[01:56:22.003 --> 01:56:23.724]  But what if they told you about the President?
[01:56:23.744 --> 01:56:25.305]  We're hearing about this new oath to the President.
[01:56:25.325 --> 01:56:29.747]  I mean, have they explained that the Congress is co-equal, at least with the Executive?
[01:56:31.168 --> 01:56:41.074]  I mean, the Constitution clearly sets aside the three brands of government as the defining way in which we find our political means here in the United States of America, and I would defer to the Constitution.
[01:56:41.991 --> 01:56:43.172]  Well, thank you.
[01:56:43.192 --> 01:56:52.237]  That's heartening, because this is mainstream news that for a year the Homeland Security Committee in Congress has asked to see PDD 51 in its entirety.
[01:56:52.257 --> 01:56:56.719]  You know, the front page says the President's a dictator under any emergency, and they're not allowed to see it.
[01:56:56.839 --> 01:56:59.641]  I mean, that sounds like some third-world country.
[01:57:00.441 --> 01:57:00.961]  Yeah.
[01:57:01.202 --> 01:57:07.365]  I mean, what I can tell you about what we do here in Iowa is, number one, defend the Constitution of the United States.
[01:57:07.839 --> 01:57:11.140]  And number two, provide assistance to the people of Iowa in times of need.
[01:57:11.521 --> 01:57:13.081]  Those are the things that we're concerned about.
[01:57:13.161 --> 01:57:14.522]  Those are the things that we train about.
[01:57:14.542 --> 01:57:17.883]  All right, let me just ask you this question, sir.
[01:57:20.604 --> 01:57:25.526]  Can you go over, I guess, did you or someone else give an interview to this Daily Times-Herald?
[01:57:25.566 --> 01:57:36.130]  Because this has them shutting down part of the town, filling door to door, and asking about firearms and pictures on the walls, asking where's the arms dealer.
[01:57:38.334 --> 01:57:42.317]  And now we're hearing the military may be used, you know, to go after guns.
[01:57:42.397 --> 01:57:43.918]  I mean, I'm having congressmen on about this.
[01:57:45.459 --> 01:57:53.064]  Sir, I mean, I've had two congressmen on the show who were threatened with martial law by the presidency under Bush if they didn't pass the bailout bill.
[01:57:53.084 --> 01:57:55.485]  I'm just trying to educate you, but obviously you know all this.
[01:57:55.545 --> 01:57:58.367]  I mean, tell us what's going on with the drill.
[01:57:58.547 --> 01:58:00.008]  I mean, is this accurate, what's in the article?
[01:58:01.009 --> 01:58:04.911]  Well, what I can tell you from the article is that, again, it's simply a training event.
[01:58:04.991 --> 01:58:05.992]  We are simulating
[01:58:06.539 --> 01:58:14.232]  Those kinds of environments that our soldiers go into in Iraq and Afghanistan specifically, in harm's way, to conduct these kinds of missions.
[01:58:14.753 --> 01:58:18.239]  Again, we don't have any kind of extensive urban training environment.
[01:58:18.732 --> 01:58:21.616]  in the state of Iowa as we don't have any active duty bases here.
[01:58:22.036 --> 01:58:32.690]  That being said, it's our job to be able to give our taxpayers the absolute best value we can for their dollar by providing our soldiers with the best training possible with those resources that we have.
[01:58:33.010 --> 01:58:34.332]  So that's exactly what we're doing.
[01:58:34.372 --> 01:58:36.535]  It has to do with training for combat missions.
[01:58:37.395 --> 01:58:41.759]  Not for any kind of mission here in the United States?
[01:58:41.799 --> 01:58:47.943]  Sir, they've had urban warfare drills with the Marines and the Army all over the country, right next to military bases.
[01:58:48.483 --> 01:58:56.729]  And I always hear this psy-op, you know, as the people are subdued in the Info War, that, oh, we need this for real life, you know, this and that.
[01:58:57.110 --> 01:59:02.654]  I'm showing on screen right now video of Marines interrogating role players saying that they're from San Francisco.
[01:59:03.479 --> 01:59:06.341]  Okay, on screen right now they're asking the guy, the role player, where he's from.
[01:59:06.361 --> 01:59:07.642]  He's saying, I'm from San Francisco.
[01:59:07.663 --> 01:59:09.364]  They're asking him where he got weapons.
[01:59:09.864 --> 01:59:11.466]  In fact, can we fade the audio up of this?
[01:59:13.001 --> 01:59:15.744]  Back it up about 15 seconds, and I want folks to hear this right now.
[01:59:15.764 --> 01:59:17.485]  I mean, I want this Colonel to hear this.
[01:59:18.146 --> 01:59:19.107]  Because I've been there.
[01:59:19.127 --> 01:59:20.648]  I mean, I know what's going on.
[01:59:20.728 --> 01:59:25.072]  I know they tried to hire Smedley Butler, who was the top Marine in the country, to have martial law in 35.
[01:59:25.152 --> 01:59:34.341]  I mean, sir, you know historically there's a danger of militaries being used by the executive branch to subdue populations, and there's talk of breakdown of society and rioting right now?
[01:59:35.543 --> 01:59:38.604]  Well, I mean, what I can tell you is only what we do here in Iowa.
[01:59:38.824 --> 01:59:42.126]  And that's to be prepared to go to war, be prepared to help people here in the United States.
[01:59:42.566 --> 01:59:43.726]  Those are the things that we do.
[01:59:44.907 --> 01:59:50.989]  So, what if there's a situation like New Orleans and you're told to go into people's houses and confiscate their firearms?
[01:59:51.129 --> 01:59:54.530]  I mean, they did that in Louisiana and Mississippi.
[01:59:54.710 --> 01:59:56.051]  I mean, would you be part of that in Iowa?
[01:59:57.313 --> 02:00:00.576]  We haven't been asked to do that in the state of Iowa in the history of our state.
[02:00:00.876 --> 02:00:04.019]  We've been around for 170 years, the Iowa National Guard.
[02:00:04.059 --> 02:00:05.620]  We start as a territorial militia.
[02:00:06.761 --> 02:00:12.927]  And like I said, we uphold the Constitution and advocate for the Constitution every day in what we do.
[02:00:13.748 --> 02:00:14.868]  But things are different now.
[02:00:14.909 --> 02:00:16.230]  That's the whole point, sir.
[02:00:16.590 --> 02:00:18.271]  We know you've been around for a long time.
[02:00:18.572 --> 02:00:19.993]  The point is things are changing.
[02:00:20.013 --> 02:00:21.915]  That's the whole point we're trying to make, Colonel.
[02:00:23.755 --> 02:00:29.560]  The point that I'm trying to make is you've trotted out this parade of horribles, of which I can't possibly comment.
[02:00:30.000 --> 02:00:32.462]  All I can tell you about is what we do here in Iowa to get ready.
[02:00:32.542 --> 02:00:34.303]  That's specifically what I'm going to talk to you about.
[02:00:35.044 --> 02:00:36.325]  Yes, sir, Colonel, we appreciate that.
[02:00:36.365 --> 02:00:40.388]  We respect the fact that you're being cordial while you're being interrogated.
[02:00:40.408 --> 02:00:47.493]  It's just we're upset because we're educated, we know what's going on, and people are going to remember what you've said here today as things unfold.
[02:00:48.174 --> 02:00:50.516]  Understand, we've told the whole world what's going on.
[02:00:50.556 --> 02:00:51.536]  We know what's going on.
[02:00:51.777 --> 02:00:53.258]  I understand you're compartmentalized.
[02:00:53.838 --> 02:00:58.200]  But, you know, you've got to really be having your head in the sand to not see what's going on.
[02:00:58.240 --> 02:01:08.043]  I know this has dual use in Macedonia or Iraq or Afghanistan, but I know, and we've interviewed generals, we've interviewed the former head of special forces on this show.
[02:01:08.443 --> 02:01:09.784]  Okay, we've interviewed congressmen.
[02:01:09.864 --> 02:01:11.324]  They know what's going on, sir.
[02:01:11.724 --> 02:01:14.285]  And I'm telling you, you can't deny what's happening.
[02:01:14.345 --> 02:01:19.407]  Don't be like the people of Germany or Russia, the military that denied, denied, denied what was right in front of their face.
[02:01:24.811 --> 02:01:28.093]  Again, I can just tell you what I see here in front of me every day.
[02:01:28.113 --> 02:01:38.799]  I see 9,500 men and women that are committed to liberty, that are committed to the United States of America, committed to the state of Iowa, doing the absolute best that they can do to take care of people.
[02:01:39.039 --> 02:01:40.720]  That's what I can tell you about.
[02:01:40.760 --> 02:01:45.303]  Colonel, Lieutenant Colonel, did Iowa send any guard troops to New Orleans?
[02:01:46.043 --> 02:01:46.603]  Yes, we did.
[02:01:46.623 --> 02:01:49.725]  In fact, I was there myself as well.
[02:01:50.225 --> 02:01:52.187]  We did send approximately 400
[02:01:53.345 --> 02:01:55.987]  That were in Mississippi and some that were also in New Orleans as well.
[02:01:56.007 --> 02:01:57.948]  Did you take part in the gun confiscation?
[02:01:59.309 --> 02:02:01.570]  We did not take part in any of those kinds of operations.
[02:02:01.810 --> 02:02:02.751]  Did you witness it?
[02:02:03.692 --> 02:02:04.092]  Did not.
[02:02:05.052 --> 02:02:13.538]  The Laird News Hour has reported, as well as the other programs of Bill Moyers, that mercenaries were also used from Israel and Blackwater.
[02:02:13.558 --> 02:02:14.438]  Did you see those guys?
[02:02:15.179 --> 02:02:16.300]  No information about that.
[02:02:18.211 --> 02:02:18.932]  No information?
[02:02:18.992 --> 02:02:21.874]  I mean, you didn't see them or no information?
[02:02:22.414 --> 02:02:23.435]  Didn't personally see it.
[02:02:26.237 --> 02:02:29.839]  What about the Mexican tribes that helped give everybody soup to set that precedent?
[02:02:29.859 --> 02:02:30.600]  Did you see any of them?
[02:02:32.401 --> 02:02:33.442]  Didn't see any of those either.
[02:02:34.503 --> 02:02:35.684]  Now, Colonel, you're laughing a little.
[02:02:35.704 --> 02:02:42.789]  You certainly know that Mexican tribes in New Orleans, in Houston, in Austin, in San Antonio gave support to the effort
[02:02:43.976 --> 02:02:45.157]  That's the first I've heard of it.
[02:02:46.358 --> 02:02:47.499]  Please forgive my ignorance.
[02:02:48.200 --> 02:02:50.222]  Folks, Google for everybody because some may not believe it.
[02:02:50.702 --> 02:02:56.107]  Mexican troops aid New Orleans, and we'll put it up on screen for folks.
[02:02:57.448 --> 02:02:58.709]  Colonel, I've been ranting at you.
[02:02:58.729 --> 02:03:10.260]  I want to give you a few minutes to just, you know, talk about whatever you'd like, and then I'd like to do a final five minutes with you going through this article, explaining exactly what they're going to do door-to-door with the houses, what the checkpoints are going to be simulating.
[02:03:11.232 --> 02:03:11.452]  Sure.
[02:03:11.472 --> 02:03:18.135]  When you're talking about coordinate search operations, you've got several different rings of security that you've got to provide in a particular area.
[02:03:18.836 --> 02:03:39.986]  And then it's important that people are treated respectfully as you go house to house, as you're looking for certain items, particularly in our experience in Afghanistan and Iraq, looking for weapon caches, whether those have AK-47s, RPGs, rocket-propelled grenades, that is, any kind of ammunition or any kind of improvised explosive devices, etc., etc.
[02:03:41.044 --> 02:03:50.746]  And our job, when we go on a cordoned search, is to locate those kinds of items, and then there might also be persons of interest that we're interested in, that coalition forces want to talk to or apprehend.
[02:03:51.226 --> 02:04:06.009]  So, I mean, simply because of the environment in which we live in Iowa, that we don't have an active duty base, that we don't have a very extensive urban terrain environment available to us for training, then we have to get creative, and we do occasionally go into communities
[02:04:06.620 --> 02:04:11.079]  And work side-by-side with them to use the communities for our training and this is an example of that.
[02:04:17.585 --> 02:04:26.271]  You know, Colonel, I find it really hard to believe that you don't know about what the Guard did in Iowa in 2002 when it was on the local newscast.
[02:04:26.311 --> 02:04:27.211]  We're going to dig those out.
[02:04:27.852 --> 02:04:29.313]  And I really find it hard to believe.
[02:04:29.333 --> 02:04:36.997]  I mean, I've had all these former top JAG officers on saying this is police state, martial law, the news admits that's what's being set up.
[02:04:37.278 --> 02:04:40.760]  They've built FEMA camps, it's in the news, millions of plastic coffins.
[02:04:42.281 --> 02:04:46.524]  And we know this has been quietly being built and designed over decades.
[02:04:47.484 --> 02:05:03.284]  And all these states are revolting against it, and then I talk to the military, and it's just, oh no, this is for overseas, or we're only here to help with, I mean, don't you admit this could be used, dual use, and could acclimate the local citizenry and the population to have their guns confiscated?
[02:05:03.304 --> 02:05:04.545]  I mean, that's what happened in New Orleans.
[02:05:05.453 --> 02:05:07.715]  All I can tell you is what our intent is.
[02:05:07.775 --> 02:05:14.102]  And our intent is to provide prepared soldiers so they're ready to go when it comes time for them to go someplace very dangerous.
[02:05:15.143 --> 02:05:19.327]  For them to not only do their mission successfully, but survive and come home to their families.
[02:05:19.367 --> 02:05:21.089]  Those are the things that we do and what we seek.
[02:05:21.489 --> 02:05:24.532]  Did you hear about Governor Blagojevich four months ago before he got disgraced?
[02:05:24.552 --> 02:05:27.996]  Said they were going to use the National Guard in Illinois for door-to-door gun confiscation.
