[00:00:00.529 --> 00:00:03.510]  Seminal film, Endgame, Blueprint for Global Enslavement.
[01:17:16.281 --> 01:17:17.743]  They said, yes, we like this idea.
[01:17:17.763 --> 01:17:19.164]  It would be wonderful for the town.
[01:17:19.624 --> 01:17:23.448]  Then I went to them on January 20th and said, I'm ready for it.
[01:17:23.468 --> 01:17:24.309]  I'll open February 1.
[01:17:24.529 --> 01:17:25.250]  They said, no.
[01:17:25.650 --> 01:17:30.015]  It would be too much competition for the other people in town and your location.
[01:17:30.275 --> 01:17:32.257]  They tried to say it was too close to a school.
[01:17:32.697 --> 01:17:34.299]  The local ordinance for that is
[01:17:35.109 --> 01:17:35.709]  300 feet.
[01:17:35.929 --> 01:17:39.111]  I'm almost a thousand feet away from that school.
[01:17:39.191 --> 01:17:40.911]  So I met every requirement.
[01:17:41.271 --> 01:17:44.893]  Plus there are four other reasons that they can deny you a license.
[01:17:45.173 --> 01:17:50.094]  I met and surpassed every one of those reasons and I showed that to them and they still used it.
[01:17:50.475 --> 01:17:53.936]  The one that gets me the most is that I would be too much competition.
[01:17:54.296 --> 01:17:57.797]  How can you say that you can deny competition in the United States?
[01:17:58.377 --> 01:18:00.278]  How can you feel that you have that authority?
[01:18:01.299 --> 01:18:02.599]  That's what makes this country great.
[01:18:03.715 --> 01:18:05.576]  How can Obama take over GM?
[01:18:05.596 --> 01:18:09.837]  I mean, they're little social planners as if they're God.
[01:18:10.477 --> 01:18:11.077]  Exactly.
[01:18:11.097 --> 01:18:11.777]  You can't do that.
[01:18:11.817 --> 01:18:15.138]  You can't allow the government to tell you how you're supposed to live.
[01:18:15.418 --> 01:18:23.800]  That's like if you're more handsome and you get the beauty queen, they come up and say, we're going to cut your nose off so that you're not too handsome so there's no competition.
[01:18:24.100 --> 01:18:25.481]  I mean, that's where all this ends.
[01:18:27.305 --> 01:18:28.606]  It can go a lot further.
[01:18:28.626 --> 01:18:31.309]  It could be, oh, you're the wrong color or you're the wrong race.
[01:18:31.789 --> 01:18:33.691]  We're not going to let you come up here.
[01:18:35.793 --> 01:18:39.997]  Well, we know why.
[01:18:40.698 --> 01:18:46.324]  They're just a bunch of control freaks and I'm sure some other restaurant or something gave them a little bit of money on the side.
[01:18:48.626 --> 01:18:50.287]  Let's come back and talk about where this is going.
[01:18:58.593 --> 01:19:09.620]  Aerial spring, chemtrails, the modified atmosphere, heavy metals and pesticides, carcinogens and chemical fibers all falling from the sky.
[01:19:10.320 --> 01:19:12.842]  You have a choice to keep your body clean.
[01:19:13.422 --> 01:19:18.866]  Detoxify with micro plant powder from hempusa.org or call 908-691-2608.
[01:19:23.112 --> 01:19:27.373]  It's odorless and tasteless and used in any liquid or food.
[01:19:27.833 --> 01:19:31.014]  Protect your family now with micro plant powder.
[01:19:31.714 --> 01:19:35.054]  Cleaning out heavy metals, parasites and toxins.
[01:19:35.595 --> 01:19:40.236]  Order it now for daily intake and stock it now for long term storage.
[01:19:40.756 --> 01:19:44.036]  Visit hempusa.org or call 908-691-2608 today!
[01:19:52.825 --> 01:19:58.150]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:19:58.850 --> 01:20:04.195]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[01:20:04.735 --> 01:20:10.901]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:20:11.221 --> 01:20:13.063]  Well, Obama's already fudging.
[01:20:13.203 --> 01:20:15.585]  He's fudged since day one in this election.
[01:20:15.665 --> 01:20:26.613]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[01:20:28.855 --> 01:20:30.136]  It's not about left or right.
[01:20:30.536 --> 01:20:31.918]  It's about a one-world government.
[01:20:32.378 --> 01:20:38.623]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:20:39.275 --> 01:20:47.046]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[01:20:47.547 --> 01:20:48.688]  The Obama Deception.
[01:20:49.129 --> 01:20:50.331]  The people strike back!
[01:20:51.917 --> 01:20:58.123]  On the average, Americans work between 45 to 50 years, hoping to build up enough wealth to retire and live out their golden years.
[01:20:58.584 --> 01:21:06.372]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[01:21:06.712 --> 01:21:12.298]  Is this a flaw for the enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt
[01:21:12.618 --> 01:21:14.559]  Ensuring inflation and higher taxes.
[01:21:14.859 --> 01:21:19.621]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[01:21:19.961 --> 01:21:24.662]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[01:21:25.183 --> 01:21:29.024]  A gripping adventure into the secret world of international banking cartel.
[01:21:29.524 --> 01:21:30.544]  Hi, this is Ted Anderson.
[01:21:30.624 --> 01:21:34.646]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[01:21:35.106 --> 01:21:39.491]  Call 1-800-686-2237 and order a copy today.
[01:21:40.011 --> 01:21:42.574]  It's critical that the public be made aware of the system.
[01:21:43.014 --> 01:21:44.656]  Call and order your copy today at 1-800-686-2237.
[01:21:44.796 --> 01:21:45.016]  That's 1-800-686-2237.
[01:21:52.065 --> 01:21:54.647]  Hello this is Alex Jones with some important questions.
[01:21:55.067 --> 01:22:00.031]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[01:22:00.411 --> 01:22:02.132]  My answer would be all I can get.
[01:22:02.452 --> 01:22:06.075]  In the battle for freedom and the lives of your loved ones, food is
[01:22:08.902 --> 01:22:09.983]  We don't know.
[01:22:33.664 --> 01:22:34.405]  All you can get.
[01:22:34.605 --> 01:22:35.445]  I'm Alex Jones.
[01:22:35.706 --> 01:22:38.448]  I want all of you good guys to live to fight another day.
[01:22:38.748 --> 01:22:39.108]  Call 1-800-409-5633.
[01:22:39.268 --> 01:22:40.509]  Or check it out on the web at efoodsdirect.com.
[01:22:40.529 --> 01:22:41.450]  Again, that number, 1-800-409-5633.
[01:23:00.043 --> 01:23:01.745]  Vito Congeni Jr.
[01:23:01.805 --> 01:23:02.425]  is our guest.
[01:23:02.545 --> 01:23:06.749]  I got a really exciting letter here I want to read when we come back from break.
[01:23:07.210 --> 01:23:17.899]  And I want to remind my staff and myself I want to implement a time on the show every day for like 10-15 minutes where I read quick email questions and answer them and then read a letter or two of the day.
[01:23:18.400 --> 01:23:26.267]  We get thousands of letters a week no exaggeration and I we try to scan through them and read and I I want to try to
[01:23:27.631 --> 01:23:30.275]  Give the attention due to some of these great points people are making.
[01:23:30.295 --> 01:23:33.961]  We're going to try to more heavily program the show by programming.
[01:23:34.021 --> 01:23:43.475]  Set up what we do, when we do, how we cover it because there's so much to get to and time has a way of getting away from us but we try to give people a full spectrum breakdown of what's happening.
[01:23:44.983 --> 01:23:48.725]  Man, this story of what happened to you in Wisconsin just illustrates so much.
[01:23:48.765 --> 01:23:52.207]  And you're saying your family is sunk into debt to do this.
[01:23:52.748 --> 01:23:54.048]  They won't even let you open.
[01:23:54.089 --> 01:23:56.170]  You gotta have wine in an Italian restaurant.
[01:23:56.890 --> 01:23:59.692]  I mean, that's just, you know, that goes like a horse and carriage.
[01:23:59.732 --> 01:24:04.995]  I wouldn't go to an Italian restaurant, at least back when I was drinking, you know, occasionally without red wine.
[01:24:05.415 --> 01:24:06.656]  I mean, that's something you gotta have.
[01:24:07.417 --> 01:24:08.637]  And they just don't care.
[01:24:08.677 --> 01:24:10.038]  I mean, you've gotta sue them.
[01:24:10.078 --> 01:24:12.800]  That's pure discrimination that they said to you.
[01:24:14.164 --> 01:24:18.205]  And I would call him again and record him saying at this time that, oh, that would be competition.
[01:24:18.485 --> 01:24:22.427]  I mean, are they like the gods, the fairy godmother that waves their wand?
[01:24:22.787 --> 01:24:24.387]  Well, that's what licensing does.
[01:24:24.788 --> 01:24:25.948]  It turns us into slaves.
[01:24:27.549 --> 01:24:28.229]  Yes, it does.
[01:24:28.489 --> 01:24:30.610]  And as you said, I need to sue them.
[01:24:30.650 --> 01:24:39.673]  But unfortunately, you can't really find an attorney who's trying to, you know, feed his family to sue a municipality because they're worried about people not coming in and
[01:24:41.363 --> 01:24:45.065]  Using them as attorneys, they just don't want to fight the municipality.
[01:24:45.406 --> 01:24:47.927]  They don't want to try to get a bad name themselves in the town.
[01:24:49.588 --> 01:24:57.293]  That's when the ACLU found out about the violation of my First Amendment rights, and now they're considering taking it on.
[01:24:57.333 --> 01:25:00.895]  They haven't agreed to do so yet, but they are taking it under consideration.
[01:25:01.502 --> 01:25:06.723]  Well, why don't these local boss hogs on power trips just apologize?
[01:25:06.743 --> 01:25:08.143]  I mean, they're obviously boss hogs.
[01:25:08.443 --> 01:25:10.644]  Did the police come and steal the flag?
[01:25:10.704 --> 01:25:14.925]  I mean, or are they just ignorant?
[01:25:15.765 --> 01:25:25.207]  They actually came on my property, no warrant, no warning, no phone call, nothing, and literally went there, took the flag down from the pole, and left with it.
[01:25:25.247 --> 01:25:31.208]  And when my neighbor saw what they were doing, he tried to stop them, and they threatened him with arrest if he tried to interfere.
[01:25:32.745 --> 01:25:41.376]  Now there was a case in Reno, Nevada, where they were flying a Mexican flag above an American flag, and the guy went and cut it down and got in trouble.
[01:25:41.416 --> 01:25:42.157]  We had him on.
[01:25:42.558 --> 01:25:43.759]  But I guess that's okay.
[01:25:44.019 --> 01:25:46.042]  Just don't fly the American flag upside down.
[01:25:46.082 --> 01:25:48.986]  I guess if you would have urinated on it or something, they would have been happy.
[01:25:50.435 --> 01:25:52.337]  Actually, that's part of the U.S.
[01:25:52.757 --> 01:25:55.019]  flag code, and I am following the U.S.
[01:25:55.059 --> 01:25:55.579]  flag code.
[01:25:55.599 --> 01:26:03.666]  If you defecate or spit on the flag, that is illegal, but if you hang it upside down, union side down, that is part of the U.S.
[01:26:03.726 --> 01:26:04.286]  flag code.
[01:26:04.406 --> 01:26:05.728]  It's a signal of distress.
[01:26:05.808 --> 01:26:07.409]  It is not a sign of disrespect.
[01:26:07.869 --> 01:26:08.370]  No, I know.
[01:26:08.410 --> 01:26:09.690]  These people are just morons.
[01:26:09.790 --> 01:26:19.396]  Are they starting to get embarrassed that the national media is covering the fact that it's a sign of distress and your right to do it?
[01:26:19.436 --> 01:26:23.539]  Or are they just sticking their thumbs in their mouths and sucking them and saying, I don't care?
[01:26:24.359 --> 01:26:30.363]  Well, you know, it's hard to say because their village attorney that's attended the meeting for the licensing and everything,
[01:26:31.018 --> 01:26:35.362]  They asked them, they asked their attorney, can we deny him for this reason?
[01:26:35.422 --> 01:26:44.770]  And he told them straight out, well if you deny him for that reason, he's going to have the ability to come back at you and sue you and appeal it at the circuit court level.
[01:26:44.950 --> 01:26:50.074]  And even though he basically told them you can't do it for that reason, they did it anyway.
[01:26:50.455 --> 01:26:51.976]  Why are they out to get you?
[01:26:52.576 --> 01:26:54.598]  I mean, are you an outsider?
[01:26:54.618 --> 01:26:58.682]  I mean, is this a boss hog situation where everybody's married to their mother?
[01:26:59.292 --> 01:26:59.792]  Pretty much.
[01:27:00.152 --> 01:27:00.652]  Pretty much.
[01:27:01.292 --> 01:27:03.813]  Uh, I moved up there in 1995.
[01:27:04.473 --> 01:27:05.393]  I bought my house.
[01:27:05.653 --> 01:27:11.094]  I bought a business in 2004 there, which was just a bar cavern with a small amount of food.
[01:27:11.474 --> 01:27:15.635]  And then when I got activated for a rack, I sold out to my partner and I went to a rack.
[01:27:15.675 --> 01:27:18.456]  And then when I came back, I started looking for another one.
[01:27:18.516 --> 01:27:20.636]  It took me a couple of years and now I just found it.
[01:27:21.196 --> 01:27:23.657]  And now I went to them and they said, yes, we will give it to you.
[01:27:23.897 --> 01:27:28.338]  And when I go to them to get the final approval for the license so I can open my doors, they said no.
[01:27:31.533 --> 01:27:32.993]  That is just devastating.
[01:27:33.254 --> 01:27:36.354]  And of course they won't give you the liquor license until after you've already built it.
[01:27:36.374 --> 01:27:37.615]  That's how it works most places.
[01:27:37.895 --> 01:27:38.355]  Exactly.
[01:27:38.935 --> 01:27:40.416]  So where are you going from here?
[01:27:40.496 --> 01:27:43.177]  Are you going to leave the state?
[01:27:43.777 --> 01:27:44.437]  Bankruptcy.
[01:27:45.937 --> 01:27:47.478]  Find another place to live.
[01:27:47.718 --> 01:27:52.880]  Hopefully they won't throw me, myself and my wife and my family out of our house on the street.
[01:27:54.818 --> 01:28:01.305]  I'm paying about $9,700 a month in bills, and that was fine until I lost my job as an electrician in Illinois.
[01:28:01.765 --> 01:28:06.470]  And now I come down here looking for work pretty much every week, and it hasn't been so good.
[01:28:07.071 --> 01:28:08.592]  I'll get a week, maybe a month.
[01:28:08.813 --> 01:28:13.437]  And then meanwhile, the crazy town won't let you supply the service of an Italian restaurant.
[01:28:13.637 --> 01:28:13.738]  No.
[01:28:14.158 --> 01:28:14.398]  No.
[01:28:14.518 --> 01:28:21.123]  Do you have a website or an email for folks to contact you that might want to legally help you?
[01:28:21.523 --> 01:28:23.144]  I am listed on Facebook.
[01:28:23.364 --> 01:28:26.266]  I am getting thousands of people giving me their support.
[01:28:26.306 --> 01:28:28.608]  I want to say thank you to all of them for their support.
[01:28:29.028 --> 01:28:30.970]  And for those that aren't supporting me,
[01:28:31.877 --> 01:28:33.138]  Where's your First Amendment right?
[01:28:33.518 --> 01:28:35.060]  That's all I'm saying this is about.
[01:28:35.100 --> 01:28:37.942]  This is about using that First Amendment right.
[01:28:38.082 --> 01:28:38.723]  I agree with you.
[01:28:38.743 --> 01:28:41.385]  Vito, we'll talk to you again as this unfolds.
[01:28:41.425 --> 01:28:41.986]  God bless you.
[01:28:42.006 --> 01:28:42.166]  Alright.
[01:28:42.426 --> 01:28:42.887]  Thank you.
[01:28:42.907 --> 01:28:43.367]  Take care.
[01:28:43.427 --> 01:28:44.328]  We're on the march.
[01:28:44.828 --> 01:28:46.430]  The Empire's on the run.
[01:28:47.350 --> 01:28:50.033]  Alex Jones and the GCN Radio Network.
[01:28:51.874 --> 01:28:57.417]  This is Alex Jones, and I want to tell you again about a company that has supported us and the Truth Movement for years.
[01:28:57.717 --> 01:28:58.878]  Inner Health Botanicals.
[01:28:59.018 --> 01:29:01.820]  This company produces the highest quality superfood around.
[01:29:01.840 --> 01:29:03.000]  They're called Inner Food.
[01:29:03.301 --> 01:29:04.842]  My wife just loves the stuff.
[01:29:05.162 --> 01:29:11.445]  And now, the health ranger, Mike Adams, has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[01:29:12.586 --> 01:29:15.147]  Inner Food is loaded with 20 great organic ingredients.
[01:29:15.467 --> 01:29:16.947]  No fillers, no sweeteners.
[01:29:17.207 --> 01:29:19.988]  It would be impossible to blend this up for a better price.
[01:29:20.208 --> 01:29:21.648]  And their formula really works.
[01:29:21.928 --> 01:29:24.489]  This is the real thing for the great health you need.
[01:29:24.749 --> 01:29:25.989]  Try the Nutri-Cafe.
[01:29:26.229 --> 01:29:30.650]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[01:29:31.010 --> 01:29:33.190]  A truly healthy coffee that tastes great.
[01:29:33.410 --> 01:29:35.691]  And take it from me folks, it really does taste great.
[01:29:35.871 --> 01:29:37.631]  Don't forget to try their other great products.
[01:29:37.971 --> 01:29:39.092]  Go to www.
[01:29:40.692 --> 01:29:43.298]  We're good to go.
[01:29:51.940 --> 01:29:56.943]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:29:57.163 --> 01:30:00.945]  Number one, new climate legislation could easily double or triple your electric bill.
[01:30:01.185 --> 01:30:06.789]  Number two, our new Energy Czar wants to control how much power your electric company allows you to have.
[01:30:07.089 --> 01:30:11.951]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:30:12.152 --> 01:30:12.612]  Number three,
[01:30:13.072 --> 01:30:18.515]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:30:19.355 --> 01:30:22.016]  The hurricane and dangerous summer storm season is here again.
[01:30:22.256 --> 01:30:25.678]  Every year, thousands of families lose their power from weather-related outages.
[01:30:26.778 --> 01:30:30.380]  A solar power generator provides powerful backup insurance and peace of mind.
[01:30:30.620 --> 01:30:36.104]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[01:30:36.344 --> 01:30:40.928]  You can get more information at www.mysolarbackup.com.
[01:30:41.048 --> 01:30:42.609]  That's mysolarbackup.com.
[01:30:42.829 --> 01:30:45.171]  Remember, the government doesn't own the sun yet.
[01:30:45.391 --> 01:30:48.033]  So go to mysolarbackup.com or call toll free 877-327-0365.
[01:30:51.971 --> 01:30:54.393]  Know that you can be tracked and traced when you're online?
[01:30:54.653 --> 01:31:02.539]  With identity theft and cybercrimes on the rise, your passwords, your identity, and even your physical location can be revealed to complete strangers.
[01:31:02.779 --> 01:31:06.462]  Would you like to surf the internet anonymously and not have to worry about these threats?
[01:31:06.722 --> 01:31:09.725]  Well, now you can by visiting patriotinternet.com.
[01:31:09.885 --> 01:31:15.349]  For about $2 per month, patriotinternet.com will conceal your IP address and your physical location.
[01:31:15.589 --> 01:31:15.969]  All right.
[01:31:37.722 --> 01:31:37.982]  We're good.
[01:31:57.284 --> 01:32:17.274]  Look, I don't care if you're black, white, hispanic, asian, a cop, a fireman, a school teacher, a nuclear physicist, a dentist, somebody who bags groceries.
[01:32:17.994 --> 01:32:22.857]  If you love liberty and freedom and will stay out of my life, I'll stay out of your life.
[01:32:24.756 --> 01:32:29.120]  But, when people have authority and abuse it, they become the number one enemy.
[01:32:30.281 --> 01:32:31.842]  And I'm with the Founding Fathers on that.
[01:32:32.282 --> 01:32:36.966]  If you want to go along with these offshore banks and all these chicken-neck criminals, then just go right ahead.
[01:32:37.006 --> 01:32:41.930]  And I tend to get mad at police at a primitive level, because I'm threatened by them.
[01:32:42.170 --> 01:32:49.476]  Just like at a primitive level, if somebody's got a pit bull walking down the street and kind of starts smiling and doing it towards me, I get threatened and I want to attack them.
[01:32:51.318 --> 01:32:52.499]  It's an instinct thing.
[01:32:53.962 --> 01:33:02.188]  And I know I go over the deep end all the time, and I try to not sit here and play the cop bashing videos constantly, and believe me folks, there's plenty of ammo.
[01:33:03.969 --> 01:33:18.479]  But when they're choking some ambulance driver for no reason, and then we get the squad car video, and the ambulance didn't even block them, and the cop drove up on them at 100 miles an hour, and then acts like a nut, and then lies about it, that's a big issue.
[01:33:18.819 --> 01:33:23.002]  And when the police defend that state trooper, that's the bigger problem.
[01:33:23.939 --> 01:33:29.201]  Because there's corrupt people in power that want to promote bad people and protect bad people.
[01:33:30.021 --> 01:33:32.662]  But that said, there are a lot of police and military waking up.
[01:33:32.682 --> 01:33:40.744]  And they sent us a lot of documents, a lot of material, a lot of information, like the MIAC report and the DHS report and all these other big reports.
[01:33:45.585 --> 01:33:47.846]  People then say, well tell us their names on air, prove it.
[01:33:48.486 --> 01:33:49.666]  I don't give up my sources.
[01:33:50.387 --> 01:33:51.427]  You want to get them in trouble.
[01:33:53.971 --> 01:33:58.195]  The proof of my sources is it comes out that these stories are real.
[01:34:00.177 --> 01:34:03.900]  People are so ignorant, like reporters aren't supposed to have sources and you're supposed to give them up.
[01:34:05.462 --> 01:34:12.168]  The issue is I have a love-hate relationship with the police and the military because I have a lot of family that are military, some that are police, they're good people.
[01:34:13.268 --> 01:34:16.049]  You know, Bob Dacey's son's a cop, you know, he's nice.
[01:34:16.749 --> 01:34:24.991]  I know there are a lot of good police, but there are a lot of bad ones, and when they do bad things, they get defended and protected, because the system is corrupt and is evil.
[01:34:25.231 --> 01:34:26.011]  And that's a fact.
[01:34:26.431 --> 01:34:29.152]  But I get letters like this every day, so I thought I'd read this one.
[01:34:30.032 --> 01:34:34.353]  And I talk to people who travel around the country and the world, and they see the same thing.
[01:34:36.604 --> 01:34:39.326]  In fact, it isn't just people getting arrested with anti-U.N.
[01:34:39.346 --> 01:34:41.808]  stickers, it's people getting let go that have anti-U.N.
[01:34:41.828 --> 01:34:42.128]  stickers.
[01:34:42.808 --> 01:34:48.593]  How about we don't arrest people that have anti-U.N.
[01:34:48.613 --> 01:34:51.715]  stickers as their First Amendment, and how about people that have anti-U.N.
[01:34:51.735 --> 01:34:53.256]  stickers don't get special treatment?
[01:34:53.776 --> 01:34:56.718]  Because, see, once you start down that road, that's the road to tyranny.
[01:34:57.019 --> 01:34:58.319]  That's another form of tyranny.
[01:34:59.400 --> 01:35:04.264]  But here is a letter I got to the Alex Jones Show.
[01:35:05.458 --> 01:35:07.558]  From John in Tampa Bay, Florida.
[01:35:07.699 --> 01:35:09.819]  Activity report for your encouragement.
[01:35:10.879 --> 01:35:13.480]  Just to let you know what is happening in Tampa Bay.
[01:35:14.040 --> 01:35:22.422]  On the 4th of July holiday I was able to get about 240 Obama deception videos at events that day including the Tea Party on a major roadway.
[01:35:23.082 --> 01:35:25.563]  Cars at the intersection got the most DVDs.
[01:35:26.043 --> 01:35:27.663]  Also a fireworks event was hit.
[01:35:27.683 --> 01:35:30.384]  I like that term, hit.
[01:35:30.504 --> 01:35:31.364]  We are, we're hitting
[01:35:32.844 --> 01:35:33.845]  The enemy operations.
[01:35:33.885 --> 01:35:35.106]  We're unlocking mines.
[01:35:35.126 --> 01:35:38.548]  You've got this propaganda grid by the globalists and we're hitting it.
[01:35:39.749 --> 01:35:41.291]  These are guerrilla attacks, folks.
[01:35:41.651 --> 01:35:43.132]  We are savaging them.
[01:35:43.192 --> 01:35:44.373]  We're having great effects.
[01:35:48.216 --> 01:35:52.079]  At the fireworks event at the City of Tampa, police officers approached me.
[01:35:52.539 --> 01:35:54.461]  I had on my Attorney Response Team uniform.
[01:35:54.741 --> 01:35:55.462]  That's the shirt.
[01:35:55.482 --> 01:35:59.265]  In fact, we should punch up Attorney Response Team t-shirt for folks so they can see it.
[01:36:00.526 --> 01:36:03.588]  He saw what I was doing and he wanted a free DVD.
[01:36:04.068 --> 01:36:09.431]  I thanked him for taking it and told him we were depending on him to uphold the Constitution.
[01:36:09.751 --> 01:36:10.832]  He said he would do his best.
[01:36:11.909 --> 01:36:21.154]  This last Saturday, on July 11th, I passed out DVDs at a business intersection at a red light, passing them out to cars and pedestrians alike.
[01:36:21.594 --> 01:36:25.577]  At one point, a Hillsborough County Sheriff's pulled up and rolled his window down.
[01:36:25.857 --> 01:36:27.398]  He asked, is that an Alex Jones movie?
[01:36:27.778 --> 01:36:28.058]  Yes.
[01:36:28.818 --> 01:36:30.079]  I have watched it several times.
[01:36:30.499 --> 01:36:34.361]  He had the copy of the DVD on his car seat and showed me.
[01:36:34.421 --> 01:36:35.022]  I said, wow.
[01:36:35.602 --> 01:36:37.023]  A few minutes later, he was able
[01:36:38.319 --> 01:36:39.620]  To pull off the road to talk.
[01:36:39.720 --> 01:36:47.307]  He said that his brother had sent him the DVD and he had seen several other of Alex's movies and was a regular listener of the radio show via internet.
[01:36:47.847 --> 01:36:51.610]  I told him also that we were depending on him to uphold the Constitution.
[01:36:52.511 --> 01:36:55.293]  We shook hands and in parting he said, the answer to 1984 is 1776.
[01:36:59.594 --> 01:37:02.660]  See, that's why they're so afraid of Liberty Movement.
[01:37:02.940 --> 01:37:11.096]  Because these men and women have a hunger to be with George Washington, to be with the Founding Fathers, to be with
[01:37:13.188 --> 01:37:16.149]  Colonel Travis at the Alamo, to be real Americans.
[01:37:16.649 --> 01:37:17.470]  Everybody does.
[01:37:18.170 --> 01:37:21.131]  This is our heritage, it's who we are, it's in our guts.
[01:37:21.932 --> 01:37:29.415]  And they've taken the police and twisted their minds, and they've taken the public and twisted our minds, and they've set up this horrible system.
[01:37:31.055 --> 01:37:42.520]  But the establishment knows that if the people have a choice between this chicken-neck demon, John P. Holdren, let's put him on screen, who says he wants to force-drug us and CPS our kids,
[01:37:43.607 --> 01:37:50.453]  A choice between that, and freedom, and liberty, and the Second Amendment, and God's guts and guns, and Fourth of July, and freedom.
[01:37:51.254 --> 01:37:53.016]  They're going to want the freedom!
[01:37:55.538 --> 01:37:59.822]  And so, all of us have to really work on reaching out to the military and police.
[01:37:59.842 --> 01:38:05.067]  And I know, I blow out the handle, and I tend to go after the police a lot.
[01:38:05.287 --> 01:38:07.269]  And I've said this the last year since I figured it out.
[01:38:07.409 --> 01:38:07.909]  I'm growing.
[01:38:08.249 --> 01:38:09.110]  I'm learning all the time.
[01:38:09.170 --> 01:38:09.791]  I'm not perfect.
[01:38:11.649 --> 01:38:13.470]  That plays into the globalist plan.
[01:38:15.231 --> 01:38:16.272]  That plays into it.
[01:38:17.072 --> 01:38:22.215]  Because they go give the police training and a culture that then makes the public not like them.
[01:38:22.655 --> 01:38:25.297]  Then they say, see to the cops, the public doesn't like you.
[01:38:26.769 --> 01:38:31.613]  And then that further compacts the police into their area, and the citizens into their area.
[01:38:31.673 --> 01:38:33.675]  It's another divide and conquer.
[01:38:34.235 --> 01:38:39.920]  So when Anderson Cooper, who's admittedly CIA... Oh, I was CIA, he said, but then I went and joined CNN.
[01:38:40.340 --> 01:38:41.722]  The heir to the Astor fortune.
[01:38:42.102 --> 01:38:43.463]  A disgusting globalist.
[01:38:43.843 --> 01:38:44.684]  A piece of trash.
[01:38:45.145 --> 01:38:45.585]  On record.
[01:38:46.185 --> 01:38:54.853]  When he does all these constant TV shows about cops in Texas robbing people, and there are some bad towns and counties that are doing this.
[01:38:56.604 --> 01:39:06.867]  Instead of having a newscast about how the state government and the state police was supposed to go after these people, CNN kind of halfway legitimizes it, but then says the feds need to federalize.
[01:39:10.011 --> 01:39:15.172]  When you don't have Texas towns running giant white slavery rings like Dyncor and Halliburton are.
[01:39:15.512 --> 01:39:17.892]  See, you got the big federal international evil.
[01:39:18.253 --> 01:39:22.773]  It loves to show you the little local corruption as a pretext to come in and take over.
[01:39:23.093 --> 01:39:25.394]  And they love to show the police beating people.
[01:39:25.634 --> 01:39:29.435]  They love to show out-of-control thug cops choking teenagers for no reason.
[01:39:29.735 --> 01:39:30.415]  And it's wrong!
[01:39:32.555 --> 01:39:33.695]  It's wrong that they're doing that.
[01:39:33.755 --> 01:39:36.336]  But the issue is, why are they showing it so much?
[01:39:37.338 --> 01:39:42.042]  Because, ladies and gentlemen, they want us at each other's throats.
[01:39:42.583 --> 01:39:44.624]  They want us to get into a fight with each other.
[01:39:44.865 --> 01:39:46.246]  They want us to kill each other.
[01:39:46.946 --> 01:39:57.415]  They are planning on instigating a revolution in this country that is going to slaughter the police and military, and then after everything breaks down, just like in Argentina and other countries, and I've had economists on from there, same thing.
[01:39:57.435 --> 01:40:04.742]  Local cops and military get shot up, the citizens get shot up, and then six months later everybody's tired of rioting, and then the globalists come in.
[01:40:06.104 --> 01:40:09.065]  This has been done over and over and over again.
[01:40:09.085 --> 01:40:10.605]  So I've said I've made a lot of mistakes.
[01:40:10.745 --> 01:40:13.806]  I never claim to have all the answers, understand all the psychological warfare.
[01:40:15.407 --> 01:40:19.868]  I was talking to a friend of mine the other day and he said, have you seen the CIA declassified report?
[01:40:19.888 --> 01:40:20.448]  And I said, no.
[01:40:20.528 --> 01:40:21.049]  I googled it.
[01:40:21.489 --> 01:40:24.230]  Another CIA training manual release from 63.
[01:40:24.810 --> 01:40:28.491]  How to torture people, how to break them, how to control local populations.
[01:40:28.611 --> 01:40:32.032]  And I sat there for two hours and read the whole document.
[01:40:32.712 --> 01:40:34.773]  And it was everything I'm already seeing the feds do.
[01:40:35.737 --> 01:40:40.101]  See, I'm just learning so much so fast and I don't even have ways to describe it.
[01:40:41.062 --> 01:40:46.727]  I just wish we could end this nightmare and arrest all these bankers and eugenicist trash!
[01:40:47.548 --> 01:40:48.529]  I'm sick of them!
