[00:00:00.134 --> 00:00:02.339]  In Texas, Alex Jones.
[01:10:28.305 --> 01:10:47.264]  When I just give and give and give and give, and then always the people, and separate, not Mark that you were talking about, but other talk shows, people say, Alex, that Alex Jones needs to call for war and death and shootin' war and moose hunting, and I always quote Mark on that, you know, about how
[01:10:48.365 --> 01:10:52.946]  There's tens of millions of patriots, only a few million police and military, and most of them are actually on our side now.
[01:10:52.966 --> 01:10:54.807]  And it's like moose hunting up north.
[01:10:55.427 --> 01:11:00.748]  You know, in New York and Michigan and places, there's so few moose per hunters, they have a lottery.
[01:11:00.768 --> 01:11:03.689]  Maybe one out of twenty people gets a moose hunting ticket.
[01:11:04.389 --> 01:11:11.671]  And it tells you if it's a sow or if it's a buck or whatever they call the male and female moose.
[01:11:12.872 --> 01:11:13.752]  I think it's sow.
[01:11:13.892 --> 01:11:15.292]  Look up female moose.
[01:11:16.093 --> 01:11:16.873]  But the point is,
[01:11:19.520 --> 01:11:26.607]  You know, it's a... In foxes, the male's called a dog, and the female's called a vixen.
[01:11:26.627 --> 01:11:29.090]  I mean, every species has got different names.
[01:11:29.570 --> 01:11:33.394]  A gaggle's a certain number of crows, a murder's another number.
[01:11:33.774 --> 01:11:34.175]  What is it?
[01:11:35.957 --> 01:11:36.577]  It's a cow!
[01:11:36.857 --> 01:11:37.458]  Okay, the cow.
[01:11:40.001 --> 01:11:42.924]  I know there's a whole bunch of mammal species where the female's called a sow.
[01:11:43.911 --> 01:11:44.611]  Like whales.
[01:11:45.472 --> 01:11:47.854]  Some species of whale they're called, the mother's called a sow.
[01:11:48.474 --> 01:11:50.495]  Other species of whale, in fact, look up female whales.
[01:11:50.876 --> 01:11:52.457]  It's only certain species are called sows.
[01:11:52.897 --> 01:11:53.737]  I can't keep track of that.
[01:11:53.797 --> 01:11:56.939]  I know that people think of a female pig as a sow.
[01:11:58.741 --> 01:12:13.290]  I've got important news to cover and I'm covering sows here, but I guess that's kind of a... The issue is, there's only maybe one out of ten guys, depending on the lottery, what the Fish and Wildlife people come up with every year, might be one out of five people gets to hunt a moose that goes in for the lottery, one out of a hundred, whatever.
[01:12:14.830 --> 01:12:19.032]  Sometimes when the deer numbers are down in Texas, in certain counties they have a lottery.
[01:12:19.692 --> 01:12:27.535]  And not everybody gets a permit on the wildlife management, as they call it.
[01:12:29.316 --> 01:12:33.518]  So, the analogy here is there's 10 million Patriots at least.
[01:12:33.578 --> 01:12:39.120]  If each Patriot goes out and bags just one moose, there'll be no more moose left.
[01:12:39.640 --> 01:12:42.501]  There's more Patriots than there are moose.
[01:12:42.581 --> 01:12:43.542]  Moose being the police.
[01:12:44.275 --> 01:12:46.616]  I don't want that to happen.
[01:12:46.656 --> 01:12:49.156]  I don't want that to go to that point.
[01:12:49.416 --> 01:12:52.157]  Plus, I'm on the air waking people up about the general knowledge.
[01:12:52.577 --> 01:12:53.858]  I get the folks woken up.
[01:12:54.358 --> 01:12:55.378]  I get them energized.
[01:12:55.518 --> 01:12:56.238]  I get them awake.
[01:12:56.698 --> 01:12:59.239]  I get them to be aware of what's going on and happening.
[01:13:00.840 --> 01:13:09.682]  And everybody ought to be happy in the Liberty, Patriot, 9-11 Truth Movement, Anti-New Order Movement, Libertarian Movement, because everybody I talk to says 80% of the folks getting woke up are from this show.
[01:13:10.222 --> 01:13:12.543]  By the grace of God, we've hit the zeitgeist.
[01:13:13.547 --> 01:13:15.249]  And so I wake the people up.
[01:13:15.309 --> 01:13:16.851]  My listeners spread the word and wake people up.
[01:13:17.112 --> 01:13:17.913]  This is the engine.
[01:13:18.614 --> 01:13:21.978]  And then that increases the movement overall.
[01:13:23.019 --> 01:13:27.064]  But then there's kind of this paradoxical thing of a lot of the people
[01:13:28.032 --> 01:13:37.081]  You know, the common folks love me, but then a lot of people in the movement itself kind of get envious and jealous of me because some of them aren't in it for the right reasons.
[01:13:37.101 --> 01:13:39.724]  And then others don't agree with me politically or this idea or that idea.
[01:13:40.104 --> 01:13:43.147]  We've got to keep the ammunition going downrange at the New World Order.
[01:13:44.028 --> 01:13:44.869]  That's the issue.
[01:13:45.229 --> 01:13:46.030]  That's the target.
[01:13:46.430 --> 01:13:47.612]  That's who's got to be dealt with.
[01:13:48.649 --> 01:13:50.131]  And a lot of it's just flat-out business.
[01:13:50.391 --> 01:14:01.802]  I mean, I've had other little networks and stuff call up all my sponsors and try to get them, and if I just tell the sponsor when they're asking me, well, is there any listeners, I go, no, but, you know, on this other thing, but do what you want, that turns into me doing this or that.
[01:14:01.823 --> 01:14:05.646]  You know, that's, a lot of people, this is a business.
[01:14:05.706 --> 01:14:08.189]  To me, this is a total mission, a total commitment.
[01:14:08.209 --> 01:14:09.470]  I realize my life's on the line.
[01:14:09.851 --> 01:14:11.613]  I passed the point of no return a long time ago.
[01:14:12.847 --> 01:14:15.428]  And I'm committed, come hell or high water, to beat this New World Order.
[01:14:15.928 --> 01:14:18.549]  Okay, let's shift gears since I got off into Sal's.
[01:14:21.391 --> 01:14:26.413]  Well, let me just finish by saying, I genuinely believe in keeping this peaceful as long as we can to grow our numbers.
[01:14:26.793 --> 01:14:32.495]  We're actually building strength every day, as the enemy gets more and more exposed and unveiled as criminal and out of control.
[01:14:33.175 --> 01:14:37.257]  Now, maybe people can intellectually argue and debate with me about those facts, but so do the Founding Fathers.
[01:14:37.557 --> 01:14:39.038]  We can still be friends about that.
[01:14:40.535 --> 01:14:43.337]  About whether this is the time, whether this is the place.
[01:14:43.597 --> 01:14:53.225]  When you start seeing more government massacres and massacres of people rioting and demonstrating, and when you see more abuses and more WACOs, that's when it's going to happen.
[01:14:53.545 --> 01:14:56.908]  And a lot of people that wanted war, once it starts, aren't going to like it.
[01:14:58.049 --> 01:15:07.376]  I'm doing everything I can so that if ever comes the point where I've got to go out and lead people or whatever it takes,
[01:15:09.076 --> 01:15:11.317]  And I'm ready to line up at Bunker Hill, ladies and gentlemen.
[01:15:11.337 --> 01:15:12.738]  I'm ready to vote with my muskets.
[01:15:13.218 --> 01:15:19.481]  But I've got to do everything before I get to that point.
[01:15:23.363 --> 01:15:31.848]  This is like a jiu-jitsu match, and we're grappling, we're wrestling, and we're starting to get the momentum in the fight.
[01:15:34.178 --> 01:15:39.003]  And the enemy wants to get out our grapple and stand up straight and go ahead and have a full-on battle right now.
[01:15:39.584 --> 01:15:40.265]  We're the one.
[01:15:40.325 --> 01:15:41.827]  Time is on our side.
[01:15:42.387 --> 01:15:43.328]  Like the Rolling Stones song.
[01:15:43.348 --> 01:15:45.110]  You've got to pull that up on YouTube, play a clip of it.
[01:15:45.471 --> 01:15:47.413]  Time is on our side.
[01:15:47.773 --> 01:15:48.975]  Boy, that's some really good singing, isn't it?
[01:15:50.526 --> 01:15:52.026]  Call your representatives.
[01:15:52.246 --> 01:15:53.687]  Shoot down the bill.
[01:15:53.727 --> 01:15:54.727]  We've had many victories.
[01:15:54.807 --> 01:15:56.387]  It may pass and it goes to the Senate.
[01:15:56.587 --> 01:16:00.828]  But by the time it gets in there, we'll find out then all the unpopular provisions.
[01:16:00.868 --> 01:16:05.029]  But that'll take a week or so for folks to ferret through 1,600 plus pages.
[01:16:06.249 --> 01:16:06.870]  Or whatever it is.
[01:16:06.910 --> 01:16:07.670]  They say it's growing.
[01:16:09.130 --> 01:16:11.591]  And then, we've got to
[01:16:15.600 --> 01:16:16.561]  Look at those provisions.
[01:16:16.681 --> 01:16:18.222]  Try to make the Senate strip them out.
[01:16:18.642 --> 01:16:19.983]  Most of it won't be stripped out.
[01:16:20.463 --> 01:16:21.864]  But at least we're trying to beat it today.
[01:16:21.904 --> 01:16:23.145]  We're doing the best job we can.
[01:16:23.845 --> 01:16:27.728]  People thought this wouldn't pass because in polls, 80 plus percent of Americans are against it.
[01:16:27.948 --> 01:16:29.669]  They don't care.
[01:16:29.689 --> 01:16:33.572]  99 percent, depending on the poll, 98 percent were against the bank bailout.
[01:16:33.612 --> 01:16:34.032]  It happened.
[01:16:35.333 --> 01:16:36.073]  They just don't care.
[01:16:36.133 --> 01:16:36.654]  They're criminals.
[01:16:38.373 --> 01:16:40.354]  But let them show everybody they're dictators.
[01:16:40.394 --> 01:16:41.594]  Let everybody see it.
[01:16:42.214 --> 01:16:45.295]  Now these bastards are getting so bold, they're openly announcing foreign troops.
[01:16:47.116 --> 01:16:48.296]  Educate people about this.
[01:16:48.376 --> 01:16:49.957]  Tell them, speak out now.
[01:16:50.237 --> 01:16:53.758]  They're going to shut down the communications once this goes hot.
[01:16:54.338 --> 01:17:01.361]  We need to, whether you want to come fast or slow, spend the time you got to warn as many people as you can.
[01:17:03.154 --> 01:17:06.736]  You know, I'm not spending time trying to move out of Austin to the country to protect myself for all of this.
[01:17:06.776 --> 01:17:10.199]  I'm just staying here because I don't have the time and energy to even move or find a place or get out of here.
[01:17:11.179 --> 01:17:15.322]  And I'm hopefully we can expose them and they'll kind of back off and this thing won't go to an all-out war.
[01:17:17.984 --> 01:17:26.069]  There's a lot of people who've got a kind of got like a Rambo complex where they want to want to see this conflict in the U.S.
[01:17:26.129 --> 01:17:28.171]  and the globalists think they're ready for it.
[01:17:28.211 --> 01:17:29.071]  I believe they're going to lose.
[01:17:30.712 --> 01:17:30.913]  But
[01:17:33.942 --> 01:17:35.123]  I just can't believe it's going to happen.
[01:17:35.163 --> 01:17:36.504]  I mean, it's pretty much going to happen.
[01:17:36.524 --> 01:17:38.505]  The more I look at things, it's going to be hellish.
[01:17:38.986 --> 01:17:45.770]  So we do post things like that from China to show you these fools email me and say, if we have war with the government, they got better equipment.
[01:17:46.051 --> 01:17:49.873]  Nothing can stop guerrilla warfare, ladies and gentlemen, in a nation disarmed.
[01:17:50.174 --> 01:17:52.275]  The issue is they want to put their cashless grid in.
[01:17:52.295 --> 01:17:53.336]  That's five to ten years.
[01:17:53.716 --> 01:17:55.217]  Once that's in, it'll be even harder.
[01:17:57.879 --> 01:17:58.980]  So it's an equilibrium.
[01:17:59.000 --> 01:18:00.561]  So I'm fighting them putting the grid in.
[01:18:00.581 --> 01:18:01.622]  We're trying to slow that down.
[01:18:02.745 --> 01:18:05.406]  So there's some arguments for the longer we wait, the worse it is.
[01:18:05.426 --> 01:18:09.668]  There's other arguments for the longer they wait, the worse it is for them.
[01:18:10.948 --> 01:18:12.789]  I've seen their own white papers and a lot of their own statements.
[01:18:12.829 --> 01:18:14.810]  They believe the longer they wait, the harder it is on them.
[01:18:15.050 --> 01:18:17.771]  That's why they want to go ahead and get it on in a combat situation now.
[01:18:20.192 --> 01:18:21.392]  These are important subjects.
[01:18:21.632 --> 01:18:23.973]  Maybe I should have folks like Mark and people on about that.
[01:18:25.274 --> 01:18:25.634]  It's just...
[01:18:28.115 --> 01:18:29.336]  I need to continue to broadcast.
[01:18:29.356 --> 01:18:31.397]  I need to continue to put the information out here.
[01:18:32.037 --> 01:18:35.860]  I've already had the FBI and Secret Service here at my offices and I've told people that and they didn't believe it.
[01:18:35.880 --> 01:18:37.000]  Now it's been all over the newspapers.
[01:18:37.020 --> 01:18:38.821]  I mean, I've been physically attacked.
[01:18:39.141 --> 01:18:42.884]  I mean, I am at the very tip of the spear here and I'm trying.
[01:18:43.684 --> 01:18:45.225]  I'm not a George Washington, folks.
[01:18:46.306 --> 01:18:46.706]  Okay?
[01:18:49.227 --> 01:18:51.669]  I'm one of the political minds.
[01:18:52.802 --> 01:18:54.083]  About how to wake the people up.
[01:18:54.484 --> 01:19:00.850]  I'm more of a, I'm not trying to parallel myself with these people, but in the modern age of resistance, I'm more of a Sam Adams type.
[01:19:02.552 --> 01:19:05.175]  In that I'm out there setting bushfires in the minds of men.
[01:19:05.215 --> 01:19:08.598]  I'm out there running a media operation, getting broadsheets out to people.
[01:19:09.259 --> 01:19:09.760]  You understand?
[01:19:11.587 --> 01:19:17.869]  And so, I'm just there trying to wake up as many people as I can to build our numbers while I watch the enemy getting ready to move on us.
[01:19:17.909 --> 01:19:18.249]  Wake up!
[01:19:18.330 --> 01:19:18.670]  Wake up!
[01:19:18.730 --> 01:19:18.990]  Come on!
[01:19:19.030 --> 01:19:19.690]  The enemy's coming!
[01:19:19.890 --> 01:19:20.570]  The enemy's coming!
[01:19:20.590 --> 01:19:21.151]  The enemy's coming!
[01:19:21.411 --> 01:19:23.151]  I'm up here on the parapet warning the enemy's coming.
[01:19:23.171 --> 01:19:27.073]  People are saying, well, soldier, climb down the wall and run out and fight the enemy out there.
[01:19:27.793 --> 01:19:28.993]  Hell, we know the enemy's coming.
[01:19:29.334 --> 01:19:30.334]  I'm here trying to get a sleep.
[01:19:30.494 --> 01:19:34.255]  And all these people that call for war and bloodshed, you never see them out shooting anybody.
[01:19:35.136 --> 01:19:35.896]  You ever notice that?
[01:19:35.936 --> 01:19:38.197]  It's kill, kill, war, war, death, death.
[01:19:38.697 --> 01:19:39.697]  You need to do it, Alex.
[01:19:39.737 --> 01:19:40.738]  You need to go out and do it.
[01:19:41.761 --> 01:19:48.585]  Finally in the news this evening, it's being reported that cyber spies from Russia and China have now penetrated our power grid.
[01:19:48.885 --> 01:20:04.794]  Even as energy experts are reporting that each summer we get closer and closer to the limits of our nation's power grid, some say that this summer's demand for electrical power may finally push the grid over its edge, creating a cascade of power outages across the country, putting us all in the dark.
[01:20:05.094 --> 01:20:10.239]  Are you prepared for the next round of storm-related outages or government-created blackouts?
[01:20:10.459 --> 01:20:16.744]  Have you ever thought about taking steps to get off the grid and generate your own private supply of electrical power?
[01:20:16.984 --> 01:20:20.608]  If so, this will be the most important information you have ever heard.
[01:20:20.868 --> 01:20:23.450]  Solar-powered generators are finally available.
[01:20:23.570 --> 01:20:28.935]  They have no moving parts to wear out or break and require absolutely no gas whatsoever.
[01:20:29.235 --> 01:20:31.836]  Remember, the government doesn't own the sun.
[01:20:31.896 --> 01:20:34.096]  So go to MySolarBackup.com.
[01:20:34.116 --> 01:20:36.577]  That's MySolarBackup.com.
[01:20:36.617 --> 01:20:40.999]  Check out MySolarBackup.com before you lose your power.
[01:20:41.879 --> 01:20:43.259]  It is a big idea.
[01:20:43.279 --> 01:20:45.400]  A new world order.
[01:20:46.120 --> 01:20:50.461]  In the near future, Earth is dominated by a powerful world government.
[01:20:51.001 --> 01:20:53.162]  It's known as the Bilderberg Group.
[01:20:53.842 --> 01:20:55.963]  Could their objective be world domination?
[01:20:56.604 --> 01:20:59.049]  For thousands of years, their dark order grew.
[01:20:59.790 --> 01:21:07.123]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:21:10.143 --> 01:21:15.106]  For the first time in history, the elite's plan for world government is blown wide open.
[01:21:15.587 --> 01:21:19.049]  You will learn the secret that drives the entire New World Order agenda.
[01:21:19.449 --> 01:21:21.931]  Dillberg is making great progress toward a world government.
[01:21:22.031 --> 01:21:23.172]  Most people have no idea.
[01:21:23.192 --> 01:21:23.932]  They're not after money.
[01:21:23.952 --> 01:21:25.053]  They have all the money they need.
[01:21:25.253 --> 01:21:25.954]  They're after power.
[01:21:25.994 --> 01:21:27.074]  That's what they're after these years.
[01:21:27.375 --> 01:21:35.620]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[01:21:36.100 --> 01:21:38.422]  In Game, blueprint for global enslavement.
[01:21:38.902 --> 01:21:39.943]  You have been warned.
[01:21:40.904 --> 01:21:41.344]  Gold.
[01:21:41.684 --> 01:21:42.965]  It's like nothing else on Earth.
[01:21:43.225 --> 01:21:49.329]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[01:21:49.489 --> 01:21:53.332]  For 6,000 years, gold has remained the ultimate store of wealth.
[01:21:53.672 --> 01:21:55.573]  According to the World Gold Council and the U.S.
[01:21:55.613 --> 01:21:57.915]  Mint, demand is at an all-time high.
[01:21:58.055 --> 01:22:02.978]  The stage is being set for the reemergence of gold as the common-sense alternative to a feeble
[01:22:02.978 --> 01:22:03.238]  I think so.
[01:22:33.098 --> 01:22:35.783]  About owning gold, you must read this report.
[01:22:35.923 --> 01:22:36.965]  Call Midas today at 800-686-2237.
[01:22:40.603 --> 01:22:43.964]  More than 700 chemicals have been found in our drinking water.
[01:22:44.124 --> 01:22:49.325]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[01:22:49.506 --> 01:22:54.267]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[01:22:54.467 --> 01:23:05.350]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[01:23:05.730 --> 01:23:11.275]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year, whichever comes first.
[01:23:11.475 --> 01:23:17.561]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[01:23:17.721 --> 01:23:18.342]  What about you?
[01:23:18.582 --> 01:23:20.484]  Order your KDF Shower Filter normally.
[01:23:20.504 --> 01:23:24.627]  $49 for a special price of only $39.99 with free shipping.
[01:23:24.787 --> 01:23:26.909]  Call the Berkey guy and order now by calling 1-877-886-3653.
[01:23:30.012 --> 01:23:31.353]  That's 1-877-886-3653.
[01:23:33.575 --> 01:23:36.997]  Or order online by visiting us at Directive21.com.
[01:23:37.117 --> 01:23:39.759]  That's DirectiveTheNumber21.com now.
[01:23:47.104 --> 01:23:54.950]  Okay, the LA Times is reporting right now, H1N1 swine flu has infected an estimated 1 million in the US.
[01:23:56.656 --> 01:24:03.920]  See, I saw them pre-hyping flu, and I said two months before they launched that staged attack, I said, I believe they're going to use flu.
[01:24:05.320 --> 01:24:10.783]  And then Baxter Pharmaceutical was involved, mixing live, weaponized bird flu with regular vaccines, but got caught.
[01:24:11.263 --> 01:24:12.244]  That was in Bloomberg.
[01:24:12.564 --> 01:24:15.706]  And I said, I see flu as their main attack coming up.
[01:24:16.673 --> 01:24:18.755]  And then that's when they announced pandemic end of the world.
[01:24:18.815 --> 01:24:19.635]  I said, this could be it.
[01:24:19.675 --> 01:24:24.058]  It could be a hoax or could be a cover story for something down the road for martial law.
[01:24:25.019 --> 01:24:26.560]  The troops are on the streets because of the flu.
[01:24:26.780 --> 01:24:29.142]  You know, five guys have died coming up in the fall.
[01:24:29.843 --> 01:24:31.524]  If one died, they acted like it was end of the world.
[01:24:31.544 --> 01:24:32.384]  What would happen if five died?
[01:24:32.825 --> 01:24:34.306]  Now they've got this fear thing going.
[01:24:35.907 --> 01:24:39.370]  One million have it, but it isn't hurting us.
[01:24:39.590 --> 01:24:40.811]  It's just a no big deal flu.
[01:24:41.951 --> 01:24:43.352]  See, this is mind control.
[01:24:44.341 --> 01:24:47.964]  And I wanted to read to you from CBS News.
[01:24:48.985 --> 01:24:49.325]  The U.S.
[01:24:49.345 --> 01:24:56.431]  Department of Homeland Security sent a memo to some health care providers noting procedures to following the swine flu outbreak eventually makes quarantines necessary.
[01:24:57.852 --> 01:25:05.779]  DHS Secretary Bridger McGraw circulated the swine flu memo which was obtained by CBS News.
[01:25:06.199 --> 01:25:09.222]  On Monday night it says the Department of Justice established legal federal authorities
[01:25:11.414 --> 01:25:17.842]  Pertaining to the implementation of a quarantine and enforcement under approval from HHS, the Surgeon General has the authority to issue quarantines.
[01:25:18.242 --> 01:25:21.466]  And it goes on to say forced inoculations and the executive order 13-375.
[01:25:21.486 --> 01:25:21.506]  13-375.
[01:25:30.233 --> 01:25:38.796]  And their argument is that you've got to take the shots because you'll make other people sick, but if the other idiots have taken it, then they can't get it.
[01:25:39.316 --> 01:25:41.377]  But this is in Arkansas.
[01:25:42.997 --> 01:25:47.659]  Arkansas State Health Department mandatory vaccines are constitutional, which of course they're not.
[01:25:48.513 --> 01:25:53.036]  And Paul goes through with the Supreme Court said blacks weren't humans and stuff like that in the past.
[01:25:53.056 --> 01:25:55.377]  There's a lot of other court rulings saying they can't make you take shots.
[01:25:55.717 --> 01:25:56.978]  There is no mandatory shot.
[01:25:57.278 --> 01:25:59.440]  It's recommended, but they do it through fraud.
[01:25:59.900 --> 01:26:04.343]  So here is the news website.
[01:26:04.503 --> 01:26:06.464]  A former Democrat is what it's called.
[01:26:06.664 --> 01:26:10.747]  They sent out vaccines contaminated with H5N1 avian flu.
[01:26:11.107 --> 01:26:16.210]  It's also in the article talking about Baxter Pharmaceutical involved in making the vaccine they're going to force you to take.
[01:26:18.080 --> 01:26:20.261]  And this all happened the months before the outbreak.
[01:26:21.162 --> 01:26:23.803]  So here he is calling up a government official.
[01:26:24.024 --> 01:26:25.645]  We'll play it for this segment and part of the next.
[01:26:25.665 --> 01:26:26.085]  Here it is.
[01:26:29.667 --> 01:26:30.047]  Oh, hi.
[01:26:30.828 --> 01:26:32.809]  I was given your number by Alicia.
[01:26:33.910 --> 01:26:34.710]  I had some questions.
[01:26:34.770 --> 01:26:35.691]  I left you a message.
[01:26:35.711 --> 01:26:36.771]  I think I called Friday.
[01:26:36.791 --> 01:26:40.093]  I left you a message, but just that I'd call you back.
[01:26:41.474 --> 01:26:44.936]  I'm looking into the vaccination refusal forms.
[01:26:46.505 --> 01:26:55.932]  And I'm trying to find out what the... I talked to a lawyer and it seems that that is an application for a waiver.
[01:26:56.332 --> 01:26:57.193]  Is that correct?
[01:26:58.554 --> 01:26:59.635]  Do you know about these forms?
[01:27:00.535 --> 01:27:03.177]  Well, I don't know that it's an application for a waiver.
[01:27:03.217 --> 01:27:05.559]  The waiver will be granted if you just fill it out correctly.
[01:27:06.625 --> 01:27:08.607]  Okay, yeah, but it's basically... Hit pause.
[01:27:09.667 --> 01:27:10.047]  Hit pause.
[01:27:10.348 --> 01:27:12.909]  There is no law you've got to take vaccines.
[01:27:13.490 --> 01:27:17.092]  It becomes the policy of the state health department, lobbied by the feds.
[01:27:17.392 --> 01:27:21.575]  So when you heard Rick Perry said all girls got to take HPV shots, that's killing a bunch of them, admittedly.
[01:27:22.476 --> 01:27:24.097]  Just Google girls killed by Gardasil.
[01:27:26.178 --> 01:27:28.600]  He just made a list of recommended.
[01:27:29.160 --> 01:27:31.441]  Then the school lies and says it's mandatory.
[01:27:32.302 --> 01:27:35.064]  Because, oh, we will grant you the waiver.
[01:27:36.317 --> 01:27:37.458]  If you fill out the form right.
[01:27:38.478 --> 01:27:39.259]  Because they have to.
[01:27:39.779 --> 01:27:43.041]  But that's to get a waiver for something there isn't a law for.
[01:27:43.361 --> 01:27:46.202]  This is all lawyer tricks, like 501c3 with churches.
[01:27:46.483 --> 01:27:47.903]  They didn't have to have that 50 years ago.
[01:27:48.424 --> 01:27:50.965]  But they got people tricked into signing and waiving their rights.
[01:27:51.665 --> 01:27:52.266]  Keep rolling it.
[01:27:53.926 --> 01:28:04.012]  To get it sent to me, and then the way it reads, if you read it, it says, I then fill it out, and then I send it in as a request for the waiver.
[01:28:04.821 --> 01:28:10.605]  And I'm not quite understanding what that is.
[01:28:10.625 --> 01:28:12.746]  You're saying it will always be.
[01:28:12.766 --> 01:28:18.910]  Well, if you've done it correctly, and if it's done, I'll give you a little history on that.
[01:28:19.550 --> 01:28:29.557]  Sure, if you've got time, I'd like to hear it, because I'm getting some feedback that... It's not like it's cumbersome, or it shouldn't be that difficult.
[01:28:30.717 --> 01:28:31.378]  What happened
[01:28:32.964 --> 01:28:53.296]  Prior to the passage of that law, which I believe went into effect in 2003, prior to that, the only exemptions that were available in Arkansas were a religious exemption that was very constrictive as far as who it applied to, and you could have a medical exemption.
[01:28:54.617 --> 01:28:58.139]  Are you talking for children?
[01:28:58.940 --> 01:28:59.140]  Yes.
[01:28:59.705 --> 01:29:02.046]  Okay, well, I'm talking for adults, too, here.
[01:29:02.086 --> 01:29:03.847]  I'm not just limited to children.
[01:29:04.087 --> 01:29:04.667]  It doesn't matter.
[01:29:04.707 --> 01:29:06.288]  I mean, it's for the science.
[01:29:06.308 --> 01:29:07.468]  Yeah, see, hit pause.
[01:29:07.488 --> 01:29:08.009]  It doesn't matter.
[01:29:08.029 --> 01:29:17.753]  According to this lawyer, and this is the legal counsel spokesman for the Arkansas State Health Department, all of us have to take whatever shots they say.
[01:29:17.853 --> 01:29:20.074]  See, there's no law.
[01:29:20.899 --> 01:29:25.923]  But then he claims and cites eugenics cases for racial hygiene coming up.
[01:29:26.203 --> 01:29:31.026]  These special family courts, that's the fraudulent new system of law.
[01:29:31.687 --> 01:29:34.689]  We're on the march, the empire's on the run.
[01:29:35.610 --> 01:29:38.292]  Alex Jones and the GCN Radio Network.
[01:29:41.172 --> 01:29:46.734]  This is Alex Jones, and I want to tell you again about a company that has supported us and the Truth Movement for years.
[01:29:47.034 --> 01:29:48.195]  Inner Health Botanicals.
[01:29:48.335 --> 01:29:52.316]  This company produces the highest quality superfood around, called InnerFood.
[01:29:52.616 --> 01:29:54.157]  My wife just loves the stuff.
[01:29:54.457 --> 01:30:00.760]  And now, the health ranger, Mike Adams, has awarded InnerFood his Editor's Choice Award for Best Superfood of 2009.
[01:30:01.920 --> 01:30:04.461]  Inner food is loaded with 20 great organic ingredients.
[01:30:04.781 --> 01:30:06.261]  No fillers, no sweeteners.
[01:30:06.521 --> 01:30:09.302]  It would be impossible to blend this up for a better price.
[01:30:09.522 --> 01:30:10.962]  And their formula really works.
[01:30:11.242 --> 01:30:13.783]  This is the real thing for the great health you need.
[01:30:14.063 --> 01:30:15.303]  Try the NutriCafe.
[01:30:15.543 --> 01:30:19.885]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[01:30:20.305 --> 01:30:22.525]  A truly healthy coffee that tastes great.
[01:30:22.725 --> 01:30:24.986]  And take it from me folks, it really does taste great.
[01:30:25.186 --> 01:30:26.946]  Don't forget to try their other great products.
[01:30:27.286 --> 01:30:29.707]  Go to www.nutricafe.com
[01:30:29.887 --> 01:30:32.749]  E-N-E-R-F-O-O-D dot com.
[01:30:32.970 --> 01:30:37.433]  That's W-W-W dot E-N-E-R-F-O-O-D dot com.
[01:30:37.633 --> 01:30:40.556]  Or just click on their banner on Infowars.com for special pricing.
[01:30:41.316 --> 01:30:46.300]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:30:46.520 --> 01:30:50.323]  Number one, new climate legislation could easily double or triple your electric bill.
[01:30:50.543 --> 01:30:56.128]  Number two, our new Energy Czar wants to control how much power your electric company allows you to have.
[01:30:56.428 --> 01:30:56.889]  It's true.
[01:30:57.069 --> 01:31:02.013]  Total government control of electricity in the name of smart grid technology is coming.
[01:31:02.433 --> 01:31:07.858]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:31:08.719 --> 01:31:11.381]  The hurricane and dangerous summer storm season is here again.
[01:31:11.622 --> 01:31:15.825]  Every year, thousands of families lose their power from weather-related outages.
[01:31:16.146 --> 01:31:19.749]  A solar power generator provides powerful backup insurance and peace of mind.
[01:31:19.969 --> 01:31:25.476]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[01:31:25.716 --> 01:31:30.261]  You can get more information at www.mysolarbackup.com.
[01:31:30.421 --> 01:31:31.963]  That's mysolarbackup.com.
[01:31:32.183 --> 01:31:34.506]  Remember, the government doesn't own the sun yet.
[01:31:34.766 --> 01:31:37.410]  So go to mysolarbackup.com or call toll free 877-327-0365.
[01:31:41.781 --> 01:31:46.063]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[01:31:46.283 --> 01:31:51.184]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[01:31:51.384 --> 01:31:52.725]  Hi folks, Alex Jones here.
[01:31:52.905 --> 01:31:56.386]  Why not go back to basics and be safe with Calbin Pure Soaps?
[01:31:56.506 --> 01:32:01.668]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
