[00:00:06.152 --> 00:00:11.395]  Set off all ceramic filter systems and ship all orders over $50 free of charge.
[01:11:36.462 --> 01:11:47.486]  They've had the head Democratic Senator and the head Democratic Congressman have openly said in Politico and ABC News that the foreign banks quote rule America.
[01:11:48.246 --> 01:11:49.627]  Banks, in fact, Google that.
[01:11:49.647 --> 01:11:52.688]  I want to... and I want you to come on there with a headline, Jaren.
[01:11:53.488 --> 01:11:55.889]  Top Democrats say banks rule America.
[01:11:56.448 --> 01:12:00.210]  I know there's a Politico, ABC News, and a bunch of others, but I want the people to hear it.
[01:12:00.550 --> 01:12:02.170]  I'm not just saying this.
[01:12:02.410 --> 01:12:04.391]  There's been a corporate coup d'etat.
[01:12:04.731 --> 01:12:07.472]  Northcom openly says they're setting up martial law.
[01:12:08.373 --> 01:12:13.655]  The head of the Naval War College, Thomas Barnett, goes on C-SPAN and says the military works for Wall Street.
[01:12:14.015 --> 01:12:15.015]  We've been conquered.
[01:12:15.516 --> 01:12:16.936]  They want your private property.
[01:12:17.216 --> 01:12:26.080]  Brace for a bunch of Madoff-type SNL scammers that take everything you got, backed up with paramilitary forces that are brainwashed.
[01:12:27.003 --> 01:12:27.743]  Heaven help us.
[01:12:27.803 --> 01:12:30.364]  The cops are ready to eat their own guts and ask for seconds.
[01:12:30.665 --> 01:12:31.645]  They're paramilitary.
[01:12:31.665 --> 01:12:33.065]  They're ready to wage war on us.
[01:12:34.106 --> 01:12:35.426]  They're no longer peace officers.
[01:12:35.466 --> 01:12:36.727]  We're getting hit and hit hard.
[01:12:37.207 --> 01:12:38.027]  They're not going to stop.
[01:12:38.047 --> 01:12:38.928]  This is only the beginning.
[01:12:39.568 --> 01:12:40.749]  And the average cop isn't bad.
[01:12:40.769 --> 01:12:42.049]  They're part of a sicko system.
[01:12:42.229 --> 01:12:43.550]  The whole country's going to hell.
[01:12:43.730 --> 01:12:45.230]  The public's a bunch of jellyfish.
[01:12:45.250 --> 01:12:47.511]  It's just heaven help us.
[01:12:47.571 --> 01:12:49.972]  Cops, you're basically cutting off your own nose to spite your face.
[01:12:51.393 --> 01:12:52.813]  You need to understand you're part of tyranny.
[01:12:52.833 --> 01:12:53.894]  So are all you bureaucrats.
[01:12:53.914 --> 01:12:55.434]  But people call in going, I don't have a choice.
[01:12:55.454 --> 01:12:56.575]  It's the only job I got.
[01:12:57.896 --> 01:12:58.716]  I'm going to tell you about it later.
[01:12:58.736 --> 01:12:59.657]  Let's go to more calls.
[01:13:00.137 --> 01:13:02.178]  Let's talk to Paul in Australia.
[01:13:02.598 --> 01:13:04.039]  Paul in Australia, you're on the air.
[01:13:04.079 --> 01:13:04.879]  Then Garrett and others.
[01:13:04.919 --> 01:13:05.439]  Go ahead, Paul.
[01:13:06.560 --> 01:13:07.120]  Hi, Alex.
[01:13:07.180 --> 01:13:07.900]  How you doing, mate?
[01:13:08.220 --> 01:13:08.440]  Good.
[01:13:08.480 --> 01:13:10.321]  You've got the climate cops there as well.
[01:13:10.721 --> 01:13:12.282]  They're hitting you and they already took your guns.
[01:13:13.302 --> 01:13:13.983]  Oh, it's true.
[01:13:14.163 --> 01:13:20.325]  And that guy from Tasmania, you know, shut up just a couple of people and it's like, oh, well, we're going to take, oh, everybody's got an apple.
[01:13:21.026 --> 01:13:23.507]  And they're taking your private property and carbon taxing you.
[01:13:23.547 --> 01:13:24.547]  And how do you like it?
[01:13:25.855 --> 01:13:27.255]  Uh, not too well.
[01:13:28.195 --> 01:13:28.756]  Not too well.
[01:13:29.796 --> 01:13:31.836]  What's on your mind today from the land down under?
[01:13:32.936 --> 01:13:33.376]  Yes, Alex.
[01:13:33.676 --> 01:13:38.417]  Um, I was wondering about the Columb... It's a little bit old, but the Columbine shooting.
[01:13:38.497 --> 01:13:42.018]  I've been trying to find a documentary, and I can't recall if you've ever made one.
[01:13:42.098 --> 01:13:46.178]  I was doing a Wikipedia search on you, and I couldn't find a Columbine documentary.
[01:13:46.198 --> 01:13:51.859]  I haven't made a film on Columbine, but I have a short blurb in my film Road to Tyranny.
[01:13:52.500 --> 01:13:54.740]  The Rocky Mountain Daily News
[01:13:56.226 --> 01:14:00.107]  The Denver Post reported that police shot at least three of the children inside.
[01:14:00.587 --> 01:14:03.068]  All the witnesses said there were four men in black uniforms.
[01:14:03.448 --> 01:14:08.929]  They're planting, what is it, 126 giant propane bombs.
[01:14:09.569 --> 01:14:11.369]  The school was more than half empty.
[01:14:11.669 --> 01:14:15.190]  Harrison Kleibold's parents both work for secret projects and black ops.
[01:14:16.930 --> 01:14:19.731]  When they showed up at the school, bombs were already detonating.
[01:14:20.431 --> 01:14:22.372]  It was a total black op inside job.
[01:14:22.772 --> 01:14:24.132]  Just like the Russians have been caught
[01:14:25.003 --> 01:14:39.135]  They'll go in and shoot a bunch of people in the building, the special forces pull out the back, special forces out front fire into the building, and then all the kids know is men in black uniforms were there shooting them, and that's used as a way to crack down on Chechnya in that case.
[01:14:39.575 --> 01:14:42.498]  I mean, the theater siege in Moscow was staged as well.
[01:14:43.198 --> 01:14:43.919]  This is how they do it.
[01:14:43.979 --> 01:14:49.223]  In fact, I watched your, for the first time ever, the Waco documentary you made.
[01:14:50.484 --> 01:14:51.285]  Waco, Texas?
[01:14:51.545 --> 01:14:53.147]  Yes, Delta Force slaughtering everybody.
[01:14:54.551 --> 01:14:55.031]  Exactly.
[01:14:55.191 --> 01:14:56.952]  And it reminds me exactly what just happened.
[01:14:57.012 --> 01:14:58.972]  I mean, not just what happened, but like in Calabine.
[01:14:59.852 --> 01:15:02.433]  It seems like the exact same type of people.
[01:15:02.593 --> 01:15:07.594]  Yeah, the feds go in and shoot and kill everybody on video, on FLIR, shooting everybody as they try to run.
[01:15:07.874 --> 01:15:09.415]  Tanks running over people's bodies.
[01:15:09.715 --> 01:15:12.435]  And they tell the slaves on TV that they all killed themselves.
[01:15:13.796 --> 01:15:14.316]  Exactly.
[01:15:14.336 --> 01:15:15.396]  Oh, thank you very much.
[01:15:15.416 --> 01:15:16.816]  By the way, it came out in Congress.
[01:15:16.856 --> 01:15:19.637]  The Delta Force admits they went in and slaughtered everybody.
[01:15:20.917 --> 01:15:21.357]  My goodness.
[01:15:21.577 --> 01:15:24.158]  Yeah, the head of the army right now, Shoemaker, commanded it.
[01:15:25.177 --> 01:15:26.879]  He was the head at Fort Hood at the time.
[01:15:28.661 --> 01:15:29.142]  Oh, man.
[01:15:31.524 --> 01:15:33.246]  It's a wicked world.
[01:15:35.008 --> 01:15:37.591]  Well, I mean, if they're gonna kill all those kids, they might as well just admit it.
[01:15:37.972 --> 01:15:39.373]  Anything else going on from Australia?
[01:15:40.474 --> 01:15:41.576]  Nah, that's a lot.
[01:15:41.636 --> 01:15:42.316]  Thank you, Alex.
[01:15:42.617 --> 01:15:45.380]  Hey, I hear folks are starting to wake up to the tyranny in Australia.
[01:15:46.733 --> 01:15:47.373]  Yes, they are.
[01:15:47.393 --> 01:15:48.354]  Each and every day.
[01:15:48.934 --> 01:15:49.475]  Well done.
[01:15:49.515 --> 01:15:49.955]  Keep it up.
[01:15:49.975 --> 01:15:50.715]  We don't have a choice.
[01:15:51.176 --> 01:15:52.576]  All we can do is stand up and fight.
[01:15:53.037 --> 01:16:02.042]  You know, as serious and as crazy as things are, the globalists can steer and manipulate society and they can dominate it, but they can't control everything.
[01:16:02.082 --> 01:16:02.982]  It's like whack-a-mole.
[01:16:03.282 --> 01:16:08.265]  You ever played that game at the arcade where the little moles pop up and you got the big mallet trying to knock them down?
[01:16:08.826 --> 01:16:13.908]  Well, as we stand up and speak out and say no to their tyranny, it's like millions of moles popping up.
[01:16:13.948 --> 01:16:14.829]  They can't get us all.
[01:16:16.192 --> 01:16:17.894]  And just, hey, we're about to audit the Fed.
[01:16:18.675 --> 01:16:24.721]  The Fed panicked this week and said the whole country will shut down and they'll go bankrupt if we audit them because they admittedly have stolen trillions.
[01:16:25.662 --> 01:16:29.366]  We'll be right back, ladies and gentlemen, with more calls from around the country and the world.
[01:16:29.786 --> 01:16:31.868]  And I'll break down the total globalist takeover.
[01:16:31.908 --> 01:16:32.289]  Stay with us.
[01:16:33.683 --> 01:16:39.591]  How would you like to cook any meal using no electricity or gas and cook your meals off the grid?
[01:16:39.911 --> 01:16:42.315]  Well now you can, thanks to the Survival Oven.
[01:16:42.535 --> 01:16:48.202]  The Survival Oven is the most amazing off-grid solar oven that can cook anything that a conventional oven can.
[01:16:48.823 --> 01:16:49.404]  I think so.
[01:17:07.125 --> 01:17:10.366]  And is a must for emergency preparedness and even everyday use.
[01:17:10.766 --> 01:17:14.487]  Visit SurvivalOven.com to get your very own survival oven.
[01:17:14.767 --> 01:17:20.528]  Order the Survival Oven now and we'll get you started with two cooking pots and a recipe booklet absolutely free.
[01:17:20.828 --> 01:17:25.069]  At less than 10 pounds you can take Survival Solar Oven with you anywhere.
[01:17:25.269 --> 01:17:26.369]  Call 877-642-1553 or go to SurvivalOven.com.
[01:17:26.429 --> 01:17:27.730]  That's SurvivalOven.com.
[01:17:35.246 --> 01:17:36.247]  Hi, this is Ted Anderson.
[01:17:36.648 --> 01:17:42.134]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[01:17:42.714 --> 01:17:43.215]  That's right.
[01:17:43.515 --> 01:17:46.398]  Gold has been available to be placed in IRAs since 1986.
[01:17:47.219 --> 01:17:53.286]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[01:17:53.846 --> 01:18:01.531]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds, and CDs, yet no word about IRAs.
[01:18:01.972 --> 01:18:06.835]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[01:18:07.455 --> 01:18:12.879]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[01:18:13.279 --> 01:18:17.402]  Don't get left behind by rising inflation and low return on your paper investments.
[01:18:17.782 --> 01:18:18.043]  Call 800-686-2237.
[01:18:18.063 --> 01:18:19.884]  Make sure that you secure your future.
[01:18:23.126 --> 01:18:23.386]  Call 800-686-2237.
[01:18:23.406 --> 01:18:23.606]  That's 1-800-686-2237.
[01:18:33.719 --> 01:18:36.202]  The phone rings and the questions are asked.
[01:18:36.483 --> 01:18:37.444]  I've been so sick!
[01:18:37.744 --> 01:18:39.146]  Will a life-change tea help me?
[01:18:39.426 --> 01:18:40.848]  Our answer is always the same.
[01:18:41.289 --> 01:18:46.975]  Yes, toxins and chemicals from food, water and air are attacking you this very moment.
[01:18:47.416 --> 01:18:52.903]  Fight back with our all-natural detoxifying tea that works immediately.
[01:18:53.283 --> 01:18:57.524]  Many companies use gimmicks and misleading free trials for their campaign.
[01:18:57.784 --> 01:18:58.765]  We use results.
[01:18:59.205 --> 01:19:03.666]  LifeChangeT's formula created by a PhD has been around for over 20 years.
[01:19:03.966 --> 01:19:08.268]  There are things happening in the world that are unseen and not healthy.
[01:19:08.568 --> 01:19:12.049]  The public has reached its all-time record for chronic sickness.
[01:19:12.449 --> 01:19:15.910]  This atrocity won't change unless you call us right now.
[01:19:16.330 --> 01:19:16.951]  Our number is 928-308-0408.
[01:19:21.292 --> 01:19:24.455]  Again, that's 928-308-0408.
[01:19:25.216 --> 01:19:27.958]  Or you can order online at GetTheTea.com.
[01:19:28.058 --> 01:19:30.380]  That's GetTheTea.com.
[01:19:30.580 --> 01:19:33.203]  And remember, we have the cheapest shipping in the industry.
[01:19:33.703 --> 01:19:39.328]  Today, we cannot afford to ignore the current state of our country, the economy, job layoffs.
[01:19:39.528 --> 01:19:40.629]  Mass foreclosures.
[01:19:40.890 --> 01:19:45.195]  And now we are all at risk of being exposed to this new flu pandemic.
[01:19:45.415 --> 01:19:50.000]  The Center for Disease Control has declared a public health emergency across the United States.
[01:19:50.260 --> 01:19:51.702]  What can you do to prepare yourself?
[01:19:51.922 --> 01:19:54.085]  The answer is ZeroFlu.com.
[01:19:54.445 --> 01:19:57.950]  ZeroFlu.com offers you the very best at air purifiers.
[01:19:58.150 --> 01:20:10.889]  These revolutionary air purifiers protect up to 3,000 square feet of your home and stop 99.9% of airborne allergens, influenza, bacteria, viruses, pollen, dust, pet dander, black mold, MRSA, and more.
[01:20:11.109 --> 01:20:13.370]  Not only from the air, but from all surfaces.
[01:20:13.530 --> 01:20:16.291]  With no filters to replace ever, you save money.
[01:20:16.431 --> 01:20:17.612]  Prepare yourself today.
[01:20:17.772 --> 01:20:19.893]  To learn more, visit ZeroFlu.com.
[01:20:19.973 --> 01:20:21.554]  That's ZeroFlu.com.
[01:20:21.694 --> 01:20:22.254]  Or call 888-766-6066.
[01:20:22.274 --> 01:20:22.894]  888-766-6066 today.
[01:20:22.954 --> 01:20:23.455]  ZeroFlu.com.
[01:20:23.475 --> 01:20:25.776]  Protecting you and your family, one day at a time.
[01:20:25.816 --> 01:20:27.016]  You're listening to GCN.
[01:20:39.693 --> 01:20:55.797]  All right, in the start of the next segment, I'm gonna break down the complete and total takeover of society.
[01:20:55.817 --> 01:20:58.497]  And my point is, it's now happening.
[01:20:59.017 --> 01:21:02.218]  All the tyranny, all the corruption, all the federalization,
[01:21:03.038 --> 01:21:10.881]  All the bureaucracy getting in your life, all the anti-terrorist systems being set up, they're openly admitting it's for the American people.
[01:21:11.241 --> 01:21:14.242]  They're openly saying they're going to bankrupt and take everything you've got.
[01:21:14.622 --> 01:21:18.843]  They're openly saying that there is going to be absolutely no freedom and no Bill of Rights.
[01:21:19.384 --> 01:21:26.626]  And all the legislation is introduced and passing every week and it's all racing through.
[01:21:27.950 --> 01:21:33.494]  They passed a hate crimes bill in the House, now in the Senate, which openly says there's no free speech.
[01:21:34.055 --> 01:21:36.777]  We have these stories linked right now up on InfoWars.com.
[01:21:37.297 --> 01:21:41.661]  With the bills, where it says no free speech, the government will arrest you.
[01:21:42.141 --> 01:21:46.845]  Forget Fairness Doctrine, the Cyber Bullying Act, all of it, the hate crime bill.
[01:21:47.565 --> 01:21:50.648]  Ladies and gentlemen, it is happening and it's just stunning.
[01:21:51.443 --> 01:21:53.604]  It's even shocking me at how fast it's moving.
[01:21:54.045 --> 01:21:55.606]  We have got to get mad and get angry.
[01:21:55.926 --> 01:22:00.789]  The system has decided to just totally rob everybody and to go ahead and set up a police state and go for broke.
[01:22:00.809 --> 01:22:02.250]  And we'll be just like Mexico.
[01:22:02.810 --> 01:22:04.311]  You know, don't think it can't happen here.
[01:22:04.431 --> 01:22:05.211]  It is happening.
[01:22:06.052 --> 01:22:11.135]  And acting like chumps and living in denial is what is encouraging these criminals to go hog wild.
[01:22:12.116 --> 01:22:15.898]  They've also committed so many crimes they've got to go for broke now or they know they'll get prosecuted.
[01:22:17.003 --> 01:22:25.528]  It's all a bunch of made-offs, folks, but they've got uniforms, they've got big government seals behind them, and God help us.
[01:22:25.708 --> 01:22:26.689]  Garrett in Mississippi.
[01:22:27.049 --> 01:22:27.930]  You're on the air, Garrett.
[01:22:27.950 --> 01:22:28.290]  Go ahead.
[01:22:29.030 --> 01:22:29.651]  Hello, Alex.
[01:22:29.671 --> 01:22:30.331]  How you doing, buddy?
[01:22:30.571 --> 01:22:37.716]  I'm doing all right, but I saw him pass a 1,300-plus page bill that nobody was allowed to read, and I saw them asking the Speaker, may we please read it?
[01:22:37.776 --> 01:22:39.597]  And I got her on video saying, no!
[01:22:40.717 --> 01:22:46.501]  Well, Alex, I've been trying to get through to your show this week to get a message that's on my mind.
[01:22:47.661 --> 01:22:51.002]  And this is directed to all the Joe six-packs out there.
[01:22:51.643 --> 01:22:53.343]  It's time to act now.
[01:22:54.123 --> 01:22:58.405]  This is a critical juncture in history, okay?
[01:22:58.945 --> 01:23:02.426]  Alex, I've been talking to you for 11 years, seems like, about.
[01:23:03.727 --> 01:23:11.670]  I've been in the Patriot slash Militia movement since about 2000, and I've seen it when a Democrat's in office.
[01:23:13.057 --> 01:23:21.260]  The membership and involvement goes up and then the Republicans come in and then the people go back to sleep and they don't care anymore.
[01:23:21.340 --> 01:23:28.803]  But this is, I've been trying for, since the Paul campaign, to break the left-right paradigm.
[01:23:29.644 --> 01:23:31.464]  And it's working and it's very encouraging.
[01:23:32.405 --> 01:23:41.328]  Look, one thing I've done, Alex, a lot of people have been receptive to, I wrote an eight-page Word document on basic preparations.
[01:23:41.986 --> 01:23:47.969]  Just the simple stuff and sight of different works out there with more details.
[01:23:49.110 --> 01:23:50.631]  People need to be getting ready.
[01:23:51.851 --> 01:23:53.032]  Money means nothing.
[01:23:53.192 --> 01:24:01.777]  If you have money now, you need to be investing in things, especially the yuppies out there of our generation, Alex.
[01:24:02.446 --> 01:24:04.967]  People with money in the bank need to be liquidating.
[01:24:05.047 --> 01:24:06.347]  They need to be buying weapons.
[01:24:06.707 --> 01:24:08.167]  They need to be buying ammunition.
[01:24:08.407 --> 01:24:08.988]  Well, you know what?
[01:24:09.048 --> 01:24:09.728]  People are.
[01:24:09.748 --> 01:24:11.448]  And that's because they know.
[01:24:11.548 --> 01:24:14.209]  But listen, Obama keeps saying there's no gun bills.
[01:24:14.249 --> 01:24:16.689]  They've got bills to completely ban everything.
[01:24:17.029 --> 01:24:22.471]  They've got a bill, as you know, we've given the bill number out, where the Attorney General can ban any or all guns at his discretion.
[01:24:22.771 --> 01:24:27.392]  And the Attorney General has argued in federal court in the case last year in D.C.
[01:24:28.292 --> 01:24:33.054]  That he wants to ban all guns and no citizens can own guns and the White House Chief of Staff has done it?
[01:24:33.474 --> 01:24:43.678]  And in the carbon tax takeover bill, and I appreciate your call, sir, people should get prepared, in the carbon tax bill, it funds the youth brigades.
[01:24:44.238 --> 01:24:49.140]  And it says that these new federal bureaucracies have unlimited power.
[01:24:49.780 --> 01:24:56.163]  See, used to they'd pass a bill and it would say something like a felon can't own a gun.
[01:24:57.125 --> 01:24:59.886]  Or it would say, you gotta have an incident check, but it's not a registration.
[01:25:00.346 --> 01:25:03.427]  Now they just, yeah, it's really a registration, and yeah, you don't have to be a felon.
[01:25:03.747 --> 01:25:06.848]  We're just gonna decide or not, no judge or jury, whether you can own a gun or not.
[01:25:07.208 --> 01:25:08.869]  That's the No Fly, No Buy Act.
[01:25:10.229 --> 01:25:18.171]  And they got these bills where the Attorney General can decide whether you can own a gun or not, and he's saying he's gonna ban almost all guns, except for single shots.
[01:25:19.892 --> 01:25:22.172]  I mean, folks, it's happening.
[01:25:22.232 --> 01:25:22.913]  Do you understand?
[01:25:22.973 --> 01:25:23.893]  It's really happening.
[01:25:25.589 --> 01:25:29.390]  They got a bill, the Clean Water Restoration Act, that says all land in the U.S.
[01:25:29.430 --> 01:25:30.411]  will now be federalized.
[01:25:31.671 --> 01:25:35.712]  Because if you read it, it says total federal jurisdiction, no judge, no jury, no warrant.
[01:25:36.132 --> 01:25:38.433]  Just like game wardens, they'll come on your property without warrants.
[01:25:38.753 --> 01:25:42.314]  If there's even water below ground, all land has water below ground.
[01:25:43.855 --> 01:25:44.435]  Even the desert.
[01:25:45.475 --> 01:25:50.077]  They're saying, I mean, total... You know how they treat the states where it's, you know, half federal?
[01:25:50.777 --> 01:25:52.557]  They treat you like scum, folks.
[01:25:53.118 --> 01:25:54.158]  This is slavery.
[01:25:55.327 --> 01:25:55.987]  God help us.
[01:25:56.087 --> 01:25:57.808]  Danielle and Georgia, you're on the air.
[01:25:58.869 --> 01:25:59.449]  Oh, hi.
[01:25:59.829 --> 01:26:00.469]  Hi, Danielle.
[01:26:00.489 --> 01:26:00.849]  Welcome.
[01:26:01.270 --> 01:26:02.090]  Oh, can you hear me?
[01:26:02.590 --> 01:26:02.810]  Yes.
[01:26:03.390 --> 01:26:04.131]  Oh, hi.
[01:26:04.211 --> 01:26:05.011]  Hi, Alex Jones.
[01:26:05.231 --> 01:26:07.012]  I have something to tell you.
[01:26:08.432 --> 01:26:10.153]  Right quick, I'll try to make it quick.
[01:26:10.533 --> 01:26:17.076]  My mom, she took my sisters to their appointment to catch up with their shots so they can go to school.
[01:26:17.916 --> 01:26:19.777]  One of my sisters is 13, the other one is 15.
[01:26:22.811 --> 01:26:26.998]  And their doctor told their mom about this shot to prevent cervical cancer.
[01:26:27.078 --> 01:26:28.941]  Gardasil that kills girls better than a hammer.
[01:26:29.421 --> 01:26:30.042]  Exactly!
[01:26:30.062 --> 01:26:33.547]  And I want to, uh, yeah, let me finish with this.
[01:26:35.081 --> 01:26:41.185]  And my mom was asking, you know, she was interested to say what type of side effects they will go through.
[01:26:41.205 --> 01:26:45.527]  And the doctor said nothing major, just a little swelling and a little bruising.
[01:26:45.547 --> 01:26:53.112]  And my mom said, well, before you give her that shot, I would like to look into the information about that shot further.
[01:26:53.592 --> 01:26:59.315]  The doctor told her, this is what my mom told me, the doctor told her that this is for their own good.
[01:27:01.431 --> 01:27:05.095]  And if they don't take the shot now, they will have to take it on their next appointment.
[01:27:05.455 --> 01:27:06.136]  Where do you live?
[01:27:06.156 --> 01:27:07.538]  I live in Georgia.
[01:27:07.558 --> 01:27:08.759]  My mom lives in Florida.
[01:27:08.959 --> 01:27:13.023]  Well, you know, Georgia and places where they've carried out a lot of the eugenics.
[01:27:13.063 --> 01:27:14.405]  But ma'am, let me be clear with you.
[01:27:15.567 --> 01:27:20.811]  Only one state mandated mandatory Gardasil injections, and that's not even the law.
[01:27:20.891 --> 01:27:29.018]  The governor said he put it on his list of policies to tell people it's mandatory, but there's no law, and there's a waiver to get around the school policy.
[01:27:29.038 --> 01:27:29.839]  You've got to demand it.
[01:27:30.259 --> 01:27:31.760]  So there's no law in Georgia.
[01:27:32.221 --> 01:27:34.142]  There's no law anywhere, not even Texas.
[01:27:34.662 --> 01:27:39.446]  And so these doctors are on power trips, and they lie and tell you it's the law.
[01:27:40.367 --> 01:27:43.229]  Did she submit?
[01:27:43.269 --> 01:27:43.950]  Did she shoot him up?
[01:27:45.367 --> 01:27:46.028]  Yes, they did.
[01:27:46.048 --> 01:27:48.672]  I mean, my mom lives in Tampa and my sisters do as well.
[01:27:48.772 --> 01:27:50.714]  It took place in Tampa when they went to their place.
[01:27:50.734 --> 01:27:52.016]  Well, you know there's three shots.
[01:27:52.056 --> 01:27:55.160]  Well, you need to go to... They gave them, like, all together, like, five or six.
[01:27:55.280 --> 01:27:56.222]  You're not supposed to do that.
[01:27:56.262 --> 01:27:59.165]  Look... And they also gave her a hepatitis shot.
[01:27:59.506 --> 01:28:01.649]  They treated my mom like she was some criminal.
[01:28:02.526 --> 01:28:03.547]  I mean, that's what my mom said.
[01:28:03.568 --> 01:28:06.031]  She thought she was being interrogated.
[01:28:06.211 --> 01:28:06.791]  No, no, no.
[01:28:06.811 --> 01:28:18.666]  Ma'am, ma'am, ma'am, they're used to cornering people, beating people up in Nazi Germany, in Soviet Russia, and in eugenics America, where they sterilized 500,000 plus women up until the 1980s.
[01:28:18.826 --> 01:28:19.868]  That's how they do it.
[01:28:19.908 --> 01:28:20.749]  They bully you.
[01:28:22.370 --> 01:28:23.131]  Into submission.
[01:28:23.191 --> 01:28:24.271]  Now, explain to your mother.
[01:28:25.012 --> 01:28:25.932]  They gave him other shots.
[01:28:25.952 --> 01:28:27.553]  They only gave him one of the Gardasil that day.
[01:28:27.873 --> 01:28:31.795]  She doesn't have to take the other two shots, but all you gotta do is... They gave him all of those shots.
[01:28:31.815 --> 01:28:33.456]  They already... It's already happened.
[01:28:33.476 --> 01:28:35.057]  They gave him, like, six shots.
[01:28:35.277 --> 01:28:36.018]  Ma'am, you're not listening.
[01:28:36.278 --> 01:28:37.078]  You're not listening to me.
[01:28:37.098 --> 01:28:38.099]  And that's why... I'm sorry.
[01:28:38.159 --> 01:28:38.419]  I'm sorry.
[01:28:38.439 --> 01:28:39.880]  That's why they're gonna hit you and hit you hard.
[01:28:41.044 --> 01:28:45.946]  They don't have the right to cut the uterus out of the girls, and they don't have the right to shoot them up with that.
[01:28:46.187 --> 01:28:55.071]  But as you know, they used to come in and cut women's uteruses out, or tie their tubes, and tell them it was the law too, and they get these ignorant women cornered, and they do it.
[01:28:55.111 --> 01:28:57.492]  They get their little girls to have them chopped open.
[01:28:58.113 --> 01:29:02.715]  The government isn't allowed to chop your uterus out, and they're not allowed to forcibly inject you.
[01:29:02.935 --> 01:29:03.535]  They're liars.
[01:29:03.575 --> 01:29:05.076]  Now, ma'am, I want to explain something to you.
[01:29:05.416 --> 01:29:05.776]  Okay.
[01:29:06.557 --> 01:29:10.699]  They gave them other school shots in the first round of Gardasil.
[01:29:12.028 --> 01:29:12.108]  Okay.
[01:29:12.128 --> 01:29:12.469]  I'm listening.
[01:29:20.262 --> 01:29:31.570]  That this government's so criminal and lies to everybody, and scumbag, power-tripping, filth doctors, who were told by the AMA for liability protection, they gotta lie and tell you you gotta take these shots.
[01:29:31.610 --> 01:29:33.351]  If you're for the shots, it's still not the law.
[01:29:50.182 --> 01:29:51.123]  We're good to go!
[01:30:13.502 --> 01:30:18.764]  It's effective against white flies, moths, bedbugs, fleas, roaches, crickets, and more.
[01:30:19.044 --> 01:30:23.005]  And safe enough to use on your pets, ridding them of fleas and other pests.
[01:30:23.325 --> 01:30:25.986]  Order now from FreshwaterOrganics.com or call 888-949-3570.
[01:30:26.006 --> 01:30:26.306]  888-949-3570 today!
[01:30:33.888 --> 01:30:35.149]  Hi, this is Alex Jones.
[01:30:35.189 --> 01:30:40.533]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:30:40.773 --> 01:30:45.416]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[01:30:45.796 --> 01:30:50.860]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[01:30:51.380 --> 01:30:56.084]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:30:56.604 --> 01:31:03.509]  They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[01:31:03.689 --> 01:31:04.589]  And here's the best part.
[01:31:04.809 --> 01:31:07.590]  These seeds have not been genetically modified in any way.
[01:31:07.890 --> 01:31:11.191]  And you actually get enough seeds to plant a full acre crisis garden.
[01:31:11.511 --> 01:31:14.332]  So visit them today at survivalseedbank.com.
[01:31:14.692 --> 01:31:16.572]  That's survivalseedbank.com.
[01:31:16.912 --> 01:31:17.832]  Or give them a call at 877-327-0365.
[01:31:17.852 --> 01:31:18.032]  That's 877-327-0365.
[01:31:18.052 --> 01:31:20.993]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[01:31:21.493 --> 01:31:23.234]  This is Alex Jones for survivalseedbank.com.
[01:31:33.476 --> 01:31:34.977]  Alex Jones here with a question.
[01:31:35.157 --> 01:31:36.618]  What does humidity mean to you?
[01:31:36.899 --> 01:31:39.140]  Most people think of hot and sticky summer days.
[01:31:39.580 --> 01:31:44.344]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[01:31:44.724 --> 01:31:47.586]  That's why I'd like you to visit acolablue.com.
[01:31:47.906 --> 01:31:51.449]  Acolablue is a state-of-the-art atmospheric water generator.
[01:31:51.809 --> 01:32:03.819]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[01:32:04.360 --> 01:32:06.362]  Finally, drinking water that you control.
[01:32:06.382 --> 01:32:07.683]  I use one every day.
[01:32:08.103 --> 01:32:13.568]  Say goodbye to expensive water delivery services and storing five-gallon bottles of water in your home.
[01:32:13.788 --> 01:32:19.413]  The Ecola Blue 28 is shipped right to your home, ready to make close to seven gallons a day right out of the box.
[01:32:19.753 --> 01:32:21.554]  They have a 30-day money-back guarantee.
[01:32:21.714 --> 01:32:23.115]  Call Ecolablue right now at 1-800-691-6043.
[01:32:23.175 --> 01:32:23.395]  That's 1-800-691-6043.
