[00:00:52.809 --> 00:00:53.669]  Look at this article.
[01:48:00.899 --> 01:48:02.299]  It is a big idea.
[01:48:02.319 --> 01:48:04.421]  A new world order.
[01:48:05.141 --> 01:48:09.704]  In the near future, Earth is dominated by a powerful world government.
[01:48:10.024 --> 01:48:12.185]  It's known as the Bilderberg Group.
[01:48:12.866 --> 01:48:15.007]  Put their objective being world domination.
[01:48:15.635 --> 01:48:18.057]  For thousands of years, their dark order grew.
[01:48:18.818 --> 01:48:26.143]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:48:29.166 --> 01:48:34.148]  For the first time in history, the elite's plan for world government is blown wide open.
[01:48:34.608 --> 01:48:38.069]  You will learn the secret that drives the entire New World Order agenda.
[01:48:38.469 --> 01:48:40.949]  Bill of Rights is making great progress toward a world government.
[01:48:41.049 --> 01:48:42.190]  Most people have no idea.
[01:48:42.210 --> 01:48:42.950]  They're not after money.
[01:48:42.970 --> 01:48:44.070]  They have all the money they need.
[01:48:44.270 --> 01:48:44.991]  They're after power.
[01:48:45.251 --> 01:48:45.971]  That's their aphrodisiac.
[01:48:46.391 --> 01:48:50.932]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[01:48:51.152 --> 01:48:54.633]  Or watch it online right now at PrisonPlanet.tv.
[01:48:55.113 --> 01:48:55.493]  In Game.
[01:48:55.854 --> 01:48:57.394]  Blueprint for global enslaving.
[01:48:57.914 --> 01:48:59.075]  You have been warned.
[01:49:21.306 --> 01:49:26.848]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[01:49:27.208 --> 01:49:33.830]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[01:49:38.112 --> 01:49:39.213]  Experience the Difference.
[01:49:59.699 --> 01:50:06.664]  You already know that drinking pure high alkaline pH water is the most important factor in maintaining high energy and vibrant health.
[01:50:06.905 --> 01:50:11.208]  Most experts agree that the water you drink should be at a pH level of 8 or higher.
[01:50:11.468 --> 01:50:16.572]  AlkaVision Plasma pH Drops combine a unique formula of the most alkaline ingredients.
[01:50:17.072 --> 01:50:24.178]  Using Plasma pH Drops is one of the best ways to make your water alkaline, to help you get rid of acid and regain your health and energy.
[01:50:24.618 --> 01:50:29.502]  Simply put 10 drops per liter of water you drink to raise the pH to the ultimate level.
[01:50:29.982 --> 01:50:35.426]  Alkalizing water helps your body rid itself of acidic waste and increases the oxygen content of your body.
[01:50:35.807 --> 01:50:41.331]  Disease organisms like bacteria and cancer cannot survive in an alkaline, high pH environment.
[01:50:41.611 --> 01:50:47.355]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to AlkaVision.com.
[01:50:47.575 --> 01:50:50.097]  That's A-L-K-A Vision dot com.
[01:50:50.357 --> 01:50:51.058]  Or by calling 269-216-9767.
[01:50:51.078 --> 01:50:51.318]  269-216-9767 today!
[01:51:12.250 --> 01:51:14.612]  Are we gonna do what they say can't be done?
[01:51:15.553 --> 01:51:19.636]  We've got a long way to go, and a short time to get there.
[01:51:19.976 --> 01:51:23.019]  Time is kind, just let your bandage run.
[01:51:23.799 --> 01:51:27.182]  Keep your foot hard on the pedal, son, never mind them brakes.
[01:51:27.782 --> 01:51:30.244]  Let it all hang out, cause we gotta run to big.
[01:51:30.324 --> 01:51:35.829]  The boys up there stickin' Atlanta, and there's beer in Texarkana.
[01:51:42.116 --> 01:51:48.557]  Alright, Gregory Hoover, HooverVSBeck.com, just put a VS for Hoover and Beck.
[01:51:49.357 --> 01:51:50.518]  Appreciate you spending time with us.
[01:51:50.598 --> 01:51:57.659]  Okay, so in closing, going out to break there, you're saying you're being persecuted, and clearly we are.
[01:51:58.179 --> 01:52:11.702]  Isn't it suspect that they kept saying we're white supremacists, we're going to attack, when none of that had happened for years, and he'd say, mark my words, I love America, I'm going to attack, it's going to happen, and then magically it happens.
[01:52:12.245 --> 01:52:20.414]  Well, this goes back to his other quote earlier in the same program where he said, one of the things that I've been warning about for a very, very long time are these 9-11 truthers.
[01:52:20.434 --> 01:52:27.082]  They've been waiting for an opportunity for something along these lines to occur, so that they attempt to try to penetrate 9-11.
[01:52:29.364 --> 01:52:37.731]  That 9-11 truthers and people and militias were working for the Muslims with anthrax and were going to kill 300,000.
[01:52:37.951 --> 01:52:42.635]  And he said, I've been warning you a long time about this unholy alliance.
[01:52:43.075 --> 01:52:45.877]  Let's turn to our resident, I mean, made up baloney.
[01:52:45.917 --> 01:52:46.298]  Go ahead.
[01:52:46.678 --> 01:53:02.766]  It's gotten to the point now that there's no stretch of the imagination too far for him to reach to attempt to try to clothe us in disparaging ways such that there will be an automatic warding off of those who might otherwise be attracted to the movement.
[01:53:03.126 --> 01:53:05.327]  That'd be like I said, don't watch Glenn Beck.
[01:53:05.767 --> 01:53:08.148]  Don't watch Glenn Beck because he's a child molester.
[01:53:08.168 --> 01:53:10.910]  I don't have any proof of that, I'm just saying it.
[01:53:10.930 --> 01:53:12.290]  That's not true, folks.
[01:53:12.330 --> 01:53:14.331]  I'm just using it as a hypothetical example.
[01:53:17.403 --> 01:53:23.571]  Yeah, but with him, he's really throwing that out there that we're basically Nazis, and then not saying it's not true.
[01:53:23.872 --> 01:53:26.756]  He's putting it out there to damage us.
[01:53:27.036 --> 01:53:28.218]  So where does this suit go?
[01:53:29.815 --> 01:53:39.402]  We're seeking this in this suit, among which I'm seeking a temporary and permanent injunction against his attempting to try to defame us along these group statuses.
[01:53:39.822 --> 01:53:51.751]  I'd like to attempt to try to provide an FTC guideline with regard to these sorts of statements and a standard that I think can benefit.
[01:53:52.451 --> 01:53:54.292]  Uh, defamation cases along these lines.
[01:53:54.912 --> 01:54:21.203]  I think one of the greatest things that can come of this is that the media attention that this case is now garnering is one which will be recognized not only by those who are already associated and familiar with the 9-11 movement, but by virtue of the fact that it will attach itself inherently to Glenn Beck and his followers, it's going to expose them to the information that they otherwise would otherwise be hidden from
[01:54:22.253 --> 01:54:24.098]  Now, you sound like a lawyer.
[01:54:24.800 --> 01:54:25.381]  Are you a lawyer?
[01:54:25.662 --> 01:54:27.065]  No, actually, I'm a CLA.
[01:54:27.105 --> 01:54:29.311]  I've been in the legal profession 20 years.
[01:54:29.471 --> 01:54:30.835]  I write appellate briefs for attorneys.
[01:54:31.400 --> 01:54:31.820]  Okay, good.
[01:54:31.840 --> 01:54:33.682]  So basically you're the guy that does the work for the attorneys.
[01:54:34.422 --> 01:54:43.408]  When your high-powered attorney tells you that he's going to have that memorandum briefer, or what have you, prepared and filed tomorrow morning, I'm actually the guy working it out.
[01:54:43.568 --> 01:54:48.031]  I've worked for firms large and small for the last two decades.
[01:54:48.051 --> 01:54:56.357]  Well, a better analogy of what Beck's doing is, if there was a big bank robbery and a jail guard got shot, or a bank guard got shot, and then I went on the radio and said,
[01:54:57.625 --> 01:55:06.789]  You know, I don't have any proof of this, but we're getting evidence that Glenn Beck thought this guy that killed the bank guard was a hero.
[01:55:07.129 --> 01:55:16.813]  Glenn Beck would sue me, and rightfully so, because there's no connection to the bank robber and Glenn Beck.
[01:55:16.893 --> 01:55:18.194]  Absolutely.
[01:55:18.394 --> 01:55:26.538]  And something interesting, when you said that it would seem at this point, you'll notice on that broadcast on June 10th, if you'll run the tape, it's now all over.
[01:55:27.638 --> 01:55:29.439]  Okay, in closing, where does this go?
[01:55:29.459 --> 01:55:30.420]  Where does the suit go?
[01:55:48.232 --> 01:55:53.196]  This suit goes into the Middle District Federal Court and the Orlando Division.
[01:55:53.216 --> 01:55:56.859]  We're looking for a class action status, which I believe we'll be able to gain certification of.
[01:55:57.680 --> 01:56:10.910]  We're looking at this point, we recognize of course we're going to be up against heavy legal opposition from the Fox team, so we're looking to put together what I'd consider the legal dream team, which is why I've put up the Hoover vs. Beck.com site.
[01:56:10.970 --> 01:56:14.233]  We're looking for donations to be able to support the effort.
[01:56:14.273 --> 01:56:15.594]  We think that during the course of
[01:56:15.974 --> 01:56:16.956]  We're good to go.
[01:56:30.660 --> 01:56:35.043]  Well, he is assaulting us with lies, trying to hurt us, and trying to defame our free speech.
[01:56:35.683 --> 01:56:39.365]  And I appreciate what you're doing, and we'll stand behind you and get reports as it unfolds.
[01:56:39.745 --> 01:56:41.747]  Gregory Hoover, thank you so much for coming on with us.
[01:56:41.927 --> 01:56:42.767]  Thank you so much, Alex.
[01:56:42.827 --> 01:56:43.948]  It's been an honor speaking with you.
[01:56:44.128 --> 01:56:44.888]  Honor to speak with you.
[01:56:44.908 --> 01:56:47.230]  We'll be right back with your calls and a ton of news.
[01:56:47.250 --> 01:56:48.531]  30 minutes left in transmission.
[01:56:48.851 --> 01:56:49.651]  Keep it locked in.
[01:56:50.852 --> 01:56:51.752]  We're on the march.
[01:56:52.233 --> 01:56:53.834]  The Empire's on the run.
[01:56:54.754 --> 01:56:57.456]  Alex Jones and the GCN Radio Network.
[01:57:00.319 --> 01:57:05.881]  This is Alex Jones, and I want to tell you again about a company that has supported us and the Truth Movement for years.
[01:57:06.181 --> 01:57:07.342]  Inner Health Botanicals.
[01:57:07.482 --> 01:57:11.463]  This company produces the highest quality superfood around, called Inner Food.
[01:57:11.743 --> 01:57:13.304]  My wife just loves the stuff.
[01:57:13.604 --> 01:57:19.907]  And now, the health ranger Mike Adams has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[01:57:21.047 --> 01:57:23.608]  Inner Food is loaded with 20 great organic ingredients.
[01:57:23.929 --> 01:57:25.409]  No fillers, no sweeteners.
[01:57:25.670 --> 01:57:28.431]  It would be impossible to blend this up for a better price.
[01:57:28.671 --> 01:57:30.112]  And their formula really works.
[01:57:30.392 --> 01:57:32.933]  This is the real thing for the great health you need.
[01:57:33.194 --> 01:57:34.454]  Try the NutriCafe.
[01:57:34.694 --> 01:57:39.057]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[01:57:39.457 --> 01:57:41.658]  A truly healthy coffee that tastes great.
[01:57:41.878 --> 01:57:44.139]  And take it from me folks, it really does taste great.
[01:57:44.340 --> 01:57:46.101]  Don't forget to try their other great products.
[01:57:46.441 --> 01:57:47.561]  Go to www.
[01:57:49.362 --> 01:57:51.764]  We're good to go.
[01:58:00.404 --> 01:58:05.430]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:58:05.630 --> 01:58:09.414]  Number one, new climate legislation could easily double or triple your electric bill.
[01:58:09.655 --> 01:58:15.261]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:58:15.561 --> 01:58:20.427]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:58:20.627 --> 01:58:21.128]  Number three,
[01:58:21.528 --> 01:58:26.971]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:58:27.832 --> 01:58:30.474]  The hurricane and dangerous summer storm season is here again.
[01:58:30.734 --> 01:58:34.136]  Every year, thousands of families lose their power from weather-related outages.
[01:58:35.237 --> 01:58:38.859]  A solar power generator provides powerful backup insurance and peace of mind.
[01:58:39.099 --> 01:58:44.582]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[01:58:44.822 --> 01:58:49.365]  You can get more information at www.mysolarbackup.com.
[01:58:49.525 --> 01:58:51.066]  That's mysolarbackup.com.
[01:58:51.286 --> 01:58:53.628]  Remember, the government doesn't own the sun yet.
[01:58:53.868 --> 01:58:56.509]  So go to mysolarbackup.com or call toll free 877-327-0365.
[01:59:00.580 --> 01:59:03.963]  More than 700 chemicals have been found in our drinking water.
[01:59:04.103 --> 01:59:09.308]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[01:59:09.508 --> 01:59:14.273]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[01:59:14.473 --> 01:59:25.443]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[01:59:25.703 --> 01:59:31.270]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or 1 year whichever comes first.
[01:59:31.470 --> 01:59:37.538]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[01:59:37.698 --> 01:59:38.339]  What about you?
[01:59:38.559 --> 01:59:40.462]  Order your KDF Shower Filter normally.
[01:59:40.482 --> 01:59:43.145]  $49 for a special price of only $39.99 with free shipping.
[01:59:44.767 --> 01:59:47.008]  Call the Berkey Guy and order now by calling 1-877-886-3653.
[01:59:47.088 --> 01:59:47.308]  That's 1-877-886-3653.
[01:59:47.408 --> 01:59:48.828]  Or order online by visiting us at Directive21.com.
[01:59:48.848 --> 01:59:50.409]  That's Directive, the number 21 dot com now.
[02:00:07.014 --> 02:00:31.657]  Well, I'm not the kind to kiss and tell But I've been seen with Farrah I've never been with anything less than a nine So fine I've been on fire with Sally Field Gone fast with a girl named Bo But somehow they just don't end up as mine It's a death-defying life I lead
[02:00:32.526 --> 02:00:34.048]  I'd take my chances.
[02:00:34.588 --> 02:00:37.491]  I'd die for a living in the movies and TV.
[02:00:37.552 --> 02:00:48.984]  But the hardest thing I ever do is watch my leading ladies kiss some other guy while I'm bandaging my knee.
[02:00:51.680 --> 02:00:55.721]  Okay, ladies and gentlemen, we got about 26 minutes left in World Wide Transmission.
[02:00:55.741 --> 02:00:57.961]  I'm going right to your phone calls here in about two minutes.
[02:00:58.382 --> 02:01:02.803]  But first, I wanted to let you know about some of the sponsors that have made this World Wide Transmission possible.
[02:01:03.223 --> 02:01:05.703]  One of them is SurvivalSeedBank.com.
[02:01:06.123 --> 02:01:07.804]  That's SurvivalSeedBank.com.
[02:01:08.284 --> 02:01:14.025]  In a real crisis, having non-hybrid seeds means having the ability to grow your endless supply of nutrient-dense food to feed your loved ones.
[02:01:14.105 --> 02:01:16.125]  I say buy it and plant it and enjoy it.
[02:01:16.425 --> 02:01:18.386]  Still got time for a summer and fall garden.
[02:01:19.585 --> 02:01:21.208]  And stop eating all that GMO crap.
[02:01:21.268 --> 02:01:21.909]  It's just fun.
[02:01:21.929 --> 02:01:25.836]  You got little kids, they'll like planting a garden a lot more than they will playing...
[02:01:26.921 --> 02:01:29.402]  Devil's Spider-Man games or whatever it is they're doing.
[02:01:29.942 --> 02:01:31.843]  It's fun to go put in a garden, ladies and gentlemen.
[02:01:32.203 --> 02:01:33.123]  The government doesn't like it.
[02:01:33.163 --> 02:01:34.124]  It's another reason to do it.
[02:01:34.444 --> 02:01:35.904]  Survivalseedbank.com.
[02:01:36.244 --> 02:01:38.345]  The government's buying up all the big seed companies.
[02:01:38.405 --> 02:01:40.066]  Foreign companies are doing it, shutting them down.
[02:01:40.086 --> 02:01:44.467]  They're trying to make you have licenses to have non-hybrid, non-GMO seeds in Europe.
[02:01:44.847 --> 02:01:46.088]  You can't make this stuff up.
[02:01:46.128 --> 02:01:47.128]  Survivalseedbank.com.
[02:01:47.148 --> 02:01:47.308]  877-327-0365.
[02:01:47.328 --> 02:01:47.388]  877-327-0365.
[02:01:47.448 --> 02:01:48.268]  Survivalseedbank.com.
[02:01:56.485 --> 02:02:02.069]  Another one of our fine sponsors is symbolized by Max the Little Orange Gorilla.
[02:02:02.209 --> 02:02:03.109]  Very good little creature.
[02:02:03.129 --> 02:02:08.673]  Now when you're on InfoWars.com and PresentPlanet.com, you will see Max the Orange Gorilla.
[02:02:10.011 --> 02:02:12.053]  From Alpha Centuries, he came with David Icke.
[02:02:12.794 --> 02:02:26.549]  And you can go to homegain.com and it's a free service and you can enter in your address or address of a house you're looking at and find out what realtors are seeing, the real market value, what they believe the real market value is.
[02:02:27.310 --> 02:02:28.771]  HomeGain.com.
[02:02:28.992 --> 02:02:31.013]  H-O-M-E-G-A-I-N dot com.
[02:02:31.654 --> 02:02:40.262]  They have the Home Sale Maximizer, the most inexpensive renovations or home improvements you can do that will boost it to the greatest price.
[02:02:40.722 --> 02:02:42.043]  That's HomeGain.com.
[02:02:42.063 --> 02:02:42.964]  A lot of other functions.
[02:02:43.384 --> 02:02:43.905]  HomeGain.
[02:02:44.345 --> 02:02:46.107]  That's Home and Gain dot com.
[02:02:47.228 --> 02:02:49.009]  And lastly, ladies and gentlemen,
[02:02:50.020 --> 02:02:51.521]  Something I believe firmly in.
[02:02:51.541 --> 02:03:00.064]  A lot of antibiotics and antivirals aren't working anymore, but there's something that medical doctors on this show have said they believe can certainly help.
[02:03:01.224 --> 02:03:05.425]  What can you do to keep you and your family safe from resistant new strains of deadly bacteria and viruses?
[02:03:05.485 --> 02:03:17.770]  I want you to go to SupernaturalSilver.com today, or visit their link on InfoWars.com to find out more about this incredible new developed system of silver compound.
[02:03:18.712 --> 02:03:19.935]  It's down to the nano size.
[02:03:20.356 --> 02:03:22.542]  The new silver solution is a natural antibiotic.
[02:03:23.442 --> 02:03:27.485]  It is clinically proven to kill viruses, germs, bacteria, and yeast safely.
[02:03:28.085 --> 02:03:33.069]  It is a new technology and has proven to be a formidable weapon against the bio-threats of today and tomorrow.
[02:03:33.569 --> 02:03:38.593]  The new silver solution gel has been shown to disinfect topically, keep the area sanitized for up to four hours.
[02:03:38.953 --> 02:03:45.118]  The new silver solution is a highly effective, potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[02:03:45.418 --> 02:03:47.239]  Go to supernaturalsilver.com.
[02:03:47.500 --> 02:03:50.282]  That's supernaturalsilver.com today.
[02:03:51.192 --> 02:03:54.515]  And those sponsors I believe in and have made this show possible today.
[02:03:55.055 --> 02:03:57.418]  Okay, let's go ahead and talk to Dan in Illinois.
[02:03:57.918 --> 02:03:58.879]  Dan, you're on the air.
[02:03:58.919 --> 02:03:59.519]  Thanks for holding.
[02:03:59.559 --> 02:03:59.880]  Welcome.
[02:04:00.580 --> 02:04:01.421]  Thank you, Mr. Jones.
[02:04:01.501 --> 02:04:02.722]  It's a privilege to talk to you, sir.
[02:04:03.563 --> 02:04:05.925]  Hey, I just wanted to throw this out there real quick.
[02:04:06.285 --> 02:04:08.728]  I'm a 30-year-old business owner, successful business owner.
[02:04:08.748 --> 02:04:12.151]  I know that's going to drive the opponents of the truth movement crazy.
[02:04:12.171 --> 02:04:13.031]  You're now kind of then.
[02:04:13.051 --> 02:04:14.873]  Gun owner, conservative business owner.
[02:04:15.373 --> 02:04:16.454]  In fact, I forgot to get to it.
[02:04:16.494 --> 02:04:17.455]  Did you guys print that article?
[02:04:17.475 --> 02:04:18.136]  I forgot to print.
[02:04:19.016 --> 02:04:33.381]  The uh... the uh... my computer's all locked up the one about it's up on Infowars and PrisonPlanet.com sorry to interrupt I just want to get this out before I forget about how about how all protesters are listed in army documents as terrorists.
[02:04:33.421 --> 02:04:34.321]  It's terrorism!
[02:04:34.361 --> 02:04:35.122]  Freedom is terror!
[02:04:35.142 --> 02:04:35.642]  But go ahead.
[02:04:36.162 --> 02:04:36.902]  Guilty as charged.
[02:04:36.982 --> 02:04:38.483]  Hey, two points I wanted to make real quick.
[02:04:38.643 --> 02:04:41.244]  If you reported on it already then I apologize in advance.
[02:04:42.052 --> 02:04:49.848]  MSN.com is reporting that due to the civil unrest in Iran, five out of the six internet ports have been shut down by the Iranian government.
[02:04:50.329 --> 02:04:53.775]  And if people think that that can't happen here, all they do is flip a switch.
[02:04:54.264 --> 02:04:55.725]  Yeah, no, they're very childlike.
[02:04:55.745 --> 02:05:03.352]  You know, I make these videos warning people how they're going to shut the web down with the head of cybersecurity resigning and confirming what we already said years ago.
[02:05:03.712 --> 02:05:06.254]  People go, it's impossible to shut the web down.
[02:05:06.594 --> 02:05:08.536]  It's meant to survive a nuke attack.
[02:05:08.996 --> 02:05:09.917]  That's if the U.S.
[02:05:09.997 --> 02:05:11.378]  government wants to keep it on.
[02:05:11.438 --> 02:05:12.639]  But they own it and run it.
[02:05:13.060 --> 02:05:21.547]  And now they're even going in under the law and grabbing the private hubs and making them put in federal kill switches where everything goes through it on record.
[02:05:21.847 --> 02:05:22.948]  And yes, you're absolutely right.
[02:05:23.618 --> 02:05:25.019]  Hey, point number two real quick.
[02:05:25.420 --> 02:05:37.932]  I checked out one of your videos from about ten years ago, and with all the problems that the states are supposedly having in the government with budget deficits, do you think it's not time that we open up Freedom of Information Acts
[02:05:38.380 --> 02:05:43.265]  On the comprehensive annual financial report for all states and government to find out where the real money is at.
[02:05:43.305 --> 02:05:45.206]  Yeah, but I mean the four years, it's open.
[02:05:45.427 --> 02:05:49.470]  They admit to having a double set of books and that they shipped all the money offshore to the bankers.
[02:05:49.510 --> 02:05:50.271]  They don't even hide it.
[02:05:50.311 --> 02:05:51.572]  They go, look, we stole your money.
[02:05:52.013 --> 02:05:52.553]  You don't like it?
[02:05:52.593 --> 02:05:54.435]  I'll send my paramilitary troops to kill you.
[02:05:55.336 --> 02:05:57.978]  We have the SWAT teams ready to eat your guts and ask for seconds.
[02:05:58.839 --> 02:06:03.964]  Illinois is reporting that they need a $9 billion budget shortfall.
[02:06:04.417 --> 02:06:09.040]  That they have to make cuts on, but back in 2003, they had a $17 billion surplus.
[02:06:09.421 --> 02:06:11.082]  Well, you know, it's Illinois that started it.
[02:06:11.122 --> 02:06:16.445]  The mafia, back in the 20s, started having a double set of books and using the mayors.
[02:06:16.646 --> 02:06:20.208]  It's Chicago 1313 and Al Capone.
[02:06:20.909 --> 02:06:22.770]  And the mafia's like, God, we run the government now.
[02:06:23.210 --> 02:06:28.154]  So they set a double set of books and they would not fill the potholes and say, we need more taxes and then get them.
[02:06:29.194 --> 02:06:36.358]  And so the bankers, the Federal Reserve said, we'll just run a Chicago Mafia scam, and since then it's been adopted worldwide.
[02:06:36.819 --> 02:06:38.800]  Yeah, I know, it's unbelievable.
[02:06:39.060 --> 02:06:40.060]  I appreciate your call.
[02:06:40.441 --> 02:06:43.422]  Yeah, this is absolute scum we're talking about here.
[02:06:43.602 --> 02:06:45.183]  Craig in New Jersey.
[02:06:45.203 --> 02:06:46.524]  Go ahead, Craig.
[02:06:47.425 --> 02:06:48.525]  What's up, Alex?
[02:06:49.166 --> 02:06:52.688]  One thing, I'm just calling in to promote the all-new We Are Change New Jersey.org.
[02:06:53.806 --> 02:06:54.347]  A website.
[02:06:54.667 --> 02:06:56.128]  Oh, very evil.
[02:06:56.208 --> 02:06:59.911]  Americans getting together and demonstrating and asking government questions.
[02:06:59.991 --> 02:07:00.911]  I agree with Glenn Beck.
[02:07:00.951 --> 02:07:01.752]  That's dangerous.
[02:07:01.772 --> 02:07:03.573]  So tell me more about it.
[02:07:03.593 --> 02:07:08.357]  We have that video posted on the site, and if I can, I'll just give out my email real quick.
[02:07:08.377 --> 02:07:11.199]  It's Craig at WeAreChangedNewJersey.org.
[02:07:11.799 --> 02:07:12.059]  Good.
[02:07:12.159 --> 02:07:14.421]  And tell me more about what you guys are doing.
[02:07:15.682 --> 02:07:17.303]  Basically, right now, the site's brand new.
[02:07:17.363 --> 02:07:19.064]  It's only been up for about eight days now.
[02:07:19.665 --> 02:07:22.867]  We're just trying to organize and get together everybody in New Jersey.
[02:07:23.434 --> 02:07:43.793]  No matter what group you belong to, NFED, Campaign for Liberty, We Are Change, Jersey City, 9-11 Truth, we all have to come together at this critical point in American history right now, and just try to stomp out the path to socialism that we're seeing right now.
[02:07:45.635 --> 02:07:46.516]  I appreciate your call.
[02:07:46.556 --> 02:07:47.797]  Good to hear from you, Craig.
[02:07:48.197 --> 02:07:49.738]  Matthew in Pennsylvania.
[02:07:49.778 --> 02:07:50.659]  You're on the air.
[02:07:51.019 --> 02:07:53.682]  If you protest in any way, the Army says you're a terrorist.
[02:07:53.702 --> 02:07:54.642]  Go ahead, terrorist.
[02:07:55.103 --> 02:07:55.703]  That's right.
[02:07:56.104 --> 02:07:57.945]  I'm growing my own tomatoes over here.
[02:07:59.446 --> 02:08:00.387]  Without a license?
[02:08:00.988 --> 02:08:01.568]  That's right.
[02:08:01.688 --> 02:08:04.010]  SWAT teams are now raiding people nationwide for that?
[02:08:04.070 --> 02:08:04.651]  I'm not kidding.
[02:08:04.691 --> 02:08:05.632]  Go ahead, terrorist.
[02:08:05.652 --> 02:08:06.032]  That's right.
[02:08:06.292 --> 02:08:09.535]  Hey, have you seen Naomi Wolf's latest installment?
[02:08:10.549 --> 02:08:13.130]  I saw a video she made about the police state a few months ago.
[02:08:13.430 --> 02:08:14.070]  Is there another one?
[02:08:14.390 --> 02:08:17.731]  Yeah, well, there's the two DVD of the end of America.
[02:08:19.311 --> 02:08:22.292]  Yeah, we tried to have her on twice, but her phone never works when she's on.
[02:08:22.312 --> 02:08:37.095]  Very strange, but... Yeah, I found one part of it very, very disgusting, where they had a release up in the Hamptons, and they're all drinking wine and kind of saying that they're part of the resistance.
[02:08:39.495 --> 02:08:45.438]  I'd just like to say that here at home, we're growing tomatoes, and we're going to throw them at the stage.
[02:08:46.579 --> 02:08:47.079]  Oh my God.
[02:08:47.099 --> 02:08:48.100]  Thank you!
[02:08:48.620 --> 02:08:49.460]  Good night!
[02:08:49.540 --> 02:08:50.841]  Alright, I appreciate your call.
[02:08:51.061 --> 02:08:52.142]  Very, very frightening.
[02:08:52.162 --> 02:08:54.363]  I think he's eaten those tomatoes.
[02:08:54.403 --> 02:08:55.383]  They made him go crazy.
[02:08:55.463 --> 02:08:56.164]  It's Al-Qaeda.
[02:08:56.924 --> 02:08:58.285]  Oh my God, Al-Qaeda.
[02:08:58.305 --> 02:08:59.805]  Alright, who's up next here?
[02:09:01.927 --> 02:09:03.988]  Another Gregory from California.
[02:09:04.028 --> 02:09:04.748]  Go ahead, Gregory.
[02:09:04.768 --> 02:09:06.589]  Hey, how you doing brother Alex?
[02:09:07.584 --> 02:09:08.365]  You know how to talk.
[02:09:08.405 --> 02:09:09.685]  That's another sign of Al-Qaeda.
[02:09:10.385 --> 02:09:11.646]  You need more fluoride pills.
[02:09:11.706 --> 02:09:12.346]  Go ahead, sir.
[02:09:13.167 --> 02:09:21.951]  Well, uh... No, in the future, being able to talk is going to be seen as... I'm not kidding, because they're going to reduce the language down to nothing, but a very shocking and arrestable offense.
[02:09:21.991 --> 02:09:22.811]  Go ahead and commit crimes.
[02:09:22.851 --> 02:09:23.412]  Go ahead and talk.
[02:09:24.112 --> 02:09:34.797]  Well, I was going to ask you, the last time I took a break from your show, I got taken off into Orange County Jail a couple months after old Christopher Jones had to go through there.
[02:09:35.956 --> 02:09:40.939]  Ah yes, Chris Jones, who shot the video inside Bohemian Grove, taken away to prison.
[02:09:41.700 --> 02:09:49.525]  I remember, I think that was around October, I tried getting a hold of a friend of mine that trains.
[02:09:49.565 --> 02:09:55.229]  He knows the guy that trains the men over in Music Honor Ranch, I believe, but I couldn't get a hold of him.
[02:09:55.549 --> 02:09:58.151]  But just to figure out, I was hoping to ask him, how'd that go?
[02:09:58.171 --> 02:10:02.193]  Alright, I'm a little confused, but I appreciate your call, Gregory.
[02:10:02.213 --> 02:10:02.874]  Good to hear from you.
[02:10:04.364 --> 02:10:06.568]  I remember, you want to know the whole Chris Jones story?
[02:10:06.688 --> 02:10:09.754]  People have asked me about that in emails and I've forgotten to comment on it.
[02:10:10.014 --> 02:10:12.238]  Chris Jones, okay?
[02:10:12.959 --> 02:10:16.165]  I snuck into Bohemian Grove with Mike Hanson in 2000 and shot that video.
[02:10:17.045 --> 02:10:18.506]  And people for years said it wasn't real.
[02:10:18.886 --> 02:10:20.508]  Now the Bohemian Grove admits I snuck in.
[02:10:21.168 --> 02:10:23.510]  And we had out in the woods and didn't try to be social.
[02:10:23.530 --> 02:10:24.551]  That's why we didn't get caught.
[02:10:24.891 --> 02:10:27.953]  Like the Vanity Fair and People Magazine and CBS reporters.
[02:10:28.934 --> 02:10:33.597]  It's more than 15 reporters, you count them up, that have been arrested and charged with trespassing.
