[00:00:20.575 --> 00:00:26.477]  From the front lines!
[03:04:13.560 --> 03:04:14.520]  Okay, that would have been yesterday.
[03:04:14.520 --> 03:04:19.481]  Where you show how they couldn't get the mainstream media, how they couldn't get people to say they were anti-gay.
[03:04:19.481 --> 03:04:19.801]  Yeah, yeah, yeah.
[03:04:19.801 --> 03:04:22.382]  That was either two days ago in the war room.
[03:04:22.382 --> 03:04:23.142]  I'm trying to remember.
[03:04:23.142 --> 03:04:23.882]  That's the problem.
[03:04:23.882 --> 03:04:26.803]  We're breaking such bodily information overload all the time here.
[03:04:28.183 --> 03:04:29.164]  It is becoming insane.
[03:04:29.164 --> 03:04:30.484]  I mean, I can't even keep track of it anymore.
[03:04:30.484 --> 03:04:43.808]  All right, Roger Stone for one second, then Joel Gilbert, always ready to take on the commies, and just absolutely expose the great goblin demon, Vladimir Putin, is coming up, ladies and gentlemen.
[03:04:43.808 --> 03:04:51.111]  Infowars.com, Newswars.com, PrisonPlanet.tv, stay with us as we go in, through, and beyond!
[03:04:54.599 --> 03:04:56.940]  Fueling your body is hard work.
[03:04:56.940 --> 03:05:02.703]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[03:05:02.703 --> 03:05:11.127]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[03:05:11.127 --> 03:05:13.368]  There's no better way to power your body.
[03:05:13.888 --> 03:05:20.770]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[03:05:20.770 --> 03:05:31.933]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[03:05:31.933 --> 03:05:38.835]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[03:05:39.375 --> 03:05:45.522]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[03:05:45.522 --> 03:05:49.366]  Don't miss out on the chance to fuel your body and support recovery.
[03:05:49.366 --> 03:05:52.530]  Try the InfoWars Life Daily Digestive Pack today!
[03:06:05.074 --> 03:06:09.979]  Defending the Republic from enemies, foreign and domestic.
[03:06:09.979 --> 03:06:11.560]  It's Alex Jones.
[03:06:11.560 --> 03:06:15.143]  Show us your habits, your facts, your fears.
[03:06:15.143 --> 03:06:25.933]  Give us your address, your shoe size, your years, your digits, your plans, your number, your eyes, your schedule, your desktop, your details, your life.
[03:06:25.933 --> 03:06:29.597]  Show us your children, your photos, your home.
[03:06:29.597 --> 03:06:29.797]  Here.
[03:06:30.516 --> 03:06:32.396]  Roger Stone is not going to be on the war room today.
[03:06:32.396 --> 03:06:36.337]  He's getting some well-deserved rest with all the hundreds of interviews he's been doing.
[03:06:36.337 --> 03:06:39.278]  His wife's been in the hospital off and on, so pray for her.
[03:06:39.278 --> 03:06:46.199]  There's a veterans call-in show with Owen Schroyer and Craig Sawyer, the former Dev Group Navy SEAL.
[03:06:46.199 --> 03:06:47.860]  His buddy just got the Congressional Medal of Honor.
[03:06:47.860 --> 03:06:49.860]  They're going to play some of that today.
[03:06:49.860 --> 03:06:56.682]  They're going to take veterans calls and active duty calls only to get their take on what's happening in the world and so much more.
[03:06:56.682 --> 03:06:58.422]  But I wanted to get Roger on because the Hill
[03:06:59.833 --> 03:07:15.078]  And the Associated Press reported that Mueller now admits, and they've talked to their people, that, oh, because I guess they're getting the media ready for this, we're not getting into Russiagate or collusion with Stone and the Russians, we're just going to find something financial and put him in jail.
[03:07:15.078 --> 03:07:19.979]  And then you've got Giuliani saying, we're not worried, they're not going to flip him.
[03:07:19.979 --> 03:07:22.500]  And then Rogers saying, there's nothing to flip on.
[03:07:23.484 --> 03:07:28.306]  So, again, Roger and I talked about this months ago, we talked about this weekend, we knew it was coming.
[03:07:28.306 --> 03:07:29.926]  Total vindication.
[03:07:29.926 --> 03:07:37.108]  They've got a magnifying glass, you know, aimed up every orifice here, over every molecule of his body, as he said.
[03:07:37.108 --> 03:07:46.311]  And, uh, Owen didn't even want to cut into the time that Roger has, but I wanted to have Owen ride shotgun, too, for any of his side comments or takes on this.
[03:07:46.311 --> 03:07:47.252]  But as
[03:07:48.012 --> 03:07:50.594]  The wheels come off of this, Roger.
[03:07:50.594 --> 03:07:59.840]  It looks like you're the last gasp hope they've got and are almost telegraphing to you in the media that you just need to roll over or something really bad's going to happen.
[03:07:59.840 --> 03:08:01.381]  So hang in there, buddy.
[03:08:01.381 --> 03:08:03.403]  This is like way beyond any movie I've ever seen.
[03:08:04.520 --> 03:08:06.200]  No, Alex, you're absolutely right.
[03:08:06.200 --> 03:08:30.525]  Having come up completely empty-handed in terms of any involvement in Russian collusion on my part, having come up empty-handed on the claim that I was trafficking in allegedly hacked emails with WikiLeaks, they now clearly hope to conjure up some extraneous offense in an effort to not only silence me, but to punish me for my advocacy of the election of Donald Trump.
[03:08:31.205 --> 03:08:50.431]  I mean, it's really disconcerting to have a runaway federal prosecutor aggressively scrutinizing, picking and probing through every aspect of your personal and professional life, deploying platoons of federal agents to conduct this microscopic, fine-toothed review of my personal life.
[03:08:51.051 --> 03:09:09.209]  Badgering at least eight of my current or former colleagues, asking questions about my private life, my business associations, my friendship and association with you, with InfoWars, just all over the map, none of it having to do with Russian collusion or the 2016 election.
[03:09:09.209 --> 03:09:12.953]  It is clear that Mr. Mueller plans to target me.
[03:09:13.613 --> 03:09:23.216]  And of course, MSNBC and CNN, they're just giddy with these reports that my criminal indictment is imminent, even though there is no proof of that.
[03:09:23.216 --> 03:09:30.499]  And they refuse to mention, oh, by the way, this has nothing to do with Russia or WikiLeaks or John Podesta's email, and so on.
[03:09:30.499 --> 03:09:31.999]  It is really frightening.
[03:09:31.999 --> 03:09:34.240]  It's Big Brother writ large.
[03:09:34.240 --> 03:09:36.381]  It's the deep state gone amok.
[03:09:38.220 --> 03:09:40.543]  And they're obviously on their last legs.
[03:09:40.543 --> 03:09:49.476]  Even mainstream media has to admit that Trump is winning, the economy is coming back, that they've been covering up, they've been lying, Congress is honing in on them.
[03:09:50.583 --> 03:09:52.784]  Is there any way they can pull a rabbit out of their hat?
[03:09:52.784 --> 03:10:10.871]  Because when I told you last weekend, I mean I said it on air, Mueller's specialty, and I sent you a news article showing this, is when they've botched investigations, when they've been caught, when they're desperate, when they're covering up, they bring in Mueller, they set somebody up, they say they're to blame, and they kill them within one day of saying they're the person that did it.
[03:10:11.531 --> 03:10:14.454]  And I'm serious, you've already been shot in your backyard.
[03:10:14.454 --> 03:10:16.917]  People make jokes about it all, like, what is this, a James Bond movie?
[03:10:16.917 --> 03:10:23.945]  Yeah, you're at the center of the total fight for the country in a Russiagate spy operation.
[03:10:23.945 --> 03:10:24.826]  They shoot you with a...
[03:10:26.468 --> 03:10:32.270]  You know, radioactive polonium dart, which, again, are gelatin, so they dissolve.
[03:10:32.270 --> 03:10:35.332]  It doesn't go all the way into your body because it goes into your shirt.
[03:10:35.332 --> 03:10:38.473]  You know, you said what your nephew was out there when this happened.
[03:10:38.473 --> 03:10:38.713]  Banned!
[03:10:38.713 --> 03:10:39.333]  They're like, what is it?
[03:10:39.333 --> 03:10:40.314]  You're bleeding.
[03:10:40.314 --> 03:10:41.394]  And then you got tested.
[03:10:41.394 --> 03:10:44.635]  The feds asked you not to release it in the hospital, but I think you should.
[03:10:44.635 --> 03:10:46.596]  I know the feds came and threatened the hospital.
[03:10:46.596 --> 03:10:47.436]  You should release that.
[03:10:47.436 --> 03:10:48.377]  I know you got T-boned.
[03:10:49.317 --> 03:10:50.478]  And this is what they do.
[03:10:50.478 --> 03:10:55.180]  Mueller kills who he's going... I know your wife didn't like hearing that.
[03:10:55.180 --> 03:11:00.123]  I don't want to say it's my fault she's been in the hospital, but you did say she got pretty freaked out when she heard the show.
[03:11:00.123 --> 03:11:01.503]  She knows I don't lie about stuff.
[03:11:01.503 --> 03:11:05.185]  But I think it's for your safety we say that Mueller is a murderer.
[03:11:05.185 --> 03:11:06.166]  Mueller is a criminal.
[03:11:06.166 --> 03:11:06.926]  He covered up 9-11.
[03:11:06.926 --> 03:11:11.929]  They clearly, from the evidence of my sources, killed the third patsy in the anthrax case.
[03:11:12.649 --> 03:11:14.710]  They have a long history of this crap.
[03:11:14.710 --> 03:11:20.871]  And so I'm saying by exposing that, you were the one that said they were trying to kill you so they could then set you up a year ago.
[03:11:20.871 --> 03:11:22.331]  You know this yourself.
[03:11:22.331 --> 03:11:24.312]  So I'm only saying what you already know, Roger.
[03:11:24.312 --> 03:11:32.393]  Well, Alex, first of all, I think we all recognize an unbridled federal prosecutor can literally indict a ham sandwich.
[03:11:32.393 --> 03:11:34.754]  But I have no interest in being Mr. Mueller's lunch.
[03:11:35.820 --> 03:11:44.183]  Secondarily, if anything does happen to me, I will be a martyr for the cause, and you can talk about it extensively here at InfoWars.
[03:11:44.183 --> 03:11:47.024]  I have no intention of ruling on this president.
[03:11:47.024 --> 03:11:51.386]  I have no negative information with which I could damage him.
[03:11:52.066 --> 03:11:52.326]  I don't
[03:12:08.513 --> 03:12:09.554]  We're good to go.
[03:12:28.835 --> 03:12:47.993]  Very soon we will be unveiling the InfoWars Legal Defense Fund because you're facing the same kind of BS lawsuits, harassment lawsuits that are being used to malign you, to smear you, to drive you into bankruptcy because they're expensive even though they're harassment oriented and frivolous.
[03:12:47.993 --> 03:12:49.934]  And we're just not going to stand for it.
[03:12:49.934 --> 03:12:51.476]  We are going to fight.
[03:12:51.656 --> 03:12:56.562]  Well, I've talked to the lawyers and the experts, and they totally agree these are all lawfare deals.
[03:12:56.562 --> 03:12:59.585]  But with enough of them, it can start to have the desired effect.
[03:12:59.585 --> 03:13:00.967]  That's what a lot of people don't understand.
[03:13:00.967 --> 03:13:02.148]  We're not just saying this.
[03:13:02.148 --> 03:13:04.110]  We're up against the Clinton crime network.
[03:13:04.110 --> 03:13:05.432]  People asked us to fight them.
[03:13:05.432 --> 03:13:05.952]  I fought them.
[03:13:06.753 --> 03:13:14.076]  I'm not complaining, I'm not bitching, but if you want your champions to continue on, they need to see millions and millions.
[03:13:14.076 --> 03:13:16.197]  Millions of dollars weren't what they used to be, okay?
[03:13:16.197 --> 03:13:24.120]  Satellites, crew, people, legal, law... There's more than 12 active lawsuits against us right now.
[03:13:24.120 --> 03:13:25.261]  As fast as we knock them down...
[03:13:26.101 --> 03:13:27.402]  They put new ones in.
[03:13:27.402 --> 03:13:31.223]  But by the grace of God, Weinstein's going to jail.
[03:13:31.223 --> 03:13:35.925]  He's part of the larger network of pedophiles, we know, through the Alita Express.
[03:13:35.925 --> 03:13:37.525]  This is going to bring them all down.
[03:13:37.525 --> 03:13:41.507]  It's why they're fighting for their lives, because it's a death battle, Roger.
[03:13:41.507 --> 03:13:46.649]  So yes, we need to have a big focus fundraiser next week, because I've learned, if I just kind of ask here, ask there, it doesn't do anything.
[03:13:46.929 --> 03:13:54.960]  We'd have a big beat the drum, lay it out, expose it, extravaganza, so get your butt to Texas as soon as you can to launch this thing next Thursday.
[03:13:54.960 --> 03:13:56.822]  We're doing a 34-hour broadcast.
[03:13:56.822 --> 03:14:00.107]  If none of your wife's from the hospital, we'll do it remote, my friend.
[03:14:00.107 --> 03:14:01.088]  Owen Schroer, your comments.
[03:14:02.045 --> 03:14:13.256]  Well, and I think that if they saw the audience support us even more in the face of these lawsuits, they'd be less inclined to actually go with them because it's all measurements with them.
[03:14:13.256 --> 03:14:16.719]  It's all measuring how they can bring you down or get in your head or whatever.
[03:14:16.719 --> 03:14:17.320]  It's like Caputo.
[03:14:17.320 --> 03:14:19.082]  He was going to have to sell his house.
[03:14:19.082 --> 03:14:20.583]  As soon as he got the support, they kind of backed off.
[03:14:20.683 --> 03:14:21.343]  Exactly.
[03:14:21.343 --> 03:14:39.907]  So if they saw that all of a sudden in the face of these lawsuits that InfoWars just got massive amounts of purchases at InfoWarsStore.com, you know, record purchases at InfoWarsStore.com as they continued to mount these lawsuits, I think that that might back them off because now they're realizing that, uh-oh, we're actually making InfoWars bigger by attacking them like this.
[03:14:39.907 --> 03:14:41.427]  The Streisand effect is real.
[03:14:41.427 --> 03:14:41.868]  Exactly.
[03:14:41.868 --> 03:14:44.948]  Imagine if you had a chance to go back and be in the second American Revolution.
[03:14:44.948 --> 03:14:45.748]  This is it.
[03:14:45.748 --> 03:14:46.869]  We're delivering.
[03:14:46.869 --> 03:14:47.449]  It's happening.
[03:14:47.449 --> 03:14:48.269]  The enemy knows.
[03:14:48.809 --> 03:14:50.030]  And they're trying to destroy us!
[03:14:50.030 --> 03:14:51.610]  So, InfoWarStore.com.
[03:14:51.610 --> 03:14:54.011]  Get Roger Stone's new book there, Stone's Rules.
[03:14:54.011 --> 03:14:55.632]  Get Brain Force, 50% off.
[03:14:55.632 --> 03:14:57.373]  Free shipping on all those items.
[03:14:57.373 --> 03:14:59.854]  InfoWarStore.com.
[03:14:59.854 --> 03:15:03.435]  Roger, you're gonna be back on the War Room on Tuesday.
[03:15:03.435 --> 03:15:05.996]  I'll be live hosting on Sunday.
[03:15:05.996 --> 03:15:08.197]  You'll be back next week as well.
[03:15:08.197 --> 03:15:09.998]  Thank you so much, Roger, and Godspeed.
[03:15:10.638 --> 03:15:14.020]  Well, people ask me how I feel and whether I'm concerned.
[03:15:14.020 --> 03:15:17.902]  I've seen this attack on you and smearing you on the Sandy Hook matter.
[03:15:17.902 --> 03:15:20.283]  That really, really aggravates me.
[03:15:20.283 --> 03:15:23.665]  We're in this together and we're not going to stop fighting.
[03:15:23.665 --> 03:15:25.306]  We will not be silenced.
[03:15:25.306 --> 03:15:28.948]  We will not be kneecapped.
[03:15:28.948 --> 03:15:29.889]  We're ready to fight.
[03:15:29.889 --> 03:15:33.531]  But we can't do it without the help of the InfoWars audience.
[03:15:34.246 --> 03:15:36.287]  I mean, they're like the blood in our arteries.
[03:15:36.287 --> 03:15:41.168]  When they give, when they spread the word, they overpower the censors, they financially defeat the enemy.
[03:15:41.168 --> 03:15:42.468]  We are our listeners.
[03:15:42.468 --> 03:15:43.429]  We are our supporters.
[03:15:43.429 --> 03:15:46.730]  So, yes, take advantage of the record sales at m4warstore.com.
[03:15:46.730 --> 03:15:52.671]  All right, Owen, get ready, because you're going to be hosting the special Veterans War Room with Sawman coming up.
[03:15:52.671 --> 03:15:53.431]  But first, Joel Gilbert.
[03:15:53.431 --> 03:15:54.812]  You have been lied to.
[03:15:55.612 --> 03:15:57.333]  My name is Kevin Shipp.
[03:15:57.333 --> 03:16:00.036]  I'm a former decorated CIA officer.
[03:16:00.036 --> 03:16:05.360]  Finally someone has come out and written what I think is the best ex-mose on the shadow government ever.
[03:16:05.360 --> 03:16:10.824]  We're in a constitutional crisis and our government is now being run and ruled by a shadow government.
[03:16:11.044 --> 03:16:14.487]  We gotta get this out because just because you're awake, folks, doesn't mean other people are.
[03:16:14.487 --> 03:16:17.589]  This is critical to get, to read, to give to the library, to give to the church.
[03:16:17.589 --> 03:16:20.311]  Get them right now at KillingUncleSamBuck.com.
[03:16:20.311 --> 03:16:22.653]  KillingUncleSamBuck.com.
[03:16:22.653 --> 03:16:23.834]  Bacon lovers.
[03:16:23.834 --> 03:16:25.375]  We ship free.
[03:16:25.375 --> 03:16:27.197]  Try our amazing bacon.
[03:16:27.197 --> 03:16:29.219]  No refrigeration required.
[03:16:29.219 --> 03:16:38.166]  Proprietary value-added packaging provides 10-year shelf life and protects the leanest, thickest, center-cut, fully cooked bacon in America today.
[03:16:38.806 --> 03:16:42.251]  Ready to eat right from the pouch or warm and serve.
[03:16:42.251 --> 03:16:44.113]  Savory and delicious.
[03:16:44.113 --> 03:16:47.077]  Wholesale price for your everyday use.
[03:16:47.077 --> 03:16:54.587]  Order today at ReadyToEatBacon.com ReadyToEatBacon.com Want revenge on the common housefly?
[03:16:55.588 --> 03:16:59.590]  Well, after 10,000 years, someone has finally come up with a better way.
[03:16:59.590 --> 03:17:00.830]  The Bug-A-Salt.
[03:17:00.830 --> 03:17:05.792]  A miniaturized shotgun, which utilizes ordinary table salt as ammunition.
[03:17:05.792 --> 03:17:07.793]  Non-toxic and no batteries required.
[03:17:07.793 --> 03:17:12.094]  So much fun, you'll forget you have a wife and kids!
[03:17:12.094 --> 03:17:13.415]  $39.95 and free economy shipping.
[03:17:13.415 --> 03:17:18.597]  Use discount code GCN and get an extra 10% off your purchase at Bug-A-Salt.com.
[03:17:18.597 --> 03:17:20.157]  Fire your fly swatter!
[03:17:20.157 --> 03:17:21.638]  Get your Bug-A-Salt today!
[03:17:22.586 --> 03:17:31.108]  If you or someone you care about loves outdoor adventure, then check out slingbow.com for some unique holiday gift ideas.
[03:17:31.108 --> 03:17:39.890]  That's slingbow.com, where we have some innovative new products for the archer, hunter, or bow fishing enthusiast in your family.
[03:17:39.890 --> 03:17:44.671]  Now through January, use the promo code HOLIDAY to get free shipping in the U.S.
[03:17:44.671 --> 03:17:45.832]  or Canada.
[03:17:45.832 --> 03:17:51.813]  And from all of us at Slingbow Industries, have a safe, joyous, and peaceful holiday season.
[03:17:54.482 --> 03:17:56.823]  Fueling your body is hard work.
[03:17:56.823 --> 03:18:02.585]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[03:18:02.585 --> 03:18:11.008]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[03:18:11.008 --> 03:18:13.229]  There's no better way to power your body.
[03:18:13.769 --> 03:18:20.654]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[03:18:20.654 --> 03:18:31.823]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[03:18:31.823 --> 03:18:38.729]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[03:18:39.249 --> 03:18:45.420]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[03:18:45.420 --> 03:18:49.267]  Don't miss out on the chance to fuel your body and support recovery.
[03:18:49.267 --> 03:18:52.412]  Try the InfoWars Life Daily Digestive Pack today!
[03:18:54.298 --> 03:18:57.960]  Guaranteeing your food independence is a crucial part of prepping.
[03:18:57.960 --> 03:19:05.984]  Between debt crises, natural disasters, or even simple power outages, having a supply of storable meals is crucial.
[03:19:05.984 --> 03:19:12.667]  With InfoWars Life Select Storable Food, you can make sure you and your family are ready for any emergency.
[03:19:12.667 --> 03:19:21.872]  With drinks, snacks, and meals in amounts ranging from 72 hours to a full year, there's no better place to look for healthy, easy, and incredible meals.
[03:19:22.592 --> 03:19:29.735]  Including meals such as Traveler Stew, Homestyle Potato Soup, and a variety of other meals for breakfast, lunch, and dinner.
[03:19:29.735 --> 03:19:34.817]  InfoWars Life Select storable food will help you eat comfortably in a time of need.
[03:19:34.817 --> 03:19:36.778]  They even work great for camping!
[03:19:36.778 --> 03:19:43.541]  Simply pack a 72-hour kit to go and you have easy-to-cook and transport food for you and your loved ones trip.
[03:19:43.541 --> 03:19:45.522]  Don't be caught surprised by an emergency.
[03:19:46.042 --> 03:19:57.310]  Make sure you're stocked up today with all the food you need for an affordable price with InfoWars Life Select storable foods.
[03:19:57.310 --> 03:20:00.011]  You're listening to the Alex Jones Show.
[03:20:10.768 --> 03:20:12.690]  The answer to 1984 is 1776.
[03:20:12.690 --> 03:20:27.142]  You're listening to the Alex Jones Show.
[03:20:27.142 --> 03:20:30.125]  Welcome back to the Alex Jones Show.
[03:20:30.125 --> 03:20:33.447]  I'm Joel Gilbert coming to you from the left coast.
[03:20:33.447 --> 03:20:37.271]  Don't forget to check out my new film in the Alex Jones store.
[03:20:38.613 --> 03:20:39.494]  Art of the insult.
[03:20:39.494 --> 03:20:41.455]  Trump, the art of the insult.
[03:20:41.455 --> 03:20:43.797]  We're going to be taking calls later today.
[03:20:43.797 --> 03:20:45.017]  You might want to start dialing.
[03:20:45.017 --> 03:20:52.503]  It's going to be a very famous guest, Hollywood icon, writer and director Lionel Chetwin coming up in a few minutes.
[03:20:52.503 --> 03:21:05.992]  We're going to talk about Harvey Weinstein and the liberal bias in Hollywood, what it's all about from the iconic director who's been telling stories of freedom and the American way for many, many years, right in the heart of liberal Hollywood.
[03:21:06.773 --> 03:21:12.358]  The phone number is going to be 1-877-789-2539.
[03:21:12.358 --> 03:21:16.741]  That's 1-877-789-ALEX.
[03:21:16.741 --> 03:21:22.405]  Now before we bring up Lionel Chetwynd, I want to talk about what is now known as Spygate.
[03:21:22.405 --> 03:21:34.475]  All this time, we find out, after all this time, that the Department of Justice, the FBI, CIA orchestrated an effort to steal the election for Obama's party, the Radical Socialist Democrats.
[03:21:35.592 --> 03:21:42.195]  And keep Hillary in office so that Obama's fundamental transformation of America could be complete.
[03:21:42.195 --> 03:21:46.938]  Now what people are not talking about is that Spygate is nothing new.
[03:21:46.938 --> 03:21:50.279]  People forget that Obama did it back in 2012.
[03:21:50.279 --> 03:21:55.162]  He stole the election using government agencies, using the IRS.
[03:21:55.162 --> 03:22:02.125]  Let's take a quick look at the video of Obama talking about IRS interference and let's see if we can see if he's lying.
[03:22:02.125 --> 03:22:02.706]  Let's take a look.
[03:22:06.600 --> 03:22:19.830]  If IRS personnel engaged in the kind of practices that have been reported on and were intentionally targeting conservative groups, then that's outrageous.
[03:22:19.830 --> 03:22:22.452]  They have to be held fully accountable.
[03:22:22.452 --> 03:22:28.457]  You don't want the IRS ever being perceived
[03:22:29.210 --> 03:22:33.713]  To be biased and anything less than neutral in terms of how they operate.
[03:22:33.713 --> 03:22:40.457]  I will not tolerate it and we will make sure that we find out exactly what happened on this.
[03:22:40.457 --> 03:22:44.079]  Okay, so gee, do you think maybe Obama is lying through his teeth and he knew about it?
[03:22:44.079 --> 03:22:48.922]  The head of the IRS visited the White House 500 times.
[03:22:48.922 --> 03:22:52.084]  Lois Lerner pleads the fifth.
[03:22:52.084 --> 03:22:54.685]  So this has been going on for years.
[03:22:54.685 --> 03:22:57.627]  And this is the way that Obama operated his police state.
[03:22:58.374 --> 03:23:10.697]  It wasn't that five guys at the FBI and my old high school friend Bruce Orr, that I went to high school with, they didn't wake up and say, hey, let's commit a bunch of felonies and treason and we'll try to get Hillary elected.
[03:23:10.697 --> 03:23:13.418]  This was years of police state activity.
[03:23:13.418 --> 03:23:15.679]  It was a natural thing for Obama.
[03:23:15.679 --> 03:23:25.622]  Fast and Furious, spying on the Associated Press, spying on Fox News' James Rosen, John Brennan, the CIA, spying on the Senate Committee, Intelligence Committee.
[03:23:27.734 --> 03:23:35.580]  People remember that, look, after two years of Obama, from 2008 to 2010, the public knew they'd been had.
[03:23:35.580 --> 03:23:38.102]  This guy was not who he says he was.
[03:23:38.102 --> 03:23:41.184]  His agenda was not what he said it would be.
[03:23:41.184 --> 03:23:43.506]  He was not going to cut the deficit in half.
[03:23:43.506 --> 03:23:47.529]  It was not the most transparent government in history.
[03:23:47.529 --> 03:23:49.891]  They could see he was pro-Russia, pro-Iranian,
[03:23:52.539 --> 03:23:54.301]  Muslim extremist groups.
[03:23:54.301 --> 03:23:56.543]  So the Tea Party movement arose across the country.
[03:23:56.543 --> 03:24:04.630]  They swept the Democrats out of power in 2010 and they were poised to easily remove Obama in 2012 to get rid of him.
[03:24:04.630 --> 03:24:08.233]  The public knew he had lied about everything.
[03:24:08.233 --> 03:24:09.994]  So Obama used the police state.
[03:24:09.994 --> 03:24:13.758]  He used the IRS to crush the conservative Tea Party movement.
[03:24:13.758 --> 03:24:18.222]  They couldn't organize for the 2012 election while the left was allowed to organize.
[03:24:18.222 --> 03:24:19.763]  And that's all we actually even know about.
[03:24:20.780 --> 03:24:24.583]  So, by comparison, let me tell you what a police state is.
[03:24:24.583 --> 03:24:27.766]  I experienced it when I visited Russia in 1983.
[03:24:27.766 --> 03:24:30.048]  This was the height of the Cold War.
[03:24:30.048 --> 03:24:35.012]  Andropov was the former head of the KGB, was president of the Soviet Union.
[03:24:35.012 --> 03:24:39.896]  And I went on a tour of Russia, and I also visited families who were trying to leave Russia.
[03:24:39.896 --> 03:24:45.080]  And the first thing you notice when you get into Soviet Communist Russia is it's like backwards world.
[03:24:45.080 --> 03:24:46.581]  There's no food.
[03:24:46.581 --> 03:24:48.483]  Even if you have money, there's nothing to buy.
[03:24:48.483 --> 03:24:49.444]  The stores are empty.
[03:24:50.290 --> 03:24:58.578]  There's only one model of a car with four different colors, and it's like a horror movie from 1984, you know, Orwell.
[03:24:58.578 --> 03:24:59.759]  And everything is opposite.
[03:24:59.759 --> 03:25:02.581]  The Russian media says everything the opposite of the truth.
[03:25:02.581 --> 03:25:03.963]  Communism is great.
[03:25:03.963 --> 03:25:05.744]  Free markets are bad.
[03:25:05.744 --> 03:25:07.646]  America is oppressive.
[03:25:07.646 --> 03:25:10.168]  Americans are starving to death.
[03:25:10.168 --> 03:25:13.992]  So the Russian media and the communist officials, all they did was lie.
[03:25:14.702 --> 03:25:22.749]  Now, this kind of reminds you of the mainstream media today, Adam Schiff, Chuck Schumer, when they move their lips, they're lying.
[03:25:22.749 --> 03:25:24.030]  Now, what happened to me in Russia?
[03:25:24.030 --> 03:25:29.454]  When I arrived at the airport, I got held for 12 hours and questioned all night long because I was an American.
[03:25:29.454 --> 03:25:38.201]  I was followed around by, I don't know who, militia, as I walked around Moscow and Leningrad, as I visited different families.
[03:25:38.201 --> 03:25:39.242]  When I took a taxi,
[03:25:39.969 --> 03:25:44.433]  Two guys followed in a red car and I was visiting someone who was arrested.
[03:25:44.433 --> 03:25:47.515]  Now this was the police state.
[03:25:47.515 --> 03:25:48.716]  Now what happened to me in 2012?
[03:25:48.716 --> 03:25:50.818]  Can you believe it's America?
[03:25:50.818 --> 03:25:52.119]  I flew into Washington D.C.
[03:25:52.119 --> 03:25:56.803]  for CPAC and I was told not to get off the plane by the co-pilot.
[03:25:56.803 --> 03:25:59.165]  Four police officers come and escort me off the plane.
[03:25:59.165 --> 03:26:04.750]  They asked me about my films that I produced and I kind of just laughed and they eventually let me go.
[03:26:04.750 --> 03:26:05.851]  The next time I'm in D.C.
[03:26:06.914 --> 03:26:14.516]  The Capitol Police follow me when I leave my hotel, the car, and pull me over, check my ID, and let me go.
[03:26:14.516 --> 03:26:19.918]  The IRS opens a five-year-old tax returns and denies all my business expenses.
[03:26:19.918 --> 03:26:23.899]  A leftist reporter working for George Soros hacks my bank account.
[03:26:23.899 --> 03:26:35.423]  So, people that have been opposing Obama and revealing the truth, Dinesh D'Souza, others, we've experienced the police state not too much different from my 1983 visit
[03:26:37.304 --> 03:26:39.385]  To the Soviet Union.
[03:26:39.385 --> 03:26:48.611]  Does anybody really believe that if Hillary had been elected, 10,000 votes in a couple of swing states, that there would ever be another free election?
[03:26:48.611 --> 03:26:51.632]  Now in a police state, if you go along with the program, you don't have a problem.
[03:26:51.632 --> 03:26:52.853]  No problem.
[03:26:52.853 --> 03:27:04.300]  But if you oppose socialism, if you say this isn't working out, the economy is crashing, all the inner cities are getting worse, if you point out their hypocrisy, the police state comes after you.
[03:27:05.214 --> 03:27:09.736]  So we're seeing the last vestiges of the police state.
[03:27:09.736 --> 03:27:23.143]  Obama did everything he could to stay in power in 2012, and he used the entire tools of state, FBI, DOJ, and they're still not finished with it with this special counsel.
[03:27:23.143 --> 03:27:28.806]  And their goal is to restore the Democrat police state, because Democrat and liberal policies don't work.
[03:27:28.806 --> 03:27:31.128]  Socialism does not work.
[03:27:31.128 --> 03:27:33.329]  The only way they can maintain power in history
[03:27:34.062 --> 03:27:44.291]  Is to use force, whether it's the government agencies, the gulag, the actual police to haul you off of airplanes.
[03:27:44.291 --> 03:27:56.000]  And I don't know that anyone completely understands, and everyone should understand, how close the United States as a republic, as a constitutional government, came to coming to a permanent end.
