[00:00:07.177 --> 00:00:12.481]  He aligns himself with the truth and it's time for you to choose a side.
[03:02:35.864 --> 03:02:38.447]  Oh, we've got a reporter on the ground.
[03:02:38.447 --> 03:02:40.330]  Most of them are basically libertarian.
[03:02:40.330 --> 03:02:43.253]  They're open-minded or they're pro-Gein, but they're all scared.
[03:02:43.253 --> 03:02:45.176]  They've been told, don't go on television.
[03:02:46.348 --> 03:02:47.268]  Well there you go.
[03:02:47.268 --> 03:02:57.931]  They have who they want and we were the first ones to break that this kid, the hog individual, was his father's an FBI.
[03:02:57.931 --> 03:03:01.691]  Of course we know that the FBI screwed up completely with this story.
[03:03:01.691 --> 03:03:06.132]  The FBI said they couldn't identify the shooter when they were tipped off by a YouTuber.
[03:03:06.132 --> 03:03:08.593]  And we know that's absolutely a lie because
[03:03:09.914 --> 03:03:13.276]  This shooter used his real name on YouTube.
[03:03:13.276 --> 03:03:15.597]  He used his real name on Instagram.
[03:03:15.597 --> 03:03:19.539]  This Nicholas Cruz, and he spelled it with a K. I could have found it in three minutes.
[03:03:19.539 --> 03:03:22.501]  You could have found it in four minutes.
[03:03:22.501 --> 03:03:23.321]  Or two.
[03:03:23.321 --> 03:03:26.063]  But it was out there.
[03:03:26.063 --> 03:03:29.485]  But they didn't want to find this guy.
[03:03:29.485 --> 03:03:30.246]  They didn't look for him.
[03:03:30.246 --> 03:03:31.646]  And then we saw what happened.
[03:03:31.646 --> 03:03:32.667]  And now they're blaming guns.
[03:03:32.667 --> 03:03:33.928]  It's just nonsense.
[03:03:33.928 --> 03:03:36.509]  Anyway, this hog, his father's with the FBI.
[03:03:38.390 --> 03:03:45.556]  We see that this video that they've taken down now off of YouTube, you can't find it, where it looks like he's practicing his lines.
[03:03:45.556 --> 03:03:47.658]  So, and we're being demonized.
[03:03:47.658 --> 03:03:52.982]  Oh, that's the big one you just hit, is they're pulling photos, videos at CNN, CBS.
[03:03:52.982 --> 03:03:59.828]  There's an act of expungement, not just of Pig Hoggy, but all these people.
[03:03:59.828 --> 03:04:03.131]  Did you just call him Pig Hoggy?
[03:04:03.131 --> 03:04:04.532]  Not on purpose, I was trying to remember his name.
[03:04:06.452 --> 03:04:07.653]  I mean, sure, it's respect to him.
[03:04:07.653 --> 03:04:09.254]  No, uh, his name's Hogg.
[03:04:09.254 --> 03:04:09.974]  It's easy.
[03:04:09.974 --> 03:04:10.235]  Why?
[03:04:10.235 --> 03:04:14.918]  It was a pleasing slip of the tongue, that's all.
[03:04:14.918 --> 03:04:15.158]  Piglet!
[03:04:20.444 --> 03:04:23.505]  He's, he's, he's George Soros' piglet.
[03:04:23.505 --> 03:04:24.766]  Like a little dropping.
[03:04:24.766 --> 03:04:25.686]  Come on, you know.
[03:04:25.686 --> 03:04:26.686]  Poke him and he squeals.
[03:04:26.686 --> 03:04:28.427]  Soros is like waddling along.
[03:04:28.427 --> 03:04:29.367]  Poke him and he squeals.
[03:04:29.367 --> 03:04:30.248]  Gun control!
[03:04:30.248 --> 03:04:30.888]  Gun control!
[03:04:30.888 --> 03:04:40.332]  Alright, we're going to come back in 60 seconds with the head of GP, the mighty Gateway Pundit, who does have a lot of courage to point out the obvious.
[03:04:40.332 --> 03:04:43.653]  Got a bunch of scripted kids up there in the drama department and media department.
[03:04:44.173 --> 03:04:46.376]  Who are just scripted and have been chosen to be the PR people.
[03:04:46.376 --> 03:04:47.837]  We're not saying the shooting didn't happen.
[03:04:47.837 --> 03:04:49.359]  We're not saying they're crisis actors.
[03:04:49.359 --> 03:04:53.684]  We're saying these are the scripted people being forced down our throats here.
[03:04:55.307 --> 03:04:56.108]  I'm so excited.
[03:04:56.108 --> 03:05:06.254]  The new product at m4warslife.com, in a glass bottle, two-month servings, filled to the brim, filled to the absolute top, the real red pill.
[03:05:06.254 --> 03:05:14.760]  This is a heart and brain pill, a nootropic that doesn't have any stimulants in it, but boy does it stimulate, because it's beyond that.
[03:05:14.760 --> 03:05:23.546]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200.
[03:05:25.627 --> 03:05:33.849]  For the formulae, and I came up with our own formula, working with some scientists and developers, non-GMO, made right here in America, 120 capsules.
[03:05:33.849 --> 03:05:45.232]  And ladies and gentlemen, you add the preglanone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[03:05:45.232 --> 03:05:47.893]  It is amazing!
[03:05:47.893 --> 03:05:52.854]  Red Pilt, now available at InfoWarsStore.com, and your purchase fugs the operation.
[03:06:07.799 --> 03:06:12.725]  From the front lines of the Information War, it's Alex Jones.
[03:06:16.883 --> 03:06:17.864]  We are back.
[03:06:17.864 --> 03:06:19.124]  This is InfoWars.
[03:06:19.124 --> 03:06:27.088]  I'm here with my intrepid reporter and His Imperial Majesty, Jim Hoft of Gateway Pundit.
[03:06:27.088 --> 03:06:31.370]  We're blessed and grateful he can stay with us for another 10 minutes.
[03:06:31.370 --> 03:06:33.791]  Let's see what he can get accomplished in that time.
[03:06:33.791 --> 03:06:36.513]  I, by the way, could have found out that information you were mentioning in 6.72 minutes.
[03:06:39.654 --> 03:06:41.315]  No, seriously though.
[03:06:41.315 --> 03:06:42.895]  Hey, what about this, Jim?
[03:06:42.895 --> 03:06:46.777]  No one I know, people are getting mad at me that I'm not saying it's totally fake.
[03:06:46.777 --> 03:06:50.218]  People go, is this like an after-school special?
[03:06:50.218 --> 03:06:51.939]  I mean, no one is buying it.
[03:06:51.939 --> 03:06:55.900]  And then CNN blames the president or Donald Trump Jr.
[03:06:55.900 --> 03:07:00.182]  when these kids are in drama, they're on TV, their parents are anti-gun.
[03:07:00.182 --> 03:07:02.823]  They're the only ones being force-fed everywhere.
[03:07:02.823 --> 03:07:05.204]  We know a PR rollout when we're seeing it.
[03:07:05.204 --> 03:07:07.305]  I don't know the whole truth of what happened.
[03:07:07.305 --> 03:07:07.905]  I just know
[03:07:08.385 --> 03:07:11.310]  That we are being fed something as phony as a $3 bill, what do you say?
[03:07:14.073 --> 03:07:21.675]  Before, Alex, we saw this with the 9-11 widows that they propped up and brought out and wanted to push policy with the widows.
[03:07:21.675 --> 03:07:24.596]  And now we're seeing this with the children from this shooting.
[03:07:24.596 --> 03:07:25.716]  And God bless them.
[03:07:25.716 --> 03:07:27.416]  I'm glad that they're OK.
[03:07:27.416 --> 03:07:29.037]  It's a horrible tragedy.
[03:07:29.037 --> 03:07:38.239]  But they're obviously used by, you know, there's already we've linked them to some Soros groups who are behind these marches and these protests that are being planned.
[03:07:38.679 --> 03:07:41.723]  And so, we know it's complete astroturf.
[03:07:41.723 --> 03:07:46.207]  And the fact that we pointed out then, it's a tactic of the left.
[03:07:46.207 --> 03:07:50.232]  Then they come at us completely like we hate children or something.
[03:07:50.232 --> 03:07:54.977]  And we're just pointing out the obvious and, you know, thank God a lot of Americans agree with us.
[03:07:54.977 --> 03:07:55.838]  They see what's happening.
[03:07:56.358 --> 03:08:02.563]  Well, yeah, you can't use young adults because, you know, they call 25, as they say, is the new 13 under arrest for development.
[03:08:02.563 --> 03:08:06.646]  You can't take high school seniors and shove them out in a political war saying, turn all your guns in.
[03:08:06.646 --> 03:08:08.447]  And people start breaking their guns.
[03:08:08.447 --> 03:08:09.268]  I agree.
[03:08:09.268 --> 03:08:16.293]  Oh, you know, some of us aren't going to sit there and, like, throw our guns out the window just because, you know, they put these people on air going,
[03:08:16.653 --> 03:08:17.873]  Never one more death!
[03:08:17.873 --> 03:08:21.914]  Well, what about all the Islamists' deaths or all the rest of it?
[03:08:21.914 --> 03:08:23.034]  Where do you see this going?
[03:08:23.034 --> 03:08:29.776]  I see free speech panel at CPAC cancelled by Pamela Geller after Gateway Pundit Jim Hoff banned.
[03:08:29.776 --> 03:08:38.158]  I mean, it's like the hysteria firing congressman's assistants because they said these kids look as phony as a three dollar bill.
[03:08:38.158 --> 03:08:40.258]  They are so scared of us even questioning their narrative.
[03:08:41.178 --> 03:08:42.660]  Right.
[03:08:42.660 --> 03:08:44.201]  It's unbelievable, really.
[03:08:44.201 --> 03:08:49.167]  And so I get to join Milo's group, and it's an exclusive group.
[03:08:49.167 --> 03:08:51.730]  The CPAC Exile Club.
[03:08:51.730 --> 03:08:53.432]  Right.
[03:08:53.432 --> 03:08:54.032]  And you know what?
[03:08:54.032 --> 03:08:55.514]  We have an article about these kids.
[03:08:57.526 --> 03:09:12.899]  That was the last straw, but I have to tell you guys that what I heard before this was that we had planned this panel, and it's very important because you know, Milo certainly knows, that conservatives are being targeted on social media.
[03:09:12.899 --> 03:09:13.659]  We're being banned.
[03:09:13.659 --> 03:09:14.660]  We're being shadow banned.
[03:09:14.660 --> 03:09:15.381]  We're being blocked.
[03:09:15.381 --> 03:09:17.583]  We're being kicked off like Milo.
[03:09:17.583 --> 03:09:19.244]  And we all know this.
[03:09:19.244 --> 03:09:20.065]  It's very important.
[03:09:20.065 --> 03:09:21.186]  They're trying to shut us down.
[03:09:21.186 --> 03:09:23.027]  They're trying to shut down the voices.
[03:09:23.027 --> 03:09:24.628]  So we organized this panel.
[03:09:24.628 --> 03:09:26.310]  Pamela Geller did a lot of work.
[03:09:26.790 --> 03:09:29.291]  She actually, I'm just going to break some news here.
[03:09:29.291 --> 03:09:32.173]  Pamela planned this for six months.
[03:09:32.173 --> 03:09:35.234]  She was begging CPAC to do this panel.
[03:09:35.234 --> 03:09:42.538]  They finally gave her the approval on Monday night after the agenda was already written up so that her name couldn't be on this agenda.
[03:09:42.538 --> 03:09:43.378]  That's what I believe.
[03:09:44.058 --> 03:09:45.579]  I absolutely agree with that.
[03:09:45.579 --> 03:09:46.319]  I absolutely agree with that.
[03:09:46.319 --> 03:09:49.741]  I've seen them in operation myself.
[03:09:49.741 --> 03:09:53.843]  The funders, by the way, are always in the meeting room when you go in to talk to CPAC.
[03:09:53.843 --> 03:09:54.944]  They wanted a meeting with me.
[03:09:54.944 --> 03:09:56.004]  They wanted me to be a headliner.
[03:09:56.004 --> 03:10:01.187]  And what it is, is corporations wanting to control your speech to get entree into their BS.
[03:10:01.187 --> 03:10:03.108]  This is just one more level of the censorship.
[03:10:03.188 --> 03:10:13.073]  Well, CPAC people sometimes don't realize because it has the false reputation for being a sort of younger, livelier, cooler bit of the conservative movement.
[03:10:13.073 --> 03:10:16.054]  Actually, it's run by, you know... Crip Keepers up on top!
[03:10:16.054 --> 03:10:17.255]  Well, it is run by Crip Keepers.
[03:10:17.255 --> 03:10:25.579]  It's run by the oldest of the oldest of the oldest school, Evangelical Republican Old Guard, you know, and they just regularly just
[03:10:26.019 --> 03:10:28.282]  Dip in and nuke things that they don't like the look of.
[03:10:28.282 --> 03:10:33.127]  You know, this is establishment Republicans behaving just as badly to Jim, to Pamela, and previously to me.
[03:10:33.127 --> 03:10:40.055]  Oh, they're our biggest, these scared establishment Republicans, like, I'm the mean CNN said something bad.
[03:10:40.055 --> 03:10:41.737]  Oh, get rid of them.
[03:10:41.737 --> 03:10:43.720]  That's the only thing holding this up.
[03:10:43.720 --> 03:10:45.482]  We get rid of these people, we'll take the country back.
[03:10:45.802 --> 03:10:49.185]  No, I mean look, Pamela Geller is a hero for Garland, Texas.
[03:10:49.185 --> 03:10:49.985]  Of course she is.
[03:10:49.985 --> 03:10:52.387]  She's a free speech icon.
[03:10:52.387 --> 03:10:53.568]  I published her last book.
[03:10:53.568 --> 03:11:00.913]  We were the first publishers to put the winning cartoon from Garland, which is so mild-mannered, really, in a book.
[03:11:00.913 --> 03:11:03.175]  All the rest of it, I've been hearing her as you have, Jim.
[03:11:03.175 --> 03:11:05.777]  Telling the truth in a world of universal deceit, right?
[03:11:05.777 --> 03:11:06.678]  Exactly.
[03:11:06.678 --> 03:11:13.563]  I've been hearing her tell me, Jim, like she's been telling you, like she's been trying to put this panel together because CPAC's been pretending she doesn't exist for three years.
[03:11:13.643 --> 03:11:15.844]  You know where?
[03:11:15.844 --> 03:11:21.007]  We rung the young boys to come in and we let them play.
[03:11:21.007 --> 03:11:22.428]  It's a fake news panel.
[03:11:22.428 --> 03:11:24.328]  It's about free speech.
[03:11:24.328 --> 03:11:32.012]  And because Gateway Pundit exercised their First Amendment rights to report something everybody knows is true, they banned it right back.
[03:11:32.012 --> 03:11:34.053]  Here's the actors, they roll out these four.
[03:11:34.053 --> 03:11:37.175]  Hey, let's bring in Owen Troyer here, who's like, hey, you want Jim Houghton?
[03:11:37.175 --> 03:11:38.696]  I go, well, he's trying to get Jim Houghton.
[03:11:38.696 --> 03:11:39.596]  Yeah, let's get him on.
[03:11:39.596 --> 03:11:41.297]  So what is your take on this, Owen?
[03:11:41.297 --> 03:11:42.278]  And then other key points here.
[03:11:42.938 --> 03:11:52.600]  Well, now you have, as you mentioned earlier, state representatives are firing their aides for calling the student activists actors, even though it's a fact.
[03:11:52.600 --> 03:11:53.880]  They're in the drama club.
[03:11:53.880 --> 03:11:58.761]  We have them being posted in social media pictures from the drama club.
[03:11:58.761 --> 03:12:01.061]  We have them on the set of CNN desks.
[03:12:01.061 --> 03:12:02.281]  We have them celebrating.
[03:12:02.281 --> 03:12:03.322]  Oh, look at me.
[03:12:03.322 --> 03:12:07.402]  Honestly, it kind of feels like a very narcissistic thing seeing these people.
[03:12:07.402 --> 03:12:09.923]  What about all the smiling and giggling and laughing?
[03:12:09.923 --> 03:12:11.323]  Like, our friends all got killed!
[03:12:11.903 --> 03:12:14.625]  We're on TV!
[03:12:14.625 --> 03:12:16.786]  And I'm not, I mean, it's like, how dare you attack the victims?
[03:12:16.786 --> 03:12:19.348]  No, I'm like, shouldn't they be acting more solemn?
[03:12:19.348 --> 03:12:22.190]  Well, you know, they say poachers make the best gamekeepers.
[03:12:22.190 --> 03:12:22.970]  You know that expression?
[03:12:22.970 --> 03:12:23.150]  Yes.
[03:12:23.150 --> 03:12:28.594]  Well, I can tell you, as a professional narcissist, that that's exactly what's going on with these kids.
[03:12:28.594 --> 03:12:35.038]  I can give you my expert insight into narcissism and tell you that there's, you know, the particular kind of, like, weird
[03:12:35.818 --> 03:12:42.963]  Uh, funless, rictus grin, um, you know, smugness of it all is exactly what you would expect.
[03:12:42.963 --> 03:12:46.205]  It is very sinister and I, you know, it just, everything sinks about it.
[03:12:46.205 --> 03:12:47.166]  It just does.
[03:12:47.166 --> 03:12:51.889]  Well, Jim, we want to get you back for a full hour soon to talk about everything that's happening at Gateway Pundit Land.
[03:12:53.289 --> 03:12:56.470]  We'll have champagne and caviar and a red carpet for you next time.
[03:12:56.470 --> 03:13:00.552]  I'm not just saying this to declare victory.
[03:13:00.552 --> 03:13:04.613]  No one is buying anything anymore that the establishment says.
[03:13:04.613 --> 03:13:12.615]  I think there probably really was a shooting here and it's terrible, but the aliens who landed in Central Park and no one would believe it if the media said it.
[03:13:12.615 --> 03:13:14.976]  Your comment, Owen, you're going to keep going with us the next segment.
[03:13:17.134 --> 03:13:18.454]  Oh, yeah, absolutely.
[03:13:18.454 --> 03:13:26.417]  And it's a shame that CPAC decided to take marching orders from Chelsea Clinton, who tweeted against us yesterday.
[03:13:26.417 --> 03:13:30.118]  And then by that evening, we're getting kicked off of CPAC.
[03:13:30.118 --> 03:13:32.999]  So I blame Chelsea Clinton for all of this.
[03:13:32.999 --> 03:13:35.560]  By the way, can we come back with the billy goat clip?
[03:13:35.560 --> 03:13:39.501]  The FBI calls her the billy goat, even her own supporters.
[03:13:39.501 --> 03:13:46.563]  You know, Republicans craving the approval of the left is at the heart of almost every problem this country has.
[03:13:47.103 --> 03:14:02.049]  It is craving, because it's, I'm not being mean to old people, a lot of old folks are great, but the old people that believe mainstream media, they still go, it was on, I saw it on the Fox, CNN, are you in the media?
[03:14:02.049 --> 03:14:08.711]  That's a nice vision into what you'll be like in 15 years.
[03:14:08.711 --> 03:14:10.352]  Jim, seriously though, where is this all going?
[03:14:11.742 --> 03:14:14.704]  Uh, well, I'm glad it's getting a little pressed today.
[03:14:14.704 --> 03:14:19.626]  I'm glad, you know, that I have people out there who support me still like Pamela Geller.
[03:14:19.626 --> 03:14:20.907]  I mean, it's amazing.
[03:14:20.907 --> 03:14:22.708]  They told her that they didn't want me on the panel.
[03:14:22.708 --> 03:14:24.889]  She said, well, then you're canceling the panel.
[03:14:24.889 --> 03:14:26.250]  They said, no, we're not canceling the panel.
[03:14:26.250 --> 03:14:28.531]  She said, yeah, you are, because I'm not going to go on without Jim Hough.
[03:14:28.991 --> 03:14:39.581]  So I have total respect for Pamela Geller and for people like Pam who are sticking up for their friends and cohorts and doing the right thing.
[03:14:39.581 --> 03:14:44.907]  Jim Hoff said they were Democrat operatives and were like, look, scripted.
[03:14:44.907 --> 03:14:49.191]  I mean, they're all, you can't, all CNN will get mad at me.
[03:14:50.111 --> 03:14:51.152]  Saturday night, Jim.
[03:14:51.152 --> 03:15:01.078]  I'm headlining an event for Mike Cernovich with Stefan Molyneux, so I'm sure if you get in touch with Mike, perhaps we can restage the panel.
[03:15:01.078 --> 03:15:12.405]  You know, when there's UN conferences, if you can't get into the secret, special inner circle of the UN, you have these things called side events or whatever, like the unofficial... You should call it the CPAC reject event.
[03:15:12.405 --> 03:15:13.386]  CPAC reject?
[03:15:13.386 --> 03:15:15.727]  Too dangerous for CPAC.
[03:15:15.727 --> 03:15:16.848]  Too dangerous for CPAC.
[03:15:18.674 --> 03:15:19.815]  It's too hot for CPAC.
[03:15:19.815 --> 03:15:27.477]  Yeah, well, anyway, let's see if we can't get at least Pamela and a couple of people down for that, and we'll see if we can still have the panel.
[03:15:27.477 --> 03:15:30.879]  Hey, look, out of 3,000 students, it's only four people everywhere.
[03:15:30.879 --> 03:15:32.659]  Hey, look, they're all Democratic Party operative kids.
[03:15:32.659 --> 03:15:34.020]  Hey, look, they're all anti-gun.
[03:15:34.020 --> 03:15:37.661]  Hey, look, they're all admittedly actors out scripting stuff.
[03:15:37.661 --> 03:15:38.841]  Oh, ban that!
[03:15:38.841 --> 03:15:41.502]  My intention!
[03:15:41.502 --> 03:15:41.642]  Ban!
[03:15:43.610 --> 03:15:46.091]  The CNN will attack me!
[03:15:46.091 --> 03:15:49.573]  All right, Jim Hoppe, look forward to having you back up soon from Gateway Pond in downtown.
[03:15:49.573 --> 03:15:51.535]  They have been such a friend to InfoWars.
[03:15:51.535 --> 03:15:52.855]  They have been so sweet to us.
[03:15:52.855 --> 03:15:53.656]  We'll be right back.
[03:15:53.656 --> 03:15:58.759]  The answer to being in control of your own health care is freedom from insurance.
[03:15:58.759 --> 03:16:04.462]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[03:16:04.462 --> 03:16:06.723]  Individual share amounts begin at $107 a month and $347 for families.
[03:16:09.645 --> 03:16:11.608]  Choose from three health sharing programs.
[03:16:11.608 --> 03:16:13.971]  Holistic treatments may be eligible for sharing.
[03:16:13.971 --> 03:16:14.933]  See guidelines.
[03:16:14.933 --> 03:16:18.217]  Discount programs available for dental, vision, and pharmacy.
[03:16:18.217 --> 03:16:20.160]  Go to LibertyOnCall.org.
[03:16:20.160 --> 03:16:21.722]  That's LibertyOnCall.org.
[03:16:23.416 --> 03:16:25.318]  Fully cooked, ready-to-eat bacon.
[03:16:25.318 --> 03:16:28.540]  I'm talking thick, meaty, center-cut, presidential bacon.
[03:16:28.540 --> 03:16:30.141]  Savory and delicious.
[03:16:30.141 --> 03:16:32.964]  I buy some, I use some, I store some.
[03:16:32.964 --> 03:16:33.644]  Awesome.
[03:16:33.644 --> 03:16:36.727]  No refrigeration needed with a 10-year shelf life.
[03:16:36.727 --> 03:16:38.288]  NASA PAC Technology.
[03:16:38.288 --> 03:16:38.909]  Bacon.
[03:16:38.909 --> 03:16:43.072]  Fully cooked, fully hydrated, ready-to-eat right from the pack bacon.
[03:16:43.072 --> 03:16:44.513]  Or warm and served.
[03:16:44.513 --> 03:16:46.555]  Life-saving, ready-to-eat bacon.
[03:16:46.555 --> 03:16:48.496]  10-year shelf life bacon.
[03:16:48.496 --> 03:16:51.278]  Ships free at FullyCookedBacon.com.
[03:16:51.278 --> 03:16:52.580]  FullyCookedBacon.com.
[03:16:53.680 --> 03:16:55.641]  Heart disease is on the rise.
[03:16:55.641 --> 03:17:00.943]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[03:17:00.943 --> 03:17:02.543]  But the symptoms are there.
[03:17:02.543 --> 03:17:10.887]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[03:17:10.887 --> 03:17:16.569]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[03:17:16.749 --> 03:17:18.570]  My blood pressure has normalized.
[03:17:18.570 --> 03:17:20.751]  My diabetes has totally improved.
[03:17:20.751 --> 03:17:25.254]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[03:17:25.254 --> 03:17:27.435]  I recommend Heart and Body Extract to everyone.
[03:17:27.435 --> 03:17:35.279]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[03:17:35.339 --> 03:17:37.802]  Order your two-month supply today by calling 866-295-5305.
[03:17:37.802 --> 03:17:38.142]  That's 866-295-5305.
[03:17:38.142 --> 03:17:39.944]  Or order online at HBextract.com.
[03:17:39.944 --> 03:17:41.907]  Heart and Body Extract, 866-295-5305.
[03:17:41.907 --> 03:17:42.728]  Or HBextract.com.
[03:17:54.611 --> 03:17:59.013]  Fuel your body with Carnivore, the new digestive enzyme product by InfoWars Life.
[03:17:59.013 --> 03:18:07.096]  Digestive enzymes assist in the digestion process and increase the bioavailability of nutrients by breaking down foods into easily absorbable components.
[03:18:07.096 --> 03:18:12.398]  They also help prevent discomfort from indigestion caused by fermentation of undigested food particles in the gut.
[03:18:12.398 --> 03:18:14.919]  Digestive enzyme production declines as we age.
[03:18:14.919 --> 03:18:19.141]  Carnivore is filled with digestive enzymes like those naturally present in the body.
[03:18:19.141 --> 03:18:21.582]  Enjoy the full potential of protein-rich foods again.
[03:18:22.262 --> 03:18:29.504]  You can eat protein-heavy foods now, while minimizing the later indigestion and discomfort commonly associated with high-meat diets.
[03:18:29.504 --> 03:18:37.567]  Just one pill with every high-protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[03:18:37.567 --> 03:18:44.749]  Carnivore also contains digestive enzymes to help digest fats and carbohydrates, so you can fully digest all types of meals.
[03:18:44.749 --> 03:18:46.229]  Don't let a meal go to waste.
[03:18:46.229 --> 03:18:48.030]  Use Carnivore by InfoWars Life.
[03:18:48.850 --> 03:18:52.333]  Head to Infowarslife.com and secure your bottle now.
[03:18:52.333 --> 03:18:54.595]  That's Infowarslife.com.
[03:18:54.595 --> 03:18:58.078]  Infowarslife is bringing you a breakthrough in modern medicine.
[03:18:58.078 --> 03:19:09.588]  We have found extraordinary new natural way to help alleviate seasonal distress symptoms including promoting clear nasal and sinus passageways, eye comfort and respiratory health and normal breathing.
[03:19:09.588 --> 03:19:10.468]  This is pollen blood.
[03:19:11.589 --> 03:19:24.137]  The 1960s researchers in France noticed that people who ate certain quail eggs from specific farms experienced less seasonal distress symptoms like runny nose, itchy watery eyes, and excessive mucus production.
[03:19:24.137 --> 03:19:27.999]  They began studying the effects in published trials, in their published trials,
[03:19:28.459 --> 03:19:32.941]  Now we are introducing the fruit of the research, a fast-acting chewable tablet.
[03:19:32.941 --> 03:19:43.026]  Just chew two tablets at the first sign of seasonal distress, and fast-acting pollen block starts working in about 15 minutes to help alleviate seasonal distress.
[03:19:43.026 --> 03:19:46.168]  Enjoy the air you breathe naturally with fast-acting pollen block.
[03:19:46.168 --> 03:19:50.410]  Available now at InfoWarsLife.com or by calling toll-free, 888-253-3139.
[03:19:57.772 --> 03:20:00.388]  You're listening to The Alex Jones Show.
[03:20:18.576 --> 03:20:20.097]  Welcome back.
[03:20:20.097 --> 03:20:25.701]  I am our temporary host for the Alex Jones Show with my intrepid chief investigative reporter.
[03:20:25.701 --> 03:20:26.362]  You're doing a great job.
[03:20:26.362 --> 03:20:27.903]  I can't wait till you're hosting.
[03:20:27.903 --> 03:20:29.864]  If you're up to it, you could fill in hosting stuff.
[03:20:29.864 --> 03:20:31.025]  I want you to be hosting every day.
[03:20:31.025 --> 03:20:34.468]  We're going to go basically 20 hours a day live very soon.
[03:20:34.468 --> 03:20:36.990]  We're launching a bunch of TV satellites that are actually already up.
[03:20:36.990 --> 03:20:37.630]  I'd say they're launched.
[03:20:37.630 --> 03:20:38.831]  We're about to announce it.
[03:20:38.831 --> 03:20:40.432]  A lot of TV stations are already picking it up.
[03:20:40.432 --> 03:20:41.333]  Big, big things happening.
[03:20:41.333 --> 03:20:43.795]  Because Beck wanted his own channel.
[03:20:43.795 --> 03:20:44.435]  No one does that.
[03:20:44.435 --> 03:20:46.597]  You want to target UHF, VHF cable.
[03:20:47.017 --> 03:20:49.698]  And we've already got them by the hundreds lined up.
[03:20:49.698 --> 03:20:52.018]  More than 50 stations already picking us up right now.
[03:20:52.018 --> 03:20:52.999]  That's our big secret.
[03:20:52.999 --> 03:20:54.939]  I hate to kind of brag as the enemy comes after us.
[03:20:54.939 --> 03:20:58.480]  I want to be under the radar, but we can't be under the radar now.
[03:20:58.480 --> 03:21:00.401]  So we're kind of uncloaked to fire here.
[03:21:00.401 --> 03:21:02.061]  Well, I don't hate to brag.
[03:21:02.061 --> 03:21:02.701]  I'm fabulous.
[03:21:02.701 --> 03:21:08.723]  And if you'd like to see more of me, you can visit Dangerous.com slash join to join the Milo Show out Monday to Friday, 4 p.m.
[03:21:08.723 --> 03:21:09.503]  Eastern, 3 p.m.
[03:21:09.503 --> 03:21:09.803]  Central.
[03:21:10.083 --> 03:21:12.444]  But today, it's all about Alex Jones.
[03:21:12.444 --> 03:21:13.945]  Hey, I'm all about your show.
[03:21:13.945 --> 03:21:21.549]  Listen, I want true diversity of ideas, and when in the diversity we agree everybody has the right to say it, and that's America.
[03:21:21.549 --> 03:21:22.689]  I like that diversity.
[03:21:22.689 --> 03:21:23.890]  That's beautiful.
[03:21:23.890 --> 03:21:36.496]  It's not diversity to say, in major universities, I covered this at the start of the show today, a little tape piece this morning, where Purdue says, do not say man, man is a connotation of bad things.
[03:21:36.496 --> 03:21:38.938]  Did aliens write this to convince us we're bad?
[03:21:38.938 --> 03:21:39.518]  But enough of that.
[03:21:39.978 --> 03:21:46.230]  Because we've got the whole rest of the hour left, and we've got Owen Schroer, who's badass, who invited in here, who's coming up in the War Room, I hope you'll join him later.
[03:21:46.230 --> 03:21:47.513]  Who just refused to sit on me.
[03:21:49.684 --> 03:21:55.066]  I said, we don't have an extra chair in here, so he obviously can't sit on your lap, and you said, listen, I'll sit on his lap.
[03:21:55.066 --> 03:21:57.346]  It was a very disappointing exchange.
[03:21:57.346 --> 03:21:58.927]  Well, you are bigger than him.
[03:21:58.927 --> 03:22:00.967]  You're not fat like me, but you're a big guy.
[03:22:00.967 --> 03:22:03.688]  You're a little intimidated there.
[03:22:03.688 --> 03:22:03.888]  Maybe.
[03:22:03.888 --> 03:22:06.049]  He's a svelte little thing, isn't he?
[03:22:06.049 --> 03:22:06.749]  He's a lie.
[03:22:06.749 --> 03:22:07.989]  Let's bunch him up.
[03:22:07.989 --> 03:22:09.410]  It's like Betty LePew.
[03:22:09.410 --> 03:22:09.810]  He's running.
[03:22:11.050 --> 03:22:14.354]  He's a live, svelte, limber little thing.
[03:22:14.354 --> 03:22:16.857]  He's like a soccer player.
[03:22:16.857 --> 03:22:18.619]  He's sinewy.
[03:22:18.619 --> 03:22:23.745]  Milo harasses Owen.
[03:22:23.745 --> 03:22:24.926]  I love it.
[03:22:24.926 --> 03:22:26.969]  I've got some juice on Milo too.
[03:22:26.969 --> 03:22:27.790]  Owen too.
[03:22:27.790 --> 03:22:28.891]  Hashtag Owen too.
