[00:00:00.089 --> 00:00:02.174]  Beijing War on Corruption.
[01:14:08.737 --> 01:14:13.699]  Why do you think the vast majority of the journalists exposed as sex pervs have been lefties?
[01:14:13.719 --> 01:14:19.481]  Because they're ugly, they hate themselves, and are therefore very unsuccessful at attracting women in the normal way.
[01:14:19.561 --> 01:14:23.103]  I mean, the elephant man gets more right swipes on Tinder than Sam Chris.
[01:14:23.403 --> 01:14:24.744]  But Paul, stop being such a bigot.
[01:14:24.784 --> 01:14:26.426]  People are beautiful at any size.
[01:14:26.506 --> 01:14:31.751]  Unless you disagree with their politics, in which case they're an obese tyrant or an emaciated skank.
[01:14:31.971 --> 01:14:35.514]  Unless you digitally remove their makeup and then you all have a meltdown.
[01:14:35.834 --> 01:14:39.457]  Now we cross live to CNN for a special report by me.
[01:14:39.758 --> 01:14:45.122]  Is radical feminism a refuge for fat, ugly women who can't attract high-value men?
[01:14:45.202 --> 01:14:48.165]  The stereotype generally holds true because they look like
[01:14:48.445 --> 01:14:49.466]  Swamp donkeys.
[01:14:49.546 --> 01:14:50.786]  Kind of sad, honestly.
[01:14:50.806 --> 01:14:54.188]  Speaking of CNN, everyone's mad at them for promoting cuckoldry.
[01:14:54.208 --> 01:14:57.911]  But a study in France found that leftists were more likely to be into it.
[01:14:57.931 --> 01:15:03.113]  So CNN's only appealing to its core audience, who in many cases are quite literally cucks.
[01:15:03.594 --> 01:15:04.334]  So there you have it.
[01:15:04.434 --> 01:15:07.356]  It's not my opinion that conservatives are hotter than leftists.
[01:15:07.656 --> 01:15:08.417]  It's science.
[01:15:08.737 --> 01:15:10.618]  It works, bitches.
[01:15:11.994 --> 01:15:14.075]  All right, we're out of time, ladies and gentlemen.
[01:15:14.095 --> 01:15:17.678]  I'm going to come back and play Milo's report that I shot in here Friday that we haven't aired yet.
[01:15:17.698 --> 01:15:21.100]  But just briefly, the crew's reminding me, this is a big operation.
[01:15:21.120 --> 01:15:23.502]  I haven't plugged one time I get so obsessed with the news.
[01:15:23.922 --> 01:15:27.865]  We have great products at InfoWarsLive.com, InfoWarsStore.com.
[01:15:27.885 --> 01:15:29.926]  We have the ultimate turmeric product.
[01:15:30.066 --> 01:15:31.907]  Bodies, 50% off.
[01:15:32.027 --> 01:15:33.008]  It's selling so fast.
[01:15:33.028 --> 01:15:34.449]  I'm going to have to end that special.
[01:15:34.509 --> 01:15:35.730]  BrainForce, 25% off.
[01:15:36.150 --> 01:15:39.492]  Please help support the InfoWars and get great products with our t-shirts, books, videos.
[01:15:39.993 --> 01:15:40.913]  InfoWarsStore.com.
[01:15:42.415 --> 01:15:48.064]  Infowarslive.com or 888-253-3139.
[01:15:48.084 --> 01:15:50.809]  And again, you make this all possible.
[01:15:50.869 --> 01:15:54.194]  We'll be back in the Secrets of QAnon with Dr. Jerome Corsi.
[01:15:54.415 --> 01:15:54.855]  Stay with us.
[01:15:56.400 --> 01:16:06.403]  I don't want to just sit here and give you the standard pitch for our new product bodies, which is the ultimate turmeric formula out there on the market from our deep research.
[01:16:06.423 --> 01:16:17.207]  The purity, the concentration, the quality, and the other synergistic organic compounds that are added to it so that it's bioavailable and gets into your bloodstream.
[01:16:18.387 --> 01:16:22.188]  I've got a big list of the facts here, and I guess I'll go over some of it for you.
[01:16:22.969 --> 01:16:24.009]  But here's the bottom line.
[01:16:25.205 --> 01:16:30.007]  Talking to Paul Watson about two years ago, I said, which of the products do you use and like the most?
[01:16:30.607 --> 01:16:33.508]  And he said, listen, what I really want is a turmeric product.
[01:16:34.328 --> 01:16:35.529]  He goes, you've seen the studies.
[01:16:35.549 --> 01:16:36.489]  You know what it does.
[01:16:36.929 --> 01:16:38.170]  You know what it's been proven to do.
[01:16:38.250 --> 01:16:38.970]  It's crazy.
[01:16:39.970 --> 01:16:44.092]  And I've read a lot of them out there are adulterated or watered down.
[01:16:44.112 --> 01:16:45.152]  I said, well, let me look into it.
[01:16:45.352 --> 01:16:51.454]  And so it then took us off and on several years to finally come out with this because I
[01:16:53.294 --> 01:16:56.381]  I want to bring you the very best product we can get.
[01:16:57.423 --> 01:17:00.329]  I want it to be what myself and my family take.
[01:17:01.431 --> 01:17:02.033]  And we've done it.
[01:17:03.362 --> 01:17:18.033]  Turmeric has been used for thousands of years for its known therapeutic effects and is the subject of well over 10,000 published scientific articles and studies.
[01:17:18.254 --> 01:17:25.039]  Plain turmeric root contains on average about 3% of the active ingredient, the curcuminoids.
[01:17:25.599 --> 01:17:32.806]  But our powerful blend contains turmeric extract containing 95% curcuminoids.
[01:17:33.307 --> 01:17:34.808]  Did you hear what I'm saying?
[01:17:36.029 --> 01:17:39.613]  Most of the brands out there are at 3% or less and are adulterated.
[01:17:40.073 --> 01:17:42.276]  This is 95%.
[01:17:43.357 --> 01:17:47.541]  Body Ease Ultimate Turmeric Formula is also fortified with peppermint.
[01:17:48.669 --> 01:17:55.252]  Pepparine, many studies have shown, helps accelerate the absorption of the tumeric compounds, the curcuminoids, in the body.
[01:17:55.712 --> 01:17:57.853]  Now let's get to Boswellia.
[01:17:58.373 --> 01:18:03.856]  Boswellia is an ayurvedic herb that has been studied for its anti-inflammatory properties.
[01:18:04.396 --> 01:18:12.219]  In fact, the active ingredient, boswellic acid, has been shown in studies to inhibit one of the enzymes that actually cause the inflammation response.
[01:18:12.439 --> 01:18:17.702]  BodyEase also contains the organic herbs, spirulamate, sage, lemon balm, and thyme.
[01:18:18.462 --> 01:18:25.247]  As an added bonus, all of the ingredients we just listed contain very potent antioxidants.
[01:18:25.547 --> 01:18:34.133]  In fact, turmeric's curcuminoids are some of the most potent and naturally occurring free radical scavenging antioxidants available on the market.
[01:18:34.393 --> 01:18:39.016]  If you're a radio listener, you've got to go to m4restore.com and go to the bodies page.
[01:18:39.036 --> 01:18:41.838]  You can actually see the video the TV viewers can see right now.
[01:18:42.458 --> 01:18:46.680]  If you look at our turmeric product, it's bright yellow-orange, the way it's supposed to be.
[01:18:46.960 --> 01:18:51.461]  That's because the active compound in curcuminoids is orange.
[01:18:52.061 --> 01:19:00.524]  So again, it's not just the concentration, it's not just the studies we've done, it's not just the test, it's how vibrant and bright our product is.
[01:19:00.884 --> 01:19:03.285]  The recommended MSRP is $59.95 and it's a great deal.
[01:19:05.626 --> 01:19:07.207]  Because of the quality and concentration.
[01:19:07.627 --> 01:19:16.213]  But out of the gates, we're offering bodies for 50% off, $29.95 at infowarestore.com.
[01:19:16.474 --> 01:19:20.516]  So you, and your children, and your wife, your husband, can experience it for yourself.
[01:19:20.857 --> 01:19:29.683]  And at the same time, you know you're funding the information war that is battling against the globalists and trying to restore not just our republic, but freedom worldwide.
[01:19:30.143 --> 01:19:30.803]  Ladies and gentlemen,
[01:19:31.984 --> 01:19:33.545]  I am so excited about bodies.
[01:19:34.305 --> 01:19:35.685]  I hope you will try it for yourself.
[01:19:36.266 --> 01:19:44.148]  It's exclusively available right now, out of the gates, 50% off, InfoWareStore.com or by calling 888-253-3139.
[01:19:44.188 --> 01:19:51.191]  This is the ultimate turmeric product on the market from our research.
[01:19:51.531 --> 01:19:54.232]  It's at InfoWareStore.com right now.
[01:19:59.654 --> 01:20:02.516]  You're listening to The Alex Jones Show.
[01:20:02.556 --> 01:20:03.376]  The answer to 1984 is 1776.
[01:20:03.436 --> 01:20:05.717]  You're listening to The Alex Jones Show.
[01:20:20.979 --> 01:20:22.339]  Ladies and gentlemen, we are back.
[01:20:22.379 --> 01:20:24.020]  Thank you again so much for joining us.
[01:20:24.500 --> 01:20:26.020]  If you just tuned in, you missed it.
[01:20:26.240 --> 01:20:33.941]  Last segment, I played an excerpt of a video Paul Joseph Watson put out on Friday of last week.
[01:20:34.102 --> 01:20:36.042]  Sexy, hot conservatives.
[01:20:37.642 --> 01:20:46.884]  And it shows study after study after study, even done at major liberal universities, by think tanks, you name it, that all over the world, not just in the West,
[01:20:48.223 --> 01:20:58.033]  People identify conservatives, libertarians, as handsomer, sexier, better looking, more successful, better dressed.
[01:20:58.053 --> 01:21:04.939]  These are in blind studies where they're showing people that aren't public figures, but who are conservatives versus liberal.
[01:21:05.620 --> 01:21:09.542]  And that's because they have inverted the terms and inverted the names.
[01:21:10.263 --> 01:21:15.366]  It's conservatives of the modern age of the classical liberals, like a Thomas Jefferson.
[01:21:16.006 --> 01:21:27.633]  The modern liberals are the authoritarians and the control freaks and basically the followers, and so that's why they again appear, when they call themselves a modern liberal, as so rat-like.
[01:21:27.974 --> 01:21:35.038]  But let's go to Milo Yiannopoulos' breakdown on these latest studies as well, when he joined me for a tape
[01:21:35.659 --> 01:21:36.905]  Interview we did last Friday.
[01:21:38.069 --> 01:21:42.332]  You were on the radio with me a few days ago and you had a point you wanted to get to during a break.
[01:21:42.372 --> 01:21:43.052]  We never got to it.
[01:21:43.072 --> 01:21:48.375]  You said, Alex, let's talk about the fact that conservatives in studies all over the world are better looking than liberals.
[01:21:48.435 --> 01:21:51.357]  And I don't think of myself as some great suave looking guy like you.
[01:21:51.417 --> 01:21:52.898]  I mean, you are suave looking.
[01:21:52.918 --> 01:21:57.120]  No, but you are unaware because you're you of your raw sexual energy.
[01:21:57.160 --> 01:21:58.921]  So you've got the same thing Trump has.
[01:21:58.941 --> 01:22:05.145]  You've got that kind of like alpha male aura, which just has women and gay men, you know, wilting in your presence.
[01:22:05.165 --> 01:22:05.845]  You're being too nice.
[01:22:09.108 --> 01:22:13.732]  Compared to an average leftist mob, I am at least somewhat healthy and virile when I talk.
[01:22:13.772 --> 01:22:14.613]  You're put together.
[01:22:14.673 --> 01:22:22.880]  You're clean and well-groomed, which puts you head and shoulders above a lot of the leftist activists.
[01:22:22.920 --> 01:22:25.202]  I remember going to leftist events ten years ago and they looked like hell.
[01:22:25.262 --> 01:22:27.024]  Now they look like half-dead zombies.
[01:22:27.424 --> 01:22:28.945]  So we're not being mean when we say this.
[01:22:28.965 --> 01:22:29.826]  Statistics have come out.
[01:22:29.846 --> 01:22:30.727]  We'll show an article.
[01:22:30.987 --> 01:22:34.268]  Well, we can be mean, but we're also on the right side of science.
[01:22:34.328 --> 01:22:35.408]  I'm perfectly happy to be mean.
[01:22:35.428 --> 01:22:43.290]  Well, we're into it right now, but they're like six times more likely to steal, nine times more likely to purchase a single and not give it to charity, called conservatives.
[01:22:43.430 --> 01:22:46.531]  I mean, these are really some horrible people, and they seem to be degrading.
[01:22:46.811 --> 01:22:48.052]  So you wanted to get into that point.
[01:22:48.112 --> 01:22:55.854]  Give us your little nugget of why they're so culturally out of control, anti-free speech, but also physically ugly.
[01:22:57.114 --> 01:23:03.057]  I believe that Roald Dahl was right in his introduction to the Twits that you can see a person's character on their face.
[01:23:03.177 --> 01:23:15.843]  And Roald Dahl at the beginning of the Twits says, um, it doesn't matter if you've got wonky teeth and wonky eyes and stick out whatever, um, if you are a good person, your, uh, your goodness, your joy will shine through in your face.
[01:23:16.423 --> 01:23:24.071]  If, on the other hand, you may be, on the face of it, handsome, but inside your heart is dark and evil and wicked, it will show.
[01:23:24.111 --> 01:23:26.414]  And over the years, it will show more and more and more.
[01:23:26.794 --> 01:23:35.283]  Well, the science is divided, to say the least, on whether left-wing politics make people unattractive or unattractive people are more drawn to left-wing politics.
[01:23:35.703 --> 01:23:51.272]  Left-wingers themselves say that people who don't subscribe to traditional beauty standards or society's body norms are more likely to be driven to political philosophies that make excuses for them, which is why you see in so many liberal arts colleges fat studies emerging.
[01:23:51.553 --> 01:23:58.457]  These skinny white liberals who want to justify the terrible lifestyle choices of their fellow left-wingers.
[01:23:58.797 --> 01:24:03.220]  But more and more and more, regardless of the direction of causality, studies are coming out.
[01:24:03.300 --> 01:24:05.422]  This most recent one from Cambridge University.
[01:24:05.442 --> 01:24:07.503]  It could not be a more venerated institution.
[01:24:07.964 --> 01:24:25.997]  More and more studies are coming out demonstrating that when you blind people to the identity of a pile of people and ask them to sort the pictures into attractive and unattractive, you will get right-wingers over here on the attractive pile and left-wingers over on the unattractive pile.
[01:24:26.717 --> 01:24:29.218]  This holds for politicians, it holds for private citizens.
[01:24:29.418 --> 01:24:30.798]  Right-wingers are hotter.
[01:24:30.898 --> 01:24:33.319]  Science has proven it over and over and over again.
[01:24:33.359 --> 01:24:42.442]  This latest study that came out from Cambridge this month is just the last study to re-establish what I think we all know from having seen it in our own lives.
[01:24:43.423 --> 01:24:49.511]  Republicans don't say this kind of thing to be mean, although I'm perfectly happy to be mean on occasion if the science and the numbers justify it.
[01:24:50.252 --> 01:24:58.062]  It does seem to be the case, though, that people who are unhappy with themselves, with how they look, are often drawn to left-wing causes and left-wing political positions.
[01:24:58.422 --> 01:25:10.172]  It could be something to do with the fact that people who have low self-esteem want other people to suffer like they're suffering, or people who think they're unattractive or think that they are overweight and aren't prepared to do anything about their condition.
[01:25:10.192 --> 01:25:16.837]  They don't want to groom themselves a little more carefully, wear slightly more flattering clothes, or have a bit more discipline in their diets and exercise regime.
[01:25:17.198 --> 01:25:24.624]  Instead of taking personal responsibility for their situation, would rather blame the world for imposing unrealistic beauty standards on them.
[01:25:24.984 --> 01:25:33.650]  Certainly we know that Conservatives, Republicans and Libertarians have a greater affinity for independence and for personal responsibility.
[01:25:34.090 --> 01:25:42.295]  Maybe it's the case that there are just as many ugly people on the right as on the left, but the ugly people on the left who are unwilling to take personal responsibility for their
[01:25:44.797 --> 01:25:49.919]  We don't know.
[01:25:50.399 --> 01:25:54.081]  More studies and more science and more speculation is sure to follow on this.
[01:25:54.421 --> 01:25:58.323]  One thing we do know for sure, if you see someone hot in the street, they're much more likely to be Republican.
[01:26:03.230 --> 01:26:09.396]  Someone very profoundly once said, many years ago, that if fascism ever comes to America, it'll come in the name of liberalism.
[01:26:09.796 --> 01:26:16.982]  This young generation, who scream words like fascist, will actually themselves become the fascists.
[01:26:17.242 --> 01:26:19.124]  You guys are the fascists!
[01:26:19.464 --> 01:26:20.685]  You're all the fascists!
[01:26:20.705 --> 01:26:21.947]  You're a white male!
[01:26:22.047 --> 01:26:25.730]  I just wish that somebody would create like some kind of a safe!
[01:26:31.906 --> 01:26:34.970]  He gets to do whatever he wants to in this space, right?
[01:26:35.150 --> 01:26:36.411]  You need to get out.
[01:26:36.451 --> 01:26:37.292]  I actually don't.
[01:26:37.392 --> 01:26:42.878]  Hey, who wants to help me get this reporter out of here?
[01:26:42.959 --> 01:26:46.142]  I need some muscle over here!
[01:26:46.302 --> 01:26:50.067]  Donald J. Trump is now President of the United States.
[01:26:56.750 --> 01:27:04.036]  So the question is, are social justice warriors mentally ill, or are they just stupid?
[01:27:04.356 --> 01:27:10.941]  When your emotions control your actions, it affects not only yourself, but the people around you.
[01:27:15.004 --> 01:27:20.046]  There are over 7 million mentally ill and emotionally disturbed children in America.
[01:27:20.106 --> 01:27:21.487]  This has to be a joke!
[01:27:21.927 --> 01:27:24.948]  I can't believe this is happening!
[01:27:24.968 --> 01:27:28.229]  I'm literally about to f***ing kill myself and I'm not kidding!
[01:27:28.309 --> 01:27:29.670]  You better f***ing fix this right now!
[01:27:29.710 --> 01:27:30.670]  Get the f*** out of here!
[01:27:30.791 --> 01:27:32.691]  He's losing control of himself.
[01:27:32.711 --> 01:27:33.632]  Get your phone away!
[01:27:33.852 --> 01:27:34.172]  Why?
[01:27:34.212 --> 01:27:35.092]  Quit recording!
[01:27:35.112 --> 01:27:37.373]  The madder he gets, the worse it becomes.
[01:27:37.393 --> 01:27:38.634]  Get the f*** away!
[01:27:41.600 --> 01:27:43.763]  You couldn't help interrupting, could you?
[01:27:43.803 --> 01:27:50.272]  You added nothing to that conversation.
[01:27:50.312 --> 01:27:53.336]  These are some of Tommy's drawings that the school sent over.
[01:27:54.417 --> 01:27:56.059]  There's an awful lot of hate in them.
[01:28:10.894 --> 01:28:11.854]  So the facts are in.
[01:28:11.914 --> 01:28:12.915]  It's a scientific fact.
[01:28:13.275 --> 01:28:26.880]  Liberals are better looking than authoritarians, but authoritarians now call themselves liberal to control Western civilization while they attack classical Western liberal values that come out of the West.
[01:28:26.940 --> 01:28:37.805]  They are authoritarians, and then they have a lot of camp followers who are pseudo-intellectuals, very, very dumbed down, very, very angry, many more times likely to steal, to virtue signal and not give to charity.
[01:28:38.425 --> 01:28:42.469]  It's all out there, even in top psychology publications, written by liberals.
[01:28:42.509 --> 01:28:44.150]  They ask, why are we such bad people?
[01:28:44.511 --> 01:28:46.112]  Because you're impostors, you're not liberals.
[01:28:46.332 --> 01:28:48.955]  We'll be back with Dr. Jerome Corsi and the secrets of QAnon.
[01:28:58.317 --> 01:29:02.778]  Melatonin's on average $19, $19.95 a bottle, and a lot of it's not even organic type.
[01:29:02.998 --> 01:29:07.679]  I talked to the big organic producer companies that we have making it, and I said, how much money is really in that?
[01:29:08.299 --> 01:29:14.140]  They said, on average, about maybe $1 a melatonin, and then the container costs $0.50 or so, or less.
[01:29:14.540 --> 01:29:27.142]  And I said, so I can put the same amount of melatonin in, just make it a bigger capsule that's powdered, so you actually absorb it, and then add L-tryptophan, valerian root, lemon balm, chamomile, and then you get a sleet.
[01:29:27.922 --> 01:29:36.568]  Unlike other systems, I mean, Randall Wilhite, his name is on the Texas Family Code, the last four or five issues, and he writes the Texas Law of the Family Code.
[01:29:36.588 --> 01:29:38.510]  He's one of the top family law lawyers in the country.
[01:29:38.830 --> 01:29:39.951]  The point is, he's a smart guy.
[01:29:39.991 --> 01:29:41.252]  He doesn't smoke marijuana.
[01:29:41.452 --> 01:29:42.653]  He doesn't drink anything.
[01:29:42.853 --> 01:29:44.333]  He goes, man, I gotta really thank you.
[01:29:44.833 --> 01:29:46.434]  I am sleeping eight hours through the night.
[01:29:46.454 --> 01:29:48.254]  I only have to take one knockout.
[01:29:48.594 --> 01:29:51.215]  I've gone and showed, you know, UT Science this and everything else.
[01:29:51.235 --> 01:29:52.095]  This is insane.
[01:29:52.515 --> 01:29:54.135]  I said, yeah, you look 10 years younger.
[01:29:54.395 --> 01:29:56.936]  He said, oh yeah, it's just, I'm off all the sleep drugs.
[01:29:57.396 --> 01:29:58.916]  He says, this is totally free.
[01:29:58.936 --> 01:30:00.777]  But he goes, do you know what it is in there?
[01:30:00.797 --> 01:30:02.657]  And I said, it's the synergy of it.
[01:30:03.517 --> 01:30:09.439]  Of the chamomile, the lemon balm, the L-tryptophan, the valerian root, the melatonin, and several other ingredients.
[01:30:09.699 --> 01:30:11.039]  All just moderate dose.
[01:30:12.551 --> 01:30:20.540]  They're all the recommended dose, and they just fuse together, and whatever they do chemically in the brain, that Mother Nature, God gave us our Mother Nature, is incredible.
[01:30:20.580 --> 01:30:22.963]  So, that's available at InfoWarsTore.com or 888-253-3139.
[01:30:22.983 --> 01:30:24.564]  But thank you for committing.
[01:30:28.226 --> 01:30:31.049]  They get the great products, the books, the films, the t-shirts, you name it.
[01:30:31.409 --> 01:30:34.032]  But it takes selling a lot of stuff to be able to fund this.
[01:30:34.052 --> 01:30:38.797]  We're not like raiding countries like George Soros and stealing millions and then, you know, funding race war.
[01:30:39.277 --> 01:30:45.404]  It's just selling t-shirts, selling books, selling films and, you know, just hustling to be able to get high quality products out.
[01:30:45.444 --> 01:30:48.547]  So you have a great response and reorder, reorder, reorder, reorder.
[01:30:48.887 --> 01:30:50.209]  It's called reap what you sow.
[01:30:56.980 --> 01:31:01.244]  Maximize your potential and take your body back with super male vitality.
[01:31:02.325 --> 01:31:06.788]  We're breaking the conditioning and fighting back against the globalist war on male vitality.
[01:31:07.509 --> 01:31:15.716]  Our ultimate non-GMO formula is sourced from powerful organic herbs that have been gathered from around the world and then concentrated for maximum potency.
[01:31:16.841 --> 01:31:22.883]  Super Male Vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[01:31:23.583 --> 01:31:26.604]  Info Wars Life wants to bring you the highest quality products.
[01:31:27.884 --> 01:31:35.467]  Our unique combination of ingredients is designed to assist the body in regulating proper balance and creating superior vitality in males.
[01:31:36.926 --> 01:31:39.847]  Support your body and mind and take yourself to the next level.
[01:31:40.527 --> 01:31:43.088]  Boost your vitality and energize your life.
[01:31:44.288 --> 01:31:45.408]  Take control of your body.
[01:31:45.748 --> 01:31:49.969]  Grab a bottle of Super Male Vitality today at infowarslife.com.
[01:31:50.810 --> 01:31:52.690]  That's infowarslife.com.
[01:32:06.161 --> 01:32:10.304]  To build your own food storage with Harvest Rites freeze dryers.
[01:32:10.564 --> 01:32:17.049]  Go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use.
[01:32:17.249 --> 01:32:24.555]  And let me tell you, son, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[01:32:24.835 --> 01:32:25.035]  Woo!
[01:32:25.095 --> 01:32:25.996]  That's what I'm talking about.
[01:32:26.116 --> 01:32:32.821]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store,
[01:32:32.961 --> 01:32:34.702]  There is no comparison.
[01:32:34.842 --> 01:32:44.068]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value and have a shelf life of up to 25 years.
[01:32:44.428 --> 01:32:47.771]  Now that's what I call the miracle of food preservation.
[01:32:47.891 --> 01:32:51.853]  Harvest Right is truly the world's best, most affordable freeze dryer.
[01:32:51.993 --> 01:32:52.914]  So what are you waiting for?
[01:32:53.074 --> 01:32:55.636]  Check it out right now at infowarsstore.com.
[01:33:00.555 --> 01:33:05.159]  You're listening to The Alex Jones Show.
[01:33:20.113 --> 01:33:25.118]  From the front lines of the information war, it's Alex Jones.
[01:33:37.970 --> 01:33:38.830]  Oh, it's Alex there with you.
[01:33:38.890 --> 01:33:39.331]  Okay, listen.
[01:33:39.731 --> 01:33:56.117]  This is Dr. Corsi, and I'm doing a kind of a debrief on the QAnon phenomenon, the QAnon posts, which I've been decoding and posting on Scribd and then also on Twitter and here on InfoWars.com.
[01:33:56.697 --> 01:33:58.938]  Now, I want this to be an update.
[01:33:59.862 --> 01:34:05.186]  This is Saturday, from Saturday the 27th yesterday and Sunday today.
[01:34:05.687 --> 01:34:08.129]  We have not had any QAnon posts today.
[01:34:08.149 --> 01:34:17.056]  But I want to introduce it by saying, first of all, that in my intelligence background, I think that the QAnon phenomenon is real.
[01:34:18.237 --> 01:34:26.123]  I judge the QAnon is really a military intelligence source that is very close to the President.
[01:34:27.304 --> 01:34:28.425]  I'm finding that because the
[01:34:29.381 --> 01:34:32.703]  The posts tend to merit consideration.
[01:34:32.923 --> 01:34:36.784]  They prove out things that QAnon says are going to happen, happen.
[01:34:37.705 --> 01:34:46.089]  Connections that QAnon says are going to be obvious once you examine them, when you do the research, those connections are there.
[01:34:47.109 --> 01:34:52.692]  And just to start, QAnon stands for Q Anonymous.
[01:34:53.749 --> 01:35:02.437]  And Q is probably the highest level of intelligence clearance, security clearance that you can get in the U.S.
[01:35:02.477 --> 01:35:02.957]  government.
[01:35:03.177 --> 01:35:14.327]  So a QAnon is someone who is operating pretty much as an intelligent source, but operating anonymously.
[01:35:14.387 --> 01:35:20.172]  That's where we get QAnon, so that the identity is not really clear.
[01:35:21.256 --> 01:35:24.199]  Um, to anybody who's trying to figure out who QAnon is.
[01:35:24.799 --> 01:35:27.201]  It's intended to code the identity.
[01:35:27.241 --> 01:35:28.182]  That's the whole point.
[01:35:29.142 --> 01:35:37.409]  Now, I want to point out some of the issues that we're dealing with right now that QAnon is saying we are in a great awakening.
[01:35:37.469 --> 01:35:50.679]  That there has been essentially a 16-year coup d'etat, treasonous conspiracy that had been planned by Barack Obama and Hillary Clinton.
[01:35:52.071 --> 01:36:20.855]  Barack Obama has served actually eight years in terms of two terms of office and Hillary Clinton eight years two terms 16 years total as a deep state conspiracy which is being orchestrated by the deep state meaning the CIA together with other forces in the government that Clinton Obama holdovers in the Department of Justice in the FBI as well as
[01:36:22.476 --> 01:36:34.258]  The mainstream media and the establishment and the mainstream media, commercial mainstream media, essentially forming a mouthpiece for the Pravda, as it were, for the government position.
[01:36:35.078 --> 01:36:49.641]  Now, as we forward this and take a look at how QAnon communicates, I'm going to try to decode a few of these posts so you can get a good idea of the way these communications come across.
[01:36:49.701 --> 01:36:50.121]  By the way,
[01:36:50.808 --> 01:37:04.351]  QAnon was saying that the Hannity losing his Twitter account on Saturday was the result of an outside attack, not from within Twitter, but most likely a CIA attack.
[01:37:04.911 --> 01:37:12.693]  And then as you recall, the attack, Hannity's account went down after he posted three times in a row this 1649.
[01:37:12.733 --> 01:37:12.813]  Well,
[01:37:17.549 --> 01:37:20.031]  QAnon said that submission was complete.
[01:37:20.371 --> 01:37:35.502]  What 1649 is, that's the year in which Charles I in Great Britain was beheaded in a treasonous plot where Charles I was the treason, guilty of treason, convicted of treason.
[01:37:36.242 --> 01:37:45.149]  And so in 1649, those posts that were coming out from Hannity suggested that we're moving into a phase
[01:37:46.005 --> 01:38:13.711]  In which it's going to be more clearly said that Barack Obama and Hillary Clinton were involved in treason trying to cancel a duly elected president from serving on this concocted Russian collusion theme was based on false research that was known to be false out of Great Britain from this fusion GPS dossier that was used to get
[01:38:14.651 --> 01:38:22.794]  FISA court approval to conduct electronic surveillance on Donald Trump's campaign and transition, which is a treason.
[01:38:23.054 --> 01:38:25.715]  That's going to be increasingly said.
[01:38:26.315 --> 01:38:42.181]  And so when Hannity posted this 1649 and his Twitter account was attacked, the deep state does not want the message coming out that we're now about to experience a, I believe, a Trump counterattack.
[01:38:43.075 --> 01:38:53.737]  Other this Mueller effort to the first effort of the deep state, the Obama Clinton planners to remove Trump from office has failed.
[01:38:54.537 --> 01:39:00.518]  And now Trump has the forces together and assembled and is ready to go into action to battle with a counterattack.
[01:39:00.538 --> 01:39:10.260]  Uh, and then the posts that we've been getting, uh, over the last few days have suggested
[01:39:11.289 --> 01:39:30.679]  That Donald Trump with this executive order that he signed, uh, on the 12th, uh, 21st of December, which gives the treasury the right to confiscate the assets of those engaged in serious human rights violations and those who are basically engaged in corruption.
[01:39:30.699 --> 01:39:37.243]  Uh, and did by the way, declare a state of national emergency on that, uh, has positioned
[01:39:38.078 --> 01:39:55.433]  President Trump to use exceptional powers, including martial law, and to bring various of these treasonous offenders before a military tribunal, if in fact that's decided to be the best recourse to bring them to justice.
[01:39:56.494 --> 01:40:04.041]  Now, one of the posts that we got today, and here's how the QAnon posts go, they're being posted on the deep internet.
[01:40:05.187 --> 01:40:09.448]  Very much on the eight chans, which are a bulletin board.
[01:40:09.488 --> 01:40:10.808]  They're hard to navigate.
[01:40:11.529 --> 01:40:13.469]  It takes some time to navigate them.
[01:40:13.489 --> 01:40:20.451]  They're kind of rough in terms of the dialogue on them is pretty robust.
[01:40:20.511 --> 01:40:23.712]  People don't have any, everybody's anonymous.
[01:40:24.392 --> 01:40:29.513]  And so they call out people and throw you off the board if you're not following the right protocol.
[01:40:30.413 --> 01:40:38.258]  But I want to read this one and decode it for you, because this is how you've got to basically understand the Q posts.
[01:40:39.059 --> 01:40:47.464]  And he's doing this in order to open our minds and to get everybody to think, the anonymous out there working on this, to see the connections.
[01:40:48.244 --> 01:40:50.686]  So this is a post which was on Saturday.
[01:40:50.706 --> 01:40:54.008]  It occurred at really two in the morning.
[01:40:55.109 --> 01:40:58.631]  Q, I believe, went to Davos with
[01:40:59.777 --> 01:41:10.680]  President Trump, and he's coming back saying, saying this basically, do you expect HRC, GS, Hussein, etc.
[01:41:10.720 --> 01:41:18.322]  to stand in a public courtroom with potential crooked judges and tainted liberal juries?
[01:41:19.062 --> 01:41:27.604]  Now that's, do you expect Hillary Clinton, George Soros, Hussein is always Barack Obama, Hussein, Barack Hussein Obama,
[01:41:28.599 --> 01:41:37.743]  And Q is asking, you know, we're not going to put them up to public trial because you've got liberal judges, liberal juries.
[01:41:38.523 --> 01:41:41.924]  They, you know, they make a show trial out of this and maybe get acquitted.
