[00:00:00.069 --> 00:00:00.850]  I understand.
[02:22:45.899 --> 02:22:46.760]  Or put up, dude.
[02:22:47.180 --> 02:22:50.022]  Shut up or pack up and get the hell out of here.
[02:22:50.323 --> 02:22:52.765]  Get this crap out of the United States of America.
[02:22:52.985 --> 02:22:54.286]  We are America first.
[02:22:54.666 --> 02:23:00.231]  We should have zero tolerance for terrorism and zero tolerance for a war that has nothing to do with us.
[02:23:00.611 --> 02:23:03.554]  Well, Drew, we have to support, we have to support our allies.
[02:23:03.814 --> 02:23:05.375]  Okay, dude, can you afford that right now?
[02:23:05.395 --> 02:23:06.356]  Can this country afford?
[02:23:07.643 --> 02:23:12.126]  More hundred billion dollar packages sent to these Middle Eastern countries?
[02:23:12.726 --> 02:23:15.728]  We're funding another war while we go poor?
[02:23:16.289 --> 02:23:17.309]  While you go poor?
[02:23:17.549 --> 02:23:18.870]  While your family goes poor?
[02:23:19.070 --> 02:23:22.112]  While these people plunge us into another third world war?
[02:23:22.392 --> 02:23:23.093]  Ground war?
[02:23:23.973 --> 02:23:27.776]  While simultaneously at the same time funding Ukraine?
[02:23:28.236 --> 02:23:28.676]  More!
[02:23:30.738 --> 02:23:31.178]  More!
[02:23:31.198 --> 02:23:32.259]  It's like Kylo Ren!
[02:23:33.214 --> 02:23:34.374]  Like Kylo Ren, what was it?
[02:23:34.735 --> 02:23:36.375]  The worst Star Wars movie of all time?
[02:23:36.395 --> 02:23:38.256]  Was it The Last Jedi or The Force Awakens?
[02:23:38.356 --> 02:23:38.996]  I don't remember.
[02:23:39.676 --> 02:23:40.176]  MORE!
[02:23:40.617 --> 02:23:42.037]  MORE MONEY TO UKRAINE!
[02:23:42.337 --> 02:23:43.658]  MORE MONEY TO ISRAEL!
[02:23:44.038 --> 02:23:46.959]  MORE MONEY TO THE PALESTINIANS FOR RELIEF IN THE GAZA STRIP!
[02:23:47.259 --> 02:23:47.619]  MORE!
[02:23:49.240 --> 02:23:49.620]  MORE!
[02:23:50.420 --> 02:23:55.622]  Yeah, well you end up bankrupt while your children are getting invaded by homosexuals here in the United States of America.
[02:23:56.403 --> 02:24:06.047]  While Hamas is calling for global jihad this Friday, tomorrow the 13th, you're trying to get people to pick a side in a war that's on the other side of the globe.
[02:24:06.347 --> 02:24:07.227]  What are you, retarded?
[02:24:07.547 --> 02:24:08.247]  Open your eyes.
[02:24:08.448 --> 02:24:09.468]  These people are here.
[02:24:09.768 --> 02:24:11.789]  You should be concerned about America first.
[02:24:12.189 --> 02:24:15.130]  You should be concerned about defending the homeland here.
[02:24:15.430 --> 02:24:17.331]  These people have invaded this country.
[02:24:17.691 --> 02:24:23.193]  That formerly known southern border has been wide open for a reason, and it's for times just like this.
[02:24:23.453 --> 02:24:32.039]   Why do you think the FBI, for the past The past few years, and the CIA, and the NSA, has been inverted and weaponized against the American people.
[02:24:32.320 --> 02:24:48.433]  White people, Trump supporters, pro-lifers, Catholics, grandmas that were walking around outside the Capitol on J6, all getting 10 plus years, absolutely the book thrown at them by the Feds and designated right-wing domestic terrorists.
[02:24:49.014 --> 02:24:53.838]  Who do you think has been benefiting by that these past few years?
[02:24:55.160 --> 02:24:56.881]  Quietly infiltrating this country.
[02:24:58.321 --> 02:24:59.922]  Quietly with a grin on their face.
[02:24:59.942 --> 02:25:00.602]  I've been down there.
[02:25:01.482 --> 02:25:02.183]  Multiple times.
[02:25:03.263 --> 02:25:03.683]  Myself.
[02:25:04.243 --> 02:25:04.964]  InfoWarriors.
[02:25:06.044 --> 02:25:07.465]  InfoWars with Alex Jones.
[02:25:07.645 --> 02:25:08.765]  You guys have seen the footage.
[02:25:08.805 --> 02:25:11.206]  You go down to the formerly known southern border.
[02:25:11.546 --> 02:25:14.227]  Millions of people pouring into this country and you see these people.
[02:25:14.267 --> 02:25:15.427]  You see these Palestinians.
[02:25:15.667 --> 02:25:16.808]  You see these Muslims.
[02:25:17.725 --> 02:25:20.107]  Military age, man, they come in with smiles on them.
[02:25:20.127 --> 02:25:21.989]  They're just looking at you like they know something.
[02:25:22.269 --> 02:25:24.491]  They're just looking at you like, oh, your time is, we're here now.
[02:25:24.771 --> 02:25:25.552]  Your time is up.
[02:25:26.012 --> 02:25:26.773]  Your time is up.
[02:25:26.813 --> 02:25:28.594]  Global jihad, oh, your time is up.
[02:25:28.654 --> 02:25:30.396]  Once we get that green light, you're done.
[02:25:30.416 --> 02:25:31.217]  Yeah, yeah.
[02:25:31.417 --> 02:25:33.579]  This federal government has turned its back on you.
[02:25:33.799 --> 02:25:35.080]  Now you're the terrorists.
[02:25:35.560 --> 02:25:37.102]  You're the terrorists, right, wingers?
[02:25:37.442 --> 02:25:38.463]  You're the terrorists.
[02:25:38.903 --> 02:25:46.872]  Oh, we are totally off the radar, we are totally off the grid, and we are invading this country silently, without firing a shot.
[02:25:47.232 --> 02:25:52.898]  And once our day comes, once that global jihad gets activated, it's all you.
[02:25:53.159 --> 02:25:54.840]  You think what happened in Israel is bad?
[02:25:55.000 --> 02:25:57.183]  You should be concerned when they launch those attacks.
[02:25:57.443 --> 02:25:57.623]  Yes!
[02:25:57.663 --> 02:25:58.885]  You should keep that energy!
[02:25:58.905 --> 02:26:00.166]  You should keep that mentality!
[02:26:00.166 --> 02:26:06.046]   And don't listen to these retards out there that are like, "That could never happen here. Oh, that could never happen
[02:26:06.046 --> 02:26:06.486]  here.
[02:26:06.486 --> 02:26:10.726]   Yeah, I wish they would try because we all know what's going to happen to them."
[02:26:10.726 --> 02:26:14.406]   Yes, you should keep that energy. You should keep that mentality.
[02:26:14.406 --> 02:26:20.037]   But don't ever be a retard and think that something that insane could never happen here in the United
[02:26:20.037 --> 02:26:21.206]  States of America.
[02:26:21.429 --> 02:26:27.532]  These are the same people that sit here and say, Oh my God, well, you know, the Global New World Order is a conspiracy theory.
[02:26:27.773 --> 02:26:32.435]  These are the same people that come out and say, Well, you actually think that the election was rigged?
[02:26:33.696 --> 02:26:35.237]  You don't need your second amendment.
[02:26:35.477 --> 02:26:37.979]  You actually think that the government would turn on you?
[02:26:38.039 --> 02:26:39.740]  That's why they want to take your guns?
[02:26:40.527 --> 02:26:42.408]  Do not listen to people like that.
[02:26:42.689 --> 02:26:47.912]  Do not listen to people that are mocking you, that are scoffing at you for over-preparing.
[02:26:47.952 --> 02:26:57.038]  You could never be over-prepared enough by as many guns, thousands of rounds, storable foods, water, you name it, body armor.
[02:26:57.078 --> 02:27:04.563]  You get ready because these people are here and you think that this military is going to be deployed to save you when it all goes down?
[02:27:04.583 --> 02:27:07.485]  This gay and woke military?
[02:27:08.551 --> 02:27:18.694]  You think that the feds and you think these defunded police departments that have been infiltrated by communists that are concerned with nothing about just black supremacy and white people bad?
[02:27:18.894 --> 02:27:22.575]  You think you're gonna pick up the phone and call 911 and they're gonna be there for you?
[02:27:23.055 --> 02:27:38.080]  The FBI in New York put out a statement yesterday and said, due to recent events overseas, we are just warning the general public in New York that if you see something, say something, and there could be possibly a high risk of terrorism right now, so we're just letting you know.
[02:27:38.200 --> 02:27:47.982]  Oh yeah, because all the resources in the FBI have been exhausted going after Americans, designating them terrorists with full-blown investigations and indictments.
[02:27:48.102 --> 02:27:53.763]  All of our resources have been going with the FBI and the CIA and the intelligence agencies.
[02:27:54.123 --> 02:28:05.465]  All of our resources and efforts have been targeted on right-wingers, Catholics, pro-lifers, Trump supporters.
[02:28:06.656 --> 02:28:09.200]  Anyone in the vicinity of January 6th?
[02:28:09.882 --> 02:28:11.644]  These people don't have time or resources!
[02:28:12.509 --> 02:28:14.970]  To do full-blown surveillance on real terrorists?
[02:28:15.110 --> 02:28:15.691]  Al Qaeda?
[02:28:16.231 --> 02:28:17.171]  ISIS affiliates?
[02:28:17.672 --> 02:28:20.073]  Hamas invaders here in the United States of America?
[02:28:20.273 --> 02:28:21.194]  What's the point, dude?
[02:28:21.414 --> 02:28:25.736]  You shouldn't be sitting here pissing and moaning and complaining that people aren't siding with Israel.
[02:28:25.976 --> 02:28:30.198]  You shouldn't be sitting here pissing and moaning and complaining that people aren't siding with Palestine.
[02:28:30.398 --> 02:28:31.999]  These terrorists are here.
[02:28:32.320 --> 02:28:36.862]  You should be getting ready to hold the line here in the United States of America.
[02:28:37.222 --> 02:28:39.425]  A terrorist wants to F around and find out?
[02:28:39.626 --> 02:28:41.609]  Then you be ready to help them find out.
[02:28:41.849 --> 02:28:42.951]  Total self-defense.
[02:28:43.251 --> 02:28:44.092]  Second Amendment.
[02:28:44.112 --> 02:28:50.602]  Stop wasting your time and pussyfooting around trying to get people to side in a war while they're never even going to set foot!
[02:28:53.596 --> 02:28:55.578]  You should be caring about America first now.
[02:28:55.678 --> 02:28:57.499]  I care about American lives now.
[02:28:57.659 --> 02:28:59.560]  I care about American security now.
[02:28:59.721 --> 02:29:01.682]  I care about American prosperity now.
[02:29:02.042 --> 02:29:04.784]  I care about America's economy now.
[02:29:05.064 --> 02:29:07.286]  I care about American's future now.
[02:29:07.586 --> 02:29:10.568]  I care about what's happening with the United States of America now.
[02:29:10.829 --> 02:29:11.309]  Today.
[02:29:11.629 --> 02:29:11.869]  Now.
[02:29:12.089 --> 02:29:12.470]  Today.
[02:29:12.730 --> 02:29:13.350]  My family.
[02:29:13.571 --> 02:29:14.311]  Your family.
[02:29:14.811 --> 02:29:15.092]  You know what?
[02:29:15.112 --> 02:29:15.992]  I'll say this too.
[02:29:16.793 --> 02:29:17.573]  I'll say this too.
[02:29:17.613 --> 02:29:19.515]  There's so many virtue signalers out there.
[02:29:20.678 --> 02:29:23.560]  So many virtue signalers out there like, oh, you should pick a side.
[02:29:23.580 --> 02:29:27.182]  I'm like, it's so, look at the atrocities from both sides.
[02:29:27.202 --> 02:29:27.762]  Yeah, dude.
[02:29:28.202 --> 02:29:28.422]  Yeah.
[02:29:28.442 --> 02:29:29.303]  It's called war.
[02:29:29.543 --> 02:29:30.443]  It kind of happens.
[02:29:31.424 --> 02:29:35.346]  And there's also going to be launched propaganda campaigns from both sides.
[02:29:36.047 --> 02:29:41.410]  Major counterintelligence operations from both sides to gain support for a war.
[02:29:41.430 --> 02:29:42.570]  That's how it works.
[02:29:42.590 --> 02:29:43.591]  I'll be right back.
[02:29:44.111 --> 02:29:44.631]  Alert.
[02:29:45.072 --> 02:29:46.572]  Worldwide alert.
[02:29:47.453 --> 02:29:48.954]  Hamas leaders.
[02:29:49.818 --> 02:29:59.465]  Calling for Global Jihad, Friday, the 13th, 2023, October, which is tomorrow.
[02:30:00.646 --> 02:30:04.809]  I can't emphasize or stress this enough, and I'll say this as well, okay?
[02:30:05.529 --> 02:30:10.092]  Don't listen to these retards out there that are telling you, this is fear porn!
[02:30:10.353 --> 02:30:12.114]  You're overreacting!
[02:30:12.414 --> 02:30:14.035]  You're overpreparing!
[02:30:14.516 --> 02:30:24.735]   Whether it's your own family, whether it's your own friends, Whether it's some retard on Twitter or a comment section, wherever it may be, do not listen to people like that.
[02:30:25.456 --> 02:30:28.298]  I would rather be over-prepared than under-prepared.
[02:30:28.898 --> 02:30:38.705]  Especially when you have legitimate terrorists that have been calling for the death of America for as long as America has existed.
[02:30:38.725 --> 02:30:42.868]  They've been calling for the death of America for as long as it has existed.
[02:30:43.848 --> 02:30:46.150]  And calling for the death of Israel for thousands of years.
[02:30:47.992 --> 02:30:49.652]  And they want to put an end to your life.
[02:30:50.013 --> 02:30:54.094]  Don't listen to people that are sitting here telling you, yeah, could never happen here.
[02:30:54.354 --> 02:30:55.594]  You're overreacting.
[02:30:56.434 --> 02:30:57.815]  Look how stupid you are.
[02:30:58.095 --> 02:30:59.755]  It's nothing but fear porn.
[02:31:00.015 --> 02:31:01.756]  It's nothing but fear porn.
[02:31:02.816 --> 02:31:03.696]  Don't listen to those people.
[02:31:03.716 --> 02:31:04.477]  You want to know something?
[02:31:04.497 --> 02:31:13.119]  Those are, listen, the first ones to laugh and scoff, they are the first ones, okay, to die when it all goes down.
[02:31:13.877 --> 02:31:17.900]  Because I would rather be over-prepared and ready to hold it down for me and my family.
[02:31:18.101 --> 02:31:21.744]  You think that this gay and woke military is going to come save you?
[02:31:21.764 --> 02:31:27.408]  Like I said, these defunded police departments are going to come save you?
[02:31:27.428 --> 02:31:32.252]  You think you're going to pick up 911 when it all goes down, when there's a mass terrorist attack?
[02:31:32.733 --> 02:31:39.758]  When these kill-murder squads start invading American suburbs and neighborhoods like they did in Israel?
[02:31:39.778 --> 02:31:42.701]  I'm telling you, we need to pull out of all of it.
[02:31:43.812 --> 02:31:50.013]  The reason why I'm sounding the alarm is because these are legitimate threats against the United States of America.
[02:31:50.073 --> 02:31:52.834]  That's what you should be concerned about right now.
[02:31:53.714 --> 02:32:03.035]  And if you have a total heart on for Israel, or you have a total heart on for Palestine, then get on a plane and go fly over there and go die for them.
[02:32:03.775 --> 02:32:04.996]  Yeah, you're not gonna do that.
[02:32:05.716 --> 02:32:07.056]  So shut up, okay?
[02:32:07.096 --> 02:32:08.176]  You're not gonna do that.
[02:32:08.536 --> 02:32:09.456]  We all know that.
[02:32:09.817 --> 02:32:12.377]  So shut up and stop talking.
[02:32:13.989 --> 02:32:16.911]  Shut up with your right wing or your left wing virtue signaling.
[02:32:17.631 --> 02:32:20.853]  Just a little keyboard warrior talking all like, oh, I'm gonna go fight.
[02:32:20.893 --> 02:32:21.453]  I'm gonna go.
[02:32:22.214 --> 02:32:22.854]  Let's go to war!
[02:32:22.874 --> 02:32:23.494]  Let's go to war!
[02:32:23.515 --> 02:32:24.275]  Like Lindsey Graham!
[02:32:24.735 --> 02:32:25.416]  Bomb Iran!
[02:32:25.476 --> 02:32:26.056]  Bomb Iran!
[02:32:26.076 --> 02:32:27.457]  We need to bomb Iran immediately!
[02:32:28.337 --> 02:32:35.901]  Guys, like, literally, Lindsey Graham's on Fox News, like, literally, guys, like, he's like edging, you know, when he's talking about bombing Iran.
[02:32:35.921 --> 02:32:37.202]  You guys know what edging is, right?
[02:32:37.562 --> 02:32:40.284]  When you're like on the verge of ejaculating, but you gotta hold it.
[02:32:41.823 --> 02:32:47.026]  Like, any time Lindsey Graham or Mike Pence or that nagger Nikki Haley are saying, BOMB IRAN!
[02:32:47.167 --> 02:32:49.628]  OH, I GOTTA HOLD IT!
[02:32:49.688 --> 02:32:51.729]  BOMB IRAN!
[02:32:51.809 --> 02:32:55.291]  And then you see all these retards, like these right-wing NPCs, like, YEAH!
[02:32:55.331 --> 02:32:55.972]  MORE MONEY!
[02:32:56.212 --> 02:32:57.453]  MORE MONEY TO ISRAEL!
[02:32:57.673 --> 02:32:58.213]  MORE MONEY!
[02:32:58.233 --> 02:32:58.553]  YES!
[02:32:58.573 --> 02:32:58.974]  LET'S GO!
[02:32:58.994 --> 02:32:59.474]  LET'S GO!
[02:32:59.494 --> 02:33:00.354]  LET'S ALL GO DIE!
[02:33:00.415 --> 02:33:01.055]  HOORAY!
[02:33:01.435 --> 02:33:09.160]  Like a bunch of right-wing NPC lemmings just jumping off a cliff to the destruction of the United States.
[02:33:10.305 --> 02:33:11.826]  I don't understand these people, dude.
[02:33:11.866 --> 02:33:13.407]  Like, I really don't.
[02:33:13.967 --> 02:33:17.749]  Other than they're just NPCs and maybe they just don't think what they actually believe through.
[02:33:17.769 --> 02:33:24.192]  So much for, you know, conservative fiscal financial responsibility.
[02:33:24.232 --> 02:33:26.514]  It's like, oh yeah, we definitely can afford that.
[02:33:27.554 --> 02:33:37.519]   Yeah, the American people, the middle class that's getting plunged into poverty, we definitely can afford Afford more multi-billion dollar packages to Israel, to Ukraine.
[02:33:37.539 --> 02:33:41.620]  Oh, and also, we'll send it to the good Palestinians.
[02:33:41.880 --> 02:33:44.341]  It's definitely not going to be used by Hamas.
[02:33:44.821 --> 02:33:50.484]  Just like Iran told us that those multi-billion dollar packages weren't going to be used for Hamas.
[02:33:50.864 --> 02:33:51.544]  Wink, wink.
[02:33:51.944 --> 02:33:53.025]  Oh, it's all going to be great.
[02:33:53.605 --> 02:33:54.565]  It's all going to be great.
[02:33:55.085 --> 02:33:56.666]  You can't trust any of these people, dude.
[02:33:57.412 --> 02:34:01.153]  These people are at war against each other to destroy each other.
[02:34:01.173 --> 02:34:05.974]  They will manipulate and they will pull in any resource that they possibly can.
[02:34:05.994 --> 02:34:08.195]  It's fight or flight.
[02:34:08.215 --> 02:34:09.395]  That's how it's always been.
[02:34:09.695 --> 02:34:13.456]  But right now in 2023, the United States of America cannot afford this.
[02:34:13.696 --> 02:34:15.337]  We cannot sustain this.
[02:34:15.797 --> 02:34:17.617]  You're a retard if you think we can.
[02:34:18.517 --> 02:34:19.618]  Absolutely retarded.
[02:34:20.078 --> 02:34:20.958]  You don't have a mind.
[02:34:21.298 --> 02:34:27.360]   If you think we can sustain another multi-trillion dollar 20 plus war in the Middle East?
[02:34:27.640 --> 02:34:30.422]  You are just living outside of reality.
[02:34:30.502 --> 02:34:41.989]  You are just as retarded and mindless as these homosexual men that claim to be women that chop their penises off to make them feel normal again.
[02:34:42.890 --> 02:34:44.511]  And then say, well, I could get pregnant!
[02:34:44.851 --> 02:34:45.992]  You see, you're the equivalent!
[02:34:46.232 --> 02:34:47.332]  Like, yeah, take all my money!
[02:34:47.352 --> 02:34:48.153]  I'm going poorer!
[02:34:48.433 --> 02:34:49.794]  Here, take all my money, Israel!
[02:34:50.054 --> 02:34:51.154]  Take all my money, Palestine!
[02:34:51.174 --> 02:34:51.535]  Yay!
[02:34:51.555 --> 02:34:54.937]  Yay, just send all of- send all of our children to go die!
[02:34:55.217 --> 02:34:57.018]  To go die some more in the Middle East!
[02:34:58.618 --> 02:34:59.359]  My view's the same.
[02:35:00.396 --> 02:35:01.517]  My view is the exact same.
[02:35:01.557 --> 02:35:03.519]  People are like, oh, Drew, why do you get so passionate?
[02:35:03.759 --> 02:35:04.620]  Why do you get so loud?
[02:35:04.640 --> 02:35:07.202]  Yeah, because these people are leading us into World War III.
[02:35:07.683 --> 02:35:09.665]  These people are leading us into death and destruction.
[02:35:10.145 --> 02:35:18.313]  These people have allowed hundreds of thousands, possibly millions of Muslim terrorist jihadists infiltrate this country the past three and a half years.
[02:35:18.733 --> 02:35:20.054]  Oh, but Drew, you're too loud.
[02:35:20.114 --> 02:35:21.095]  I can't be loud enough.
[02:35:21.916 --> 02:35:22.917]  I can't be loud enough.
[02:35:24.153 --> 02:35:27.315]  Screw all the cucks out there that are like, oh Drew!
[02:35:27.335 --> 02:35:28.156]  Like, it's so shocking.
[02:35:28.176 --> 02:35:29.617]  It's like, wait, you're watching Infowars.
[02:35:30.077 --> 02:35:31.899]  Did you not grow up watching Alex Jones?
[02:35:32.800 --> 02:35:39.204]  Like, did you not grow up watching the passionate alpha Alex Jones just ripping into the New World Order, preaching his lungs out?
[02:35:39.745 --> 02:35:42.747]  It's like, and we're coming out saying, hey America, wake up!
[02:35:43.007 --> 02:35:46.570]  Let's not fund another multi-trillion dollar war, 20 plus years.
[02:35:47.030 --> 02:35:50.773]  We have nothing to show for it other than a botched Afghanistan withdrawal.
[02:35:51.388 --> 02:35:54.409]  And now they're using those weapons, possibly, with what's going on now, today!
[02:35:56.569 --> 02:35:57.089]  I don't care.
[02:35:57.710 --> 02:35:59.470]  I really don't care what anybody has to say.
[02:35:59.610 --> 02:36:00.410]  You know what I'm saying?
[02:36:00.650 --> 02:36:01.310]  It's like, what, what?
[02:36:02.471 --> 02:36:05.592]  If it's too aggressive, go watch, like, Ben Shapiro or something.
[02:36:05.612 --> 02:36:06.172]  You know what I mean?
[02:36:06.212 --> 02:36:08.212]  Just, like, Hamas is bad.
[02:36:08.632 --> 02:36:09.052]  Did you know that?
[02:36:09.592 --> 02:36:10.313]  Hamas is really bad.
[02:36:10.673 --> 02:36:10.993]  Did you know?
[02:36:11.633 --> 02:36:13.073]  Oh, and we have another war.
[02:36:13.713 --> 02:36:14.254]  The war's crazy.
[02:36:14.694 --> 02:36:16.114]  Have you seen the photos?
[02:36:16.754 --> 02:36:17.414]  Hamas are savages.
[02:36:18.795 --> 02:36:19.755]  Our border's wide open.
[02:36:20.515 --> 02:36:20.996]  Bears are here.
[02:36:21.017 --> 02:36:21.498]  Did you know that?
[02:36:22.561 --> 02:36:22.781]  Great.
[02:36:23.282 --> 02:36:23.643]  Really great.
[02:36:24.466 --> 02:36:25.829]  And, uh, you should be outraged.
[02:36:26.130 --> 02:36:26.711]  This shit outraged you.
[02:36:27.092 --> 02:36:27.534]  Are you outraged?
[02:36:27.554 --> 02:36:28.857]  You should be outraged.
[02:36:29.682 --> 02:36:31.784]  Go watch Fox News or something, you know what I mean?
[02:36:31.824 --> 02:36:33.825]  It's just like, get the cucks out of here, dude.
[02:36:34.025 --> 02:36:36.287]  This is exactly what I've been talking about for the past few years.
[02:36:36.327 --> 02:36:44.353]  Get the cucks that are all cucked out because Drew Hernandez or Alex Jones or Owen Schweiart, you're being a little too loud.
[02:36:45.774 --> 02:36:47.696]  I need my right wing safe space.
[02:36:47.916 --> 02:36:49.517]  You're being too loud for me, Drew.
[02:36:49.797 --> 02:36:50.678]  Oh my God.
[02:36:51.118 --> 02:36:57.223]  Why don't you go share a safe space with all the homosexuals that like chopping their penises off on these college campuses?
[02:36:57.683 --> 02:36:59.145]  Yeah, go share a safe space.
[02:36:59.685 --> 02:37:04.531]  Let the real men and the alpha men and women handle this and hold it down here in the homeland.
[02:37:04.911 --> 02:37:05.712]  Hold the line.
[02:37:06.053 --> 02:37:06.874]  Self-defense.
[02:37:07.174 --> 02:37:14.102]  We have terrorists in this country that have just been greenlit for global jihad tomorrow.
[02:37:16.305 --> 02:37:22.811]  It's like, and you got all these retards out there that are like, oh, oh, oh my God, you should, you should just be supporting Israel more.
[02:37:23.251 --> 02:37:23.712]  Why, what?
[02:37:23.752 --> 02:37:30.658]  You're not, you aren't, oh my gosh, you aren't triggered by the fact that Israelis are being slaughtered.
[02:37:30.678 --> 02:37:36.283]  Oh, you're not triggered by the fact that Palestinians are being slaughtered.
[02:37:36.323 --> 02:37:38.285]  It's like, yeah, dude, it's been happening for thousands of years.
[02:37:38.325 --> 02:37:41.028]  Tell me something that's, uh, that I don't know.
[02:37:43.365 --> 02:37:44.366]  Wow, what else is new?
[02:37:44.987 --> 02:37:49.551]  Great, so what, you want Americans to get sucked into it and go die for this now?
[02:37:50.571 --> 02:37:53.154]  That's great dude, if you want to do that, then go, be my guest, go.
[02:37:53.194 --> 02:37:56.417]  Go die for Israel, go die for Palestine, go die for these people.
[02:37:57.338 --> 02:38:04.564]  I'm gonna stay here, protect my family, and get ready for these people because they're calling for global jihad tomorrow.
[02:38:04.584 --> 02:38:15.106]   So I would rather be over-prepared Holding it down America first, then wasting my time like a retard trying to get people to pick sides in a war that, you know, I'm never going to go visit that land.
[02:38:15.546 --> 02:38:17.707]  So shut up with all your virtue signaling.
[02:38:18.107 --> 02:38:19.188]  It's America first.
[02:38:19.588 --> 02:38:22.330]  If it's not America first, then get the hell out of here.
[02:38:22.350 --> 02:38:23.271]  It's as simple as that.
[02:38:23.331 --> 02:38:23.911]  Come on, dude.
[02:38:24.391 --> 02:38:39.197]   Obviously, those that are pro-Second Amendment and that fundamentally understand what it means to be an American, self-defense, to resist a tyrannical government, to pick up arms, You understand this.
[02:38:41.298 --> 02:38:42.778]  But I'll tell you, there's a reason why.
[02:38:42.838 --> 02:39:04.244]  Why do you think the New World Order, why do you think these socialists, these communists, these globalists, and all their proxies that have invaded culture, that have invaded education spaces, that have invaded American media, obviously American politics, are all anti-Second Amendment, are all anti-gun, pro-gun control?
[02:39:04.264 --> 02:39:05.664]  I'll tell you right now.
[02:39:06.764 --> 02:39:09.125]  This is not supposed to happen.
[02:39:10.506 --> 02:39:11.827]  And you say, what do you mean by that?
[02:39:11.867 --> 02:39:18.310]  Because with their gun control narrative, right now, a lot of people are buying guns as they should.
[02:39:18.350 --> 02:39:20.051]  That's why we are sounding the alarm.
[02:39:20.071 --> 02:39:21.412]  That's the purpose of it.
[02:39:22.893 --> 02:39:28.476]  I think that's America's problem with a lot of Americans when they sit there and they say, well, that can never happen here.
[02:39:28.616 --> 02:39:30.397]  Oh, yes, it very well can happen here.
[02:39:31.232 --> 02:39:32.733]  And it very well will happen here.
[02:39:33.273 --> 02:39:34.494]  And the media will run cover.
[02:39:35.074 --> 02:39:36.075]  It's already been happening.
[02:39:36.595 --> 02:39:51.663]  The media has already established, those that wave Don't Tread Me flags, the FBI, Trump supporters, right-wingers, right-wing domestic terrorists, they've already established those are domestic terrorists.
[02:39:52.203 --> 02:40:03.490]   So when these terror cells are getting activated, you've already seen this with the BBC and some Canadian media, Media outlets around the world are now retracting their statements calling Hamas terrorists?
[02:40:04.970 --> 02:40:09.351]  Especially right after Black Lives Matter, which is no surprise, comes out in their full support of Hamas?
[02:40:10.271 --> 02:40:11.111]  And their actions?
[02:40:11.411 --> 02:40:12.611]  And their acts of terrorism?
[02:40:12.631 --> 02:40:12.871]  Yeah!
[02:40:13.111 --> 02:40:14.872]  Because terrorists recognize terrorists!
[02:40:16.092 --> 02:40:17.432]  But what did the media do in 2020?
[02:40:17.672 --> 02:40:20.813]  To run cover for Antifa and Black Lives Matter?
[02:40:21.493 --> 02:40:22.513]  What did the media do?
[02:40:22.753 --> 02:40:24.413]  I watched this, on the ground.
[02:40:25.514 --> 02:40:27.834]  Called them protesters, refused to call them terrorists.
[02:40:29.139 --> 02:40:30.580]  Refused to call them arsonists.
[02:40:31.880 --> 02:40:33.461]  Refused to call them rioters.
[02:40:34.261 --> 02:40:36.122]  Would only call them protesters.
[02:40:37.263 --> 02:40:43.646]  And in some cases, maybe resistance against oppression and white supremacy, right?
[02:40:44.946 --> 02:40:46.907]  That was just a test run of things to come.
[02:40:47.287 --> 02:40:48.548]  Look what they did in France.
[02:40:48.848 --> 02:40:49.788]  Look what they've done in Europe.
[02:40:50.909 --> 02:40:57.516]   When these Islamic terrorists get activated in this country, You think that the American media is going to report on it?
[02:40:57.576 --> 02:41:06.243]  You think that CNN, you think that Fox News is going to report to the world the accurate truth like they did in 2020, right?
[02:41:07.184 --> 02:41:30.194]   You think that this American machine that has been inverted against the American people, that has been infiltrated, that is filled with turncoats, traitors, globalists, pedophiles, pro-gun control, anti-Second Amendment, anti-Constitution, Satanic Luciferians in this country are gonna allow the real narrative to come out when it all goes down?
[02:41:30.934 --> 02:41:31.175]  No.
[02:41:31.815 --> 02:41:32.816]  They'll flip it on you.
[02:41:33.056 --> 02:41:34.077]  And they're already doing it.
[02:41:35.118 --> 02:41:36.139]  You will be the terrorist.
[02:41:36.299 --> 02:41:37.560]  That's already been established.
[02:41:38.641 --> 02:41:39.742]  So if they launch this...
[02:41:40.643 --> 02:41:42.684]  And I hope that this is just a dud.
[02:41:43.584 --> 02:41:49.386]  I hope that this call for global jihad tomorrow, I hope not a single shot is fired in the United States of America.
[02:41:49.526 --> 02:41:51.246]  I hope that we're wrong about this.
[02:41:51.286 --> 02:41:52.006]  You want to know why?
[02:41:52.346 --> 02:41:54.127]  Because I don't want to see people die.
[02:41:54.847 --> 02:41:56.468]  However, you got to be prepared.
[02:41:57.048 --> 02:42:00.129]  If there's anybody that's about it, it's these Islamic terrorists.
[02:42:00.589 --> 02:42:01.529]  That's their doctrine.
[02:42:01.789 --> 02:42:03.109]  That's their belief system.
[02:42:03.509 --> 02:42:04.850]  That's their holy books.
[02:42:05.310 --> 02:42:06.430]  This is how they function.
[02:42:06.630 --> 02:42:08.611]  And it's all directed to their false god.
[02:42:10.134 --> 02:42:11.195]  They're all in allegiance.
[02:42:11.235 --> 02:42:16.417]  They're willing to lay down their lives, straight martyrdom, to execute the unbeliever, the infidel.
[02:42:16.657 --> 02:42:25.182]  So yes, all of the two-way advocates across the United States of America, mount up, load up, lock and load, and be ready.
