[00:00:00.249 --> 00:00:01.410]  Z for defeat.
[02:44:12.371 --> 02:44:13.952]  And by the way, this has been published.
[02:44:14.392 --> 02:44:18.173]  In their book, Remaking the World Towards an Age of Global Enlightenment.
[02:44:18.213 --> 02:44:21.355]  This is the UN100 and the Boston Global Forum.
[02:44:21.435 --> 02:44:32.219]  I've spoken about this before, but please, if you're not familiar with my series, go to zmedia.com, head to the interviews page and look up AI apocalypse or the words Agenda 2045.
[02:44:33.639 --> 02:44:44.963]  I'm planning on compiling that four-part series into one video and I will have it up on band very soon because it's, I think, one of the most important series I've ever done on this subject.
[02:44:45.443 --> 02:45:00.628]  But basically in that book, the United Nations or the UN100 and the Boston Global Forum, which is headed up by Michael Dukakis, strangely enough, and Ursula von der Leyen has contributed and all of these insane people have contributed.
[02:45:01.397 --> 02:45:10.000]  In that book, Remaking the World Towards an Age of Global Enlightenment, they say you are now an AI world citizen inside the AI world society.
[02:45:10.040 --> 02:45:12.561]  You're an object in their digital world.
[02:45:12.601 --> 02:45:16.722]  They want to transition you from a real life into a fake life in the metaverse.
[02:45:17.222 --> 02:45:23.925]  And the way that they're going to do that is by, through the United Nations 2030 Sustainable Development Goals.
[02:45:24.365 --> 02:45:26.546]  It's too dangerous for you to be outside.
[02:45:26.566 --> 02:45:29.467]  You're going to cause a pandemic if you interact with nature.
[02:45:29.507 --> 02:45:31.888]  So we need to limit humans going into nature.
[02:45:32.248 --> 02:45:34.549]  We need to limit our emissions.
[02:45:35.481 --> 02:45:40.582]  We need to stop human beings from living their normal lives because it's harming the climate.
[02:45:40.602 --> 02:45:45.743]  Never mind that we fly around on private jets and eat succulent meats at COP28.
[02:45:46.043 --> 02:45:47.444]  Never mind that, peasants.
[02:45:47.844 --> 02:45:51.905]  You need to sit at home and live your life out in the metaverse.
[02:45:52.745 --> 02:45:57.406]  And so that is the published goal of the United Nations, everyone.
[02:45:57.786 --> 02:45:58.986]  I am not exaggerating.
[02:45:59.266 --> 02:46:00.386]  I am not exaggerating.
[02:46:00.727 --> 02:46:02.647]  These people are sick in the head.
[02:46:03.320 --> 02:46:04.941]  And they are particularly upset with me.
[02:46:05.121 --> 02:46:17.945]  Even Antonio Guterres' personal secretary responded to a hit piece about me, thanks to the Australian Associated Press, who refused to remove the label that I'm a prominent misinformation spreader.
[02:46:17.965 --> 02:46:19.806]  They continue to publish articles about it.
[02:46:19.886 --> 02:46:21.026]  More on that coming soon.
[02:46:21.046 --> 02:46:22.387]  We're watching you, AAP.
[02:46:23.207 --> 02:46:35.499]  And so the United Nations, Antonio Guterres, personal secretary, responded to a hit piece about me when I exposed that the United Nations are backing the 8 March principles.
[02:46:35.539 --> 02:46:36.780]  What are the 8 March principles?
[02:46:36.820 --> 02:46:39.262]  Well, they call for the legalisation of pedophilia.
[02:46:40.984 --> 02:46:45.448]  Or, in other words, they call to decriminalise sex with minors.
[02:46:46.966 --> 02:46:56.254]  And the United Nations claims, oh no, no, we just are supportive of decriminalising when minors have sex with minors.
[02:46:56.274 --> 02:46:59.537]  Well, that's not what the 8th March Principles says, ladies and gentlemen.
[02:46:59.797 --> 02:47:06.002]  So if you're going to talk about sex with minors and what you're supporting, you better be as clear as day.
[02:47:07.626 --> 02:47:19.101]  And make it explicitly clear in your documentation that you're not actually talking about old men having sex with kids like you all do in the shadows.
[02:47:21.972 --> 02:47:39.280]  I want to really briefly, in light of the fact that Alex is now back on X and the team are being reinstated and InfoWars has been released out of the digital prison on X, I want to talk about something that Elon is doing in Australia right now.
[02:47:39.340 --> 02:47:49.205]  Team, if you can bring up the news.com.au article, X formerly Twitter fined $610,000 by the eSafety Commissioner for reporting failure.
[02:47:49.907 --> 02:48:08.173]  That is, and if you look at the second line in that headline, it says, X, formerly known as Twitter, has been fined more than $600,000 after failing to answer questions about how it's tackling online sexual crimes.
[02:48:08.233 --> 02:48:12.514]  That article, team, is the first one that I've sent through, if you can bring it up.
[02:48:13.254 --> 02:48:24.711]  And so, basically, the mainstream news outlets in Australia are reporting that X has been fined for failing to answer questions about tackling online sexual crimes.
[02:48:24.791 --> 02:48:41.618]   What they've failed to tell you, though, Is that, that's not the only thing that the eSafety Commissioner requested from X. She, which by the way, Trace Inman Grant, Julie Inman Grant, has become the head of the Ministry of Truth of Australia.
[02:48:41.678 --> 02:48:43.739]  What she says is a hate crime goes.
[02:48:44.279 --> 02:48:55.343]  What she's demanded of X is not just that, it's also about why X is essentially not tackling what they deem to be hate speech on the platform.
[02:48:56.047 --> 02:49:02.649]  So X didn't respond to that because it's a ridiculous request because there is no hate speech.
[02:49:03.769 --> 02:49:17.092]  It's just free speech with people getting their feelings hurt and people declaring the fact that a biological man can't be a woman just because he dresses like one or just because he cuts off his genitals.
[02:49:19.161 --> 02:49:31.089]  There's just facts now on X and so of course people's feelings are hurt because they're not protected by the cushion of misinformation, the misinformation police on there anymore.
[02:49:31.890 --> 02:49:40.016]  And so after the break I want to show you how the same request was made of Google but they weren't fined.
[02:49:40.888 --> 02:49:41.949]  Only X was!
[02:49:42.589 --> 02:49:45.411]  And so Elon's fighting this back now and why is this important?
[02:49:45.471 --> 02:49:52.935]  It's important because of the legislation coming down the pipeline and something in particular that Elon said in that two hour space with Alex.
[02:49:53.235 --> 02:49:54.616]  We'll be right back after this break.
[02:49:54.656 --> 02:49:55.476]  Don't go anywhere.
[02:49:55.836 --> 02:49:57.878]  This is information everyone needs to know.
[02:49:58.318 --> 02:49:59.118]  Welcome back!
[02:49:59.278 --> 02:50:16.583]   Well, the great news that I have for everyone today And it's absolutely monumental news is that there are two bills right now in the United States that seek to fully withdraw the U.S.
[02:50:16.663 --> 02:50:22.287]  from the United Nations and the World Health Organization and all of their associated entities.
[02:50:23.008 --> 02:50:26.150]  The two bills in question, and the team can bring them up, are H.R.
[02:50:26.170 --> 02:50:26.791]  6645 and S.
[02:50:30.037 --> 02:50:31.739]  Three, four, two, eight.
[02:50:31.799 --> 02:50:44.631]  These two companion pieces of legislation in the House and the Senate seek to have the United States exit the UN and exit the World Health Organization and all related conventions and agreements.
[02:50:44.691 --> 02:51:03.348]   And I want to give props to Representative Chip Roy in Texas and Representative Mike Rogers They are the sponsor and initial co-sponsor of HR6645 and Senator Mike Lee in Utah has sponsored identical companion legislation in the Senate.
[02:51:03.388 --> 02:51:05.529]  That's S3428.
[02:51:05.909 --> 02:51:08.671]  Congratulations to these representatives.
[02:51:09.471 --> 02:51:13.753]  This is absolutely heroic and needed in every single country.
[02:51:14.174 --> 02:51:27.640]  And so where I want to direct people, because this news needs to be shared everywhere and there is actually an action item on this Substack which allows you to send an email to your Senators and Members of Congress.
[02:51:27.700 --> 02:51:29.501]  It's been put together by James Roguski.
[02:51:30.081 --> 02:51:42.964]  If you go to jamesragowski.substack.com or just enter the address stoptheglobalagenda.com, you can support these representatives bringing this in.
[02:51:43.084 --> 02:51:50.106]  I'm telling you this is one of the most important things your country can do because we can continue to address the symptoms.
[02:51:50.166 --> 02:52:03.529]   Every time you see pedophile story time being pushed in schools or libraries or whatever it may be, You know, you can put out that little fire and kudos to the people that do.
[02:52:03.549 --> 02:52:08.811]  But it will not stop if you do not cut out the root of the cancer.
[02:52:09.091 --> 02:52:21.194]  And the root of the cancer is the United Nations and the WHO who talk about the fact that we need to teach children about sex and masturbation and things that just do not belong in a child's mind.
[02:52:21.254 --> 02:52:28.217]   And I'm sorry to be so direct about this, but people need to understand These are their published documents.
[02:52:28.237 --> 02:52:31.580]  This is what the World Health Organization wants to teach your little children.
[02:52:31.880 --> 02:52:34.362]  Your little children, they want to teach this in schools.
[02:52:34.823 --> 02:52:45.331]  So please, everyone, go to stoptheglobalagenda.com or James Rogoski's Substack and look at the Exit the United Nations and the WHO publication and everyone get behind this.
[02:52:45.432 --> 02:52:47.033]  Again, there is an action item there.
[02:52:47.453 --> 02:52:48.734]  Everyone can take action.
[02:52:49.394 --> 02:52:59.239]  You can see that Representative Chip Roy stated that this year the UN's corruption and its despicable, brazen political agenda have been on full display.
[02:52:59.639 --> 02:53:04.821]  Senator Mike Lee, pardon me, said no more blank checks for the United Nations.
[02:53:04.981 --> 02:53:13.890]   Americans' hard-earned dollars have been funneled into initiatives That fly in the face of our values, enabling tyrants, betraying allies and spreading bigotry.
[02:53:14.191 --> 02:53:17.135]  With the Defund Act we're stepping away from this debacle.
[02:53:17.315 --> 02:53:18.597]  Huge, huge news.
[02:53:18.977 --> 02:53:21.020]  So please share that everywhere with everyone.
[02:53:21.954 --> 02:53:33.180]  OK, just before I move on to the digital ID aspect of this broadcast today, I want to show you what the E-Safety Commissioner published.
[02:53:33.240 --> 02:53:39.923]  And this is what the mainstream media in Australia and everywhere around the world isn't talking about when it comes to this fine for Eamon.
[02:53:41.525 --> 02:53:57.259]  Guys, if you bring up the link, the second link that I sent, which is the esafety.gov.au link, Basic Online Safety Expectations, and they've said that this is the summary of industry responses to mandatory transparency notices.
[02:53:57.299 --> 02:53:59.361]  If you can't find the link, it's no big deal.
[02:53:59.921 --> 02:54:03.585]  But this was the official publication of the eSafety Commissioner.
[02:54:04.565 --> 02:54:07.866]  Who, again, is like the head of the Ministry of Truth in Australia.
[02:54:07.886 --> 02:54:11.108]  She's worked with the White House, loves, like, all this trans stuff.
[02:54:11.808 --> 02:54:31.495]  And October 2023, this was published and what their findings were, were that not only did X not respond to this ridiculous request about hate speech, there it is, everyone can view this, I've read the report and I've read what their findings were.
[02:54:32.529 --> 02:54:39.692]  And they openly say in that report that Google also didn't meet the expectations about child safety.
[02:54:40.752 --> 02:54:56.057]  Google also didn't meet the expectations of X. Google also didn't respond in a timely manner just as X didn't, except the difference is Google walked away with a slap on the wrist, a simple warning, while X was fined over $600,000.
[02:54:58.723 --> 02:55:02.225]  And so this is absolutely vital for everyone to understand.
[02:55:03.466 --> 02:55:07.849]  And I know that everyone's still going through the process of feeling their way out about Elon.
[02:55:07.989 --> 02:55:09.511]  I've been very open about this.
[02:55:09.831 --> 02:55:13.353]  But I will say that actions speak louder than words.
[02:55:13.914 --> 02:55:18.737]  And so far, Elon has been taking action to actually protect free speech.
[02:55:18.777 --> 02:55:23.020]  What he's doing now in return is suing the E-Safety Commission.
[02:55:23.360 --> 02:55:26.162]  X is actually suing them back for this fine.
[02:55:26.522 --> 02:55:30.102]   And so I hope I hope that they succeed in that.
[02:55:30.523 --> 02:55:31.204]  I really do.
[02:55:31.224 --> 02:55:35.632]  The Commissioner has been behaving like an absolute tyrant in our country.
[02:55:39.686 --> 02:55:48.413]  Now, I want to show everyone, team, if you can bring up HR 4258, you had it up before, the Improving Digital Identity Act of 2021.
[02:55:48.933 --> 02:55:54.397]  This is a bill that was introduced in the United States on the 30th of June 2021.
[02:55:55.058 --> 02:55:59.041]  Now, there hasn't been a whole lot of progress on the bill since.
[02:56:00.002 --> 02:56:02.684]  That doesn't mean that it's not a danger to your country.
[02:56:03.723 --> 02:56:12.510]  I'm going to talk to you in a moment about the Online Safety Act in the UK and the Digital ID Bill in Australia and why this matters for the whole world.
[02:56:12.690 --> 02:56:15.433]  I know that Europe has also introduced similar things.
[02:56:16.033 --> 02:56:21.398]  And if the US thinks that it's not going to come to you, it's already there.
[02:56:21.458 --> 02:56:22.899]  It's already been proposed.
[02:56:23.379 --> 02:56:25.181]  It's just sitting there dormant.
[02:56:25.954 --> 02:56:31.216]  And the online safety bill in the UK that I mentioned earlier in this broadcast, and I've sent that link to the team.
[02:56:31.256 --> 02:56:32.757]  You don't really have to bring it up, guys.
[02:56:33.618 --> 02:56:34.938]  But it's passed.
[02:56:34.998 --> 02:56:36.419]  It's actually passed.
[02:56:37.439 --> 02:56:41.361]  And this was a six-year journey to get this bill to where it is.
[02:56:41.381 --> 02:56:45.363]  I want to read some of the alarming things from it.
[02:56:46.118 --> 02:56:49.220]  It's a regulatory framework for freedom of speech.
[02:56:49.261 --> 02:56:53.984]  Think about having a regulatory framework for, quote, freedom of speech.
[02:56:54.805 --> 02:56:58.027]  It defeats the purpose of even saying freedom of speech.
[02:56:58.127 --> 02:57:01.890]  What it is, is a regulatory framework for speech in general.
[02:57:03.211 --> 02:57:21.196]   And under the pursuit, under the guise of what they call duty of care for big tech, They introduced it in 2021 and started to get it pushed through and it went from 145 pages to over 260 pages by 2023.
[02:57:21.236 --> 02:57:35.154]   And they say they want to protect users from harmful material, which is exactly what Julie Inman Grant claims she's doing, except She'll find X, but she won't find Google for not protecting people from harmful material.
[02:57:35.335 --> 02:57:36.478]  That's really weird, isn't it?
[02:57:36.919 --> 02:57:39.305]  That's really, really weird, Julianne McGrath.
[02:57:40.740 --> 02:57:58.991]  The good thing about the Online Safety Act in the UK is that it stops children from gaining access to adult content and you would see that now certain countries are requiring people to take a selfie before they view adult content online.
[02:57:59.031 --> 02:58:00.852]  I'm not sure how I feel about that.
[02:58:01.332 --> 02:58:08.701]   However, what I want to say here is that they They claim that they're protecting children from adult content.
[02:58:08.761 --> 02:58:12.884]  It's all done under this guise because everyone agrees they want to protect children, right?
[02:58:13.344 --> 02:58:25.394]  But what it is, is that's the cloak for what they're actually doing, which is locking you into what they call a zero-trust internet model, where everything you do is tracked and traced and monitored online.
[02:58:26.178 --> 02:58:30.423]  And then the responsibilities put on Big Tech to track, trace and monitor.
[02:58:30.723 --> 02:58:34.587]  And when they can't comply, they have to leave the country, which is happening in the UK.
[02:58:34.867 --> 02:58:35.488]  Don't go anywhere.
[02:58:35.508 --> 02:58:37.050]  This is relevant to everyone.
[02:58:37.717 --> 02:58:40.259]  Welcome back to the Alex Jones Show.
[02:58:40.359 --> 02:58:44.982]  I'm your guest host, Maria Z of ZMedia.com, and it's an honour to be with you today.
[02:58:45.022 --> 02:58:50.226]  Before the break, we were talking about a potential positive aspect of the UK's Online Safety Act.
[02:58:50.586 --> 02:59:05.099]   But when you hear the rest of what this allows the UK government to do, and it's exactly what they're trying to do in Australia, all of Europe, and I dare say eventually in the United States as well, considering you've already got a bill there, Listen to this.
[02:59:05.460 --> 02:59:10.290]  This bill has allowed the government to read all of your messages on Metta.
[02:59:11.085 --> 02:59:15.829]  On all apps, but also on encrypted apps like WhatsApp and Signal.
[02:59:15.889 --> 02:59:31.720]  And it's so dystopian and so invasive that WhatsApp and Signal have actually said we will no longer be able to provide our apps, our services in the UK, because this completely violates our customers, our users' privacy.
[02:59:32.040 --> 02:59:38.725]  We can't uphold our privacy, you know, commitment to our customers.
[02:59:39.392 --> 02:59:40.293]  With this in place.
[02:59:40.993 --> 02:59:43.795]  And so they're saying they're now having to leave the UK.
[02:59:45.496 --> 02:59:52.960]  It has real-time monitoring of your messages, which means even as you're typing them on Signal or WhatsApp.
[02:59:53.000 --> 03:00:04.928]  Now think about this, you know, Tucker Carlson spoke about the fact that his Signal was being watched by the government when he was, you know, arranging to interview President Putin.
[03:00:06.152 --> 03:00:10.518]  And that was a huge thing, that his signal was being spied on.
[03:00:10.798 --> 03:00:16.645]  No one should be spied on, especially not journalists, just trying to organise a conversation.
[03:00:17.346 --> 03:00:22.453]  But the UK government has gone so far as to say they can constantly spy on these apps.
[03:00:23.464 --> 03:00:30.730]  There's a fine of £18 million or $32 million, sorry, for Big Tech if they don't comply.
[03:00:30.750 --> 03:00:41.540]  And then senior managers at Big Tech face fines and criminal prosecution, jail time, if they don't police content online, users.
[03:00:42.160 --> 03:00:43.901]  Can get six months of jail time.
[03:00:44.341 --> 03:00:56.045]  Remember the journalist, Alex Harimono, his name's escaping me right now, but he's the one who broke the story about Trudeau welcoming an actual Nazi into Parliament and the standing ovation that happened there.
[03:00:56.065 --> 03:00:58.806]  And he was actually arrested for that in the UK.
[03:00:59.666 --> 03:01:06.250]  So this is, they're talking about six months of jail time for anyone who tells the truth in the UK.
[03:01:06.650 --> 03:01:08.271]  This is regular people, yeah?
[03:01:08.291 --> 03:01:12.053]  So you know how Alex always says, they came after me and then they're going to come after you.
[03:01:12.293 --> 03:01:19.818]  They'll debank, they'll de-platform, they'll do all of this as a test case for the people and then they'll do it to the rest of the people.
[03:01:19.858 --> 03:01:23.820]  This is what the digital dictatorship social credit system is, guys.
[03:01:24.700 --> 03:01:25.641]  This is what it is.
[03:01:26.385 --> 03:01:29.266]  And it's not just a temporary freezing of your bank account.
[03:01:29.646 --> 03:01:36.809]  You are permanently not allowed to participate in society because you said the wrong thing, you thought the wrong thing, you didn't get enough injections.
[03:01:38.149 --> 03:01:40.090]  This is their model for the future.
[03:01:41.027 --> 03:01:56.720]  This is why it's so important, these two bills that I mentioned before about the United States exiting the UN and the WHO because they're the ones that are bringing this stuff forward is so crucial for everyone and I might get the team to bring it up again at the end of the broadcast but...
[03:01:57.998 --> 03:02:08.346]  It allows the government, through their government-approved software, to scan through your phone, files, photos, everything, for what they say is illegal content.
[03:02:08.366 --> 03:02:11.368]  And of course, that term is broad and can change every single day.
[03:02:12.629 --> 03:02:21.395]  They say that it's going to be used to, quote-unquote, clamp down on online trolls, but it requires big tech to verify all users.
[03:02:21.436 --> 03:02:24.598]  And this is where we come into the Australian discussion.
[03:02:25.765 --> 03:02:28.706]  Tim, if you can bring up Senator Malcolm Roberts.
[03:02:29.606 --> 03:02:33.727]  He's tweeted two things and made a request of Elon.
[03:02:33.747 --> 03:02:42.830]  And in this, in his request, basically what's happened is there's a senator in Australia who's introduced this digital ID bill here.
[03:02:42.870 --> 03:02:44.831]  Her name is Senator Katie Gallagher.
[03:02:45.731 --> 03:02:56.193]   Anyone who wants to learn more about her can go and look up a video on YouTube on Senator Gallagher and mansplaining where she made an absolute Full of herself and that went viral.
[03:02:56.554 --> 03:03:04.915]  But dear Elon Musk, this is Senator Malcolm Roberts who said this and you would all recall, regular viewers of this broadcast, he's been on here with me.
[03:03:05.035 --> 03:03:09.616]  Very brave senator, fantastic senator out of Australia who came on InfoWars.
[03:03:09.956 --> 03:03:10.696]  We love him here.
[03:03:11.556 --> 03:03:18.177]  But he's talking about the fact that senators in Australia can turn off their comments and it's a threat to Australian democracy.
[03:03:18.217 --> 03:03:27.304]   So he's actually making an appeal here to Elon to stop Government representatives being able to censor comments.
[03:03:28.021 --> 03:03:41.288]  Because Senator Katie Gallagher, who introduced the Digital ID Bill, you know, for safeguarding and transparency and all of these buzzwords they like to use, is so transparent that she has her comments off.
[03:03:41.588 --> 03:03:42.908]  And let me play you a clip.
[03:03:43.129 --> 03:03:46.710]  Guys, if you can cue up the clip of Senator Gallagher.
[03:03:46.730 --> 03:03:50.232]  It's called Katie Gallagher, Digital ID.
[03:03:50.672 --> 03:03:53.514]  And just watch what she actually said in our Parliament.
[03:03:54.234 --> 03:04:03.501]   This is the single biggest When you meet with business, when you meet with small business, this is the thing that they want in place.
[03:04:03.541 --> 03:04:07.024]  They want a regulator in place, they want legislation around it.
[03:04:07.144 --> 03:04:11.127]  It is not about giving anybody a digital identity.
[03:04:15.170 --> 03:04:18.132]  The bill's called the Digital ID Bill.
[03:04:18.152 --> 03:04:24.697]  It's not about giving anyone a digital identity, she says.
[03:04:25.527 --> 03:04:28.852]  As she introduces the digital ID bill.
[03:04:31.436 --> 03:04:35.422]  Guys, can you play the clip of Matt Canavan responding to that, please?
[03:04:37.237 --> 03:04:43.323]  I just heard the minister in her contribution say that this bill is not about a digital identity.
[03:04:43.843 --> 03:04:46.005]  The bill is called the Digital ID Bill 2023!
[03:04:46.165 --> 03:04:50.670]  I mean, talk about misinformation here!
[03:04:51.190 --> 03:04:56.315]  Why is your bill called the Digital ID Bill 2023 if it's not about providing a digital ID?
[03:04:59.868 --> 03:05:12.041]  And if you see here, digital ID is not compulsory, it's voluntary, secure and convenient way for you to access online services safely without having your personal documents stored by third parties.
[03:05:12.081 --> 03:05:12.802]  That is false.
[03:05:13.863 --> 03:05:21.531]   Guys, if you can bring up where she actually got community noted, I retweeted, but you can't You can't actually mention her even.
[03:05:21.591 --> 03:05:23.933]  She's a serving representative.
[03:05:23.953 --> 03:05:25.254]  You can't comment on her stuff.
[03:05:25.274 --> 03:05:26.255]  You can't mention her.
[03:05:26.275 --> 03:05:28.556]  But she got community noted on that.
[03:05:28.637 --> 03:05:36.323]  Labeling digital ID as voluntary can be misleading if it becomes an implicit requirement for essential services.
[03:05:36.383 --> 03:05:37.824]  And that is exactly the point.
[03:05:38.144 --> 03:05:54.893]  So this Senator who says this is not about a digital ID, as she introduces this monster legislation which I spent a huge amount of time reading yesterday, digital ID bill, it's not about a digital ID, gets mocked in Parliament.
[03:05:55.934 --> 03:06:11.913]   She's, I mean, it's unbelievable, is also posting misinformation on X, getting community noted, Getting called out by other Senators for the fact that she's got all her comments off, she can't be mentioned.
[03:06:12.974 --> 03:06:25.583]  She is promoting censorship on her own ex-account and yet she wants to talk to us about transparency and keeping people safe online and businesses are apparently demanding.
[03:06:26.023 --> 03:06:27.524]  Businesses are demanding!
[03:06:28.204 --> 03:06:32.807]  This is when she goes out and talks to businesses, they all want a digital ID!
[03:06:33.188 --> 03:06:33.528]  Really?
[03:06:34.255 --> 03:06:45.718]  Pretty sure small businesses are still trying to claw back their costs from the time that people like you, Senator Gallagher, supported lockdowns and injection mandates.
[03:06:45.758 --> 03:06:48.619]  Which, by the way, weren't compulsory either.
[03:06:49.279 --> 03:06:50.440]  Remember that, everyone?
[03:06:51.080 --> 03:06:53.121]  Injections weren't compulsory either.
[03:06:53.261 --> 03:06:56.662]  You just had to get one to keep your job and keep feeding your children.
[03:06:56.682 --> 03:07:01.023]  Yeah, voluntary.
[03:07:01.843 --> 03:07:05.307]  But this digital ID bill in Australia is very, very dystopian.
[03:07:05.327 --> 03:07:07.349]  And it matters for the whole world.
[03:07:07.830 --> 03:07:13.316]  In the next segment, I'm going to talk about how Bill Gates is actually trying to roll this out worldwide.
[03:07:14.117 --> 03:07:28.565]   And again, When you see this type of thing happening in lockstep in every country like you did with COVID, like you did with the lockdowns, like you are with climate change, you know that there's a wider agenda at play here.
[03:07:28.925 --> 03:07:33.929]  And so just because it's happening over the other side of the world doesn't mean it's not important to everyone.
[03:07:33.949 --> 03:07:35.871]  That's why I spoke about the UK bill.
[03:07:36.211 --> 03:07:40.896]  What has just been imposed on the UK population is horrific.
[03:07:40.956 --> 03:07:42.357]  We should rally behind them.
[03:07:42.717 --> 03:07:46.579]  What they're trying to impose on the Australian population is horrific!
[03:07:47.259 --> 03:07:56.384]  What they did to Canadians when they made it so that you can't see local accounts that are desperately trying to tell them the truth is horrific!
[03:07:57.424 --> 03:08:11.831]  So this is happening absolutely everywhere and X is like the last bastion of a mainstream platform right now that exists for us to get this truth out there in this arms race to defeat censorship.
[03:08:12.346 --> 03:08:14.907]  So we're going to talk on that in the last segment.
[03:08:14.927 --> 03:08:15.767]  Don't go anywhere.
[03:08:16.108 --> 03:08:18.108]  We'll be back after this short break.
[03:08:18.108 --> 03:08:20.688]  (upbeat music)
[03:08:20.688 --> 03:08:29.188]   You're listening to the Alex Jones Show with your host, Maria Z.
[03:08:29.188 --> 03:08:31.768]  (upbeat music)
[03:08:31.768 --> 03:08:34.347]  (upbeat music)
[03:08:33.894 --> 03:08:34.935]  Welcome back, guys.
[03:08:34.955 --> 03:08:40.619]  Right before the break, I showed you a tweet from Senator Malcolm Roberts, who's a great senator we have here in Australia.
[03:08:40.659 --> 03:08:55.508]   He's been on this broadcast with me before, and he was appealing to Elon to restrict Australian senators From censoring the Australian public on X. So what's happening now?
[03:08:55.588 --> 03:09:08.752]  And I've heard people raise their concerns about, you know, a honeypot situation on X where everyone's sort of gathered onto one mainstream platform and, you know, not focusing on others perhaps.
[03:09:08.812 --> 03:09:10.973]  And I don't, I really don't think that that's the case.
[03:09:11.673 --> 03:09:15.994]  You know, I'm very, very loyal to my Telegram audience.
[03:09:16.353 --> 03:09:21.474]   who've really followed me in there from the start because I was so heavily censored.
[03:09:21.474 --> 03:09:27.593]   And all of the people that followed me on Rumble, these platforms are still, particularly
[03:09:27.593 --> 03:09:31.353]  Rumble, absolutely going to be dependent on.
[03:09:31.353 --> 03:09:36.113]   I think that we have to fight with everything that we have and right now X is a very, very
[03:09:36.113 --> 03:09:37.233]  powerful tool.
[03:09:37.257 --> 03:09:48.050]  And it's a powerful tool because Australian senators can make appeals to people like Elon Musk and say, hey, we've actually got people in Australia, senators, who are breaking the law.
[03:09:48.451 --> 03:09:54.298]  Essentially, it's violating our constitution by silencing their own constituents.
[03:09:55.038 --> 03:10:04.109]  And it's important because Elon mentioned something when he was talking with Alex on that space, which was a fantastic space.
[03:10:04.210 --> 03:10:06.012]  People have got to go back and listen to it.
[03:10:06.641 --> 03:10:11.986]  But he was saying that we're going to operate within the confines of the law in each country.
[03:10:12.587 --> 03:10:28.521]  And so when something like this UK Online Safety Act comes out, or when something like this digital ID bill in Australia comes out, and you know you've got WhatsApp and Signal in the UK saying we can no longer provide this service to this country, we have to leave the UK.
[03:10:28.621 --> 03:10:30.223]  Do you know how huge that is?
[03:10:31.266 --> 03:10:35.049]  So the next thing is, if they do this in Australia, the same thing will happen.
[03:10:35.069 --> 03:10:50.101]  Any big tech organisation with integrity will say, I can't allow you to read our users' screens in real time or access their devices in real time, which, by the way, the Australian Digital ID Bill mentions in there as well.
[03:10:50.501 --> 03:10:57.944]  And so I'm going to be interviewing a senator here in Australia, hopefully this week, to really delve into the details of this bill.
[03:10:57.964 --> 03:11:02.286]  But I want to, at a first glance, go over some stuff really quickly with everyone.
[03:11:03.627 --> 03:11:27.398]   From the outset, it says the Digital ID Standards Chair may make digital ID data standards about various matters Including technical integration requirements for entities to participate in the Australian Government Digital ID system and if required to do so by all these rules, technical data or design standards relating to accreditation.
[03:11:27.418 --> 03:11:55.519]   So basically what they're saying is Right now it's not mandatory, but we may make it a rule that integration has to happen with the digital ID system, meaning that all of a sudden the services that you can access get smaller and smaller and smaller online until you go and do it through the digital ID platform, which is what the UK has done.
[03:11:56.159 --> 03:12:02.589]  It also allows for, it says that this Act extends to Acts, Emissions, Matters and Things outside of Australia.
[03:12:02.669 --> 03:12:07.496]  It allows for extra-territorial operation, which is terrifying.
[03:12:10.091 --> 03:12:13.113]  And then it talks about restricted attributes of individuals.
[03:12:13.173 --> 03:12:34.703]  Now, I want to say that they do say that it's not permitted to collect these restricted attributes, but then they have a whole section in the bill where they say, oh, you can collect restricted attributes for all these different reasons and, you know, essentially you're not meant to profile someone online, but you can do it under these circumstances.
[03:12:34.803 --> 03:12:35.664]  I'm paraphrasing.
[03:12:36.124 --> 03:12:38.005]  But this is what a restricted attribute is.
[03:12:38.065 --> 03:12:40.906]  Listen to what they're able to collect with this bill.
[03:12:41.546 --> 03:12:42.627]  Health information.
[03:12:42.647 --> 03:12:48.589]  An identifier of the individual that's been issued or assigned on behalf of the government.
[03:12:49.590 --> 03:12:53.911]  Information or an opinion about the individual's criminal record.
[03:12:53.931 --> 03:13:00.394]  Information about their membership in a trade association or a trade union.
[03:13:00.414 --> 03:13:04.996]  Other information or opinion that is associated with an individual.
[03:13:05.976 --> 03:13:07.436]  Biometric information.
[03:13:09.837 --> 03:13:16.439]  The entity, I've skipped a couple of pages, but biometric information as well.
[03:13:16.939 --> 03:13:28.642]  And again, it says that, you know, it gives you two full pages here of reasons why you can collect restricted attributes of an individual.
[03:13:30.285 --> 03:13:42.697]  And so then they go on to talk about, basically, when you make the rules about whether you can collect this stuff, it's really just up to the Minister, whether the Minister considers it relevant.
[03:13:42.757 --> 03:13:49.524]  Mind you, this is an unelected person, much like Julie Inman Grant, the East Safety Commissioner, going after X.
[03:13:49.984 --> 03:14:16.977]  This minister is an unelected person, no one in Australia elected them, saying, oh well I think it's relevant and I think this should happen and it does go on to say in the bill that they can basically make these rules up as they go to big tech so at any time they can say to X, you now need to do this otherwise you're going to be fined, you know, every single day and the penalties are quite high, just like Julie Inman Grant fined X.
[03:14:19.022 --> 03:14:23.588]  And so, digital IDs must be deactivated on request.
