[00:00:00.409 --> 00:00:05.912]  The Doomsday Clock was established in the 1950s to warn of the danger of nuclear war.
[02:17:43.809 --> 02:17:44.409]  All at once.
[02:17:45.169 --> 02:17:46.390]  It's in the VAERS record.
[02:17:46.850 --> 02:17:49.671]  And a six-month-old baby died two days later.
[02:17:51.584 --> 02:17:59.094]  Now doctors, parents, and lay people need to understand the human body can only take so much.
[02:17:59.855 --> 02:18:02.799]  This is in a sense vaccinating to death.
[02:18:03.821 --> 02:18:04.942]  Vaccinating to death.
[02:18:06.025 --> 02:18:08.587]  Every vaccine ought to be considered seriously.
[02:18:09.107 --> 02:18:11.248]  Every vaccine has risks and benefits.
[02:18:12.028 --> 02:18:16.991]  Every vaccine, even the old ones, deserves some reappraisal.
[02:18:17.031 --> 02:18:18.672]  We need to reevaluate these.
[02:18:18.852 --> 02:18:21.114]  I personally, I've taken every vaccine.
[02:18:21.534 --> 02:18:23.315]  I followed every single one on the schedule.
[02:18:23.835 --> 02:18:25.436]  I traveled to India a few years ago.
[02:18:25.456 --> 02:18:27.396]  I'm going back there next week.
[02:18:27.817 --> 02:18:30.658]  I've taken additional vaccines to go to India and travel.
[02:18:30.898 --> 02:18:33.399]  I am, you know, fully accept vaccines.
[02:18:33.519 --> 02:18:34.759]  I am not anti-vax.
[02:18:35.139 --> 02:18:38.601]  But when it came to the COVID-19 vaccines, I didn't take it.
[02:18:39.821 --> 02:18:45.263]  And not taking the COVID-19 vaccine was the smartest health decision I ever made.
[02:18:45.823 --> 02:18:52.906]  Our CDC says, sadly, only 17% of Americans have not taken any COVID-19 vaccine.
[02:18:53.506 --> 02:19:00.709]  It turns out about a third of Americans only took either zero or one shots.
[02:19:00.749 --> 02:19:03.050]  That means two-thirds took the full set.
[02:19:03.470 --> 02:19:11.856]   But where we are now with our CDC indicates That only 15% of Americans are keeping up on the bivalent booster shots.
[02:19:12.757 --> 02:19:13.878]  And I think this is very wise.
[02:19:14.298 --> 02:19:19.182]  David Wiseman, former J&J scientist who's testified at the U.S.
[02:19:19.342 --> 02:19:30.492]  FDA, is worried because the bivalent boosters not only are half-coated for the original Wuhan spike protein, but also produce spike protein against BA4 and BA5.
[02:19:30.512 --> 02:19:33.494]  These are different spike proteins that can interact with one another.
[02:19:34.375 --> 02:19:38.256]  And to make matters worse, BA4 and BA5 is gone!
[02:19:38.477 --> 02:19:40.817]  It actually left America through the fall.
[02:19:41.418 --> 02:19:55.383]  So the current bivalent boosters, which failed in animal studies to stop SARS-CoV-2, gave a surrogate rise in antibodies, which the antibodies are unfortunately an unreliable surrogate for disease prevention.
[02:19:56.343 --> 02:19:59.265]  The B.A.4, B.A.5 variants are gone now.
[02:19:59.765 --> 02:20:00.846]  We have been replaced.
[02:20:00.906 --> 02:20:01.906]  We have the B.Q.
[02:20:01.926 --> 02:20:03.347]  variant and the X.B.B.
[02:20:03.407 --> 02:20:05.368]  They're the predominant variants in the United States.
[02:20:05.408 --> 02:20:11.012]  And my sub-stack, I indicate in the last week that they represent probably three-quarters of all the variants.
[02:20:11.932 --> 02:20:33.236]   I believe they're slightly more virulent and we're seeing this out of China where China's having a large current prevalence pool of those sick and because it's a big country and they have a lot of people they do have a lot of hospitalizations and proportionally Higher deaths because it's such a big country and so many people are sick at the same time.
[02:20:33.996 --> 02:20:40.961]  But our current bivalent boosters have no theoretical coverage of working against SARS-CoV-2.
[02:20:41.221 --> 02:20:50.007]  I can tell you, I would expect as a doctor that taking a COVID-19 bivalent booster shot would provide zero protection.
[02:20:50.487 --> 02:20:54.150]  And we're starting to see example after example.
[02:20:54.210 --> 02:21:03.133]   A recent paper by Shretha and colleagues from the Cleveland Clinic shows That the lowest risk group in the Cleveland Clinic are those who've taken none of these shots.
[02:21:03.813 --> 02:21:13.175]  And then the next higher risk is one shot, two shots, and therefore those who've taken the most shots have the highest risk of getting COVID in the Cleveland Clinic workforce.
[02:21:13.815 --> 02:21:16.115]  That's now been fully revealed.
[02:21:16.675 --> 02:21:31.388]   We have additional data across Canada, the UK, Scotland, South Africa, and Australia that the more Shots that are taken, the higher chances of getting the illness, hospitalization and death.
[02:21:31.448 --> 02:21:34.493]  And in every single analysis, the unvaccinated look the best.
[02:21:34.513 --> 02:21:37.499]  Now, people have said, well, what's unique about being unvaccinated?
[02:21:38.733 --> 02:21:41.875]  That can be more likely to be younger, fitter and stronger.
[02:21:41.975 --> 02:21:48.520]  People obviously, you know, we're discerning, but also largely people who may have had COVID-19 early on.
[02:21:48.560 --> 02:21:49.981]  That was my circumstance.
[02:21:50.401 --> 02:21:51.962]  And I felt, listen, I was already through the illness.
[02:21:52.022 --> 02:21:54.003]  I already had natural immunity.
[02:21:54.023 --> 02:21:56.385]  So we have great news on natural immunity.
[02:21:56.405 --> 02:22:07.172]  Probably the single most important paper that I saw emerge in the last few months was published by Chen and colleagues, New England Journal of Medicine in late October of 2022.
[02:22:08.713 --> 02:22:16.761]  59,000 prisoners, 17,000 staff in a congregate setting so they knew every single case and they knew who got hospitalized and died.
[02:22:17.162 --> 02:22:30.382]   The important point is if someone's already had COVID in the Delta or the Omicron epics of the pandemic, That there was a negligible risk of hospitalization and death.
[02:22:30.802 --> 02:22:45.275]  And in that study in Chen, when I mean negligible, there were zero hospitalizations and deaths in those who had previously had COVID and were naturally immune when they got another case of COVID, and it didn't matter whether or not they took a vaccine.
[02:22:45.375 --> 02:22:51.520]   And Doc, you said that two and a half years ago, so you're vindicated again, but That's a known scientific fact.
[02:22:51.940 --> 02:22:53.121]  What about the prosecutions?
[02:22:53.141 --> 02:22:53.942]  What about Nuremberg 2?
[02:22:54.702 --> 02:22:56.724]  What about stopping them launching their next attack?
[02:22:57.705 --> 02:23:01.908]  We have to have full out investigations at this point in time.
[02:23:02.028 --> 02:23:04.610]  I think all roads lead to Davos, Switzerland.
[02:23:04.630 --> 02:23:13.436]  There ought to be really, I think, a census of who goes to the World Economic Forum meetings.
[02:23:14.177 --> 02:23:18.560]  I think fully deposed... As an organized crime network.
[02:23:18.740 --> 02:23:20.280]  What's said of this?
[02:23:20.561 --> 02:23:26.262]  You know, people have said, well, how is this syndicate or what we call in our book the biopharmaceutical complex organized?
[02:23:26.462 --> 02:23:27.423]  I can tell you it's organized.
[02:23:27.663 --> 02:23:29.583]  They go meet in Davos, Switzerland.
[02:23:30.023 --> 02:23:42.367]  They meet and every single person who's there in Davos, Switzerland, I think should be investigated and deposed in their participation of this crime, this crime against humanity.
[02:23:43.367 --> 02:23:44.248]  We got three minutes left.
[02:23:44.268 --> 02:23:44.828]  Other key points.
[02:23:45.988 --> 02:23:52.452]  Major key points are that natural immunity appears to be winning the day.
[02:23:52.833 --> 02:24:00.037]  The first question I ask when someone calls me and says, Dr. McCall, I have COVID, the first question I have is, did you have it before?
[02:24:00.658 --> 02:24:04.821]  And if you've had it before, what we've learned now is very few people need prescription drugs.
[02:24:04.861 --> 02:24:15.288]  We can use over-the-counter nutraceuticals and supplements, virucidal nasal washes and sprays and gargles, and we can get through it with no prescription drugs and no worry about hospitalization and death.
[02:24:16.328 --> 02:24:27.671]  If someone is having their first episode of COVID, different story, they probably will need FOMA Color Protocol, FLCC, or AFLDS, one of the standard outpatient protocols, and don't wait.
[02:24:27.751 --> 02:24:29.571]  If it's your first case of COVID, don't wait.
[02:24:30.011 --> 02:24:34.572]  Contact either your doctor, if they know how to treat COVID, or move to one of the treatment networks.
[02:24:34.612 --> 02:24:39.013]  Wellness Company being accessible to all, but there's many wonderful telemedicine companies.
[02:24:39.053 --> 02:24:42.974]  In fact, MyFreeDoctor.com is now associated with the Wellness Company.
[02:24:43.234 --> 02:24:44.635]  Wonderful move by Ben Marble.
[02:24:44.995 --> 02:24:45.415]  Great guy.
[02:24:45.555 --> 02:24:46.296]  Listen, there is no emergency.
[02:24:46.155 --> 02:24:52.874]   Colson to do this, but make sure you let the doctor know is it your first episode or a subsequent episode very very
[02:24:52.874 --> 02:24:56.215]   important The other point Alex is if this came out from a recent
[02:24:56.215 --> 02:25:04.264]   Harvard study by Claussen and colleagues Concluding 94 percent of Americans have been through kovat.
[02:25:04.264 --> 02:25:10.055]   Listen. There is no emergency. This is over with worse And the reason we harp on it is is their excuse for world
[02:25:10.055 --> 02:25:13.374]   government their excuse for the universal basic income their excuse for the carbon
[02:25:13.374 --> 02:25:18.309]   their excuse for the social credit score is It's their big power grab.
[02:25:18.689 --> 02:25:21.311]  That's why we've got to keep exposing it or they're going to launch it again.
[02:25:21.331 --> 02:25:24.053]  A lot of my listeners go, look, we made it through it, screw them, let's move on.
[02:25:24.353 --> 02:25:25.394]  No, they're coming back again.
[02:25:25.814 --> 02:25:28.095]  Well, as evidence for that, what did Biden just do?
[02:25:28.155 --> 02:25:30.236]  He extended the national emergency.
[02:25:30.696 --> 02:25:33.238]  And his new chief of staff was the former COVID head.
[02:25:33.698 --> 02:25:34.198]  That's true.
[02:25:34.418 --> 02:25:37.720]  And you know that the national emergencies, there's two of them.
[02:25:38.040 --> 02:25:44.323]  There's one declared by the president, a national emergency, and then by Secretary of HHS, the health emergency.
[02:25:45.044 --> 02:25:46.985]  Those need to fall.
[02:25:47.045 --> 02:25:49.126]  People should put a tremendous amount of pressure on this.
[02:25:49.426 --> 02:26:06.074]   Do you know there's a recent letter that's gone from 25 governors 25 governors to call for the dissolution of those two national emergencies and many states now are getting rid of any emergency declaration.
[02:26:06.094 --> 02:26:06.634]  That's right.
[02:26:06.654 --> 02:26:08.595]  So America and the world is waking up.
[02:26:08.635 --> 02:26:09.936]  Maria Z from Australia.
[02:26:10.115 --> 02:26:12.115]  under total tyranny is about to take over.
[02:26:12.115 --> 02:26:13.615]  Please go to mfullworldstore.com.
[02:26:13.615 --> 02:26:17.216]   The ultimate bone broth with a chaga mushroom and the turmeric, the bee pollen.
[02:26:17.216 --> 02:26:19.115]  It's the best bone broth out there.
[02:26:19.115 --> 02:26:20.015]  It's back in stock.
[02:26:20.015 --> 02:26:21.615]  Discount on mfullworldstore.com.
[02:26:21.615 --> 02:26:22.615]  That's how we stay on air.
[02:26:22.615 --> 02:26:24.316]  Great products, mfullworldstore.com.
[02:26:24.316 --> 02:26:27.014]  Dr. Peter McCullough, onlinehealthnow.com.
[02:26:27.014 --> 02:26:30.216]   To go there and sign up for all this or find out about all the stuff, amazing.
[02:26:30.216 --> 02:26:31.015]  Thank you so much.
[02:26:31.015 --> 02:26:32.415]  Thank you.
[02:26:32.415 --> 02:26:33.716]  There he goes, folks.
[02:26:33.944 --> 02:26:40.696]  Maria Z takes over, and then in 45 minutes, the one, the only, Owen Schroer with The War Room, 3 p.m.
[02:26:40.756 --> 02:26:43.601]  Central, InfoWars.com, Ford Slash Show.
[02:26:45.100 --> 02:26:52.042]  Well, there is nothing more exhilarating to me than the battle for the truth, the battle for freedom.
[02:26:52.442 --> 02:26:55.883]  Dr. Peter McCullough is a perfect example of that.
[02:26:55.943 --> 02:27:03.545]  He has been a leader in the health freedom movement, and that was an amazing, amazing show with Dr. Peter McCullough and Alex right there.
[02:27:03.585 --> 02:27:08.406]  I'm your guest host, Maria Z, guest hosting the fourth hour of the Alex Jones Show today.
[02:27:08.806 --> 02:27:26.076]  We're about to have a special guest on, Simeon Boykov, the Aussie Cossack from Australia, who's under immense pressure and attack by the Australian government, the Australian media, for telling the truth about the Russia-Ukraine situation and exposing our tyrannical government here in Australia.
[02:27:26.456 --> 02:27:30.938]  Before he comes on the screen, I want to show everyone a quick clip that he released recently.
[02:27:30.958 --> 02:27:33.380]  The team will get that ready for us in a moment.
[02:27:33.660 --> 02:27:51.827]   He was one of the first, well actually he was the first, in Australia To expose that our own Doherty Institute, who were responsible for all of the modelling when it came to COVID-19 injections, were harvesting, or at least invoicing, for blood samples from the Ukraine biolabs.
[02:27:52.067 --> 02:27:59.189]  No one else in the world exposed this information before Simeon, and now he's found more bombshell information.
[02:27:59.209 --> 02:28:04.231]  He's going to talk to us about that right now, but I want to show you the start of this quick video before we bring him on.
[02:28:05.248 --> 02:28:18.862]  If you've been watching this channel for a long time, for the last few years, you would have remembered that last year in March 2022, just at the beginning of the conflict, of the special operation, I made a video where we unearthed some documents.
[02:28:18.922 --> 02:28:24.908]  We revealed some documents that were seized by the Russian military in one of these bioweapons labs facilities.
[02:28:25.168 --> 02:28:28.810]  Now the paper trail which we're going to reveal here today leads actually back to Australia.
[02:28:29.290 --> 02:28:32.891]  So we've got documents which the Russian military have actually released.
[02:28:32.911 --> 02:28:35.892]  So they've captured these documents through the course of their campaign.
[02:28:36.453 --> 02:28:37.513]  And they've released these documents.
[02:28:37.553 --> 02:28:39.194]  Now the first document on screen, check it out.
[02:28:39.794 --> 02:28:47.457]  This is a document that's addressed to the Victorian Infectious Reference Laboratory, the Doherty Institute.
[02:28:47.857 --> 02:29:09.230]   And it's coming from a Ukrainian organization, which is very interesting because it's linked It was basically exposing the Australian, Melbourne-based Doherty Institute's links to the Ukrainian biolabs, which were run by the United States.
[02:29:09.831 --> 02:29:20.096]  Today, we've got an excellent video that's come all the way from one of the towns, Robezhne, it's called, which has been liberated by the Russian military.
[02:29:21.727 --> 02:29:28.770]  Absolutely bombshell information when this first came out and immediately the mainstream media started to attack Simeon.
[02:29:28.870 --> 02:29:29.470]  I wonder why.
[02:29:29.510 --> 02:29:31.591]  They don't want you to know the truth about Ukraine.
[02:29:31.891 --> 02:29:37.693]  They don't want you to know where millions, billions of your tax dollars are going and what they're actually going to fund.
[02:29:38.073 --> 02:29:41.414]  And now we have even more information which Simeon has exposed.
[02:29:41.454 --> 02:29:43.075]  He joins us today to talk about all of this.
[02:29:43.415 --> 02:29:45.936]  Simeon Boykov, the Aussie Cossack, great to see you.
[02:29:45.956 --> 02:29:48.957]  Great to see you, Maria.
[02:29:48.997 --> 02:29:49.257]  Thank you.
[02:29:50.549 --> 02:29:51.710]  It's wonderful to have you here.
[02:29:51.730 --> 02:30:01.419]  Well, first and foremost, I've sent the team some clips from this 14-minute video that you've brought forward from Ukraine.
[02:30:01.740 --> 02:30:09.347]  I've asked them if they can play those on mute while we're talking, because we want to talk about what's actually been discovered.
[02:30:09.847 --> 02:30:11.809]  In these Ukraine biolabs overseas.
[02:30:11.849 --> 02:30:13.691]  These are human experiments.
[02:30:13.791 --> 02:30:22.360]  These are, you know, they're treating these people like guinea pigs and they are developing ethnic bioweapons.
[02:30:23.020 --> 02:30:25.563]  What's been found here is specifically the Slavic people.
[02:30:25.883 --> 02:30:32.730]  But you take the floor, Simeon, you talk about how you want to introduce this and the team will just bring these up on the screen as we're going.
[02:30:35.080 --> 02:30:42.242]  Well look, this is one of the key reasons, one of the objectives which the Russian military very early on stated.
[02:30:43.723 --> 02:30:53.806]  Obviously they said that they're conducting their special operation to demilitarize and denazify Ukraine, but also they made reference to these bioweapons labs.
[02:30:54.826 --> 02:31:07.603]   And these bioweapons labs were all around Ukraine, different areas, and the reason why United States, NATO, open these biolabs in Ukraine because
[02:31:07.603 --> 02:31:12.483]   everything in Ukraine is for sale, including humans, including organs.
[02:31:12.483 --> 02:31:17.323]   And what better place to test on local population, you know, the vaccines.
[02:31:17.768 --> 02:31:19.389]  And this is exactly what they were doing.
[02:31:19.489 --> 02:31:20.669]  They were testing the vaccines.
[02:31:21.309 --> 02:31:34.012]  And locals in this video are describing how, you know, they were offered very small amounts of money to take part in all these human trials, human trials, which really weren't even supposed to be fit for animals.
[02:31:34.612 --> 02:31:40.792]   And Big shout out and well done to those people that made it into the Biolabs.
[02:31:41.712 --> 02:31:45.655]  And this video was translated by a girl called Masha and their team.
[02:31:45.675 --> 02:31:47.677]  So well done to them for bringing this to light.
[02:31:48.137 --> 02:31:53.622]  I was scheduled to fly over to Russia until the Australian government confiscated my passport.
[02:31:53.942 --> 02:32:00.287]  As you mentioned, I have been under a lot of pressure from the government and the police for my work.
[02:32:03.288 --> 02:32:05.169]  On exposing these situations.
[02:32:05.189 --> 02:32:12.831]  But the Doherty Institute, which is linked to the Ukrainian Biolabs, we have a direct link and that link was made early on through a paper trail.
[02:32:12.851 --> 02:32:15.172]  They have a lot to answer for.
[02:32:15.432 --> 02:32:24.515]  And don't forget, Doherty Institute, this Victorian Infectious Diseases Institute, was the organisation which was running Australia.
[02:32:25.035 --> 02:32:28.036]  We were under their control and influence.
[02:32:28.856 --> 02:32:32.517]  Our politicians in Australia were taking orders from the Doherty Institute.
[02:32:33.760 --> 02:32:39.503]  And that's how everything in this country was being run on the advice of the Dole Institute.
[02:32:39.523 --> 02:32:40.424]  So very mysterious.
[02:32:40.844 --> 02:32:47.048]  We know that they were importing blood serum samples and that's been proven and they've never commented on it.
[02:32:47.068 --> 02:32:54.032]  I mean we've exposed this and everyone knows about this but the Dole Institute have never actually faced the music.
[02:32:54.534 --> 02:32:58.334]  and come clean and say well yes or well no.
[02:32:58.334 --> 02:33:00.334]  We know that they've been doing that.
[02:33:00.334 --> 02:33:06.834]   We know that they have been importing blood serum samples from these experimental bio weapons labs in Ukraine
[02:33:06.834 --> 02:33:09.334]   which have now been overrun and captured by the Russian military.
[02:33:09.334 --> 02:33:11.334]  But it would be great if the Dole Institute could come out.
[02:33:11.334 --> 02:33:13.934]  Someone should go to jail.
[02:33:13.934 --> 02:33:18.934]   It should be either me for not telling the truth or it should be them for doing this.
[02:33:18.934 --> 02:33:20.934]  So if they want to come out and prove me wrong...
[02:33:20.934 --> 02:33:21.934]  Let's just discuss.
[02:33:21.956 --> 02:33:29.364]  Let's just discuss the importance of this because people may think, oh well it's Australia, why is this relevant to us if you're watching from overseas?
[02:33:29.424 --> 02:33:33.689]   It's relevant because The Global Pandemic Centre will be run out of Australia.
[02:33:34.049 --> 02:34:11.185]   All these blood serum samples that the Doherty Institute was collecting from Slavic people, and this is what was on the video for the radio viewers, they can't see what we were displaying, but essentially they were at one of these Ukraine biolabs They were talking about how all kinds of blood samples were found, different medicines and pills that were not even safe for animal use were being experimented on, people that were being offered, as Simeon said, very little amounts of money to have experimentation done, and what it resulted in was a huge coronavirus outbreak.
[02:34:11.785 --> 02:34:13.607]  After they were given these medications.
[02:34:14.508 --> 02:34:16.009]  After they were given these vaccines.
[02:34:16.089 --> 02:34:42.736]   So like we see now, the injected population, this huge, overwhelming outbreak of COVID cases, hospitalizations, of whatever is wrong with these people who are Quadruple injected, you know, the New South Wales data came out, most cases in hospital, 198, I think, if I'm not mistaken, with four doses, zero unvaccinated cases.
[02:34:43.236 --> 02:34:44.657]  This is what happened in Ukraine.
[02:34:44.677 --> 02:34:46.519]  They tested it on these people first.
[02:34:46.799 --> 02:34:51.363]  And the Russians have been the first to expose this, but you'll never hear that on the mainstream media.
[02:34:51.603 --> 02:34:54.185]  You'll just keep hearing anti-Russian propaganda.
[02:34:54.205 --> 02:34:54.786]  It's unbelievable.
[02:34:56.724 --> 02:34:57.705]  You're exactly right, Marie.
[02:34:57.745 --> 02:35:16.061]  The same people that were spinning the vaccines and spinning the COVID narrative, the same people, the same news organizations, the same mainstream media hosts, presenters, they very comfortably just switched over to spinning the anti-Russian narrative.
[02:35:16.281 --> 02:35:21.075]   Because in Russia, Whether you're Russian or not or whether you support Russia or not.
[02:35:21.116 --> 02:35:22.017]  We've got to go to break.
[02:35:22.178 --> 02:35:23.020]  We've got to go to break.
[02:35:23.080 --> 02:35:25.044]  I want to talk more about this right on the other side.
[02:35:25.144 --> 02:35:25.806]  Stay with us.
[02:35:26.046 --> 02:35:27.309]  More bombshell info coming.
[02:35:28.055 --> 02:35:29.737]  Welcome back to the Alex Jones Show.
[02:35:29.757 --> 02:35:38.286]  We're here with special guest Simeon Boykov with bombshell information about what's happening in Russia, Ukraine, what the situation in Ukraine is really about.
[02:35:38.326 --> 02:35:45.273]  It's about testing on these people, treating them as lab rats so that they can develop bioweapons that are ethnic specific.
[02:35:45.493 --> 02:35:46.654]  It's unbelievable news.
[02:35:46.974 --> 02:35:48.836]  And Simeon's been right at the forefront of this.
[02:35:49.057 --> 02:35:51.299]  Simeon, please continue what you were saying right before the break.
[02:35:53.559 --> 02:36:08.785]  Look, it's great to say that a lot of people are awake, a lot of people are waking up, because it's very easy to expose the globalists that were pushing all together, pushing the climate agenda, pushing the Ukraine agenda.
[02:36:09.165 --> 02:36:13.026]  That's why it's important for all of us out there, the free world, to stand with Russia.
[02:36:13.526 --> 02:36:20.329]  Very important for the free world to stand with Russia, because Russia really is the last bastion, the last bastion, the last stronghold.
[02:36:20.828 --> 02:36:26.949]   It's the last government which doesn't fall into the international banking system.
[02:36:26.949 --> 02:36:32.628]   It doesn't bow to the Rothschilds or it doesn't bow to the Klaus Schwab on WEF.
[02:36:32.628 --> 02:36:36.388]  That's why the West can't stand Vladimir Putin.
[02:36:36.388 --> 02:36:40.828]   He does the best for his country but he's also doing a very important mission for the
[02:36:40.828 --> 02:36:42.167]  rest of the free world.
[02:36:42.167 --> 02:36:44.188]  Just imagine a world without Russia.
[02:36:44.188 --> 02:36:48.788]   That means that NATO, the CIA, the Obamas, the Clintons, the Bidens, they'll be completely
[02:36:48.788 --> 02:36:49.788]  in control.
[02:36:49.788 --> 02:36:54.948]   So it's very good to have a country like Russia which is powerful, which is pushing forward
[02:36:54.948 --> 02:36:56.148]  its interests.
[02:36:56.566 --> 02:37:02.028]  And in a way, what's happening now and the way the Russians are conducting their war, they're really fighting for the whole world.
[02:37:02.048 --> 02:37:03.489]  They're fighting for everybody's freedom.
[02:37:05.070 --> 02:37:09.791]  If they manage to take down Russia, you know, the world will be a completely different place.
[02:37:09.831 --> 02:37:11.532]  I mean, the world already is a dangerous place.
[02:37:11.552 --> 02:37:12.452]  It's a scary place.
[02:37:12.932 --> 02:37:14.633]  And we know that the globalists are in charge.
[02:37:15.514 --> 02:37:17.976]  Bill Gates is in Australia at the moment.
[02:37:17.996 --> 02:37:21.958]  There's a rumour that tomorrow he'll be on the weekend in Australia.
[02:37:21.978 --> 02:37:22.818]  He'll be at the tennis.
[02:37:23.058 --> 02:37:28.401]  And there's another organisation which is calling out Tennis Australia.
[02:37:28.701 --> 02:37:29.922]  They've banned Russian flags.
[02:37:29.962 --> 02:37:32.744]  They've banned anything to do with Russia.
[02:37:32.764 --> 02:37:35.065]  Now they've even banned Russian imperial flags.
[02:37:35.489 --> 02:37:45.233]  There's this paranoia and this anti-Russian hysteria which is being spun by the same people, the same organisations, the same tactics which they used.
[02:37:45.935 --> 02:37:49.038]  To push the vaccines on everybody and to push the lockdowns on everybody.
[02:37:49.058 --> 02:37:50.299]  It's the same team.
[02:37:50.319 --> 02:37:53.121]  You know, they've... Do you know what I find disgusting?
[02:37:53.461 --> 02:38:08.753]  Regardless of what people's views are on Putin, on Russia, on Ukraine, regardless of what your views are, the way that the Russian people have been demonised for something that really isn't their decision or they have nothing to do with is disgusting.
[02:38:08.813 --> 02:38:20.302]   I mean, I was told by a Serbian journalist who I interviewed, Sasha Borojevic, he said, On shop signs in Europe, it says no Russian pigs allowed.
[02:38:20.442 --> 02:38:23.264]  It is disgusting treatment of the Russian people.
[02:38:23.584 --> 02:38:30.329]  So regardless of what your thoughts are, you're right, it is the same tactic that was used against the unvaccinated.
[02:38:33.392 --> 02:38:34.532]  Exactly right, exactly right.
[02:38:34.552 --> 02:38:40.157]   And look, At the end of the day, Russians are built for this and Russia is built for this.
[02:38:40.197 --> 02:38:43.718]  It's not the first time Russia has had to fight for humanity's freedom.
[02:38:43.738 --> 02:38:50.040]  It's not the first time where Russia is fighting a joint coalition of dozens of countries.
[02:38:50.940 --> 02:38:56.902]  It is sad that a lot of people are dying and the Ukrainians have been fooled.
[02:38:58.019 --> 02:39:05.778]   by the CIA, by NATO. We know that the Bidens and Obama's fingerprints were all over Ukraine
[02:39:05.778 --> 02:39:12.219]   and they were there from 2014. And they've managed to create a situation where the Slavic
[02:39:12.219 --> 02:39:20.619]   genophon or the genetic pool of the Slavs is under attack once more. And these biolabs,
[02:39:20.619 --> 02:39:26.339]   these experiments were taking place exactly there, on Russia's borders. Russia had every
[02:39:26.339 --> 02:39:33.738]   right to come in with its military and to liberate these cities and towns.
[02:39:33.738 --> 02:39:43.738]  [BLANK_AUDIO]
[02:39:34.898 --> 02:39:36.239]  Sorry, Simeon, I want to talk more.
[02:39:36.299 --> 02:39:45.845]  If the team can get that video up of computers being destroyed, it's video five, while you're talking, because they want this evidence completely destroyed.
[02:39:46.165 --> 02:39:50.628]  They don't want the world to know that this is what was discovered by the Russians in Ukraine.
[02:39:52.769 --> 02:39:58.853]  Well, this is a call out to the Russian government and to the people in charge in the Russian military.
[02:39:58.873 --> 02:40:10.434]   I suggest that they try to capture And also release as much information as possible about the Biolabs, about the experimental vaccines and so forth.
[02:40:10.474 --> 02:40:12.816]  Because it will greatly benefit Russia.
[02:40:12.836 --> 02:40:16.879]  A lot of people have already realised that Russia is on the right side of history.
[02:40:17.259 --> 02:40:20.802]  And by people supporting Russia, they themselves are on the right side of history.
[02:40:21.817 --> 02:40:26.161]  And thankfully, the Russians are honorable, they are the good guys.
[02:40:26.261 --> 02:40:31.424]  We can say that the way, which way they conduct their military operation, they're very honorable.
[02:40:31.785 --> 02:40:37.689]  They don't use the carpet bombing tactics that the Americans did in Iraq, Afghanistan, everywhere else.
[02:40:38.209 --> 02:40:39.230]  They're very careful.
[02:40:39.390 --> 02:40:41.311]  They try to preserve as much life as possible.
[02:40:42.091 --> 02:40:53.637]  At the end of the day, I've said it before, it maybe sounds shocking, but for those people who understand history, I'll say it again, the only country in the world that will ever help Ukraine is Russia.
[02:40:54.277 --> 02:40:59.780]  Every other country, the Germans, the British, the Americans, they're just there to use the Ukrainians.
[02:41:00.319 --> 02:41:02.820]  You know, and it's very sad that the Ukrainians are dying.
[02:41:02.860 --> 02:41:03.480]  It's a tragedy.
[02:41:04.161 --> 02:41:08.602]  And the faster that Russia completes its goals and objectives, the better.
[02:41:09.063 --> 02:41:14.145]  We've got countries around the world debating whether they should send tanks in or not.
[02:41:14.245 --> 02:41:19.687]  You know, since when does Germany have any right to talk about sending tanks against Russia?
[02:41:19.707 --> 02:41:22.608]  You know, only 30 years ago, up until 1989.
[02:41:25.746 --> 02:41:30.648]  The Soviet Union had two million men stationed in Eastern Europe and Eastern Germany was occupied.
[02:41:31.168 --> 02:41:32.069]  And look where we are now.
[02:41:32.149 --> 02:41:41.473]  We've got the German Chancellor discussing whether or not he should send tanks, you know, Leopard tanks with the same German crosses, the same insignia.
[02:41:42.213 --> 02:41:44.874]  The German Army is using now that they used to use in World War Two.
[02:41:45.034 --> 02:41:50.675]  So how do you think the Russians feel when they've got, you know, all this Western weaponry up against them?
[02:41:50.715 --> 02:41:54.916]  And the only thing Ukrainian about the Ukrainian Army is the meat and the flesh and the blood.
[02:41:54.936 --> 02:42:02.897]  And it's another thing that we should talk about on this program today is the shocking amount of organ harvesting and organ trafficking which is occurring.
[02:42:02.917 --> 02:42:34.712]   You know, these Ukrainian front lines Often they're understaffed, they're undersupplied, but when it comes to evacuating freshly dead bodies, or when it comes to evacuating almost dead soldiers, or near-death soldiers, or heavily injured soldiers, they have special vans, special ambulances, ambulances which are all provided by the West in the form of a donation, and what happens is they're extracted by special teams, and these special teams extract the Ukrainian bodies,
[02:42:35.385 --> 02:42:42.367]  And the organ harvesting waiting lists all around Europe have now almost disappeared.
[02:42:42.607 --> 02:42:45.468]  It's the best time ever if you want to get a kidney, if you want to get a liver.
[02:42:46.688 --> 02:42:47.188]  Very sad.
[02:42:47.228 --> 02:42:52.070]  And we've got even in the Ukrainian capital, Kiev, mass protests.
[02:42:52.230 --> 02:43:07.396]   Thousands of mothers, Ukrainian mothers and wives, Family members coming out and protesting, demanding the Ukrainian government hand over the bodies or at least tell them where the bodies are, because the vast majority of Ukrainian troops are listed as missing.
[02:43:07.917 --> 02:43:10.678]  So they're not dead, they're not alive, they're just missing.
