[00:00:00.369 --> 00:00:01.290]  FBI report?
[02:26:05.729 --> 02:26:12.809]   get woke, go broke, now another piss beer producer, Sorry we drank Miller Lite, but give me a break folks.
[02:26:12.904 --> 02:26:13.484]  That's not beer.
[02:26:14.004 --> 02:26:18.685]  They have now come out with a woman lecturing you, apologizing for women in bikinis.
[02:26:18.965 --> 02:26:20.466]  We're loving women in bikinis.
[02:26:20.486 --> 02:26:21.366]  We're loving fun.
[02:26:21.666 --> 02:26:24.907]  The idea is you're at the beach, you're having a good time, people are playing volleyball.
[02:26:25.207 --> 02:26:26.587]  She apologizes.
[02:26:26.967 --> 02:26:34.329]  So having sex with kids is okay, and all this sexualization of kids, but men and women having a good time, that's a bad idea.
[02:26:34.549 --> 02:26:35.029]  Here's the ad.
[02:26:37.301 --> 02:26:38.261]  Here's a little known fact.
[02:26:38.702 --> 02:26:41.483]  Women were among the very first to brew beer ever.
[02:26:42.123 --> 02:26:47.125]  From Mesopotamia to the Middle Ages to Colonial America, women were the ones doing the brewing.
[02:26:47.786 --> 02:26:51.847]  Centuries later, how did the industry pay homage to the founding mothers of beer?
[02:26:51.867 --> 02:26:54.028]  They put us in bikinis.
[02:26:55.189 --> 02:26:55.449]  Wow!
[02:26:55.849 --> 02:26:57.730]  Look at this sh**!
[02:27:00.697 --> 02:27:01.277]  Wild!
[02:27:01.698 --> 02:27:03.459]  It's time beer made it up to women.
[02:27:03.479 --> 02:27:15.108]  So today, Miller Lite is on a mission to clean up not just their shit, but the whole beer industry's shit. Miller Lite has been scouring the internet for all this shit and buying it back so that he can turn it into good shit for women brewers.
[02:27:15.629 --> 02:27:18.151]  Literally, good shit. How, you ask?
[02:27:18.651 --> 02:27:19.772]  Ladies, take it away.
[02:27:20.513 --> 02:27:22.434]  First, we turn the bad shit into compost.
[02:27:22.754 --> 02:27:24.176]  Then we feed compost to worms.
[02:27:24.736 --> 02:27:26.858]  We shit out beautiful fertilizer.
[02:27:28.140 --> 02:27:31.121]  That good shit helps farmers grow quality hops.
[02:27:32.642 --> 02:27:38.524]  Which has been donated to women brewers to make their own really good shit. But there's definitely more shit out there.
[02:27:38.785 --> 02:27:40.865]  In your attic, in the garage, in your parents' basement.
[02:27:41.206 --> 02:27:44.247]  Send any shit you got into Miller Lite and they'll turn that into good shit too.
[02:27:46.628 --> 02:27:48.429]  So the idea is... So here's to women.
[02:27:48.749 --> 02:27:51.251]  Because without us... Men are out to get women.
[02:27:51.711 --> 02:27:53.072]  And men having a good time is bad.
[02:27:53.392 --> 02:27:54.073]  Kill your brand.
[02:27:54.113 --> 02:27:55.133]  But it's all weaponized.
[02:27:55.714 --> 02:27:57.315]  Men and women are the same species.
[02:27:57.335 --> 02:27:58.015]  We're on the same team.
[02:27:58.035 --> 02:27:59.056]  They're out to get us all.
[02:27:59.316 --> 02:28:01.337]  The system's not for women, folks.
[02:28:01.777 --> 02:28:03.678]  Evil corporations are trying to manipulate you.
[02:28:04.519 --> 02:28:05.780]  Let's go to James in Michigan.
[02:28:05.800 --> 02:28:06.300]  You're on the air.
[02:28:06.340 --> 02:28:06.700]  Go ahead.
[02:28:06.740 --> 02:28:11.143]  And then... A very powerful, evil woman, because she supports freedom.
[02:28:11.463 --> 02:28:12.524]  Maria Z takes over.
[02:28:12.864 --> 02:28:13.664]  James in Michigan.
[02:28:13.684 --> 02:28:14.065]  Go ahead.
[02:28:14.085 --> 02:28:16.006]  Alex.
[02:28:17.132 --> 02:28:18.133]  Hi Alex.
[02:28:18.613 --> 02:28:20.435]  I just wanted to say a couple things.
[02:28:20.455 --> 02:28:28.762]  So, the definition of fascism by Mussolini is the marriage between the state and corporations.
[02:28:29.563 --> 02:28:34.127]  We have to realize that the establishment, the globalists, they believe in a public-private partnership.
[02:28:34.167 --> 02:28:35.127]  That is fascism.
[02:28:35.948 --> 02:28:37.630]  And the left and right, these are distractions.
[02:28:37.710 --> 02:28:45.036]  They use cultural Marxism to divide us against each other so we can't react to their massive, crazy plans.
[02:28:45.649 --> 02:28:55.014]  Fascism, the collaboration between the state and government, it will naturally create corruption and will cause otherwise preventable deaths and famine.
[02:28:57.095 --> 02:28:58.496]  And I wanted to say something.
[02:28:59.376 --> 02:29:06.780]  Also, recently, the last few days, my head has been, like, buzzing, like, it feels like my head's in a microwave.
[02:29:07.728 --> 02:29:12.136]  And I started doing some research and I looked up Havana Syndrome and I heard of that.
[02:29:12.757 --> 02:29:22.136]   And then I looked at the bottom of the Wikipedia pages and it says, in March they were There's major studies that 5G and other stuff creates the Havana Syndrome and all the rest of it.
[02:29:22.015 --> 02:29:26.536]   on animals, exposing them to an extended period of time to RF energy, and attempt to recreate
[02:29:26.536 --> 02:29:27.536]  Havana syndrome.
[02:29:27.536 --> 02:29:29.536]  I live in Michigan, this is, this is, uh, Michigan.
[02:29:29.536 --> 02:29:34.895]   No, no, there's major studies that 5G and other stuff creates the Havana syndrome and
[02:29:34.895 --> 02:29:35.895]  all the rest of it.
[02:29:35.895 --> 02:29:40.495]   And the government gets sick around all these antennas and they blame the Russians when
[02:29:40.495 --> 02:29:42.015]  it's their own damn antennas.
[02:29:42.015 --> 02:29:45.255]  Yeah, so I'm actually a physicist.
[02:29:45.383 --> 02:29:49.029]  I'm actually an electromagnetic physicist, and I've actually worked on 5G.
[02:29:49.590 --> 02:30:02.923]   I'm not really sold on the 5G, but I'm willing to bet that there's other frequencies that they're potentially using, low orbit satellites with phased array antennas to target maybe
[02:30:02.923 --> 02:30:07.813]   people they deem as right-wing extremists to try to maybe scramble their brains.
[02:30:07.813 --> 02:30:12.813]   We know that's in the studies. Send us show tips, a report, we'll probably get you on as a guest.
[02:30:12.813 --> 02:30:15.813]  Thank you so much, thanks for calling, James.
[02:30:15.813 --> 02:30:19.813]   Alright, I'm going to play a little clip because she's from Australia of Humongous
[02:30:19.813 --> 02:30:22.813]   and Road Warrior saying just give us the gas, we spare your lives.
[02:30:22.813 --> 02:30:25.813]   They're cutting off our gas, they're cutting off our fuel, this is the real control,
[02:30:25.813 --> 02:30:28.813]   and she'll take over, we're going to skip this network break, and the last network break
[02:30:28.813 --> 02:30:31.873]  she gets her time back, she does an amazing job, Maria Z.
[02:30:31.873 --> 02:30:33.813]  from Australia, but here is Humongous.
[02:30:33.813 --> 02:30:47.813]  Greetings from the Humongous!
[02:30:48.237 --> 02:30:49.398]  The Lord Humongous!
[02:30:50.559 --> 02:30:52.961]  The Warrior of the Wasteland!
[02:30:54.863 --> 02:30:59.006]  The Ayatollah of Rock and Roller!
[02:31:01.608 --> 02:31:03.810]  I am gravely disappointed.
[02:31:04.771 --> 02:31:08.614]  Again you have made me unleash my jokes of war.
[02:31:08.634 --> 02:31:11.616]  Look at what remains of your gallant scouts.
[02:31:12.357 --> 02:31:12.978]  Why?
[02:31:13.824 --> 02:31:15.824]  Because you're selfish.
[02:31:15.824 --> 02:31:17.824]  You hoard your gasoline.
[02:31:17.824 --> 02:31:19.824]  You do not listen to reason.
[02:31:19.824 --> 02:31:25.824]   Now my prisoners say, you plan to take your gasoline out of the wasteland.
[02:31:25.824 --> 02:31:29.824]  You send them out this morning to find a vehicle.
[02:31:29.824 --> 02:31:33.824]  And now from Australia, the great Maria Z.
[02:31:33.824 --> 02:31:37.824]  Thank you so much, Alex.
[02:31:37.927 --> 02:31:41.292]  Really, really love that last segment with Michael Yon.
[02:31:41.312 --> 02:31:42.274]  He's such a great guy.
[02:31:42.374 --> 02:31:43.596]  And Anthony Rubin.
[02:31:44.077 --> 02:31:45.419]  Do me a favour, everyone.
[02:31:45.599 --> 02:31:55.467]   If you are watching this right now or tuning in, just type into Google UN replacement migration. United Nations replacement migration.
[02:31:55.467 --> 02:32:00.676]   They don't even hide that this is their agenda. You literally, it's the first link that
[02:32:00.676 --> 02:32:05.346]   comes up, they call it replacement migration. Now it's under the guise of, you know, an aging
[02:32:05.346 --> 02:32:11.537]   and declining population because they've killed so many off with the poison shots, but they
[02:32:11.537 --> 02:32:17.727]   literally are proud of their agenda to replace you with migrants.
[02:32:17.699 --> 02:32:22.003]  Now, this is happening in lockstep, just like they did with COVID.
[02:32:22.363 --> 02:32:32.892]  Every single country is weaponizing these migrants against their own people, referring to them as white supremacists and Nazis and things of this nature, and we will go into that today.
[02:32:33.352 --> 02:32:35.454]  But I just wanted to share some figures with you.
[02:32:36.875 --> 02:32:43.777]  You know, this agenda is much harder to orchestrate in Australia than it is in the United States because we're surrounded by water.
[02:32:44.197 --> 02:32:59.942]  But Westpac, which is one of our major four banks, their latest housing pulse estimates that a record high 400,000 net overseas migrants landed in Australia in 2022, which was also the second highest growth rate.
[02:32:59.962 --> 02:33:00.562]  Listen to this.
[02:33:01.455 --> 02:33:06.202]  As a share of the total population since the end of the Second World War.
[02:33:06.523 --> 02:33:08.486]  400,000 people might not seem like a lot.
[02:33:09.207 --> 02:33:14.154]  It does when you consider that we have a population of roughly 26 million people only.
[02:33:15.279 --> 02:33:22.247]  So the official documents that our government put out there are that there are 200,000 migrants that they want to bring in per year.
[02:33:22.628 --> 02:33:29.956]  However, leaked government documents show that more than 700,000 new migrants will be entering our country by 2024.
[02:33:29.996 --> 02:33:31.298]  That's less than a year away.
[02:33:33.561 --> 02:33:34.722]  Absolutely.
[02:33:34.762 --> 02:33:44.334]  And while it is harder to orchestrate, like I said, because we're surrounded by water, the government's just putting it into policy that these people can come in.
[02:33:44.915 --> 02:33:46.456]  It's absolutely astounding to me.
[02:33:46.537 --> 02:33:52.182]   And then within that 140,000 So the official policy is 200,000 migrants per year.
[02:33:52.402 --> 02:33:57.044]  They're talking about, you know, the leaked documents show they're planning on letting an additional 700,000 in by next year.
[02:33:56.863 --> 02:34:05.003]   100,000 in by next year and within that official 200,000 figure, 140,000 of those should apparently
[02:34:05.003 --> 02:34:07.243]  be skilled migrants.
[02:34:07.243 --> 02:34:10.603]  So why do we need such high levels of immigration?
[02:34:10.586 --> 02:34:13.786]  Because of a skilled worker shortage in Australia.
[02:34:13.806 --> 02:34:15.327]  That's their justification.
[02:34:16.247 --> 02:34:23.628]  And when you look at it closely, their breakdown of skilled migrants says things along the lines of labourers for rural areas.
[02:34:24.748 --> 02:34:29.329]  So now Australians apparently don't know how to dig a hole or build a road or work on a farm.
[02:34:29.389 --> 02:34:31.009]  We need migrants to come and do it.
[02:34:31.049 --> 02:34:33.930]  That's the skill shortage that we have in this country apparently.
[02:34:34.984 --> 02:34:38.566]  None of these migrants are going into rural areas, of course.
[02:34:39.286 --> 02:34:44.149]  I know people in the building industry, for example, who will tell you this.
[02:34:44.249 --> 02:34:48.111]  I can tell you this from working in the employment industry.
[02:34:48.211 --> 02:34:53.042]   My job Was some time ago as I was an employment consultant.
[02:34:53.162 --> 02:34:56.403]  I helped welfare recipients specifically.
[02:34:56.743 --> 02:35:09.307]  So these are people that are long-term welfare recipients because I had a specialist caseload, over a hundred people on my caseload and they were all long-term welfare recipients.
[02:35:09.907 --> 02:35:18.170]  And I worked in the most, a suburb that's known as the most multicultural suburb in Sydney, in Australia.
[02:35:19.151 --> 02:35:25.137]  And of course, you know, the way that they do this in Australia is that they've been doing this for a very long time.
[02:35:25.177 --> 02:35:26.538]  They bring these people in.
[02:35:26.819 --> 02:35:28.220]  They don't speak the language.
[02:35:28.300 --> 02:35:31.523]  They don't have the skills or they come here and they say, oh, I'm sick.
[02:35:31.583 --> 02:35:32.264]  I can't work.
[02:35:32.304 --> 02:35:35.247]  And then they become long term welfare recipients.
[02:35:35.587 --> 02:35:39.911]  And in Australia, we don't really have a limit to how long you can be on welfare.
[02:35:40.011 --> 02:35:45.156]  So, you know, they've been training up the population for a UBI for a very long time.
[02:35:45.196 --> 02:35:52.202]  So these welfare, these migrants come in, you know, under the guise of helping Australia with our skills shortage.
[02:35:52.582 --> 02:35:56.985]   They get together in Many, many people living in one home.
[02:35:57.145 --> 02:35:58.305]  Often that is the case.
[02:35:58.345 --> 02:36:03.187]  You know, I know of one particular house, I had 20 different people living in one house.
[02:36:03.247 --> 02:36:04.447]  Of course, the landlord didn't know.
[02:36:04.667 --> 02:36:06.288]  They were all collecting welfare.
[02:36:06.308 --> 02:36:11.330]   And when you've got 20 people under one roof collecting welfare, then They're doing pretty alright.
[02:36:11.750 --> 02:36:24.937]  And then they go to these English classes, the programs that Australia offers, you know, two years for an English class and then if you need further classes you can do it and then you've got this waiting period before you can sit the English class again.
[02:36:25.518 --> 02:36:33.722]  I knew people, some of my clients on my caseload that were doing these English classes in cycles for 20 years.
[02:36:35.566 --> 02:36:39.990]  Twenty years in the country and not learning the language, sitting there on welfare.
[02:36:40.050 --> 02:36:47.235]  Now, again, the welfare system in the United States is very different, but the UBI's that they want to bring into every single country are the same.
[02:36:47.315 --> 02:36:52.119]  So what I'm telling you is, again, as Alex said, this is tested in Australia.
[02:36:52.199 --> 02:36:54.241]  It has been tested for a very long time.
[02:36:54.581 --> 02:37:04.364]   And as someone who was Trying to get these people into work and watching them give every excuse under the sun and then the government coming in and saying, oh, they've had a tough life because they're migrants.
[02:37:04.404 --> 02:37:05.604]  We've got to go easy on them.
[02:37:06.164 --> 02:37:16.546]  And, you know, it was it was unbelievable to me watching people get away with just mooching off the system for years on end.
[02:37:17.527 --> 02:37:22.848]  Needless to say, I was a very, very tough love employment consultant, very successful at getting people into work.
[02:37:22.908 --> 02:37:30.721]   But I did witness The government constantly making excuses for people being lazy, for people not working for years on end.
[02:37:30.761 --> 02:37:32.222]  And this is where this is heading.
[02:37:32.602 --> 02:37:39.063]  You know, all of these people that are flooding into the United States under the United Nations Replacement Migration Agenda.
[02:37:39.103 --> 02:37:50.266]  And as Alex so adequately put it, these people have, the United Nations has destroyed these people's countries in order to eventually bring them into the United States to collapse the country.
[02:37:50.996 --> 02:37:52.577]  And it's the same thing everywhere.
[02:37:52.597 --> 02:37:58.039]  You know, it's been happening in the UK for so long, for years now, for years.
[02:37:58.099 --> 02:38:01.640]  This stuff has been wargamed before it happened to the United States.
[02:38:01.680 --> 02:38:06.242]  The only difference is you've got this open border just inviting this invasion in.
[02:38:06.542 --> 02:38:12.544]  And not all of these people have, you know, ill intentions.
[02:38:13.585 --> 02:38:16.206]  But what will happen is they'll be given a UBI.
[02:38:17.569 --> 02:38:21.092]  And they'll do whatever the government tells them, because they are invaders.
[02:38:21.572 --> 02:38:29.719]  In the back of their mind, they know that they're invaders, so they'll comply with whatever the government tells them they need to do to stay in the country.
[02:38:29.799 --> 02:38:32.401]  And, you know, I mean, they've conditioned them from day dot.
[02:38:32.421 --> 02:38:33.742]  They're giving them these phones.
[02:38:33.802 --> 02:38:36.564]  The government is already providing for their needs.
[02:38:36.985 --> 02:38:45.051]  God only knows what these phones are for and how it'll be weaponised, whether there's, you know, frequencies that can come out of these phones that change these people's behaviour.
[02:38:45.271 --> 02:38:45.772]  We don't know.
[02:38:46.272 --> 02:38:55.614]  We don't know if these phones that have been given to these migrants in the United States, these illegal aliens, I should say, are weapons.
[02:38:56.694 --> 02:39:00.115]  But what I can tell you is that the conditioning has started from day one.
[02:39:01.215 --> 02:39:13.298]  Here's the government's giving you, the government's providing for you, and they will be taught to accept a UBI and live by a UBI from the get-go.
[02:39:14.696 --> 02:39:18.737]  So that's a bit of background about how this is happening in lockstep in Australia as well.
[02:39:18.777 --> 02:39:27.099]  The other really interesting thing is that, you know, we just had a protest against this mass migration in Australia that's absolutely insane.
[02:39:27.119 --> 02:39:30.060]  You know, we've already got a housing shortage in this country.
[02:39:30.560 --> 02:39:37.282]  And the proposal from the government is that they're about to start giving grants to people to go and buy a house.
[02:39:38.662 --> 02:39:42.123]  With a friend or a family member so that they can share their accommodation.
[02:39:42.183 --> 02:39:46.345]  You look at the plans of the United Nations, the WEF, for smart cities.
[02:39:47.145 --> 02:39:51.827]  It's all about communal living, you know, sharing living rooms.
[02:39:52.267 --> 02:39:55.128]  If you're not using your living room, your neighbor will use it.
[02:39:55.168 --> 02:39:57.509]  And sharing kitchens and sharing bathrooms.
[02:39:58.289 --> 02:40:05.158]  Again, it links into the transhumanist agenda and this transgender nonsense where you'll share a bathroom with the opposite gender.
[02:40:05.178 --> 02:40:14.029]  Well, they're dehumanizing you to the point where you'll live in these communal living areas because there's this housing shortage that's been created by the replacement migration.
[02:40:15.538 --> 02:40:19.101]  And then you'll be forced to live in these environments.
[02:40:19.121 --> 02:40:19.902]  They're already doing that.
[02:40:19.922 --> 02:40:30.751]  They're using the quarantine camps in Australia that were built during the time of COVID for dissidents now to assist with the housing shortage, seeking all these people.
[02:40:30.791 --> 02:40:33.053]  They want to put them all in to the camps.
[02:40:33.253 --> 02:40:34.554]  That's what they'll be used for now.
[02:40:35.215 --> 02:40:37.577]  Later they'll be used for dissent and you can mark my words.
[02:40:37.617 --> 02:40:45.535]   But this protest that happened over the weekend There's an article that's just come out and I've sent it to the team if they want to bring it up.
[02:40:46.656 --> 02:40:56.487]  The article is essentially saying that our Prime Minister and Peter Dutton have lashed dangerous and evil Nazi protests.
[02:40:57.099 --> 02:40:59.361]  So I'm just going to read some of this article for you.
[02:40:59.761 --> 02:41:08.927]  Prime Minister Anthony Albanese and Opposition Leader Peter Dutton have both blasted evil Nazi sympathisers after a rally in Melbourne on the weekend.
[02:41:09.428 --> 02:41:28.567]   He said, this is Albanese, our Prime Minister, right-wing extremism was the most significant threat facing Australia and said that the time for tolerance of these matters has long gone and people should have a look at the consequences that their hatred Of that hatred and theirs was an ideology of hate.
[02:41:28.627 --> 02:41:34.249]  The reason that he's saying this is because people have come for an anti-immigration rally.
[02:41:34.289 --> 02:41:42.171]  We have this housing shortage where people are being told that they can go and live in quarantine camps because they have nowhere else to live.
[02:41:42.471 --> 02:41:51.574]  And we're bringing in, according to leaked government documents, on top of the already post-World War II levels of migration, another 700,000, over 700,000 by next year.
[02:41:54.890 --> 02:41:58.355]  Why are we bringing in all these people when we already have this housing shortage?
[02:42:00.313 --> 02:42:05.236]  And so of course people are going to protest, but they're being referred to as neo-Nazis.
[02:42:05.276 --> 02:42:07.077]  Why are they being referred to as neo-Nazis?
[02:42:07.097 --> 02:42:10.078]  We've never had a problem with Nazis in Australia.
[02:42:10.118 --> 02:42:11.539]  This has never been a thing.
[02:42:11.819 --> 02:42:14.581]  You don't see people walking around doing the salute.
[02:42:14.681 --> 02:42:16.582]  It's not something that Australians do.
[02:42:16.602 --> 02:42:18.263]  We're very mild-mannered people.
[02:42:18.923 --> 02:42:22.545]  So why do we suddenly have this problem with Nazis turning up at every rally?
[02:42:22.865 --> 02:42:24.986]  It happened at a transgender rally recently.
[02:42:25.006 --> 02:42:26.127]  Not a transgender, sorry.
[02:42:26.327 --> 02:42:27.548]  Let me rephrase that.
[02:42:27.928 --> 02:42:29.609]  A women's rights rally.
[02:42:30.379 --> 02:42:37.041]  That was defending women and women's spaces against men dressed as women pretending to be women coming in.
[02:42:38.422 --> 02:42:40.342]  Because we should be protecting women.
[02:42:40.623 --> 02:42:45.504]  That's what equality and all of these, you know, women's rights groups are about, aren't they?
[02:42:46.685 --> 02:42:55.868]  So people were rallying in support of women's rights and all of a sudden it was gatecrashed by transgender people with purple hair and Nazis!
[02:42:57.103 --> 02:42:58.524]  What are Nazis doing there?
[02:42:58.864 --> 02:43:02.467]  And of course, you know, they're not real Nazis.
[02:43:02.947 --> 02:43:09.512]  These are the same types of infiltrators that we see in the United States every time there's, you know, Antifa turns up at a rally.
[02:43:09.532 --> 02:43:11.333]  This is the same thing.
[02:43:11.413 --> 02:43:13.455]  These people are clearly feds.
[02:43:14.376 --> 02:43:17.338]  I can't prove it, but the markers are all there.
[02:43:17.398 --> 02:43:18.899]  Michael Yon was just talking about it.
[02:43:19.938 --> 02:43:31.806]  So out of nowhere, you have a women's rights rally, you have these trans people anti-protesters coming and saying, no, no, we deserve to, you know, dress up as whatever we want and invade your private spaces.
[02:43:32.807 --> 02:43:34.348]  And then Nazis turn up.
[02:43:35.428 --> 02:43:37.630]  It's just the most bizarre thing.
[02:43:37.990 --> 02:43:41.973]  And this is what's happened as well at this anti-immigration rally.
[02:43:42.876 --> 02:43:48.998]  And so this is why they're saying now we have this Nazi problem in Australia and we need to eradicate it.
[02:43:49.098 --> 02:43:56.859]  And they're equating anyone that's a right-leaning person or a right-thinking person as an extremist and a Nazi.
[02:43:57.180 --> 02:44:03.521]  So today, everyone, according to the Australian government, you and I, because we think the right way, we are Nazis.
[02:44:03.841 --> 02:44:04.521]  Don't go anywhere.
[02:44:04.781 --> 02:44:06.882]  I'm going to continue with this right after this short break.
[02:44:07.422 --> 02:44:09.123]  Welcome back to the Alex Jones Show.
[02:44:09.203 --> 02:44:12.324]  I'm your guest host, Maria Zee from ZeeMedia.com.
[02:44:12.364 --> 02:44:16.525]  Right there on your screen you were just seeing the ZeeMedia.com website.
[02:44:16.945 --> 02:44:30.090]  Last week we interviewed a gentleman named Aaron Leshon who went to a court here in Australia and the magistrate said to him, he asked her because they were sort of butting heads, and he said to her, am I your property, Your Majesty?
[02:44:30.590 --> 02:44:31.291]  Your Honour, sorry.
[02:44:31.711 --> 02:44:32.211]  She said yes.
[02:44:32.891 --> 02:44:33.832]  You are, actually.
[02:44:33.912 --> 02:44:36.173]  She actually said, you are my property.
[02:44:36.954 --> 02:44:39.215]  Really, really astounding event.
[02:44:39.235 --> 02:44:46.880]  We've got the court papers in that report and I just wonder how widespread is this thinking?
[02:44:46.921 --> 02:44:54.926]  Was this a one-off or are we going to see more and more government officials officially coming out there and just openly stating, you are our property?
[02:44:55.246 --> 02:44:56.407]  It's amazing to me.
[02:44:56.767 --> 02:44:58.629]  But just back on this Nazi nonsense.
[02:44:58.970 --> 02:45:14.127]  So Biden is saying the biggest threat to the United States is white supremacy because how dare you speak out about illegal immigrants coming into your country and taking over your country and being conditioned for a UBI and becoming essentially useless as the government wants them to be.
[02:45:14.187 --> 02:45:15.708]  Not because they want to be useless.
[02:45:15.748 --> 02:45:17.991]  You know, some of those will, some of them will rise above that.
[02:45:18.751 --> 02:45:30.259]  But the government wants these people to be useless and I gave the example before through our welfare system that has been weaponized to keep people in a welfare state, a welfare society.
[02:45:30.279 --> 02:45:46.010]   You know our taxes are so incredibly high in this country and you know a huge portion of that goes towards long-term unemployed people who are not interested in getting a job and the government allows to have every Excuse under the sun to not get a job.
[02:45:46.371 --> 02:45:52.657]  And I'm telling you that as someone who worked in the industry trying to get people off welfare.
[02:45:53.358 --> 02:46:01.447]  But they go on to say there's no place in Australia for the sorts of demonstrations that we've seen now on a number of occasions here in Melbourne.
[02:46:01.747 --> 02:46:13.894]  With people paying tribute to Nazism and evil doctrine that resulted in the mass murder of people on the basis of their religion, on the basis of who they were, on the basis of their sexual preference.
[02:46:13.914 --> 02:46:30.906]   You can find some information, whether you believe it or not, there are records that Because homosexuality was not legal at the time of World War II in Germany, that there were homosexuals that were taken to these camps.
[02:46:30.926 --> 02:46:33.328]  Now, I'm not for the persecution of homosexuals.
[02:46:33.368 --> 02:46:50.265]   What I'm telling you is, the government is drawing comparisons between anyone who dares to speak out against the lack of safety of women By these men dressing as women, who will never be a woman.
[02:46:50.365 --> 02:46:51.966]  It's not biologically possible.
[02:46:52.086 --> 02:46:54.207]  I don't care who I offend by saying that.
[02:46:55.368 --> 02:46:56.769]  These people are not safe.
[02:46:57.069 --> 02:47:02.151]  And anyone who dares to speak out against that is being labeled a right-wing extremist Nazi.
[02:47:03.432 --> 02:47:15.178]  A long time ago, we, you know, on this very broadcast, I spoke about the fact that these, the World Economic Forum, the WHO, they're calling anyone who disagrees with them an extremist, a terrorist.
[02:47:16.860 --> 02:47:18.742]  And this is prevalent in Australia.
[02:47:18.782 --> 02:47:32.455]  You know, 60 Minutes did a hit piece following this tragedy in Wembley, in Queensland, which again has so many questions, more questions raised than answers in that 60 Minutes report.
[02:47:32.615 --> 02:47:37.459]  And they just so happened to feature me on that report about domestic terrorism.
[02:47:38.060 --> 02:47:38.280]  Why?
[02:47:38.320 --> 02:47:39.782]  Because I'm not scared of you?
[02:47:39.822 --> 02:47:41.123]  Because I tell the truth?
[02:47:42.324 --> 02:47:47.568]  Because nothing you can do can shake me because I can't be bought or paid for?
[02:47:48.429 --> 02:47:49.370]  What a terrorist!
[02:47:51.191 --> 02:47:52.492]  It's disgraceful.
[02:47:52.532 --> 02:47:54.334]  But what is their solution to this?
[02:47:54.414 --> 02:48:08.725]  Well, you would recall that some time ago they wanted to bring in the Ministry of Truth to the United States, you know, very Orwellian, and they picked an absolute clown to represent this new Ministry of Truth.
[02:48:09.409 --> 02:48:15.754]  And it was going to be one person deciding for the country what was truth and what wasn't.
[02:48:16.694 --> 02:48:23.439]  That was promptly shut down and Biden's been trying to relaunch it since and Bill S-686 will definitely assist in that.
[02:48:24.500 --> 02:48:32.391]   But here in Australia, we have the world's first e-safety Commissioner that's been appointed.
[02:48:32.451 --> 02:48:34.214]  Her name is Julie Inman Grant.
[02:48:34.294 --> 02:48:41.985]  If the team could pull up the clip of Julie Inman Grant, actually the first clip, Zero Time, Julie Inman Grant.
[02:48:42.025 --> 02:48:47.072]  This is from our last week's show, Zero Time, where we actually discussed this person.
[02:48:47.944 --> 02:48:51.146]  Julie Inman Grant is Australia's eSafety Commissioner.
[02:48:51.846 --> 02:49:01.832]  According to the esafety.gov.au website, Julie leads the world's first government regulatory agency committed to keeping its citizens safer online.
[02:49:02.592 --> 02:49:14.259]  According to esafety.gov.au, Julie spent two decades working in senior public policy and safety roles in the tech industry at Microsoft, Twitter and Adobe, and her career began in Washington, D.C.
[02:49:16.479 --> 02:49:17.364]  Need we say more?
[02:49:18.371 --> 02:49:19.538]  Oh, but there is more to say!
[02:49:20.933 --> 02:49:32.844]  Julie also serves on the World Economic Forum's Global Coalition for Digital Safety and on their XR Ecosystem Governance Steering Committee on building and defining the metaverse.
[02:49:33.684 --> 02:49:46.076]  Under her leadership, eSafety has joined forces with the White House Gender Policy Council and Government of Denmark on the Global Partnership for Action on Gender-Based Harassment and Abuse.
[02:49:48.339 --> 02:49:53.807]  Gender abuse certainly sounds like you'd have an interest in protecting women getting smashed by men.
[02:49:54.888 --> 02:49:55.590]  Apparently not.
[02:49:57.486 --> 02:50:07.916]  The Commissioner was recently named one of Australia's most influential women by the Australian Financial Review and a leading Australian in foreign affairs by the Sydney Morning Herald.
[02:50:08.497 --> 02:50:19.328]  In 2020, the World Economic Forum and Apolitical appointed the Commissioner as one of the Agile 50, the world's most influential leaders, revolutionising government.
[02:50:22.122 --> 02:50:27.666]  Alright, so there are multiple problems with so much of what we read out in that report.
[02:50:28.467 --> 02:50:47.339]   But I guess first and foremost, anyone aligned with the World Economic Forum, and this ties into the entire Twitter conversation that's happening now about Elon's decision for a new CEO, Linda Iaccarino, Who is, you know, a proud WEF puppet, essentially.
[02:50:47.419 --> 02:50:50.880]  And we don't want to judge her too early, a lot of people are saying.
[02:50:50.920 --> 02:50:53.261]  And I somewhat agree with that, but I also don't.
[02:50:53.301 --> 02:51:08.907]  Because anyone that comes, that has any form of association with the WEF, and is in agreement with anything that they say, and really anyone that was pro-vax and pro-mask, and hasn't come out now and said, hey, I was wrong.
[02:51:10.487 --> 02:51:12.328]  Is a danger to society.
[02:51:13.828 --> 02:51:18.109]  The World Economic Forum is a terrorist organization.
[02:51:19.210 --> 02:51:26.992]  They are indoctrinating people to go in and turn against their own citizens.
[02:51:27.953 --> 02:51:28.933]  That's terrorism.
[02:51:30.287 --> 02:51:34.870]  To turn against your own citizens is domestic terrorism.
[02:51:35.330 --> 02:51:37.151]  Let's flip this around on them.
[02:51:37.491 --> 02:51:39.112]  We're not the domestic terrorists.
[02:51:39.552 --> 02:51:45.616]  The ones who are facilitating an open border for an invasion.
[02:51:46.156 --> 02:51:54.881]  The ones who are facilitating drag queen story time to sexualize our children in line with the United Nations' satanic agenda.
