[00:00:00.000 --> 00:00:02.080]  (static)
[01:12:56.552 --> 01:13:01.916]  Well, people came out and said they didn't believe that there was proof that Hamas cut heads off.
[01:13:02.396 --> 01:13:07.279]  So the establishment view was they did cut heads off, but they didn't.
[01:13:07.800 --> 01:13:09.481]  So how do we penalize people?
[01:13:09.581 --> 01:13:23.524]   I mean, if somebody wants to believe The earth's flat, they have a right to, and the community knows everybody else can challenge them, but it's the establishment lying so much that makes people not believe anything, and then they lose faith in everything.
[01:13:23.584 --> 01:13:31.627]  I'm actually worried about this, because a lot of my audience is so disillusioned, they think I'm an agent or something, too.
[01:13:31.747 --> 01:13:32.167]  I'm not.
[01:13:32.187 --> 01:13:45.958]   So, you know, I don't know how we handle this, but I think the government and the media and the think tanks and the PR firms, the propaganda firms, as Elon rightfully said, I just want to be clear, you know, Hamas does have a habit of cutting off heads.
[01:13:46.217 --> 01:13:50.136]   where no one knows what to believe. They've created a smoke screen and so I don't know
[01:13:50.136 --> 01:13:52.136]  how we deal with that other than getting the community.
[01:13:52.136 --> 01:13:57.327]   Yeah, Alex, I just want to be clear, like you know Hamas does have a habit of cutting off heads.
[01:13:57.327 --> 01:14:02.777]   Like it's, they're quite proud of cutting off heads. I, you know,
[01:14:03.332 --> 01:14:04.233]  I don't like the Muslim Brotherhood.
[01:14:04.253 --> 01:14:05.554]  I don't like Hezbollah.
[01:14:05.834 --> 01:14:06.554]  You're right.
[01:14:06.373 --> 01:14:10.373]   perhaps there is some uncertainty, but they do cut off a lot of heads.
[01:14:10.373 --> 01:14:12.373]  There's no question about that.
[01:14:12.373 --> 01:14:15.373]  They appear to be quite jubilant.
[01:14:15.373 --> 01:14:18.373]  They're quite happy when they cut these heads off.
[01:14:18.373 --> 01:14:21.373]  I don't like the Mosh. I don't like the Mosh Brotherhood.
[01:14:21.373 --> 01:14:25.373]  I don't like Hezbollah. You're right. That is a hallmark.
[01:14:25.373 --> 01:14:30.373]  They're proud of cutting off heads, is my observation.
[01:14:30.655 --> 01:14:31.076]  I agree.
[01:14:31.096 --> 01:14:35.300]  Yosemite Sands, his hallmark is shooting his guns in a red beard and he's short.
[01:14:35.820 --> 01:14:38.723]  Hamas's calling card is cutting off heads.
[01:14:38.803 --> 01:14:39.683]  I totally agree.
[01:14:39.703 --> 01:14:40.304]  They do that a lot.
[01:14:42.216 --> 01:14:42.636]  You're right.
[01:14:43.156 --> 01:14:44.176]  Yeah.
[01:14:44.236 --> 01:14:47.257]  Elon, do you mind if I jump in for a second?
[01:14:47.297 --> 01:14:58.219]  Share one thought in response to Ed's question, which is I think there's two kinds of ways to worry if you're worried about the spread of misinformation or false facts.
[01:14:58.959 --> 01:15:01.580]  One is let's deal with the content of the speech itself.
[01:15:01.700 --> 01:15:07.861]  And Elon talked about community notes as being imperfect, though it is maybe the best method out there on the Internet.
[01:15:08.361 --> 01:15:10.762]  And I think that that's one set of discussions to have.
[01:15:11.542 --> 01:15:26.534]  That's quite a different thing from what the law certainly looks at as the most draconian First Amendment violation, which is what it calls a prior restraint, which is to previously just restrain a person from speaking, period.
[01:15:27.395 --> 01:15:38.463]  And I think that that is, no matter what the content of the speech is, it's quite a different thing to say that because of who you are, or what you have said in the past, you may not say another thing in the future.
[01:15:39.264 --> 01:15:41.626]  And so I just think that those are two different concepts.
[01:15:41.686 --> 01:15:49.011]  And I just, for one, just wanted to share my experience of, uh, my Alex Jones experience, if I may.
[01:15:48.831 --> 01:15:50.831]  That is perfectly said.
[01:15:50.831 --> 01:16:01.831]  [music]
[01:16:01.831 --> 01:16:05.831]  Benny Botvins died to bring us this information.
[01:16:06.632 --> 01:16:10.894]  You can see here the Great Awakening orbiting the Great Reset.
[01:16:11.575 --> 01:16:21.360]  Although the depopulation systems of the Great Reset are not yet fully operational, the Great Reset does have a strong conspiracy network.
[01:16:21.780 --> 01:16:27.683]  It is protected by a satanic shield, which can be disabled by the Great Awakening.
[01:16:28.083 --> 01:16:34.287]  The Great Reset must be deactivated if any victory for humanity is to be accomplished.
[01:16:35.319 --> 01:16:49.384]  Once the Great Awakening deactivates the shield, InfoWars.com forward slash show will cover the truth while Info Warriors fly into the superstructure and attempt to knock out the Great Reset.
[01:16:49.864 --> 01:16:53.605]  Alex Jones has volunteered to lead the fighter attack.
[01:16:53.925 --> 01:17:03.409]  Get a signed copy of the Great Awakening today at InfoWarsStore.com Winter is coming.
[01:17:04.069 --> 01:17:04.749]  Winter is coming.
[01:17:07.578 --> 01:17:08.680]  Winter is coming!
[01:17:09.696 --> 01:17:11.157]  Winter is coming.
[01:17:11.517 --> 01:17:12.919]  Winter isn't coming.
[01:17:13.499 --> 01:17:14.780]  Winter is here.
[01:17:15.180 --> 01:17:22.686]  And while the sun isn't helping us produce as much vitamin D, do yourself a favor and try InfoWars Life Winter Sun Plus.
[01:17:22.946 --> 01:17:27.390]  Now back in stock and 40% off at InfoWarsStore.com.
[01:17:27.570 --> 01:17:38.719]  Winter Sun Plus is a powerful vitamin D based formula bringing you straight vitamin D3 free of toxic chemicals, allergens, preservatives, artificial colors and GMOs.
[01:17:39.179 --> 01:17:49.882]  Our vitamin D3 formula supports the body's natural immune system, promotes calcium absorption for healthy bones and teeth, and helps sustain healthy tissue and systems of the body.
[01:17:50.242 --> 01:17:52.763]  When the winters come, they come cold.
[01:17:52.963 --> 01:17:56.704]  So weather the storm and supplement with Winter Sun Plus.
[01:17:57.264 --> 01:18:00.525]  40% off for a limited time at Infowarstore.com.
[01:18:02.125 --> 01:18:08.070]  Top scientists and researchers agree our food and water supply is under attack, making us fat, sick, and stupid.
[01:18:08.230 --> 01:18:10.572]  But now you can fight back with BrainForce+.
[01:18:10.832 --> 01:18:18.379]  This next generation nootropic feeds your brain neurons with potent ingredients like Bacopa Herb Extract, Alpha GPC, and Yerba Mate Leaf Powder.
[01:18:18.779 --> 01:18:22.522]  Experience enhanced focus, mental clarity, and improved cognitive function.
[01:18:22.742 --> 01:18:29.088]  Visit InfoWarsStore.com today and supercharge your state of mind with BrainForce+, and help support the InfoWar.
[01:18:32.392 --> 01:18:38.817]  One of the most frustrating things about being awake to the globalist agenda is seeing the general public still asleep.
[01:18:39.138 --> 01:18:53.089]  By and large, not aware of the magnitude of the incredible danger they're under, but also the ongoing attacks and the magnitude of the death caused by the lethal injections, masqueradings, vaccines.
[01:18:54.030 --> 01:18:58.153]  It is so frustrating to see people going about their daily lives oblivious.
[01:18:59.578 --> 01:19:02.267]  And you realize, ignorance is not bliss, it equals death.
[01:19:03.899 --> 01:19:24.332]  But people are starting to really understand how serious things are, and that's a hard thing to do, because to wake up to a dystopic reality and realize that we're in the middle of a giant biological weapons war against humanity, and that there's mass sterilization that's already taken place, and you're cutting off all the major energy sources, is really hard to deal with, but it's the reality.
[01:19:24.912 --> 01:19:29.095]  Facing it is our only chance to turn this around, because stuff's about to get really, really nasty.
[01:19:29.495 --> 01:19:30.116]  InfoWars.com.
[01:19:32.045 --> 01:19:34.947]  When it comes to regaining energy, convenience is key.
[01:19:35.487 --> 01:19:42.432]  Sure, coffee, candy, and other highly sugar-filled products can give us a short boost, but the crash is always the strongest downside.
[01:19:42.892 --> 01:19:48.576]  That's why our team of scientists worked with the InfoWars crew to create a powerhouse mixable energy formula.
[01:19:48.896 --> 01:19:54.896]   Having Turbo Force Plus at work, home, in the car, or in your bag is the ultimate answer to a sluggish day.
[01:19:54.896 --> 01:19:59.896]  [Laser sounds]
[01:19:59.896 --> 01:20:09.896]   Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:20:10.896 --> 01:20:17.896]  [Music]
[01:20:18.668 --> 01:20:27.191]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:20:31.578 --> 01:20:36.861]  We don't cut somebody's tongue out, even if I did bad things in the past.
[01:20:36.901 --> 01:20:47.886]  But if people say false things, they deserve to have the consequences for that particular speech aired out in the marketplace of opinions, and Community Notes is one feature of doing that, and I think that's a legitimate discussion to have.
[01:20:48.386 --> 01:20:55.778]   But the idea, first of all, let's just make the observation that if somebody has once said a bad thing, Then they'd be restrained from speaking.
[01:20:56.058 --> 01:20:58.279]  Most people who have been in a position of prominence in the U.S.
[01:20:58.299 --> 01:21:03.342]  federal government would not be allowed to speak again in other forums if that was the standard we were applying.
[01:21:03.763 --> 01:21:03.983]  Right?
[01:21:04.003 --> 01:21:12.288]  I mean, you think about anybody who's been in the CIA or the FBI in a position of saying that the Hunter Biden laptop story was false or COVID didn't start in a lab in China.
[01:21:12.308 --> 01:21:13.709]  So we could go down that whole rabbit hole.
[01:21:14.423 --> 01:21:26.768]  But yeah, I mean, as Alex said earlier, and this is not meant to be any kind of attack on George Bush, but George Bush II did say that there were WMDs in Iraq.
[01:21:27.088 --> 01:21:29.129]  He said it not once, but many times.
[01:21:34.011 --> 01:21:36.453]  He did not have sufficient evidence to make that statement.
[01:21:36.493 --> 01:21:43.637]  And a lot more people died as a consequence of that statement than if anything of Alex Jones is incorrect.
[01:21:44.098 --> 01:21:51.623]  But Alex, I think one other thing I just wanted to share with people is that I was actually just curious about this guy, Alex Jones.
[01:21:51.923 --> 01:21:53.584]  I'd never met him, but I happen to be in Texas.
[01:21:53.624 --> 01:21:54.685]  I visited the southern border.
[01:21:55.485 --> 01:22:01.689]  And, you know, I popped in Austin on the way back or somewhere, I forget where we were, and I heard Alex Jones was, that's where he was.
[01:22:01.749 --> 01:22:03.851]  I said, I want to meet this guy that everybody says, don't meet.
[01:22:04.451 --> 01:22:06.853]  And so we sat down and I was actually surprised.
[01:22:06.873 --> 01:22:12.557]  We actually aired it on X or we, or I put out clips of it on X. I can't remember on like a podcast format.
[01:22:13.177 --> 01:22:16.159]  And so for me, it was, it was, it was just interesting and eyeopening.
[01:22:16.759 --> 01:22:19.958]   And I think it would be interesting and eye opening for a lot of people as well to sort
[01:22:19.958 --> 01:22:25.759]   of know that there are people who have, who would have ever thought, made some mistakes,
[01:22:25.759 --> 01:22:29.319]   said some things that were wrong, and said some other things that were dead right that
[01:22:29.319 --> 01:22:31.399]  nobody else was saying either.
[01:22:31.399 --> 01:22:35.998]   And the way that we get to the bottom of what's true is actually hearing one another.
[01:22:35.998 --> 01:22:39.318]   And when people say something false, they deserve to be held accountable for it.
[01:22:39.318 --> 01:22:42.399]   So I think that's what, it's a cool thing that, you know, hopefully we're able to have
[01:22:42.399 --> 01:22:44.597]  more of that rather than less because of the existence.
[01:22:44.597 --> 01:22:51.478]   I mean, if this platform didn't exist, you know, that avenue of sorting out bad speech
[01:22:51.478 --> 01:22:56.478]   through more speech doesn't really exist on the internet or in our culture.
[01:22:56.478 --> 01:22:59.998]   And so I think that that's, in response to Ed, a good thing, not a bad thing, in my opinion.
[01:23:00.643 --> 01:23:13.427]  Yeah, and actually, to just elaborate on the public relations firms, PR firms, which really should be called propaganda firms, because that's literally, public relations is literally a propaganda word for propaganda.
[01:23:14.087 --> 01:23:16.968]  You can read the history of how public relations was developed.
[01:23:17.569 --> 01:23:18.189]  Edward Bernays!
[01:23:19.036 --> 01:23:19.376]  Correct.
[01:23:20.257 --> 01:23:46.731]  So, the way that PR firms actually corrupt the media is actually in a very significant way, is that journalists are paid very little as journalists, but they can later retire and join a PR firm and make a lot of money on the basis of the articles they've written in the past and their contacts at their publication.
[01:23:48.152 --> 01:23:54.809]  So there is actually a strong monetary incentive, very strong, for corruption of the traditional media.
[01:23:55.541 --> 01:24:00.584]  Elon, Elon, it's so glad you said that because people don't understand that's how these work and I'm just now learning about that.
[01:24:00.985 --> 01:24:13.873]  The PR firms are so powerful, they're full of intelligence agency, former people, so just like a general will sign off on some bad weapons system, then he retires and gets on the major board of the defense contractor for five million a year.
[01:24:14.333 --> 01:24:22.178]  It's a revolving door and so that's why when these big PR firms snap and say jump, the media says how high and you're actually right.
[01:24:22.782 --> 01:24:28.604]  When it comes to fact-checking, they're really one of the most nasty, deceptive groups out there.
[01:24:29.865 --> 01:24:31.406]  Yeah, they're propaganda firms.
[01:24:31.486 --> 01:24:34.767]  It would just make a lot more sense if you just think PR firm equals propaganda.
[01:24:34.847 --> 01:24:36.007]  PR equals propaganda.
[01:24:36.428 --> 01:24:38.568]  That is literally what it means.
[01:24:40.129 --> 01:24:44.791]  The public groups should really understand that public relations literally just means propaganda.
[01:24:45.382 --> 01:24:46.785]  PR firm means propaganda.
[01:24:47.366 --> 01:24:54.860]  And the PR firms have very strong control over the traditional media because that's where journalists go to retire and make tons of money.
[01:24:56.840 --> 01:25:05.683]  So there's a very strong monetary incentive for journalists to do what the PR firms say, because they know that that is where they're going to get rich in the future.
[01:25:05.963 --> 01:25:06.343]  Bingo!
[01:25:06.863 --> 01:25:17.506]  Elon, a question is more for Alex, and Alex, me and Alex were discussing it before you jumped on, is the pressure, if any, that you've faced since reinstating, or since you said you'll reinstate Alex.
[01:25:17.886 --> 01:25:27.712]   Now Alex, you know, kind of referred to Extreme scenarios where your life could be in danger because of what you're doing with X. I know you mentioned it briefly in one of the first spaces we had.
[01:25:28.192 --> 01:25:32.133]  You made a joke about, hey guys, if something happens to me, I'll never commit suicide.
[01:25:32.873 --> 01:25:35.474]  But how much pressure have you faced in recent months?
[01:25:36.334 --> 01:25:40.595]  Obviously, we've seen the back and forth with a few organizations that are trying to censor others.
[01:25:41.395 --> 01:25:44.416]  And has that increased since you reinstated Alex?
[01:25:45.776 --> 01:25:52.739]   I mean, at this point, reading the sort of Legacy Media is just depressing.
[01:25:55.240 --> 01:26:02.982]  I accidentally, once in a while, will go see like Google News or whatever or, you know, Yahoo News or whatever, some random thing.
[01:26:03.002 --> 01:26:08.804]  I'm like, this is just... I mean, frankly, the quality of the propaganda isn't even good.
[01:26:09.304 --> 01:26:11.805]  Look, if you're going to do propaganda, at least make it entertaining.
[01:26:12.905 --> 01:26:14.906]  And I find it's dull, boring.
[01:26:16.378 --> 01:26:19.741]  Uh, it's, you know, and just not even well-written.
[01:26:19.761 --> 01:26:21.202]  Well, that's right.
[01:26:21.242 --> 01:26:23.564]  They'll put out one thing and then they all parrot it.
[01:26:23.645 --> 01:26:26.067]  It's, it's, it's like lazy propaganda.
[01:26:26.107 --> 01:26:26.947]  It's like, work harder.
[01:26:27.968 --> 01:26:29.430]  Hey, we've got Andrew Tate here as well.
[01:26:29.490 --> 01:26:30.070]  Andrew, how are you?
[01:26:30.471 --> 01:26:31.031]  I'm good, friend.
[01:26:31.051 --> 01:26:40.039]  I'm in the middle of a poker game, but since this is the battle for humanity against the Satanists and the Matrix, with its constant deception of the populace, I thought I would jump in and say hello to everybody.
[01:26:40.822 --> 01:26:45.944]  Your thoughts, Andrew, we had your brother on earlier, Tristan come on earlier.
[01:26:45.964 --> 01:26:48.825]  Your thoughts on Alex Jones being back on X?
[01:26:49.285 --> 01:26:53.986]  I'd rather hear his thoughts on Elon Musk being the biggest maverick of the last 500 years.
[01:26:54.066 --> 01:26:55.027]  I'm not kissing ass here.
[01:26:55.047 --> 01:26:59.348]  Elon, you've got big ones, man, on every front.
[01:26:59.748 --> 01:27:02.029]  You are literally overturning the entire power structure.
[01:27:02.049 --> 01:27:05.650]  I was just going to say this and let Andrew get in, but I just want to say this while you're here.
[01:27:05.670 --> 01:27:24.379]   I mean, you are literally changing The entire paradigm, and you've definitely got the system scared, and so everybody needs to support X. Everybody needs to support the sponsors on X. I personally am doing all my Christmas shopping this year with all the great gadgets and stuff that are on X, but I'm going to shut up now.
[01:27:24.419 --> 01:27:28.984]  But I would imagine instead of talking about Alex Jones, I'd like to hear Andrew Tate talk about or ask questions to Elon Musk.
[01:27:29.557 --> 01:27:31.638]  Yeah, well, Alex is certainly a friend of mine.
[01:27:31.678 --> 01:27:35.541]  I've known him for a long time and I'm extremely happy he's back.
[01:27:35.581 --> 01:27:38.023]  I've celebrated that publicly, but Alex nailed it.
[01:27:38.123 --> 01:27:39.724]  Elon is taking the biggest risk here.
[01:27:40.244 --> 01:27:42.726]  It takes unlimited energy to propagate lies.
[01:27:42.786 --> 01:27:49.471]  You have to continually repeat them and you have to continue to try and falsify information and hide the truth to keep lies afloat.
[01:27:49.911 --> 01:28:03.478]   And this simple purchase, you call it simple, the purchase of a simple website has literally cracked the matrix in real time and it becomes extremely difficult now To run the PsyOps they were previously running and enslave the populace, which is their primary goal.
[01:28:03.838 --> 01:28:05.659]  So Elon is a hero, absolutely.
[01:28:06.119 --> 01:28:11.520]  And the risks you are taking, Elon, I don't think many people at home actually understand the gravity of the risks you are taking.
[01:28:11.560 --> 01:28:16.461]  Because your ability to speak freely is heavily leveraged against your insignificance.
[01:28:16.501 --> 01:28:19.122]  You're only allowed to speak if nobody listens to you.
[01:28:19.162 --> 01:28:22.263]  And if you get big and people start listening, they're going to come at you hard.
[01:28:22.303 --> 01:28:29.168]   And I think I'm not completely versed, but from what I understand, Elon's already suffering the lawfare tactics, which they're going to do.
[01:28:29.188 --> 01:28:33.471]  They're going to keep pulling out the hat to try and slow him down or stall him.
[01:28:33.531 --> 01:28:35.192]  Oh, Andrew, let me interrupt before I forget.
[01:28:35.212 --> 01:28:36.953]  I don't want to give him any attention.
[01:28:37.093 --> 01:28:42.778]  The same law firm that came after me with these PR firms, there is a three-letter agency running this.
[01:28:43.378 --> 01:28:48.282]  Not all of them, but let's just say it starts with a C and it ends with an A. Sorry, go ahead, Andrew.
[01:28:49.184 --> 01:28:52.985]  Yeah, absolutely, and there's liberal NGOs which will sponsor agents of the Matrix.
[01:28:52.805 --> 01:28:58.564]   They'll sponsor females to end up in a house party and then lie to try and put you in a Romanian jail cell and get you
[01:28:58.564 --> 01:29:03.845]   sitting with the cockroaches in a dungeon info war store.com
[01:29:03.845 --> 01:29:10.344]   We also have store-wide free shipping double pay three points. We have x2 about to sell out
[01:29:10.804 --> 01:29:13.486]  We have Wintersun, the best D3, finally back in stock.
[01:29:13.766 --> 01:29:14.747]  Still good for your immune system.
[01:29:15.147 --> 01:29:19.249]  We have Vazobeats with the nitrous oxide to boost your heart health.
[01:29:20.250 --> 01:29:20.650]  All of it.
[01:29:21.671 --> 01:29:29.396]  We have TurboForce, the most powerful, high-quality, brain-boosted tropic out there that's also good for you, unlike other brain boosters that aren't.
[01:29:29.996 --> 01:29:31.237]  TurboForce discounted.
[01:29:31.417 --> 01:29:32.598]  Infowarsstore.com.
[01:29:32.958 --> 01:29:34.219]  Get TurboForce.
[01:29:36.055 --> 01:29:37.176]  Get Winter Son.
[01:29:38.237 --> 01:29:40.619]  Get it all at InfoWarsTore.com.
[01:29:40.940 --> 01:29:43.042]  And I want to thank you all for keeping us on air over the years.
[01:29:43.062 --> 01:29:44.763]  You've seen that we've delivered together.
[01:29:45.144 --> 01:29:46.345]  You delivered supporting us.
[01:29:46.785 --> 01:29:48.006]  I've delivered not giving up.
[01:29:48.367 --> 01:29:51.650]  Praise God and pass the ammunition in the information war.
[01:29:51.670 --> 01:29:53.551]  Get a copy of my book, The Great Awakening.
[01:29:54.793 --> 01:29:55.573]  Sign or unsign.
[01:29:55.713 --> 01:29:56.935]  InfoWarsTore.com.
[01:29:57.295 --> 01:29:58.196]  Take action!
[01:30:01.900 --> 01:30:07.202]  A lot of listeners have complained in the last two years that our amazing, high-quality coffee has not been available.
[01:30:07.663 --> 01:30:12.065]  And that's because the prices went up too high for the raw beans and the quality had gone down some.
[01:30:12.485 --> 01:30:14.966]  I turned down so many companies that wanted to work with us.
[01:30:15.526 --> 01:30:24.911]  But now, we have brought back the coffee and it's even better from a national supplier that's veteran-owned and veteran-operated.
[01:30:25.111 --> 01:30:27.692]  It's powered by the company Minuteman Coffee.
[01:30:28.332 --> 01:30:36.380]  Ladies and gentlemen, this is the best-tasting, best-smelling, strongest coffee that I have ever drank.
[01:30:36.860 --> 01:30:38.261]  It is game-changing.
[01:30:38.702 --> 01:30:40.884]  All you gotta do is buy a bag of it and try it.
[01:30:40.904 --> 01:30:43.546]  I know you're gonna be hooked, which will then fund your Operation A360.
[01:30:44.247 --> 01:30:48.231]  Go to InfoWarsTore.com right now for Escape the Prison Planet Light Roast.
[01:30:48.271 --> 01:30:50.973]  That's the strongest, the amazing medium roast.
[01:30:50.993 --> 01:30:51.734]  Wake up, America!
[01:30:52.175 --> 01:30:59.412]  And finally, the best tasting dark roast tip of the spear, now exclusively available at InfoWarsStore.com.
[01:30:59.693 --> 01:31:00.475]  Get your coffee now!
[01:31:01.929 --> 01:31:06.232]  The InfoWars Live Silver Bullet Colloidal Silver has finally returned.
[01:31:06.432 --> 01:31:14.459]  To celebrate this powerful product's long-awaited homecoming, we're slashing $10 off the asking price, passing the savings on to you.
[01:31:14.839 --> 01:31:26.748]  Silver Bullet is the answer to Alex's extensive search for a powerful colloidal silver product that utilizes high-quality processes and has applications for both preparedness and regular use.
[01:31:27.068 --> 01:31:31.713]  Concentrated to 30 parts per million in a pure base of deionized water.
[01:31:32.034 --> 01:31:38.000]  This survival silver is the perfect fit for you and your family's routine and emergency supply.
[01:31:38.301 --> 01:31:43.847]  Veloid Silver is an amazing natural product that can assist your body's many healing processes.
[01:31:44.127 --> 01:31:52.211]  Do a deep dive, research the possibilities of colloidal silver yourself, and don't miss out on this limited time offer of $10 off.
[01:31:52.371 --> 01:31:56.213]  Try InfoWars Life Silver Bullet Colloidal Silver today!
[01:31:56.433 --> 01:32:03.017]   Available right now at InfoWarsStore.com Let's go to Highwaymen in Illinois.
[01:32:03.037 --> 01:32:03.598]  You're on the air.
[01:32:03.618 --> 01:32:04.158]  Thanks for calling.
[01:32:04.218 --> 01:32:04.659]  Hey, Alex.
[01:32:04.739 --> 01:32:06.100]  It's great to talk to you.
[01:32:06.140 --> 01:32:07.761]  Long time listener.
[01:32:07.841 --> 01:32:09.663]  First time actually getting through a call.
[01:32:09.703 --> 01:32:15.047]  First, I want to give a little plug on something that I don't feel that you plug nearly enough.
[01:32:15.107 --> 01:32:17.069]  Your dad's tumeric toothpaste is incredible.
[01:32:17.249 --> 01:32:24.515]  I prefer to admit I've kind of neglected my teeth, and I started using your dad's toothpaste, and my gums stopped bleeding brushing my teeth.
[01:32:24.695 --> 01:32:28.818]  I mean, it is dentist cleaning clean every time you brush your teeth.
[01:32:28.838 --> 01:32:29.539]  It is incredible.
[01:32:29.799 --> 01:32:31.801]  Well, again, my dad, I say he's retired.
[01:32:31.841 --> 01:32:33.002]  He doesn't do a lot of practice.
[01:32:33.042 --> 01:32:33.923]  He still has his license.
[01:32:33.943 --> 01:32:36.206]  He still takes care of friends and family and other folks.
[01:32:36.266 --> 01:32:45.495]  But yeah, he simply creates toothpaste with top toothpaste manufacturers that don't have fluoride, but that have all these essential oils, not just concentrated turmeric, but things like tea tree and a lot of other things in it.
[01:32:45.555 --> 01:32:49.577]  We don't really promote it a lot because the margin's so small it won't fund the operation.
[01:32:49.657 --> 01:32:58.862]  But yeah, all three of his toothpastes, the turmeric, the tooth whitening, and the activated charcoal are all top of the line with no extra atoms or fillings, full of essential oils.
[01:32:59.042 --> 01:33:00.062]  They will blow you away.
[01:33:00.102 --> 01:33:01.323]  Thank you so much for the plug, sir.
[01:33:03.244 --> 01:33:09.083]   Leading a frontal assault on the lies of the New World Order. It's Alex Jones
[01:33:29.884 --> 01:33:35.768]   Resistance to tyrants is obedience to God It's Alex Jones.
[01:33:38.649 --> 01:33:46.594]  It's a very scary world where you get to a point where you're only trying to tell the truth, and they're going to punish you for that using endless lawfare.
[01:33:47.054 --> 01:33:49.496]  And this battle has only just begun.
[01:33:49.916 --> 01:33:55.759]  But the Matrix has truly cracked now, and it's going to be extremely hard to lie to us like they did before with X, the way it currently is.
[01:33:56.100 --> 01:33:58.181]  And I think it came at exactly the right time.
[01:33:58.261 --> 01:34:03.084]  I almost, without trying to sound pessimistic, there was a point where I kind of felt like I was losing hope.
[01:34:03.264 --> 01:34:04.945]  You couldn't tell the truth about anything!
[01:34:05.465 --> 01:34:06.546]  Everything was a lie!
[01:34:06.966 --> 01:34:12.530]  Everything from head to toe was a lie and they're trying to lock us all back in our houses again and we can finally talk about it.
[01:34:12.369 --> 01:34:18.609]   It's truly heroic and Elon's taking massive risk and the respect I have for him for doing that is is is enormous
[01:34:18.609 --> 01:34:21.260]  Absolutely. I mean, this is what happens. I'm gonna shut up.
[01:34:21.260 --> 01:34:26.510]   So I won't hear from me on but this is so historic Elon Musk courage and it's true. I'm saying has broken the
[01:34:26.510 --> 01:34:30.958]   back of the globalists They'll never be able to turn this around again. Unless
[01:34:30.958 --> 01:34:38.170]   they have a nuclear war. We Elon Musk has broken their back Well, I guess some people are afraid to die, but I am not
[01:34:40.729 --> 01:34:45.369]   That that and you know what it's kind of crazy because I was talking to someone the other day and I was explaining
[01:34:45.369 --> 01:34:46.369]  thing.
[01:34:46.500 --> 01:34:50.081]  They were asking about my seizure, how they took all my houses, all my money, all my cars, blah, blah.
[01:34:50.481 --> 01:34:52.782]  And I said, you never truly own anything on this earth anyway.
[01:34:52.802 --> 01:34:58.803]  You can have a piece of paper that says you own it, but if you piss off the government structures, they just get a judge to stamp a different piece of paper and you no longer own it.
[01:34:59.103 --> 01:35:01.324]  The only thing you own is your soul and your integrity.
[01:35:01.764 --> 01:35:05.045]  And this is the one thing they cannot take away from you, no matter what they do to you.
[01:35:05.465 --> 01:35:06.925]  And that is the best feeling on earth.
[01:35:06.985 --> 01:35:12.747]  It doesn't matter if you can sell your soul to the devil and repeat what they want you to say, but then you truly own nothing.
[01:35:13.388 --> 01:35:23.692]  And I think that as history books look back on this pivotal moment when X was finally freed and the information of the world could finally be spoken freely, I really do believe we're on the right side of history.
[01:35:23.752 --> 01:35:28.754]  And if you were to ask me if there's anything worth dying for, it would be for the freedom of humanity and to be on the right side of history.
[01:35:28.774 --> 01:35:29.354]  So I agree with you.
[01:35:29.394 --> 01:35:29.794]  Absolutely.
[01:35:30.976 --> 01:35:32.156]  Yeah, absolutely.
[01:35:32.216 --> 01:35:37.338]  I mean, I'm just generally in favor of civilization and the furtherance of civilization.
[01:35:38.519 --> 01:35:44.461]  And I think we should always be concerned that we can regress as a civilization.
[01:35:44.581 --> 01:35:54.005]  And if you study history, you just see the arc of one civilization after another as the civilizations rise and fall through history.
[01:35:55.505 --> 01:36:06.093]  We've been in a period of civilization rising very rapidly, but we should be concerned that we may be cresting, we may subside.
[01:36:06.913 --> 01:36:12.578]  And there are many times where I get late-stage civilization vibes.
[01:36:13.498 --> 01:36:21.044]  And I'm just worried that maybe we're cresting as a civilization and perhaps headed for a fall.
[01:36:21.084 --> 01:36:21.264]  So, yeah.
[01:36:24.767 --> 01:36:36.271]  Well, I agree with you, because I truly believe, and a lot of people have said this before me, this is not an original idea, but I think as AI and machines and tech increases, a lot of people are going to be deemed useless by the overlords.
[01:36:36.351 --> 01:36:44.594]  And then you have to sit and decide, what are they going to do with all these people who have hopes and dreams, and they want health care, and they want a garden, and they want a house to live in, and they don't want to be treated like cattle?
[01:36:44.934 --> 01:36:46.575]  They're going to become extremely inconvenient.
[01:36:47.135 --> 01:36:50.276]  So, I don't think many people at home understand that this war cannot be avoided.
[01:36:50.316 --> 01:36:54.677]  I've had a lot of people who understand why they threw me in jail in Romania and understood I've done nothing wrong.
[01:36:55.178 --> 01:36:57.038]  And they said to me, why do you take up this fight?
[01:36:57.098 --> 01:37:00.419]  Why you don't just delete your Twitter and disappear and drive a Ferrari all day?
[01:37:00.459 --> 01:37:02.820]  And I explained that this war cannot be avoided.
[01:37:02.840 --> 01:37:06.601]  You're either on the front line and you're fighting for something or you're sitting waiting to die.
[01:37:06.621 --> 01:37:09.542]  You're waiting for the Mongol horde to come over the horizon and chop your head off.
[01:37:10.002 --> 01:37:11.082]  No, I totally agree.
[01:37:11.703 --> 01:37:17.446]   And just to throw this in there, if you read, and Elon, I knew you were doing great work.
