[00:00:00.109 --> 00:00:01.030]  They will destroy us?
[01:05:34.588 --> 01:05:35.489]  It's that simple, right?
[01:05:35.589 --> 01:05:44.972]   And for us to get you to do that, We need to give you something that is worth tuning into, sharing, and the more that you help with these stories, one thing I will say is that people here are willing to go to jail to protect their sources.
[01:05:46.133 --> 01:05:56.875]  So, yeah, a big part of this is crowdsourcing, where we have experts here and people in every major city, but you guys can do a lot to get some stories going on in your neck of the woods.
[01:05:56.915 --> 01:05:58.795]  Oh, I sound like Al Roker, who looks worse!
[01:05:58.815 --> 01:06:02.196]  The more people we got, then they get activated.
[01:06:02.256 --> 01:06:03.396]  As it develops, it's game over.
[01:06:03.536 --> 01:06:03.716]  Yep.
[01:06:03.756 --> 01:06:03.936]  Yeah.
[01:06:04.237 --> 01:06:04.637]  Absolutely.
[01:06:04.657 --> 01:06:06.458]  Alright, so this one's towards the bottom a little bit.
[01:06:06.478 --> 01:06:07.759]  So it's at Wilcat03.
[01:06:08.059 --> 01:06:08.700]  Okay.
[01:06:08.920 --> 01:06:10.781]  We want to grab two more and then go.
[01:06:10.801 --> 01:06:11.282]  Two more chats.
[01:06:11.302 --> 01:06:13.323]  This is one that we're going to have one more after this.
[01:06:13.703 --> 01:06:14.084]  Is it banned?
[01:06:14.104 --> 01:06:15.525]  Banned.video?
[01:06:15.545 --> 01:06:16.826]  If you say that we'll get removed from YouTube.
[01:06:16.846 --> 01:06:17.026]  No, no, no.
[01:06:17.046 --> 01:06:17.366]  Okay, hold on.
[01:06:17.406 --> 01:06:17.666]  It does exist.
[01:06:17.686 --> 01:06:18.507]  What are you talking about?
[01:06:18.527 --> 01:06:18.787]  Banned.video.
[01:06:19.568 --> 01:06:19.908]  Banned.video.
[01:06:20.708 --> 01:06:20.929]  Banned.video.
[01:06:21.589 --> 01:06:21.809]  Banned.video.
[01:06:22.330 --> 01:06:22.570]  Banned.video.
[01:06:23.170 --> 01:06:23.390]  Banned.video.
[01:06:23.991 --> 01:06:24.291]  Banned.video.
[01:06:24.971 --> 01:06:25.512]  Banned.video.
[01:06:26.072 --> 01:06:26.413]  Banned.video.
[01:06:26.993 --> 01:06:29.736]   B So we gotta get going because he has to go use the studio.
[01:06:30.497 --> 01:06:30.857]  Alright.
[01:06:31.297 --> 01:06:34.980]  Oh my gosh, I thought you already got married.
[01:06:35.420 --> 01:06:37.201]  We're getting married officially later.
[01:06:37.361 --> 01:06:40.143]  Our covenant before God is already recognized.
[01:06:40.163 --> 01:06:42.725]  Alright, so one more after this one.
[01:06:42.745 --> 01:06:45.907]  So, are you really protected from getting deplatformed?
[01:06:46.207 --> 01:06:50.410]  Or is this finally something we the conservative, God-loving Americans can rely on being here long-term?
[01:06:50.430 --> 01:06:52.391]  Basically, is it for real this time?
[01:06:53.877 --> 01:06:55.157]  Yeah, yeah, I can tell you this.
[01:06:56.298 --> 01:06:57.478]  Well, here's a good example, actually.
[01:06:57.698 --> 01:07:02.239]  For example, when we spoke with some people, they go, well, you know, Alex Jones is already, you know, he does his thing.
[01:07:02.259 --> 01:07:04.260]  We go, yeah, hold on a second.
[01:07:04.380 --> 01:07:05.720]  You're technically on Rumble, right?
[01:07:07.120 --> 01:07:10.121]  Yeah, but not really, because you still have to do your thing closed circuit.
[01:07:10.141 --> 01:07:11.301]  You were de-platformed everywhere, right?
[01:07:11.401 --> 01:07:11.861]  And I get it.
[01:07:11.881 --> 01:07:13.042]  You're like a battered housewife.
[01:07:13.102 --> 01:07:15.162]  You were de-platformed, right?
[01:07:15.182 --> 01:07:16.162]  So you don't trust anybody.
[01:07:16.382 --> 01:07:17.043]  And I understand that.
[01:07:17.323 --> 01:07:21.564]  And so we here, you know, Light Earth Cracker, for example, was on Rumble, right?
[01:07:21.604 --> 01:07:22.324]  We were on Rumble.
[01:07:23.274 --> 01:07:26.677]  But, in name only, we were on YouTube, and we might get a few thousand plays on Rumble.
[01:07:26.897 --> 01:07:30.260]  And then, it moved to hundreds of thousands of live viewers.
[01:07:30.800 --> 01:07:32.062]  That second on Rumble.
[01:07:32.082 --> 01:07:35.945]  And millions of viewers, cumulatively, where we get far more of our viewership on Rumble.
[01:07:35.965 --> 01:07:42.250]  Now, Rumble, I think, just exceeded 6% of the video place market share, which doesn't sound like a lot, but that is unprecedented.
[01:07:42.551 --> 01:07:49.997]  And I can tell you, beyond any shadow of a doubt, that, you know, these are people who are invested in the cause, and they want you to be able to have a platform.
[01:07:50.077 --> 01:07:56.159]  They want you to be able to speak freely, and I tell you what, we're incredibly... So we could be, we could be removed from YouTube.
[01:07:56.459 --> 01:07:57.359]  This is a good example though.
[01:07:57.719 --> 01:07:58.799]  Alex Jones already is.
[01:07:59.199 --> 01:08:00.180]  He can now regain it.
[01:08:00.060 --> 01:08:05.500]   it. He can be re-platformed on a better site, at a better place, and regain everything that
[01:08:05.500 --> 01:08:12.499]  was lost.
[01:08:12.785 --> 01:08:13.086]  I get it.
[01:08:13.326 --> 01:08:18.250]  Yeah, we've definitely had these conversations with the guys, and we can trust the guys over at Rumble, so this is a great place for us to be.
[01:08:18.270 --> 01:08:19.171]  Alright, final question.
[01:08:19.191 --> 01:08:20.432]  This one's a little bit more lighthearted.
[01:08:20.452 --> 01:08:22.194]  It's one of the first questions that we actually got.
[01:08:22.234 --> 01:08:23.715]  So this is from RayRay1776.
[01:08:25.717 --> 01:08:33.265]  We Muggers know you guys work hard behind the scenes and during the break, but was there anything you were able to do to relax on your time away from being on screen?
[01:08:33.305 --> 01:08:34.387]  Now, let me just preface this.
[01:08:35.147 --> 01:08:42.796]  A lot of times guys think, well we're not on screen so we're not doing anything, and one of the most intense periods of time that we have is when we're on break.
[01:08:43.136 --> 01:08:44.418]  Summer quote-unquote break.
[01:08:44.898 --> 01:08:51.021]  We're doing this and we're trying to sign new talent and get the network up and running, get this announcement ready to go, get the show back, get everything going.
[01:08:51.421 --> 01:08:57.223]  There's a lot that goes on, but we do get a tiny brief moment to get away, so were you able to do anything fun?
[01:08:57.344 --> 01:08:58.364]  I got about four days.
[01:08:58.944 --> 01:08:59.885]  Four days?
[01:08:59.905 --> 01:09:00.725]  Four whole days?
[01:09:00.745 --> 01:09:01.425]  With the family, yeah.
[01:09:01.485 --> 01:09:02.706]  It was kind of last minute.
[01:09:03.869 --> 01:09:04.810]  Oh yeah, well that was one thing.
[01:09:04.850 --> 01:09:13.197]  I tried to take my little ones to the splash pad and the municipality said, oh, there's a shortage of water, so I took them to boiling concrete and steel, where they shut everything else off.
[01:09:13.217 --> 01:09:13.957]  It's good for kids.
[01:09:14.117 --> 01:09:14.318]  Yeah.
[01:09:14.798 --> 01:09:18.121]  I was texting Jill, like, hey, don't you have something like in your neighborhood?
[01:09:18.141 --> 01:09:19.322]  I was like, yeah, yeah, I think I do.
[01:09:19.342 --> 01:09:22.144]  He's like, what are you, you're in the middle, it's like, it's like Mad Max for crying out loud.
[01:09:22.164 --> 01:09:25.326]  You're just out there, it's just beams of metal where water should be.
[01:09:26.407 --> 01:09:27.168]  Admitting, and it doesn't.
[01:09:27.268 --> 01:09:33.270]  So, I got a few days, but this was, I would say, honestly more intense than even the surgery that I got.
[01:09:33.290 --> 01:09:38.193]  This was probably the most intense break where we did not have a minute, and one thing I will say that I'm incredibly grateful for.
[01:09:38.833 --> 01:09:48.197]  And look, you've seen this going on everywhere else, and I guess if that's the last question that we're doing, you can go to laddoscreditor.com slash mugclub, you get the shirt, Fight Like Hell shirt.
[01:09:48.217 --> 01:09:51.639]  If you use the promo code replatforming, Alex is going to be doing his show here in a few minutes.
[01:09:52.739 --> 01:09:54.941]  You know, a lot of people here have been under attack.
[01:09:56.101 --> 01:10:11.820]   As we've grown this and of course the Knives really came out when Mug Club had its first phase that was launched you know with Rumble earlier this year and obviously with someone like Alex Jones and the announcements we expect them going forward as well but because of this and being under fire You know, Gerald knows this.
[01:10:11.880 --> 01:10:14.361]  I have a very close, I have for a very long time, circle of trust.
[01:10:14.401 --> 01:10:16.142]  People who I've known for an average of over 20 years.
[01:10:16.182 --> 01:10:16.743]  Gerald's in it.
[01:10:17.063 --> 01:10:18.404]  My friend Johnny Boy, my dad.
[01:10:19.605 --> 01:10:21.025]  Tim, the tool man, who you see.
[01:10:22.286 --> 01:10:26.429]  But it's expanded because, you know, pressure creates diamonds.
[01:10:26.449 --> 01:10:31.452]  And we have some people here, I don't even know if we want to use their names, but I'll just say N, M, thank you so much.
[01:10:31.552 --> 01:10:32.613]  T, thank you so much.
[01:10:32.633 --> 01:10:33.614]  There are so many people here.
[01:10:33.934 --> 01:10:36.195]  L, because I don't know who we need to keep anonymous.
[01:10:36.375 --> 01:10:39.858]  There are people here who really, really understood what it was that we were trying to build.
[01:10:41.078 --> 01:10:43.458]  And I saw them go into war mode.
[01:10:44.519 --> 01:10:46.319]  And that's not something that a lot of people will do.
[01:10:46.379 --> 01:10:47.879]  That's not something you do for a job.
[01:10:47.939 --> 01:10:49.820]  That's not something you do if it's just business.
[01:10:50.340 --> 01:10:54.880]  And I just want everyone there, right now in the control room, to know that it's not lost on me.
[01:10:55.341 --> 01:10:56.241]  I'm incredibly grateful.
[01:10:56.641 --> 01:11:07.343]  And honestly, being able to expand that circle and have more people who I call brothers in arms and sisters in arms and Z's in arms, and your guess is as good as mine, is something that has been very meaningful.
[01:11:07.363 --> 01:11:09.663]  I love it!
[01:11:10.987 --> 01:11:12.048]  Thank you so much.
[01:11:12.149 --> 01:11:14.231]  Lauderwithcrowder.com slash Mug Club.
[01:11:14.251 --> 01:11:19.138]  You can watch Nick DiPaolo's show, still going on right now, but we come back August 14th, same week.
[01:11:19.578 --> 01:11:20.299]  Alex Jones.
[01:11:20.720 --> 01:11:21.341]  Don't miss it.
[01:11:21.641 --> 01:11:22.042]  Thank you.
[01:11:22.101 --> 01:11:24.101]  We're excited.
[01:11:24.101 --> 01:11:28.101]  [Cheering]
[01:11:28.101 --> 01:11:31.101]  [Music]
[01:11:31.101 --> 01:11:34.101]  [Music]
[01:11:34.101 --> 01:11:37.101]  [Music]
[01:12:03.101 --> 01:12:05.101]  I've been Shadowbanned.
[01:12:05.651 --> 01:12:06.952]  I've been called a liar.
[01:12:07.692 --> 01:12:11.115]  I've been silenced on virtually every platform created by man.
[01:12:11.815 --> 01:12:14.117]  My life has been threatened, repeatedly.
[01:12:14.718 --> 01:12:17.280]  They've tried to destroy me, but I've survived.
[01:12:18.821 --> 01:12:20.923]  And that's why I'm joining Mug Club.
[01:12:22.404 --> 01:12:24.926]  The replatforming begins now!
[01:12:25.126 --> 01:12:42.906]   Join Mug Club and get one month free with promo code ALEX at jonescrowder.com The globalists have said in their white papers, in their own UN documents, that they want to create race-specific bioweapons and other systems to depopulate the planet.
[01:12:43.146 --> 01:12:50.308]  A lot of this, from my sources, is that they're preparing to release bioweapons, claiming that they're naturally occurring.
[01:12:50.908 --> 01:12:57.011]  And then use that as the cover for civil emergencies, societal control, crackdowns on free speech.
[01:12:57.031 --> 01:12:59.752]  Obama put the internet kill switch in five years ago.
[01:13:00.233 --> 01:13:05.455]  And when he got confronted by Congress, he said, well, it's in case the bird flu or SARS gets out.
[01:13:05.795 --> 01:13:06.436]  Just type that in.
[01:13:07.236 --> 01:13:15.501]  CDC says internet kill switch is in case bird flu or SARS breaks out, and they have to control panic and direct every website in the U.S.
[01:13:15.841 --> 01:13:17.142]  to one government announcement.
[01:13:17.362 --> 01:13:26.248]  And we looked at every angle and believe a bioweapon release could be the thing they'd release to bring in a world government to counter a global problem, and the U.N.
[01:13:26.268 --> 01:13:30.991]  has said that a global pandemic is the only thing that may save their world government.
[01:13:31.211 --> 01:13:31.951]  InfoWars.
[01:13:32.071 --> 01:13:32.972]  Tomorrow's News.
[01:13:33.132 --> 01:13:33.552]  Today.
[01:13:33.833 --> 01:13:38.696]   For everything the globalists hit us with, God, through Mother Nature, has given us the answer.
[01:13:39.497 --> 01:13:49.686]  I don't have to sell you on CBD oil, full spectrum CBD oil, the incredible things it does for your nerves, your brain, your entire physiological system, for your nervous system particularly.
[01:13:50.146 --> 01:13:51.647]  Everybody knows it's incredible, it works.
[01:13:52.188 --> 01:13:56.892]  We have the strongest, best CBD oil you're going to find anywhere at the lowest price.
[01:13:57.272 --> 01:14:03.347]   Yes, you can find this same CBD oil for 30% more Because that's who we're getting it from.
[01:14:03.787 --> 01:14:05.970]  Made right here in Central Texas.
[01:14:06.511 --> 01:14:09.354]  Our private label name is Rebel Zen.
[01:14:10.135 --> 01:14:15.362]  Rebel Zen is a private label of one of the top 3 or 4 CBD makers in the country.
[01:14:15.742 --> 01:14:18.486]  It's based right here in Texas and we're giving it to you at 30% off.
[01:14:18.566 --> 01:14:19.667]  And here's what's even crazier.
[01:14:20.428 --> 01:14:22.011]  30% off of what they're selling it for.
[01:14:22.311 --> 01:14:25.335]  They're selling theirs for 30% off what their competitors are.
[01:14:25.576 --> 01:14:29.621]  So this is the highest rated, already at the lowest price, now even a lower price.
[01:14:29.942 --> 01:14:30.543]  Rebels In.
[01:14:30.723 --> 01:14:33.066]  Get yours at InfoWareStore.com now!
