[00:00:00.169 --> 00:00:07.411]  Elon Musk's brain computer company Neuralink receives FDA approval to launch human clinical trial.
[02:27:06.315 --> 02:27:07.675]  Well, not for globalist purposes.
[02:27:07.735 --> 02:27:08.316]  I said that wrong.
[02:27:08.356 --> 02:27:16.981]  You get a freedom in the writings of the global elite at an international globalist level for anti-globalist people.
[02:27:18.101 --> 02:27:22.964]  Frido Koppra is important because he's one of the green guys, right?
[02:27:22.984 --> 02:27:32.966]   He's a big promoter of the green agenda, the climate stuff, and getting back to so-called indigenous earth religions, indigenous attitudes
[02:27:32.966 --> 02:27:37.895]   towards living in harmony with nature, this kind of stuff, all of which kind of sounds neat on the
[02:27:37.895 --> 02:27:41.965]   surface, but actually is promoted by a corporate agenda.
[02:27:41.965 --> 02:27:47.966]   Now, a corporate agenda is the agenda that we have been seeing rolled out,
[02:27:47.966 --> 02:27:53.806]   not just in terms of the Great Reset, but for decades, going back to the 1970s and 80s, with the
[02:27:54.926 --> 02:28:00.926]   push by the first global revolution book by the Club of Rome, which is pushing austerity,
[02:28:00.926 --> 02:28:03.886]  pushing this whole idea of a Great Reset.
[02:28:03.985 --> 02:28:13.550]  Reset model even before the Great Reset that we need to return to some kind of quasi primitivist archaic revival Situation where we no longer have private property.
[02:28:13.570 --> 02:28:24.776]  We no longer rely on Fossil fuels of course fossil fuels is I mean that relies on the idea that that oil is crushed up dinosaur bones Which is a ridiculous theory in my view.
[02:28:24.796 --> 02:28:27.658]  I don't know what oil is but I don't believe it's fossils.
[02:28:27.718 --> 02:28:28.418]  That's ridiculous.
[02:28:28.438 --> 02:28:32.220]   I Um, whatever it is, it's actually something that comes from the earth.
[02:28:32.240 --> 02:28:36.389]  I don't know if you know that, but it's not, it's not a completely toxic creation.
[02:28:37.825 --> 02:28:42.068]  That was masterminded by oil companies to destroy the planet.
[02:28:42.108 --> 02:28:50.553]  Now, obviously, a lot of the giant oil corporations, Anglo-Iranian Oil Company, these kinds of things, they are globalist entities, Standard Oil, Rockefellers, and all that.
[02:28:50.593 --> 02:28:53.736]  So that's definitely part of the power structure.
[02:28:53.776 --> 02:29:05.924]  But one thing you have to understand is that a lot of the so-called environmental movements, the push for radical eco-agendas, they're actually funded by giant oil conglomerates and energy corporations.
[02:29:05.944 --> 02:29:06.524]  Did you know that?
[02:29:07.236 --> 02:29:19.579]  Did you think that all of the AstroTurf protesting, the Extinction Rebellion, the PETA, all these kinds of vegan movements, they're not organic movements.
[02:29:21.580 --> 02:29:26.561]  They're movements fostered and foisted upon us by the Fortune 100, Fortune 500.
[02:29:27.401 --> 02:29:33.123]  And, you know, for many years I got a lot of flack for criticizing corporatism and the Fortune 100, Fortune 500.
[02:29:35.037 --> 02:29:43.783]  So I was making this criticism back in the early 2000s because it was obvious to me that a lot of this agenda is not being pushed by ground level commies.
[02:29:44.183 --> 02:29:47.385]  They're just one angle, one element of this system.
[02:29:47.405 --> 02:29:50.267]  A lot of this agenda is being pushed by the Fortune 100.
[02:29:50.507 --> 02:30:00.293]  And I remember in the 90s, in the early 2000s, it was a big deal when certain giant corporations were beginning to push the Skittles agenda.
[02:30:00.533 --> 02:30:04.356]  And it was evident back then that there's something coordinated with this.
[02:30:05.208 --> 02:30:08.791]  It's not just organic movements of low-level activists.
[02:30:09.071 --> 02:30:10.512]  They play a role, right?
[02:30:10.572 --> 02:30:12.333]  But there's also pressure from above.
[02:30:13.254 --> 02:30:20.939]  Pressure from above and pressure from below is actually part of this strategy of change, future shock, social engineering, right?
[02:30:20.959 --> 02:30:22.540]  This is what change agents engage in.
[02:30:22.560 --> 02:30:26.243]  And there's change agents at the corporate level as well as at the groundswell level.
[02:30:27.183 --> 02:30:40.255]   But a lot of it is engineered, a lot of it is co-opted, and it's all Resting a lot of propaganda that comes from certain ideological pushers, ideological figures, and Friedrich Kopper is one of those key figures.
[02:30:40.995 --> 02:30:46.757]  And many, many years ago, in 1982, he wrote a book called The Turning Point.
[02:30:47.457 --> 02:30:54.479]  Turning Point is a book about the revolutions that were occurring in science, society, and culture.
[02:30:55.459 --> 02:30:57.119]  And he's one of these key figures.
[02:30:57.219 --> 02:31:15.766]   Again, I don't remember exactly what is his Ideological background was, but this was being pushed by all of the establishment in 1982 because this was a move away from Western repressive, oppressive structures, they said.
[02:31:16.447 --> 02:31:30.790]  And it's very similar to another book that came out right around the same time that has the similar ideology that a lot of people point out was actually pushed by the Tavistock Institute and Stanford Research, and that is the Aquarian Conspiracy book by Marilyn Ferguson.
[02:31:31.425 --> 02:31:33.226]  Now, these are not conspiracy texts.
[02:31:33.346 --> 02:31:37.528]  Even though the book is titled The Aquarian Conspiracy, it's not a conspiracy book.
[02:31:37.949 --> 02:32:19.473]   Dr. John Coleman argues, by the way, that it wasn't really written by Marilyn Ferguson, but it was, in fact, written by Willis Harmon and the people that wrote Changing Images of Man, another one of these key white papers that set the stage, set the tone for the turning point, this era, post-70s, early 80s, where we would have radical transformation in society, And in the corporate world, this is a book actually targeted at structures of society, CEOs, educators, board members, and how they can start to link up in new networks that can bring about this Aquarian age of change.
[02:32:20.713 --> 02:32:24.754]  One of the key texts beyond the Aquarian Conspiracy, as we said, is Frithof Copra's book.
[02:32:25.114 --> 02:32:29.856]  And when we look at what the philosophy of this text is, we're going to find out a lot of fascinating things.
[02:32:30.839 --> 02:32:51.411]  The subtitle of the book, as we said, deals with science, society, and culture, but he wrote another book prior to this called The Tao of Physics, and in that book he was interested in promoting, under the guise of the new physics, or quantum physics, he was interested in promoting the idea of Taoism, right?
[02:32:51.972 --> 02:32:57.375]  Now, I'm not critiquing Eastern philosophies in total.
[02:32:57.415 --> 02:32:58.956]  I'm sure there's some really good insights.
[02:32:59.076 --> 02:33:00.477]  I've read some on Eastern philosophy.
[02:33:01.638 --> 02:33:12.387]  But you can immediately see that what the purpose that Copra has in co-opting Far Eastern philosophies is, he says that we need to look at Eastern philosophies because they're holistic.
[02:33:12.707 --> 02:33:20.333]  They place everything in the context of the collective, and those are going to be a lot more useful for the future that we're going into, which will be collectivist.
[02:33:21.354 --> 02:33:38.247]   So even though he's not necessarily a communist or an outright Marxist, he's a collectivist in the sense that In Turning Point, he says, we've got to look at the way that other Eastern philosophies and systems like Daoism or Confucianism see everything as a whole.
[02:33:38.267 --> 02:33:45.594]  And if you see everything as a whole, this will diminish the idea of the particular, the individual, the one, the one in the many.
[02:33:47.015 --> 02:33:54.322]  In fact, he says, the best way to conceive of this is that you are a cell that exists in Mother Gaia.
[02:33:55.430 --> 02:33:57.492]  Mother Gaia, the Earth, is a living creature.
[02:33:57.532 --> 02:34:00.795]  You're a cell in that living creature, and you're kind of going to be recycled.
[02:34:01.495 --> 02:34:06.159]  And all of society, all of reality, participates in this natural cycle.
[02:34:07.000 --> 02:34:08.622]  Death, life, rebirth, and so forth.
[02:34:09.442 --> 02:34:14.226]  Kind of a reincarnation type of idea, even though it's not necessarily actual reincarnation.
[02:34:14.447 --> 02:34:19.291]  He just thinks that we kind of get recycled in this giant engine of Gaia, or the universe, or whatever.
[02:34:20.248 --> 02:34:32.393]  And he says that when we understand that we can begin to move towards the ideas of a circular economy and being trained to accept recycling because it damages Mother Earth.
[02:34:33.414 --> 02:34:43.338]  He says this is the system's view of life and he actually cites one of the other global elite texts that we've referred to many times, Ghost in the Machine by Arthur Kessler.
[02:34:44.439 --> 02:34:54.679]   And Ghost in the Machine, as we said, was a book that deals with This whole idea of a systems view of life and philosophy, where you're just a cog in the wheel of nature.
[02:34:55.459 --> 02:35:05.203]  And since that's your proper place, you need to abide by the rules of nature, which are that you as an individual are totally subject to the whole, to the collective.
[02:35:06.944 --> 02:35:12.406]  And the argument they make is, look at life forms, look at plants, look at the animal ecosystems.
[02:35:12.727 --> 02:35:14.267]  They all exist as a whole.
[02:35:14.547 --> 02:35:17.379]   A whole lawn is what Kessler calls it.
[02:35:18.119 --> 02:35:21.882]  And by the way, Copra sites Kessler in many, many places.
[02:35:22.882 --> 02:35:24.984]  Thank you for fading me into Gaia there.
[02:35:29.086 --> 02:35:30.587]  She has two different colored pupils.
[02:35:30.767 --> 02:35:31.148]  Interesting.
[02:35:33.509 --> 02:35:38.913]  Systems then are webs and networks, and we should view all of life as webs and networks.
[02:35:39.433 --> 02:35:44.577]  And so since you're connected to a web and a network, you can't be an individual.
[02:35:45.177 --> 02:35:46.498]  You're going against the collective.
[02:35:47.657 --> 02:35:52.901]  And so that's why Huxley and other figures said that we really have to get rid of this idea of any kind of individualism.
[02:35:53.081 --> 02:35:57.564]  Now, I think there's an extreme individualism that goes the opposite, which is bad.
[02:35:57.945 --> 02:35:59.746]  But we'll explain that when we come back.
[02:36:00.266 --> 02:36:03.088]  This is the Alex Jones Show and you're listening to Jay Dyer.
[02:36:04.069 --> 02:36:05.250]  Welcome back to the Alex Jones Show.
[02:36:05.270 --> 02:36:06.991]  I'm your guest host, Jay Dyer of Jay's Analysis.
[02:36:07.031 --> 02:36:11.074]  We're covering Friedolf Koppra's book, The Turning Point, Science, Society and Culture.
[02:36:12.355 --> 02:36:14.157]  And what does he mean by turning point?
[02:36:14.176 --> 02:36:22.976]   What does he mean by this juncture where everything now can shift away from the era of the Enlightenment
[02:36:22.976 --> 02:36:27.015]  and individualism into a new reconstructed collectivism?
[02:36:27.015 --> 02:36:28.816]  It's like an alchemy.
[02:36:28.816 --> 02:36:36.136]   You have the process of dissolving and breaking down and you have the phase of then recoagulating
[02:36:36.136 --> 02:36:38.777]  and bringing it back into a new whole.
[02:36:38.777 --> 02:36:41.936]   That's essentially what he's talking about and he actually goes into citing some of the
[02:36:41.936 --> 02:36:43.536]  mystical Eastern texts.
[02:36:43.536 --> 02:36:49.777]   He cites the I Ching and he says that this time of decay of the last several centuries
[02:36:49.777 --> 02:36:55.615]   of male phallic dominance and colonialism and this kind of stuff, this will go away
[02:36:55.615 --> 02:36:57.457]  because now we're at the turning point.
[02:36:57.457 --> 02:37:07.457]  [BLANK_AUDIO]
[02:36:58.639 --> 02:37:01.040]  He's appropriating the quote, I'm saying, to mean this.
[02:37:01.761 --> 02:37:02.961]  Where there will be a new movement.
[02:37:03.782 --> 02:37:09.144]  This new movement will arise spontaneously, naturally, resulting in the transformation of the old.
[02:37:09.624 --> 02:37:10.084]  Change.
[02:37:10.164 --> 02:37:10.925]  Hope and change.
[02:37:11.485 --> 02:37:12.185]  Change, change, change.
[02:37:12.205 --> 02:37:12.766]  Transformation.
[02:37:12.886 --> 02:37:13.306]  Turning point.
[02:37:13.326 --> 02:37:13.506]  Change.
[02:37:14.246 --> 02:37:15.927]  Always slogan, slogan, slogan.
[02:37:16.528 --> 02:37:22.090]  Never any real clear analysis of, is it always good to change?
[02:37:22.650 --> 02:37:24.871]  There's the assumption that change itself is good.
[02:37:24.891 --> 02:37:26.971]  Well, can't we change for the worse?
[02:37:27.792 --> 02:37:30.292]  Why is change itself necessarily a good thing?
[02:37:32.013 --> 02:37:36.234]  And he says, well, let's explain why things are changing and what direction we're going.
[02:37:36.274 --> 02:37:42.016]  And he begins the book by saying that we're in a period of crisis and crisis leads to transformation.
[02:37:44.232 --> 02:37:50.377]  And the crisis is always the crisis that the global elite have either fostered, invented, or have made up.
[02:37:51.557 --> 02:37:53.779]  The crisis is overpopulation.
[02:37:54.740 --> 02:37:58.242]  The crisis is nukes, nuclear war.
[02:37:58.663 --> 02:38:03.126]  The crisis is the environment being destroyed, the A-bomb.
[02:38:04.867 --> 02:38:09.591]  But at the same time, when you read Burson Russell, for example, he says, he takes credit.
[02:38:09.911 --> 02:38:11.792]  The elite invented all these things.
[02:38:11.873 --> 02:38:12.933]  We created all these things.
[02:38:12.973 --> 02:38:13.654]  We're so smart.
[02:38:14.244 --> 02:38:15.705]  And by the way, you're guilty.
[02:38:15.725 --> 02:38:22.510]  It's your fault that we have these world-destroying weapons and dangerous to the environment, so we got to get rid of everybody.
[02:38:22.530 --> 02:38:23.691]  That's the logic here.
[02:38:24.392 --> 02:38:27.954]  Now, he mentions a few things that are also, again, actual dangers.
[02:38:28.275 --> 02:38:33.659]  He says that, for example, the military industrial complex has arisen as a frightful power.
[02:38:36.240 --> 02:38:43.466]  But do you not realize that the military industrial complex is actually behind the push for the Aquarian conspiracy?
[02:38:44.679 --> 02:38:45.699]  That's who's behind this.
[02:38:46.339 --> 02:38:49.200]  Stanford Research, Wallace Harmon, Changing Images of Man.
[02:38:50.360 --> 02:38:54.321]  Stanford Research is part of the establishment military-industrial complex.
[02:38:56.542 --> 02:39:06.144]  He says, yeah, but the ecology, the systems of ecology are now destroyed by air pollution and global climate change.
[02:39:08.885 --> 02:39:11.406]  He says that look at GMOs, genetic modification.
[02:39:11.426 --> 02:39:12.766]  Well, who's behind GMOs?
[02:39:14.212 --> 02:39:21.275]  It's not the people that are behind GMOs, it's gigantic multinational corporations like Monsanto, etc.
[02:39:22.735 --> 02:39:39.362]  But he's saying that we are all collectively guilty because of these ridiculous mad science projects of the mad science elite that run the planet for the Fortune 100 and the international finance elite.
[02:39:41.320 --> 02:39:43.801]  He says that, look what just happened in the 1970s.
[02:39:43.821 --> 02:39:45.122]  We had an energy crisis.
[02:39:45.763 --> 02:39:52.146]  And we have that energy crisis because we're on fossil fuels.
[02:39:52.967 --> 02:40:02.732]  And he says that another problem, the reason we've had this energy crisis, I kid you not, he says, is because of patriarchalism.
[02:40:03.432 --> 02:40:04.313]  Patriarchy.
[02:40:04.453 --> 02:40:05.994]  It just wants to rape nature.
[02:40:06.054 --> 02:40:07.755]  It just wants to oppress women.
[02:40:08.587 --> 02:40:15.032]  And if we just had more feminism and equality in society, we wouldn't have the military industrial complex.
[02:40:15.092 --> 02:40:16.413]  I mean, this is just ridiculous.
[02:40:18.454 --> 02:40:28.842]  Then he goes on to cite actually something that vindicates what we were talking about with Dr. John Coleman was the references to civilizational patterns, Arnold Toynbee and Oswald Spengler.
[02:40:29.921 --> 02:40:42.451]  Now Toynbee was one of the Fabian socialists who talked about these civilizational patterns and he was a key figure at Wellington House, which was the propaganda outlet of the British Empire at the time of World War I. That would become, eventually, Tavistock.
[02:40:43.192 --> 02:40:49.137]  So we know that this is also then a Tavistock sourcing document, right?
[02:40:49.797 --> 02:40:54.641]  And he says, look, look at the patterns of civilizations, which I do think there are patterns for civilizations.
[02:40:55.382 --> 02:40:58.825]  The Book of Daniel describes these patterns with the various empires.
[02:40:59.813 --> 02:41:04.155]  Spangler describes these patterns as a life cycle for civilizations.
[02:41:04.675 --> 02:41:08.617]  They have a birth, they have a rise, an apogee, and a death, a decline.
[02:41:10.417 --> 02:41:20.481]  And he cites these cycles of civilizations, and he even gives us diagrams, and this is all from Toynbee and Spangler models, right?
[02:41:21.282 --> 02:41:21.822]  Can you see that?
[02:41:23.643 --> 02:41:23.863]  Yeah.
[02:41:26.044 --> 02:41:38.876]   And he says, well, see, we're in one of those decline-collapse And he says that because we're in a declining collapse, we can now create the new technocratic utopian style civilization.
[02:41:40.558 --> 02:41:51.847]  And he even says that we can look at civilization figures talking about this world order who preceded us, who understood the universal rhythms.
[02:41:53.389 --> 02:41:54.069]  He says, St.
[02:41:54.149 --> 02:42:01.065]   Simon and Herbert Spencer and Hegel saw human civilization in these cultural evolutions and developments.
[02:42:02.745 --> 02:42:05.246]  Of course, Saint-Simon was an Illuminist, right?
[02:42:05.266 --> 02:42:09.388]  And he was actually a Jacobin-style hardcore socialist communist.
[02:42:10.048 --> 02:42:13.630]  Herbert Spencer, of course, one of the key promoters of evolutionary theory.
[02:42:13.710 --> 02:42:17.551]  Hegel, the philosopher who provided the dialectics for Marx.
[02:42:17.691 --> 02:42:19.012]  Marx flipped Hegel on his head.
[02:42:19.672 --> 02:42:26.894]   So you can see that he says, we got to follow these guys because their evolutionary philosophy They're metaphysics of evolution.
[02:42:29.256 --> 02:42:32.218]  Proves that everything has changed, everything is evolving.
[02:42:32.238 --> 02:42:36.180]  That's also, by the way, the philosophy of Marx, Lenin and Trotsky, right?
[02:42:36.461 --> 02:42:42.305]  The Marxist philosophy is everything in nature is in dialectical battle.
[02:42:43.325 --> 02:42:50.130]  And because nature and evolutionary philosophy show this, the Marxists would utilize Survival of the Fittest to prove this.
[02:42:51.081 --> 02:43:02.544]  And that somehow the species, for example, in the Survival of the Fittest model, it battles against nature, against death, against whatever, to produce the fitter members of the species for the good of the species.
[02:43:03.004 --> 02:43:04.725]  So, hence the collectivism, you see.
[02:43:07.445 --> 02:43:14.667]  And so, he says, as a result of this, and the decline of patriarchy, it's time for feminism.
[02:43:15.288 --> 02:43:17.788]  It's time for Gaia to balance out things.
[02:43:17.848 --> 02:43:18.849]  This is so ridiculous.
[02:43:19.429 --> 02:43:20.449]  This is just propaganda.
[02:43:21.895 --> 02:43:29.400]  But now you'll notice that this is the kind of person that's cited as if this is a authoritative global figure.
[02:43:30.000 --> 02:43:35.383]  He's kind of like a Jacques Attali or a, you know, a great thinker of the elite.
[02:43:36.664 --> 02:43:47.621]   But all he's doing is just putting out propaganda that says that, oh, by the way, we just need no fuel Which, by the way, they're shutting down.
[02:43:47.661 --> 02:44:00.485]  You understand that they're shutting down cars and automobiles and having a car now as part of this agenda written about in the 1980s as an austerity shutdown model.
[02:44:01.525 --> 02:44:04.366]  And the auspices are all fraudulent.
[02:44:05.246 --> 02:44:06.526]  Oh, it's all bad for the earth.
[02:44:07.827 --> 02:44:08.707]  And how do we know that?
[02:44:08.767 --> 02:44:09.807]  Well, because of the experts.
[02:44:09.827 --> 02:44:10.547]  Who's the experts?
[02:44:10.607 --> 02:44:12.548]  This guy, the propagandists.
[02:44:15.629 --> 02:44:17.030]  So you've just been propagandized.
[02:44:17.610 --> 02:44:20.252]  And he says it's time for a paradigm shift, future shock.
[02:44:21.133 --> 02:44:23.134]  Exactly what Toffler talks about.
[02:44:23.774 --> 02:44:25.876]  Again, Tavis talks of power shift, he says.
[02:44:26.596 --> 02:44:27.957]  Paradigm shift, future shock.
[02:44:28.457 --> 02:44:30.619]  All the same buzzwords because it's all from the same people.
[02:44:34.229 --> 02:44:43.091]  Next, we're going to talk about the history of revolutions and how he ties in what Huxley says about the coming technocratic order braving the world as the final revolution.
[02:44:43.432 --> 02:44:44.652]  He says the exact same thing.
[02:44:44.692 --> 02:44:45.732]  This is the Alex Jones Show.
[02:44:45.752 --> 02:44:46.312]  Don't go anywhere.
[02:44:47.333 --> 02:44:48.493]  Welcome back to the Alex Jones Show.
[02:44:48.513 --> 02:44:50.313]  I'm your guest host, Jay Dyer, Jay's Analysis.
[02:44:50.353 --> 02:44:59.436]  We are analyzing the cycles of history based on Spengler and Toynbee that Fritjof Capra has mentioned in his book.
[02:45:00.160 --> 02:45:24.294]  Frito Capricorn has mentioned, and he talks about revolutions in history, particularly the French Revolution, the revolutions of the 1800s, all the way up until today, and he says that what this has taught us is the faith in historical process, faith in revolution, because revolution reflects in the mind of the revolutionaries, and they're not just communists, there's revolutionaries of all stripes.
[02:45:25.211 --> 02:45:31.493]  All revolutionaries serve the eventual outworking of the dialectical synthesis.
[02:45:32.814 --> 02:45:45.078]  He says that revolution is a reflection of progress and history moving towards its apex, towards its omega point, towards its end goal.
[02:45:45.718 --> 02:45:53.361]  For example, Hegel said that history would eventually evolve into a kind of a transhumanist self-consciousness where all reality would kind of become God.
[02:45:54.517 --> 02:46:06.524]  And so being, which is stasis or fixity or immobility, is always in a battle with becoming and flux and change in the history of philosophy.
[02:46:07.364 --> 02:46:14.128]  But what he's saying is that what we've learned is that, no, in fact, reality itself is all pure change, pure flux.
[02:46:14.988 --> 02:46:22.992]  And so they're really repeating the ancient philosophical systems that everything is flux, right?
[02:46:23.013 --> 02:46:23.693]  Heraclitus.
[02:46:24.781 --> 02:46:36.865]  And that's why even the Marxists themselves, I think it's either Lenin or Trotsky, actually said, I'm just repeating the ancient philosophy of Heraclitus, which is that everything is in permanent, perpetual flux.
[02:46:36.905 --> 02:46:40.045]  In other words, nature itself is revolution, constant revolution.
[02:46:41.766 --> 02:46:49.148]  And thus, nothing is actually true, nothing is actually objective, nothing is actually certain, everything is subject to constant flux and change.
[02:46:49.948 --> 02:46:52.189]  And he says that this is dialectics, right?
[02:46:53.177 --> 02:46:59.699]  And dialectics is what Eastern philosophies were always teaching.
[02:47:00.279 --> 02:47:12.562]  And he says that's why we have to look at the notion of Daoism, process and change in Daoism, because in Daoism everything is understood in this point, counterpoint, thesis, antithesis, right?
[02:47:12.822 --> 02:47:16.423]  Position, opposition, position, negation stance.
[02:47:17.183 --> 02:47:21.384]  Yin, yang, earth, heaven, moon, sun, night, day, black, white, winter, summer.
[02:47:22.583 --> 02:47:28.104]  These are dialectically seen as in opposition and contrast and tension.
[02:47:28.744 --> 02:47:32.225]  Daoist philosophy, he says, is a philosophy of dialectics.
[02:47:33.826 --> 02:47:45.368]  And thus it was easily, China, for example, easily accepted Marxism and Marxist dialectics because of the history that they had with, for example, Confucianism.
[02:47:45.548 --> 02:47:48.029]  Confucianism is also a dialectical position.
[02:47:49.429 --> 02:47:51.990]  We have this constant back and forth between yin and yang.
[02:47:52.472 --> 02:47:53.812]  The feminine versus the masculine.
[02:47:54.813 --> 02:47:56.593]  The contracting versus the expanding.
[02:47:56.773 --> 02:47:58.954]  Growth versus contraction.
[02:48:00.514 --> 02:48:04.575]  Conservation versus non-conservation or revolution.
[02:48:06.375 --> 02:48:08.056]  Cooperation versus competition.
[02:48:08.796 --> 02:48:10.676]  Synthesis versus analysis.
[02:48:12.737 --> 02:48:16.198]  And he says that all of this is constantly working out in history.
[02:48:16.257 --> 02:48:25.997]   actions, all governments, everything towards a greater future union, a balance of union.
[02:48:25.997 --> 02:48:32.457]   He says look at even the right and left brain, our hemispheres, you see.
[02:48:32.457 --> 02:48:35.657]   Then he goes back into history and he says that the history of Western philosophy was
[02:48:35.657 --> 02:48:42.096]   just really one position, one limited positing of a position that was true for that time,
[02:48:42.096 --> 02:48:46.976]  but in the greater whole it needs to be now negated.
[02:48:46.976 --> 02:48:52.137]   All of Western civilization needs to be negated by its opposite.
[02:48:52.137 --> 02:48:55.137]  And by the way, Marxism believed the same thing.
[02:48:55.714 --> 02:48:56.494]  That is Marxism.
[02:48:58.014 --> 02:49:10.099]  So systems analysis tells us that because nature is a giant evolutionary survival of the fittest system, everything has to work out in the same praxis way.
[02:49:12.039 --> 02:49:18.242]  That's why Marxists, for example, always engage in what they call praxis, which is activism, action.
[02:49:18.302 --> 02:49:19.382]  You have to take action.
[02:49:19.941 --> 02:49:22.302]  True Marxism is not sitting back and theorizing.
[02:49:22.782 --> 02:49:25.083]  You must take action to further the dialectic.
[02:49:26.104 --> 02:49:28.545]  Taking action is Marxism.
[02:49:31.506 --> 02:49:39.830]  He says social Darwinism is part of this and so it's not that the British Empire and its social Darwinian philosophy and all this kind of stuff was inherently evil.
[02:49:40.010 --> 02:49:46.273]  It was just a time-bound necessary dialectical phase which gives way to new phases.
[02:49:47.614 --> 02:49:51.055]  And he says this is a process that we are now moving into.
[02:49:51.075 --> 02:49:53.856]  He says that, let's look at Newton.
[02:49:53.916 --> 02:50:01.339]  Newton gave us this notion of a mechanistic society, the Royal Society, Baconianism, Scientism, all of that.
[02:50:01.659 --> 02:50:05.881]  That's a very highly rational system which now must give way to the new system.
[02:50:08.502 --> 02:50:19.937]   So basically everything now is, it's basically Mother Earth manifesting as a living organism Phases of her life cycle and development.
[02:50:22.558 --> 02:50:36.340]  And since we've had this dominance of the dialectical imbalance of masculinity for the past several centuries in Western civilization, it's now time to capitulate to the dominance of the feminine, to balance things out.
[02:50:36.360 --> 02:50:38.561]  Right?
[02:50:39.001 --> 02:50:41.481]  Like, the force type stuff.
[02:50:43.261 --> 02:50:47.062]  Luke, Luke, use the feminist side of the force, Luke.
[02:50:48.681 --> 02:50:52.124]  Luke, Luke, be cocked by the falls, right?
[02:50:52.164 --> 02:50:52.744]  This kind of a thing.
[02:50:54.846 --> 02:51:00.670]  Einstein, he says, was a Newton because now he unseated the previous models.
[02:51:00.690 --> 02:51:09.116]  I don't know why my microphone died for some reason.
[02:51:09.157 --> 02:51:09.677]  Okay, there we go.
[02:51:09.977 --> 02:51:10.397]  Are we back?
[02:51:12.159 --> 02:51:21.828]   So he says that Einstein unseated all this and gave us this return to a model where reality is purely relativistic.
[02:51:22.808 --> 02:51:30.631]  And relativistic physics is concomitant with relativistic views in everything else.
[02:51:31.331 --> 02:51:34.613]  Philosophy, ethics, social-cultural relativism.
[02:51:35.073 --> 02:51:37.254]  No culture is any better or any worse than any other.
[02:51:37.274 --> 02:51:38.694]  They're all relative, you see.
[02:51:38.734 --> 02:51:48.002]   It all goes together with the new systems and the new models that have been introduced And he says all these things are great because they're actually leading us to the next phase.
[02:51:49.483 --> 02:51:57.849]  Out of Newtonianism and after Darwinism, we now have quantum physics, uncertainty, the double slit experiment, all this kind of stuff.
[02:51:57.869 --> 02:52:06.375]  And he says that all that is there to basically confirm far eastern metaphysics of reality being basically illusory.
[02:52:06.395 --> 02:52:20.802]   That there's no such thing as Aristotelian laws of, you know, the three laws, law of non-contradiction, the law of the excluded middle, the law of identity, those things we don't, those don't exist anymore.
[02:52:21.262 --> 02:52:23.743]  Everything is in a dance of energy and a flux.
[02:52:25.064 --> 02:52:26.064]  Everything is becoming.
[02:52:27.945 --> 02:52:40.511]  And then he actually pauses some kind of like a weird matrix theory where he talks about the subatomic particles prove that we're in some sort of, maybe you were in a hologram or a simulation, this kind of a thing.
[02:52:41.758 --> 02:52:51.164]  But all of these models are really reductionist and they're just basically making huge religious metaphysical leaps that as if he knows what all reality is.
[02:52:52.445 --> 02:52:56.387]  So he's positing a sort of a mystical scientism.
[02:52:56.988 --> 02:53:21.503]   He mentions Paracelsus, he mentions these alchemists and these mystics and he says that It's time to get away from extreme materialism that came as a result of Darwinism, and now we need, even though Darwin, Lyell, and Malthus gave us great insights, he says it's time to move to a new kind of spirituality, you see.
[02:53:22.144 --> 02:53:46.609]   And I would agree that, yeah, that materialism and Darwinism and all that are bad news, but the spirituality that he's giving us is a weird new age Spirituality something more akin to Theosophy right out of Blavatsky and her Seeker doctrine and remember we've covered I've got many videos many talks on this Blavatsky was basically a British intelligence agent for the Fabian socialists.
[02:53:46.649 --> 02:53:48.369]  She was a Fabian socialist.
[02:53:52.811 --> 02:53:56.632]  So she's working for the power structure and I think she was even probably a British spy.
[02:53:58.133 --> 02:54:02.676]   But he says that Look, there's a lot of propaganda in science, which is true.
[02:54:03.217 --> 02:54:05.418]  So not everything that Copper says is false, right?
[02:54:05.458 --> 02:54:06.638]  He says GMOs are bad.
[02:54:06.698 --> 02:54:06.839]  Okay.
[02:54:06.859 --> 02:54:07.399]  Yeah, that's good.
[02:54:07.839 --> 02:54:09.140]  But his answers are terrible.
[02:54:09.740 --> 02:54:13.662]  It's like, identify real problems, give even worse solutions, you see.
[02:54:14.282 --> 02:54:22.887]  So when we come back, we'll get into what are his solutions and what are the models that he proposes for the new coming post-turning point society?
[02:54:23.167 --> 02:54:24.708]  What is the new society going to be like?
[02:54:25.288 --> 02:54:26.308]  This is the Alex Jones Show.
[02:54:26.348 --> 02:54:27.369]  I'm your guest host, Jay Dyer.
[02:54:27.809 --> 02:54:28.970]  Jay's analysis doesn't go anywhere.
[02:54:29.090 --> 02:54:29.510]  Come right back.
[02:54:31.025 --> 02:54:31.965]  Welcome back to the Alex Jones Show.
[02:54:31.985 --> 02:54:34.486]  I'm your guest host, Jay Dyer of Jay's Analysis.
[02:54:35.206 --> 02:54:44.049]  The most important part of this book, I think, I mean, there's a lot of really interesting nuggets and fascinating little tidbits that he throws out there.
[02:54:45.229 --> 02:54:59.894]  But it's the foresight that he had to discuss how the transformation in society, one of the key elements that would be there in society to bring this about, would be the medicine arena.
[02:55:00.294 --> 02:55:00.694]  Medicine.
