[00:00:00.029 --> 00:00:01.792]  Drudge Report captured operation.
[02:54:42.608 --> 02:54:45.872]  People shouldn't be gripped and paralyzed with fear, but they're afraid their money is going to run out.
[02:54:45.892 --> 02:54:48.776]  They're afraid that their banks are going to fail them.
[02:54:48.836 --> 02:54:54.322]  And so when 99% of the people that call, they're gripped and paralyzed with fear.
[02:54:54.342 --> 02:54:55.784]  Here's the thing that I know about fear.
[02:54:56.064 --> 02:55:00.525]  It will cause you to either put your head in the sand and do nothing or to cause you to make the wrong decision.
[02:55:00.945 --> 02:55:10.688]  So when we talk to people, they realize, wow, I didn't know that there was somebody like you that doesn't listen to mainstream media, that gives us solutions, that cares about us.
[02:55:11.148 --> 02:55:19.150]  And over the time, you can actually hear a smile on the phone, which is the most amazing thing, because they realize, wow, I'm talking to somebody who thinks like I do.
[02:55:19.290 --> 02:55:24.771]  And we can see that financial anxiety start to melt off of them on the phone.
[02:55:25.191 --> 02:55:31.514]  Because they now have a partner where we will go through the economy with them, we'll hold their hand, let them know when it's time to buy.
[02:55:31.574 --> 02:55:35.656]  And you give them a good deal, and you sell them a hundred times instead of ripping them off once.
[02:55:36.396 --> 02:55:36.596]  Yeah.
[02:55:36.736 --> 02:55:37.737]  And then everybody wins.
[02:55:38.868 --> 02:55:39.028]  Yeah.
[02:55:39.348 --> 02:55:44.592]  Most firms in the industry, Alex, are... No, we've had a bunch of sponsors that go, oh, we're going to sell bullion.
[02:55:44.652 --> 02:55:48.014]  I catch them immediately doing the numismatic.
[02:55:48.174 --> 02:55:51.176]  And I'm like, we're not doing this.
[02:55:52.137 --> 02:55:53.898]  I don't sell semi-numismatic.
[02:55:53.938 --> 02:55:55.299]  I don't sell the rare coins.
[02:55:55.399 --> 02:55:56.720]  So only bullion.
[02:55:56.760 --> 02:55:58.741]  But here's what makes us fundamentally different.
[02:55:58.781 --> 02:56:02.424]  It's not just the relationship piece, but ultimately you're going to sell.
[02:56:02.444 --> 02:56:04.325]  You're going to lock in your profits and get out.
[02:56:04.385 --> 02:56:05.286]  Buy low and sell high.
[02:56:05.726 --> 02:56:07.668]  We charge nothing when you liquidate.
[02:56:08.068 --> 02:56:08.789]  That's the brain.
[02:56:08.829 --> 02:56:13.292]  What you guys do is you're watching, so they don't just hold it, they also make money on it by the trading.
[02:56:13.653 --> 02:56:15.354]  Yeah, you buy low and you sell high.
[02:56:15.754 --> 02:56:18.497]  And we don't charge for assets under management.
[02:56:18.997 --> 02:56:21.840]  And when you purchase, it's an 8% cost of ownership.
[02:56:21.880 --> 02:56:22.300]  That's it.
[02:56:22.780 --> 02:56:25.443]  So this is where you know the metric.
[02:56:25.463 --> 02:56:26.784]  Which, by the way, you've got to have money to operate.
[02:56:27.324 --> 02:56:29.205]  That's why I love to tell people, hey, we need this money to operate.
[02:56:29.225 --> 02:56:29.745]  People get that.
[02:56:30.125 --> 02:56:34.587]  Yeah, but most firms in the industry buy a commission when you buy, a commission when you sell.
[02:56:34.647 --> 02:56:37.948]  Oh, I've been offering $50 million to sell people numismatics.
[02:56:38.289 --> 02:56:40.269]  And I get sometimes they're a good deal and sometimes it's real.
[02:56:40.289 --> 02:56:43.791]  But I just, I'd have to study it all day to make sure it was the right deal.
[02:56:43.871 --> 02:56:44.391]  I just can't.
[02:56:44.431 --> 02:56:46.152]  It's like rocket science.
[02:56:46.292 --> 02:56:48.453]  It's just, if I can't figure it out, I'm not selling.
[02:56:49.144 --> 02:56:57.209]  Well, and if it's not liquid, see, the collectible market, all of that stuff, here's how it works, and we're all used to salespeople like this.
[02:56:57.229 --> 02:57:00.091]  They'll call you up and say, hey Alex, have I got a deal for you.
[02:57:00.131 --> 02:57:08.917]  We've got this excess inventory, there's these shipwrecked coins, and if you buy today, we'll give it to you for 5% off, but you better do it in 72 hours because it's not going to be here, you know, long.
[02:57:09.477 --> 02:57:14.240]  That's not liquid, because what happens if the market changes and you can't liquidate it?
[02:57:14.600 --> 02:57:16.382]  Well, that means the money's not really yours.
[02:57:16.762 --> 02:57:23.086]  That's why global commodities like bullion, there's always a market for it, and it's simple and it's easy.
[02:57:23.406 --> 02:57:26.869]  But here's where the markets start to get really interesting moving forward.
[02:57:27.609 --> 02:57:34.433]  Electric vehicles, solar power, fuel cell technology, all electronics use silver.
[02:57:34.813 --> 02:57:51.321]  So the demand for silver, even in the most sluggish global economy we've seen in over 40 years, and wait until we get a president back that starts to grow the economy and the demand for silver goes up even more.
[02:57:52.702 --> 02:57:56.025]  The time is now to actually protect the growing economy.
[02:57:56.065 --> 02:57:58.248]  But the ancients knew, the Bible says, get silver and gold.
[02:57:58.528 --> 02:57:59.849]  It's money.
[02:58:00.210 --> 02:58:01.451]  Yeah, always has been.
[02:58:02.292 --> 02:58:02.952]  Always has been.
[02:58:02.992 --> 02:58:04.113]  It's a de facto currency.
[02:58:04.133 --> 02:58:04.874]  Isn't it crazy?
[02:58:04.914 --> 02:58:06.656]  It magically works in all these computer chips.
[02:58:07.397 --> 02:58:09.699]  Wow, the ancients just randomly picked something that we gotta have.
[02:58:10.560 --> 02:58:11.120]  Imagine that.
[02:58:11.801 --> 02:58:11.981]  Yeah.
[02:58:13.503 --> 02:58:16.586]  They knew something that we are just starting to figure out.
[02:58:18.152 --> 02:58:19.813]  So, what do people do when they call?
[02:58:19.913 --> 02:58:21.213]  And how do they call?
[02:58:21.393 --> 02:58:22.294]  Or what do they visit?
[02:58:23.374 --> 02:58:25.935]  KirkElliottPhD.com forward slash gold.
[02:58:26.135 --> 02:58:27.716]  They call 720-605-3900.
[02:58:27.756 --> 02:58:32.178]  So, here's how the process works.
[02:58:32.438 --> 02:58:33.559]  I like to make it simple.
[02:58:33.599 --> 02:58:35.659]  I'm a keep it simple, silly kind of a guy.
[02:58:35.719 --> 02:58:36.860]  So, you call in.
[02:58:37.100 --> 02:58:44.023]  One of my concierge team will say, what was it that Kirk and Alex were talking about that you're concerned about?
[02:58:44.063 --> 02:58:44.623]  What are your fears?
[02:58:44.643 --> 02:58:45.223]  What are your goals?
[02:58:45.243 --> 02:58:46.084]  What are your aspirations?
[02:58:46.704 --> 02:58:56.910]  And then we'll set you up with one of our consultants to actually dig in deep, start moving your assets, get you out of harm's way, and then my team crosses the T's, dots the I's, does the paperwork.
[02:58:57.130 --> 02:59:16.561]   We just want to make sure that we're hearing you and answering your questions and doing what you want and what you need to start to minimize the stress in your life and reduce that financial anxiety to get you away from this digital slave world where they want to control every aspect of your Well, that's right.
[02:59:16.581 --> 02:59:18.923]  Until 10 years ago, you watched TV and didn't watch you.
[02:59:18.983 --> 02:59:20.284]  Now everything watches what you watch.
[02:59:20.324 --> 02:59:20.484]  Yeah.
[02:59:21.005 --> 02:59:22.766]  And gold and silver is like, no, this is mine.
[02:59:23.707 --> 02:59:23.847]  Yeah.
[02:59:24.067 --> 02:59:26.609]  I can tell you, as you know, the globalists, they've all got gold buried.
[02:59:27.269 --> 02:59:28.050]  They're obsessed with it.
[02:59:29.087 --> 02:59:29.947]  But they don't want us to have it.
[02:59:30.668 --> 02:59:32.849]  They don't want us to have it, and how do we know they're obsessed with it?
[02:59:33.509 --> 02:59:37.151]  Look at what central banks around the world are allocating into.
[02:59:37.672 --> 02:59:38.932]  Thousands of tons of gold.
[02:59:39.253 --> 02:59:42.174]  The European Central Bank, 10,500 tons of gold.
[02:59:42.194 --> 02:59:44.896]  The Federal Reserve, 8,500 tons of gold.
[02:59:45.376 --> 02:59:46.717]  Russia, 1,000 tons of gold.
[02:59:46.757 --> 02:59:48.297]  China, 5,000 tons of gold.
[02:59:48.638 --> 02:59:50.759]  Kazakhstan, Uzbekistan, Turkey, India.
[02:59:50.999 --> 02:59:52.640]  All hundreds of tons of gold.
[02:59:53.440 --> 02:59:58.323]  If it's so bad, then why... You may have missed this, but UT is buying tons of gold.
[02:59:59.468 --> 03:00:02.049]  That makes them absolutely brilliant.
[03:00:02.089 --> 03:00:06.270]  They might have the richest endowment fund in the world five years from now.
[03:00:06.510 --> 03:00:08.450]  They already are the biggest university fund, yeah.
[03:00:09.070 --> 03:00:09.650]  So they know.
[03:00:10.130 --> 03:00:10.430]  They know.
[03:00:11.151 --> 03:00:12.131]  They see what's coming.
[03:00:12.791 --> 03:00:23.313]  See, it doesn't take a rocket scientist to figure out what's going to happen with the economy when people run out of money, and 2024 is going to be a weird election.
[03:00:23.373 --> 03:00:24.814]  You talk about this all the time.
[03:00:24.854 --> 03:00:25.754]  We're already seeing it.
[03:00:26.314 --> 03:00:30.475]  You know, pulling Trump off the ballots and things like that in my state of Colorado.
[03:00:30.935 --> 03:00:36.717]  But during times of crisis, when people don't have any money, I mean, Clinton said it's like it's the economy, stupid.
[03:00:36.737 --> 03:00:38.137]  People vote with their wallets.
[03:00:38.597 --> 03:00:49.740]  So in an election year, people will actually, when they can't afford to feed their babies, they're going to ultimately try to give up their freedoms, willingly or unwillingly, in exchange for perceived peace and security.
[03:00:50.420 --> 03:00:54.301]  This is going to cause more government spending, more stimulus, more running up...
[03:00:55.902 --> 03:00:57.526]  That it causes the runaway situation.
[03:00:57.586 --> 03:00:57.746]  Yeah.
[03:00:58.608 --> 03:00:58.829]  Wow.
[03:00:59.089 --> 03:00:59.450]  All right.
[03:01:00.292 --> 03:01:02.998]  What is the public going to do when they find out inflation is only going to get worse?
[03:01:04.980 --> 03:01:12.044]  Well, so Yellen was bragging about how resilient the U.S.
[03:01:12.084 --> 03:01:12.624]  consumer is.
[03:01:12.664 --> 03:01:16.407]  And even in a bad economy, I mean, she admitted it was a bad economy, they're still spending money.
[03:01:16.867 --> 03:01:18.928]  That's nothing that people should be applauding.
[03:01:18.988 --> 03:01:20.729]  People spending money that they don't have.
[03:01:21.189 --> 03:01:23.050]  They've maxed out their credit cards.
[03:01:23.271 --> 03:01:28.634]  Now that their credit cards are maxed out, what comes next is there is no more money to spend.
[03:01:29.074 --> 03:01:30.435]  People will pull back the reins.
[03:01:30.715 --> 03:01:33.256]  They're not going to go out to eat as much and not going to spend as much.
[03:01:33.296 --> 03:01:38.836]   I think 24 is going to be an economically disastrous year as consumer
[03:01:38.836 --> 03:01:40.636]  spending starts to come down.
[03:01:40.636 --> 03:01:45.796]   We're not just me that's saying this, economists all over the globe are saying it.
[03:01:45.796 --> 03:01:50.036]   Consumer spending is going to come down, that will impact the markets, it will impact everything,
[03:01:50.036 --> 03:01:53.156]   but government spending is going to go through the roof, the printing of money is going to
[03:01:53.156 --> 03:01:58.316]   go through the roof, because again, Alex, starting January 1st, the BRICS nations, for
[03:01:58.316 --> 03:02:01.435]  all intents and purposes, dismantled the petrodollar.
[03:02:01.435 --> 03:02:06.476]   There is no more demand for the US dollar two weeks from now.
[03:02:06.459 --> 03:02:10.802]  KirkElliottPhD.com 720-605-3900.
[03:02:12.444 --> 03:02:13.264]  Great analysis.
[03:02:13.365 --> 03:02:14.245]  I'm glad you came in here.
[03:02:14.265 --> 03:02:16.347]  I had no idea you'd be a sponsor once you got here.
[03:02:16.367 --> 03:02:17.508]  I've been wanting to get you on for a while.
[03:02:18.249 --> 03:02:19.109]  Great analysis.
[03:02:19.129 --> 03:02:22.292]  So glad you got high-quality silver and gold bullion people ready.
[03:02:22.893 --> 03:02:23.553]  People should call you.
[03:02:23.593 --> 03:02:24.254]  People should get involved.
[03:02:24.915 --> 03:02:25.935]  Thank you so much for having me on.
[03:02:25.955 --> 03:02:26.635]  Thanks for coming, man.
[03:02:26.655 --> 03:02:27.576]  I know you come right to town.
[03:02:27.596 --> 03:02:28.356]  I'm like, get the guy.
[03:02:28.376 --> 03:02:29.956]  I was like, boom, he's here.
[03:02:30.596 --> 03:02:37.078]  We got a bunch of key reports and breaking stuff coming up that Owen Schroer is in 30 minutes, 13 minutes from now.
[03:02:37.498 --> 03:02:39.278]  Owen Schroer, The War Room, coming up.
[03:02:39.959 --> 03:02:40.819]  Merry Christmas, everybody.
[03:02:40.839 --> 03:02:41.219]  Stay with us.
[03:02:44.759 --> 03:02:50.759]   From the front lines of the information war, it's Alex Jones.
[03:02:50.759 --> 03:02:57.159]  You're about to run a human being over.
[03:02:57.119 --> 03:02:57.599]  Hey, who are you?
[03:02:57.679 --> 03:02:58.519]  You got those children in there!
[03:02:58.539 --> 03:02:58.839]  Who are you?
[03:02:59.079 --> 03:03:00.720]  You got those smuggled children illegally!
[03:03:00.980 --> 03:03:02.560]  Hey, we need the police over here!
[03:03:02.580 --> 03:03:04.861]  They got a bunch of kids down in the car seat!
[03:03:07.042 --> 03:03:15.345]  Here come the kids, uh, with the migrants from all over Central America, uh, Honduras, Guatemala, you name it, right?
[03:03:15.705 --> 03:03:21.327]  Now keep in mind, once they go into this facility, the Border Patrol completely washes their hands of them.
[03:03:21.927 --> 03:03:25.868]  If they test negative, they're marched right down the street to the Catholic Charity.
[03:03:26.208 --> 03:03:29.969]  From there, they're given clothes, food, financial assistance.
[03:03:30.509 --> 03:03:34.209]  The debit cards that they have have over $1,200 per person on them.
[03:03:34.549 --> 03:03:41.351]  They're then taken to the McAllen Airport in unmarked vans, and then they're released into the United States to a destination city of their choice.
[03:03:41.371 --> 03:03:45.992]  Hey, there's a pilot in that car right there.
[03:03:46.172 --> 03:03:48.172]  You got a car seat for them?
[03:03:49.743 --> 03:03:50.323]  That's illegal, bro.
[03:03:50.343 --> 03:03:51.624]  Where are you taking these kids?
[03:03:51.644 --> 03:03:52.304]  That's illegal.
[03:03:52.744 --> 03:03:55.525]  If you get in a traffic accident, those kids are going to get hurt.
[03:03:55.585 --> 03:03:56.746]  Where are you taking these kids?
[03:03:56.786 --> 03:03:58.426]  Do you have a car seat?
[03:03:58.446 --> 03:03:59.146]  That's illegal!
[03:03:59.206 --> 03:04:00.227]  How is this Christian?
[03:04:00.267 --> 03:04:00.427]  Hey!
[03:04:00.447 --> 03:04:01.807]  We need the police over here!
[03:04:01.827 --> 03:04:04.128]  They got a bunch of kids without a car seat!
[03:04:04.608 --> 03:04:06.029]  You're violating Texas law!
[03:04:06.289 --> 03:04:07.469]  Who is this right here?
[03:04:08.190 --> 03:04:08.290]  Hey!
[03:04:08.330 --> 03:04:08.430]  Hey!
[03:04:08.630 --> 03:04:10.570]  You got those children there illegally!
[03:04:10.590 --> 03:04:12.871]  You're about to run a human being over!
[03:04:12.971 --> 03:04:14.012]  You got those children in there!
[03:04:14.052 --> 03:04:14.492]  Who are you?
[03:04:14.752 --> 03:04:16.393]  You got those smuggled children illegally!
[03:04:16.753 --> 03:04:17.153]  Who are you?
[03:04:18.114 --> 03:04:19.538]  Where are you taking your children?
[03:04:19.578 --> 03:04:21.764]  You're not a part of this organization?
[03:04:21.784 --> 03:04:22.506]  Who are you?
[03:04:26.491 --> 03:04:27.411]  Where are you taking these kids?
[03:04:27.431 --> 03:04:28.331]  We know you're smuggling these kids.
[03:04:28.471 --> 03:04:29.572]  Where are you taking these kids?
[03:04:29.612 --> 03:04:31.532]  In the back of there without children's seats.
[03:04:31.572 --> 03:04:32.672]  Where are you taking these kids?
[03:04:33.252 --> 03:04:34.073]  Sir, identify who you are.
[03:04:34.093 --> 03:04:35.413]  This is a massive smuggling.
[03:04:35.513 --> 03:04:37.913]  This is literally human smuggling.
[03:04:37.933 --> 03:04:38.633]  These are children.
[03:04:38.653 --> 03:04:40.634]  Where are you taking these kids?
[03:04:40.974 --> 03:04:43.574]  And now... Sir, where are you taking these kids?
[03:04:43.634 --> 03:04:44.755]  They don't even have car seats.
[03:04:44.775 --> 03:04:45.955]  They don't have their seatbelts on.
[03:04:45.975 --> 03:04:47.215]  Their seatbelts aren't even on.
[03:04:47.235 --> 03:04:48.796]  Where are you taking these children?
[03:04:49.656 --> 03:04:50.796]  Sir, identify yourself.
[03:04:50.816 --> 03:04:51.396]  Who are you?
[03:04:51.476 --> 03:04:53.276]  Don't fucking hit me, I'll tell you right fucking now.
[03:04:53.296 --> 03:04:54.337]  Who do you work for?
[03:04:54.357 --> 03:04:55.737]  Are you a part of this organization?
[03:04:57.481 --> 03:05:01.503]  So you don't know where these kids are going?
[03:05:01.603 --> 03:05:03.264]  No, no, they came from over there.
[03:05:03.904 --> 03:05:05.225]  They're not being checked for COVID.
[03:05:05.705 --> 03:05:07.706]  So you don't know who you work for?
[03:05:08.206 --> 03:05:09.667]  We need to call the police right now.
[03:05:10.027 --> 03:05:13.328]  I want to know where these kids are going.
[03:05:13.388 --> 03:05:16.130]  They're not going there.
[03:05:16.170 --> 03:05:17.410]  You're not making any sense, sir.
[03:05:17.470 --> 03:05:18.251]  Identify yourself.
[03:05:18.271 --> 03:05:18.731]  Who are you?
[03:05:23.633 --> 03:05:24.474]  Who are these kids?
[03:05:25.235 --> 03:05:27.617]  I don't know, sir.
[03:05:27.657 --> 03:05:28.638]  Where did you get them from?
[03:05:28.658 --> 03:05:29.618]  From the church.
[03:05:30.239 --> 03:05:30.719]  From the church?
[03:05:30.779 --> 03:05:31.400]  Where's the church?
[03:05:31.960 --> 03:05:35.664]  Okay, so we just want to make sure that this is all good, okay, sir?
[03:05:35.684 --> 03:05:42.149]  I understand you're probably trying to help, at least appearing to, but you literally have a bunch of kids in here, a bunch of minors, all by yourself.
[03:05:42.189 --> 03:05:43.150]  Okay, the police is here.
[03:05:43.290 --> 03:05:46.673]  They've got kids piled in the back, no seatbelt, no anything.
[03:05:47.774 --> 03:05:49.976]  Yeah, they're piled in the back.
[03:05:51.878 --> 03:05:52.859]  What's your name, sir?
[03:05:52.879 --> 03:05:54.761]  Do you have your ID on you?
[03:05:54.861 --> 03:05:56.242]  Or your driver's license?
[03:05:57.484 --> 03:05:59.226]  You're human smuggling is going to stop, freak!
[03:05:59.426 --> 03:06:01.028]  So you're cool with human smuggling?
[03:06:02.049 --> 03:06:02.349]  Yes, sir.
[03:06:02.188 --> 03:06:12.188]  [inaudible]
[03:06:12.188 --> 03:06:16.188]  These people are the human traffickers!
[03:06:15.627 --> 03:06:16.848]  They're being raped!
[03:06:16.928 --> 03:06:17.849]  They're being raped!
[03:06:17.889 --> 03:06:20.050]  They're being human trafficked!
[03:06:20.070 --> 03:06:21.771]  They're being human trafficked!
[03:06:21.852 --> 03:06:23.072]  How do you know?
[03:06:23.293 --> 03:06:24.113]  How do you know?
[03:06:24.393 --> 03:06:25.174]  How do I know?
[03:06:25.194 --> 03:06:27.876]  It's happening on a daily basis at the Southern Border!
[03:06:27.896 --> 03:06:29.737]  Who's doing that and are being raped?
[03:06:30.098 --> 03:06:31.679]  Go to the Southern Border!
[03:06:31.699 --> 03:06:32.179]  That's the mom?
[03:06:32.099 --> 03:06:34.099]  Yeah, all sorts of fucked up.
[03:06:34.099 --> 03:06:37.099]  These people do not care at all.
[03:06:37.099 --> 03:06:41.099]  Good. Good.
[03:06:41.099 --> 03:06:43.099]  Um, I don't know.
[03:06:43.099 --> 03:06:45.099]  I don't know what I'm doing.
[03:06:45.099 --> 03:06:46.099]  It's all the same.
[03:06:45.997 --> 03:06:47.997]  I'm hoping you guys can hear me.
[03:06:47.997 --> 03:06:49.997]  I'm hoping you guys can hear me.
[03:06:49.997 --> 03:06:51.997]  I need to get this video out of here.
[03:06:51.997 --> 03:06:53.997]  [Groaning]
[03:06:53.997 --> 03:06:55.997]  Express your opinion like an American!
[03:06:55.997 --> 03:06:57.997]  opinion like an American.
[03:06:57.614 --> 03:07:05.043]   Not like an animal. If I drove around with three of my kids in the back of a car, I'd get arrested. You're scaring them
[03:07:05.043 --> 03:07:15.414]   yourself. You're scaring the children. You're traumatizing them. Better than my time. Really? This is ridiculous. Ridiculous.
[03:07:15.414 --> 03:07:23.424]   This is not how you deal with children. You don't stuff them in the back of a car. What the hell's the matter with
[03:07:23.424 --> 03:07:27.614]  you? No car seats. Look at this. No car seats.
[03:07:26.855 --> 03:07:28.816]  What organization is this?
[03:07:28.836 --> 03:07:30.137]  I want to know who the hell this is.
[03:07:30.618 --> 03:07:33.440]  Stuffing kids in the back of a car without any seatbelts on.
[03:07:33.560 --> 03:07:36.222]  What kind of Catholic organization is this?
[03:07:37.723 --> 03:07:39.604]  Jesus stuffs people in the back of a car?
[03:07:39.684 --> 03:07:41.646]  You should be ashamed of yourselves.
[03:07:41.945 --> 03:07:43.945]  Every single one of you!
[03:07:43.945 --> 03:08:01.945]  [Music]
[03:08:01.945 --> 03:08:02.945]  [Ding, ding]
[03:08:02.945 --> 03:08:03.945]  Good news!
[03:08:04.286 --> 03:08:04.526]  Oh yeah?
[03:08:04.946 --> 03:08:07.928]  Yeah, we've rolled back the ban on gain-of-function research.
[03:08:08.228 --> 03:08:08.468]  Really?
[03:08:08.608 --> 03:08:13.151]  So now it's legal for us to modify viruses and make them more deadly and transmissible to humans.
[03:08:13.471 --> 03:08:14.812]  Why would you want to do that?
[03:08:14.952 --> 03:08:18.134]  Well, it's important that we be prepared in case something like that happened in the future.
[03:08:18.555 --> 03:08:23.418]  In case somebody modifies a deadly virus to be more infectious and able to transmit to humans?
[03:08:23.878 --> 03:08:24.579]  Can you imagine?
[03:08:25.519 --> 03:08:26.480]  Yeah, sounds dangerous.
[03:08:26.721 --> 03:08:27.061]  No, no, no.
[03:08:27.201 --> 03:08:27.622]  It's fine.
[03:08:27.642 --> 03:08:31.746]  We're doing it at a Level 4 weapons research lab in Wuhan, China.
[03:08:31.926 --> 03:08:32.547]  Very secure.
[03:08:33.008 --> 03:08:33.468]  Okay, good.
[03:08:34.389 --> 03:08:35.250]  Terrible news.
[03:08:35.831 --> 03:08:36.231]  Oh no!
[03:08:36.892 --> 03:08:40.776]  There's been an outbreak of a mysterious new respiratory virus in Wuhan, China.
[03:08:41.577 --> 03:08:42.038]  Wuhan, China?
[03:08:42.078 --> 03:08:43.379]  Like where the research lab is?
[03:08:43.680 --> 03:08:44.340]  Yeah, yeah, exactly.
[03:08:44.360 --> 03:08:45.261]  Like right where the lab is.
[03:08:46.207 --> 03:08:47.568]  So do you think it could have come from the lab?
[03:08:48.429 --> 03:08:51.110]  No, absolutely not.
[03:08:51.211 --> 03:08:53.052]  I see how you could make that mistake, but no, no, no.
[03:08:53.372 --> 03:09:02.879]  The virus, the deadly virus with the artificial furin cleavage sites that make it able to infect humans, that came from the farmer's market down the road from the dangerous bioweapons lab.
[03:09:03.199 --> 03:09:04.720]  And you expect us to believe that?
[03:09:05.180 --> 03:09:06.741]  I'll ban you from the internet if you don't.
[03:09:07.041 --> 03:09:07.462]  Oh, God.
[03:09:07.762 --> 03:09:08.402]  No need to worry.
[03:09:08.522 --> 03:09:11.625]  The global medical establishment's always preparing for these types of things.
[03:09:11.645 --> 03:09:20.431]  In fact, like, two months ago, they held a course called Event 201, where they basically predicted exactly what would happen, right down to the type of virus and where it came from.
[03:09:20.531 --> 03:09:21.912]  So they're, like, totally on top of this.
[03:09:22.352 --> 03:09:24.954]  Actually, they're gonna do nothing for months and let it spread all over the world.
[03:09:25.275 --> 03:09:26.656]  But it started in China, right?
[03:09:26.676 --> 03:09:28.317]  Like, can't we at least halt travel with them?
[03:09:28.957 --> 03:09:30.779]  I didn't realize you were a racist.
[03:09:31.359 --> 03:09:31.500]  What?
[03:09:31.560 --> 03:09:35.543]  Yeah, I didn't realize you had some deep, seething hatred of Asian people.
[03:09:35.723 --> 03:09:37.485]  In fact, I think it's despicable.
[03:09:37.885 --> 03:09:39.347]  Well, I'm talking about the virus.
[03:09:39.727 --> 03:09:40.267]  Oh, the virus?
[03:09:40.307 --> 03:09:40.708]  It's here now.
[03:09:41.188 --> 03:09:41.589]  Yeah, I bet.
[03:09:41.969 --> 03:09:43.010]  Yeah, it came on a plane from China.
[03:09:43.030 --> 03:09:43.891]  There's nothing we can do.
[03:09:44.691 --> 03:09:46.213]  Well, what do we know about the virus so far?
[03:09:46.613 --> 03:09:51.415]  Not a lot, but we're gonna go ahead and assume that it's the deadliest thing in the world and everybody's scared.
[03:09:51.435 --> 03:09:52.035]  We're all scared.
[03:09:52.335 --> 03:09:54.356]  You didn't seem very worried about it when it was in China.
[03:09:54.536 --> 03:09:54.896]  Well, no, no.
[03:09:54.916 --> 03:09:56.036]  I was calling you a racist then.
[03:09:56.236 --> 03:09:57.037]  That's what was important.
[03:09:57.077 --> 03:09:58.857]  But now, we're very scared of the virus.
[03:09:58.897 --> 03:09:59.558]  Everybody's scared.
[03:09:59.658 --> 03:10:00.058]  You're scared.
[03:10:00.538 --> 03:10:03.699]  Well, does it affect certain ages or populations or groups?
[03:10:03.739 --> 03:10:04.299]  Anything like that?
[03:10:04.659 --> 03:10:05.079]  Yeah, actually.
[03:10:05.099 --> 03:10:07.340]  It's way deadlier to the elderly and the sick.
[03:10:07.780 --> 03:10:09.301]  Okay, well, why don't we start by protecting them?
[03:10:09.881 --> 03:10:13.444]  No, we're actually going to send COVID-infected patients into nursing homes instead.
[03:10:13.464 --> 03:10:15.865]  Jeez, well, okay, what are you doing to stop the spread?
[03:10:16.006 --> 03:10:19.688]  UV lights, vitamin C, vitamin D, should I wear a mask?
[03:10:19.928 --> 03:10:23.031]  We know that masks don't really stop you from getting this type of infection.
[03:10:23.231 --> 03:10:24.932]  The science is pretty much settled on this.
[03:10:24.992 --> 03:10:26.013]  Masks don't work.
[03:10:26.393 --> 03:10:27.254]  Okay, so no masks.
[03:10:27.314 --> 03:10:28.254]  Actually, they're mandatory.
[03:10:28.294 --> 03:10:30.016]  And also, we're shutting down everything.
[03:10:30.116 --> 03:10:30.536]  Wait, what?
[03:10:31.036 --> 03:10:32.017]  Yeah, it's called lockdown.
[03:10:32.057 --> 03:10:36.280]  I'm basically declaring martial law and saying that you can't leave your house or gather in large groups.
[03:10:36.840 --> 03:10:38.682]  How do you think you're going to get people to go along with this?
[03:10:39.960 --> 03:10:40.887]  Well, totally for two weeks.
[03:10:43.166 --> 03:10:44.226]  It's gonna last forever, isn't it?
[03:10:44.366 --> 03:10:44.766]  Maybe.
[03:10:45.327 --> 03:10:46.747]  And you're shutting everything down?
[03:10:46.867 --> 03:10:47.207]  Everything?
[03:10:47.247 --> 03:10:47.847]  Every restaurant?
[03:10:47.887 --> 03:10:48.387]  Every store?
[03:10:48.587 --> 03:10:48.727]  Yep.
[03:10:48.907 --> 03:10:49.588]  Absolutely everything.
[03:10:49.648 --> 03:10:50.388]  Everything's shut down.
[03:10:50.428 --> 03:10:51.328]  We're all in this together.
[03:10:51.488 --> 03:10:53.028]  So, like, even, like, Walmart and Target?
[03:10:53.288 --> 03:10:53.929]  No, they can stay open.
[03:10:54.269 --> 03:10:56.209]  Okay, what about, like, McDonald's or Taco Bell?
[03:10:56.949 --> 03:10:58.950]  Obviously McDonald's and Taco Bell can stay open.
[03:10:59.270 --> 03:11:06.892]  Okay, so the big chain stores can stay open, but if a small business tries to stay open, we will send a tank and point a rifle in their face and maybe send them to jail.
[03:11:06.952 --> 03:11:08.572]  But it's only for two weeks.
[03:11:08.832 --> 03:11:09.232]  Or years.
[03:11:09.292 --> 03:11:09.692]  Or whatever.
[03:11:09.732 --> 03:11:11.153]  I mean, won't that crash the economy?
[03:11:11.333 --> 03:11:11.553]  Oh yeah, 100%.
[03:11:11.613 --> 03:11:11.773]  For sure.
[03:11:12.873 --> 03:11:14.134]  Okay, but this stops the virus.
[03:11:14.594 --> 03:11:15.334]  It does not, no.
[03:11:15.815 --> 03:11:20.857]  Okay, other than masks that don't work and lockdowns that don't work, is there anything else you suggest that we do?
[03:11:20.877 --> 03:11:22.318]  Oh, I'm not suggesting anything.
[03:11:22.598 --> 03:11:25.960]  I'm imposing plastic barriers and social distancing as well.
[03:11:26.240 --> 03:11:26.960]  Okay, so those work.
[03:11:27.500 --> 03:11:28.181]  No, of course not.
[03:11:28.581 --> 03:11:29.861]  It's ridiculous, just think about it.
