[00:00:06.190 --> 00:00:12.232]  Yes, my friends, you've got the right radio broadcast.
[01:21:11.763 --> 01:21:16.386]  All over Fox TV, CNN, MSNBC, local radio.
[01:21:16.386 --> 01:21:20.549]  No matter where I am in the country, I hear the ads running and I also hear my voice.
[01:21:21.854 --> 01:21:23.454]  Go to End of America.
[01:21:23.454 --> 01:21:31.036]  You've heard those ads where I talk about Barron's called his work a dire prophecy.
[01:21:31.036 --> 01:21:45.378]  And he talked about that in the year 2011, and these ads have been running almost the entire year, you would see something happen that would change the way you invest, the way you pay for school for your children.
[01:21:45.378 --> 01:21:49.219]  I think I'll just play the ad to introduce it to folks, but everybody's heard it.
[01:21:50.302 --> 01:21:59.508]  And of course I only do the voice for things or talk about things that I think are on target and Porter Stansbury has done a great job over the years as a financial advisor predicting a lot of things.
[01:21:59.508 --> 01:22:11.156]  The housing crisis years before it happened and he did accurately predict on the video they put together a year ago and on my radio show when he was on as a guest a few times that the U.S.
[01:22:11.156 --> 01:22:13.158]  would lose its A-plus credit rating.
[01:22:14.472 --> 01:22:17.495]  Um, and that has now happened, and the big banks have had that happen.
[01:22:17.495 --> 01:22:18.857]  They're talking about more downgrades.
[01:22:18.857 --> 01:22:21.560]  And of course, the debt's already impossible to pay back.
[01:22:21.560 --> 01:22:22.481]  It's a fraudulent debt.
[01:22:22.481 --> 01:22:24.343]  Most of it's derivatives-based.
[01:22:24.343 --> 01:22:27.727]  And so, as you lose the credit rating, it gets higher and higher.
[01:22:28.902 --> 01:22:31.505]  Uh, and more and more impossible to pay off.
[01:22:31.505 --> 01:22:37.310]  And he's made a lot of other predictions in the last year that will now change the way we live our lives.
[01:22:37.310 --> 01:22:43.135]  As you see the fact that even the New York Times last Thursday admitted, Mr. Krugman, that it's really a depression.
[01:22:43.135 --> 01:22:44.656]  The system's known that.
[01:22:44.656 --> 01:22:49.100]  Now there's ways out of this, but we have to be honest about what caused the problems to get out of it.
[01:22:49.580 --> 01:22:50.521]  Thanks for having me, Alex.
[01:22:50.521 --> 01:22:51.021]  Pleasure to be here.
[01:23:14.406 --> 01:23:18.969]  Yeah, as you'll recall, it was almost exactly a year ago I was on the program.
[01:23:18.969 --> 01:23:20.010]  I was on it in mid-December.
[01:23:20.010 --> 01:23:22.631]  We were talking about the Christmas holidays then as well.
[01:23:22.631 --> 01:23:29.876]  And it was right after Geithner had come out and had sworn up and down that the United States would never lose the AAA rating.
[01:23:29.876 --> 01:23:31.637]  That was unthinkable that that would happen.
[01:23:31.637 --> 01:23:32.017]  That's right.
[01:23:32.017 --> 01:23:33.839]  You were on then and you were also on in February.
[01:23:33.839 --> 01:23:34.239]  That's right.
[01:23:34.599 --> 01:23:53.388]  Yep, and I was on your show and I said I guarantee you that this will happen in the next couple of months because anytime they trot the Treasury Secretary out or the Finance Minister out, and anytime he swears that there isn't going to be a currency devaluation, you can know that's how you know for sure it's going to happen.
[01:23:53.388 --> 01:23:56.009]  And that's exactly, of course, what happened with our
[01:23:58.849 --> 01:24:07.235]  Why do they lie just so they can sucker punch investors because they're a predatory, house-owned, monopoly casino?
[01:24:07.235 --> 01:24:10.157]  I'm actually a lot more skeptical about it than even that.
[01:24:10.157 --> 01:24:17.602]  I think that they come out there and say it because it's code for all of the senior institutional investors that it's going to happen.
[01:24:17.602 --> 01:24:20.044]  It's like a known quantity.
[01:24:20.044 --> 01:24:23.166]  It's like, you know, there's almost like a sarcasm to it.
[01:24:23.581 --> 01:24:25.908]  No, it's a joke on the slave scum, yeah.
[01:24:25.908 --> 01:24:26.811]  Exactly, yeah.
[01:24:26.811 --> 01:24:30.984]  It's a signal that, okay, yeah, it's time for this to happen by promising that it won't happen.
[01:24:32.381 --> 01:24:36.943]  Well, that's how they do it, and they think NORTHCOM and the military will help them rob all of us.
[01:24:36.943 --> 01:24:40.484]  They're announcing all of that right now, great peopling.
[01:24:40.484 --> 01:24:43.425]  Please continue with your predictions that were on my radio show.
[01:24:43.425 --> 01:24:53.269]  Yeah, well, the other big prediction that I made, I mean, there were lots of things that we talked about that were happening over time, but the downgrading of the debt was a big one.
[01:24:53.269 --> 01:24:58.030]  The other thing I said was you'll see record levels of central banks buying of gold.
[01:24:58.030 --> 01:24:59.071]  That is all around the world.
[01:24:59.071 --> 01:25:02.312]  Central banks are abandoning the dollar, and they're doing so by moving back into
[01:25:02.812 --> 01:25:04.915]  Universities are buying up gold.
[01:25:04.915 --> 01:25:11.881]  Yeah, so you saw Texas, for example, take possession of a billion dollars worth of gold.
[01:25:11.881 --> 01:25:13.363]  And that was a pretty amazing thing.
[01:25:13.363 --> 01:25:16.486]  It was the first senior U.S.
[01:25:16.486 --> 01:25:18.708]  financial institution to take a step like that.
[01:25:18.708 --> 01:25:24.033]  But you also saw, and less widely covered, that central banks around the world bought 400 tons of gold.
[01:25:27.616 --> 01:25:29.537]  400 tons of gold!
[01:25:29.537 --> 01:25:37.559]  And this is the largest buying by, you know, any order of magnitude you want to discuss over the next 40 years.
[01:25:37.559 --> 01:25:43.581]  So, central banks haven't been buying gold this way since before the end of the Bretton Woods Agreement in 1971.
[01:25:43.581 --> 01:25:45.041]  It's unprecedented.
[01:25:45.041 --> 01:25:50.643]  And it shows that a lot of things I've been writing about, a lot of things you're talking about, are coming to pass.
[01:25:50.643 --> 01:25:55.844]  That all around the world, people are losing faith and trust with the people who are running the United States.
[01:25:57.413 --> 01:26:04.576]  And now we see open announcements by the head of the IMF saying, yeah, this is like a 1930s depression.
[01:26:04.576 --> 01:26:09.618]  They've known it's a depression all along, so let's get into what you see happening in 2012.
[01:26:09.618 --> 01:26:17.341]  Well, there's one more thing I want to, you know, you can go back and look at this interview we did a year ago.
[01:26:17.341 --> 01:26:19.862]  It's posted on the web in a couple different places.
[01:26:20.342 --> 01:26:20.763]  I think?
[01:26:41.559 --> 01:26:44.300]  You know what, Porter, that would be some powerful talk radio.
[01:26:44.300 --> 01:26:52.602]  When I invited you on here on short notice, you know, for the special holiday Christmas edition, I'd remember you saying that in December and February.
[01:26:52.602 --> 01:26:53.922]  You've got a big team, too.
[01:26:53.922 --> 01:26:59.724]  Well, I'd invite you back on the weekday show and like have your crew just take those clips out of the day.
[01:27:01.784 --> 01:27:04.645]  Yeah, but that would be powerful.
[01:27:04.645 --> 01:27:09.328]  In fact, if your crew snips those out with a date, as I remember it, it's on our YouTube channel.
[01:27:09.328 --> 01:27:11.569]  It's got a couple hundred thousand views, the Alex Jones Channel.
[01:27:11.569 --> 01:27:14.290]  Yeah, and also on my Wikipedia page.
[01:27:14.290 --> 01:27:19.232]  If you go to Porter Stansbury Wikipedia, they have the whole Alex Jones interview segmented out.
[01:27:19.232 --> 01:27:23.794]  And it's like an hour of content, and it's all right on the money.
[01:27:23.794 --> 01:27:24.655]  Wow.
[01:27:24.655 --> 01:27:26.896]  But they're attacking Ron Paul for being right on the money, too.
[01:27:26.896 --> 01:27:28.136]  I mean, I guess it's bad to be right.
[01:27:28.136 --> 01:27:29.057]  It's good to be wrong, though.
[01:27:29.846 --> 01:27:35.921]  I was infuriated to see Arthur Leavitt, of all people, criticizing Ron Paul on Bloomberg.
[01:27:35.921 --> 01:27:38.427]  Did you happen to catch that radio programming?
[01:27:39.147 --> 01:27:41.368]  Yeah, we've got it up on Infowars.com right now.
[01:27:41.368 --> 01:27:43.468]  It's outrageous.
[01:27:43.468 --> 01:27:49.530]  I think that Arthur Levitt is the biggest scumbag in the history of Wall Street, and a lot of people don't know why.
[01:27:49.530 --> 01:27:54.312]  He is a complete, he's completely in the back pockets of America's biggest corporations.
[01:27:54.312 --> 01:28:00.593]  He could care less about the individual investor, and he poses like a friendly grandfather, and he's a complete scumbag.
[01:28:00.593 --> 01:28:05.355]  And if the only thing you need to know about why he's such a scumbag is because he was the head of the SEC.
[01:28:06.375 --> 01:28:16.158]  When the SEC put political pressure on FASB to prevent them from putting in the legislation to force expensing of stock options.
[01:28:16.158 --> 01:28:22.701]  Expensing of stock options was the number one way that public companies fleeced American investors over the last 15 years.
[01:28:23.741 --> 01:28:29.023]  And he could have personally stopped it at any time, and instead of doing that, he did the exact opposite.
[01:28:29.023 --> 01:28:35.045]  He made it impossible for FASB, the Financial Accounting Standards Board, to get the legislation through Congress.
[01:28:35.045 --> 01:28:41.768]  He did that deliberately to protect his pals on Wall Street, and that's why he ended up on the dime.
[01:28:41.768 --> 01:28:45.869]  He's on the payroll now of Goldman, Sachs, and AIG.
[01:28:45.869 --> 01:28:48.410]  He's a complete scumbag, and he shouldn't be trusted by Americans.
[01:28:49.380 --> 01:28:51.687]  We'll be right back with the Christmas special.
[01:28:51.687 --> 01:28:55.358]  We'll get the inside scoop from Porter Stansbury of Stansbury & Associates.
[01:28:55.358 --> 01:28:56.221]  I'm Alex Jones.
[01:28:56.221 --> 01:28:56.642]  Stay with us.
[01:29:01.385 --> 01:29:05.409]  Hundreds of nations have fallen to tyranny in the last century alone.
[01:29:05.409 --> 01:29:08.652]  This is our last chance to not relive history.
[01:29:08.652 --> 01:29:13.457]  As we're finishing off this agenda, we're pulling the rug from underneath Americans at home.
[01:29:13.457 --> 01:29:19.843]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[01:29:19.843 --> 01:29:22.086]  I think it's incumbent upon all of us
[01:29:22.626 --> 01:29:22.926]  Tim Geithner?
[01:29:22.926 --> 01:29:23.427]  Bernanke?
[01:29:23.427 --> 01:29:24.107]  They're arsonists!
[01:29:24.107 --> 01:29:25.228]  They're asking for more matches!
[01:29:25.228 --> 01:29:27.630]  And the Congress is saying, who do we make the check out to?
[01:29:41.519 --> 01:29:48.807]  Today seems like nobody does care and right now in Washington DC we have seen a fall of the republic.
[01:29:48.807 --> 01:29:57.937]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[01:30:00.037 --> 01:30:01.598]  Hi, this is Alex Jones.
[01:30:01.598 --> 01:30:07.903]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[01:30:07.903 --> 01:30:11.946]  So now is the time to express the holiday spirit more than ever.
[01:30:11.946 --> 01:30:15.509]  Consider helping those you love with the most important gift.
[01:30:15.509 --> 01:30:21.534]  A supply of delicious, easy to fix, and very storable foods from efoodsdirect.com.
[01:30:21.534 --> 01:30:24.376]  Their holiday gift and family pack start at $99 for a 16-day supply.
[01:30:26.938 --> 01:30:34.202]  All their five-week supply of quick and easy-to-fix meals includes a personal backpack in case of a grab-and-go emergency.
[01:30:34.202 --> 01:30:40.084]  Order their Combo Gift Pack and you'll save hundreds, plus get free shipping on your entire order.
[01:30:40.084 --> 01:30:42.305]  Call eFoods today at 800-409-5633 or visit them online.
[01:30:46.047 --> 01:30:49.933]  At efoodsdirect.com forward slash Alex to find the special.
[01:30:49.933 --> 01:30:56.281]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[01:30:56.281 --> 01:30:58.625]  You can bet your life on efoods direct.
[01:31:00.973 --> 01:31:02.674]  Hi folks, this is Alex Jones.
[01:31:02.674 --> 01:31:07.976]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[01:31:07.976 --> 01:31:09.516]  Saving means to make money.
[01:31:09.516 --> 01:31:18.300]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[01:31:19.040 --> 01:31:26.582]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[01:31:26.582 --> 01:31:34.584]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[01:31:34.584 --> 01:31:39.806]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[01:31:39.806 --> 01:31:41.966]  Getting a free catalog is easy by calling 800-340-7091.
[01:31:44.747 --> 01:31:47.949]  Or see Calvin on the web at FiveStarSoap.com.
[01:31:47.949 --> 01:31:50.330]  Take charge of your health now by calling 800-340-7091.
[01:31:50.330 --> 01:31:52.452]  Or see Calvin on the web at FiveStarSoap.com.
[01:31:59.636 --> 01:32:00.956]  Hi, this is Alex Jones.
[01:32:00.956 --> 01:32:06.538]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:32:06.538 --> 01:32:11.560]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[01:32:11.560 --> 01:32:12.020]  It's true.
[01:32:12.020 --> 01:32:16.582]  Seeds had outperformed even gold and silver before in this country, and it's possible they could even happen again.
[01:32:17.122 --> 01:32:22.348]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:32:22.348 --> 01:32:29.476]  They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[01:32:29.476 --> 01:32:30.598]  And here's the best part.
[01:32:30.598 --> 01:32:36.965]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[01:32:37.265 --> 01:32:40.446]  So visit them today at survivalseedbank.com.
[01:32:40.446 --> 01:32:42.667]  That's survivalseedbank.com.
[01:32:42.667 --> 01:32:43.547]  Or give them a call at 877-327-0365.
[01:32:43.547 --> 01:32:43.807]  That's 877-327-0365.
[01:32:43.807 --> 01:32:47.248]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[01:32:47.248 --> 01:32:48.988]  This is Alex Jones for survivalseedbank.com.
[01:33:00.922 --> 01:33:04.523]  Coast to Coast, direct from Austin.
[01:33:04.523 --> 01:33:08.164]  You're listening to the Alex Jones Broadcasting Network.
[01:33:08.164 --> 01:33:14.766]  It's beginning to look a lot
[01:33:30.084 --> 01:33:32.186]  I gotta admit, I love old Christmas music.
[01:33:32.186 --> 01:33:32.566]  And Old Crow.
[01:33:32.566 --> 01:33:33.687]  Jim Beam.
[01:33:48.900 --> 01:33:55.983]  I'm just joking, folks.
[01:33:55.983 --> 01:34:00.624]  I don't even drink anymore because I want to lose weight, and I am.
[01:34:00.624 --> 01:34:03.905]  But I know what's really going on out there at Christmas.
[01:34:03.905 --> 01:34:07.866]  So everybody out there, drive safe.
[01:34:07.866 --> 01:34:13.128]  Watch out for all the drunk police driving around in Austin who are routinely crashing everybody.
[01:34:13.128 --> 01:34:15.129]  It's in the news again like yesterday.
[01:34:16.580 --> 01:34:18.957]  Okay, uh, number one danger is the drunk police.
[01:34:21.235 --> 01:34:22.575]  Another attempt at humor.
[01:34:22.575 --> 01:34:23.636]  Thank you for joining us.
[01:34:23.636 --> 01:34:25.416]  No, most of the police are not drunk.
[01:34:25.416 --> 01:34:27.537]  They are dodging the drunk drivers, though.
[01:34:27.537 --> 01:34:34.819]  Okay, Porter Stansbury is with us in this segment and the final segment here in the second hour of this special Sunday edition.
[01:34:34.819 --> 01:34:35.960]  I'm your host, Alex Jones.
[01:34:35.960 --> 01:34:38.441]  I appreciate everybody joining us on this Sunday.
[01:34:38.441 --> 01:34:48.324]  The country is in dire straits and I've got to have Porter back for like a two-hour extravaganza because I do remember all the predictions he made in writing and on my own show in December and then February.
[01:34:49.424 --> 01:34:52.425]  Well, Alex, I will drop everything and come on anytime.
[01:34:52.425 --> 01:34:53.705]  Here I am on Christmas Day.
[01:34:53.705 --> 01:34:54.945]  Yeah, how come I can only get you on Christmas?
[01:35:15.042 --> 01:35:18.823]  There must have been some mix-up in the communication because I love talking with you.
[01:35:18.823 --> 01:35:20.384]  I love your show.
[01:35:20.384 --> 01:35:26.545]  The voice-overs that you've done for us on the advertising has absolutely helped our business grow this year.
[01:35:26.545 --> 01:35:28.046]  I am proud of that fact.
[01:35:28.046 --> 01:35:31.907]  You guys test-marketed a bunch of voices on your huge... You are the voice.
[01:35:31.907 --> 01:35:32.707]  You are the voice.
[01:35:32.707 --> 01:35:34.608]  It makes an enormous difference.
[01:35:34.608 --> 01:35:42.690]  And also, I want you to know that we got a lot of people that told us they would only air that advertising if we took your voice off of it, and we told them all to go to hell.
[01:35:43.504 --> 01:35:46.907]  So they, so the establishment's even scared of my voice becoming even more known.
[01:35:46.907 --> 01:35:48.549]  They're scared of your voice.
[01:35:48.549 --> 01:35:52.713]  And I'll tell you one other thing that's happened is, you know, I don't put my picture up anywhere.
[01:35:52.713 --> 01:35:54.114]  I don't have my picture on my website.
[01:35:54.114 --> 01:35:55.976]  I don't have my picture on my newsletters.
[01:35:55.976 --> 01:35:58.899]  Because I don't really want people to know what I look like for obvious reasons.
[01:35:58.899 --> 01:35:59.900]  Do you know what I'm talking about?
[01:36:00.883 --> 01:36:13.295]  Um, but, uh, I was sitting at a bar in Miami Beach about six months ago, and the guy sitting next to me, I was having a cocktail with my wife, and the guy sitting next to me said, excuse me, are you Porter Stansberry?
[01:36:13.295 --> 01:36:14.516]  And I said, yeah, I am.
[01:36:14.516 --> 01:36:17.218]  And I said, how, you know, I asked him, I said, how did you recognize me?
[01:36:17.218 --> 01:36:18.599]  Because my picture's not anywhere.
[01:36:18.599 --> 01:36:20.521]  He said, I recognize your voice.
[01:36:20.521 --> 01:36:23.244]  And then the next thing he said is, what's Alex Jones like?
[01:36:25.151 --> 01:36:27.332]  Just like I am on air, obnoxious.
[01:36:27.332 --> 01:36:28.392]  Yeah, yeah.
[01:36:28.392 --> 01:36:33.034]  Well, you know, with both of us, Alex, what you see is what you get.
[01:36:33.034 --> 01:36:33.535]  Exactly.
[01:36:33.535 --> 01:36:34.615]  Same thing with Ron Paul.
[01:36:34.615 --> 01:36:38.257]  I know people that have worked with him for 30 years, and what you see in public is 100.
[01:36:38.257 --> 01:36:41.878]  You know, look at old videos of him on Morton Downey Jr.
[01:36:41.878 --> 01:36:45.820]  and on AXS TV in Austin from 25, 30 years ago.
[01:36:45.820 --> 01:36:50.002]  I mean, it is the exact same guy, except he was getting a little bit more angry at people then.
[01:36:50.482 --> 01:36:59.930]  Now let's shift gears into, because you have stunningly, as the Wall Street Journal and Barron's and others have said years ago, predicted things years out.
[01:36:59.930 --> 01:37:02.652]  And you really did predict what was going to happen in 2011.
[01:37:02.652 --> 01:37:06.335]  How does the debt situation, how does the U.S.
[01:37:06.335 --> 01:37:09.918]  losing its credit rating down a notch affect things?
[01:37:09.918 --> 01:37:15.663]  And what are the things on the radar screen in 2012?
[01:37:15.663 --> 01:37:16.924]  How do people protect themselves?
[01:37:17.642 --> 01:37:27.710]  Well, you know, real quickly, I would say that I think more and more people have come to believe that there's not going to be a big inflation.
[01:37:27.710 --> 01:37:32.774]  And they believe that because in this last year, commodity prices have been very tame.
[01:37:32.774 --> 01:37:35.516]  Copper, for example, is down 20% from a year ago.
[01:37:35.516 --> 01:37:36.157]  Tin is down 30%.
[01:37:36.157 --> 01:37:38.959]  Oil has been flat.
[01:37:38.959 --> 01:37:41.601]  Natural gas is down almost 50%.
[01:37:41.601 --> 01:37:42.822]  Sugar, you know, you can go on.
[01:37:42.822 --> 01:37:44.043]  They're all down double digits.
[01:37:44.523 --> 01:37:49.931]  That's because there's a global depression in real economy and so that's kind of eating up some of the inflation, right?
[01:37:49.931 --> 01:37:55.218]  Well, what was really holding it all back was the fact that Europe was not inflating.
[01:37:55.218 --> 01:38:00.486]  So even though the US had pumped up money supply enormously, Europe was having a huge
[01:38:00.486 --> 01:38:02.266]  Huge banking crisis.
[01:38:02.266 --> 01:38:08.408]  And what you'll see, I expect, is a larger and larger bailout of Europe next year.
[01:38:08.408 --> 01:38:15.389]  And you're going to see all of these price indices reverse, because people have stopped fearing the inflation.
[01:38:15.389 --> 01:38:20.231]  And now that the banking authorities have gotten a hold of the crisis in Europe, you're going to see them print a lot more money.
[01:38:20.231 --> 01:38:21.611]  And I think you'll see gold
[01:38:22.151 --> 01:38:30.532]  You know, when I met with you a year ago, last December, I said that gold would go to $2,000 an ounce in 2011, and I think it went up to like $1,900 and almost got there.
[01:38:31.471 --> 01:38:32.192]  Yes.
[01:38:32.192 --> 01:38:35.795]  So next year, I think that you will see gold double again.
[01:38:35.795 --> 01:38:43.722]  You'll see gold go to $4,000 an ounce, because they are going to solve the crisis in Europe, and they're going to solve the crisis in Europe by printing trillions of dollars.
[01:38:43.722 --> 01:38:46.725]  It's already been done, but we've just seen the early stages of it.
[01:38:46.725 --> 01:38:53.672]  They're going to print and print and print, and there's no way they're going to allow a downturn in the economy during a presidential election year.
[01:38:53.672 --> 01:38:54.672]  Not going to happen.
[01:38:54.672 --> 01:38:57.195]  They will start throwing money out of helicopters if they have to.
[01:38:58.280 --> 01:39:11.842]  As Helicopter Ben said, Osama Bin Bernanke, looking at this then, what do you think is going to happen domestically as things continue to unravel?
[01:39:12.830 --> 01:39:13.450]  Well, you know what?
[01:39:13.450 --> 01:39:17.051]  I think there's going to be a period of time where people think it's all good news.
[01:39:17.051 --> 01:39:25.013]  Because, you know, if commodity prices don't go crazy, they just start going up moderately, and if business conditions improve because credit becomes widely available.
[01:39:25.013 --> 01:39:28.814]  I mean, we saw mortgage rates, right, drop below 4% this week, right?
[01:39:28.814 --> 01:39:29.274]  Yes.
[01:39:29.274 --> 01:39:30.775]  So, hey, go refinance!
[01:39:30.775 --> 01:39:31.855]  Go get in some more debt!
[01:39:31.855 --> 01:39:33.055]  Go buy some more things!
[01:39:33.055 --> 01:39:42.138]  I think you could have this fantasyland period where the average American thinks there's nothing wrong and that the economy is improving and there's nothing to worry about.
[01:39:42.618 --> 01:39:46.160]  The problem, of course, is going to be that all these things are going to go way too far.
[01:39:46.160 --> 01:39:53.123]  And you're going to see the impact of this easy money over the next two or three or four years lead to a huge inflation.
[01:39:53.123 --> 01:39:58.646]  And that is why central banks all around the world are buying gold, and that's why you've seen the price of gold continue to go up this year.
[01:39:58.646 --> 01:40:02.908]  Gold's up about 20% this year, even though every other commodity you can think of has gone down.
[01:40:04.801 --> 01:40:11.364]  Not because the gold really went up or silver went up, but because the dollar is being devalued.
[01:40:11.364 --> 01:40:22.028]  Now, you did over a year ago, or I guess just about a year ago, in December of 2010, you did on the record say the crisis would kick back off in Europe.
[01:40:22.028 --> 01:40:23.808]  Where does the contagion move from there?
[01:40:23.808 --> 01:40:26.249]  That's a great question.
[01:40:28.705 --> 01:40:33.329]  This is a crisis of bad sovereign debt.
[01:40:33.329 --> 01:40:38.273]  And these bad debts originated in a lot of other areas, in corporate areas, in the U.S.
[01:40:38.273 --> 01:40:40.955]  mortgage market, and in sovereign debt in Europe.
[01:40:40.955 --> 01:40:44.378]  And the way this crisis will be played out is through inflation.
[01:40:44.378 --> 01:40:49.642]  So what you'd want to, what the next step in this crisis is, moving from these banking crises,
[01:40:50.742 --> 01:40:54.824]  We're already seeing a bubble in the farming real estate, while the others...
[01:41:12.612 --> 01:41:17.595]  It could easily be agriculture this time, but what's going to happen is it's going to be a lot worse.
[01:41:17.595 --> 01:41:27.043]  It's not going to be the kind of happy inflation that we had in the 2000s that everyone could kind of play around and make money at because it's going to be radical inflation.
[01:41:27.043 --> 01:41:31.166]  And the problem will be that the authorities are going to try to stop it with force.
[01:41:31.166 --> 01:41:34.209]  There will be credit controls, price controls.
[01:41:34.209 --> 01:41:35.830]  And that will cause shortages.
[01:41:35.830 --> 01:41:39.333]  And then you'll see shortages, and then you're going to see more and more unrest.
[01:41:40.715 --> 01:41:47.861]  You know, by the way, when I was on the show last December, I told you as well that there'd be a lot of civil unrest this year, and everyone, of course, smirked and laughed.
[01:41:47.861 --> 01:41:57.209]  But then you saw Occupy Wall Street, you saw revolutions all over North Africa, and you saw all those revolutions because they literally couldn't buy food because the currencies have been devalued so much.
[01:41:57.694 --> 01:42:00.616]  That's right, and the West tried to steer those, but that hasn't worked.
[01:42:00.616 --> 01:42:16.629]  You know, when you talk to all of the financial experts that are on the Stansbury research payroll, when you talk to other experts, right before we got you on air here, you were talking to a banker and getting some information.
[01:42:16.629 --> 01:42:22.394]  What's the feel across the spectrum from people that are in capital and finance and investment?
[01:42:23.556 --> 01:42:33.178]  I think that they are more afraid than I have ever seen them before in my entire career because it is a problem of systemic proportions.
[01:42:33.178 --> 01:42:34.699]  It's not one bad sector.
[01:42:34.699 --> 01:42:43.141]  I can remember back in the early 2000s, I was involved in the telecom sector and I would go to these private telecom conferences and these guys would be afraid of the bad debts.
[01:42:43.741 --> 01:42:44.842]  It's not just like that.
[01:42:44.842 --> 01:42:47.364]  It's not one industry or one company or one sector.
[01:42:47.364 --> 01:42:48.424]  It's the entire system.
[01:42:48.424 --> 01:42:49.625]  Porter, Stansbury, stay there.
[01:42:49.625 --> 01:42:51.086]  It's not one bubble.
[01:42:51.086 --> 01:42:56.550]  It's a whole cauldron of bubbles with helicopter bins flying around dumping dollars.
[01:42:56.550 --> 01:42:57.371]  We'll be right back.
[01:43:01.087 --> 01:43:16.553]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[01:43:16.553 --> 01:43:20.234]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[01:43:21.249 --> 01:43:34.020]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[01:43:34.020 --> 01:43:41.286]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[01:43:41.966 --> 01:43:52.359]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.silverlungs.com to learn more about how the Silver Lungs System works.
[01:43:52.359 --> 01:43:56.284]  As well, we are always ready to answer any questions you may have.
[01:43:56.284 --> 01:43:59.388]  That's www.silverlungs.com.
[01:44:00.103 --> 01:44:01.684]  Hi, this is Alex Jones.
[01:44:01.684 --> 01:44:07.988]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[01:44:07.988 --> 01:44:12.011]  So now is the time to express the holiday spirit more than ever.
[01:44:12.011 --> 01:44:15.593]  Consider helping those you love with the most important gift.
[01:44:15.593 --> 01:44:21.617]  A supply of delicious, easy to fix, and very storable foods from eFoodsDirect.com.
[01:44:21.617 --> 01:44:24.459]  Their holiday gift and family pack start at $99 for a 16-day supply.
[01:44:27.020 --> 01:44:34.285]  All their five-week supply of quick and easy-to-fix meals includes a personal backpack in case of a grab-and-go emergency.
[01:44:34.285 --> 01:44:40.168]  Order their Combo Gift Pack and you'll save hundreds, plus get free shipping on your entire order.
[01:44:40.168 --> 01:44:42.390]  Call eFoods today at 800-409-5633 or visit them online.
[01:44:46.072 --> 01:44:50.015]  When you're out on the road, the last place you want to be is on the road.
[01:44:50.015 --> 01:44:53.957]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:44:53.957 --> 01:44:55.598]  There's a place down in Tennessee
[01:45:16.246 --> 01:45:27.065]  Well they make blue diamond gusset jeans They sew pride in every stitch Guarantee you love the way they fit
[01:45:29.249 --> 01:45:33.970]  They put a diamond gusset in the crotch, where you need it most.
[01:45:33.970 --> 01:45:37.811]  Blue diamond gussets, got it.
[01:45:37.811 --> 01:45:39.051]  Others don't.
[01:45:39.051 --> 01:45:41.191]  We turn jeans inside out.
[01:45:41.191 --> 01:45:42.972]  Diamond gusset jeans.
[01:45:42.972 --> 01:45:45.852]  Made in the USA with unparalleled quality.
[01:45:45.852 --> 01:45:52.474]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection, so you can ride all day with confidence.
[01:45:52.474 --> 01:45:55.174]  Order yours at gusset.com.
[01:45:55.174 --> 01:45:57.555]  Diamond gusset jeans, got it.
[01:45:57.555 --> 01:45:58.055]  Others don't.
[01:45:59.867 --> 01:46:03.868]  You may be arrested and or subject to other police action.
[01:46:03.868 --> 01:46:05.128]  Tyranny is here.
[01:46:05.128 --> 01:46:08.669]  The grim future foretold in 1984 has become reality.
[01:46:08.669 --> 01:46:11.449]  It really says that the state is God.
