[00:00:28.664 --> 00:00:29.485]  I'm Aaron Dykes.
[01:23:33.852 --> 01:23:36.016]  The tapes weren't, you know, not on that day.
[01:23:36.076 --> 01:23:36.758]  That's a lie.
[01:23:37.178 --> 01:23:37.900]  We've seen them.
[01:23:38.180 --> 01:23:39.784]  So these were good guys in the FBI.
[01:23:40.184 --> 01:23:41.327]  And there are other bombers.
[01:23:42.341 --> 01:23:43.902]  And then they basically get in trouble.
[01:23:43.942 --> 01:23:48.764]  But the point is, there were so many cameras on there, and they declared national security on them.
[01:23:49.164 --> 01:23:51.165]  All these lawsuits to get them, they won't release them.
[01:23:51.485 --> 01:23:51.945]  Right there.
[01:23:52.185 --> 01:23:55.846]  Why don't you release who did the bombing, if it's McVeigh by himself?
[01:23:56.467 --> 01:23:56.807]  Exactly.
[01:23:56.847 --> 01:24:01.449]  If it's 17 years on, and all the perpetrators have been brought to justice, why can't we not see the tapes?
[01:24:01.749 --> 01:24:07.651]  And this is one of the early documents that Jesse Trinidad got, that had the FBI actually describing what they saw in the tapes.
[01:24:08.211 --> 01:24:11.833]  And it says that they saw the suspects get out of the vehicle.
[01:24:12.193 --> 01:24:28.300]  Suspects plural there were additional people inside the additional person inside the van with McVeigh You know there were hundreds of cameras hundreds of tapes that were duplicated We interviewed the gentleman that actually duplicated the tapes said hundreds of them and the FBI is saying that they can't find them
[01:24:28.900 --> 01:24:33.381]  You know, one of the biggest events that they ever investigated and they say that they can't find them.
[01:24:33.721 --> 01:24:37.802]  Luckily, Jesse Trinity was working with a judge that is actually trying to take them to task.
[01:24:37.862 --> 01:24:39.683]  Up in Salt Lake, doing a pretty good job.
[01:24:39.723 --> 01:24:41.643]  In fact, just ruled against the feds again.
[01:24:41.683 --> 01:24:48.765]  I want to ask you about that, but I want to get stuff on record here, you know, with Jane while we've got her, to break down what's going on.
[01:24:48.845 --> 01:24:50.406]  But looking at this,
[01:24:51.346 --> 01:24:55.748]  And seeing everything that they've done, I mean, it is just so mind-boggling.
[01:24:55.788 --> 01:25:06.874]  But a lot of people say, well, I see History Channel, Discovery Channel, they're airing all these shows with the official story right now, not showing the local newscasts with the bombs, not showing the governor saying bombs, none of this.
[01:25:07.354 --> 01:25:16.819]  But then I talk to all the survivors and people, they've done all these interviews with the media and told them what you're saying now, and the media across the board cuts it.
[01:25:17.478 --> 01:25:25.765]  Exactly, and this is what's very significant about Jane's story, is that the building was actually coming down 8 to 10 seconds before the truck bomb goes off.
[01:25:26.125 --> 01:25:29.969]  Now, there's other people that were in the building that day that say the exact same thing.
[01:25:30.009 --> 01:25:33.992]  VZ Lawton got hit by debris, and another gentleman jumped under his desk, and then the glass blows in.
[01:25:34.192 --> 01:25:37.695]  According to the FEMA report, that blast wave was traveling 1,700 feet per second.
[01:25:37.755 --> 01:25:38.696]  How is that possible?
[01:25:38.956 --> 01:25:41.018]  I mean, you were in a Windows 95 class that morning, right?
[01:25:41.038 --> 01:25:49.645]  Yes, I had just gone up to that, from the 7th floor to the 9th, and where I was, just prior to that, everybody was killed.
[01:25:50.967 --> 01:26:01.136]  But when I got up there, yes, what you felt initially was the ground below, which is all concrete, you felt it
[01:26:01.736 --> 01:26:14.396]  First you felt the ground rumbling back and forth and going from east to west and then west to east going back and forth and then you felt a few seconds later you felt the rise of
[01:26:17.140 --> 01:26:33.369]  The floor underneath you actually that rise of force going straight up and that loud noise and then when I looked up the only thing I saw was the roof suspended in air above me and the instructor actually said that it was an earthquake.
[01:26:33.549 --> 01:26:43.195]  She thought it was an earthquake and was telling everybody to get under their table at that time or you know under their desk and I sat there for a second because I said no this isn't
[01:26:43.755 --> 01:26:43.935]  Thank you.
[01:26:56.863 --> 01:27:07.788]  The next thing I knew, two of my co-workers, Sonya Key and Geroy McGirt, came over and they were digging stuff off of me and getting me up on my feet.
[01:27:07.908 --> 01:27:09.989]  And I said, first I told them, I said, I can't move.
[01:27:10.990 --> 01:27:13.291]  And I'm afraid to move.
[01:27:13.371 --> 01:27:15.592]  And they said, no, you have to get up and get out of here.
[01:27:16.272 --> 01:27:18.974]  And it was, you know, it's a bomb.
[01:27:19.234 --> 01:27:25.036]  And I looked out and everything around me was so black.
[01:27:26.237 --> 01:27:37.839]  The smoke was so thick that it smelled like sulfur and I had to put my hands over my nose and face because if you were to breathe in it felt like it would burn your lungs.
[01:27:38.479 --> 01:27:42.140]  So they helped me go down the staircase and go down.
[01:27:42.580 --> 01:27:52.902]  But when we went down, when we reached the floor where the children were, there was a man in the doorway and there was debris and things along the stairwell going down.
[01:27:53.502 --> 01:27:54.562]  I asked him, I said,
[01:27:55.583 --> 01:27:57.664]  I need to get in there and help bring the children out.
[01:27:58.525 --> 01:28:00.826]  And I was really concerned about that.
[01:28:00.966 --> 01:28:03.387]  And he said, no, the children are taken care of.
[01:28:03.407 --> 01:28:06.249]  Don't you have to get out, go out the building and go on down.
[01:28:06.569 --> 01:28:07.770]  So that's what we did.
[01:28:08.270 --> 01:28:16.875]  But I do want to stress that getting back to the bombing itself, I saw two men.
[01:28:17.055 --> 01:28:20.217]  I saw one man the day before the bombing.
[01:28:20.297 --> 01:28:23.238]  This was on a Monday afternoon.
[01:28:24.859 --> 01:28:31.264]  He was carrying a handheld, and I presume it was a satellite phone, but he was talking.
[01:28:31.424 --> 01:28:34.667]  He was talking to it, and he says, well, now how does this work?
[01:28:35.127 --> 01:28:38.470]  And I remembered being able to hear that, and he was a tall gentleman.
[01:28:38.490 --> 01:28:41.973]  He was like six foot one, maybe something like that, six two.
[01:28:42.593 --> 01:28:51.861]  No, I think maybe six one, and a bit gray hair, had glasses on, and had a GSA uniform on, and I looked at him, and I thought,
[01:28:52.461 --> 01:28:58.324]  God, you know, he really looks kind of old to be learning a new job, you know.
[01:28:58.565 --> 01:29:07.069]  I mean, I'd never seen him before in all these years, and I thought, well, maybe somebody is on vacation or training or something, and they've just put this guy in there for the day.
[01:29:07.810 --> 01:29:21.778]  Well, I let it go, and then the next morning, that was the day before the bombing, then the next day of the bombing, when I came in after seeing those men outside,
[01:29:24.416 --> 01:29:51.068]  I was going to mail a letter inside because we had a post box there and right to the south of that post box for the mail there was a doorway that led to the stairwell and out of the stairwell came this man and another gentleman and they looked at me they tucked their heads down and they were
[01:29:52.978 --> 01:30:00.201]  I don't think they were more than, at the very most, maybe two, two and a half, three feet from me.
[01:30:00.682 --> 01:30:04.684]  And the younger, the shorter gentleman, he had on a t-shirt underneath his.
[01:30:05.004 --> 01:30:06.524]  They both had on those uniforms.
[01:30:06.625 --> 01:30:11.067]  And I thought, GSA, and I thought, well, now that's strange.
[01:30:11.087 --> 01:30:12.968]  We have two, you know, and they were moving.
[01:30:13.028 --> 01:30:16.889]  They were, once they looked at me, they put their heads down and they scooted around the corner.
[01:30:17.470 --> 01:30:20.751]  And I thought, well, maybe they're just somebody here, you know.
[01:30:22.572 --> 01:30:25.413]  And I mentioned that I thought they may be from outside even.
[01:30:25.533 --> 01:30:27.553]  And who did you later identify that man as?
[01:30:27.734 --> 01:30:37.996]  Yes, I looked and looked and I was shown some pictures by another investigator and I identified him as Gary Hunt.
[01:30:41.454 --> 01:30:46.215]  It was sometime after that.
[01:30:46.235 --> 01:31:00.398]  I had gone to Ohio to visit my son for the holidays and my daughter was there at the house and she was over for the day to take care of my home and everything.
[01:31:01.158 --> 01:31:02.199]  And the doorbell rang.
[01:31:04.966 --> 01:31:32.377]  She opened the door and in walks a gentleman from Arizona and he was with another man and he's walked in the house and he walked over to the telephones and starts disconnecting everything and he said because my daughter said my mother isn't here and he said well I want you to tell your mother that I'm a friend of Gary Hunt's and she has
[01:31:33.377 --> 01:31:34.898]  Identified the wrong person.
[01:31:36.479 --> 01:31:39.501]  And she needs to be aware of that, and I want her to know that.
[01:31:39.841 --> 01:31:40.901]  And I thought, well, that's strange.
[01:31:40.921 --> 01:31:43.583]  You know, he comes all the way out there to tell me that.
[01:31:44.624 --> 01:31:50.167]  And so when she called me long distance and told me, and I said, OK, thanks.
[01:31:50.267 --> 01:31:51.708]  You know, thanks for telling me everything.
[01:31:51.748 --> 01:31:52.948]  And she told me they didn't leave.
[01:31:53.229 --> 01:31:54.109]  She would call the police.
[01:31:54.589 --> 01:31:55.550]  And so they did leave.
[01:31:55.970 --> 01:31:57.031]  Who is Gary Hunt?
[01:31:58.452 --> 01:32:00.593]  He is a special agent
[01:32:01.901 --> 01:32:03.942]  Uh, for the FBI.
[01:32:04.582 --> 01:32:04.942]  Yeah.
[01:32:05.622 --> 01:32:10.343]  And then, of course, we've got Danny Boy, one of the head FBI guys.
[01:32:10.383 --> 01:32:18.346]  You said he was in Dallas and got a flight up there the day of the bombing, and it turned out there were no flights, and he wasn't on the flights, and then we learned hotel receipts.
[01:32:18.906 --> 01:32:22.427]  Danny Boy was actually there the day before.
[01:32:22.487 --> 01:32:23.307]  Tell us about Danny.
[01:32:23.840 --> 01:32:30.962]  Uh, Danny Colson, yes, uh, he actually, uh, said that he had driven up here in a, in a big hurry, uh, that day.
[01:32:31.182 --> 01:32:34.743]  Cause he was, we actually have video of him, uh, you know, on the scene that day.
[01:32:34.763 --> 01:32:39.744]  Uh, and it later came out that, uh, you know, he, it, that it, it wasn't, there was no way that he could have done that.
[01:32:39.784 --> 01:32:44.865]  The, the, his claims of the hotel receipts, everything, he had to have been here prior to, uh, to the event.
[01:32:45.444 --> 01:32:59.710]  Well, also, too, Alex, I want to bring in that Louis Freeh, his assistant was there that morning, right after the bombing.
[01:33:00.071 --> 01:33:02.472]  They have pictures of her directing people.
[01:33:02.532 --> 01:33:12.596]  You know, the fire department couldn't even go in to rescue anybody because she would not allow anybody in there other than FBI people.
[01:33:12.856 --> 01:33:14.017]  And they were taking out
[01:33:14.977 --> 01:33:20.380]  They were checking out money, they were checking out, oh I understand, the papers.
[01:33:20.720 --> 01:33:32.927]  And that later got confirmed, that you got the headquarters people, you've got the FBI director's assistant there to block the fire department from, I mean, on the scene.
[01:33:32.947 --> 01:33:36.669]  I mean, this is incredibly scripted, incredibly staged.
[01:33:37.090 --> 01:33:39.311]  What type of intimidation did you actually experience?
[01:33:39.531 --> 01:33:45.592]  I felt like my phone was being tapped because when I would pick it up, you'd get these clicking noises on it.
[01:33:46.392 --> 01:33:53.654]  And I did finally call the phone company about it and I said, you know, I really believe my phone is tapped.
[01:33:54.394 --> 01:33:55.914]  And I said, can you check that?
[01:33:56.274 --> 01:33:59.875]  And they said, well, you know, I said, I want to find out if it is.
[01:33:59.895 --> 01:34:01.835]  They said, well, we can't report that to you.
[01:34:02.835 --> 01:34:05.596]  If it is tapped, we will notify
[01:34:06.256 --> 01:34:11.018]  The police department, and I said, well, what if it's the government that's doing it?
[01:34:11.038 --> 01:34:13.839]  And they said, well, we're sorry, we can't give you that information.
[01:34:14.140 --> 01:34:17.161]  Well, after that, it stopped, and then I didn't have it anymore.
[01:34:17.601 --> 01:34:19.302]  So, Alex, it was another lesson.
[01:34:19.522 --> 01:34:22.723]  If you're not paying attention, it's amazing.
[01:34:28.206 --> 01:34:29.126]  What they can do.
[01:34:29.286 --> 01:34:47.914]  I know when I went over to some of the people's different people's homes that I was told that you know that they could sit in the car that the FBI the federal people were sitting in cars which were two blocks away and they could hear everything that was being said within the house.
[01:34:48.274 --> 01:34:52.877]  Well, and the phone tapping, I mean, this was also something that the Oklahoma Bombing Investigation Committee experienced.
[01:34:53.077 --> 01:34:58.301]  They actually called a number that they had that could identify if the phone was being tapped, and it was.
[01:34:58.801 --> 01:35:04.465]  You know, so they were definitely monitoring anybody that was countering the official story and actually trying to get the truth out.
[01:35:04.805 --> 01:35:14.171]  I mean, you know, who are people going to believe, you know, the actual survivors that were in the building, like Jane and VZ, you know, or the official story, and so they did keep a close eye on them.
[01:35:14.611 --> 01:35:26.759]  And it's, you know, it's again, it shows human nature and that with all the people, you know, I was so distraught over the fact that
[01:35:27.924 --> 01:35:53.016]  In this country, that they would come in, they would bomb where there were children involved, and it's being taken care of, and who is there but the same FBI leaders, whether it was with us or Ruby Ridge or anywhere, you know, the same people keep
[01:35:53.416 --> 01:35:55.698]  Coming up, heading up the investigations.
[01:35:56.138 --> 01:35:58.480]  They're the ones who give the orders.
[01:35:59.461 --> 01:36:14.754]  It's amazing that after all of this took place, all of the people, whether it was the police chief, they all got wonderful jobs, making big money, improvements, and
[01:36:16.365 --> 01:36:27.603]  It's just, I don't know, it's so discouraging that people will not stand up, even my own people within my
[01:36:29.039 --> 01:36:32.821]  Within HUD that were there, there were so many good workers.
[01:36:32.841 --> 01:36:34.302]  There's so many good people.
[01:36:34.722 --> 01:36:35.763]  They were wonderful.
[01:36:36.263 --> 01:36:52.833]  And yet, you know, they are so one-sided in that most of them refuse to believe that this can't be anything other than what the government says it is, even when they change their story a number of times.
[01:36:54.894 --> 01:36:57.776]  I tried to get them to identify.
[01:36:57.796 --> 01:37:01.038]  I wanted us to look at pictures.
[01:37:01.258 --> 01:37:09.523]  I asked to look at pictures of people, of FBI people, people I thought I could identify through the police department.
[01:37:09.543 --> 01:37:11.604]  I went to several attorneys about it.
[01:37:12.765 --> 01:37:14.466]  I talked about it to the FBI.
[01:37:14.546 --> 01:37:18.408]  I sent a letter to Stephen Jones.
[01:37:18.488 --> 01:37:21.090]  I sent a copy to my own attorney, my doctor.
[01:37:21.770 --> 01:37:33.328]  And for just for verification of what I was saying to the FBI, I gave them descriptions of the men that I saw, precisely where they were, times, everything.
[01:37:33.749 --> 01:37:36.353]  I had an appointment with one FBI agent.
[01:37:37.054 --> 01:37:46.257]  His name was Agent Schweke and it was going to meet me in my union office and I arrived that day.
[01:37:46.677 --> 01:37:51.959]  He never showed up and then I finally called the number he left me and he said, Oh, I've got busy with something else.
[01:37:52.019 --> 01:37:53.079]  I can't make it.
[01:37:53.159 --> 01:37:56.800]  So we set another date and again, he didn't come.
[01:37:57.580 --> 01:37:58.681]  And so that was it.
[01:37:58.841 --> 01:38:01.882]  And then the FBI did come to
[01:38:03.042 --> 01:38:03.602]  We're good to go.
[01:38:28.286 --> 01:38:29.987]  I sent you all a letter.
[01:38:30.708 --> 01:38:32.729]  Do you not have that on file?
[01:38:33.029 --> 01:38:37.892]  My letter telling you everything I saw, the men I saw, what took place.
[01:38:38.512 --> 01:38:42.154]  She said, there's nothing in the file about a letter or what you have said.
[01:38:42.534 --> 01:38:46.337]  So I said, you turn this over and you write down what I'm going to tell you.
[01:38:46.557 --> 01:38:48.558]  And I gave her the same story.
[01:38:51.866 --> 01:39:08.397]  I said, in other words, in a ten block radius that they were doing this interviewing of people, I said, you ask them where they were, what they were doing, you know, very, very bland statements, you know.
[01:39:08.417 --> 01:39:11.819]  There was nothing in there asking them, did you see anything?
[01:39:11.919 --> 01:39:19.585]  I tell you, when I saw, when I was told by an FBI agent that the men that I saw were employees
[01:39:27.388 --> 01:39:33.234]  I said, if I misjudge somebody, I will apologize.
[01:39:33.494 --> 01:39:34.755]  I will say I'm wrong.
[01:39:34.995 --> 01:39:36.497]  You know, that's all right.
[01:39:37.178 --> 01:39:37.898]  And to do that.
[01:39:38.078 --> 01:39:45.906]  So I proceeded to take it upon myself, and there was another woman investigator at the time here at Oklahoma City.
[01:39:46.306 --> 01:39:47.546]  And I said, would you go with me?
[01:39:47.566 --> 01:39:54.769]  I want to find these men that were the mechanical people, maintenance men over there.
[01:39:55.409 --> 01:40:00.111]  So the building was closed and we started looking and I got the men's names.
[01:40:01.444 --> 01:40:04.646]  And I looked one of them in the phone book, and I went out to his house.
[01:40:04.706 --> 01:40:05.586]  He lived in Bethany.
[01:40:05.606 --> 01:40:14.131]  And I rang the doorbell, and his wife came to the phone, and I said, Can you tell me, is your husband, she said, gave me the address where he worked down off of Reno.
[01:40:15.091 --> 01:40:20.574]  And so I went down there, and it was a cleaning place and janitorial and all that.
[01:40:21.154 --> 01:40:23.396]  And I went up, I saw his name underneath the
[01:40:27.517 --> 01:40:35.520]  And here you are, you know, a survivor of the bombing and you're doing more of an investigation than the FBI.
[01:40:35.760 --> 01:40:50.326]  And it seems like this is what we see throughout the entire investigation was that it was all about quantity of documents, you know, just to create this body of supposed investigation, but they never asked the important people the important questions.
[01:40:50.726 --> 01:41:00.017]  Well, I went, but I went back and I figured, okay, if anybody knows where those two men are now, there's a parking garage directly behind.
[01:41:00.577 --> 01:41:06.584]  So I went over there and I said, you know, the people who were in the building there, the maintenance, do you know, happen to know where they went to?
[01:41:06.644 --> 01:41:08.366]  And he said, oh yeah, they're down on Robinson.
[01:41:08.706 --> 01:41:09.627]  He gave me the address.
[01:41:10.268 --> 01:41:21.416]  I went down there and I found out where one of the men was and I said, okay, he was working in another building off of 10th.
[01:41:21.436 --> 01:41:30.523]  And I went down there and he wasn't there and I left a message that I'd like to talk to him and they got him on the phone and I said, could I make an appointment with you?
[01:41:31.083 --> 01:41:31.864]  And he said, yes.
[01:41:32.304 --> 01:41:35.387]  And so I came the next day to meet him.
[01:41:36.426 --> 01:41:40.649]  And I told him why I wanted to meet him.
[01:41:40.729 --> 01:41:47.394]  I said I have identified someone and they say that you're the person I'm identifying and that it's not Gary Hunt.
[01:41:48.014 --> 01:41:51.717]  I said and I need to see you because if that's true then I want to know.
[01:41:54.969 --> 01:42:01.873]  I went over, I met him, I walked into his office, and I looked at him and I said, thank God, you are not the man that I saw.
[01:42:02.474 --> 01:42:22.227]  Then, he told me that there were three other sets of people, the FBI told him they had three other sets of people who were identified that looked like them, that weren't them, and I thought how very typical they were, and the two men that I saw, Gary Hunt and the other gentleman,
[01:42:23.907 --> 01:42:34.790]  He had been, they were both carrying satellite telephones and when they came out on the screen, on the TV, they were dressed in civilian clothes.
[01:42:35.210 --> 01:42:37.791]  They were going across and talking on that.
[01:42:38.271 --> 01:42:40.952]  They were not dressed like they were in the building.
[01:42:41.753 --> 01:42:44.837]  Jane had actually seen them in one of the news clips.
[01:42:45.237 --> 01:42:52.726]  One of the early cameras caught these two gentlemen leaving the scene immediately after the bombing.
[01:42:52.906 --> 01:42:53.147]  Yes.
[01:42:53.367 --> 01:42:57.232]  And she identified him as the person that she saw in the building that day with the sat phone.
[01:42:58.103 --> 01:43:01.325]  Yes, and it's, you know, it is important.
[01:43:03.347 --> 01:43:17.016]  I know that the other, you know, when I tried to get pictures so I could identify them and all of that, nobody, and in fact, one of the attorneys said, well, I'll get the police officers down here.
[01:43:17.076 --> 01:43:18.557]  He's wonderful.
[01:43:18.597 --> 01:43:19.598]  He will do a good job.
[01:43:19.658 --> 01:43:22.180]  I said, fine, you know, never heard from him again.
[01:43:22.220 --> 01:43:23.320]  Boy, that was the end of that.
[01:43:23.420 --> 01:43:25.442]  That discussion was, that was over.
[01:43:25.842 --> 01:43:30.764]  The district attorney, I wrote him, told him I'd like to, I would like to appear before the grand jury.
[01:43:30.804 --> 01:43:34.265]  Since I saw these people, I wanted to testify about it.
[01:43:34.665 --> 01:43:42.529]  And I got a letter back from him telling me that they were not interested in hearing my testimony as an eyewitness.
[01:43:42.749 --> 01:43:43.569]  They couldn't be bothered.
[01:43:43.869 --> 01:43:47.632]  Yeah, any story that contradicted the official story, they didn't want it included.
[01:43:48.133 --> 01:44:09.171]  And what's interesting about the multi-county grand jury that the Oklahoma Bombing Investigation Committee got impaneled, was that they actually turned the grand jury over to their enemy, Bob Macy, the district attorney, and he proceeded to investigate the Oklahoma Bombing Investigation Committee, as opposed to actually using it as a way that the will of the people were to, when they impaneled the grand jury, was to investigate the bombing.
[01:44:09.884 --> 01:44:16.706]  And Charles Key, they got him off of the committee because he was asking questions and he wanted answers.
[01:44:17.026 --> 01:44:18.306]  They would not let him do that.
[01:44:19.146 --> 01:44:21.207]  And that's what the grand jury is for.
[01:44:26.308 --> 01:44:32.550]  These are really well-staged, well-staged events and if you watch
[01:44:33.790 --> 01:44:37.712]  Just from past history what is happening right now today?
[01:44:37.732 --> 01:44:48.237]  You watch and between now you're hearing more and more about you know our men over there They're gonna bring them home, then they're not gonna bring them home.
[01:44:48.277 --> 01:44:54.560]  Well, maybe a later date then they talk about We're getting now into bombs wars.
[01:44:55.100 --> 01:45:00.083]  Maybe we'll do this and You watch before the election
[01:45:01.252 --> 01:45:06.177]  We're going there's going to be something that's going to be big, which will occur.
[01:45:06.197 --> 01:45:12.803]  I just would bet my life on it that it will occur that somehow.
[01:45:14.468 --> 01:45:36.286]  They will have an excuse either for the Army, the National Guard, the Army to come out, you know, to supposedly protect all the people here, to control our streets, to take away more of our rights for our own protection.
[01:45:36.306 --> 01:45:41.130]  A friend of mine and also another person, Debbie Nakanashi,
[01:45:42.231 --> 01:45:45.513]  I worked for the U.S.
[01:45:45.773 --> 01:45:46.474]  Post Office.
[01:45:46.834 --> 01:45:48.015]  She was intimidated.
[01:45:49.056 --> 01:46:02.564]  She saw what went on outside with the bomb squad and everything, and she was told by her employer that if she spoke about it or talked about what she saw, she would be fired.
[01:46:02.745 --> 01:46:04.826]  I told her immediately to go to the union.
[01:46:05.727 --> 01:46:15.874]  She did, and then they came in, and then the boss came back, and then an attorney came back from the telephone company and said, well, you know, post office, you don't have to, you know, you're not going to lose your job.
[01:46:16.414 --> 01:46:31.246]  She was one of many witnesses that saw the bomb squad across the street at the courthouse prior to the bombing that morning, and when she tries to speak out about it, her job is threatened, and she's told to be silent.
[01:46:31.446 --> 01:46:32.146]  Yes, yes.
[01:46:34.728 --> 01:46:44.679]  You know, when I went, Debbie Nakanishi and I went up to Washington several times, we tried to get the
[01:46:45.973 --> 01:46:51.355]  Politicians in Washington, the senators and congressmen, to talk to us about the bombing.
[01:46:52.016 --> 01:46:55.657]  Not one person there would talk to either one of us.
[01:46:56.097 --> 01:47:02.820]  The only person who talked to us was the representative from Ohio.
[01:47:05.525 --> 01:47:11.088]  And he subpoenaed the records from GSA.
[01:47:11.928 --> 01:47:19.872]  And when we went down there, we met, he was in office and his assistant, and talked to him about what was going on.
[01:47:20.872 --> 01:47:36.961]  And the assistant had told, very interesting, that FBI had called and told him they wanted, he could not open one of those boxes until they had sent people down there to redact, to redact all the information, and he said, nope.
[01:47:37.461 --> 01:47:39.042]  He says, that's beyond your authority.
[01:47:39.202 --> 01:47:40.023]  I will allow
[01:47:41.251 --> 01:47:46.134]  One person to come down and do what they can do, and that's it.
[01:47:47.354 --> 01:47:56.599]  And he said that one man, I believe it was a gentleman, came down, he was doing that, and he was told, we will get you for this.
[01:47:57.370 --> 01:47:57.870]  And they did.
[01:47:57.930 --> 01:47:58.791]  I mean, it's obvious.
[01:47:58.811 --> 01:48:00.872]  They took him down with a scandal.
[01:48:01.112 --> 01:48:02.093]  Yeah, they really did.
[01:48:02.213 --> 01:48:06.116]  And it wasn't like he was the only person who's created a scandal.
[01:48:06.296 --> 01:48:09.518]  My God, look at the felons that are in Congress right now.
[01:48:09.958 --> 01:48:11.859]  Don't tell me about scandals, you know.
[01:48:11.939 --> 01:48:14.020]  Look at what's going on right now in our government.
[01:48:14.060 --> 01:48:14.741]  That's scandal.
[01:48:15.281 --> 01:48:17.042]  So, I mean, he wasn't the only individual.
[01:48:17.102 --> 01:48:19.164]  And I'm not saying it's a Democrat or Republican.
[01:48:19.744 --> 01:48:20.765]  Both have the problem.
[01:48:21.545 --> 01:48:23.866]  But it is a real concern.
[01:48:25.486 --> 01:48:29.368]  Charles Key, you know, he's had his share of problems.
[01:48:30.348 --> 01:48:34.150]  Terrence Shakey, I met Terrence, I knew him, I knew his ex-wife.
[01:48:35.390 --> 01:48:38.871]  When he was having the problems, when he had reviewed
[01:48:41.152 --> 01:48:45.775]  His report and turned in his first report at the police department to his supervisor.
[01:48:46.296 --> 01:48:48.957]  He was told to take it right back, cut it down.
[01:48:49.197 --> 01:48:50.779]  He didn't want all that information in there.
[01:48:51.139 --> 01:48:52.139]  Terrence refused.
[01:48:52.199 --> 01:48:54.301]  He rewrote it, but he refused to do what he said.
[01:48:54.661 --> 01:48:56.162]  He was taking a copy of that out.
[01:48:56.202 --> 01:49:01.386]  He talked to his wife and told her he was concerned for his life.
[01:49:02.026 --> 01:49:05.668]  He was concerned for his family, killing a lot of his efforts to protect his family.
[01:49:05.688 --> 01:49:12.411]  He had two children he had, and they were supposed to leave, I believe, the night that he was murdered.
[01:49:12.451 --> 01:49:16.893]  They were supposed to come back and take them down to Texas.
[01:49:17.053 --> 01:49:18.514]  They were going to, I believe, get remarried.
[01:49:18.834 --> 01:49:28.643]  Yeah, see he had reconciled with his wife, he had gotten a promotion, he was getting the key to the city, he had everything to live for, and his death was declared a suicide.
[01:49:29.343 --> 01:49:35.249]  Now the parameters around that is that he had supposedly cut his wrist in his car, cut his neck,
[01:49:35.749 --> 01:49:52.117]  And then, I guess, tied a rope around his neck, handcuffed Marks, and dragged himself a mile away out into a field, and then shot himself with a small caliber weapon at a downward angle through the top of his head that came out of his jaw, far enough away that it didn't leave powder residue on his head.
[01:49:52.597 --> 01:49:57.699]  And then, the Sheriff's Department, when they do arrive, they do a thorough search of the area.
[01:49:57.719 --> 01:50:00.961]  They cannot find the weapon because it was federal property.
[01:50:01.261 --> 01:50:04.242]  When the FBI lands, they, oh, here's the weapon.
[01:50:04.262 --> 01:50:05.323]  They immediately go and find it.
[01:50:05.603 --> 01:50:15.492]  The sheriff's department had also reported that there were two boxes of documents in the back of his car, and then whenever it gets to the impound lot, it's not actually part of the inventory.
[01:50:15.833 --> 01:50:19.997]  Well, also, he had left his video camera at his home.
[01:50:20.917 --> 01:50:26.002]  And right after that, the police department comes to her home.
[01:50:27.423 --> 01:50:36.030]  Uh, Terry's wife's home, and bursts in, no knock, no nothing, just barges in, goes directly, where is the camera, where is everything?
[01:50:36.090 --> 01:50:37.131]  She said, where's your warrant?
[01:50:37.791 --> 01:50:41.474]  They went in, they searched everything, took everything that they wanted, and walked out with it.
[01:50:42.235 --> 01:50:44.657]  And that had a lot of evidence, I'm sure, on it.
[01:50:46.283 --> 01:50:47.744]  And he died with nothing.
[01:50:47.804 --> 01:50:48.745]  They left him nothing.
[01:50:48.785 --> 01:50:49.786]  They gave him nothing.
[01:50:50.347 --> 01:50:56.693]  You know, and they call this, you know, that he should have been able to have a pension and do for that.
[01:50:56.954 --> 01:51:00.497]  They didn't even have the courtesy to call and do those things.
[01:51:00.998 --> 01:51:04.162]  A police officer that dies in Oklahoma City gets an autopsy.
[01:51:04.702 --> 01:51:05.823]  Terence Shakey did not get one.
[01:51:06.104 --> 01:51:09.628]  They didn't ask his family if he had ever had suicidal comments or thoughts.
[01:51:09.908 --> 01:51:15.034]  And when they question the suicide, they say, oh, you watch too much television.
[01:51:15.094 --> 01:51:16.115]  You're acting crazy.
[01:51:16.135 --> 01:51:18.097]  You need to go back home and stop worrying about it.
[01:51:18.458 --> 01:51:21.201]  And this is not a way to treat a hero that saved eight people's lives that day.
[01:51:21.991 --> 01:51:37.085]  Well, Terry's wife said that she had a call from one of the policemen that he worked with, that he had talked to Terry the day before, and he said the feds were after him.
[01:51:37.145 --> 01:51:37.946]  They were following him.
[01:51:38.907 --> 01:51:42.991]  And he said, I've been told that I cannot
[01:51:44.758 --> 01:51:48.500]  Tell you that I know he was in fact murdered by them because they've already told us.
[01:51:48.800 --> 01:51:50.061]  If any of us talk, we're dead.
[01:51:50.101 --> 01:51:50.942]  Our families are dead.
[01:51:51.242 --> 01:51:56.185]  That was not an uncommon thing to be intimidated by everybody down the line.
[01:51:57.473 --> 01:51:58.394]  Did you know Don Browning?
[01:51:58.714 --> 01:52:00.296]  Yes, I knew him.
[01:52:00.456 --> 01:52:03.078]  And Don knew things that were going on.
[01:52:03.098 --> 01:52:04.520]  He talked about them.
[01:52:04.540 --> 01:52:05.561]  He would talk with VC.
[01:52:05.581 --> 01:52:06.461]  He would meet with people.
[01:52:06.722 --> 01:52:08.043]  He would talk to people about what was happening.
