[00:00:00.403 --> 00:00:02.709]  Genesis Communications Radio Network
[02:09:34.503 --> 02:09:45.691]  Now, and they say, by the way, quote, the ultimate victims here are the millions of children who every year are being injected with a mumps vaccine that is not providing them with an adequate level of protection.
[02:09:46.232 --> 02:09:52.476]  The failure in Merck's vaccine has allowed this disease to linger with significant outbreaks continuing to occur.
[02:09:52.857 --> 02:09:53.397]  So there we go.
[02:09:53.457 --> 02:09:59.542]  Merck's own former employees saying that Merck is causing the spread of infectious disease, that they're
[02:10:00.502 --> 02:10:02.924]  Their vaccines claim to actually prevent.
[02:10:03.564 --> 02:10:05.665]  But on top of that, John, here's where I want your comments.
[02:10:06.646 --> 02:10:07.586]  And thank you for staying with us.
[02:10:07.626 --> 02:10:08.267]  I really appreciate it.
[02:10:09.525 --> 02:10:13.427]  The Chatham Primary Care has filed a lawsuit against Merck.
[02:10:13.887 --> 02:10:33.897]  Now, claiming that they were defrauded by Merck because of a, quote, decade-long scheme to falsify and misrepresent the true efficacy of its vaccine, says that Merck knows and has taken affirmative steps to conceal that its mumps vaccine is far less than 95% effective and that this has been going on since at least 1999.
[02:10:37.493 --> 02:10:40.534]  Wow, this is a long-standing, ongoing situation.
[02:10:41.014 --> 02:10:45.035]  So, are you familiar with the details of that lawsuit, John, or do you have any comments on it?
[02:10:46.016 --> 02:11:03.401]  Well, the comment that I have is, I'm happy to hear this, because since the Department of Justice will do absolutely nothing to prosecute the people at Merck responsible for this, then if you can pile on with more lawsuits, that's a good thing.
[02:11:04.122 --> 02:11:16.305]  If you can get different groups who were actually defrauded, just like this one was, to take them to court and say, well, we were defrauded too, so pay us out as well.
[02:11:16.385 --> 02:11:22.687]  Because what this is saying basically, Mike, is if a drug company defrauds intentionally,
[02:11:24.414 --> 02:11:25.495]  A hundred million people?
[02:11:26.055 --> 02:11:29.237]  Those hundred million people deserve something in return.
[02:11:29.277 --> 02:11:30.538]  Yes, at least a refund.
[02:11:31.138 --> 02:11:32.479]  At least a refund, yeah.
[02:11:32.579 --> 02:11:34.320]  If not more punitive damages.
[02:11:34.340 --> 02:11:37.142]  Quite a bit more, because they were injected with something.
[02:11:37.182 --> 02:11:42.005]  It wasn't like you bought a toaster and it didn't toast the bread, you know.
[02:11:42.105 --> 02:11:44.207]  It did probably toast their brain a little bit, though.
[02:11:44.227 --> 02:11:47.569]  Right, so, yeah, you would deserve a little bit more.
[02:11:47.869 --> 02:11:51.991]  Well, yeah, but see, this is the big picture here, is that
[02:11:53.191 --> 02:11:58.534]  There's immunity granted to the drug companies over vaccines, so you can't have a class action lawsuit now.
[02:11:58.574 --> 02:12:05.957]  So the government has created a situation where there is no justice for the fraud that's now emerging from the vaccine industry.
[02:12:05.997 --> 02:12:06.838]  There is no justice.
[02:12:08.078 --> 02:12:09.019]  Well, that's what they did.
[02:12:09.219 --> 02:12:10.519]  That's how they covered themselves.
[02:12:10.599 --> 02:12:21.985]  The vaccine companies went to the government 10 years ago, a little bit more, and said, well, guys, basically we're going to get out of the vaccine business because there's too many lawsuits and we can't make any money.
[02:12:22.941 --> 02:12:32.224]  And so, there were meetings, they sat down in a room, and they started to hammer out this whole kind of agreement, and the government said, well, you know, I mean, we gotta keep making vaccines, I mean, come on.
[02:12:32.785 --> 02:12:45.269]  And the drug companies were kind of laughing up their sleeve, and they said, well, look, if you grant us immunity from lawsuits, and you create some kind of hokey little government payout system with a lot of red tape,
[02:12:46.844 --> 02:12:47.524]  We can make a deal.
[02:12:47.944 --> 02:12:49.445]  And the government said, yeah, sure, why not?
[02:12:49.485 --> 02:12:50.125]  We can do that.
[02:12:50.645 --> 02:12:51.526]  And that's what happened.
[02:12:52.126 --> 02:12:59.589]  And that's why you've got this very limited window of opportunity to make these drug companies pay for what they do.
[02:12:59.869 --> 02:13:01.409]  Well, something's got to happen.
[02:13:01.469 --> 02:13:10.313]  Last drug company to be mentioned here today is Pfizer, now being sued by retailers over what is deemed an anti-competitive scheme.
[02:13:11.013 --> 02:13:13.974]  The largest, many of the largest pharmacies in the U.S.
[02:13:14.634 --> 02:13:19.675]  are now suing Pfizer, and this is reported on by Reuters and other sources.
[02:13:20.415 --> 02:13:37.898]  The lawsuit claims that Pfizer obtained a fraudulent patent, engaged in sham litigation, entered a price-fixing agreement to delay the arrival of cheaper generic drugs, and entered arrangements with pharmacy benefit managers to force retailers to buy more Lipitor, their cholesterol drug.
[02:13:37.938 --> 02:13:38.618]  So now we have
[02:13:39.378 --> 02:13:41.921]  Look at all the parties that are potentially harmed in all this.
[02:13:41.961 --> 02:13:49.030]  Now we have the pharmacies claiming that they're the victims of anti-competitive monopolistic price-fixing behavior by Pfizer.
[02:13:49.410 --> 02:13:50.251]  This is getting deep.
[02:13:51.492 --> 02:13:51.873]  Oh yeah.
[02:13:52.454 --> 02:13:56.799]  This is getting very deep because, you know, if you're selling basically
[02:13:57.708 --> 02:14:00.612]  A fraudulent, dangerous product to begin with.
[02:14:01.172 --> 02:14:07.580]  It stands to reason that you're the type of criminal mind who will do whatever you can to maximize your profits, right?
[02:14:07.921 --> 02:14:15.991]  And so price fixing, we don't want those generic drugs on the market, we want pharmacies to keep selling Lipitor or whatever.
[02:14:16.491 --> 02:14:17.252]  They're going to do that.
[02:14:17.352 --> 02:14:22.376]  They're going to just keep pushing the envelope wherever they can, and now suppose they get fined.
[02:14:22.456 --> 02:14:25.538]  I don't know how much they're going to have to pay out, a few hundred million dollars.
[02:14:26.099 --> 02:14:28.321]  Where does that rank against the sales of Lipitor?
[02:14:28.681 --> 02:14:30.903]  It's just like, you know, a little minnow in the ocean.
[02:14:31.545 --> 02:14:32.286]  Yeah, yeah, right.
[02:14:32.586 --> 02:14:34.547]  All right, last thing, John, then I'll let you go.
[02:14:34.567 --> 02:14:35.388]  Again, I appreciate your time.
[02:14:35.408 --> 02:14:38.630]  I'm going to ask you nine, eight or nine rapid-fire questions.
[02:14:38.691 --> 02:14:42.854]  I want a yes or no from you, and whether you think, yes or no only.
[02:14:42.874 --> 02:14:44.675]  Is this a pass or fail?
[02:14:44.695 --> 02:14:45.396]  This is, yeah.
[02:14:45.856 --> 02:14:46.817]  Now, you already passed.
[02:14:46.837 --> 02:14:47.657]  We just want your comments.
[02:14:48.538 --> 02:14:53.362]  Would Big Pharma engage in the following behaviors, yes or no, John Rapoport?
[02:14:53.422 --> 02:14:57.445]  Number one, would they falsify efficacy data on other prescription drugs?
[02:14:58.325 --> 02:14:58.625]  Yes.
[02:14:59.146 --> 02:15:01.887]  Would they exploit children for deadly vaccine trials?
[02:15:02.608 --> 02:15:03.428]  Absolutely yes.
[02:15:03.788 --> 02:15:07.190]  How about this, would they invent fictitious diseases to sell more drugs?
[02:15:08.331 --> 02:15:10.272]  Yes, with exclamation points.
[02:15:10.292 --> 02:15:12.794]  Alright, only yes or no, no exclamation marks.
[02:15:12.814 --> 02:15:13.854]  I'm sorry.
[02:15:14.114 --> 02:15:14.495]  Would they?
[02:15:14.575 --> 02:15:17.716]  Okay, this might stump you.
[02:15:17.977 --> 02:15:21.679]  Would they unleash bioweapons to cause a pandemic that would make them money?
[02:15:22.554 --> 02:15:22.854]  Yes.
[02:15:23.194 --> 02:15:23.294]  Yes.
[02:15:23.314 --> 02:15:23.374]  Yes.
[02:15:23.394 --> 02:15:23.534]  Yes.
[02:15:23.574 --> 02:15:23.694]  Yes.
[02:15:23.714 --> 02:15:23.774]  Yes.
[02:15:52.748 --> 02:15:53.248]  Yes.
[02:15:53.268 --> 02:15:54.029]  This is all yeses.
[02:15:54.069 --> 02:15:54.569]  Okay, fine.
[02:15:54.609 --> 02:15:55.089]  Last question.
[02:15:55.610 --> 02:15:58.711]  Would they force a medical monopoly on the entire U.S.
[02:15:58.731 --> 02:16:01.553]  population via socialist health care legislation?
[02:16:02.934 --> 02:16:04.594]  Gee, let me think about that.
[02:16:05.375 --> 02:16:06.315]  Uh, yes!
[02:16:06.495 --> 02:16:07.276]  Alright, alright.
[02:16:07.436 --> 02:16:09.357]  A-plus, John Rapaport.
[02:16:09.437 --> 02:16:10.598]  Oh, boy, okay.
[02:16:10.838 --> 02:16:11.918]  A-plus for you, man.
[02:16:11.938 --> 02:16:13.619]  Send me my diploma.
[02:16:14.099 --> 02:16:16.881]  I'm gonna send you a PhD for that one right there.
[02:16:17.221 --> 02:16:18.482]  Thank you for joining us, John.
[02:16:18.522 --> 02:16:19.402]  It's always great to have you on.
[02:16:19.422 --> 02:16:19.883]  Thanks so much, Mike.
[02:16:19.903 --> 02:16:20.423]  It's been great.
[02:16:20.723 --> 02:16:24.987]  All right, John Rappaport, everybody, from nomorefakenews.com, if you'd like to learn more from John.
[02:16:25.247 --> 02:16:29.871]  And John, thanks for playing along with my impromptu pop quiz right there.
[02:16:30.311 --> 02:16:32.173]  And yes, you pass with flying colors.
[02:16:32.653 --> 02:16:36.356]  Okay, now, we've... I'm sure I'll hear about that later from John.
[02:16:36.396 --> 02:16:39.979]  Anyway, coming up now, we've got a guest joining us.
[02:16:40.039 --> 02:16:42.061]  Let me ask the producers, is he on the line?
[02:16:44.042 --> 02:16:44.763]  Not yet.
[02:16:44.823 --> 02:16:46.845]  Okay, I'm going to give you an intro of what this is all about.
[02:16:47.785 --> 02:16:48.466]  He is a U.S.
[02:16:48.566 --> 02:16:49.166]  Army medic.
[02:16:50.283 --> 02:16:56.006]  And, uh, his name is Sean, uh, what's, how do I pronounce his last name?
[02:16:56.447 --> 02:16:56.987]  Nemi?
[02:16:58.468 --> 02:16:59.148]  Nemi?
[02:16:59.168 --> 02:17:01.149]  I think, I think it's Nemi.
[02:17:01.249 --> 02:17:01.470]  Okay.
[02:17:01.990 --> 02:17:07.873]  Sean Nemi, who has gone through a very, very difficult time.
[02:17:07.893 --> 02:17:12.796]  He was, uh, court-martialed essentially, went through a court-martial process.
[02:17:13.477 --> 02:17:15.318]  Uh, be sure to keep getting him on the line, let me know when he's on.
[02:17:16.311 --> 02:17:20.273]  He did not want to be vaccinated by the military's experimental vaccines.
[02:17:21.053 --> 02:17:23.975]  And so he filed for a religious exemption.
[02:17:24.015 --> 02:17:28.397]  He went to his priest, pastor, and explained his beliefs.
[02:17:28.897 --> 02:17:40.402]  And by the way, he's being represented by attorney Patricia Finn, who is a vaccine rights or an anti-vaccine rights attorney who has been featured on InfoWars and InfoWars Nightly News as well.
[02:17:41.103 --> 02:17:43.304]  So he applied for the exemption.
[02:17:44.284 --> 02:17:51.030]  And that exemption, according to military law, is allowed to be granted to you as long as your commanding officer agrees to it.
[02:17:51.771 --> 02:18:03.341]  Well, his commanding officer, for some reason, did not agree to it and put him through what he describes as a hell type of experience.
[02:18:04.304 --> 02:18:06.165]  Okay, his name is Nimai, I'm being told.
[02:18:06.205 --> 02:18:08.047]  That's the correct pronunciation of his last name.
[02:18:08.387 --> 02:18:09.167]  He went through hell.
[02:18:10.028 --> 02:18:19.675]  And he's now out of the military, and the military actually took money out of his paycheck, he says, actually taking money from him while he was trying to get back on his feet with his family.
[02:18:20.335 --> 02:18:24.338]  It sounds like this is a story of just incredible medical abuse in the military.
[02:18:24.698 --> 02:18:28.240]  That's why we wanted to have Sean on the Alex Jones Show today.
[02:18:28.341 --> 02:18:31.643]  Sean, thank you for joining us, and welcome to the show.
[02:18:34.912 --> 02:18:35.873]  Can you hear me, Sean?
[02:18:36.914 --> 02:18:37.154]  Yes.
[02:18:37.734 --> 02:18:38.895]  Okay, thank you for joining us.
[02:18:38.915 --> 02:18:39.556]  Yeah, I can see you.
[02:18:39.616 --> 02:18:39.816]  Thank you.
[02:18:40.076 --> 02:18:40.877]  Welcome to the show.
[02:18:40.937 --> 02:18:41.938]  How are you feeling, man?
[02:18:42.779 --> 02:18:43.699]  I'm doing great, Mike.
[02:18:43.739 --> 02:18:44.100]  How are you?
[02:18:44.660 --> 02:18:46.121]  I'm doing just fantastic.
[02:18:46.462 --> 02:18:51.966]  I gave a brief introduction to your situation there, but tell us in your own words.
[02:18:52.327 --> 02:18:53.788]  We've got a couple minutes before the next break.
[02:18:54.208 --> 02:18:57.311]  Go ahead and run down what happened to you in your own words, please.
[02:18:58.052 --> 02:18:59.152]  All right.
[02:18:59.753 --> 02:19:09.377]  Back in 2009, if you all remember that we had a little bit of an H1N1 scare, or an invented scare, I found out that the
[02:19:10.569 --> 02:19:16.413]  The immunizations that they were handing out, that the military was handing out to us, was an experimental version.
[02:19:16.753 --> 02:19:19.095]  It wasn't the same version that the rest of the world was getting.
[02:19:20.135 --> 02:19:20.375]  U.S.
[02:19:20.395 --> 02:19:23.938]  military was the only people getting this experimental version.
[02:19:24.518 --> 02:19:28.821]  I decided at that point, I wasn't going to give it to my soldiers, I wasn't going to take it myself.
[02:19:30.349 --> 02:19:31.669]  And what was your position there?
[02:19:31.709 --> 02:19:32.250]  You were a U.S.
[02:19:32.310 --> 02:19:33.291]  Army medic, correct?
[02:19:33.531 --> 02:19:36.973]  Yes, I was the Cavalry Troops Senior Medic.
[02:19:37.293 --> 02:19:40.415]  And what group were you with?
[02:19:40.495 --> 02:19:41.316]  Where were you stationed?
[02:19:42.317 --> 02:19:45.359]  I was stationed in Afghanistan at the time with the 10th Mount Division.
[02:19:46.178 --> 02:19:46.679]  Okay, alright.
[02:19:47.099 --> 02:19:47.801]  We're going to go to break.
[02:19:48.401 --> 02:19:51.666]  Your story, please continue with us on the other side of this break.
[02:19:52.067 --> 02:19:57.355]  We want to find out what happened to you, what you did about it, and what this means for all soldiers in the military today.
[02:19:57.976 --> 02:19:59.077]  Right here on the Alex Jones Show.
[02:19:59.097 --> 02:19:59.598]  Stay with us.
[02:19:59.678 --> 02:20:01.781]  We'll be right back with all that and much more.
[02:20:08.851 --> 02:20:09.832]  Let me ask you a question.
[02:20:10.072 --> 02:20:11.233]  What does freedom mean to you?
[02:20:11.253 --> 02:20:12.393]  The freedom to choose?
[02:20:12.474 --> 02:20:13.174]  The freedom to vote?
[02:20:13.414 --> 02:20:14.175]  The freedom to worship?
[02:20:14.415 --> 02:20:16.376]  How about the freedom to take control of your own future?
[02:20:16.616 --> 02:20:21.740]  My friends at eFoodsDirect are celebrating freedom this month while helping you take control of your greatest dependency, food.
[02:20:22.080 --> 02:20:29.185]  Right now you receive one of their new Patriot Packs free with every $289 you spend on their highly nutritious and great tasting food.
[02:20:29.485 --> 02:20:33.108]  The Patriot Pack is a 30 day supply of eFoods quick fix easy to store food.
[02:20:33.368 --> 02:20:37.992]  For example, purchase a one-year supply and get five Patriot Packs, which is five months of food free.
[02:20:38.232 --> 02:20:41.796]  Use the extra food for everyday use and save hundreds off your grocery bill.
[02:20:42.036 --> 02:20:47.240]  Give your free Patriot Pack as a gift to a friend or relative, or simply add more food to your long-term supply for free.
[02:20:47.481 --> 02:20:53.426]  Call 800-409-5633 or go to efoodsdirect.com forward slash alex and get your free Patriot Pack with purchase.
[02:20:53.726 --> 02:20:54.866]  Operators are standing by.
[02:20:55.067 --> 02:20:59.168]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[02:20:59.468 --> 02:21:02.629]  eFoods is so affordable, the more you store and eat, the more you save.
[02:21:02.649 --> 02:21:07.691]  Go to eFoodsDirect.com forward slash Alex or call 800-409-5633 right now.
[02:21:08.392 --> 02:21:11.913]  Digestive health is the key to wellness and elimination of toxins.
[02:21:12.273 --> 02:21:12.974]  That bears repeating.
[02:21:13.294 --> 02:21:16.837]  Digestive health is the key to wellness and elimination of toxins.
[02:21:17.177 --> 02:21:21.441]  And Pro-EM-1 Daily Probiotic Cleanse is the key to digestive health.
[02:21:21.741 --> 02:21:27.226]  Pro-EM-1 is a powerful liquid probiotic, strong enough to cleanse, gentle enough to use every day.
[02:21:27.586 --> 02:21:29.788]  Pro-EM1 is dairy, wheat, and soy free.
[02:21:30.068 --> 02:21:32.289]  Contains all natural and certified organic ingredients.
[02:21:32.530 --> 02:21:34.431]  Contains no preservatives or animal products.
[02:21:34.671 --> 02:21:36.653]  Supports a healthy digestive and immune system.
[02:21:36.773 --> 02:21:37.513]  Supports weight loss.
[02:21:37.793 --> 02:21:39.315]  Improves absorption of food nutrients.
[02:21:39.635 --> 02:21:40.996]  Aids in controlling yeast infections.
[02:21:41.256 --> 02:21:42.497]  Is never freeze-dried.
[02:21:42.837 --> 02:21:46.700]  And uses three groups of live, viable, beneficial microbes to cleanse and remove toxins.
[02:21:47.040 --> 02:21:50.483]  Order Pro-EM1 Daily Probiotic Cleanse at Terragonics.com.
[02:21:50.823 --> 02:21:54.447]  Spelled T-E-R-A-G-A-N-I-X dot com.
[02:21:54.747 --> 02:21:55.868]  Terragonics dot com.
[02:21:56.268 --> 02:21:57.109]  Or call toll free 866-369-3678.
[02:21:57.129 --> 02:21:57.449]  That's 866-369-3678.
[02:21:57.489 --> 02:21:58.650]  Pro-EM1, the raw probiotic.
[02:22:07.890 --> 02:22:11.358]  So you don't want to carry a gun, but you do want to ensure your personal safety.
[02:22:11.519 --> 02:22:16.269]  Then empower yourself legally with self-defense products from StunGunMics.com.
[02:22:17.799 --> 02:22:21.121]  Stun guns come in more shapes than just what you see on TV.
[02:22:21.281 --> 02:22:28.466]  Now you can get a powerful mini stun gun that fits in the palm of your hand, a stun baton, or a cell phone or lipstick stun gun.
[02:22:28.687 --> 02:22:40.895]  Stungunmics.com also carries real spy gear like bug and metal detectors and discreet car and home security cameras that hide in almost any type of everyday object from alarm clocks to pens.
[02:22:41.235 --> 02:22:44.016]  Now you can see how your babysitter really treats your children.
[02:22:44.116 --> 02:22:47.758]  Go to StunGunMics.com, spelled just like it sounds.
[02:22:48.118 --> 02:22:50.199]  StunGunMics.com.
[02:22:51.140 --> 02:23:01.084]  Buy real spy gear from StunGunMics.com, just like the exact same spy gear sold to the government, military, corporate security, law enforcement, and private detectives.
[02:23:01.384 --> 02:23:06.227]  Empower yourself with self-defense products now, from StunGunMics.com.
[02:23:07.455 --> 02:23:11.557]  Hello, this is Ty Bollinger, author of the best-selling book, Cancer Step Outside the Box.
[02:23:12.217 --> 02:23:14.358]  I want you to know some very important information.
[02:23:15.258 --> 02:23:23.581]  In 1985, President Ronald Reagan requested that carnivora be sent directly to the White House at a time when only the President could obtain this world-class healer.
[02:23:24.221 --> 02:23:29.123]  Now, 27 years later, carnivora capsules are used around the world to keep people healthy.
[02:23:29.759 --> 02:23:40.728]  Now you can protect yourself and your loved ones in this age of superbugs with 17 naturally occurring compounds that instinctively respond to abnormal cells only without harming a single normal cell.
[02:23:41.129 --> 02:23:48.135]  If you want to stay healthy, now's your chance to literally wake up your critical immune cells to attack harmful invaders that don't belong in your body.
[02:23:48.815 --> 02:23:53.081]  Call 1-866-VENUSFLY or order from carnivora.com.
[02:23:53.121 --> 02:23:56.285]  That's C-A-R-N-I-V-O-R-A dot com.
[02:23:56.726 --> 02:24:03.675]  That's 1-866-836-8735, 1-866-VENUSFLY or visit carnivora.com.
[02:24:03.996 --> 02:24:04.937]  Protect your immune system.
[02:24:05.217 --> 02:24:06.259]  It's the only one you've got.
[02:24:18.874 --> 02:24:21.995]  Okay, we're continuing here on the Alex Jones Show.
[02:24:22.135 --> 02:24:23.135]  Welcome back.
[02:24:23.235 --> 02:24:23.655]  Here we go.
[02:24:24.536 --> 02:24:26.096]  We're continuing with U.S.
[02:24:26.256 --> 02:24:29.437]  Army medic Sean Nimai.
[02:24:29.737 --> 02:24:30.837]  That's the right pronunciation.
[02:24:31.818 --> 02:24:36.479]  He joins us by Skype to tell us what happened to him in the military and his attempts...
[02:24:37.079 --> 02:24:43.660]  Protect his body, his health, from the experimental vaccines that are being forced on soldiers every day, it seems.
[02:24:44.120 --> 02:24:45.340]  So go ahead, Sean.
[02:24:45.620 --> 02:24:47.981]  You were telling us where you were stationed.
[02:24:48.041 --> 02:24:49.081]  Please continue with your story.
[02:24:49.761 --> 02:24:50.781]  Yes.
[02:24:51.221 --> 02:24:58.003]  As I said, in 2009, I was in Afghanistan, stationed there for a year deployment with the 10th Mount Division.
[02:24:59.223 --> 02:25:06.184]  I refused to receive or give the H1N1 experimental vaccine at that time.
[02:25:07.168 --> 02:25:26.310]  Um, it was received at the time with a little bit of distrust from my chain of command, but once I explained to them that it was an experimental version, I didn't feel safe giving it to soldiers when I didn't even have a
[02:25:29.221 --> 02:25:33.723]  A pamphlet that normally comes with medications and immunizations.
[02:25:34.243 --> 02:25:35.524]  We had no literature.
[02:25:35.864 --> 02:25:36.204]  Really?
[02:25:36.224 --> 02:25:36.905]  At all.
[02:25:37.265 --> 02:25:41.827]  So they just said, they just said, here it is, take it, and we're not going to provide any information about it.
[02:25:41.867 --> 02:25:44.068]  Just trust us, basically, is that what they said?
[02:25:44.689 --> 02:25:48.310]  It was generic labels on the bottles.
[02:25:48.851 --> 02:25:50.411]  All it said was keep refrigerated.
[02:25:52.605 --> 02:25:54.066]  You know, this is the dosage.
[02:25:54.826 --> 02:25:55.026]  Wow.
[02:25:55.086 --> 02:25:56.327]  That's what we were told about it.
[02:25:56.567 --> 02:25:59.788]  So what, uh, what caused you to have red flags about it?
[02:25:59.828 --> 02:26:02.569]  Why would you even suspect the safety of it in the first place?
[02:26:03.650 --> 02:26:12.674]  Well, part of the, uh, part of the biggest reason that, uh, that I questioned it to begin with was the fact that there was no literature.
[02:26:13.694 --> 02:26:14.515]  Um, I
[02:26:15.549 --> 02:26:23.935]  I'm kind of OCD about making sure that I read all the literature to all the medications that I'm supposed to give to my soldiers.
[02:26:25.115 --> 02:26:37.804]  When there was no literature brought with the vaccines, I requested from the Brigade Medical Services Office, you know, hey, you guys forgot to send the literature with this.
[02:26:38.164 --> 02:26:39.485]  They said, no, there isn't any.
[02:26:39.985 --> 02:26:43.507]  Just follow the directions on the labels that are on the bottles.
[02:26:43.828 --> 02:26:44.408]  You'll be fine.
[02:26:46.161 --> 02:26:51.345]  So at that point, I decided that it was time to look a little deeper into things.
[02:26:51.746 --> 02:27:02.094]  Found out that there was actually three different batches, three different formulas of the H1N1 vaccines that were being mass-produced for human use.
[02:27:03.616 --> 02:27:06.959]  Two of them were being distributed to civilians all over the world.
[02:27:08.620 --> 02:27:09.601]  The third one
[02:27:10.382 --> 02:27:12.163]  Was being distributed to U.S.
[02:27:12.203 --> 02:27:13.384]  military members only.
[02:27:14.305 --> 02:27:17.327]  That also raised a couple of red flags.
[02:27:17.647 --> 02:27:21.750]  Yeah, the special soldier edition with no documentation.
[02:27:22.110 --> 02:27:27.194]  So let me ask you, how many soldiers were you in charge of in terms of their medical care?
[02:27:28.969 --> 02:27:30.170]  I don't remember the exact number.
[02:27:30.190 --> 02:27:38.053]  There's a little over a hundred of the US soldiers from my unit and a couple other units that were co-located with us.
[02:27:38.614 --> 02:27:48.278]  And then approximately 250 Afghan National Forces that we did different missions in conjunction with them.
[02:27:48.538 --> 02:27:48.798]  Okay.
[02:27:49.138 --> 02:27:56.802]  And where did you receive your medical training and can you describe it just briefly so everybody has a background of your medical background, so to speak?
[02:27:57.657 --> 02:27:58.677]  Yeah.
[02:27:59.417 --> 02:28:11.420]  After basic training at Fort Leonard Wood, Missouri, I went to AIT's Advanced Individual Training, which is medic school at Fort Sam Houston in San Antonio, Texas.
[02:28:12.120 --> 02:28:26.043]  Spent, I think it was about four and a half to five months there learning not only an EMT civilian side of emergency medicine, but also the Army side
[02:28:28.141 --> 02:28:35.533]  I don't know what the exact word would be.
[02:28:35.593 --> 02:28:40.582]  It's a little more goal-oriented and keeping people alive, not so much keeping them pretty.
[02:28:42.230 --> 02:28:54.014]  Well, keeping them alive is a good thing, but then, so it sounds like with the vaccines, you were concerned about the implications of that experimental vaccine on the health of your, of the people whose health you were, at least in part, responsible for.
[02:28:54.434 --> 02:29:00.576]  So, when did you start getting resistance to this, and how did that emerge in your experience there?
[02:29:00.596 --> 02:29:01.156]  What happened to you?
[02:29:01.176 --> 02:29:06.878]  Because I saw at one point, you were being threatened with even being fragged.
[02:29:07.838 --> 02:29:08.918]  Correct.
[02:29:09.258 --> 02:29:10.119]  Lead us to that point.
[02:29:10.139 --> 02:29:10.599]  What happened?
[02:29:12.156 --> 02:29:24.399]  After that deployment was over, we got back to Fort Drum, New York and started the reset for the next upcoming deployment, which was going to be about a year to a year and a half out.
[02:29:25.123 --> 02:29:29.167]  So we started train up, reset, getting new equipment, getting new soldiers.
[02:29:30.268 --> 02:29:34.351]  At that point, we have to go through a medical screening.
[02:29:34.371 --> 02:29:36.753]  All right, Sean, I've got to interrupt you.
[02:29:37.174 --> 02:29:40.096]  We've got one more break right here and then a long segment on the other side of this.
[02:29:40.557 --> 02:29:47.543]  But I want to hear your story of how you got threatened with even being killed if you didn't go along with their vaccine agenda.
[02:29:47.983 --> 02:29:48.904]  That straight ahead.
[02:29:48.944 --> 02:29:50.866]  Stay with us right here on the Alex Jones Show.
[02:29:57.799 --> 02:30:00.786]  We're on the march, the empire's on the run.
[02:30:01.728 --> 02:30:04.374]  Alex Jones and the GCN Radio Network.
[02:30:08.374 --> 02:30:13.638]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[02:30:13.878 --> 02:30:16.080]  Start purifying your water with ProPure.
[02:30:16.300 --> 02:30:21.804]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure.
[02:30:22.004 --> 02:30:25.226]  And it's available discounted at InfoWars.com.
[02:30:25.386 --> 02:30:28.589]  Its filters are silver impregnated to prevent bacterial growth.
[02:30:28.849 --> 02:30:30.270]  There's no priming required.
[02:30:30.530 --> 02:30:32.571]  It's NSF-42 certified.
[02:30:32.792 --> 02:30:35.293]  Optional fluoride filters can reduce fluoride up to 95%.
[02:30:36.354 --> 02:30:37.694]  Easy to set up and use.
[02:30:37.874 --> 02:30:39.175]  Doesn't require electricity.
[02:30:39.315 --> 02:30:42.156]  Purify water from lakes, streams, ponds, and wells.
[02:30:42.476 --> 02:30:45.637]  This filter system leaves in beneficial minerals, which is key.
[02:30:45.857 --> 02:30:49.838]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[02:30:49.998 --> 02:30:52.599]  ProPure is the best gravity-fed filter out there.
[02:30:52.739 --> 02:30:54.039]  It's what my family uses.
[02:30:54.299 --> 02:30:57.500]  Infowars.com already has the lowest price on ProPure.
[02:30:57.620 --> 02:31:02.862]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[02:31:03.442 --> 02:31:06.065]  You can also call to order 888-253-3139.
[02:31:07.066 --> 02:31:10.069]  Hi, this is Alex Jones.
[02:31:10.109 --> 02:31:15.475]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[02:31:15.695 --> 02:31:20.340]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[02:31:20.720 --> 02:31:21.121]  It's true.
[02:31:21.201 --> 02:31:25.766]  Seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[02:31:26.286 --> 02:31:30.989]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[02:31:31.510 --> 02:31:33.431]  They call it a Survival Seed Bank.
[02:31:33.811 --> 02:31:38.434]  And it can produce an endless supply of nutrient-dense food for you and your family.
[02:31:38.634 --> 02:31:39.535]  And here's the best part.
[02:31:39.735 --> 02:31:42.517]  These seeds have not been genetically modified in any way.
[02:31:42.817 --> 02:31:46.119]  And you actually get enough seeds to plant a full acre crisis garden.
[02:31:46.440 --> 02:31:49.261]  So visit them today at SurvivalSeedBank.com.
[02:31:49.622 --> 02:31:51.503]  That's SurvivalSeedBank.com.
[02:31:51.843 --> 02:31:52.764]  Or give them a call at 877-327-0365.
[02:31:56.406 --> 02:31:58.189]  That's 877-327-0365.
[02:31:59.370 --> 02:32:05.158]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
