[00:00:00.714 --> 00:00:04.537]  You got it, brother.
[01:09:08.304 --> 01:09:11.708]  Also, we have Bush, we now learn, this is in his book, Shanoff.
[01:09:11.708 --> 01:09:13.309]  Well, here I am giving you background again.
[01:09:13.309 --> 01:09:17.914]  The point is, the White House discovered that they'd cut out the records in Kenya.
[01:09:17.914 --> 01:09:19.996]  And Kenya said, yeah, it looks like criminal activity.
[01:09:19.996 --> 01:09:22.038]  You don't cut out records that weren't there.
[01:09:22.038 --> 01:09:27.624]  Now, for 16 years, 9 months, the literary agent that Obama still uses, his agent,
[01:09:28.527 --> 01:09:36.172]  Put out his bio hundreds of times in publications that he was born in Kenya, raised in Indonesia, in Hawaii, and we have all that.
[01:09:36.172 --> 01:09:38.734]  Exactly as Dr. Corsi has said.
[01:09:38.734 --> 01:09:42.316]  Now again, the White House responded to his book.
[01:09:42.316 --> 01:09:44.838]  They even put out a fake report that his book had been recalled.
[01:09:44.838 --> 01:09:47.299]  There's a lawsuit over that against Esquire.
[01:09:47.299 --> 01:09:51.742]  You don't engage in dirty tricks if they're in something you're hiding.
[01:09:51.742 --> 01:09:55.785]  So folks, but still, his publicist
[01:09:56.753 --> 01:10:06.560]  And for 16 years saying this, there is no way either Obama lied and said he was from Kenya because that was trendy, or he was born in Kenya.
[01:10:06.560 --> 01:10:12.044]  And then you look at all the other evidence, the pendulum swings towards the weights of justice go to the side.
[01:10:12.044 --> 01:10:13.185]  He was born in Kenya.
[01:10:13.185 --> 01:10:14.907]  And you're like, so what if he's born in Kenya?
[01:10:14.907 --> 01:10:17.168]  So what if Schwarzenegger was born in Austria?
[01:10:17.168 --> 01:10:19.610]  Folks, he can be blackmailed with that info.
[01:10:19.610 --> 01:10:22.132]  Dr. Corsi, you have gone through hell on earth.
[01:10:22.132 --> 01:10:24.574]  Sheriff Ropaio, you're a member of his posse.
[01:10:24.574 --> 01:10:25.575]  You gave him your research.
[01:10:26.195 --> 01:10:29.496]  He hired top forensic experts to confirm what you'd said.
[01:10:29.496 --> 01:10:31.696]  He's been raided by the feds.
[01:10:31.696 --> 01:10:33.336]  You could be Breitbart at any time.
[01:10:33.336 --> 01:10:35.377]  I know you don't need to be told that.
[01:10:35.377 --> 01:10:37.857]  Do you want to say you're not going to commit suicide, sir?
[01:10:37.857 --> 01:10:39.777]  I'm not going to commit suicide.
[01:10:39.777 --> 01:10:40.898]  No way.
[01:10:40.898 --> 01:10:45.838]  I plan to live to a ripe old age and to die in my bed surrounded by my family.
[01:10:45.838 --> 01:10:47.259]  Okay, well, you're here with us.
[01:10:47.259 --> 01:10:54.160]  What does this mean to have 16 years, 9 months, and hundreds of publications put out by his publicist that he was born in Kenya?
[01:10:54.778 --> 01:11:00.761]  Well, it's obvious, Alex, that the information came from Barack Obama himself.
[01:11:00.761 --> 01:11:01.961]  I mean, I'm an author.
[01:11:01.961 --> 01:11:03.742]  I publish lots of books.
[01:11:03.742 --> 01:11:06.543]  I still have two books coming out this year.
[01:11:06.543 --> 01:11:08.524]  They're already being edited.
[01:11:08.524 --> 01:11:14.206]  The publicist has sent me the author's biography statement.
[01:11:14.206 --> 01:11:15.147]  I've got to fill it in.
[01:11:15.147 --> 01:11:17.748]  They based the publicity campaign.
[01:11:17.748 --> 01:11:20.269]  They put the listings in their brochures.
[01:11:20.609 --> 01:11:23.190]  I've done that for documentary films I distributed!
[01:11:23.190 --> 01:11:24.751]  You can fill it out!
[01:11:24.751 --> 01:11:29.273]  Yes, and I mean, you know, go take a look at the books I've got right now in e-books.
[01:11:29.273 --> 01:11:37.978]  You know, they've got one on the Great Oil Conspiracy and one on the ineligibility of Obama's, you know, the Charifar Pyle's investigation.
[01:11:37.978 --> 01:11:39.959]  And in both of those, you'll see my biography.
[01:11:39.959 --> 01:11:46.562]  My biography says, you know, born in East Cleveland, Ohio, and very easily verifiable.
[01:11:46.562 --> 01:11:47.723]  That information came from me.
[01:11:48.283 --> 01:11:51.887]  Barack Obama had to tell his publicist where he was born.
[01:12:07.222 --> 01:12:20.056]  I've had, Alex, six New York Times bestsellers since 2004, and I still today fill out the author's biographical statements for the publicity department of the publisher.
[01:12:20.056 --> 01:12:21.198]  In case you want to update it!
[01:12:21.738 --> 01:12:25.180]  I've got a book coming out on the ACLU.
[01:12:25.180 --> 01:12:27.901]  It's going to be called The Bad Samaritan.
[01:12:27.901 --> 01:12:31.463]  It's going to be published this fall by Thomas Nelson.
[01:12:31.463 --> 01:12:33.864]  Thomas Nelson's publicist contacted me.
[01:12:33.864 --> 01:12:35.545]  They have a biographical form.
[01:12:35.545 --> 01:12:36.706]  Every author fills out.
[01:12:37.626 --> 01:12:39.127]  I forgot about that.
[01:12:39.127 --> 01:12:40.228]  Another stunning point.
[01:12:40.228 --> 01:12:43.230]  But what about it being over 16 years?
[01:12:43.230 --> 01:12:49.935]  Well, again, this biographical statement then forms the basis of a campaign to promote the book.
[01:12:49.935 --> 01:12:52.197]  The publisher puts that in a catalog.
[01:12:52.197 --> 01:12:53.818]  Every time an interview is given,
[01:12:54.158 --> 01:13:02.070]  You know, when the publicist sets up an interview in a new book, that biographical statement goes along with the fact sheets of the book to the interviewer.
[01:13:02.070 --> 01:13:03.613]  The interviewer doesn't know me.
[01:13:03.613 --> 01:13:06.517]  I'm on hundreds of radio stations.
[01:13:06.517 --> 01:13:07.118]  Exactly!
[01:13:07.118 --> 01:13:09.302]  You know this was brought up to him over and over again.
[01:13:09.762 --> 01:13:18.731]  Of course, and every interview had to be predicated on born in Kenya, because that's the information Barack Obama provided.
[01:13:18.731 --> 01:13:27.138]  And Alex, I've been saying this, if you read my Where's the Birth Certificate, I made the point Obama had been saying he was born in Kenya forever.
[01:13:27.819 --> 01:13:35.166]  Back to when he was a kid, until 2007, when he decided to run for president.
[01:13:35.166 --> 01:13:39.911]  And that's when he began changing all of his biographical information.
[01:13:39.911 --> 01:13:42.714]  Remember, Obama said he was born in two different hospitals.
[01:13:42.714 --> 01:13:49.601]  He was supposed to be born in Queens, and then when Queens wouldn't validate it, they changed it to Kapi'olani Hospital.
[01:13:50.041 --> 01:14:03.184]  What the point is, Obama's either, like you said, he either lied when he gave the information to his publicist and used it for all these years, including for Dreams for My Father, the autobiography.
[01:14:03.184 --> 01:14:09.866]  That Born in Kenya biography was used when his autobiography was publicized starting in 1995.
[01:14:09.866 --> 01:14:11.526]  It's unbelievable.
[01:14:11.526 --> 01:14:17.728]  I mean, 16 years, I mean, saying you're born in Kenya in a media promotion.
[01:14:18.388 --> 01:14:24.907]  I mean, and then within hours, they respond and say this must be the source, when it's never been the source.
[01:14:24.907 --> 01:14:25.990]  We just discovered this.
[01:14:26.817 --> 01:14:34.381]  Precisely, and the fact that a publicist would say that she made a mistake for 16 years is absolutely pathetic.
[01:14:34.381 --> 01:14:37.682]  And what's even more pathetic is that the mainstream media would buy that stuff.
[01:14:37.682 --> 01:14:41.044]  Because you give your info to the publicist!
[01:14:41.044 --> 01:14:41.804]  Every time.
[01:14:41.804 --> 01:14:44.025]  I'm extremely well known as an author, okay?
[01:14:44.025 --> 01:14:47.026]  I've gotten six bestsellers since 2004.
[01:14:47.026 --> 01:14:47.787]  Two number one.
[01:14:48.507 --> 01:14:57.390]  Both the Unfit for Command, which I co-authored with John O'Neill on John Kerry, the Swift Boat book, and in 2008, The Abomination.
[01:14:57.390 --> 01:15:03.452]  So, publishers could easily find out who I am, but I fill out the biographical statement.
[01:15:03.452 --> 01:15:04.492]  You know, I totally forgot.
[01:15:04.492 --> 01:15:05.692]  This is big news.
[01:15:05.692 --> 01:15:08.413]  I mean, everybody in the media knows how the media works.
[01:15:08.413 --> 01:15:09.653]  They've got to know now.
[01:15:09.653 --> 01:15:11.094]  This confirms he's born in Kenya.
[01:15:11.474 --> 01:15:24.924]  Precisely, and it confirms that that's the story Obama was telling, because it would never have been in there, never in his biographical statement, unless Obama submitted that information, including the raised in Indonesia.
[01:15:24.924 --> 01:15:27.626]  This is how Obama was packaging himself.
[01:15:27.626 --> 01:15:31.309]  Now, the point is exactly what you said, Alex.
[01:15:31.309 --> 01:15:37.914]  Obama was lying then for all the years until he ran for president, or he's lying now.
[01:15:37.914 --> 01:15:40.596]  Either way, he's fictionalizing his life's
[01:15:41.136 --> 01:15:42.677]  But the evidence all leans towards Kenya.
[01:15:42.677 --> 01:15:54.202]  I want to come back and look at that evidence, kind of recap for folks, the history, the smoking guns, but then more importantly, what does it mean for blackmail to have the so-called commander-in-chief saying he serves the UN openly?
[01:15:54.202 --> 01:15:56.022]  No wonder he's so traitorous.
[01:15:56.022 --> 01:15:57.983]  This guy is totally compromised.
[01:15:57.983 --> 01:15:59.444]  I'm Jerome Corsi, straight ahead.
[01:16:01.206 --> 01:16:07.852]  When you're out on the road, the last place you want to be is on the road.
[01:16:07.852 --> 01:16:12.996]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:16:12.996 --> 01:16:21.724]  There's a place down in Tennessee, where they make blue diamond gusset jeans.
[01:16:21.724 --> 01:16:24.186]  They sew pride in every stitch.
[01:16:24.186 --> 01:16:28.050]  Guarantee you'll love the way they fit.
[01:16:30.086 --> 01:16:34.808]  They put a diamond gusset in the crotch, where you need it most.
[01:16:34.808 --> 01:16:38.649]  Blue diamond gussets, got it.
[01:16:38.649 --> 01:16:39.890]  Others don't.
[01:16:39.890 --> 01:16:42.011]  We turn jeans inside out.
[01:16:42.011 --> 01:16:43.812]  Diamond gusset jeans.
[01:16:43.812 --> 01:16:46.693]  Made in the USA with unparalleled quality.
[01:16:46.693 --> 01:16:53.315]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection, so you can ride all day with confidence.
[01:16:53.315 --> 01:16:56.017]  Order yours at gusset.com.
[01:16:56.017 --> 01:16:58.397]  Diamond gusset jeans, got it.
[01:16:58.397 --> 01:16:59.258]  Others don't.
[01:17:02.552 --> 01:17:10.678]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[01:17:10.678 --> 01:17:14.741]  Alex and his staff have used these pure soap products for years.
[01:17:14.741 --> 01:17:22.047]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[01:17:22.047 --> 01:17:24.529]  See them on the web at 5starsoap.com.
[01:17:25.069 --> 01:17:29.912]  Or call 800-340-7091 for a free catalog.
[01:17:29.912 --> 01:17:35.836]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[01:17:35.836 --> 01:17:41.259]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[01:17:41.259 --> 01:17:43.241]  This is an amazing deal.
[01:17:43.241 --> 01:17:48.484]  You can save thousands of dollars and you will love the way real soap makes you feel.
[01:17:48.484 --> 01:17:51.626]  See them on the web at 5starsoap.com or call
[01:17:52.006 --> 01:18:00.110]  800-340-7091 for a free catalog.
[01:18:00.110 --> 01:18:04.472]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[01:18:04.472 --> 01:18:08.514]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[01:18:08.514 --> 01:18:12.536]  Every day, we document the attempts to take control of our lives.
[01:18:12.536 --> 01:18:14.737]  But there's one thing we can all control.
[01:18:14.737 --> 01:18:16.578]  Your greatest dependency, food.
[01:18:16.998 --> 01:18:24.522]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[01:18:24.522 --> 01:18:27.043]  This food is nutrient dense and tastes great.
[01:18:27.043 --> 01:18:30.985]  It's simple to make, portable, and has a shelf life of up to 25 years.
[01:18:30.985 --> 01:18:34.587]  Now with eFoods Direct, you'll get the most affordable, best tasting food you can buy.
[01:18:34.867 --> 01:18:37.488]  And the new products and pricing will blow you away.
[01:18:37.488 --> 01:18:42.349]  Compared to other food sources including home-cooked meals, you can cut your food cost in half.
[01:18:42.349 --> 01:18:44.310]  You just can't afford to ignore this.
[01:18:44.310 --> 01:18:49.952]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[01:18:49.952 --> 01:18:51.492]  Don't let this offer pass you by.
[01:18:51.492 --> 01:18:53.513]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[01:18:53.513 --> 01:18:54.794]  More the best, for less guaranteed.
[01:18:59.773 --> 01:19:04.316]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:19:04.316 --> 01:19:05.236]  Number one.
[01:19:05.236 --> 01:19:08.659]  New climate legislation could easily double or triple your electric bill.
[01:19:08.659 --> 01:19:09.519]  Number two.
[01:19:09.519 --> 01:19:14.422]  Our new energy czar wants to control how much power your electric company allows you to have.
[01:19:14.422 --> 01:19:15.163]  It's true.
[01:19:15.163 --> 01:19:20.026]  Total government control of electricity in the name of smart grid technology is coming.
[01:19:20.026 --> 01:19:20.866]  Number three.
[01:19:20.866 --> 01:19:24.449]  In some areas of the country, the power grid is dangerously overloaded.
[01:19:24.449 --> 01:19:28.131]  And now, new socialist legislation is only compounding the problem.
[01:19:28.351 --> 01:19:29.132]  Number 4.
[01:19:29.132 --> 01:19:31.914]  Dangerous weather is always a threat to local grids.
[01:19:31.914 --> 01:19:35.577]  Every year, thousands of families lose their power from weather-related outages.
[01:19:35.577 --> 01:19:36.378]  Number 5.
[01:19:36.378 --> 01:19:40.522]  A solar power generator provides powerful backup, insurance, and peace of mind.
[01:19:40.522 --> 01:19:45.286]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:19:45.566 --> 01:19:49.729]  You can get more information at www.mysolarbackup.com.
[01:19:49.729 --> 01:19:51.530]  That's mysolarbackup.com.
[01:19:51.530 --> 01:19:53.772]  Remember, the government doesn't own the sun.
[01:19:53.772 --> 01:19:56.393]  So go to mysolarbackup.com or call 1-877-327-0365.
[01:19:56.393 --> 01:20:03.158]  Coast to Coast.
[01:20:03.158 --> 01:20:05.199]  Direct from Austin.
[01:20:05.199 --> 01:20:08.421]  You're listening to the Alex Jones Broadcasting Network.
[01:20:16.104 --> 01:20:21.005]  You know, my friends, I'm sitting back looking at the evidence and I'm sad.
[01:20:21.005 --> 01:20:39.651]  As much as I don't like Barack Obama's policies, the fact that he really is not who he says he is and has all these fake names like Barry Sotero and gave up his citizenship to be an Indonesian, which you have to do, it shows the power structure is just so out of control.
[01:20:41.400 --> 01:20:49.245]  And it shows how they just train us to accept anything, like Obama saying, I can launch wars without approval of the Congress because I have the UN.
[01:20:49.245 --> 01:20:50.426]  That is so illegal.
[01:20:50.426 --> 01:20:52.367]  But it's not just the president doing it.
[01:20:52.367 --> 01:20:56.269]  He says because a foreign power says so.
[01:20:56.269 --> 01:21:00.952]  Dr. Corsi, I want to get back into that subject with you in the time we have left here in the short 10-minute segment.
[01:21:00.952 --> 01:21:09.598]  But again, recap for folks, the smoking guns of his Kenya Providence and what that signifies, why that's important.
[01:21:10.575 --> 01:21:14.898]  Well, I mean, first of all, we got the grandmother who said that Obama was born in Kenya.
[01:21:14.898 --> 01:21:21.343]  And it's not just one radio interview with her, or television interview, or whatever, with a couple of ministers.
[01:21:21.343 --> 01:21:27.788]  I sent some of my operatives, Kenyans, who know Grandma Sarah personally and have for years.
[01:21:27.788 --> 01:21:29.250]  They were working for me.
[01:21:29.250 --> 01:21:35.575]  And she told the story again, that the baby, Barack Obama, the President, was born in Kenya.
[01:21:36.255 --> 01:21:43.481]  Now, I've come to the conclusion, and I've got an e-book out on Saul Alinsky, the evil genius behind Obama.
[01:21:43.481 --> 01:21:50.167]  Take a look at it, because I think the entire life story of Obama is a fiction.
[01:21:50.167 --> 01:21:54.690]  And it was a fiction created largely as an intelligence operation.
[01:21:54.690 --> 01:21:56.912]  We don't know who this guy really is.
[01:21:56.912 --> 01:22:01.916]  The one thing I'm certain of, Alex, is that the one candidate who is not the father of
[01:22:02.557 --> 01:22:09.144]  And you said that before the State Department documents came out where they said he wasn't the dad and threw him out of the country.
[01:22:21.445 --> 01:22:34.109]  Well, in fact, the Immigration and Naturalization Service file that we now have says that when the baby was born, that the Immigration and Naturalization Service was going to contest that Ann Dunham was a U.S.
[01:22:34.109 --> 01:22:38.210]  citizen wife or that little Barack Obama was a U.S.
[01:22:38.210 --> 01:22:39.211]  citizen child.
[01:22:39.211 --> 01:22:40.871]  But he looks nothing like the dad.
[01:22:40.871 --> 01:22:46.813]  He looks like Caribbean, black, native Spanish mix.
[01:22:47.213 --> 01:22:54.880]  Well, I recommend everybody take a look at Joel Gilbert's new DVD, which is called The Real Barack Obama.
[01:22:54.880 --> 01:22:56.062]  I mean, I've got one right here.
[01:22:56.062 --> 01:22:57.023]  You can see it.
[01:22:57.023 --> 01:22:59.165]  This is the real Barack Obama's father.
[01:22:59.165 --> 01:23:00.606]  The real.
[01:23:00.606 --> 01:23:03.529]  It says, dreams from my real father.
[01:23:03.529 --> 01:23:04.470]  That looks just like him.
[01:23:04.470 --> 01:23:05.290]  I want to get him on.
[01:23:06.091 --> 01:23:09.253]  Frank Marshall Davis is the father.
[01:23:09.253 --> 01:23:10.413]  This is the argument.
[01:23:10.413 --> 01:23:20.658]  Frank Marshall Davis, the black poet and communist, you know, who was in Hawaii, is Joel Gilbert's number one choice for the real father.
[01:23:20.658 --> 01:23:23.359]  And I think we've got to begin the search for who the real father is.
[01:23:23.359 --> 01:23:25.660]  I recommend Joel Gilbert's film to everybody.
[01:23:25.660 --> 01:23:27.401]  But the dad looks nothing like him!
[01:23:28.630 --> 01:23:30.031]  Take a look, right here.
[01:23:30.031 --> 01:23:32.711]  You've got the father there, the African.
[01:23:32.711 --> 01:23:36.713]  Looks nothing like Barack Obama, the President.
[01:23:36.713 --> 01:23:37.493]  Nothing!
[01:23:37.493 --> 01:23:40.134]  The Luo people are very dark.
[01:23:40.134 --> 01:23:42.494]  They have round heads, sloped foreheads.
[01:23:42.494 --> 01:23:44.315]  They're not this tall.
[01:23:44.315 --> 01:23:48.016]  You have Frank Marshall Davis, and the evidence in the film is startling.
[01:23:48.016 --> 01:23:50.297]  Even down to the age marks.
[01:23:50.857 --> 01:23:51.277]  I think?
[01:24:12.330 --> 01:24:17.035]  I know the family is CIA and stuff, but then you've got all these foreign connections.
[01:24:17.035 --> 01:24:20.338]  The truth is, he is literally the Manchurian candidate.
[01:24:20.338 --> 01:24:30.007]  Yes, and as you say, the possibility for blackmail, the possibility here for the people who do know the reality of the Obama story.
[01:24:30.927 --> 01:24:33.188]  Why he was engineered to be president.
[01:24:33.188 --> 01:24:35.810]  The globalists and the forces behind Obama.
[01:24:35.810 --> 01:24:39.131]  When this is revealed, it's going to shock the American people.
[01:24:39.131 --> 01:24:41.532]  It's not just a Manchurian candidate.
[01:24:41.532 --> 01:24:47.055]  It's somebody who was picked like they were royalty from birth and groomed to be president.
[01:24:47.055 --> 01:24:48.356]  Trained as a communist.
[01:24:49.256 --> 01:24:51.618]  All these advantages through life.
[01:24:51.618 --> 01:24:55.382]  You know, getting into Occidental while Punahouy was a drug addict.
[01:24:55.382 --> 01:24:56.783]  No grades at Occidental.
[01:24:56.783 --> 01:24:57.844]  Again, doing drugs.
[01:24:57.844 --> 01:24:59.726]  Gets into Columbia.
[01:24:59.726 --> 01:25:00.106]  How?
[01:25:00.106 --> 01:25:04.009]  With the influence of Percy Sutton and Al Monsoor.
[01:25:04.009 --> 01:25:10.415]  That's why the founders, because of all the court intrigue, trying to get people into the court from other countries in Europe.
[01:25:10.415 --> 01:25:12.938]  That's why we have a law that you've got to be natural born.
[01:25:12.938 --> 01:25:14.199]  There's reasons for all this.
[01:25:14.859 --> 01:25:16.201]  Look how they sold him!
[01:25:16.201 --> 01:25:17.062]  They even said he was Jesus!
[01:25:17.062 --> 01:25:17.563]  Remember all that?
[01:25:33.923 --> 01:25:35.005]  Absolutely.
[01:25:35.005 --> 01:25:38.870]  And now we find out that the girlfriend is a composite character.
[01:25:38.870 --> 01:25:39.851]  Read fiction.
[01:25:39.851 --> 01:25:43.876]  Oh yeah, I forgot you said that and now they admit the book is, it has composites.
[01:25:43.876 --> 01:25:45.639]  Dreams of my father.
[01:25:45.639 --> 01:25:46.981]  Oh, it's a composite.
[01:25:46.981 --> 01:25:48.222]  They admit it's a fiction.
[01:25:48.991 --> 01:26:00.957]  This woman, Ann Dunham, whether she was the mother or the caretaker, Ann Dunham, three weeks after the baby was born, was in Seattle attending night courses at the University of Washington.
[01:26:00.957 --> 01:26:02.397]  I've got the transcript.
[01:26:02.397 --> 01:26:03.798]  I've got the catalog.
[01:26:03.798 --> 01:26:06.399]  The university confirmed she had to attend those classes.
[01:26:06.399 --> 01:26:08.600]  A three-week-old baby.
[01:26:08.600 --> 01:26:14.723]  It's not credible, and it's a lie, because dreams from my father said the family's baby... I was about to say, he looks nothing like that woman.
[01:26:15.709 --> 01:26:16.329]  Exactly.
[01:26:16.329 --> 01:26:20.771]  He looks... I mean, first of all, you've got to take a look at Joel Gilbert's phone.
[01:26:20.771 --> 01:26:22.251]  They're arguing this Frank Marshall thing.
[01:26:22.251 --> 01:26:22.391]  No, no.
[01:26:22.391 --> 01:26:23.511]  He was already in contact with us.
[01:26:23.511 --> 01:26:24.512]  We're going to get him on.
[01:26:24.512 --> 01:26:25.232]  Absolutely.
[01:26:25.232 --> 01:26:30.233]  And secondly, secondly, you know, you've got to go to my... where's the birth certificate?
[01:26:30.233 --> 01:26:32.674]  Go to my... the e-book.
[01:26:32.674 --> 01:26:35.335]  Saul Alinsky, the evil genius behind Obama.
[01:26:35.335 --> 01:26:37.936]  You'll see how all of this has been planned.
[01:26:37.936 --> 01:26:38.956]  Oh, I've got to ask you this.
[01:26:38.956 --> 01:26:40.497]  It's now been confirmed.
[01:26:40.497 --> 01:26:45.058]  One month before Breitbart's death, he meets with
[01:26:46.784 --> 01:26:47.945]  One of the top weathermen.
[01:26:47.945 --> 01:26:50.128]  What do you make of that meeting?
[01:26:50.128 --> 01:26:54.513]  He had dinner at Bill Ayer's house, which he should never have done.
[01:26:54.513 --> 01:26:56.335]  I've written already several articles.
[01:26:56.335 --> 01:26:57.636]  There's more to come.
[01:26:57.636 --> 01:27:00.980]  Where I'm suspicious of Breitbart's death being a murder.
[01:27:00.980 --> 01:27:03.083]  We've already found... Oh, you already alluded to that.
[01:27:03.083 --> 01:27:04.985]  You said they got stuff that'll kill you a few months later.
[01:27:06.394 --> 01:27:07.155]  Exactly.
[01:27:07.155 --> 01:27:13.159]  And also, we interviewed the one witness, this guy Lassiter, who was on the scene walking his dog.
[01:27:13.159 --> 01:27:17.383]  His face was bright red with a white band around the forehead.
[01:27:17.383 --> 01:27:20.045]  That's not the exact symptoms of a heart attack.
[01:27:20.045 --> 01:27:21.946]  It's not a sudden heart attack.
[01:27:21.946 --> 01:27:23.548]  We've got much more coming on this.
[01:27:23.548 --> 01:27:29.613]  I'm working on a lot of leads on Breitbart's death because I remain suspicious that it was a murder.
[01:27:30.273 --> 01:27:39.497]  And the family doesn't want it investigated, and the people who took over Breitbart's Breitbart News, including Bannon and Solow, don't want it investigated.
[01:27:39.497 --> 01:27:41.378]  They've pounded me.
[01:27:41.378 --> 01:27:48.821]  Yeah, I'm not trying to be mean to them, but when this new stuff came out, which we know Breitbart was working on, they said, we're sorry, we don't believe this.
[01:27:48.821 --> 01:27:51.863]  They're acting not like operatives, but like they're scared.
[01:27:51.863 --> 01:27:53.864]  And I'm an investigative reporter.
[01:27:53.864 --> 01:27:55.865]  Breitbart and I talked at CPAC.
[01:27:55.865 --> 01:27:58.806]  Let me ask you, are they acting scared or like operatives?
[01:27:59.286 --> 01:28:04.951]  Well, they're acting like they don't want an investigation, and I can't understand why we don't want the truth here.
[01:28:04.951 --> 01:28:16.241]  Well, when you preface 16 years of the publicist saying he's born in Kenya like, oh, this is a conspiracy theory, something's going on, and I'm glad you brought that up.
[01:28:17.161 --> 01:28:21.103]  And look, if you don't want something investigated, why?
[01:28:21.103 --> 01:28:22.464]  I want it investigated.
[01:28:22.464 --> 01:28:23.304]  I want the truth here.
[01:28:23.304 --> 01:28:24.445]  I don't want it just covered up.
[01:28:24.445 --> 01:28:26.566]  You know, let's get down to the facts.
[01:28:26.566 --> 01:28:28.867]  It's the same thing with Barack Obama.
[01:28:28.867 --> 01:28:33.409]  I'm convinced that Barack Obama is rapidly becoming damaged goods.
[01:28:33.409 --> 01:28:33.889]  Stay there.
[01:28:33.889 --> 01:28:34.309]  You know what?
[01:28:34.309 --> 01:28:35.090]  I know you've got to go.
[01:28:35.090 --> 01:28:37.851]  You're in a hotel about to speak, but can you do 10 more minutes?
[01:28:38.410 --> 01:28:39.912]  Yeah, so I'll do 10 more minutes.
[01:28:39.912 --> 01:28:47.380]  Okay, fantastic, because I want to come back and I want to get into the fact that he is damaged goods and what are they planning?
[01:28:47.380 --> 01:28:50.483]  What are some of the tricks you think they may have up their sleeve?
[01:28:50.483 --> 01:28:52.886]  Our guest is Dr. Jerome Corsi.
[01:28:52.886 --> 01:28:54.808]  He's author of Where's the Birth Certificate?
[01:28:54.808 --> 01:28:56.330]  I'm Alex Jones of InfoWars.com.
[01:29:02.588 --> 01:29:06.549]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[01:29:06.549 --> 01:29:15.411]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[01:29:15.411 --> 01:29:20.052]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[01:29:20.052 --> 01:29:30.854]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[01:29:31.494 --> 01:29:41.017]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[01:29:41.017 --> 01:29:46.439]  Very easy to follow, step-by-step instructions are provided, making production fast and simple.
[01:29:46.439 --> 01:29:53.922]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[01:29:53.922 --> 01:29:56.683]  That's www.silverlungs.com.
[01:30:00.555 --> 01:30:06.056]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[01:30:06.056 --> 01:30:08.457]  Start purifying your water with ProPure.
[01:30:08.457 --> 01:30:14.178]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure.
[01:30:14.178 --> 01:30:17.559]  And it's available discounted at InfoWars.com.
[01:30:17.559 --> 01:30:21.000]  Its filters are silver impregnated to prevent bacterial growth.
[01:30:21.000 --> 01:30:22.681]  There's no priming required.
[01:30:22.681 --> 01:30:24.961]  It's NSF-42 certified.
[01:30:24.961 --> 01:30:27.462]  Optional fluoride filters can reduce fluoride up to 95%.
[01:30:28.542 --> 01:30:30.063]  Easy to set up and use.
[01:30:30.063 --> 01:30:31.483]  Doesn't require electricity.
[01:30:31.483 --> 01:30:34.645]  Purify water from lakes, streams, ponds, and wells.
[01:30:34.645 --> 01:30:38.027]  This filter system leaves in beneficial minerals, which is key.
[01:30:38.027 --> 01:30:42.169]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[01:30:42.169 --> 01:30:44.910]  ProPure is the best gravity-fed filter out there.
[01:30:44.910 --> 01:30:46.491]  It's what my family uses.
[01:30:46.491 --> 01:30:49.792]  Infowars.com already has the lowest price on ProPure.
[01:30:49.792 --> 01:30:55.055]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[01:30:55.615 --> 01:30:59.237]  You can also call to order 888-253-3139.
[01:30:59.237 --> 01:31:01.719]  Hi, this is Alex Jones.
[01:31:01.719 --> 01:31:07.303]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:31:07.303 --> 01:31:12.326]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
