[00:00:00.049 --> 00:00:00.650]  We've got it!
[01:10:16.948 --> 01:10:29.383]  I talked about this five years ago from Texas sheriffs I had on, and since then it's actually been in California, Arizona, and Texas papers that yes, Mexican aircraft are allowed in U.S.
[01:10:29.443 --> 01:10:29.883]  airspace.
[01:10:29.923 --> 01:10:31.045]  In fact, guys, type that in.
[01:10:32.206 --> 01:10:33.407]  Mexican aircraft
[01:10:34.108 --> 01:10:35.629]  Mexican Army and Navy aircraft.
[01:10:35.649 --> 01:10:40.312]  Just say Mexican, Mexican military aircraft now allowed to operate inside US.
[01:10:40.332 --> 01:10:42.433]  You'll get CBS, Associated Press.
[01:10:42.474 --> 01:10:43.374]  But it's not a big issue.
[01:10:43.894 --> 01:10:45.355]  It's kind of like hidden in plain view.
[01:10:45.455 --> 01:10:53.381]  And yes, I talked to a Marine officer, I'll just leave it at that, two weeks ago, who said, Alex, I can't tell you because the tales are classified.
[01:10:53.721 --> 01:10:56.323]  He said, well, he said what you just said.
[01:10:56.383 --> 01:10:59.925]  Tell us, tell us about the thousands of Mexican troops inside the US.
[01:11:00.501 --> 01:11:16.774]  No, no, it's not exactly that, Alex, and I'm sorry if I misrepresented myself, but it's contracted civilian aircraft moving Mexican nationals, what I believe, out of detention facilities all across the United States down to the border areas to be moved down into Mexico.
[01:11:16.914 --> 01:11:18.235]  Oh, no, I know about that.
[01:11:18.275 --> 01:11:19.536]  That's on record, too.
[01:11:19.556 --> 01:11:20.357]  Go ahead.
[01:11:20.497 --> 01:11:20.997]  Yeah, sure.
[01:11:21.117 --> 01:11:26.882]  So what I'm fairly assuming, sir, is that these holding facilities, they're opening up.
[01:11:27.409 --> 01:11:31.494]  These beds are opening up and as you know and I know these jails aren't built to be empty.
[01:11:41.849 --> 01:11:43.850]  Oh yes, I've seen everything you've made here.
[01:12:00.438 --> 01:12:09.740]  Both congressmen say to them, tell us about Rex 84 and the plan to put first immigrants as a cover in the secret camps and then citizens.
[01:12:10.161 --> 01:12:12.081]  And they go, we can't talk about it, national security.
[01:12:12.321 --> 01:12:14.902]  But the point is, is that's exactly how they plan to sell it.
[01:12:14.942 --> 01:12:15.362]  You're right.
[01:12:15.702 --> 01:12:23.404]  They're activating these facilities everywhere and priming them and training the camp guards on the illegals.
[01:12:23.444 --> 01:12:23.744]  Go ahead.
[01:12:24.727 --> 01:12:28.690]  Yeah, so anyway, I just wanted to let you know that, you know, and these jets are coming in every day.
[01:12:28.710 --> 01:12:30.271]  Like I said, they've talked to the pilots.
[01:12:30.311 --> 01:12:34.715]  They said they're moving as many as 2,000 people out of these facilities every single day now.
[01:12:35.235 --> 01:12:38.838]  So that means that they're probably opening them up now at quite a pace.
[01:12:38.858 --> 01:12:40.799]  They've got a giant one down by Corpus Christi.
[01:12:40.819 --> 01:12:44.842]  In fact, when you're driving down 37 towards Corpus Christi, look out to your left.
[01:12:45.082 --> 01:12:46.864]  You'll see these giant sports stadiums.
[01:12:47.644 --> 01:12:49.586]  Richard Reeves went down there with me a few months ago.
[01:12:51.530 --> 01:12:54.092]  Well then there's also another one down on South Padre as well.
[01:12:54.492 --> 01:12:55.613]  And he's like, I think that's a prison.
[01:12:55.633 --> 01:12:56.334]  I think that's a prison.
[01:12:56.354 --> 01:13:02.259]  Well, he went over there, we talked to locals, and then later just found out there's a whole archipelago along the coast of these.
[01:13:02.279 --> 01:13:04.681]  Thank you so much for the call and the information, sir.
[01:13:04.721 --> 01:13:05.401]  Be safe out there.
[01:13:06.102 --> 01:13:07.063]  Jim in Missouri.
[01:13:07.123 --> 01:13:08.204]  Police or military, Jim?
[01:13:09.385 --> 01:13:10.345]  Yes, Alex.
[01:13:10.586 --> 01:13:12.927]  If you can hear me, my name is Jim from St.
[01:13:12.967 --> 01:13:13.228]  Louis.
[01:13:13.248 --> 01:13:14.148]  I'm a police officer.
[01:13:14.889 --> 01:13:16.731]  I have a pretty unique voice, so I'm trying to hide it.
[01:13:16.751 --> 01:13:17.791]  So I hope I'm coming in clear.
[01:13:20.145 --> 01:13:22.787]  This is all the KSDK footage, but I have some more news to tell you.
[01:13:23.268 --> 01:13:31.656]  We have been told that in October, we need to be prepared for an event.
[01:13:32.016 --> 01:13:40.344]  I don't know much, but I just know it's supposed to be an event that will require us to use air and ground support in conjunction with the local military here.
[01:13:40.804 --> 01:13:45.008]  We've been practicing pretty much safeguarding
[01:13:46.570 --> 01:13:48.951]  Pretty more affluent areas in St.
[01:13:48.971 --> 01:13:49.671]  Louis, Missouri.
[01:13:49.871 --> 01:13:51.772]  Let me stop you, I'm going to hold you over.
[01:13:52.072 --> 01:13:53.532]  You sound pretty freaked out, sir.
[01:13:55.193 --> 01:14:02.235]  Alex, I've been a listener for yours for a while, but it's basically been coming down the pike pretty rapidly the last couple months.
[01:14:03.096 --> 01:14:06.077]  Basically, I can't really say too much.
[01:14:06.117 --> 01:14:08.517]  Like I said, I think they'll hear my voice.
[01:14:08.537 --> 01:14:09.458]  I have a very unique voice.
[01:14:09.658 --> 01:14:15.280]  The military's basically been running drills with us, Alex, for about a month and a half now.
[01:14:17.626 --> 01:14:28.454]  I think, uh, I don't know what's going to be the event in October, Alex, but if they ask me to confiscate guns, I don't know what's going to happen because a lot of people in my department, they're asleep, Alex.
[01:14:28.474 --> 01:14:30.455]  They still, they hate Obama.
[01:14:30.495 --> 01:14:32.557]  They're still in the left-right paradigm.
[01:14:33.478 --> 01:14:35.839]  It's scary, Alex.
[01:14:35.899 --> 01:14:39.102]  Do they have any idea how dangerous it's going to be to try to take guns?
[01:14:40.077 --> 01:14:49.464]  Alex, I know, trust me, this is Missouri, and there's some good ol' boys up here, but these good ol' boys are, you know, they think Obama's a Muslim terrorist and they don't understand people are bought and paid for.
[01:14:49.904 --> 01:14:56.490]  I try to explain it to people when I do even regular... Let me not interrupt you, just go back to what you just said.
[01:14:56.791 --> 01:15:02.316]  You said they're being told in October be prepared to use air and ground army forces against the American people.
[01:15:02.476 --> 01:15:05.619]  And when they say air support, I don't understand what that means.
[01:15:05.679 --> 01:15:10.924]  I don't know if that means they're going to just openly have drones flying or what, but I don't know what kind of support... No, no, no, no, that's it.
[01:15:10.964 --> 01:15:14.828]  That's why the Secretary of the Army is in the news saying airstrikes.
[01:15:15.408 --> 01:15:18.469]  I can't believe that Channel 5 is actually putting this on.
[01:15:18.569 --> 01:15:22.690]  Can you please upload that video on YouTube or into4wars.com so we can see this?
[01:15:22.790 --> 01:15:23.931]  Well, listen, here's the deal, sir.
[01:15:24.191 --> 01:15:25.011]  Here's the problem.
[01:15:25.051 --> 01:15:26.851]  They take it down whenever we post it.
[01:15:26.911 --> 01:15:28.652]  Normally, they would leave something like that up.
[01:15:28.672 --> 01:15:29.852]  They don't want this being seen.
[01:15:29.872 --> 01:15:32.113]  This wasn't supposed to get on the news.
[01:15:32.333 --> 01:15:34.754]  Did you see how freaked out the Army commander was?
[01:15:35.934 --> 01:15:40.475]  You don't have to explain it to me, I know, but real quick, Alex, I'll just hold up.
[01:15:40.575 --> 01:15:41.235]  No, stay there.
[01:15:41.315 --> 01:15:44.256]  I understand you're trying to disguise your voice, but it's alright.
[01:15:44.536 --> 01:15:45.376]  This is America!
[01:15:45.756 --> 01:15:48.777]  We're allowed to say we don't want the army attacking us.
[01:15:48.837 --> 01:15:52.998]  Listen, we could back this off if we get the news out about it ahead of time.
[01:15:53.918 --> 01:15:59.700]  Imagine if they were planting a false flag in Missouri, now they're not going to be able to do that now because of us talking about this.
[01:16:02.366 --> 01:16:06.609]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:16:06.909 --> 01:16:07.529]  Number one.
[01:16:07.830 --> 01:16:10.972]  New climate legislation could easily double or triple your electric bill.
[01:16:11.252 --> 01:16:11.832]  Number two.
[01:16:12.113 --> 01:16:16.676]  Our new energy czar wants to control how much power your electric company allows you to have.
[01:16:17.016 --> 01:16:17.456]  It's true.
[01:16:17.756 --> 01:16:22.319]  Total government control of electricity in the name of smart grid technology is coming.
[01:16:22.620 --> 01:16:23.160]  Number three.
[01:16:23.460 --> 01:16:26.742]  In some areas of the country, the power grid is dangerously overloaded.
[01:16:27.022 --> 01:16:30.725]  And now, new socialist legislation is only compounding the problem.
[01:16:30.925 --> 01:16:31.486]  Number 4.
[01:16:31.726 --> 01:16:34.088]  Dangerous weather is always a threat to local grids.
[01:16:34.489 --> 01:16:37.872]  Every year, thousands of families lose their power from weather-related outages.
[01:16:38.173 --> 01:16:38.713]  Number 5.
[01:16:38.973 --> 01:16:42.898]  A solar power generator provides powerful backup, insurance, and peace of mind.
[01:16:43.118 --> 01:16:47.883]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:16:48.163 --> 01:16:52.190]  You can get more information at www.mysolarbackup.com.
[01:16:52.330 --> 01:16:53.893]  That's mysolarbackup.com.
[01:16:54.113 --> 01:16:56.217]  Remember, the government doesn't own the sun.
[01:16:56.377 --> 01:16:58.721]  So go to mysolarbackup.com or call 1-877-327-0365.
[01:17:04.258 --> 01:17:11.944]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[01:17:12.384 --> 01:17:16.007]  Alex and his staff have used these pure soap products for years.
[01:17:16.447 --> 01:17:23.272]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[01:17:23.753 --> 01:17:26.575]  See them on the web at 5starsoap.com.
[01:17:26.775 --> 01:17:31.277]  Or call 800-340-7091 for a free catalog.
[01:17:31.617 --> 01:17:37.259]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[01:17:37.539 --> 01:17:42.660]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[01:17:42.961 --> 01:17:44.581]  This is an amazing deal.
[01:17:44.941 --> 01:17:49.543]  You can save thousands of dollars and you will love the way real soap makes you feel.
[01:17:50.163 --> 01:17:52.344]  See them on the web at 5starsoap.com.
[01:17:52.904 --> 01:17:54.408]  Or call 800-340-7091 for a free catalog.
[01:18:01.823 --> 01:18:05.967]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[01:18:06.207 --> 01:18:09.910]  As a listener, you know why you need to have a supply of the best durable food on the planet.
[01:18:10.231 --> 01:18:13.914]  Every day, we document the attempts to take control of our lives.
[01:18:14.254 --> 01:18:18.358]  But there's one thing we can all control, your greatest dependency, food.
[01:18:18.738 --> 01:18:26.065]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[01:18:26.265 --> 01:18:27.466]  This food is nutrient-dense,
[01:18:27.546 --> 01:18:27.926]  I'm good.
[01:18:44.059 --> 01:18:45.720]  You just can't afford to ignore this.
[01:18:46.040 --> 01:18:51.442]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[01:18:51.682 --> 01:18:53.042]  Don't let this offer pass you by.
[01:18:53.202 --> 01:18:55.223]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[01:18:55.263 --> 01:18:56.503]  More the best, for less guaranteed.
[01:19:01.585 --> 01:19:06.826]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[01:19:07.086 --> 01:19:09.287]  Start purifying your water with ProPure.
[01:19:09.487 --> 01:19:14.988]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure.
[01:19:15.208 --> 01:19:18.429]  And it's available discounted at InfoWars.com.
[01:19:18.589 --> 01:19:21.769]  Its filters are silver impregnated to prevent bacterial growth.
[01:19:22.049 --> 01:19:23.470]  There's no priming required.
[01:19:23.710 --> 01:19:25.770]  It's NSF-42 certified.
[01:19:25.990 --> 01:19:28.471]  Optional fluoride filters can reduce fluoride up to 95%.
[01:19:29.571 --> 01:19:30.912]  Easy to set up and use.
[01:19:31.092 --> 01:19:32.393]  Doesn't require electricity.
[01:19:32.513 --> 01:19:35.374]  Purify water from lakes, streams, ponds, and wells.
[01:19:35.675 --> 01:19:38.856]  This filter system leaves in beneficial minerals, which is key.
[01:19:39.056 --> 01:19:40.837]  Save money by not buying bottled water.
[01:19:40.977 --> 01:19:43.039]  And avoid BPA that leaches from the plastic.
[01:19:43.199 --> 01:19:45.800]  ProPure is the best gravity-fed filter out there.
[01:19:45.940 --> 01:19:47.261]  It's what my family uses.
[01:19:47.521 --> 01:19:50.723]  Infowars.com already has the lowest price on ProPure.
[01:19:50.823 --> 01:19:56.466]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[01:19:56.666 --> 01:19:57.807]  You can also call to order.
[01:19:57.927 --> 01:19:58.828]  888-253-3139.
[01:19:59.189 --> 01:20:04.377]  Coast to Coast.
[01:20:04.757 --> 01:20:06.079]  Direct from Austin.
[01:20:06.801 --> 01:20:10.025]  You're listening to the Alex Jones Broadcasting Network.
[01:20:17.605 --> 01:20:24.008]  We've got a big, long line of police and military that want to get on air, so I'm going to have to shut up and go to their calls.
[01:20:24.468 --> 01:20:32.052]  We're about to go back to Jim in Missouri, but since I mentioned this earlier, guys, put it on screen, the article about the Mexican troops cleared to operate inside the U.S.
[01:20:32.653 --> 01:20:33.573]  out of the Houston Chronicle.
[01:20:33.613 --> 01:20:35.534]  I want to show people that, because folks aren't going to believe that.
[01:20:35.554 --> 01:20:40.497]  If you're a radio listener and you're like, show us, we're also streaming video at InfoWars.com.
[01:20:40.997 --> 01:20:42.258]  But the guys did find the article.
[01:20:42.278 --> 01:20:42.718]  There it is.
[01:20:43.138 --> 01:20:44.319]  Cron.com.
[01:20:45.379 --> 01:20:47.420]  Mexican military flies over South Texas.
[01:20:47.861 --> 01:20:48.821]  Officials say U.S.
[01:20:48.861 --> 01:20:51.022]  has cleared flights in war on drug trafficking.
[01:20:51.623 --> 01:20:52.063]  Uh, yeah.
[01:20:52.103 --> 01:20:54.765]  And then you can find the other articles where they're pulling triggers.
[01:20:55.585 --> 01:21:00.108]  Around a thousand Mexican troops operate a week, according to the intel I got, in Texas alone.
[01:21:00.948 --> 01:21:03.410]  Remember when I told you they sent Mexican troops to Katrina?
[01:21:03.430 --> 01:21:05.791]  People are like, well, that's just to help.
[01:21:05.891 --> 01:21:07.012]  It's to acclimate you.
[01:21:08.533 --> 01:21:19.300]  I've been to the urban warfare drills 10 years ago, 12 years ago on footage where they have troops from over 10 different nations training to confiscate our guns and admitting it's in the U.S.
[01:21:20.563 --> 01:21:25.206]  And then the Marine Corps commander runs over and screams at me and threatens to have me arrested because I got it on tape.
[01:21:25.526 --> 01:21:29.008]  They wanted to leave me around in some staged deal and lie to me, but it didn't matter.
[01:21:29.048 --> 01:21:29.969]  I snuck around.
[01:21:30.249 --> 01:21:34.011]  When they kicked me out of that urban drill, I just sent in other people as reporters.
[01:21:34.551 --> 01:21:35.412]  I mean, we got the footage.
[01:21:35.452 --> 01:21:36.092]  It's called Police Day 2000.
[01:21:36.132 --> 01:21:37.373]  You're not going to stop us.
[01:21:37.893 --> 01:21:45.278]  Now, we had you on hold, Jim, or we were going to break, so they put you on mute, but they could hear you talking because they had you faded down, but you were in the studio.
[01:21:45.538 --> 01:21:46.559]  And I said, this is America.
[01:21:47.459 --> 01:22:03.082]  It's okay Jim for you to speak out about this and you said no, this isn't America off-air You've got the floor for another minute Tell folks specifically what they're got you training with the military with these hundreds of large armored vehicles for Well, like I said, I'm in st.
[01:22:03.102 --> 01:22:04.043]  Louis, Missouri Alex.
[01:22:04.343 --> 01:22:15.065]  I'm trying to be quick All we've been told through whispers basically in the you know in the locker room is that in October
[01:22:15.959 --> 01:22:17.299]  And it's pretty much locked in.
[01:22:17.319 --> 01:22:19.620]  I don't know if there's going to be another debate here in St.
[01:22:19.640 --> 01:22:29.902]  Louis like there was four years ago or what, but it's pretty much locked in that we're going to be basically the guards of the more affluent neighborhoods here in St.
[01:22:29.922 --> 01:22:30.242]  Louis.
[01:22:30.462 --> 01:22:35.924]  A lot of the lawyers and doctors and professors seem to, you know, live in certain parts of St.
[01:22:35.964 --> 01:22:41.665]  Louis and the surrounding counties, and we've been basically patrolling and practicing
[01:22:42.345 --> 01:22:42.625]  Okay.
[01:22:56.417 --> 01:22:59.739]  Well, I don't want to say too much more, but basically Alex... No, go ahead.
[01:23:00.019 --> 01:23:04.602]  You're trying... Listen, the criminal globalist collaborators live in certain areas.
[01:23:05.123 --> 01:23:06.704]  They know people have made lists.
[01:23:06.824 --> 01:23:08.505]  We haven't, but people have been making lists.
[01:23:08.545 --> 01:23:11.007]  The military, retired folks, know who the enemy is.
[01:23:11.387 --> 01:23:18.591]  And yes, this is the plan to go into a fortress mode when the globalists try to start World War III and then go after domestic groups.
[01:23:19.032 --> 01:23:21.974]  When the globalists start the civil war and start trying to arrest people,
[01:23:22.654 --> 01:23:28.579]  Then folks are going to be forced to fight and they're not just going to wait in their houses and they're not going to just go out and go after police and military.
[01:23:28.939 --> 01:23:32.041]  They're going to try to go after the people that run this because they're smart.
[01:23:32.282 --> 01:23:33.182]  Oh, that's what you're being told?
[01:23:33.643 --> 01:23:35.664]  Yeah, that's basically it.
[01:23:35.824 --> 01:23:39.287]  And Alex, it's pretty, I mean, it's pretty much wide open here in St.
[01:23:39.327 --> 01:23:43.150]  Louis, but I haven't, I haven't been involved in any drills with actual tanks.
[01:23:43.170 --> 01:23:48.334]  So I, so I asked you earlier if you could upload that video, but real quick, before you let me go, I know you got other callers.
[01:23:48.915 --> 01:23:48.955]  Um,
[01:23:49.659 --> 01:23:51.060]  People, Alex Jones is real.
[01:23:51.380 --> 01:23:51.680]  Alright?
[01:23:51.921 --> 01:23:54.903]  I know a lot of people out there on the internet are saying he's a shill, but he's real.
[01:23:54.923 --> 01:24:06.770]  You can go to YouTube right now, type in Classic Alex Jones 2000, and you'll see video clips of this man from the 90s, when he was in his early 20s, speaking against the New World Order.
[01:24:06.991 --> 01:24:10.173]  And America, this country's dead, Alex.
[01:24:10.253 --> 01:24:10.733]  It's gone.
[01:24:12.194 --> 01:24:13.215]  Oh, Larry, he hung up.
[01:24:14.335 --> 01:24:17.018]  Listen, it doesn't mean it's going to happen, okay?
[01:24:17.718 --> 01:24:19.240]  It doesn't mean it's going to happen.
[01:24:19.280 --> 01:24:23.764]  But yes, the professors and people are actually the technicians that come up with all this.
[01:24:24.205 --> 01:24:28.609]  You go to a CFR meeting or any of it, you watch it on C-SPAN, they're the ones come up with all the plans.
[01:24:29.089 --> 01:24:33.994]  And you've got the bankers and others, and you've got the elite in every city who you know to stay in one area.
[01:24:34.835 --> 01:24:37.056]  There's other rich areas, but they always stay in one little area.
[01:24:37.337 --> 01:24:45.882]  That's because they run the COG plan for their area, and they plan on having the police protect them while they've got the police and military out trying to arrest us.
[01:24:47.282 --> 01:24:49.023]  Because they know the checkmate move.
[01:24:49.324 --> 01:24:50.905]  They know they're fighting a bunch of veterans.
[01:24:51.225 --> 01:24:53.186]  They know they're fighting former intelligence people.
[01:24:53.446 --> 01:25:00.010]  They know they're fighting people that understand how to resist an authoritarian, globalist, basically communist takeover.
[01:25:01.454 --> 01:25:01.774]  Okay?
[01:25:02.535 --> 01:25:05.518]  And again, communists aren't the little dirty commie running around the street.
[01:25:05.538 --> 01:25:06.179]  That's their front.
[01:25:06.459 --> 01:25:10.283]  The megabanks fund communism to wreck a country and take it over.
[01:25:11.004 --> 01:25:14.968]  Communism, fascism, fascisms, you know, corporations controlling government.
[01:25:16.249 --> 01:25:17.711]  Communism ends up being the same thing.
[01:25:18.031 --> 01:25:20.514]  They claim it's two different things academically, but it's not.
[01:25:21.695 --> 01:25:23.497]  Carol Quigley in Tragedy and Hope, by the way.
[01:25:26.263 --> 01:25:33.769]  I always have these mental midgets send me emails and comments saying, oh, Alex, communism and fascism are diametrically opposed.
[01:25:34.069 --> 01:25:34.349]  Really?
[01:25:34.429 --> 01:25:44.757]  Head of Georgetown Political Science, Bill Clinton's mentor, official historian for the Bilderberg Group, and the CIA says they control communism and fascism, and gives all the quotes on it.
[01:25:45.298 --> 01:25:46.198]  It's 1,400 pages.
[01:25:46.218 --> 01:25:50.622]  I don't know if you're going to read that or want to understand it, but they want authoritarianism.
[01:25:51.022 --> 01:25:52.984]  And they learn to give you a bunch of different flavors of it.
[01:25:53.973 --> 01:25:57.234]  I mean, it's kind of like there's five, six different ways to cook a pork chop.
[01:25:57.654 --> 01:25:58.675]  It's still a pork chop.
[01:25:58.995 --> 01:26:02.216]  So yeah, there's differences, but the meat and potatoes of it are not.
[01:26:02.496 --> 01:26:07.518]  Checkpoints, torture rooms, cameras, insiders controlling monopolies.
[01:26:07.658 --> 01:26:08.919]  All right, let's go back to your calls.
[01:26:10.299 --> 01:26:11.200]  Who's up next here?
[01:26:11.540 --> 01:26:13.961]  Let's talk to Robin in Tennessee.
[01:26:13.981 --> 01:26:15.361]  Are you a police officer or military?
[01:26:16.422 --> 01:26:17.482]  No, I'm just a citizen.
[01:26:17.882 --> 01:26:19.803]  Okay, real fast, is it just police and military?
[01:26:21.640 --> 01:26:22.641]  I'm from North Carolina.
[01:26:22.661 --> 01:26:25.502]  My husband was a concealed carry person and he taught that.
[01:26:25.962 --> 01:26:31.764]  We had proven video that they had gone around to bunkers where they had put airplanes.
[01:26:32.444 --> 01:26:38.966]  And even old buildings, when you see a building that has a fence on it, if the wire, the barbed wire is linked,
[01:26:40.511 --> 01:26:41.091]  No, no, no, ma'am.
[01:26:41.151 --> 01:26:41.491]  I hear you.
[01:26:41.531 --> 01:26:41.851]  I hear you.
[01:26:41.871 --> 01:26:45.714]  They have casuals of drones, helicopters with knockout gas.
[01:26:46.134 --> 01:26:48.375]  Sunshine Project got that declassified in 2000.
[01:26:48.816 --> 01:26:54.439]  The Marine Corps threatened them and had it reclassified, but they didn't get it off the Google Wayback Machine.
[01:26:54.459 --> 01:26:55.800]  It's on Google Archive.
[01:26:56.300 --> 01:27:03.784]  And they've got helicopters strategically around every population center with opium knockout gases, which kill over 10% of people when they use it.
[01:27:04.024 --> 01:27:06.465]  People have car wrecks, knock their heads, fires get started.
[01:27:06.725 --> 01:27:08.546]  But they've also got VX nerve gas.
[01:27:08.946 --> 01:27:10.927]  But now they've moved away from troops.
[01:27:11.287 --> 01:27:13.068]  Folks, I'm not just saying this.
[01:27:13.608 --> 01:27:16.550]  The NSA is pulling their hair out right now that I'm even talking about this.
[01:27:17.070 --> 01:27:21.152]  They've got VX nerve gas in drone-controlled helicopters.
[01:27:21.872 --> 01:27:24.354]  I'm probably, I can't believe I can get away with this.
[01:27:24.595 --> 01:27:25.015]  You know why?
[01:27:25.055 --> 01:27:26.957]  Because there's so much freedom still left.
[01:27:27.337 --> 01:27:33.723]  You've got these criminals that have taken over the central systems, but they've got to get the police and military to carry out the crimes for them.
[01:27:33.963 --> 01:27:38.327]  And they've got to put out an official story that everybody will follow to carry out the tyranny.
[01:27:38.567 --> 01:27:43.391]  That's why Jack Bauer tortured people, was to get you to accept kidnapping and torturing people.
[01:27:43.772 --> 01:27:44.492]  But it didn't sell.
[01:27:45.373 --> 01:27:45.933]  You understand?
[01:27:46.133 --> 01:27:47.813]  They've been selling you evil.
[01:27:48.234 --> 01:27:50.194]  Let's start a call and then come back to him after break.
[01:27:50.894 --> 01:27:53.734]  Let's talk to Andy in North Carolina, then Tim and Jason.
[01:27:54.035 --> 01:27:54.755]  Andy, you're on the air.
[01:27:54.775 --> 01:27:55.035]  Go ahead.
[01:27:55.075 --> 01:27:56.515]  Police or military?
[01:27:56.655 --> 01:27:57.235]  Military.
[01:27:57.315 --> 01:27:57.875]  Marine Corps.
[01:27:58.015 --> 01:27:58.695]  Going fast.
[01:27:59.696 --> 01:28:00.916]  Forty-one years old.
[01:28:01.296 --> 01:28:04.796]  Been on the New World Order since I ran Contra.
[01:28:04.836 --> 01:28:08.597]  Wrote an A-plus paper in honors English about it.
[01:28:10.077 --> 01:28:11.558]  It's really scary, Alex.
[01:28:11.638 --> 01:28:13.238]  The Green Man.
[01:28:13.900 --> 01:28:18.085]  When they painted Jesus green, that's the green man of the Wicca religion.
[01:28:18.265 --> 01:28:22.591]  You need to get Jordan Maxwell on to talk about that.
[01:28:23.211 --> 01:28:26.596]  I saw a remote control aircraft in 1991.
[01:28:29.219 --> 01:28:31.201]  Uh, in Nellis Air Force Base.
[01:28:31.602 --> 01:28:32.963]  I was in the Marine Corps Air Wing.
[01:28:33.423 --> 01:28:34.224]  Saw that.
[01:28:34.304 --> 01:28:35.605]  I'll tell you what, stay there, stay there.
[01:28:35.625 --> 01:28:36.926]  I'm gonna come right back to you after break.
[01:28:37.327 --> 01:28:40.250]  He's talking about Rio de Janeiro, the big global government.
[01:28:40.290 --> 01:28:41.130]  Yeah, yeah.
[01:28:41.150 --> 01:28:43.913]  But I mean, other listeners who didn't, they're like, green Jesus.
[01:28:44.473 --> 01:28:45.414]  Uh, in fact... No.
[01:28:46.275 --> 01:28:46.856]  We're going to go to break.
[01:28:46.876 --> 01:28:47.997]  We're going to come right back to you, sir.
[01:28:48.017 --> 01:28:49.158]  Put him on hold, okay guys?
[01:28:49.859 --> 01:28:52.803]  Alright, we're going to go to break and then we're going to come back.
[01:28:53.223 --> 01:28:59.871]  Yeah, at the big UN meeting, they put lights on Jesus to turn him green and then said, he is your Lord and Savior, the green Jesus.
[01:29:00.391 --> 01:29:00.872]  I'm not kidding.
[01:29:04.446 --> 01:29:12.113]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[01:29:12.553 --> 01:29:16.177]  Alex and his staff have used these pure soap products for years.
[01:29:16.637 --> 01:29:23.443]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[01:29:23.923 --> 01:29:26.426]  See them on the web at 5starsoap.com.
[01:29:26.946 --> 01:29:31.449]  Or call 800-340-7091 for a free catalog.
[01:29:31.789 --> 01:29:37.453]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[01:29:37.733 --> 01:29:42.836]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[01:29:43.136 --> 01:29:44.757]  This is an amazing deal.
[01:29:45.118 --> 01:29:49.741]  You can save thousands of dollars and you will love the way real soap makes you feel.
[01:29:50.361 --> 01:29:53.503]  See them on the web at 5starsoap.com or call
[01:29:54.023 --> 01:29:57.984]  800-340-7091 for a free catalog.
[01:30:02.165 --> 01:30:03.425]  Hi, this is Alex Jones.
[01:30:03.465 --> 01:30:08.806]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:30:09.046 --> 01:30:13.687]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[01:30:14.067 --> 01:30:19.088]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[01:30:19.648 --> 01:30:24.331]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:30:24.872 --> 01:30:26.793]  They call it a Survival Seed Bank.
[01:30:27.173 --> 01:30:31.776]  And it can produce an endless supply of nutrient-dense food for you and your family.
[01:30:31.976 --> 01:30:32.877]  And here's the best part.
[01:30:33.097 --> 01:30:35.859]  These seeds have not been genetically modified in any way.
[01:30:36.179 --> 01:30:39.461]  And you actually get enough seeds to plant a full acre crisis garden.
[01:30:39.781 --> 01:30:42.623]  So visit them today at SurvivalSeedBank.com.
[01:30:42.984 --> 01:30:44.865]  That's SurvivalSeedBank.com.
[01:30:45.205 --> 01:30:46.126]  Or give them a call at 877-327-0365.
[01:30:49.748 --> 01:30:50.769]  That's 877-327-0365.
[01:30:51.189 --> 01:30:58.514]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[01:30:58.814 --> 01:31:01.276]  This is Alex Jones for survivalseedbank.com.
