[00:00:00.684 --> 00:00:01.005]  I got it.
[01:16:57.193 --> 01:16:59.916]  Get your subscription or buy the magazines in bulk today.
[01:17:00.962 --> 01:17:11.567]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[01:17:11.567 --> 01:17:22.732]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[01:17:22.732 --> 01:17:30.036]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[01:17:30.276 --> 01:17:37.480]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[01:17:37.480 --> 01:17:42.263]  This product was designed to be an invaluable part of your vital preparations.
[01:17:42.263 --> 01:17:59.634]  For a detailed report on the differences between ionic silver, colloidal silver, and what most silver solution manufacturers are producing, please visit our website at www.silverlungs.com for more information on why you should be producing your own silver solutions right from your home, forever.
[01:18:01.550 --> 01:18:07.135]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[01:18:07.135 --> 01:18:10.398]  The most devastating economic condition since the Great Depression.
[01:18:10.398 --> 01:18:13.200]  America's worst drought in agricultural history.
[01:18:13.200 --> 01:18:16.223]  And now the economic results of the presidential election.
[01:18:16.223 --> 01:18:19.746]  This perfect storm is a huge threat to everyone's food supply.
[01:18:19.746 --> 01:18:24.930]  I just doubled down and got even more supplies from eFoodsDirect, and I recommend you do the same.
[01:18:24.930 --> 01:18:27.032]  It's time to get your own supply from eFoodsDirect.
[01:18:27.592 --> 01:18:31.255]  I know I won't be standing in a bread line trading my freedom for food.
[01:18:31.255 --> 01:18:33.356]  I'm taking control of my future.
[01:18:33.356 --> 01:18:35.017]  And you're nuts if you don't do the same.
[01:18:35.017 --> 01:18:38.940]  Go to efoodsdirect.com forward slash Alex to find the specials.
[01:18:38.940 --> 01:18:41.382]  And you can start with a holiday gift pack that's normally $80, now under $50.
[01:18:43.343 --> 01:18:45.866]  Remember, I can warn you but I can't feed you.
[01:18:45.866 --> 01:18:51.333]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[01:18:51.333 --> 01:18:54.477]  Would you rather prepare six months too early or one day too late?
[01:18:54.477 --> 01:18:58.963]  409-5633 or efoodsdirect.com forward slash Alex.
[01:19:00.356 --> 01:19:06.140]  Sodium fluoride in the body reduces IQ and increases cancers.
[01:19:06.140 --> 01:19:13.504]  Unfortunately, fluoride and its derivatives are only one of hundreds of toxins being added to our drinking water.
[01:19:13.504 --> 01:19:16.246]  We're battling the globalist on so many fronts.
[01:19:16.246 --> 01:19:22.290]  Health is an area where we can all take control of our lives and it all starts with that basic building block of water.
[01:19:22.970 --> 01:19:25.993]  It is time to purify our family's water.
[01:19:25.993 --> 01:19:32.878]  The ProPure filtration system with added fluoride filters is the best system from my research to protect you and your family.
[01:19:32.878 --> 01:19:38.182]  Infowarstore.com already has the lowest prices on ProPure water filtration.
[01:19:38.182 --> 01:19:43.867]  But until December 10th, we are going to offer 15% off the already lowest price.
[01:19:44.207 --> 01:19:46.529]  I know what I'm giving my family this Christmas.
[01:19:46.529 --> 01:19:47.269]  ProPure.
[01:19:47.269 --> 01:19:54.095]  Go to InfowarsStore.com and get 15% off the already lowest price out there with the code WATER15.
[01:19:54.095 --> 01:20:01.481]  WATER15 and you get 15% off at InfowarsStore.com.
[01:20:01.481 --> 01:20:03.022]  Coast to Coast.
[01:20:03.022 --> 01:20:05.083]  Direct from Austin.
[01:20:05.083 --> 01:20:08.286]  You're listening to the Alex Jones Broadcasting Network.
[01:20:12.534 --> 01:20:18.308]  Now take you live to the Central Texas Command Center in the heart of the resistance.
[01:20:18.308 --> 01:20:20.854]  You're listening to the Alex Jones Show!
[01:20:25.365 --> 01:20:31.430]  You know, my son, we haven't announced his name yet and destroyed all his innocence, but he really wants to be on air and he's really smart.
[01:20:31.430 --> 01:20:34.192]  It's not just me and dad saying that, the whole crew marvels.
[01:20:34.192 --> 01:20:36.053]  Listeners have as well.
[01:20:36.053 --> 01:20:46.981]  I can take him to cocktail parties with, you know, business barons and successful rocket scientists and people and they're literally blown away that they're having adult conversations with him.
[01:20:46.981 --> 01:20:54.026]  But the point is, is that he was reading this Judge Dredd comic book, because I'm letting him, you know, start to read some of the old vintage comic books.
[01:20:55.627 --> 01:21:02.170]  And it's dealing with these mega cities, these controlled compact cities, and the police state.
[01:21:02.170 --> 01:21:09.293]  And they've got a dictator who's made his fish the judge over executions, his puppet.
[01:21:09.293 --> 01:21:19.257]  And of course that's Caligula married his horse and made the horse the judge or the regent over the Senate to decide things.
[01:21:20.623 --> 01:21:23.224]  And we actually have a document cam shot right here.
[01:21:23.224 --> 01:21:25.685]  It says, no talking, no running, no stopping.
[01:21:25.685 --> 01:21:31.028]  That's like public schools now where they've first got rid of dodgeball and then now no running, no shaking hands.
[01:21:31.028 --> 01:21:33.589]  It's total brainwashing, prisoner training.
[01:21:33.589 --> 01:21:38.631]  And it goes on to say, have you paid your fresh air tax?
[01:21:38.631 --> 01:21:42.913]  But they have a carbon tax.
[01:21:42.913 --> 01:21:47.515]  And then they've got aircraft tasering everybody as well.
[01:21:48.786 --> 01:21:51.468]  They've got drones that taser people.
[01:21:51.468 --> 01:21:52.269]  When was this?
[01:21:52.269 --> 01:21:56.452]  This was published in the mid-70s?
[01:21:56.452 --> 01:21:59.555]  This particular one, actually, 1984.
[01:21:59.555 --> 01:22:01.977]  So this is volume 1, number 11, September 1984.
[01:22:01.977 --> 01:22:03.978]  So there you go.
[01:22:03.978 --> 01:22:08.062]  And it says, uh, the day the law died.
[01:22:08.062 --> 01:22:10.083]  Yeah, like the NDAA.
[01:22:10.083 --> 01:22:14.307]  And the new bill says, hey, the military can arrest you in the U.S., it codifies it more.
[01:22:15.922 --> 01:22:28.068]  And we can't secretly arrest you and disappear you unless there's an act of Congress saying we can, which it then specifies the last act last year in the National Defense Authorization Act does do that.
[01:22:28.068 --> 01:22:30.009]  See, they count on your ignorance.
[01:22:30.009 --> 01:22:32.731]  And then they announce, hey, NDAA's been fixed!
[01:22:34.602 --> 01:22:38.346]  Remember they said five, six years ago, we're not going to listen to you without warrants anymore.
[01:22:38.346 --> 01:22:39.567]  That is illegal.
[01:22:39.567 --> 01:22:43.791]  Now they just say, oh yeah, Google hacks your computer with mobile cars.
[01:22:43.791 --> 01:22:45.653]  They have robot cars driving around doing it.
[01:22:45.653 --> 01:22:46.714]  Oh yeah, it's 2012.
[01:22:46.714 --> 01:22:48.636]  And they hack your computer and steal everything for the NSA.
[01:22:48.636 --> 01:22:50.217]  They're not going to get in trouble.
[01:22:50.217 --> 01:22:51.699]  No.
[01:22:51.699 --> 01:22:53.921]  By the way, let me get back to the internet takeover.
[01:22:54.926 --> 01:23:03.515]  The UN wants control to kill DNSs where your website can't be accessed by its name, like InfoWars.com or PrisonPlanet.com.
[01:23:03.515 --> 01:23:08.140]  It's a prison planet, like out of Judge Dredd.
[01:23:08.140 --> 01:23:09.702]  And that's what they're building.
[01:23:09.702 --> 01:23:11.364]  That's where they're going.
[01:23:12.432 --> 01:23:36.964]  And what's amazing about this is, I have CBS News, The Hill, The Weekly Standard, you name it, with the text, and with the Senators, everybody, The Wall Street Journal, Google's made statements, Facebook, and I'm not saying they're even good guys, but they admit, Arthur Herman explains the UN's internet grab, I mean, you can read it, it says the internet will be handed over to the UN, and that
[01:23:38.405 --> 01:23:44.773]  The member nations will decide what's taken down, and they're already calling for any criticism of Islam to be removed.
[01:23:44.773 --> 01:23:50.500]  And I don't like bashing people's religions, that's why I don't get into, you know, any of the, you know, bashing this group or that.
[01:23:50.500 --> 01:23:54.244]  I bash the bad activities and behavior of groups.
[01:23:54.244 --> 01:23:57.749]  But they will, the UN has said, they will ban criticizing Islam.
[01:23:58.789 --> 01:24:00.430]  And then it'll be criticizing everything else.
[01:24:00.430 --> 01:24:02.511]  So there goes your free speech.
[01:24:02.511 --> 01:24:02.751]  U.N.
[01:24:02.751 --> 01:24:04.433]  to seek control of the Internet.
[01:24:04.433 --> 01:24:12.117]  Next week, that's now this week, coming up tomorrow, the United Nations International Telecommunications Union will meet in Dubai to figure out how to control the Internet.
[01:24:12.117 --> 01:24:16.420]  Representatives from 193 nations will attend the nearly two-week-long meeting, according to news reports.
[01:24:16.420 --> 01:24:25.806]  And then it goes on to have them announcing the Internet taxes, the regulations, the control, what's even CBS News called Chinese-style net censorship, which
[01:24:27.924 --> 01:24:34.857]  ...is what the Cybersecurity Act would do, but Congress wouldn't pass it because it did restrict free speech and allowed...
[01:24:35.856 --> 01:24:39.459]  Pre-restraint of what people could do online.
[01:24:39.459 --> 01:24:41.481]  The end of freedom, basically.
[01:24:41.481 --> 01:24:44.203]  And taxes, and internet IDs, and all this.
[01:24:44.203 --> 01:24:48.086]  And so Obama just signed an order, but so no one could read it.
[01:24:48.086 --> 01:24:50.528]  Oh yeah, that was in the news too last week.
[01:24:50.528 --> 01:24:56.853]  Obama won't let Congress, and even the Intelligence Committee, see his secret cyber security order.
[01:24:56.853 --> 01:25:01.536]  He said he signed an order implementing it, and now it's coming out because the UN's bragging.
[01:25:01.536 --> 01:25:03.298]  He's saying he is going to hand it over to the UN.
[01:25:04.901 --> 01:25:07.903]  So, see, Congress won't shut down our power plants.
[01:25:07.903 --> 01:25:09.523]  Obama just does it himself.
[01:25:09.523 --> 01:25:13.465]  Congress won't launch a Libya-Syria war, handing it over to Al-Qaeda.
[01:25:13.465 --> 01:25:15.686]  Obama just does it.
[01:25:15.686 --> 01:25:17.187]  TSA gets called before Congress.
[01:25:17.187 --> 01:25:20.609]  They just say, we're not going to show up.
[01:25:20.609 --> 01:25:22.530]  Congress won't pass cyber security.
[01:25:22.530 --> 01:25:26.592]  Obama just signs an order, then makes it secret from Congress.
[01:25:26.592 --> 01:25:28.173]  Well, why even have a Congress?
[01:25:28.173 --> 01:25:31.154]  See, now they're telling you there's no reason to even have states.
[01:25:31.154 --> 01:25:34.376]  You know, they're telling you there's no reason to have states' rights now in this country.
[01:25:36.127 --> 01:25:38.208]  As if the states never mattered.
[01:25:38.208 --> 01:25:40.289]  And they say that was decided with the Civil War.
[01:25:40.289 --> 01:25:43.051]  Okay, well now they're saying Congress is vestigial.
[01:25:43.051 --> 01:25:48.454]  You know, I had Lord Monckton, founder of the third largest party in England on just last week, and I had the head of that party.
[01:25:48.454 --> 01:25:51.836]  It's the one telegraphed today that it's set to become the second biggest party soon.
[01:25:51.836 --> 01:25:52.737]  It's now the third biggest.
[01:25:52.737 --> 01:25:57.019]  It's like a kind of a libertarian constitutionalist national sovereignty group.
[01:25:57.019 --> 01:26:04.564]  And we had Nigel Farage, their leader on, and he's a member of the European Union Parliament, and he pointed out that 80 plus percent of EU
[01:26:05.584 --> 01:26:10.727]  Laws that are in England, even though England never joined it.
[01:26:10.727 --> 01:26:21.793]  80 plus percent of their laws are made by the EU and that the EU bureaucrats themselves are exempt from it, even the taxes as I mentioned earlier.
[01:26:21.793 --> 01:26:24.134]  So we're under this thing right now.
[01:26:25.772 --> 01:26:37.924]  And it's so frustrating to know the military-industrial complex run by foreign banks created the United Nations in 1945 at Presidio Naval Base in San Francisco.
[01:26:37.924 --> 01:26:44.811]  The Rockefellers then gave the land in Manhattan on the eastern shore of Manhattan.
[01:26:45.982 --> 01:26:57.806]  And the UN gives itself diplomatic immunity where their agents can commit crimes, and now they're giving the central banks diplomatic immunity by making them part of the UN.
[01:26:57.806 --> 01:27:05.328]  They catch UN people routinely with slaves, with dead people in trunks, with drugs, and they don't get in trouble.
[01:27:05.328 --> 01:27:10.570]  See, global government is a group of banks and mega-rich who created the UN.
[01:27:11.994 --> 01:27:30.100]  So that they could then transfer American sovereignty, and British sovereignty, and French sovereignty, and German sovereignty, and Russian sovereignty, and Chinese sovereignty, and Mexican sovereignty, and Chilean sovereignty, and Nigerian sovereignty into the UN created by the globalists.
[01:27:31.127 --> 01:27:36.530]  And as long as they have Angelina Jolie and Brad Pitt and every Miss America person up there saying the U.N.
[01:27:36.530 --> 01:27:37.431]  loves you, the U.N.'
[01:27:37.391 --> 01:27:38.932]  's good, doesn't matter if the U.N.
[01:27:38.932 --> 01:27:41.213]  goes to Rwanda and kills close to a million people.
[01:27:41.213 --> 01:27:45.055]  They didn't just botch that, they helped murder them.
[01:27:45.055 --> 01:27:48.117]  That came out in congressional hearings, but wasn't picked up by the news.
[01:27:48.117 --> 01:27:48.617]  The U.N.
[01:27:48.617 --> 01:27:54.641]  is the most murderous organization I've ever seen since the reign of Mao Zedong.
[01:27:54.641 --> 01:27:56.282]  He is the greatest mass murderer in history.
[01:27:56.282 --> 01:27:57.703]  Hands down, no one debates that.
[01:27:58.635 --> 01:28:01.096]  Next is Stalin, then Lenin, then Hitler.
[01:28:01.096 --> 01:28:04.196]  Oh, actually, somebody does debate that, and I never played that last week.
[01:28:04.196 --> 01:28:06.337]  Will you guys queue up?
[01:28:06.337 --> 01:28:08.617]  We're about to go to break here.
[01:28:08.617 --> 01:28:10.278]  But will you queue up when we come back?
[01:28:10.278 --> 01:28:14.119]  I want to play that professor here in the U.S., and if you can, print me the article.
[01:28:14.119 --> 01:28:15.419]  What a great crew.
[01:28:15.419 --> 01:28:17.239]  And they're putting up with me and getting all this stuff done.
[01:28:17.239 --> 01:28:24.261]  Because we covered that at Infowars.com where a professor said, you know, don't you ever say that Stalin killed anybody.
[01:28:24.261 --> 01:28:25.021]  He's a great guy.
[01:28:25.021 --> 01:28:27.902]  So that's called rewriting history.
[01:28:30.799 --> 01:28:44.323]  Yeah, so when we come back, we're going to play that clip of that professor and then get into my report on JPMorgan Chase at the heart of this, basically taking credit for Thanksgiving with a disgusting piece they did for Thanksgiving.
[01:28:44.323 --> 01:28:47.704]  I mean, they're the ones pushing Agenda 21.
[01:28:47.704 --> 01:28:51.765]  They're the ones pushing taxes to breathe, as the New York Times called it.
[01:28:51.765 --> 01:28:57.487]  So we're going to be going after those guys that were the number one funder after Goldman Sachs of Obama.
[01:29:00.698 --> 01:29:04.820]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[01:29:04.820 --> 01:29:06.041]  Don't be one of them!
[01:29:06.041 --> 01:29:11.743]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[01:29:11.743 --> 01:29:21.548]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[01:29:21.548 --> 01:29:28.231]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[01:29:28.331 --> 01:29:32.672]  Such as strep, staph, pneumonia, colds, flus, and other harmful pathogens.
[01:29:32.672 --> 01:29:41.775]  This new technology has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of colloidal or ionic silver solutions.
[01:29:41.775 --> 01:29:45.437]  The Science Digest Journal says, silver is our mightiest germ fighter.
[01:29:45.437 --> 01:29:49.258]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[01:29:49.258 --> 01:29:53.899]  Go to supernaturalsilver.com today and use the promo code silver2012 for 20% off.
[01:29:55.660 --> 01:30:02.563]  That's supernaturalsilver.com and like us on Facebook.
[01:30:02.563 --> 01:30:10.666]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[01:30:10.666 --> 01:30:14.727]  Alex and his staff have used these pure soap products for years.
[01:30:14.727 --> 01:30:22.030]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[01:30:22.030 --> 01:30:24.511]  See them on the web at 5starsoap.com.
[01:30:25.071 --> 01:30:29.892]  Or call 800-340-7091 for a free catalog.
[01:30:29.892 --> 01:30:35.834]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[01:30:35.834 --> 01:30:41.235]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[01:30:41.235 --> 01:30:43.216]  This is an amazing deal.
[01:30:43.216 --> 01:30:48.457]  You can save thousands of dollars and you will love the way Real Soap makes you feel.
[01:30:48.457 --> 01:30:50.618]  See them on the web at 5starsoap.com.
[01:30:51.478 --> 01:31:01.541]  Or call 800-340-7091 for a free catalog.
[01:31:01.541 --> 01:31:07.122]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[01:31:07.122 --> 01:31:10.363]  The most devastating economic condition since the Great Depression.
[01:31:10.363 --> 01:31:13.183]  America's worst drought in agricultural history.
[01:31:13.183 --> 01:31:16.184]  And now the economic results of the presidential election.
[01:31:16.184 --> 01:31:19.205]  This perfect storm is a huge threat to everyone's food supply.
[01:31:19.705 --> 01:31:24.911]  I just doubled down and got even more supplies from eFoodsDirect, and I recommend you do the same.
[01:31:24.911 --> 01:31:27.593]  It's time to get your own supply from eFoodsDirect.
[01:31:27.593 --> 01:31:31.237]  I know I won't be standing in a bread line trading my freedom for food.
[01:31:31.237 --> 01:31:35.021]  I'm taking control of my future, and you're nuts if you don't do the same.
[01:31:35.021 --> 01:31:38.645]  Go to eFoodsDirect.com forward slash Alex to find the specials.
[01:31:38.925 --> 01:31:42.768]  And you can start with a holiday gift pack that's normally $80, now under $50.
[01:31:42.768 --> 01:31:46.251]  Remember, I can warn you, but I can't feed you.
[01:31:46.251 --> 01:31:51.295]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[01:31:51.295 --> 01:31:55.258]  Would you rather prepare six months too early or one day too late?
[01:31:55.258 --> 01:31:58.941]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[01:31:59.782 --> 01:32:02.844]  Have you ever wanted to generate your own supply of electrical power?
[01:32:02.844 --> 01:32:04.826]  Even save money on your electric bill?
[01:32:04.826 --> 01:32:08.448]  If so, this could be one of the most important messages you will ever hear.
[01:32:08.448 --> 01:32:10.650]  Solar power generators are now available.
[01:32:10.650 --> 01:32:14.292]  These emergency backup systems provide life-saving electrical power.
[01:32:14.292 --> 01:32:20.377]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[01:32:20.377 --> 01:32:23.739]  It's like having an electrical power plant running quietly in your own home.
[01:32:24.079 --> 01:32:28.820]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[01:32:28.820 --> 01:32:34.802]  Whether it's hurricanes, ice storms, brownouts or blackouts, you'll never suffer through painful power outages again.
[01:32:34.802 --> 01:32:36.082]  And here's the best news.
[01:32:36.082 --> 01:32:39.243]  A remarkable fall truckload sale is going on right now.
[01:32:39.243 --> 01:32:43.164]  It gets you $1,700 in bonuses when you buy a solar generator.
[01:32:43.164 --> 01:32:47.225]  To find out why these solar generators are the best generators, and get $1,700 in bonuses for doing so,
[01:32:48.985 --> 01:32:50.986]  Go to falltruckloadsale.com.
[01:32:50.986 --> 01:32:53.088]  That's falltruckloadsale.com.
[01:32:53.088 --> 01:32:55.249]  Generate your own supply of electricity.
[01:32:55.249 --> 01:32:57.291]  Go to falltruckloadsale.com.
[01:32:57.291 --> 01:33:01.533]  That's falltruckloadsale.com.
[01:33:01.533 --> 01:33:03.054]  Coast to Coast.
[01:33:03.054 --> 01:33:05.116]  Direct from Austin.
[01:33:05.116 --> 01:33:08.698]  You're listening to the Alex Jones Broadcasting Network.
[01:33:08.698 --> 01:33:09.198]  Big Brother.
[01:33:18.846 --> 01:33:21.647]  Mainstream media.
[01:33:21.647 --> 01:33:24.208]  Government cover-ups.
[01:33:24.208 --> 01:33:26.148]  You want answers?
[01:33:26.148 --> 01:33:28.069]  Well, so does he.
[01:33:28.069 --> 01:33:36.252]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:33:36.252 --> 01:33:42.674]  Okay, so here is the bottom line, and I'm going to get into a whole plethora of other really important news stories and reports here.
[01:33:44.878 --> 01:33:46.619]  The globalists have hijacked America.
[01:33:46.619 --> 01:33:49.862]  They created the UN to transfer our sovereignty in it.
[01:33:49.862 --> 01:33:59.489]  Take the state's rights, take the federal rights, take the nation's rights, transfer it into the United Nations, while denying that's happening, but demonizing anyone that talks about it.
[01:33:59.489 --> 01:34:03.953]  But here is even the mainstream news finally getting it.
[01:34:03.953 --> 01:34:14.401]  But again, Congress can't see the order Obama has signed, because he says they have no jurisdiction, even though they clearly are over the making of laws.
[01:34:17.152 --> 01:34:18.313]  It's unbelievable, folks.
[01:34:18.313 --> 01:34:20.894]  It's a dictatorship of the bureaucracy.
[01:34:20.894 --> 01:34:22.314]  UN to seek control of the Internet.
[01:34:22.314 --> 01:34:23.775]  Weekly Standard.
[01:34:23.775 --> 01:34:24.315]  I've seen that.
[01:34:24.315 --> 01:34:26.936]  Russia demands broad role in net governance.
[01:34:26.936 --> 01:34:28.177]  Leak reveals.
[01:34:28.177 --> 01:34:29.497]  And now it's all public.
[01:34:29.497 --> 01:34:31.558]  UN calls for anti-terror Internet surveillance.
[01:34:31.558 --> 01:34:39.081]  They've got to surveil you, because the terrorists that the UN is supporting going into Syria and Libya, I mean, it's ridiculous.
[01:34:39.081 --> 01:34:39.781]  UN takeover.
[01:34:39.781 --> 01:34:42.062]  The Internet must be stopped.
[01:34:42.062 --> 01:34:43.983]  Again, CBS News.
[01:34:43.983 --> 01:34:46.264]  RT, even worse than SOPA and CISPA.
[01:34:47.577 --> 01:34:49.218]  Chisp is a big UN thing.
[01:34:49.218 --> 01:34:50.218]  Chup is a US thing.
[01:34:50.218 --> 01:34:52.259]  Cybersecurity bill will censor the web.
[01:34:52.259 --> 01:34:55.501]  Yeah, and it's in line with what the Russians and Chinese want.
[01:34:55.501 --> 01:34:59.703]  Because all these authoritarian governments, including ours, want to suppress the people.
[01:34:59.703 --> 01:35:00.603]  They all want to track it.
[01:35:00.603 --> 01:35:01.844]  They all want to tax it.
[01:35:01.844 --> 01:35:05.126]  Global governance now seeks total control over the internet.
[01:35:05.126 --> 01:35:06.907]  Natural news.
[01:35:06.907 --> 01:35:08.547]  Okay.
[01:35:08.547 --> 01:35:11.349]  Then enter know-it-all Politico.
[01:35:12.219 --> 01:35:13.400]  And what do they do?
[01:35:13.400 --> 01:35:17.681]  Bureaucrats from around the world will gather behind closed doors in Dubai next week.
[01:35:17.681 --> 01:35:19.762]  Yeah, and they've got Obama's secret order.
[01:35:19.762 --> 01:35:20.783]  They've already bragged this.
[01:35:20.783 --> 01:35:22.943]  Even though our Congress can't see it, the U.N.
[01:35:22.943 --> 01:35:23.624]  sees it.
[01:35:23.624 --> 01:35:27.985]  And they thanked Obama a few weeks ago for agreeing with what they're doing.
[01:35:27.985 --> 01:35:28.986]  I mean, this is incredible.
[01:35:29.656 --> 01:35:35.722]  Bureaucrats from around the world will gather behind closed doors in Dubai next week to plot an end to the internet as we know it.
[01:35:35.722 --> 01:35:38.144]  Or so Washington would have you believe.
[01:35:38.144 --> 01:35:40.065]  Oh, see Politico.
[01:35:40.065 --> 01:35:47.392]  See, Washington acts like it's against it so it gets it piecemeal, and then the UN plays the part of who wants it, you know, all the freedom taken.
[01:35:47.392 --> 01:35:47.933]  See how they work?
[01:35:49.161 --> 01:35:50.162]  So you think you have a choice?
[01:35:50.162 --> 01:35:52.364]  It's like Romney-Obama.
[01:35:52.364 --> 01:35:55.306]  Hill lawmakers warn that the 120-plus U.S.
[01:35:55.306 --> 01:35:59.470]  delegation needs to fend off efforts by China, Russia, and developing nations to use the U.N.
[01:35:59.470 --> 01:36:02.512]  branch organization to censor or tax the net.
[01:36:02.512 --> 01:36:03.853]  It's all being announced.
[01:36:03.853 --> 01:36:10.960]  Google is orchestrating an online petition drive, and even Grover Norquist is involved.
[01:36:10.960 --> 01:36:13.402]  The hype is the perfect storm for Matt Drudge.
[01:36:14.656 --> 01:36:15.938]  Let me tell you something, Politico.
[01:36:15.938 --> 01:36:19.824]  Matt Drudge is right about a thousand times more than you are.
[01:36:19.824 --> 01:36:21.586]  Because you're deceptive.
[01:36:21.586 --> 01:36:26.073]  With all your snot-nosed, fake liberal, you know, you set the agenda, everything.
[01:36:26.073 --> 01:36:26.714]  I'm sick of it.
[01:36:28.274 --> 01:36:30.376]  The hype is the perfect storm for Matt Drudge.
[01:36:30.376 --> 01:36:33.399]  The UN will take over the internet unless you act fast.
[01:36:33.399 --> 01:36:34.380]  Oh my gosh!
[01:36:34.380 --> 01:36:38.945]  It's very important, but then it goes on to say, but that's not really what's going to happen.
[01:36:38.945 --> 01:36:45.532]  What's more likely, almost certain to happen really, is the World Conference on Telecommunications will fail to change much of anything.
[01:36:45.532 --> 01:36:45.832]  Oh yeah?
[01:36:46.949 --> 01:36:54.800]  Except increasing all the move towards taxation, web IDs, shutting people's sites down with no congressional oversight, no judge, no jury.
[01:36:54.800 --> 01:36:59.507]  The FBI just takes your website away, just like the Chinese government does.
[01:36:59.507 --> 01:37:02.190]  Again, they just label tyranny like it's no big deal.
[01:37:02.984 --> 01:37:04.345]  That's what they do.
[01:37:04.345 --> 01:37:08.806]  And so, it's going on, whether Politico admits it or not, okay?
[01:37:08.806 --> 01:37:11.887]  They always want to play this game of denying all this.
[01:37:11.887 --> 01:37:13.488]  I talked about this.
[01:37:13.488 --> 01:37:19.610]  It's got an interesting bleep over it, because there's some cuss words, the sound of a buzzsaw.
[01:37:19.610 --> 01:37:25.072]  But video, New Jersey professor angrily claims Stalin killed nobody.
[01:37:25.072 --> 01:37:29.674]  Communist professor and apologist for mass murder, Paul Joseph Watson.
[01:37:29.674 --> 01:37:30.374]  Here's a clip of that.
[01:37:31.172 --> 01:37:32.152]  You finished asking?
[01:37:32.152 --> 01:37:34.653]  I'm going to answer you.
[01:37:34.653 --> 01:37:44.695]  Like you said in all the falsifications that go on in the school systems in this country, this world, Soviet history is falsified the most.
[01:37:44.695 --> 01:37:48.416]  Yet to find one crime that Stalin committed.
[01:37:48.416 --> 01:37:52.757]  And I would like to call Stalin a great humanist.
[01:37:52.757 --> 01:37:58.178]  Stalin used to say, death of one person is a tragedy.
[01:37:58.178 --> 01:38:00.299]  Death of a million, just statistics.
[01:38:01.403 --> 01:38:02.904]  Yeah, unbelievable.
[01:38:02.904 --> 01:38:06.947]  Go read the article, go see the images of the million Stalin killed.
[01:38:06.947 --> 01:38:14.852]  Shifting gears, if you go to InfoWars.com, cops arrest man at Christmas parade for telling children Santa isn't real.
[01:38:14.852 --> 01:38:18.254]  Ethan Huff, Natural News, and has links to the different Canadian papers.
[01:38:19.154 --> 01:38:22.235]  That's in Kingston, Ontario.
[01:38:22.235 --> 01:38:25.696]  And he was out there telling people that Santa Claus isn't real and is a fable.
[01:38:25.696 --> 01:38:28.697]  So they arrested him for, I guess, disturbing the peace.
[01:38:28.697 --> 01:38:32.858]  Kind of like they'd like to arrest you if you say that Obama didn't really kill Osama.
[01:38:32.858 --> 01:38:34.579]  Osama was dead 10 years ago.
[01:38:34.579 --> 01:38:35.739]  More and more of that comes out.
[01:38:35.739 --> 01:38:37.900]  They've killed most of SEAL Team 6 to cover that up.
[01:38:37.900 --> 01:38:41.901]  Kind of like they killed Pat Tillman when he said he was going to come home.
[01:38:41.901 --> 01:38:44.062]  Talk about all the corruption.
[01:38:44.062 --> 01:38:47.663]  But let's go ahead and go to myself last weekend.
[01:38:48.863 --> 01:38:51.325]  I was out in an open-air market.
[01:38:51.325 --> 01:38:53.127]  Came across a Santa Claus.
[01:38:53.127 --> 01:38:54.848]  I had my children with me.
[01:38:54.848 --> 01:38:58.231]  And I said, hey, you know, are you as real as Bin Laden?
[01:38:58.231 --> 01:38:59.872]  And he said, oh, I'm a lot more alive.
[01:38:59.872 --> 01:39:01.233]  And he goes, have a good one, Alex.
[01:39:01.233 --> 01:39:03.775]  So I couldn't even get him.
[01:39:03.775 --> 01:39:05.136]  I guess later I talked to him.
[01:39:05.136 --> 01:39:06.777]  Santa is a listener.
[01:39:06.777 --> 01:39:07.918]  I guess he knows all our names.
