[00:00:00.049 --> 00:00:01.309]  That's the law required.
[02:17:24.155 --> 02:17:29.098]  And no, I cannot promote people who sell my videos that are bootlegged.
[02:17:29.158 --> 02:17:32.659]  I mean, I can let you bootleg them, but I sure can't promote it on my own show.
[02:17:32.699 --> 02:17:33.660]  I get criticized for that.
[02:17:34.400 --> 02:17:37.841]  Because think, think, think, there won't be any more videos if that continues.
[02:17:39.362 --> 02:17:41.223]  I mean, my goal is to defeat these people.
[02:17:42.808 --> 02:17:44.029]  But I'm just telling you how it is.
[02:17:44.670 --> 02:17:48.234]  I gotta hustle and sell some more advertising, have some more ads on the show.
[02:17:48.594 --> 02:17:58.043]  I don't like having to do that, but if that's what it takes to finance my operation, if I literally have to finance films with advertising so I can lose money on films, I will do it.
[02:17:58.544 --> 02:18:01.127]  I will make films, folks, to the point of robbing banks.
[02:18:01.367 --> 02:18:02.648]  And I mean that figuratively.
[02:18:03.189 --> 02:18:03.489]  Okay?
[02:18:04.304 --> 02:18:05.345]  I don't care about money.
[02:18:05.425 --> 02:18:07.125]  It's fiat dirt.
[02:18:07.526 --> 02:18:09.086]  I like a car that runs well under me.
[02:18:09.947 --> 02:18:12.528]  I like a house that's, you know, warm in the winter and cool in the summer.
[02:18:12.588 --> 02:18:14.269]  But I mean, it's not my totem.
[02:18:14.309 --> 02:18:15.149]  It's not my idol.
[02:18:15.389 --> 02:18:16.250]  It's not my God.
[02:18:16.650 --> 02:18:16.990]  Okay?
[02:18:17.430 --> 02:18:19.792]  But you need to support us and finance us and help us.
[02:18:20.452 --> 02:18:23.133]  And the best way to do that is at Infowars.com.
[02:18:23.533 --> 02:18:32.898]  Go to that secure online shopping cart, and you look at all those videos and books we carry, and the films I've made, and you support us and the other authors and filmmakers whose films and books we carry.
[02:18:35.419 --> 02:18:36.059]  It's real simple.
[02:18:36.079 --> 02:18:38.540]  Get a PrisonPlanet.tv membership.
[02:18:38.800 --> 02:18:39.201]  $0.15 a day.
[02:18:39.261 --> 02:18:43.543]  My weekly TV reports, all my films, my book, Paul Watson's book, which by the way is out of print.
[02:18:43.683 --> 02:18:44.543]  Two e-books on there.
[02:18:44.884 --> 02:18:47.205]  A bunch of other e-books and films have been authorized to post.
[02:18:47.745 --> 02:18:49.046]  PrisonPlanet.tv.
[02:18:49.506 --> 02:18:56.250]  And at $0.15 a day, folks, that just pays for the bandwidth and the webmasters.
[02:18:56.730 --> 02:18:58.691]  And we will expand as more funds come into there.
[02:18:59.170 --> 02:19:07.973]  And I've got a lot of things I want to do, but the funds are not there, so I'm actually working more now, and I'm just going out hustling and selling advertising for the websites and things.
[02:19:08.773 --> 02:19:18.757]  So, I'll do it by whatever means to fight the New World Order, but I'm just telling you, it's more effective for you to just get the films from us, and get them and make copies of my videos.
[02:19:18.777 --> 02:19:21.078]  Man, I want you to make copies of the high quality DVDs.
[02:19:22.218 --> 02:19:26.680]  And there's going to come a time when people buy one copy of my video and put it on the web in DVD quality.
[02:19:27.395 --> 02:19:32.820]  That time's almost here, and at that time, when you don't support us by buying the original from us, there just won't be any more films.
[02:19:32.860 --> 02:19:36.203]  You would have killed the goose that lays the golden eggs.
[02:19:36.824 --> 02:19:40.287]  Really, that lays the bombs, the info bombs, that blow holes in the New World Order.
[02:19:41.007 --> 02:19:45.932]  So, I'm literally totally dedicated and focused, like a laser beam in the fight against the globalists.
[02:19:47.245 --> 02:19:51.186]  And, uh, you need to support us, Info, and I want to thank you for supporting us.
[02:19:51.627 --> 02:19:55.108]  Infowars.com, by simply buying the books and videos right there.
[02:19:55.548 --> 02:19:57.809]  Infowars.com or call toll free 888-253-3139.
[02:19:57.829 --> 02:19:58.609]  That's 888-253-3139.
[02:20:08.425 --> 02:20:09.386]  You can simply write to me.
[02:20:09.446 --> 02:20:16.495]  I'm Alex Jones at 3001 South Lamar, Suite 100, Austin, Texas 78704.
[02:20:16.856 --> 02:20:20.400]  We'll be right back on the other side of this quick break.
[02:20:21.261 --> 02:20:21.662]  Stay with us.
[02:20:29.272 --> 02:20:33.776]  Through the years of providing water filters to America, you've come to us and we've listened.
[02:20:34.137 --> 02:20:38.220]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[02:20:38.501 --> 02:20:39.061]  We listened.
[02:20:39.381 --> 02:20:44.346]  You asked for an elevated base so the system could be used in places beside on the edge of a counter.
[02:20:44.626 --> 02:20:45.127]  We listened.
[02:20:45.507 --> 02:20:48.530]  You asked us to develop a filter that was made in the USA.
[02:20:48.970 --> 02:20:49.511]  We listened.
[02:20:49.971 --> 02:20:52.093]  You asked us to include an emergency light for
[02:20:55.219 --> 02:21:00.466]  After 9-11, you asked us to develop a filter that was more powerful in removing chemical agents.
[02:21:00.886 --> 02:21:02.248]  Again, we listened.
[02:21:02.609 --> 02:21:09.939]  Introducing the Berkey Light, the gravity filter requested by America, designed by Americans, and made in America.
[02:21:10.379 --> 02:21:13.021]  Get the Berkey Light at the American Water Purifier.
[02:21:13.222 --> 02:21:13.422]  Only $279.
[02:21:13.482 --> 02:21:14.062]  Call New Millennium at 888-803-4438.
[02:21:14.102 --> 02:21:14.343]  That's 888-803-4438.
[02:21:14.403 --> 02:21:16.024]  Or order on the web at berkeywater.com.
[02:21:16.044 --> 02:21:17.005]  Not yet available in Iowa.
[02:21:27.142 --> 02:21:29.083]  Hi, John Huebner from Midas Resources.
[02:21:29.363 --> 02:21:31.984]  Are you tired of watching your hard-earned assets dwindle away?
[02:21:32.284 --> 02:21:40.607]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[02:21:40.907 --> 02:21:43.728]  Is this market a setup for a crash greater than 1987?
[02:21:44.569 --> 02:21:47.790]  Too many of today's policies resemble those that led to the collapse of 1929.
[02:21:49.110 --> 02:21:50.691]  How much are you willing to lose?
[02:21:51.091 --> 02:21:52.012]  Take action now!
[02:21:52.152 --> 02:21:55.794]  Call me at 1-800-686-2237, extension 129.
[02:21:56.955 --> 02:22:00.738]  I believe that we are facing a financial catastrophe of biblical proportion.
[02:22:00.938 --> 02:22:04.160]  Over recent decades, numerous economic systems have failed.
[02:22:04.260 --> 02:22:10.705]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[02:22:11.005 --> 02:22:13.147]  Secure your assets today by calling 1-800-686-2237, extension 129.
[02:22:13.207 --> 02:22:14.349]  Do this while paper can still buy gold.
[02:22:14.389 --> 02:22:15.990]  Call me, John Huebner, at 1-800-686-2237, extension 129.
[02:22:26.906 --> 02:22:29.627]  Automakers in the oil industry are in a fuel fight.
[02:22:29.987 --> 02:22:32.968]  Automakers claim gasoline quality doesn't measure up.
[02:22:33.288 --> 02:22:35.349]  Is your vehicle performing like it should?
[02:22:35.649 --> 02:22:39.950]  Now, there's SFR Green, performance technologies for a clean planet.
[02:22:40.290 --> 02:22:46.572]  SFR Green's Protecta reduces emissions and improves fuel economy, meeting automakers' new standards.
[02:22:46.592 --> 02:22:47.672]  So do something green.
[02:22:47.893 --> 02:22:51.994]  For a special offer with free shipping, go to GreenGasAdditive.com.
[02:22:52.274 --> 02:22:55.395]  Or to locate a retailer, go to GreenGasAdditive.com.
[02:22:57.381 --> 02:22:59.882]  Are your Federal Reserve notes looking for a safe haven?
[02:23:00.342 --> 02:23:02.243]  Mine found it in precious metals.
[02:23:02.963 --> 02:23:06.124]  Not paper promises, but actual gold in my possession.
[02:23:06.785 --> 02:23:13.267]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[02:23:14.027 --> 02:23:16.228]  Find your answer at Midas Resources.
[02:23:16.608 --> 02:23:17.048]  That's 1-800-686-2237.
[02:23:17.148 --> 02:23:18.529]  The answer is at 1-800-686-2237.
[02:23:26.866 --> 02:23:27.867]  How are you feeling today?
[02:23:28.068 --> 02:23:28.568]  Why ask?
[02:23:28.608 --> 02:23:34.795]  Because if you have health challenges, then reading our free e-booklet about the most amazing discovery of our time is crucial.
[02:23:35.056 --> 02:23:39.501]  The booklet is about an amazing fruit from Southeast Asia they call Mangosteen.
[02:23:39.801 --> 02:23:45.488]  It's a centuries-old medicinal fruit whose time has come, and it has amassed 40 years of published research.
[02:23:45.788 --> 02:23:50.872]  We have information and testimonials from all over the world about the health potential of this amazing fruit.
[02:23:51.092 --> 02:23:57.637]  The powerful botanical has contributed to the well-being of millions of people the world over with health concerns just like yours.
[02:23:57.957 --> 02:24:01.120]  You can have this 22-page e-booklet absolutely free.
[02:24:01.320 --> 02:24:05.443]  We'll also offer you a website with links to actual testimonials and product information.
[02:24:05.683 --> 02:24:07.845]  Could this fruit help you in your quest for total health?
[02:24:08.145 --> 02:24:15.931]  Find out why mangosteen is known as the queen of all fruits, and why it's fast becoming the best-selling wellness product ever brought to the market.
[02:24:16.292 --> 02:24:17.793]  Your health is in your hands.
[02:24:18.073 --> 02:24:19.254]  Do something about it today.
[02:24:19.574 --> 02:24:19.794]  Call 800-658-0597.
[02:24:19.815 --> 02:24:20.295]  Again, that's 800-658-0597.
[02:24:20.315 --> 02:24:23.377]  Crashing through the lies and disinformation, it's Alex Jones, only on the GCN Radio Network.
[02:24:40.220 --> 02:24:44.622]  All right, I just spent like 15 minutes with that caller and commenting on what he'd said.
[02:24:44.642 --> 02:24:46.743]  Let's try to hurry through more calls here.
[02:24:48.584 --> 02:24:55.587]  Let's go ahead and talk to Richard in Texas, then Ken, Lori, many others.
[02:24:55.607 --> 02:24:56.427]  Go ahead, you're on the air.
[02:24:57.347 --> 02:24:58.208]  Hey, Alex.
[02:24:58.568 --> 02:25:00.470]  Just wanted to comment on some things.
[02:25:00.670 --> 02:25:05.674]  You know, down here in Wimberley, it seems we've got no honeybees that I've seen at all yet this year.
[02:25:05.754 --> 02:25:08.136]  I've not even seen any lofts or hornets.
[02:25:08.196 --> 02:25:11.999]  I don't know if there's a tie-in with that, but none of those around.
[02:25:12.700 --> 02:25:23.369]  I read today on the rent site about a permit for Livermore Labs to blow up 450 pounds of depleted uranium in the San Joaquin Valley.
[02:25:23.789 --> 02:25:46.107]  And my point is, I guess with all this genetic stuff going on and the radiation poisoning and all the other poisonings that we've got in our world out there now, even if we're successful on 9-11 here before too long, it sure is going to take a lot of additional education and additional undoing, if even it can be undone, to try to correct what's been done already.
[02:25:46.367 --> 02:25:48.529]  Well, humans and life have
[02:25:48.849 --> 02:25:51.850]  I've lived in a vat of radiation forever.
[02:25:52.071 --> 02:25:53.351]  And the radiation is a problem.
[02:25:53.391 --> 02:25:55.432]  It's poisonous and toxic and radioactive.
[02:25:55.952 --> 02:26:09.219]  But frankly, from the studies I've seen and what I've looked at here, genetically modifying major food crops that then infest all the other similar strains, like basically all corn has now been infected.
[02:26:09.259 --> 02:26:11.940]  Every major strain on earth is found to have this in it.
[02:26:12.640 --> 02:26:15.602]  And different strains have higher levels of it with live pesticide.
[02:26:15.662 --> 02:26:16.302]  We have an elite
[02:26:17.173 --> 02:26:17.994]  I think so.
[02:26:30.864 --> 02:26:34.867]  All these bastards avoid ingesting this stuff themselves.
[02:26:35.128 --> 02:26:45.715]  Literally, Senator Rockefeller admittedly has his own farms and has a whole chain to bring him and his family nothing but fresh food he cooked himself.
[02:26:46.196 --> 02:26:50.079]  And they bring containers of food and a chef everywhere he goes.
[02:26:50.539 --> 02:26:52.160]  David Rockefeller is the same.
[02:26:53.141 --> 02:26:54.822]  The Queen of the Netherlands, the Queen of England.
[02:26:54.902 --> 02:26:56.964]  I just watched a two hour documentary for research
[02:26:57.725 --> 02:27:00.552]  On the House of Windsor and on Prince Philip.
[02:27:00.572 --> 02:27:01.935]  It was just on one particular palace.
[02:27:03.234 --> 02:27:04.754]  I was actually on Buckingham and a couple others.
[02:27:04.974 --> 02:27:05.435]  I forget.
[02:27:05.455 --> 02:27:08.595]  The point is, it was all about Prince Philip, and that's all.
[02:27:08.615 --> 02:27:11.296]  He has his own farms on his own palace.
[02:27:11.316 --> 02:27:12.276]  That's all he eats.
[02:27:13.056 --> 02:27:14.337]  His own meat, everything.
[02:27:14.777 --> 02:27:16.177]  It's all specially certified.
[02:27:16.877 --> 02:27:20.858]  They multiple times filter all their water.
[02:27:21.118 --> 02:27:22.719]  They haul it with them everywhere they go.
[02:27:23.159 --> 02:27:25.839]  This is their sick eugenics operation against us.
[02:27:25.859 --> 02:27:27.200]  They've done all this by design.
[02:27:27.580 --> 02:27:29.460]  These people are the scum of the earth.
[02:27:29.900 --> 02:27:32.701]  Well, I'm sure he wants to avoid that virus he dreams he could be.
[02:27:33.695 --> 02:27:34.496]  Well, that's the thing.
[02:27:35.336 --> 02:27:36.177]  Listen, here's an example.
[02:27:36.197 --> 02:27:42.221]  Prince Bernhard had an operation in South Africa, supposedly, and then in Zimbabwe to kill all the elephant poachers.
[02:27:42.661 --> 02:27:51.568]  But it turned out his people were actually running the elephant poaching op and involved in trying to support different programs down there.
[02:27:51.648 --> 02:27:53.429]  It's always the opposite of what they say.
[02:27:54.093 --> 02:27:56.534]  These people are... I mean, I just keep saying it.
[02:27:56.555 --> 02:27:57.975]  They're just... they're psychopaths.
[02:27:58.556 --> 02:28:03.438]  Their religion, though, is being control freaks and not letting us have good lives and killing us.
[02:28:04.299 --> 02:28:09.042]  Devil worship and pedophile and all the rest of that sinister, just unbelievable stuff.
[02:28:09.242 --> 02:28:11.723]  These people are literally hellions.
[02:28:11.863 --> 02:28:13.244]  They are right out of the gates of hell.
[02:28:13.284 --> 02:28:13.604]  Thank you.
[02:28:14.225 --> 02:28:14.425]  Bye.
[02:28:15.345 --> 02:28:17.246]  Let's talk to Rory in Michigan.
[02:28:17.266 --> 02:28:18.647]  Rory, thanks for holding her on the air.
[02:28:20.248 --> 02:28:20.888]  Hello, Alex.
[02:28:21.309 --> 02:28:21.509]  Yes.
[02:28:22.290 --> 02:28:23.191]  Thanks for taking my call.
[02:28:23.211 --> 02:28:23.931]  I appreciate it.
[02:28:24.512 --> 02:28:27.875]  I live in Grand Rapids, Michigan, and there was an article in the Grand Rapids Press.
[02:28:28.495 --> 02:28:30.817]  William F. Cohen, former U.S.
[02:28:30.857 --> 02:28:38.884]  Secretary of Defense under Clinton, made some comments at a 58th anniversary dinner of the World Affairs Council in Western Michigan.
[02:28:39.004 --> 02:28:45.590]  And he made some comments on 9-11, Hurricane Katrina response, on the Patriot Act, and on nuclear proliferation.
[02:28:46.390 --> 02:28:50.574]  On 9-11, his comments were, we got hit because we got lazy.
[02:28:51.101 --> 02:28:52.702]  And we dropped our guard.
[02:28:53.122 --> 02:28:54.203]  That is crap.
[02:28:54.823 --> 02:28:58.765]  The next thing, on Hurricane Katrina response, the chain of command was broken.
[02:28:59.226 --> 02:29:01.027]  We didn't know who was in charge.
[02:29:01.367 --> 02:29:03.708]  Wouldn't that be the President of the United States?
[02:29:04.609 --> 02:29:08.291]  On the Patriot Act, technology is racing way ahead of us.
[02:29:08.791 --> 02:29:11.593]  We haven't thought about what it's going to do to our liberties.
[02:29:12.153 --> 02:29:15.895]  We are going with terrifying velocity into this new world order.
[02:29:16.756 --> 02:29:19.237]  On nuclear proliferation, he states,
[02:29:19.795 --> 02:29:27.340]  There will be some nuclear explosion that takes place in some country, and there will be no fingerprints.
[02:29:27.960 --> 02:29:32.142]  And the world has become a much unsafer place to be.
[02:29:33.583 --> 02:29:34.444]  Isn't that awful?
[02:29:36.485 --> 02:29:40.748]  And they carry out attacks to create fear to stampede populations.
[02:29:40.808 --> 02:29:42.849]  We must terminate the fear.
[02:29:43.449 --> 02:29:45.651]  People should be afraid of being afraid.
[02:29:45.731 --> 02:29:46.051]  People
[02:29:47.248 --> 02:29:49.370]  Who are really concerned and really want to survive.
[02:29:49.390 --> 02:29:51.012]  They want to defend liberty.
[02:29:51.773 --> 02:29:52.994]  But it's about survival now.
[02:29:53.554 --> 02:29:55.336]  Must get control of themselves.
[02:29:57.098 --> 02:30:01.963]  Must take action and realize that the only course is fighting these people.
[02:30:02.543 --> 02:30:03.264]  Thank you for the call.
[02:30:03.284 --> 02:30:03.965]  You're a great caller.
[02:30:03.985 --> 02:30:05.066]  I'm sorry we're low on time.
[02:30:05.647 --> 02:30:07.749]  We got the PNAC men popping in.
[02:30:08.069 --> 02:30:10.591]  Tell us about an event this weekend and more of your calls and more news.
[02:30:10.611 --> 02:30:10.972]  Stay with me.
[02:30:17.811 --> 02:30:20.793]  We're on the march, the empire's on the run.
[02:30:20.813 --> 02:30:24.435]  Alex Jones and the GCN Radio Network.
[02:30:24.455 --> 02:30:33.381]  Hi, I'm Joyce Riley and many of you know that for years I was a cardiovascular heart transplant nurse.
[02:30:33.721 --> 02:30:36.683]  Since that time I've educated myself on the importance of preventative care.
[02:30:37.083 --> 02:30:40.965]  It all begins with providing your heart and vascular system with building blocks for good health.
[02:30:41.385 --> 02:30:45.428]  Strauss Heart Drops is the original formula that was copied by others but never duplicated.
[02:30:46.048 --> 02:30:50.894]  Strauss Heart Drops were developed by a master herbalist, Jim Strauss, after he suffered a heart attack in 1979.
[02:30:51.615 --> 02:30:54.418]  His doctor said he would only survive if he had heart bypass surgery.
[02:30:54.819 --> 02:30:55.599]  And Jim said no.
[02:30:56.080 --> 02:31:00.365]  He developed Strauss Heart Drops, the formula that has been copied by others, but never been surpassed.
[02:31:00.806 --> 02:31:03.308]  Get the original Strauss Heart Drops, 4-ounce bottle, for only $79.99.
[02:31:04.910 --> 02:31:09.773]  Call the Power Hour at 877-817-9829.
[02:31:09.793 --> 02:31:10.834]  877-817-9829.
[02:31:11.494 --> 02:31:14.796]  You've probably heard about the other products that have tried to copy the Strauss formula?
[02:31:15.056 --> 02:31:17.277]  Well, get the original Strauss Heart Drops by calling 877-817-9829.
[02:31:17.297 --> 02:31:17.558]  That's 877-817-9829.
[02:31:17.578 --> 02:31:20.379]  Now you can really do your heart right with Strauss Heart Drops.
[02:31:28.402 --> 02:31:33.328]  The disciples asked Jesus in Matthew 24, What shall be the signs of thy coming, and the end of the world?
[02:31:33.648 --> 02:31:35.530]  You shall hear of wars, and rumors of wars.
[02:31:35.730 --> 02:31:38.774]  For nation shall rise against nation, and kingdom against kingdom.
[02:31:38.954 --> 02:31:42.097]  And there shall be famines, disease, and earthquakes in many places.
[02:31:42.398 --> 02:31:44.260]  We are living in this time of earth's history.
[02:31:44.520 --> 02:31:48.221]  Many people are trying to understand the climactic world events in light of human wisdom.
[02:31:48.501 --> 02:31:51.162]  But without the wisdom of God, this is impossible.
[02:31:51.782 --> 02:31:56.024]  2 Peter says, We have a more sure word of prophecy, and you do well if you take heed.
[02:31:56.284 --> 02:32:00.565]  But first know this, that no prophecy of the scripture is of any private interpretation.
[02:32:00.965 --> 02:32:05.306]  The Bible says, would like you to receive this new offer, packet B, the unholy alliance.
[02:32:05.606 --> 02:32:09.868]  These materials document the global leaders, political and religious, behind the scenes.
[02:32:10.188 --> 02:32:14.029]  You will receive information regarding America and prophecy, tyrants and wars,
[02:32:14.349 --> 02:32:14.790]  We're good.
[02:32:28.519 --> 02:32:32.541]  People who use Cardivite know about the pollutants in our body and want them out.
[02:32:32.781 --> 02:32:36.183]  For over five years, Cardivite has proven itself time-tested.
[02:32:36.364 --> 02:32:40.066]  Here's Dr. Mattson, a naturopathic doctor's thoughts on Cardivite.
[02:32:40.086 --> 02:32:43.408]  In our mind, there isn't such a great big mystery to disease anymore.
[02:32:43.508 --> 02:32:48.851]  This basic tenet of yeast in the gut and metals in the liver covers at least 70-80% of the disease that we see.
[02:32:48.871 --> 02:32:54.034]  When we do our program, you know, in herbal formulas like Cardivite, and you see someone who could barely walk up a hill.
[02:32:54.514 --> 02:32:57.976]  For more information call 1-877-928-8822 or visit our website at www.heartdrop.com
[02:33:22.330 --> 02:33:23.470]  That toll-free number again?
[02:33:23.490 --> 02:33:23.550]  1-877-928-88.
[02:33:23.810 --> 02:33:27.131]  Lookin' out your window, babe.
[02:33:35.352 --> 02:33:37.213]  Lookin' out your window, babe.
[02:33:37.233 --> 02:33:42.934]  And there's a scene you'll like to catch.
[02:33:43.974 --> 02:33:46.234]  Vandy's playin' Dixie.
[02:33:46.294 --> 02:33:47.954]  Man, got his hand out stressed.
[02:33:49.135 --> 02:33:50.595]  Cuz he's a killer.
[02:33:51.485 --> 02:33:51.725]  I think.
[02:34:26.869 --> 02:34:37.119]  Well, first he's in the background, then he's in the front.
[02:34:37.199 --> 02:34:42.885]  Both eyes are looking like they're on a rabbit hunt.
[02:34:42.945 --> 02:34:44.927]  Nobody says cheese to him.
[02:35:08.878 --> 02:35:10.519]  Welcome back, ladies and gentlemen.
[02:35:12.100 --> 02:35:18.984]  Well, a known criminal has called for Rosie to be fired after Imus, we told you that was coming, that they would nexus those in.
[02:35:19.855 --> 02:35:23.138]  Well, I'm going to comment on Imus and Rosie here.
[02:35:23.178 --> 02:35:26.221]  I've got a bunch of other really serious news, but I've got loaded phone lines.
[02:35:26.241 --> 02:35:26.941]  I want to get to everybody.
[02:35:27.442 --> 02:35:30.064]  But there is a big 9-11 event coming up this weekend.
[02:35:30.404 --> 02:35:34.989]  It'll take about 550 people in the audience at UT.
[02:35:35.309 --> 02:35:39.252]  They have another room that will have other presentations going on that holds about 250.
[02:35:40.994 --> 02:35:41.875]  So come on down.
[02:35:41.895 --> 02:35:43.096]  I think you're going to get a chance to get in.
[02:35:45.167 --> 02:36:08.465]  Uh... and it uh... starts what tomorrow at eleven and then it's also on sunday professor steven jones will be speaking tomorrow i'll be speaking tomorrow evening as well uh... we've got a labors in the genesis house is going to be there uh... we've got uh... just a bunch of other great people they're going to be in attendance and i'm also a part of a roundtable discussion the next day the following day
[02:36:09.485 --> 02:36:11.487]  Uh, there, uh, on Sunday.
[02:36:11.507 --> 02:36:13.468]  Then I've got a scurry away at like 3 o'clock.
[02:36:13.528 --> 02:36:15.469]  It goes from 1 to 5 at Roundtable.
[02:36:15.829 --> 02:36:17.951]  I've got a scurry off to... Oh, Bob Belden's gonna be there.
[02:36:19.520 --> 02:36:26.785]  I've got to scurry off to do my radio show from 4 to 6 p.m., and then they're going to have a march, and I plan to have Matt Dayton who's on the line with us now.
[02:36:27.225 --> 02:36:32.069]  The march starts at 5.30, but as they're marching to where they're going, I want to have them on the cell phone at the end of the radio show.
[02:36:32.869 --> 02:36:39.974]  But, folks, now they put it out at first just to fly the people here and stuff, that you could, you know, reserve with a donation.
[02:36:39.994 --> 02:36:41.595]  You can just donate there if you want to reserve.
[02:36:41.615 --> 02:36:42.356]  It doesn't matter.
[02:36:42.636 --> 02:36:43.476]  There's only reserved about 100 seats.
[02:36:44.677 --> 02:36:46.279]  Thanks for having me on, Alex.
[02:37:08.476 --> 02:37:16.821]  Yeah, the event is called Rebuilding America's Census, Exposing False Flag Terrorism to Prevent a New 9-11.
[02:37:17.262 --> 02:37:25.587]  So basically the conference is on the historical, present, and future uses of state-sponsored and false flag terrorism.
[02:37:26.587 --> 02:37:34.593]  So we'll be having you, Webster Tarpley, Steven Jones, Bob Bowman, Chris Emery, Dan Abramson,
[02:37:36.838 --> 02:37:53.302]  Maybe a few others, but just trying to expose this idea so if there is another attack, we will have been trying to expose it so when it does happen, if something does happen, another pretext, then people won't react the same way they did with 9-11.
[02:37:54.442 --> 02:37:58.543]  So the event starts tomorrow at 11 a.m.
[02:37:59.504 --> 02:38:00.744]  at the University of Texas.
[02:38:01.605 --> 02:38:08.547]  Um, in room Berdyne 106, and all the details are on our website at pnacitizen.org.
[02:38:09.207 --> 02:38:11.467]  Um, that's pnacitizen.org.
[02:38:12.108 --> 02:38:15.328]  And we're reserving rooms online.
[02:38:15.488 --> 02:38:20.570]  You can email us with a reservation in the subject line.
[02:38:21.170 --> 02:38:25.951]  Um, we also have parking information and everything you need to know on there.
[02:38:26.911 --> 02:38:28.992]  Um, what else?
[02:38:32.538 --> 02:38:35.759]  It's going to be hopefully pretty awesome.
[02:38:35.799 --> 02:38:39.379]  We're expecting a good crowd.
[02:38:41.260 --> 02:38:45.020]  Then we've got the protest coming up at 5 on Sunday.
[02:38:47.121 --> 02:38:48.601]  Tell folks where that's going to be.
[02:38:48.661 --> 02:38:58.263]  Even if people can't get into the meeting in the next two days, which I'm sure most will be able to, but even if you can't, we're also going to videotape the conference and put it up on PrisonPlanet.tv for the folks there.
[02:39:00.761 --> 02:39:05.563]  Breaking this down for people, where, if they just want to go to the protest, would they meet up for that, and where's that going?
[02:39:06.203 --> 02:39:12.405]  Okay, yeah, just go, it's basically at the UT Tower, so if you know where the main UT Tower is, that's where it'll be.
[02:39:12.985 --> 02:39:17.866]  So, it's called the Main Mall, which is... Yeah, the Tower of Mordor, the Tower of Death there.
[02:39:18.466 --> 02:39:20.807]  Right, exactly, so that's where it'll be.
[02:39:20.887 --> 02:39:22.248]  We'll be right in front of it.
[02:39:22.608 --> 02:39:30.230]  We're going to be having George Humphreys, Jack Blood, and Webster Tarpley be speaking.
[02:39:31.400 --> 02:39:32.721]  So that should be pretty awesome.
[02:39:34.301 --> 02:39:36.302]  And it's called, it's called Protest the Empire.
[02:39:36.342 --> 02:39:40.704]  So we're, we're basically just protesting, you know, everything.
[02:39:40.784 --> 02:39:50.887]  It's all encompassing as far as the attacks of 9-11, the devastation of our constitution, the wars in the Middle East, the use of torture, the coming war with Iran, everything.
[02:39:50.907 --> 02:39:58.770]  So, you know, if you, I think most of your listeners understand, understand the severity of the sort of times we live in.
[02:39:58.850 --> 02:40:00.531]  So if you can make it out, that would be great.
[02:40:01.543 --> 02:40:16.854]  Absolutely, and again, so it starts at 5, and I definitely, at least for several check-ins during that demonstration, want to be able to tune in and hear a little bit of the speeches, and then get a report from you there while we're live with the new Sunday Syndicated Show that we're doing.
[02:40:17.314 --> 02:40:25.219]  Alright, Matt, well thank you so much for coming on with us, and I'll see you there tomorrow at the event, and thanks a lot for doing this.
[02:40:25.660 --> 02:40:30.163]  Oh, also, I wanted to mention that we're having a press conference tonight at 7, so
[02:40:31.864 --> 02:40:35.967]  I don't know if you were going to be able to make that, but that will be here at Brave New Books.
[02:40:36.127 --> 02:40:37.948]  That's 1904 Guadalupe.
[02:40:38.148 --> 02:40:40.210]  I am going to pop in.
[02:40:41.170 --> 02:40:47.815]  I've got to come back and video edit all night, and before that I've got to see my family, but I am going to race over there.
[02:40:50.036 --> 02:40:52.439]  I'll be there for that press conference.
[02:40:53.140 --> 02:40:55.682]  Folks, call the Austin media and tell them they need to be there.
[02:40:55.742 --> 02:40:56.843]  News 8 needs to be there.
[02:40:58.205 --> 02:41:00.627]  Call the statesmen and call everybody and say this is real news.
[02:41:00.647 --> 02:41:01.949]  We've got all these real experts.
[02:41:02.529 --> 02:41:08.535]  Physicists and Bob Bowman, former head of Star Wars, and so many people there.
[02:41:08.956 --> 02:41:11.018]  Supposing this is an inside job, you need to show up.
[02:41:11.818 --> 02:41:15.121]  Yes, please, please, listen to us out there.
[02:41:15.181 --> 02:41:20.786]  Try and get the media here, because that's ultimately what we need, so we would really appreciate it.
[02:41:21.127 --> 02:41:24.630]  Just try and put pressure on these local news outlets.
[02:41:24.770 --> 02:41:25.911]  Fantastic, my friend.
[02:41:25.931 --> 02:41:26.612]  Good to hear from you.
[02:41:27.072 --> 02:41:28.053]  All right, thanks so much, Alex.
[02:41:28.293 --> 02:41:28.593]  You bet.
[02:41:28.633 --> 02:41:29.494]  All right, I'm going to do this.
[02:41:29.514 --> 02:41:30.495]  I'm going to take your calls.
[02:41:30.535 --> 02:41:31.276]  I'm going to get to everybody.
[02:41:31.756 --> 02:41:37.638]  Not this Sunday, but the Sunday after April 22nd is going to be the big anti-amnesty rally in front of the White House.
[02:42:00.945 --> 02:42:04.586]  Followed up by the Hold Their Feet to the Fire talk radio rally.
[02:42:05.246 --> 02:42:07.507]  Are you going to participate in that in any capacity?
