[00:00:00.289 --> 00:00:05.313]  ...to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com!
[01:20:25.979 --> 01:20:34.766]  By the way, ladies and gentlemen, if you're a new listener, I've probably interviewed, I don't know, over a hundred top scientists, you know, top of their class, work for these companies.
[01:20:35.346 --> 01:20:46.014]  They would feed it to the guinea pigs or the mice and they'd sterilize or they'd have tumors or mutations, which aren't supposed to even happen after utero, but they would mutate after.
[01:20:47.215 --> 01:20:48.476]  We're all eating this stuff.
[01:20:48.976 --> 01:20:50.898]  It's very hard to find real organic food.
[01:20:52.376 --> 01:20:56.997]  Because the staple crops have all been infected and we're talking to the amazing author.
[01:20:57.017 --> 01:21:05.639]  You can get his books and videos, by the way, I want you to get them at InfoWars.com or also go to seedsofdeception.com.
[01:21:05.679 --> 01:21:10.101]  That's his site and find out about all the other organizations they have, the documents, the research.
[01:21:10.501 --> 01:21:12.301]  We're only skimming the surface here.
[01:21:13.121 --> 01:21:19.903]  As crazy as all this sounds, it just so happens the one plastic of hundreds they chose to have be the standard plastic used in the West is the one that
[01:21:20.584 --> 01:21:22.467]  Leeches chemicals that sterilize.
[01:21:22.988 --> 01:21:26.713]  It just so happens, you know, that again they're letting the melamine attack the children.
[01:21:27.274 --> 01:21:29.137]  All of this, and I have the UN documents.
[01:21:30.029 --> 01:21:45.944]  The United Nations Biological Diversity Assessment 96 and others, it's in my film Road to Tyranny, where they state on record, we need to sterilize more than 80% of the world population, to reduce the world population, we need to look at binary weapon systems to do this.
[01:21:46.284 --> 01:21:55.093]  Now a binary weapon system is something where they combine two different things to actually create the weapon, to actually create the toxin.
[01:21:55.654 --> 01:21:56.557]  And that's a separate issue.
[01:21:56.577 --> 01:21:58.202]  I don't know if Mr. Smith wants to get into that.
[01:21:58.222 --> 01:22:00.530]  I'm not familiar with his research in that area.
[01:22:00.630 --> 01:22:02.396]  But this is about eugenics.
[01:22:03.469 --> 01:22:06.270]  But I want to start taking calls coming up in the next segment.
[01:22:06.530 --> 01:22:09.691]  I know we have had callers holding from the first about other issues, but I'm sorry.
[01:22:10.111 --> 01:22:13.392]  We're specifically talking about GMO or poisons or things in the food and water.
[01:22:13.832 --> 01:22:18.574]  And that number, of course, to join us is 877-590-5525.
[01:22:19.354 --> 01:22:31.438]  But Mr. Smith, continuing, you've gotten up to the latest, what, just two weeks ago, a European study by one of the top research outfits out of Europe in Austria.
[01:22:31.458 --> 01:22:32.078]  Please continue.
[01:22:32.682 --> 01:22:36.324]  Yes, this was an actual Austrian Government Commission study.
[01:22:36.424 --> 01:22:39.086]  A rare thing from the Government Commission's study.
[01:22:39.586 --> 01:22:41.788]  And it was also rare because it was long-term.
[01:22:42.408 --> 01:22:52.954]  They did four generations in one case where they fed the mice and then they took the offspring and they fed the mice and they took their offspring so they had great-grandchildren.
[01:22:53.495 --> 01:22:59.438]  And they also did a thing where they took multiple litters where they had one set of parents and they gave four different litters.
[01:23:00.279 --> 01:23:01.380]  And the four different litters
[01:23:02.282 --> 01:23:20.912]  They had, and also in the multiple generation, in the third and fourth generation or litters, the number of offspring among the GM fed mice and the weight of the offspring was less, showing levels of infertility and also offspring problems with their health.
[01:23:21.973 --> 01:23:29.237]  And it was very similar in fact to, of course, the Russian study where there was smaller offspring.
[01:23:30.150 --> 01:23:39.335]  But in this case there was less offspring also showing clear trend and in one case statistical significance towards infertility and problems with the offspring.
[01:23:39.695 --> 01:23:42.817]  So we see it now in farmer reports.
[01:23:43.519 --> 01:23:47.741]  We see it in studies done on soybeans and studies done on corn.
[01:23:48.241 --> 01:23:50.542]  What about the potato study done by the British in the 90s?
[01:23:50.902 --> 01:23:52.183]  This was a brilliant study.
[01:23:52.203 --> 01:24:08.050]  A good friend of mine, Dr. Arpad Pustai, one of the world's leading researchers in his field, was commissioned by the UK government to create the ideal testing protocol which was going to be made law in the EU to assess the safety of GMOs.
[01:24:08.730 --> 01:24:13.531]  And he led 30 researchers in three different institutes to create the testing protocol.
[01:24:14.151 --> 01:24:19.032]  And he genetically engineered potatoes to produce an insecticide and fed it to rats.
[01:24:19.672 --> 01:24:21.193]  And the rats got quite sick.
[01:24:21.213 --> 01:24:27.054]  They got potentially precancerous cell growth in the digestive tract, smaller brains, livers, and testicles.
[01:24:27.094 --> 01:24:28.354]  There we have the testicles again.
[01:24:28.374 --> 01:24:29.134]  Yeah.
[01:24:29.194 --> 01:24:31.715]  Partial atrophy of the liver, damaged immune system.
[01:24:32.275 --> 01:24:36.236]  Now he also fed controls natural potatoes and they didn't get sick.
[01:24:36.676 --> 01:24:44.379]  And he fed another set of controlled natural potatoes spiked with the insecticide that the GM potato was designed to produce, and they didn't get sick.
[01:24:44.759 --> 01:24:47.641]  So it wasn't the insecticide that was being produced.
[01:24:47.661 --> 01:24:52.963]  It's the fact, and I've interviewed him, that it's wound into the DNA itself, so the body gets tricked and is absorbing.
[01:24:53.779 --> 01:25:06.011]  The thing is, we don't know exactly what it is, but we can say, generically, the process of genetic engineering and all the things that can happen somehow cause these damage to the rats in just 10 days.
[01:25:06.071 --> 01:25:07.232]  And by the way, only 10 days.
[01:25:07.552 --> 01:25:10.975]  And by the way, they were only looking at that one area in rats.
[01:25:11.295 --> 01:25:16.020]  He said on the show that with the gene gun, it was also randomly doing other things to the potatoes.
[01:25:16.340 --> 01:25:17.542]  Of course, and that's what happens.
[01:25:17.662 --> 01:25:25.452]  And you know, there's one thing we haven't even discussed, and that's the fact that the genes could transfer inside our own DNA, our own gut bacteria, and that might have happened also.
[01:25:25.512 --> 01:25:29.858]  And we see all these diseases, Crohn's-like, just exploding off the charts suddenly.
[01:25:30.278 --> 01:25:31.560]  Everywhere where these foods are eaten.
[01:25:32.220 --> 01:25:41.249]  All the GI tract stuff, all the allergies, the autoimmune system stuff, all of that could easily be exacerbated by the fact that we're eating these genetically engineered crops.
[01:25:41.589 --> 01:25:47.875]  The only human feeding study ever conducted shows that the genes actually colonize the DNA of our gut bacteria.
[01:25:48.115 --> 01:25:55.502]  They continue to exist inside us long after we stop eating the genetically engineered... Okay, here's the $64 million question and then I want to go back into...
[01:25:56.082 --> 01:25:57.783]  All these horrors that are all documented.
[01:25:57.803 --> 01:25:59.945]  I haven't told you what happened to the researcher.
[01:25:59.985 --> 01:26:01.426]  You know, but your audience doesn't.
[01:26:01.446 --> 01:26:02.146]  Go ahead, what's the question?
[01:26:02.186 --> 01:26:02.567]  No, no, no.
[01:26:02.627 --> 01:26:03.747]  Go ahead and finish up there and then.
[01:26:04.388 --> 01:26:15.535]  Why is Monsanto and Cargill and these other guys, we know it's about money and power and they brag that they're taking over the entire genetic code of the planet and ha ha ha, then they sue people when their own crops infect them.
[01:26:15.555 --> 01:26:16.896]  I mean, it's just amazing.
[01:26:18.576 --> 01:26:21.057]  But, why are they doing this to their own families?
[01:26:21.117 --> 01:26:28.019]  And then the answer is, they built their own secret gene bunkers, gene arcs, and now they admit they have them.
[01:26:28.179 --> 01:26:29.900]  There's a larger plan clearly there.
[01:26:29.920 --> 01:26:33.081]  I know you don't like to speculate, but why are they doing this?
[01:26:33.581 --> 01:26:38.163]  Well, let's tell you what happened to this fella, Arpad Pustai, when he was concerned.
[01:26:38.183 --> 01:26:45.585]  What happened was, he went public with his concerns about the effects of GMOs on the rats.
[01:26:46.164 --> 01:26:52.809]  And was a hero for about two days at the Rout Institute, the top research institute in nutrition in the UK, and one of the best in the world.
[01:26:53.410 --> 01:27:15.628]  And then, after two days of being praised up and down by the director, who is now giving press releases and holding press interviews, that director got a call from the Prime Minister's office, forwarded through the receptionist, two phone calls actually, and the next morning, Dr. Pustai was fired from his job after 35 years and silenced with threats of a lawsuit,
[01:27:16.147 --> 01:27:18.248]  But now the good news is, years later, he's been vindicated.
[01:27:34.279 --> 01:27:34.819]  Absolutely.
[01:27:34.859 --> 01:27:38.801]  He was allowed to speak before Parliament seven months later, which means he got his data back.
[01:27:39.161 --> 01:27:43.963]  There was an immediate peer review by 23 independent top scientists in the world.
[01:27:44.203 --> 01:27:45.824]  They all said his stuff was good.
[01:27:46.164 --> 01:27:57.709]  It's now published in The Lancet, and it's the most in-depth animal feeding study yet published on genetically engineered foods, implicating the process itself as causing this huge damage in just ten years.
[01:27:57.729 --> 01:28:00.270]  So why are the... how do they think they're going to get away with it?
[01:28:01.337 --> 01:28:10.591]  Well, one of the things is by keeping the number of studies so low, and by the United States eliminating the need for labeling, it's very hard to sue these companies.
[01:28:11.272 --> 01:28:18.097]  for damages to health, because you don't have... it's hard to say it's because of GMOs unless you've done the studies.
[01:28:18.137 --> 01:28:29.626]  Every time a study comes and points to a problem, the person who's gotten the study has lost their funding, denied tenure, fired, stripped of responsibilities, forced out, threatened, etc.
[01:28:29.846 --> 01:28:31.027]  And this is what we document.
[01:28:31.587 --> 01:28:37.612]  And so what we're having right now is there's less than three dozen peer-reviewed published animal feeding studies on Earth
[01:28:38.360 --> 01:28:41.901]  Even though these foods are being fed to a billion people for a dozen years.
[01:28:42.201 --> 01:28:47.163]  Alright, you're also involved in the Institute for Responsible Technology, ResponsibleTechnology.org.
[01:28:47.183 --> 01:28:52.424]  We'll tell folks about some of your books and videos when we get back in the new film about Monsanto.
[01:28:52.905 --> 01:29:02.028]  Ladies and gentlemen, this is real, this is happening, and I just want to warn everybody that please don't take this for granted that you're being warned.
[01:29:02.428 --> 01:29:05.709]  Check out the evidence for yourself, at least for your children.
[01:29:05.949 --> 01:29:06.589]  We'll be right back.
[01:29:09.304 --> 01:29:24.154]  Now that the election is over and the shock is beginning to wear off, Ready Reserve Foods, in an effort to get as many Americans prepared for the promised changes of the new administration, and to help you and your family survive the global economic crash, Ready Reserve is offering the pre-inauguration special.
[01:29:24.774 --> 01:29:31.519]  Between now and January 20th, 2009, all food units U1 through U7 are being offered at wholesale prices.
[01:29:32.000 --> 01:29:33.561]  That's a 33% savings.
[01:29:33.861 --> 01:29:37.144]  A year's supply of meals starts as low as 73 cents per meal.
[01:29:37.564 --> 01:29:40.887]  Ready Reserve Food offers only the highest quality dehydrated food.
[01:29:41.367 --> 01:29:46.211]  Packed in double enameled cans in an inert nitrogen atmosphere, allowing a 15 plus year
[01:29:46.291 --> 01:29:48.172]  How would you like to save up to 90% on your phone bill?
[01:30:15.496 --> 01:30:17.937]  It can be done thanks to Empire One Telecom.
[01:30:18.497 --> 01:30:24.400]  EOT offers voice over IP technology that will allow you to make phone calls from your home or business without the high cost.
[01:30:25.220 --> 01:30:30.042]  Take advantage of EOT's most popular plan which includes unlimited long distance throughout the U.S.
[01:30:30.102 --> 01:30:34.904]  and Canada and 360 minutes of international calling for only $19.95 a month.
[01:30:36.984 --> 01:30:38.285]  Plus all calling plans include
[01:30:39.434 --> 01:30:40.234]  We're good to go.
[01:31:08.416 --> 01:31:08.836]  Drought.
[01:31:09.097 --> 01:31:09.777]  Crop failure.
[01:31:10.037 --> 01:31:11.018]  Economic collapse.
[01:31:11.398 --> 01:31:11.839]  Famine.
[01:31:12.059 --> 01:31:13.560]  Is this in America's future?
[01:31:14.120 --> 01:31:17.042]  Sadly, this is part of America's not-so-distant past.
[01:31:17.382 --> 01:31:24.928]  During the Great Depression, half of the American people grew much of their own food, but over 18 million people suffered from starvation.
[01:31:25.268 --> 01:31:29.253]  Today it's been estimated that only 1% of Americans grow their own food.
[01:31:29.513 --> 01:31:32.817]  Plan for your family's future and don't leave anything to chance.
[01:31:33.137 --> 01:31:40.065]  Go to GetSeeds.net and give the gift of life this Christmas and help ensure that if history repeats itself, you
[01:31:40.205 --> 01:31:40.425]  Thank you.
[01:32:14.381 --> 01:32:15.661]  The time clock is ticking.
[01:32:16.301 --> 01:32:17.262]  Laws could change.
[01:32:17.622 --> 01:32:19.842]  The New World Order is advancing rapidly.
[01:32:20.362 --> 01:32:22.463]  Health consciousness is fading away.
[01:32:22.843 --> 01:32:28.024]  Junk food, fast food, fat food is the New World Order's game.
[01:32:28.364 --> 01:32:29.864]  Don't play the game!
[01:32:30.285 --> 01:32:36.586]  Slim down, detox, and cleanse yourself from the chemical foods and processed food that we intake daily.
[01:32:36.826 --> 01:32:38.266]  And now for the holiday special.
[01:32:38.407 --> 01:32:41.648]  Buy one month of Super Tee and we'll throw in an extra two weeks.
[01:32:41.888 --> 01:32:42.448]  That's right.
[01:32:42.808 --> 01:32:45.769]  One month of Super Tee and we'll throw in an extra two weeks.
[01:32:45.949 --> 01:32:47.830]  It won't last long, so order now.
[01:32:48.110 --> 01:32:49.550]  GetTheTee.com.
[01:32:49.830 --> 01:32:51.531]  That's GetTheTee.com.
[01:32:51.991 --> 01:32:52.711]  Or call us at 928-308-0408.
[01:32:52.731 --> 01:32:53.051]  That's 928-308-0408.
[01:32:53.071 --> 01:32:54.412]  Order now before you can't.
[01:33:09.695 --> 01:33:12.481]  Thank you for listening to GCN.
[01:33:12.582 --> 01:33:15.088]  Visit GCNlive.com today.
[01:33:27.146 --> 01:33:30.207]  All right, we're going to have time for a few phone calls for our guests.
[01:33:30.247 --> 01:33:33.348]  Normally, you know, I would have gotten your calls earlier in the first hour.
[01:33:33.368 --> 01:33:34.589]  I know you're all over the map, callers.
[01:33:34.629 --> 01:33:37.830]  I'm not going to be able to get to folks, probably on other issues.
[01:33:37.850 --> 01:33:43.952]  But if you want to call in specifically on genetically modified foods and their effects and what you plan to do about it, we've got some solutions.
[01:33:44.652 --> 01:33:45.733]  Then the toll-free number is 877-590-5525.
[01:33:45.753 --> 01:33:45.813]  877-590-5525.
[01:33:45.833 --> 01:33:49.774]  You're listening to us out of the mothership station that we send the syndicated broadcast out on.
[01:33:56.664 --> 01:33:57.568]  News Radio 590 KLBJ, it's 836-0590.
[01:33:57.588 --> 01:33:58.672]  You disagree with us, call in.
[01:34:02.757 --> 01:34:03.977]  Believe me, I wish this wasn't true.
[01:34:04.017 --> 01:34:10.598]  It's hard to try to only get organic food for my children, or to ask them at restaurants when we're there and have them act like we're weirdos.
[01:34:11.518 --> 01:34:14.739]  I mean, I've never been, quote, a health nut on this big kick.
[01:34:15.159 --> 01:34:17.199]  I researched this myself and found out it was true.
[01:34:17.559 --> 01:34:20.820]  By the way, Jeffrey M. Smith's books are just gorgeous.
[01:34:20.860 --> 01:34:22.900]  They're like textbooks, but they're fun to read.
[01:34:23.320 --> 01:34:27.081]  They're big color photographs, documents, all the research is right there.
[01:34:27.561 --> 01:34:30.182]  You need to get the Deadly Gamble Combo.
[01:34:30.202 --> 01:34:32.282]  We have it at InfoWars.com in the shopping cart.
[01:34:33.262 --> 01:34:47.849]  It's got the two film, one audio CD combo pack in it, and then it's got his two books for one super low price, the GMO Trilogy DVD CD set from Jeffrey Smith.
[01:34:47.869 --> 01:34:49.290]  That's $19.95 by itself.
[01:34:49.710 --> 01:34:57.334]  Or you can get it in the deadly gamble combo with his two big books on the subject, Genetic Roulette and Seeds of Destruction.
[01:34:58.094 --> 01:35:02.237]  Uh, or you can get those separately again at Infowars.com.
[01:35:02.817 --> 01:35:09.301]  And before he leaves us, I'll get him to briefly talk more about those and the new film he's in about Monsanto that we're not selling yet, but we've just ordered.
[01:35:09.321 --> 01:35:14.284]  We'll have them on the shopping cart soon, but I hope you'll get it and have parties and show it to friends and family and neighbors.
[01:35:14.704 --> 01:35:16.625]  We have to educate people.
[01:35:16.665 --> 01:35:19.467]  And again, the good news is we could turn the corner on this.
[01:35:19.487 --> 01:35:22.168]  We're having some major victories in the fight against it.
[01:35:22.748 --> 01:35:25.230]  Um, Jeffrey, I mean, continuing with that statement,
[01:35:25.650 --> 01:35:28.272]  I understand that they're able to cover it up through the controlled media.
[01:35:28.352 --> 01:35:34.817]  I understand that they limit the studies or go after the governments or institutions that do expose this, even when it's their own researchers.
[01:35:34.837 --> 01:35:35.998]  I understand how they're suppressing it.
[01:35:36.784 --> 01:35:38.705]  But not completely successfully.
[01:35:38.745 --> 01:35:41.905]  Now, my issue is, why are they doing this?
[01:35:42.585 --> 01:35:44.546]  And I mean, I really know why.
[01:35:44.606 --> 01:35:47.707]  It's part of the larger sterilization program against humans.
[01:35:47.767 --> 01:35:50.267]  And we see the sperm count dropping by 80 percent.
[01:35:50.327 --> 01:35:51.728]  Women infertility exploding.
[01:35:52.068 --> 01:35:52.968]  I mean, this is everywhere.
[01:35:52.988 --> 01:35:53.728]  We know in pigs.
[01:35:53.788 --> 01:35:54.488]  We know in cows.
[01:35:54.508 --> 01:35:55.109]  We know in sheep.
[01:35:55.149 --> 01:35:55.829]  We know in rats.
[01:35:55.869 --> 01:35:56.489]  We know in mice.
[01:35:56.829 --> 01:35:57.329]  It's doing it.
[01:35:57.849 --> 01:35:59.670]  Animals we test that are similar to us.
[01:36:00.170 --> 01:36:00.810]  And it's happening.
[01:36:00.850 --> 01:36:03.351]  But I mean, from what you know, why are they doing this?
[01:36:03.371 --> 01:36:04.951]  From what they admit or what they've said.
[01:36:05.822 --> 01:36:23.189]  Well, what is interesting, Arthur Anderson Consulting was giving a lecture at a biotech conference in January 1999, and they described how they had worked with their client, Monsanto, by asking the executives to describe their ideal future in 15 to 20 years.
[01:36:23.729 --> 01:36:29.712]  And the executives described a world in which 100% of all commercial seeds were genetically engineered and patented.
[01:36:30.552 --> 01:36:33.053]  And so Anderson Consulting worked backwards from that goal
[01:36:33.760 --> 01:36:35.741]  To create the strategy and tactics to achieve it.
[01:36:36.621 --> 01:36:43.303]  Another biotech company at the same conference projected a 95% takeover of all commercial seeds within five years by 2004.
[01:36:44.963 --> 01:36:58.287]  So their ambition was to replace nature, is still to replace nature, and even though there's only eight genetically engineered food crops, and you could find them at ResponsibleTechnology.org along with a shopping guide how to avoid them,
[01:36:58.985 --> 01:36:59.706]  And let's explain.
[01:36:59.746 --> 01:37:04.389]  They are militarily going into countries where it's illegal and secretly setting up growing operations.
[01:37:04.409 --> 01:37:05.970]  They're caught every week doing this.
[01:37:06.011 --> 01:37:07.251]  So they understand.
[01:37:07.412 --> 01:37:09.393]  And that infects all the similar plants.
[01:37:28.288 --> 01:37:29.409]  That's what happened in Brazil.
[01:37:29.429 --> 01:37:36.273]  There were huge numbers of trucks of seeds coming across from Argentina planting illegal genetically engineered soy.
[01:37:36.613 --> 01:37:37.814]  It happened in Paraguay.
[01:37:38.194 --> 01:37:49.841]  It's happened in other places where it becomes so infected in the area that the government just gives up and says, well, I guess we have to approve it because it's already... Well, I remember, well, that's another Monsanto executive said that.
[01:37:49.881 --> 01:37:53.423]  He said, we're just going to take over so everything's infected and you don't have a choice.
[01:37:53.483 --> 01:37:57.325]  But I remember seeing like seven, eight years ago a headline on the BBC that
[01:37:58.868 --> 01:38:03.136]  89% of the ancient Mexican corn varieties have all been infected.
[01:38:03.597 --> 01:38:08.627]  Well, if you like this story, a friend of mine was debating with a person from USAID.
[01:38:09.682 --> 01:38:12.664]  Was definitely trying to push GMOs around the world.
[01:38:13.064 --> 01:38:15.286]  And he's debating on South African television.
[01:38:15.866 --> 01:38:19.329]  And after the lights go down, the cameras are shut off, they're still arguing.
[01:38:19.769 --> 01:38:21.870]  And at one point she says, you just wait.
[01:38:22.471 --> 01:38:28.515]  There'll be so much contamination of genetically engineered corn in South Africa, no one in Africa can grow non-GM corn.
[01:38:29.488 --> 01:38:40.115]  So she let it out of the bag that her intention was to contaminate the food supply forcibly so that no one could grow non-GM stuff.
[01:38:40.215 --> 01:38:58.008]  And their favorite is where the plant develops a pesticide in its own genetic code so bugs won't eat it or animals won't eat it but then they feed it to us and of course most animals have better olfactory nerves, noses, than we do and so they're able to get away with this so it's extremely
[01:38:58.628 --> 01:39:00.288]  Extremely cold-blooded and wide-reaching.
[01:39:00.308 --> 01:39:01.349]  You know, I tell people about this.
[01:39:01.369 --> 01:39:02.709]  I'll read like an AP article on air.
[01:39:02.729 --> 01:39:15.872]  I remember about five years ago it was about protegine in Texas with a pharmacological crop of corn that grew HIV virus shells in it.
[01:39:16.452 --> 01:39:18.973]  And I told people on air they thought I was making this up.
[01:39:19.353 --> 01:39:24.374]  Yeah, the thing is, there's a whole pharmaceutical crop concept
[01:39:26.182 --> 01:39:37.270]  For example, Prodigene Company was growing a vaccine for pig diarrhea in a corn field in Iowa, right near Nebraska.
[01:39:38.091 --> 01:39:50.881]  And the next year, the farmer was growing soybeans on the same field, but the inspectors just happened to be driving by and noticed there was some corn stubble from the previous year and some corn stalks coming through.
[01:39:51.599 --> 01:39:51.920]  I don't
[01:40:11.221 --> 01:40:12.122]  Well, why virus?
[01:40:31.167 --> 01:40:32.248]  Next to other corn!
[01:40:32.288 --> 01:40:32.788]  Let's explain.
[01:40:32.828 --> 01:40:35.631]  They can have animal virus grown in the plants.
[01:40:36.231 --> 01:40:51.184]  Now, I also tell people, I'll read like a Toronto Star or a Reuters headline, I don't believe it, that cloned beef, cloned, you know, all these major staples, cloned pigs in Canada and the United States, they say, yeah, it's already in the food chain, it's already been bred, nothing you can do about it.
[01:40:51.404 --> 01:40:53.265]  And people say, they don't clone cows!
[01:40:55.037 --> 01:41:02.383]  Well, you know, you're right about that, that they tried to put a spider gene into a goat to milk the goat to get spider web protein to make bulletproof vests.
[01:41:02.884 --> 01:41:07.428]  They put human genes into corn to make spermicide.
[01:41:08.929 --> 01:41:20.639]  And it's interesting, this whole thing, this is interesting, that the pigs and cows that were getting sterile from certain varieties of genetically engineered corn, it seemed to cost around a certain number of years and a certain number of
[01:41:21.261 --> 01:41:24.602]  It was actually all over the United States, but mostly in Iowa.
[01:41:25.023 --> 01:41:31.905]  There was a company that took corn cobs and crushed them up so that they were used for bedding for animals.
[01:41:32.305 --> 01:41:46.031]  And a Baylor University study was doing something on mice, and they found that when the mice were in a cage with these crushed corn cobs, then they became sterile or largely infertile.
[01:41:46.832 --> 01:41:46.972]  Yeah.
[01:41:58.712 --> 01:42:08.959]  Much higher, apparently causing the sterility, and the researcher said in his published research that he found that the levels were different in genetically engineered corn.
[01:42:09.019 --> 01:42:14.542]  Well, as you know though, with genetic engineering, the holy grail is to actually get the change you want.
[01:42:15.243 --> 01:42:21.547]  This is not an accident that magically it's always about sterilization, just magically every product sterilized, sterilized.
[01:42:22.027 --> 01:42:24.409]  I mean, this is clearly being done by design.
[01:42:24.429 --> 01:42:27.331]  When they're in there changing one thing, they're really in there changing other things.
[01:42:27.970 --> 01:42:28.891]  You know, it's interesting.
[01:42:29.272 --> 01:42:38.843]  One thing that is an argument against the idea that it's being used for population control is that it's not targeted.
[01:42:38.883 --> 01:42:39.564]  It's a shotgun.
[01:42:39.644 --> 01:42:42.628]  Once you put it in the environment, you can't control it.
[01:42:42.688 --> 01:42:45.571]  It can outlast the effects of global warming and nuclear waste.
[01:42:45.932 --> 01:42:46.753]  It can spread.
[01:42:47.253 --> 01:42:49.955]  We don't have a technology to search and destroy.
[01:42:49.995 --> 01:42:54.798]  It's like trying to recall genetically engineered salmon from the ocean or mosquitoes from the environment.
[01:42:55.138 --> 01:42:58.861]  So if these people... Oh yeah, I forgot about the GMOs, the mosquitoes.
[01:42:59.281 --> 01:42:59.641]  Stay there.
[01:42:59.661 --> 01:43:01.082]  We're going to come back with a final segment.
[01:43:01.362 --> 01:43:02.663]  Boy, this has gone by really fast.
[01:43:02.683 --> 01:43:04.865]  We'll try to cram some of your calls in when we get back.
[01:43:04.905 --> 01:43:05.665]  I mean, if you care.
[01:43:06.085 --> 01:43:08.007]  If not, just, I guess, kiss your butts goodbye.
[01:43:09.036 --> 01:43:11.758]  Can't decide what to give your friends and family this Christmas?
[01:43:12.339 --> 01:43:18.124]  Why not give them the most unique gift available by helping them protect their credit card numbers and personal information from thieves?
[01:43:18.384 --> 01:43:23.789]  There are now millions of credit cards, debit cards, and passports in circulation that contain an RFID chip.
[01:43:23.949 --> 01:43:29.394]  These new cards and passports make transactions a breeze, but introduce a new threat to your personal information.
[01:43:29.634 --> 01:43:32.676]  These cards can be read while still in your wallet or purse.
[01:43:32.936 --> 01:43:38.238]  So, this Christmas, give your friends and family a pack of Secure Sleeves from Identity Stronghold.
[01:43:38.498 --> 01:43:47.243]  Our radio-blocking Secure Sleeves block the signals needed to read the RFID chip inside their new credit cards and passports, keeping their personal data safe and secure.
[01:43:47.523 --> 01:43:51.727]  You can buy them on the web at www.idstronghold.com.
[01:43:51.827 --> 01:43:55.190]  That's www.idstronghold.com.
[01:43:55.351 --> 01:43:56.211]  Or call toll free 800-610-2770.
[01:43:56.232 --> 01:43:56.272]  800-610-2770.
[01:43:56.292 --> 01:43:58.173]  Order now and get them in time for Christmas.
[01:43:58.253 --> 01:43:59.294]  Go to idstronghold.com today.
[01:44:09.222 --> 01:44:12.445]  Santa, Christmas Eve, and you haven't left yet?
[01:44:12.905 --> 01:44:15.147]  Ho ho ho ho ho!
[01:44:15.508 --> 01:44:16.248]  No!
[01:44:16.669 --> 01:44:18.110]  I can't find my keys.
[01:44:18.410 --> 01:44:19.511]  Here's the perfect gift.
[01:44:19.711 --> 01:44:23.455]  Our patented Find One, Find All Key Finder, or FOFA XD for short.
[01:44:23.795 --> 01:44:28.979]  Once a FOFA Key Finder is attached to each of those easy-to-lose things, it can find and be found by all the rest.
[01:44:29.200 --> 01:44:35.185]  Use your wallet to find your keys, your keys to find the remote control, or any of them to find an uncharged or muted cell phone.
[01:44:35.325 --> 01:44:41.131]  Fofa goes through walls, cushions and laundry baskets up to 30 feet and projects a loud 90 plus decibel beep.
[01:44:41.332 --> 01:44:44.435]  And new for Christmas, there's even a Fofa just for eyeglasses.
[01:44:44.635 --> 01:44:46.837]  Where did I put my glasses, Mrs. Claus?
[01:44:47.884 --> 01:44:49.085]  Well, here they are!
[01:44:49.385 --> 01:44:52.908]  Luckily, Rudolph's nose isn't the only thing that lashes.
[01:44:53.168 --> 01:44:56.951]  Order your FOFA today with batteries included along with a 30-day money-back guarantee.
[01:44:57.031 --> 01:44:57.311]  Call 866-245-8670.
[01:44:57.331 --> 01:44:57.651]  That's 866-245-8670.
[01:44:57.691 --> 01:44:59.413]  Or buy online at findonefindall.com.
[01:44:59.453 --> 01:45:00.433]  Again, that's findonefindall.com.
[01:45:08.683 --> 01:45:11.125]  Are you tired of the high cost of home energy bills?
[01:45:11.465 --> 01:45:15.769]  Millennium Technologies has an answer that every listener to this station needs to hear.
[01:45:16.129 --> 01:45:20.473]  An Australian inventor has developed a generator that is powered by the energy of magnets.
[01:45:20.733 --> 01:45:25.297]  And through this technology, the ability to power a typical home with this generator has arrived.
[01:45:25.477 --> 01:45:31.282]  This high-tech generator harnesses the power of permanent magnets and requires no fossil fuel to produce electrical power.
[01:45:31.582 --> 01:45:41.987]  Visit agreeneralternative.com to learn how you can qualify to have a similar, larger, more advanced unit installed in your home by Millennium Technologies with no cost to you ever!
[01:45:42.267 --> 01:45:47.369]  As a promotional offer, a limited number of units will be available at no cost to kick off our program.
[01:45:47.609 --> 01:45:56.693]  To learn more and see a 5-minute independent TV news story on this revolutionary new device, please visit us online at agreeneralternative.com.
[01:45:56.913 --> 01:45:59.194]  That's agreeneralternative.com.
[01:45:59.514 --> 01:46:00.015]  Or call 815-648-4400.
[01:46:00.075 --> 01:46:00.335]  That's 815-648-4400.
[01:46:08.729 --> 01:46:10.590]  Heart disease is on the rise.
[01:46:10.710 --> 01:46:17.394]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[01:46:17.674 --> 01:46:25.839]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[01:46:26.059 --> 01:46:31.802]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[01:46:32.102 --> 01:46:32.502]  I don't know.
[01:46:50.672 --> 01:46:54.554]  Order your two-month supply today by calling 866-295-5305.
[01:46:54.875 --> 01:46:58.597]  That's 866-295-5305.
[01:46:58.777 --> 01:47:01.598]  Or order online at HBextract.com.
