[00:00:00.009 --> 00:00:01.789]  Thank you for listening to GCA.
[03:23:19.778 --> 03:23:22.380]  Or order the DVD at Infowars.com.
[03:23:22.840 --> 03:23:27.743]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[03:23:29.059 --> 03:23:33.784]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[03:23:34.145 --> 03:23:40.492]  Our hemp foods are anti-inflammatory and gluten-free and can greatly benefit the health of the human body.
[03:23:41.233 --> 03:23:49.582]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural food source.
[03:23:50.243 --> 03:23:57.687]  Our customers are also purchasing this natural food for long-term storage, camping, survival and emergency food rations.
[03:23:58.187 --> 03:24:03.710]  Call 908-691-2608 or visit hempusa.org today.
[03:24:03.730 --> 03:24:11.675]  Hempusa.org believes that now is the time to plan for the future and food will be your greatest asset.
[03:24:12.275 --> 03:24:19.059]  People spend money on all kinds of things, but our warning is prepare now for food shortages in the future.
[03:24:19.904 --> 03:24:21.946]  So don't delay, call today.
[03:24:21.966 --> 03:24:28.573]  908-691-2608 and see what our powder, seeds and oil can do for you.
[03:24:28.593 --> 03:24:35.460]  Alright, final signal to Henry Rollins, but he's agreed to come back on in the future.
[03:24:35.520 --> 03:24:35.680]  Henry?
[03:24:43.742 --> 03:24:47.305]  My point is that you're somebody who loves liberty and freedom and I think you're a good guy.
[03:24:47.325 --> 03:24:49.167]  You're speaking out against censorship of the web.
[03:24:49.447 --> 03:24:51.369]  I'd like you to briefly talk about that before you leave us.
[03:24:51.749 --> 03:24:56.494]  But then you talk about, you know, these hillbillies that want to attack a country but can't find it on a map and they want to
[03:24:57.094 --> 03:25:01.217]  Well, I think you should have a gun in your house if you want to defend your family.
[03:25:01.237 --> 03:25:03.939]  I don't think any family, you or me, needs an assault weapon.
[03:25:03.959 --> 03:25:05.099]  If I was a policeman in your town,
[03:25:22.739 --> 03:25:34.153]  And I know I'm going up against people with bullets that can go through my door, through my body, and through the body of my partner, and I am not given ceramic-plated body armor which stops an AK-47 round.
[03:25:34.594 --> 03:25:37.598]  I've got a real problem with that, and I don't think any citizen
[03:25:38.318 --> 03:25:39.599]  What are you going to shoot with a gun?
[03:25:39.880 --> 03:25:40.640]  An intruder?
[03:25:41.101 --> 03:25:41.661]  Yourself?
[03:25:41.981 --> 03:25:42.682]  On a bad day?
[03:25:43.142 --> 03:25:44.323]  Or maybe a deer?
[03:25:44.944 --> 03:25:45.204]  Right?
[03:25:45.624 --> 03:25:49.587]  You're not shooting Al Qaeda, so you don't need an AK-47.
[03:25:50.028 --> 03:25:51.669]  A shotgun?
[03:25:51.689 --> 03:25:52.670]  A handgun?
[03:25:52.790 --> 03:25:53.551]  Fantastic!
[03:25:54.211 --> 03:25:55.312]  An assault weapon?
[03:25:55.432 --> 03:25:59.055]  But see, once you let them start restricting, they can restrict it all.
[03:25:59.095 --> 03:26:02.578]  And certainly, you know, throughout history, tyrants have sought to disarm their quarry.
[03:26:03.078 --> 03:26:08.243]  Yeah, and I just don't think you'd ever be able to disarm America.
[03:26:08.763 --> 03:26:16.170]  I just think it can be delicately regulated to where even Charlton Heston's ghost will be satisfied.
[03:26:16.230 --> 03:26:18.191]  I just don't think Americans use assault weapons.
[03:26:18.572 --> 03:26:20.874]  I don't think you'd ever successfully stop abortion.
[03:26:21.594 --> 03:26:24.836]  Or, you know, take the rifle out of anyone's cold, dead hand.
[03:26:24.896 --> 03:26:27.138]  Well, I mean, I see your point there, but here's another issue.
[03:26:27.678 --> 03:26:32.201]  The sun has no spots on it, it's cooling down, the earth goes up and down in temperature.
[03:26:32.361 --> 03:26:42.667]  I have no doubt we need cleaner fuels, that the oil companies are corrupt, but just to then say, well, we need a global tax to stop global warming, I've got a lot of issues with that.
[03:26:43.234 --> 03:26:44.195]  Well, that's interesting.
[03:26:44.235 --> 03:26:51.560]  I mean, when I go on tour now, I pay money to compensate for the carbon footprint my bus leaves.
[03:26:53.067 --> 03:26:58.590]  And so, when I take my tour bus out on the road, I'm doing damage.
[03:26:58.970 --> 03:27:06.753]  And so I compensate for that by, you know, sending money to this outfit my road manager hooked me up with, and we're going to be... Yeah, buying credits.
[03:27:06.793 --> 03:27:11.636]  Well, I mean, the central banks have said they want us to buy carbon credits from them, and it's just a global tax, Henry.
[03:27:11.676 --> 03:27:16.258]  I'm not saying... I know you want to do good and want to reduce the fuel you're using, and I'm all for that.
[03:27:16.278 --> 03:27:17.538]  I just think you're a smart guy.
[03:27:17.578 --> 03:27:18.779]  You might... You know what?
[03:27:19.773 --> 03:27:20.794]  We're going to go to break when it ends.
[03:27:20.854 --> 03:27:22.456]  Let me get an address or a PO Box for me.
[03:27:22.476 --> 03:27:24.498]  I'm going to mail you a film I made called Endgame.
[03:27:25.019 --> 03:27:26.020]  And I know you're a smart guy.
[03:27:26.040 --> 03:27:28.402]  It has a whole bibliography at whatistheendgame.com.
[03:27:28.782 --> 03:27:32.586]  And I want you to fully look into the larger eugenics operation behind that.
[03:27:32.626 --> 03:27:37.572]  I mean, are you aware that there is a global elite that does want to carry out worldwide population reduction?
[03:27:38.473 --> 03:27:38.693]  Uh, no.
[03:27:40.335 --> 03:27:41.216]  Well, you're a smart guy.
[03:27:41.236 --> 03:27:44.319]  I bet you've come across some of that Malthusian Social Darwin stuff.
[03:27:44.679 --> 03:27:45.599]  Well, yeah.
[03:27:46.780 --> 03:27:49.202]  Malthus said that we're all going to die of starvation.
[03:27:49.803 --> 03:27:54.346]  And the Industrial Revolution momentarily proved him to be wrong.
[03:27:54.947 --> 03:27:57.709]  And now, as soon as you give more people more food, they breed more.
[03:27:58.509 --> 03:28:06.836]  There's a lot going on with food systems in the world, and the unsustainability of soils, and the dangerousness of artificially produced nitrogen.
[03:28:07.676 --> 03:28:19.627]  And the fact that we're breeding these animals so hard and so fast that, you know, they're mutating, and you're eating strange meat, and, you know, your E. coli is going zoonotic more than... Oh, I agree.
[03:28:19.647 --> 03:28:22.070]  I mean, now they make... Clone beef is in the population.
[03:28:22.090 --> 03:28:23.731]  We've got two minutes left with you.
[03:28:24.552 --> 03:28:25.693]  What happened on the airplane?
[03:28:25.713 --> 03:28:28.455]  I mean, you're reading a book, and now reading a book is evil?
[03:28:29.657 --> 03:28:44.256]  I was reading Jihad by Ahmed Rashid and the man sitting next to me called me in to Homeland Security and I was deemed a person of interest for reading a New York Times bestseller put out by the Yale University Press.
[03:28:46.538 --> 03:28:48.160]  It's an interesting time we're living in.
[03:28:48.180 --> 03:28:51.904]  I just bought that guy's new book too, Descent Into Chaos I think it's called.
[03:28:52.264 --> 03:28:53.125]  I've not yet read it.
[03:28:53.185 --> 03:28:54.727]  I just got it in the mail.
[03:28:54.787 --> 03:28:55.588]  I'm looking forward to it.
[03:28:55.608 --> 03:28:57.050]  He's a very astute writer.
[03:28:57.150 --> 03:29:00.033]  Give us a one minute rant on how they're trying to shut down the free web.
[03:29:01.059 --> 03:29:05.541]  Well, I think they're trying to regulate web speeds and accessibility.
[03:29:06.162 --> 03:29:16.647]  I think the short of it is that the man is afraid of you having access to information, lest you start questioning his actions or maybe learning history so you're doomed not to repeat it.
[03:29:17.187 --> 03:29:21.389]  And so I think that the net is wildly informative and they don't want that.
[03:29:21.469 --> 03:29:26.352]  They want you to believe the bumper sticker like Boycott France or anything that comes from the mouth of Rover.
[03:29:26.972 --> 03:29:28.654]  Or, you know, any of these Fox bastards.
[03:29:29.074 --> 03:29:31.576]  And so it's just too much freedom for them to deal with.
[03:29:32.097 --> 03:29:36.741]  Well, I agree, and I've seen some of the rants you've done where you break down the internet, too, and how they're trying to regulate.
[03:29:36.761 --> 03:29:37.962]  I mean, what's the answer?
[03:29:38.002 --> 03:29:38.703]  Just expose it?
[03:29:38.743 --> 03:29:39.524]  Fight back against it?
[03:29:39.984 --> 03:29:42.346]  Well, you fight back as best you can as a citizen.
[03:29:42.827 --> 03:29:47.391]  But, you know, I wonder what can really be done when the hammer comes down on all of that.
[03:29:48.650 --> 03:29:51.512]  I mean, it's damn infuriating.
[03:29:51.632 --> 03:29:58.998]  You know, the beauty of web neutrality is the rich, the poor, you know, the hippie, the gay, everyone has access to information.
[03:29:59.078 --> 03:30:00.119]  Jefferson would have loved this.
[03:30:00.880 --> 03:30:01.460]  Absolutely.
[03:30:01.720 --> 03:30:03.962]  HenryRollins.com, on tour in the U.S.
[03:30:04.062 --> 03:30:04.743]  and worldwide.
[03:30:04.763 --> 03:30:06.844]  Check it out there for when he's coming to your corner of the woods.
[03:30:07.224 --> 03:30:08.926]  He goes everywhere, unless it's Antarctic.
[03:30:09.686 --> 03:30:13.289]  Henry, let me say bye to you here in this break, and that's it for Henry Rollins.
[03:30:13.309 --> 03:30:14.930]  We appreciate him joining us.
[03:30:14.970 --> 03:30:15.431]  Stay with us.
[03:30:20.798 --> 03:30:23.801]  We're on the march, the Empire's on the run.
[03:30:24.722 --> 03:30:27.405]  Alex Jones and the GCN Radio Network.
[03:30:31.474 --> 03:30:34.416]  Fuel prices are up and down, biting into everyone's budget.
[03:30:34.876 --> 03:30:38.399]  If you're ready to start saving at the pump, Fuel Saver technologies can help.
[03:30:38.659 --> 03:30:46.464]  With a small squeeze of our fuel conditioner in your gas tank, more of each gallon of fuel will combust, improving your fuel economy 10 to 20% or more.
[03:30:46.745 --> 03:30:52.249]  Completely safe for all engines, gas or diesel, we guarantee that your savings will exceed the cost of our product.
[03:30:52.669 --> 03:30:55.571]  Our fuel additive reduces the emissions and maintenance costs.
[03:30:56.171 --> 03:30:58.692]  And reduces the friction of engine moving parts.
[03:30:58.992 --> 03:30:59.533]  Our 2 oz.
[03:30:59.573 --> 03:31:05.175]  Consumer Squeeze Bottle costs only $8 and treats 100 gallons of gasoline or 50 gallons of diesel.
[03:31:05.495 --> 03:31:11.318]  If you buy a case of 16 or 32 bottles, the price drops to $6 a bottle and we'll ship it to you for free!
[03:31:11.658 --> 03:31:14.840]  Call us toll free at 866-768-7811 or look online at FuelSaverINC.com.
[03:31:20.222 --> 03:31:21.643]  Start saving on fuel today!
[03:31:21.663 --> 03:31:22.524]  866-768-7811.
[03:31:22.884 --> 03:31:27.368]  Online fuelsaverinc.com.
[03:31:27.628 --> 03:31:29.770]  Spend a little and save a lot!
[03:31:30.671 --> 03:31:37.096]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[03:31:37.416 --> 03:31:39.118]  The enemy struck America on September 11th.
[03:31:40.058 --> 03:31:41.119]  But who is the enemy?
[03:31:41.599 --> 03:31:42.159]  Bin Laden.
[03:31:42.399 --> 03:31:43.300]  This is his ammo.
[03:31:43.320 --> 03:31:44.760]  We have to look to the Middle East.
[03:31:44.780 --> 03:31:46.461]  We have to look to Osama Bin Laden.
[03:31:46.761 --> 03:31:53.504]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[03:31:53.904 --> 03:31:54.364]  Some U.S.
[03:31:54.404 --> 03:32:00.027]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[03:32:00.747 --> 03:32:04.229]  I'm aware that some Israeli citizens have been detained.
[03:32:04.249 --> 03:32:07.050]  Either you are with us, or you are with the terrorists.
[03:32:30.712 --> 03:32:34.973]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[03:32:35.213 --> 03:32:40.255]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[03:32:40.315 --> 03:32:41.735]  Hi folks, Alex Jones here.
[03:32:41.755 --> 03:32:45.337]  Why not go back to basics and be safe with Calbin Pure Soaps?
[03:32:45.437 --> 03:32:50.578]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[03:32:50.838 --> 03:32:56.620]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[03:32:56.960 --> 03:32:59.422]  Now, Calvin Soaps are available to you and me.
[03:32:59.462 --> 03:33:01.804]  Triple concentrated for all your cleaning needs.
[03:33:01.844 --> 03:33:04.165]  From bathing and laundry to dishes, hair and more.
[03:33:04.426 --> 03:33:05.566]  No harsh chemicals.
[03:33:05.626 --> 03:33:06.547]  No animal testing.
[03:33:06.807 --> 03:33:07.968]  I use them and love them.
[03:33:08.148 --> 03:33:09.749]  Knowing they're all natural and safe.
[03:33:10.050 --> 03:33:11.151]  And I say big time.
[03:33:11.451 --> 03:33:12.852]  Call Calvin Pure Soap at 1-800-340-7091.
[03:33:12.872 --> 03:33:13.172]  That's 1-800-340-7091.
[03:33:13.252 --> 03:33:16.174]  Or log on to 5starsoap.com now for a free catalog.
[03:33:22.919 --> 03:33:29.584]  Again, that number, 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[03:33:30.865 --> 03:33:36.649]  This always happens.
[03:33:36.809 --> 03:33:43.054]  During the break, I went to Rollins, and he said, oh yeah, I'd love to come back on for a full hour in the near future to set it up.
[03:33:43.074 --> 03:33:45.856]  So we're going to set him up in November for a full hour.
[03:33:45.876 --> 03:33:48.278]  And I said, yeah, I want to mail you some of my films.
[03:33:48.298 --> 03:33:48.918]  Give me your address.
[03:33:48.938 --> 03:33:50.700]  He goes, well, there's really no need of that, Alex.
[03:33:51.260 --> 03:33:52.161]  I buy your films.
[03:33:53.092 --> 03:33:55.173]  He goes, yeah, my favorite's Terror Storm.
[03:33:58.694 --> 03:34:08.717]  He goes, yeah, I've seen the first Terror Storm, then I got some of your other videos, and then a girlfriend of mine, a friend of mine in Austin gave me the second edition, and I really like that one.
[03:34:09.957 --> 03:34:19.660]  And the phone was ringing, he had to go to another radio interview, so next time we get Rollins on, we'll get a plug, an endorsement of my videos from him on air.
[03:34:20.021 --> 03:34:21.341]  How many people have we reached?
[03:34:21.943 --> 03:34:23.204]  It's all because of you, the listeners.
[03:34:23.764 --> 03:34:24.964]  Hey, hey, Aaron, come on in here.
[03:34:25.404 --> 03:34:26.885]  You don't know why you're being called in here.
[03:34:26.905 --> 03:34:29.086]  Aaron, it's just incredible.
[03:34:29.886 --> 03:34:31.727]  Why don't you pull up a chair here real fast?
[03:34:31.767 --> 03:34:33.867]  I've got some audio clips I want to play and a bunch of other stuff.
[03:34:34.347 --> 03:34:35.668]  You don't know why I'm dragging you in here.
[03:34:36.448 --> 03:34:41.250]  But I want to recognize you, specifically, as the hardest working person in this office.
[03:34:42.527 --> 03:34:43.788]  Uh, no, no, no, not today.
[03:34:44.488 --> 03:34:45.009]  All the time.
[03:34:45.289 --> 03:34:46.690]  And then there's Rob works hard.
[03:34:46.950 --> 03:34:47.630]  Everybody works hard.
[03:34:47.670 --> 03:34:48.531]  I mean, Trey works hard.
[03:34:49.011 --> 03:34:53.194]  But, you know, down that line, uh, the people at this office particularly, we have two offices.
[03:34:53.214 --> 03:34:54.154]  We're about to get rid of this one.
[03:34:54.574 --> 03:34:55.975]  But we're building the other studio, the TV studio.
[03:34:56.015 --> 03:34:57.096]  I've never seen Paul and Kurt.
[03:34:57.136 --> 03:34:58.597]  I'm pretty sure they work pretty hard, too.
[03:34:58.737 --> 03:34:59.237]  No, I don't know.
[03:34:59.277 --> 03:35:00.238]  They work really hard on the web.
[03:35:00.258 --> 03:35:02.299]  But, well, I know Paul and Kurt, and they work hard, too.
[03:35:02.319 --> 03:35:07.262]  I mean, Kurt just had a bunch of dentist work, not much dentistry done, and he's still working.
[03:35:07.923 --> 03:35:09.904]  Uh, but, I mean, you, you were here at 9 a.m.
[03:35:09.924 --> 03:35:10.224]  yesterday?
[03:35:11.218 --> 03:35:12.580]  Yeah, well, ten maybe.
[03:35:24.536 --> 03:35:27.518]  27 hours later, why don't you tell the listeners why you're so excited?
[03:35:27.578 --> 03:35:29.660]  Because I told you to take all week if you needed this.
[03:35:29.680 --> 03:35:36.265]  I mean, you told me earlier, once you started your investigation, you're literally like an old detective on the trail of the bad guys.
[03:35:36.285 --> 03:35:36.665]  Tell folks.
[03:35:36.805 --> 03:35:38.226]  Well, Denver was so exciting.
[03:35:38.927 --> 03:35:42.850]  It's infuriating that we have all these great tapes and they just go stale.
[03:35:42.890 --> 03:35:44.311]  So you're like, get them up, get them up, get them up.
[03:35:44.791 --> 03:35:47.674]  And all the cool people we met and all the interesting things they said.
[03:35:47.694 --> 03:35:57.223]  And then on top of it, this whole Malkin incident and how they just lie and say that you said things like, kill Michelle Malkin, which is utterly ridiculous, completely untrue.
[03:35:57.623 --> 03:35:59.925]  And we proved it now with angle after angle.
[03:36:00.466 --> 03:36:04.710]  And Malkin with her internment camps, I couldn't believe how many times I've said that.
[03:36:04.730 --> 03:36:05.931]  And we've got them touching me first.
[03:36:06.804 --> 03:36:10.946]  Uh, we've got them elbowing me first, and then I do it back, but that's okay for them to elbow and push me.
[03:36:11.006 --> 03:36:12.807]  I just can't do it back, because I did it harder.
[03:36:12.827 --> 03:36:13.487]  I said, don't touch me.
[03:36:13.527 --> 03:36:14.027]  Okay, that's it.
[03:36:14.067 --> 03:36:14.648]  I'm going to push you.
[03:36:14.668 --> 03:36:16.088]  Uh, you know, you're an elbow.
[03:36:16.108 --> 03:36:17.129]  I'm going to elbow you right back.
[03:36:17.809 --> 03:36:19.650]  Uh, but, but, you know, it's, the hoax is still going.
[03:36:19.830 --> 03:36:21.111]  I, I thought we dissipated it.
[03:36:21.171 --> 03:36:23.812]  I mean, people are calling stations, calling sponsors.
[03:36:23.852 --> 03:36:25.553]  Why did I say murder her?
[03:36:25.653 --> 03:36:26.813]  Why, why did I punch her?
[03:36:26.853 --> 03:36:28.014]  Why did I knock her teeth out?
[03:36:28.274 --> 03:36:31.396]  It's kind of like that telephone game where it's that I beat her.
[03:36:31.456 --> 03:36:32.436]  I knocked her teeth out.
[03:36:32.656 --> 03:36:34.377]  I, I, I mean, it's out there now.
[03:36:34.677 --> 03:36:35.197]  I think so, yeah.
[03:37:00.752 --> 03:37:03.232]  Well, you know, we watched some over there, some we got back.
[03:37:03.553 --> 03:37:08.093]  I wasn't thinking I should put these videos up first, and I thought, oh my God, I've got to defend myself from Malkin.
[03:37:08.433 --> 03:37:10.094]  It's like I'm under an inquisition or something.
[03:37:10.134 --> 03:37:12.894]  So you've been on that the last 27, 26 hours.
[03:37:13.214 --> 03:37:14.134]  Tell folks what you found.
[03:37:15.255 --> 03:37:18.955]  Well, you know, first of all, it's a crowd situation, so it's always going to be exciting.
[03:37:19.015 --> 03:37:22.496]  Everyone's, you know, all up in energy from all sides.
[03:37:22.576 --> 03:37:25.676]  The anarchists... Oh, we got attacked at all the other events, hit and punched.
[03:37:25.716 --> 03:37:27.237]  I mean, we were well-behaved compared to the other people.
[03:37:27.777 --> 03:37:29.917]  I mean, old ladies turn into demons at these events.
[03:37:30.017 --> 03:37:36.403]  So, see, the real hoax isn't, you know, who shoved first or who shouted, killed Michelle Malkin, because we know that.
[03:37:36.443 --> 03:37:37.444]  It's a guy in a green shirt.
[03:37:37.765 --> 03:37:41.088]  We don't know his name, but we can see him from multiple video angles.
[03:37:41.468 --> 03:37:52.640]  The real hoax is that Michelle Malkin is supposed to be this cute little woman, and, you know, she's always preaching not to go off of, you know, diversity and not to judge
[03:37:53.320 --> 03:37:55.021]  You know, based on race and stuff.
[03:37:55.541 --> 03:38:07.428]  Well, this crowd is going off the fact she's a woman, yet she's pitching these horrible ideas of internment camp, defending murder of puppies, when nobody cares about dead Iraqi children, dead Iraqi adults.
[03:38:08.047 --> 03:38:11.689]  She's saying FEMA camps are good, torture's good, makes jokes about it.
[03:38:12.049 --> 03:38:19.432]  And that's not just something you shouted at her in the crowd, as though free speech wasn't your right, as though you're not supposed to confront horrible, monstrous ideas.
[03:38:19.933 --> 03:38:30.337]  But on YouTube, there's just endless clips, hours and hours of her pitching her book, The Case for Internment, and paralleling it with the Japanese internment.
[03:38:30.357 --> 03:38:33.639]  And now arresting whole groups of Americans, whole races, whole religions.
[03:38:34.239 --> 03:38:40.524]  Criticize the government, go to a camp, and then I'm not supposed to say, I don't like you pushing me to go in a camp when it's clearly a talking point?
[03:38:40.604 --> 03:38:41.824]  Alex, didn't you read the book?
[03:38:41.845 --> 03:38:45.167]  You don't just profile on religion, you also profile on race.
[03:38:45.727 --> 03:38:46.488]  And on nationality.
[03:38:46.528 --> 03:38:47.448]  And on their statements.
[03:38:47.689 --> 03:38:49.630]  You don't agree with the government, you go to a camp, yeah.
[03:38:50.279 --> 03:38:51.100]  How dare I?
[03:38:51.420 --> 03:38:54.501]  Imagine the Founding Fathers, if they would have, the Sons of Liberty.
[03:38:54.762 --> 03:38:59.304]  They'd have seen somebody running around publishing books about, lock up anyone that criticizes the Crown.
[03:38:59.344 --> 03:39:02.226]  Well, that's actually what happened, and they would actually lynch you.
[03:39:02.326 --> 03:39:03.186]  Now, we didn't do that.
[03:39:03.567 --> 03:39:04.467]  We're not calling for that.
[03:39:04.747 --> 03:39:06.788]  But this is how gilded even our own movement is.
[03:39:07.069 --> 03:39:10.130]  He yelled at us, oh my God!
[03:39:11.011 --> 03:39:13.552]  They always want to call you Alex Jones Extreme.
[03:39:14.033 --> 03:39:14.473]  We have
[03:39:15.263 --> 03:39:22.289]  Geraldo Rivera from Fox News, the same network she's on, saying he loved to spit on her, and he's glad he's not in the same city.
[03:39:22.409 --> 03:39:28.514]  And by the way, he ended up getting her basically kicked off O'Reilly as the co-host, and then he almost got fired, but he survived that.
[03:39:28.675 --> 03:39:33.579]  Yeah, and Rivero, you know, good or bad, he's not the best, but he was doing it for the right reasons.
[03:39:33.599 --> 03:39:37.062]  I mean, he recognizes when somebody says, put every Muslim in a camp, it's over.
[03:39:37.322 --> 03:39:38.483]  I commend Rivero for that.
[03:39:39.446 --> 03:39:41.349]  I mean, he's allowed to say she's disgusting.
[03:39:41.769 --> 03:39:42.490]  Yeah, yeah.
[03:39:42.730 --> 03:39:43.551]  She is disgusting.
[03:39:43.571 --> 03:39:44.432]  They want to attack you.
[03:39:44.473 --> 03:39:46.595]  He said more extreme things, and should have.
[03:39:46.635 --> 03:39:47.676]  Those are horrible ideas.
[03:39:47.717 --> 03:39:48.798]  They have to be fought against.
[03:39:48.918 --> 03:39:49.459]  Yeah, folks.
[03:39:49.539 --> 03:39:50.941]  I mean, let me tell you something.
[03:39:50.961 --> 03:39:52.983]  You start saying arrest people and their families.
[03:39:53.043 --> 03:39:54.425]  I mean, those are fighting words.
[03:39:55.186 --> 03:39:56.848]  Michelle Malkin's lucky she didn't get more.
[03:39:57.583 --> 03:39:59.544]  And, uh, but the bottom line is we have the video.
[03:39:59.624 --> 03:40:00.984]  I came up nicely at first, actually.
[03:40:01.004 --> 03:40:04.945]  I was, you know, crowds yelling, but I'm like, hey, you should put Americans in camps for their views.
[03:40:04.965 --> 03:40:12.267]  You know, you said I lied about that puppy and his guy comes up, gets right in my face, starts bumping into me, saying, I'm big, I'm big.
[03:40:12.827 --> 03:40:16.368]  And then grabbed our camera and like wrenched the, broke the microphone.
[03:40:16.628 --> 03:40:22.089]  Incidentally, he was wearing a National Security Agency, uh, lanyard, like it's cute or something.
[03:40:22.629 --> 03:40:27.050]  Found videos of Malkin going on tours with the NSA and stuff like that.
[03:40:27.070 --> 03:40:27.490]  Well, wait a minute.
[03:40:27.510 --> 03:40:29.370]  You know who the main sponsors of those websites are.
[03:40:29.611 --> 03:40:30.491]  The top sponsor.
[03:40:30.511 --> 03:40:33.631]  It isn't some Google ad, too, where you'll see a McCain ad or a Barack Obama ad.
[03:40:33.691 --> 03:40:34.652]  It's Homeland Security.
[03:40:34.712 --> 03:40:35.892]  And then we've got to erase it.
[03:40:36.112 --> 03:40:39.953]  Yeah, because when I first saw it on her site a year ago, I looked and said, that's not a Google ad.
[03:40:40.573 --> 03:40:42.053]  If you click it, it'll tell you if it's a Google ad.
[03:40:42.713 --> 03:40:45.174]  She has an actual sponsor, Homeland Security.
[03:40:45.694 --> 03:40:46.214]  Yeah, that's true.
[03:40:47.139 --> 03:40:52.401]  Because the Homeland Security's built camps, and it's part of their program to condition the public to accept going to camps.
[03:40:53.061 --> 03:40:54.902]  And she loves, uh, warrantless spying.
[03:40:55.862 --> 03:40:57.363]  So she gets tours of the NSA.
[03:40:58.043 --> 03:40:58.603]  Yeah, basically.
[03:40:58.683 --> 03:40:59.944]  I mean, this woman is wicked!
[03:41:01.124 --> 03:41:02.665]  But, oh, I was mean to her.
[03:41:02.685 --> 03:41:04.725]  There's actually a museum for the NSA, but still.
[03:41:05.886 --> 03:41:07.106]  Oh, geez, we're in trouble.
[03:41:07.146 --> 03:41:08.947]  So, so, so, tell us what we'll see on this video.
[03:41:10.030 --> 03:41:18.233]  Uh, well, we did our best to compile all our video angles as well as some of the YouTube angles, uh, so you can really see what's going on, who's shouting what.
[03:41:18.793 --> 03:41:25.535]  Uh, you can see Alex comes up, you know, he's, he's, uh, challenging her ideas, but he's using an even tone.
[03:41:25.755 --> 03:41:27.015]  And I'm about five feet back.
[03:41:27.095 --> 03:41:28.576]  I also didn't even get in her space.
[03:41:29.216 --> 03:41:31.277]  Because I don't get in people's space when I'm arguing with them.
[03:41:31.597 --> 03:41:35.059]  Yeah, and you know, the thing about editing is you watch these moments, moment by moment.
[03:41:35.459 --> 03:41:44.743]  And the moment she decides to walk away and end the friendly conversations, when you call out Cheney and his terror thing, Cheney's, uh, government-sponsored terror.
[03:41:44.763 --> 03:41:49.085]  Yeah, I bring up, it just came out that Cheney wanted to stage terror, and it was like I'd shown a cross to a vampire.
[03:41:49.105 --> 03:41:50.786]  I notice nobody wants to talk about that.
[03:41:50.906 --> 03:41:52.807]  Oh, they don't want to talk about that, no.
[03:41:52.827 --> 03:41:55.548]  9-11 Truth is, uh, you know, it's cuckoo stuff, but
[03:41:56.491 --> 03:42:03.003]  You know, Cheney having meetings about shooting Navy SEALs to start a war with Iran, that's, you know...
[03:42:03.695 --> 03:42:04.695]  Nobody can talk about that.
[03:42:04.735 --> 03:42:05.355]  That's admitted.
[03:42:05.555 --> 03:42:06.435]  That's public.
[03:42:06.676 --> 03:42:08.396]  We don't want to talk about the admitted examples.
[03:42:08.436 --> 03:42:09.296]  Yeah.
[03:42:09.516 --> 03:42:11.156]  Yeah, let's just isolate Cy Hirsch.
[03:42:11.216 --> 03:42:12.116]  Never talk about it.
[03:42:12.577 --> 03:42:13.697]  Never talk about Olbermann.
[03:42:13.717 --> 03:42:15.057]  Let's not talk about that.
[03:42:15.417 --> 03:42:20.058]  Oh yeah, I mean the minute I said her face went ashen, the color went out of it.
[03:42:20.098 --> 03:42:20.618]  You can watch it.
[03:42:20.638 --> 03:42:25.319]  She puts her chin up, closes her eyes like it was mind control, and turns.
[03:42:25.479 --> 03:42:27.139]  That was actually the moment she leaves.
[03:42:27.179 --> 03:42:32.320]  That's also the moment that Mr. Pajamas steps up and starts becoming the bodyguard.
[03:42:33.012 --> 03:42:36.815]  I found out that they had never met before, but they have, you know, friendly blogs.
[03:42:37.696 --> 03:42:43.760]  Yeah, there was a whole constellation, or pilot fish, following the, you know, the main wart.
[03:42:44.621 --> 03:42:55.048]  And then you had some local blogs who were affiliated with the guys dressed up like jesters who ran up, hey, we're with Alex Jones, and later are yelling, F Alex Jones, and then are friends with Malcolm's people.
[03:42:55.068 --> 03:42:56.770]  What's the whole canard of, was it a...
[03:42:57.799 --> 03:43:01.682]  A thought-out stage conspiracy of six people or nine people.
[03:43:02.363 --> 03:43:03.784]  I don't think any of this was planned.
[03:43:03.844 --> 03:43:06.666]  It's just that they're disingenuous, won't take free speech.
[03:43:06.686 --> 03:43:10.729]  Well, it was her supporters, and they did stand over me screaming, Mr. Kilmichael Malcolm.
[03:43:11.009 --> 03:43:11.529]  Sure, yeah.
[03:43:11.569 --> 03:43:12.770]  That looked like training to me.
[03:43:13.971 --> 03:43:15.212]  It may well have been, you know.
