[00:00:00.009 --> 00:00:01.070]  Okay, ladies and gentlemen.
[02:33:11.027 --> 02:33:12.788]  Tell us what's happening on YouTube.
[02:33:13.509 --> 02:33:19.132]  Okay, well, if you go to, there was a bunch of longer URL addresses, but I shortened them up.
[02:33:19.192 --> 02:33:28.837]  If you go to tinyurl.com slash YouTube censored, you can watch a video by NuffRespect, one of the greatest patriots we have.
[02:33:29.157 --> 02:33:31.819]  Wait a minute, they banned NuffRespect's account?
[02:33:31.839 --> 02:33:35.681]  No, no, he's not banned yet, but a number of other people are, and he's made a video on this.
[02:33:36.565 --> 02:33:40.146]  Well, I know, he actually won the first contest.
[02:33:40.186 --> 02:33:45.008]  I've got to get around to announcing the second contest winner for censorship with the video we put together.
[02:33:45.028 --> 02:33:46.928]  Well, video we did, he put together.
[02:33:47.569 --> 02:33:48.709]  Okay, well, this is a new video.
[02:33:48.749 --> 02:33:49.829]  This just came out today.
[02:33:50.109 --> 02:33:50.689]  Good.
[02:33:51.370 --> 02:33:53.710]  And in the video, he's got a link to an article.
[02:33:53.850 --> 02:33:55.911]  Now, you can see this article also.
[02:33:55.951 --> 02:34:00.353]  It's about YouTube makes Senator Lieberman happy with new anti-terrorism guidelines.
[02:34:01.013 --> 02:34:04.754]  What they're doing is they're going ahead and removing videos that they deem
[02:34:07.547 --> 02:34:08.228]  No, no, that's right.
[02:34:08.488 --> 02:34:09.469]  This is huge news.
[02:34:09.489 --> 02:34:12.133]  We've got to get Paul Watson and Steve Watson and Kurt on this.
[02:34:12.694 --> 02:34:18.862]  I remember a month ago, YouTube got a letter, and Google did, which is the parent of YouTube.
[02:34:18.882 --> 02:34:19.663]  I remember this.
[02:34:21.681 --> 02:34:27.346]  I'm saying, anything that's terrorist, quote, terrorist propaganda, we want you to remove.
[02:34:27.366 --> 02:34:29.668]  And they've already been doing that, like the Marine Puppy video.
[02:34:29.708 --> 02:34:30.328]  They removed it.
[02:34:30.709 --> 02:34:37.554]  Even when ABC News was airing it, and Fox News was airing it, it was anti-American, they said, to show our troops doing bad things.
[02:34:38.195 --> 02:34:42.098]  And then, last time I heard, Google was considering doing this.
[02:34:42.198 --> 02:34:47.623]  And then we have the different homegrown extremist acts.
[02:34:48.143 --> 02:34:48.223]  Yeah.
[02:35:19.444 --> 02:35:23.167]  Well, this article I'm looking at here is on Eflux Media.
[02:35:23.267 --> 02:35:25.449]  It was linked to in NuffRespect's video.
[02:35:25.730 --> 02:35:32.115]  But they're doing this via S-1959, which is this homegrown terrorism bill.
[02:35:32.555 --> 02:35:38.861]  And if you want to look at that, you can go to tinyurl.com slash homegrownterrorism and you can view the bill.
[02:35:39.461 --> 02:35:41.342]  And again with that, you can go to tinyurl.com.
[02:35:59.904 --> 02:36:17.978]  Okay, well, you could see who voted against, you know, free speech, because when this went to vote, only six people said nay, and 404 people said yes, and this is the, you can look for the article on GovTrack.us, it's House vote on passage H.R.
[02:36:17.998 --> 02:36:20.480]  1955, violent radicalization and homegrown terrorism.
[02:36:20.540 --> 02:36:22.222]  Now, now, has that left the Senate yet?
[02:36:23.788 --> 02:36:24.548]  I don't think so.
[02:36:24.628 --> 02:36:28.792]  I'm not sure, but they're already enforcing it on YouTube.
[02:36:29.653 --> 02:36:30.894]  I knew that Lieberman said do that.
[02:36:30.934 --> 02:36:31.695]  Thank you for the call.
[02:36:32.115 --> 02:36:32.956]  Excellent caller.
[02:36:32.996 --> 02:36:33.996]  We will get right on that.
[02:36:34.657 --> 02:36:37.560]  That's the kind of thing where it's in the stack and I don't get to it.
[02:36:38.000 --> 02:36:47.508]  I mean, I did mention it a month ago, but yeah, and saying, look, just anything that's anti-government, anything that criticizes the government, aids the terrorists, take it off.
[02:36:47.928 --> 02:36:49.169]  Remember Calhoun?
[02:36:50.393 --> 02:37:08.103]  The Deputy Attorney General, in 2003, in California, under Bill Lockyer, he was in the newspapers, including the Baltimore Tribune, no, Baltimore, the Oakland Tribune, Oakland Tribune.
[02:37:09.924 --> 02:37:15.147]  I remember, I read it on air over and over again, it was such a big deal, I read it over and over again on air.
[02:37:16.508 --> 02:37:18.749]  He said, in the piece,
[02:37:20.546 --> 02:37:26.572]  That we're banning all protest against the war in California, and he's a Democrat, because the war is against Al Qaeda.
[02:37:27.333 --> 02:37:31.997]  And so if you protest a war, this war, you're for Al Qaeda, saying Saddam was Al Qaeda.
[02:37:33.779 --> 02:37:35.461]  And they're really getting ready for something, folks.
[02:37:35.501 --> 02:37:36.602]  They are coming after the web.
[02:37:36.642 --> 02:37:41.466]  I mean, I get up here and I say, you should appreciate our videos, you should appreciate the access you have to them.
[02:37:42.327 --> 02:37:44.730]  Folks, you better go eight, five, six hours a day
[02:37:45.728 --> 02:37:51.953]  You know, on message boards, on blogs, sending videos to newsgroups and to Lists and MySpace.
[02:37:52.374 --> 02:37:53.955]  I mean, you better bust your butt!
[02:37:54.295 --> 02:37:57.358]  We're having big victories, so they're moving to block us!
[02:37:58.019 --> 02:37:59.140]  And they're moving at every level.
[02:37:59.480 --> 02:38:00.821]  Aaron, did you hear all that earlier?
[02:38:03.383 --> 02:38:03.924]  You didn't hear?
[02:38:04.884 --> 02:38:05.445]  Come on in here.
[02:38:05.905 --> 02:38:06.686]  Come on in the studio.
[02:38:06.726 --> 02:38:07.707]  I'll just have to let you know.
[02:38:09.088 --> 02:38:12.091]  I know he's busy watching videos he's posting on InfoWars.com.
[02:38:13.285 --> 02:38:18.688]  Let me give you just a 30 second synopsis, because I have to do this on air, even though I have calls, 50 of them or something.
[02:38:20.470 --> 02:38:24.932]  On air I was telling you, they're sending it to Aaron at Infowars.com right now.
[02:38:26.213 --> 02:38:31.597]  Remember Lieberman a month ago said that he wanted YouTube and Google to ban anything that was pro-terrorist?
[02:38:31.997 --> 02:38:33.638]  That means if you're against the war, you're pro-terrorist.
[02:38:33.898 --> 02:38:36.360]  Or if you show the troops killing children, you're pro-terrorist.
[02:38:37.683 --> 02:38:44.886]  They're saying that that's now being implemented and that YouTube's banning all these accounts that show troop atrocities and things like that, which we know they do.
[02:38:46.087 --> 02:38:50.528]  And so that's a big story we need to get on, the Violent Radicalization Act passing the House.
[02:38:50.989 --> 02:38:53.370]  And he says NuffRespect has a new video out on it.
[02:38:53.830 --> 02:38:54.990]  So educate yourself on that.
[02:38:55.030 --> 02:38:57.991]  Let's get... He also plugged some URLs.
[02:38:58.051 --> 02:38:58.432]  Check them.
[02:38:59.532 --> 02:39:04.134]  I know everything he was saying is already verified, but just check them and get it up on InfoWars.com right now.
[02:39:04.958 --> 02:39:05.318]  Hi Alex.
[02:39:05.399 --> 02:39:10.583]  I want to say thanks to all you guys in the studio and what you do every day.
[02:39:10.623 --> 02:39:12.024]  You've influenced my life in a huge way.
[02:39:12.044 --> 02:39:13.965]  We started a group here in Greensboro, North Carolina called Tribe 9-11 Truth.
[02:39:31.857 --> 02:39:34.259]  We had our first street action 9-11.
[02:39:34.359 --> 02:39:39.643]  We passed out like 75 copies of loose change that I got from InfoWars.tv.
[02:39:40.684 --> 02:39:42.525]  And 175 pieces of literature.
[02:39:43.146 --> 02:39:45.908]  And we plan on doing something the 11th of every month.
[02:39:46.268 --> 02:39:48.150]  But it's just exciting.
[02:39:48.250 --> 02:39:49.371]  Just thank you, thank you.
[02:39:49.391 --> 02:39:51.432]  Well, thank you!
[02:39:52.473 --> 02:39:55.155]  And my question, this is going to sound really crazy.
[02:39:55.435 --> 02:40:01.220]  With the events, with the economy, and the banks, and maybe even possibly the running of the bank,
[02:40:01.832 --> 02:40:15.024]  If one were to want to leave the United States, I mean, there's going to have to be a time if you plan to leave, or you just stand up and fight, but if you leave, you have to leave before there's too much of a crisis.
[02:40:15.124 --> 02:40:25.453]  Well, they've also passed international laws where they can steal your money for leaving the country, but only big bankers can all leave and have private islands and keep all their money, but you can't really keep much of it.
[02:40:26.153 --> 02:40:28.415]  But yeah, things are shaping up to where
[02:40:31.391 --> 02:40:33.933]  That, you know, evacuation may be needed.
[02:40:34.093 --> 02:40:35.313]  I mean, it's that bad.
[02:40:35.333 --> 02:40:36.354]  I mean, they built death camps.
[02:40:37.235 --> 02:40:41.157]  Rocky Mountain News reported eight years ago, they built giant crematoriums.
[02:40:41.297 --> 02:40:47.701]  And you can argue whether the Nazis had crematoriums or not, but we know they had them for burning dead bodies, but people claim they didn't.
[02:40:47.721 --> 02:40:52.204]  The point is that the governor said, we built all these big ovens to burn people during a bio-attack.
[02:40:52.684 --> 02:40:55.025]  I mean, the black-op government's very, very sick.
[02:40:55.486 --> 02:40:57.207]  And they're eugenicists and they want to get rid of us.
[02:40:58.247 --> 02:41:00.048]  Yeah, they do.
[02:41:00.208 --> 02:41:04.631]  Well, there's nowhere to run, so the best thing to do is stand and fight and wake people up now.
[02:41:05.712 --> 02:41:09.014]  But, I mean, the world tyranny is pretty much everywhere.
[02:41:10.915 --> 02:41:12.315]  Yeah, I guess so.
[02:41:12.436 --> 02:41:16.438]  It's a global, full-spectrum dominance death grid.
[02:41:19.304 --> 02:41:24.011]  I just wonder if you could maintain and survive longer if you run to the mountains of Greece?
[02:41:24.532 --> 02:41:26.214]  I don't know, what do you do?
[02:41:26.495 --> 02:41:29.739]  How long could you stand and fight if they come to get you at 4 o'clock in the morning?
[02:41:29.759 --> 02:41:32.043]  Well, if they come at 4 o'clock in the morning...
[02:41:36.874 --> 02:41:41.996]  With the local, you know, police doing it, and 1% fight back, they'll lose and pull back.
[02:41:43.697 --> 02:41:48.900]  I mean, if we do like the Russians did and get into it, they'll kill millions of us, and they'll do it with enjoyment.
[02:41:49.690 --> 02:41:54.194]  That's who they've been hiring to run these prisons, is convicted rapists and people.
[02:41:54.214 --> 02:41:57.136]  They're hiring criminals, and when the government starts hiring criminals, you're in trouble.
[02:41:58.537 --> 02:42:01.360]  So, you know, that's up to you to make that decision.
[02:42:02.201 --> 02:42:03.362]  But, yeah, there's a lot.
[02:42:03.402 --> 02:42:04.322]  I mean, look at Mexico.
[02:42:04.422 --> 02:42:07.005]  It's consumed with tens of thousands of murders now.
[02:42:07.385 --> 02:42:09.847]  Two thousand on the Texas border alone in the last nine months.
[02:42:11.368 --> 02:42:13.730]  Gringos being kidnapped everywhere and held for ransom.
[02:42:14.091 --> 02:42:15.672]  The whole society's unraveling.
[02:42:16.012 --> 02:42:17.834]  The elite have gone completely corrupt.
[02:42:18.354 --> 02:42:19.314]  I appreciate your call.
[02:42:19.854 --> 02:42:21.435]  Call me back later and we can talk more about it.
[02:42:21.455 --> 02:42:22.215]  I don't want to get everybody here.
[02:42:22.275 --> 02:42:23.435]  Mark in Florida, you're on the air.
[02:42:23.455 --> 02:42:25.135]  Hi, Alex.
[02:42:25.215 --> 02:42:26.035]  Great show today.
[02:42:26.095 --> 02:42:27.416]  I had two quick questions.
[02:42:27.976 --> 02:42:34.657]  One about internet, too, and Mary Ann and I want to know about recently acquired gold.
[02:42:34.977 --> 02:42:39.698]  Should we keep it in a safety deposit box or bring it home and keep it in a home safe area or something?
[02:42:39.858 --> 02:42:45.639]  You know, there is risk in everything, and I'm not going to tell people what they should or shouldn't do.
[02:42:46.926 --> 02:42:52.189]  I'm spreading things out, you know, having some in a savings deposit, but they never seize those now.
[02:42:52.209 --> 02:42:52.969]  Now they just steal them.
[02:42:53.329 --> 02:42:57.091]  California will just go in and grab a whole bank and say it's for a budget shortfall and just steal everything.
[02:42:57.912 --> 02:42:59.773]  You read stuff like that, they just stole everything.
[02:43:00.153 --> 02:43:05.976]  A little there, a little in your house, a little buried, you know, your cousins, but don't tell your cousin.
[02:43:07.076 --> 02:43:07.997]  I think that's good.
[02:43:08.077 --> 02:43:09.337]  Let me ask you about Internet, too.
[02:43:09.357 --> 02:43:11.598]  Suppose things happen the way they do, the way they're anticipating it to.
[02:43:30.513 --> 02:43:36.994]  What about a little, I live in an area where I can't get you on the radio, I either get it on the internet or I call in like this.
[02:43:37.614 --> 02:43:47.856]  What about a little pilot program where I was, if there was no internet, like I can copy your show now, I can put five of your shows on DVD.
[02:43:47.896 --> 02:43:56.778]  I've been asking for six months to have a phone system and then people can listen to free for it and then have sponsorship to pay for it.
[02:43:57.018 --> 02:43:57.618]  How much is it?
[02:43:58.595 --> 02:44:01.817]  How much is it to say have 500 listeners on a phone system I dial into?
[02:44:04.178 --> 02:44:05.219]  How long until I can have that?
[02:44:08.641 --> 02:44:10.201]  Twenty-five years from now.
[02:44:11.202 --> 02:44:12.403]  Listen, I already want that.
[02:44:12.643 --> 02:44:22.548]  And I want a phone system here where we have like a sponsor who you hear a recording at the first of it when you call so that we can pay for it.
[02:44:22.588 --> 02:44:24.029]  That's how radio actually started in Europe.
[02:44:24.069 --> 02:44:25.510]  The first radio before Marconi.
[02:44:27.468 --> 02:44:38.814]  was phone systems and you called in and you subscribed and uh... they had uh... newsreaders there into a big speaker and you know into a uh... a phonograph and and and and and elites paid for that and companies paid for that.
[02:44:38.854 --> 02:44:42.196]  It was a contelligence and uh... we are going to put that in.
[02:44:44.211 --> 02:44:48.874]  And we are going to try to develop a private network for people to get through to.
[02:44:48.954 --> 02:44:51.335]  The problem is, here's how they're going to shut the web down.
[02:44:51.395 --> 02:44:52.055]  I appreciate your call.
[02:44:52.596 --> 02:45:08.384]  They're going to build Internet 2, demonize the first Internet, tax it, regulate it, let the hubs fail, start bringing in filtration, which already the major cable companies are doing, Time Warner, Comcast, others.
[02:45:10.481 --> 02:45:11.822]  Most of Canada has announced.
[02:45:12.022 --> 02:45:17.145]  The two big carriers have more than half of Canada's customers are saying they're only going to give you a few thousand sites you can visit.
[02:45:17.426 --> 02:45:18.326]  So it's already happening.
[02:45:19.047 --> 02:45:20.087]  See, we're back to the future.
[02:45:20.167 --> 02:45:21.248]  It's now all happening.
[02:45:21.608 --> 02:45:22.129]  We're here.
[02:45:22.189 --> 02:45:23.109]  The banks are going bust.
[02:45:23.149 --> 02:45:24.270]  It's all starting.
[02:45:24.310 --> 02:45:26.471]  The slide into this is beginning.
[02:45:26.491 --> 02:45:27.792]  The FEMA camps are opening.
[02:45:27.832 --> 02:45:30.514]  The cops are strutting around bulging their eyes out at the people.
[02:45:31.134 --> 02:45:33.276]  The illegal aliens are running around shooting the place up.
[02:45:33.316 --> 02:45:33.836]  I mean, it's here.
[02:45:36.144 --> 02:45:41.125]  The bedlam, the corruption, the looting, the fun, the anarchy by the criminal state.
[02:45:43.426 --> 02:45:50.228]  And yes, you could then dial in over a phone, record it, and distribute it to people that way.
[02:45:51.528 --> 02:45:56.049]  We could even sell phone subscriptions if we had to, but I want to put it out for free.
[02:45:57.049 --> 02:45:59.090]  How much is a hundred people continually for a month?
[02:46:01.110 --> 02:46:01.411]  How much?
[02:46:02.531 --> 02:46:03.031]  A thousand?
[02:46:05.532 --> 02:46:09.434]  And 5,000 to... But I would only pay for what I actually did, right?
[02:46:10.135 --> 02:46:17.319]  Well, let's make it where I can have... Here, I'm putting the order in, because the thing will be, oh, I wasn't told what to put in.
[02:46:17.659 --> 02:46:18.760]  Put in 200 lines.
[02:46:19.380 --> 02:46:22.002]  I want 200 lines for people to be able to get into it.
[02:46:22.222 --> 02:46:23.603]  But isn't that going to be Internet-based?
[02:46:24.983 --> 02:46:25.844]  It's not IP-based.
[02:46:27.005 --> 02:46:27.445]  Hello Alex.
[02:46:27.485 --> 02:46:27.525]  Hi.
[02:46:27.545 --> 02:46:28.946]  I'd love to hug you if I was there.
[02:46:54.841 --> 02:46:58.843]  I have learned a lot from you and one of the things is contract law.
[02:46:59.783 --> 02:47:02.524]  I put it to use in my daily life.
[02:47:03.584 --> 02:47:10.667]  Now the thing is I have an issue and I thought I'd like to send you a story and maybe you would read it.
[02:47:10.887 --> 02:47:11.587]  Sure, what's the issue?
[02:47:11.607 --> 02:47:17.590]  It's concerning the Masons and a program, a federal agency called EEOC.
[02:47:17.610 --> 02:47:19.831]  Are you familiar with that?
[02:47:19.931 --> 02:47:23.152]  Yes, the Equal Employment Opportunity Commission.
[02:47:24.259 --> 02:47:28.042]  Um, I was sexually harassed at my place of employment.
[02:47:28.583 --> 02:47:32.146]  I was fired for, um, filing a claim.
[02:47:33.247 --> 02:47:40.093]  And, um, EEOC threw out my complaint when I had proof, factual proof, of this.
[02:47:40.413 --> 02:47:42.375]  And I believe that it was an inside job.
[02:47:44.056 --> 02:47:44.497]  What was it?
[02:47:44.577 --> 02:47:45.898]  I mean, you're saying the Masons.
[02:47:45.978 --> 02:47:47.059]  Was he a Mason?
[02:47:47.119 --> 02:47:50.502]  I worked as a nurse's aide at a place called the Masonic Home.
[02:47:50.782 --> 02:47:51.703]  It was a nursing home.
[02:47:54.090 --> 02:48:02.875]  Well, a lot of people get their claims thrown out, but, but, but, but, I mean, it's no doubt that in England especially, uh, I mean, you just, they do whatever they want.
[02:48:02.895 --> 02:48:04.836]  So the whole society's falling apart.
[02:48:04.856 --> 02:48:07.717]  Well, the thing is, is I had proof that it happened.
[02:48:08.438 --> 02:48:18.263]  I had their own admissions, and I got a phone call asking me what I wanted monetarily, and then said that they would be willing to- Stay there, we're gonna talk behind the scenes.
[02:48:19.776 --> 02:48:20.557]  I got to move quick.
[02:48:20.577 --> 02:48:23.458]  I want to hear your story, but I won't get to the others if you don't.
[02:48:23.518 --> 02:48:28.121]  So, I mean, bottom line, they fired you and you didn't get unemployment, or what happened?
[02:48:29.202 --> 02:48:33.244]  The thing is, is EEOC's own website says... Well, they're not there to help you.
[02:48:33.264 --> 02:48:37.366]  They're only there to break up families, break up society, and turn everybody against each other.
[02:48:37.746 --> 02:48:39.787]  All that's just window dressing for fascism.
[02:48:40.828 --> 02:48:41.808]  Oh, I understand.
[02:48:42.269 --> 02:48:44.530]  But I had their own admission saying it.
[02:48:46.718 --> 02:48:47.959]  Well, send me the info then.
[02:48:47.999 --> 02:48:48.779]  I'll try to look at it.
[02:48:49.080 --> 02:48:53.743]  Can you give me an address?
[02:48:53.763 --> 02:48:59.246]  Yes, my address is 3001 South Lamar, Suite 100, Austin, Texas 78704.
[02:49:00.247 --> 02:49:01.207]  I appreciate your call.
[02:49:01.748 --> 02:49:07.171]  You can also, if you miss that address, call my toll-free number and then give it to you there.
[02:49:07.191 --> 02:49:07.431]  888-253-3139.
[02:49:08.532 --> 02:49:10.373]  I didn't finish earlier with Internet 2.
[02:49:11.294 --> 02:49:14.216]  So they have ways of picking it apart, shutting it down, restricting it.
[02:49:15.287 --> 02:49:37.152]  Culling groups, regulating, ending net neutrality, taxing it, but also, then they can launch a cyber attack, they've conditioned us with the movies, claiming terrorists did it, and then, oh, only the new, stronger, better Internet, Internet 2, with registration and sign-on and all this, it, it will keep you safe.
[02:49:37.512 --> 02:49:40.593]  So Internet 1 has to fully die.
[02:49:41.033 --> 02:49:41.953]  So that's how they're going to do it.
[02:49:42.594 --> 02:49:43.454]  And just prepare for it.
[02:49:45.643 --> 02:49:48.544]  Let's go ahead, and we shouldn't all throw fits when it happens.
[02:49:48.864 --> 02:49:53.265]  We should say, see, we told you so, and work as hard as we can to infiltrate that and take that over.
[02:49:54.565 --> 02:49:55.926]  A lot of people, you know, give up.
[02:49:55.946 --> 02:49:57.566]  They get their YouTube account suspended.
[02:49:57.586 --> 02:49:59.387]  They say, I'll never post on you again.
[02:49:59.687 --> 02:50:00.707]  That's not the answer.
[02:50:01.107 --> 02:50:02.888]  The answer is getting 15 accounts.
[02:50:05.048 --> 02:50:06.929]  Let's go ahead and talk to Gilbert and Tejas.
[02:50:06.949 --> 02:50:07.969]  You're on the air, Gilbert.
[02:50:09.069 --> 02:50:09.509]  Yes, hi.
[02:50:09.529 --> 02:50:10.510]  Thanks for your great work.
[02:50:11.570 --> 02:50:11.890]  Thank you.
[02:50:12.811 --> 02:50:14.313]  Yes, I had a question.
[02:50:14.653 --> 02:50:18.737]  I went to a protest a couple years ago, and then after that I went to the protest.
[02:50:18.777 --> 02:50:20.499]  You went to an Al-Qaeda meeting.
[02:50:20.579 --> 02:50:22.921]  Any American meeting in a protest group is evil.
[02:50:22.941 --> 02:50:23.281]  Go ahead.
[02:50:23.862 --> 02:50:34.873]  It was at the School of America, actually, and when I got back, a week and a half later, they threw me out of my bank, and they didn't want to tell me why, and I had done business with them for like seven years.
[02:50:36.922 --> 02:50:41.006]  Oh yeah, you get army spooks on you if you go to that Fort Benning, Georgia deal.
[02:50:41.647 --> 02:50:46.051]  They're now saying it's terrorism if you touch the fence and you'll get like 20 years in jail.
[02:50:46.071 --> 02:50:49.975]  That's where they train people how to torture, how to rape children and all the rest of it.
[02:50:49.995 --> 02:50:50.635]  That's all come out.
[02:50:50.936 --> 02:50:53.658]  That's your government, I guess the good guys, according to them.
[02:50:54.459 --> 02:50:57.121]  And yeah, that's how they run black ops on you.
[02:50:57.582 --> 02:50:58.503]  What else happened to you?
[02:50:59.434 --> 02:51:02.176]  Well, I asked them all, if you're going to kick me out, can you at least tell me?
[02:51:02.196 --> 02:51:03.357]  And I talked to the manager.
[02:51:03.377 --> 02:51:04.038]  I talked to everybody.
[02:51:04.078 --> 02:51:05.539]  Nobody could tell me why they were kicking me out.
[02:51:05.559 --> 02:51:10.844]  They had to, I had to wait a week and talk to the person in Lubbock that was in charge of the entire bank.
[02:51:11.244 --> 02:51:16.649]  And then she finally gave me some technicality that I didn't sign a paper one time when I made two deposits because I had four businesses.
[02:51:17.999 --> 02:51:21.822]  No, I hear you.
[02:51:21.862 --> 02:51:24.905]  I mean, it might be a coincidence, but probably not.
[02:51:24.945 --> 02:51:29.930]  They want to punish you for political action so the word gets out, so people stop having political action.
[02:51:30.151 --> 02:51:31.151]  Here we go, final segment.
[02:51:31.952 --> 02:51:36.677]  Am I going to have to go into overdrive?
[02:51:40.905 --> 02:51:45.007]  Because I want to get to Dave, Vinnie, Ryan, Buck, and Tom.
[02:51:45.607 --> 02:51:48.048]  Yeah, I got like 20 phone calls to make after the show.
[02:51:48.068 --> 02:51:51.429]  Okay, that's an exaggeration, like 15 or something.
[02:51:51.789 --> 02:51:54.870]  And then I've got a book interview I've got to do with my ghostwriter.
[02:51:56.830 --> 02:51:59.351]  And I've got these two great sponsors I want to plug here.
[02:51:59.411 --> 02:52:04.913]  So we're just going to go into overdrive to respect these callers so we can get to all of them.
[02:52:05.353 --> 02:52:05.933]  I like this.
[02:52:05.973 --> 02:52:09.134]  I like taking phone calls on our own end and just taking them one after the other.
[02:52:10.276 --> 02:52:12.039]  It's John's fault that I don't go to him quicker.
[02:52:12.079 --> 02:52:12.600]  I'm joking.
[02:52:12.681 --> 02:52:13.803]  It's completely my fault.
[02:52:14.464 --> 02:52:17.089]  But for some reason, when I'm looking at him on screen, I tend to go to him faster.
[02:52:22.671 --> 02:52:26.112]  I have a sponsor I want to tell you about, Food Shortage USA.
[02:52:26.492 --> 02:52:30.813]  This teaches you how to store food yourself, very economically.
[02:52:30.833 --> 02:52:36.994]  FoodShortageUSA.com, a new sponsor, great folks, great package, great material.
[02:52:37.874 --> 02:52:47.376]  I want to take a moment out right now to tell all of you about an extremely important website, again, that I think all of you should be made aware of, FoodShortageUSA.com.
[02:52:49.416 --> 02:52:51.777]  Here's the thing, if you're like me, you have some
[02:52:52.662 --> 02:52:55.123]  Doubts about the reliability of the country's food distribution system?
[02:52:55.143 --> 02:52:56.564]  You know that there are shortages ahead.
[02:52:57.385 --> 02:53:03.328]  You may be even engineered shortages ahead, which are going to mean soaring prices and perhaps even empty store shelves.
[02:53:03.348 --> 02:53:04.388]  And there's no doubt that's happening.
[02:53:04.868 --> 02:53:05.989]  Well, here's what you can do right now.
[02:53:07.370 --> 02:53:10.832]  Check out the Food Storage USA website.
[02:53:10.872 --> 02:53:12.372]  That's www.foodshortageusa.com.
[02:53:14.397 --> 02:53:15.958]  And watch the free video that's on the site.
[02:53:15.978 --> 02:53:21.120]  You'll learn almost everyone is wrong about how they prepare for the coming food crisis.
[02:53:21.680 --> 02:53:33.465]  In a step-by-step approach, for the average guy to get prepared for what's coming, I think it's the best part about this is you can get off the food grid yourself, even if you don't have a lot of money to spend.
[02:53:33.805 --> 02:53:35.845]  FoodShortage.USA.
[02:53:36.466 --> 02:53:38.467]  That's FoodShortageUSA.com.
[02:53:41.394 --> 02:53:45.237]  And then of course, I want to tell you about New Vitality, the wonderful folks there.
[02:53:45.877 --> 02:54:00.907]  They are a great company around for decades and decades and they just have the main line, high quality herbs and vitamins and nutrients, trace minerals, things that are just known to really have good health effects and things that are known to have, for thousands of years in some cases, treatments for different ailments.
[02:54:01.407 --> 02:54:05.390]  Go to newvitality.com or link through at infowars.com.
[02:54:05.410 --> 02:54:08.272]  If you forget that website name, their banner is right there.
[02:54:08.312 --> 02:54:10.774]  It's the Aloe Ease Body Cleanse banner.
[02:54:11.654 --> 02:54:14.637]  You can also call them toll free, 1-800-569-4056.
[02:54:16.499 --> 02:54:20.303]  Again, ladies and gentlemen, that number, Aloe Vera is so good for your guts, 1-800-569-4056.
[02:54:25.114 --> 02:54:28.117]  Or you can simply, as I said, go to newvitality.com.
[02:54:28.457 --> 02:54:31.379]  For those of you that have phones, 800-569-4056.
[02:54:31.860 --> 02:54:35.583]  And we are basically out of time for this main transmission.
[02:54:36.203 --> 02:54:42.008]  I do briefly, again, want to remind the listeners I'm a documentary filmmaker and I have made 20 films.
[02:54:43.449 --> 02:54:44.730]  Executive produced another one.
[02:54:47.753 --> 02:54:52.277]  We are busy little bees here, as they say, and you can't count on the internet.
[02:54:53.826 --> 02:54:54.387]  Use it now!
[02:54:54.547 --> 02:54:59.491]  Use PrisonPlanet.tv and a monthly $5.95 membership now to download all my films.
[02:55:00.471 --> 02:55:08.798]  You can burn them to disk in high quality DivX versions, Flash, Windows, QuickTime, and they really are super high quality with these new servers we have.
[02:55:09.539 --> 02:55:11.060]  And have a library of this.
[02:55:11.140 --> 02:55:11.901]  Have this material.
[02:55:11.941 --> 02:55:13.322]  Get the high quality DVDs.
[02:55:13.402 --> 02:55:16.885]  Order hard copies in the highest quality at InfoWars.com.
[02:55:19.056 --> 02:55:23.097]  And know that having those hard copies of DVDs is so important.
[02:55:23.517 --> 02:55:24.758]  This knowledge is so important.
[02:55:24.778 --> 02:55:31.099]  So get Fable Enemies, get Truth Rising, get Endgame, Blueprint for Global Enslavement at InfoWars.com or by calling toll free 888-253-3139.
[02:55:38.348 --> 02:55:55.443]  I had Nobel Prize winner Joseph Stiklitz on with bombshell economic news saying this may be worse than the Great Depression and I had Dr. Paul Craig Roberts on about all the bankruptcies and bank closings and I cover all the bank runs at the start of the show and that retransmission starts now on the internet at one place, Infowars.com.
[02:55:55.483 --> 02:55:56.384]  So we'll be right back.
[02:55:56.845 --> 02:55:59.167]  In fact, we're going into overdrive at Infowars.com.
[02:55:59.787 --> 02:56:00.788]  So we'll be right back for everybody.
[02:56:01.108 --> 02:56:02.269]  Thank you for listening to GCN.
[02:56:03.621 --> 02:56:05.963]  Be sure to visit GCNlive.com today.
[02:56:06.203 --> 02:56:07.163]  Okay, John.
[02:56:07.564 --> 02:56:08.544]  Take care, Alex.
[02:56:08.765 --> 02:56:09.425]  Great job.
[02:56:09.465 --> 02:56:14.849]  I'm going into overdrive here for the InfoWars listeners and I will see you tomorrow.
[02:56:14.889 --> 02:56:16.410]  They ever got the phone system working up at the network?
[02:56:18.097 --> 02:56:21.239]  Yeah, it works, but some of the extensions don't match up.
[02:56:21.259 --> 02:56:21.979]  Oh, it's high quality.
[02:56:22.139 --> 02:56:24.921]  The database isn't quite there yet, but it's getting there.
[02:56:25.041 --> 02:56:25.321]  Alright.
[02:56:25.661 --> 02:56:26.622]  Hey, thanks a lot, brother.
[02:56:26.802 --> 02:56:27.362]  Hey, anytime.
[02:56:27.382 --> 02:56:28.163]  Back to normal tomorrow.
[02:56:28.323 --> 02:56:29.403]  Alright, you can go ahead and disconnect me.
