[00:00:00.049 --> 00:00:00.389]  Watch it.
[01:05:15.683 --> 01:05:19.324]  You know they're turning food into fuel with corn ethanol plants.
[01:05:20.291 --> 01:05:24.012]  If we do not control our food, food will be used to control us.
[01:05:24.512 --> 01:05:29.674]  Food control has been the plan historically in every enslaved population and is the plan for America.
[01:05:30.354 --> 01:05:38.597]  The only value of the knowledge you have to take control of your food is if you choose to get a supply while you still have the freedom to choose.
[01:05:39.057 --> 01:05:40.197]  Call 800-409-5633 on the web efoodsdirect.com.
[01:05:40.217 --> 01:05:40.357]  Call 800-409-5633.
[01:05:52.680 --> 01:05:55.221]  Terror Storm, a history of government-sponsored terror.
[01:05:55.541 --> 01:05:56.841]  Loose Change, Final Cut.
[01:05:57.101 --> 01:05:59.102]  Endgame, Blueprint for Global Enslavement.
[01:05:59.262 --> 01:06:01.003]  The True Story of the Bilderberg Group.
[01:06:01.163 --> 01:06:02.403]  The Late Great USA.
[01:06:02.643 --> 01:06:04.063]  America, Freedom to Fascism.
[01:06:04.424 --> 01:06:11.246]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[01:06:11.426 --> 01:06:15.367]  When you visit prisonplanet.com, you can connect to our amazing online store.
[01:06:15.507 --> 01:06:18.908]  Whether you're looking for survival and wellness products like Berkey water filters,
[01:06:19.308 --> 01:06:19.609]  I think so.
[01:06:39.211 --> 01:06:49.458]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[01:06:49.798 --> 01:06:51.339]  Join the info war today!
[01:06:51.359 --> 01:06:56.822]  This is the GCN Radio Network, home to hard-hitting talk radio.
[01:07:07.778 --> 01:07:09.619]  Every Sunday, 4 to 6 p.m.
[01:07:09.719 --> 01:07:10.200]  Central.
[01:07:10.220 --> 01:07:13.101]  For folks listening on the East Coast, it's 5 to 7.
[01:07:13.341 --> 01:07:14.162]  Eastern Mountain.
[01:07:15.423 --> 01:07:17.224]  3 to 5, Pacific 2 to 4.
[01:07:17.804 --> 01:07:19.866]  We're here, it is the Sunday edition.
[01:07:20.486 --> 01:07:24.388]  I am your syndicated radio talk show host and documentary film maker, Alejandro Jones.
[01:07:24.908 --> 01:07:30.731]  The websites are PrisonPlanet.com, InfoWars.com, TruthNews.us.
[01:07:31.192 --> 01:07:35.334]  By the way, InfoWars.com in the next few days is going to have your own Myspace accounts on it.
[01:07:35.894 --> 01:07:36.274]  We're good to go.
[01:07:48.956 --> 01:07:52.877]  We're moving on here, so you'll be able to have your own place at InfoWars.com.
[01:07:52.897 --> 01:08:00.219]  Let me just rampage through a bunch of calls, then I'll get into the government wants to not give treatment and basically kill old people and anybody who's overweight and the rest of it.
[01:08:01.159 --> 01:08:03.259]  I'm not kidding, it's all right here and we're going to be going over it.
[01:08:03.780 --> 01:08:08.061]  But right now, let's go back to your call to Jared in San Marcos, Texas.
[01:08:08.101 --> 01:08:09.181]  You're on the air worldwide.
[01:08:09.921 --> 01:08:11.141]  Hey Alex, how are you doing?
[01:08:11.541 --> 01:08:12.482]  I guess I'm doing all right.
[01:08:13.122 --> 01:08:18.003]  Well, I just want to let you know that there is a different avenue for the information you're conveying
[01:08:18.567 --> 01:08:23.814]  My generation, which I'm 21 years old, and I play Xbox Live.
[01:08:24.174 --> 01:08:33.947]  Now, when I play Xbox Live, I share everything that I hear on Coast to Coast AM, your show, and everything that I've read about Daniel Esselstyn and the
[01:08:34.454 --> 01:08:35.334]  Build-A-Bird group.
[01:08:35.475 --> 01:08:39.136]  No, I know in World of Warcraft and all that you can talk to all the people.
[01:08:39.256 --> 01:08:39.777]  Exactly.
[01:08:39.797 --> 01:08:44.339]  There's tens of millions, more than that, probably 50, 60 million last time I looked in these now.
[01:08:44.839 --> 01:08:47.000]  Look, I'm in a couple video games, a big one.
[01:08:47.040 --> 01:08:49.321]  It's a top marquee game put out by Viacom.
[01:08:50.162 --> 01:08:53.403]  Of course, it was a low-level fans here in Austin, but I'm at the beginning of Blacksite.
[01:08:54.024 --> 01:08:54.664]  Oh, really?
[01:08:54.744 --> 01:08:56.065]  Yeah, the new Blacksite.
[01:08:56.125 --> 01:08:59.206]  Well, I'll pick that up then, most definitely.
[01:08:59.226 --> 01:09:01.127]  But I want to let you know... Yeah, that was made here in Austin.
[01:09:01.147 --> 01:09:01.767]  The guys are fans.
[01:09:01.787 --> 01:09:02.127]  Go ahead.
[01:09:02.568 --> 01:09:03.168]  Cool, cool.
[01:09:03.533 --> 01:09:08.519]  I just wanted to let you know that there are people talking and awakening on Xbox Live.
[01:09:08.699 --> 01:09:12.724]  I've informed people who are 15 and we send them to your website.
[01:09:14.587 --> 01:09:17.029]  There's another really popular game, I forget the name.
[01:09:17.050 --> 01:09:19.472]  Call of Duty 4 is another good one.
[01:09:19.573 --> 01:09:23.057]  There's another huge one where when you get to the end of the game, you open the safe
[01:09:23.772 --> 01:09:26.333]  For the fight in the New World Order, and there's one of my videos in there.
[01:09:27.533 --> 01:09:28.853]  I forget the name of that one.
[01:09:28.873 --> 01:09:31.134]  Oh, man, I wish I... Man, I don't know.
[01:09:31.154 --> 01:09:39.315]  There's so many that kind of... It's a game where it's got, like, you know, really high-quality film, video at the first, the intro, and the group and the government releases a bioweapon to blame it on terrorists.
[01:09:40.156 --> 01:09:40.436]  Hmm.
[01:09:40.456 --> 01:09:41.516]  It's one of the marquee games.
[01:09:41.536 --> 01:09:43.876]  It was, like, two years ago, so I forget the name.
[01:09:43.956 --> 01:09:51.438]  One of the games that we've talked on is called Fear, and it's about psychically controlled soldiers by one psychic commander.
[01:09:52.205 --> 01:09:56.787]  No, it sounds far-fetched, but you know, it could be happening right now as we speak.
[01:09:56.887 --> 01:09:59.647]  Oh yeah, BlackSide Area 51, but it's another one, too.
[01:09:59.928 --> 01:10:08.050]  Yeah, this one's called Fear, though, and that's what me and my friends talk on, so just letting you know there's a different avenue and your information is getting out to the younger generation.
[01:10:09.711 --> 01:10:10.351]  Fantastic.
[01:10:10.391 --> 01:10:11.852]  No, I mean, I'm aware of that and it's great news.
[01:10:11.912 --> 01:10:14.732]  I think BlackSide Area 51 is the way I'm always talking about it.
[01:10:14.752 --> 01:10:15.733]  It's BlackSide Area 51.
[01:10:16.153 --> 01:10:17.453]  But there's another big game.
[01:10:18.294 --> 01:10:19.274]  I forget the name of it.
[01:10:19.847 --> 01:10:21.348]  But people put the video up on YouTube.
[01:10:21.368 --> 01:10:26.271]  At the end of the game, when you find the big secret, it's Road to Tyranny and Order of Death, my videos.
[01:10:26.952 --> 01:10:33.556]  The end of the game, I hate to give it away to you, you open up the safe, you've defeated the New World Order, and there are the videos in the safe.
[01:10:34.417 --> 01:10:39.580]  A nice little thing they did, because then all those kids, and I guess adults playing it too, go watch the film.
[01:10:40.361 --> 01:10:41.601]  Yeah, we're definitely having an effect.
[01:10:41.622 --> 01:10:45.284]  You know, I try to get up here and have a happy face about it and be sarcastic sometimes.
[01:10:45.962 --> 01:10:49.664]  About how serious stuff is, but the government really does put fluoride in your water to blot holes in your brain.
[01:10:49.684 --> 01:10:50.745]  I mean, it's a fact.
[01:10:51.125 --> 01:10:52.406]  I mean, it's so incredible!
[01:10:52.626 --> 01:10:53.927]  Total criminals run everything!
[01:10:54.167 --> 01:10:55.608]  They've been running the country since the fifties.
[01:10:56.709 --> 01:11:03.573]  And, uh, you know, I'm just gonna, and now new scientists, and now, you know, Nobel Prize winners are all going public about it.
[01:11:04.274 --> 01:11:05.634]  The government did it on purpose!
[01:11:05.655 --> 01:11:06.755]  I mean, do you understand that?
[01:11:06.775 --> 01:11:08.156]  Do you understand that?
[01:11:08.176 --> 01:11:09.477]  Do you understand who runs things?
[01:11:10.257 --> 01:11:11.858]  Why are you still alive, man?
[01:11:12.939 --> 01:11:14.320]  God is the reason I'm still alive.
[01:11:15.231 --> 01:11:16.411]  And they don't want to make me a martyr.
[01:11:17.251 --> 01:11:21.752]  But I'm sick of people, every talk show interview I do, I did a couple of interviews yesterday and they're always asking me that.
[01:11:23.673 --> 01:11:24.933]  I just get sick of being asked about it.
[01:11:24.973 --> 01:11:26.233]  I get sick of thinking about it.
[01:11:27.093 --> 01:11:28.074]  I'm just telling the truth here.
[01:11:28.974 --> 01:11:31.494]  And I'm never going to surrender until I draw my last breath.
[01:11:31.514 --> 01:11:34.615]  And I'll come back and haunt the New World Order, God willing.
[01:11:35.015 --> 01:11:37.896]  Let's talk to Barbara in Austin, Texas.
[01:11:37.916 --> 01:11:38.776]  You're on the air, Barbara.
[01:11:39.716 --> 01:11:40.616]  Yes, hi Alex.
[01:11:41.156 --> 01:11:44.137]  I'm calling about slavery and the IRS.
[01:11:44.901 --> 01:11:45.281]  Yes.
[01:11:46.222 --> 01:11:47.182]  Indentured servitude.
[01:11:47.202 --> 01:11:48.142]  Well, you think that's bad.
[01:11:48.422 --> 01:11:53.484]  What about everybody that runs a restaurant now is going to have to spy on overweight people and not feed them?
[01:11:55.025 --> 01:11:55.985]  I don't know about that.
[01:11:56.225 --> 01:11:58.986]  I mean, they make us all little minion spies of the government.
[01:12:00.927 --> 01:12:02.548]  You violate the Fourth Amendment.
[01:12:02.848 --> 01:12:06.109]  The Fifth Amendment against having to incriminate yourself when you fill out a tax form.
[01:12:06.269 --> 01:12:06.549]  Whatever.
[01:12:06.689 --> 01:12:08.350]  I'm sorry, go ahead.
[01:12:08.490 --> 01:12:13.412]  On Saturday morning, I called my bank because I hadn't received the 1099.
[01:12:15.086 --> 01:12:15.807]  I don't think so.
[01:12:34.639 --> 01:12:39.302]  They told me that they were going to charge me a $75 fee for them giving my money away.
[01:12:39.442 --> 01:12:45.246]  Now, now, now, now, why is the Internal Revenue Service that pays the money in the private Federal Reserve, why did they take your money?
[01:12:45.266 --> 01:12:51.890]  Um, I had previously complained to the Austin Police Department about the IRS harassing me.
[01:12:52.390 --> 01:12:57.414]  I complained to them in 2001 and also 2003 because IRS was harassing me.
[01:12:57.514 --> 01:13:01.656]  Um, I was a former employee and I'd left.
[01:13:02.117 --> 01:13:03.938]  Oh, that's definite reprisal, yeah.
[01:13:04.854 --> 01:13:06.315]  That's what America's all about, ma'am.
[01:13:06.375 --> 01:13:07.435]  No judge, no jury.
[01:13:07.455 --> 01:13:11.698]  You know, they don't arrest you, nothing happens, but see, Americans think that's normal now.
[01:13:12.298 --> 01:13:17.160]  No judge, no jury, no indictment, no grand jury, no arrest, just your body's gone!
[01:13:18.661 --> 01:13:23.844]  But don't worry, all over the nation, state police everywhere, local police have been caught.
[01:13:24.584 --> 01:13:28.706]  They'll just pull an old lady over, she'll have five grand on her, they'll just say, you shouldn't have five grand, we're taking it.
[01:13:29.006 --> 01:13:31.588]  No judge, no jury, no arrest, acid, forfeit, or seizure.
[01:13:32.208 --> 01:13:34.009]  That's what America, that's freedom, ma'am.
[01:13:34.747 --> 01:13:35.807]  Is no due process.
[01:13:35.867 --> 01:13:37.588]  That's good Soviet Union.
[01:13:38.948 --> 01:13:41.889]  But don't worry officers, those of you that like the system and go along with it.
[01:13:41.929 --> 01:13:43.129]  I know a lot of you don't and are waking up.
[01:13:43.729 --> 01:13:44.289]  Don't worry.
[01:13:44.329 --> 01:13:44.970]  Don't believe me.
[01:13:45.030 --> 01:13:45.770]  I'm a kook.
[01:13:46.610 --> 01:13:48.010]  In your gut you know I'm not.
[01:13:48.771 --> 01:13:51.371]  But drink a few extra helpings of tap water today.
[01:13:52.071 --> 01:13:53.972]  Just drink it and don't listen to me.
[01:13:55.595 --> 01:14:02.417]  Go ahead and give your 18-month-old baby that third round of shots when they have that convulsion and are gone and basically drooling in the corner for the rest of their life.
[01:14:02.797 --> 01:14:04.057]  You gotta keep them in diapers till they're 50.
[01:14:04.137 --> 01:14:08.398]  I mean, I wish you wouldn't hurt your children, but you believe in the government, don't you?
[01:14:08.938 --> 01:14:11.919]  You know, I went to buy my wife a present the other day, and I was at the mall.
[01:14:11.939 --> 01:14:13.019]  I rarely go there.
[01:14:13.319 --> 01:14:15.620]  There was just autistic children in wheelchairs everywhere.
[01:14:15.640 --> 01:14:19.661]  And I wanted to stop and tell them, if you have more children, don't take the mercury shots.
[01:14:21.036 --> 01:14:23.377]  But they would have told me, the news says there's no more mercury.
[01:14:23.918 --> 01:14:25.939]  Or, the mercury is good for you!
[01:14:25.959 --> 01:14:28.361]  I heard a doctor on the radio say so.
[01:14:28.381 --> 01:14:30.902]  Okay, don't believe me.
[01:14:31.883 --> 01:14:33.984]  Again, don't believe me, okay?
[01:14:35.505 --> 01:14:37.386]  Don't you believe... I mean, I've been on vacations.
[01:14:37.426 --> 01:14:39.047]  I've been at the gym.
[01:14:39.067 --> 01:14:39.547]  I've been everywhere.
[01:14:39.867 --> 01:14:42.349]  And I'd say to a lady who has an autistic child, I'd say,
[01:14:43.271 --> 01:14:44.151]  When did that happen?
[01:14:44.192 --> 01:14:52.576]  And every time they say, well, he was 18 months old, she was 18 months old, and I gave him that third, we went to the doctor, the third round of shots, and he had a convulsion in the car and he never talked again.
[01:14:53.236 --> 01:14:56.838]  He was talking and running around the house and giggling and happy, and he's gone now!
[01:14:58.059 --> 01:15:00.140]  And he's gone now because they love you.
[01:15:00.981 --> 01:15:08.925]  He's gone now because they're sicko eugenicists, and you better find out, every single one of you, what that means, because it tears my guts out to talk about it.
[01:15:09.185 --> 01:15:10.466]  I'm sick of talking about it!
[01:15:13.241 --> 01:15:14.242]  I'm your friend, police.
[01:15:14.302 --> 01:15:15.363]  I'm your friend, military.
[01:15:15.403 --> 01:15:16.243]  I know the majority.
[01:15:16.263 --> 01:15:19.807]  Ron Paul's got more military contributions than both parties combined.
[01:15:19.827 --> 01:15:20.687]  I know the troops are good.
[01:15:20.727 --> 01:15:22.089]  He's got more cop contributions.
[01:15:22.149 --> 01:15:23.069]  I know the cops are good.
[01:15:23.290 --> 01:15:25.592]  I'm talking to that few out there that still serve the system.
[01:15:26.212 --> 01:15:27.694]  I don't even know why I'm attacking the cops.
[01:15:27.874 --> 01:15:29.295]  Most of the cops I talk to, no!
[01:15:29.515 --> 01:15:30.656]  But a lot of them still don't!
[01:15:31.237 --> 01:15:32.338]  This government's evil!
[01:15:32.578 --> 01:15:33.399]  It's gone bad!
[01:15:33.419 --> 01:15:35.220]  A bunch of psycho-scientists run it!
[01:15:35.661 --> 01:15:37.763]  And all I'm trying to do is warn you!
[01:15:40.575 --> 01:15:41.095]  Yeah!
[01:15:42.137 --> 01:15:44.980]  Endgame's free on Google Video!
[01:15:45.080 --> 01:15:46.862]  Watch it!
[01:15:53.132 --> 01:15:54.432]  Want to know my little secret?
[01:15:54.993 --> 01:15:59.434]  I have rich, delicious chocolate as much as I want, every single day.
[01:15:59.894 --> 01:16:01.514]  And I never feel bad about it.
[01:16:02.015 --> 01:16:06.816]  Cocoa Pure Chocolate Tea gives you real, natural cocoa, without any fat or sugar.
[01:16:07.576 --> 01:16:14.518]  Even better, Cocoa Pure is made with nutrients that keep my heart healthy, my energy levels up, and my body looking great.
[01:16:15.098 --> 01:16:20.160]  I'm having smooth, tasty chocolate every single day, and it's helping me stay healthier than ever.
[01:16:20.880 --> 01:16:25.042]  You can give yourself the gift of health by calling for a bottle of Cocoa Pure Chocolate Tea.
[01:16:25.582 --> 01:16:28.283]  The only thing better than chocolate is healthy chocolate.
[01:16:28.763 --> 01:16:32.364]  Here's how you can get a bottle of delicious Cocoa Pure Chocolate Tea.
[01:16:33.225 --> 01:16:39.087]  For your risk-free bottle of Cocoa Pure Chocolate Tea, call 1-800-457-9914.
[01:16:39.347 --> 01:16:43.749]  And if you call now, you can find out how to get a free bottle of Cocoa Pure with your order.
[01:16:43.769 --> 01:16:44.029]  Dial 1-800-457-9914.
[01:16:44.049 --> 01:16:44.289]  That's 1-800-457-9914.
[01:16:52.368 --> 01:16:53.029]  It's a fact.
[01:16:53.249 --> 01:17:00.713]  Since the creation of the Federal Reserve in 1913, all banks in these United States create money out of thin air for every single loan they issue.
[01:17:00.853 --> 01:17:07.056]  With never-ending late fees over the limit fees and higher and higher interest rates, it has become mathematically impossible to repay all
[01:17:07.056 --> 01:17:07.877]  We're good to go.
[01:17:32.256 --> 01:17:36.738]  Instead of living each day in fear and frustration, it's time to take action and turn your life around.
[01:17:36.898 --> 01:17:40.359]  Call the Federal Debt Relief System at 877-943-8600.
[01:17:40.559 --> 01:17:42.200]  That's 877-943-8600.
[01:17:42.620 --> 01:17:46.001]  Or visit FDRS.org.
[01:17:46.101 --> 01:17:48.462]  Find out how you can break the cycle of debt slavery.
[01:17:48.642 --> 01:17:51.643]  Visit FDRS.org today.
[01:17:52.223 --> 01:17:59.686]  Now, from the makers of Loose Change, the most downloaded film in Internet history, comes the long-awaited release of Loose Change Final Cut.
[01:18:00.146 --> 01:18:04.968]  An entirely new two-hour film that completely destroys the official fable forever.
[01:18:05.348 --> 01:18:16.052]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation in which family members receive answers to their questions and the true perpetrators of this horrendous crime are brought to justice.
[01:18:16.412 --> 01:18:19.633]  Loose Change Final Cut is the ultimate 9-11 expose.
[01:18:19.834 --> 01:18:23.595]  From hijackers being trained at US military bases to bombs in the building,
[01:18:23.895 --> 01:18:24.576]  We're good to go.
[01:18:51.963 --> 01:18:52.423]  Hi, neighbor.
[01:18:53.003 --> 01:18:54.684]  The world famine is in its third year.
[01:18:55.104 --> 01:18:57.224]  Our harvest is too small to get through the year.
[01:18:57.825 --> 01:19:04.686]  Genetically poisoned food, dangerous food imports, and constantly recalled disease-contaminated foods are mixed in with our safe food.
[01:19:05.507 --> 01:19:08.287]  Farm food production has turned into ethanol fuel.
[01:19:08.927 --> 01:19:09.608]  What should I do?
[01:19:10.108 --> 01:19:12.808]  How long can I afford food or till there's no food?
[01:19:13.409 --> 01:19:14.829]  How long before it's all poisoned?
[01:19:15.450 --> 01:19:17.711]  Will three years worth of food supply be enough?
[01:19:18.192 --> 01:19:21.613]  Or will it only postpone my trip to the population control breadline?
[01:19:22.094 --> 01:19:24.175]  Will it be okay to wait till after the holidays?
[01:19:24.635 --> 01:19:28.597]  I'll use what I didn't spend on Christmas for a something-is-better-than-nothing supply.
[01:19:29.078 --> 01:19:29.958]  I'll get the rest later.
[01:19:29.978 --> 01:19:31.279]  How long do I dare wait?
[01:19:32.100 --> 01:19:35.303]  I know I'll regret not starting sooner and not getting enough food.
[01:19:35.923 --> 01:19:38.085]  I have to decide while I still have a choice.
[01:19:38.565 --> 01:19:39.466]  Tell me what to do.
[01:19:40.127 --> 01:19:42.689]  Now take your own advice and call 800-409-5633 or on the web, efoodsdirect.com.
[01:19:42.709 --> 01:19:42.969]  Call 800-409-5633.
[01:19:42.989 --> 01:19:44.090]  You are listening to GCN.
[01:19:44.110 --> 01:19:45.371]  Visit GCNlive.com today.
[01:20:06.868 --> 01:20:12.011]  Let me get serious with you out there.
[01:20:12.932 --> 01:20:26.200]  Imagine when you've read the government documents, how the US and England discovered in the 20s that sodium fluoride was a toxic sedative that attacks every gland, every organ, and causes a 20 point oxygen reduction.
[01:20:26.900 --> 01:20:29.442]  It's even worse if you drink it continually as a small child.
[01:20:29.842 --> 01:20:30.422]  Permanently!
[01:20:30.902 --> 01:20:31.763]  Brain damages you.
[01:20:32.495 --> 01:20:36.357]  To find out they put it in the slave camps in Nazi Germany, and the gulags in Russia.
[01:20:36.477 --> 01:20:37.678]  That's mainstream history!
[01:20:38.238 --> 01:20:39.819]  Then they come here and put it in our water!
[01:20:42.060 --> 01:20:45.842]  Now, again, I keep harping on that because that's one point of thousands I could get into.
[01:20:46.743 --> 01:20:50.805]  All the testing, all the chemicals, biologicals, radiologicals, they've dumped on U.S.
[01:20:50.825 --> 01:20:51.065]  cities.
[01:20:51.105 --> 01:20:52.326]  It's all declassified.
[01:20:54.807 --> 01:20:57.889]  And so today, you want to go to Google Video and watch Endgame for free.
[01:20:58.309 --> 01:20:59.770]  It costs $150,000 to make.
[01:20:59.790 --> 01:21:05.013]  You can buy the DVD at Infowars.com or Amazon.com or Barnes and Noble and Best Buy.
[01:21:05.373 --> 01:21:06.654]  I don't care if you buy it!
[01:21:08.655 --> 01:21:10.256]  All I want you to do is go watch it.
[01:21:10.276 --> 01:21:12.178]  I mean, it's better quality on the DVD.
[01:21:12.198 --> 01:21:14.619]  It's better quality if you watch it at PrisonPlanet.tv.
[01:21:14.839 --> 01:21:15.720]  But I don't care.
[01:21:17.141 --> 01:21:19.322]  How could I morally not put it up for free?
[01:21:22.301 --> 01:21:25.343]  Before Google Video and YouTube, we couldn't afford to put stuff up for free.
[01:21:25.383 --> 01:21:29.667]  I put up bribery I caught on tape that made national news and the statesman locally.
[01:21:30.407 --> 01:21:32.729]  In 1999, the Texas Legislature was in session.
[01:21:34.230 --> 01:21:34.430]  Was it 2000?
[01:21:35.808 --> 01:21:41.330]  I put it up and got a $4,000 bill at the end of the month, just for putting up a four-minute clip, and I said, that's it, we're putting this up for free.
[01:21:41.790 --> 01:21:45.891]  But when Google Video came along that same year, I said, baby, it's all free.
[01:21:46.412 --> 01:21:47.592]  All 18 of my films.
[01:21:47.992 --> 01:21:52.254]  Jet airplanes, you know, we're flying to Istanbul, Turkey to make these films.
[01:21:52.514 --> 01:21:53.634]  To Ottawa, Canada.
[01:21:54.974 --> 01:21:55.875]  To Honduras.
[01:21:58.156 --> 01:21:59.056]  To Nicaragua.
[01:22:02.377 --> 01:22:03.337]  To El Salvador.
[01:22:04.898 --> 01:22:05.418]  To England.
[01:22:07.202 --> 01:22:08.303]  High def cameras!
[01:22:09.283 --> 01:22:09.723]  Everything!
[01:22:11.584 --> 01:22:14.566]  I don't take the extra money I get and buy a few more fancy cars or a bigger house.
[01:22:15.006 --> 01:22:19.589]  I take it and I make films to warn you how they're killing you and your family with slow kill weapons.
[01:22:19.629 --> 01:22:20.189]  That's what I do.
[01:22:22.930 --> 01:22:25.552]  So I just want you to see Endgame, Blueprint for Global Enslavement.
[01:22:26.012 --> 01:22:29.574]  It's been off and on, number one, number two, number three on Google Video for like a month and a half now.
[01:22:30.054 --> 01:22:31.135]  Tens of millions seeing it.
[01:22:31.155 --> 01:22:32.035]  What did Google Video do?
[01:22:32.295 --> 01:22:33.296]  They took the counter off.
[01:22:34.824 --> 01:22:36.065]  This is getting national attention.
[01:22:36.545 --> 01:22:38.086]  All the top videos on Google Video now.
[01:22:38.106 --> 01:22:39.287]  Go to their most viewed, their top 100.
[01:22:39.347 --> 01:22:41.448]  It's all Patriot stuff.
[01:22:41.488 --> 01:22:45.770]  It's all the truth, because people are waking up through their fluoride fog.
[01:22:47.411 --> 01:22:48.132]  And that's only one.
[01:22:48.192 --> 01:22:51.433]  They've been doing that to us since the 50s, and other countries since the 30s.
[01:22:52.114 --> 01:22:53.755]  Imagine how long they've been doing other stuff to us.
[01:22:54.635 --> 01:22:58.838]  All right, I'm going to go to Mike, Dan, Mike, Fred, others that are patiently holding.
[01:22:59.858 --> 01:23:01.139]  In fact, Fred's in Japan.
[01:23:01.159 --> 01:23:03.140]  I'm going to go to him first when we get to him.
[01:23:05.106 --> 01:23:14.771]  I want you to understand, this stack of news I have is just the last few days, and what I do on the Sunday show is I kind of go through my stack of news, probably 500, 600 articles, because we print them.
[01:23:15.031 --> 01:23:16.051]  We don't just get them on the web.
[01:23:16.212 --> 01:23:17.492]  We print them out so we have them in our hand.
[01:23:18.253 --> 01:23:20.374]  It's impossible to surf around and go to each story on air.
[01:23:21.934 --> 01:23:25.276]  And I mean, this is a fraction of them, right here.
[01:23:26.758 --> 01:23:33.023]  Now, remember last week it was California's going to pass a law to remote control the thermostat in your house to decide how hot or cold it can be.
[01:23:33.083 --> 01:23:38.787]  Or the Feds have passed a law to make you take the new light bulbs that last eight years that are full of mercury and toxic waste.
[01:23:39.007 --> 01:23:43.730]  Doesn't matter, they have phosphorescent bulbs that last almost as long and are much better for the environment.
[01:23:43.750 --> 01:23:45.031]  They don't care, it's about setting precedents.
[01:23:46.712 --> 01:23:54.518]  And I'm...CPS and people's kids and Colorado and California and New York and one of the worst places is Arkansas.
[01:23:56.135 --> 01:23:57.236]  Come in and take in your child.
[01:23:57.356 --> 01:23:59.497]  They started it about five years ago in different parts of the country.
[01:23:59.937 --> 01:24:01.257]  Six years, seven years, some areas.
[01:24:01.277 --> 01:24:03.138]  But about five years ago it started going in everywhere.
[01:24:03.778 --> 01:24:07.100]  And now the psychologist is paid for by the feds.
[01:24:07.120 --> 01:24:08.060]  They're actually reps.
[01:24:08.100 --> 01:24:09.281]  This is in the New Freedom Initiative.
[01:24:09.321 --> 01:24:10.081]  Go read it for yourself.
[01:24:11.062 --> 01:24:13.163]  To try to get, quote, half the kids on drugs.
[01:24:13.283 --> 01:24:14.063]  They already have 20%.
[01:24:15.584 --> 01:24:18.145]  The psychologist that works there is basically a rep for the state.
[01:24:19.281 --> 01:24:23.144]  And they call you in and teach you about suicide, which actually has made suicide go way up.
[01:24:23.204 --> 01:24:26.166]  Ten-year-olds didn't used to think about suicide until we told them about it, and now it's an option.
[01:24:26.346 --> 01:24:27.287]  So suicide explodes.
[01:24:27.847 --> 01:24:32.331]  Putting the kids on Prozac, Ritalin, and then they go nuts like Britney Spears after they get on the stuff.
[01:24:33.372 --> 01:24:40.477]  Every mass killing, every woman that cuts their kids' arms off or drowns in every shooting we've had at schools, they're always on the serotonin reuptake inhibitors in the psychotropic class.
[01:24:43.672 --> 01:24:47.133]  And I remember in those states, they started, oh, at first it sounded reasonable.
[01:24:47.313 --> 01:24:48.754]  We're going to help your child be healthier.
[01:24:49.094 --> 01:24:51.014]  And they set a really low standard.
[01:24:52.015 --> 01:24:55.616]  I mean, by low, I mean, you didn't have to be but a few pounds overweight.
[01:24:55.896 --> 01:24:56.856]  And they put you on a list.
[01:24:56.876 --> 01:25:01.017]  And if you haven't lost that weight in one year, then they put you, quote, on probation.
[01:25:01.057 --> 01:25:01.818]  But there's no law.
[01:25:01.838 --> 01:25:05.039]  There's just people in uniforms and the public's dumb as, OK, I don't have any rights.
[01:25:05.559 --> 01:25:09.720]  And the next year, if your kid hasn't lost that weight, they take your child!
[01:25:11.883 --> 01:25:14.084]  It's going on all over the country.
[01:25:17.526 --> 01:25:22.569]  And now they want to have a national sales tax, which they have fake conservatives, probably most of them well-meaning idiots, pushing.
[01:25:22.829 --> 01:25:23.690]  A quote, fair tax.
[01:25:24.450 --> 01:25:27.332]  They don't tell you, as I saw the federal documents 10 years ago, I've been covering it for 10.
[01:25:27.552 --> 01:25:28.993]  You've been listening to me, some of you for 12.
[01:25:29.253 --> 01:25:32.875]  Let me see, it was 99, 98, now about 10 years.
[01:25:33.315 --> 01:25:34.316]  Since I started covering this.
[01:25:34.876 --> 01:25:35.716]  Been on the air since 95.
[01:25:35.917 --> 01:25:39.999]  I remember reading how
[01:25:40.780 --> 01:25:51.367]  Different central banks and the Organization of Economic Development that grew out of the Marshall Plan that became the international structure said that we're a tax haven and they said we're going to sell the public on getting rid of the IRS.
[01:25:51.387 --> 01:25:55.489]  We're just going to change the name of it and call it a 10% Social Security tax and we can raise that.
[01:25:55.749 --> 01:26:02.834]  We're going to have a sales tax that's federal that's shared with the locals but you don't have to swipe a card even when you pay with cash and then if you eat too much meat
[01:26:03.474 --> 01:26:23.063]  Buy cigarettes, beer, we're gonna know, and then that's gonna go on your insurance, and we're gonna have socialized medicine, and then we're gonna sell the public that you can't, we can't be paying for these people overweight, or people that smoke, or drink, or eat red meat, and so then we'll stop giving them health care through the bioethicist boards, which grows out of eugenics.
[01:26:25.524 --> 01:26:27.025]  Here's the London Telegraph.
[01:26:27.305 --> 01:26:29.806]  Don't treat the old and unhealthy, say doctors.
[01:26:30.856 --> 01:26:31.436]  Now listen to this.
