[00:00:00.029 --> 00:00:00.817]  They can read along.
[01:14:30.676 --> 01:14:36.041]  A fractional reserve system means only a small portion of your deposit is held in reserve for immediate withdrawal.
[01:14:36.261 --> 01:14:43.227]  Deficit spending will skyrocket through FDIC if the government is forced to insure deposits during a bank run followed by a depressed economy.
[01:14:43.507 --> 01:14:48.853]  A current effort is underway by the Fed, along with other central banks, to increase liquidity for depositors.
[01:14:49.113 --> 01:14:53.839]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[01:14:54.199 --> 01:15:01.788]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[01:15:02.108 --> 01:15:08.355]  While paper investments currently have been driven by debt, gold on its own has held value for over 6,000 years.
[01:15:08.675 --> 01:15:10.317]  For more information, call 1-800-686-2237.
[01:15:12.539 --> 01:15:13.119]  That's 1-800-686-2237.
[01:15:13.139 --> 01:15:17.504]  Our beloved republic is on her knees.
[01:15:17.784 --> 01:15:21.248]  The forces of globalism are destroying national sovereignty worldwide.
[01:15:21.408 --> 01:15:23.230]  But in liberty's darkest hour, there is hope.
[01:15:23.830 --> 01:15:26.571]  The first time in modern history, the people are beginning to wake up.
[01:15:26.871 --> 01:15:32.353]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[01:15:32.613 --> 01:15:36.574]  We have a short time frame to fully awaken and energize the people to meet this threat.
[01:15:36.854 --> 01:15:41.776]  In the Info War, PrisonPlanet.TV is a powerful weapon in the battle to regain our freedom.
[01:15:42.056 --> 01:15:44.777]  PrisonPlanet.TV is a vault of forbidden information.
[01:15:45.117 --> 01:15:51.946]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[01:15:52.326 --> 01:15:58.154]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[01:15:58.314 --> 01:16:02.840]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[01:16:03.100 --> 01:16:05.644]  The Info War is waiting for you to set it free.
[01:16:05.985 --> 01:16:07.628]  Join PrisonPlanet.TV.
[01:16:08.028 --> 01:16:09.832]  Burn the info bombs to disk.
[01:16:10.012 --> 01:16:11.835]  Put them on the file sharing networks.
[01:16:12.155 --> 01:16:13.578]  Bring down the New World Order.
[01:16:13.939 --> 01:16:14.700]  PrisonPlanet.TV
[01:16:16.161 --> 01:16:20.842]  For centuries, salt products have been known to help people stay well in body, mind, and spirit.
[01:16:21.122 --> 01:16:27.564]  Soleil Wellness is a unique company that scoured the world to find the best salt-based products to help you and your family.
[01:16:27.904 --> 01:16:36.026]  Safe, easy-to-use, environmentally-friendly products that fit into any lifestyle, decor, and can be used by anyone at any age.
[01:16:36.286 --> 01:16:39.547]  Soleil Wellness has a unique selection of salt-based products.
[01:16:39.767 --> 01:16:45.309]  Not only Himalayan Gourmet Salt and Healy Bath Salts, Soleil's simple natural cleaning products
[01:16:45.609 --> 01:16:47.170]  Ionizing salt crystal lamps.
[01:16:47.450 --> 01:16:50.652]  Respiratory... Waging war on corruption.
[01:16:51.152 --> 01:16:53.954]  Alex Jones on the GCN Radio Network.
[01:16:58.517 --> 01:16:58.977]  State Rep.
[01:16:59.017 --> 01:17:00.338]  Charles Key is our guest.
[01:17:00.618 --> 01:17:01.598]  Talk about courage.
[01:17:02.759 --> 01:17:10.924]  From day one when there was the questions coming out with the Oklahoma City bombing, which was an inside job from the beginning,
[01:17:11.966 --> 01:17:14.808]  He was there questioning, exposing, speaking out.
[01:17:15.549 --> 01:17:22.794]  And now in hindsight, talking 12 years later or more, it's just all coming out.
[01:17:23.674 --> 01:17:25.155]  It is all coming out in a big way.
[01:17:25.195 --> 01:17:31.020]  So I want to shift gears into that for the rest of the interview with our guest today and any other subjects he wants to talk about.
[01:17:31.040 --> 01:17:35.823]  But as a state rep, for all our listeners in Oklahoma, please support him.
[01:17:36.043 --> 01:17:38.705]  I mean, I know he was happy to be out of politics.
[01:17:38.765 --> 01:17:39.726]  Why did you get back in?
[01:17:41.058 --> 01:17:42.739]  Well, it was just kind of circumstantial.
[01:17:42.779 --> 01:17:51.205]  There were some people that asked me to run when the guy that was in there just chose not to run, somewhat at the last minute.
[01:17:53.466 --> 01:17:54.427]  That was just that simple.
[01:17:54.707 --> 01:18:03.113]  There was another guy running that some of them didn't think he was a conservative, and they said, we want a conservative in there, and we've got to have a conservative, and we want you to run.
[01:18:03.213 --> 01:18:05.835]  So I thought about it, prayed about it, and boom, did it.
[01:18:06.647 --> 01:18:08.488]  And they did the same thing they did to me before.
[01:18:08.508 --> 01:18:16.032]  They just blew me out of the water about the Oklahoma City bombing, but we prevailed and God gave us a victory, so that's just it.
[01:18:16.472 --> 01:18:21.675]  Yeah, they attack you when most Oklahomans I talk to know what's going on.
[01:18:22.436 --> 01:18:27.999]  Did that backfire on them that the story's gotten out now and that made your competitors look stupid?
[01:18:28.419 --> 01:18:29.199]  Yeah, I think it is.
[01:18:29.259 --> 01:18:36.081]  I think, you know, it's a lot like, this Oklahoma City bombing case is a lot like JFK and a lot of other cases that we can enumerate.
[01:18:36.121 --> 01:18:38.102]  You talk about it on your program many times.
[01:18:38.802 --> 01:18:40.882]  You know, as time goes by, more of the truth comes out.
[01:18:41.182 --> 01:18:42.043]  People have time.
[01:18:42.063 --> 01:18:44.643]  The emotional part of it, you know, subsides.
[01:18:44.683 --> 01:18:45.243]  It goes away.
[01:18:45.323 --> 01:18:49.745]  People have a chance to hear more, think more, and get more facts.
[01:18:49.905 --> 01:18:51.925]  And they realize that there was a cover-up.
[01:18:52.005 --> 01:18:54.866]  And that's what's happened in the Oklahoma City bombing case.
[01:18:56.157 --> 01:18:58.582]  I guess you probably had Jesse Trinidou on your program.
[01:18:58.862 --> 01:18:59.283]  Oh, yes.
[01:18:59.804 --> 01:19:03.931]  And that guy, talk about a bulldog and a courageous man.
[01:19:04.532 --> 01:19:07.758]  He has continued to keep this thing alive and he has helped
[01:19:08.729 --> 01:19:13.692]  Continue to verify what all of us were saying back in the beginning.
[01:19:13.712 --> 01:19:14.293]  Well, that's it.
[01:19:14.333 --> 01:19:18.595]  Ten, eleven years ago, everything you said has turned out, your angle on it has turned out to be right.
[01:19:19.016 --> 01:19:25.380]  In fact, break down the Jesse Trinidou case for those that may have forgotten, because that was probably six, eight months ago we were really talking about this.
[01:19:25.420 --> 01:19:28.001]  I mean, break down all the new things that have been confirmed.
[01:19:28.462 --> 01:19:34.446]  Well, it's been hard for me to keep on top of it like I did the bombing case when I was involved in that, but I can hit the highlights.
[01:19:35.086 --> 01:19:38.048]  Jesse Trinidou is an attorney up in the Salt Lake City area.
[01:19:38.584 --> 01:19:43.068]  He had a brother who died in Oklahoma City in August of 95.
[01:19:43.108 --> 01:19:44.269]  The bombing happened in April.
[01:19:45.010 --> 01:19:50.494]  And his brother died in a federal transfer center that happened to be in my district, by the way, right next to the airport.
[01:19:51.415 --> 01:19:59.642]  And when the family realized that he didn't commit suicide like the Bureau of Prisons claimed, so they filed a lawsuit.
[01:20:00.563 --> 01:20:02.505]  As time went by and they were able to force
[01:20:03.266 --> 01:20:09.490]  Documents out of the government, through the Freedom of Information Act, they found out that it was related to the Oklahoma City bombing somehow.
[01:20:10.531 --> 01:20:21.759]  What happened was some federal investigators, FBI and who knows who else, thought that he was a suspect in the Oklahoma City bombing case and they beat him to death, literally.
[01:20:21.779 --> 01:20:29.224]  And so the family filed suit, they eventually won that suit, and the Trinidad and the family have not let go.
[01:20:30.140 --> 01:20:34.701]  Become impassioned, not just... Let me just add, he also had electrical burns all over him.
[01:20:35.221 --> 01:20:35.521]  Yeah.
[01:20:35.581 --> 01:20:36.661]  Go ahead.
[01:20:36.861 --> 01:20:56.285]  And they're impassioned about this, not just because they wanted to bring justice to what really happened in regards to their brother and son's murder, but also because they found out how terribly screwed up this Oklahoma City bombing case was, and how the truth was really being covered up.
[01:20:56.809 --> 01:21:08.756]  So Jesse Trinidou, and you know, we should also give kudos to a federal judge up in the Salt Lake area, I think his last name is Kimball, has not let the Justice Department and the FBI off the hook easy.
[01:21:08.796 --> 01:21:12.618]  It made them have to live under the laws that the rest of us have to live under.
[01:21:12.638 --> 01:21:14.699]  And he said things like, this is a cover-up.
[01:21:14.739 --> 01:21:17.841]  I mean, it's amazing to actually have a good federal judge.
[01:21:18.501 --> 01:21:23.844]  Yeah, you know, even the Judge Mache that presided over McVeigh and Nichols' trials,
[01:21:24.784 --> 01:21:45.130]  Make a couple of comments like that back early on so there's no question about that it was a major cover-up and it was there were other people involved and they had a level at minimum a level of prior knowledge that something was going to happen and you know there were government informants inside the circle or these circles of individuals that were
[01:21:45.819 --> 01:21:48.461]  You know, going to carry this out, or they were participating in it.
[01:21:49.101 --> 01:21:50.542]  And, you know, the list just goes on.
[01:21:50.562 --> 01:21:57.466]  But how could you be criticized when you had grand jurors and people coming to you saying there's other bombers and I'm being told to shut up?
[01:21:57.826 --> 01:22:00.207]  I mean, that's your job as a state rep to speak out.
[01:22:02.028 --> 01:22:05.851]  Well, you know, there are folks that they want to go along.
[01:22:06.431 --> 01:22:11.294]  They're more interested in climbing up a ladder, whether it's politically or corporately or whatever.
[01:22:12.194 --> 01:22:13.355]  And that's what it gets down to.
[01:22:13.999 --> 01:22:14.379]  Stay there.
[01:22:14.399 --> 01:22:20.724]  I want to run through the basics of what you know about the Oklahoma City bombing and who you think is really behind it and involved.
[01:22:21.245 --> 01:22:27.890]  We've got a clearer picture today than we've ever had before, and we'll take calls on the resolution, throwing the feds out, re-declaring state liberty.
[01:22:27.910 --> 01:22:33.354]  1-800-259-9231 is the toll-free number to call in.
[01:22:34.275 --> 01:22:35.175]  We're on the march.
[01:22:35.656 --> 01:22:37.257]  The empire's on the run.
[01:22:38.198 --> 01:22:40.880]  Alex Jones and the GCN Radio Network.
[01:22:44.975 --> 01:22:46.156]  And that's what it gets down to.
[01:22:46.836 --> 01:22:47.196]  Stay there.
[01:22:47.216 --> 01:22:53.539]  I want to run through the basics of what you know about the Oklahoma City bombing and who you think is really behind it and involved.
[01:22:54.059 --> 01:23:01.663]  We've got a clearer picture today than we've ever had before, and we'll take calls on the resolution, throwing the feds out, re-declaring state liberty.
[01:23:01.683 --> 01:23:06.165]  1-800-259-9231 is the toll-free number to call in.
[01:23:07.026 --> 01:23:07.926]  We're on the march.
[01:23:08.406 --> 01:23:10.027]  The empire's on the run.
[01:23:10.947 --> 01:23:13.629]  Alex Jones and the GCN Radio Network.
[01:23:18.627 --> 01:23:23.928]  Are you tired of hearing that a cure for cancer is coming, but it will be available sometime in the future?
[01:23:24.268 --> 01:23:26.549]  At LaysMedInc, the future is here.
[01:23:26.909 --> 01:23:30.350]  Now it's cancer's turn to die with our patented methodology.
[01:23:30.570 --> 01:23:41.792]  Without cutting, bleeding, drugs, or damaging radiation, we can kill skin cancer and breast tumors of any size and many other types of cancer without adverse side effects at our outpatient facility.
[01:23:41.992 --> 01:23:45.074]  We offer a real solution using real science.
[01:23:45.454 --> 01:23:49.296]  Our unique approach to cancer treatment is what everyone has been waiting for.
[01:23:49.577 --> 01:23:52.738]  A simple, easy way to eliminate the threat of cancer.
[01:23:53.039 --> 01:23:55.080]  Laser technology at its best.
[01:23:55.300 --> 01:23:58.502]  To receive an information packet, call our Treatment Center at 501-255-8000.
[01:24:00.663 --> 01:24:01.063]  That's 501-255-0528.
[01:24:01.083 --> 01:24:03.765]  Or visit our website at leismedinc.com.
[01:24:03.845 --> 01:24:05.866]  That's L-A-S-E-M-E-D-I-N-C dot com today.
[01:24:16.809 --> 01:24:18.291]  Hi, this is Brother Michael Dimon.
[01:24:18.631 --> 01:24:24.159]  You can now get the most important package ever on what has happened to the Catholic Church in the last 50 years.
[01:24:24.619 --> 01:24:32.550]  Find out how this massive crisis concerning the Catholic Church happened, what happened, and how the Bible predicted it would take place in the last days.
[01:24:33.050 --> 01:24:36.671]  The package contains six DVDs that contain ten different programs.
[01:24:37.011 --> 01:24:40.613]  Two books that combined are over a thousand pages and other information.
[01:24:40.933 --> 01:24:44.054]  Order now at our website mostholyfamilymonastery.com.
[01:24:44.274 --> 01:24:48.236]  That's mostholyfamilymonastery.com.
[01:24:48.516 --> 01:24:52.397]  The last word monastery is spelled M-O-N-A-S-T-E-R-Y.
[01:24:52.717 --> 01:24:53.497]  Or call us at 1-800-275-1126.
[01:24:53.517 --> 01:24:53.738]  That's 1-800-275-1126.
[01:25:00.700 --> 01:25:06.464]  Or mail in your order to us at 4425 Schneider Road, Fillmore, New York, 14735.
[01:25:06.904 --> 01:25:10.607]  The total cost for this massive package of information is only $10.
[01:25:10.647 --> 01:25:15.490]  $15 for UPS ground or $30 outside the U.S.
[01:25:16.470 --> 01:25:17.891]  It is a big idea.
[01:25:17.911 --> 01:25:19.993]  A new world order.
[01:25:20.713 --> 01:25:24.956]  In the near future, Earth is dominated by a powerful world government.
[01:25:25.589 --> 01:25:27.751]  It's known as the Bilderberg Group.
[01:25:28.431 --> 01:25:30.653]  Put their objective be world domination.
[01:25:31.213 --> 01:25:33.655]  For thousands of years their dark order grew.
[01:25:34.395 --> 01:25:41.821]  Now as they hail the birth of the new world order, their great dream of exterminating 80% of humanity is at hand.
[01:25:44.743 --> 01:25:46.084]  For the first time in history.
[01:26:09.965 --> 01:26:11.085]  Charles Key is our guest.
[01:26:11.145 --> 01:26:12.606]  I'm very thankful for his time today.
[01:26:12.687 --> 01:26:14.728]  Steve, Greg, John, Charles, many others.
[01:26:14.748 --> 01:26:18.210]  We're going to go to your calls here in a few minutes for State Rep Charles Key.
[01:26:19.892 --> 01:26:22.113]  When he's done in the Statehouse, we need to send him to Washington.
[01:26:22.133 --> 01:26:22.934]  We need some good people.
[01:26:24.437 --> 01:26:32.980]  In Washington, there's only Ron Paul and a few others up there, and Republicans and conservatives' names have been destroyed, thanks to Bush, tripling the size of government.
[01:26:33.000 --> 01:26:35.160]  Now we're looking at Barack Obama or McCain.
[01:26:36.901 --> 01:26:48.824]  Charles, before we get back into Oklahoma City and take calls, sometimes you've got to wonder, I mean, the elites are just running this country into the ground, and I'm just wondering if there's any hope the way things are going.
[01:26:48.844 --> 01:26:51.125]  There's hope.
[01:26:51.225 --> 01:26:54.026]  I think there's always hope, but I feel the same way.
[01:26:54.887 --> 01:27:11.497]  I get discouraged and down, but as long as we, you know, we have a certain amount of freedom, and we still do in this country, but back to the Tenth Amendment, you were talking about the Oklahoma City bombing and how they could attack somebody or criticize them for just asking questions and wanting some truth.
[01:27:12.037 --> 01:27:23.904]  Well, look at McCain, Feingold, and a lot of the other things they've done over the past few years to just try and control your ability to speak freely, like on this radio program, because there are those that don't want us to even talk about this.
[01:27:24.710 --> 01:27:25.591]  And that's what they do.
[01:27:25.851 --> 01:27:35.537]  One of the things they do is they will attack you publicly and call you all kinds of names, you know, and spin off the truth and tell a lot of untruths.
[01:27:35.797 --> 01:27:45.222]  And since the Oklahoma City bombing, just look at the legislation that's been passed to restrict what you can say and where you can say it.
[01:27:45.843 --> 01:27:48.384]  You know, there's what they call them, speech-free zones.
[01:27:48.905 --> 01:27:54.328]  If you get in some of those zones when there's a presidential motorcade or the president's there or some other,
[01:27:54.887 --> 01:27:58.769]  A political activity that they don't want any protesters to be around.
[01:27:58.810 --> 01:27:59.290]  What do they do?
[01:27:59.330 --> 01:28:00.931]  They'll haul you off and throw you in jail.
[01:28:01.071 --> 01:28:02.432]  Well look at Nancy Pelosi.
[01:28:02.492 --> 01:28:13.859]  The first thing they did after, and I'll just say it, after the Clintons bombed OKC, after the Feds did, the first thing they did was say, we need to bring back the Fairness Doctrine and reduce free speech on talk radio.
[01:28:13.879 --> 01:28:14.940]  They blamed talk radio.
[01:28:15.360 --> 01:28:17.661]  And now Pelosi says she wants to bring that back.
[01:28:18.522 --> 01:28:18.702]  Yeah.
[01:28:20.192 --> 01:28:42.204]  And I think, you know, I hear more and more people, what's been interesting in my experience coming back into the legislative, political realm this last couple of years, is when I went out and knocked doors in 06, running for this seat again, it was very, very surprising to me and encouraging, very encouraging, how many people going door to door, and these are Republicans, are the only doors I knocked,
[01:28:42.731 --> 01:28:44.934]  that are very aware of what's going on in this country.
[01:28:44.954 --> 01:28:46.376]  There's a great awakening going on.
[01:28:46.416 --> 01:28:47.958]  See, that's what I was going to ask you next.
[01:28:48.338 --> 01:28:56.209]  Whereas things are getting darkest before the dawn, I'm saying they're bad, I'm finding the same thing that people finally are knowing, they're finally listening.
[01:28:56.609 --> 01:28:57.571]  Go ahead and finish your story.
[01:28:57.611 --> 01:28:59.593]  Tell me what happened when you knocked on those doors.
[01:29:00.550 --> 01:29:12.618]  People are aware they're getting their information from someplace other than the nightly news and the newspaper, and they're starting to find out that they're getting lied to, and there's something really rotten in Denmark, so to speak.
[01:29:12.638 --> 01:29:14.759]  And they're waking up.
[01:29:14.799 --> 01:29:16.900]  A lot of this is pretty obvious stuff.
[01:29:18.261 --> 01:29:23.683]  The immigration problems like we have, and you've got a government that refuses to do something about it.
[01:29:24.323 --> 01:29:25.523]  Or so many of them.
[01:29:25.663 --> 01:29:31.965]  Oh, hey, I've got news articles where the police admit that an illegal can be drunk and they don't arrest them, but they arrest me!
[01:29:32.345 --> 01:29:34.606]  Now they should arrest me, but they won't arrest them!
[01:29:34.886 --> 01:29:36.487]  I mean, they're like super class!
[01:29:36.747 --> 01:29:38.507]  They arrest congressmen who are drunk!
[01:29:39.127 --> 01:29:44.029]  Well, you know, there's so many people, and this is a part of the answer to what happened in the Oklahoma City case.
[01:29:44.710 --> 01:29:47.793]  They came after me and other cases that other people have been involved in.
[01:29:48.253 --> 01:29:59.463]  There's always a section of people, and I talked about this on your program years ago, there's always a percentage of the people, when they hear things like a cover-up about Oklahoma City or anything else, they do not want to hear it.
[01:29:59.723 --> 01:30:04.707]  It puts so much fear into them, and their reaction is they want to kill the messenger.
[01:30:05.768 --> 01:30:11.493]  And they'll go along, they'll be cheerleaders and accomplices with those who attack the messenger.
[01:30:12.307 --> 01:30:17.801]  And that's how they accomplish what they accomplish, but even those people will wake up as time goes on.
[01:30:18.396 --> 01:30:29.838]  Because they'll come out of their denial because after a while they'll see, and this is what I think I'm seeing today, more people starting to wake up and realize, hey, there really is something to X, you know, or what he said.
[01:30:30.158 --> 01:30:36.479]  Well, I agree with you because what I run into is there's a certain amount of people who want to live in denial and say everything's fine no matter what's going on.
[01:30:36.759 --> 01:30:38.099]  They say, we're being negative.
[01:30:38.139 --> 01:30:38.479]  No, no, no.
[01:30:38.720 --> 01:30:41.800]  We're trying to protect what's good by admitting what's bad.
[01:30:42.300 --> 01:30:45.861]  You know, it's like if I have a fly in my soup, I don't say, oh, I'm not going to be negative and eat it.
[01:30:46.181 --> 01:30:47.081]  I take the fly out.
[01:30:48.396 --> 01:30:51.677]  Well, one of our investigators used this analogy, and I love it.
[01:30:51.697 --> 01:30:54.357]  I've used it a lot of times back when we were investigating the bombing.
[01:30:54.977 --> 01:31:02.939]  He was a retired officer in the Marine Corps, a good guy, and he said, you know, he said, Charles, I bet it's like, it's like a ship.
[01:31:02.979 --> 01:31:03.959]  He says, most people don't know this.
[01:31:03.979 --> 01:31:09.260]  When a ship starts taking on water in the ocean, you think it would just, you know, you know, go on over.
[01:31:09.580 --> 01:31:11.201]  But he said it actually gets to be about 17 degrees.
[01:31:12.648 --> 01:31:15.050]  That's what he said, I'm assuming it's true, or accurate.
[01:31:15.350 --> 01:31:18.652]  It gets to about 17 degrees and it just flops on over.
[01:31:19.312 --> 01:31:22.454]  And he said that's how this public opinion and things will happen some day.
[01:31:22.994 --> 01:31:27.037]  It'll just keep mounting and mounting until all of a sudden the people will wake up.
[01:31:27.157 --> 01:31:27.837]  No, I agree.
[01:31:28.058 --> 01:31:29.118]  And that's what they're afraid of.
[01:31:29.258 --> 01:31:30.359]  It's a flashpoint.
[01:31:30.559 --> 01:31:31.440]  It's a flashpoint.
[01:31:32.480 --> 01:31:33.421]  It happens in jumps.
[01:31:34.822 --> 01:31:41.826]  And those that we recognize that are our enemies, that are enemies of a constitutional form of government,
[01:31:42.492 --> 01:31:43.893]  They know that, and they're afraid of it.
[01:31:45.795 --> 01:31:47.277]  And we need to use that to our advantage.
[01:31:47.937 --> 01:31:48.258]  I agree.
[01:31:48.278 --> 01:31:49.018]  Well, I'll tell you this.
[01:31:49.099 --> 01:31:52.622]  Globalists just five years ago, six years ago, still were arrogant.
[01:31:52.682 --> 01:31:53.903]  I look at their body language now.
[01:31:53.943 --> 01:31:54.664]  I go to events.
[01:31:55.184 --> 01:32:05.635]  They look freaked out, but I don't think it's even freaked out about us as much as it is a lot of economists I talk to think they've lost control, that they have just totally screwed everything up.
[01:32:06.348 --> 01:32:18.477]  Yeah, that's another thing that wakes people up, unfortunately, because we've heard that all of our lives, because it's true that there's a lot of people that never will wake up until their back pocket, their pocketbook gets hit hard enough and the people are getting hit hard.
[01:32:19.238 --> 01:32:20.879]  So a lot of them are going to wake up for that reason.
[01:32:20.939 --> 01:32:21.700]  It's unfortunate.
[01:32:22.624 --> 01:32:24.807]  But if it works for us, that's fine.
[01:32:25.167 --> 01:32:27.049]  We need everything to our advantage that we can get.
[01:32:41.525 --> 01:32:42.786]  Hello there, Alex.
[01:32:42.806 --> 01:32:43.086]  Hi.
[01:32:43.106 --> 01:32:44.547]  Hello, Representative Key.
[01:32:45.348 --> 01:32:56.997]  I think one of the main reasons why people want to shoot the messenger so much is because they don't want to actually have to believe that their government is degraded into such a despicable situation.
[01:32:57.497 --> 01:33:02.241]  And then also another reason is because they might actually have to do something with the knowledge that they found out.
[01:33:03.162 --> 01:33:04.063]  Yeah, I agree with you.
[01:33:04.303 --> 01:33:08.126]  But then they might find out how bad it's going to be if they don't do something.
[01:33:08.206 --> 01:33:09.427]  Then they really would do something.
[01:33:10.366 --> 01:33:12.147]  Well, that's an interesting point, too.
[01:33:12.947 --> 01:33:26.893]  My questions were, I had heard the story, I guess, about helicopters taking some of the federal people off the roof of the Murrah Building.
[01:33:26.913 --> 01:33:29.914]  Do you know that to be true at all?
[01:33:30.774 --> 01:33:32.695]  I mean, prior to the blast?
[01:33:33.155 --> 01:33:34.756]  No, never found any truth to that.
[01:33:35.888 --> 01:33:39.130]  There were stories that were, you know, hearsay.
[01:33:39.190 --> 01:33:41.091]  I mean, you know, nothing we could ever really get into.
[01:33:41.131 --> 01:33:42.852]  Why wouldn't they just walk out the front?
[01:33:43.673 --> 01:33:45.674]  Well, because they didn't want to alarm anybody.
[01:33:45.714 --> 01:33:48.035]  From what I understand, they went out of rooftop exit.
[01:33:48.956 --> 01:33:50.717]  But a helicopter wouldn't alarm people?
[01:33:51.637 --> 01:33:53.358]  Well, that's just what I had heard.
[01:33:53.458 --> 01:33:56.820]  I didn't know for sure whether that was true.
[01:33:57.921 --> 01:33:59.562]  Yeah, we don't know that.
[01:33:59.582 --> 01:34:01.603]  I don't know if there's any way to prove that.
[01:34:01.663 --> 01:34:04.865]  We worked real hard at that and so many other clues.
[01:34:05.782 --> 01:34:06.903]  By the way, operative word, bombings.
[01:34:06.923 --> 01:34:07.323]  Thank you, Steve.
[01:34:07.343 --> 01:34:08.604]  We know there were multiple bombs.
[01:34:08.624 --> 01:34:09.845]  Can you explain how you can say that?
[01:34:28.021 --> 01:34:29.241]  Well, there's just too many experts.
[01:34:29.261 --> 01:34:35.983]  You know, this is a subject that is difficult for most people because they don't understand all this, and I was one of those.
[01:34:36.763 --> 01:34:41.464]  I learned a lot, learned a lot more than I ever would have, you know, if I hadn't been involved in the bombing.
[01:34:41.484 --> 01:34:45.305]  But you've got experts, people that have done this all their lives, like General Partin and many others.
[01:34:46.006 --> 01:34:51.627]  And we've got some of those in that report that we published that come out and analyze, and this is what they do for a living.
[01:34:51.647 --> 01:34:55.548]  They've done it all their lives in the military, in commercial application.
[01:34:56.507 --> 01:34:59.550]  They analyze terrorist bombs, bombings.
[01:34:59.610 --> 01:35:04.875]  They analyze tests that they do, like at Eglin Air Force Base that's been talked about a lot.
[01:35:05.415 --> 01:35:09.439]  And they know how these things work and what will and won't happen.
[01:35:09.459 --> 01:35:13.982]  And they can analyze a case like this and say, well, here's what happened.
[01:35:14.383 --> 01:35:18.426]  Here's how many bombs were used, and here's where they were placed, etc., etc.
[01:35:18.907 --> 01:35:23.771]  The experts have looked at it, analyzed it, and concluded that multiple bombs were used.
[01:35:31.104 --> 01:35:34.347]  Yes, go ahead and continue.
[01:35:48.996 --> 01:35:49.736]  Representative Key.
[01:35:50.637 --> 01:36:03.963]  Going back to the BATF, what we do know is they showed up in their bomb gear seconds after the blast, and we're telling EMTs and people that showed up to dress wounds and say that they'd seen them up in the higher floors.
[01:36:04.343 --> 01:36:05.684]  What do you think was behind that?
[01:36:07.004 --> 01:36:08.025]  Well, it's pretty interesting.
[01:36:08.065 --> 01:36:16.769]  You know, you had an AP reporter that's been around for a long time, and he gave that testimony on videotape.
[01:36:17.438 --> 01:36:32.521]  That he was immediately on the scene, and he said immediately these ATF officials showed up with the black gear, you know, all decked out in their black SWAT team type gear, like they were poised, ready for this to happen.
[01:36:33.141 --> 01:36:35.782]  And that's where that information comes from.
[01:36:36.042 --> 01:36:44.504]  Also, related to that is the Oklahoma City Fire Department getting some call the Friday before the Wednesday bombing about
[01:36:45.360 --> 01:36:51.544]  Uh, them being in a higher prepared state for something that may be developing over the next several days.
[01:36:51.624 --> 01:36:55.727]  And then didn't we also have the BATF out at a base testing, blowing up trucks?
[01:36:56.407 --> 01:37:00.470]  Yeah, out in New Mexico we're blowing up trucks with AMFO bombs.
[01:37:01.931 --> 01:37:04.513]  Very interesting also, to say the least.
[01:37:05.020 --> 01:37:21.165]  And this is in the months before, and of course you're not just saying the experts say multiple bombs, or how does a truck bomb not blow the pillars out right in front of the pillars the same size way back in the back of the building, and then why were chunks of it blown across the street, and why were there blast points on the rebar?
[01:37:21.445 --> 01:37:22.305]  I mean, all of that.
[01:37:22.765 --> 01:37:26.426]  You also have the governor coming on, who obviously wasn't involved because he was, you know,
[01:37:28.547 --> 01:37:29.548]  Or he wouldn't have been saying this.
[01:37:29.568 --> 01:37:32.829]  Yeah, we found multiple bombs, very sophisticated bombs inside.
[01:37:32.849 --> 01:37:36.251]  And then the BATF shows up and says, no, that's not what you saw.
[01:37:38.132 --> 01:37:38.392]  Yeah.
[01:37:38.752 --> 01:37:40.693]  And then you had another bomb expert.
[01:37:40.733 --> 01:37:54.719]  I mean, they've got a bunch of them, but you have another terrorism and bomb expert that was on one of the local stations that came in studio just, you know, a few hours after the bombing and was reporting also that, yeah, we've just found out that they found other unexploded bombs that they've taken out of the building.
[01:37:54.759 --> 01:37:56.080]  And this is really great because
[01:37:56.920 --> 01:38:03.323]  As they take these apart, it's going to help us find out who did it and be able to track them down, hold them accountable, blah, blah, blah.
[01:38:03.923 --> 01:38:06.104]  So, you know, just all kinds of information like that.
[01:38:06.584 --> 01:38:20.691]  I'll tell you, some of the stuff that Jesse Trinidad, the attorney we were talking about earlier, has been able to force out that further sheds light on this case is the information about Andreas, or otherwise known as Andy Strossmeier, the West German
[01:38:21.348 --> 01:38:22.389]  The Southern Poverty Law Center?
[01:38:45.379 --> 01:38:49.542]  Involved, I mean, it's just despicable activities, but they've got to get our guns one way or the other.
[01:38:50.543 --> 01:38:57.028]  Just amazing, and then the fact that McVeigh was a government operative coming out in affidavits, it's just incredible.
[01:38:57.749 --> 01:38:59.990]  Greg in New Jersey, you're on the air, go ahead.
[01:39:00.871 --> 01:39:04.494]  Thank you very much, and thank you for putting me on.
[01:39:04.954 --> 01:39:14.742]  It's kind of ironic, here in Oklahoma, they're stating their rights to be left alone from the federal government, and here in New Jersey, which is no doubt our
[01:39:15.399 --> 01:39:18.669]  Our representative government in the state is the criminal syndicate.
