[00:00:02.431 --> 00:00:11.439]  Okay, huge new development.
[01:03:12.077 --> 01:03:13.798]  Here, take this complaint and verify it.
[01:03:14.399 --> 01:03:15.720]  And it's a complaint against his boss.
[01:03:16.960 --> 01:03:18.441]  And he'll say, well, I can't verify that.
[01:03:19.101 --> 01:03:22.262]  If you're a certified police officer, you're authorized to verify criminal affidavits.
[01:03:22.602 --> 01:03:23.262]  Verify that.
[01:03:23.803 --> 01:03:28.164]  The first thing he does is goes to his boss, because he's not even signing that document.
[01:03:28.585 --> 01:03:29.445]  So that gets rid of him.
[01:03:30.345 --> 01:03:37.228]  Well, he went to talk to the boss and came back and said, the boss declined my offer to file criminal charges against this other police officer.
[01:03:38.206 --> 01:03:44.250]  And I told him I hate to hear that and took out my cell phone, dialed 911, asked him to send an officer out here to arrest the both of them.
[01:03:44.970 --> 01:03:50.133]  Class A misdemeanor, official misconduct, violation 39.03 Penal Code.
[01:03:50.433 --> 01:03:51.474]  I'll swear out the complaint.
[01:03:51.794 --> 01:03:52.215]  I'll wait.
[01:03:52.535 --> 01:03:54.196]  And that's the thing, they break the law
[01:03:55.836 --> 01:04:00.898]  Go back and explain that when they drive you to the jail, instead of imagining... Explain that.
[01:04:00.918 --> 01:04:02.578]  It's just all crime.
[01:04:03.138 --> 01:04:08.280]  It was intended by our founders that the people not have a reason to fear their police.
[01:04:08.340 --> 01:04:12.561]  This was born out of the British running around arresting their own people for no reason.
[01:04:13.642 --> 01:04:16.082]  This thing of magistrates comes from Magna Carta.
[01:04:16.542 --> 01:04:16.642]  The 1200s.
[01:04:16.662 --> 01:04:18.323]  There was a good idea.
[01:04:18.343 --> 01:04:18.583]  They said,
[01:04:21.664 --> 01:04:24.025]  The policeman should not have the key to the jailhouse door.
[01:04:24.665 --> 01:04:28.607]  You can arrest somebody, but you take him directly to a magistrate and you explain yourself.
[01:04:28.767 --> 01:04:29.667]  Separation of powers.
[01:04:29.847 --> 01:04:36.550]  And it's not because they don't trust the policeman, but they want you to feel like the policeman didn't arrest and imprison.
[01:04:37.110 --> 01:04:40.251]  That he can arrest, but he's going to take you to somebody else and explain himself.
[01:04:40.311 --> 01:04:41.651]  And that also gives him protection.
[01:04:41.872 --> 01:04:42.352]  Exactly.
[01:04:43.152 --> 01:04:45.053]  So, in Wise County, they do that now.
[01:04:45.593 --> 01:04:46.453]  And the police like it.
[01:04:46.513 --> 01:04:47.454]  So you've made them do that?
[01:04:47.554 --> 01:04:47.754]  Yes.
[01:04:48.574 --> 01:04:50.995]  It kind of came about, took a long time, but they finally do that.
[01:04:51.416 --> 01:04:52.496]  Everybody likes it better.
[01:04:53.176 --> 01:04:57.078]  I never hear anyone in Wise County tell me about the police being jackbooted thugs.
[01:04:57.998 --> 01:04:59.279]  Just changed their whole perspective.
[01:04:59.899 --> 01:05:04.701]  The policeman likes it better, the magistrate likes it better, even the prosecutor likes it better.
[01:05:05.021 --> 01:05:08.723]  Because the magistrate throws out a lot of cases so he don't have to deal with them.
[01:05:09.463 --> 01:05:11.284]  But that's what they were supposed to do.
[01:05:12.224 --> 01:05:14.925]  But over a period of time... Just get lazy!
[01:05:15.705 --> 01:05:23.707]  Well, I think the real problem is the legislature told the prosecutor to give advice to the lower courts and the police.
[01:05:24.528 --> 01:05:28.769]  That's a prescription for exactly the disaster we see today.
[01:05:29.409 --> 01:05:35.811]  You think the prosecutor is going to say to the judge, well, I think you should do this here because it will make my life a living hell.
[01:05:36.681 --> 01:05:42.606]  No, he's going to advise them to do things that make the prosecution flow more efficiently.
[01:05:43.367 --> 01:05:52.635]  And over time, we gravitate away from... And now everything's plea bargain, and now they'll throw you in jail for five months before they even charge you, so they don't even have to make you plea bargain.
[01:05:53.177 --> 01:05:56.801]  I looked at the criminal court records in the county I live in.
[01:05:56.841 --> 01:05:57.742]  I was looking at one of them.
[01:05:57.762 --> 01:05:59.804]  There's nothing in there but the indictment and the deal.
[01:06:00.465 --> 01:06:01.566]  You can't tell he's been arrested.
[01:06:01.586 --> 01:06:02.387]  You can't tell anything.
[01:06:02.987 --> 01:06:04.489]  In the deal, he got 457 days time served.
[01:06:04.509 --> 01:06:08.133]  He sat in jail 457 days before they could squeeze a deal out of him.
[01:06:11.896 --> 01:06:14.097]  No judge, no jury.
[01:06:14.117 --> 01:06:16.517]  You just go right to jail and they're gone.
[01:06:16.658 --> 01:06:19.838]  And not even any record at the court that you exist.
[01:06:20.299 --> 01:06:21.299]  He can't file motions.
[01:06:21.339 --> 01:06:22.039]  He can't do anything.
[01:06:22.059 --> 01:06:23.019]  He's in a legal limbo.
[01:06:24.000 --> 01:06:27.201]  And that's because the magistrate doesn't send the records to the clerk.
[01:06:27.861 --> 01:06:28.941]  But back to the policeman.
[01:06:29.121 --> 01:06:31.362]  When he arrests you, he's supposed to take you to that magistrate.
[01:06:32.402 --> 01:06:43.769]  And, according to federal law, his only defense against an allegation of false imprisonment for failure to timely take before a magistrate is a showing of due diligence and effort to locate.
[01:06:44.209 --> 01:06:50.933]  When he gets in that car, cranks that car, points it toward the jail as a matter of policy, that's aggravated kidnapping by definition.
[01:06:51.673 --> 01:06:53.374]  He violated a law relating to his office.
[01:06:54.335 --> 01:06:57.377]  His acts became false imprisonment, which is
[01:06:58.377 --> 01:07:04.241]  In Texas, it's called kidnapping, and he did it whilst displaying a deadly weapon that makes it aggravated kidnapping.
[01:07:04.821 --> 01:07:06.723]  He took me and gave me to the jailers.
[01:07:07.643 --> 01:07:09.905]  They continued the kidnapping.
[01:07:10.565 --> 01:07:11.766]  They touched the tar baby.
[01:07:11.986 --> 01:07:13.627]  They don't just exceed their authority.
[01:07:14.208 --> 01:07:16.309]  Now, what do you do about police now?
[01:07:16.329 --> 01:07:24.074]  A lot of them seem to think that they'll go ahead of you, argue with them, and taser you, and then they bump their chest into you, or don't even do that now, and just charge you with assaulting them.
[01:07:24.434 --> 01:07:25.675]  What would you do with a case like that?
[01:07:25.915 --> 01:07:26.756]  That's what happened to me.
[01:07:28.268 --> 01:07:29.509]  And that's why they arrested me.
[01:07:30.310 --> 01:07:32.831]  And I was really upset when they dismissed the charges.
[01:07:33.452 --> 01:07:35.173]  I wanted him on the stand.
[01:07:36.094 --> 01:07:40.537]  On the stand, I'd elicit perjured testimony and ask that judge to have him arrested immediately.
[01:07:41.558 --> 01:07:46.601]  But they arrested me and took me into a... The first day, they went into this conference room.
[01:07:46.621 --> 01:07:48.062]  I gave them a complaint.
[01:07:48.082 --> 01:07:49.663]  Oh yeah, finish up with what happened in Williamson County.
[01:07:49.683 --> 01:07:51.044]  The assault began.
[01:07:51.164 --> 01:07:52.485]  Yeah, I gave them a complaint.
[01:07:52.625 --> 01:07:53.206]  Okay, yeah, go ahead.
[01:07:53.866 --> 01:07:55.948]  And he said the complaint was insufficient.
[01:07:57.173 --> 01:08:00.383]  I said, well, thank you anyway, but I don't need any legal advice.
[01:08:01.474 --> 01:08:07.518]  And they got real excited about that, and started grilling me, and I finally told them this interview's over.
[01:08:08.159 --> 01:08:10.560]  And started to leave, and they grabbed me and threw me in a chair.
[01:08:11.421 --> 01:08:12.842]  Just total third world country.
[01:08:12.862 --> 01:08:12.922]  Yes.
[01:08:13.222 --> 01:08:17.625]  Reached for my cell phone, he grabbed my arm, twisted it, ripped my cell phone out of my hand.
[01:08:18.346 --> 01:08:20.628]  I told him, I need that to call 9-1-1.
[01:08:21.228 --> 01:08:22.849]  They said, we are 9-1-1.
[01:08:22.929 --> 01:08:23.209]  No!
[01:08:23.610 --> 01:08:24.971]  You're jackbooted thugs!
[01:08:25.251 --> 01:08:25.631]  I need 9-1-1!
[01:08:28.633 --> 01:08:31.995]  By that time, Michael Badnerik was there.
[01:08:32.035 --> 01:08:35.858]  He kind of backed up in a corner.
[01:08:35.878 --> 01:08:38.220]  You're witness to this vampiric behavior.
[01:08:38.260 --> 01:08:38.580]  Yes.
[01:08:38.900 --> 01:08:43.983]  The third time they threw me in the chair, the police officer had his hand on my chest, pushing me backwards.
[01:08:44.784 --> 01:08:47.506]  I reached up and pushed his hand off and they arrested me for assault.
[01:08:47.786 --> 01:08:50.368]  So they assault you, and if you defend yourself, you're all good.
[01:08:50.588 --> 01:08:51.008]  Exactly.
[01:08:51.268 --> 01:08:52.049]  So where's that going?
[01:08:52.069 --> 01:08:52.569]  They've dropped it?
[01:08:52.889 --> 01:08:54.431]  They've dropped it, and I'm upset about it.
[01:08:55.211 --> 01:08:57.894]  The prosecuting attorney dropped the charge.
[01:08:57.994 --> 01:09:00.656]  What a circus behind closed doors with these crazies!
[01:09:01.297 --> 01:09:02.718]  Well, they're not done yet.
[01:09:02.858 --> 01:09:04.760]  Actually, Debra helped me out on this one.
[01:09:05.621 --> 01:09:10.706]  I went to the county attorney because they dropped the interfering with the public servant charge.
[01:09:11.707 --> 01:09:18.693]  And I had went to the court clerk, and there's no record with the court clerk that I was ever arrested, so I asked the prosecuting attorney
[01:09:19.895 --> 01:09:21.136]  Who dropped these charges?
[01:09:21.196 --> 01:09:22.037]  He said, well, I did.
[01:09:22.797 --> 01:09:24.619]  Well, how did you manage to drop them?
[01:09:24.999 --> 01:09:27.081]  There's no record in the court clerk they exist.
[01:09:27.641 --> 01:09:30.843]  Well, I dropped them in my capacity as a prosecuting attorney.
[01:09:31.424 --> 01:09:44.774]  I told him, well, that's all well and good, but I was hoping for something more specific, like a 32.02 Code of Criminal Procedure, which says a prosecuting attorney may not dismiss a prosecution except by submission of written motion to the court of jurisdiction laying down cause for said dismissal.
[01:09:44.794 --> 01:09:45.415]  Why they did it?
[01:09:45.455 --> 01:09:47.496]  Because for all we know, he could have been paid off to do it.
[01:09:47.856 --> 01:09:48.557]  Gotta have a record.
[01:09:48.797 --> 01:09:50.058]  Yeah, so where the heck did you get this?
[01:09:50.119 --> 01:09:54.423]  He said, well, a prosecution never started because I refused to take it.
[01:09:54.724 --> 01:09:55.444]  I said, wait a minute.
[01:09:56.005 --> 01:09:58.147]  I thought I spent 29 hours in your jail.
[01:09:58.468 --> 01:10:07.337]  And as I read the case law, a prosecution commences when a person is arrested or a criminal complaint is presented to a magistrate, which had to be, for him to find probable cause.
[01:10:08.038 --> 01:10:09.560]  So a prosecution commenced
[01:10:10.700 --> 01:10:11.821]  You dismissed it.
[01:10:11.921 --> 01:10:13.722]  How did you even know it existed?
[01:10:14.062 --> 01:10:17.404]  Because the magistrate was supposed to send the records to the court clerk.
[01:10:17.805 --> 01:10:18.585]  How did you know?
[01:10:18.625 --> 01:10:19.966]  The court clerk doesn't have them.
[01:10:20.526 --> 01:10:26.150]  So whoever has them, has them in violation of 3710 Penal Code and they're committing a felony.
[01:10:26.190 --> 01:10:27.191]  Have you got those records?
[01:10:27.951 --> 01:10:30.092]  And he looked like a cat with a feather in his mouth.
[01:10:30.792 --> 01:10:33.314]  And Debra was standing behind me.
[01:10:33.714 --> 01:10:35.435]  Debra, that's my co-host, Debra Stevens.
[01:10:36.035 --> 01:10:40.457]  She stepped up and said, Randy, aren't you talking about the records that were supposed to go to the Magistrate?
[01:10:40.477 --> 01:10:41.217]  And I said, yes.
[01:10:41.818 --> 01:10:43.719]  Well, look at that folder he's got in his hand there.
[01:10:43.999 --> 01:10:45.319]  Isn't that those records?
[01:10:45.880 --> 01:10:49.021]  And this prosecutor looked like he wanted a hole to crawl in.
[01:10:49.381 --> 01:10:52.583]  And she said, are any of those records in there from the Magistrate?
[01:10:53.643 --> 01:10:54.964]  Well, yes, one of them.
[01:10:55.624 --> 01:10:57.365]  And Debra shut up, stepped back.
[01:10:58.632 --> 01:11:03.095]  And for Debra to stop talking abruptly, I thought that was rather strange, and I looked back at her.
[01:11:03.375 --> 01:11:05.737]  It wasn't until later I realized what she had done.
[01:11:06.738 --> 01:11:09.299]  She got the prosecutor to cop to a felony.
[01:11:10.300 --> 01:11:16.224]  And once she got it, she didn't pursue any more, so he wouldn't have a chance to talk his way out of it.
[01:11:17.004 --> 01:11:23.209]  So I'll be filing felony tampering with a government document against the prosecutor for having my records.
[01:11:24.212 --> 01:11:24.953]  Let him explain.
[01:11:24.973 --> 01:11:29.018]  But see, they love to have false charges and set up old ladies and young kids.
[01:11:29.739 --> 01:11:31.721]  They get to have some of their own sick medicine.
[01:11:32.061 --> 01:11:33.183]  But you're doing it within the law.
[01:11:33.343 --> 01:11:33.603]  Yes.
[01:11:33.803 --> 01:11:34.584]  Oh, they hate this.
[01:11:34.925 --> 01:11:38.268]  Because they know I will go directly to the grand jury.
[01:11:39.167 --> 01:11:43.531]  Now, whether I actually get to the grand jury or not is not so important.
[01:11:44.673 --> 01:11:49.337]  Just making grand jury noises scares the bejesus out of these guys.
[01:11:50.198 --> 01:11:52.781]  They see their career flash before their eyes.
[01:11:53.541 --> 01:11:56.064]  The odds are that I'm not going to get an indictment.
[01:11:57.873 --> 01:11:59.495]  Who wants to play Russian Roulette?
[01:12:19.597 --> 01:12:21.338]  And I just said, I said, you know, do what you need to.
[01:12:21.558 --> 01:12:26.922]  But I said, I'm not, I said, I'm a big fish and I'm going to sue you, you know, you can, you can beat the rap, but you're not going to beat the ride.
[01:12:27.382 --> 01:12:28.923]  And they just said, all right, you know, tough guy.
[01:12:28.944 --> 01:12:33.026]  They wouldn't put me in a cell with human feces everywhere when they had other cells that were clean.
[01:12:33.527 --> 01:12:35.368]  But I mean, who wants that type of power?
[01:12:35.448 --> 01:12:36.329]  I would be embarrassed.
[01:12:36.909 --> 01:12:46.596]  I mean, I'm not like mean to my employees on purpose for a personal power trip, but I guess that's who, let's admit it, in some cases that's who wants to be a cop or a judge.
[01:12:47.694 --> 01:12:48.755]  That's part of the problem.
[01:12:48.775 --> 01:12:51.677]  I mean, they really enjoy squeezing people.
[01:12:51.957 --> 01:12:53.138]  And I've had enough of it.
[01:12:53.859 --> 01:12:56.261]  There's a lot of them out there that aren't that way.
[01:12:56.961 --> 01:12:59.623]  We just have to give them an opportunity to stand up.
[01:13:00.063 --> 01:13:05.708]  And it's unfortunate, the way we give them that opportunity is kick them right square in their behind.
[01:13:06.288 --> 01:13:08.590]  I equate that to my grandchildren.
[01:13:09.270 --> 01:13:10.832]  I love my grandchildren dearly.
[01:13:11.552 --> 01:13:14.995]  But if one of them runs out on the road, I'm fixing tan his hide.
[01:13:17.003 --> 01:13:21.778]  When you do this kind of thing, I suggest that people don't go file complaints in your own case.
[01:13:22.541 --> 01:13:23.604]  You've got too much involved.
[01:13:24.625 --> 01:13:27.167]  If you want to find out how this works, go pick a fight.
[01:13:27.708 --> 01:13:28.969]  Or a traffic ticket.
[01:13:29.710 --> 01:13:31.211]  What are you going to lose at a traffic ticket?
[01:13:31.832 --> 01:13:35.095]  If you lose, they're going to do the same thing they would do to you anyway.
[01:13:35.916 --> 01:13:37.037]  So heck, there's nothing to lose.
[01:13:37.798 --> 01:13:39.519]  Traffic tickets are great fun.
[01:13:40.020 --> 01:13:42.362]  My last traffic ticket was in Bell County.
[01:13:43.123 --> 01:13:47.106]  I asked the bailiff to drag the judge down off the bench three different times.
[01:13:47.887 --> 01:13:51.410]  And they told the judge, get down off that bench, you're disqualified.
[01:13:51.470 --> 01:13:53.773]  He jumped up, clear the jury, clear the jury.
[01:13:54.353 --> 01:13:55.154]  It was a hoot.
[01:13:55.815 --> 01:13:56.535]  What happened there?
[01:13:57.316 --> 01:13:59.638]  Oh, the jury found me incredibly guilty.
[01:14:00.099 --> 01:14:00.679]  But I was.
[01:14:01.180 --> 01:14:11.089]  I told them before we told the jury panel that these guys are going to get up here and they're going to put an officer up here and he's going to say that he clocked me doing 80 miles an hour in a 65 mile an hour zone.
[01:14:11.930 --> 01:14:12.370]  And he did.
[01:14:13.607 --> 01:14:14.287]  I was doing it.
[01:14:14.347 --> 01:14:15.628]  Well then why'd you do this case then?
[01:14:15.888 --> 01:14:17.988]  I'm here because they're bigger criminals than me.
[01:14:18.508 --> 01:14:23.810]  They have no authority to prosecute me because they're really the criminals and oh, the prosecutor had a fit.
[01:14:23.830 --> 01:14:25.290]  And so you did it as an educational?
[01:14:25.390 --> 01:14:25.590]  Yes.
[01:14:26.130 --> 01:14:27.911]  And then what did you teach the jury?
[01:14:28.291 --> 01:14:34.893]  I had a motion to disqualify the judge before the court and he turned it down himself.
[01:14:36.499 --> 01:14:37.239]  That's a crime.
[01:14:37.279 --> 01:14:38.980]  No, they have to let another judge look at that, don't they?
[01:14:39.040 --> 01:14:39.641]  Exactly.
[01:14:39.981 --> 01:14:42.802]  Motion to recuse the judge can deny himself.
[01:14:43.522 --> 01:14:45.684]  But a motion to disqualify, he cannot.
[01:14:46.544 --> 01:14:47.064]  But he did.
[01:14:47.084 --> 01:14:54.428]  And then after that, the first thing I did was ask the policeman when he signed his last oath of office.
[01:14:55.108 --> 01:14:56.089]  Prosecutor objected.
[01:14:56.926 --> 01:14:58.547]  The judge sustained.
[01:14:58.607 --> 01:15:01.770]  I said, Your Honor, I have a right to test the credibility of this witness.
[01:15:02.270 --> 01:15:04.612]  The judge said, Well, Mr. Kelton, this witness is credible.
[01:15:04.912 --> 01:15:06.733]  And just how did this witness become credible?
[01:15:07.134 --> 01:15:09.375]  He's credible because I say he's credible.
[01:15:10.116 --> 01:15:11.377]  Mr. Bailiff, did you hear that?
[01:15:11.957 --> 01:15:12.998]  Yes, Mr. Kelton, I did.
[01:15:13.018 --> 01:15:14.939]  Drag that judge down off that bench!
[01:15:15.180 --> 01:15:17.922]  Judge, you get down off that bench, you are disqualified!
[01:15:18.660 --> 01:15:20.841]  Alright, we're doing the break for PrisonPlanet.tv viewers.
[01:15:20.861 --> 01:15:21.322]  Tell us what happened.
[01:15:21.342 --> 01:15:22.562]  We'll come back, finish up.
[01:15:22.582 --> 01:15:24.944]  Tell folks, are you going to be having a seminar any time soon?
[01:15:25.544 --> 01:15:26.044]  I hope to.
[01:15:26.284 --> 01:15:28.626]  We don't have... Well good, well when that's coming up, we'll plug it here.
[01:15:28.926 --> 01:15:32.168]  We'll have you back on.
[01:15:33.469 --> 01:15:38.832]  Okay, go ahead and tell folks what happened in that case.
[01:15:40.032 --> 01:15:50.972]  Oh, they found me guilty, and then I went to the district attorney and tried to file criminal charges against the judge and the district attorney's investigator, who wouldn't identify himself.
[01:15:52.073 --> 01:15:59.219]  He threw me out of the building at gunpoint with two bailiffs and frankly I just haven't had time to go back and pursue them.
[01:16:00.260 --> 01:16:00.561]  I have.
[01:16:00.821 --> 01:16:06.626]  But I personally heard about some of your victories with helping other people and somebody in here running the show, you really helped him.
[01:16:06.786 --> 01:16:08.147]  I spent like ten grand trying to help him.
[01:16:08.167 --> 01:16:11.530]  They did nothing with normal lawyers and you got it done pretty quick.
[01:16:13.492 --> 01:16:15.514]  Tell us about, just real fast, some of the basic victories.
[01:16:15.936 --> 01:16:25.201]  Well, there was that one, three class B misdemeanors, and what I did was accuse the policeman of arresting him for exercising a constitutional right.
[01:16:25.241 --> 01:16:32.145]  When he told them he didn't want to talk to them anymore, they needed his attorney, rolled up his window, they arrested him for interfering with the public servant.
[01:16:32.705 --> 01:16:36.447]  I call that punishing someone for exercising a constitutional right.
[01:16:36.768 --> 01:16:37.488]  Yeah, exactly.
[01:16:37.648 --> 01:16:38.909]  What is that, the seventh?
[01:16:41.314 --> 01:16:41.654]  I forget.
[01:16:41.674 --> 01:16:44.615]  Which one is it, the right to counsel, or the fifth?
[01:16:44.895 --> 01:16:45.835]  It's also not the top.
[01:16:45.855 --> 01:16:48.076]  In Texas law, it would be Article 1, Paragraph 10.
[01:16:48.276 --> 01:16:48.836]  Okay.
[01:16:49.516 --> 01:16:58.038]  So, and the case law says, to punish someone for exercising a constitutional right is a due process violation of the most basic sort.
[01:16:58.978 --> 01:17:01.959]  So I charge the officers with aggravated kidnapping.
[01:17:03.154 --> 01:17:06.475]  False imprisonment, and then they took him to jail instead of a magistrate.
[01:17:06.915 --> 01:17:19.638]  I walked down that Rid of Habeas Corpus and charged everyone with a criminal act for every act, everyone with the criminal act of every other actor, including the prosecuting attorney and the judge.
[01:17:20.338 --> 01:17:26.320]  When the prosecutor got it, he looked at all these allegations and he said, I do not want to go here.
[01:17:27.080 --> 01:17:31.941]  Because he did his homework, he went back and looked at the supporting law and found that it was right.
[01:17:34.361 --> 01:17:37.144]  Tell folks about what's happened in your own little county.
[01:17:37.644 --> 01:17:43.470]  You were saying you really... In Wise County, it took some 15 years.
[01:17:44.371 --> 01:17:51.159]  I never got, and this was my learning process, that's where I got my elbow broken, where the officer stove in three ribs.
[01:17:52.623 --> 01:18:02.848]  I stayed after the sheriff and the district attorney, the district judge, just harassed them with criminal complaints and they would hide from the grand jury.
[01:18:03.369 --> 01:18:07.491]  That's what taught me how to get around all these maneuvers they pulled.
[01:18:08.171 --> 01:18:13.634]  Never got anyone arrested, never got anyone indicted, but they changed everything.
[01:18:13.894 --> 01:18:14.874]  Well, it's the process.
[01:18:14.954 --> 01:18:20.917]  It's kind of like, out of hundreds of battles, only a handful were won by the revolutionary forces, but finally the British just were tired.
[01:18:21.297 --> 01:18:21.737]  Exactly.
[01:18:21.797 --> 01:18:22.918]  And you just teach them.
[01:18:22.938 --> 01:18:23.538]  You educate them.
[01:18:23.838 --> 01:18:25.379]  And they finally said, enough of this.
[01:18:25.879 --> 01:18:32.622]  The last time I spoke to my district judge in Wise County, I was in his courtroom talking to the bailiff.
[01:18:33.322 --> 01:18:37.404]  He ran in the courtroom and said, Mr. Kelton, you're creating a disturbance.
[01:18:37.424 --> 01:18:39.705]  You get out of this courthouse, or I'll have you arrested.
[01:18:40.700 --> 01:18:45.484]  And I said, oh, gee, Judge, I'm sorry, and I reached in my pocket and pulled out this little digital tape recorder.
[01:18:46.144 --> 01:18:47.245]  I didn't have this turned on.
[01:18:47.285 --> 01:18:51.008]  I clicked the button and stuck it right in his face and said, will you say that again?
[01:18:51.028 --> 01:18:54.570]  And the judge looked at me like... Oh, let's go back on air.
[01:18:54.590 --> 01:18:54.770]  Okay.
[01:18:59.174 --> 01:19:00.635]  You were just telling me during the break about, um...
[01:19:02.532 --> 01:19:05.934]  In your own town with a judge threatening you and you pulled out the recorder.
[01:19:06.034 --> 01:19:09.597]  Yeah, all of them hate me except the county attorney.
[01:19:10.177 --> 01:19:11.498]  And I've been after him a long time.
[01:19:11.558 --> 01:19:13.639]  I never got anybody arrested in Wise County.
[01:19:13.819 --> 01:19:15.040]  Never got anybody indicted.
[01:19:15.240 --> 01:19:17.342]  Never even got anyone presented to the grand jury.
[01:19:18.382 --> 01:19:22.125]  But they do take everyone they arrest directly to the nearest magistrate.
[01:19:23.188 --> 01:19:26.489]  And that's because I just kept harassing them.
[01:19:27.349 --> 01:19:31.390]  I didn't get them indicted, but I was always so close.
[01:19:32.170 --> 01:19:34.751]  They're literally playing Russian roulette with me.
[01:19:35.091 --> 01:19:38.052]  And I was just telling the story the last time I spoke to my district judge.
[01:19:38.572 --> 01:19:44.813]  I was in his courtroom, talking to his bailiff, and he ran in and said, Mr. Carlton, you're creating a disturbance.
[01:19:44.833 --> 01:19:47.054]  You get out of this courthouse, or I'll have you arrested.
[01:19:47.921 --> 01:19:50.802]  I reached in my pocket, I said, I'm sorry judge, I didn't have this turned on.
[01:19:50.882 --> 01:19:56.764]  Pulled out a little digital recorder, clicked it on, stuck it in his face, and said, will you say that again?
[01:19:56.784 --> 01:20:01.245]  And he looked at me, he was breathing hard, and I know what he was thinking.
[01:20:01.905 --> 01:20:05.446]  That damn district attorney, he didn't tell me everything.
[01:20:05.466 --> 01:20:07.287]  And the judge was right.
[01:20:08.027 --> 01:20:15.829]  I was talking to the bailiff because the high sheriff of the county sent me to talk to the bailiff in order to file criminal charges against the district attorney.
[01:20:17.259 --> 01:20:20.000]  The District Attorney told the judge I was creating a disturbance.
[01:20:20.560 --> 01:20:25.142]  I filed making a terroristic threat against the District Judge with the Attorney General.
[01:20:26.562 --> 01:20:35.025]  The only time the Attorney General is the prosecutor of original jurisdiction is in a matter of a complaint against a District Attorney under open records.
[01:20:35.605 --> 01:20:42.968]  But how did it get so corrupt all over the country where none of them follow proper procedure, none of them follow the state and federal law, they just do whatever they want?
[01:20:43.484 --> 01:20:47.184]  I have a document on my website I call the Frog Farm Conspiracy.
[01:20:48.690 --> 01:20:53.954]  Uh, and the reason I call it that is Samuel Clements once said, you take a frog, throw him in a pot of hot water, he'd jump out.
[01:20:54.734 --> 01:20:59.437]  Take that same frog, put him in a pot of cold water, gradually raise the heat.
[01:21:00.558 --> 01:21:17.890]  Well, over time, through a series of seemingly minor adjustments toward administrative convenience and adjudicative expediency, we took one little step after another outside the legal limits, and then one day we look around and wonder how we got in this mess.
[01:21:19.170 --> 01:21:27.155]  And it's bad, but on the other hand, because it's so bad, it gives us a lot more power in changing it.
[01:21:28.096 --> 01:21:32.238]  They are so far away from rule of law, they have zero defense.
[01:21:33.259 --> 01:21:35.680]  And all we have to do is keep hammering them.
[01:21:36.561 --> 01:21:38.062]  Right now, I'm just one person.
[01:21:39.303 --> 01:21:40.823]  And just one person.
[01:21:41.764 --> 01:21:46.307]  I've got all of the judges of the Court of Criminal Appeals wondering if they're going to get indicted.
[01:21:48.294 --> 01:21:51.675]  That's extremely powerful, even if I don't get them indicted.
[01:21:52.135 --> 01:21:53.015]  Well, I mean, here's an example.
[01:21:53.035 --> 01:21:55.336]  I want to hold you over five minutes, if we can, in the next hour.
[01:21:55.376 --> 01:22:04.098]  Then we're going to get Senator Karen Johnson on for a 50-plus minute interview and take calls, listeners, on 9-11 and all these big developments that have happened there.
[01:22:04.118 --> 01:22:07.119]  When we come back, I want you to answer this for me in the five minutes we've got left.
[01:22:07.760 --> 01:22:09.060]  Here's an example of what we did.
[01:22:10.652 --> 01:22:30.716]  You know, with the absent student assistance program, ASAP, in 98-99, if your child didn't go to school one morning with the flu, and you had the flu or forgot to call, the police would come and demand in, threaten parents, they would arrest you, but truancy was 14 absences unexcused in a semester.
[01:22:31.456 --> 01:22:37.978]  So we went to the county commissioner's court and would read the law and say, and we found out that they would take three
[01:22:40.146 --> 01:22:40.686]  Uh, late.
[01:22:42.147 --> 01:22:45.289]  You know, sixth graders being late to class three times and call that an absence?
[01:22:45.750 --> 01:22:52.854]  And they would bring them into these little portable buildings and say, but it wasn't real court, we got video of it, they would just say, sign a document, we're signing them on to probation.
[01:22:53.234 --> 01:22:54.275]  Via contract fraud.
[01:22:54.695 --> 01:22:57.937]  And we cut back on some of that, now they're back with it, I mean, I can't fight everything.
[01:22:58.397 --> 01:23:00.259]  But the point is, it's not even laws.
[01:23:01.239 --> 01:23:02.781]  I mean, it's all fraud.
[01:23:02.801 --> 01:23:04.702]  So I'm not talking about contract fraud with you.
[01:23:04.802 --> 01:23:06.684]  You're talking about how to keep them accountable.
[01:23:06.724 --> 01:23:10.447]  I mean, just for the average public to know the government is criminal, stop trusting them.
[01:23:10.987 --> 01:23:14.210]  We'll be back in one minute.
[01:23:14.230 --> 01:23:15.931]  Thank you for listening to GCN.
[01:23:16.732 --> 01:23:19.034]  Be sure to visit GCNlive.com today.
[01:23:22.373 --> 01:23:35.102]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[01:23:35.522 --> 01:23:39.345]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation.
[01:23:39.705 --> 01:23:46.189]  In which family members receive answers to their questions and the true perpetrators of this horrendous crime are brought to justice.
[01:23:46.590 --> 01:23:49.511]  Loose Change Final Cut is the ultimate 9-11 expose.
[01:23:49.992 --> 01:23:57.496]  From hijackers being trained at US military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[01:23:57.877 --> 01:24:02.540]  Secure your copy of Loose Change Final Cut today at InfoWars.com or PrisonPlanet.com.
