[00:00:04.192 --> 00:00:10.015]  The web, efoodsdirect.com, 800-409-5633.
[01:11:18.597 --> 01:11:19.697]  They're going to make their move now.
[01:11:19.697 --> 01:11:23.160]  They're going to stage a huge Reichstag event to bring in martial law.
[01:11:23.160 --> 01:11:27.803]  And I have police sending me secret state police documents the feds make for them, and we've covered that.
[01:11:27.803 --> 01:11:29.945]  I mean, they're really getting ready.
[01:11:29.945 --> 01:11:36.109]  I have to give credit where credit's due, because I've really criticized this guy a lot, and I'm still listening during the break to the larger clip.
[01:11:37.503 --> 01:11:45.128]  You know, he's claiming that Obama, you know, works for the Muslims or something, is gonna get us and gonna fool Rahm Emanuel and all these people, and that he's gonna set up a dictatorship.
[01:11:45.128 --> 01:11:47.769]  So, so he'll admit the New World Order, but claim the Muslims run it.
[01:11:47.769 --> 01:11:50.151]  If you believe that, you need your head fixed.
[01:11:50.151 --> 01:11:51.812]  You'd have to believe the military's run by the Muslims.
[01:11:51.812 --> 01:11:56.715]  But, uh, this is a big deal, and I think the fourth biggest radio host in the country says something like this.
[01:11:56.715 --> 01:11:57.595]  And we're gonna play the whole clip.
[01:11:57.595 --> 01:11:58.676]  We're just gonna play a short clip.
[01:11:58.676 --> 01:12:02.138]  If you wanna see it, you can just Google, New World Order Agenda Exposed.
[01:12:02.138 --> 01:12:03.359]  Listen carefully on YouTube.
[01:12:04.108 --> 01:12:07.090]  And you can hear him say this, but here's just a quick clip of it.
[01:12:07.090 --> 01:12:08.371]  I mean, is he turning into Alex Jones?
[01:12:08.371 --> 01:12:09.491]  Here it is.
[01:12:09.491 --> 01:12:13.134]  I made a prediction on the show yesterday that I'll repeat right now so that you can mark it down.
[01:12:13.134 --> 01:12:31.205]  Savage predicts a Reichstag fire-like event sometime within the next year or two in America that will have been conducted by the government and blamed upon subversive elements in order to permit a dictatorship and a naked dictatorship to emerge in this country.
[01:12:31.205 --> 01:12:32.105]  All right.
[01:12:32.105 --> 01:12:32.886]  Okay, there you go.
[01:12:33.641 --> 01:12:34.542]  You can watch the rest of the club.
[01:12:34.542 --> 01:12:38.605]  I'm going to have this linked up on Infowars.com and PrisonPlanet.com as soon as possible.
[01:12:38.605 --> 01:12:40.486]  In fact, guys, here's my iPhone.
[01:12:40.486 --> 01:12:41.847]  It's got Kurt Nemo's number in it.
[01:12:41.847 --> 01:12:42.487]  You know how to get it?
[01:12:42.487 --> 01:12:42.848]  Get that?
[01:12:42.848 --> 01:12:45.390]  I want you to call him right now and please ask him to post this.
[01:12:45.390 --> 01:12:46.630]  I think Watson's over in England.
[01:12:46.630 --> 01:12:47.351]  He probably went to bed.
[01:12:47.351 --> 01:12:51.414]  I've been keeping him up all weekend anyways with Obama promotion stuff.
[01:12:51.414 --> 01:12:51.694]  Here you go.
[01:12:51.694 --> 01:12:52.335]  I just turned it on for you.
[01:12:52.335 --> 01:12:56.257]  It'll take a minute to boot up.
[01:12:56.257 --> 01:12:57.799]  Look, this isn't a game or a joke.
[01:12:57.799 --> 01:12:59.160]  It's not patty cake time.
[01:12:59.160 --> 01:13:01.301]  It's not fun to be Alex Jones.
[01:13:01.301 --> 01:13:02.562]  It's not fun to know this stuff.
[01:13:03.473 --> 01:13:07.195]  It is very, very serious and I have a lot of sleepless nights.
[01:13:07.195 --> 01:13:16.960]  That's how I can work 18 hours a day because I know my family, my children, none of us, you out there listening, have any future if we don't stop this.
[01:13:16.960 --> 01:13:24.244]  I told you they would stage terror attacks blaming on Muslims and then set up a police state which they would then swing around against the American people.
[01:13:24.244 --> 01:13:31.188]  They're now teaching every police department in the news that the American people are going to attack them and that homeland security isn't for Al Qaeda.
[01:13:32.154 --> 01:13:37.336]  And that NORTHCOM is to fight the American people, and the Army War College has said it, and the Army has announced it.
[01:13:37.336 --> 01:13:40.597]  It is official!
[01:13:40.597 --> 01:13:41.537]  Okay?
[01:13:41.537 --> 01:13:43.698]  Now, I'm sorry if you don't want to believe that.
[01:13:43.698 --> 01:13:45.098]  The facts are the facts, you know.
[01:13:45.098 --> 01:13:52.881]  We're not five-year-olds where we can imagine, you know, whatever we want to be true, and then that's supposedly true.
[01:13:52.881 --> 01:13:55.601]  The only way to turn this around is if you get educated out there.
[01:13:55.601 --> 01:13:57.422]  I'm talking to those that have laughed at me over the years.
[01:13:59.281 --> 01:14:05.745]  I mean, look at this article by Paul Watson up on PrisonPlanet.com he wrote yesterday, in conjunction with myself.
[01:14:05.745 --> 01:14:09.587]  Chaining assassination units still active under Obama, including domestically.
[01:14:09.587 --> 01:14:15.330]  See, Cy Hirsch, through the left-right paradigm, he'll report on everything Bush did.
[01:14:15.330 --> 01:14:18.752]  And then act like it's just Bush and now we're okay because Obama's here.
[01:14:18.752 --> 01:14:22.594]  Well, you understand they're working together behind the scenes and that they're just front men.
[01:14:22.594 --> 01:14:25.895]  You understand how deadly dangerous all of this is.
[01:14:25.895 --> 01:14:28.457]  Because these assassination teams are being used in the U.S.
[01:14:29.793 --> 01:14:32.794]  The military, covertly, is running every major city.
[01:14:32.794 --> 01:14:45.638]  This week I saw a bunch of mainstream news articles we covered on the show, we posted them on the site, link to them, where they're announcing, oh, the Army's putting officers, military, regular Army and all major police departments as liaison officers.
[01:14:45.638 --> 01:14:47.598]  Oh, the Marines are out at DWI checkpoints.
[01:14:47.598 --> 01:14:53.200]  Oh, at the shooting in Alabama, regular Army went out on the streets, and I had the Army colonel on admitting it.
[01:14:53.200 --> 01:14:54.860]  Total violation of posse comitatus.
[01:14:58.470 --> 01:14:59.771]  It's all there on record.
[01:14:59.771 --> 01:15:04.076]  Chaining assassination units still active under Obama, including domestically.
[01:15:04.076 --> 01:15:11.363]  But they keep doing this left-right bait-and-switch of folks thinking the President's running something instead of the real power behind the throne, the bankers who need to be arrested.
[01:15:11.363 --> 01:15:15.286]  But they have to have a police state and martial law so that you can never bring them to justice.
[01:15:15.286 --> 01:15:16.488]  That's the whole point.
[01:15:16.488 --> 01:15:18.870]  Criminals want tyranny so they can get away with their crimes.
[01:15:20.276 --> 01:15:23.158]  And they use people in the military to carry it out in every case.
[01:15:23.158 --> 01:15:41.292]  Revelations that a political assassination unit, which reported solely to Dick Cheney, was in operation during the Bush administration, are absent the fact that the unit in question, the Joint Special Operations Command, has been active for decades, has been deployed domestically in the United States, we have links to mainstream news on that, has killed U.S.
[01:15:41.292 --> 01:15:46.916]  citizens, and is an integral part of Barack Obama's expanded wars in Afghanistan and Pakistan.
[01:15:48.559 --> 01:16:04.410]  Seymour Hersh dropped a bombshell when he told the University of Minnesota audience on Tuesday that Joint Special Operations Command is an executive assassination ring, essentially, and has been going on and on and on, Hersh stated, under President Bush's authority.
[01:16:04.410 --> 01:16:12.996]  They've been going into countries, not talking to the ambassador or the CIA station chief, and finding people on a list and executing them and leaving.
[01:16:12.996 --> 01:16:14.837]  That's been going on in the name of assault.
[01:16:14.837 --> 01:16:16.859]  And then he went on to admit they're also operating in the U.S.
[01:16:17.611 --> 01:16:22.937]  Alright, I'll finish up with this and then go directly to your calls on the other side of this quick break.
[01:16:22.937 --> 01:16:28.603]  But they'll expose the Republicans now that they're out of power, not expose the fact that Obama is actually accelerating all this.
[01:16:28.603 --> 01:16:28.984]  Stay with us.
[01:16:33.197 --> 01:16:37.779]  Hello, this is Peter Kronschnabel from Midas Resources, and I'd like to share some thoughts with you.
[01:16:37.779 --> 01:16:50.105]  In today's economy, with the government spending gone wild, the banking system on the verge of collapse, and Wall Street in continuous freefall, we both know that it is critical that you protect your savings and retirement programs now.
[01:16:50.105 --> 01:16:55.688]  Macroeconomics can be very confusing, but the solution to securing your personal assets is very simple.
[01:16:55.688 --> 01:16:57.149]  It's purchase of gold and silver.
[01:16:57.690 --> 01:17:03.685]  These precious metals have been the trusted means of exchange for centuries, and they've never been more important in our country's history.
[01:17:04.364 --> 01:17:08.665]  It's up to you to design your survival plan, one based on gold and silver.
[01:17:08.665 --> 01:17:09.466]  Give me a call.
[01:17:09.466 --> 01:17:18.208]  I'm Peter Kronschnabel at 800-686-2237, extension 108, and allow me to outline an easy answer to your questions.
[01:17:18.208 --> 01:17:20.029]  That's Peter Kronschnabel at 1-800-686-2237, extension 108.
[01:17:20.029 --> 01:17:24.230]  Call Peter at 1-800-686-2237, extension 108, while you can still purchase gold with paper.
[01:17:32.384 --> 01:17:40.048]  We know identity scams have grown in the past six months because identity thieves are working overtime, taking advantage of this economic crisis.
[01:17:40.048 --> 01:17:42.069]  I'm Todd Davis, CEO of LifeLock.
[01:17:42.069 --> 01:17:47.112]  I talk to people every day about identity theft, and I know a lot of you are scared and nervous.
[01:17:47.452 --> 01:17:49.513]  I'm here to tell you, you don't have to be.
[01:17:49.513 --> 01:17:57.875]  Another identity is stolen every three seconds, but you can have the security and peace of mind that comes with being protected by LifeLock for just pennies a day.
[01:17:57.875 --> 01:18:07.058]  LifeLock is number one in identity theft protection because we work to stop identity theft before it happens, or we fix it at our expense up to one million dollars.
[01:18:07.358 --> 01:18:09.460]  Don't spend another minute worrying.
[01:18:09.460 --> 01:18:10.801]  Call LifeLock now.
[01:18:10.801 --> 01:18:15.265]  Get instant protection by calling 1-800-605-4229.
[01:18:15.265 --> 01:18:18.849]  Call right now and you'll also get 30 days absolutely free.
[01:18:18.849 --> 01:18:19.970]  That's 1-800-605-4229.
[01:18:19.970 --> 01:18:24.434]  Get the peace of mind LifeLock provides today.
[01:18:24.434 --> 01:18:25.855]  Use promo code FREEMONTH.
[01:18:25.855 --> 01:18:26.075]  Call 1-800-605-4229.
[01:18:26.075 --> 01:18:26.316]  Again, 1-800-605-4229.
[01:18:33.361 --> 01:18:38.864]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[01:18:38.864 --> 01:18:39.664]  and the world.
[01:18:39.664 --> 01:18:43.526]  And for the first time in their lives, they are feeling the need for preparedness.
[01:18:43.526 --> 01:18:50.009]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[01:18:50.009 --> 01:18:52.050]  Ready Reserve is the manufacturer.
[01:18:52.050 --> 01:18:57.272]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish.
[01:18:57.472 --> 01:19:00.275]  With double enamel cans and nitrogen packaging.
[01:19:00.275 --> 01:19:04.961]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[01:19:04.961 --> 01:19:10.788]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[01:19:10.788 --> 01:19:12.710]  Many companies do not even offer a catalog.
[01:19:12.950 --> 01:19:16.633]  We will be more than happy to send a catalog to you free of charge.
[01:19:16.633 --> 01:19:16.953]  Dial 1-800-453-2202.
[01:19:16.953 --> 01:19:17.053]  1-800-453-2202.
[01:19:17.053 --> 01:19:18.594]  Or visit our website at ReadyReserveFoods.com.
[01:19:18.594 --> 01:19:20.735]  Factory direct, wholesale pricing from Ready Reserve Foods.
[01:19:20.735 --> 01:19:21.096]  Call us at 1-800-453-2202.
[01:19:43.191 --> 01:19:46.378]  That's why I'd like you to visit acolablue.com.
[01:19:46.378 --> 01:19:49.886]  Acolablue is a state-of-the-art atmospheric water generator.
[01:19:50.282 --> 01:20:02.829]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[01:20:02.829 --> 01:20:05.150]  Finally, drinking water that you control.
[01:20:05.150 --> 01:20:06.551]  I use one every day.
[01:20:06.551 --> 01:20:12.254]  Say goodbye to expensive water delivery services and storing five-gallon bottles of water in your home.
[01:20:12.254 --> 01:20:14.835]  The Ecola Blue 28 is shipped right to your home.
[01:20:14.835 --> 01:20:17.857]  Ready to make close to seven gallons a day right out of the box.
[01:20:18.237 --> 01:20:20.178]  They have a 30-day money-back guarantee.
[01:20:20.178 --> 01:20:21.638]  Call Ecolablue right now at 1-800-691-6043.
[01:20:21.638 --> 01:20:21.879]  That's 1-800-691-6043.
[01:20:21.879 --> 01:20:23.739]  Or visit Ecolablue at E-C-O-L-O-B-L-U-E dot com today.
[01:20:23.739 --> 01:20:24.720]  Thank you for listening to GCN.
[01:20:24.720 --> 01:20:25.760]  Be sure to visit GCNlive.com today.
[01:20:44.804 --> 01:20:54.833]  What's happened is, for 14 years, myself and others prominently have been exposing the entire globalist agenda with precision.
[01:20:54.833 --> 01:20:56.214]  See, I'm not a conspiracy theorist.
[01:20:56.214 --> 01:21:07.624]  I'm not somebody covering the abominable snowman and flying saucers in Planet X. The mainstream media always gives attention to all the, I don't want to call them kooks, they're just dreamers, kind of science fiction writers who
[01:21:08.246 --> 01:21:11.188]  You know, write science fiction books and call it reality.
[01:21:11.188 --> 01:21:13.090]  That isn't me, folks.
[01:21:13.090 --> 01:21:14.811]  Every time you tune in, what do you hear?
[01:21:14.811 --> 01:21:19.895]  News, documents, articles, legislation.
[01:21:19.895 --> 01:21:22.257]  That's what you get here.
[01:21:22.257 --> 01:21:25.020]  I study how the world really works.
[01:21:25.020 --> 01:21:29.543]  And the fact that Limbaugh now has to admit they're setting up a one-world government, he's been doing that every day now.
[01:21:29.543 --> 01:21:32.846]  People are sending me the clips after saying it didn't exist for years.
[01:21:34.011 --> 01:21:36.192]  The fact that Glenn Beck's having to say it?
[01:21:36.192 --> 01:21:39.334]  The fact that Michael Savage is saying the government's going to stage terror attacks?
[01:21:39.334 --> 01:21:40.535]  That Obama's going to do it?
[01:21:40.535 --> 01:21:43.837]  That is incredibly bold, and that's true!
[01:21:43.837 --> 01:21:54.704]  That's true, and I think a lot of these guys are beginning to realize they're not top man on the totem pole, and this new world order is real, and they have no future if they don't stand up.
[01:21:54.704 --> 01:21:59.967]  And, you know, there's no word to describe how big this radio show is getting, how much it's exploding.
[01:22:00.967 --> 01:22:03.647]  I'm going to go ahead and talk about the Obama Deception.
[01:22:03.647 --> 01:22:07.328]  I've got some new breaking news for you on it, my new film, in the next segment.
[01:22:07.328 --> 01:22:09.548]  Let's go to calls right now or I'll never get to everybody.
[01:22:09.548 --> 01:22:12.009]  Scott in California, you're on the air.
[01:22:12.009 --> 01:22:14.909]  Hey Alex, how are you doing, bud?
[01:22:14.909 --> 01:22:15.990]  I'm 100% behind you.
[01:22:15.990 --> 01:22:22.771]  I'm actively awaiting the Obama Deception in my mailbox so I can burn copies to the other end of the earth with it.
[01:22:22.771 --> 01:22:26.711]  I have one suggestion, a couple of suggestions.
[01:22:26.711 --> 01:22:29.732]  I need a banner that is your Obama Deception.
[01:22:31.813 --> 01:22:40.418]  You know, I've told my... I thought you meant a web banner.
[01:22:40.418 --> 01:22:45.100]  You know, we've got some web banners folks can grab and put out.
[01:22:45.100 --> 01:22:45.680]  Yeah?
[01:22:45.680 --> 01:22:50.483]  It's just we don't have the funds or the personnel or the people to make a bunch of banners and mail them out.
[01:22:50.483 --> 01:22:53.524]  We need a PDF so I can go to a print shop and print something like that.
[01:22:53.524 --> 01:22:58.967]  But anyway... I know, I did tell my guys a month ago, and our graphics people, we've just been so busy it hadn't been done yet,
[01:23:00.230 --> 01:23:05.533]  Write a note, guys, to give the graphics people, that we need to have a banner page, a promotions page, an activism page.
[01:23:05.533 --> 01:23:06.093]  Absolutely.
[01:23:06.093 --> 01:23:09.955]  Now is the time to have banners and PDFs and things people can print off.
[01:23:09.955 --> 01:23:11.236]  You're absolutely right, sir.
[01:23:11.236 --> 01:23:17.760]  Okay, and anyway, everybody needs to go to ronpaul.com, the Audit the Federal Reserve, HR 1207.
[01:23:17.760 --> 01:23:19.681]  There's a letter there.
[01:23:19.681 --> 01:23:25.404]  You can write your congressman and send that out an email to everybody who needs to keep doing that.
[01:23:26.084 --> 01:23:33.048]  Well, I mean, think about two weeks ago, Senator Sanders says, tell me where the money went, and private Fed Chief Ben Bernanke said, no!
[01:23:33.048 --> 01:23:33.348]  Yeah.
[01:23:33.348 --> 01:23:38.772]  I mean, this is a fight they can't win if the people just stand up and say, yes, bankers, you will tell us where the money went.
[01:23:38.772 --> 01:23:40.793]  I mean, we're not the radicals demanding this.
[01:23:40.793 --> 01:23:47.417]  It's a disgusting picture of Volcker, Greenspan, and Pulse and all sharing a joke together on your website.
[01:23:47.417 --> 01:23:48.297]  I know, it's disgusting.
[01:23:48.297 --> 01:23:49.278]  Good to hear from you.
[01:23:49.278 --> 01:23:50.599]  Matt in Missouri, you're on the air.
[01:23:52.276 --> 01:24:14.366]  Hey Alex, I watched the Obama Deception, it was awesome, and my favorite part I think was when you name all the people in the Obama Administration, they're in CFR, Bilderberg Group, and... And we show how one group of CFR, Bilderberg Group, Trilateral Commission, and we show their quotes from their own publications where they say they want to destroy America and bring up world government, so we first document who the groups are.
[01:24:14.366 --> 01:24:18.788]  We show how one group of them leave as Bush leaves, and a whole other group comes back in.
[01:24:18.788 --> 01:24:21.269]  It's just a revolving door.
[01:24:21.269 --> 01:24:21.589]  Right.
[01:24:22.861 --> 01:24:31.127]  I'm calling here from the home of the slaves in Missouri, where the MIAC Strategic Report, you've been talking about it from.
[01:24:31.127 --> 01:24:39.493]  And I talked to representative guest staff on Friday, and you actually had on your show about HCR 13, our sovereignty bill here.
[01:24:40.225 --> 01:24:40.605]  Yeah, yeah.
[01:24:40.605 --> 01:24:42.306]  Recap for listeners, though.
[01:24:42.306 --> 01:24:43.986]  It's a federally written document.
[01:24:43.986 --> 01:24:44.827]  All the states have it.
[01:24:44.827 --> 01:24:46.667]  This just came out of Missouri, this copy.
[01:24:46.667 --> 01:24:48.648]  We got it out of California, too.
[01:24:48.648 --> 01:24:51.369]  Saying basically all Americans that love freedom are bad.
[01:24:51.369 --> 01:24:52.609]  The American flag is bad.
[01:24:52.609 --> 01:24:54.010]  I'm not kidding, folks.
[01:24:54.010 --> 01:24:55.610]  It's up on InfoWars.
[01:24:55.610 --> 01:24:58.191]  All Ron Paul supporters are basically terrorists.
[01:24:58.191 --> 01:25:00.252]  It's just unbelievable.
[01:25:00.252 --> 01:25:03.093]  So you told the state rep that we've interviewed about it.
[01:25:03.093 --> 01:25:03.593]  What'd he say?
[01:25:03.593 --> 01:25:07.334]  Yeah, I asked him if he had seen it.
[01:25:08.643 --> 01:25:21.652]  That's right, it says it doesn't exist and you're insane if you're against it and a terrorist.
[01:25:21.652 --> 01:25:24.473]  Yeah, let's get the Missouri Reps back on.
[01:25:24.473 --> 01:25:26.555]  That's a good idea.
[01:25:26.555 --> 01:25:28.636]  Yeah, Jim Guest.
[01:25:28.636 --> 01:25:35.320]  And he also confirmed that it's, you know, independently, as you have also, that it's real.
[01:25:37.304 --> 01:25:38.725]  Well, of course it's real.
[01:25:38.725 --> 01:25:40.687]  We've called and listed the name of the state police.
[01:25:40.687 --> 01:25:43.489]  We called them and they confirmed it's real, but said they won't come on.
[01:25:43.489 --> 01:25:44.209]  Right.
[01:25:44.209 --> 01:26:05.246]  And I guess they also stated that... I asked them, you know, where this originated from or when it started, and I guess it actually started under... was initiated under the previous governor, Matt Blunt, who I thought was a little bit better about this, but if you recall, he's also the one that
[01:26:06.005 --> 01:26:06.866]  Thank you, Alex.
[01:26:06.866 --> 01:26:08.126]  Great to speak with you.
[01:26:26.528 --> 01:26:28.890]  You know, I originally called in today.
[01:26:28.890 --> 01:26:39.120]  When I called, I had in mind to ask you, I have what I think is a good argument against the legality of the individual states' residents of the 50 states having to pay the federal income tax.
[01:26:39.120 --> 01:26:48.248]  I'm going to save that one for another time because, you know, since I have that idea and I've been listening to you over the last half hour, 20 minutes, you've mentioned a few things.
[01:26:48.248 --> 01:26:48.949]  It just shows me
[01:26:50.552 --> 01:26:51.053]  That's
[01:27:13.408 --> 01:27:34.817]  What, in your estimation, at this point, at this late date and time, relative to the full development of their cage for humanity on the various levels of their entrapment and enslavement of humanity, is there a significant, to your knowledge, Alex, element within the military and in the police?
[01:27:34.817 --> 01:27:36.097]  I know we have the Oath Keepers.
[01:27:36.097 --> 01:27:36.918]  That was beautiful.
[01:27:36.918 --> 01:27:37.698]  I love to hear that.
[01:27:38.931 --> 01:27:41.435]  Will it spread fast enough in your estimation?
[01:27:41.435 --> 01:27:48.866]  I know you're trying to make it happen and do everything that you can to do that, as well as the state legislatures being more and more informed.
[01:27:48.866 --> 01:27:51.449]  And I believe that you've been informing all the way up the line.
[01:27:51.449 --> 01:27:52.551]  I have that picture.
[01:27:52.551 --> 01:27:53.613]  I've been listening to you about
[01:27:54.273 --> 01:27:54.853]  Are you kidding?
[01:27:54.853 --> 01:27:58.455]  I mean Bruce Willis was a big neocon until he saw my film.
[01:27:58.455 --> 01:27:59.375]  Rick Linklater's on record.
[01:27:59.375 --> 01:28:04.237]  We made a film with him here in Austin two years ago and Rick came on my show and said we've woken up
[01:28:13.854 --> 01:28:20.139]  Bruce Willis and then people didn't believe it and Bruce Willis told Vanity Fair he knows there's a new world order that killed Kennedy and is running everything.
[01:28:20.139 --> 01:28:20.619]  Yeah.
[01:28:20.619 --> 01:28:23.361]  And that he doesn't like either political party now.
[01:28:23.361 --> 01:28:27.344]  Look, that is a... and I had Chuck Norris on saying I woke him up Friday.
[01:28:27.344 --> 01:28:30.106]  I mean, we're waking everybody up here.
[01:28:30.106 --> 01:28:33.149]  I mean, they show clips of our films and the Japanese diet.
[01:28:33.149 --> 01:28:34.830]  You know, and their government.
[01:28:34.830 --> 01:28:36.751]  I mean, we've got the Japanese government.
[01:28:36.751 --> 01:28:39.053]  I can have former German defense ministers on.
[01:28:39.053 --> 01:28:39.754]  We've woken up.
[01:28:41.218 --> 01:28:43.179]  It's scary the responsibility we have.
[01:28:43.179 --> 01:28:46.099]  We have the world's eye.
[01:28:46.099 --> 01:28:50.441]  And it's just a lot of pressure.
[01:28:50.441 --> 01:28:52.741]  I'll tell you that right now.
[01:28:52.741 --> 01:28:59.023]  To try to do the best job I can to try to maintain my energy level.
[01:28:59.023 --> 01:29:05.045]  I've never been involved in South by Southwest, but Independent Film Channel asked me to go out and do some promotions this weekend.
[01:29:06.997 --> 01:29:15.165]  Friday and I mean I've just probably done 20, 30 newspaper TV interviews since then and I am just as honked right now.
[01:29:15.165 --> 01:29:19.729]  But look, you're asking about, well the caller asked a bunch of big questions.
[01:29:19.729 --> 01:29:24.434]  How, why haven't they executed their new terror operation yet?
[01:29:24.434 --> 01:29:26.075]  And will we be able to stop them?
[01:29:26.075 --> 01:29:27.897]  I'll answer that when we get back and take your calls.
[01:29:33.220 --> 01:29:37.601]  The new World Order Beast is genetically modifying your food.
[01:29:37.601 --> 01:29:39.382]  Genetically modifying.
[01:29:39.382 --> 01:29:41.842]  Mixing vegetables with animals.
[01:29:41.842 --> 01:29:44.763]  And now experimenting with viruses.
[01:29:44.763 --> 01:29:45.803]  Viruses.
[01:29:45.803 --> 01:29:51.545]  Without a long-term food solution, you will have just two options.
[01:29:51.545 --> 01:29:53.725]  Starve or surrender.
[01:29:53.725 --> 01:29:54.506]  Surrender.
[01:29:54.506 --> 01:29:58.307]  All canned food supplies will eventually run out.
[01:29:58.307 --> 01:29:59.207]  What then?
[01:30:01.920 --> 01:30:05.002]  Grow your own healthy food and feed your family forever.
[01:30:05.002 --> 01:30:09.324]  SurvivalistSeeds.com is now the nation's largest bulk heirloom seed company.
[01:30:09.324 --> 01:30:12.186]  And it's owned by a real patriot, Big John Lipscomb.
[01:30:12.186 --> 01:30:19.430]  You can now have an infinite amount of healthy vegetables like a watermelon, a bundle of carrots, or tomatoes for a little more than a penny each.
[01:30:19.430 --> 01:30:21.311]  SurvivalistSeeds.com.
[01:30:21.311 --> 01:30:26.733]  And now you can go into business with Big John at SurvivalistSeeds.com by becoming an affiliate.
[01:30:26.733 --> 01:30:29.455]  See his link at SurvivalistSeeds.com.
[01:30:29.455 --> 01:30:30.255]  SurvivalistSeeds.com.
[01:30:32.819 --> 01:30:38.767]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[01:30:38.767 --> 01:30:43.573]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[01:30:43.573 --> 01:30:47.958]  Plasma pH drops combine a unique formula of the most alkaline minerals
[01:30:48.058 --> 01:30:48.419]  Yes, it is.
[01:31:07.200 --> 01:31:13.185]  Alkalizing water helps the body rid itself of acidic waste and increases the oxygen content of your body.
[01:31:13.185 --> 01:31:18.449]  Disease organisms like bacteria and cancer cannot survive in an alkaline environment.
[01:31:18.449 --> 01:31:24.194]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to AlkaVision.com.
[01:31:24.194 --> 01:31:27.717]  That's A-L-K-A Vision dot com or call 269-344-3420 today!
[01:31:33.968 --> 01:31:37.930]  In these uncertain times, safety and precaution are key.
[01:31:37.930 --> 01:31:39.951]  Don't rely on others for protection.
[01:31:39.951 --> 01:31:43.533]  Protect yourself and your family with products from pepper spray dot com.
[01:31:43.533 --> 01:31:48.916]  Pepper spray dot com carries the largest assortment of pepper spray and personal safety devices on the web.
[01:31:48.916 --> 01:31:50.777]  From home safety to nighttime safety.
[01:31:50.777 --> 01:31:52.278]  We have the products you need.
[01:31:54.919 --> 01:32:03.204]  Which relies on a powerful pepper formula that upon direct contact with an attacker's eyes, forces them to slam shut, causing an intense burning sensation.
[01:32:03.204 --> 01:32:09.348]  This refillable unit is designed to be carried as a key ring, easily accessible pepper spray, and a defensive baton.
[01:32:09.348 --> 01:32:13.091]  Pepperspray.com is offering a special for all GCN listeners.
[01:32:13.091 --> 01:32:16.313]  Order the Pepper Spray Baton and receive a free refill cartridge.
[01:32:16.313 --> 01:32:19.675]  Please click the GCN category tab on our site for this offer.
[01:32:20.196 --> 01:32:24.843]  Visit us today at Pepperspray.com, that's Pepperspray.com, or call 800-908-9988, that's 800-908-9988.
[01:32:34.139 --> 01:32:38.662]  If you owe the IRS, you can't make the problem go away without professional help.
[01:32:38.662 --> 01:32:42.024]  But with the help of Dan Pilla, you can get your problem solved.
[01:32:42.024 --> 01:32:46.866]  Hi, I'm Dan Pilla, and I've been solving tax debt problems for 30 years, and I can help you too.
[01:32:46.866 --> 01:32:51.509]  We can stabilize IRS collection action and get your tax debt reduced, sometimes completely eliminated.
[01:32:52.049 --> 01:33:03.880]  And if you received a 1099 from a bank because of mortgage or other debt forgiveness the vast majority of the time, I can show you how to completely erase it so you pay no taxes on what the IRS will consider to be taxable income.
[01:33:03.880 --> 01:33:07.203]  Call us for a free consultation to discuss the many possibilities.
[01:33:07.203 --> 01:33:07.624]  Call 1-800-34-NO-TAX.
[01:33:07.624 --> 01:33:07.984]  That's 800-34-N-O-T-A-X.
[01:33:13.729 --> 01:33:16.850]  Or go to my website at TaxHelpOnline.com.
[01:33:16.850 --> 01:33:22.152]  Dan Pilla has been protecting taxpayers from the IRS for three decades, and he can help you.
[01:33:22.152 --> 01:33:23.132]  Call us today, 800-346-6829.
[01:33:23.132 --> 01:33:23.752]  That's 800-34, no tax.
[01:33:23.752 --> 01:33:25.193]  Thank you for listening to GCN.
[01:33:25.193 --> 01:33:26.493]  Be sure to visit GCNlive.com today.
[01:33:49.164 --> 01:34:00.228]  You know, I'm not whining when I say I've probably done 30 interviews the last three or four days with newspapers, TV, PBS, Independent Film Channel, Wired Magazine, on and on and on.
[01:34:00.228 --> 01:34:07.071]  For four days, one of the chief writers at Politico, which is huge, tried to get a hold of me, and I never got back with him.
[01:34:07.071 --> 01:34:11.792]  He was like calling people in England, my webmaster, trying to get me Saturday night.
[01:34:11.792 --> 01:34:13.693]  And I called him right after he'd filed the story,
[01:34:14.378 --> 01:34:19.783]  And it's out today, but we're quoted all in the big headline story at Politico right now.
[01:34:19.783 --> 01:34:21.164]  This just came in.
[01:34:21.164 --> 01:34:26.328]  Bilderberg's excited conspiracist.
[01:34:26.328 --> 01:34:28.810]  And it just goes through it all here.
[01:34:28.810 --> 01:34:36.797]  And it says, one popular website, PrisonPlanet.com, greeted the nomination with the headline, Obama Picks Bilderberg for Health Secretary.
