[00:00:00.734 --> 00:00:04.076]  It's already Thursday, the 16th day of July 2009.
[01:27:19.694 --> 01:27:25.736]  What percentage of the American population is on psychoactive medication and on electroshock therapy?
[01:27:26.276 --> 01:27:30.958]  It's horrendously high and that means that people can be controlled.
[01:27:30.998 --> 01:27:35.239]  That's part of the soft kill and it's been going on for a long, long time.
[01:27:35.299 --> 01:27:41.782]  I want to remind people that the very first vaccine, Edward Jenner's vaccine for smallpox,
[01:27:42.282 --> 01:28:10.297]  was literally a vaccine for syphilis because it spread syphilis and by the mid 19th century the British Parliament which had made mandatory vaccination a law for every citizen and every resident of the British Empire discovered that they had created a syphilis epidemic so they did an investigation they held an inquiry and they discovered that they had two choices choice one
[01:28:10.917 --> 01:28:11.377]  Admit it!
[01:28:11.838 --> 01:28:26.805]  They would have egg all over their faces and take responsibility for the fact that they had killed and named and sentenced to death millions of people through this hastily entered into scientific fraud which is what vaccination is or
[01:28:27.165 --> 01:28:30.446]  Wasn't that just a Malthusian first round of eugenics through Mr. Galton?
[01:28:52.785 --> 01:29:08.068]  No, I believe that in fact this was a colossal, stupendous stupidity on the part of the British Parliament and that they chose to save their own egos and careers rather than back down from the position they had climbed onto.
[01:29:08.088 --> 01:29:09.669]  Well look at the 76 swine flu.
[01:29:10.109 --> 01:29:13.289]  This always breaks out, the 1918, the 1976, it's always breaking out at military bases.
[01:29:17.265 --> 01:29:21.146]  Oddly enough, where our soldiers are our guinea pigs.
[01:29:21.246 --> 01:29:32.529]  Guess who gets to hold up their arm and unclothe their arm and stand there and stick it out so that somebody will stick a needle in it?
[01:29:33.030 --> 01:29:34.430]  And they have no choice.
[01:29:34.730 --> 01:29:49.612]  Same with Vaccine A. I want to point out that the same information that Gary Matsumoto so beautifully brought forward in his Vaccine A and the subtitle of that book was why the United States is
[01:29:50.452 --> 01:29:53.854]  ...experimenting on the military and why they won't be the last.
[01:29:54.315 --> 01:29:56.876]  He talked about squalene adjuvants.
[01:29:57.356 --> 01:30:04.280]  He talked about introducing oils that irritate the immune system so they make more antibodies.
[01:30:04.320 --> 01:30:13.686]  That means the expensive part of the vaccine, the antigen, can be in much, much, much smaller proportions so it's more profitable for the company.
[01:30:14.126 --> 01:30:16.968]  And then you make more antigens.
[01:30:17.392 --> 01:30:21.215]  That means that you have a higher antigen titer in your body.
[01:30:21.475 --> 01:30:25.559]  So it's that accelerant that triggers the autoimmune response you're saying.
[01:30:26.700 --> 01:30:35.127]  The other medical doctors we've had on have said that's the thing that's causing a lot of the autism, not even the mercury, is that it causes that brain swelling that then causes brain damage.
[01:30:35.147 --> 01:30:36.948]  Correctly, but there's another part to this.
[01:30:37.449 --> 01:30:43.554]  No one, and I say this as a scientist and as a physician, no one has ever proven
[01:30:44.537 --> 01:30:55.265]  In any clinical trial whatsoever, that that high titer, that high level of antibodies is related in any way with immunity to the disease.
[01:30:55.865 --> 01:30:56.085]  Ever.
[01:30:56.105 --> 01:30:59.588]  So this whole thing is pointless, you understand?
[01:30:59.668 --> 01:31:01.269]  It's quackery, it's quackery.
[01:31:01.629 --> 01:31:02.110]  Total quackery.
[01:31:02.130 --> 01:31:06.393]  Okay, doctor and general, from a military perspective, intelligence perspective, from a medical doctor perspective,
[01:31:07.799 --> 01:31:12.120]  You've got all these deaths all over Europe and Asia in swine flu and bird flu trials.
[01:31:12.841 --> 01:31:15.161]  High death rates where they inject a hundred people in it.
[01:31:15.502 --> 01:31:16.922]  You know, a whole bunch of them drop dead.
[01:31:16.982 --> 01:31:19.083]  We've been putting mainstream news articles on screen.
[01:31:19.383 --> 01:31:20.903]  And then the media is very quiet.
[01:31:21.143 --> 01:31:25.925]  The government even indicts people who gave the shots, saying they were paid by pharmaceutical companies.
[01:31:26.165 --> 01:31:27.846]  But then we can't ever find who they are.
[01:31:28.766 --> 01:31:31.308]  And then we've got Baxter involved in the new vaccine.
[01:31:31.528 --> 01:31:32.129]  They're involved.
[01:31:32.189 --> 01:31:34.450]  I mean, what does this look like to you?
[01:31:34.470 --> 01:31:39.574]  And then how are you coming out and saying, look out with this next flu shot that's coming out?
[01:31:40.715 --> 01:31:43.537]  Um, it looks... No, let me add to that first.
[01:31:43.837 --> 01:31:44.317]  Okay, General.
[01:31:44.698 --> 01:31:45.278]  I'll tell you what.
[01:31:45.719 --> 01:31:47.060]  It looks like an ambush.
[01:31:47.900 --> 01:31:54.365]  You know, if you're in a city or a town and you're going door to door,
[01:31:55.044 --> 01:32:00.527]  In fighting, you never know where the ambush is going to come from.
[01:32:00.607 --> 01:32:04.969]  Is it going to come from a roof, from a window, from a door, from behind a door?
[01:32:05.289 --> 01:32:06.129]  You don't know.
[01:32:06.729 --> 01:32:18.695]  And this whole thing, Alex, to me, looks exactly like that door-to-door fighting in towns called ambush.
[01:32:19.557 --> 01:32:20.099]  Ambush.
[01:32:20.239 --> 01:32:21.101]  That's what it is.
[01:32:21.141 --> 01:32:25.631]  But this time the ambush is by our own forces against our own people.
[01:32:26.035 --> 01:32:28.436]  Well, we can see that the whole thing's engineered.
[01:32:28.476 --> 01:32:36.138]  We can see it's all hype, and the vaccine's deadly, and they admit won't even protect you from it, and normally, flus mutate into something less harmful or harmless.
[01:32:36.418 --> 01:32:40.439]  How are they saying 100% it's going to mutate deadly in the fall?
[01:32:40.459 --> 01:32:41.599]  Now, we're not saying that's going to happen.
[01:32:41.639 --> 01:32:42.179]  They're saying it.
[01:32:42.539 --> 01:32:49.441]  I mean, for anybody with a scientific background, doctor, in general, it's 101 that they can't say they know it's going to be deadly.
[01:32:49.661 --> 01:32:53.863]  That clearly is a lie, so it means that they know something we don't know.
[01:32:53.903 --> 01:32:55.203]  Are they going to release something else?
[01:32:55.874 --> 01:32:59.875]  It's a lie unless they know something that has never been told to the public.
[01:33:00.055 --> 01:33:04.016]  Well, now, I want to avoid giving these idiots too much credit.
[01:33:04.876 --> 01:33:05.836]  SARS fizzled.
[01:33:06.456 --> 01:33:07.837]  Avian flu fizzled.
[01:33:08.457 --> 01:33:11.637]  The pandemic swine flu fizzled.
[01:33:11.938 --> 01:33:18.299]  They may or may not be able to get the next generation of this
[01:33:19.240 --> 01:33:24.841]  This virus, this genetically engineered virus, to do what they want, which is kill lots of us.
[01:33:24.921 --> 01:33:30.563]  But it doesn't matter because they've got the vaccine, which is much more direct, much more effective.
[01:33:30.843 --> 01:33:32.023]  Now, listen up, folks.
[01:33:32.083 --> 01:33:32.903]  Which is the ambush?
[01:33:33.303 --> 01:33:34.223]  Which is the ambush.
[01:33:34.343 --> 01:33:45.226]  If a single person, and by the way, let me reiterate, I was starting to read this before, the first target is children from kindergarten to twelfth grade.
[01:33:45.926 --> 01:33:48.747]  The second target is pregnant women.
[01:33:48.768 --> 01:33:54.610]  The third target is adults between 45 and 65.
[01:33:54.870 --> 01:33:59.172]  That's the most productive segment of the workforce.
[01:33:59.553 --> 01:34:03.995]  These are the people who are going to receive the vaccines, and there are many of them.
[01:34:04.435 --> 01:34:06.696]  Just to back you up, we're putting it on screen, Doctor.
[01:34:07.717 --> 01:34:08.717]  She's not just saying this.
[01:34:08.777 --> 01:34:12.339]  The news has announced children first, then the elderly, then the sick.
[01:34:12.719 --> 01:34:14.120]  These are the most vulnerable.
[01:34:15.998 --> 01:34:17.399]  Go ahead, I'm gonna... Go ahead.
[01:34:26.829 --> 01:34:40.220]  Gardasil does what I believe Gardasil does and Cervavax, which is the British equivalent of Gardasil, which is about to be also approved in the United States shortly.
[01:34:40.240 --> 01:34:46.266]  If these two vaccines do what I believe, which is render girls infertile,
[01:34:46.946 --> 01:35:09.313]  There's no reason to believe, oh yes, there's no reason to believe that this new vaccine, for which Baxter applied for the patent in 2007, by the way, so this surprise rush to get things on the street, so to speak, is total hype and nonsense, because they've been preparing this since 2007.
[01:35:12.114 --> 01:35:27.763]  It does the same thing and it contains one of the same ingredients Tween 80 which is very similar to polysorbate 80 and both of them injected cause infertility and what we have is not only death
[01:35:28.303 --> 01:35:32.486]  But an end of whatever race you happen to belong to, whatever ethnic group.
[01:35:32.526 --> 01:35:33.827]  Let me stop you.
[01:35:33.867 --> 01:35:38.590]  Doctor, my gut from all these hundreds of pieces that the General talks about is sterilization.
[01:35:38.910 --> 01:35:50.978]  Because that's in the State Department memorandum 200, that's in the White House, Czar's internal textbook plan report, and we know with the tetanus shots in Africa, Asia, and India, they got caught in the mid-90s.
[01:35:51.198 --> 01:35:52.639]  This is mainstream news for those that don't know.
[01:35:52.659 --> 01:35:53.140]  I know you know.
[01:35:54.000 --> 01:36:07.651]  Adding a hormone to the tetanus shot to then cause an autoimmune response to that hormone and then basically sterilize women by abortion, where every time they get pregnant the baby dies second trimester from that hormone situation.
[01:36:07.671 --> 01:36:19.521]  And by the way, that same system which was created by the World Health Organization through its task force on female sterilization through inoculation, that
[01:36:20.071 --> 01:36:28.324]  The same substance is available as a one-year birth control shot for women and girls in the United States.
[01:36:28.805 --> 01:36:29.987]  Just thought I'd throw that in.
[01:36:31.556 --> 01:36:32.917]  Well, I've seen U.S.
[01:36:32.957 --> 01:36:36.700]  programs and TV ads where they tell girls get your tetanus shot.
[01:36:37.240 --> 01:36:37.901]  It's obvious.
[01:36:37.941 --> 01:36:55.354]  I mean, Dr., I want you to keep breaking down the math and the science and the facts and the key, pens and paper ready, the websites for folks so people can get involved with Congress saying, now, we're not going to quarantine, we're not taking your shots, let us stay in our homes, don't make the Army drag us off.
[01:36:55.614 --> 01:36:59.257]  But, General, speaking to the military and the police, back in 2002 with the
[01:37:01.400 --> 01:37:03.121]  Milo State's Health Emergency Powers Act.
[01:37:03.161 --> 01:37:08.044]  You know they ordered first responders to take it and the news reported LA Times over 99% said no.
[01:37:08.064 --> 01:37:09.565]  So the military and police aren't stupid.
[01:37:09.886 --> 01:37:12.467]  They even had bases saying no even though they were ordering them to.
[01:37:12.808 --> 01:37:16.950]  But the firemen, the police, the doctors, Tommy Thompson said no.
[01:37:16.990 --> 01:37:20.413]  Health and Human Services said... I mean the basic psychology.
[01:37:20.913 --> 01:37:22.114]  This attacks all of us.
[01:37:22.154 --> 01:37:24.796]  It's a very tiny eugenicist elite doing this.
[01:37:25.736 --> 01:37:28.298]  So we need to get the message out to the enforcers too.
[01:37:28.658 --> 01:37:30.279]  Why would they want to serve this evil?
[01:37:32.301 --> 01:37:38.245]  I mean, can you comment to this phenomenon of the very people being killed by this are the very ones that are going to be enforcing it?
[01:37:39.566 --> 01:37:50.493]  Well, a lot of that is simply because once you enter into the military, you know, the answer is yes sir, yes sir, no sir, yes sir.
[01:37:51.254 --> 01:37:54.636]  And everybody does exactly what they're told to do.
[01:37:55.136 --> 01:38:00.200]  So if the people at the very, very top know, but the people
[01:38:01.060 --> 01:38:02.321]  It's very, very difficult to
[01:38:22.954 --> 01:38:27.497]  Also, then go to the internet, go to the... it's not in the papers.
[01:38:27.957 --> 01:38:29.838]  So where do they get their information?
[01:38:30.338 --> 01:38:34.080]  They've got to wake up almost all by themselves.
[01:38:34.360 --> 01:38:36.121]  It's a very difficult thing to do.
[01:38:36.562 --> 01:38:51.410]  And the people who are putting out the information, Alex, and there's a small community of us, are attacked by this COINTELPRO nonsense, and then people who want to do the right thing, who want to inform themselves, say, well, I better stay away from him, I better stay away from her,
[01:38:51.830 --> 01:38:52.810]  I better stay away from them.
[01:38:52.830 --> 01:38:54.391]  That's done to destroy our community.
[01:38:54.431 --> 01:39:00.573]  The last thing the New Order would do would be to have you guys out putting out nothing but accurate info and warning people.
[01:39:00.613 --> 01:39:05.534]  They would have you out saying it wasn't true and again they do this to balkanize us.
[01:39:05.554 --> 01:39:07.075]  They do this to break up our base.
[01:39:07.315 --> 01:39:12.537]  I have a 2004 Army manual that's declassified on how to do this to indigenous groups.
[01:39:13.217 --> 01:39:13.817]  Exactly.
[01:39:14.177 --> 01:39:19.979]  Now I want to give you the action step and if you don't take this and if you don't
[01:39:20.738 --> 01:39:24.581]  Uh, uh, viralize it, and this is the helpful side of viralization.
[01:39:24.601 --> 01:39:26.422]  Viral spread of the info, yeah.
[01:39:50.618 --> 01:39:51.679]  Act now.
[01:39:52.140 --> 01:39:53.601]  Click on the first button.
[01:39:53.681 --> 01:40:01.609]  Tell legislators you want the right to self-quarantine, not forced vaccinations and not forced incarceration.
[01:40:02.050 --> 01:40:02.590]  Take that.
[01:40:02.951 --> 01:40:08.176]  Every member of your family gets to send in one of those action items.
[01:40:08.276 --> 01:40:10.278]  If your kids are too young, fill in their names.
[01:40:10.358 --> 01:40:11.199]  That's legitimate.
[01:40:11.889 --> 01:40:19.054]  What's happening is that Congress is getting bombarded with hundreds of thousands of these, and so is every state legislator in the country.
[01:40:19.174 --> 01:40:20.956]  But we need millions, not hundreds of thousands.
[01:40:21.016 --> 01:40:22.857]  Millions, not hundreds of thousands.
[01:40:22.917 --> 01:40:25.639]  And what this is saying is, oh no you don't.
[01:40:25.919 --> 01:40:27.060]  This is pushback.
[01:40:27.120 --> 01:40:34.606]  Because remember, a lot of state legislators and a lot of congressmen don't have the information you do.
[01:40:35.046 --> 01:40:41.169]  So instead of arguing with them about vaccines are good, vaccines are bad, the WHO is the new world order, forget that.
[01:40:41.509 --> 01:40:44.271]  What we're saying is, I want a third pass.
[01:40:44.491 --> 01:40:46.352]  Pass one, take the shot.
[01:40:46.732 --> 01:40:51.734]  Pass two, accept incarceration in state or federal facilities.
[01:40:51.874 --> 01:40:56.116]  Pass three, I go into my house, I shut the door, I stay there.
[01:40:56.217 --> 01:40:57.857]  And yeah, the kids might get bored.
[01:40:57.917 --> 01:40:59.158]  Get them some extra books.
[01:41:00.399 --> 01:41:03.486]  The last place you want to go during a pandemic is some big mass camp.
[01:41:09.378 --> 01:41:12.640]  Absolutely, we absolutely want to stay out of them!
[01:41:12.960 --> 01:41:31.689]  Now let me take you back to the videos of the 500,000, which is only a small part, the 500,000 three-person disposable caskets that are stockpiled outside of Atlanta, and we know that they're stockpiled in Alabama, Georgia, Texas, Colorado, they're everywhere.
[01:41:32.669 --> 01:41:46.665]  Right now, let me take you back to the mass grave sites which have been purchased and are being prepared in upstate New York and in virtually every... No, we got the official state documents telling the cemeteries, don't tell anybody.
[01:41:47.105 --> 01:41:49.428]  Can you bury 200,000 people on your little plot?
[01:41:49.448 --> 01:41:50.449]  We have the document.
[01:41:50.729 --> 01:41:52.690]  And you won't even get your own coffin!
[01:41:52.811 --> 01:41:55.532]  And now ask yourself, what's that for?
[01:41:55.733 --> 01:41:58.294]  Is that when I die from the vaccine?
[01:41:58.635 --> 01:42:01.497]  Is that when I die from the secondary soft kill?
[01:42:01.757 --> 01:42:08.842]  Because a lot of these vaccines are being produced on simian cells that we know contain leukemia viruses.
[01:42:10.147 --> 01:42:10.888]  Is that what you want?
[01:42:10.908 --> 01:42:15.390]  Just like SV40, they admitted it had cancer viruses and over 100 million Americans got it.
[01:42:15.851 --> 01:42:16.731]  This is unbelievable.
[01:42:16.771 --> 01:42:19.433]  General Stubblebine's our guest, Dr. Lebo's our guest.
[01:42:19.853 --> 01:42:21.054]  This is just blowing me away.
[01:42:21.294 --> 01:42:25.257]  And they're openly announcing mass graves, martial law.
[01:42:25.277 --> 01:42:26.397]  It doesn't mean it's going to happen.
[01:42:27.158 --> 01:42:28.519]  This could just be a beta test.
[01:42:28.539 --> 01:42:30.320]  We've got to take it very, very serious.
[01:42:35.023 --> 01:42:39.068]  If you owe the IRS, you can't make the problem go away without professional help.
[01:42:39.548 --> 01:42:42.492]  But with the help of Dan Pilla, you can get your problem solved.
[01:42:42.892 --> 01:42:47.397]  Hi, I'm Dan Pilla, and I've been solving tax debt problems for 30 years, and I can help you too.
[01:42:47.758 --> 01:42:52.403]  We can stabilize IRS collection action and get your tax debt reduced, sometimes completely eliminated.
[01:42:52.927 --> 01:43:04.456]  And if you received a 1099 from a bank because of mortgage or other debt forgiveness, the vast majority of the time, I can show you how to completely erase it so you pay no taxes on what the IRS will consider to be taxable income.
[01:43:04.756 --> 01:43:07.598]  Call us for a free consultation to discuss the many possibilities.
[01:43:08.058 --> 01:43:11.019]  Call 1-800-34-NO-TAX.
[01:43:11.299 --> 01:43:14.340]  That's 800-34-N-O-T-A-X.
[01:43:14.640 --> 01:43:17.441]  Or go to my website at taxhelponline.com.
[01:43:17.741 --> 01:43:22.582]  Dan Pilla has been protecting taxpayers from the IRS for three decades, and he can help you.
[01:43:23.043 --> 01:43:23.783]  Call us today, 800-346-6829.
[01:43:24.023 --> 01:43:24.503]  That's 800-34-NO-TAX.
[01:43:24.683 --> 01:43:26.184]  It is a big idea.
[01:43:26.244 --> 01:43:26.884]  A new world order.
[01:43:26.904 --> 01:43:28.004]  In the near future.
[01:43:38.886 --> 01:43:41.448]  Earth is dominated by a powerful world government.
[01:43:41.948 --> 01:43:44.750]  It's known as the Bilderberg Group.
[01:43:44.790 --> 01:43:47.011]  Could their objective be world domination?
[01:43:47.571 --> 01:43:50.013]  For thousands of years, their dark order grew.
[01:43:50.753 --> 01:43:58.138]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:44:01.100 --> 01:44:06.063]  For the first time in history, the elite's plan for world government is blown wide open.
[01:44:06.525 --> 01:44:10.028]  You will learn the secret that drives the entire New World Order agenda.
[01:44:10.408 --> 01:44:12.890]  Dillberg is making great progress toward a world government.
[01:44:12.970 --> 01:44:14.111]  Most people have no idea.
[01:44:14.131 --> 01:44:14.912]  They're not after money.
[01:44:14.932 --> 01:44:15.992]  They have all the money they need.
[01:44:16.213 --> 01:44:16.933]  They're after power.
[01:44:17.173 --> 01:44:18.034]  That's what they're after.
[01:44:18.334 --> 01:44:22.878]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[01:44:23.098 --> 01:44:26.601]  Or watch it online right now at PrisonPlanet.tv.
[01:44:27.061 --> 01:44:29.383]  Endgame, blueprint for global enslavement.
[01:44:29.843 --> 01:44:30.984]  You have been warned.
[01:44:32.100 --> 01:44:35.842]  Berkey water systems are the most trusted name in water filtration available on the market.
[01:44:35.982 --> 01:44:52.971]  The revolutionary Berkey Light self-sterilizing and recleanable purification elements purify water by removing pathogenic bacteria, cysts, and parasites to non-detectable levels and by extracting harmful chemicals such as herbicides, pesticides, VOCs, organic solvents, radon-222, and trihalomethanes.
[01:44:53.271 --> 01:44:57.953]  They also reduce nitrates, nitrites, sediment, and unhealthy minerals such as lead and mercury.
[01:44:58.354 --> 01:45:05.097]  As an authorized dealer for over four years serving thousands of satisfied customers, we offer amazing specials for Berkey Light water systems.
[01:45:05.517 --> 01:45:13.421]  Order the Berkey Light system today and we'll include two black Berkey elements and three sport Berkey water bottles for only $209 with free shipping.
[01:45:13.722 --> 01:45:17.323]  That's right, free shipping and three sport Berkey water bottles, an $89 value,
[01:45:18.504 --> 01:45:19.565]  I'm gonna do 10 minutes of overdrive.
[01:45:19.585 --> 01:45:20.526]  I just decided to do it.
[01:45:43.097 --> 01:45:44.278]  For the sake of getting truth out, you got it!
[01:45:44.298 --> 01:45:45.119]  You bet your bottom dollar!
[01:45:45.159 --> 01:45:48.361]  And I want to share something with you that just came into my email box, Alex.
[01:46:10.686 --> 01:46:24.453]  It seems that there is a health reform bill, a health care bill, which will fund state vaccine teams to conduct interventions, quote-unquote, in private homes.
[01:46:25.094 --> 01:46:28.395]  Now this bill says that it will
[01:46:30.026 --> 01:46:30.426]  I'm good.
[01:46:46.494 --> 01:46:47.535]  Yes, here's the article.
[01:46:47.555 --> 01:46:50.395]  They're now going to send CPS to adult and children's homes.
[01:46:50.775 --> 01:46:51.756]  Cyber News Service.
[01:46:51.836 --> 01:46:52.556]  Very credible.
[01:46:52.856 --> 01:46:54.096]  They have links to the documents.
[01:46:54.156 --> 01:46:54.956]  Zoom in on this.
[01:46:55.316 --> 01:46:56.997]  This ties into the FEMA camp bill.
[01:46:57.837 --> 01:46:59.077]  Zoom in on this for folks.
[01:46:59.117 --> 01:46:59.997]  I meant to get to this.
[01:47:00.017 --> 01:47:02.038]  This is the type of news I have stacked up.
[01:47:02.058 --> 01:47:04.818]  This is up on InfoWars.com right now.
[01:47:05.319 --> 01:47:06.619]  Healthcare bill.
[01:47:07.279 --> 01:47:11.582]  We'll fund state vaccine teams to conduct interventions in private homes.
[01:47:11.602 --> 01:47:16.426]  So they're now preparing to make everything mandatory, just like Rick Perry saying it's the law.
[01:47:16.746 --> 01:47:22.270]  You've got to take Gardasil when it killed a bunch of girls and women in the trials and is still killing people.
[01:47:22.610 --> 01:47:27.414]  General Stubblebine, in plain view, they're now making people take things that kill them.
[01:47:29.862 --> 01:47:36.529]  Well, the answer to that is yes, and look at all of the soldiers who step up in the line and say, yeah, shoot me.
[01:47:37.109 --> 01:47:39.772]  You know, shoot me with a shot or shoot me with a shotgun.
[01:47:39.932 --> 01:47:42.235]  And once again get court-martialed if they don't.
[01:47:42.635 --> 01:47:43.997]  I'm going to say it again, Alex.
[01:47:44.717 --> 01:47:48.220]  Listen, folks, get a pen, get a pencil.
[01:47:48.500 --> 01:47:59.087]  If you're on the internet right now, type in to the address bar www.healthfreedomusa.org.
[01:47:59.207 --> 01:48:02.490]  Healthfreedomusa.org.
[01:48:02.850 --> 01:48:04.611]  You'll see Act Now.
[01:48:05.112 --> 01:48:12.637]  Click on the first item to tell people who can make the difference, who can respond to your pushback,
[01:48:13.057 --> 01:48:13.557]  Absolutely yes!
[01:48:13.577 --> 01:48:13.877]  Absolutely!
[01:48:39.275 --> 01:48:39.896]  Absolutely.
[01:48:40.236 --> 01:48:50.824]  They find, incidentally, I had forgotten for a moment the fact that they know where every door is, where every family lives, so they can go to that door.
[01:48:51.264 --> 01:48:59.110]  If you've decided not to take a shot, they can go knock on your door and say, well, now just give me your arm here.
[01:48:59.170 --> 01:48:59.731]  Let me explain that
[01:49:02.993 --> 01:49:04.974]  They have targeted children first.
[01:49:05.034 --> 01:49:14.341]  Let me also remind you, and you may be one of the people who actually had this happen, that the CDC has been calling people.
[01:49:14.361 --> 01:49:17.383]  The CDC is a unit of the Health and Human Services.
[01:49:17.403 --> 01:49:18.303]  Yeah, we confirmed that.
[01:49:18.443 --> 01:49:19.904]  Asking if their vaccines are up to date.
[01:49:19.924 --> 01:49:24.367]  I'm getting all these calls from listeners and I googled it and I saw a news article where they are calling.
[01:49:25.948 --> 01:49:27.309]  It's actually happening.
[01:49:27.329 --> 01:49:27.669]  Stay there.
[01:49:27.689 --> 01:49:29.010]  We're talking about we're going to overdrive.
[01:49:29.030 --> 01:49:31.432]  It's a one minute break, General and Doctor.
[01:49:32.012 --> 01:49:34.934]  One minute break as we end the main radio show and then internet only.
[01:49:35.314 --> 01:49:42.699]  PrisonPlanet.tv viewers will be able to see it and all the tens of thousands listening right now on the internet streams at InfoWars.com.
[01:49:42.779 --> 01:49:51.085]  But, when this video gets posted as an archive at PrisonPlanet.tv later in the day, not just a live stream, everybody get it out everywhere because
[01:49:52.463 --> 01:49:54.644]  It's worse than I even consciously know.
[01:49:54.704 --> 01:49:57.586]  As they mention other issues, I know it's all true.
[01:49:57.966 --> 01:49:59.387]  And just more pieces come in.
[01:50:00.207 --> 01:50:01.128]  This is eugenics.
[01:50:01.168 --> 01:50:05.090]  The White House chief admits it in his book, Ecoscience.
[01:50:05.510 --> 01:50:06.871]  They are killing us.
[01:50:06.951 --> 01:50:07.872]  This is real.
[01:50:08.192 --> 01:50:08.732]  Stay with us.
[01:50:08.772 --> 01:50:09.673]  Back in 60 seconds.
[01:50:09.753 --> 01:50:10.773]  Infowars.com.
[01:50:14.035 --> 01:50:15.736]  Thank you for listening to GCN.
[01:50:16.537 --> 01:50:18.838]  Be sure to visit GCNlive.com today.
[01:50:21.601 --> 01:50:27.143]  This is Alex Jones, and I want to tell you again about a company that has supported us and the Truth Movement for years.
[01:50:27.444 --> 01:50:28.604]  Inner Health Botanicals.
[01:50:28.744 --> 01:50:32.706]  This company produces the highest quality superfood around, called Inner Food.
[01:50:33.026 --> 01:50:34.567]  My wife just loves the stuff.
[01:50:34.887 --> 01:50:41.170]  And now, the health ranger Mike Adams has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[01:50:42.330 --> 01:50:44.871]  Inner Food is loaded with 20 great organic ingredients.
[01:50:45.191 --> 01:50:46.672]  No fillers, no sweeteners.
[01:50:46.932 --> 01:50:49.713]  It would be impossible to blend this up for a better price.
[01:50:49.933 --> 01:50:51.374]  And their formula really works.
[01:50:51.654 --> 01:50:54.195]  This is the real thing for the great health you need.
[01:50:54.475 --> 01:50:55.716]  Try the NutriCafe.
[01:50:55.956 --> 01:51:00.358]  Their great organic coffee infused with polysaccharides that boost the immune system.
[01:51:00.718 --> 01:51:02.939]  A truly healthy coffee that tastes great.
[01:51:03.139 --> 01:51:05.420]  And take it from me folks, it really does taste great.
[01:51:05.600 --> 01:51:07.361]  Don't forget to try their other great products.
[01:51:07.701 --> 01:51:08.561]  Go to www.
[01:51:10.302 --> 01:51:15.343]  This is the GCN Radio Network, home to hard-hitting talk radio.
[01:51:44.672 --> 01:51:45.675]  Yeah.
[01:51:55.603 --> 01:52:02.649]  They want you dead, ladies and gentlemen, as the White Houses are over science states and wrote a textbook how to do it.
[01:52:02.949 --> 01:52:05.471]  You read that textbook, it's exactly what they're doing.
[01:52:06.192 --> 01:52:08.494]  We got Major General retired Stubblebine.
[01:52:08.934 --> 01:52:16.681]  We have his accomplished wife, Dr. Rima Labo, who's even treated heads of state, who openly talk about, yeah, it is the plan to kill everybody.
[01:52:17.515 --> 01:52:19.916]  This is serious business.
[01:52:20.396 --> 01:52:22.817]  It is serious business, and I want to make a point.
[01:52:23.237 --> 01:52:28.238]  There is an internet petition going around, which has all the right moves, so to speak.
[01:52:28.318 --> 01:52:29.639]  It says really good things.
[01:52:29.659 --> 01:52:31.339]  I agree with everything it says.
[01:52:31.419 --> 01:52:33.180]  It's completely useless.
[01:52:33.700 --> 01:52:46.624]  We have contacted the people who put it out, and we said, look, this has no political meaning, and right now the only solution that's going to keep us from these damn needles killing us, now or slowly,
[01:52:47.444 --> 01:52:48.665]  It's a political solution.
[01:52:49.065 --> 01:52:50.326]  We need a political solution.
[01:52:50.346 --> 01:52:55.449]  We need to make a state, too, and let people know they don't have to take these shots, but we just... Get to that in a few minutes.
[01:52:55.869 --> 01:53:15.521]  In the few minutes we have left here, though, and I want to give out the website and the letter and the phone numbers that you want people to call and specifics for what you want them to tell Congress when they call, but we just ended the last hour with General Stubblebine and yourself talking about how it is in the news, the CDC's calling and saying, have you had your shots when there's no law to take them?
[01:53:16.802 --> 01:53:25.189]  So they're using the pandemic fear over this one flu, and it says there, it's actually in the news, they're asking, has your daughter had her genital warts shot?
[01:53:25.989 --> 01:53:28.331]  Have you had your chicken pox shot?
[01:53:28.672 --> 01:53:31.314]  And then now they say they're going to go to your door.
[01:53:31.854 --> 01:53:35.177]  I mean, this is worse than the Soviet Union or Nazi Germany.
[01:53:35.437 --> 01:53:36.959]  General Stolbein, your take on this?
[01:53:37.819 --> 01:53:40.682]  Well, they're very, very simple.
[01:53:42.021 --> 01:53:43.402]  Let me back off for one second.
[01:53:43.923 --> 01:53:51.050]  In every strategy, in every kind of military operation, you have a primary attack and you have secondary attacks.
[01:53:51.771 --> 01:53:54.995]  Right now, the primary attack looks to be like the vaccines.
[01:53:55.735 --> 01:54:01.141]  All of these other pieces are the secondary attacks or the preparations for the main attack.
[01:54:01.541 --> 01:54:02.763]  The main attack is coming.
[01:54:03.683 --> 01:54:05.044]  Let there be no doubt about it.
[01:54:05.544 --> 01:54:13.089]  And they have gone around and they have, literally from satellites, have taken pictures of your front door so they know where you are.
[01:54:13.429 --> 01:54:19.893]  They know your phone number, you know their name, and now they're asking the questions of, oh by the way, are you up to date on all your shots?
[01:54:20.413 --> 01:54:21.434]  Why would they do that?
