[00:00:00.049 --> 00:00:01.229]  Welcome ladies and gentlemen, welcome.
[02:15:42.858 --> 02:15:47.079]  Well, yeah, no, they were looking for any angle to expose.
[02:15:48.319 --> 02:15:55.640]  And what they were doing, in turn, was directing more attention to the document, to the letter.
[02:15:56.501 --> 02:15:57.601]  Which is what we planned.
[02:15:57.681 --> 02:15:58.761]  Yeah, absolutely, yeah.
[02:15:58.781 --> 02:16:00.521]  These people cannot help themselves.
[02:16:01.662 --> 02:16:03.562]  And they played right into our hands.
[02:16:04.222 --> 02:16:08.543]  And we're really grateful for all their support and all their exposure.
[02:16:08.583 --> 02:16:09.583]  20 minutes with the President.
[02:16:12.967 --> 02:16:14.328]  We are truly grateful, Alex.
[02:16:15.048 --> 02:16:16.829]  Oh, Charlie, you're something else, man.
[02:16:18.330 --> 02:16:19.611]  Something else, Charlie Sheen.
[02:16:19.631 --> 02:16:22.733]  In the time we've got left here, it's always great having you.
[02:16:23.794 --> 02:16:24.594]  Big announcement.
[02:16:25.254 --> 02:16:29.077]  Charlie, in the next week, it's going to be a month-long contest.
[02:16:29.097 --> 02:16:32.879]  We'll post the rules, details, but you announce the contest.
[02:16:33.199 --> 02:16:36.001]  You are the judge, and you're paying out the cash prize.
[02:16:36.421 --> 02:16:37.362]  Right now or after the break?
[02:16:38.523 --> 02:16:39.464]  It's a final segment.
[02:16:39.524 --> 02:16:42.927]  Go ahead and announce it.
[02:16:43.108 --> 02:16:57.961]  There is a contest that is directly related to 20 Minutes with the President, and what we are requesting is that any man, woman, or child, regardless of race,
[02:16:59.500 --> 02:17:06.406]  Sit down and put on video, on video, two characters actually reading 20 minutes with the President.
[02:17:06.446 --> 02:17:08.408]  Somebody plays me, somebody plays the President.
[02:17:09.469 --> 02:17:25.363]  And what Alex and I are going to do is we're going to take all the video submissions, if you want to read the whole thing, if you want to read a portion of it, if you want to do, however you interpret it, whatever language you interpret it in, we're going to take those video submissions and Alex and I are going to decide
[02:17:26.093 --> 02:17:28.074]  On who the winner is.
[02:17:29.135 --> 02:17:31.096]  And it may not be based on performance.
[02:17:31.276 --> 02:17:35.038]  It may be based on other elements of the presentation.
[02:17:35.258 --> 02:17:36.699]  It's solely our discretion.
[02:17:36.799 --> 02:17:37.780]  It's our discretion, yeah.
[02:17:37.840 --> 02:17:40.582]  And there is a $10,000 cash prize to the winner.
[02:17:42.343 --> 02:17:44.584]  But in addition to that,
[02:17:45.256 --> 02:17:59.944]  We're also going to take from all the submissions a small segment and we're going to put it all together so there is a universally created 20 minutes with the President as well.
[02:17:59.984 --> 02:18:11.771]  We'll have the winner's video and then we'll have the compilation video as a representation for all the voices that stepped forward and had the courage to commit this thing
[02:18:12.432 --> 02:18:19.576]  To a video record and make themselves available for the world to observe.
[02:18:19.676 --> 02:18:20.936]  And we're really excited about it.
[02:18:21.537 --> 02:18:27.199]  And we're excited about the YouTube video, My Message to Obama, is blowing up right now.
[02:18:27.319 --> 02:18:37.824]  And so we think that once the theatrical versions, the fan versions, is going to drive this thing,
[02:18:43.875 --> 02:18:44.375]  Absolutely.
[02:18:44.395 --> 02:18:45.936]  We have our own private scale.
[02:18:46.196 --> 02:18:49.657]  Back when I said in 2006 it's gone supernova.
[02:18:50.297 --> 02:18:56.019]  It goes nova, supernova, black hole, super black hole, dark matter, on how big we want this to be.
[02:18:56.059 --> 02:18:59.179]  But we'll probably get 200, 300, 400 submissions.
[02:18:59.640 --> 02:19:01.380]  All of those will get thousands apiece.
[02:19:01.940 --> 02:19:03.801]  And the winner will get hundreds of thousands.
[02:19:04.901 --> 02:19:06.442]  Thousands of versions.
[02:19:06.842 --> 02:19:08.263]  More than 500 I've counted now.
[02:19:08.323 --> 02:19:10.524]  I had to quit counting on YouTube.
[02:19:11.744 --> 02:19:15.486]  Over 200 with the same title of your message to the President.
[02:19:16.146 --> 02:19:17.187]  Our video is approaching 600,000.
[02:19:17.327 --> 02:19:22.750]  It's several million conservatively in just that video that is so effective.
[02:19:22.790 --> 02:19:25.591]  You and Aaron did a great job putting that together, Charlie.
[02:19:25.611 --> 02:19:25.951]  Thank you.
[02:19:25.991 --> 02:19:26.471]  Thank you.
[02:19:27.072 --> 02:19:28.873]  And so phase two, for those that don't know,
[02:19:29.833 --> 02:19:46.600]  It's going to be hundreds and hundreds of videos with people doing all of 20 Minutes with the President, part of it theatrically, two white guys, two black guys, two women, a woman and a man, however you want, whatever way you want to put it on, whatever touches our hearts the most, whatever, whatever, Charlie's the main judge.
[02:19:46.921 --> 02:19:48.941]  I'm going to kind of boil down because he probably can't watch 300 or 400.
[02:19:51.320 --> 02:19:56.462]  But Alex, I'm going to watch as many as I can because to me that is such a compliment.
[02:19:56.882 --> 02:20:09.587]  That people would take the time, have the interest, have the passion to sit down and bring this document to life and to have the courage to share it with the world.
[02:20:10.067 --> 02:20:11.687]  How about this be part of the prize too?
[02:20:12.648 --> 02:20:14.248]  We'll announce the details next week.
[02:20:14.268 --> 02:20:15.509]  We'll give people a month to make us.
[02:20:15.529 --> 02:20:16.289]  They have plenty of time.
[02:20:17.509 --> 02:20:25.018]  We'll have the winner on for 10 minutes with you, too, to talk about the piece when we announce the winner and play it on air.
[02:20:25.058 --> 02:20:25.579]  How's that sound?
[02:20:25.719 --> 02:20:26.280]  Great idea.
[02:20:26.360 --> 02:20:26.620]  Love it.
[02:20:26.740 --> 02:20:26.921]  Done.
[02:20:27.924 --> 02:20:36.591]  So you will then, on air, announce the winner and we'll at the same time have that person, call that person, have them lined up and we have first, second, and third place together.
[02:20:36.831 --> 02:20:37.932]  They won't know who's going to win.
[02:20:37.952 --> 02:20:43.136]  We'll have first place on the air with you a month after this is announced, when we announce who the winner is.
[02:20:43.216 --> 02:20:53.584]  I think it's a great idea, Charlie, and tens of millions more people will see 20 minutes with the President and those 20 bullet points, I think it's most important, you've said off air, to have in the piece
[02:20:54.264 --> 02:20:57.147]  And then tens of millions more people will learn the truth.
[02:20:57.167 --> 02:20:58.047]  This is so exciting.
[02:20:58.508 --> 02:20:58.968]  Absolutely.
[02:20:59.629 --> 02:21:19.706]  And also keep in mind, if people want to get creative, if they want to do what we did with my video message on YouTube, if they want to integrate images, give voiceover visuals, however they interpret it, whatever, however it speaks to them, however they choose to express it, we are wide open to.
[02:21:21.262 --> 02:21:23.243]  $10,000 prize.
[02:21:23.803 --> 02:21:29.544]  I'm going to announce later today the winner of the last $1,000 contest, but this is huge.
[02:21:29.564 --> 02:21:30.104]  $10,000 prize.
[02:21:30.124 --> 02:21:34.445]  We'll have the details up in the next week, and then you'll have a month to complete it and get your submissions in.
[02:21:34.765 --> 02:21:36.525]  Charlie Sheen, I salute your courage.
[02:21:36.625 --> 02:21:37.726]  I love you, and I appreciate you.
[02:21:38.426 --> 02:21:39.066]  Back at you, Alex.
[02:21:39.106 --> 02:21:39.546]  I love you, too.
[02:21:39.566 --> 02:21:40.406]  Thank you so much, brother.
[02:21:40.846 --> 02:21:41.166]  You bet.
[02:21:41.267 --> 02:21:42.367]  I'll say bye to you off-air.
[02:21:42.587 --> 02:21:43.227]  Stay with us, folks.
[02:21:48.846 --> 02:21:51.850]  We're on the march, the Empire's on the run.
[02:21:52.792 --> 02:21:55.476]  Alex Jones and the GCN Radio Network.
[02:21:58.200 --> 02:22:02.184]  Hello friends, this is Alex Jones, and I want each of you to ask yourself this question.
[02:22:02.444 --> 02:22:04.226]  Do you really know what's in your tap water?
[02:22:04.446 --> 02:22:12.734]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[02:22:12.975 --> 02:22:18.200]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[02:22:18.520 --> 02:22:20.142]  Now, what are you going to do about it?
[02:22:20.382 --> 02:22:26.703]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[02:22:26.883 --> 02:22:37.646]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultraviolet light sterilization techniques.
[02:22:37.926 --> 02:22:38.446]  That's right.
[02:22:38.706 --> 02:22:41.026]  Clean water, right from the air you breathe.
[02:22:41.266 --> 02:22:42.847]  Order today by calling 1-800-691-8255.
[02:22:44.807 --> 02:22:45.448]  We're good to go.
[02:23:01.767 --> 02:23:02.248]  It's here.
[02:23:02.448 --> 02:23:07.214]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[02:23:07.595 --> 02:23:15.245]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[02:23:15.925 --> 02:23:22.970]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[02:23:23.370 --> 02:23:34.798]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[02:23:35.119 --> 02:23:38.641]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[02:23:39.081 --> 02:23:41.003]  It's an anthology of government crimes.
[02:23:41.343 --> 02:23:45.186]  Terror Storm is a film that everyone who wants to be truly informed must see.
[02:23:45.766 --> 02:23:53.214]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[02:23:58.823 --> 02:24:00.604]  This is Alex Jones with important news.
[02:24:00.885 --> 02:24:03.587]  I want to warn you about a deadly storm that's fast approaching.
[02:24:03.827 --> 02:24:05.769]  A storm that will affect you and everybody you know.
[02:24:06.069 --> 02:24:06.849]  Here's the story.
[02:24:07.050 --> 02:24:11.633]  The current administration is committed to nationalizing healthcare, giving 40 million new people free care.
[02:24:11.853 --> 02:24:12.874]  Now here's the bad news.
[02:24:13.094 --> 02:24:16.277]  The current system will almost be immediately overwhelmed by these new demands.
[02:24:16.537 --> 02:24:16.937]  We're good to go.
[02:24:41.616 --> 02:24:46.500]  It's called Herbal Preparations and Natural Therapies and it's flat out the best course of its kind.
[02:24:46.780 --> 02:24:50.703]  I recommend you visit this important new website at MakeHerbalMedicines.com.
[02:24:50.903 --> 02:24:53.625]  That's MakeHerbalMedicines.com or call toll free 877-327-0365.
[02:24:53.866 --> 02:25:01.111]  We got a lot of big flu news coming up in the next few days.
[02:25:12.230 --> 02:25:19.493]  Back before the show ends, I'm going to hit on this article.
[02:25:20.453 --> 02:25:25.735]  Doctor says 60,000 may die from swine flu vaccine.
[02:25:25.755 --> 02:25:27.696]  I just had that in my stack.
[02:25:28.857 --> 02:25:31.678]  Where did that turkey go?
[02:25:32.498 --> 02:25:32.758]  You know what?
[02:25:32.818 --> 02:25:34.339]  I can't keep track of all this anymore.
[02:25:34.379 --> 02:25:35.519]  Guys, reprint that for me.
[02:25:36.320 --> 02:25:36.720]  Thank you.
[02:25:37.540 --> 02:25:38.040]  Good job.
[02:25:38.060 --> 02:25:41.542]  We're going to go to Marty Schachter for five, six minutes here in just a moment.
[02:25:42.967 --> 02:25:45.908]  Charlie Sheen doesn't like to toot his own horn.
[02:25:45.988 --> 02:25:49.189]  I forgot to tell you the prize is going to be $13,500.
[02:25:49.229 --> 02:25:51.709]  Because he wants whoever gets the $10,000 to get $10,000 after taxes.
[02:25:51.729 --> 02:25:53.930]  So average person's paying 37% federal tax.
[02:25:53.950 --> 02:25:55.050]  You're going to get $13,500 prize.
[02:25:55.090 --> 02:25:56.671]  $10,000 real payout.
[02:26:12.754 --> 02:26:17.559]  And that's on the best reproduction in any way you want to do it, any style.
[02:26:18.160 --> 02:26:26.449]  Two women, two men, a black person, a white person, oriental, asian, hispanic, eskimo, whatever.
[02:26:28.290 --> 02:26:33.516]  It can be however you want reenacted, done in film style, any way you want.
[02:26:33.916 --> 02:26:34.797]  Charlie Sheen
[02:26:35.785 --> 02:26:36.105]  Yes.
[02:26:56.240 --> 02:27:08.251]  And I know I said I'd announce it Friday, the last contest, for a thousand bucks, and I said I'd do it today, and I'm going to try to put it up on the site tonight, probably tomorrow, because they go, oh, you didn't see these 35 submissions over here, and I'm like, I will not cheat those people.
[02:27:08.291 --> 02:27:09.753]  I will not not watch their submissions.
[02:27:10.013 --> 02:27:11.635]  But great political posters you made.
[02:27:13.036 --> 02:27:16.219]  We had the Obama Joker poster contest that was a big success.
[02:27:17.460 --> 02:27:18.881]  Then we had the
[02:27:20.180 --> 02:27:22.100]  New one of any political poster you wanted.
[02:27:22.401 --> 02:27:25.601]  Whoever makes the best idea poster, posts it and then videotapes it.
[02:27:26.161 --> 02:27:28.642]  Well, this new contest with Sheen, $13,500.
[02:27:28.682 --> 02:27:28.642]  $13,500.
[02:27:28.702 --> 02:27:29.862]  $10,000 after taxes.
[02:27:29.882 --> 02:27:30.142]  $10,000 payout.
[02:27:30.202 --> 02:27:30.142]  $13,500.
[02:27:30.222 --> 02:27:30.842]  So you get at least $10,000.
[02:27:30.882 --> 02:27:31.062]  Okay?
[02:27:31.102 --> 02:27:31.643]  From Charlie Sheen.
[02:27:47.708 --> 02:27:50.650]  Now I've got to write up the rules and all that and post it.
[02:27:50.950 --> 02:27:53.412]  But it's basically our total discretion who wins.
[02:27:53.452 --> 02:27:55.874]  Charlie Sheen and I. But he's going to be the one making the choice.
[02:27:56.494 --> 02:28:00.197]  And so people then try to play games with rules and gripe if they don't win.
[02:28:00.257 --> 02:28:02.618]  It's just, whoever we decide the best is, you win.
[02:28:03.719 --> 02:28:04.119]  Okay?
[02:28:04.680 --> 02:28:06.521]  And we're very, very excited about that.
[02:28:06.641 --> 02:28:09.623]  And this, again, hundreds and hundreds of videos will be made.
[02:28:10.904 --> 02:28:12.385]  I'll tell you this, you've got five weeks.
[02:28:12.986 --> 02:28:14.507]  Next week I'm going to post the date.
[02:28:14.527 --> 02:28:16.008]  I'm going to give you a month out.
[02:28:18.334 --> 02:28:20.439]  And I would get him in a couple weeks after that.
[02:28:20.459 --> 02:28:22.364]  So you got three, four weeks to get this done.
[02:28:22.384 --> 02:28:25.190]  I will tell you it's a free-for-all, basically.
[02:28:25.471 --> 02:28:26.653]  Whatever we think is the best.
[02:28:27.967 --> 02:28:30.228]  You saw the video Aaron made, took him a week to make.
[02:28:30.268 --> 02:28:31.989]  You've seen that get millions of views.
[02:28:32.649 --> 02:28:36.231]  This is going to be huge for 9-11 Truth, and it's only one more phase.
[02:28:36.251 --> 02:28:43.734]  We've got other tricks up our sleeves for 9-11 Truth coming up in the next few weeks that'll be announced here on air by myself and by Charlie Sheen.
[02:28:43.834 --> 02:28:49.336]  And whoever wins will be on air with Charlie Sheen with me when we give first, second, and third place.
[02:28:49.716 --> 02:28:50.737]  Charlie wants to pay
[02:28:51.960 --> 02:28:52.600]  For it all.
[02:28:52.721 --> 02:28:54.001]  But I'm not going to let him.
[02:28:54.782 --> 02:28:55.743]  But I don't have a lot of money.
[02:28:56.023 --> 02:28:58.545]  So, second place will be $1,000.
[02:28:58.605 --> 02:28:59.545]  Third place will be $500.
[02:29:00.346 --> 02:29:05.950]  But all three of you will get to pop in and talk to Charlie Sheen on air.
[02:29:05.970 --> 02:29:07.671]  $13,500, prize one.
[02:29:07.811 --> 02:29:11.154]  So, $10,000 for taxes.
[02:29:11.174 --> 02:29:12.054]  $1,000 for prize two.
[02:29:12.074 --> 02:29:13.856]  $500 for prize three.
[02:29:14.096 --> 02:29:14.316]  Okay?
[02:29:15.057 --> 02:29:18.139]  That's it, because I want to be able to recognize some other folks as well.
[02:29:19.394 --> 02:29:22.276]  But regardless, you win, win, win by getting 9-11 truth out.
[02:29:22.596 --> 02:29:26.438]  And I'll tell you, the one thing I would lean towards is getting those 20 bullet points out.
[02:29:29.280 --> 02:29:30.861]  We'll see who wins, ladies and gentlemen.
[02:29:31.421 --> 02:29:32.222]  We'll see who wins.
[02:29:33.543 --> 02:29:37.865]  Okay, that should be announced right around the time my new film, Fall of the Republic, comes out.
[02:29:38.306 --> 02:29:40.567]  Okay, I want to hit on this.
[02:29:40.667 --> 02:29:43.389]  Doctor says flu vaccine will cause 60,000 deaths in France alone.
[02:29:46.638 --> 02:29:48.179]  Another one saying similar things in Germany.
[02:29:48.199 --> 02:29:50.441]  We're going to hit on that, but I want to go to Marty Schachter.
[02:29:50.902 --> 02:29:55.626]  World War II veteran, started Calvin Pierce Soap Company with his father in 1947.
[02:29:55.826 --> 02:29:59.489]  That's 62 years and counting.
[02:29:59.509 --> 02:30:03.792]  He was in the Chemical Weapons Corps, so he came home and saw what was in the detergent soap.
[02:30:03.832 --> 02:30:04.993]  They were getting rid of regular soap.
[02:30:05.354 --> 02:30:07.015]  He said, I'm going to make real organic soap.
[02:30:07.476 --> 02:30:09.337]  You get 85% off on this soap.
[02:30:09.437 --> 02:30:09.697]  Why?
[02:30:10.558 --> 02:30:13.422]  Because you don't pay for Procter & Gamble's advertising, all that.
[02:30:13.462 --> 02:30:18.668]  It's factory direct, no middleman, and it's totally organic, and it's what I use in my house.
[02:30:19.088 --> 02:30:23.413]  Bath soap, dish soap, hair soap, creams, everything.
[02:30:23.974 --> 02:30:29.060]  5 Star Soap, the letter 5, the number 5, or spell it out, 5starsoap.com.
[02:30:29.100 --> 02:30:30.221]  Either way, spell it out.
[02:30:30.982 --> 02:30:32.203]  Wow, what an endorsement.
[02:30:32.223 --> 02:30:34.105]  I really appreciate that.
[02:30:34.185 --> 02:30:36.027]  We're fighting clock and gamble every day.
[02:30:36.047 --> 02:30:38.049]  They did last year $65 billion worth of business.
[02:30:52.183 --> 02:30:54.364]  10% of that went to TV advertisement.
[02:30:54.704 --> 02:31:01.187]  They're the biggest in the world and they sell everything that you need or what you really don't need.
[02:31:01.567 --> 02:31:09.851]  Chemicals that are just absolutely horrendous in their perfumes, in their toxicity, in their costs.
[02:31:10.311 --> 02:31:11.672]  And we don't need that.
[02:31:11.972 --> 02:31:16.975]  What we do need is freedom of choice, and this is what I offer all your listeners.
[02:31:17.315 --> 02:31:28.181]  Freedom of choice to buy soap twice as good as what they're buying now, twice as good as what they're using now, and this has been our goal, our philosophy, and our success.
[02:31:30.080 --> 02:31:36.987]  Absolutely, and again the toll-free number for people to call, we'll put that up on screen for folks, is 1-800-340-7091.
[02:31:37.127 --> 02:31:39.930]  That's 1-800-340-7091.
[02:31:39.950 --> 02:31:51.381]  You, your son, your family, the great crew are there to take people's orders, get a free brochure, or get the sample tote bag.
[02:31:51.661 --> 02:31:53.383]  Tell folks about the sample tote bag.
[02:31:53.763 --> 02:31:55.505]  Well we put together by hand.
[02:31:55.665 --> 02:31:57.927]  We got two young ladies doing that.
[02:31:58.288 --> 02:31:59.929]  It's a six pound package.
[02:32:00.390 --> 02:32:06.996]  It's got in there four bars of our pure soap for bathing, showering, nothing like it anywhere.
[02:32:07.016 --> 02:32:10.160]  It's got a 16 ounce pint.
[02:32:10.740 --> 02:32:11.421]  We're good to go.
[02:32:31.593 --> 02:32:50.298]  18 ounces and a little jar with a little tiny measuring scoop of our granulated laundry soap for washing clothes, overalls, plumber goods, everything in your any washing machine, especially the new upfront washing machines, which are the popular ones.
[02:32:50.398 --> 02:32:51.038]  I've got one.
[02:32:51.318 --> 02:32:52.018]  They're wonderful.
[02:32:52.419 --> 02:32:57.840]  Also a book of instructions covering all the products, all the different uses for the products.
[02:32:58.320 --> 02:33:03.722]  A large nylon scarring pad, 9 inches by 6 inches, commercial size.
[02:33:04.042 --> 02:33:06.623]  You can cut it in half or in quarter with scissors.
[02:33:06.923 --> 02:33:11.725]  Replaces Ajax and Comet and Steel Wolf and SOS pads and Chore Girls.
[02:33:12.085 --> 02:33:13.465]  Don't need them ever again.
[02:33:13.845 --> 02:33:19.707]  All put together, it'll last you four to eight weeks, depending on your washing habits, depending on your size.
[02:33:20.047 --> 02:33:20.488]  Family, $20.
[02:33:21.028 --> 02:33:23.048]  It's a bargain.
[02:33:23.348 --> 02:33:24.149]  It's handmade.
[02:33:24.529 --> 02:33:27.590]  It's unconditionally guaranteed to satisfy you.
[02:33:28.090 --> 02:33:42.193]  This is to start you off on a whole new cleanliness program, a better program, twice as good as Procter & Gamble and Lever Brothers and Colgate and all the other chemical companies that sell more perfumes than they do cleaning products.
[02:33:42.573 --> 02:33:43.393]  Don't believe in that.
[02:33:43.753 --> 02:33:45.394]  Believe in getting something better.
[02:33:45.754 --> 02:33:55.576]  Believe in freedom of choice, that you can buy something far, far twice as good, three times as good as Procter & Gamble, $65 billion corporation.
[02:33:56.156 --> 02:33:58.558]  We're a family owned, family company.
[02:33:58.979 --> 02:34:07.666]  We have survived for 62 years and the only way you can do that is to have quality, is to have value, is to have
[02:34:12.153 --> 02:34:13.153]  The better price.
[02:34:13.673 --> 02:34:18.654]  Prices that save you money, save you clothing, save you skin, save you hair.
[02:34:19.115 --> 02:34:20.815]  Products you've never used before.
[02:34:21.115 --> 02:34:27.136]  Products that I used to make for hospitals, and schools, and institutions, and corporations, and car washes.
[02:34:27.557 --> 02:34:28.377]  We made it for them.
[02:34:28.697 --> 02:34:29.417]  We survived.
[02:34:29.717 --> 02:34:30.237]  We're there.
[02:34:30.537 --> 02:34:31.577]  We're going to please you.
[02:34:31.597 --> 02:34:32.958]  All you're going to say is,
[02:34:34.278 --> 02:34:35.639]  Where have you been all my life?
[02:34:35.999 --> 02:34:42.663]  Well, we're here right now, and with the help of Alex, we're gonna spread good cleanliness, honest cleanliness.
[02:34:43.063 --> 02:34:45.764]  Without cleanliness, we have no civilization.
[02:34:46.225 --> 02:34:49.326]  And we give you the best cleanliness money can buy.
[02:34:51.347 --> 02:34:52.488]  Absolutely, my friend.
[02:34:52.548 --> 02:34:54.389]  Toll-free number to call 1-800-340-7091 or 5starsoap.com.
[02:34:54.429 --> 02:34:55.089]  Marty, give us a limerick.
[02:35:02.438 --> 02:35:04.659]  This is from a jolly old England.
[02:35:05.880 --> 02:35:12.263]  There was a young lady of Twickenham whose shoes were too tight to walk quick in them.
[02:35:13.043 --> 02:35:19.967]  She came back from her walk looking right as a chalk and took both off and was sick in them.
[02:35:25.887 --> 02:35:29.933]  Oh my gosh, 5starsub.com, 800-340-7091.
[02:35:30.294 --> 02:35:32.177]  Marty, thank you so much for coming on with us.
[02:35:32.537 --> 02:35:36.343]  Looking forward to talking to you and your listeners right now.
[02:35:37.405 --> 02:35:38.106]  God bless you.
[02:35:38.406 --> 02:35:39.108]  Take care, Marty.
[02:35:40.472 --> 02:35:41.693]  There goes Marty Schachter.
[02:35:41.813 --> 02:35:45.817]  Okay, I'm going to jam in a few calls, then in the final segment I'm going to get into this flu news.
[02:35:45.837 --> 02:35:50.922]  We're lining up a bunch of guests in the next week, two weeks on this subject, but it's not looking good.
[02:35:51.842 --> 02:35:55.706]  Doctor says flu vaccine will cause 60,000 deaths in France alone.
[02:35:57.608 --> 02:35:58.128]  Amazing.
[02:35:58.148 --> 02:36:00.130]  We're going to be covering that in the final segment.
[02:36:00.170 --> 02:36:02.812]  Right now, let's go to Herb in Atlanta.
[02:36:02.853 --> 02:36:05.295]  Herb, sorry you didn't get a chance to talk to Charlie, but go ahead.
[02:36:06.280 --> 02:36:07.581]  Yeah, man, I sure did.
[02:36:07.841 --> 02:36:10.662]  In fact, I'm going to ask my question as if he was still there.
[02:36:11.603 --> 02:36:14.184]  The alternative media, Alex, is dying.
[02:36:14.524 --> 02:36:19.126]  The global media is out of business, and it's because of the alternative media.
[02:36:19.426 --> 02:36:20.987]  I'm calling Satellite Radio today.
[02:36:21.047 --> 02:36:22.108]  I've got four radios.
[02:36:22.168 --> 02:36:23.248]  I'm canceling two of them.
[02:36:23.588 --> 02:36:26.530]  I want to find out how I can get your tape, because I'm through with it.
[02:36:26.850 --> 02:36:29.851]  Now, Alex, I know you've got connections in Great Britain.
[02:36:30.151 --> 02:36:35.634]  I've been trying to get this book, The New Underworld Order, The Triumph of Criminalism,
[02:36:36.041 --> 02:36:40.763]  The Global Hegemony of Masonic Intelligence, a book by David Storey.
[02:36:41.363 --> 02:36:42.664]  I hope you can help me with that.
[02:36:42.704 --> 02:36:45.165]  I don't know the book, but it sounds really interesting.
[02:36:46.866 --> 02:36:49.707]  Yes, I won't talk to you about that later, but I want to say this, Alex.
[02:36:50.227 --> 02:36:59.311]  Hollywood put forth a concerted effort to elect Obama, and my question is this, and this is going out to Hollywood, the La La Land, as they call it.
[02:37:00.143 --> 02:37:09.486]  If they put forth that kind of effort to elect Obama, why won't they get behind Charlie Sheen to demand that the truth gets out about what happened on 9-11?
[02:37:09.926 --> 02:37:11.327]  Still having nightmares about it.
[02:37:11.527 --> 02:37:15.468]  Well, I wish that I would have gone to you.
[02:37:15.608 --> 02:37:16.228]  Great point.
[02:37:16.268 --> 02:37:17.349]  Now, that's what Charlie's saying.
[02:37:17.369 --> 02:37:26.192]  I mean, he didn't expect them all to line up behind him, but he goes... I mean, he knows a lot of these people, and a lot of people he talks to don't believe the official story.
[02:37:27.102 --> 02:37:33.730]  And they're just scared to speak out, and he's like, how do you let these people get away with what they've done?
[02:37:37.952 --> 02:37:40.835]  He's just a Hollywood star, but he's a smart, intelligent guy.
[02:37:40.855 --> 02:37:43.418]  He doesn't have some huge view of himself.
[02:37:43.778 --> 02:37:48.243]  He understands, though, the power position of a major TV slash movie star.
[02:37:48.664 --> 02:37:53.069]  And so he's doing this knowing he'll be attacked because it's the right thing to do.
[02:37:53.089 --> 02:37:55.471]  I mean, that's what's so selfless about this.
[02:37:55.531 --> 02:37:56.352]  I mean, I frankly.
[02:37:57.213 --> 02:37:57.973]  We're good to go.
[02:38:17.711 --> 02:38:25.297]  And I was sitting around talking to him and some of his family when they were over visiting and they're like, well, this is just positive questions and this is all public record.
[02:38:25.698 --> 02:38:26.939]  They won't attack him for this.
[02:38:26.999 --> 02:38:28.800]  And I said, yeah, they're going to attack you, Charlie.
[02:38:29.501 --> 02:38:35.726]  They're going to misinterpret and they're going to put words in your mouth because that's what they do.
[02:38:36.707 --> 02:38:38.008]  And they did.
[02:38:38.168 --> 02:38:42.512]  But now he wants to fight even more because he is not a coward.
[02:38:43.737 --> 02:38:46.439]  And he's gone through so much hell for what he did three years ago.
[02:38:46.479 --> 02:38:49.822]  I mean, if I told people half the crap I know about, people wouldn't believe it.
[02:38:50.322 --> 02:38:51.423]  I mean, look at Mark Cuban.
[02:38:51.904 --> 02:38:53.765]  I was asked not to talk about that at the time.
[02:38:54.085 --> 02:38:55.707]  But it came out in the New York Times.
[02:38:55.927 --> 02:39:04.294]  The White House called him up and said, listen, you son of a bitch, we're going to put your ass in prison for insider trading because you're a rich guy that owns a lot of stock.
[02:39:04.594 --> 02:39:07.857]  And the way the stock rules are, if they selectively enforce, everything's illegal.
[02:39:08.397 --> 02:39:10.058]  And they sent him an email saying it, too.
[02:39:11.119 --> 02:39:12.902]  And then they indicted him.
[02:39:13.042 --> 02:39:14.925]  I mean, these people don't play games.
[02:39:15.886 --> 02:39:23.076]  I'd like to see all these other schmoes out there that don't have a hundred million dollars in the bank like Charlie Sheen risking everything to tell the truth.
[02:39:23.396 --> 02:39:24.498]  Your comments on that, Herb?
[02:39:25.503 --> 02:39:25.983]  You know what?
[02:39:26.023 --> 02:39:27.024]  My comment is this.
[02:39:27.384 --> 02:39:32.108]  Al Sharpton, Juan Ballantyne, Joe Madison, you are fired!
[02:39:32.489 --> 02:39:36.852]  All I want to know is how I can get the Alex Jones Show on tape when I'm not able to record.
[02:39:36.872 --> 02:39:42.917]  There's only one program on radio, people, that is worth recording and I record it every day off the internet.
[02:39:43.317 --> 02:39:43.778]  That's it?
[02:40:13.041 --> 02:40:13.381]  That's it.
[02:40:13.421 --> 02:40:18.143]  And whether you're left or right, black or white, you're going to get the short end of the stick unless we beat these bankers.
[02:40:18.183 --> 02:40:18.823]  I mean, that's it.
