[00:00:00.792 --> 00:00:02.733]  Hit it boys!
[01:14:06.298 --> 01:14:11.142]  Previously, pandemic was a certain amount of deaths and the fact that it was spreading cross-border.
[01:14:11.503 --> 01:14:20.131]  Now they just say, if any run-of-the-mill virus that's super weak, anything, crosses and goes into more than three regions, it's a pandemic.
[01:14:20.171 --> 01:14:21.612]  Three regions are six countries.
[01:14:21.993 --> 01:14:22.633]  So, look,
[01:14:23.414 --> 01:14:26.216]  It's all about locking airplanes down, arresting people.
[01:14:26.456 --> 01:14:31.839]  They're clearly using this as a drill for lockdown, and to sell a bunch of vaccines.
[01:14:32.119 --> 01:14:36.401]  We better hope that's all it is, and not that they're going to release something really deadly.
[01:14:37.382 --> 01:14:37.922]  Right, right.
[01:14:38.042 --> 01:14:41.684]  And I also have a little treat for you and your guests, if you don't mind.
[01:14:42.104 --> 01:14:44.746]  It's a little Alex Jones poem.
[01:14:46.202 --> 01:14:47.803]  Let me go ahead and go.
[01:14:48.384 --> 01:14:52.426]  Allow me to explain, just for starters, how the effin' world's ran by the New World Order.
[01:14:52.686 --> 01:14:53.806]  Sir, I'm going to have to let you go.
[01:14:53.826 --> 01:14:55.087]  I don't even want to start hinting.
[01:14:55.107 --> 01:14:58.629]  Just send it to me as a text, and we'll try to get it up on InfoWars.com.
[01:14:58.689 --> 01:15:06.833]  I really appreciate all the great callers, but when poems start out with, you know, even a hint of the F-bomb, I'm going to have to shut you down.
[01:15:08.974 --> 01:15:13.116]  I myself am going to try to not... This is a family show.
[01:15:14.389 --> 01:15:16.471]  Okay, and I appreciate your call, sir.
[01:15:17.451 --> 01:15:21.214]  Okay, I understand you're sitting back with a big dube, hanging out, you know, I can hear it.
[01:15:21.334 --> 01:15:22.575]  You woo, dude!
[01:15:23.116 --> 01:15:23.896]  And I like you.
[01:15:24.757 --> 01:15:27.639]  Okay, but I was just getting the marijuana vibe there.
[01:15:28.320 --> 01:15:28.660]  Okay?
[01:15:29.140 --> 01:15:31.982]  And more and more I realize I'm at war with the marijuana vibe.
[01:15:32.483 --> 01:15:36.105]  You guys can smoke all of it you want, but I'm kind of the opposite.
[01:15:36.126 --> 01:15:37.567]  I'm kind of the coffee vibe.
[01:15:38.267 --> 01:15:39.188]  And the two don't meet.
[01:15:41.451 --> 01:15:43.992]  My God, the problems I have with the marijuana vibe in my life.
[01:15:44.072 --> 01:15:48.595]  I tell you what, I've got to hunt down the weed heads and get them the hell out of my life!
[01:15:49.835 --> 01:15:51.036]  Alright, ladies and gentlemen.
[01:15:53.437 --> 01:15:55.718]  All hail and long live the coffee drinkers!
[01:15:56.058 --> 01:15:57.399]  Down with the potheads!
[01:15:57.939 --> 01:15:59.080]  Folks, I'm joking.
[01:15:59.480 --> 01:16:00.240]  You know I love Willie.
[01:16:01.061 --> 01:16:02.741]  I'm just joking and having some fun here.
[01:16:02.761 --> 01:16:04.182]  And I believe in your right.
[01:16:04.202 --> 01:16:05.523]  I don't think you should be locked up in prison.
[01:16:05.963 --> 01:16:06.963]  I can just tell you were stoned.
[01:16:07.504 --> 01:16:08.364]  Alright, we'll get serious.
[01:16:08.404 --> 01:16:09.445]  Take your calls when we get back.
[01:16:09.465 --> 01:16:09.825]  Stay with us.
[01:16:12.520 --> 01:16:17.463]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:16:42.840 --> 01:16:43.200]  We're good.
[01:17:12.165 --> 01:17:13.246]  This is Alex Jones.
[01:17:13.527 --> 01:17:15.329]  Have you heard of the Millionaire Patriot?
[01:17:15.529 --> 01:17:16.209]  Well, you should.
[01:17:16.510 --> 01:17:20.754]  He has a free handgun and five days of firearms training waiting for you.
[01:17:20.995 --> 01:17:21.495]  That's right.
[01:17:21.816 --> 01:17:30.265]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[01:17:30.465 --> 01:17:31.746]  All for pennies on the dollar.
[01:17:31.827 --> 01:17:32.988]  Plus, if you act fast.
[01:17:33.168 --> 01:17:38.811]  The Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[01:17:39.151 --> 01:17:45.675]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[01:17:46.055 --> 01:17:51.258]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[01:17:51.579 --> 01:17:52.719]  This is real.
[01:17:53.039 --> 01:17:53.780]  Don't miss out.
[01:17:54.100 --> 01:18:00.964]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar.
[01:18:01.184 --> 01:18:02.465]  And get your free handgun.
[01:18:02.645 --> 01:18:04.807]  Go to FrontSight.com today.
[01:18:05.007 --> 01:18:08.510]  That's F-R-O-N-T-S-I-G-H-T.com.
[01:18:08.710 --> 01:18:11.672]  Go to FrontSight.com for your training and free gun.
[01:18:12.513 --> 01:18:13.093]  Hello, friends.
[01:18:13.133 --> 01:18:14.074]  This is Alex Jones.
[01:18:14.194 --> 01:18:17.136]  I've told you for a long time it's important to be self-sufficient.
[01:18:17.176 --> 01:18:18.838]  And today, that's more important than ever.
[01:18:18.938 --> 01:18:19.999]  We need to be independent.
[01:18:20.139 --> 01:18:21.720]  And food and water is the key.
[01:18:21.900 --> 01:18:24.762]  You'll never have to stand in a bread line if you have your own bread.
[01:18:24.942 --> 01:18:30.807]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[01:18:31.007 --> 01:18:33.950]  No one is going to take care of your family in the final equation but you.
[01:18:34.250 --> 01:18:41.157]  You know, efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[01:18:41.257 --> 01:18:44.380]  And they do it at almost half the cost of last year's grocery prices.
[01:18:44.520 --> 01:18:44.720]  Call 1-800-409-5633.
[01:18:44.780 --> 01:18:46.422]  Or on the web, go to efoodsdirect.com.
[01:18:49.665 --> 01:18:55.747]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-stride, and dehydrated foods they have to offer.
[01:18:55.927 --> 01:18:59.688]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[01:18:59.708 --> 01:19:01.189]  Again, 800-409-5633, or on the web at eFoodsDirect.com.
[01:19:01.229 --> 01:19:01.649]  Take action today.
[01:19:01.669 --> 01:19:03.490]  The first step is getting storable food.
[01:19:12.082 --> 01:19:17.249]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[01:19:17.389 --> 01:19:21.775]  Will you continue to be their profit center, buying their processed food that makes you sick?
[01:19:21.915 --> 01:19:23.778]  Go to the doctor and buy their drugs?
[01:19:24.198 --> 01:19:25.540]  You don't have to cooperate.
[01:19:25.820 --> 01:19:26.842]  There is a solution.
[01:19:27.082 --> 01:19:35.107]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[01:19:35.507 --> 01:19:42.571]  Try their Inner Food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[01:19:42.951 --> 01:19:48.554]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the Health Ranger.
[01:19:49.015 --> 01:19:54.578]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[01:19:54.998 --> 01:19:58.861]  Try all of their truly honest products that will keep you alive and healthy.
[01:19:59.161 --> 01:20:06.107]  Go to enerfood.com or give them a call right now.
[01:20:06.127 --> 01:20:06.387]  866-762-9238.
[01:20:06.627 --> 01:20:09.950]  Click on their banner at infowars.com to see all the available discounts.
[01:20:23.851 --> 01:20:24.232]  We're good.
[01:20:32.176 --> 01:20:39.219]  You know, I wanted to come in here today and have a focused transmission, go over all the documents and the evidence, and I did a B-plus job in the first hour.
[01:20:39.859 --> 01:20:46.922]  I'm kind of degenerated into a C-plus right now, maybe a C-minus, because I just can't get over the fact that it's a complete hoax.
[01:20:47.422 --> 01:20:53.644]  I have military and police sources that were telling me, get ready for some type of flu behavior coming up in the fall.
[01:20:53.984 --> 01:20:58.006]  I start warning people in March, they pull it in April,
[01:20:58.906 --> 01:21:13.059]  It's a non-event, and they're getting ready for total world government martial law, planetary forced inoculation, the UN's been caught over and over again spiking vaccines with sterilants and with cancer viruses and HIV.
[01:21:13.079 --> 01:21:15.701]  And I mean, I could pull up mainstream articles right now.
[01:21:15.721 --> 01:21:19.205]  This isn't a game, ladies and gentlemen.
[01:21:21.178 --> 01:21:24.484]  In fact, Google, United Nations caught sterilizing women.
[01:21:25.266 --> 01:21:26.769]  It was in the news last week again.
[01:21:26.789 --> 01:21:28.231]  I mean, it's just everywhere!
[01:21:28.612 --> 01:21:30.856]  Don't take these people's shots!
[01:21:31.974 --> 01:21:33.755]  But I'm afraid my child might die!
[01:21:34.015 --> 01:21:34.556]  Hey, fine.
[01:21:35.116 --> 01:21:37.098]  You just go ahead and trust the medical establishment.
[01:21:37.138 --> 01:21:38.819]  Trust Joseph Mingala.
[01:21:39.259 --> 01:21:43.902]  Am I saying there couldn't be good vaccines and vaccines can't give somebody an immunity?
[01:21:44.183 --> 01:21:45.544]  Like for tetanus and things like that?
[01:21:45.624 --> 01:21:45.864]  No!
[01:21:46.144 --> 01:21:47.425]  Vaccines could be great!
[01:21:47.745 --> 01:21:49.586]  But a bunch of murdering eugenicists!
[01:21:49.847 --> 01:21:52.388]  You know they brought back over 10,000 Nazi scientists?
[01:21:52.608 --> 01:21:55.410]  And that they went to work for the vaccine labs and NASA?
[01:21:56.491 --> 01:21:58.793]  I was on the set of ESPN with Joe Rogan.
[01:22:00.489 --> 01:22:22.238]  When he flew me out to UFC 96 or 97, I forget, great guy, flew me out there, put me up in a hotel, gave me, you know, front row tickets, a whole nine yards, and then I'm backstage with him, before it starts, taping for ESPN, for like the next four or five UFCs coming up.
[01:22:22.258 --> 01:22:28.861]  And they're all like, this is secret info, you're about to see the upcoming fights, and I'm like, yeah, you know, I don't care, fine.
[01:22:29.667 --> 01:22:32.769]  Of course, I did kind of get into UFC then, and it was nice knowing what fights were coming up.
[01:22:32.789 --> 01:22:34.570]  But look, that point doesn't matter.
[01:22:35.511 --> 01:22:40.894]  I'm behind closed doors, and there's the main ESPN reporter for UFC.
[01:22:41.775 --> 01:22:49.040]  And we're leaving, and we go out of the studio, and we're back in the trailers while they're editing pieces, because we're waiting to go eat steaks with Joe.
[01:22:49.620 --> 01:22:50.821]  This is the night before the fight.
[01:22:54.537 --> 01:22:58.379]  I'm going, yes, that's the Goddard Space Center, absolutely, that top Nazi, Werner Von Braun.
[01:22:58.699 --> 01:23:00.140]  And the guy was nice.
[01:23:00.460 --> 01:23:02.341]  He walks over, he goes, excuse me?
[01:23:02.361 --> 01:23:10.084]  And Joe was doing voiceovers in another trailer area, it was the same trailer but in a voiceover area.
[01:23:10.184 --> 01:23:10.865]  He'd left by then.
[01:23:10.885 --> 01:23:12.025]  And he goes, excuse me?
[01:23:12.425 --> 01:23:14.246]  You're saying Nazis set up NASA?
[01:23:14.286 --> 01:23:15.587]  And I went, yeah, it's an absolute fact.
[01:23:16.127 --> 01:23:17.027]  He just laughed at me.
[01:23:17.307 --> 01:23:20.469]  See, I guess the public thinks I'm making all this up!
[01:23:20.889 --> 01:23:22.510]  I'm not making any of it up!
[01:23:24.468 --> 01:23:28.609]  Bernard von Braun, head of NASA, Hitler's top Nazi scientist!
[01:23:29.710 --> 01:23:30.270]  Goddard!
[01:23:30.630 --> 01:23:31.671]  Second Command!
[01:23:31.691 --> 01:23:35.812]  I can go right down to every department, CIA, everything!
[01:23:36.332 --> 01:23:37.433]  Run by Nazis!
[01:23:37.773 --> 01:23:39.853]  You're taking injections from these people!
[01:23:41.514 --> 01:23:43.495]  How am I supposed to sit up here and be calm?
[01:23:43.835 --> 01:23:45.996]  I know what I'm talking about, folks!
[01:23:46.716 --> 01:23:48.096]  I know what's going on!
[01:23:48.436 --> 01:23:49.697]  I do my research!
[01:23:50.905 --> 01:23:52.146]  Your life's in danger!
[01:23:52.386 --> 01:23:53.287]  Mine's in danger!
[01:23:53.727 --> 01:23:55.148]  I wish we could just beat these people.
[01:23:55.188 --> 01:23:56.529]  It's actually spooky fighting them.
[01:23:56.730 --> 01:23:58.311]  It's spooky getting death threats from them.
[01:23:58.931 --> 01:24:05.556]  It's spooky getting Army documents that later come out in the Baltimore Sun that the Army's following me around in Ron Paul at events.
[01:24:05.897 --> 01:24:07.398]  We have the Army spying on us!
[01:24:07.918 --> 01:24:11.341]  Because it's the Army's job to make sure the new old order wins!
[01:24:13.100 --> 01:24:14.461]  This stuff's real, folks!
[01:24:14.501 --> 01:24:18.403]  The Army follows me around to and from work a lot of days.
[01:24:19.303 --> 01:24:23.026]  I got guys in high and tight haircuts, special forces following me around.
[01:24:23.046 --> 01:24:24.787]  This isn't a game, people!
[01:24:25.727 --> 01:24:27.448]  And I want to tell those troops something, too.
[01:24:27.628 --> 01:24:30.330]  They'll shoot your mama up with cancer viruses, too, boy.
[01:24:30.650 --> 01:24:32.691]  You better wake up and join the American people.
[01:24:32.931 --> 01:24:37.834]  If you don't know I'm the good guy and that you're working for the bad guys, you've got a major malfunction!
[01:24:40.322 --> 01:24:43.923]  The truth is, I've been successful with this radio show because this is real.
[01:24:44.223 --> 01:24:51.106]  And everybody else goes through reality and goes through life caring about things that don't matter and not caring about the things that do matter!
[01:24:51.126 --> 01:24:55.568]  Let me tell you something, forced inoculation and mass graves matters.
[01:24:55.608 --> 01:25:00.769]  And if we don't expose these bastards, they may go with a real bioweapons release and claim it's the stinking flu.
[01:25:01.110 --> 01:25:03.270]  Or the real bioweapon may be in the vaccine.
[01:25:03.450 --> 01:25:04.011]  That happened in 76!
[01:25:05.970 --> 01:25:07.331]  In fact, pull up the 60 minutes.
[01:25:07.371 --> 01:25:09.092]  I want them to see the paralyzed men and women.
[01:25:09.473 --> 01:25:10.854]  Maybe we'll play a few minutes of it later.
[01:25:11.354 --> 01:25:12.175]  I said I'd take calls.
[01:25:12.235 --> 01:25:12.955]  I'm out of control.
[01:25:13.436 --> 01:25:17.799]  I just... Every instinct I've got is go to the South Pacific.
[01:25:17.839 --> 01:25:18.659]  Go to the South Pacific.
[01:25:18.699 --> 01:25:19.440]  Go to the South Pacific.
[01:25:19.680 --> 01:25:23.863]  Go live in a shack in the third world somewhere with your family.
[01:25:24.123 --> 01:25:25.865]  Folks, I don't enjoy being on the radio.
[01:25:26.045 --> 01:25:27.326]  I don't enjoy all this stuff.
[01:25:27.546 --> 01:25:32.450]  I mean, there's a few cool fringe benefits being the leader of the, quote, conspiracy movement worldwide.
[01:25:32.670 --> 01:25:34.151]  But it isn't a conspiracy movement.
[01:25:35.296 --> 01:25:36.157]  It's reality.
[01:25:37.137 --> 01:25:41.800]  And the government's a bunch of lying crooks, and the general public's falling apart and mentally ill.
[01:25:42.640 --> 01:25:44.741]  I don't like being associated with a conspiracy movement.
[01:25:45.002 --> 01:25:46.282]  Half of them are schizophrenics.
[01:25:47.363 --> 01:25:48.303]  You know, I mean, look.
[01:25:49.004 --> 01:25:51.845]  Everything I've said is documented at InfoWars.com.
[01:25:52.045 --> 01:25:53.426]  So go there and check it out for yourself.
[01:25:53.446 --> 01:25:54.127]  Let's take a few calls.
[01:25:54.187 --> 01:25:55.587]  I'm into blitz calls next segment.
[01:25:55.908 --> 01:25:59.189]  Let's talk to Cheryl in France.
[01:25:59.249 --> 01:26:02.071]  Cheryl, I'm sorry I didn't see you were calling from France earlier and you've been holding.
[01:26:02.311 --> 01:26:03.012]  Go ahead, Cheryl.
[01:26:04.144 --> 01:26:05.385]  Hi there, Alex.
[01:26:06.326 --> 01:26:06.566]  Hi.
[01:26:07.006 --> 01:26:16.293]  I just thought I'd give you an update of what I've been reading on the news in France, and evidently it's not really working over here.
[01:26:16.313 --> 01:26:26.380]  There was a poll online at the magazine Figaro, and 78% of the people are not really afraid of this flu.
[01:26:27.723 --> 01:26:32.625]  Yeah, well the feds will just show us a bunch of dead kids on TV and hype everybody into taking it.
[01:26:32.645 --> 01:26:34.006]  But yes, that's the good news.
[01:26:34.086 --> 01:26:35.906]  People aren't buying their bull anymore.
[01:26:36.186 --> 01:26:38.787]  Obama has dropped, according to Rasmussen, below 50.
[01:26:39.648 --> 01:26:40.028]  Go ahead.
[01:26:40.968 --> 01:26:48.931]  Yes, and then there's Dr. Bernard Debray, who is a very well-known professor here, who has made a big announcement.
[01:26:49.012 --> 01:26:52.533]  It's been in all the papers about how the virus is not dangerous.
[01:26:53.519 --> 01:26:56.880]  And he said there's only been about 800 cases in all of France.
[01:26:57.580 --> 01:26:58.200]  Exactly!
[01:26:58.381 --> 01:27:03.482]  Why all the top scientists that aren't on a drug company payroll say this is a joke?
[01:27:03.922 --> 01:27:07.283]  But see, why were they building mass graves before this?
[01:27:07.583 --> 01:27:09.624]  Why were they gearing up in... Go ahead.
[01:27:13.336 --> 01:27:13.837]  I don't know.
[01:27:34.555 --> 01:27:42.300]  And it's really, it could be dangerous but at the same time it's going to be a waste of energy for us to be upset.
[01:27:42.380 --> 01:27:53.186]  What we have to do is to continue our fight in the political arena with all these terrible laws and at the same time take care of our own health.
[01:27:54.640 --> 01:27:59.724]  Well ma'am, let me just say this, and I'll hold you over if need be, you're very articulate and we like having that occasionally.
[01:28:00.344 --> 01:28:07.270]  The issue here is, people seem to confuse, I'm not even saying this is real or a threat, I'm saying it's a fraud and a hoax.
[01:28:07.710 --> 01:28:15.677]  Why then all the mass graves, the martial law preparations that I told people about months ago, it's now mainstream news, why level six?
[01:28:16.137 --> 01:28:19.800]  Why are they ordering hundreds of millions of dosages in the US alone and in Europe?
[01:28:20.321 --> 01:28:20.781]  Why?
[01:28:21.181 --> 01:28:22.903]  They're acting like this is the big one.
[01:28:23.123 --> 01:28:37.333]  So I'm saying the attack profile, the constellation of activities from government and media I'm seeing, tells me we better pay attention and we better worry about, not the flu, but what's in those inoculations.
[01:28:37.654 --> 01:28:39.635]  Well, that's exactly what I was going to say.
[01:28:39.655 --> 01:28:43.658]  It's the vaccinations that are going to be the dangerous element.
[01:28:43.678 --> 01:28:44.258]  Stay there.
[01:28:44.278 --> 01:28:44.619]  Stay there.
[01:28:45.179 --> 01:28:45.499]  Stay there.
[01:28:45.519 --> 01:28:46.800]  I'm going to come back to you on the other side.
[01:28:48.584 --> 01:28:52.688]  I'm gonna just sit down, shut up, give each caller one minute, including you, a minute more.
[01:28:53.529 --> 01:28:57.513]  Cheryl in France, then we'll talk to Chuck, Teresa, Ruth, David, and others.
[01:28:57.794 --> 01:28:58.735]  Call for a number to join us, 888-201-2244.
[01:28:58.755 --> 01:28:58.795]  888-201-2244.
[01:28:58.835 --> 01:29:00.056]  Stay with us.
[01:29:12.179 --> 01:29:16.143]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[01:29:16.423 --> 01:29:18.185]  Do you really know what's in your tap water?
[01:29:18.405 --> 01:29:26.693]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[01:29:26.934 --> 01:29:32.179]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[01:29:32.499 --> 01:29:34.121]  Now what are you going to do about it?
[01:29:34.341 --> 01:29:40.666]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[01:29:40.866 --> 01:29:51.615]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[01:29:51.915 --> 01:29:53.296]  That's right, clean water.
[01:29:53.596 --> 01:29:54.976]  Right from the air you breathe.
[01:29:55.236 --> 01:29:56.977]  Order today by calling 1-800-691-6043.
[01:29:56.997 --> 01:29:57.237]  That's 1-800-691-6043.
[01:29:57.297 --> 01:29:59.678]  Or visit A Cola Blue on the web at www.ecoloble.com today.
[01:29:59.878 --> 01:30:00.618]  That's A Cola Blue dot com.
[01:30:12.179 --> 01:30:13.260]  This is Alex Jones.
[01:30:13.561 --> 01:30:15.343]  Have you heard of the Millionaire Patriot?
[01:30:15.543 --> 01:30:16.204]  Well, you should.
[01:30:16.524 --> 01:30:20.789]  He has a free handgun and five days of firearms training waiting for you.
[01:30:21.029 --> 01:30:21.510]  That's right.
[01:30:21.830 --> 01:30:31.741]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit, all for pennies on the dollar.
[01:30:31.861 --> 01:30:33.003]  Plus, if you act fast,
[01:30:33.203 --> 01:30:38.827]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[01:30:39.167 --> 01:30:45.691]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[01:30:46.071 --> 01:30:51.275]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[01:30:51.595 --> 01:30:52.736]  This is real.
[01:30:53.056 --> 01:30:53.796]  Don't miss out.
[01:30:54.116 --> 01:31:00.981]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar.
[01:31:01.201 --> 01:31:02.462]  And get your free handgun.
[01:31:02.662 --> 01:31:04.824]  Go to FrontSight.com today.
[01:31:05.025 --> 01:31:08.508]  That's F-R-O-N-T-S-I-G-H-T dot com.
[01:31:08.728 --> 01:31:11.631]  Go to FrontSight.com for your training and free gun.
[01:31:12.912 --> 01:31:17.917]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:31:18.117 --> 01:31:21.921]  Number one, new climate legislation could easily double or triple your electric bill.
[01:31:22.141 --> 01:31:27.767]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:31:28.067 --> 01:31:32.912]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:31:33.112 --> 01:31:33.612]  Number 3.
[01:31:34.033 --> 01:31:39.477]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:31:39.657 --> 01:31:39.878]  Number 4.
[01:31:40.338 --> 01:31:42.980]  The hurricane and dangerous summer storm season is here again.
[01:31:43.220 --> 01:31:46.643]  Every year, thousands of families lose their power from weather-related outages.
[01:31:46.903 --> 01:31:47.103]  Number 5.
[01:31:47.744 --> 01:31:51.367]  A solar power generator provides powerful backup insurance and peace of mind.
[01:31:51.587 --> 01:31:57.089]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[01:31:57.329 --> 01:32:01.871]  You can get more information at www.mysolarbackup.com.
[01:32:02.011 --> 01:32:03.571]  That's mysolarbackup.com.
[01:32:03.791 --> 01:32:06.112]  Remember, the government doesn't own the sun yet.
[01:32:06.352 --> 01:32:08.993]  So go to mysolarbackup.com or call toll free 877-327-0365.
[01:32:12.947 --> 01:32:14.508]  Hello friends, this is Alex Jones.
[01:32:14.608 --> 01:32:19.269]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[01:32:19.349 --> 01:32:22.110]  We need to be independent, and food and water is the key.
[01:32:22.331 --> 01:32:25.192]  You'll never have to stand in a bread line if you have your own bread.
[01:32:25.372 --> 01:32:31.214]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[01:32:31.434 --> 01:32:34.376]  No one is going to take care of your family in the final equation but you.
[01:32:34.677 --> 01:32:41.582]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[01:32:41.662 --> 01:32:44.805]  And they do it at almost half the cost of last year's grocery prices.
[01:32:44.965 --> 01:32:46.846]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com.
[01:32:50.089 --> 01:32:56.156]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-scribed, and dehydrated foods they have to offer.
[01:32:56.356 --> 01:33:00.101]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[01:33:00.121 --> 01:33:01.462]  Again, 1-800-409-5633 or on the web at eFoodsDirect.com.
[01:33:01.482 --> 01:33:02.063]  Take action today.
[01:33:02.103 --> 01:33:03.925]  The first step is getting storable food.
[01:33:30.117 --> 01:33:31.718]  Monday through Friday from 11 a.m.
[01:33:31.738 --> 01:33:32.298]  to 3 p.m.
[01:33:32.338 --> 01:33:32.879]  Central Time.
[01:33:32.899 --> 01:33:34.039]  I got a live radio show.
[01:33:34.500 --> 01:33:35.821]  Come back Sundays 4 to 6 p.m.
[01:33:35.841 --> 01:33:36.881]  abbreviated transmission.
[01:33:37.361 --> 01:33:44.866]  And I'm sorry, I'm not talking about the big political distraction, the big political diversion of the Harvard professor arrested at his house.
[01:33:45.446 --> 01:33:48.508]  You know I have documented the Constitution's under attack.
[01:33:48.908 --> 01:33:51.170]  Many police forces are arrogant and out of control.
[01:33:52.831 --> 01:33:53.011]  But
[01:33:54.355 --> 01:33:56.076]  I know a lot of white guys.
[01:33:56.817 --> 01:34:03.140]  In fact, I know one of them this week that got arrested similarly in Round Rock, smarting off to cops, asking questions to him in his front yard.
[01:34:03.160 --> 01:34:07.923]  I know somebody else got arrested, smart mouthing a cop just a little bit at a traffic stop.
[01:34:08.464 --> 01:34:10.245]  And they just arrest you now, folks.
[01:34:10.265 --> 01:34:13.226]  They just taser you now, if you look at them crosswise.
[01:34:14.187 --> 01:34:18.590]  And it's this huge distraction now, and it energizes racial divisions.
[01:34:19.130 --> 01:34:22.092]  Last night, I watched Bill Maher.
[01:34:23.945 --> 01:34:31.945]  On HBO I was running on the treadmill, got home at 11pm, short Saturday work day, went in there and hit it for about an hour.
[01:34:34.448 --> 01:34:35.588]  Just watch that little bastard.
[01:34:35.829 --> 01:34:45.933]  I could do an entire show just on the way he twisted and reaffirmed the left-right paradigm and hyped up race in the name of fighting racism.
[01:34:46.473 --> 01:34:49.314]  They want us all fighting with each other while the bankers rule over us.
[01:34:49.855 --> 01:34:53.696]  And so that's why they love this issue with the cops and the black professor.
[01:34:53.916 --> 01:34:57.518]  I think the cops were spoiled brats and I think the guy was a spoiled brat.
[01:34:58.338 --> 01:35:00.019]  Who all had chips on their shoulders.
[01:35:00.319 --> 01:35:04.540]  The cops were going to let him know they were the boss, and he was going to let them know that he thought they were racist.
[01:35:04.881 --> 01:35:12.543]  Now, a racist neighbor may have called, because they saw a black guy going in a house, and I have no doubt that the crime of driving while black is a serious problem.
[01:35:12.583 --> 01:35:16.565]  Because I've seen it for myself, even growing up in Dallas.
[01:35:16.965 --> 01:35:21.207]  But, people call the cops on people they don't recognize everywhere now.
[01:35:21.567 --> 01:35:23.187]  It's a tattletale society.
[01:35:23.207 --> 01:35:26.469]  Look, side issue, we got a medical doctor on the line who wants to talk about
[01:35:27.831 --> 01:35:35.018]  Okay, my point is that we have to stay focused.
[01:35:35.558 --> 01:35:38.661]  I have a friend who was in the Iraq War, and he was a paramedic.
[01:35:38.821 --> 01:35:41.524]  And the doctor said, don't waste your time with those people.
[01:35:42.405 --> 01:35:45.407]  Just keep helping and working, and I'll tell you when to stop.
[01:35:45.848 --> 01:35:46.929]  And there's no more hope.
[01:35:47.329 --> 01:35:50.172]  So we have to have a plan of action.
[01:35:50.512 --> 01:35:53.615]  We have to convince everyone we know not to take the vaccine.
[01:35:58.658 --> 01:35:59.438]  We're good to go.
[01:36:16.667 --> 01:36:20.391]  Not drinking the water that comes out of the tap, especially when people are going to be sick.
[01:36:20.771 --> 01:36:24.035]  You know, that goes, recycles through the city water system.
[01:36:24.295 --> 01:36:34.485]  So we have to have, at the same time, our health kept up, and our line of action, and maybe we will see terrible things, but we can't freak out.
[01:36:34.565 --> 01:36:35.867]  We've got to stay focused.
[01:36:37.310 --> 01:36:38.451]  I hear you and God bless you.
[01:36:38.491 --> 01:36:39.653]  You made some great points.
[01:36:40.113 --> 01:36:44.999]  It's just as a father, as a radio broadcaster, I think one reason I have success is I'm real.
