[00:00:00.309 --> 00:00:04.473]  ["The Star-Spangled Banner"]
[01:08:34.261 --> 01:08:41.820]  Who are out there listing the point we're making about these different bubbles we've had in the past versus these new mega bubbles.
[01:08:42.810 --> 01:08:47.172]  All right, well, I mean, the easiest way for me to sum up exactly what the film is about is just to use an analogy.
[01:08:47.592 --> 01:08:54.876]  And that is, if you give an umpire $1,000 before he makes the play, what do you call that?
[01:08:55.356 --> 01:08:56.197]  You call that a bribe.
[01:08:56.697 --> 01:08:56.937]  Yes.
[01:08:57.297 --> 01:09:01.440]  If you give $1,000 to a judge right before he renders his verdict, what do you call that?
[01:09:01.840 --> 01:09:02.600]  You call it a bribe.
[01:09:03.040 --> 01:09:03.521]  Not anymore.
[01:09:03.561 --> 01:09:07.042]  They call it, here in Texas, they openly take the money stolen from the people.
[01:09:08.547 --> 01:09:09.588]  I would call it a bribe.
[01:09:10.209 --> 01:09:11.049]  I think most people would.
[01:09:23.363 --> 01:09:25.164]  You know, votes on your bill, what do you call that?
[01:09:25.384 --> 01:09:28.905]  It's not called a bribe, they call that a campaign contribution, and I think that's what you're getting at.
[01:09:30.085 --> 01:09:43.130]  It's just become absolutely acceptable for the people in Washington who are trying to leech off of and persuade others to vote on their particular legislation, whoever they work for, whatever the lobby is.
[01:09:43.770 --> 01:09:44.992]  Offshore corporations did.
[01:10:04.091 --> 01:10:04.712]  Yeah, exactly.
[01:10:04.752 --> 01:10:19.102]  So, you know, these are the people that are presenting us with the problem, and it's the corporations that really started out, as you see in the beginning of the film, about 200 or so years ago with Alexander Hamilton, who was our first Secretary of the Treasury.
[01:10:19.443 --> 01:10:27.889]  He decided that we needed to have a corporate system in the United States for the banking, and I forget exactly what they call it.
[01:10:27.929 --> 01:10:31.692]  It's, you know, the corporate, what was it called?
[01:10:32.877 --> 01:10:33.858]  Don't get me to lie.
[01:10:33.978 --> 01:10:34.518]  Watch the movie.
[01:10:34.838 --> 01:10:52.786]  But the point is that Alexander Hamilton, our Secretary of the Treasury, the guy who appears on the $10 bill, is responsible for setting up banking corporations in the United States for the purpose of keeping all of this money that is created through the generation of credit and issuance of credit in private hands.
[01:10:53.610 --> 01:10:55.270]  Take all that money out of private hands.
[01:10:55.691 --> 01:11:05.953]  Imagine, at the peak of our bubble, we were borrowing a billion dollars a day, a billion dollars a day from foreign investors to feed our credit habit.
[01:11:06.693 --> 01:11:18.996]  The money that was being made on top of the credit, the interest that's paid back, if we were to simply funnel that back into the treasury, back into our hands, the people's hands, who it belongs to in the first place,
[01:11:19.936 --> 01:11:21.837]  I don't think you'd see anybody paying taxes.
[01:11:22.077 --> 01:11:23.697]  You surely wouldn't see a federal deficit.
[01:11:24.438 --> 01:11:25.078]  No, absolutely.
[01:11:25.118 --> 01:11:32.020]  This fiat money, fractional reserve system, a lot of economists have argued it was done right, would actually empower the people.
[01:11:32.040 --> 01:11:34.321]  The problem is it's always going to be abused.
[01:11:34.761 --> 01:11:35.881]  It's always going to be used.
[01:11:37.342 --> 01:11:40.563]  The trade deficit alone is hundreds of billions of dollars a month now.
[01:11:41.083 --> 01:11:43.724]  And that's another form of fractional reserve manipulation.
[01:11:44.344 --> 01:11:47.926]  And that goes into the whole neo-mercantile model.
[01:11:47.946 --> 01:11:48.986]  But please continue.
[01:11:50.829 --> 01:11:55.758]  So, I think everybody gets the example there where we're talking about between a bribe and a financial contribution.
[01:11:55.778 --> 01:11:58.803]  And now they've stolen trillions of dollars.
[01:12:00.462 --> 01:12:01.542]  And they're going to keep doing it.
[01:12:01.722 --> 01:12:13.724]  And the purpose of this film is to bring all of these issues to light right now, because it is right at this moment when people can see the mask coming off of this monster that they will rise up and take action.
[01:12:14.104 --> 01:12:16.065]  It's not when they see their gun rights disappearing.
[01:12:16.105 --> 01:12:18.185]  It's not when they see their First Amendment rights disappearing.
[01:12:18.445 --> 01:12:20.586]  It's when they're affected by money, their pocketbooks.
[01:12:21.086 --> 01:12:21.306]  All right?
[01:12:21.366 --> 01:12:28.067]  So I think that this is a perfect opportunity for us to jump in there and get people motivated to take some action to make these changes that we're talking about.
[01:12:28.547 --> 01:12:39.657]  Well that's what Ron Paul keeps saying and what I keep saying is that the bankers are going to use the crisis they've engineered on record to bring in even more power and control for themselves as they're doing right now.
[01:12:40.318 --> 01:12:48.966]  So we are forced to point out they're the architects of all of this and hopefully use the crisis to kick them out of power instead of them getting more power.
[01:12:49.406 --> 01:12:51.127]  It's not like they're just going to get away with this.
[01:12:51.207 --> 01:12:59.373]  They are going for broke now because they know they've committed so many crimes already that this is going to be the mother of all corruptions.
[01:13:00.173 --> 01:13:02.194]  And so there's nothing they won't do.
[01:13:02.295 --> 01:13:03.715]  They are committed to their cause.
[01:13:04.016 --> 01:13:09.599]  They have pledged their names, their honor, their money, their treasure, their blood, their sweat, their souls on this.
[01:13:09.639 --> 01:13:10.400]  Their lack of honor.
[01:13:10.920 --> 01:13:11.560]  Absolutely.
[01:13:11.660 --> 01:13:21.725]  And then meanwhile, the public's drinking beer, still watching the football game, having no idea what we're in the clutches of and thinking, politicians are trying to fix it, Marge.
[01:13:22.185 --> 01:13:23.586]  No, they're not trying to fix it.
[01:13:24.006 --> 01:13:30.529]  They are like cockroaches when they've been sprayed with poison, fornicating like they know their time is short.
[01:13:30.829 --> 01:13:33.811]  They are going maximum corrupt right now.
[01:13:34.511 --> 01:13:38.073]  And we're going to see more and more fireworks from here on out.
[01:13:39.522 --> 01:13:42.745]  I don't think people understand what they've done with these bailouts.
[01:13:43.626 --> 01:13:49.230]  The $750,000 bailout, the very first one we passed, and then the second one, the $850 billion.
[01:13:50.411 --> 01:13:55.255]  Take that money and add that up, divide that by how many people in this country have a home mortgage.
[01:13:55.715 --> 01:13:59.642]  And you could pay off literally 90% of the home mortgages in this country.
[01:14:00.023 --> 01:14:09.158]  If they really wanted to put money back into the economy, give people an extra $1,000, $2,000 a month, they would have paid off their mortgage bills, not fed money into the banks that created the problem in the first place.
[01:14:11.104 --> 01:14:12.465]  William, I totally agree with you.
[01:14:13.025 --> 01:14:15.186]  Continue describing what the film goes through.
[01:14:15.206 --> 01:14:26.912]  I mean, if somebody gets Life on the Edge of a Bubble, Blowing the American Dream, because it covers a whole bunch of different subjects, really a wide spectrum analysis of how this scam works.
[01:14:27.606 --> 01:14:46.064]  Yeah, well, towards the end we do get into the Federal Reserve and we tell people how these things have connected, but really and truly I don't want to give too much away in the film because this is unlike anything I've ever done before where I typically will use horror, I will typically use scare tactics in a documentary to try and frighten people because I like horror movies and those are the kind of movies I like to make.
[01:14:46.084 --> 01:14:47.625]  Alright, but this is kind of a
[01:14:49.567 --> 01:14:53.170]  I'm bowing out from that and trying to create something a little more comical.
[01:14:53.570 --> 01:15:00.376]  This thing sets up certain situations and you think it's going in one direction and when we get there you realize that's not where we went.
[01:15:00.857 --> 01:15:01.517]  It's a great film.
[01:15:02.919 --> 01:15:09.905]  I hesitate to give away too many of the little secrets that are in there so that people will get a good entertainment quality out of it when they watch it.
[01:15:11.906 --> 01:15:23.150]  The clips alone, we researched over 750 different film reels from 1900 to now, grabbing up commercials and grabbing up footage that applies.
[01:15:25.011 --> 01:15:26.832]  For instance, some of the public
[01:15:27.632 --> 01:15:27.912]  Yes.
[01:15:46.702 --> 01:15:54.104]  Banking corporations started spiking the punch, and then everybody got really happy and crazy and thought nobody could lose money, housing prices will never go down.
[01:15:54.404 --> 01:15:57.465]  These are the lies that we bought into and believed, and of course they were totally false.
[01:15:57.485 --> 01:16:00.666]  If you look through history, every 20 years you find out it is false.
[01:16:01.166 --> 01:16:11.168]  And I can't believe that Alan Greenspan and some of these men in the positions that they're in can't look back over the last 200 years of our country's history and figure this out for themselves.
[01:16:11.188 --> 01:16:12.388]  Well, they know what they're doing.
[01:16:12.468 --> 01:16:14.169]  I mean, it's all premeditated, on record.
[01:16:15.632 --> 01:16:20.895]  Yeah, well, sometimes I wonder if they're in as much control as they actually think that they are.
[01:16:21.455 --> 01:16:28.999]  I mean, I know that they're out there manipulating and there's oftentimes that we can, you know, draw a direct correlation to something that they've done and blame them for it.
[01:16:29.420 --> 01:16:38.204]  But I think a lot of times we get caught up in this and we don't realize how much of a part we play in it just by, you know, letting Madison Avenue talk us into, you know, through their advertising.
[01:16:38.624 --> 01:16:44.368]  For instance, you know, going out and taking out an equity loan on our home to either fix it up or go buy another one to flip it later.
[01:16:45.208 --> 01:16:48.370]  And so many people that got this money spent it on crap at Walmart.
[01:16:48.711 --> 01:16:50.512]  Stuff they don't even know what they bought with it.
[01:16:51.533 --> 01:16:52.273]  Yeah, we're all guilty.
[01:16:52.334 --> 01:16:52.794]  I'm guilty.
[01:16:52.954 --> 01:16:53.655]  I mean, everybody's guilty.
[01:16:53.675 --> 01:16:55.136]  I know, it's a consumer society.
[01:16:55.156 --> 01:16:56.477]  It's like grazing.
[01:16:57.277 --> 01:17:07.125]  That's why I probably only go to Target or Academy around here maybe once or twice a year because I just load up the thing of t-shirts and fishing poles and ammo.
[01:17:07.685 --> 01:17:12.169]  I mean, I'm like a little kid in a sporting goods place.
[01:17:13.069 --> 01:17:21.996]  I'm just like snatching things, and then I get it and stick it in the garage, and there's like a giant pile of ammo, and I guess it's important to have, but what am I going to do with all this?
[01:17:22.016 --> 01:17:29.401]  I don't even have time to go out and shoot it, but that's less frivolous than most people, I mean the stuff people buy and fill their houses full of.
[01:17:29.841 --> 01:17:36.603]  Yeah, you don't want to turn me loose in an academy because, like I said, Coleman Lanterns and sleeping bags and all that stuff that they have in there.
[01:17:36.623 --> 01:17:39.564]  It just fascinates me and makes me whip that credit card.
[01:17:39.584 --> 01:17:40.105]  Are you kidding?
[01:17:40.405 --> 01:17:41.185]  Bow and arrows?
[01:17:41.245 --> 01:17:41.885]  BB guns?
[01:17:42.385 --> 01:17:43.486]  I have a small backyard.
[01:17:43.826 --> 01:17:48.687]  The neighbors are always looking over the fence at me BB gunning and pellet gunning and bow and arrow back there.
[01:17:48.767 --> 01:17:51.108]  It's certainly a lot of fun.
[01:17:51.808 --> 01:17:54.789]  I was just in an academy the other day because we lost all the arrows.
[01:17:55.670 --> 01:17:56.970]  My parents have three acres in town.
[01:17:57.010 --> 01:17:59.011]  I go over there and shoot them into the woods and end up losing them.
[01:17:59.830 --> 01:18:01.771]  My kids are quite the little Robin Hoods.
[01:18:03.012 --> 01:18:03.773]  Yeah, we were on our way in.
[01:18:03.793 --> 01:18:05.934]  It was all I could do to not stop at the Academy.
[01:18:06.134 --> 01:18:07.175]  We don't have them in Missouri.
[01:18:07.475 --> 01:18:08.836]  Oh, you saw Valhalla!
[01:18:09.397 --> 01:18:10.998]  Yes, absolutely.
[01:18:11.238 --> 01:18:16.241]  In fact, I'll be visiting Academy before I leave just to buy a little trinket and say I visited Academy while I was here.
[01:18:16.722 --> 01:18:20.504]  The only problem with Academy on the side issue is I bought one gun there.
[01:18:21.765 --> 01:18:23.206]  And I go in and the manager comes down.
[01:18:23.246 --> 01:18:24.047]  He goes, oh, I'm a big fan.
[01:18:24.087 --> 01:18:25.208]  I saw you on the surveillance camera.
[01:18:25.922 --> 01:18:30.187]  And then he, I bought the handgun, bought the ammo, and then he said, oh, I'm going to give it to you once you get to your car.
[01:18:30.207 --> 01:18:36.213]  And I think they were kind of scared of me, like I was going to grab the handgun and, you know, start like an old western in a saloon or something.
[01:18:36.514 --> 01:18:40.978]  But hell, Walmart writes your name down when you buy ammo now, so you can't buy ammo at Walmart.
[01:18:41.699 --> 01:18:42.400]  I didn't even know that.
[01:18:42.720 --> 01:18:44.402]  Well, they don't do it at Academy yet.
[01:18:44.682 --> 01:18:45.744]  So what do you want at Academy?
[01:18:46.952 --> 01:18:48.153]  I think I want a new Coleman Lanner.
[01:18:48.353 --> 01:18:58.578]  They brought back the old-fashioned, you know, pewter metal cap guns that are, like, heavy with a holster with the caps.
[01:18:58.978 --> 01:19:02.080]  And I'd say I got them for my son, but, you know, I've been playing with them.
[01:19:02.140 --> 01:19:02.440]  We know.
[01:19:02.600 --> 01:19:03.160]  We know.
[01:19:04.681 --> 01:19:05.241]  We know.
[01:19:06.582 --> 01:19:07.122]  I'm sorry.
[01:19:07.582 --> 01:19:08.343]  I'm having a little bit of fun.
[01:19:08.363 --> 01:19:09.243]  We need to get into the film.
[01:19:09.263 --> 01:19:11.224]  We'll get back and take some phone calls.
[01:19:11.284 --> 01:19:14.666]  Life on the edge of a bubble, blowing the American dream.
[01:19:16.260 --> 01:19:18.224]  And by the way, Academy, I just gave them one hell of an ad.
[01:19:19.005 --> 01:19:20.268]  One hell of a plug there.
[01:19:21.390 --> 01:19:23.254]  Actually, I've got to stay here tonight and work all night.
[01:19:23.274 --> 01:19:25.057]  I can't go home and get the bows and arrows out though.
[01:19:25.851 --> 01:19:26.432]  That sucks.
[01:19:26.752 --> 01:19:27.152]  It does.
[01:19:27.172 --> 01:19:32.156]  I tell you, it's enjoyable to sit in the backyard and sit there and shoot the target.
[01:19:32.677 --> 01:19:34.058]  We used to live out in the country.
[01:19:34.098 --> 01:19:36.160]  We were about 25 miles outside city limits.
[01:19:36.480 --> 01:19:37.561]  Tell me about it when we get back.
[01:19:37.641 --> 01:19:38.142]  Tell me about it.
[01:19:38.802 --> 01:19:42.185]  More than 700 chemicals have been found in our drinking water.
[01:19:42.305 --> 01:19:47.530]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[01:19:47.730 --> 01:19:52.414]  That's because many chemicals are inhaled when they evaporate and others are absorbed into the skin.
[01:19:52.654 --> 01:20:03.681]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[01:20:03.922 --> 01:20:09.485]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons, or one year, whichever comes first.
[01:20:09.665 --> 01:20:15.749]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[01:20:15.910 --> 01:20:16.550]  What about you?
[01:20:16.770 --> 01:20:21.373]  Order your KDF Shower Filter normally, $49 for a special price of only $39.99, with free shipping.
[01:20:22.534 --> 01:20:23.335]  We're good to go.
[01:20:38.451 --> 01:20:44.676]  On the average, Americans work between 45 to 50 years, hoping to build up enough wealth to retire and live out their golden years.
[01:20:45.137 --> 01:20:52.903]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[01:20:53.243 --> 01:21:01.130]  Is this a flaw-free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt, ensuring inflation and higher taxes?
[01:21:01.430 --> 01:21:06.174]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[01:21:06.494 --> 01:21:11.200]  Congressman Ron Paul states it's what every American needs to know about central bank power.
[01:21:11.720 --> 01:21:15.585]  A gripping adventure into the secret world of international banking cartel.
[01:21:16.065 --> 01:21:17.086]  Hi, this is Ted Anderson.
[01:21:17.166 --> 01:21:21.251]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[01:21:21.672 --> 01:21:23.053]  Call 1-800-686-2237 and order a copy today.
[01:21:26.557 --> 01:21:29.119]  It's critical that the public be made aware of the system.
[01:21:29.539 --> 01:21:32.121]  Call and order your copy today at 1-800-686-2237.
[01:21:33.441 --> 01:21:34.762]  That's 1-800-686-2237.
[01:21:34.802 --> 01:21:39.485]  It is a big idea.
[01:21:39.505 --> 01:21:41.606]  A new world order.
[01:21:42.327 --> 01:21:46.770]  In the near future, Earth is dominated by a powerful world government.
[01:21:47.210 --> 01:21:48.971]  It's known as the Bilderberg Group.
[01:21:50.052 --> 01:21:52.313]  Could their objective be world domination?
[01:21:52.833 --> 01:21:55.235]  For thousands of years, their dark order grew.
[01:21:55.994 --> 01:22:03.331]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:22:06.348 --> 01:22:11.332]  For the first time in history, the elite's plan for world government is blown wide open.
[01:22:11.792 --> 01:22:15.275]  You will learn the secret that drives the entire New World Order agenda.
[01:22:15.655 --> 01:22:18.137]  Bill Burgess makes great progress toward a world government.
[01:22:18.237 --> 01:22:19.378]  Most people have no idea.
[01:22:19.398 --> 01:22:20.159]  They're not after money.
[01:22:20.179 --> 01:22:21.259]  They have all the money they need.
[01:22:21.460 --> 01:22:22.180]  They're after power.
[01:22:22.440 --> 01:22:23.301]  That's their aphrodisiac.
[01:22:23.601 --> 01:22:28.125]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[01:22:28.345 --> 01:22:31.848]  Or watch it online right now at PrisonPlanet.tv.
[01:22:32.308 --> 01:22:32.688]  In Game.
[01:22:33.069 --> 01:22:34.710]  Blueprint for global enslavement.
[01:22:35.110 --> 01:22:36.151]  You have been warned.
[01:22:37.057 --> 01:22:40.899]  Are you concerned about the current strain of influenza spreading across the U.S.?
[01:22:41.179 --> 01:22:46.382]  At the rate this new virus is spreading, it's not a matter of if, but when it will affect each and every American.
[01:22:46.622 --> 01:22:54.866]  This virus is comprised of extracted DNA from the Spanish flu and has combined itself with the bird and swine flu, making it very contagious and deadly.
[01:22:55.066 --> 01:23:00.328]  The Center for Disease Control has made it clear that there are no vaccinations available to treat this new threat.
[01:23:00.569 --> 01:23:02.630]  What can you do to help protect your family?
[01:23:02.890 --> 01:23:03.490]  You need to visit
[01:23:03.610 --> 01:23:04.731]  We're good to go!
[01:23:35.990 --> 01:23:40.235]  We're good.
[01:23:57.421 --> 01:24:00.524]  Your call's coming up in the next segment at 1-800-259-9231.
[01:24:00.544 --> 01:24:01.605]  1-800-259-9231.
[01:24:01.806 --> 01:24:08.853]  I am Alex Jones, your host, and I'm glad you're here with us today.
[01:24:09.434 --> 01:24:14.559]  MHL, Eric, Chris, Brian, who disagrees, will go to the head of the line.
[01:24:15.020 --> 01:24:16.802]  John and others, your calls are coming up.
[01:24:18.303 --> 01:24:20.765]  And the film is Life on the Edge of a Bubble.
[01:24:21.026 --> 01:24:23.228]  Now, I want to hear about the concentration camp film.
[01:24:23.748 --> 01:24:27.832]  You're here in town to interview me for this, and you're interviewing a representative guest and others.
[01:24:27.872 --> 01:24:28.672]  Very, very exciting.
[01:24:29.813 --> 01:24:32.836]  I actually pulled my concentration camp files.
[01:24:32.876 --> 01:24:34.197]  I'd be happy to share them with you.
[01:24:34.298 --> 01:24:37.160]  I know you guys probably have more research than I have, but I have extensive files.
[01:24:37.741 --> 01:24:39.662]  You could probably go interview the state rep.
[01:24:39.682 --> 01:24:44.367]  There's also a city councilman in Oregon where the feds came in and showed them they were building a camp.
[01:24:44.947 --> 01:24:52.450]  So, and that was first in NBC locally there, and then we contacted them on the Oregon-Washington border, and we interviewed that guy.
[01:24:52.510 --> 01:24:59.113]  So there's actually a lot of folks I can put you on to dealing with FEMA camps, because we need to counter Glenn Beck.
[01:24:59.153 --> 01:25:03.635]  And I saw on the trailer for the FEMA camp film that it looks like you're going to go after Glenn Beck.
[01:25:03.835 --> 01:25:04.135]  Oh yeah.
[01:25:04.275 --> 01:25:08.297]  So I want to respond directly to Beck, and I guess that's why you're here.
[01:25:08.337 --> 01:25:10.078]  Do you want me to, like, break that down?
[01:25:10.438 --> 01:25:11.398]  Yeah, we're going to talk about all that.
[01:25:11.479 --> 01:25:19.923]  Okay, well I look forward to doing that and give you as much time as I can with the schedule, but I can probably give you guys more than an hour than what I originally said, because this is important.
[01:25:20.423 --> 01:25:21.803]  Let's right now talk about the film.
[01:25:23.064 --> 01:25:25.545]  Not the new film people can get right now, but the film coming out.
[01:25:25.625 --> 01:25:26.986]  When does this film come out?
[01:25:27.886 --> 01:25:30.828]  We'll probably be in production for about three, three and a half months.
[01:25:31.268 --> 01:25:33.029]  So, about fall.
[01:25:33.669 --> 01:25:34.189]  Right around in there.
[01:25:34.269 --> 01:25:35.050]  Just right before Christmas.
[01:25:35.831 --> 01:25:36.892]  October, November.
[01:25:37.192 --> 01:25:38.193]  Yeah, as soon as possible.
[01:25:38.954 --> 01:25:42.998]  Honestly, some of these projects take two years to put together.
[01:25:43.018 --> 01:25:43.358]  No, I know.
[01:25:43.378 --> 01:25:49.284]  I meant to already have another Obama film out about the whole banking agenda and I just get stuck because there's so much evidence.
[01:25:49.324 --> 01:25:50.605]  I keep hoarding more and more.
[01:25:52.487 --> 01:25:56.170]  Well, we're going to sort through this information and I think this is going to be a
[01:25:57.111 --> 01:26:03.700]  This is going to be getting back to, I hate to say conspiracy, but this is going to be getting back to the roots of things that I like to cover.
[01:26:04.001 --> 01:26:09.809]  And these are some things that you woke me up to 10 years ago listening to you on the radio.
[01:26:09.909 --> 01:26:13.834]  So these are things that I'm excited to actually expose to people now because we noticed
[01:26:14.295 --> 01:26:17.137]  You know, there's really not any good documentaries out there on FEMA camps.
[01:26:17.277 --> 01:26:25.821]  Nobody's got the legislation, no one's presenting any guest of your caliber being able to cohesively talk about these issues.
[01:26:26.321 --> 01:26:37.928]  And this is what we want to do, is put together a documentary that explains all of this about FEMA camps, why they're being hidden from the American people, why the legislation is not out there in the media, it's why it's not being talked about.
[01:26:39.408 --> 01:26:48.936]  Well, I'll tell you why I love this, William.
[01:26:49.957 --> 01:26:59.304]  It's great to be able to be in your film, because Aaron Russo called me over and over again for me to be in American Freedom from Fascism, and I was busy doing my other stuff and told him no.
[01:27:00.365 --> 01:27:02.368]  And I wish I'd have done it, because it was such a prolific film.
[01:27:02.808 --> 01:27:04.530]  And I knew Aaron had liked him and promoted his film.
[01:27:04.570 --> 01:27:05.351]  I was just too busy.
[01:27:05.911 --> 01:27:12.819]  I've learned, though, it's better to be in somebody else's film, because then you can do all the work, and I get to see the great, you know, end result and see it wake people up.
[01:27:13.200 --> 01:27:15.602]  So I'm very happy, and I actually had him pull all the files.
[01:27:16.043 --> 01:27:19.046]  I can just give you the full, you know, take.
[01:27:19.907 --> 01:27:22.588]  Absolutely documenting FEMA camps today.
[01:27:22.968 --> 01:27:23.928]  So I'm really looking forward to that.
[01:27:23.968 --> 01:27:26.489]  I'm looking forward to being able to offer that to the listeners.
[01:27:26.509 --> 01:27:28.890]  So I'm honored that you wanted to include me in the film.
[01:27:31.751 --> 01:27:32.651]  Tell us how you woke up.
[01:27:32.671 --> 01:27:34.032]  You're saying you woke up from my show?
[01:27:34.592 --> 01:27:35.792]  Yeah, we've discussed this before.
[01:27:35.812 --> 01:27:36.413]  I'd forgotten.
[01:27:36.453 --> 01:27:36.853]  I just found it.
[01:27:37.073 --> 01:27:45.776]  Yeah, it's just, I don't know, ten years ago approximately, I was a graphic designer designing CD covers and working with
[01:27:46.896 --> 01:27:57.084]  I can Tina Turner and some of these really old blues people, and during the day when I was sitting there designing the covers or producing or whatever, your program's what I was listening to, you know?
[01:27:57.144 --> 01:27:59.606]  Just pull up the archives and listen to them on the computer.
[01:28:00.247 --> 01:28:14.719]  And I still think that that is, you know, a completely untapped resource, that there could be more people out there having their own independent media to help get the word out, but, you know, I don't think anybody's going to be able to compete with your, you know... Oh, no, I want them to, but...
[01:28:15.519 --> 01:28:23.866]  But listen, that's the great part about all this, is another testament to somebody that I reached out to, that we woke up, and then think of the millions you've woken up.
[01:28:24.306 --> 01:28:31.412]  Any idea on the 5, 6, 7 films, I forget, Beyond Trees and all of it, that you produced or you directed?
[01:28:31.752 --> 01:28:33.133]  How many millions you reached?
[01:28:33.193 --> 01:28:35.375]  I mean, it's... There's no way to ever know that.
[01:28:35.895 --> 01:28:37.837]  Some of your films have aired on TV all over the world.
[01:28:38.624 --> 01:28:39.725]  Yeah.
[01:28:40.105 --> 01:28:45.808]  In fact, Life on the Edge of a Bubble, you can probably watch that in about 3-4 months on Free Speech TV.
[01:28:46.729 --> 01:28:50.531]  We have a screening coming up tonight at Brave New Books.
[01:28:50.891 --> 01:28:51.512]  Do you know the address?
[01:28:52.684 --> 01:28:56.227]  It's just down at the start of the drag on Guadalupe Street.
[01:28:56.627 --> 01:28:58.669]  Yeah, that'll be tonight at 8 p.m.
[01:28:58.689 --> 01:29:00.730]  at Brave New Books if you want to come out and watch it there.
[01:29:01.611 --> 01:29:04.293]  We won a film festival, the Indie Fest.
[01:29:04.853 --> 01:29:08.336]  I don't know when that's going to be yet, but we also have another screening coming up.
[01:29:08.356 --> 01:29:09.377]  It's a pretty big one in St.
[01:29:09.417 --> 01:29:10.217]  Louis next month.
[01:29:10.578 --> 01:29:13.540]  I'll try to get all the information and put it up on the website or something if people want to go.
[01:29:13.880 --> 01:29:14.080]  Good.
[01:29:14.720 --> 01:29:21.302]  In fact, Paul Hartman was just telling me the address in my ear, but I couldn't hear it over you, so we'll come back at folks at address for the showing tonight.
[01:29:21.622 --> 01:29:22.842]  Life on the edge of a bubble.
[01:29:23.103 --> 01:29:23.883]  He took action.
[01:29:24.143 --> 01:29:24.903]  He got involved.
[01:29:25.183 --> 01:29:27.024]  He's reached tens of millions conservatively.
[01:29:27.364 --> 01:29:28.044]  You can too.
[01:29:28.684 --> 01:29:29.584]  We're on the march.
[01:29:30.064 --> 01:29:31.665]  The empire's on the run.
[01:29:32.605 --> 01:29:35.286]  Alex Jones and the GCN Radio Network.
[01:29:38.584 --> 01:29:43.891]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[01:29:44.432 --> 01:29:52.823]  Check out supernaturalsilver.com today, or visit the link on infowars.com to find out more about this incredible new silver compound.
[01:29:53.023 --> 01:29:55.366]  The new silver solution is a natural antibiotic.
[01:29:55.526 --> 01:29:59.770]  That is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[01:30:00.110 --> 01:30:05.635]  This new technology has proven itself to be a formidable weapon against bio threats of today and tomorrow.
[01:30:05.875 --> 01:30:11.860]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[01:30:12.200 --> 01:30:18.426]  The new silver solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[01:30:18.826 --> 01:30:23.211]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[01:30:23.491 --> 01:30:26.514]  Check out the patented new silver solution today.
[01:30:26.854 --> 01:30:30.158]  Click on the link and check out the uses for new silver solution.
[01:30:30.558 --> 01:30:35.223]  Order this extra line of defense today by going to SupernaturalSilver.com.
[01:30:35.363 --> 01:30:37.485]  That's SupernaturalSilver.com today.
[01:30:38.146 --> 01:30:43.711]  This is Alex Jones, and I want to tell you again about a company that has supported us in the truth movement for years.
[01:30:43.991 --> 01:30:45.172]  Inner Health Botanicals.
[01:30:45.292 --> 01:30:49.255]  This company produces the highest quality superfood around, called Inner Food.
[01:30:49.575 --> 01:30:51.137]  My wife just loves the stuff.
[01:30:51.437 --> 01:30:57.742]  And now, the health ranger Mike Adams has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[01:30:58.863 --> 01:31:01.424]  Inner Food is loaded with 20 great organic ingredients.
[01:31:01.744 --> 01:31:03.225]  No fillers, no sweeteners.
[01:31:03.485 --> 01:31:06.266]  It would be impossible to blend this up for a better price.
[01:31:06.486 --> 01:31:07.927]  And their formula really works.
[01:31:08.207 --> 01:31:10.748]  This is the real thing for the great health you need.
[01:31:11.028 --> 01:31:12.289]  Try the NutriCafe.
[01:31:12.509 --> 01:31:16.911]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[01:31:17.271 --> 01:31:19.472]  A truly healthy coffee that tastes great.
[01:31:19.692 --> 01:31:21.953]  And take it from me folks, it really does taste great.
[01:31:22.153 --> 01:31:23.914]  Don't forget to try their other great products.
[01:31:24.254 --> 01:31:25.374]  Go to www.
[01:31:27.276 --> 01:31:29.578]  We're good to go.
[01:31:38.567 --> 01:31:41.489]  Have you ever thought about what's in your shampoo, soap, or detergent?
