[00:00:00.141 --> 00:00:00.588]  I'm scumming.
[03:01:26.315 --> 03:01:27.955]  Gold and silver have never been worth nothing.
[03:01:27.975 --> 03:01:30.416]  So, it's definitely a good place to... That's right.
[03:01:30.456 --> 03:01:34.197]  It may go down at some point, but it always, over time, just goes up as they inflate the currency.
[03:01:34.497 --> 03:01:36.338]  Daryl Rondas, thank you so much for joining us.
[03:01:36.687 --> 03:01:38.948]  Hey, God bless you, and hey guys, write that check.
[03:01:39.028 --> 03:01:40.829]  Call up and donate to the Money Bomb.
[03:01:40.989 --> 03:01:46.792]  Alex could use all your help and all your support, and believe me, every penny you donate will be put to good use.
[03:01:46.852 --> 03:01:47.913]  No two ways about it, folks.
[03:01:48.273 --> 03:01:49.254]  Absolutely.
[03:01:49.354 --> 03:01:49.694]  Take care.
[03:01:50.134 --> 03:01:50.734]  Thank you, Daryl.
[03:01:51.275 --> 03:01:52.235]  Absolutely, folks.
[03:01:52.495 --> 03:01:59.179]  Yeah, to be clear, I take some of the money from video sales and advertising, and that's what I support myself with.
[03:02:00.014 --> 03:02:02.016]  And frankly, all my possessions are big hassles.
[03:02:02.076 --> 03:02:04.478]  A car, a house, water heaters breaking.
[03:02:04.538 --> 03:02:06.579]  I wish I lived in a giant tent in the woods.
[03:02:06.619 --> 03:02:07.780]  Believe me, I'm an outdoorsman.
[03:02:08.261 --> 03:02:09.522]  People say, well, what's this money go to?
[03:02:09.962 --> 03:02:15.106]  I take the money that comes out of the money bomb and I look at equipment and buildings and people and I go, okay, hire them!
[03:02:16.087 --> 03:02:17.268]  And that's what's going to happen.
[03:02:18.309 --> 03:02:21.892]  And it means a lot of hours here with me with new people telling them what I want and trying to train them.
[03:02:24.874 --> 03:02:28.055]  If it's a new employee and they start saying they want to carry out terror attacks, we know it's the Fed.
[03:02:28.075 --> 03:02:29.095]  We've got to kick them out of here.
[03:02:29.135 --> 03:02:29.876]  That's how it works.
[03:02:30.996 --> 03:02:32.136]  I don't enjoy hiring new people.
[03:02:32.176 --> 03:02:32.816]  It's never fun.
[03:02:32.856 --> 03:02:34.937]  But yeah, we're going to do it.
[03:02:35.937 --> 03:02:36.817]  It's a labor of love.
[03:02:37.798 --> 03:02:39.198]  InfoWars Money Bomb, going right now.
[03:02:39.238 --> 03:02:40.479]  In fact, can you call Mike in here?
[03:02:41.179 --> 03:02:45.240]  Or somebody, can you tell me it was $135,000 about 45 minutes ago.
[03:02:45.360 --> 03:02:48.421]  I want to see if it's still coming in or how it's going.
[03:02:48.441 --> 03:02:50.001]  888-201-2244 to call and make a donation.
[03:02:54.915 --> 03:02:56.416]  So another 9,000 came in.
[03:02:57.216 --> 03:02:58.257]  So 9,000 just came in.
[03:02:58.817 --> 03:02:59.817]  Put it on the board, baby!
[03:02:59.977 --> 03:03:00.418]  Ha ha!
[03:03:00.858 --> 03:03:01.618]  That is exciting.
[03:03:01.958 --> 03:03:05.620]  At that rate, let's say we keep raising, what is it, about $10,000 an hour?
[03:03:05.800 --> 03:03:11.923]  Let's say $8,000 until tomorrow at 11 a.m.
[03:03:11.943 --> 03:03:13.564]  You know, it'll slow down overnight and all that.
[03:03:14.644 --> 03:03:15.025]  Will we make $250,000?
[03:03:15.105 --> 03:03:15.545]  I don't think so.
[03:03:18.789 --> 03:03:19.910]  Also, as I'm saying, we're doing great.
[03:03:19.930 --> 03:03:20.250]  We're not.
[03:03:20.270 --> 03:03:20.950]  We're not doing great.
[03:03:21.231 --> 03:03:22.652]  Folks, be sure and donate.
[03:03:22.672 --> 03:03:23.132]  888-201-2244.
[03:03:23.252 --> 03:03:28.355]  And people will be here until 1 o'clock tonight or Infowarsmoneybomb.com.
[03:03:28.776 --> 03:03:30.717]  And we can keep giving over the next few days as well.
[03:03:30.737 --> 03:03:31.798]  The biggest thing is spread the word.
[03:03:32.018 --> 03:03:38.062]  Guys, we've got to get that email out to people as soon as the show ends.
[03:03:39.923 --> 03:03:41.244]  Be just short of $250 at that rate.
[03:03:44.707 --> 03:03:45.528]  Hey Alex, how are you doing?
[03:03:45.548 --> 03:03:46.329]  How are you doing?
[03:04:03.064 --> 03:04:06.787]  I just want to say it's great that you're putting out this message.
[03:04:06.947 --> 03:04:11.811]  I'm friendly behind you and it's unfortunate because I try to spread it.
[03:04:11.911 --> 03:04:16.215]  I go to high school over here and it seems like a lot of people seem to resist the info.
[03:04:16.255 --> 03:04:17.496]  They just don't want to hear it.
[03:04:19.477 --> 03:04:23.059]  Yeah, but if you tried to tell them about the Magna Carta of 1215, they'd resist it.
[03:04:23.579 --> 03:04:29.422]  I mean, if you were talking about the coolest skateboards, or the coolest tattoos, or the coolest iPhone app, they would.
[03:04:29.722 --> 03:04:34.585]  They've just been trained to not... They go about their life like they flip a light switch, power comes on.
[03:04:34.605 --> 03:04:37.286]  They go to the store, there's red stuff called meat that tastes good.
[03:04:37.566 --> 03:04:48.292]  They don't think about how it was produced, the cow, you know, the breeding, the whole... They don't think about power plants, and systems, and the planet, and where everything comes from, and how things interconnect.
[03:04:48.792 --> 03:04:49.912]  Those people don't count.
[03:04:49.932 --> 03:04:53.413]  I mean, you can plant a seed, later they may wake up years down the road.
[03:04:53.694 --> 03:04:54.954]  And that tends to happen.
[03:04:55.214 --> 03:04:56.654]  You want to find those that do care.
[03:04:57.835 --> 03:05:02.156]  Yeah, it's just, yeah, like, it's great because, you know, I do try to talk about it quite a bit.
[03:05:02.536 --> 03:05:08.098]  And, you know, it's great to see, like, some of my friends actually waking up and doing some of their own research and, you know, actually find out what the truth is.
[03:05:09.438 --> 03:05:10.179]  God bless you, sir.
[03:05:10.239 --> 03:05:11.479]  I really appreciate your call.
[03:05:11.499 --> 03:05:13.059]  Let's talk to Tom in New York.
[03:05:13.520 --> 03:05:14.320]  Tom, you're on the air.
[03:05:14.420 --> 03:05:14.740]  Welcome.
[03:05:19.793 --> 03:05:20.473]  Hey, Tom, you there?
[03:05:20.493 --> 03:05:24.415]  I can hear... Okay, Tom's there now.
[03:05:24.475 --> 03:05:25.175]  Tom, go ahead, sir.
[03:05:27.656 --> 03:05:28.696]  Um, I'm not Tom.
[03:05:29.856 --> 03:05:31.197]  Okay, Nick in Ontario.
[03:05:31.277 --> 03:05:33.978]  It says Tom on my screen, but okay.
[03:05:34.058 --> 03:05:34.818]  Nick in Ontario.
[03:05:34.838 --> 03:05:35.318]  Go ahead, sir.
[03:05:35.338 --> 03:05:40.060]  Okay, he... Hello?
[03:05:41.901 --> 03:05:42.261]  Hello?
[03:05:43.521 --> 03:05:44.762]  Tom in... Tom in... I'm gonna try it again.
[03:05:44.822 --> 03:05:45.422]  Tom in New York.
[03:05:46.593 --> 03:05:47.534]  Anybody there?
[03:05:47.554 --> 03:05:47.994]  Let him go.
[03:05:48.014 --> 03:05:49.075]  Go ahead and let him go.
[03:05:49.275 --> 03:05:50.617]  I don't like this phone system, guys.
[03:05:50.657 --> 03:05:51.617]  It's just endless trouble.
[03:05:51.958 --> 03:05:56.361]  I know it's all fun to be on the internet using phones and stuff, but we're going to get phone lines in here.
[03:05:56.381 --> 03:05:57.362]  It's going to happen.
[03:05:58.703 --> 03:06:03.027]  It's like I'm ignored about this, though, because I really want to go with regular phone lines.
[03:06:03.568 --> 03:06:05.289]  That absolutely is what I want.
[03:06:05.950 --> 03:06:07.251]  I'll just call the phone company myself.
[03:06:07.931 --> 03:06:11.514]  I'm going to try this again because I really can't hear you when you're talking to me in there.
[03:06:11.534 --> 03:06:12.075]  Who's up next?
[03:06:14.281 --> 03:06:15.282]  Morgan in Montana.
[03:06:15.322 --> 03:06:16.162]  Morgan, you're on the air.
[03:06:16.182 --> 03:06:16.602]  Go ahead.
[03:06:17.603 --> 03:06:20.764]  Alright, I finally got on after like an hour and thirty minutes.
[03:06:21.065 --> 03:06:21.725]  I'm not kidding.
[03:06:21.745 --> 03:06:24.706]  Thanks for taking my call.
[03:06:25.007 --> 03:06:25.347]  Thank you.
[03:06:26.207 --> 03:06:27.208]  Thanks for taking my call.
[03:06:27.248 --> 03:06:32.210]  I'm a first-time caller, although I feel like I know you a little bit.
[03:06:32.250 --> 03:06:34.972]  I've been listening to you for about a year now.
[03:06:35.092 --> 03:06:39.334]  My wife reminds me when you're on TV on Sundays on the public channel.
[03:06:40.534 --> 03:06:40.935]  Oh, really?
[03:06:41.015 --> 03:06:43.056]  I'm on in your local town on AXS TV?
[03:06:44.661 --> 03:06:50.522]  You know, I forget the amazing power of AXS TV, which they're trying to shut down.
[03:06:50.542 --> 03:06:53.363]  They've shut down about half of them, but they're still everywhere, folks.
[03:06:53.623 --> 03:06:53.923]  Use them!
[03:06:54.383 --> 03:06:54.703]  Awesome!
[03:06:54.743 --> 03:06:55.183]  Keep going.
[03:06:56.043 --> 03:06:57.703]  You can only imagine.
[03:06:58.203 --> 03:06:59.344]  Well, I don't know where to start.
[03:06:59.404 --> 03:07:01.144]  I have a few questions.
[03:07:01.224 --> 03:07:03.144]  If you can answer them, that would be fantastic.
[03:07:03.204 --> 03:07:05.165]  Go ahead.
[03:07:05.185 --> 03:07:08.145]  First of all, I commend you for your work.
[03:07:08.205 --> 03:07:11.286]  I think if you continue to follow... if you continue to...
[03:07:13.041 --> 03:07:15.483]  You know, uh, follow your convictions for the truth.
[03:07:16.224 --> 03:07:22.850]  Um, the Lord will definitely, uh, you know, uh, will make you succeed.
[03:07:22.870 --> 03:07:24.011]  Well, not just succeeding.
[03:07:24.112 --> 03:07:26.534]  I wouldn't be alive right now if I wasn't being protected by God.
[03:07:26.554 --> 03:07:28.015]  There's no doubt that's what's going on.
[03:07:28.976 --> 03:07:29.537]  Absolutely.
[03:07:29.817 --> 03:07:32.139]  And the fool has said in his heart there is no God.
[03:07:32.479 --> 03:07:34.341]  There are no atheists in foxholes, but go ahead.
[03:07:35.222 --> 03:07:36.683]  In the fruit of your words, you know.
[03:07:37.164 --> 03:07:38.165]  And so, anyhow, uh,
[03:07:39.198 --> 03:07:46.180]  I'd like to give you, first of all, just a little bit of words of encouragement, because I know that we all can use that.
[03:07:46.740 --> 03:08:00.383]  I was talking with a doctor friend of mine out of Great Falls, Montana, and I was visiting him and just doing a sales call, and he asked me if I had ever seen the Obama deception, which was the wrong thing to ask me, because
[03:08:01.039 --> 03:08:10.568]  I'm not kidding!
[03:08:11.449 --> 03:08:18.415]  I've been going to Port Aransas every summer ever since I was a little kid and my daddy did it and his daddy did it and I go down there fishing and stuff.
[03:08:19.056 --> 03:08:23.120]  I mean now every restaurant I went to, fans, there could be 10 people in the restaurant.
[03:08:23.840 --> 03:08:34.522]  Not from Austin, from, you know, Minnesota coming down there, and Houston, and I'd be driving down the beach on a rented golf cart with my kids, and pass cars, and, Alex, Alex, Alex!
[03:08:34.842 --> 03:08:42.864]  And I'm like, and everywhere I go, it's just all over the... Sir, we have really reached a lot of people, and that's what I'm saying.
[03:08:43.424 --> 03:08:44.904]  Imagine how many people we've already reached.
[03:08:44.964 --> 03:08:50.385]  If I double what we're reaching in the next year, if we get enough money in the money bomb to fund it, can you imagine the effect?
[03:08:52.023 --> 03:08:57.327]  Oh yeah, but he didn't know who you were, he didn't know who actually produced it.
[03:08:57.707 --> 03:08:59.648]  No, no, no, I know, exactly, exactly.
[03:09:00.209 --> 03:09:04.092]  I've heard people talking about my films in other cities when they don't know I made them.
[03:09:04.192 --> 03:09:06.453]  Sorry, go ahead.
[03:09:06.673 --> 03:09:13.798]  Anyhow, I mean, in Great Falls, Montana, people are, you know, the word's getting out, so I commend you on that.
[03:09:15.407 --> 03:09:16.728]  No, I commend you.
[03:09:16.748 --> 03:09:17.688]  I commend you.
[03:09:17.708 --> 03:09:20.829]  It is you that is fighting the new order.
[03:09:20.869 --> 03:09:22.430]  It is you that is changing the world.
[03:09:22.610 --> 03:09:24.411]  It is not the globalists that will determine it.
[03:09:24.531 --> 03:09:26.111]  It is we the people.
[03:09:26.491 --> 03:09:27.212]  You!
[03:09:35.842 --> 03:09:45.028]  I did a little, you know, of course, research on my own, you know, the World Health Organization, CFR, the Bilderberg Group, you know, and they're trying to link them together.
[03:09:46.329 --> 03:09:57.236]  One of your past scholarly interviews mentioned that he did a recog and called Hannity, and I freaking said, I was on the phone, are you there still?
[03:09:57.676 --> 03:09:58.576]  Yes, I am.
[03:09:59.257 --> 03:10:02.419]  I was on the phone, I finally got into Hannity, who
[03:10:03.365 --> 03:10:07.027]  Probably, you're probably, but almost, it's probably harder to get a hold of.
[03:10:07.047 --> 03:10:08.988]  Um, and I finally got on there.
[03:10:09.008 --> 03:10:10.189]  I had to pretend I was a liberal.
[03:10:10.830 --> 03:10:12.330]  You have to basically be a liberal.
[03:10:12.350 --> 03:10:13.391]  They ask you, are you a liberal?
[03:10:13.411 --> 03:10:16.073]  And I'm like, oh yeah, hey, what's going on, you know?
[03:10:16.113 --> 03:10:22.316]  And so I finally, I asked, you know, what do you know, what can you tell me about the Bill de Burgh group?
[03:10:22.617 --> 03:10:23.697]  Why do you keep denying it?
[03:10:24.778 --> 03:10:29.721]  And he freaking, in his background, you know, uh, voice, kook, kook.
[03:10:30.281 --> 03:10:31.222]  I'm like, look,
[03:10:32.116 --> 03:10:33.637]  Why are you lying?
[03:10:34.297 --> 03:10:37.458]  I mean, you can go online and look.
[03:10:37.878 --> 03:10:45.300]  He looks stupid now because it's in Politico and CBS News and everywhere that they are running the planet, but they go, well, they're smart, they need to run it.
[03:10:45.660 --> 03:10:49.582]  They've gone from none of it exists to, well, of course it exists, we need to run things.
[03:10:50.202 --> 03:10:51.162]  So very, very exciting.
[03:10:51.202 --> 03:10:53.363]  Anything else there, Morgan in Montana?
[03:10:54.144 --> 03:10:55.265]  Tell me with regards to 911.
[03:11:09.679 --> 03:11:16.163]  What was the single most important fact that opened your eyes and said, there's no doubt?
[03:11:16.183 --> 03:11:16.983]  For me it was Building 7.
[03:11:19.044 --> 03:11:25.108]  Okay, I'll tell you how six months before 9-11 I went on air and said they're going to stage terror attacks in the U.S.
[03:11:25.628 --> 03:11:26.949]  and set up Homeland Security.
[03:11:27.409 --> 03:11:28.169]  You know how I knew that?
[03:11:28.750 --> 03:11:36.314]  I was reading Army documents on air where they said we're going to have terror attacks and a NORTHCOM that Clinton has proposed years ago will be set up
[03:11:37.390 --> 03:11:40.973]  And then I saw them going, here's Bin Laden on the news, he's going to get you.
[03:11:41.053 --> 03:11:43.455]  When he attacks, give up all your rights.
[03:11:43.475 --> 03:11:46.878]  It was like a Jim Jones Kool-Aid drinking drill.
[03:11:47.779 --> 03:11:49.140]  Okay, because they drill you first.
[03:11:49.240 --> 03:11:57.227]  And I saw all the preparations on TV, and I was running on the treadmill, like July 23rd, I think, and I was watching hours of Fox News.
[03:11:57.247 --> 03:11:59.669]  I was trying to get in shape back then, like I am doing once again.
[03:11:59.689 --> 03:12:00.730]  I've done pretty good too.
[03:12:00.810 --> 03:12:01.791]  I lost 30 pounds now.
[03:12:02.332 --> 03:12:03.653]  30 pounds this morning, yes!
[03:12:03.733 --> 03:12:04.614]  But anyway, side issue.
[03:12:06.509 --> 03:12:10.613]  I never cared what I looked like much, but then my enemies got off on the fact that I was a little overweight, so I'm sorry.
[03:12:10.653 --> 03:12:13.976]  I'm afraid I'm going to go down to bodybuilder size again.
[03:12:14.597 --> 03:12:17.039]  But anyways, side issue, because that makes the enemies mad.
[03:12:17.059 --> 03:12:19.281]  We're going to have another money bomb now that they're upset about it.
[03:12:19.601 --> 03:12:21.843]  But anyways, side issue.
[03:12:22.183 --> 03:12:24.065]  You were asking me an important question about 9-11.
[03:12:25.606 --> 03:12:27.368]  After I do four hours, I start getting dingy, folks.
[03:12:29.773 --> 03:12:37.795]  The most important thing about 9-11 was the preparation and how I saw it coming and saw them building and doing the pre-preparation programming for it.
[03:12:38.475 --> 03:12:39.316]  That was the most important.
[03:12:39.336 --> 03:12:39.936]  I knew it was coming.
[03:12:40.036 --> 03:12:41.516]  Have you ever seen me predict 9-11?
[03:12:41.536 --> 03:12:42.697]  Have you ever seen that video?
[03:12:44.677 --> 03:12:45.237]  Morgan's gone?
[03:12:45.738 --> 03:12:46.378]  I didn't hang up on him.
[03:12:46.438 --> 03:12:47.038]  His phone cut out?
[03:12:48.318 --> 03:12:48.738]  Okay, fine.
[03:12:50.419 --> 03:12:57.381]  Regardless, see, if I have my own phone system in here, I will see the lights, but I know that is a $3,000 system for the one we need.
[03:12:58.257 --> 03:12:59.798]  That's one of the moderate price ones.
[03:12:59.978 --> 03:13:04.542]  See, I'll see them and I'd know and that won't keep happening where it's on a computer and they're gone and I'm going back to them.
[03:13:04.883 --> 03:13:05.683]  I will have it!
[03:13:07.425 --> 03:13:09.867]  I'm just... They're not the IT guys or something else.
[03:13:10.888 --> 03:13:14.271]  You guys want your bonuses, you're not gonna... I'm gonna have that phone system in here.
[03:13:16.072 --> 03:13:20.576]  I gotta bring a live camera in there and throw a fit on them to get my phone system.
[03:13:20.596 --> 03:13:23.198]  Because it's hard here when you can't control the calls yourself.
[03:13:23.498 --> 03:13:25.220]  You don't know when they're there, you get the calls wrong.
[03:13:27.006 --> 03:13:28.788]  Alright, side issue, ladies and gentlemen.
[03:13:29.668 --> 03:13:32.110]  Let me get back to being serious here and cover some news, take a few final calls.
[03:13:32.130 --> 03:13:33.892]  I'm going to go to Ian in England here in a moment.
[03:13:39.316 --> 03:13:42.479]  There is not one piece of information that's most important.
[03:13:42.819 --> 03:13:45.282]  Because I've really thought about this a lot.
[03:13:45.302 --> 03:13:49.265]  There's five or six pieces that all go together that are all monumental in size.
[03:13:50.086 --> 03:13:55.070]  But the fact that the government was running a drill, drills, CIA and Defense Department
[03:13:56.510 --> 03:13:56.930]  We're good to go.
[03:14:12.267 --> 03:14:13.107]  I mean, done deal.
[03:14:13.247 --> 03:14:14.127]  That's what they always do.
[03:14:14.167 --> 03:14:17.688]  There's always a drill in case somebody else in government who's compartmentalized catches them.
[03:14:18.028 --> 03:14:20.048]  And when you see them doing that, folks, it's over.
[03:14:20.068 --> 03:14:35.611]  I mean, the globalists are so arrogant to get their kicks that they, six months before with the X-Files Lone Gunman episode, the government hijacks a jet by remote control, a small group inside the Defense Department, to fly it into the World Trade Center to blame it on Afghanistan to set up martial law.
[03:14:36.671 --> 03:14:39.472]  And they use a war game drill to make NORAD stand down.
[03:14:39.972 --> 03:14:41.632]  The exact scenario.
[03:14:44.110 --> 03:14:45.531]  The exact scenario.
[03:14:45.591 --> 03:14:47.873]  This is in your face, predictive programming.
[03:14:48.653 --> 03:14:49.554]  These people are sick.
[03:14:50.514 --> 03:14:56.658]  And then you get into the bombs in the buildings and the firefighters and police on record saying, get back, they're going to blow up Building 7 and on and on.
[03:14:56.678 --> 03:15:02.943]  And the buildings turn into pyroclastic flows of dust over miles and just, it goes on and on.
[03:15:02.963 --> 03:15:05.264]  And NORAD standing down, on and on.
[03:15:05.745 --> 03:15:11.829]  And 44,000 US troops, 18,000 British troops, BBC, Associated Press, Times of London, Reuters, AFP,
[03:15:12.649 --> 03:15:13.010]  We're good to go.
[03:15:32.447 --> 03:15:58.213]  uh... that the people in boot camp and called and uh... everybody else within minutes and so we've been hit by terrorist everything is different it's mass programming to get people to be freaked out in the event war of the world's and then when their defenses are down program now that the other these the the the the shy off people coming in don't even know what's going on they subconsciously know that's when you watch when back play that clip yes pull back up when he goes to the cia agent is in psychological warfare
[03:15:59.147 --> 03:15:59.767]  I looked him up.
[03:16:00.688 --> 03:16:06.132]  Beck is a psychopath, sociopath, sadistic little goblin creature who enjoys the evil.
[03:16:06.452 --> 03:16:11.536]  The CIA guy probably didn't know what he was getting into when he got recruited out of college and he's kind of freaked out as he's betraying America.
[03:16:11.896 --> 03:16:14.899]  Yeah, the 9-11 truthers are with Al-Qaeda.
[03:16:14.919 --> 03:16:16.280]  And you can see him kind of going...
[03:16:17.380 --> 03:16:19.081]  And you can see him gutting himself up to do it.
[03:16:19.122 --> 03:16:19.982]  You can look in his eyes.
[03:16:20.242 --> 03:16:21.823]  The body language is, I don't like doing this.
[03:16:21.883 --> 03:16:23.184]  God, I'm really a Nazi.
[03:16:23.525 --> 03:16:24.405]  I'm really a thug.
[03:16:24.465 --> 03:16:25.686]  I'm really anti-American.
[03:16:26.166 --> 03:16:28.148]  You know, I'm really destroying America.
[03:16:28.208 --> 03:16:28.948]  I'm really bad.
[03:16:29.589 --> 03:16:31.550]  I'm really joining the evil New World Order.
[03:16:31.590 --> 03:16:32.411]  Nazi isn't the right term.
[03:16:33.371 --> 03:16:33.972]  The globalist.
[03:16:34.692 --> 03:16:37.334]  He's really kind of getting it.
[03:16:37.374 --> 03:16:38.355]  You can see in the eyes.
[03:16:39.555 --> 03:16:40.016]  Beck is
[03:16:42.520 --> 03:16:44.142]  Just the petty power.
[03:16:44.802 --> 03:16:55.872]  They've done psychological tests with rats and chickens and pigeons where they have an implant that gives them an opiate rush normally electronically with a brain implant and they'll just sit there hitting the button for pleasure.
[03:16:56.806 --> 03:16:58.286]  The endorphin until they die.
[03:16:59.006 --> 03:17:01.447]  They'll be five days later, no water, no food.
[03:17:02.227 --> 03:17:08.248]  The pigeon will have its legs sticking out laying there like, uh, uh, uh, pleasure, uh, pleasure, pleasure.
[03:17:08.488 --> 03:17:09.608]  And that's Beck.
[03:17:09.648 --> 03:17:16.389]  He has no control, no higher emotions, no higher development for the planet, for his children, for his family, for humanity.
[03:17:16.549 --> 03:17:18.750]  He has no embarrassment about the exercise of power.
[03:17:18.990 --> 03:17:25.291]  I mean, when I'm doing good things and exercise power, when I defeat enemies who I have to crush because they've tried to destroy me and they're wicked,
[03:17:25.931 --> 03:17:31.154]  I feel sorry for them as they flop around broken, defeated, and crushed as I move past their smoking hulks.
[03:17:31.734 --> 03:17:36.676]  I don't like having to spend my time and energy even crushing enemies.
[03:17:37.337 --> 03:17:39.678]  Now, five, six years ago, I still liked them a little bit.
[03:17:39.718 --> 03:17:42.279]  Now, I'm hurt they've lost their humanity.
[03:17:42.359 --> 03:17:46.001]  I'm hurt they're not growing into what they could.
[03:17:46.021 --> 03:17:48.502]  I can't imagine what I'll grow into.
[03:17:49.262 --> 03:17:50.583]  Humanity, it's like growth.
[03:17:50.643 --> 03:17:52.964]  It's like loving the woods or loving the ocean.
[03:17:53.004 --> 03:17:53.865]  I love humanity.
[03:17:54.924 --> 03:17:58.887]  I understand we're just spoiled and childlike and the New World Order manipulates those instincts.
[03:17:59.828 --> 03:18:02.090]  Ladies and gentlemen, join us in this historic fight.
[03:18:02.330 --> 03:18:03.091]  Donate today.
[03:18:03.131 --> 03:18:05.533]  The InfoWars.com Money Bomb going on.
[03:18:05.973 --> 03:18:08.255]  InfoWars.com or InfoWars.com, 888-201-2244.
[03:18:08.295 --> 03:18:09.757]  And I've been given an idea here.
[03:18:21.448 --> 03:18:24.010]  Yeah, the problem is I have major stories I've got to work on.
[03:18:24.030 --> 03:18:30.335]  I've got major breaking stuff here and sources I've got to track down for all these stories we break.
[03:18:31.863 --> 03:18:32.624]  That's another thing.
[03:18:32.644 --> 03:18:37.929]  I need money so I can have one or two people that just read the email and the tips, so it's not me.
[03:18:38.289 --> 03:18:43.895]  You know who half the time, when I get some document, they're making the VFW register all their guns to later hand them in.
[03:18:43.935 --> 03:18:49.360]  We called and confirmed what the caller said about, after we broke it, that they're saying, oh, this is for the BATF to come get them later.
[03:18:49.601 --> 03:18:50.962]  I called the VFW in Washington.
[03:18:50.982 --> 03:18:52.303]  They admitted that like it was no big deal.
[03:18:52.784 --> 03:18:54.686]  I've got to call these or I've got a homeland security.
[03:18:54.746 --> 03:18:55.667]  It's me calling.
[03:18:56.067 --> 03:19:00.009]  I need a few more reporters who can vet stuff and do stuff around here.
[03:19:00.369 --> 03:19:01.670]  I need a few more video editors.
[03:19:01.730 --> 03:19:02.950]  I need a few more webmasters.
[03:19:03.151 --> 03:19:04.191]  I need the capital!
[03:19:06.452 --> 03:19:13.556]  Right now, we've raised enough money for me to hire three good people.
[03:19:13.596 --> 03:19:16.797]  A video editor, a webmaster, a writer.
[03:19:20.519 --> 03:19:23.661]  See, to hire a couple video editors, a couple webmasters, a couple writers,
[03:19:24.631 --> 03:19:28.752]  I need $250,000 just for that.
[03:19:28.812 --> 03:19:29.312]  I don't have it.
[03:19:31.033 --> 03:19:32.413]  You know, you look right here on the screen.
[03:19:34.694 --> 03:19:35.074]  Let me see.
[03:19:35.514 --> 03:19:35.794]  Let's see.
[03:19:36.014 --> 03:19:37.135]  Let's say six people for $150,000.
[03:19:37.755 --> 03:19:39.375]  That's not getting paid much.
[03:19:40.175 --> 03:19:40.916]  Six, seven people.
[03:19:42.256 --> 03:19:42.856]  How much is that?
[03:19:43.896 --> 03:19:44.377]  Say 40, 40, 40, 40.
[03:19:44.777 --> 03:19:47.177]  Yeah, I know.
[03:19:47.217 --> 03:19:47.777]  I got like four.
[03:19:47.817 --> 03:19:49.498]  I got like four people, four or five people.
[03:19:51.260 --> 03:19:55.162]  And then I can't buy the equipment, I can't get the space, I can't do anything.
[03:19:55.542 --> 03:19:56.842]  I mean, I need the money to do this.
[03:19:57.323 --> 03:19:57.923]  That's up to you.
[03:19:59.704 --> 03:20:08.887]  For us to have a cushion so that we can defend ourselves from things and continue to operate, if everything shuts down in the economy, if everything's shut down, the dollar completely collapsed, people couldn't buy the books and videos anymore.
[03:20:10.568 --> 03:20:11.668]  Ah, three, four, five months.
[03:20:11.989 --> 03:20:12.829]  Maybe four months.
[03:20:13.409 --> 03:20:14.810]  Four months of operating capital.
[03:20:15.635 --> 03:20:21.096]  Is what I've got, and I keep that so we're not running on fumes, but that's, we're running on like a tenth of a tank.
[03:20:21.116 --> 03:20:24.497]  You know, it's kind of like, oh, it's time to go to the gas station, honey.
[03:20:24.897 --> 03:20:30.518]  And I go, well, I can hustle more and try to get more sponsors and bust my butt doing that, but I want to hustle making films.
[03:20:30.538 --> 03:20:31.918]  You know, hustle, hustle, get that out.
[03:20:31.938 --> 03:20:32.959]  You know, I can football.
[03:20:32.999 --> 03:20:34.219]  Hustle, hustle, guys, we've got to hustle.
[03:20:34.519 --> 03:20:35.319]  I can't do it all.
[03:20:36.579 --> 03:20:39.440]  I'm not bitching, I'm saying if you want to aid us, aid us, ladies and gentlemen.
[03:20:40.325 --> 03:20:41.807]  Again, until 11am tomorrow, I want to raise $250,000.
[03:20:41.847 --> 03:20:41.887]  888-201-2244.
[03:20:47.244 --> 03:20:47.324]  888-201-2244.
[03:20:47.444 --> 03:20:52.428]  Their idea was for me to go answer phones and take donations.
[03:20:54.249 --> 03:20:56.171]  But I can't do that.
[03:20:56.811 --> 03:20:59.073]  Me trying to enter credit card numbers and stuff?
[03:20:59.093 --> 03:21:02.295]  I would totally screw that up.
[03:21:02.315 --> 03:21:04.777]  888-201-2244 or infowarsmoneybomb.com.
[03:21:05.038 --> 03:21:07.700]  And it sure makes the enemies and stalkers mad, too.
[03:21:07.780 --> 03:21:12.163]  So everybody who wasn't going to donate, go donate in there just to make the stalkers mad and the trolls.
[03:21:13.884 --> 03:21:26.586]  I need some stalker donations, and some troll donations, and some attack donations, and some false claim donations, and some fake legal stuff donations, because, you know, it's something else.
[03:21:28.067 --> 03:21:32.907]  It is sick, and I've almost completely gotten rid of the emotional thing of where I get attacked, I work even harder.
[03:21:33.227 --> 03:21:35.288]  I need to work for my family and the future of humanity.
[03:21:35.608 --> 03:21:41.489]  I don't want anything in me tainting why I do this for competitiveness, or for aggression, or any of that.
[03:21:42.714 --> 03:21:49.258]  Since I've turned loose of the remaining hate I had for people that attacked me, I feel better, I've been a lot nicer, and I've lost 30 pounds.
[03:21:49.799 --> 03:21:52.260]  Because before, I just couldn't even pull away to go exercise.
[03:21:52.300 --> 03:21:56.363]  I was too busy fighting a new allure and fighting my attackers and fighting this and fighting that.
