[00:00:01.553 --> 00:00:02.133]  Initiate!
[01:14:07.497 --> 01:14:18.369]  And if the federal government gives them a few dollars to put in their pocket, then they'll owe them and they'll be grateful for what they have, not realizing what they've lost in the meantime and getting to that point.
[01:14:19.192 --> 01:14:20.093]  Well, I agree with you.
[01:14:20.113 --> 01:14:26.836]  Ron Paul said a million times, and it's true historically, we could lose our whole economy tomorrow, but if we had liberty, we would rebuild it very quickly.
[01:14:27.297 --> 01:14:30.258]  Liberty is the engine of milk and honey.
[01:14:30.298 --> 01:14:33.700]  It is the engine of a great, free, beautiful society.
[01:14:34.041 --> 01:14:38.583]  Socialism and corruption always devastates everything in its path.
[01:14:39.224 --> 01:14:40.184]  So can you speak to that?
[01:14:40.224 --> 01:14:41.905]  I mean, you talk about your grandchildren and children.
[01:14:41.945 --> 01:14:43.146]  I'm the same with three children.
[01:14:43.546 --> 01:14:48.289]  I mean, I look at them, and I'm not worried about the Fed setting me up or demonizing me or
[01:14:48.909 --> 01:14:50.930]  You know, even killing me, and I've had death threats.
[01:14:51.470 --> 01:14:54.091]  It's like, my God, there's not even a choice here.
[01:14:54.231 --> 01:14:58.033]  I have to fight these people to the bitter end, whatever the cost is.
[01:14:58.053 --> 01:15:00.054]  I am going to the end.
[01:15:00.094 --> 01:15:05.676]  And I can see with you and many other reps we're having on, I've never heard this type of commitment from Ron Paul and many others.
[01:15:06.036 --> 01:15:13.299]  There is now a commitment because it's clear our worst ideas on this were correct.
[01:15:13.359 --> 01:15:14.660]  It's even worse than we had thought.
[01:15:15.714 --> 01:15:17.736]  Yeah, you mention a good point there.
[01:15:18.196 --> 01:15:31.688]  Some of us older people are willing to put up some resistance and I think they realize that and that's why they've sort of maybe left us alone and they're trying to indoctrinate the young children and the fact that they accept putting a
[01:15:32.657 --> 01:15:45.844]  A biometric fingerprint or something, or accepting a chip implanted in them, so they know that that's where they're going to start at a young age, indoctrinating them to be under their control, and that way they can form their habits from the very beginning.
[01:15:46.525 --> 01:15:56.810]  And that's where our education process has to go to make sure that the young people are aware of the downfalls and the pits that await them out there and get them to join our cause.
[01:15:56.950 --> 01:16:01.453]  And we have some younger people getting involved here, and I think they're the ones that realize
[01:16:02.492 --> 01:16:02.672]  There's a
[01:16:18.993 --> 01:16:25.214]  The price that we're going to have to pay to get it stopped out there, because the price in the future will be many times greater than that.
[01:16:25.715 --> 01:16:28.915]  Well, what would it profit a man to gain the whole world and lose his soul?
[01:16:29.235 --> 01:16:29.876]  Absolutely.
[01:16:29.916 --> 01:16:37.297]  They're going to give people a few hundred dollar tax credit, but meanwhile, give trillions to offshore banks and fully federalize everything.
[01:16:37.757 --> 01:16:42.058]  And I see these poor fools crying when Obama got elected, saying, my problems are all solved.
[01:16:42.658 --> 01:16:44.459]  I won't have to worry about bills ever again.
[01:16:45.239 --> 01:16:52.823]  And then he went from hope and change, it's all going to be fixed, to it's going to go from a crisis to a catastrophe, do whatever I say, or your life's basically over.
[01:16:53.203 --> 01:16:54.944]  Is that not psychological terrorism?
[01:16:55.585 --> 01:16:56.005]  It is.
[01:16:56.025 --> 01:17:03.169]  You know, they keep saying, gosh, two months ago we had to do this bailout overnight, or things were going to collapse.
[01:17:03.249 --> 01:17:06.410]  Well, we're at the point now that it hasn't helped.
[01:17:06.450 --> 01:17:09.792]  And right now they're going to say, you know, we've got to get this money, we've got to spend it now.
[01:17:10.312 --> 01:17:12.554]  And people are buying into that.
[01:17:14.076 --> 01:17:20.399]  They're accepting this few dollars as part of their socialism that they're heading down to.
[01:17:20.920 --> 01:17:26.923]  I'm really concerned about this government owning our banks and our financial institutions.
[01:17:27.003 --> 01:17:32.205]  I think that is another disaster in the making there, big time.
[01:17:32.686 --> 01:17:38.869]  It's a shame that our country got so out of hand here and we let these powers for so long be in control.
[01:17:39.628 --> 01:17:46.249]  Isn't that what the Founding Fathers and others like Andrew Jackson, all they did was fight the domination of bankers?
[01:17:46.909 --> 01:17:47.490]  Absolutely.
[01:17:47.510 --> 01:17:57.232]  You go back and you look at the Federal Reserve System and the banks that they had there, they realized the dilemma that would happen if a government had a central bank.
[01:17:57.872 --> 01:18:02.873]  And they had one for 20 years and then they abolished it and in 1913 they started with
[01:18:04.873 --> 01:18:05.493]  We're good to go.
[01:18:32.810 --> 01:18:38.354]  Well, that's what we're doing, is every Fed location, late last year we went out and protested.
[01:18:38.674 --> 01:18:43.457]  The people are looking past the puppets, the Bushes, the Obamas, to the real power structure.
[01:18:44.017 --> 01:18:48.720]  And I think that's why the establishment's racing to finish their new world order, because they know their time is short.
[01:18:49.601 --> 01:18:50.421]  You bet.
[01:18:51.062 --> 01:18:59.007]  I have to admit, sir, years ago I kind of questioned this one world order, but then when you start looking around, it became more involved in it.
[01:18:59.087 --> 01:19:01.128]  You can see what's taking place here.
[01:19:01.188 --> 01:19:02.029]  You can see the
[01:19:03.166 --> 01:19:22.846]  European Union and the African Union and the Mideast Union and the North American Union taking place and all of a sudden you see these pieces starting to come together and realize there are a few people that this one world order is quite feasible and it's heading towards that in a too fast a pace to make us comfortable.
[01:19:23.732 --> 01:19:24.072]  You're right.
[01:19:24.093 --> 01:19:38.251]  I want to do a final segment with you, if you can, five more minutes after this break, to talk about, again, on the ground, how we get other states, how you recommend listeners introduce your bill, you know, bring it to state legislators, and Texas is going into session, other states.
[01:19:38.872 --> 01:19:43.615]  Because people are angry, and this is, I think, one of the best solutions.
[01:19:44.056 --> 01:19:49.259]  For those that don't know, this film, The Money Masters, covers the history of the international bankers.
[01:19:49.679 --> 01:20:02.948]  This is what Thomas Jefferson had to say, if the American people ever allow private banks to control the issue of their currency, first by inflation, then by deflation, the banks will deprive the people of all property until their children wake up homeless on the continent their forefathers conquered.
[01:20:03.849 --> 01:20:08.575]  The issuing power should be taken from the banks and restored to the people to whom it properly belongs.
[01:20:08.635 --> 01:20:10.197]  Thomas Jefferson.
[01:20:12.599 --> 01:20:14.582]  It's a new year full of uncertainties.
[01:20:15.162 --> 01:20:17.665]  People are being laid off in record numbers.
[01:20:18.246 --> 01:20:22.411]  The price of food continues to rise and the economy continues to falter.
[01:20:23.163 --> 01:20:24.923]  You know that you need to prepare.
[01:20:25.283 --> 01:20:28.304]  And maybe you've been putting it off, but the time to act is now.
[01:20:28.664 --> 01:20:31.665]  That's why you need to visit OrganicaSeed.com.
[01:20:31.985 --> 01:20:43.348]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds and survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[01:20:43.768 --> 01:20:50.009]  Imagine growing your very own fresh vegetables, wheatgrass, fruits, herbs, rice, tea, coffee, and tobacco.
[01:20:50.109 --> 01:20:54.870]  Have you ever felt like the United States government knows way too much about your financial affairs?
[01:21:15.106 --> 01:21:20.529]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[01:21:20.990 --> 01:21:22.070]  It makes me wonder if a U.S.
[01:21:22.110 --> 01:21:26.173]  citizen will ever again have the right to life, liberty, and the pursuit of happiness.
[01:21:26.813 --> 01:21:40.061]  Unfortunately, with the Drug and Money Laundering Act, the IRS Revenue Ruling 6045 of 1984, and the Trading with the Enemy Act and Franklin D. Roosevelt's Executive Order of 1933, some precious metal holdings are subject to government intervention.
[01:21:40.601 --> 01:21:45.923]  For this reason, Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[01:21:46.203 --> 01:21:52.166]  Whether if you have any intention of trading with Midas Resources or not, I have instructed my representatives to give this report out free.
[01:21:52.846 --> 01:21:54.647]  Call for your free copy at 1-800-686-2237.
[01:21:55.707 --> 01:21:58.888]  When investing, always proceed with caution.
[01:21:59.308 --> 01:21:59.909]  Again, call 1-800-686-2237.
[01:21:59.929 --> 01:22:02.109]  Exercise your legal right to trade metals privately.
[01:22:02.129 --> 01:22:02.190]  1-800-686-2237.
[01:22:10.382 --> 01:22:12.384]  May I have everybody's attention, please?
[01:22:12.504 --> 01:22:14.907]  I've come with a message of information.
[01:22:14.927 --> 01:22:17.510]  9-11 was an inside job.
[01:22:17.530 --> 01:22:18.731]  Do you like being a puppet, sir?
[01:22:18.751 --> 01:22:20.393]  Do you like being a puppet for the New World Order?
[01:22:20.473 --> 01:22:27.000]  How do the American people know that 9-11 was a state, it wasn't engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[01:22:36.648 --> 01:22:42.672]  Seven years after the attacks of September 11th, a global awakening has taken place.
[01:22:42.772 --> 01:22:43.392]  An inside job.
[01:22:45.314 --> 01:22:46.394]  How dare you?
[01:22:47.935 --> 01:22:52.837]  If you know that there's treason going on, you can be held accountable for treason yourself.
[01:22:52.977 --> 01:22:55.618]  All hell is breaking loose on 6th Avenue.
[01:22:55.698 --> 01:23:02.140]  And if the government has not told the truth in five years, we will be here on the 10th anniversary of... Truth Rising.
[01:23:02.180 --> 01:23:04.761]  Download the film at PrisonPlanet.tv right now.
[01:23:05.021 --> 01:23:07.022]  Or get the DVD at Infowars.com.
[01:23:07.282 --> 01:23:09.763]  It's now time to take the revolution to the next level.
[01:23:10.874 --> 01:23:16.336]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[01:23:16.376 --> 01:23:16.896]  and the world.
[01:23:17.156 --> 01:23:20.618]  And for the first time in their lives, they are feeling the need for preparedness.
[01:23:21.038 --> 01:23:27.260]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[01:23:27.540 --> 01:23:29.321]  Ready Reserve is the manufacturer.
[01:23:29.561 --> 01:23:34.783]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish.
[01:23:34.983 --> 01:23:35.283]  I think so.
[01:23:53.069 --> 01:23:55.551]  I was a highway man Along the coach roads I did ride
[01:24:22.549 --> 01:24:24.570]  You know what's exciting?
[01:24:24.690 --> 01:24:36.798]  There's a lot of bad things going on in a lot of tyranny, but tyranny always overreaches, and it always falls.
[01:24:37.038 --> 01:24:40.760]  Then people get liberty, and then they become complacent again, and it rises again.
[01:24:52.236 --> 01:24:54.579]  But, uh, they're coming out in the open with their world government now.
[01:24:55.119 --> 01:24:57.402]  Their FEMA camps, their NORTHCOM over the states.
[01:24:57.822 --> 01:24:59.064]  They know the threat is the states.
[01:24:59.104 --> 01:25:01.166]  That's why NORTHCOM says the governors are abolished.
[01:25:01.587 --> 01:25:04.730]  Federal officers wearing dual hats serving at the pleasure of the president.
[01:25:05.211 --> 01:25:07.573]  NORTHCOM admits they want to use 20,000 combat U.S.
[01:25:07.613 --> 01:25:08.674]  troops against the American people.
[01:25:09.738 --> 01:25:13.001]  They'll stage events to try to bring it in and have people accept it, but they're not going to get away with it.
[01:25:13.521 --> 01:25:15.142]  So the show is on the road.
[01:25:15.162 --> 01:25:17.584]  A lot of people say, let's get the show on the road.
[01:25:17.624 --> 01:25:23.028]  Well, a lot of you talkers are going to have a chance now, because we're desperately here trying to fix things peaceably.
[01:25:24.109 --> 01:25:26.751]  Those of you that want to fight, don't worry, the enemy's going to start fights.
[01:25:27.031 --> 01:25:28.132]  The globalists are going to push it.
[01:25:29.033 --> 01:25:30.995]  And I hope we can avert this.
[01:25:31.375 --> 01:25:34.818]  In closing, Representative Jim Gast introducing this great bill.
[01:25:36.141 --> 01:25:37.762]  They're in the Missouri State House.
[01:25:38.523 --> 01:25:40.405]  We just commend you for what you're doing.
[01:25:41.666 --> 01:25:43.948]  Again, how do people support you?
[01:25:44.888 --> 01:25:47.611]  How do people get this into other state legislatures?
[01:25:48.852 --> 01:25:53.195]  I think one of yours is one of the best pieces of legislation I've seen.
[01:25:54.176 --> 01:25:57.739]  Okay, what they do is just call me here at the State House.
[01:25:57.779 --> 01:25:57.999]  That's 573-751-0246.
[01:26:05.301 --> 01:26:13.478]  Or they can email me at jim.guest at house.mo, m-o dot gov.
[01:26:13.719 --> 01:26:15.222]  Thanks from Missouri House Government.
[01:26:15.905 --> 01:26:25.568]  And we will forward copies of our legislation to all over the country, to you, to your legislator, so they can start filing in those states who have not filed.
[01:26:25.588 --> 01:26:27.969]  That's how we're doing, sending model legislation around.
[01:26:28.569 --> 01:26:32.070]  And you can revamp it to fit your particular state, but you've got to get active.
[01:26:32.090 --> 01:26:40.593]  For those here in Missouri, give me a call, and I'll give you the name of some legislators that you need to work on to getting this voted out of the committee.
[01:26:40.633 --> 01:26:42.013]  It's very important to get this out.
[01:26:42.513 --> 01:26:52.658]  So our voice for freedom here gets heard in Missouri, so we're probably preaching to those who've probably heard this many times, but you can't say it too often, it's time to get involved.
[01:26:53.184 --> 01:26:55.985]  We're on a lot of AM and FM stations on the internet in Shoreway.
[01:26:56.005 --> 01:26:57.166]  We have a new list every millisecond.
[01:26:57.406 --> 01:27:00.507]  Pull back up on screen his website, his state website.
[01:27:00.807 --> 01:27:08.210]  He's got the number 573-751-0246 or just go get his bill or the New Hampshire bill or others.
[01:27:09.011 --> 01:27:12.972]  Go to your statehouse, go to the Texas Capitol, go say, introduce this.
[01:27:13.353 --> 01:27:19.255]  Bring the articles, mainstream news about FEMA camps and things and the gun confiscation bills they've got introduced in Congress.
[01:27:19.555 --> 01:27:21.036]  I mean this is really happening.
[01:27:21.616 --> 01:27:24.860]  Ladies and gentlemen, this is one of the big solutions.
[01:27:24.880 --> 01:27:27.584]  All we talk about is solutions here, and the enemy claims we're not.
[01:27:28.024 --> 01:27:33.311]  In closing, sir, I just want to commend you and the great spirit of Paul Revere and George Washington, what you're doing.
[01:27:33.952 --> 01:27:36.175]  And we appreciate you offering to have folks called.
[01:27:36.195 --> 01:27:38.678]  You can consult with them and try to help them with your state or other states.
[01:27:38.718 --> 01:27:40.280]  That's quite a burden you've just taken on.
[01:27:40.620 --> 01:27:42.881]  But the other state reps we've had on have made the same offers.
[01:27:42.961 --> 01:27:44.322]  Great, great patriots.
[01:27:44.702 --> 01:27:47.303]  In closing, you heard my point about at least the show's on the road.
[01:27:47.343 --> 01:27:54.407]  At least it's so out in the open that I'm seeing a gigantic awakening, bigger than anything I'd ever seen before.
[01:27:54.867 --> 01:28:02.391]  So, are you seeing a huge firestorm of people starting to get upset and seeing what's happening?
[01:28:02.961 --> 01:28:03.862]  We are, absolutely.
[01:28:03.962 --> 01:28:17.432]  We can make a few calls, send out a few emails, and we can energize a lot of people, patriots around the state, to inundate their legislators with calls and emails on this, and I hope that continues to grow, because it has to be the voice of the people that makes a difference.
[01:28:17.872 --> 01:28:28.460]  And I've got six young students who just walked in my office here, and we're fighting for their freedom and their rights, and I'll be talking to them about this here when we get off the air, so that's who we're working and fighting for.
[01:28:29.602 --> 01:28:30.062]  Absolutely.
[01:28:30.082 --> 01:28:36.385]  I'll let you get to those young people, sir, and it's going to be folks like you and those young students that are going to save this republic for future generations.
[01:28:36.965 --> 01:28:40.367]  Our ancestors fought for us to have this much liberty.
[01:28:40.707 --> 01:28:44.629]  It's our job now to fight to retain any of what was gained in the past.
[01:28:44.909 --> 01:28:45.689]  God bless you.
[01:28:45.850 --> 01:28:47.230]  Representative Gass, take care.
[01:28:47.250 --> 01:28:48.051]  Okay.
[01:28:48.091 --> 01:28:48.611]  Thank you, Alex.
[01:28:49.096 --> 01:28:49.376]  You bet.
[01:28:49.416 --> 01:28:50.136]  What a great guy.
[01:28:50.557 --> 01:28:51.977]  Good to have him on with us.
[01:28:51.997 --> 01:28:53.137]  We're going to continue tomorrow.
[01:28:53.157 --> 01:28:54.658]  We've got two New Hampshire's.
[01:28:55.258 --> 01:28:55.898]  Or is it Friday?
[01:28:56.859 --> 01:28:58.799]  We've got a bunch of state reps coming on.
[01:28:58.819 --> 01:29:05.161]  That guy we had from Washington a couple days ago talking about, he knew about the FEMA camps, martial law.
[01:29:07.322 --> 01:29:09.823]  Yeah, State Rep Shea, Matt Shea.
[01:29:10.863 --> 01:29:15.285]  I mean, it's just a wonderful, he was fully informed, Army officer,
[01:29:17.458 --> 01:29:18.919]  Knows about the gun confiscation.
[01:29:18.979 --> 01:29:20.039]  Knows about the New World Order.
[01:29:20.379 --> 01:29:21.960]  Knows about PDD 51.
[01:29:22.781 --> 01:29:25.582]  And the enemy has just announced all this.
[01:29:25.622 --> 01:29:28.023]  Because they know the general dumbed-down public is scared.
[01:29:28.363 --> 01:29:30.304]  And it's going, give me a job, give me my paycheck.
[01:29:30.804 --> 01:29:33.266]  And Obama's like, oh, I'm going to save you.
[01:29:33.286 --> 01:29:34.606]  We have this video clip coming up.
[01:29:34.646 --> 01:29:35.887]  It is the sickest thing I've ever seen.
[01:29:36.227 --> 01:29:38.008]  PrisonPlanet.tv viewers will be able to see it.
[01:29:38.388 --> 01:29:40.229]  Or folks at Rip It to the Four Winds on the web later.
[01:29:40.589 --> 01:29:42.250]  Live listeners will be able to hear the audio.
[01:29:42.710 --> 01:29:43.811]  Coming up, a final
[01:29:44.963 --> 01:29:49.124]  Twenty-seven minutes left when we get back, and we're going to take some phone calls and cover some other news.
[01:29:49.184 --> 01:29:52.685]  So, opening the phones right now, 1-800-259-9231.
[01:29:55.425 --> 01:29:57.106]  We'll be right back after this quick break.
[01:30:00.847 --> 01:30:01.727]  We're on the march.
[01:30:02.227 --> 01:30:03.827]  The empire's on the run.
[01:30:04.768 --> 01:30:07.528]  Alex Jones and the GCN Radio Network.
[01:30:12.910 --> 01:30:14.770]  With rising unemployment and an economy
[01:30:20.948 --> 01:30:22.429]  Are your kids safe when they go out?
[01:30:23.070 --> 01:30:26.653]  Everyone needs something to give that extra edge in case of an attack.
[01:30:27.073 --> 01:30:30.597]  You need DPS pepper spray from MrDefense.com.
[01:30:31.077 --> 01:30:38.204]  DPS is the strongest pepper spray on the market and is the same spray used by hundreds of law enforcement agencies from around the world.
[01:30:38.644 --> 01:30:39.445]  Need something more?
[01:30:39.845 --> 01:30:43.449]  The Stinger keychain is a great way to surprise a potential attacker.
[01:30:43.951 --> 01:30:52.075]  Mr. Defense carries the largest selection of stun guns, air tasers, knives, swords, batons, survival spy and tactical gear.
[01:30:52.615 --> 01:30:55.156]  Mention this ad and receive 10% off your order.
[01:30:55.537 --> 01:31:00.099]  Visit mrdefense.com, that's mrdefense.com, or call 1-800-313-6400, 1-800-313-6400, that's 1-800-313-6400.
[01:31:10.916 --> 01:31:17.300]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:31:17.680 --> 01:31:19.641]  The enemy struck America on September 11th.
[01:31:20.322 --> 01:31:21.342]  But who is the enemy?
[01:31:21.863 --> 01:31:22.383]  Bin Laden.
[01:31:22.663 --> 01:31:23.584]  This is his ammo.
[01:31:23.604 --> 01:31:25.025]  We have to look to the Middle East.
[01:31:25.045 --> 01:31:26.686]  We have to look to Osama Bin Laden.
[01:31:27.026 --> 01:31:33.770]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:31:34.170 --> 01:31:34.610]  Some U.S.
[01:31:34.650 --> 01:31:40.314]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:31:40.994 --> 01:31:44.515]  I'm aware that some Israeli citizens have been detained.
[01:31:44.875 --> 01:31:54.738]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[01:31:54.978 --> 01:31:55.718]  Fabled enemies.
[01:31:56.198 --> 01:32:03.480]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[01:32:03.960 --> 01:32:07.301]  Either you are with us or you are with the terrorists.
[01:32:10.839 --> 01:32:13.861]  Have you ever wanted to generate your own supply of electrical power?
[01:32:14.301 --> 01:32:17.584]  If so, this is going to be the most important message you will ever hear.
[01:32:18.084 --> 01:32:24.028]  Solar-powered generators are now available from Solutions from Science, one of GCN's oldest and most trusted sponsors.
[01:32:24.388 --> 01:32:28.531]  These emergency backup systems provide life-saving electrical power when you need it most.
[01:32:29.031 --> 01:32:34.755]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity for free.
[01:32:35.055 --> 01:32:38.037]  It's like having an electric power plant running quietly in your own home.
[01:32:40.819 --> 01:32:41.359]  Let's go!
[01:33:23.904 --> 01:33:48.352]  I hurt myself today To see if I still feel I focus on the pain The only thing that's real The needle tears a hole
[01:33:50.561 --> 01:34:09.419]  The old familiar sting Try to kill it all away But I remember everything What have I become?
[01:34:12.662 --> 01:34:14.644]  My sweetest friend
[01:34:17.445 --> 01:34:26.817]  Everyone I know goes away in the end.
[01:34:27.638 --> 01:34:35.708]  And you could have it all, my empire of dirt.
[01:34:47.406 --> 01:34:49.069]  Obama's gonna make you hurt.
[01:34:49.089 --> 01:34:51.152]  He's here to betray you.
[01:34:52.113 --> 01:34:52.974]  Very, very wicked.
[01:34:55.218 --> 01:34:58.362]  Let's go ahead and play this clip.
[01:35:01.195 --> 01:35:03.436]  Where Barack Obama has these people.
[01:35:03.476 --> 01:35:05.436]  Now first he tells them he's going to fix everything.
[01:35:05.817 --> 01:35:10.158]  As soon as he gets in, the war is going to end, the torture is going to end, the lobbyists are going to end.
[01:35:10.178 --> 01:35:11.439]  He lied about all of that.
[01:35:11.479 --> 01:35:18.141]  Now it's 16 months, 24 months in Iraq, beefing up troops, expanding troops in the Middle East and Central Asia.
[01:35:19.521 --> 01:35:26.804]  Rahm Emanuel saying they want to nuke Iran, his chief of staff, who's an open foreign intelligence officer of another country.
[01:35:27.644 --> 01:35:28.684]  All of this is happening.
[01:35:31.109 --> 01:35:38.094]  He shifts from hope and change to, we're not going to have a crisis, we're going to have a catastrophe, do whatever I say, let the foreign banks completely take over.
[01:35:38.734 --> 01:35:40.716]  Now, this is all over the news.
[01:35:41.196 --> 01:35:43.618]  Every time you watch Obama in one of these town halls, this is all that happens.
[01:35:43.638 --> 01:35:51.403]  These poor, good people, being led by this Judas Code, who's bringing in total tyranny, FEMA camps, everything happening.
[01:35:52.324 --> 01:35:54.205]  National drafts, everything being announced.
[01:35:55.725 --> 01:35:58.267]  And they're trying to coat this evil with this Obama-mania.
[01:35:58.827 --> 01:36:00.328]  This is such a corporate fraud.
[01:36:00.608 --> 01:36:02.290]  Let's go ahead and play this saddening clip.
[01:36:04.051 --> 01:36:06.753]  This young lady's been waiting very patiently.
[01:36:07.193 --> 01:36:10.735]  And she's just been standing there and making me look all guilty.
[01:36:13.157 --> 01:36:16.419]  So, go ahead.
[01:36:16.459 --> 01:36:18.040]  Here, you've got the microphone right behind you.
[01:36:18.841 --> 01:36:19.662]  Thank you very much.
[01:36:19.742 --> 01:36:21.283]  I first want to say... Hit pause.
[01:36:22.819 --> 01:36:23.219]  Back it up.
[01:36:23.420 --> 01:36:31.127]  Watching his body language, I don't think Obama, he's evil, he's proud, he's into power, but you really watch him.
[01:36:31.147 --> 01:36:34.610]  He had that Freudian slip the other day where he said, you know, we've got to get money out of the banks, I mean the people.
[01:36:35.371 --> 01:36:42.698]  You can see all this woman over here, she's making me feel guilty and you can see him, he's not even acting, he is feeling guilty.
[01:36:45.031 --> 01:36:47.752]  Because he's basically slitting this woman's throat for the New World Order.
[01:36:48.232 --> 01:36:49.513]  And he's doing it while like a little dog.
[01:36:49.533 --> 01:36:53.274]  It's like your dog looking up at you, and you take a gun, and it's smiling at you.
[01:36:53.454 --> 01:37:00.016]  It's licking, you know, it's licking its lips for that one dinner, and you just... That's basically what he's doing to this poor lady.
[01:37:00.036 --> 01:37:01.377]  Like it's a, like it's a little dog.
[01:37:01.437 --> 01:37:03.457]  Just, just a poor little trusting person.
[01:37:04.198 --> 01:37:05.178]  Go ahead and go back to it.
[01:37:05.978 --> 01:37:07.499]  Here, you've got the microphone right behind you.
[01:37:08.339 --> 01:37:09.159]  Thank you very much.
[01:37:09.239 --> 01:37:13.481]  I first want to say, uh, I respect you and I'm just so grateful for you.
[01:37:13.721 --> 01:37:14.021]  Thank you.
[01:37:14.426 --> 01:37:16.467]  I believe in prayers.
[01:37:16.487 --> 01:37:17.347]  I appreciate that.
[01:37:17.547 --> 01:37:21.328]  I have an urgent need.
[01:37:21.609 --> 01:37:23.169]  Unemployment and homelessness.
[01:37:23.329 --> 01:37:26.010]  A very small vehicle for my family and I to live in.
[01:37:26.750 --> 01:37:27.771]  We need urgent.
[01:37:28.291 --> 01:37:31.152]  And our housing authorities have two years waiting lists.
[01:37:32.572 --> 01:37:35.873]  We need something more than the vehicle and the parks to go to.
[01:37:36.354 --> 01:37:38.814]  We need our own kitchen and our own bathroom.
[01:37:39.815 --> 01:37:40.315]  Please help.
[01:37:41.295 --> 01:37:43.056]  Well, listen, what's your name?
[01:37:44.528 --> 01:37:45.068]  What's your name?
[01:37:45.509 --> 01:37:46.950]  It's Henrietta Hughes.
[01:37:47.150 --> 01:37:47.630]  Okay, Ms.
[01:37:47.670 --> 01:37:48.131]  Hughes.
[01:37:48.191 --> 01:37:59.079]  Well, we're going to do everything we can to help you, but there are a lot of people like you, and we're going to do everything we can.
[01:37:59.219 --> 01:37:59.479]  All right?
[01:37:59.499 --> 01:38:01.780]  I'll have my staff talk to you after the time-out.
[01:38:01.861 --> 01:38:02.921]  All right?
[01:38:04.983 --> 01:38:06.624]  All right.
[01:38:07.625 --> 01:38:09.447]  And then it cuts to, and we're playing another clip.
[01:38:09.467 --> 01:38:11.088]  Alright, what's the question?
[01:38:27.871 --> 01:38:34.956]  And, okay, I've been at the same job, which is McDonald's, for four and a half years because of the fact that I can't find another job.
[01:38:35.336 --> 01:38:47.123]  Now, with the fact that I've been there for as long as I've been there, do you have any plan or any idea of making one that has been there for a long time receive any better benefits than what they've already received?
[01:38:47.504 --> 01:38:48.384]  Well, I tell you what.
[01:38:48.944 --> 01:38:51.426]  First of all, a couple things I'd like to say.
[01:38:52.187 --> 01:38:52.727]  Number one,
[01:38:53.812 --> 01:39:06.941]  The fact that you are working, as hard as you're working, at a job that I know doesn't always pay as well as some other jobs, I think that's a source of pride for you, that shows that you're doing the right thing.
[01:39:10.784 --> 01:39:20.611]  Now, the second thing is, is that you will actually benefit from the tax breaks that we're talking about, so you'll be able to keep a little bit of extra money, because we're going to offset your payroll tax.
[01:39:21.031 --> 01:39:21.612]  That's going to help.
[01:39:23.155 --> 01:39:28.637]  Oh, I don't, I assume that you're not getting health care through your job.
[01:39:29.457 --> 01:39:36.659]  And so one of the things that we want to do is reform the health care system so that you will have access to health care in your class.
[01:39:37.579 --> 01:39:41.520]  In the subsection, that old lady he was just talking to, she won't get health care.
[01:39:42.260 --> 01:39:45.721]  I read the quotes Bloomberg yesterday of the people pushing the bill and what's in there.
[01:39:46.261 --> 01:39:48.942]  It says, well, if you're going blind and you're old, you're going to have to just go blind.
[01:39:48.982 --> 01:39:49.882]  That's what's supposed to happen.
[01:39:50.302 --> 01:39:51.663]  Only the young people get health care.
[01:39:52.833 --> 01:39:55.735]  And what they're doing is playing the young off against the old as if everybody couldn't have it.
[01:39:56.676 --> 01:39:57.917]  The bankers weren't stealing everything.
[01:39:58.798 --> 01:39:59.819]  And they're taking over health care.
[01:40:00.139 --> 01:40:03.162]  So you got this guy, oh, just I'm begging you, oh Lord, like he's God.
[01:40:03.702 --> 01:40:04.483]  Oh, save me.
[01:40:04.503 --> 01:40:11.408]  I mean, just they have put their total faith in this guy and we know he's betraying them with the international banks.
[01:40:11.428 --> 01:40:16.072]  We know they're openly setting up a global bank to tax the industry that's left and the companies that are left.
[01:40:16.352 --> 01:40:18.975]  We know he said get ready for austerity, get ready for tough times.
[01:40:18.995 --> 01:40:21.477]  He told that old lady, there's a lot of people in your position, ma'am.
[01:40:22.895 --> 01:40:23.795]  She's basically homeless.
[01:40:23.815 --> 01:40:24.095]  You heard her.
[01:40:24.115 --> 01:40:25.316]  I don't even have a bathroom or a kitchen.
[01:40:26.016 --> 01:40:29.277]  And it's gonna get worse, and worse, and worse, and worse.
