[00:00:01.283 --> 00:00:01.723]  Engage.
[01:15:52.139 --> 01:16:03.204]  Times, Washington Times, Washington Post, I've read those articles earlier in the show, just saying, yes, private offshore banks will run the whole government, any industry, no court, no judge, no jury.
[01:16:03.424 --> 01:16:06.965]  They'll grab your business from a hot dog stand to a car dealership.
[01:16:07.346 --> 01:16:08.786]  We rule everything.
[01:16:09.106 --> 01:16:10.507]  You're going to pay carbon taxes.
[01:16:10.727 --> 01:16:12.188]  They're now introduced the bill.
[01:16:12.728 --> 01:16:16.830]  I mean, it's not enough they've raped us a $14.8 trillion, Gary Franchi.
[01:16:17.830 --> 01:16:21.793]  Well, you know, these people are reckless, they're out of control, and they need to be checked.
[01:16:22.553 --> 01:16:25.495]  You know, that's why their message is falling through the cracks.
[01:16:25.916 --> 01:16:28.657]  That's why their volunteers aren't picking up the ball and running with it.
[01:16:28.958 --> 01:16:30.339]  Because they have lies.
[01:16:30.419 --> 01:16:32.820]  Their house is built upon sand.
[01:16:32.940 --> 01:16:33.621]  It will crumble.
[01:16:34.341 --> 01:16:35.882]  Our house is built upon the truth.
[01:16:36.243 --> 01:16:37.864]  And that is why we are successful.
[01:16:38.084 --> 01:16:40.525]  That is why our message proliferates the way it does.
[01:16:40.766 --> 01:16:44.688]  My landlord came to my house to pick up a check, and you know what he said?
[01:16:45.069 --> 01:16:46.750]  He handed me a copy of the Obama Deception.
[01:16:47.410 --> 01:16:49.210]  I didn't know that.
[01:16:49.270 --> 01:16:52.451]  I said, oh, you've seen, you know, and we got a long conversation about it.
[01:16:52.471 --> 01:16:53.611]  It was pretty interesting.
[01:16:53.631 --> 01:17:05.373]  So, I mean, people that I'm meeting every day are handing me stuff now, and that's... Well, listen, I don't brag when I say this, it actually freaks me out, and then I want to take off and go eat a hamburger, I want to take my wife to a movie, and I physically tell her, sorry, I've got to stay in work.
[01:17:05.713 --> 01:17:15.835]  It's becoming, because I know we don't have much time, I know we're hitting them out of the park, but just because we're in a machine gun that's hitting the enemy, we're still getting blown to hell, so I can't walk away for one minute for my children,
[01:17:16.115 --> 01:17:18.335]  But then I do take off three days ago to Port Aransas.
[01:17:19.176 --> 01:17:23.576]  Every restaurant we went to, the people that owned it, ran it, it wasn't just one guy.
[01:17:23.596 --> 01:17:26.557]  It would be, here's the owner, here's the manager, here's my wife, I'm a fan.
[01:17:27.297 --> 01:17:28.857]  Will you sign this film for us?
[01:17:30.578 --> 01:17:36.639]  And then go to the next restaurant, and I'm going on the beach in a rented golf cart, past the cars, and Alex Jones, Alex Jones!
[01:17:36.939 --> 01:17:38.619]  We have really hurt them bad, Gary.
[01:17:38.639 --> 01:17:39.479]  We really have.
[01:17:39.659 --> 01:17:41.859]  But the thing is, they're just coming down on us and don't care.
[01:17:42.440 --> 01:17:44.640]  So what do you see happening in all this?
[01:17:45.285 --> 01:17:51.551]  Well, you know, like I said, it's the truth, it's the message that is piercing the darkness, okay?
[01:17:51.831 --> 01:17:59.117]  You know, anything that is done in darkness, anything that is hidden in secret will be revealed, and that is why we are being successful.
[01:17:59.378 --> 01:18:02.721]  It's because people believe in what we're doing, and it's having an impact.
[01:18:02.741 --> 01:18:06.004]  The people are waking up by the millions, Alex, by the millions.
[01:18:06.204 --> 01:18:08.526]  The New World Order does not stand a chance against the truth.
[01:18:09.066 --> 01:18:19.272]  If we're willing to, but the problem is they're getting desperate now and saying, and saying, you know, ACLU on their front page has the official Pentagon training mail that says all protest is now terrorism.
[01:18:19.672 --> 01:18:21.853]  I mean, it actually says we're all terrorists!
[01:18:22.173 --> 01:18:25.895]  It's the First Amendment, it's America that the veterans fought and died for!
[01:18:25.915 --> 01:18:29.397]  They're saying the veterans are terrorists, gun owners are terrorists.
[01:18:29.777 --> 01:18:32.399]  I mean, folks, the government is the terrorist.
[01:18:32.699 --> 01:18:34.160]  They're the illegitimate bastards.
[01:18:34.420 --> 01:18:40.082]  They are grasping at straws at this point because they cannot control the messages they try to.
[01:18:40.362 --> 01:18:41.782]  The internet is their worst enemy.
[01:18:41.802 --> 01:18:43.103]  And now they're saying they're going to shut it down.
[01:18:43.123 --> 01:18:44.623]  Can you imagine when they try that?
[01:18:44.663 --> 01:18:46.224]  All these DVDs are already out there.
[01:18:46.424 --> 01:18:47.804]  We're going to use fax machines.
[01:18:48.045 --> 01:18:49.185]  They can't arrest us all.
[01:18:49.405 --> 01:18:51.646]  And they start trying to pull off the FEMA camps, Gary.
[01:18:51.666 --> 01:18:52.466]  You know what's going to happen.
[01:18:52.706 --> 01:18:53.987]  And that's what I don't want to go to.
[01:18:54.047 --> 01:18:54.547]  But you know what?
[01:18:54.827 --> 01:18:57.888]  If it goes to that, Gary, do these cops have any idea what's going to happen to them?
[01:18:58.388 --> 01:19:05.771]  Well, I, you know, there's the cops out there, the SWAT guys, they're Americans too, and those are the guys we need to reach.
[01:19:06.251 --> 01:19:10.573]  You know, because they're the ones that are going to follow those orders, and we have to reach them before it's too late, Alex.
[01:19:10.913 --> 01:19:15.836]  We have to, we have to hit the police, the fire, all of those first responder type people.
[01:19:16.216 --> 01:19:20.778]  Because if we can, if we can build up the resistance within... We have, we are, yeah we are.
[01:19:20.838 --> 01:19:21.198]  We will.
[01:19:21.678 --> 01:19:25.260]  Yeah, I mean, I'm too hard on a lot of them, because the media loves to show only the bad cops and people.
[01:19:25.561 --> 01:19:33.346]  And I figured out a few years ago that when I was hyping that up, and I still do it because it threatens me at a primitive level, that actually makes the cops then get more isolated from us.
[01:19:33.726 --> 01:19:35.007]  We're more isolated from them.
[01:19:35.727 --> 01:19:47.775]  But then you have to, when the Oklahoma Highway Patrol defends the guy who almost runs the ambulance off the road, and then jumps out and starts roughing the guys up, and then they say he's the bad guy, the ambulance guy's bad.
[01:19:48.176 --> 01:19:51.478]  I mean, that is the system fundamentally run by bad people.
[01:19:51.798 --> 01:19:57.484]  Well, there has been brainwashing, power trips ingrained in a lot of these guys.
[01:19:58.264 --> 01:19:59.966]  They think they're Terminators walking around.
[01:19:59.986 --> 01:20:02.949]  But that's been done so they can be used in an evil job.
[01:20:03.229 --> 01:20:09.054]  Cops, you better break yourselves out of the mind control you're in because I know what I'm saying is true and so does Gary.
[01:20:10.225 --> 01:20:20.310]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh nutritious vegetables will make it to your dinner table?
[01:20:20.791 --> 01:20:21.851]  Garden in a Can!
[01:20:22.211 --> 01:20:25.793]  Garden in a Can is your source for premium long-term storable seeds.
[01:20:26.354 --> 01:20:28.135]  Garden in a Can is ready when you are.
[01:20:28.375 --> 01:20:30.676]  Plant them now or store them for when you really need them.
[01:20:31.137 --> 01:20:40.159]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[01:20:40.811 --> 01:20:41.832]  Garden in a Can.
[01:20:42.232 --> 01:20:43.093]  It's that simple.
[01:20:43.433 --> 01:20:45.315]  Fresh, healthy, easy.
[01:20:45.835 --> 01:20:49.798]  Only $69.95 for over a half acre of safe fresh vegetables.
[01:20:50.179 --> 01:20:51.099]  Ready when you are.
[01:20:51.760 --> 01:20:55.383]  Stop procrastinating and start preparing with Garden in a Can.
[01:20:55.843 --> 01:20:58.926]  For more details visit GardenInACan.com today.
[01:20:59.306 --> 01:21:01.828]  That's GardenInACan.com or call 866-598-7396.
[01:21:01.848 --> 01:21:01.888]  866-598-7396.
[01:21:09.497 --> 01:21:10.898]  It is a big idea.
[01:21:10.918 --> 01:21:13.020]  A New World Order.
[01:21:13.741 --> 01:21:18.144]  In the near future, Earth is dominated by a powerful world government.
[01:21:18.224 --> 01:21:21.427]  It's known as the Bilderberg Group.
[01:21:21.467 --> 01:21:23.629]  Could their objective be world domination?
[01:21:24.249 --> 01:21:26.691]  For thousands of years, their dark order grew.
[01:21:27.432 --> 01:21:34.758]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:21:37.765 --> 01:21:42.748]  For the first time in history, the elite's plan for world government is blown wide open.
[01:21:43.209 --> 01:21:46.511]  You will learn the secret that drives the entire New World Order agenda.
[01:21:46.531 --> 01:21:49.573]  The New World Order is making great progress toward a world government.
[01:21:49.653 --> 01:21:50.794]  Most people have no idea.
[01:21:50.814 --> 01:21:51.574]  They're not after money.
[01:21:51.594 --> 01:21:52.695]  They have all the money they need.
[01:21:52.875 --> 01:21:53.616]  They're after power.
[01:21:53.856 --> 01:21:54.716]  That's what they have to lose here.
[01:21:55.017 --> 01:22:03.242]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[01:22:03.742 --> 01:22:06.184]  In Game, blueprint for global enslavement.
[01:22:06.544 --> 01:22:07.585]  You have been warned.
[01:22:08.586 --> 01:22:14.789]  On the average, Americans work between 45 to 50 years, hoping to build up enough wealth to retire and live out their golden years.
[01:22:15.250 --> 01:22:23.014]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[01:22:23.375 --> 01:22:28.938]  Is this a flaw-free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt?
[01:22:29.278 --> 01:22:31.219]  Ensuring inflation and higher taxes.
[01:22:31.519 --> 01:22:36.280]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[01:22:36.620 --> 01:22:41.321]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[01:22:41.841 --> 01:22:45.682]  A gripping adventure into the secret world of international banking cartel.
[01:22:46.182 --> 01:22:47.203]  Hi, this is Ted Anderson.
[01:22:47.263 --> 01:22:51.344]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[01:22:51.784 --> 01:22:53.144]  Call 1-800-686-2237 and order a copy today.
[01:22:56.665 --> 01:22:59.226]  It's critical that the public be made aware of the system.
[01:22:59.666 --> 01:23:02.227]  Call and order your copy today at 1-800-686-2237.
[01:23:03.568 --> 01:23:05.328]  That's 1-800-686-2237.
[01:23:08.509 --> 01:23:11.250]  If being prepared doesn't apply to you, disregard the next minute.
[01:23:11.690 --> 01:23:14.331]  We're way beyond a question of if and when it's upon us.
[01:23:14.772 --> 01:23:19.293]  When you can't safely touch anything and a cough or sneeze can shut down your school or business.
[01:23:19.673 --> 01:23:24.195]  How would you or could you disinfect a school bus, office, locker room, place of worship,
[01:23:24.679 --> 01:23:26.779]  Or your entire home, and do it in just minutes.
[01:23:27.440 --> 01:23:36.221]  Go to hazard.com and see the 8 minute video that is guaranteed to show how our unique application process can do really big jobs that you never could do before.
[01:23:36.721 --> 01:23:39.082]  H-A-Z-A-R-I-D.
[01:23:39.582 --> 01:23:43.242]  Total protection kits kill viruses, bacteria, mold, and much more.
[01:23:43.842 --> 01:23:46.163]  And they do it for less cost than what you're currently using.
[01:23:46.763 --> 01:23:49.803]  Don't risk facing shipping bottlenecks and possible shortages.
[01:23:50.344 --> 01:23:52.824]  Act now to assure prompt delivery and to receive
[01:23:54.844 --> 01:23:58.585]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:23:58.605 --> 01:24:00.186]  It's Alex Jones and the GCN Radio Network.
[01:24:26.212 --> 01:24:26.392]  1-800-259-9231.
[01:24:26.452 --> 01:24:31.217]  I'm going to take a lot of your phone calls coming up in the next segment.
[01:24:31.277 --> 01:24:33.299]  I mentioned some other news headlines I haven't gotten to.
[01:24:34.640 --> 01:24:39.184]  It's the best of times, it was the worst of times, as the famous literary mind said.
[01:24:39.204 --> 01:24:40.205]  And it is.
[01:24:40.766 --> 01:24:44.689]  And I guess the best in us comes out when things start getting the worst, but also the worst in us comes out.
[01:24:45.330 --> 01:24:47.772]  And I mean, I keep going over this and over this.
[01:24:47.872 --> 01:24:50.615]  To have them openly announcing a Bank of the World
[01:24:51.135 --> 01:24:54.417]  But then I thought they were going to run us out of the Bank of the World through the executive.
[01:24:54.437 --> 01:24:59.099]  They're saying, no, the banks will actually rule the federal government with government power.
[01:24:59.400 --> 01:25:10.746]  So this is like a fourth branch of government above it, a new form of government in the United States, openly being announced, not with a bang, Gary, it's just being, you know, like slipped out, like somebody does something in church.
[01:25:11.311 --> 01:25:15.433]  You mean like a global banking system over the Federal Reserve?
[01:25:15.453 --> 01:25:16.773]  Is that what you're talking about?
[01:25:16.953 --> 01:25:21.135]  Yeah, but actually running government functions and commanding the Pentagon and the executive.
[01:25:21.615 --> 01:25:22.735]  It's above government.
[01:25:22.775 --> 01:25:23.616]  Well, that's the New World Order.
[01:25:24.116 --> 01:25:27.057]  That is what they've been working for for the past 80 or 100 years.
[01:25:27.097 --> 01:25:30.378]  But I mean, they're skipping ahead of three or four more steps.
[01:25:30.418 --> 01:25:32.139]  They're going right to the end.
[01:25:32.239 --> 01:25:34.000]  Well, because they don't have the time.
[01:25:34.500 --> 01:25:38.121]  Because we're waking people up faster than they can go ahead and develop the system.
[01:25:38.381 --> 01:25:41.042]  Their plan all along has been incremental steps.
[01:25:41.442 --> 01:25:46.284]  And now because we are pushing out the information at the rate that we are, they have to amp up their game.
[01:25:46.584 --> 01:25:51.605]  And that's why you're seeing the speed and the new world order developing at this rate.
[01:25:51.805 --> 01:25:52.585]  No, I agree with you.
[01:25:52.625 --> 01:25:56.827]  And they decided to go from the soft tyranny to an open tyranny.
[01:25:57.467 --> 01:25:58.887]  And they've said that in the Financial Times 1.
[01:25:59.207 --> 01:26:00.528]  They said, we are authoritarian.
[01:26:00.988 --> 01:26:01.768]  But this is good.
[01:26:01.808 --> 01:26:04.029]  I mean, they are saying they're authoritarian.
[01:26:06.033 --> 01:26:06.953]  I mean, I keep repeating it.
[01:26:06.993 --> 01:26:08.254]  They are illegitimate, Gary.
[01:26:08.294 --> 01:26:08.914]  So what do we do?
[01:26:09.634 --> 01:26:10.115]  We're pushed.
[01:26:10.135 --> 01:26:11.075]  People say they want solutions.
[01:26:11.375 --> 01:26:12.095]  States' rights?
[01:26:12.235 --> 01:26:12.455]  Not.
[01:26:12.896 --> 01:26:13.716]  Not secession.
[01:26:13.996 --> 01:26:17.317]  We're saying states created the federal government, 9th and 10th Amendment.
[01:26:17.817 --> 01:26:19.998]  We're saying we're not going to follow your unconstitutional stuff.
[01:26:20.018 --> 01:26:23.700]  We're going to get you back under control because the feds have been seized by offshore corporations.
[01:26:24.000 --> 01:26:25.780]  The states have got to come back and get control.
[01:26:26.461 --> 01:26:26.941]  We're saying
[01:26:27.902 --> 01:26:29.584]  HR 1207 to audit the Fed.
[01:26:29.604 --> 01:26:30.765]  That's going to the House floor.
[01:26:30.785 --> 01:26:33.508]  230-something sponsors now.
[01:26:34.209 --> 01:26:35.790]  There's all these other solutions.
[01:26:35.830 --> 01:26:36.911]  Defeat gun grabbing.
[01:26:36.951 --> 01:26:39.775]  Defeat open borders that the globalists want.
[01:26:39.855 --> 01:26:41.897]  Defeat all this foreign aid to foreign bankers.
[01:26:41.997 --> 01:26:42.838]  No more bailouts.
[01:26:43.258 --> 01:26:46.642]  All we give is solutions here, so people listening have no excuse.
[01:26:46.942 --> 01:26:47.643]  What should they do, Gary?
[01:26:47.663 --> 01:26:48.524]  What are some other solutions?
[01:26:48.524 --> 01:26:50.785]  Well, you know, it comes down to the local level.
[01:26:51.925 --> 01:26:56.167]  The Constitution was put in place to limit government.
[01:26:57.548 --> 01:27:09.853]  And the Tenth Amendment, Ninth Amendment, give those powers, not duly enumerated to the federal government, down to the states, and to the local level, and then to the people.
[01:27:11.434 --> 01:27:15.537]  That is where real change can take place, and people have to get involved at a local level.
[01:27:15.657 --> 01:27:16.137]  Exactly.
[01:27:16.357 --> 01:27:20.540]  The presidential elections are important, but it's been totally seized by offshore banks.
[01:27:20.640 --> 01:27:23.521]  Billions of dollars, over $2 billion was spent on the last presidential election.
[01:27:23.922 --> 01:27:33.447]  The power, you'll show up where incredibly important decisions are being made by foreign bankers, where they're literally running local meetings, say in Austin, Texas, or in Chicago, where you're at.
[01:27:33.828 --> 01:27:35.369]  And nobody's there resisting it.
[01:27:35.409 --> 01:27:40.932]  It's like we've just given up, but now people are not giving up, they're starting to find out they can fight back.
[01:27:41.397 --> 01:27:44.479]  Well, I mean, you see groups like, you know, back home in Chicago.
[01:27:45.020 --> 01:27:50.364]  I would be lynched if I went back home and didn't mention the hard work of the Lone Lantern Society there.
[01:27:50.624 --> 01:27:51.605]  We are Change Chicago.
[01:27:51.765 --> 01:27:57.590]  All the guys, you know, nationwide, these grassroots groups that are springing up, and they're showing up at these places.
[01:27:57.790 --> 01:27:59.631]  They're showing up at the Council on Foreign Relations.
[01:27:59.812 --> 01:28:01.533]  They're showing up at these organizational meetings.
[01:28:01.613 --> 01:28:07.699]  And notice how all of a sudden the mainstream media is going, OK, there's a Bohemian Grove.
[01:28:08.019 --> 01:28:09.601]  OK, there is a Trilateral Commission.
[01:28:09.901 --> 01:28:13.345]  OK, the Bilderberg Group does want world government, but it's for your best interest.
[01:28:13.645 --> 01:28:17.189]  So they've lost all this credibility all these years saying it didn't exist.
[01:28:17.489 --> 01:28:19.211]  We've gained all this credibility.
[01:28:19.531 --> 01:28:22.652]  Well, see, they need to have the people accept it.
[01:28:23.193 --> 01:28:26.234]  So for all those years, like you just said, they went ahead and denied its existence.
[01:28:26.294 --> 01:28:27.935]  Now they're coming out and they're saying it does exist.
[01:28:28.335 --> 01:28:30.516]  Because now they need the people to accept it.
[01:28:30.916 --> 01:28:34.658]  Meanwhile, we're coming in like the tip of the spear and waking up the people.
[01:28:34.738 --> 01:28:35.958]  It's neighbor to neighbor.
[01:28:36.199 --> 01:28:38.540]  It's house to house that we have to wake up the people.
[01:28:39.220 --> 01:28:42.842]  If we don't win the court of public opinion, we will lose.
[01:28:44.102 --> 01:28:44.662]  Absolutely.
[01:28:44.702 --> 01:28:46.243]  Gary Franchi here with us in the studio.
[01:28:46.283 --> 01:28:47.503]  We've got about a minute before we break.
[01:28:47.523 --> 01:28:48.784]  We're going to come back and take calls.
[01:28:49.144 --> 01:28:51.925]  Tell me about Restore the Republic Magazine.
[01:28:52.645 --> 01:28:54.226]  You're involved in so much good stuff.
[01:28:54.486 --> 01:28:58.447]  We created a publication to further the work of Aaron Russo, to push his message further.
[01:28:58.688 --> 01:29:05.030]  You know, that movie touched on so many issues and we figured that those issues needed to be expounded upon.
[01:29:06.111 --> 01:29:06.991]  So, there you have it.
[01:29:07.011 --> 01:29:08.072]  That's Republic Magazine.
[01:29:08.132 --> 01:29:10.013]  And we really would like people to go out and check it out.
[01:29:10.073 --> 01:29:12.395]  RepublicMagazine.com.
[01:29:12.455 --> 01:29:13.336]  Grab a subscription.
[01:29:13.356 --> 01:29:14.596]  You can grab bulk copies.
[01:29:15.177 --> 01:29:17.358]  High quality, glossy print publication.
[01:29:18.159 --> 01:29:19.220]  Provocative covers.
[01:29:19.280 --> 01:29:21.161]  You know, our next issue is really hot.
[01:29:21.741 --> 01:29:23.202]  Just go there and take a look at the cover.
[01:29:23.443 --> 01:29:25.884]  George Washington with an AR-15 on his back.
[01:29:26.265 --> 01:29:28.146]  I mean, it's... You gotta love it.
[01:29:28.446 --> 01:29:29.487]  And on top of that...
[01:29:32.981 --> 01:29:34.602]  We don't just need to be high-tech internet.
[01:29:34.622 --> 01:29:36.043]  We need to be low-tech like this.
[01:29:36.124 --> 01:29:38.625]  Leave these at dental offices, wherever.
[01:29:39.206 --> 01:29:45.791]  Because you may unlock an entire soul, an entire brain, with one DVD or one Restore the Republic magazine.
[01:29:46.151 --> 01:29:46.752]  Very exciting.
[01:29:46.792 --> 01:29:47.232]  About to break.
[01:29:47.252 --> 01:29:49.294]  We'll tell folks more about that when we come back.
[01:29:49.394 --> 01:29:50.215]  And your phone calls.
[01:29:50.235 --> 01:29:50.535]  1-800-259-9231.
[01:29:50.615 --> 01:29:52.797]  Infowars.com and prisonplotter.tv are our websites.
[01:30:00.242 --> 01:30:03.227]  We're on the march, the empire's on the run.
[01:30:03.247 --> 01:30:06.852]  Alex Jones and the GCN Radio Network.
[01:30:09.667 --> 01:30:10.768]  This is Alex Jones.
[01:30:11.049 --> 01:30:12.851]  Have you heard of the Millionaire Patriot?
[01:30:13.051 --> 01:30:13.692]  Well, you should.
[01:30:14.032 --> 01:30:18.297]  He has a free handgun and five days of firearms training waiting for you.
[01:30:18.517 --> 01:30:18.998]  That's right.
[01:30:19.338 --> 01:30:27.788]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[01:30:27.988 --> 01:30:29.249]  All for pennies on the dollar.
[01:30:29.349 --> 01:30:30.491]  Plus, if you act fast.
[01:30:30.691 --> 01:30:36.315]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[01:30:36.676 --> 01:30:43.200]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[01:30:43.561 --> 01:30:48.785]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[01:30:49.085 --> 01:30:50.246]  This is real.
[01:30:50.546 --> 01:30:51.287]  Don't miss out.
[01:30:51.607 --> 01:30:58.472]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar.
[01:30:58.712 --> 01:30:59.972]  And get your free handgun.
[01:31:00.152 --> 01:31:02.333]  Go to FrontSight.com today.
[01:31:02.513 --> 01:31:06.014]  That's F-R-O-N-T-S-I-G-H-T.com.
[01:31:06.214 --> 01:31:09.175]  Go to FrontSight.com for your training and free gun.
[01:31:09.976 --> 01:31:10.556]  Hello, friends.
[01:31:10.616 --> 01:31:11.536]  This is Alex Jones.
[01:31:11.676 --> 01:31:14.597]  I've told you for a long time it's important to be self-sufficient.
[01:31:14.657 --> 01:31:16.238]  And today, that's more important than ever.
[01:31:16.418 --> 01:31:17.478]  We need to be independent.
[01:31:17.598 --> 01:31:19.178]  And food and water is the key.
[01:31:19.379 --> 01:31:22.239]  You'll never have to stand in a bread line if you have your own bread.
[01:31:22.419 --> 01:31:26.081]  You'll never have to go to the Superdome and beg for FEMA to take care of your family.
[01:31:26.241 --> 01:31:27.141]  In any emergency,
[01:31:27.361 --> 01:31:28.302]  If you simply prepare.
[01:31:28.502 --> 01:31:31.424]  No one is going to take care of your family in the final equation but you.
[01:31:31.744 --> 01:31:38.630]  You know, efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[01:31:38.730 --> 01:31:41.852]  And they do it at almost half the cost of last year's grocery prices.
[01:31:42.012 --> 01:31:42.272]  Call 1-800-409-5633.
[01:31:42.292 --> 01:31:43.553]  Or on the web, go to efoodsdirect.com.
[01:31:47.156 --> 01:31:53.220]  Visit efoodsdirect.com and look over the fine list of high-quality, pre-scribed, and dehydrated foods they have to offer.
[01:31:53.400 --> 01:31:56.722]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[01:31:56.763 --> 01:31:57.923]  Again, 1-800-409-5633 or on the web at efoodsdirect.com.
[01:31:57.943 --> 01:31:58.424]  Take action today.
[01:31:58.464 --> 01:31:59.825]  The first step is getting storable food.
[01:32:10.137 --> 01:32:13.520]  More than 700 chemicals have been found in our drinking water.
[01:32:13.680 --> 01:32:18.884]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[01:32:19.064 --> 01:32:23.827]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[01:32:24.028 --> 01:32:34.996]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[01:32:35.276 --> 01:32:40.842]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons, or 1 year whichever comes first.
[01:32:41.022 --> 01:32:47.109]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals and bacteria.
[01:32:47.269 --> 01:32:47.890]  What about you?
[01:32:48.130 --> 01:32:52.875]  Order your KDF Shower Filter normally, $49 for a special price of only $39.99, with free shipping.
[01:32:54.336 --> 01:32:56.578]  Call the Berkey Guy and order now by calling 1-877-886-3653.
[01:32:56.658 --> 01:32:56.918]  That's 1-877-886-3653.
[01:32:56.978 --> 01:32:58.559]  Or order online by visiting us at Directive21.com.
[01:32:58.579 --> 01:32:59.980]  That's Directive, the number 21 dot com now.
[01:33:18.837 --> 01:33:22.899]  Now that is a handsome creature out there.
[01:33:22.919 --> 01:33:27.821]  French Bulldog puppy, ladies and gentlemen.
[01:33:27.901 --> 01:33:30.882]  Full of fat asses.
[01:33:30.922 --> 01:33:31.543]  How old is he?
[01:33:41.799 --> 01:33:42.479]  Five months.
[01:33:42.679 --> 01:33:44.540]  He's big for the breed.
[01:33:44.680 --> 01:33:45.740]  This is one of the blue ones.
[01:33:46.221 --> 01:33:49.262]  Anyways, this is my wife's baby.
[01:33:49.282 --> 01:33:52.243]  Name's Captain.
[01:33:53.343 --> 01:33:55.144]  Captain Fantastic, ladies and gentlemen.
[01:33:55.604 --> 01:33:56.944]  And he doesn't like the New World Order.
[01:33:57.685 --> 01:33:57.985]  At all.
[01:33:58.005 --> 01:33:59.285]  Watch out, you're going to drench him off the table.
[01:33:59.305 --> 01:33:59.825]  Just let him go.
[01:33:59.845 --> 01:34:00.406]  Yeah, let him down.
[01:34:00.426 --> 01:34:01.206]  Thank you.
[01:34:01.266 --> 01:34:02.266]  Go ahead and let him down, Franchi.
[01:34:02.326 --> 01:34:02.626]  Thank you.
[01:34:03.186 --> 01:34:04.307]  Got his white hair all over me.
[01:34:06.192 --> 01:34:09.733]  My parents got his sister, and he's been over at their house fighting all day.
[01:34:09.793 --> 01:34:11.054]  He's got bite marks on him and stuff.
[01:34:11.074 --> 01:34:12.114]  Those puppies are something else.
[01:34:12.714 --> 01:34:16.015]  Franchie, it's always something new around here on the show.
[01:34:16.055 --> 01:34:18.456]  That dog is a terrorist, probably, according to Homeland Security.
[01:34:19.496 --> 01:34:21.777]  You presented me with a silver piece of the day.
[01:34:21.797 --> 01:34:27.839]  I want to present you with our Culpeper flag t-shirt.
[01:34:28.639 --> 01:34:32.841]  The come and take it, don't tread on me, coiled snake of liberty.
[01:34:33.202 --> 01:34:40.426]  And on the back it has the Thomas Jefferson quote, the tree of liberty must be refreshed from time to time with the blood of patriots and tyrants.
[01:34:40.466 --> 01:34:45.248]  This is the way we get people to go out and meet like-minded folks, wear our colors loud and proud.
[01:34:45.789 --> 01:34:48.070]  And that's XXLARGE for you, my friend.
[01:34:48.090 --> 01:34:48.850]  I hope that's the right size.
[01:34:48.870 --> 01:34:49.991]  And this, the answer to 1984 is 1776.
[01:34:55.984 --> 01:35:00.005]  And this one isn't quite as provocative as an evil founding father flag.
[01:35:00.025 --> 01:35:02.506]  You might get questioned by Homeland Security for that one.
[01:35:02.526 --> 01:35:04.386]  This is where people say, what is that?
[01:35:04.446 --> 01:35:05.407]  What's 1776?
[01:35:06.027 --> 01:35:06.247]  What's 1984?
[01:35:07.007 --> 01:35:09.928]  And we found this is a great way to strike up conversations.
[01:35:09.948 --> 01:35:13.869]  And then it's got a little InfoWars.com on the back.
[01:35:13.949 --> 01:35:17.050]  So, Gary from the InfoWars Command Center.
[01:35:17.930 --> 01:35:21.093]  To you and to the Restore the Republic folks.
[01:35:22.415 --> 01:35:22.835]  Thank you.
[01:35:23.256 --> 01:35:24.637]  There, you've got some of our colors there.
[01:35:24.657 --> 01:35:26.539]  I will wear them with pride, Alex.
[01:35:26.599 --> 01:35:28.021]  I will wear them with pride.
[01:35:28.041 --> 01:35:29.422]  1776 is pretty anti-American, though.
[01:35:29.442 --> 01:35:30.103]  You better watch it.
[01:35:30.123 --> 01:35:30.523]  1776, huh?
[01:35:30.603 --> 01:35:33.546]  You know, I have FEMA on tape saying that's terrorism.
