[00:00:19.180 --> 00:00:20.163]  We are back live.
[02:11:54.408 --> 02:11:55.329]  Gerald Solenday, stay there.
[02:11:55.349 --> 02:11:58.631]  You've been saying this is a fascist country and there needs to be a revolution.
[02:11:59.753 --> 02:12:03.014]  Attention gardeners, this is an urgent GCN self-reliance update.
[02:12:03.254 --> 02:12:07.576]  GCN has just discovered a new bioactive superfood for garden plants, flowers, and herbs.
[02:12:07.776 --> 02:12:15.659]  It's called ProtoGrow and it's so effective at producing rapid plant growth that it seems to almost force plants to grow like crazy under practically any soil and light conditions.
[02:12:15.979 --> 02:12:18.803]  Now, here's the best part for our listeners who garden for self-reliance.
[02:12:19.103 --> 02:12:26.633]  Proto-Gro's unique blend of sea nutrients maximizes mineral uptake and dramatically increases bloom set, creating maximum plant growth in minimum time.
[02:12:26.734 --> 02:12:32.321]  Proto-Gro works by providing geometric keys which have the capacity to actually unlock the genetic code for nutritional uptake in plants.
[02:12:32.541 --> 02:12:38.105]  ProtoGro's full-spectrum plant fertility means fruits and vegetables with extraordinary taste and up to 10 times the nutritional value.
[02:12:38.385 --> 02:12:41.687]  And if you want to double or triple the potency of herbs or wheatgrass, you can.
[02:12:41.927 --> 02:12:45.290]  If you want to grow nutritionalized superfoods with non-hybrids, it's now easy.
[02:12:45.510 --> 02:12:50.573]  GCN listeners who want to grow dirt cheap superfoods should visit the ProtoGro website at growlikecrazy.com.
[02:12:50.593 --> 02:12:53.455]  That's www.growlikecrazy.com or call 877-327-0365.
[02:12:53.475 --> 02:12:53.675]  That's 877-327-0365.
[02:13:00.091 --> 02:13:05.345]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[02:13:06.139 --> 02:13:11.462]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[02:13:12.002 --> 02:13:18.205]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[02:13:18.505 --> 02:13:20.326]  Well, Obama's already fudging.
[02:13:20.466 --> 02:13:22.867]  He's fudged since day one of this election.
[02:13:22.928 --> 02:13:33.833]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[02:13:36.121 --> 02:13:37.382]  It's not about left or right.
[02:13:37.782 --> 02:13:39.183]  It's about a one world government.
[02:13:39.644 --> 02:13:45.969]  This film documents who Obama works for, the lies he is told, and his real agenda.
[02:13:46.569 --> 02:13:54.335]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[02:13:54.816 --> 02:13:55.976]  The Obama Deception.
[02:13:56.397 --> 02:13:57.578]  The people strike back.
[02:13:59.173 --> 02:13:59.613]  Gold.
[02:13:59.953 --> 02:14:01.234]  It's like nothing else on Earth.
[02:14:01.494 --> 02:14:07.576]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[02:14:07.756 --> 02:14:11.578]  For 6,000 years, gold has remained the ultimate store of wealth.
[02:14:11.938 --> 02:14:13.818]  According to the World Gold Council and the U.S.
[02:14:13.879 --> 02:14:16.159]  Mint, demand is at an all-time high.
[02:14:16.319 --> 02:14:23.202]  The stage is being set for the reemergence of gold as the common-sense alternative to a fiat paper currency that gets weaker and
[02:14:23.342 --> 02:14:33.309]  Every day, Midas Resources is proud to offer the hard-hitting report that arms you with the truth you need to protect you and your family from the Fed's plans for your hard-earned money.
[02:14:33.469 --> 02:14:34.590]  Don't gamble with your future.
[02:14:34.750 --> 02:14:38.973]  Call Midas Resources today and ask for your free copy of As Good As Gold.
[02:14:39.193 --> 02:14:44.815]  Call 1-800-686-2237 for the report of Fed hopes you'll never see.
[02:14:45.115 --> 02:14:47.716]  As good as gold can be yours by calling 800-686-2237.
[02:14:48.017 --> 02:14:54.019]  If you have ever thought about owning gold, you must read this report.
[02:14:54.199 --> 02:14:55.560]  Call Midas today at 800-686-2237.
[02:14:55.600 --> 02:15:00.041]  Alex Jones here with a question.
[02:15:00.221 --> 02:15:01.642]  What does humidity mean to you?
[02:15:01.962 --> 02:15:04.143]  Most people think of hot and sticky summer days.
[02:15:04.643 --> 02:15:09.388]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[02:15:09.789 --> 02:15:12.632]  That's why I'd like you to visit acolablue.com.
[02:15:12.972 --> 02:15:16.476]  Acolablue is a state-of-the-art atmospheric water generator.
[02:15:16.883 --> 02:15:28.868]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[02:15:29.428 --> 02:15:31.409]  Finally, drinking water that you control.
[02:15:31.429 --> 02:15:32.730]  I use one every day.
[02:15:33.150 --> 02:15:35.611]  Say goodbye to expensive water delivery services.
[02:15:35.911 --> 02:15:37.411]  Call Ecolablue right now at 1-800-691-6043.
[02:15:37.431 --> 02:15:37.732]  That's 1-800-691-6043.
[02:15:37.752 --> 02:15:39.772]  Or visit Ecolablue at ecoloblue.com today.
[02:16:08.447 --> 02:16:13.054]  Alright, I want to move through a lot of quick questions for Gerald Cilente.
[02:16:13.555 --> 02:16:15.979]  We'll take a few of your calls too before he leaves us at 1-800-25 at 99231.
[02:16:22.182 --> 02:16:35.690]  Obama's job, and I want to see if you agree with this, sir, is to stall the left long enough for the banks to end up sanguinating or sucking the nation dry, and to also drive a left-right wedge.
[02:16:35.710 --> 02:16:42.313]  You notice how the media is trying to say anybody who protests the taxes is a racist, period.
[02:16:42.353 --> 02:16:46.636]  That's been a talking point on CNN and MSNBC, like parrots.
[02:16:48.733 --> 02:16:52.875]  Well, the left is going to stay with Obama regardless of what he does, just like they did with Clinton.
[02:16:52.895 --> 02:16:54.536]  As I said, the liberals are bigger hypocrites than the
[02:17:17.864 --> 02:17:18.844]  than the Conservatives.
[02:17:18.884 --> 02:17:21.285]  The Conservatives believe what they're doing.
[02:17:21.345 --> 02:17:24.366]  The Liberals turn blind eyes and make excuses.
[02:17:25.106 --> 02:17:35.189]  On the issues of the tax revolts and how they've divided this between left and right, it's very important to understand what's going on here.
[02:17:35.889 --> 02:17:46.752]  In the sense that, if you go back to our Trends Journal, and this went out in December of 2007 for our top trends coming up,
[02:17:47.426 --> 02:17:51.167]  In the coming years, one of them was tax revolts.
[02:17:51.247 --> 02:17:56.068]  Now remember, Bush was president when we wrote this, and this is what we said.
[02:17:57.048 --> 02:18:06.070]  It was the reason for starting the first American revolution, and as the trends add up, it will also be a reason for starting the second.
[02:18:06.890 --> 02:18:17.192]  Fed up and not willing or able to take it anymore, overtaxed Americans will begin the battle against politicians and bureaucrats
[02:18:17.890 --> 02:18:21.371]  In the fight to lower and or repeal taxes.
[02:18:22.231 --> 02:18:25.812]  This has nothing to do with Obama.
[02:18:26.432 --> 02:18:36.954]  This has to do with property taxes, school taxes, sin taxes, hassle taxes, sales taxes.
[02:18:37.434 --> 02:18:39.755]  People are losing their jobs.
[02:18:40.115 --> 02:18:42.035]  They're losing their homes.
[02:18:42.575 --> 02:18:45.596]  They've lost, Alex, in the last year
[02:18:46.155 --> 02:18:50.477]  Eleven trillion dollars worth of wealth.
[02:18:51.878 --> 02:18:57.400]  The American people in terms of stocks and lost values in their homes.
[02:18:58.121 --> 02:18:59.561]  That's what this is about.
[02:18:59.861 --> 02:19:03.003]  This has nothing to do with left or right.
[02:19:03.563 --> 02:19:08.626]  And what's happening are different people out there are exploiting it.
[02:19:09.346 --> 02:19:13.668]  Particularly the politicians and some of the people in the media.
[02:19:14.249 --> 02:19:15.630]  This is not a left-winger.
[02:19:16.251 --> 02:19:24.798]  What we called it was the coalition of the cash-strapped will lead a mainstream American tax battle.
[02:19:25.099 --> 02:19:26.720]  We wrote this in 2007.
[02:19:27.501 --> 02:19:33.446]  So we always get a kick out of how the people that didn't see it coming
[02:19:33.900 --> 02:19:39.145]  Are now saying what it's all about and then they proclaim what's going to happen next.
[02:19:39.545 --> 02:19:42.068]  History was made.
[02:19:42.108 --> 02:19:42.628]  History was made.
[02:19:42.648 --> 02:19:43.649]  Startover has interrupted you.
[02:19:43.970 --> 02:19:49.955]  Then we have Janine Garofalo on CNN and the Rachel Maddow on MSNBC.
[02:19:49.995 --> 02:19:53.619]  What a disgusting, snotty little thing she is.
[02:19:53.699 --> 02:19:57.583]  My God, that snooty little... Oh, I watched that with...
[02:19:58.433 --> 02:20:03.255]  It felt like, you know, I couldn't stand Howard Cosell in the old days when I used to watch that stuff.
[02:20:03.575 --> 02:20:06.056]  And I wanted to smash the television.
[02:20:06.396 --> 02:20:14.599]  When I heard her going on with her snide little tea-bagging routine that she must have said a hundred times in ten minutes.
[02:20:15.159 --> 02:20:17.240]  You know, it's again, it's those people.
[02:20:17.782 --> 02:20:22.966]  That are trying to deride everyone that this is a pocketbook issue.
[02:20:23.266 --> 02:20:25.128]  This has nothing to do with ideology.
[02:20:25.148 --> 02:20:37.978]  Well, that's what I was going to say next, and she cold-bloodedly knows that, and Oberman was there, I lost all respect for him, knowingly saying that we were engaged in weird fellatio, for those that don't know, that's what the teabagging thing is, to see national TV.
[02:20:38.098 --> 02:20:40.020]  Anderson Cooper was doing it on CNN.
[02:20:40.740 --> 02:20:43.902]  And then she said they're all racist, they hate black people.
[02:20:44.303 --> 02:20:48.906]  That is the racism she is injecting into the middle of a tax revolt.
[02:20:49.146 --> 02:20:51.107]  People going bankrupt, losing their homes.
[02:20:51.127 --> 02:20:53.669]  12.8 trillion stolen in six months.
[02:20:53.969 --> 02:20:55.490]  Foreign banks looting everything.
[02:20:56.471 --> 02:20:59.833]  We're on the verge of riots and she injects race into it.
[02:21:00.113 --> 02:21:06.878]  So poor black folks, when they see people out there protesting, even though there's a lot of black folks there, think it's a giant Ku Klux Klan rally.
[02:21:07.278 --> 02:21:10.320]  Is that not literally psychological terror?
[02:21:11.521 --> 02:21:13.144]  This is what they're trying to do.
[02:21:13.184 --> 02:21:25.722]  Did you hear this Axelrod, this David Axelrod, the senior White House advisor, calling... He said that the Tea Party movement is, quote, unhealthy.
[02:21:26.277 --> 02:21:31.079]  You know, this has to go down as one of the 10 dumbest statements ever made in history.
[02:21:31.379 --> 02:21:32.019]  Stay right there.
[02:21:32.179 --> 02:21:32.659]  Stay right there.
[02:21:32.679 --> 02:21:33.920]  Gerald Salente is our guest.
[02:21:33.980 --> 02:21:35.280]  It's an absolutely amazing interview.
[02:21:35.641 --> 02:21:42.883]  Let's come back and talk about your statements on Russian television and on ABC News about revolution in the United States.
[02:21:43.383 --> 02:21:44.484]  Gerald Salente is our guest.
[02:21:44.504 --> 02:21:45.724]  We'll give you his website when we come back.
[02:21:45.744 --> 02:21:46.185]  Stay with us.
[02:21:49.606 --> 02:21:50.526]  We're on the march.
[02:21:51.006 --> 02:21:52.507]  The empire's on the run.
[02:21:53.520 --> 02:21:56.219]  Alex Jones and the GCN Radio Network.
[02:21:59.773 --> 02:22:03.056]  Silver is mankind's oldest natural antibiotic.
[02:22:03.216 --> 02:22:07.300]  This very special mineral has been used for centuries by most cultures throughout the world.
[02:22:07.480 --> 02:22:18.911]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[02:22:19.151 --> 02:22:24.977]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[02:22:25.217 --> 02:22:25.837]  We're good to go.
[02:22:47.793 --> 02:22:48.053]  We're good.
[02:23:03.263 --> 02:23:05.385]  Barack Obama is the tip of the spear.
[02:23:05.886 --> 02:23:12.894]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[02:23:13.474 --> 02:23:19.641]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[02:23:20.041 --> 02:23:21.882]  Well, Obama's already fudging.
[02:23:22.022 --> 02:23:24.444]  He's fudged since day one in this election.
[02:23:24.524 --> 02:23:35.471]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[02:23:36.092 --> 02:23:37.392]  It's not about left or right.
[02:23:37.773 --> 02:23:39.154]  It's about a one-world government.
[02:23:39.634 --> 02:23:45.858]  This film documents who Obama works for, the lies he is told, and his real agenda.
[02:23:46.525 --> 02:23:54.308]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[02:23:54.789 --> 02:23:55.929]  The Obama Deception.
[02:23:56.369 --> 02:23:57.550]  The people strike back!
[02:23:59.528 --> 02:24:00.949]  So you want to stop smoking.
[02:24:00.989 --> 02:24:02.110]  Well, here's what I want you to do.
[02:24:02.270 --> 02:24:05.032]  Go to a drugstore and take a stop smoking product off the shelf.
[02:24:05.152 --> 02:24:08.975]  Go to the cashier, tell him you don't want to pay for the product, you just want to take it home and try it.
[02:24:09.155 --> 02:24:12.697]  And if, and only if, you stop smoking, will you then come back and pay for it.
[02:24:12.918 --> 02:24:14.879]  Most likely, if you try this, you'd be arrested.
[02:24:14.919 --> 02:24:18.822]  But as silly as this sounds, this is exactly what the smoke-free free trial offer is.
[02:24:19.222 --> 02:24:26.006]  Smoke Free is a complete all-natural stop smoking system and when you call today they'll send you a 30-day supply of the program absolutely free.
[02:24:26.286 --> 02:24:35.372]  This program eliminates withdrawals and cravings and includes a 30-day supply of the Smoke Free Capsules, a guide to living smoke-free book, an audio support program, capsule holder,
[02:24:35.592 --> 02:24:35.752]  I'm good.
[02:25:06.425 --> 02:25:07.987]  He's in the Obama deception.
[02:25:08.007 --> 02:25:09.468]  He's Gerald Cilente.
[02:25:11.750 --> 02:25:14.713]  Be sure and check out his website, TrendsResearch.com.
[02:25:14.813 --> 02:25:16.114]  One more, TrendsResearch.com.
[02:25:16.374 --> 02:25:18.556]  Big fat link up on InfoWars.com.
[02:25:18.596 --> 02:25:21.379]  If you forget the URL, I suggest you subscribe to it.
[02:25:21.980 --> 02:25:24.182]  Okay, let's start over there because we got cut in by the break.
[02:25:25.404 --> 02:25:30.766]  Garofalo, she knows, as snot knows as she is, and I've actually used that term myself, but it's a good term for them.
[02:25:31.446 --> 02:25:32.206]  They know, though.
[02:25:32.326 --> 02:25:34.187]  They think they're these big smart geniuses.
[02:25:35.067 --> 02:25:35.707]  They're desperate.
[02:25:35.727 --> 02:25:36.688]  They know they're parasites.
[02:25:36.708 --> 02:25:37.588]  They're not really liberals.
[02:25:37.668 --> 02:25:38.548]  It's like Margaret Sanger.
[02:25:38.928 --> 02:25:42.029]  All her private papers, how much she hated blacks and wanted to kill them, all of it.
[02:25:42.389 --> 02:25:47.231]  She would go around explaining to the blacks how much she loved them as a liberal and, you know, let's just sterilize you or have an abortion.
[02:25:47.841 --> 02:25:48.962]  It's the same thing with these people.
[02:25:49.223 --> 02:26:03.861]  They love to pimp around limousine liberals, you know, like they're helping everybody and they're good, but her and Elberman scientifically know that 98% of the American people, and that's a conservative number, some polls show 99% against the bank or takeover, as you know, Gerald, are together.
[02:26:04.101 --> 02:26:05.383]  So they gotta make this
[02:26:05.763 --> 02:26:09.865]  A left-wing, right-wing issue, and Fox financing trying to take that over.
[02:26:10.125 --> 02:26:14.327]  They're the party out of power, the Republicans, so they can act like they're patriots now.
[02:26:14.687 --> 02:26:16.407]  Rick Perry and all these politicians.
[02:26:16.668 --> 02:26:18.248]  Can you elaborate on that?
[02:26:18.268 --> 02:26:33.394]  I mean, just the cold-blooded treason of this, trying to get the American people fighting with each other, and on national TV, injecting race and racism into things so that black folks, when you see them, you know, at the grocery store, think you're out to get them.
[02:26:33.675 --> 02:26:34.595]  I mean, this is amazing.
[02:26:35.745 --> 02:26:45.170]  Well, again, what they're trying to do, as we see it, with minimizing this tax revolt, is that this has legs.
[02:26:45.470 --> 02:26:50.853]  As I said, we're the folks that saw it coming first and wrote about it, as far as we know.
[02:26:51.393 --> 02:26:55.075]  And we're saying this was a historical event.
[02:26:55.615 --> 02:27:02.519]  So when you have the President, Senior White House Advisor Axelrod, going on to face the nation,
[02:27:03.135 --> 02:27:09.897]  And saying, this country, this is a country where we value liberties and our ability to express ourselves.
[02:27:10.577 --> 02:27:13.118]  And he goes, these expressions are unhealthy.
[02:27:13.138 --> 02:27:15.478]  And then you have that guy Carville.
[02:27:16.919 --> 02:27:22.820]  He calls the Tea Party movements, quote, harmless and damaging to Republicans.
[02:27:23.441 --> 02:27:28.782]  So clearly what they're trying to do is, they know the power of this.
[02:27:29.286 --> 02:27:34.351]  And they're trying to marginalize it by putting people in these categories.
[02:27:34.832 --> 02:27:37.334]  This has nothing to do with ideology.
[02:27:37.615 --> 02:27:40.437]  Are there Libertarians and Republicans out there?
[02:27:40.457 --> 02:27:41.478]  Of course there are.
[02:27:41.779 --> 02:27:47.865]  But there are just angry people that are losing everything, and that's the bigger picture.
[02:27:48.085 --> 02:27:48.906]  And this has meant...
[02:27:50.968 --> 02:27:56.071]  To keep the Democrats from coming out and joining the American people, the Democrats that are... Exactly.
[02:27:56.791 --> 02:27:57.432]  Exactly.
[02:27:57.492 --> 02:28:04.836]  It's keeping the Democrats and other people out from joining them, and they're driving a wedge, and they're doing a good job at it.
[02:28:05.316 --> 02:28:11.680]  But it's only going to be temporary, because when it gets down to the pocketbook issue, then it becomes real.
[02:28:11.760 --> 02:28:13.721]  Which, by the way, that's the next thing.
[02:28:14.101 --> 02:28:19.584]  And as you well know from our Trends Journal, in the Spring Edition, we wrote a lot about it.
[02:28:20.214 --> 02:28:28.239]  And that this recovery that we're seeing in the stock market, what we called it, was a false flag recovery.
[02:28:28.799 --> 02:28:42.587]  These banks, as you well know, they're now allowed to value their toxic assets at any number that they want to give them, and they're producing fake earning increases.
[02:28:43.286 --> 02:28:46.527]  And it's like you giving me a couple of billion dollars.
[02:28:46.627 --> 02:28:49.448]  I'll report some earnings increases.
[02:28:49.748 --> 02:28:51.028]  Oh, I'll show you profit.
[02:28:51.288 --> 02:28:52.769]  Give me some more billions.
[02:28:53.109 --> 02:28:54.469]  This thing is going down.
[02:28:54.589 --> 02:28:55.910]  It's going to be nonstop.
[02:28:56.310 --> 02:29:00.991]  And the people that don't see what's coming and do not take preventive measures.
[02:29:01.351 --> 02:29:04.552]  And you pointed it out very clearly in the Obama deception.
[02:29:04.832 --> 02:29:08.213]  And if anyone didn't see it yet, they don't know what they're missing.
[02:29:08.673 --> 02:29:11.094]  And people need to know this.
[02:29:11.468 --> 02:29:17.219]  That they better take precautionary measures now because the ship is sinking.
[02:29:17.740 --> 02:29:24.172]  And as you well know also, Alex, they're calling what we're putting out pessimism porn.
[02:29:25.071 --> 02:29:28.232]  You know, and they have this, you know, and they laugh about it.
[02:29:28.412 --> 02:29:31.672]  Oh, you know, Solenti predicted this, he predicted that.
[02:29:31.712 --> 02:29:35.313]  Gerald, Gerald, Gerald, let me stop you, let me stop you there for just a second.
[02:29:35.733 --> 02:29:39.634]  I need you to, your phone's receiver is so good, it's kind of overdriving, so back off the phone a bit.
[02:29:39.674 --> 02:29:40.434]  I'm sorry.
[02:29:40.894 --> 02:29:42.195]  No, no, no, no, it's probably our fault.
[02:29:42.215 --> 02:29:47.396]  But, um, yeah, start over with this pessimism porn, and then that leads into my next question.
[02:29:48.596 --> 02:29:55.102]  We have these MIAC reports that we broke and then the federal reports saying those buying guns are the number one threat to the government and ammo.
[02:29:56.583 --> 02:29:58.825]  Reports that the veterans are the number one threat.
[02:29:59.065 --> 02:30:03.168]  So they built up this anti-terror apparatus, as I've been predicting for years.
[02:30:03.549 --> 02:30:08.933]  They then swung it around overnight and pointed it at the tax protesters, gun owners.
[02:30:09.333 --> 02:30:11.395]  I mean, this is turning into hardcore tyranny.
[02:30:11.415 --> 02:30:14.478]  So can you elaborate on what you were just talking about?
[02:30:15.038 --> 02:30:22.021]  Uh, with them calling us, uh, pessimism porn and then leading into, we're terrorists and need the new domestic CIA to watch us.
[02:30:22.761 --> 02:30:25.923]  Well, the New York Times did an op-ed piece on March 26th.
[02:30:26.283 --> 02:30:29.684]  They called what I'm putting out pessimism porn.
[02:30:30.445 --> 02:30:38.328]  And even though, of course, they cite all the accuracies that we have produced over the nearly 30 years of business.
[02:30:38.969 --> 02:30:40.309]  So they came out with this line.
[02:30:40.329 --> 02:30:44.151]  We're calling what they're putting out optimism opium.
[02:30:44.912 --> 02:30:53.449]  You won't die from porn, but boy, you'll die from this optimism opium because the ship is going down and they've drugged the people.
[02:30:53.914 --> 02:30:58.338]  And then you pointed it out with this left-wing movement and these liberals.
[02:30:58.398 --> 02:31:01.860]  They're drugging the people into believing the lines.
[02:31:02.281 --> 02:31:04.062]  It's optimism opium.
[02:31:04.363 --> 02:31:05.483]  They keep selling it.
[02:31:05.744 --> 02:31:12.009]  And at the same level, by the way, they're always pushing out, you know, the economists say this and the economists say that.
[02:31:12.289 --> 02:31:13.730]  But we need to be confident.
[02:31:13.810 --> 02:31:15.071]  We need to be optimistic.
[02:31:15.391 --> 02:31:15.952]  Wait a minute.
[02:31:16.172 --> 02:31:19.715]  If you're going to stick with economics and use mathematical formulas,
[02:31:20.143 --> 02:31:26.527]  And call it a science, even though it's a pseudoscience, then what does optimism and confidence have with this?
[02:31:26.928 --> 02:31:28.429]  This isn't about pessimism.
[02:31:28.889 --> 02:31:30.450]  The ship has hit an iceberg.
[02:31:30.830 --> 02:31:31.531]  It's sinking.
[02:31:32.131 --> 02:31:38.135]  And you better grab a lifeboat, a lifejacket, or a life raft, because there's not even going to be debris to hang on to.
[02:31:38.395 --> 02:31:40.096]  This thing's going down quickly.
[02:31:40.497 --> 02:31:48.182]  And they're cozying the people into thinking that this is going to be saved by a song and dance man out there.
[02:31:48.550 --> 02:31:52.274]  That's going to bring the country into a new age.
[02:31:52.374 --> 02:31:53.255]  It's not happening.
[02:32:04.147 --> 02:32:32.441]  You know, the deck to try to float on, and they're telling us we're not even on a ship, and we're not even on the North Atlantic, and then meanwhile, they're now saying people that don't like the banks are terrorists, and we found out when we were protesting the Fed that's in the Obama deception, we got the secret document, now it's mainstream news, the Army was watching us, and the Army document that got leaked to us, and then we put it out, and now the news confirmed it, says, look out military, don't let them know you're military spying on them, they're terrorists and may kill you.
[02:32:33.061 --> 02:32:35.843]  I mean, this is entering cuckoo land level.
[02:32:35.863 --> 02:32:37.664]  Well, it's not entering cuckoo land.
[02:32:37.704 --> 02:32:39.485]  What it's entering is fascism.
[02:32:40.206 --> 02:32:49.692]  And that's what this is, the merger of corporate and state powers, according to Mussolini, who knew a thing or two about fascism.
[02:32:50.052 --> 02:32:51.333]  That's what he called it.
[02:32:51.914 --> 02:32:53.615]  And that's what's going on now.
[02:32:54.515 --> 02:32:58.078]  And this is just the... Now, first, it's the economic fascism.
[02:32:58.538 --> 02:33:01.300]  Secondly, it's going to be the political fascism.
[02:33:01.852 --> 02:33:08.697]  America's turning into a fascist state, and I'm not a right-winger, I'm not a left-winger, I'm a political atheist.
[02:33:08.978 --> 02:33:11.740]  I call a spade a spade, I have no trouble with that.
[02:33:12.340 --> 02:33:23.609]  And when you look again at the definition by Mussolini, the merger of corporate and state powers is called fascism.
[02:33:24.136 --> 02:33:34.370]  So what you're talking about with the intelligence and the wiretapping and calling us extremists, that's the next level.
[02:33:34.690 --> 02:33:40.158]  That's to put down the revolt and the revulsion of what's going on.
[02:33:41.277 --> 02:33:51.965]  But we're obviously on the right saying we shouldn't have offshore banks hijacking the government, bipartisanly, and stealing $12.8 trillion, the GDP, in six months.
[02:33:52.065 --> 02:33:55.128]  And that's in late April 2009.
[02:33:56.148 --> 02:33:57.369]  God knows what it'll be soon.
[02:33:57.389 --> 02:34:00.832]  They're saying it's on line to be $26 trillion by the end of the year.
[02:34:01.432 --> 02:34:03.474]  That'll be double the GDP.
[02:34:03.994 --> 02:34:06.296]  I mean, this is just open crime.
[02:34:06.796 --> 02:34:09.719]  And I guess, then, Gerald, you're saying they're going for broken.
[02:34:10.659 --> 02:34:19.085]  They're, I mean, because now they're announcing White House officials says we'll bail out the newspapers and TV, but then the government will own it and tell them what to say.
[02:34:19.105 --> 02:34:19.665]  That's L.A.
[02:34:19.705 --> 02:34:20.106]  Times.
[02:34:20.486 --> 02:34:30.012]  And then we have them firing the head of GM and telling them what to do and telling the head of Dodge, you will let Fiat, the Bilderberg Group owned thing, take you over.
[02:34:30.052 --> 02:34:31.693]  I mean, it really is fascism.
[02:34:32.374 --> 02:34:34.475]  Again, you know, Americans are drugged.
[02:34:34.495 --> 02:34:36.797]  We're the most medicated country in the world.
[02:34:37.361 --> 02:34:48.550]  And now we're drugged on this optimism opium that we have the showmen in chief singing and dancing it out there, you know, putting on all these stage shows.
[02:34:49.211 --> 02:34:50.752]  So they're drugged.
[02:34:50.812 --> 02:34:53.715]  The people are drugged in more ways than one.
[02:34:54.818 --> 02:35:12.844]  And now you know that, I mean, you go out, you see people, they're twittering, they're text messaging, they're out of their minds, they're not watching what's going on, and when you have that kind of situation, Alex, you could push everything over on them.
[02:35:13.064 --> 02:35:13.385]  It's a spell.
[02:35:13.425 --> 02:35:14.825]  And that's what's going on right now.
[02:35:15.025 --> 02:35:17.146]  It's a spell, it's like they've been hypnotized.
[02:35:17.751 --> 02:35:17.991]  Right.
[02:35:18.452 --> 02:35:20.954]  Again, it's Optimism Opium.
[02:35:21.114 --> 02:35:22.595]  They sell it every day.
[02:35:22.975 --> 02:35:26.798]  Can't you say something positive?
[02:35:27.199 --> 02:35:36.987]  I mean, look at the last words of the guy who did the Good Morning America interview with me.
[02:35:37.007 --> 02:35:41.610]  He said something like, oh, you know, you're not a happy guy or something like that.
[02:35:41.691 --> 02:35:43.372]  You know, some silly thing.
[02:35:43.392 --> 02:35:44.493]  He was a nice enough guy.
[02:35:45.276 --> 02:35:55.159]  And by the way, I have to tell you, Fox has been very good with me, and I've gotten to know a number of the people on the Fox Happy Hour, and I can't say enough good things about them.
[02:35:55.539 --> 02:36:01.441]  And they're not the people that I talk to on the set, and I've been on that show quite a bit.
[02:36:01.801 --> 02:36:03.322]  I have to tell you, they're not...
[02:36:03.717 --> 02:36:05.098]  They're not taking stands.
[02:36:05.158 --> 02:36:07.859]  They're not Republican or Democrat, right or left.
[02:36:08.259 --> 02:36:09.760]  You know, they're fed up with this stuff.
[02:36:09.780 --> 02:36:10.921]  Well, let me tell you, let me tell you.
[02:36:11.341 --> 02:36:15.263]  I've talked over the years to a lot of Fox producers, and they're listeners of the show.
[02:36:15.303 --> 02:36:16.404]  They know about the New World Order.
[02:36:16.924 --> 02:36:18.425]  They can't stand what they're doing.
[02:36:19.485 --> 02:36:21.867]  Uh... and also Murdoch is smart.
[02:36:21.967 --> 02:36:23.849]  He will brand whatever country he's in.
[02:36:23.909 --> 02:36:25.671]  He'll go with what the prevailing attitude is.
[02:36:26.231 --> 02:36:34.718]  And so right now he knows, like you've said, this is the trend, patriotism, liberty, getting back to 1776 instead of to 1984 culture.
[02:36:35.219 --> 02:36:38.481]  They know that this is the rising tide.
[02:36:38.561 --> 02:36:41.063]  And so, yes, they want to be popular.
[02:36:42.364 --> 02:36:44.766]  Now the MSNBCs and others, they're trying to
[02:36:45.447 --> 02:36:50.233]  Go along with the optimism opium that you were trying to talk about right there.
[02:36:50.293 --> 02:36:55.920]  Now, Gerald, what do you see on the front of trying to restrict free speech?
[02:36:57.947 --> 02:37:10.075]  They're now announcing, Senator Jay Rockefeller has said, hey, we'd be better off without an internet, we need to have a new internet too, we don't have any of these freedoms, where we control what you can do, where sites are restricted.
[02:37:11.536 --> 02:37:19.381]  All over the West, from Australia to Canada, they're announcing Chinese-style net censorship, that's a headline, but saying it's good.
[02:37:19.941 --> 02:37:21.902]  How do you see them going after the internet?
[02:37:22.383 --> 02:37:23.784]  They're going to go after everything.
[02:37:23.804 --> 02:37:27.226]  They're going to try to take as many of our rights away as possible.
[02:37:27.699 --> 02:37:33.323]  And Obama's going to be able to do it even better than Bush, because he has brought support.
