[00:00:00.049 --> 00:00:01.361]  Moron for your mind.
[01:18:25.766 --> 01:18:34.929]  Through the threat integration centers, the FEMA centers, and this is announced, by the way, in the FEMA camp bill, they're going to have military, police, everybody together, quote, just helping.
[01:18:34.969 --> 01:18:35.889]  Well, we're just helping.
[01:18:36.309 --> 01:18:37.870]  The Army's just here at a car wreck.
[01:18:37.910 --> 01:18:38.850]  They say that.
[01:18:39.130 --> 01:18:41.251]  You're against the Army helping at a car wreck?
[01:18:41.791 --> 01:18:44.252]  But again, it's to sell the idea and set the precedent.
[01:18:45.332 --> 01:18:45.813]  Exactly.
[01:18:45.893 --> 01:18:49.854]  And I mean, that's the thing that kills me most about these, you know, the citizens around here in this town.
[01:18:50.282 --> 01:18:54.624]  Everybody just, you know, there are more sheep out there bleeding Obama!
[01:18:55.085 --> 01:18:56.966]  Obama!
[01:18:57.446 --> 01:18:58.967]  Obama!
[01:18:59.527 --> 01:19:01.748]  But wait, he said the torture continues, a secret arrest!
[01:19:02.069 --> 01:19:02.969]  No liar!
[01:19:04.350 --> 01:19:06.031]  But wait, he's actually for the banker bailout!
[01:19:06.131 --> 01:19:07.131]  No!
[01:19:07.191 --> 01:19:07.912]  Bush did it!
[01:19:08.632 --> 01:19:10.153]  Well, yes, they both did it, they're both together!
[01:19:10.233 --> 01:19:11.094]  No!
[01:19:11.374 --> 01:19:13.215]  Well, he's actually briefing up troops in the Middle East!
[01:19:13.495 --> 01:19:14.695]  No!
[01:19:14.976 --> 01:19:17.597]  Well, he's appointing all these criminals from the banks who don't pay taxes!
[01:19:17.897 --> 01:19:18.177]  No!
[01:19:20.504 --> 01:19:22.025]  I'm sorry, go ahead.
[01:19:22.085 --> 01:19:22.945]  No, that's fine.
[01:19:22.965 --> 01:19:24.165]  That was actually great.
[01:19:24.785 --> 01:19:32.848]  Basically, what I'm trying to do now here in my community is really raise the constitutional awareness of what's going on with these events.
[01:19:32.868 --> 01:19:34.769]  This is a precursor to martial law.
[01:19:36.509 --> 01:19:38.290]  Well, we're already under martial law.
[01:19:38.370 --> 01:19:42.271]  It's physical martial law on the ground, another degree in the Richter scale.
[01:19:43.767 --> 01:19:44.707]  Absolutely, absolutely.
[01:19:44.727 --> 01:19:45.687]  I agree with you 100%.
[01:19:45.907 --> 01:19:49.228]  In fact, speaking of the devil, Paul Watson did an article based on mainstream reports.
[01:19:49.328 --> 01:19:49.508]  U.S.
[01:19:49.528 --> 01:19:52.249]  troops and black helicopters invaded New Orleans, dropped bombs.
[01:19:52.529 --> 01:20:00.170]  This has happened so many thousands of times around the country that now I don't even cover it when I used to run around hiding in the bushes to videotape it and people would deny it was going on.
[01:20:00.450 --> 01:20:01.650]  Go to InfoWars, guys.
[01:20:02.070 --> 01:20:08.992]  It's the bottom story in News in Focus, the bottom story in Featured Stories, and I want to put that up on the screen.
[01:20:09.032 --> 01:20:09.772]  Anything else?
[01:20:09.812 --> 01:20:11.232]  So what's the public think about having
[01:20:12.225 --> 01:20:12.846]  The Navy there.
[01:20:12.866 --> 01:20:14.647]  You know, the Navy's creating its own private army now.
[01:20:15.908 --> 01:20:16.629]  You know, that's right.
[01:20:16.709 --> 01:20:23.834]  And, you know, the Defense Language Institute and the Naval Postgraduate School, you know, they're one of the premier anti-terrorism facilities in the military today.
[01:20:24.074 --> 01:20:30.139]  Well, the Monterey Bay facility trained the terrorists, and their own head of it came out and said that.
[01:20:30.239 --> 01:20:31.160]  That's right, exactly.
[01:20:31.680 --> 01:20:32.381]  Colonel Butler.
[01:20:34.703 --> 01:20:37.345]  But who cares about Colonel Butler when you can say Obama?
[01:20:41.752 --> 01:20:46.474]  You know, it's really funny, too, because I'm actually a former service member myself.
[01:20:46.574 --> 01:20:57.077]  I was in the Navy for a few years, and now that I'm out and I've been woken up and I see everything that's going on, I'm really glad that I'm not in the military anymore.
[01:20:57.677 --> 01:20:59.938]  It's just against everything I believe in, what they're doing now.
[01:20:59.958 --> 01:21:00.798]  It's horrible.
[01:21:01.279 --> 01:21:04.920]  Well, you know, they're running these TV ads where they equate the new military with George Washington.
[01:21:05.720 --> 01:21:08.101]  George Washington was fighting what our military has become.
[01:21:09.016 --> 01:21:09.136]  Right.
[01:21:09.196 --> 01:21:11.777]  And so it's not our military anymore, it's not our government anymore.
[01:21:12.157 --> 01:21:15.458]  And I'm just sad that good men and women are joining it, because they're going to be used.
[01:21:15.498 --> 01:21:17.438]  Go ahead.
[01:21:17.458 --> 01:21:27.261]  Just to kind of parallel what you said right there, you know, our mayor now, with this whole gang war and this, you know, exponential increase in violence, you know, he's equating it to a low-grade 9-11.
[01:21:27.681 --> 01:21:30.502]  And, you know, that just, that curdled my blood when I heard that.
[01:21:30.976 --> 01:21:32.037]  Oh, everything's a 9-11.
[01:21:32.057 --> 01:21:34.319]  The financial collapse, they engineered the 9-11.
[01:21:34.779 --> 01:21:37.662]  And yeah, the crime rate's just gonna explode, they're gonna come with the gun control.
[01:21:37.962 --> 01:21:40.905]  Get ready, the bills are introduced, they're coming for your guns, we'll be right back.
[01:21:43.867 --> 01:21:46.870]  We're on the march, the empire's on the run.
[01:21:47.791 --> 01:21:50.653]  Alex Jones and the GCN Radio Network.
[01:21:54.877 --> 01:21:55.958]  Hi, this is Steve Shane.
[01:22:00.907 --> 01:22:11.015]  The price of the 3-Day Responder is almost ridiculous at $21.95 for actually 12 meals plus snacks.
[01:22:11.515 --> 01:22:19.161]  When you taste the food in the 3-Day Responder, you'll understand why families trust eFoods Direct to provide healthy, delicious food for every need.
[01:22:19.581 --> 01:22:26.146]  Whether you're hunting, playing, or responding to an emergency, the food in the 3-Day Responder is easy to fix and ready to go.
[01:22:26.647 --> 01:22:28.088]  Food is an everyday need.
[01:22:28.668 --> 01:22:29.789]  The 3-Day Responder
[01:22:30.279 --> 01:22:33.762]  is for the time when food should be the last thing you have to worry about.
[01:22:34.242 --> 01:22:36.304]  The 3-Day Responder, $21.95.
[01:22:37.665 --> 01:22:40.888]  Sometimes the best things do come in the smallest packages.
[01:22:41.249 --> 01:22:43.931]  Call 800-409-5633 on the web efoodsdirect.com.
[01:22:43.991 --> 01:22:46.293]  That's 800-409-5633 on the web efoodsdirect.com.
[01:22:53.689 --> 01:23:00.091]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:23:00.451 --> 01:23:02.431]  The enemy struck America on September 11th.
[01:23:03.091 --> 01:23:04.111]  But who is the enemy?
[01:23:04.652 --> 01:23:05.152]  Bin Laden.
[01:23:05.432 --> 01:23:06.352]  This is his ammo.
[01:23:06.372 --> 01:23:07.752]  We have to look to the Middle East.
[01:23:07.812 --> 01:23:09.473]  We have to look to Osama Bin Laden.
[01:23:09.813 --> 01:23:16.554]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:23:16.954 --> 01:23:17.395]  Some U.S.
[01:23:17.435 --> 01:23:23.076]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:23:23.776 --> 01:23:27.317]  I'm aware that some Israeli citizens have been detained.
[01:23:27.657 --> 01:23:37.520]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[01:23:37.760 --> 01:23:38.500]  Fabled enemies.
[01:23:38.980 --> 01:23:46.242]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[01:23:46.742 --> 01:23:50.083]  Either you are with us or you are with the terrorists.
[01:23:53.652 --> 01:24:03.759]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh nutritious vegetables will make it to your dinner table?
[01:24:04.239 --> 01:24:05.200]  Garden in a can!
[01:24:07.022 --> 01:24:07.282]  I think so.
[01:24:35.169 --> 01:24:38.811]  Stop procrastinating and start preparing with Garden In A Can.
[01:24:39.252 --> 01:24:42.354]  For more details visit GardenInACan.com today.
[01:24:42.734 --> 01:24:44.475]  That's GardenInACan.com or call 866-598-7396.
[01:24:44.495 --> 01:24:44.535]  866-598-7396.
[01:25:04.006 --> 01:25:07.049]  Oh, here I come now, baby!
[01:25:09.491 --> 01:25:12.693]  Come on, come on, come on, come on, baby!
[01:25:12.874 --> 01:25:14.415]  Come on, come on, come on!
[01:25:20.140 --> 01:25:21.421]  You know, I feel good about my life.
[01:25:21.441 --> 01:25:27.125]  Whatever happens in all of this, whatever happens to all you great folks out there that hate tyranny and love liberty, at least we know we're fighting hard.
[01:25:27.566 --> 01:25:28.426]  At least we know we're right.
[01:25:29.622 --> 01:25:33.344]  The guys were just talking about Obama last night in a big rampaging, ranting speech.
[01:25:33.804 --> 01:25:37.686]  I saw part of it in and back and forth in the editing room as we're working on the Obama film.
[01:25:38.247 --> 01:25:40.148]  And he was just saying, what do you think a stimulus is?
[01:25:40.168 --> 01:25:43.509]  And everybody's like standing ovations and actually he's getting all heated and angry.
[01:25:43.549 --> 01:25:45.390]  And I just love the American people so much.
[01:25:45.751 --> 01:25:48.832]  If we don't turn this around, it's going to be a catastrophe.
[01:25:49.372 --> 01:25:53.695]  And people are just like, oh, he cares so much because they're going to, they're killing the economy.
[01:25:53.755 --> 01:25:55.376]  Not Obama, people that run things.
[01:25:55.936 --> 01:25:56.736]  Bush didn't run things.
[01:25:56.756 --> 01:25:57.737]  Get past the puppet.
[01:25:58.197 --> 01:26:05.882]  We've got a graphic in the film where it's Obama's face and you zoom right into his eye and you go behind that and it's the Bilderberg Group and the New World Order.
[01:26:07.123 --> 01:26:14.008]  We've got another one where the curtains part and they pull Bush aside and put Obama in and behind the next curtain is the New World Order.
[01:26:14.708 --> 01:26:18.691]  So he's like, I care so much about you, I'm so mad at these bankers!
[01:26:18.751 --> 01:26:22.894]  And meanwhile he's bankrolled by all of them and he isn't putting salary caps on them and it's all bull.
[01:26:24.842 --> 01:26:27.844]  Oh, man, it is just insane to see all of this going.
[01:26:27.924 --> 01:26:29.925]  Oh, I'm so concerned about you.
[01:26:30.125 --> 01:26:32.006]  Oh, I just care about you so much.
[01:26:32.246 --> 01:26:43.572]  Oh, I'm just gonna... I mean, compare this great acting and this slickness, and he's smart and everything, compared to Bush, I mean, yes, but Bush was a puppet, too, and I know I keep saying that.
[01:26:43.992 --> 01:26:45.313]  I know you, the listeners, know that.
[01:26:45.793 --> 01:26:47.294]  What about the general public?
[01:26:47.694 --> 01:26:48.775]  How do we reach out to these people?
[01:26:48.975 --> 01:26:50.976]  Here's Paul Watson's story, then I'm going back to your calls.
[01:26:51.316 --> 01:26:51.516]  U.S.
[01:26:51.556 --> 01:26:52.077]  troops and black
[01:26:52.697 --> 01:26:55.658]  Helicopters invade New Orleans, drop bombs.
[01:26:56.478 --> 01:26:57.158]  That's right.
[01:26:58.398 --> 01:26:59.698]  All the years this didn't exist.
[01:26:59.718 --> 01:27:07.260]  They'd do terror drills and not announce it to the media and then there'd be smoking buildings and the media would say, did not happen, it's all lies, the public's insane.
[01:27:07.720 --> 01:27:10.201]  That was a PSYOP, covered in my police state films.
[01:27:11.041 --> 01:27:12.721]  But now it just goes into all of it.
[01:27:16.502 --> 01:27:17.162]  Oh my goodness.
[01:27:19.261 --> 01:27:22.483]  Well, anyways, it's up on PrisonPlanet.com and InfoWars.com right now.
[01:27:23.343 --> 01:27:26.104]  Let us go back to your phone calls, because I want to get into the Fairness Doctrine.
[01:27:26.464 --> 01:27:29.346]  Peter in PA, you are on the air, sir.
[01:27:30.266 --> 01:27:31.086]  Hi, Alex.
[01:27:31.367 --> 01:27:32.487]  Long time listener.
[01:27:32.527 --> 01:27:34.268]  Started as a young buck on the shortwave.
[01:27:34.288 --> 01:27:35.328]  Just want to say thank you.
[01:27:35.829 --> 01:27:36.949]  I salute you, Peter.
[01:27:37.009 --> 01:27:37.409]  What's up?
[01:27:37.790 --> 01:27:38.350]  Thank you, sir.
[01:27:38.390 --> 01:27:40.531]  Well, a couple things I'd like to address real quick.
[01:27:40.571 --> 01:27:42.552]  I wonder if anybody notices that
[01:27:44.019 --> 01:27:50.103]  I don't know if it's a civil war that's brewing or what, I mean, with the eight states and Vermont looking to succeed.
[01:27:50.844 --> 01:27:56.767]  I don't think anybody's even noticed the similarities between Barack Obama and Abe Lincoln, the civil war.
[01:27:56.787 --> 01:27:57.748]  No, no, no, he knows!
[01:27:58.128 --> 01:28:00.890]  Listen, listen, they've got psych warfare war games.
[01:28:00.930 --> 01:28:02.851]  The Pentagon admits of how society will break down.
[01:28:03.232 --> 01:28:04.833]  The first place I read about the U.S.
[01:28:04.853 --> 01:28:12.618]  breaking up was ten years ago in a Pentagon prospectus saying they believed it was going to happen, but they want to break us up so the globalists can take us over into the Union.
[01:28:13.343 --> 01:28:15.005]  That's exactly what I was thinking.
[01:28:15.045 --> 01:28:17.528]  That was my next step.
[01:28:17.568 --> 01:28:18.829]  Let me tell you, this is too important.
[01:28:19.330 --> 01:28:21.352]  Look, Kurt Nimmo did an article on this yesterday.
[01:28:22.874 --> 01:28:27.439]  They know, after federalizing things and bankrupting the states by design, that things are going to fall apart.
[01:28:28.000 --> 01:28:30.602]  We're talking insane times we're going into, folks.
[01:28:30.622 --> 01:28:34.066]  Almost no way to avert it, because they're honchoing it, making sure it's happening.
[01:28:36.237 --> 01:28:42.882]  What you have to understand is that they understand the people are going to revolt at the state level and try to bring in liberty.
[01:28:42.922 --> 01:28:54.912]  They know the people are going to demand that Madoff and the rest of them actually be punished, and so that's what NORTHCOM does is actually block the states, and then they're comparing Lincoln and everything that happened with what Obama's going to do.
[01:28:54.932 --> 01:28:59.575]  So when he says, I'm going to be like Lincoln, he means that he's going to have the feds occupy everything.
[01:28:59.615 --> 01:29:00.676]  But absolutely.
[01:29:01.117 --> 01:29:02.157]  It's all scripted.
[01:29:02.197 --> 01:29:02.538]  Go ahead.
[01:29:03.326 --> 01:29:06.429]  Oh, I mean, on that topic, just quickly, I want to touch on that.
[01:29:06.449 --> 01:29:07.190]  I have a good buddy.
[01:29:07.230 --> 01:29:08.551]  I'm going to call him the Rebazor.
[01:29:10.152 --> 01:29:11.093]  He was in the military.
[01:29:11.113 --> 01:29:14.556]  He is so fed up that he's ready to hit Montana with his guns.
[01:29:15.117 --> 01:29:21.643]  But, I mean, what I'm saying, as far as that goes, is people look at Lincoln like Lincoln was a good president.
[01:29:22.163 --> 01:29:22.463]  Okay?
[01:29:22.543 --> 01:29:24.005]  Habeas Corpus, gone.
[01:29:24.645 --> 01:29:25.026]  Camp.
[01:29:25.166 --> 01:29:27.188]  Let's explain what happened, for those that don't know.
[01:29:28.468 --> 01:29:30.809]  And I've read the writings of Lincoln, I've studied it.
[01:29:31.049 --> 01:29:34.190]  Lincoln wasn't bad, the South wasn't bad.
[01:29:34.230 --> 01:29:35.451]  Now let me explain what happened.
[01:29:35.471 --> 01:29:41.453]  This is mainline history, but it's not taught in school, but in real scholarly history books it's admitted.
[01:29:41.493 --> 01:29:46.955]  Now listen, the British had lost the war in the 1780s, started in 1776.
[01:29:49.036 --> 01:29:52.697]  They came in through their agent, Alexander Hamilton,
[01:29:54.411 --> 01:29:55.953]  Uh, who Mr. Burr then killed.
[01:29:55.973 --> 01:29:57.254]  They said, step outside.
[01:29:57.294 --> 01:29:58.795]  Back then, they said, step outside, punk.
[01:29:58.815 --> 01:30:00.096]  They went out and shot, you know, and killed him.
[01:30:00.797 --> 01:30:01.458]  Uh, in a duel.
[01:30:01.938 --> 01:30:07.023]  And he wanted to make George Washington king, he wanted to set up a new banking elite, and they were making deals with the British on the side.
[01:30:07.783 --> 01:30:08.744]  They, they killed him.
[01:30:08.984 --> 01:30:13.368]  Then they tried with the British, by the turn of the century, 1800, to overthrow the U.S.
[01:30:13.609 --> 01:30:16.912]  There were rebellions, armies marched on the Capitol.
[01:30:17.791 --> 01:30:18.131]  Okay?
[01:30:18.732 --> 01:30:20.352]  Then Andrew Jackson came up later.
[01:30:20.412 --> 01:30:23.374]  Love him or hate him, the point is, he routed the British banks out.
[01:30:24.134 --> 01:30:38.081]  The British banks, he gave speeches, the British banks went into South Carolina, Georgia, and they said, the North's got taxes on you, let's have a rebellion and split off, and Britain will let you have the entire South, and then into the West.
[01:30:38.802 --> 01:30:46.166]  And so the South, in the 1830s, rebelled, and Andrew Jackson had to mass an army
[01:30:47.253 --> 01:30:49.256]  And only because he's from the South, they stood down.
[01:30:49.856 --> 01:30:51.578]  And he said, I'm going to march down there and kick your butt.
[01:30:51.598 --> 01:30:52.900]  This is a British conspiracy.
[01:30:53.301 --> 01:30:54.482]  It was in the newspapers.
[01:30:55.003 --> 01:30:55.904]  So that stopped.
[01:30:56.064 --> 01:31:01.971]  Then, the Civil War wasn't about ending slavery.
[01:31:01.991 --> 01:31:05.075]  It was about controlling western expansion and taxation.
[01:31:05.916 --> 01:31:07.577]  And representation of the southern states.
[01:31:08.117 --> 01:31:13.239]  And so the British were in the south, funding the rebellion, they brought in the cannons, the weapons, everything.
[01:31:13.599 --> 01:31:24.863]  Then when the war started, they massed troops in Canada, in Ottawa, and in Toronto, 20,000 of them, and put a fleet off New York, threatening to invade.
[01:31:25.837 --> 01:31:30.338]  So, then the British Tsar sent a fleet for the North to menace them.
[01:31:31.059 --> 01:31:34.300]  That's why later in 1917, the British overthrew their cousins, the Tsars.
[01:31:34.340 --> 01:31:36.360]  That was over that and other issues.
[01:31:36.740 --> 01:31:43.343]  But you're absolutely right that Lincoln wrote all these letters and all these things and said, I do not want to free one slave.
[01:31:43.363 --> 01:31:44.403]  That's not what this is about.
[01:31:45.183 --> 01:32:12.536]  uh... this is but but but he used the only political support he had was the abolitionist who said we're going to support you but then you've got a free the slaves and then late in the war to destabilize things in the south he did do that so so so regard to me that's just a historical fact but but other people say well then aren't you for the south no andrew jackson wasn't for the south he knew that it was a setup so uh... you're absolutely right go ahead certainly one more thing i'd like to talk on on
[01:32:13.257 --> 01:32:17.459]  You know, the Telegraph, you know, with the PsyApps backslash propaganda conditioning.
[01:32:17.919 --> 01:32:27.963]  I'd also like to touch on the fact everybody thought we were nuts when the playing cards came out, the NWO cards and the FEMA pamphlets with the World Trade Center in the sky.
[01:32:28.083 --> 01:32:35.427]  In there, the government flies jumbo jets, blows up the World Trade Center, stages everything they've been doing, and that guy was right here in Austin that made those cards.
[01:32:36.307 --> 01:32:41.029]  I mean, that's... I don't know who that guy was talking to or who he's with, but
[01:32:41.963 --> 01:32:46.288]  I mean, I don't know if you saw the writing on the wall, but I mean, they're all tied in.
[01:32:46.309 --> 01:32:50.474]  The Illuminati, they put it out there right for the blind, right down to Walt Disney.
[01:32:50.714 --> 01:32:51.154]  I hear you.
[01:32:51.214 --> 01:32:54.258]  In the Narnia series, the A is the Masonic symbol.
[01:32:54.859 --> 01:32:55.980]  I hear you and I appreciate your call.
[01:32:57.248 --> 01:33:02.793]  Sometimes they plant these in pop culture, other times they pick up pop culture ideas and then stage it.
[01:33:03.294 --> 01:33:19.108]  The CIA and the Defense Department, the last time I saw it, the Defense Department alone was spending $48 million a year paying for scripts from the biggest script writing houses in Los Angeles and in Burbank and places of fictional terror attacks.
[01:33:19.768 --> 01:33:20.549]  As scenario.
[01:33:20.689 --> 01:33:23.631]  So, there's a big PSYOP going on.
[01:33:23.671 --> 01:33:24.271]  You're absolutely right.
[01:33:24.291 --> 01:33:25.072]  Let's go to the next caller.
[01:33:25.112 --> 01:33:25.712]  Gotta hurry now.
[01:33:26.012 --> 01:33:27.673]  That was a great caller, but I spent seven minutes with him.
[01:33:27.994 --> 01:33:29.034]  Bradley in Delaware.
[01:33:29.074 --> 01:33:29.635]  You're on the air.
[01:33:29.675 --> 01:33:30.415]  Go ahead, Bradley.
[01:33:30.996 --> 01:33:31.376]  Hey, Alex.
[01:33:31.436 --> 01:33:32.456]  It's Brady, but thanks.
[01:33:33.297 --> 01:33:37.340]  Yesterday I had Jason Burmiss on, and he was talking about that game crackdown.
[01:33:38.941 --> 01:33:41.622]  And in that game, you're a super soldier for the state.
[01:33:41.723 --> 01:33:48.307]  Did you know at the end of that game, they actually, the guy that's like your controller, actually says,
[01:33:48.848 --> 01:33:49.908]  Do you know who set this all up?
[01:33:50.389 --> 01:33:50.869]  We did it.
[01:33:51.289 --> 01:34:10.677]  And it's like they're throwing it out there blatantly obvious, and most people just... So at the end of the game, they admit that the government started the terror attacks as a pretext to attack the population, and on giant cartoons they're putting in one of the biggest newspapers in the world, the government stages terror attacks to put us all in FEMA camps and bring in the North American Union.
[01:34:10.937 --> 01:34:16.839]  You're telling me that game then, that you've gone to the end of, does like all the other games.
[01:34:16.959 --> 01:34:18.180]  There was another game, Do Sex.
[01:34:18.820 --> 01:34:21.722]  Where at the end of the game you learn the government was staging the terror attacks.
[01:34:22.482 --> 01:34:24.264]  Yeah, that's exactly what it is.
[01:34:24.504 --> 01:34:30.067]  So at the end, hold on, at the end the commander calls you in and says, good job, we staged the terror attack?
[01:34:30.908 --> 01:34:40.574]  Yeah, at the end of the game you're actually playing the soldier and you're fighting gangs and terrorists and taking out criminals and at the end of the game he goes, well who funded these people?
[01:34:40.815 --> 01:34:41.395]  Well guess who?
[01:34:41.755 --> 01:34:42.276]  It was us.
[01:34:42.396 --> 01:34:44.257]  It was us, the government, the guy that's running you.
[01:34:46.212 --> 01:34:47.273]  That's pretty incredible.
[01:34:47.493 --> 01:34:49.514]  And then what else does he say?
[01:34:50.614 --> 01:34:51.415]  That's all I remember.
[01:34:51.435 --> 01:34:52.835]  I played the game about a year ago.
[01:34:52.855 --> 01:34:58.758]  I know through the whole thing that you get unlimited fun, you get all these guns all the time, all you want.
[01:34:58.978 --> 01:35:07.163]  You can jump on buildings and blow stuff up and it's like, they're just shoving it in your face like, here you go, this is what we're doing.
[01:35:07.243 --> 01:35:13.826]  And these young children are identifying with their tribal warfare programming with walking up and assassinating citizens.
[01:35:13.866 --> 01:35:15.767]  Burma said you go around killing Americans, right?
[01:35:16.345 --> 01:35:17.085]  Yeah, basically.
[01:35:17.145 --> 01:35:22.128]  Well, yeah, because it looks a lot like Seattle or Washington, D.C.
[01:35:22.609 --> 01:35:25.650]  And I guess one quick thing, and I'll get off because I know you're short on time.
[01:35:25.811 --> 01:35:35.296]  I was talking to somebody I know that's in the law enforcement division, and he said that they're trying to secretly or quietly push through gun confiscation, gun bans.
[01:35:35.736 --> 01:35:39.979]  My question is, if they're trying to push it through Congress and they don't have any real power, why don't they just do it?
[01:35:40.950 --> 01:35:41.611]  Well, they are!
[01:35:41.691 --> 01:35:44.993]  They have gun sweeps from the National Guard in Illinois and other places.
[01:35:46.254 --> 01:35:47.816]  They are tracking gun owners.
[01:35:48.817 --> 01:35:54.421]  They've introduced the bills without even, well, just with executive fiat, not even a bill!
[01:35:54.661 --> 01:35:57.644]  They're saying they can just say whoever they want can't own a gun.
[01:35:58.124 --> 01:35:59.425]  I mean, this is it, man!
[01:35:59.506 --> 01:36:07.072]  These are, look, the same banks that funded the Bolsheviks, on record, and the same banks that funded Hitler and Mao and now declassified,
[01:36:09.130 --> 01:36:11.014]  In fact, guys, bring it in here to me.
[01:36:11.135 --> 01:36:14.823]  I brought my book, Descent into Tyranny, in and it's got paper shoved in with it.
[01:36:15.714 --> 01:36:16.815]  I think it's laying on the table over there.
[01:36:16.835 --> 01:36:18.036]  It's David Rockefeller quotes.
[01:36:18.996 --> 01:36:20.437]  These are bibliographed, okay?
[01:36:20.998 --> 01:36:23.459]  These quotes I'm putting in the new film for Endgame.
[01:36:23.479 --> 01:36:24.500]  These are quotes I didn't use.
[01:36:24.900 --> 01:36:27.862]  These are quotes that we sent off for the newspapers and went to the library.
[01:36:27.882 --> 01:36:29.063]  These are real quotes.
[01:36:29.944 --> 01:36:32.265]  And in here he talks about how he doesn't pay taxes.
[01:36:33.146 --> 01:36:41.391]  In here they say, the supernational sovereignty of an intellectual elite with world bankers is surely preferable to the national auto-determination practice of past centuries.
[01:36:41.791 --> 01:36:43.633]  David Rockefeller and Bilderberg Group address.
[01:36:44.293 --> 01:36:44.913]  He's got other
[01:36:46.735 --> 01:36:49.897]  Shickening quotes in here about all the things they're planning.
[01:36:49.917 --> 01:36:51.639]  I'm sorry, go ahead.
[01:36:52.639 --> 01:36:54.481]  No, I agree with you.
[01:36:54.761 --> 01:37:03.528]  I'm glad that you woke me up and that Fox News report this morning that we're all crazy and we're idiotic and we have a mental disorder.
[01:37:04.689 --> 01:37:08.952]  I don't think that they understand what's coming out of their own mouths.
[01:37:09.753 --> 01:37:11.534]  Well, I mean, absolutely.
[01:37:11.554 --> 01:37:11.815]  Thank you.
[01:37:12.833 --> 01:37:15.134]  They have different slices of the public.
[01:37:15.174 --> 01:37:16.955]  Totally dumbed down, can't even talk.
[01:37:17.835 --> 01:37:21.217]  Pretty much dumbed down, know about cartoons and football.
[01:37:22.377 --> 01:37:24.298]  Somewhat informed that think they're geniuses.
[01:37:24.618 --> 01:37:28.640]  Then kind of establishment wonks who think they know more, who are in a left front paradigm.
[01:37:29.040 --> 01:37:32.902]  And then evil people who serve the New World Order that really know what's going on, and then the good people.
[01:37:33.943 --> 01:37:35.924]  And so they're servicing different propaganda.
[01:37:35.944 --> 01:37:40.707]  That's why they'll say on shows every day, there is no plan for a world government if you say it, you're a child molester.
[01:37:41.407 --> 01:37:44.689]  There is no plan for a world government if you say it, it's secret racism code.
[01:37:45.089 --> 01:37:52.814]  There is no plan for a world government or gun confiscation if you say it, you're mentally ill and they now have mentally ill psychological designations, hundreds of them.
[01:37:54.042 --> 01:37:58.904]  If you believe in a New World Order conspiracy theory, this is in FBI training manuals, you're a terrorist, you're mentally ill.
[01:37:59.404 --> 01:38:09.169]  While then, to a certain segment, the so-called intelligentsia, in the Financial Times of London and the Wall Street Journal, they say, world government was kept secret for your own good.
[01:38:09.249 --> 01:38:11.130]  It's here now, it's going to save you.
[01:38:11.230 --> 01:38:12.130]  This is word for word.
[01:38:12.750 --> 01:38:16.092]  It is dictatorial, but dictatorial is good.
[01:38:16.892 --> 01:38:18.813]  What did David Rockefeller say in that quote?
[01:38:20.474 --> 01:38:20.794]  You see?
[01:38:22.202 --> 01:38:32.510]  So see, for the general public, kids sitting in public school right now, they're watching film clips and stuff, saying New World Order doesn't exist, you're insane if you say it exists, but then their very textbook says it does exist and is good.
[01:38:32.530 --> 01:38:37.434]  That teaches the child double-think, that it's real, but I'm crazy if I talk about it.
[01:38:38.075 --> 01:38:41.938]  This is psychological warfare, hardcore programming.
[01:38:42.358 --> 01:38:43.779]  Leo and Mash, you're on the air.
[01:38:43.799 --> 01:38:46.861]  Hi, thanks for taking the call.
[01:38:47.342 --> 01:38:50.925]  I'm a subscriber, and number one,
[01:38:51.775 --> 01:38:53.677]  KRS, that long interview?
[01:38:54.737 --> 01:38:55.298]  Yes.
[01:38:55.558 --> 01:38:59.141]  Could you please, please put that out on YouTube?
[01:38:59.161 --> 01:39:05.086]  I mean, I want to put it out to my list, and I'm worried that when I send it out, they won't be able to access it.
[01:39:05.186 --> 01:39:06.287]  Okay, let me explain something.
[01:39:07.662 --> 01:39:17.489]  We streamed a shorter KSR 1 interview, 20 minutes long, here last week, last Friday, on the PrisonPlanet.tv live stream.
[01:39:17.829 --> 01:39:22.493]  It's got close to 100,000 views, last time I checked, just on one video channel.
[01:39:23.814 --> 01:39:34.081]  We did finally post, in the super high quality for PrisonPlanet.tv members, the longer KSR 1, KRS 1, always got to do that, interview today.
[01:39:34.541 --> 01:39:35.262]  So don't worry,
[01:39:36.600 --> 01:39:41.104]  The PrisonPlanet.tv members will rip it seven ways to Sunday and post it everywhere.
[01:39:41.425 --> 01:39:44.608]  Just being a member, you get first access, higher quality, and you support us.
[01:39:45.468 --> 01:39:47.971]  So it will be on YouTube.
[01:39:47.991 --> 01:39:49.612]  If it isn't already there, it'll be there soon.
