[00:00:02.809 --> 00:00:05.009]  Ladies and gentlemen, it is The Alex Jones Show.
[01:15:41.380 --> 01:15:53.380]  And that's what bothers me so much about the Anderson Coopers and CNNs and MSNBCs is not only can they not play the instrument that is their job of speaking the truth of the news or reporting or broadcasting to the American people.
[01:15:53.560 --> 01:15:56.960]  They can't play the instrument, but they also have just terrible taste.
[01:15:58.300 --> 01:16:14.239]  That's one of the reasons why I'm so proud to work here at InfoWars and why it's so bothersome to me that they're trying to shut it down is because regardless of what you think, About Infowars, whether you trust it or not, whether you think it's fake news or real news, whether you think Alex Jones is right about the future or just lying about everything, you have to admit,
[01:16:14.359 --> 01:16:16.380]  this is a pretty damn cool network.
[01:16:19.159 --> 01:16:28.979]  It's pretty awesome that over the course of the last 30 years, we were able to declare an information war on the establishment and up to this point, when?
[01:16:29.380 --> 01:16:32.560]  Really? I mean, we have woken way more people up than we have turned away.
[01:16:32.840 --> 01:16:36.739]  They have to reach back 10 years to make claims about inaccuracies.
[01:16:38.539 --> 01:16:51.380]  Why is it that the mainstream media won't let the one thing Alice Jones may or may not have gotten wrong 10 years ago go when CNN got 10 things wrong one hour ago, when MSNBC got 10 things wrong one minute ago?
[01:16:52.630 --> 01:17:00.529]  When ABC, NPR, Wall Street Journal, New York Times, all these outlets, especially the Washington Post owned by Bezos, they're getting things wrong every single day.
[01:17:00.590 --> 01:17:07.430]  They're just blatantly lying in the polls every single day, but they can't let the one questionable judgment that Alex Jones made 10 years ago go.
[01:17:07.510 --> 01:17:08.729]  They just cannot let it go.
[01:17:08.930 --> 01:17:10.609]  Let me tell you something about Sandy Hook.
[01:17:10.729 --> 01:17:16.210]  Whatever you think about Sandy Hook, nobody's made more money off those dead kids than their lawyers and the parents.
[01:17:17.010 --> 01:17:19.510]  You wanna talk about exploiting dead kids for money?
[01:17:19.850 --> 01:17:21.210]  You wanna talk about it?
[01:17:21.369 --> 01:17:25.710]  Nobody has exploited those dead kids more than their parents and their parents' lawyers.
[01:17:25.909 --> 01:17:27.989]  I'm sorry, but that's the truth of the matter.
[01:17:28.069 --> 01:17:36.270]  If my kids die in a school shooting, God forbid, you better bet your ass I'm not gonna be suing anybody in the name of my dead kids so I can make $1.5 billion.
[01:17:37.029 --> 01:17:38.710]  Because I'm not a shitty person.
[01:17:38.909 --> 01:17:41.520]  I'm sorry. That's just how I feel about it.
[01:17:41.760 --> 01:17:44.880]  And there are guys here in the crew that have had babies this week.
[01:17:45.220 --> 01:17:46.239]  Harrison Smith is out.
[01:17:46.539 --> 01:17:50.380]  Wilson is out right now on paternity leave for the two weeks off they get with their new babies.
[01:17:50.699 --> 01:17:54.479]  There are members of this crew that are starting families right now.
[01:17:54.899 --> 01:17:56.779]  None of these lawyers seem to give a damn about them.
[01:17:56.859 --> 01:17:59.279]  They just want to shut it down and try to render everybody unemployed.
[01:17:59.739 --> 01:18:00.960]  Is that what they want to do? Fine.
[01:18:02.029 --> 01:18:07.250]  I tell you what, though, it doesn't do anything to dampen one's resolve when there's an attack on their family.
[01:18:07.329 --> 01:18:08.630]  In fact, it does quite the opposite.
[01:18:08.789 --> 01:18:18.550]  It catalyzes and inspires such a fire within the bellies of those who are under attack that there will be a reckoning the likeness of which these leftists have never seen.
[01:18:18.630 --> 01:18:22.050]  I swear to God, there will be a reckoning the likeness of which these leftists have never seen.
[01:18:22.130 --> 01:18:28.069]  If they shut this place down, I know that you will go to thealexjonesstore.com.
[01:18:32.510 --> 01:18:36.770]  We're good to go.
[01:19:02.230 --> 01:19:04.170]  Ladies and gentlemen, welcome to the Alex Jones Show.
[01:19:04.310 --> 01:19:06.329]  I am Chase Guy. I'm your host for the next...
[01:19:06.829 --> 01:19:14.010]  Two and a half hours. We're going to cover the news for the next one hour and 27 minutes, followed by a final hour of your calls and thoughts.
[01:19:14.090 --> 01:19:15.229]  I have so many clips to go over.
[01:19:15.289 --> 01:19:16.590]  Let's just go straight into Jon Stewart.
[01:19:16.689 --> 01:19:22.270]  If we're going to do late night television leftist coverage, we've got to bounce from Marr to Jon Stewart.
[01:19:22.489 --> 01:19:25.890]  Claims Americans don't need guns to protect their constitutional rights.
[01:19:26.010 --> 01:19:33.270]  This is clip number 24. Gun control and ultimately gun confiscation are foundational policies that the leftist movement revolves around or revolves around.
[01:19:33.600 --> 01:19:38.020]  Question is why? Why are they so desperate to violate the Bill of Rights and take firearms away?
[01:19:38.140 --> 01:19:49.899]  Let's watch clip number 24. But at least the Constitution remains intact and is there to ensure that we have the First Amendment.
[01:19:50.319 --> 01:19:54.659]  The Second Amendment is there to ensure that we have the First Amendment.
[01:19:58.979 --> 01:20:01.520]  Guns don't protect our free speech.
[01:20:02.260 --> 01:20:07.380]  Our free speech is protected by the consent of the governed laid out through the Constitution.
[01:20:07.680 --> 01:20:10.359]  It's not based on the threat of violence.
[01:20:10.699 --> 01:20:12.140]  It's based on elections.
[01:20:12.739 --> 01:20:14.800]  Organizing referendums and judicial system.
[01:20:15.060 --> 01:20:16.439]  Our social contract...
[01:20:16.810 --> 01:20:23.250]  Offers many, many avenues to remedy these issues and allows sides to be heard and adjudicated.
[01:20:23.710 --> 01:20:31.470]  Guns, from what I can tell, seem to mostly protect the speech of the people holding the gun.
[01:20:32.029 --> 01:20:34.869]  It's a tool of intimidation.
[01:20:35.430 --> 01:20:39.109]  And, if I may finish...
[01:20:39.109 --> 01:20:40.329]  Listen, mother...
[01:20:40.329 --> 01:20:41.390]  I'm not done!
[01:20:45.520 --> 01:20:53.079]  It is a tool of intimidation, and one that I think is actually being irresponsibly and recklessly invoked.
[01:20:53.869 --> 01:20:58.829]  Because some people in your crowd thought they might have been shadow banned by Facebook.
[01:20:59.149 --> 01:21:00.590]  I mean, for God's sakes!
[01:21:00.970 --> 01:21:04.229]  You guys are in Butler, Pennsylvania.
[01:21:04.829 --> 01:21:15.890]  The whole reason you're there is because some f***ing asshole with an AR-15 tried to permanently litigate his vision of this country's free speech.
[01:21:16.449 --> 01:21:17.649]  That's why you're there.
[01:21:17.909 --> 01:21:19.569]  The whole point of a society is...
[01:21:19.569 --> 01:21:24.850]  And the whole reason he wasn't successful is because someone else also had a rifle and stopped him.
[01:21:25.470 --> 01:21:27.390]  Are you dumb, Stuart?
[01:21:27.989 --> 01:21:29.210]  I mean, come on.
[01:21:29.430 --> 01:21:30.970]  Come on. Come on.
[01:21:31.569 --> 01:21:36.350]  And he's talking about, oh, last I checked, the person with the gun only gets to represent their free speech.
[01:21:36.449 --> 01:21:39.869]  The whole point of the Second Amendment is that everybody in the country can have a gun.
[01:21:40.090 --> 01:21:43.350]  So there isn't one person with a gun and another person without a gun.
[01:21:43.510 --> 01:21:45.649]  That's what happens when you take away the Second Amendment.
[01:21:45.789 --> 01:21:47.189]  Only the government has the guns.
[01:21:47.329 --> 01:21:49.390]  Then only their version of free speech is sexualized.
[01:21:49.470 --> 01:21:50.649]  How are you this stupid?
[01:21:50.810 --> 01:21:57.109]  How are you abundantly this foolish and myopic and just totally retarded, abundantly dangerously retarded?
[01:21:57.270 --> 01:22:06.590]  Jon Stewart. On late night television, reading other people's jokes, is now the bastion clarion call of free speech and constitutional interpretation, ladies and gentlemen.
[01:22:06.949 --> 01:22:08.869]  Welcome to the show, Jon Stewart.
[01:22:09.130 --> 01:22:10.890]  Welcome to America, Jon Stewart.
[01:22:10.989 --> 01:22:12.689]  You're such a hero with your insight.
[01:22:12.869 --> 01:22:18.590]  Because you're so popular and there's an audience that laughs when other people who are paid to be there hold up a sign that says, please, laugh.
[01:22:18.750 --> 01:22:22.069]  That means that the whole entire country should totally trust everything you say.
[01:22:22.359 --> 01:22:23.539]  Because there's social proof there.
[01:22:23.600 --> 01:22:25.840]  And if other people are laughing, then it must actually be funny.
[01:22:25.979 --> 01:22:33.460]  Then I'm going to sit with my Blue Bell ice cream and my fat wife and my stupid dog and my retarded kid and I'm going to scoop it up and I'm just going to laugh at my lazy boy.
[01:22:33.560 --> 01:22:38.920]  I'm just going to laugh at my lazy boy as I watch Jon Stewart tell me how much he doesn't want me to have a gun.
[01:22:39.000 --> 01:22:43.520]  It's so funny the way he says it and how much free speech only matters if it's protecting leftist ideology.
[01:22:43.520 --> 01:22:49.560]  It's just so funny to see Jon Stewart up there because he's just so brilliant and clever and funny and talented and popular.
[01:22:50.510 --> 01:22:52.609]  What is this? What is this?
[01:22:52.750 --> 01:22:54.930]  High school again? What is this?
[01:22:55.029 --> 01:22:57.529]  Come on. Nobody's watching this crap, are they?
[01:22:57.630 --> 01:22:58.750]  Are they actually watching this?
[01:22:59.010 --> 01:23:00.250]  Are there millions of people tuning in?
[01:23:00.350 --> 01:23:11.720]  Because last I checked, How many millions upon millions of people listen to Donald Trump on an ex-space with Elon Musk versus watched any of the debates on any of the mainstream media networks?
[01:23:11.920 --> 01:23:17.520]  How many people are tuning in to Comedy Central or whatever damn network The Late Show is on?
[01:23:17.640 --> 01:23:20.279]  I don't even know if that's what it's called. Is it called The Late Show or The Late Night Show?
[01:23:21.159 --> 01:23:26.779]  All I see are clips of Marr and clips of Jon Stewart and clips of Stephen Colbert because people only watch the clips.
[01:23:26.880 --> 01:23:27.899]  Nobody watches the show.
[01:23:28.020 --> 01:23:29.939]  They have to pay people to be there in the audience.
[01:23:31.490 --> 01:23:36.409]  Maybe they're big enough that an audience actually signs up and buys tickets, but they have to pay people to hold up signs to tell the audience what to do.
[01:23:37.489 --> 01:23:45.270]  It's just absolutely disgusting to me that we give these people any sort of credibility or weight or credence.
[01:23:45.390 --> 01:23:51.430]  Like there's some sort of fashion sayer or seer of what the future should behold for us.
[01:23:51.489 --> 01:23:52.850]  Like they have any sort of a vision.
[01:23:53.050 --> 01:24:00.270]  Like just because we put them on a pedestal means that they can see farther into the future than the rest of us because they're so high up in the altitude that we have placed them.
[01:24:00.310 --> 01:24:01.750]  It's absolutely disgusting to me.
[01:24:01.810 --> 01:24:02.989]  It's totally a joke.
[01:24:03.210 --> 01:24:06.560]  It is disgusting. Some sort of weird cancer.
[01:24:06.680 --> 01:24:17.359]  It's malignant. Just spreading through our entire culture, our entire species until everyone just catches the level of retard that is purveyed from behind the microphone of that dork.
[01:24:17.880 --> 01:24:19.260]  He's actually a dork.
[01:24:20.960 --> 01:24:23.039]  He hasn't done anything good since Big Daddy.
[01:24:23.180 --> 01:24:25.239]  Wasn't he in Big Daddy? He was the guy that actually had the kid.
[01:24:25.399 --> 01:24:30.439]  That was pretty funny. But it's just, I don't know where to go with this.
[01:24:30.500 --> 01:24:32.020]  I don't know what to tell you guys.
[01:24:33.279 --> 01:24:35.060]  At least black men are finally waking up.
[01:24:35.159 --> 01:24:42.140]  At least the black community, the minority community, is realizing that the Democratic Party has only lied about caring about any of their interests forever.
[01:24:43.960 --> 01:25:01.100]  And despite the fact that they've elected black mayor, black governor, black mayor, black governor, black senator, black representative, over and over again, democratic, democratic, democratic, over and over again, realized now, finally has realized, this community has realized that, oh my god, the people that we have been electing to represent us in office have not been representing us whatsoever.
[01:25:01.319 --> 01:25:06.600]  In fact, they've been selling us out and they want to perpetuate our problems because our problems are their platform.
[01:25:06.880 --> 01:25:10.119]  They're not creative enough to solve a problem and then pivot to a new platform.
[01:25:10.159 --> 01:25:13.079]  They want to just maintain this platform that's always been working for them.
[01:25:13.119 --> 01:25:14.739]  They're trying to keep disco alive, folks.
[01:25:15.180 --> 01:25:16.939]  They're trying to keep depravity alive.
[01:25:17.039 --> 01:25:18.140]  Let's watch clip number 29 here.
[01:25:18.239 --> 01:25:21.460]  Watch. Black men slam Obama for talking down to them, telling them to vote.
[01:25:21.920 --> 01:25:22.979]  Kamala. Let's watch.
[01:25:26.380 --> 01:25:28.760]  Communities is that...
[01:25:31.869 --> 01:25:44.289]  We had not yet seen the same kinds of energy and turnout in all quarters of our neighborhoods and communities as we saw when I was running.
[01:25:46.949 --> 01:25:55.449]  Now, I also want to say that that seems to be more pronounced with the brothers.
[01:25:57.130 --> 01:26:00.670]  So if you don't mind, just for a second, I'm going to speak to y'all right now.
[01:26:03.499 --> 01:26:20.220]  And say that when you have a choice that is this clean, when on one hand you have somebody who grew up like you,
[01:26:20.640 --> 01:26:32.529]  knows you, went to college with you, understands the struggles Look at that packed Barack Obama rally.
[01:26:32.750 --> 01:26:37.729]  Pain and joy that comes from those experiences.
[01:26:39.409 --> 01:26:55.449]  He said to work harder and do more and overcome and achieves the second highest office in the land.
[01:26:56.399 --> 01:26:58.060]  Hello America and hello Georgia.
[01:26:58.399 --> 01:27:02.060]  I'm Vernon Jones, former state representative from the great state of Georgia.
[01:27:02.399 --> 01:27:04.840]  And I'm out doing my normal morning jog.
[01:27:05.460 --> 01:27:07.319]  By the way, it's a great day to be in Georgia.
[01:27:07.479 --> 01:27:08.560]  It's a beautiful fall day.
[01:27:08.840 --> 01:27:11.199]  But anyhow, I just had to pause for the cause.
[01:27:11.800 --> 01:27:17.779]  I, like many of you, observed and listened and watched Barack Obama last night as he addressed black men.
[01:27:18.779 --> 01:27:22.960]  But as a black man, he did everything but address us.
[01:27:23.119 --> 01:27:25.760]  What he did He berated black men.
[01:27:25.960 --> 01:27:27.380]  He rebuked black men.
[01:27:27.779 --> 01:27:29.220]  He even scolded black men.
[01:27:29.600 --> 01:27:37.239]  Primarily because we will not fall in line and vote for Madam Lockup, her brother, Kamala Harris, because that's her record.
[01:27:37.789 --> 01:27:44.189]  As if black men are too stupid that we can't vote our self-interest, what's best for us, our pocketbook, our families.
[01:27:44.529 --> 01:28:01.810]  As if we've been immune to the past three and a half years, as if we don't know that gas prices have been higher under Kamala Harris, food prices higher under Kamala Harris, interest rates on home mortgages higher under Kamala Harris, and runaway borders under Kamala Harris.
[01:28:02.300 --> 01:28:05.460]  But you know what? That's what the liberal white Democratic Party did.
[01:28:05.659 --> 01:28:11.439]  They dispatched Barack Obama out there to whip black men back on the plantation to vote Democrat.
[01:28:12.279 --> 01:28:18.840]  And you know, President Obama, he meant a lot to black people, but he didn't do anything for black people.
[01:28:19.180 --> 01:28:28.039]  And for him to want to come down from his mansion in Martha's Vineyard and tell black men how we should vote, Really?
[01:28:28.039 --> 01:28:30.000]  You don't even live in Chicago anymore.
[01:28:30.500 --> 01:28:34.279]  You left your black community, Barack Obama, and you want to tell us how to vote?
[01:28:34.579 --> 01:28:35.659]  We're not having that.
[01:28:35.840 --> 01:28:37.359]  And we're not voting for Kamala Harris.
[01:28:38.979 --> 01:28:45.420]  So I want you guys to think about the last couple of weeks and the attacks that have been aimed at black men.
[01:28:45.859 --> 01:28:49.939]  Now watch this. Not from white folk, but from other black men.
[01:28:51.420 --> 01:28:59.920]  We got Magic Johnson, a black man, saying that black men should vote for Harris because that's the only acceptable choice.
[01:29:00.800 --> 01:29:03.840]  This is a man who has a black son who thinks he's a woman.
[01:29:05.239 --> 01:29:13.079]  Then we have the 44th president of the United States coming out and saying that black men voting for Trump is unacceptable.
[01:29:14.100 --> 01:29:27.500]  He has the nerve to look in the eyes of black men who are out here working their off Grinding, taking care of their families, mature, responsible men, spiritually mature men, handling their business.
[01:29:28.159 --> 01:29:42.100]  This man that is worth, some estimates say, of $75 million, has then the audacity to tell these same black men that it is unacceptable for you to vote any other way than what I tell you.
[01:29:43.880 --> 01:29:47.220]  I'm just starting to think now, like, seriously, like, this is all the game.
[01:29:47.319 --> 01:29:48.699]  Like, this can't be serious, y'all.
[01:29:49.640 --> 01:29:51.359]  We're like in some twilight zone.
[01:29:51.539 --> 01:29:53.819]  We're just not, like, this ain't even real anymore.
[01:29:54.020 --> 01:29:58.539]  It's to the point to where it's become redundant and just useless to talk about.
[01:30:00.060 --> 01:30:05.420]  It's amazing to me how dumb and just how gullible that they think that we are.
[01:30:05.500 --> 01:30:08.220]  And the sad part is that many are just like that.
[01:30:09.900 --> 01:30:11.060]  It's really frustrating.
[01:30:12.939 --> 01:30:20.319]  Now, if a white man came out and told a black man that it's unacceptable for him to vote a certain way, black folks would be all up in arms.
[01:30:21.739 --> 01:30:22.859]  All up in arms.
[01:30:23.000 --> 01:30:24.060]  You can't tell me that.
[01:30:24.180 --> 01:30:34.560]  I'm a grown... But then we allow another black man to come out and tell another black man, a grown black man, on top of that, that he can't do what he so desires.
[01:30:35.199 --> 01:30:40.750]  This is just... Listen, let me just say it like this.
[01:30:41.149 --> 01:30:46.229]  If there was a black man that was on the Republican side that was running for president, black folks still wouldn't vote for him.
[01:30:46.970 --> 01:30:50.270]  Black folks in a recent poll said that they wouldn't even vote for Condi Rice.
[01:30:50.750 --> 01:30:52.529]  Condi. They wouldn't even vote for her.
[01:30:53.229 --> 01:30:54.789]  They would vote for Harris over Condi.
[01:30:54.890 --> 01:31:00.510]  Can you believe that? Black, black, black folks said that they'd vote for Harris over Condi.
[01:31:00.630 --> 01:31:05.010]  What? Man, this stuff is just becoming ridiculous, y'all.
[01:31:05.109 --> 01:31:06.609]  This is just becoming ridiculous.
[01:31:07.689 --> 01:31:09.149]  This is just becoming ridiculous.
[01:31:09.409 --> 01:31:10.489]  This is just ridiculous.
[01:31:31.529 --> 01:31:33.689]  Why you don't f*** with her? Because she f*** with them immigrants.
[01:31:33.909 --> 01:31:35.550]  I'm black. So why you riding with Trump so much?
[01:31:35.710 --> 01:31:37.850]  Them Venezuelans taking all our bread.
[01:31:38.130 --> 01:31:41.409]  Hey, Trump or Kamala? Shit, Trump, be honest.
[01:31:41.590 --> 01:31:45.909]  Why Trump, though? He used to keep immigrants out, so, you know, we was able for us to get jobs.
[01:31:46.010 --> 01:31:48.970]  It's hard for us to get jobs now, shit, because immigrants taking over and s***.
[01:31:49.350 --> 01:31:51.649]  They do do it better than us, though, but they taking our s***.
[01:31:51.810 --> 01:31:53.130]  They do it better than us, though.
[01:31:53.310 --> 01:31:55.510]  You voting for Trump? Hell yeah, f*** Camilla, f***.
[01:31:55.630 --> 01:31:58.329]  I ain't even gonna lie. I'm not f***ing with her, her ass.
[01:32:02.109 --> 01:32:05.930]  What would make you want to vote for Kamala?
[01:32:06.789 --> 01:32:08.069]  We were the last two people on earth!
[01:32:19.050 --> 01:32:20.949]  I'm telling you, man, these people are wise.
[01:32:22.130 --> 01:32:24.270]  So you want to vote for a black woman?
[01:32:24.390 --> 01:32:25.729]  It's going to be the first black woman in office?
[01:32:25.930 --> 01:32:29.510]  Let me tell you something, man. Ain't no man is going to listen to no woman.
[01:32:33.350 --> 01:32:35.329]  There's no man. God, this is no woman.
[01:32:35.489 --> 01:32:39.770]  I mean, but we can make history. Man, we could, but it's not going to be history, bro.
[01:32:40.369 --> 01:32:43.130]  That's going to start World War III soon as she get in.
[01:32:43.369 --> 01:32:44.970]  Kamala Trump. She's right.
[01:32:45.029 --> 01:32:46.529]  He's right. Aw, come on, bro.
[01:32:47.069 --> 01:32:48.310]  Kamala till it's backwards, bro.
[01:32:48.390 --> 01:32:51.310]  Man, what are you talking about? Kamala, we voting for Trump, bro.
[01:32:51.310 --> 01:32:53.810]  What are you talking about? You know damn well we don't f*** for Kamala.
[01:32:53.970 --> 01:32:55.010]  Trump. Why, bro?
[01:32:55.149 --> 01:32:56.430]  Give our free stems and everything.
[01:32:56.550 --> 01:32:57.770]  You tweaking it. Yeah, that's how you feel.
[01:32:58.010 --> 01:32:59.569]  That's crazy. You tweaking it.
[01:32:59.590 --> 01:33:01.689]  I ain't going to lie, bro. I vote Kamala. Man, we f***.
[01:33:18.940 --> 01:33:20.420]  I'm about ready to have a conniption fit.
[01:33:21.060 --> 01:33:23.600]  Alex Jones this week used the term conniption fit.
[01:33:23.659 --> 01:33:25.899]  I saw it on his Twitter. I didn't even know what a conniption fit was.
[01:33:25.960 --> 01:33:27.220]  I had to look it up on ChatGPT.
[01:33:27.479 --> 01:33:28.779]  I'm about ready to have a conniption fit.
[01:33:29.920 --> 01:33:32.340]  Because that was the funniest video that I've ever seen in my entire life.
[01:33:32.439 --> 01:33:34.319]  And they're all absolutely right.
[01:33:35.039 --> 01:33:46.659]  The Democrats look down on them as this poor underbelly of civilization, as this meager part of our society with low IQ that we can just exploit forever and they'll always vote for us because they're just so dumb.
[01:33:47.199 --> 01:33:52.979]  They don't catch on if I use some of their vernacular when I speak to them at a rally in Georgia.
[01:33:54.409 --> 01:33:59.529]  Or if I suddenly sound Hispanic when I speak to a rally of Hispanic Democrats.
[01:34:00.970 --> 01:34:14.029]  Or if I suddenly sound Vietnamese, if I speak to a Vietnamese group, it's unbelievable the audacity of the Kamala Harris's, the Hillary Clinton's, who just say, you know, I ain't no Tammy Wynette, just standing by as my husband does whatever he wants.
[01:34:14.189 --> 01:34:18.710]  It's disgusting, the audacity of these people that they believe they can fool just everyone.
[01:34:18.909 --> 01:34:29.149]  Or they believe that just because people are poor and desperate or live in bad neighborhoods, that means that they're gullible and susceptible and vulnerable to just being fooled by utter evil depravity.
[01:34:29.359 --> 01:34:43.779]  It's not true. They understand that their lives are at stake, that freedom itself is at stake, and they understand now finally that the Democratic Party, neither the Republican Party as a party, give a damn about them, so they're voting for the only outsider, the only populist, Donald Trump.
[01:34:44.119 --> 01:34:45.960]  And here he is. We're going to write clip number 15 here.
[01:34:46.989 --> 01:34:52.569]  And we're going to break down the story, but Operation Aurora has announced Trump promises massive deportation of illegal criminals.
[01:34:52.789 --> 01:35:00.869]  Let's just get into some of his promises, some of the developments in the illegal immigration story that has impacted the black community so disproportionately in the United States of America.
[01:35:00.989 --> 01:35:09.369]  Clip number 15, and then run 16 of the sheriff endorsing him after that, and then 17 of the Aurora native gangs, and then we'll do 28 as well.
[01:35:09.449 --> 01:35:13.350]  So let's just run 15 through 17, and then 28 back-to-back, please.
[01:35:13.449 --> 01:35:16.750]  15. Walk in and tell them, get the hell out of your apartment.
[01:35:16.829 --> 01:35:17.909]  They took over complexes.
[01:35:18.250 --> 01:35:22.609]  And they have a radical left governor who's petrified.
[01:35:22.949 --> 01:35:25.109]  He doesn't want anything to do with it.
[01:35:25.270 --> 01:35:28.529]  He's afraid. He's chicken shit, okay?
[01:35:29.010 --> 01:35:31.909]  He's afraid. Amen.
[01:35:35.890 --> 01:35:40.449]  Here's the sheriff, Don Aurora, endorsing Donald Trump.
[01:35:40.710 --> 01:35:43.270]  ...the vulnerable immigrants from Frankfurt.
[01:35:47.679 --> 01:35:55.260]  And therefore, it was incumbent upon the rest of the Denver Metro area to deal with that aftermath.
[01:35:56.420 --> 01:35:58.479]  Some of these fighters are highly privileged.
[01:35:59.100 --> 01:36:07.520]  They're sex offenders, they're murderers, and they're members of transnational organizations, Charlie Trenaday on the line.
[01:36:11.499 --> 01:36:19.000]  A lot of women that support Trump, especially women who have kids, families, and what's going on in Aurora.
[01:36:19.399 --> 01:36:20.939]  I'm a native of Colorado.
[01:36:21.439 --> 01:36:22.760]  It's happening. It's real.
[01:36:22.899 --> 01:36:26.739]  It's here. And our governor says it's not real.
[01:36:26.920 --> 01:36:29.119]  It's real. It's not in our imagination.
[01:36:29.119 --> 01:36:32.119]  It's happening. What is it that you're saying that's real?
[01:36:32.319 --> 01:36:34.140]  The gangs, all that kind of stuff.
[01:36:34.300 --> 01:36:37.180]  It's everywhere. It's in Aurora.
[01:36:37.340 --> 01:36:40.500]  It's throughout the suburbs. They're spreading...
[01:36:40.500 --> 01:36:41.979]  Isn't that the scary part?
[01:36:42.140 --> 01:36:43.319]  I've been... Insane.
[01:36:44.479 --> 01:36:51.560]  I'm announcing today that upon taking office, we will have an Operation Aurora at the federal level.
[01:36:59.359 --> 01:37:02.500]  To expedite the removals of these savage gangs.
[01:37:03.220 --> 01:37:08.399]  And I will invoke the Alien Enemies Act of 1798.
[01:37:08.560 --> 01:37:11.880]  Think of that. 1798.
[01:37:12.079 --> 01:37:13.960]  This was put there. 1798.
[01:37:14.119 --> 01:37:15.560]  That's a long time ago, right?
[01:37:16.859 --> 01:37:22.380]  To target and dismantle every migrant criminal network operating on American soil.
[01:37:22.819 --> 01:37:30.609]  Who would have ever thought that a president or a future president would ever have to Stand here and say such things.
[01:37:30.829 --> 01:37:33.050]  Who would think that that's even possible to have to do?
[01:37:33.710 --> 01:37:37.369]  So many things have changed in the last four years.
[01:37:37.670 --> 01:37:43.890]  But that's the state of our country now, after Kamala and Joe Biden have just absolutely destroyed our country.
[01:37:45.189 --> 01:37:48.250]  We're a country in tremendous distress.
[01:37:48.609 --> 01:37:49.789]  We're a failing country.
[01:37:49.850 --> 01:37:51.250]  We're laughed at all over the world.
[01:37:51.729 --> 01:38:04.850]  We will send elite squads of ICE, Border Patrol, and federal law enforcement officers to hunt down, arrest, and deport every last illegal alien gang member until there is not a single one left in this country.
[01:38:07.670 --> 01:38:19.510]  And if they come back into our country, They will be told it is an automatic 10-year sentence in jail with no possibility of parole.
[01:38:24.930 --> 01:38:34.630]  And I'm hereby calling for the death penalty for any migrant that kills an American citizen or a law enforcement officer.
[01:38:43.300 --> 01:38:44.859]  Strong, strong, strong.
[01:38:45.260 --> 01:38:46.420]  Do you hear yourself?
[01:38:46.619 --> 01:38:47.920]  This is clip number one. We're going to run next.
[01:38:48.380 --> 01:38:51.020]  Vance humiliates ABC's Raditz.
[01:38:51.319 --> 01:38:57.279]  And I think it's appropriate that her name is Raditz because that was the very first villain in the Dragon Ball Z series, if you remember, crew.
[01:38:58.180 --> 01:39:02.260]  For claiming migrant gangs captured only a handful of apartment complexes.
[01:39:02.439 --> 01:39:08.659]  As if it's okay that migrant gangs have captured any apartment complexes in the United States of America.
[01:39:09.159 --> 01:39:12.359]  Oh, it was just a handful of people that were just forced out of their apartments.
[01:39:12.399 --> 01:39:18.119]  It's just a handful of apartment complexes that have been conquered by Venezuelan gangs as a result of this border policy.
[01:39:18.180 --> 01:39:24.520]  You're making it sound like it's such a big deal when it's only a handful of apartment complexes that have been conquered by foreign enemies.
[01:39:25.039 --> 01:39:26.779]  Unbelievable here. Watch clip number one.
[01:39:27.569 --> 01:39:39.409]  The incidents were limited to a handful of apartment complexes, and the mayor said our dedicated police officers had acted on those concerns.
[01:39:39.649 --> 01:39:41.050]  A handful of problems.
[01:39:42.619 --> 01:39:44.979]  Only, Martha, do you hear yourself?
[01:39:45.159 --> 01:39:53.859]  Only a handful of apartment complexes in America were taken over by Venezuelan gangs and Donald Trump is the problem and not Kamala Harris' open border.
[01:39:54.220 --> 01:39:58.460]  Americans are so fed up with what's going on and they have every right to be.
[01:39:58.520 --> 01:40:15.100]  And I really find this exchange Martha, sort of interesting because you seem to be more focused with nitpicking everything that Donald Trump has said rather than acknowledging that apartment complexes in the United States of America are being taken over by violent gangs.
[01:40:15.420 --> 01:40:19.899]  I worry so much more about that problem than anything else here.
[01:40:20.000 --> 01:40:23.119]  We've got to get American communities in a safe space again.
[01:40:23.539 --> 01:40:28.520]  And unfortunately, when you let people in by the millions Most of whom are unvetted.
[01:40:28.680 --> 01:40:30.460]  Most of whom you don't know who they really are.
[01:40:30.760 --> 01:40:32.600]  You're going to have problems like this.
[01:40:32.880 --> 01:40:37.960]  Kamala Harris, 94 executive orders that undid Donald Trump's successful border policies.
[01:40:38.159 --> 01:40:39.800]  We knew this stuff would happen.
[01:40:39.859 --> 01:40:44.560]  They dragged about opening the border and now we have the consequences and we're living with it.
[01:40:44.659 --> 01:40:46.180]  We can do so much better.
[01:40:47.400 --> 01:40:49.979]  Unbelievable, folks. We know that freedom is under attack.
[01:40:50.119 --> 01:40:51.239]  We know America's under attack.
[01:40:51.380 --> 01:40:52.460]  We know humanity's under attack.
[01:40:52.579 --> 01:40:53.640]  We know Alex is under attack.
[01:40:53.760 --> 01:40:57.920]  We know the crew is under attack by these evil globalist leftists.
[01:40:58.060 --> 01:41:03.159]  And the best way to support us, folks, keep us on the air, is by going to thealexjonesstore.com.
[01:41:03.260 --> 01:41:05.439]  Or if you just want to make a donation, go to realalexjones.com.
