[00:00:00.000 --> 00:00:06.960]  The World Health Organization pandemic treaty is still not approved.
[03:20:57.479 --> 03:21:10.340]  We should be having rapid tests, home tests available to all farm workers, to their families, for the clinicians taking care of them so that we aren't waiting for public labs and CDC labs to tell us what's bird flu or not.
[03:21:10.600 --> 03:21:15.819]  And the second very important thing is this is not like the beginning of COVID where we were dealing with a new virus.
[03:21:15.940 --> 03:21:16.840]  We didn't have a vaccine.
[03:21:17.040 --> 03:21:26.899]  There actually is a vaccine developed already against H5N1. The Biden administration has contracted with manufacturers to make almost 5 million doses of the vaccine.
[03:21:27.159 --> 03:21:30.819]  However, they have not asked the FDA to authorize the vaccine.
[03:21:31.020 --> 03:21:32.260]  There's research done on it.
[03:21:32.360 --> 03:21:38.500]  They could get this authorized now and also get the vaccine out and to farm workers and to vulnerable people.
[03:21:38.979 --> 03:21:43.680]  I think that's the right approach because we don't know what the Trump administration is going to be doing around bird flu.
[03:21:43.920 --> 03:21:48.879]  If they have people coming in with anti-vaccine stances, could they hold up vaccine authorization?
[03:21:49.280 --> 03:21:54.280]  If they don't want to know how much bird flu is out there, could they withhold testing?
[03:21:54.579 --> 03:21:56.399]  I mean, that's a possibility.
[03:21:56.719 --> 03:22:05.059]  To me, the spring and the summer where we had all of the dairy cattle to farm worker exposure, we didn't have human flu circulating.
[03:22:05.340 --> 03:22:10.979]  So now we're entering a much more dangerous period, yet we're still not testing.
[03:22:11.239 --> 03:22:19.180]  And we should be providing tests free of charge to dairy farm workers so they can test anonymously weekly because they'll want to know.
[03:22:19.840 --> 03:22:26.059]  If they have both cases of potential flus co-circulating in their own body to protect their families.
[03:22:26.059 --> 03:22:27.120]  People are very smart.
[03:22:27.260 --> 03:22:29.760]  I find the American public to be incredibly smart.
[03:22:29.760 --> 03:22:36.700]  If you tell them the risk and you give them the tools, they will utilize them to protect themselves and their family.
[03:22:37.340 --> 03:22:50.969]  Now, a lot of people ask me the question, if this whole biomedical system is being used by the globalists, as they admit it is, to try to bring in total control over society, And depopulate and take control of our bodies.
[03:22:51.450 --> 03:22:54.569]  Why, if it's been exposed, are they still running their operation?
[03:22:54.850 --> 03:23:12.530]  Because they built their whole globalist architecture at the UN and the WHO and these corporations to take control using a disease X. That's how I predicted it all decades ago and laid out the lockdowns and the six feet apart and the mask and the shots and the quarantine camps because they'd wargamed it.
[03:23:12.590 --> 03:23:14.530]  They'd said they were going to use it for total control.
[03:23:14.870 --> 03:23:22.180]  And then when they collapsed the third world from the lockdowns, And people starve to death, and we get flooded by the third world, they say, oh, it's global warming causing it.
[03:23:22.340 --> 03:23:33.899]  And when they say, oh, by 2030, there'll be mass depopulation from global warming, no, that's because of their policies cutting off the resources, cutting off the energy, cutting off the fertilizers, and that causes a collapse.
[03:23:34.000 --> 03:23:36.920]  And they say, oh, look, global warming, man-made, you caused it.
[03:23:37.549 --> 03:23:38.690]  This is their plan.
[03:23:38.930 --> 03:23:43.610]  This is the Rio de Janeiro post-industrial 1992 meeting.
[03:23:43.969 --> 03:23:47.569]  And this is Limits to Growth and the Club of Rome and their own admissions.
[03:23:47.569 --> 03:23:56.549]  Go watch the WHO or the WEF. I mean, go to the World Economic Forum and all of them.
[03:23:56.629 --> 03:23:58.889]  And they admit all of this.
[03:24:00.229 --> 03:24:03.489]  And so finally people are going, wow, these people really are evil.
[03:24:03.569 --> 03:24:04.329]  They really are doing this.
[03:24:04.409 --> 03:24:05.110]  And I'm like, yeah!
[03:24:05.370 --> 03:24:07.110]  And let's organize and oppose it.
[03:24:07.190 --> 03:24:07.989]  And that's happening.
[03:24:08.510 --> 03:24:09.530]  Last day of the year.
[03:24:09.709 --> 03:24:10.850]  So much more coming.
[03:24:11.030 --> 03:24:13.510]  Please stay with us and share the live links right now from Alex Jones.
[03:24:13.690 --> 03:24:16.770]  We reached tens of millions of new people yesterday because of you sharing the links.
[03:24:16.829 --> 03:24:18.350]  Let's do it again and let's stop these monsters.
[03:24:20.530 --> 03:24:28.069]  Ladies and gentlemen, we know there is an all-out assault on our health, our bodies, our freedoms, our liberties, you name it.
[03:24:28.170 --> 03:24:32.309]  Anything that is sacred is being assaulted right now by the New World Order and the globalists.
[03:24:32.569 --> 03:24:44.389]  Now, most recently, we have seen that the mainstream media, healthcare executives, big pharmaceutical companies and pundits and representatives and special interests have been exaggerating the claims of the dangers of this bird flu.
[03:24:45.170 --> 03:24:52.450]  Now, we know that the bird flu is not a threat, and we know that the response to pandemics tends to be much more of a threat than the pandemics themselves.
[03:24:52.829 --> 03:24:59.930]  We know that the vaccines, for example, and COVID-19 were more harmful than COVID-19 itself, and the same thing is true.
[03:25:01.180 --> 03:25:03.620]  Of what they're planning to do with this bird flu.
[03:25:03.819 --> 03:25:14.399]  They want to inoculate, to vaccinate all of our food supply in the name of saving the livestock, saving the food supply from being eradicated by these viruses, which they have engineered.
[03:25:15.079 --> 03:25:24.159]  And they wanna inoculate, vaccinate our food supply with new technology, new vaccines that can infect those who consume the food.
[03:25:24.870 --> 03:25:36.889]  That's why it's more important now than ever that you fight for your gut, that you protect your gut, because as Dr. Malone said, our gut is the reason it's been so difficult for them to inoculate us and vaccinate us involuntarily.
[03:25:37.069 --> 03:25:41.950]  Please go to thealexjonesstore.com right now and get Ultimate Gut Cleanse and Ultimate Probiotic.
[03:25:42.309 --> 03:25:44.270]  Please go to thealexjonesstore.com.
[03:25:44.270 --> 03:25:45.750]  I am so glad this is back.
[03:25:46.459 --> 03:25:51.260]  Optimal Human is the strongest, best, superfood, green drink you're gonna find anywhere.
[03:25:51.559 --> 03:25:54.760]  One little scoop in water, the energy, the focus, the clarity.
[03:25:55.059 --> 03:25:57.180]  It is the best green food out there.
[03:25:57.319 --> 03:25:57.959]  People love it.
[03:25:58.159 --> 03:25:59.559]  It is amazing.
[03:25:59.760 --> 03:26:02.840]  And it's back in stock discounted at the alexjonesstore.com.
[03:26:02.920 --> 03:26:04.180]  It just came back in yesterday.
[03:26:04.780 --> 03:26:07.540]  Also, Ultimate Turmeric Formula, concentrated gummies.
[03:26:08.079 --> 03:26:10.219]  The strongest, highest quality turmeric.
[03:26:10.420 --> 03:26:13.659]  The strongest, most concentrated high quality ginger and pepperdine and more.
[03:26:13.799 --> 03:26:15.280]  This is so good for your immune system.
[03:26:16.140 --> 03:26:17.959]  Anti-inflammation and so much more.
[03:26:18.680 --> 03:26:22.100]  Get yours at thealexjonesstore.com.
[03:26:22.239 --> 03:26:26.200]  You'll be blown away as well by the ultimate CMOS, iris CMOS formula.
[03:26:26.559 --> 03:26:29.420]  The gummies are back now as well, though I like the powder capsules.
[03:26:29.540 --> 03:26:29.920]  They're stronger.
[03:26:30.479 --> 03:26:32.659]  It's all there at thealexjonesstore.com.
[03:26:33.040 --> 03:26:36.620]  Amazing patriot gear to spread the word, to wake people up, to meet white-minded folks.
[03:26:36.819 --> 03:26:37.559]  It's an adventure.
[03:26:38.159 --> 03:26:42.639]  Hundreds of designs, incredible designs at thealexjonesstore.com.
[03:26:42.840 --> 03:26:46.770]  Limited edition, 2025. Alex Jones, InfoWars.
[03:26:47.049 --> 03:26:47.430]  Calendar.
[03:26:47.629 --> 03:26:48.469]  It's fun.
[03:26:48.930 --> 03:26:51.750]  Folks that barely came up with this, it's a great way to give a gift.
[03:26:53.200 --> 03:26:58.120]  We have the campaign coins, liberty coins, that are nice mementos.
[03:26:58.360 --> 03:27:00.180]  From $9, you know, up to $25.
[03:27:00.399 --> 03:27:02.079]  And it all funds the Infowar.
[03:27:02.319 --> 03:27:05.719]  It's all there at thealexjonesstore.com.
[03:27:06.079 --> 03:27:09.819]  And you build the patriot economy, you build the proven economy, and you keep us on air.
[03:27:10.120 --> 03:27:12.920]  We'll know by the middle of January whether we're going to survive.
[03:27:13.159 --> 03:27:15.139]  The U.S. trustee's still been left there, though it was over.
[03:27:16.549 --> 03:27:19.590]  The judge said you're actually gonna sell it to who actually offers the most money.
[03:27:20.030 --> 03:27:25.350]  We're gonna work on that with outside groups that won't censor us, but who knows what Soros and Bloomberg are gonna do.
[03:27:26.239 --> 03:27:27.979]  But regardless, we continue on.
[03:27:28.059 --> 03:27:29.120]  The info war is you.
[03:27:29.200 --> 03:27:29.520]  It's me.
[03:27:29.600 --> 03:27:30.219]  It's the people.
[03:27:30.239 --> 03:27:30.979]  It's questioning.
[03:27:31.000 --> 03:27:31.799]  It's researching.
[03:27:31.979 --> 03:27:32.860]  It's promoting liberty.
[03:27:33.020 --> 03:27:34.180]  It's resisting tyranny.
[03:27:34.520 --> 03:27:40.239]  And that's why going to thealexjonesstore.com will ensure that future operation regardless of what they do.
[03:27:40.440 --> 03:27:41.780]  Now is the time of action.
[03:27:42.120 --> 03:27:45.379]  All glory goes to God, but God's worked through you, so I salute you.
[03:27:46.049 --> 03:27:49.250]  We've done fabulous work together, and our most important work is yet to come.
[03:27:49.389 --> 03:27:50.750]  So, you are our boosters.
[03:27:50.750 --> 03:27:51.729]  You are the missionaries.
[03:27:51.909 --> 03:27:53.569]  You are the ambassadors of freedom.
[03:27:53.950 --> 03:27:58.309]  And your financial support gets you great products that enrich your life and keep you on air a total of $360.
[03:27:58.709 --> 03:28:04.290]  Go to theallofshownstore.com right now and find out how amazing these products are.
[03:28:05.350 --> 03:28:06.850]  Ho, ho, ho!
[03:28:07.409 --> 03:28:08.590]  Merry Christmas!
[03:28:09.010 --> 03:28:09.229]  Merry Christmas!
[03:28:12.459 --> 03:28:21.639]  The globalist COVID tyrants are making their move again, but this time the people of the world are awake and are standing up against it.
[03:28:22.079 --> 03:28:34.120]  The last five years of their criminal power grab has already blown up in their face, but they're so desperate they have no other moves to make and are trying to run the same play again.
[03:28:34.420 --> 03:28:40.920]  This is going to be their Waterloo if we get the facts and raise the alarm to the people of the world now.
[03:28:50.180 --> 03:28:52.079]  So many things can come out of this.
[03:28:52.219 --> 03:28:57.139]  I think the main points are we're ahead of any type of government narrative.
[03:28:57.399 --> 03:29:02.120]  This came out of a laboratory that all the evidence points to that.
[03:29:02.520 --> 03:29:05.100]  It's being spread by migratory waterfowl.
[03:29:05.239 --> 03:29:08.000]  What happens from here, John, is very interesting.
[03:29:09.059 --> 03:29:13.040]  The migratory waterfowl, don't forget, are not being culled.
[03:29:13.280 --> 03:29:14.739]  So they're flying around.
[03:29:14.920 --> 03:29:18.040]  What's going to happen is invariably they're going to get natural immunity.
[03:29:18.659 --> 03:29:19.680]  Which is very interesting.
[03:29:19.860 --> 03:29:22.940]  So if they get natural immunity, this thing could die off on its own.
[03:29:23.319 --> 03:29:27.340]  The second point is that the human cases haven't been too impressive.
[03:29:27.659 --> 03:29:35.979]  And unless we actually start to get really serious pulmonary cases in humans, The public's not gonna be moved by this.
[03:29:36.180 --> 03:29:45.680]  It's Monday, December 30th, 2024. We're only 22 days out from the inauguration of President Trump.
[03:29:45.940 --> 03:29:58.459]  And right on time, as we predicted, and as the bad guys began admitting a month ago, they are rolling out the official bird flu hysteria.
[03:29:59.260 --> 03:30:01.579]  Now, here's the good news.
[03:30:02.159 --> 03:30:17.440]  People are way more aware and awake than they were five years ago the last time they rolled out this Global Disease X in the UN's own admission as a plan to set up their corporate world government and their cashless society attached to the vaccine passport.
[03:30:18.190 --> 03:30:20.010]  System for the social credit score.
[03:30:20.250 --> 03:30:36.750]  And just two weeks ago, they tried to pass the pandemic legislation in the big spending bill that mirrored the UN treaty that also failed this year to give them draconian powers for lockdowns, forced injections, forced masking,
[03:30:37.350 --> 03:30:39.670]  total liability protection for their poison shots.
[03:30:39.850 --> 03:30:40.790]  That failed.
[03:30:41.379 --> 03:30:48.819]  And they tried lockdowns last year, if you remember, but we got ahead of it, and Trump said they're doing this ahead of the election to try to steal it, so they're gonna have mail-in ballots.
[03:30:49.020 --> 03:30:51.000]  There was major political, cultural pressure.
[03:30:51.100 --> 03:30:52.260]  They had to back off of that.
[03:30:52.559 --> 03:30:56.180]  But this time, they are coming in harder than ever.
[03:30:56.200 --> 03:31:12.840]  So if we expose the past fraud and the current fraud that I'm about to lay out, we don't have just a very good chance of stopping this huge PSYOP. We will stop it, but this is meant to block Not just the American awakening of populism and the Great Awakening, but the global Great Awakening.
[03:31:13.020 --> 03:31:16.219]  And the usual suspects are out there pushing the lies.
[03:31:16.360 --> 03:31:18.520]  We're about to break it all down right now.
[03:31:18.739 --> 03:31:24.680]  We have some big picture stuff coming down the pike starting on January 21st.
[03:31:25.079 --> 03:31:29.059]  Mr. Bloomberg mentioned H5N1. That I'm really worried about.
[03:31:29.200 --> 03:31:34.739]  It's all over wild birds on the western part of the United States and going up in the north.
[03:31:34.739 --> 03:31:36.040]  It's getting into the poultry.
[03:31:36.360 --> 03:31:42.979]  You can see that they're monitoring more than 10,000 exposures, but they've only tested 530. What does that mean?
[03:31:43.180 --> 03:31:44.620]  That means we're not testing enough.
[03:31:44.799 --> 03:31:48.479]  And we know from other viruses that a lot of the spread can be asymptomatic.
[03:31:48.700 --> 03:32:00.360]  And I think the Biden administration in the remaining days should get testing and vaccines widely available so that at least it empowers state and local health officials and clinicians to do the right thing for their patients.
[03:32:00.540 --> 03:32:05.260]  All that's gonna come crashing down on January 21st on the Trump administration.
[03:32:05.420 --> 03:32:08.799]  We need a really, really good team to be able to handle this.
[03:32:09.040 --> 03:32:21.879]  Deborah Birx, Lena Nguyen, Peter Hotez, all the usual suspects right out of Fauci's operation are all over television telling us This new bird flu is here.
[03:32:22.079 --> 03:32:26.959]  It could mutate any minute and just destroy us all, but don't you worry.
[03:32:27.239 --> 03:32:44.940]  The Biden administration over the last year has spent hundreds and millions of dollars going out to all these different so-called vaccine makers, including Moderna, with an mRNA experimental gene therapy, and a whole bunch of other foreign countries are developing mRNA for the bird flu,
[03:32:45.260 --> 03:33:02.930]  and that they're gonna have it ready for you, and now we have Burks and Wynn and all the usual suspects saying we need emergency authorization From the FDA right now for these stockpiles of so-called vaccines they've made,
[03:33:03.149 --> 03:33:21.510]  there's more than 10 different companies that I just looked up this morning that are doing it, to then rush these directly untested to the public when the mainline science on its face shows that if you don't have the exact mutation of whatever they say the bird flu is gonna mutate into,
[03:33:21.809 --> 03:33:32.879]  the shot doesn't just not protect you, but it causes what they call A leaky vaccine or accelerated evolution or mutation.
[03:33:32.879 --> 03:33:41.479]  When you give people these different experimental shots, supposedly suppressing those viruses, it makes them mutate faster.
[03:33:42.180 --> 03:33:49.659]  And we've got scientists and experts and researchers and doctors coming on throughout the week to be talking about that on my show.
[03:33:49.680 --> 03:33:52.639]  But you can just look up leaky vaccines for yourself.
[03:33:52.840 --> 03:33:54.280]  It's kind of a non-threatening name.
[03:33:54.379 --> 03:33:55.280]  Oh, it's just a leaky vaccine.
[03:33:55.440 --> 03:34:02.899]  No, it means it makes new mutations that are worse, which is what they're warning us the bird flu is about to do.
[03:34:03.760 --> 03:34:06.520]  This new H5N1 and all the rest of this.
[03:34:06.659 --> 03:34:10.899]  So any basic science, any basic research of this shows you how crazy it is.
[03:34:11.040 --> 03:34:15.360]  We're about to lay out some of the history of these fearmongers, what they're doing now and how we stop them.
[03:34:15.440 --> 03:34:20.540]  My main concern is that we're not going to reach herd immunity because of vaccine hesitancy.
[03:34:20.940 --> 03:34:25.059]  And I know that's hard for a lot of people to believe who desperately want the vaccine right now.
[03:34:25.280 --> 03:34:29.340]  And they're thinking, oh, well, it's just a small percentage of people who are actually anti-vaxxers.
[03:34:29.479 --> 03:34:30.120]  And that's true.
[03:34:30.280 --> 03:34:32.840]  There is the anti-science, anti-vaxxer contingent.
[03:34:32.920 --> 03:34:41.500]  But I think that there are many more people, millions of people who, for whatever reason, have concerns about the vaccine, who just don't know what's in it for them.
[03:34:41.659 --> 03:34:46.739]  And we need to make it clear to them that the vaccine is the ticket back to pre-pandemic life.
[03:34:47.219 --> 03:34:49.159]  And the window to do that is really narrowing.
[03:34:49.299 --> 03:34:52.120]  I mean, you were mentioning, Chris, about how all these states are reopening.
[03:34:52.360 --> 03:34:53.979]  They're reopening at 100%.
[03:34:53.979 --> 03:34:59.659]  And we have a very narrow window to tie reopening policy to vaccination status.
[03:34:59.840 --> 03:35:03.700]  Because otherwise, if everything is reopened, then what's the carrot going to be?
[03:35:03.940 --> 03:35:06.639]  How are we going to incentivize people to actually get the vaccine?
[03:35:06.899 --> 03:35:14.610]  So that's why I think the CDC and the Biden administration needs to come out a lot bolder and say, if you're vaccinated, You can do all these things.
[03:35:14.950 --> 03:35:20.430]  I knew these vaccines were not going to protect against infection, and I think we overplayed the vaccines.
[03:35:20.590 --> 03:35:23.950]  So I am very worried that we just don't.
[03:35:24.549 --> 03:35:29.729]  As a nation, we haven't made that commitment to really fully protect American people.
[03:35:29.989 --> 03:35:43.889]  We caught up with internationally recognized dean of the National School of Tropical Medicine at Baylor and co-director of the Texas Children's Hospital Center for Vaccine Development, Dr. Peter Hotez, who's traveling to get his take on the topic.
[03:35:44.170 --> 03:35:52.129]  We have a likelihood that new pandemic threats, people call it disease X, are going to be rising on a regular basis.
[03:35:52.430 --> 03:35:58.090]  And Dr. Hotez says disease X, the next pandemic, could hit hard whenever it arrives.
[03:35:58.579 --> 03:36:05.000]  Why do you think some experts are predicting the next pandemic will make COVID-19 look like a walk in the park?
[03:36:05.459 --> 03:36:06.979]  I've written about this as well.
[03:36:07.100 --> 03:36:11.879]  I wrote for the Houston Chronicle a couple of months back that COVID-19 issues the warm-up act.
[03:36:12.700 --> 03:36:16.600]  The next pandemic may not be as severe, but it could be much more severe.
[03:36:16.959 --> 03:36:23.860]  You cannot make the conclusion that the vaccine will do better than natural infection, although it can often do slightly better.
[03:36:24.059 --> 03:36:36.639]  But I think that's, I mean, you're an expert, you were on the task force, you were part of this effort when you were in the previous administration, and you're saying in this administration that you can't rule out the fact that our government was lying to us when they told us the vaccinated could not get the virus.
[03:36:36.940 --> 03:36:40.120]  I don't know about their discussions that they had in the task force.
[03:36:40.379 --> 03:36:42.000]  So I can't tell you that.
[03:36:42.120 --> 03:36:48.139]  I can tell you as a family member who had individuals that were susceptible, of course we got everybody vaccinated.
[03:36:48.260 --> 03:36:57.299]  But we still use layered protection during surges because I knew potentially the vaccine immunity would wane like natural immunity waned.
[03:36:57.379 --> 03:37:02.180]  And there was evidence that every four months, reinfection was occurring in South Africa.
[03:37:02.360 --> 03:37:02.739]  Wow.
[03:37:03.450 --> 03:37:07.809]  When the government told us that the vaccinated couldn't transmit it, was that a lie or was that a guess?
[03:37:08.069 --> 03:37:09.290]  Or is it the same answer?
[03:37:10.149 --> 03:37:11.709]  I think it was hope.
[03:37:12.389 --> 03:37:14.389]  That the vaccine would work in that way.
[03:37:14.809 --> 03:37:22.690]  And that's why I think scientists and public health leaders always have to be at the table, being very clear what we know and what we don't know.
[03:37:22.709 --> 03:37:24.309]  This is important for the country to know.
[03:37:24.450 --> 03:37:31.569]  So when I asked the question, when the government told us that the vaccinated couldn't get it, and I asked you if it was a guess or a lie, you said you don't know.
[03:37:31.829 --> 03:37:33.430]  You said you think it was hope.
[03:37:33.610 --> 03:37:35.729]  So what we do know is it wasn't the truth.
[03:37:35.909 --> 03:37:54.459]  So they were either guessing, lying, or hoping, and communicating that information to the to the citizens of this country I think they were hoping, but you should know in those original phase 3 trials that were done in this country, that we only measured for symptomatic disease.
[03:37:54.979 --> 03:38:02.780]  So we weren't proactively testing everybody in those trials to see if they got infected with mild or asymptomatic disease.
[03:38:03.120 --> 03:38:06.219]  And so people had to present within the clinical trial.
[03:38:06.559 --> 03:38:11.239]  So we never had the data that it was going to protect against asymptomatic infection.
[03:38:11.260 --> 03:38:12.299]  I'm just struck with the irony.
[03:38:38.610 --> 03:38:39.590]  Don't forget.
[03:38:40.500 --> 03:38:42.100]  This point's gotta be made over and over again.
[03:38:42.600 --> 03:38:59.659]  Just two weeks ago, they tried in the big spending bill to add Draconian civil emergency martial law provisions for a new pandemic and tens of billions of dollars more to fund their operations.
[03:39:00.040 --> 03:39:11.139]  That failed because the public is awake and because Trump supporters and Elon Musk and our listeners and others put pressure on them and shot down the legislation.
[03:39:11.340 --> 03:39:13.219]  The UN global treaty has failed.
[03:39:14.200 --> 03:39:25.819]  They've come out and said, don't worry, a new pandemic's coming, Bill Gates, Hotez, all of them, and that will teach you to get in line and do what they say.
[03:39:26.219 --> 03:39:30.780]  What did Trump do last year when I raised the alarm and when this great audience of activists raised the alarm?
[03:39:31.409 --> 03:39:36.370]  About them trying to roll out the inbox, the new monkey pox, the bird for the rest of it.
[03:39:36.450 --> 03:39:38.190]  We said we've got to get ahead of this and expose it.
[03:39:38.290 --> 03:39:42.809]  Trump came out and said they're doing this so they can have mail-in ballots coming to the election.
[03:39:42.989 --> 03:39:44.010]  We exposed it.
[03:39:44.569 --> 03:39:45.469]  It failed.
[03:39:45.690 --> 03:39:47.209]  So we attacked the PCR test.
[03:39:47.270 --> 03:39:47.809]  It's a fraud.
[03:39:48.170 --> 03:39:51.829]  Notice Berks was on national TV saying we've got to have the PCR test.
[03:39:52.129 --> 03:39:54.030]  You know, we've got to create the fear.
[03:39:54.629 --> 03:39:57.709]  You've got to go out and test people and claim it's jumped to humans.
[03:39:57.989 --> 03:40:02.010]  It's preposterous how obvious all of this is.
[03:40:02.110 --> 03:40:12.530]  And that's why I've said they've got to go to prison, not just for the millions that died from the poison shot, the millions that died around the world for lack of medical care, but so this same group of criminals can't do this again.
[03:40:12.729 --> 03:40:21.870]  The UN documents came out decades ago that they would use the threat of a pandemic to bring in world government and have it six feet apart and wearing masks and forced injections and quarantine centers.
[03:40:21.989 --> 03:40:34.969]  They've built Under UN auspices, all these emergency pandemic camps around the world, this is their smokescreen for global totalitarianism to stop the global awakening.
[03:40:35.250 --> 03:40:40.350]  So we don't just call for saying no to this new hysteria and fear and stopping the new emergencies and declaring.
[03:40:40.590 --> 03:40:46.110]  We also demand prosecution of Fauci and the rest of them, and their whole house of cards will collapse.
[03:40:46.110 --> 03:40:47.510]  It's us or them.
[03:40:48.090 --> 03:40:54.030]  We have some big picture stuff coming down the pike starting on January 21st.
[03:40:54.389 --> 03:40:58.370]  Mr. Bloomberg mentioned H5N1. That I'm really worried about.
[03:40:58.530 --> 03:41:04.069]  It's all over wild birds on the western part of the United States and going up in the north.
[03:41:04.069 --> 03:41:05.409]  It's getting into the poultry.
[03:41:05.590 --> 03:41:08.049]  We're seeing sporadic human cases.
[03:41:08.209 --> 03:41:11.170]  No human-to-human transmission yet, but that could happen.
[03:41:11.170 --> 03:41:11.989]  It's in the cattle.
[03:41:12.110 --> 03:41:12.750]  It's in the milk.
[03:41:13.049 --> 03:41:14.149]  And that's just the beginning.
[03:41:14.329 --> 03:41:18.030]  We have another major coronavirus likely brewing in Asia.
[03:41:18.110 --> 03:41:27.750]  We've had SARS in 2002, SARS-2, COVID-19 in 2019. And we know these viruses are jumping from bats to people thousands of times a year.
[03:41:28.079 --> 03:41:29.520]  But there's still more.
[03:41:29.719 --> 03:41:37.180]  We know that we have a big problem with mosquito-transmitted viruses all along the Gulf Coast, where I am here in Texas.
[03:41:37.180 --> 03:41:43.000]  We're expecting dengue and possibly Zika virus coming back, or Apuche virus.
[03:41:43.319 --> 03:41:44.620]  Maybe even yellow fever.
[03:41:44.819 --> 03:41:45.680]  And there's more.
[03:41:45.840 --> 03:41:54.899]  Then we have all this sharp rise in vaccine-preventable diseases going up because of, in part, the anti-vaccine activism that's so prominent right now.
[03:41:54.899 --> 03:42:01.079]  We have a five-fold rise in pertussis cases, whooping cough over the last year, 15 measles outbreaks this year.
[03:42:01.200 --> 03:42:04.420]  We've got polio that's been in the wastewater in New York State.
[03:42:04.760 --> 03:42:09.680]  All that's going to come crashing down on January 21st on the Trump administration.
[03:42:09.860 --> 03:42:13.180]  We need a really, really good team to be able to handle this.
[03:42:13.309 --> 03:42:22.829]  Vaccine driven viral evolution or the common term leaky vaccine.
[03:42:22.829 --> 03:42:24.709]  That's the most important point.
[03:42:25.459 --> 03:42:29.340]  More important than the fact that the globalists admitted they'd use these viruses to take full control.
[03:42:29.780 --> 03:42:45.399]  Even more important than them being caught in all these previous lies and being total frauds in their own documents coming out, not just here, but around the world, health agencies coordinating to hype, fear, lie to the public, not treat people sick from other viruses so they die to add to those death numbers.
[03:42:45.799 --> 03:42:46.799]  That's all key.
[03:42:47.120 --> 03:42:58.049]  But most important is the fact that you give people During the big virus season, during winter, a bunch of experimental shots.
[03:42:58.409 --> 03:43:08.409]  It is on record that it causes not just the virus they're targeting, but many other coronaviruses, flu viruses, you name it, to be put under pressure in the body.
[03:43:08.670 --> 03:43:18.829]  And then that causes these dangerous mutations, which they're telling us is about to happen and make it jump into humans even easier.
[03:43:19.090 --> 03:43:20.790]  So why would you then have...
[03:43:21.450 --> 03:43:37.329]  10 companies in the US, dozens around the world, so many I can't even count them all, all coming out with their own bird flu shots, but having no idea what it's about to mutate into unless they already have it on the shelf at these bioweapon labs like EcoHealth Alliance and others,
[03:43:37.549 --> 03:43:43.190]  so that when the new variant shows up, don't worry, they've already got the so-called vaccine on the shelf.
[03:43:44.010 --> 03:43:47.870]  This is really important information.
[03:43:48.409 --> 03:43:54.549]  We've got scientists, doctors, researchers coming on today and throughout the week on my show.
[03:43:54.729 --> 03:43:58.170]  Follow us at RealAlexJones as we break this down.
[03:43:58.309 --> 03:44:02.829]  But it's really important to attack the credibility of these people and to point out the science.
[03:44:03.379 --> 03:44:07.200]  Science is about asking questions, not about Fauci saying, I am the science.
[03:44:07.420 --> 03:44:08.620]  Don't ask questions.
[03:44:08.840 --> 03:44:17.440]  This is a globalist eugenics death cult led by Bill Gates and Klaus Schwab that wants to depopulate the earth and wants full control over our bodies.
[03:44:17.620 --> 03:44:25.979]  This is an existential threat to everyone, and these criminals must go down before they release the next manufactured virus.
[03:44:26.180 --> 03:44:29.840]  What should be happening in the Biden administration right now that isn't going on?
[03:44:30.229 --> 03:44:33.850]  Yeah, there are two main things that they should be doing in the days that they have left.
[03:44:34.030 --> 03:44:36.129]  The first is to get testing out there.
[03:44:36.350 --> 03:44:42.329]  I feel like we should have learned our lesson from COVID that just because we aren't testing, it doesn't mean that the virus isn't there.
[03:44:42.510 --> 03:44:44.049]  It just means that we aren't looking for it.
[03:44:44.170 --> 03:44:57.049]  We should be having rapid tests, home tests available to all farm workers, to their families, for the clinicians taking care of them so that we aren't waiting for public labs and CDC labs to tell us what's bird flu or not.
[03:44:57.329 --> 03:45:02.530]  And the second very important thing is this is not like the beginning of COVID where we were dealing with a new virus.
[03:45:02.690 --> 03:45:03.569]  We didn't have a vaccine.
[03:45:03.750 --> 03:45:13.670]  There actually is a vaccine developed already against H5N1. The Biden administration has contracted with manufacturers to make almost 5 million doses of the vaccine.
[03:45:13.909 --> 03:45:17.590]  However, they have not asked the FDA to authorize the vaccine.
[03:45:17.770 --> 03:45:19.010]  There's research done on it.
[03:45:19.129 --> 03:45:25.270]  They could get this authorized now and also get the vaccine out and to farm workers and to vulnerable people.
[03:45:25.680 --> 03:45:30.420]  I think that's the right approach because we don't know what the Trump administration is going to be doing around bird flu.
[03:45:30.620 --> 03:45:35.620]  If they have people coming in with anti-vaccine stances, could they hold up vaccine authorization?
[03:45:36.000 --> 03:45:41.020]  If they don't want to know how much bird flu is out there, could they withhold testing?
[03:45:41.340 --> 03:45:43.020]  I mean, that's a possibility.
[03:45:43.420 --> 03:45:51.799]  To me, the spring and the summer where we had all of the dairy cattle to farm worker exposure, we didn't have human flu circulating.
[03:45:52.059 --> 03:45:57.719]  So now we're entering a much more dangerous period, yet we're still not testing.
[03:45:57.879 --> 03:46:05.940]  And we should be providing tests free of charge to dairy farm workers so they can test anonymously weekly because they'll want to know.
[03:46:06.540 --> 03:46:12.819]  If they have both cases of potential flus co-circulating in their own body to protect their families.
[03:46:12.979 --> 03:46:13.879]  People are very smart.
