[00:00:18.612 --> 00:00:19.312]  People of the day!
[01:08:16.862 --> 01:08:17.122]  Wait!
[01:08:17.222 --> 01:08:17.742]  Stop!
[01:08:17.842 --> 01:08:18.983]  Don't adjust your television!
[01:08:19.003 --> 01:08:21.485]  The internet or the voices in your head.
[01:08:21.705 --> 01:08:23.326]  You're still watching the Fox News Channel.
[01:08:23.666 --> 01:08:25.848]  But you're about to enter a parallel universe.
[01:08:26.088 --> 01:08:27.049]  Planet Mankow.
[01:08:28.244 --> 01:08:28.924]  I'm man cow.
[01:08:29.544 --> 01:08:30.865]  I don't know what it means either.
[01:08:30.905 --> 01:08:32.745]  My mom calls me Eric or son.
[01:08:33.365 --> 01:08:34.705]  Look, I'm not the king of pop.
[01:08:34.765 --> 01:08:36.165]  I'm not the king of all media.
[01:08:36.205 --> 01:08:38.226]  I don't have talent on loan from God.
[01:08:38.666 --> 01:08:41.706]  I'm just some guy that wants to give you people the voice.
[01:08:41.726 --> 01:08:43.267]  I don't have all the answers.
[01:08:43.287 --> 01:08:44.467]  I don't claim to have all the answers.
[01:08:44.887 --> 01:08:49.868]  Many times I feel like Frankenstein walking blindly through the fog trying to figure it all out.
[01:08:50.108 --> 01:08:52.768]  There's a lot of confusing stuff going on on our planet right now.
[01:08:53.449 --> 01:08:55.869]  But a lot of funny stuff as well and thank God.
[01:08:56.957 --> 01:09:01.080]  I hope to bring a little bit of both in the next hour here on Planet Man Cow.
[01:09:01.740 --> 01:09:02.801]  What is the scariest word to you?
[01:09:04.422 --> 01:09:04.702]  Hate.
[01:09:05.022 --> 01:09:05.302]  Hate?
[01:09:06.043 --> 01:09:06.283]  Death?
[01:09:07.403 --> 01:09:08.264]  Death is very scary.
[01:09:08.284 --> 01:09:09.144]  You're afraid of death?
[01:09:09.365 --> 01:09:09.845]  Very much so.
[01:09:11.022 --> 01:09:11.963]  Is there something after this?
[01:09:12.303 --> 01:09:14.584]  You know, I don't think there is something after this.
[01:09:14.604 --> 01:09:15.465]  That's the scary part.
[01:09:15.965 --> 01:09:19.027]  And coming up, your future in Signs of the Apocalypse.
[01:09:19.207 --> 01:09:27.651]  And we're going to take you to the grassy knoll where 9-11 conspiracists... Kevin Smith believes 9-11 was a secret government plot.
[01:09:28.012 --> 01:09:32.554]  And he's going to face off against a New York City firefighter that was actually there on that horrific day.
[01:09:32.834 --> 01:09:35.536]  Stay right there because Planet Man Cow will be right back.
[01:09:45.878 --> 01:09:47.179]  Conspiracy is big business.
[01:09:47.299 --> 01:09:50.440]  Conspiracy around 9-11 is huge business.
[01:09:50.761 --> 01:09:54.623]  You've got movies and t-shirts and DVDs and websites.
[01:09:55.203 --> 01:10:01.226]  And joining me here on the grassy knoll is Kevin Smith, who has one of those websites, Infowars.com, and a firefighter that was actually there.
[01:10:01.246 --> 01:10:02.807]  This thing is big business.
[01:10:03.167 --> 01:10:03.968]  This is Brian Harvey.
[01:10:04.008 --> 01:10:04.268]  Brian?
[01:10:04.949 --> 01:10:07.750]  What do you think about this guy making money off of this tragedy?
[01:10:08.030 --> 01:10:13.451]  Well, I can't say I support people making money off of the country's worst tragedy to hit our mainland.
[01:10:13.931 --> 01:10:29.034]  I just think that if people want to make movies or write books, with all the special attention that's made to detail and keeping the conspiracy theories and political rhetoric down and take it off the whole movie project or book project, there's nothing wrong with telling it how it went.
[01:10:29.294 --> 01:10:31.094]  It was an attack on our country by terrorists.
[01:10:33.013 --> 01:10:37.063]  They believe, they're passionate about what they believe, and they want other people to join on board with them.
[01:10:37.083 --> 01:10:37.865]  So you think he really believes this?
[01:10:37.885 --> 01:10:39.669]  You don't think he's just some nut trying to make a buck?
[01:10:40.410 --> 01:10:41.012]  I can't say that.
[01:10:41.032 --> 01:10:42.174]  I don't know him well enough to say that.
[01:10:42.978 --> 01:10:45.300]  Well, I can assure you I'm not getting rich over this.
[01:10:45.440 --> 01:10:47.662]  I make a salary just like anybody else with a job.
[01:10:48.122 --> 01:10:52.025]  I report for InfoWars.com, Alex Jones' website and prison planet.
[01:10:52.306 --> 01:10:55.028]  But I'm mainly the producer of that show, which means I book the guests.
[01:10:55.048 --> 01:10:57.090]  So, I talk to these military people.
[01:10:57.110 --> 01:10:58.231]  I talk to these professors.
[01:10:58.291 --> 01:11:01.193]  I talk to these underwriter laboratories and civil engineers.
[01:11:01.653 --> 01:11:02.814]  And it's across the board.
[01:11:02.834 --> 01:11:07.598]  I mean, I'm not sure if you're aware, but CBS and the New York Times did a poll this month.
[01:11:07.938 --> 01:11:10.921]  53% of respondents say that the Bush administration is hiding.
[01:11:11.321 --> 01:11:12.322]  Something.
[01:11:12.682 --> 01:11:13.642]  28% say they're lying.
[01:11:13.982 --> 01:11:15.623]  I mean, you're over 80% now.
[01:11:16.143 --> 01:11:17.364]  This is not a fringe thing.
[01:11:17.444 --> 01:11:23.386]  A third of the people in a Scripps Howard News Service said, a third of the people said the government did it.
[01:11:23.906 --> 01:11:26.808]  Okay, this is not just a fringe conspiracy theory anymore.
[01:11:27.068 --> 01:11:28.488]  It's a conspiracy fact.
[01:11:29.028 --> 01:11:30.129]  And we can prove it to you.
[01:11:30.409 --> 01:11:31.389]  Go to the scientists.
[01:11:31.630 --> 01:11:32.570]  Don't take my word for it.
[01:11:33.250 --> 01:11:34.570]  Google WTC7.
[01:11:34.751 --> 01:11:35.831]  Understand what that's about.
[01:11:35.951 --> 01:11:38.011]  Understand what false flag terrorism is about.
[01:11:38.452 --> 01:11:39.592]  How we orchestrate wars.
[01:11:39.612 --> 01:11:41.232]  We've been doing it for a long time.
[01:11:41.292 --> 01:11:41.852]  Not just us.
[01:11:42.092 --> 01:11:42.713]  Not saying U.S.
[01:11:42.753 --> 01:11:43.093]  government.
[01:11:43.293 --> 01:11:44.133]  It's the oldest trick in the book.
[01:11:44.273 --> 01:11:49.795]  Can I ask you, then why isn't it out in the forum today with the 06 elections and all these other things?
[01:11:50.035 --> 01:11:51.795]  You know, is it an anti-President Bush thing?
[01:11:51.835 --> 01:11:53.375]  Is it an anti-United States thing?
[01:11:53.395 --> 01:11:54.236]  It is in the media!
[01:11:54.376 --> 01:11:54.656]  It is!
[01:11:55.496 --> 01:11:57.198]  Front and center on every major news program.
[01:11:57.218 --> 01:12:00.701]  I'm as pro-United States as I can be, but I don't swear an allegiance to a person.
[01:12:01.021 --> 01:12:05.865]  I swear my allegiance to the founding documents, the Constitution and the Bill of Rights, which have been eviscerated now.
[01:12:05.885 --> 01:12:08.488]  Why isn't that out in front right now?
[01:12:08.728 --> 01:12:09.288]  I don't hear about it.
[01:12:09.328 --> 01:12:10.589]  We're talking about mainstream media?
[01:12:10.609 --> 01:12:11.410]  I don't hear about it.
[01:12:11.450 --> 01:12:15.814]  The people that are just totally wrapped up in what Jen and Brad are doing constantly?
[01:12:16.194 --> 01:12:16.915]  It's not news.
[01:12:17.275 --> 01:12:17.996]  They control.
[01:12:18.216 --> 01:12:20.198]  Television is called programming for a reason.
[01:12:20.718 --> 01:12:22.380]  They want you to know what they want you to know.
[01:12:22.400 --> 01:12:34.489]  But if President Bush was behind it or knew about it, if Vice President Cheney knew about it and was told to stand up, don't you think the mainstream media would expose that with all this proof that you have?
[01:12:34.509 --> 01:12:37.451]  NBC, that owns General Electric, that makes the engines, that makes the guns.
[01:12:37.491 --> 01:12:40.894]  But they have not been in this administration's corner for a long time.
[01:12:40.974 --> 01:12:41.634]  I have never seen it.
[01:12:41.654 --> 01:12:42.735]  It's always the other way around.
[01:12:43.936 --> 01:12:45.618]  The media attacks his presence for everything.
[01:12:45.838 --> 01:12:46.519]  He orchestrated 9-11.
[01:12:46.539 --> 01:12:48.741]  I don't see where you're getting that.
[01:12:48.822 --> 01:12:49.702]  There's a paradigm shift.
[01:12:49.743 --> 01:12:50.804]  They are attacking him now.
[01:12:51.044 --> 01:12:51.885]  But they weren't forever.
[01:12:52.065 --> 01:12:53.307]  He was getting card blocked.
[01:12:53.327 --> 01:12:54.468]  He could do whatever he wanted.
[01:12:54.788 --> 01:12:56.310]  And no one could question the leader.
[01:12:57.271 --> 01:12:58.913]  This government can't keep anything secret.
[01:12:59.722 --> 01:13:01.585]  They kept the Manhattan Project secret.
[01:13:01.605 --> 01:13:03.006]  Let's talk about 9-11.
[01:13:03.046 --> 01:13:04.308]  They kept 9-11 secret.
[01:13:04.348 --> 01:13:06.250]  How many people were involved?
[01:13:06.290 --> 01:13:07.131]  It's not a secret.
[01:13:07.172 --> 01:13:07.672]  How many people?
[01:13:08.633 --> 01:13:09.735]  It doesn't have to be very many.
[01:13:09.775 --> 01:13:11.958]  It just needs to be moles placed into the top.
[01:13:12.238 --> 01:13:13.519]  We had people in CENTCOM.
[01:13:13.760 --> 01:13:15.422]  The colonels in Central Command were fighting.
[01:13:15.442 --> 01:13:16.163]  Is Hillary Clinton involved?
[01:13:16.773 --> 01:13:17.553]  Is Hillary involved?
[01:13:17.613 --> 01:13:19.254]  I doubt it.
[01:13:19.294 --> 01:13:21.034]  Listen, the Democrats aren't going to wreck the game.
[01:13:21.254 --> 01:13:25.776]  You know, monsters may shoot each other under the card table every once in a while, but if someone threatens that game, it will unify.
[01:13:25.896 --> 01:13:32.517]  So Hillary Clinton, you know, the Democrats and Bush and all the Republicans, they all got together to make 9-11 because it's big business.
[01:13:32.817 --> 01:13:35.438]  Intelligence agencies got together and worked together.
[01:13:35.478 --> 01:13:36.639]  They always have worked together.
[01:13:36.659 --> 01:13:39.159]  They don't work for their governments, they work for the banking interests.
[01:13:39.419 --> 01:13:40.059]  What if you're wrong?
[01:13:40.500 --> 01:13:41.120]  I'm not wrong.
[01:13:41.220 --> 01:13:41.780]  What if you're wrong?
[01:13:42.785 --> 01:13:43.507]  What if I'm wrong?
[01:13:43.627 --> 01:13:45.410]  We're just going to continue to go down this path?
[01:13:45.430 --> 01:13:49.377]  We're going to start a war with anybody that has resources?
[01:13:49.538 --> 01:13:54.587]  You said to me off camera you love Thomas Jefferson, Abe Lincoln, this great country.
[01:13:56.258 --> 01:13:58.979]  If our government could do this, it makes all of this work.
[01:13:59.019 --> 01:14:00.120]  Elements within our government.
[01:14:00.140 --> 01:14:00.760]  Yeah, elements.
[01:14:00.960 --> 01:14:02.020]  Rogue elements like the President.
[01:14:02.040 --> 01:14:03.221]  Look what they do to the Congress right now.
[01:14:03.241 --> 01:14:04.281]  They want to pass a law.
[01:14:04.581 --> 01:14:05.722]  They say there's a terrorist threat.
[01:14:05.742 --> 01:14:09.583]  They show up in Congress and point machine guns in the Congressmen's face and say, Get out!
[01:14:10.063 --> 01:14:10.404]  Get out!
[01:14:10.604 --> 01:14:10.764]  When?
[01:14:10.784 --> 01:14:12.164]  When did they do this?
[01:14:12.244 --> 01:14:12.904]  I didn't see this.
[01:14:12.924 --> 01:14:13.585]  Machine guns?
[01:14:13.605 --> 01:14:15.205]  You better go see it.
[01:14:15.225 --> 01:14:15.686]  You're doing that?
[01:14:15.786 --> 01:14:16.906]  MP5s, baby.
[01:14:16.946 --> 01:14:18.327]  You better go see it.
[01:14:18.407 --> 01:14:19.387]  And the terrorists are alive?
[01:14:20.347 --> 01:14:23.289]  They worked with the CIA, you believe.
[01:14:23.590 --> 01:14:24.750]  These are patsies.
[01:14:24.971 --> 01:14:30.214]  Listen, they were trained at the Defense Language School in Monterey, California.
[01:14:30.414 --> 01:14:33.817]  The terrorists that we see on TV were trained by our government.
[01:14:33.857 --> 01:14:35.678]  Yes, they're intelligence assets.
[01:14:36.018 --> 01:14:37.179]  Ask actor James Woods.
[01:14:37.419 --> 01:14:39.460]  He saw Otta on the plane a couple weeks before 9-11.
[01:14:39.480 --> 01:14:40.661]  Well, that's where I go for my info.
[01:14:40.721 --> 01:14:42.903]  That's where I got my info, is actor James Woods.
[01:14:42.963 --> 01:14:44.764]  The guy that plays Shark on a failed TV show.
[01:14:44.784 --> 01:14:45.604]  It's an eyewitness.
[01:14:45.644 --> 01:14:46.245]  What about Bigfoot?
[01:14:48.171 --> 01:14:48.612]  You heard him.
[01:14:48.973 --> 01:14:49.995]  You heard him right there.
[01:14:51.197 --> 01:14:54.243]  Basically throwing the kitchen sink at Kevin.
[01:14:55.140 --> 01:15:01.443]  Now, actor James Woods was an art source of the news reports that hijackers trained at U.S.
[01:15:01.483 --> 01:15:02.284]  military bases.
[01:15:02.304 --> 01:15:11.108]  That was the Associated Press, Newsweek, MSNBC, Pensacola News Journal, and the San Jose Mercury News.
[01:15:11.148 --> 01:15:12.349]  And I have those all in my films.
[01:15:12.689 --> 01:15:13.890]  I've talked to the dean of the school.
[01:15:13.930 --> 01:15:16.911]  They trained the hijackers in high-level spy training.
[01:15:17.371 --> 01:15:23.094]  Then, across the country, leave California and go all the way to Florida, Pensacola Naval Air Station.
[01:15:23.114 --> 01:15:24.555]  Then, separately, James Woods
[01:15:25.925 --> 01:15:29.769]  A week before the attack, saw him doing dry runs on board aircraft.
[01:15:29.809 --> 01:15:30.990]  Again, taking part in drills.
[01:15:31.030 --> 01:15:31.611]  They were U.S.
[01:15:31.691 --> 01:15:31.971]  agents.
[01:15:32.472 --> 01:15:33.773]  They thought they were taking part in a drill.
[01:15:33.953 --> 01:15:35.054]  They weren't actually hijackers.
[01:15:35.455 --> 01:15:36.816]  Nerve gas was released on the day.
[01:15:37.116 --> 01:15:38.898]  The jets were flown by remote control in the buildings.
[01:15:39.318 --> 01:15:44.163]  Just like you saw Steve McQueen pitching Mustangs, they created fake audio.
[01:15:44.363 --> 01:15:45.004]  We'll be right back.
[01:15:45.024 --> 01:15:45.404]  Stay with us.
[01:15:51.772 --> 01:15:52.332]  Hey, Emily!
[01:15:52.612 --> 01:15:53.513]  Wow, you look great!
[01:15:53.853 --> 01:15:54.674]  I feel great!
[01:15:54.914 --> 01:15:56.855]  I've been using MediCleanse Colon Cleanse.
[01:15:57.215 --> 01:15:57.515]  Really?
[01:15:57.735 --> 01:15:58.155]  What is it?
[01:15:58.295 --> 01:15:58.756]  How does it work?
[01:15:58.896 --> 01:16:05.339]  Well, MediCleanse is a natural fiber therapy with ground flaxseed, psyllium, and betonite clay that eliminates toxins from the body.
[01:16:05.459 --> 01:16:07.720]  MediCleanse is easy to use without being intrusive.
[01:16:07.900 --> 01:16:13.023]  You take two tablespoons of MediCleanse powder, mix with water or juice, drink, and it does all the work for you.
[01:16:13.343 --> 01:16:13.803]  That's it?
[01:16:14.044 --> 01:16:15.625]  Well, it sounds so easy and convenient.
[01:16:15.825 --> 01:16:16.545]  It is easy.
[01:16:16.745 --> 01:16:23.390]  Plus, the FDA says flaxseed works to prevent cancer and helps with menopause, weight loss, irritable bowel syndrome, and constipation.
[01:16:23.670 --> 01:16:24.991]  It helps with all of those ailments?
[01:16:25.191 --> 01:16:25.992]  That's amazing!
[01:16:26.312 --> 01:16:31.676]  And, the benzenite clay in MediCleanse eliminates viruses and pesticides in the intestinal tract.
[01:16:31.916 --> 01:16:32.236]  Wow!
[01:16:32.416 --> 01:16:33.477]  Where can I buy MediCleanse?
[01:16:33.917 --> 01:16:36.938]  A one-month supply is available online at MediCleanse.com.
[01:16:37.018 --> 01:16:41.258]  That's M-E-T-A-C-L-E-A-N-S-E dot com.
[01:16:41.658 --> 01:16:44.379]  For only $26.90, MediCleanse is shipped directly to you.
[01:16:44.499 --> 01:16:45.019]  Or call 1-800-317-9547.
[01:16:45.139 --> 01:16:46.979]  That's 800-317-9547.
[01:16:48.020 --> 01:16:57.801]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism.
[01:16:58.382 --> 01:17:00.862]  Globalists are concerned with what's good for big business and the
[01:17:04.568 --> 01:17:07.870]  The only antidote to the poison of globalism is nationalism.
[01:17:08.250 --> 01:17:10.251]  Start reading The Nationalist Times each month.
[01:17:10.491 --> 01:17:15.893]  The Nationalist Times promotes a common sense, intelligent and passionate alternative to the reigning party line.
[01:17:16.194 --> 01:17:24.897]  Published monthly since 1985, The Nationalist Times is a 20-page newspaper featuring outstanding writers and columnists who don't believe in taboos or sacred cows.
[01:17:25.198 --> 01:17:28.239]  Be one of the many thousands of loyal readers of The Nationalist Times.
[01:17:28.619 --> 01:17:30.439]  Improve your home's comfort and beauty.
[01:17:30.599 --> 01:17:34.260]  Custom replacement windows from Sears are low-maintenance and may also help reduce your energy costs.
[01:17:57.945 --> 01:18:02.749]  Call 1-800-393-8378 for a free in-home consultation.
[01:18:03.189 --> 01:18:04.610]  Ask about our special financing terms.
[01:18:14.638 --> 01:18:16.320]  Improving your home has never been easier.
[01:18:16.340 --> 01:18:19.422]  Call Sears at 1-800-393-8378.
[01:18:19.523 --> 01:18:24.207]  Want to know the secret to finding a shop that can keep your car running like new?
[01:18:24.387 --> 01:18:28.330]  Find the cleanest shop in town, where cleaning is top priority.
[01:18:28.450 --> 01:18:31.973]  Not talking about clean floors, but better shops have those too.
[01:18:32.333 --> 01:18:39.900]  I mean shops that have the best training, equipment, and chemistry to clean every air, fuel, and fluid system in your vehicle.
[01:18:40.180 --> 01:18:43.465]  Keep it clean and you don't have to keep replacing parts.
[01:18:43.885 --> 01:18:47.530]  Find your clean shop at BGfindashop.com.
[01:18:47.791 --> 01:18:49.934]  That's BGfindashop.com.
[01:18:50.800 --> 01:18:58.724]  For years you've been hearing about Herbal Healer Academy and how it's remained a leader in effective alternative and natural medicine and education.
[01:18:59.184 --> 01:19:02.346]  But how can they continue to hold that title for years on end?
[01:19:02.726 --> 01:19:05.787]  The answer is high quality and huge selection.
[01:19:06.167 --> 01:19:10.950]  Just visit HerbalHealer.com and shop online or request a free catalog.
[01:19:11.410 --> 01:19:13.751]  You're bound to find the alternative you're looking for.
[01:19:14.497 --> 01:19:19.158]  Did you know that Herbal Healer carries the latest, safest and effective weight loss products?
[01:19:19.678 --> 01:19:25.540]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[01:19:25.880 --> 01:19:27.020]  And don't forget your pets.
[01:19:27.480 --> 01:19:33.142]  Herbal Healer even has natural mineral supplements for all your animals, including horses, cows and birds.
[01:19:33.622 --> 01:19:39.944]  Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you need.
[01:19:40.524 --> 01:19:45.366]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
[01:19:45.866 --> 01:19:49.287]  HerbalHealer.com, working with the power of nature.
[01:19:51.548 --> 01:19:55.049]  Thank you for listening to GCN.
[01:19:56.490 --> 01:19:58.671]  Visit GCNlive.com today.
[01:20:08.118 --> 01:20:10.079]  It's not about right versus left.
[01:20:10.579 --> 01:20:12.700]  It's about right versus wrong.
[01:20:13.081 --> 01:20:15.042]  This is the Alex Jones Show.
[01:20:15.282 --> 01:20:16.462]  Call Alex now at 1-877-590-5525.
[01:20:16.482 --> 01:20:17.103]  Now, here's Alex Jones.
[01:20:17.123 --> 01:20:18.163]  Every Sunday, 4 to 6 p.m.
[01:20:18.203 --> 01:20:19.124]  Central Standard Time.
[01:20:19.144 --> 01:20:20.204]  That's 5... That's 5 to 7.
[01:20:37.543 --> 01:20:41.365]  Eastern and of course I do a syndicated show weekdays 11 to 2.
[01:20:41.925 --> 01:20:44.146]  All right here we are back live.
[01:20:44.166 --> 01:20:47.007]  I want to get to your calls those of you that are patiently holding.
[01:20:47.267 --> 01:20:50.108]  The toll free number to join us is 877-590-KLBJ 877-590-5525 locally in Central Texas 836-0590.
[01:20:50.128 --> 01:20:52.129]  I want to get into the Pentagon
[01:20:58.812 --> 01:21:03.413]  Working Group, what they've recommended, and how it's more of the same.
[01:21:03.453 --> 01:21:07.895]  I want to cover several other issues and take your calls, but let's finish up with the Fox News hit piece.
[01:21:07.955 --> 01:21:08.795]  This isn't all of it.
[01:21:09.135 --> 01:21:26.860]  We don't have time to play all of it, but basically he just kept calling Kevin names, kept calling my producer names, wouldn't let him get to any real evidence, just kept calling him a liar, and then said, oh, basically America's dead if what you're saying is true, implying somehow that not trusting your government,
[01:21:28.527 --> 01:21:30.488]  Also, they say that they couldn't keep it secret.
[01:21:30.528 --> 01:21:36.651]  They kept the fact that they gave thousands of black men syphilis and let them die of it and spread it with the Tuskegee experiment.
[01:21:37.012 --> 01:21:39.053]  They kept that secret for over 40 years.
[01:21:40.405 --> 01:21:45.068]  Okay, they kept the fact that they sterilized 450,000 American women secretly.
[01:21:45.368 --> 01:21:48.991]  Sometimes without them even knowing they'd been sterilized until the mid-eighties.
[01:21:49.271 --> 01:21:51.112]  They kept the atomic soldiers secret.
[01:21:51.192 --> 01:21:52.713]  I'm sick of hearing this!
[01:21:52.913 --> 01:21:54.474]  There's a whole secret government!
[01:21:54.754 --> 01:21:58.637]  I was talking about the shadow government 12 years ago, now it's mainstream news!
[01:21:59.417 --> 01:22:05.201]  And that's why they're upset, that's why they're scared, because the average person is good and is going to get angry when they learn the truth.
[01:22:05.481 --> 01:22:08.523]  Let's go ahead and go to the rest of the Fox News hit piece against us last night.
[01:22:10.492 --> 01:22:11.472]  You have info on Bigfoot?
[01:22:11.592 --> 01:22:12.673]  The Loch Ness Monster?
[01:22:12.693 --> 01:22:14.874]  Who brought down the Hindenburgian UFO?
[01:22:15.074 --> 01:22:18.155]  Those are the wrong people!
[01:22:18.315 --> 01:22:22.356]  I don't see any officials coming out saying this, any former government officials.
[01:22:22.917 --> 01:22:24.097]  We can't believe in our government?
[01:22:24.157 --> 01:22:26.658]  We have no right to believe our democratically elected leaders?
[01:22:26.678 --> 01:22:29.199]  Our Founding Fathers would never believe in your government.
[01:22:29.359 --> 01:22:30.700]  Never trust in your government.
[01:22:30.780 --> 01:22:31.200]  Who said that?
[01:22:31.440 --> 01:22:32.720]  Our Founding Fathers would say that.
[01:22:32.740 --> 01:22:34.301]  What does it say?
[01:22:34.381 --> 01:22:35.081]  The New World Order?
[01:22:35.101 --> 01:22:35.742]  Don't you see it?
[01:22:37.600 --> 01:22:38.741]  They want us all to be slaves.
[01:22:39.301 --> 01:22:40.482]  On the new global plantation.
[01:22:40.522 --> 01:22:40.903]  You got it.
[01:22:40.943 --> 01:22:42.124]  A global plantation.
[01:22:42.404 --> 01:22:43.965]  And this guy's a sucker.
[01:22:43.985 --> 01:22:45.906]  This firefighter's a sucker.
[01:22:46.027 --> 01:22:47.308]  He's a dude.
[01:22:47.448 --> 01:22:48.989]  He's a fool.
[01:22:49.709 --> 01:22:51.531]  If everything you're saying is true, this man's a fool.
[01:22:51.551 --> 01:22:53.452]  He just hasn't woken up yet, but he soon will.
[01:22:53.472 --> 01:22:55.094]  He hasn't woken up yet, but he soon will.
[01:22:55.354 --> 01:22:56.295]  Thank you, Mr. Orwell.
[01:22:57.095 --> 01:22:58.997]  We'll be right back here on the grassy knoll.
[01:23:06.918 --> 01:23:08.019]  Do you believe everything you read?
[01:23:08.159 --> 01:23:08.660]  You can't.
[01:23:08.720 --> 01:23:09.500]  Not on the internet.
[01:23:09.640 --> 01:23:12.022]  Not on the world wide web of disinformation.
[01:23:12.283 --> 01:23:14.925]  From time to time we're going to point out lies on the internet.
[01:23:15.305 --> 01:23:18.387]  Hey, did you know I was the star of Alien vs. Predator?
[01:23:19.008 --> 01:23:19.428]  It's true.
[01:23:19.448 --> 01:23:20.409]  It was on the internet.
[01:23:21.330 --> 01:23:22.431]  I've never even seen the movie.
[01:23:29.276 --> 01:23:32.098]  And welcome back to the Grassy Knoll here on Planet Man Cow.
[01:23:32.279 --> 01:23:36.362]  Kevin Smith here believes 9-11 was a conspiracy done by our government.
[01:23:37.154 --> 01:23:39.895]  This is a firefighter, Brian Harvey, who was there.
[01:23:40.455 --> 01:23:41.315]  What do you think of this guy?
[01:23:41.335 --> 01:23:42.395]  What do you think about what he's saying?
[01:23:42.735 --> 01:23:43.495]  I don't believe it.
[01:23:43.935 --> 01:23:49.977]  I think there's been more than enough opportunity for the 9-11 Commission and other committees to investigate this.
[01:23:50.977 --> 01:23:54.978]  If this had any legs, if this story had any credibility, it would have came out.
[01:23:55.438 --> 01:23:56.598]  Why is he doing this?
[01:23:56.658 --> 01:23:57.598]  Why do you think he's doing this?
[01:23:57.618 --> 01:23:58.118]  He believes it.
[01:23:58.198 --> 01:24:01.199]  He thinks he has some... Do you think he's crazy?
[01:24:01.859 --> 01:24:02.499]  I wouldn't say crazy.
[01:24:02.519 --> 01:24:03.140]  Look at his eyes.
[01:24:03.260 --> 01:24:03.720]  Passionate.
[01:24:03.820 --> 01:24:04.320]  Look at his eyes.
[01:24:04.340 --> 01:24:06.901]  Do you guys want to arm wrestle and we can settle this right here, right now?
[01:24:06.921 --> 01:24:07.281]  Maybe later.
[01:24:07.381 --> 01:24:09.101]  Maybe at the end.
[01:24:09.321 --> 01:24:10.982]  He said it was like a scab being ripped off.
[01:24:11.062 --> 01:24:12.142]  Do you feel anything for this guy?
[01:24:12.662 --> 01:24:14.803]  We have nothing but the utmost respect for firefighters.
[01:24:15.483 --> 01:24:17.484]  They're the number one heroes for us in the United States.
[01:24:18.144 --> 01:24:24.006]  And we do a lot of work right now with the victims, the people that helped to rescue, the EMS workers that went in, that are dying right now.
[01:24:24.026 --> 01:24:29.968]  I mean, Christy Todd Whitman lied about the air quality, lied about the silica, lied about the mercury, everything.
[01:24:30.008 --> 01:24:31.468]  These people are dead men.
[01:24:31.848 --> 01:24:33.049]  There's no doubt people are getting sick.
[01:24:33.109 --> 01:24:35.169]  This guy can't be a firefighter because of his lungs.
[01:24:35.389 --> 01:24:36.070]  How are you right now?
[01:24:36.090 --> 01:24:37.790]  I have my days, good days and bad days.
[01:24:37.890 --> 01:24:40.511]  Do you feel like they were lied to and they should have told you how bad it was?
[01:24:40.871 --> 01:24:44.855]  No, I feel that they didn't know and that things were coming out.
[01:24:44.935 --> 01:24:45.655]  Would you do it again?
[01:24:45.695 --> 01:24:47.997]  Would you climb down into the wreckage again?
[01:24:48.017 --> 01:24:49.259]  That's what firemen do.
[01:24:49.299 --> 01:24:50.239]  Police officers do that.
[01:24:50.299 --> 01:24:51.761]  They put their lives on the line every day.
[01:24:51.781 --> 01:24:52.942]  Go ahead.
[01:24:53.202 --> 01:24:57.246]  Well, we can bring you William Rodriguez, one of the janitors from the World Trade Center, the last man to get out.
[01:24:57.286 --> 01:24:58.427]  I can bring you Stephen Jenkins.
[01:24:58.467 --> 01:24:59.668]  Do you know who that is?
[01:24:59.688 --> 01:25:00.268]  Give me Stephen Jenkins.
[01:25:00.288 --> 01:25:00.889]  The janitor here.
[01:25:01.616 --> 01:25:06.018]  Well, did he have the building come down on him when he pulled out from under a fire truck?
[01:25:06.078 --> 01:25:08.839]  Did he win a Presidential Freedom Award for being a hero?
[01:25:09.019 --> 01:25:11.800]  He will tell you bombs going off in the building.
[01:25:11.840 --> 01:25:16.821]  Felipe David with skin peeling off of him coming up from the sub-basements.
[01:25:17.142 --> 01:25:19.262]  They were cutting those basements out before.
[01:25:19.542 --> 01:25:22.403]  It is a controlled demolition incorporated.
[01:25:22.784 --> 01:25:23.864]  That's exactly what it is.
[01:25:24.364 --> 01:25:30.228]  There was thermite cutting charges to cut and take that building down.
[01:25:30.528 --> 01:25:35.811]  The debris that was falling from the higher floors was still falling as the building was coming out from under it.
[01:25:36.152 --> 01:25:38.353]  It fell at pre-fall speed.
[01:25:38.413 --> 01:25:39.234]  No pancake.
[01:25:39.334 --> 01:25:42.015]  Explain to him what happened.
[01:25:42.976 --> 01:25:45.738]  Just from my firefighting experience, everything you get taught is...
[01:25:47.979 --> 01:25:49.820]  Have you seen a building come down like that before?
[01:26:08.835 --> 01:26:10.476]  No one has, because it's never happened.
[01:26:10.516 --> 01:26:12.417]  And the bigger question is WTC7.
[01:26:12.858 --> 01:26:13.898]  Not hit by a plane.
[01:26:14.419 --> 01:26:15.419]  Not hit by debris.
[01:26:15.780 --> 01:26:16.560]  Small fires.
