[00:00:00.129 --> 00:00:00.569]  D.I.C.
[01:04:59.897 --> 01:05:04.038]  I'll help you turn your child's behavior around right now with the Total Transformation.
[01:05:04.538 --> 01:05:09.439]  After the Total Transformation, there's no more arguing, no more lecturing, no more back talking.
[01:05:09.819 --> 01:05:11.720]  Now when I ask him to do something, he does it.
[01:05:12.100 --> 01:05:17.221]  We've learned verbiage from the Total Transformation program, and it's almost like magic.
[01:05:17.561 --> 01:05:20.024]  If you say those words, they stop arguing.
[01:05:20.084 --> 01:05:25.369]  Defiance, back talking, lying, acting out in school, even problems with ADD and ADHD.
[01:05:25.590 --> 01:05:29.093]  The Total Transformation will help you solve even the worst behavior problems.
[01:05:29.474 --> 01:05:33.979]  I guarantee your child will listen to you again and you'll get peace and sanity back in your home.
[01:05:34.379 --> 01:05:38.623]  Call now and get how to turn your child's attitude around in one minute or less free with your order.
[01:05:39.104 --> 01:05:39.645]  1-800-373-0402 1-800-373-0402 Call now 1-800-373-0402 1-800-373-0402
[01:05:51.792 --> 01:05:57.636]  Hey ladies, if you love to shop, then visit HerbalHealer.com to browse through their online catalog.
[01:05:57.736 --> 01:06:03.180]  You'll find thousands of effective, alternative, and natural products for you and the whole family.
[01:06:03.360 --> 01:06:10.605]  Besides the amazing products you'll find, this shopping is guilt-free because you're investing in your health, and your health is priceless.
[01:06:10.965 --> 01:06:18.093]  While online, sign up to receive the Herbal Healer Newsletter, which will keep you informed on the latest and greatest products in education.
[01:06:18.313 --> 01:06:30.426]  Did you know that Herbal Healer offers not only natural medicine, but also tension-relieving herbal teas, cookbooks, aromatherapy, products for pampering, and more great products to help you soothe and relax after a long day.
[01:06:30.846 --> 01:06:31.567]  You are listening to GCN.
[01:06:31.607 --> 01:06:32.427]  Visit GCNlive.com today.
[01:07:04.267 --> 01:07:08.949]  Alex Jones is deep in the heart of Texas, and he wants to talk to you.
[01:07:09.349 --> 01:07:13.211]  Call free 877-590-5525.
[01:07:14.771 --> 01:07:19.814]  Literally in the heart of Texas, coming to you from Austin, Texas, from the studios of KLBJ 590.
[01:07:20.554 --> 01:07:23.995]  Blasting out four affiliates on our first real syndicated show.
[01:07:24.576 --> 01:07:29.318]  Very excited now, five stations carrying the broadcast, not to mention the internet, at InfoWars.com.
[01:07:29.418 --> 01:07:32.379]  Okay, I'm up against the gun, that's why I want this show to go to three hours.
[01:07:33.194 --> 01:07:33.774]  We should try to.
[01:07:33.874 --> 01:07:34.915]  I think we should be doing that soon.
[01:07:34.955 --> 01:07:42.218]  I'm told they're going to work on it because it really puts me under the gun with all this news I've got and all these calls I want to take and all these clips I want to play.
[01:07:42.959 --> 01:07:44.059]  And I got the idea.
[01:07:44.119 --> 01:07:49.382]  We don't really screen your calls, but it's important that you let us know if you disagree with me because then you go to the head of the line.
[01:07:50.262 --> 01:07:53.864]  And I think, Trey, you were saying it sounds like Cynthia disagrees.
[01:07:55.345 --> 01:07:55.705]  She does.
[01:07:56.528 --> 01:07:57.229]  Let's go ahead.
[01:07:57.249 --> 01:07:58.750]  He thinks she does.
[01:07:58.770 --> 01:08:00.892]  He said she was going to be a little bit sarcastic.
[01:08:01.132 --> 01:08:01.873]  I hope she does.
[01:08:01.933 --> 01:08:02.674]  We really love it.
[01:08:02.694 --> 01:08:08.058]  If you do disagree, 877-590-5525 or 836-0590.
[01:08:09.179 --> 01:08:10.220]  Cynthia, you're on.
[01:08:10.240 --> 01:08:11.161]  Kelby J., welcome.
[01:08:12.322 --> 01:08:12.942]  Hi, Alex.
[01:08:13.022 --> 01:08:24.993]  I'm just curious what role you think the Muslim fascists and their oil-tick financiers did have in 9-11 and what role Karl Rove and the neocons, which is a
[01:08:25.734 --> 01:08:36.641]  pejorative word for Jew, last time I checked, what role they have in the beheadings of schoolgirls in Malaysia, and nuns over in Thailand, and all of that.
[01:08:36.661 --> 01:08:41.183]  And don't forget throwing babies out of incubators, which was proven to be totally, uh, a huge fraud.
[01:08:41.644 --> 01:08:43.145]  Oh, so are the... Throw that one?
[01:08:43.165 --> 01:08:47.847]  No, no, I mean, I mean, my point is, ma'am, ma'am, ma'am, ma'am, ma'am, most of it is a lie.
[01:08:48.088 --> 01:08:51.950]  Now, now, let me just respond... The beheadings, a lie, I want to know.
[01:08:52.070 --> 01:08:53.731]  Okay, okay, I'm going to go back for just a second.
[01:08:54.867 --> 01:08:58.852]  We just sent my team down, and the video is up on InfoWars.com.
[01:08:58.872 --> 01:09:00.594]  I should play a clip of that, maybe next week I will.
[01:09:00.774 --> 01:09:09.484]  Just last week he confronted his Lordship, William Crystal, who was here in town, and he wrote a book, he coined the term Neocons.
[01:09:09.524 --> 01:09:12.948]  So, they call themselves Neocons,
[01:09:13.607 --> 01:09:22.949]  And they got upset then that people read their books and read their statements about the end of this country and the Straussians from the School of Economics there in Chicago.
[01:09:23.270 --> 01:09:27.051]  And they got very upset that real conservatives discovered them.
[01:09:27.091 --> 01:09:32.772]  And so Pat Buchanan and many other top Republicans have decried the neocons.
[01:09:32.832 --> 01:09:35.293]  So, out of the gate, you're claiming I'm anti-Semitic.
[01:09:35.313 --> 01:09:36.333]  Go ahead and just say it publicly.
[01:09:37.899 --> 01:09:40.445]  Go ahead, I'm not allowed to call them the name they call themselves.
[01:09:40.987 --> 01:09:44.374]  That's right, you're trying to neutralize my free speech.
[01:09:48.102 --> 01:09:53.108]  I'm a real conservative, and I know that Muslim fascists are cutting people's ears off.
[01:09:53.128 --> 01:09:53.628]  Sure they are.
[01:09:53.849 --> 01:09:55.070]  Hey, ma'am, let me just stop you.
[01:09:55.130 --> 01:09:56.652]  Nick Byrd, that was all staged.
[01:09:56.692 --> 01:09:59.975]  He was killed in combat operations for the Central Intelligence Agency.
[01:10:00.356 --> 01:10:03.599]  So they cut his head off and added a soundtrack to it.
[01:10:03.619 --> 01:10:05.281]  Is there anything about this that you disagree with?
[01:10:05.301 --> 01:10:06.723]  You don't want any facts, do you, ma'am?
[01:10:06.743 --> 01:10:07.784]  You just want baloney, huh?
[01:10:09.565 --> 01:10:16.894]  No, no, I'm just curious if you're on the side of the Muslim fascists like that guy who's calling up... No, this is all you guys can ever say.
[01:10:17.274 --> 01:10:19.016]  This is all you guys can ever do.
[01:10:19.036 --> 01:10:25.944]  Okay, this is... Oh, now you're saying that guy that clearly had an American accent as a Muslim waiting to slit our throats?
[01:10:25.964 --> 01:10:29.749]  No, I'm talking about the guy with the Middle Eastern accent who is kissing your butt.
[01:10:31.724 --> 01:10:34.731]  Yeah, my producer in there just said there was no Middle Eastern accent.
[01:10:35.052 --> 01:10:37.858]  I bet the Muslims hide under your bed, don't they?
[01:10:38.219 --> 01:10:39.803]  Are you hearing their voices right now?
[01:10:39.823 --> 01:10:40.585]  Maybe in your fillings?
[01:10:42.428 --> 01:10:43.588]  Alex, you know what?
[01:10:43.728 --> 01:10:46.170]  I know they cut people's heads off, and they've been doing that.
[01:10:46.210 --> 01:10:46.690]  Yeah, I know.
[01:10:46.710 --> 01:10:48.131]  Cut heads off, cut heads off.
[01:10:48.151 --> 01:10:51.073]  If we don't give all our rights up and get rid of our borders, Al Qaeda will get us.
[01:10:51.093 --> 01:10:56.456]  I'm going to stop you right now, and I'll answer your questions, but I want you to answer my questions.
[01:10:56.976 --> 01:10:59.118]  Has Bush tripled the size of the BATF?
[01:10:59.378 --> 01:11:03.881]  Has he pushed an amnesty plan for total legalization of the illegal aliens?
[01:11:04.141 --> 01:11:05.682]  Has he signed on to UNESCO?
[01:11:05.902 --> 01:11:07.923]  Did he sign the North American Union Agreement?
[01:11:08.163 --> 01:11:10.645]  Has he spent more money than all presidents before him combined?
[01:11:11.337 --> 01:11:12.018]  Has he done that?
[01:11:12.218 --> 01:11:17.041]  I agree he has, but that doesn't mean... But he's in a fight against the Muslims!
[01:11:17.181 --> 01:11:20.504]  That's good, Alex, and that's where you're confused.
[01:11:20.544 --> 01:11:23.686]  Why is Lord Bush pumping in more Muslims than any other president?
[01:11:25.408 --> 01:11:27.149]  Well, I mean, that's wrong.
[01:11:27.169 --> 01:11:30.992]  Oh, I love him, he's so good!
[01:11:31.352 --> 01:11:35.015]  Our enemy, which is Islam and Muslim fascists.
[01:11:35.955 --> 01:11:37.096]  Ma'am, I'm telling you that
[01:11:39.304 --> 01:11:48.145]  The biggest threat is the New World Order syndicate that controls our government and much of our media.
[01:11:49.672 --> 01:11:52.433]  That's what I'm telling you, and I appreciate your call because we're just out of time.
[01:11:52.453 --> 01:11:55.453]  You're welcome to try to call me next week, earlier in the show.
[01:11:55.473 --> 01:11:56.333]  We'll try to give you more time.
[01:11:56.553 --> 01:11:57.234]  I should have gotten her number.
[01:11:57.254 --> 01:12:00.454]  I should have had her on my weekday show for like a full hour or something.
[01:12:00.494 --> 01:12:01.474]  In fact, call back, ma'am.
[01:12:01.514 --> 01:12:05.415]  Give me your number, and I'll have you on my syndicated show for 30, 40 minutes.
[01:12:05.435 --> 01:12:07.456]  There's so much news I could name you on for a whole hour.
[01:12:07.496 --> 01:12:08.856]  Because I want to... She means well.
[01:12:08.896 --> 01:12:09.656]  This is a nice lady.
[01:12:10.416 --> 01:12:11.016]  I guarantee it.
[01:12:11.036 --> 01:12:13.877]  It'd be great to go over to her house, have dinner with her, go play golf.
[01:12:13.897 --> 01:12:14.937]  I mean, she's a nice person.
[01:12:15.583 --> 01:12:16.343]  But she didn't!
[01:12:16.743 --> 01:12:17.784]  Listen to me!
[01:12:18.464 --> 01:12:19.784]  Listen to me!
[01:12:20.524 --> 01:12:30.147]  You are meddling with the tidal forces of nature, Cynthia, and you will atone!
[01:12:30.167 --> 01:12:32.247]  Alright, that's a line from Network.
[01:12:32.908 --> 01:12:34.908]  Uh, Cynthia, you're not listening to me.
[01:12:36.609 --> 01:12:41.890]  Al-Qaeda was hired for 45 million dollars to attack the Sherbs.
[01:12:42.583 --> 01:12:47.587]  That is a Republican Senate report chaired by Alphonse D'Amato, 1999.
[01:12:48.648 --> 01:12:49.108]  Cicero, 1999.
[01:12:50.229 --> 01:12:50.509]  Okay?
[01:12:50.869 --> 01:12:52.250]  What am I supposed to do for you?
[01:12:53.371 --> 01:12:56.834]  Al-Qaeda, the Russians didn't just attack Afghanistan.
[01:12:57.214 --> 01:13:06.121]  It's now declassified Operation Cyclone, our government, who had been breeding and training in Madrasas from Central Asia into the Middle East.
[01:13:06.621 --> 01:13:07.582]  From Lebanon.
[01:13:08.530 --> 01:13:18.719]  Okay, across the Euphrates, in Iraq, to as far east as Pakistan, had been training and funding only the most radical Muslims.
[01:13:19.120 --> 01:13:24.204]  And they would send them in with bombs and machine guns to take over all those countries.
[01:13:25.465 --> 01:13:27.227]  Do you understand that?
[01:13:27.907 --> 01:13:30.670]  So they've got three different types of terrorism.
[01:13:30.750 --> 01:13:31.711]  Provocateured,
[01:13:32.785 --> 01:13:37.029]  Real terrorism and total state-sponsored, where there are no Muslims involved.
[01:13:37.369 --> 01:13:40.271]  Spectacular events like 9-11 are pure state-sponsored.
[01:13:40.691 --> 01:13:41.332]  You understand me?
[01:13:42.433 --> 01:13:44.274]  Other events are provocateur.
[01:13:44.314 --> 01:13:51.540]  Even with a lot of suicide bombers, they don't know the money coming to them came from MI6, CIA, or Mossad.
[01:13:51.740 --> 01:13:55.563]  By the way, that's been in Arash, Jerusalem Post, UPI.
[01:13:55.623 --> 01:13:58.105]  You just don't know, do you?
[01:13:58.426 --> 01:14:00.107]  You don't understand that.
[01:14:01.323 --> 01:14:08.127]  You don't understand they make a hundred billion plus a year out of Iraq alone in extra hardware purchases.
[01:14:09.448 --> 01:14:11.730]  So they go and they create terrorist groups.
[01:14:12.350 --> 01:14:15.112]  And if they can't get a group to do it, they go do it themselves.
[01:14:15.432 --> 01:14:17.493]  Just like Gulf of Tonkin was staged.
[01:14:18.034 --> 01:14:20.055]  Just like the USS Liberty was staged.
[01:14:20.295 --> 01:14:22.116]  Just like the Maine was staged.
[01:14:22.397 --> 01:14:27.220]  Just like Hitler staged terror attacks to launch World War II against Poland!
[01:14:27.820 --> 01:14:28.981]  Czechoslovakia!
[01:14:29.540 --> 01:14:30.821]  The Sudetenland!
[01:14:31.181 --> 01:14:31.801]  Danzig!
[01:14:32.401 --> 01:14:38.124]  I don't sit around... We've got to get a break here in just a moment.
[01:14:39.324 --> 01:14:45.186]  I don't sit around, my friends, wasting my time reading a lot of fiction.
[01:14:46.107 --> 01:14:48.848]  I read history books, the admissions, what is public.
[01:14:49.582 --> 01:14:51.383]  And have you ever read a real history book?
[01:14:51.523 --> 01:14:53.703]  Go read Gibbons' Rise and Fall of the Roman Empire.
[01:14:54.143 --> 01:14:57.204]  Go read the Shires' Rise and Fall of the Third Reich.
[01:14:57.244 --> 01:14:58.745]  Heinz Hobel's Order of the Deathshead.
[01:14:58.985 --> 01:15:03.326]  Go read the declassified British Intelligence Report of the Mind of Adolf Hitler.
[01:15:03.766 --> 01:15:06.147]  Go read it and learn how governments operate.
[01:15:06.327 --> 01:15:09.748]  And stop being childlike and naive.
[01:15:10.568 --> 01:15:12.009]  I've put my life on the line.
[01:15:12.249 --> 01:15:16.370]  I've dedicated myself to long, grueling hours because I love liberty.
[01:15:17.040 --> 01:15:20.942]  And in the spirit of 1776, I know what's going on.
[01:15:21.362 --> 01:15:23.863]  We're dealing with three-dimensional chess.
[01:15:25.283 --> 01:15:33.506]  That's what the geopolitical system is, not these simple slogans and hand puppets like Bin Laden, Codename, and Central Intelligence Agency, Tim Osman.
[01:15:34.207 --> 01:15:43.290]  They're used to strike us, so you go begging for police and black ski masks to retina scan you, and take your children to the CPS centers!
[01:15:45.373 --> 01:15:48.215]  America and the Republic are dying before your eyes!
[01:15:48.535 --> 01:15:48.955]  Wake up!
[01:15:49.136 --> 01:15:52.318]  John Ashcroft, Rush Limbaugh, and the Bush Info!
[01:15:53.658 --> 01:15:56.240]  Hey folks, Alex Jones here with an important question.
[01:15:56.380 --> 01:15:58.562]  When was the last time you used pure soap?
[01:15:58.842 --> 01:16:08.928]  I mean the hard to find kind that's all natural and not full of corrosive toxins and chemicals and detergents that just dry out your skin and have been connected to very serious health problems?
[01:16:09.228 --> 01:16:11.570]  Let me tell you something about the Calbin Pure Soap Company.
[01:16:11.730 --> 01:16:15.831]  There's a 100% unconditional guarantee on all their wonderful products.
[01:16:16.031 --> 01:16:22.152]  They're all natural, they're triple concentrated, they're factory direct, factory owned, and operated since 1947.
[01:16:22.992 --> 01:16:26.653]  Earth friendly, pure soaps for bathing, laundry, and kitchen.
[01:16:26.833 --> 01:16:30.174]  Try Pure Soap once and I'll guarantee you'll never use anything else.
[01:16:30.474 --> 01:16:35.415]  Now for the first time, Calvin Pure Soap is available factory direct to you and your family.
[01:16:35.655 --> 01:16:39.320]  Save up to 85% off supermarket and retail store prices.
[01:16:39.520 --> 01:16:42.044]  Call today for a Calbin Soap catalog at 1-800-340-7091.
[01:16:42.064 --> 01:16:44.046]  That's 1-800-340-7091 or on the web at CalbinPureSoap.com.
[01:16:52.410 --> 01:16:56.012]  Are you looking for a one-stop shop to find all your favorite books and videos?
[01:16:56.252 --> 01:16:57.133]  Look no further!
[01:16:57.413 --> 01:16:59.994]  Northern Voice Bookstore has everything you need.
[01:17:00.414 --> 01:17:08.859]  Hundreds of titles, from self-defense, survival, and financial freedom, to history, politics, conspiracy, and everything you need to know about the New World Order.
[01:17:09.079 --> 01:17:22.727]  You can order everything you need on the web 24 hours a day at NorthernVoiceBookstore.com or send $2 for our latest catalog to Northern Voice Bookstore, Post Office Box 281, Wildwood, PA 15091.
[01:17:23.407 --> 01:17:33.193]  Northern Voice Bookstore offers a broad range of different perspectives and believes strongly that the American people need alternative sources of information in order to understand the society they live in today.
[01:17:33.433 --> 01:17:36.475]  You won't find a better selection of books or videos anywhere.
[01:17:36.675 --> 01:17:38.796]  So make Northern Voice Bookstore your
[01:17:38.916 --> 01:17:39.337]  I think so.
[01:17:45.293 --> 01:17:47.314]  Welcome to Northern Voice Bookstore, P.O.
[01:17:47.334 --> 01:17:51.455]  Box 281, Wildwood, PA 15091.
[01:17:51.975 --> 01:17:54.036]  Imagine living truly debt-free.
[01:17:54.276 --> 01:17:57.277]  No credit card debt, no car payments, no mortgage.
[01:17:57.457 --> 01:17:59.478]  Just your daily living expenses.
[01:17:59.718 --> 01:18:02.639]  And you can do this with just the money you already make.
[01:18:02.919 --> 01:18:06.901]  I'm John Commuta, creator of the Transforming Debt Into Wealth program.
[01:18:07.161 --> 01:18:11.122]  I did it and so have nearly a half million others using my proven system.
[01:18:11.262 --> 01:18:13.603]  I'm completely debt-free now thanks to John Commuta.
[01:18:13.823 --> 01:18:18.664]  I will be able to pay off my house in approximately two and a half years on a 30-year mortgage.
[01:18:19.164 --> 01:18:21.305]  It works no matter how much debt you have.
[01:18:21.545 --> 01:18:24.745]  My system doesn't consolidate your debt, it eliminates it.
[01:18:24.985 --> 01:18:28.246]  It's easy, risk-free, and works with any income level.
[01:18:28.486 --> 01:18:32.587]  And once we got on the system, we were able to eliminate about 90% of our debt.
[01:18:32.967 --> 01:18:36.668]  I never have to worry about who's calling me or who's knocking on my door.
[01:18:36.808 --> 01:18:40.949]  Call now and I'll rush you a free tape that will show you the power of my proven system.
[01:18:42.722 --> 01:18:42.782]  1-800-400-8498.
[01:18:42.802 --> 01:18:42.862]  1-800-400-8498.
[01:18:42.882 --> 01:18:43.103]  That's 1-800-400-8498.
[01:18:54.051 --> 01:18:58.172]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[01:18:58.392 --> 01:19:00.152]  Well, the glass has a natural resonance.
[01:19:00.412 --> 01:19:06.693]  If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[01:19:06.994 --> 01:19:13.115]  Using a similar principle, Royal Raymond Rife discovered that disease organisms can be destroyed using different resonant frequencies.
[01:19:13.355 --> 01:19:19.396]  The BioSolutions Frequency Instrument uses the same technology for relief or elimination of pain and disease conditions
[01:19:19.676 --> 01:19:26.082]  With no side effects, the 2006 Biosolutions Plus is the easiest to operate frequency instrument ever developed.
[01:19:26.242 --> 01:19:29.786]  It's easy reference guide will allow you to begin using the instrument within minutes.
[01:19:30.086 --> 01:19:33.789]  Simple step-by-step instructions using pictures are easy to follow.
[01:19:33.969 --> 01:19:36.512]  Customer satisfaction is guaranteed or your money back.
[01:19:36.632 --> 01:19:37.693]  Don't just treat symptoms.
[01:19:37.973 --> 01:19:39.415]  This is the GCN Radio Network.
[01:20:06.292 --> 01:20:10.034]  You're experiencing Alex Jones, live from deep in the heart of Texas.
[01:20:10.415 --> 01:20:12.216]  Call Alex toll free at 877-590-5525.
[01:20:12.436 --> 01:20:18.580]  Alright, I'm going to continue with your calls.
[01:20:18.620 --> 01:20:20.141]  I've got to get rolling here, though, with these clips.
[01:20:20.181 --> 01:20:20.881]  We'll never cover them.
[01:20:20.901 --> 01:20:23.863]  But I promise to answer Cynthia's questions.
[01:20:25.404 --> 01:20:28.666]  And I'll just briefly finish up with some of the areas I didn't cover.
[01:20:29.346 --> 01:20:31.908]  And by the way, Cynthia, you haven't called back with your telephone number.
[01:20:32.719 --> 01:20:35.040]  I mean, I'd like to have you on as a guest tomorrow.
[01:20:35.480 --> 01:20:36.581]  How about 1 p.m.?
[01:20:36.621 --> 01:20:44.064]  I mean, I'd like people to hear your information about how you're implying anti-Semitism, which is never even discussed on the show.
[01:20:44.744 --> 01:20:51.227]  Then you bring up that, you know, I want to know, have you ever been with a Communist Party?
[01:20:51.267 --> 01:20:54.228]  Or have you ever been with the Muslims chopping off heads?
[01:20:54.648 --> 01:20:57.129]  They want to chop our people's heads off!
[01:20:58.283 --> 01:21:05.945]  Well, yeah, just like our government lethal injects people and chopping people's heads off just a few decades ago, or electric chairs.
[01:21:07.786 --> 01:21:15.348]  There's a lot of wild stuff goes on in some of those countries over there, and usually it's our government helping put in the radical Muslims.
[01:21:15.368 --> 01:21:16.348]  But again, you don't know history.
[01:21:17.023 --> 01:21:20.564]  You just feel good and the media tells you that the bad man is going to come get you.
[01:21:20.845 --> 01:21:22.965]  Nick Berg was staged.
[01:21:23.265 --> 01:21:28.527]  Did you know that Nick Berg, it was admitted in the Associated Press, had his laptop with some of the 9-11 hijackers?
[01:21:29.268 --> 01:21:39.412]  He was a young man, disappeared out of college into weird government training, and then popped up with a bag of electronics all over the world, helping the disadvantaged.
[01:21:39.992 --> 01:21:42.333]  And then you go through all the evidence, he was CIA, folks.
[01:21:42.933 --> 01:21:45.614]  And the poor guy got killed in some type of combat op, and so they
[01:21:46.428 --> 01:21:53.672]  From all the intel we've got, and it's been proven now, I probably wrote 20 articles on this, they just decided to saw his head off and add a scream to it.
[01:21:54.152 --> 01:21:55.373]  Top doctors in the U.S.
[01:21:55.433 --> 01:21:57.735]  and Canada were in the newspaper saying that body was already dead.
[01:21:58.055 --> 01:21:58.955]  It was Westerners.
[01:21:59.516 --> 01:22:02.637]  The guy they claim was Al-Zarqawi was supposedly one-legged.
[01:22:02.657 --> 01:22:04.138]  He wasn't one-legged.
[01:22:06.620 --> 01:22:10.202]  By the way, we told you two years ago that Daniel Pearl was killed by MI6.
[01:22:11.685 --> 01:22:14.207]  I'm sorry, that was in the BBC two weeks ago.
[01:22:14.507 --> 01:22:15.587]  You see how that works?
[01:22:15.627 --> 01:22:16.728]  I covered it last week.
[01:22:17.008 --> 01:22:20.931]  We tell you years before it's in the news, you see, because we know how things work.
[01:22:21.351 --> 01:22:31.617]  Just like I told people a year and a half before it was in the news that the CIA was running drills of flying hijacked jets into the World Trade Center and Pentagon on the morning of 9-11, and that's why NORAD stood down.
[01:22:32.455 --> 01:22:33.857]  And it came out in the news later.
[01:22:34.237 --> 01:22:35.899]  Boy, that sure shot our credibility up.
[01:22:36.219 --> 01:22:39.683]  You see, folks, we have sources and we know what's going on.
[01:22:40.063 --> 01:22:41.865]  We're not fake conservatives here.
[01:22:41.885 --> 01:22:42.906]  We're not fake liberals.
[01:22:43.126 --> 01:22:45.789]  We're constitutionalists defending the Republic.
[01:22:46.249 --> 01:22:48.311]  I'm going to just blast through your calls.
[01:22:48.832 --> 01:22:51.094]  And I don't even know if I can take other calls after that.
[01:22:52.015 --> 01:22:54.356]  I've got the Limbaugh clip attacking me I wanted to comment on.
[01:22:54.396 --> 01:22:56.237]  I've got my confrontation with John Ashcroft this week.
[01:22:56.257 --> 01:22:58.798]  I've got the Bush thing I said I'd give you the answer to.
[01:22:59.219 --> 01:23:01.760]  In fact, we'll just Rick, Peter, Rudy and others stay there.
[01:23:02.180 --> 01:23:04.881]  I've got to do these clips now or we'll never have time.
[01:23:06.162 --> 01:23:11.245]  Let's go ahead and answer the question everybody was wondering whether that Bush call was really George Bush.
[01:23:11.305 --> 01:23:14.046]  Play that again, Trey, for just a
[01:23:15.467 --> 01:23:16.467]  Just play part of the clip again.
[01:23:16.487 --> 01:23:17.227]  I'll tell you when to stop.
[01:23:17.367 --> 01:23:18.448]  This is a call I got Thursday.
[01:23:18.488 --> 01:23:19.588]  We didn't know who it was from.
[01:23:19.868 --> 01:23:22.108]  It's kind of fun, these clips.
[01:23:22.649 --> 01:23:26.649]  I made a prediction, and it turns out my prediction was right on this, on the Radio Friday.
[01:23:27.390 --> 01:23:29.270]  We learned who this was this morning.
[01:23:29.290 --> 01:23:29.790]  Go ahead and roll it.
[01:23:29.950 --> 01:23:35.771]  Mr. Jones, this is George Bush, the President of the United States.
[01:23:36.591 --> 01:23:42.933]  I've heard many things that you have been saying on the internet.
[01:23:44.935 --> 01:23:48.758]  I know there are various mediums that are out there.
[01:23:48.778 --> 01:23:59.348]  I understand you have problems with the government and you believe in many conspiracies.
[01:24:00.409 --> 01:24:02.611]  But I believe that we can work this out.
[01:24:06.168 --> 01:24:07.470]  Take my phone call.
[01:24:07.930 --> 01:24:09.171]  We can speak about this stuff.
[01:24:09.191 --> 01:24:11.193]  We'll work this out.
[01:24:12.314 --> 01:24:13.795]  It's diplomacy.
[01:24:14.156 --> 01:24:16.378]  I played in its entirety last hour.
[01:24:16.418 --> 01:24:18.219]  It's up on PrisonPlanet.com if you want to listen to it.
[01:24:19.661 --> 01:24:20.962]  I know audio.
[01:24:20.982 --> 01:24:21.903]  I make documentary films.
[01:24:21.923 --> 01:24:22.784]  I've been in radio for 12 years.
[01:24:28.559 --> 01:24:33.281]  Listening to it, I said, that's not clips of other speeches, and it sounds just like Bush, and it sounds like somebody on a phone.
[01:24:33.602 --> 01:24:35.383]  Sounds like, you know, the tonal quality of a phone.
[01:24:35.783 --> 01:24:37.924]  Sounds just like Bush, maybe a little bit overdone.
[01:24:37.984 --> 01:24:40.045]  I said, that's a famous comedian.
[01:24:41.101 --> 01:24:43.863]  It's either the guy on Saturday Night Live or the guy on Comedy Central.
[01:24:44.384 --> 01:24:49.187]  And he was either at Joe Rogan's house, who I know, or he was at Charlie Sheen's house, who, you know, I'm friends with.
[01:24:49.808 --> 01:24:52.029]  Or he was on Man Cow Show, who I'm friends with.
[01:24:52.690 --> 01:24:55.692]  Or he was at somebody else's house in Hollywood, I know, who I won't mention.
[01:24:55.972 --> 01:24:58.194]  I've got a lot of friends I don't mention, because I don't want to go public.
[01:24:58.614 --> 01:25:00.456]  And that's exactly what it turned out to be.
[01:25:01.296 --> 01:25:09.823]  And it turned out that it indeed was Frank Caliendo, who does one of the best Bush imitations,
[01:25:10.482 --> 01:25:17.767]  And we did go contacting via the web, as some of my listeners did, and he wrote back and said, yeah, that was him that did it.
[01:25:18.247 --> 01:25:19.088]  You know, just as a joke.
[01:25:19.108 --> 01:25:21.629]  Somebody asked him to call my house and do it as a joke.
[01:25:21.649 --> 01:25:23.130]  Somebody I know.
[01:25:23.150 --> 01:25:25.091]  So that was that.
[01:25:25.211 --> 01:25:27.333]  And boy, my wife was like, that sounds like George Bush!
[01:25:27.353 --> 01:25:29.114]  My office was like, it may be him!
[01:25:29.414 --> 01:25:32.836]  You know, you get calls from Charlton Heston back before he retired.
[01:25:32.856 --> 01:25:35.198]  You get weird calls from Charlie Sheen.
[01:25:35.238 --> 01:25:38.500]  I've gotten calls from White House officials before giving me intel.
[01:25:39.881 --> 01:25:44.002]  I know a couple people in the White House, but in there right now, of course, a lot of them are from Austin.
[01:25:44.542 --> 01:25:45.142]  You probably know them.
[01:25:45.202 --> 01:25:48.063]  My sister went to school, though, with the Bush daughters.
[01:25:48.443 --> 01:25:52.344]  Back when he was governor, I've been to barbecues and sat across the table from him.
[01:25:52.644 --> 01:25:53.684]  Pretty friendly guy.
[01:25:53.844 --> 01:25:55.624]  Of course, they said Hitler was pretty friendly, too.
[01:25:55.644 --> 01:25:56.364]  You don't know the devil.
[01:25:56.384 --> 01:25:58.505]  It's the devil when he's got his hand on your shoulder.
[01:25:59.145 --> 01:26:04.006]  But that was a saying about Albert Speer, the Interior Minister, who was
[01:26:05.100 --> 01:26:06.541]  Big buddies with Hitler, the architect.
[01:26:06.581 --> 01:26:09.723]  He said, hey, afterwards, you don't know it's the devil when he's got his hand on your shoulder.
[01:26:10.243 --> 01:26:15.166]  But let's go ahead and go to the Ashcroft clip, and we'll come back and take calls and put a Limbaugh clip.
[01:26:16.747 --> 01:26:19.229]  Now, speaking of Mancow, big national syndicated radio show.
[01:26:19.249 --> 01:26:21.971]  Used to be with MS, he just switched over to talk radio networks.
[01:26:22.011 --> 01:26:24.012]  But I'm on there all the time.
[01:26:24.032 --> 01:26:26.273]  And I've been on there with William Shatner.
[01:26:26.313 --> 01:26:28.435]  I've been on there with Vander Holyfield.
[01:26:28.695 --> 01:26:29.735]  I mean, he's really nice to have me.
[01:26:29.775 --> 01:26:30.676]  I'm a huge guest.
[01:26:31.383 --> 01:26:34.625]  But I stayed up a little bit late working that night, so I was in the shower at 8-10.
