[00:00:00.709 --> 00:00:03.691]  On that number, 1-800-409-5633.
[01:19:02.639 --> 01:19:15.783]  Well yeah, if the crisis in confidence in fiat money became so bad then, they would then try to exploit that crisis for a global currency based on SDRs.
[01:19:16.364 --> 01:19:24.746]  But I don't see them doing that because from every indication they need to save the euro because it represents their entire agenda.
[01:19:25.287 --> 01:19:26.227]  But you're right, I mean,
[01:19:26.707 --> 01:19:32.511]  They created the economic crisis from the bubbles that they manufactured, but it seems to be out of control.
[01:19:32.531 --> 01:19:47.660]  And it seems that many, even inside the globalist circles, are concerned that the plunge happened too soon and too fast, and now it threatens to wipe out some of the wealth of even those who were somewhat prepared for it.
[01:19:50.319 --> 01:20:01.583]  Bilderberg are talking about prolonging a financial recession for another year, but whether things are too far out of hand for them to adequately manage that situation remains to be seen.
[01:20:02.464 --> 01:20:06.365]  So that will be what comes out of Bilderberg this year.
[01:20:06.485 --> 01:20:13.488]  So we'll be watching for the different discussions that come out of the conference on that subject.
[01:20:14.059 --> 01:20:20.125]  Well, I was reading U.S., well at the time, colony newspaper articles.
[01:20:20.145 --> 01:20:25.391]  I have some books that are compendiums of newspaper articles and also captains' accounts.
[01:20:26.172 --> 01:20:29.035]  I was reading some naval accounts of Newfoundland
[01:20:29.275 --> 01:20:31.837]  and and and areas of the east coast on the u.s.
[01:20:32.297 --> 01:20:51.169]  which was colonies at the time uh... being robbed by pirates it would describe a ship of say eighteen guns with maybe sixty pirates on it robbing a port with two thousand sailors five hundred guns huge ships uh... and they even knew that the pirate ship in the uh... case of uh...
[01:20:52.310 --> 01:21:16.031]  of this particular uh... uh... pirate captain was coming and they still just surrendered to them it's the same thing that we're doing today we have this group of piratical new world order people and if we just get the will to say no to them and the will to see through their flim flam of telling us there's no world government the banks aren't robbing us and if we just stand up and wake up we can brush them aside
[01:21:16.892 --> 01:21:23.756]  If we just decide to beat them, I mean, can 2,000 people in a town with hundreds of ships beat 60 people?
[01:21:24.136 --> 01:21:25.156]  Well, of course we can!
[01:21:25.737 --> 01:21:29.839]  I mean, it's just complete cowardice, Watson, and it's the same parallel today.
[01:21:31.760 --> 01:21:39.324]  That's right, but we're slowly starting to turn the tide and, you know, getting anti-establishment candidates into office, and that's what they're afraid of.
[01:21:40.746 --> 01:21:41.367]  Absolutely.
[01:21:41.387 --> 01:21:44.370]  All right, Watson, we'll talk to you again next week via video Skype.
[01:21:45.170 --> 01:21:47.933]  Joining us here on air, he'll be popping in at least once next week.
[01:21:48.374 --> 01:21:50.976]  We'll go to Bilderberg in Spain next, straight ahead.
[01:21:51.477 --> 01:21:54.840]  Infowars.com, PrisonPlanet.tv are the key websites.
[01:21:55.120 --> 01:21:55.881]  That's Infowars.com.
[01:21:55.901 --> 01:21:58.804]  We're on the march, the empire's on the run.
[01:21:59.745 --> 01:22:02.407]  Alex Jones and the GCN Radio Network.
[01:22:05.342 --> 01:22:09.163]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[01:22:09.443 --> 01:22:15.145]  This is the place to get you started buying or selling a home, finding a realtor, and getting any real estate questions answered.
[01:22:15.425 --> 01:22:19.206]  Go to HomeGain.com and see what I'm talking about.
[01:22:19.606 --> 01:22:25.928]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[01:22:26.328 --> 01:22:29.209]  This is a great way to be able to monitor the value of your home.
[01:22:29.649 --> 01:22:31.150]  And again, it's absolutely free.
[01:22:31.730 --> 01:22:33.372]  There are tons of tools to help you.
[01:22:33.772 --> 01:22:37.236]  For instance, if you want to remodel your home, go to HomeGain.com.
[01:22:37.557 --> 01:22:44.144]  Use their Home Sale Maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[01:22:44.364 --> 01:22:47.508]  For 10 years, these folks have been helping home sellers and buyers.
[01:22:47.928 --> 01:22:49.871]  Visit their link at InfoWars.com.
[01:22:50.291 --> 01:22:50.992]  Look for Max.
[01:22:51.232 --> 01:22:55.338]  The Orange Home Gain Gorilla to help you with any real estate needs you might have.
[01:22:55.679 --> 01:22:56.701]  You'll love this site.
[01:22:56.921 --> 01:22:58.303]  It's HomeGain.com.
[01:22:58.784 --> 01:23:01.348]  H-O-M-E-G-A-I-N.com.
[01:23:01.668 --> 01:23:02.429]  Check them out today.
[01:23:04.924 --> 01:23:07.205]  They helped to create a New World Order.
[01:23:07.225 --> 01:23:09.545]  We are part of a New World Order.
[01:23:09.625 --> 01:23:12.386]  A New World Order based upon collective action.
[01:23:12.826 --> 01:23:17.608]  Invisible Empire is a damning indictment of the globalists through their own words and documents.
[01:23:17.928 --> 01:23:22.129]  The New World Order really is a tool for addressing a new world of possibilities.
[01:23:22.449 --> 01:23:24.791]  It means all the world under their control.
[01:23:24.912 --> 01:23:27.314]  The United Nations would take over America.
[01:23:27.334 --> 01:23:30.237]  The Trilateral Commission would control the world.
[01:23:30.597 --> 01:23:38.205]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[01:23:38.536 --> 01:23:43.801]  I believe first of all that we now need nothing short of a world constitution for the global financial system.
[01:23:43.921 --> 01:23:46.723]  Global governance with the establishment of the G20.
[01:23:46.763 --> 01:23:50.206]  So it's going to be an inner ruling elite and then everyone else.
[01:23:50.466 --> 01:23:51.387]  And I got news for you.
[01:23:51.527 --> 01:23:52.848]  You're everyone else.
[01:23:52.868 --> 01:23:53.869]  Invisible Empire.
[01:23:54.369 --> 01:24:02.697]  Secure your copy today at InfoWars.com or PrisonPlanet.com or watch it online in the highest quality at PrisonPlanet.tv.
[01:24:05.458 --> 01:24:08.380]  You've seen our Sinofresh banner on the GCN website.
[01:24:08.460 --> 01:24:10.421]  Yet your sinusitis is still a problem.
[01:24:10.541 --> 01:24:13.183]  Are you waiting for your sinusitis to go away by itself?
[01:24:13.283 --> 01:24:15.224]  Are you waiting for a Sinofresh discount?
[01:24:15.504 --> 01:24:16.705]  Okay, here it comes.
[01:24:16.925 --> 01:24:18.526]  But first, the facts.
[01:24:18.827 --> 01:24:20.548]  67 other products merely treat symptoms.
[01:24:20.748 --> 01:24:22.469]  And not the cause of sinus problems.
[01:24:22.749 --> 01:24:26.231]  And 37 million Americans suffer from sinus distress just like you.
[01:24:26.432 --> 01:24:33.816]  But now many are finding relief with the only patent-protected homeopathic nasal product that antiseptically eliminates the known causes of sinusitis.
[01:24:34.176 --> 01:24:34.797]  Sinofresh.
[01:24:35.037 --> 01:24:37.918]  Now, here's your limited time discount offer to use Sinofresh.
[01:24:38.118 --> 01:24:43.740]  Call 888-906-3636 right now for $2 off per bottle when you mention GCN.
[01:24:43.920 --> 01:24:44.360]  That's it!
[01:24:44.541 --> 01:24:49.803]  Just call 888-906-3636 and mention GCN for a $2 discount.
[01:24:49.823 --> 01:24:52.724]  But hurry, this offer is only for the first 1,000 customers.
[01:24:52.844 --> 01:24:53.104]  Call 888-906-3636.
[01:24:53.124 --> 01:24:53.224]  888-906-3636.
[01:24:53.244 --> 01:24:54.384]  Call right now for $2 off per bottle.
[01:24:54.404 --> 01:24:54.764]  Mention GCN.
[01:24:54.784 --> 01:24:55.585]  Buy Sinofresh.com.
[01:24:55.725 --> 01:24:56.045]  It works!
[01:25:18.289 --> 01:25:20.111]  I was a prisoner of doubt!
[01:25:21.413 --> 01:25:22.214]  Uh, not anymore.
[01:25:25.158 --> 01:25:31.285]  Oh yeah, I want to tell you about a few of the sponsors that have made today's radio transmission, uh, possible.
[01:25:33.499 --> 01:25:35.661]  This anglophile transmission.
[01:25:35.681 --> 01:25:40.144]  A lot of Brits are British expatriates on the show today.
[01:25:40.164 --> 01:25:49.231]  We're going to be talking to London Guardian reporter and more, Charlie Skelton, here in just a moment.
[01:25:49.251 --> 01:25:51.573]  In fact, I'm looking for my bio.
[01:25:52.393 --> 01:25:54.475]  On Charlie Skelton, because I just... Oh, here it is.
[01:25:54.495 --> 01:25:55.155]  I have it right here.
[01:25:55.696 --> 01:26:00.679]  He's at the Bilderberg Group meeting in Sigis, Spain right now.
[01:26:00.820 --> 01:26:03.141]  It gets started tomorrow, but they've shut down the hotel today.
[01:26:03.782 --> 01:26:08.065]  We're going to have Jim Tucker on and some other reporters tomorrow as well, and Charlie will be back with us on Friday.
[01:26:08.385 --> 01:26:10.087]  Hopefully he won't get arrested like last time.
[01:26:10.127 --> 01:26:16.071]  I mean, I hope he calls us when we're live if he does get arrested again before Friday, but we hope he doesn't get arrested, period.
[01:26:16.591 --> 01:26:19.754]  So we'll talk to this daring reporter here in just a moment.
[01:26:20.114 --> 01:26:22.996]  Before I go any further, I want to tell you about a coloblue.com.
[01:26:23.396 --> 01:26:26.618]  E-C-O-L-O-B-L-U-E dot com.
[01:26:27.678 --> 01:26:29.159]  It's an atmospheric water generator.
[01:26:29.740 --> 01:26:32.601]  Kind of like Luke Skywalker's moisture evaporators.
[01:26:33.402 --> 01:26:36.483]  And they'll be held to pay if those units aren't fixed in the South Range.
[01:26:37.064 --> 01:26:40.866]  But to be serious, it grabs water directly out of the air.
[01:26:40.886 --> 01:26:42.747]  They have little units that do seven gallons a day.
[01:26:42.787 --> 01:26:44.648]  They have big units that do thousands of gallons a day.
[01:26:45.068 --> 01:26:45.849]  Very affordable.
[01:26:47.824 --> 01:26:51.146]  Looks like a high-tech water cooler without the water bottle on top.
[01:26:51.246 --> 01:26:54.147]  Okolablue.com, the cleanest, best drinking water you can get, period.
[01:26:54.608 --> 01:26:55.208]  Okolablue.com or 800-691-6043, 800-691-6043.
[01:26:55.228 --> 01:26:57.049]  And lastly, I want to tell you about my solar backup.
[01:27:04.813 --> 01:27:07.555]  Have you lost your power and wanted to simply flip a switch to get the lights back on?
[01:27:07.595 --> 01:27:14.520]  If so, you should check out MySolarBackup.com because there's never been a better time to start getting off the grid and generate your own supply of electrical power.
[01:27:14.560 --> 01:27:14.981]  Here's why.
[01:27:15.001 --> 01:27:18.403]  Plug-and-play solar generators are now available from Solutions from Science.
[01:27:18.744 --> 01:27:25.749]  These portable power systems need no installation and supply household current wherever and whenever you need it, producing electricity directly from the sun.
[01:27:26.089 --> 01:27:29.472]  Unlike gas generators, solar generators run quietly and emit no fumes.
[01:27:29.792 --> 01:27:32.454]  It's like having your own electrical power plant, and it's perfect for your home,
[01:27:32.754 --> 01:27:36.957]  or campsite or work bench, out in your shed or garage.
[01:27:37.477 --> 01:27:44.842]  Whether it's hurricanes, ice storms, brownouts or blackouts, or you just don't like paying the man money, you'll never have to suffer through painful power outages again.
[01:27:45.162 --> 01:27:48.444]  MySolarBackup.com or 877-327-0365 to get a free information package.
[01:27:48.464 --> 01:27:48.504]  877-327-0365.
[01:27:48.544 --> 01:27:48.604]  OK!
[01:27:55.820 --> 01:27:58.724]  Now going to Charlie Skelton who got arrested last year.
[01:27:58.784 --> 01:28:02.810]  We were able to actually have him on from the police station when he still had his cell phone.
[01:28:03.350 --> 01:28:08.698]  An Oxford University graduate, journalist for the Evening Standard, The Guardian.
[01:28:08.718 --> 01:28:09.959]  He also writes satire.
[01:28:10.880 --> 01:28:14.563]  Uh, and has written quite a few books, and we'll give you his website before he, uh, leaves us.
[01:28:14.963 --> 01:28:19.587]  He's on TV shows on Channel 4, Reality TV, uh, and BBC One.
[01:28:20.067 --> 01:28:22.890]  And of course, in 2009, he covered the secret of Bilderberg Group.
[01:28:23.250 --> 01:28:26.592]  He went to basically write satire about it as a joke, but found out it wasn't a joke.
[01:28:26.612 --> 01:28:28.534]  Uh, and he also writes for the London Guardian.
[01:28:28.914 --> 01:28:32.317]  Uh, he joins us now from Spain, outside the...
[01:28:32.677 --> 01:28:36.941]  We spent a couple of nights in the hotel, a little bit cheekily, before lockdown, which took place at noon today.
[01:28:55.269 --> 01:29:15.518]  And, you know, basically all the guests left over the last few days because they had obviously they have the Bilderberg block booking and they're replaced by all the conference organisers who are up to their ears in it and more and more security men who are just piling in at the moment and
[01:29:16.460 --> 01:29:16.741]  I think so.
[01:29:31.128 --> 01:29:43.236]  Um, you know, there's a small little road that leads up to it, and it's just by the seaside, and, you know, it's a small little sleepy town, and... The supreme leaders up in their citadel, above the rabble scum!
[01:29:44.137 --> 01:29:44.537]  Very much.
[01:29:44.557 --> 01:29:48.460]  That is exactly what is happening, and, you know, and the same...
[01:29:49.614 --> 01:29:57.621]  It's the same dynamic of a very few, I mean more this year, but a few people coming to bear witness to the event.
[01:29:57.902 --> 01:30:06.970]  Pathetic rabble down beneath the walls, with our centurions keeping a close eye on the dangerous scallywags.
[01:30:07.951 --> 01:30:09.132]  There's quite a lot of that actually.
[01:30:09.192 --> 01:30:14.117]  We have a, well we overheard a few conversations and
[01:30:15.514 --> 01:30:18.455]  We have a source in the conference team as well.
[01:30:20.196 --> 01:30:21.056]  Well, that's big news!
[01:30:21.096 --> 01:30:23.337]  You have a source inside the conference team.
[01:30:23.577 --> 01:30:24.857]  You were in there and overheard.
[01:30:24.897 --> 01:30:31.819]  Just like when I was in, I can back this up, when I was in Canada, but really in Virginia, I was in there the day they shut it down.
[01:30:31.859 --> 01:30:33.920]  It kind of stayed until the end until they were trying to throw us out.
[01:30:34.260 --> 01:30:37.521]  And there were like security teams and I was, you know, catching all of it.
[01:30:37.561 --> 01:30:41.763]  And every spare room and office area was packed full of security people.
[01:30:42.383 --> 01:30:42.663]  Tell us,
[01:30:43.163 --> 01:30:45.305]  As much as you can about the source without revealing them.
[01:30:45.565 --> 01:30:47.266]  And tell us what you overheard, Mr. Skelton.
[01:30:47.587 --> 01:30:48.527]  Well, I can't tell you anything.
[01:30:48.547 --> 01:30:52.591]  I'm not going to tell you anything about the source, but I will tell you some interesting things.
[01:30:52.651 --> 01:31:02.799]  One of them is that there's a no-fly zone for four days over the hotel, and that's being enforced by police helicopters.
[01:31:03.199 --> 01:31:09.384]  And that begins at 8am tomorrow, which is the first official day of the conference.
[01:31:09.404 --> 01:31:11.225]  So, you know, I mean,
[01:31:12.350 --> 01:31:24.761]  We spoke to a barman and we were talking about the cost of this whole thing and he just said, look, you do not want to know how much this is costing.
[01:31:25.281 --> 01:31:31.186]  And, you know, when you think of it, I can't quite get past it in my mind, the sheer cost of this operation, it is huge.
[01:31:31.547 --> 01:31:33.809]  And if anyone thinks that it's not a large event,
[01:31:34.469 --> 01:31:34.689]  It is.
[01:31:35.090 --> 01:31:36.531]  I've never seen anything like it.
[01:31:36.771 --> 01:31:43.156]  And of course the taxpayers pay with our tax money to protect the criminal rulers.
[01:31:43.617 --> 01:31:51.703]  And to be honest, I don't think the Spanish taxpayers are in any position to be paying for this kind of circus right now.
[01:31:51.723 --> 01:31:58.129]  Listen, we're going to know more as the days develop and as you talk to journalists and your source, but what can you tell me about what you overheard?
[01:31:58.189 --> 01:32:00.491]  What can you tell me about what the source told you?
[01:32:01.493 --> 01:32:05.336]  Well, I can confirm some delegates who are coming.
[01:32:06.076 --> 01:32:08.158]  Some of them, they tend to come every year.
[01:32:08.238 --> 01:32:13.762]  There's Richard Holbrooke, Obama's special representative to Afghanistan and Pakistan.
[01:32:13.802 --> 01:32:14.262]  He'll be there.
[01:32:16.264 --> 01:32:21.788]  General Jack Keane, I think he was in charge of your army at some point.
[01:32:22.395 --> 01:32:22.815]  We're good to go.
[01:32:37.424 --> 01:32:43.725]  It's interesting, the BBC may not be here covering the event live on the ground, but they do have someone inside.
[01:32:44.186 --> 01:32:55.528]  But actually I mustn't badmouth the BBC because they put me on the radio this morning, on BBC Radio 4 Today programme and had a nice chat.
[01:32:57.208 --> 01:33:03.690]  Now you called this a loss of innocence last year because you weren't really expecting to be clapped in irons.
[01:33:04.390 --> 01:33:07.111]  I really wasn't.
[01:33:07.191 --> 01:33:11.292]  I didn't have any idea, to be honest, what was going to happen at all.
[01:33:12.213 --> 01:33:21.976]  To find yourself in a completely dystopian reality with an extraordinary overreaction of
[01:33:23.067 --> 01:33:27.288]  Yeah, let's recap for those that forgot what happened last year to a London Guardian reporter.
[01:33:27.648 --> 01:33:30.569]  You got video of it being followed, harassed, arrested.
[01:33:30.829 --> 01:33:33.429]  There'd be police all around you and you'd say, stop following me.
[01:33:33.469 --> 01:33:35.009]  And they'd say, no one's following you.
[01:33:35.029 --> 01:33:37.250]  And you go to the police station to complain.
[01:33:37.590 --> 01:33:42.171]  And then you see the guys that have been following you there and they say, you're not seeing any of that, sir.
[01:33:42.531 --> 01:33:43.471]  You're quite insane.
[01:33:43.491 --> 01:33:44.771]  And then they finally did arrest you.
[01:33:45.071 --> 01:33:52.773]  So recap that and let's go back to this first look at Bilderberg 2010 and the valuable intel you've already found.
[01:33:54.155 --> 01:33:57.801]  Well, 2009 was, yeah, was my, I suppose, my loss of innocence.
[01:33:59.143 --> 01:34:01.326]  And, yeah, I mean, I sat there in the
[01:34:02.480 --> 01:34:09.062]  You know in the Athens, I had to run away to Athens because I was being chased around and arrested so much in Budokmanie and I really wasn't trying to do anything at all.
[01:34:09.542 --> 01:34:14.224]  And you know you described me early on as a daring reporter, you know that couldn't be further from the truth.
[01:34:14.524 --> 01:34:23.807]  I spent all of 2009 trying not to get arrested and you know my plan for 2010 is very much along the same lines, not get arrested.
[01:34:24.647 --> 01:34:26.908]  But you know last year I sat in an office in
[01:34:27.928 --> 01:34:39.558]  In Athens opposite, you know, he was probably, I think he was the head of the Athens State Police that look after the Parliament and after their government, so very high up.
[01:34:40.214 --> 01:34:40.655]  I don't think so.
[01:35:03.143 --> 01:35:08.726]  You know, you're going to start seeing ones and zeros, and the matrix will melt away, and you think, you know, whatever.
[01:35:09.146 --> 01:35:10.247]  It's very unsettling.
[01:35:10.367 --> 01:35:11.688]  But that's their psychological.
[01:35:11.728 --> 01:35:18.131]  I mean, they've got Von Rumpy, Brown, all of them announcing world government, run by the bankers that have engineered the financial collapse.
[01:35:18.451 --> 01:35:21.132]  We have their documents from over a decade ago planning this.
[01:35:21.633 --> 01:35:25.755]  And then they'll announce world government and then say, but we're not setting up a world government.
[01:35:26.075 --> 01:35:28.756]  And you're quite insane if you believe in one.
[01:35:29.297 --> 01:35:31.218]  I'm afraid it doesn't exist.
[01:35:31.963 --> 01:35:32.183]  I know.
[01:35:32.403 --> 01:35:33.804]  Look, I mean, I'm sick of it.
[01:35:35.825 --> 01:35:51.313]  I'm sick of ringing up reputable news agencies, and I'm not going to name any names, and speaking to people who work on their foreign news desk, and you say, well, I'm here in Spain covering the Bilderberg conference, and they go, the what?
[01:35:52.091 --> 01:35:54.373]  And you know, I'm thinking, look, this is a big deal.
[01:35:54.413 --> 01:35:55.553]  It really is a big deal.
[01:36:22.291 --> 01:36:23.032]  Go ahead.
[01:36:23.092 --> 01:36:25.814]  Well, I was going to say that, you know, and what... Do you know what?
[01:36:25.874 --> 01:36:38.645]  I don't have a problem with a bunch of financiers and business people getting together to meet up to determine how to fleece, you know, me and whoever, or to sell me whatever mobile phone or anything.
[01:36:38.845 --> 01:36:39.385]  I don't care.
[01:36:39.405 --> 01:36:41.988]  They can strategize to their heart's content.
[01:36:42.028 --> 01:36:50.775]  But, you know, we've got a new coalition in Britain and David Cameron, who's an ex-Bilderberg, and Nick Clegg,
[01:36:51.539 --> 01:36:52.279]  Well, that's like Obama.
[01:36:52.299 --> 01:36:55.320]  He said he's going to be the most transparent, he's more secretive than Bush.
[01:36:55.340 --> 01:36:57.901]  It's always the opposite with these guys when they tell you something.
[01:36:57.921 --> 01:36:58.961]  Yeah, well, do you know what?
[01:36:59.001 --> 01:37:04.803]  It would be nice if, in the spirit of openness and transparency, we simply knew which elected officials went to this four-day
[01:37:26.855 --> 01:37:30.856]  Because they are setting policy in there, and it's against the law in the U.S., the Logan Act.
[01:37:31.376 --> 01:37:34.776]  Did you hear about Daniel Estilin testifying before the European Parliament?
[01:37:34.796 --> 01:37:36.037]  So what's your take on that?
[01:37:50.257 --> 01:37:52.238]  It's not a conspiracy.
[01:37:52.259 --> 01:37:52.879]  It's a meeting.
[01:37:53.239 --> 01:37:53.940]  It's a conference.
[01:37:54.680 --> 01:37:58.083]  It's a four-day conference.
[01:37:58.103 --> 01:38:01.185]  See, they put that stereotype on it.
[01:38:01.205 --> 01:38:01.945]  They put it on you.
[01:38:01.965 --> 01:38:03.526]  You're like, hey, there's rich elite.
[01:38:03.786 --> 01:38:05.608]  They're robbing us of the banking system.
[01:38:06.268 --> 01:38:07.049]  They're meeting in there.
[01:38:07.089 --> 01:38:10.331]  We've gotten their minutes and they just go, oh, you didn't take your medication.
[01:38:10.651 --> 01:38:11.392]  It's just a way to
[01:38:11.832 --> 01:38:23.962]  Disregard what you're saying and always make debate about whether it exists or not, instead of having a debate about should these private bankers be setting up a global police state to fully extract all our wealth from us?
[01:38:25.524 --> 01:38:26.284]  That's exactly it.
[01:38:26.685 --> 01:38:40.016]  I'm so, I am so sick of every time one mentions any kind of, you know, I don't know what to call it, geomachinations or any kind of global strategy or any, you talk about any kind of large
[01:38:40.966 --> 01:38:43.887]  And that's just a rationalization.
[01:38:43.907 --> 01:38:47.188]  Hitler and Goebbels both said good propaganda is simple and mindless and speaks to people's own laziness.
[01:38:47.228 --> 01:38:48.489]  Well, guess what, folks?
[01:38:48.529 --> 01:38:49.729]  The banks are imploding the economy.
[01:38:49.749 --> 01:38:53.070]  They are setting up a world government.
[01:39:06.175 --> 01:39:13.460]  You can read Charlie Skelton's great columns at the London Guardian while he's there reporting, and we'll put that up on screen on TV for folks.
[01:39:13.741 --> 01:39:14.981]  You can also go to his website.
[01:39:15.142 --> 01:39:20.846]  Tell us the best ways to read your reportage while you're there in Spain covering our owners.
[01:39:23.107 --> 01:39:25.349]  Well, go to the Guardian website.
[01:39:25.469 --> 01:39:31.033]  If you just go to guardian.co.uk, you will, I'm sure, find me somewhere.
[01:39:31.093 --> 01:39:32.314]  Put in the word Bilderberg.
[01:39:32.830 --> 01:39:35.032]  Yeah, Charlie Skelton, Bilderberg, it's all over the place.
[01:39:36.073 --> 01:39:41.137]  Now, expanding on this, because I segwayed into what happened to you last year, what type of security are you seeing?
[01:39:41.177 --> 01:39:45.000]  What's some of the other intel you picked up from inside the club Bilderberg?
[01:39:45.881 --> 01:39:50.085]  Well, in terms of just the security, it's the same thing.
[01:39:50.105 --> 01:39:52.387]  It's absolutely immense.
[01:39:52.667 --> 01:39:56.250]  There are just dozens and dozens of
[01:39:57.088 --> 01:40:01.389]  Police cars, there are dozens and dozens of riot police vans.
[01:40:01.469 --> 01:40:10.671]  I mean, they are kitting themselves up as if they're about to be attacked by, you know, 100,000 heavily armed troops.
[01:40:11.011 --> 01:40:24.774]  Whereas, in fact, there are, you know, there's maybe two dozen, you know, very nice, kind people sitting outside who are a little bit clued up, who are sitting outside this police cordon just saying, you know,
[01:40:25.572 --> 01:40:29.533]  I'm not quite sure that what is going on up the hill is exactly right.
[01:40:29.753 --> 01:40:37.475]  I'm not quite sure the people up there are strategizing in my interests, or in fact in the interests of the majority of human beings on the planet.
[01:40:38.256 --> 01:40:42.697]  And, you know, they're there and they're saying their little thing and they're holding their signs.
[01:40:43.197 --> 01:40:47.118]  And, you know, a few meters away are people that
[01:40:55.078 --> 01:40:55.820]  I mean, seriously.
[01:40:55.840 --> 01:40:58.864]  I mean, who were they expecting to come running up that hill?
[01:40:59.605 --> 01:41:21.249]  Well, they know they're identified, and they know we're looking at them, and they can't be happy that ten years ago you'd see no news about Bilderberg, now you Google the term, there are hundreds of articles a day in prestigious publications admitting Queen of the Netherlands, Prince of Holland, representatives of the British Royalty, the Spanish Royalty, they're all there, and people are going, wow, there really is an elite!
[01:41:21.689 --> 01:41:25.350]  And how dumb we were to be told no children, you know,
[01:41:26.210 --> 01:41:26.671]  Yeah.
[01:41:26.771 --> 01:41:28.493]  They don't love us.
[01:41:28.893 --> 01:41:32.518]  You know, they don't love us, they barely hate us.
[01:41:32.538 --> 01:41:34.140]  I think they just treat us as ones and zeros.
[01:41:46.516 --> 01:41:48.477]  Now this source in the hotel, what are they saying?
[01:41:48.497 --> 01:41:52.040]  They're going to help you get info throughout the conference?
[01:41:52.540 --> 01:41:53.701]  No, I think that's closed up.
[01:41:53.881 --> 01:41:56.382]  It was purely while we were there in contact.
[01:41:57.403 --> 01:42:00.045]  You know, I mean, you've got to understand that the people running the conference
[01:42:01.129 --> 01:42:02.209]  They're all kinds of different people.
[01:42:02.249 --> 01:42:05.310]  You know, there are people who are just simply there to put up the lighting rigs.
[01:42:05.870 --> 01:42:09.431]  There are people there simply, you know, moving in crates of watermelons.
[01:42:09.751 --> 01:42:11.092]  You know, there's lots of people.
[01:42:11.172 --> 01:42:12.372]  It requires a lot of manpower.
[01:42:12.472 --> 01:42:15.413]  I mean, there's the maids, there's the security people, there's the police.
[01:42:15.793 --> 01:42:20.674]  But larger than that, and I'm not telling you what to do, but I always tell Tucker this, I tell all of them this.
[01:42:22.235 --> 01:42:25.939]  Because it seems 101 to me, but then I'm always in a hurry to get back to it, and I don't do it.
[01:42:26.880 --> 01:42:36.990]  I need to go to Bilderberg three or four days before, be there during it, covering it when I'm kicked out, and then the real intel is after they leave, going back in and taking your time.
[01:42:38.091 --> 01:42:43.933]  Interviewing all the insiders and beforehand getting them to dig stuff out of the trash for you, like Jim Tucker does.
[01:42:43.953 --> 01:42:51.596]  But final segment, give us a bird's eye view, kind of a preview of the info you're going to be giving us on Friday when you join us.
[01:42:51.656 --> 01:42:57.298]  Charlie Skelton, London Guardian reporter, reporting from Bilderberg in Spain 2010.
[01:42:57.999 --> 01:43:01.740]  And we got Tucker and others joining us tomorrow.
[01:43:01.760 --> 01:43:03.361]  This is going to be extremely informative.
[01:43:03.381 --> 01:43:03.761]  Stay with us.
[01:43:06.243 --> 01:43:07.605]  Don't answer it!
[01:43:08.105 --> 01:43:16.195]  If fear strikes your heart when the phone rings, knowing it may be another bill collector, it's time for you to call Zero Debt in 90 Days.
[01:43:16.215 --> 01:43:16.756]  800-477-9256.
[01:43:17.717 --> 01:43:23.805]  Settlements, bankruptcy, and attorneys are not the answer and may end up costing you up to 10 times more than necessary.
[01:43:24.025 --> 01:43:28.088]  Listen, if you're already in debt, does it make sense to get buried in another payment plan?
[01:43:28.308 --> 01:43:35.553]  Zero Debt in 90 Days gets you out of debt in 90 days, guaranteed, without a payment plan, and without attorneys or going to court.
[01:43:35.693 --> 01:43:39.756]  Get the fastest relief from debt on the planet when you call 800-477-9256.
[01:43:39.936 --> 01:43:51.444]  If you have debt with the IRS, credit cards, student loans, or foreclosure, we can help at Zero Debt in 90 Days, and we are the only organization to provide written guarantees on the results.
[01:43:51.764 --> 01:43:54.086]  Go to ZeroDebtGuaranteed.com.
[01:43:54.266 --> 01:43:56.649]  That's ZeroDebtGuaranteed.com.
[01:43:56.849 --> 01:43:58.591]  Or call now for free information.
[01:43:58.611 --> 01:43:58.711]  800-477-9256.
[01:43:58.831 --> 01:43:59.191]  That's 800-477-9256.
[01:43:59.251 --> 01:44:00.813]  They helped to create a new world order.
[01:44:00.833 --> 01:44:01.974]  We are part of a new world order.
[01:44:01.994 --> 01:44:03.595]  A new world order based upon collective action.
[01:44:13.044 --> 01:44:17.787]  Invisible Empire is a damning indictment of the globalists through their own words and documents.
[01:44:18.147 --> 01:44:22.349]  The New World Order really is a tool for addressing a new world of possibilities.
[01:44:22.669 --> 01:44:24.991]  It means all the world under their control.
[01:44:25.011 --> 01:44:27.532]  The United Nations would take over America.
[01:44:27.552 --> 01:44:30.454]  The Trilateral Commission would control the world.
[01:44:30.794 --> 01:44:38.398]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[01:44:38.738 --> 01:44:44.001]  I believe first of all that we now need nothing short of a world constitution for the global financial system.
[01:44:44.121 --> 01:44:46.403]  Global governance with the establishment of the G20.
[01:44:46.443 --> 01:44:50.425]  So it's going to be an inner ruling elite and then everyone else.
[01:44:50.665 --> 01:44:51.566]  And I got news for you.
