[00:00:07.276 --> 00:00:08.583]  We are simulcasting.
[01:55:51.737 --> 01:55:55.100]  I mean, that would be a lot more constructive than putting them to death.
[01:55:55.200 --> 01:56:02.746]  And these puppets like Obama are ill in that they do embrace the concept that their masters consider them expendable.
[01:56:02.786 --> 01:56:10.512]  The last thing I want for cynical, despotic dictators is to see him or her, in my own belief, to see them reincarnate.
[01:56:10.992 --> 01:56:12.453]  And I care for Reverend Manning's
[01:56:13.454 --> 01:56:13.935]  I think so.
[01:56:29.286 --> 01:56:31.507]  We're on the march, the empire's on the run.
[01:56:31.587 --> 01:56:32.748]  Alex Jones and the GCN Radio Network.
[01:56:57.537 --> 01:57:01.782]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:57:02.102 --> 01:57:02.723]  Number one.
[01:57:03.003 --> 01:57:06.167]  New climate legislation could easily double or triple your electric bill.
[01:57:06.427 --> 01:57:07.008]  Number two.
[01:57:07.288 --> 01:57:11.853]  Our new energy czar wants to control how much power your electric company allows you to have.
[01:57:12.194 --> 01:57:12.634]  It's true.
[01:57:12.935 --> 01:57:14.897]  Total government control of electricity.
[01:57:15.017 --> 01:57:18.338]  In the name of smart grid technology is coming.
[01:57:18.618 --> 01:57:21.899]  In some areas of the country, the power grid is dangerously overloaded.
[01:57:22.199 --> 01:57:26.680]  And now, new socialist legislation is only compounding the problem.
[01:57:26.900 --> 01:57:29.281]  Dangerous weather is always a threat to local grids.
[01:57:29.661 --> 01:57:33.002]  Every year, thousands of families lose their power from weather-related outages.
[01:57:34.142 --> 01:57:38.064]  A solar power generator provides powerful backup, insurance, and peace of mind.
[01:57:38.284 --> 01:57:43.046]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:57:43.326 --> 01:57:47.368]  You can get more information at www.mysolarbackup.com.
[01:57:47.508 --> 01:57:49.069]  That's mysolarbackup.com.
[01:57:49.289 --> 01:57:53.891]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[01:57:59.381 --> 01:58:03.049]  Hundreds of nations have fallen to tyranny in the last century alone.
[01:58:03.429 --> 01:58:06.415]  This is our last chance to not relive history.
[01:58:06.656 --> 01:58:08.058]  As we're finishing off this agenda...
[01:58:08.780 --> 01:58:11.421]  They'll be pulling the rug from underneath Americans at home.
[01:58:11.441 --> 01:58:17.683]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[01:58:17.823 --> 01:58:22.885]  I think it's incumbent upon all of us as American citizens to pay attention.
[01:58:23.025 --> 01:58:33.009]  For the Republic identifies the enemies of our nation, the criminal offshore cartel, hell-bent on destroying sovereignty and on its ashes constructing world government.
[01:58:33.129 --> 01:58:35.230]  Tim Geithner, Bernanke, they're arsonists!
[01:58:35.470 --> 01:58:36.811]  They're asking for more matches!
[01:58:37.071 --> 01:58:39.332]  And the Congress is saying, who do we make the check out to?
[01:58:39.512 --> 01:58:41.353]  Today, it seems like nobody does care.
[01:58:41.373 --> 01:58:46.436]  And right now in Washington, D.C., we have seen a fall of the Republic.
[01:58:46.796 --> 01:58:55.921]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[01:58:57.734 --> 01:59:00.916]  Hounded by debt collectors with phone calls and letters?
[01:59:01.277 --> 01:59:03.118]  Thinking of calling a debt relief company?
[01:59:03.578 --> 01:59:03.999]  Don't!
[01:59:04.439 --> 01:59:07.461]  Greedy lawyers and debt companies charge thousands.
[01:59:07.881 --> 01:59:08.482]  Why pay?
[01:59:08.682 --> 01:59:15.006]  When you can get their solution absolutely free with New York Times best-selling author Herb K.'
[01:59:14.986 --> 01:59:16.648]  's number one debt secret.
[01:59:16.968 --> 01:59:20.671]  The how-to on stopping the calls without paying the debt companies.
[01:59:21.051 --> 01:59:23.753]  Yes, free for a very limited time.
[01:59:24.173 --> 01:59:31.201]  Here's Herb K. Don't get ripped off by credit repair companies when I can give you the information you need to do it yourself for free.
[01:59:31.221 --> 01:59:32.542]  Herb K was right.
[01:59:32.742 --> 01:59:35.826]  His free information helped me stop the calls and settle my debt.
[01:59:35.926 --> 01:59:36.927]  What have you got to lose?
[01:59:37.287 --> 01:59:40.411]  Stop the calls now, get out of debt, and have more money!
[01:59:40.971 --> 01:59:44.636]  Get Herb K's number one death secret absolutely free now!
[01:59:44.916 --> 01:59:45.457]  Call 888-352-7726.
[01:59:45.477 --> 01:59:45.837]  That's 888-352-7726.
[01:59:45.857 --> 01:59:45.897]  888-352-7726.
[02:00:06.925 --> 02:00:08.485]  I'm not going to belabor this.
[02:00:09.066 --> 02:00:10.426]  We've got Richard Reeves in the studio.
[02:00:10.446 --> 02:00:12.087]  I'm about to go to him in here in just a moment.
[02:00:13.088 --> 02:00:15.489]  But people are ready to learn the truth.
[02:00:16.250 --> 02:00:19.692]  When you purchase the videos, you don't just get a weapon to wake somebody up in the info war.
[02:00:19.772 --> 02:00:21.212]  You also support our operation.
[02:00:21.553 --> 02:00:23.334]  We're expanding, building the TV studio.
[02:00:23.754 --> 02:00:25.575]  Finally got the permits, and that's ongoing now.
[02:00:25.975 --> 02:00:27.576]  You may even hear a lot of banging and stuff.
[02:00:27.596 --> 02:00:34.119]  I don't know what we're going to do, because they're going to be working 12 hours a day, even though it's about 30 yards away where they're building it.
[02:00:35.180 --> 02:00:35.500]  I think?
[02:00:57.970 --> 02:01:03.898]  The profit coming in, the revenue to fund our operation would go up right on line with it until about 2007.
[02:01:06.059 --> 02:01:17.981]  And thank God, from media operation and the info war, we have just expanded and expanded and expanded and expanded and kind of like escaped the black hole that's sucking all the other media in, going bankrupt.
[02:01:18.261 --> 02:01:23.042]  And we're almost like in the new episode of a Star Trek where they're getting out of the black hole and they're barely making it.
[02:01:23.462 --> 02:01:27.743]  I mean, we're just, you know, we're pulling away, but that black hole is growing even faster.
[02:01:28.303 --> 02:01:32.924]  And so, again, we're trying to expand in the face of the new world order.
[02:01:32.944 --> 02:01:34.044]  We're trying to expand
[02:01:35.024 --> 02:01:39.128]  In the face of all of this corruption.
[02:01:40.569 --> 02:01:45.613]  And so I, again, we're trying to take it up a notch here.
[02:01:45.633 --> 02:01:47.074]  We're trying to intensify.
[02:01:47.094 --> 02:01:51.818]  And you do that by supporting us, buying the books, DVDs, the Patriot t-shirts and material.
[02:01:52.278 --> 02:01:54.260]  And I want to thank everybody who has been supporting us.
[02:01:54.300 --> 02:01:59.884]  That rally last night, I'd say over 80% of the people there were wearing Infowars.com shirts, Joker shirts.
[02:01:59.904 --> 02:02:01.185]  It was my listeners that came out.
[02:02:03.442 --> 02:02:08.307]  You'd think the other gun community in Austin would muster more than the 300 I got out there.
[02:02:09.421 --> 02:02:36.706]  uh... but uh... our listeners got out there uh... but i'm just glad a caller called me not this sunday but the sunday before i guess like nine days ago even let me know that happened at the gun show and i and we found out it was true uh... so we're now aware that is now a national a national issue began in four hours dot com the online video bookstore or prison planet dot tv five ninety five a month watch the show live all the films there uh... in high quality uh... richard reeve i want to get into deborah medina but i want to just uh... go back i got an email
[02:02:37.486 --> 02:02:40.128]  Saturday morning saying Rick Perry's going to be at Red's Indoor Range.
[02:02:40.968 --> 02:02:54.337]  And it wasn't official, so that was my one day, that one day I tried to spend the whole day with my children playing football and watching them on the scooters and walking in the woods and painting with them and stuff, so I just ignored it.
[02:02:55.118 --> 02:02:57.819]  But I should have gone down there and talked to them, but I'm glad you did.
[02:02:58.320 --> 02:03:00.021]  And Richard, you just always do great work.
[02:03:00.061 --> 02:03:05.825]  You did great work with us on the Obama deception and on Fall of the Republic with the great camera work you did.
[02:03:06.661 --> 02:03:11.065]  And just a side issue, you know, the New York Times and others said that there wasn't even a Bilderberg Group meeting.
[02:03:11.325 --> 02:03:14.208]  We were imagining cars following us and imagining Secret Service.
[02:03:14.788 --> 02:03:15.629]  You were there briefly.
[02:03:16.129 --> 02:03:16.570]  What happened?
[02:03:16.890 --> 02:03:17.290]  Oh, absolutely.
[02:03:17.310 --> 02:03:19.912]  Well, I was at the Chantilly, Virginia event with you guys.
[02:03:20.012 --> 02:03:22.655]  We all did the work together and I was there shooting video.
[02:03:23.455 --> 02:03:31.201]  And there was definitely a Bilderberg event going on there, and as many people know, Obama and Hillary were potentially there inside the Bilderberg event.
[02:03:31.301 --> 02:03:31.941]  I'm sure they were.
[02:03:31.961 --> 02:03:33.443]  It's been later confirmed.
[02:03:33.523 --> 02:03:34.984]  That's right, they were missing at the time.
[02:03:35.064 --> 02:03:41.308]  So, there was definitely a Bilderberg event there in Chantilly, Virginia, and I was there to witness and document that with you.
[02:03:41.348 --> 02:03:42.829]  That was a great honor to do that.
[02:03:43.290 --> 02:03:49.134]  But that's another 2 plus 2 equals 5, where the media just says we just imagined it all.
[02:03:49.787 --> 02:03:50.228]  Oh, well.
[02:03:50.268 --> 02:03:51.830]  We were all having a mass hallucination.
[02:03:51.950 --> 02:03:58.499]  I'm here to tell you it was not an imagined event, just like that fire alarm that happened around midnight, you know, when you're going on coast-to-coast there at the hotel.
[02:03:58.559 --> 02:03:59.720]  I mean, that wasn't imagined.
[02:03:59.780 --> 02:04:04.547]  And remember, I came back to the hotel room and me and Rob said, they just told us about don't pull fire alarms.
[02:04:04.847 --> 02:04:05.867]  That's right, that's right.
[02:04:07.548 --> 02:04:12.469]  And those guys, even though I just told them that, they, the camera crew, still couldn't believe it.
[02:04:12.809 --> 02:04:13.489]  Right, right.
[02:04:13.929 --> 02:04:17.450]  So, I mean, we could really go back and cover a lot of history that we've done together.
[02:04:17.470 --> 02:04:26.172]  You know, we went to Dallas and did some JFK shooting up there to document that, and then the Chantilly, Virginia Bilderberg event, and then you were in Canada.
[02:04:26.192 --> 02:04:27.272]  I wasn't on that trip with
[02:04:27.692 --> 02:04:41.299]  You guys up in Canada when y'all got held at the border and everything like that so it's just been quite a saga that we've all kind of lived together here and I've as a listener I've gotten to have a front row seat to most of it with you going on and I look forward to a lot more.
[02:04:41.439 --> 02:04:56.447]  I think the mainstream media is sabotaging themselves though by engaging in hoaxes with the flu and the North American Union and the SPP and the Copenhagen denying it while it's all being set up and saying there's no mercury in the shots when I mean it's really discrediting them.
[02:04:56.906 --> 02:05:02.970]  Well, absolutely, and that's one thing I do constantly on some of the programs that I do is I say, look, mainstream media, just keep it up.
[02:05:03.110 --> 02:05:03.971]  Keep up your lies.
[02:05:04.031 --> 02:05:05.032]  Keep up your omissions.
[02:05:05.112 --> 02:05:06.413]  Keep up your prevarications.
[02:05:06.813 --> 02:05:08.654]  And we're going to just obsolete you.
[02:05:09.015 --> 02:05:13.218]  It's going to be shows like yours on GCN Live and your InfoWars program.
[02:05:13.238 --> 02:05:14.899]  It's going to be shows like yours that are going to dominate.
[02:05:15.299 --> 02:05:16.120]  That's happening already.
[02:05:16.140 --> 02:05:21.967]  You were talking about how the newspapers are going into the black hole, the black abyss of non-profitability.
[02:05:22.648 --> 02:05:24.850]  As a matter of fact, they've literally shrunk in size now.
[02:05:24.910 --> 02:05:28.935]  They're actually smaller than they used to be, not only in thickness, but also in width.
[02:05:29.416 --> 02:05:31.879]  So that's what we're doing, is we're taking the mainstream media down.
[02:05:32.279 --> 02:05:35.902]  And we'll continue to do that with alternative radio programs and internet shows like yours.
[02:05:35.962 --> 02:05:40.024]  And that's where the mainstream media, we're going to have to drag them along.
[02:05:40.084 --> 02:05:42.106]  And in some cases they are being dragged along.
[02:05:42.566 --> 02:05:49.951]  And thankfully at least they're willing to at least report on some of this news to where we can go in and read between the lines and decide for what's going on in the world.
[02:05:49.991 --> 02:05:52.613]  So I'll tell you briefly about the very successful protest last night.
[02:05:52.633 --> 02:05:53.854]  I want to thank everybody for coming out there.
[02:05:53.874 --> 02:05:54.754]  It was great meeting folks.
[02:05:57.734 --> 02:06:01.515]  I believe it's the same CBS Black reporter.
[02:06:02.135 --> 02:06:10.078]  I forgot his name, but he looked like the guy who was in the earlier CBS reports, reading what the police told him, that it is illegal to have private sales.
[02:06:10.118 --> 02:06:12.598]  And I showed him the law, and he said, well look, don't get mad at us.
[02:06:12.939 --> 02:06:14.339]  We just reported what the police told us.
[02:06:15.039 --> 02:06:16.680]  And then they did the right thing, actually.
[02:06:17.120 --> 02:06:22.361]  After I showed him the law, they actually put it on the news, and it was a 90% accurate report instead of 100% baloney.
[02:06:24.842 --> 02:06:27.104]  And the other newscasts were pretty fair.
[02:06:27.564 --> 02:06:31.906]  So the fact is, and it got their attention when I bullhorned them and said, how dare you?
[02:06:32.387 --> 02:06:37.610]  You know, people don't understand when you kiss up to them and go along with it, it doesn't work.
[02:06:37.650 --> 02:06:40.512]  You've got to, when you're in the right, you got to say, you are wrong.
[02:06:40.952 --> 02:06:42.033]  And here's the facts.
[02:06:42.633 --> 02:06:44.274]  And so that's a great victory.
[02:06:44.639 --> 02:06:46.860]  Well it does take somebody calling them out on their actions.
[02:06:47.080 --> 02:06:47.661]  We have to.
[02:06:47.681 --> 02:06:52.903]  That's just like with this Rick Perry clip that hopefully we'll show in a little bit where I caught up with him at Red's Indoor Range.
[02:06:52.943 --> 02:06:58.286]  I got word of it Friday from Robert Morrow, a friend of mine, said Rick Perry's going to be at Red's Indoor Range on Friday afternoon.
[02:06:58.866 --> 02:07:00.867]  We went up there and a bunch of us showed up.
[02:07:00.907 --> 02:07:04.669]  It was a cadre of Patriots that were there and we waited two hours.
[02:07:04.689 --> 02:07:09.412]  I want to thank Val and Rita because Val is the one that shot the video himself and Rita was there as well, his wife.
[02:07:10.092 --> 02:07:23.362]  And we waited two hours to get that one minute of video because they wouldn't allow us inside the store to try to get this testimony out of Rick Perry to get his standing on where he stood on this gun show being closed down.
[02:07:23.702 --> 02:07:25.123]  So anyway, we waited there patiently.
[02:07:25.204 --> 02:07:26.084]  We finally got him.
[02:07:26.665 --> 02:07:29.026]  And as you saw, I only had less than a minute there.
[02:07:29.227 --> 02:07:29.707]  Got a minute!
[02:07:30.207 --> 02:07:40.457]  Right before he says I gotta go and not only that, his bodyguard or aide or whoever it was actually physically grabs him and pulls him away and I'm still there wanting to ask questions and continue the conversation.
[02:07:40.797 --> 02:07:42.018]  But at least we got him on record.
[02:07:42.058 --> 02:07:47.363]  My goal was to get him on record, say hey Rick Perry, where do you stand on this issue of the gun show being closed down?
[02:07:47.543 --> 02:07:57.565]  And he waffled it first, but at the end he said, no, my understanding is your understanding, Richard, that this was intimidation, that this was harassment, that this was a lot of things, and that they're looking into it.
[02:07:57.945 --> 02:08:07.626]  So now it is on record, because it's this illusion of the Austin Police Chief and the BATFE and the government saying, no, this is what we did, and that's our story, we're sticking to it.
[02:08:07.907 --> 02:08:09.527]  Now the governor's saying, hey, this is wrong.
[02:08:09.547 --> 02:08:13.127]  But I want to talk about who we hope our next governor's going to be, Deborah Medina, in a moment.
[02:08:13.147 --> 02:08:16.168]  But let's go ahead and play this Rick Perry clip.
[02:08:16.408 --> 02:08:16.769]  Right now.
[02:08:16.829 --> 02:08:18.050]  Here's the video and audio of that.
[02:08:18.070 --> 02:08:19.431]  This is Reds Indoor Range.
[02:08:19.491 --> 02:08:20.272]  Hi, I'm Richard.
[02:08:20.813 --> 02:08:23.936]  I had at least one more question about the gun show issue.
[02:08:23.956 --> 02:08:24.837]  Robert explained it earlier.
[02:08:24.877 --> 02:08:29.141]  My understanding is that the gun show owner has not voluntarily given up his gun show.
[02:08:29.161 --> 02:08:38.591]  What has happened, evidently, is a combination of APD and or BATFE has gone and talked to the landlord of the building, who is supposed to be HEB.
[02:08:39.432 --> 02:08:42.776]  And that HEB has come to the gun show and said, hey, your gun show is off.
[02:08:42.897 --> 02:08:43.357]  You're done.
[02:08:43.898 --> 02:08:49.645]  And my understanding is that the gun show has done nothing wrong, that they've been convicted over or anything like that.
[02:08:49.705 --> 02:08:50.787]  That's my understanding too.
[02:08:51.407 --> 02:08:53.090]  And my advice is find another venue.
[02:08:55.092 --> 02:08:55.412]  Sure.
[02:08:55.832 --> 02:08:58.654]  Is it okay that the Feds come in and pressure Atlanta like that?
[02:08:58.714 --> 02:08:59.835]  I don't think that's fine at all.
[02:08:59.875 --> 02:09:06.559]  My deal is though, until we get that all cleared up, because I mean there's a lot of he said she said here that I don't know what the facts are.
[02:09:06.759 --> 02:09:06.980]  Right.
[02:09:07.120 --> 02:09:21.009]  But if the issue is H-E-B won't let you have that site, I'll bet you there's somebody in this city that would dearly love to say, you know what, here's what, here's what, and then go forward and if they try it again, at that particular point in time,
[02:09:21.749 --> 02:09:27.133]  I'm not a lawyer, but I gotta start saying that harassment's getting into play here.
[02:09:29.055 --> 02:09:29.395]  Boom!
[02:09:29.415 --> 02:09:31.657]  So they drag him off.
[02:09:31.797 --> 02:09:32.178]  That's right.
[02:09:32.198 --> 02:09:34.640]  But definitely, this has drawn national attention.
[02:09:35.260 --> 02:09:39.023]  They've now admitted the Justice Department came in and told the Police Department to do this.
[02:09:39.043 --> 02:09:40.364]  They ran the last gun show off.
[02:09:40.404 --> 02:09:42.146]  They've now just shut this one down.
[02:09:42.746 --> 02:09:44.668]  And they've been caught telling different stories now.
[02:09:44.928 --> 02:09:46.750]  They're in a lot of trouble if people force the issue.
[02:09:47.210 --> 02:09:53.998]  Well, I look forward to our gun show in Austin being secured in perpetuity, you know, right here in Austin because of this event.
[02:09:54.058 --> 02:09:55.660]  I think we're really going to be victorious on that.
[02:09:56.061 --> 02:09:58.524]  We had the big rally yesterday that got the word out.
[02:09:58.564 --> 02:10:01.988]  You had the press reporting on it, 90% honest manner there.
[02:10:02.509 --> 02:10:03.590]  We've got Rick Perry here now.
[02:10:03.750 --> 02:10:04.251]  Think about this.
[02:10:04.791 --> 02:10:08.516]  It's a month and a week before a primary election here in Texas.
[02:10:08.816 --> 02:10:11.700]  The governor's race is a contested race regardless of what anybody says.
[02:10:12.040 --> 02:10:22.693]  Rick Perry, you'd think at least he'd be grandstanding on this gun show issue and say, oh yeah, I'm going to look into this, I'm going to take charge, we're going to see to it that the feds aren't down here interfering in our gun rights and our second amendment rights.
[02:10:23.314 --> 02:10:27.038]  He's so sold out that he doesn't even do that.
[02:10:27.058 --> 02:10:29.121]  You're a month and a week away from a primary.
[02:10:29.441 --> 02:10:40.253]  So imagine, folks, if he gets into the governorship once again and just continues on with the Bilderberg, New World Order, Agenda 21 agendas just moving forward in the police state.
[02:10:40.313 --> 02:10:44.418]  I mean, he's just going along right with every globalist program that they point our way.
[02:10:44.978 --> 02:10:46.639]  And he has definitely not stood up to the feds.
[02:10:46.699 --> 02:10:50.041]  He's definitely not stood up for states' rights, 10th Amendment rights.
[02:10:50.422 --> 02:10:51.042]  We've pressed him.
[02:10:51.082 --> 02:10:54.004]  We had a big nullification rally only a week before that.
[02:10:54.724 --> 02:11:01.048]  And at that nullification rally, we're asking Rick Perry to stand up for the states' rights, 10th Amendment rights.
[02:11:01.449 --> 02:11:02.429]  That's not happening either.
[02:11:02.509 --> 02:11:07.993]  And here we are, like I said, once again in a hotly contested Republican primary race for governor.
[02:11:08.453 --> 02:11:09.734]  And where is he on these issues?
[02:11:10.134 --> 02:11:10.554]  Silent.
[02:11:11.055 --> 02:11:12.876]  Well, here's the good news again, though.
[02:11:13.776 --> 02:11:30.783]  Debra Medina, unknown a few months ago, comes on this radio show, some other bigger radio shows, gets the Ron Paul movement behind her, Ron Paul died in the wool, in the fetter, and she goes into that debate and her numbers quadruple.
[02:11:31.183 --> 02:11:37.046]  She's now, if we had a few more months, she'd be guaranteed to win, but it's that race, but it sends a message.
[02:11:37.086 --> 02:11:41.108]  Whether she wins or loses, she wins, because now all these other candidates and governors,
[02:11:41.988 --> 02:11:42.708]  We're good to go.
[02:11:59.022 --> 02:12:06.126]  Paleo-conservative, constitutionalist, property rights, Second Amendment, national sovereignty, in the Fed, Debra Medina.
[02:12:07.126 --> 02:12:09.287]  I mean, this is sending shockwaves across the country.
[02:12:09.307 --> 02:12:10.788]  I've talked to national political pundits.
[02:12:10.808 --> 02:12:13.829]  They are following Debra Medina very, very closely.
[02:12:14.290 --> 02:12:16.651]  And so everybody else now is signing up to Ryan.
[02:12:16.851 --> 02:12:17.891]  And so we're going to get victories.
[02:12:17.931 --> 02:12:19.332]  Every time we stand up, we win.
[02:12:20.172 --> 02:12:22.714]  But they weren't going to put her in the next below debate.
[02:12:23.414 --> 02:12:29.519]  Even though she was tracking nicely, they changed the rules to say you have to be of a comparable office.
[02:12:29.559 --> 02:12:31.781]  You have to be a governor or a senator to be in a debate.
[02:12:32.141 --> 02:12:34.043]  That was obviously illegal, the way they changed.
[02:12:34.063 --> 02:12:36.925]  So they said, okay, because it's quasi-public-private.
[02:12:36.945 --> 02:12:40.128]  They say it's their private debate, but it's a public service they're supposedly carrying out.
[02:12:40.408 --> 02:12:43.150]  So their lawyers told them back off, and they did back off within a week.
[02:12:43.891 --> 02:12:44.632]  Tell us about Debra Medina.
[02:12:59.781 --> 02:13:03.546]  Well, the website Medina4Texas.com, I'd encourage everybody to go there, but here's the thing.
[02:13:04.508 --> 02:13:06.050]  I don't think Debra Medina can win.
[02:13:06.430 --> 02:13:07.972]  I don't believe Debra Medina can win.
[02:13:08.553 --> 02:13:11.297]  I know Debra Medina can win.
[02:13:11.317 --> 02:13:12.979]  I agree with you.
[02:13:13.260 --> 02:13:16.404]  If people don't like in the NFL, pick the team you think is going to win.
[02:13:16.564 --> 02:13:16.964]  That's right.
[02:13:17.004 --> 02:13:19.226]  We need to get past that psychological mechanism.
[02:13:19.406 --> 02:13:24.969]  Well listen, my grandmother, I don't know if you heard me talk about it earlier, she doesn't really listen to the show very often.
[02:13:25.269 --> 02:13:25.830]  It upsets her.
[02:13:26.410 --> 02:13:30.133]  And my mother was driving her around, great grandmother to my kids.
[02:13:31.301 --> 02:13:35.684]  And she was taking her to physical therapy last week, and she was sharp as a tack.
[02:13:36.244 --> 02:13:39.206]  And my mother said, who are you going to vote for in the Republican primary?
[02:13:39.246 --> 02:13:39.966]  She's a Republican.
[02:13:40.566 --> 02:13:42.727]  And she said, oh, Medina.
[02:13:43.768 --> 02:13:45.629]  Because everybody loved her.
[02:13:45.669 --> 02:13:47.050]  Talk radio is on fire with her.
[02:13:47.290 --> 02:13:47.931]  That's what's happening.
[02:13:48.131 --> 02:13:51.934]  The best thing that happened to us is KERA trying to black her out of this debate.
[02:13:52.414 --> 02:14:03.303]  It lit the fire behind the grassroots, which is something we really needed to happen because, folks, we had 1.3 million voters in the 2006 election that voted independent.
[02:14:03.503 --> 02:14:04.084]  1.3 million voters.
[02:14:04.584 --> 02:14:09.769]  That cadre of folks right there is ready to vote out establishment candidates like Rick Perry.
[02:14:10.529 --> 02:14:12.030]  If those people come into this primary,
[02:14:12.771 --> 02:14:14.453]  They can win this race because guess what?
[02:14:14.534 --> 02:14:18.779]  Rick Perry only had 550,000 votes in the 06 primary.
[02:14:18.799 --> 02:14:21.002]  550,000 votes is all he had.
[02:14:21.363 --> 02:14:24.126]  He may very well split those votes with Kay Bailey Hutchison.
[02:14:24.167 --> 02:14:25.689]  Kay Bailout Hutchison.
[02:14:26.169 --> 02:14:28.512]  She will win if people come out and vote!
[02:14:29.133 --> 02:14:30.314]  Absolutely, absolutely.
[02:14:30.334 --> 02:14:33.015]  There's no doubt there'll be some election fraud, but it's not in every county.
[02:14:33.135 --> 02:14:38.618]  If we figuratively and literally just tap on our neighbor's shoulders and ask them, hey, at least are you registered to vote?
[02:14:38.718 --> 02:14:41.420]  And tell them about Debra Medina, get a button, go on the website.
[02:14:41.460 --> 02:14:45.642]  The importance of that button right there, Alex, I can't tell you every day people ask me about that.
[02:14:45.682 --> 02:14:46.442]  Who's Debra Medina?
[02:14:46.802 --> 02:14:48.383]  And they want to know, they want to hear about it.
[02:14:48.803 --> 02:14:53.066]  I'm convinced that after the 06 election with 1.3 million independent voters,
[02:14:53.706 --> 02:14:56.246]  We had the Ron Paul Revolution occur in 07-08.
[02:14:56.787 --> 02:15:04.768]  I believe, in my heart, there are 2 million people in Texas that are ready to press that electronic fraud button for Debra Medina and make it work, though.
[02:15:05.088 --> 02:15:06.028]  Make that button work.
[02:15:06.388 --> 02:15:07.749]  Get your precincts out there.
[02:15:07.789 --> 02:15:09.129]  Get your precinct conventions going.
[02:15:09.169 --> 02:15:11.089]  Become precinct chairs.
[02:15:11.349 --> 02:15:19.991]  Regardless, we win because with a strong showing, and she may win, with a strong showing, you now have it moving to the states, which is the real battle plan to beat the New World Order.
[02:15:20.331 --> 02:15:22.331]  The Feds have been seized by offshore banks.
[02:15:22.792 --> 02:15:24.072]  We take the states back.
[02:15:24.412 --> 02:15:24.772]  It's over.
[02:15:25.312 --> 02:15:25.792]  That's right.
[02:15:25.852 --> 02:15:27.032]  And Texas can lead the way.
[02:15:27.673 --> 02:15:29.853]  It's just like Copenhagen when people said we couldn't beat it.
[02:15:29.993 --> 02:15:33.594]  If you just have the will to win and you've got the truth on your side, you can't be stopped.
[02:15:33.934 --> 02:15:40.335]  Alex, right here, this highway that goes by your office, I'm encouraged every time I come by here because I fought the tolls on this road.
[02:15:40.355 --> 02:15:42.076]  This was supposed to be a toll road by your office.
[02:15:42.096 --> 02:15:42.656]  Did you know that?
[02:15:42.776 --> 02:15:43.236]  Yes, I knew that.
[02:15:44.096 --> 02:15:47.260]  It was great activists here in the Austin area that fought that.
[02:15:47.280 --> 02:15:48.160]  That's one of the victories.
[02:15:48.221 --> 02:15:53.186]  Every time I have the pleasure of driving by your office, I think, you know what, we saved that from being a toll road.
[02:15:53.266 --> 02:15:54.888]  Alex doesn't have to pay a toll on account of it.
[02:15:55.228 --> 02:15:57.811]  So we were told back then, it's a done deal.
[02:15:58.151 --> 02:15:59.292]  There's no way to change it.
[02:15:59.613 --> 02:16:00.233]  Just give up.
[02:16:00.413 --> 02:16:01.134]  Just give up the battle.
[02:16:01.154 --> 02:16:01.795]  It's like health care.
[02:16:01.835 --> 02:16:02.556]  It's a done deal.
[02:16:02.776 --> 02:16:02.996]  Exactly.
[02:16:03.016 --> 02:16:03.677]  It's not a done deal.
[02:16:03.817 --> 02:16:05.377]  That's the classic play that they do.
[02:16:05.437 --> 02:16:06.198]  It's the board.
[02:16:06.238 --> 02:16:07.258]  You will be assimilated.
[02:16:07.278 --> 02:16:08.118]  You will be assimilated.
[02:16:08.418 --> 02:16:14.160]  And I'm here to tell you folks, Debra Medina can win this race, will win this race, if the people of Texas just do their job.
[02:16:14.440 --> 02:16:17.521]  I mean, think about it, Alex, you've been on the air 14 plus years, right?
[02:16:17.601 --> 02:16:17.841]  Yeah.
[02:16:18.261 --> 02:16:21.242]  Don't tell me there's not a half a million of us here in Texas.
[02:16:21.562 --> 02:16:23.242]  Half a million gets us in a runoff.
[02:16:23.742 --> 02:16:28.724]  If we get 700,000 or a million voters to vote Debra Medina in this race, then Debra Medina
[02:16:29.344 --> 02:16:29.984]  Will win this primary.
[02:16:30.004 --> 02:16:33.865]  And you're not even hearing about Democrats, so if she wins this, she's going to beat the Democrats.
[02:16:33.945 --> 02:16:34.986]  This is a Republican state.
[02:16:35.046 --> 02:16:35.486]  She will.
[02:16:35.526 --> 02:16:35.906]  That's right.
[02:16:35.946 --> 02:16:36.846]  This is a Republican state.
[02:16:36.886 --> 02:16:37.486]  And guess what?
[02:16:37.786 --> 02:16:39.787]  The flip side is true as well.
[02:16:40.087 --> 02:16:46.849]  If Rick Perry squirrels in to this primary victory, or Kay Bailout squirrels in, then the Democrat most likely is going to win.
[02:16:47.069 --> 02:16:54.851]  What we may see is a bifurcation of the vote in the general election in 2010, where Republican seats, you know, House seats,
[02:16:54.991 --> 02:16:56.592]  Because people are rebelling against incumbents.
[02:16:56.912 --> 02:16:58.472]  Massachusetts, they want the Democrats out.
[02:16:58.512 --> 02:17:00.993]  In Texas, they want the mainline Republicans out.
