# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:13.279 --> 00:00:17.519]  The Alex Jones Network is tomorrow's news today.
[01:10:32.720 --> 01:10:40.479]  The central bank digital currency, we're kind of bringing in his own thing because that's how he can know where the money's going and control it and where the illegal aliens are and how to grab them.
[01:10:40.800 --> 01:10:46.159]  So see, you can use a hammer to build a house or you can use it to kill somebody.
[01:10:46.880 --> 01:10:54.399]  But to say that technology and the surveillance state just got invented and Palantir is the definition of it is a lie.
[01:10:54.720 --> 01:10:59.840]  It doesn't mean what Palantir is doing is good and it should be looked at very closely, all of it.
[01:11:00.159 --> 01:11:14.079]  But we should have a real debate and ask why the corporate media is all over Palantir and started the talking point right when Trump got elected or even before, because Trump has said he was to bring them in so they can help him understand all these other systems and deal with it.
[01:11:14.560 --> 01:11:15.840]  That's the truth of what's happening.
[01:11:15.920 --> 01:11:17.279]  It doesn't mean I endorse it.
[01:11:18.319 --> 01:11:21.199]  For God's sakes, we need to have a discussion about what's really going on.
[01:11:23.680 --> 01:11:25.119]  And you got this huge talking point.
[01:11:25.439 --> 01:11:26.720]  We are not safe in America today.
[01:11:26.880 --> 01:11:29.039]  These American citizens say they were detained by ICE.
[01:11:29.119 --> 01:11:30.319]  Well, you're with a bunch of illegal aliens.
[01:11:30.399 --> 01:11:31.600]  They're going to check your ID.
[01:11:33.520 --> 01:11:36.720]  What about the police state of the tens of thousands dead from illegal aliens every year?
[01:11:36.880 --> 01:11:39.920]  Murdered, killed, raped, drunk driving deaths.
[01:11:40.239 --> 01:11:45.279]  What about the million, 200,000 dead from fentanyl in the last few years, the last six, seven years?
[01:11:45.840 --> 01:11:48.239]  Oh, you never hear about Lake and Riley.
[01:11:48.399 --> 01:11:51.359]  It's all about, oh, a few innocent people might have got detained.
[01:11:52.000 --> 01:11:53.600]  They're trying to create riots.
[01:11:53.920 --> 01:11:55.359]  They're trying to create fear.
[01:11:55.680 --> 01:11:59.039]  Doge enters ATF mandate to slash gun regulations.
[01:11:59.279 --> 01:12:02.000]  That's the hangover of the good work Elon Musk did.
[01:12:02.960 --> 01:12:04.720]  And it's so sad to see the Republicans push him out.
[01:12:04.880 --> 01:12:11.760]  Meanwhile, Jeff Bezos and Blue Origin pursue government space contracts, even though he has a bunch of crap systems that cost five times what Musk do.
[01:12:11.920 --> 01:12:15.520]  But now they're saying we won't even give Musk contracts to let him even bid on contracts.
[01:12:15.840 --> 01:12:25.520]  So instead of just being able to be treated fairly for standing up for America and buying Twitter and helping us win the election, now Elon Musk truly is being hung out to drive for that.
[01:12:25.840 --> 01:12:29.840]  I wonder who else big is going to stand up on our side in the future when people like that get treated like that.
[01:12:29.920 --> 01:12:31.439]  I'm not even blaming Trump.
[01:12:32.159 --> 01:12:37.600]  I just, I warned that Musk would get driven out of Doge and that wouldn't be good overall.
[01:12:37.920 --> 01:12:39.520]  And now you see what's happening.
[01:12:40.159 --> 01:12:43.520]  Now, getting back into the breakdown of civilization I mentioned earlier, look at this.
[01:12:43.840 --> 01:12:50.479]  Dating is the only thing you can put 10,000 hours into and end up right back where you started.
[01:12:50.800 --> 01:12:53.760]  Well, that's because of laissez-faire and free sex and free love.
[01:12:53.920 --> 01:12:57.439]  And it was all done by the CIA, knowing it would break down society.
[01:12:57.760 --> 01:13:08.239]  So the very leftist media that pushed women to not get married or have kids when they're 40 and when they can't is now reporting on the own crisis they've created, engineered.
[01:13:09.439 --> 01:13:09.920]  It's sick.
[01:13:10.159 --> 01:13:15.119]  Wall Street Journal, women, American women have never been this resigned, resigned.
[01:13:15.199 --> 01:13:17.279]  I thought it was a great thing to staying single.
[01:13:17.600 --> 01:13:24.319]  The challenges of finding a romantic partner have been made more complicated by a growing divide of education and career prospects between men and women.
[01:13:24.479 --> 01:13:28.479]  Yeah, you got about 65% of college graduates are women.
[01:13:28.800 --> 01:13:33.439]  You've got the vast majority of new corporate leaders and positions being given to women through social engineering.
[01:13:33.760 --> 01:13:37.199]  And so men just go out and do the other jobs.
[01:13:37.520 --> 01:13:39.279]  They're going to be replaced with robots.
[01:13:39.600 --> 01:13:42.000]  And then they'll be replaced to women with AI.
[01:13:44.479 --> 01:13:47.520]  And that's how this works.
[01:13:48.159 --> 01:13:52.800]  And so you collapse the human civilization, which was the plan, and nobody's happy.
[01:13:52.880 --> 01:13:53.840]  And then people don't have kids.
[01:13:53.920 --> 01:13:55.039]  And that's the end of people.
[01:13:56.960 --> 01:13:58.960]  American women are giving up on marriage.
[01:13:59.279 --> 01:14:00.800]  Yep, the Globalist plan's working.
[01:14:00.880 --> 01:14:02.640]  The Polar plan's working.
[01:14:03.600 --> 01:14:05.279]  Men, where have you gone?
[01:14:05.439 --> 01:14:06.399]  Please come back.
[01:14:06.720 --> 01:14:13.520]  So many men have retreated from intimacy, hiding behind firewalls, filters, and curtain personas.
[01:14:14.319 --> 01:14:18.000]  Dabbling and scrolling, we miss you.
[01:14:18.319 --> 01:14:21.520]  Oh, but they rolled it all out to create the post-human world.
[01:14:22.800 --> 01:14:24.640]  But now they're your savior.
[01:14:25.199 --> 01:14:27.199]  But she doesn't want to be married to a man.
[01:14:29.039 --> 01:14:31.439]  He's kept in Peter Pan syndrome, never becoming a man.
[01:14:31.680 --> 01:14:32.319]  No, no, no.
[01:14:32.560 --> 01:14:34.399]  She loves the state.
[01:14:35.119 --> 01:14:35.920]  That's her husband.
[01:14:36.000 --> 01:14:36.960]  That's her pimp.
[01:14:38.479 --> 01:14:45.279]  And so she will die and have a tombstone and never have any children.
[01:14:45.600 --> 01:14:46.239]  And they will die.
[01:14:46.479 --> 01:14:47.359]  It's called depopulation.
[01:14:47.439 --> 01:14:49.039]  It's called sabotaging the human system.
[01:14:50.880 --> 01:14:53.760]  So that's where we are.
[01:14:54.319 --> 01:14:56.960]  And I want to show you a few of these women before I get into Peter Thiel.
[01:14:59.439 --> 01:15:03.760]  Because I know a lot about him, but before I really start talking about him, I'm doing more research on him.
[01:15:04.000 --> 01:15:05.439]  Very enigmatic.
[01:15:05.760 --> 01:15:07.199]  Very mysterious.
[01:15:09.680 --> 01:15:11.840]  I understand sociology, anthropology, history.
[01:15:12.000 --> 01:15:14.000]  I can follow most of what he says.
[01:15:14.319 --> 01:15:16.479]  He's obviously very learned in history.
[01:15:17.119 --> 01:15:22.079]  But in these big talks he's been given for years, he talks about stagnation of civilization and why is it collapsing?
[01:15:22.239 --> 01:15:24.880]  And he really thinks technology overall is stagnated.
[01:15:25.119 --> 01:15:28.239]  And we're not really seeing a lot of the innovations we've seen, though.
[01:15:28.319 --> 01:15:29.279]  I think we are.
[01:15:30.000 --> 01:15:37.520]  But he asked the question, why with more technology does overall happiness and even overall productivity not go up?
[01:15:37.840 --> 01:15:39.520]  In fact, it goes down, happiness.
[01:15:39.680 --> 01:15:43.119]  Well, that's because the globalists built an anti-human system.
[01:15:43.760 --> 01:15:48.000]  And in the public schools and the colleges and the systems, they taught women, you're the ruling class.
[01:15:48.159 --> 01:15:48.800]  Men are bad.
[01:15:49.039 --> 01:15:49.920]  White people are bad.
[01:15:50.079 --> 01:15:50.720]  The West is bad.
[01:15:50.880 --> 01:15:51.680]  Capitalism is bad.
[01:15:51.840 --> 01:15:53.199]  Families are bad.
[01:15:53.520 --> 01:15:58.640]  And a lot of women just kind of can't find a man because they're in Peter Pan syndrome, never growing up.
[01:15:58.960 --> 01:16:13.760]  And then the other women go and buy into the system and get put into the corporations and management because they will go into the Stockholm syndrome and aid-tibet their own societal, cultural, species suicide on average.
[01:16:14.079 --> 01:16:16.159]  Not a lot of great women, obviously.
[01:16:16.479 --> 01:16:18.800]  But the women that are awake are some of the best people we've got.
[01:16:19.119 --> 01:16:27.279]  I understand it, especially women that are brainwashed first, like Handis Owens and others, and then later find out how great it is to have a family and find a great man.
[01:16:27.920 --> 01:16:33.920]  But you have the so-called liberal women saying they're going to leave the country and they're so arrogant.
[01:16:34.000 --> 01:16:37.359]  And, you know, this is, oh, you just don't want literature given to children.
[01:16:37.439 --> 01:16:47.760]  No, we don't want gay pride parades, pedophilia, transgender brainwashing, not telling the parents, putting the kids in databases all over the world, standardized globalist system.
[01:16:48.720 --> 01:16:56.720]  To, again, you think they've already wrecked society, breaking up families and crashing the birth rate and making people be atomized and all alone.
[01:16:57.039 --> 01:17:08.800]  If you think it's bad now, the whole transgenderism thing is created by the Tavistock Institute and the MI6 to collapse civilization and to literally tell people they're another species.
[01:17:08.880 --> 01:17:10.399]  They're not even human.
[01:17:11.680 --> 01:17:40.640]  And so, yeah, you have the women that go out in the woods and yell and scream and throw fits and pay thousands of dollars that they're so unhappy because in any big cult, instead of getting out of the cult, as it gets deeper and darker and worse and more depressing and more SSRIs and more wine anting and all of it, and more only being in the society of other upset women, they go deeper into hating life, hating children, and get into Satanism and everything else.
[01:17:41.840 --> 01:17:44.800]  So this is a Jezebel spirit 2.0.
[01:17:45.359 --> 01:17:48.319]  But first, they had to get Samson to give up his manhood.
[01:17:48.479 --> 01:17:51.840]  That's the symbol of cutting his hair off so that he could be enslaved.
[01:17:51.920 --> 01:17:56.479]  But only the woman could get Samson to stand down and give up his power.
[01:17:56.720 --> 01:17:57.760]  That's the archetype.
[01:17:58.079 --> 01:17:59.359]  So here's a few of these women.
[01:17:59.680 --> 01:18:01.439]  I mean, you Got to love the lesbian here.
[01:18:01.520 --> 01:18:03.199]  And again, I'm not mad at women that like women.
[01:18:03.279 --> 01:18:03.760]  I like women too.
[01:18:03.840 --> 01:18:04.800]  I kind of get it.
[01:18:05.119 --> 01:18:13.359]  But literally, the woman's all butch, and she's got the feminine girl with her, and she's strutting around, and she's not going to let men push her around, chip on the shoulder.
[01:18:13.439 --> 01:18:17.119]  And, you know, hey, our fire department in LA doesn't help men.
[01:18:17.439 --> 01:18:20.399]  You know, if you've, if you're collapsed in a building, I don't need to be able to carry you out.
[01:18:20.640 --> 01:18:21.760]  You shouldn't be there.
[01:18:22.960 --> 01:18:28.239]  So they want to say they're a man, but not have the chivalry of a man or the physical strength of a man.
[01:18:28.560 --> 01:18:31.039]  So this is the feminist response to all of this here.
[01:18:33.439 --> 01:18:37.840]  I renewed my passport yesterday because I'm getting the fuck out of America.
[01:18:38.479 --> 01:18:41.680]  Yep, I'm getting a one-way plane ticket to go somewhere.
[01:18:42.000 --> 01:18:44.239]  Europe, mostly, most likely.
[01:18:44.880 --> 01:19:04.640]  The Supreme Court of the United States has just made an allowance stipulating that any parent in any district in the United States is allowed to opt out their kid if the book, if the piece of literature has any LGBTQ plus characters within it.
[01:19:04.800 --> 01:19:06.159]  They can opt out entirely.
[01:19:06.319 --> 01:19:07.840]  They don't have to do the work.
[01:19:09.920 --> 01:19:12.239]  Such potatoes running the show.
[01:19:12.720 --> 01:19:14.640]  Okay, so another question for you.
[01:19:14.880 --> 01:19:27.119]  If that's the case, do parents who are, let's say, horrifically racist, are you allowed to then opt your kid out of any book with a minority character within it?
[01:19:27.760 --> 01:19:35.439]  Are you allowed to opt out of a book when it comes to any different religious denominations of characters?
[01:19:35.760 --> 01:19:43.439]  I know you've been opting out of biology and science for a lifetime, and it's clear, just as your climate change policy is rolling out down there.
[01:19:43.760 --> 01:19:45.359]  By the way, pause, back her up.
[01:19:45.680 --> 01:19:46.720]  All this condescension.
[01:19:46.880 --> 01:19:49.279]  You're the ones that say there's no X and Y chromosomes.
[01:19:49.439 --> 01:19:51.520]  You're the one that say two men can have a baby.
[01:19:51.840 --> 01:19:54.720]  You're the one following a CIA program to make you alone and isolated.
[01:19:54.800 --> 01:19:56.880]  And you get more and more bitter and more and more hateful.
[01:19:57.760 --> 01:20:04.159]  And they're in a society that just wants to control and scoop up other feminine women so you can pretend to be a male.
[01:20:04.479 --> 01:20:04.720]  Okay.
[01:20:05.199 --> 01:20:10.319]  So your culture, your ideas are an aberration.
[01:20:10.640 --> 01:20:24.079]  And then after this clip's done, Paul Watson, our former colleague, Greg Guy, did one on adult daycare at these corporations where there's no real work going on, but a few women still go into these empty cubicles while their colleagues work at home, most of them women.
[01:20:24.399 --> 01:20:28.239]  And they got Play-Doh and Legos.
[01:20:29.279 --> 01:20:30.880]  That's at the colleges all over the country.
[01:20:32.319 --> 01:20:36.319]  My daughter went to a big school here, got great grades, said she didn't want to go there anymore.
[01:20:36.479 --> 01:20:39.760]  She said everything you said, Charlotte was true about it.
[01:20:40.079 --> 01:20:43.600]  She said when Trump won, that's what she said to get out of college.
[01:20:43.680 --> 01:20:47.439]  They literally came in and said, you can take off a week, come in and play with Play-Doh, Legos.
[01:20:47.520 --> 01:20:49.199]  You know, this is what they do.
[01:20:49.520 --> 01:20:55.279]  I remember like 15 years ago, 10 years ago, there was one college, and somebody came and handed out POC constitutions.
[01:20:55.439 --> 01:20:57.520]  They said, everybody could not go to class for two days.
[01:20:57.840 --> 01:21:00.079]  And we have these little rooms with short tables for children.
[01:21:00.399 --> 01:21:06.640]  And you play with Play-Doh and construction paper and all the rest of it because it was so shocking to hear about constitutions.
[01:21:06.880 --> 01:21:08.399]  They're training you to be victims.
[01:21:08.479 --> 01:21:12.079]  They're training you to be scared of anything that would empower you.
[01:21:12.319 --> 01:21:13.279]  So these are victims.
[01:21:13.359 --> 01:21:14.720]  And I don't know how to get through to them.
[01:21:15.039 --> 01:21:15.680]  They're in a cult.
[01:21:15.760 --> 01:21:16.640]  Let's continue.
[01:21:17.199 --> 01:21:20.239]  Been opting out of biology and science for a lifetime.
[01:21:20.399 --> 01:21:24.560]  And it's clear just as your climate change policy is rolling out down there.
[01:21:24.880 --> 01:21:33.359]  But right now, what you're doing is you're creating the circumstance for allowing ignorant people to remain ignorant.
[01:21:33.680 --> 01:21:35.840]  And I'm going to be flat out about that.
[01:21:36.399 --> 01:21:50.560]  Any parent who wants to opt their kid out of learning, of broadening their minds, of understanding different people in this world, you are conditioning your child to be ignorant, judgmental bigots.
[01:21:50.880 --> 01:21:58.399]  And it's only a matter of time before this little policy and this little judicial decision is going to apply to any group of people.
[01:21:58.800 --> 01:21:59.840]  I'll stop again.
[01:22:00.479 --> 01:22:08.800]  Once they go, oh, give us gay marriage, remember 10 years ago, then it's let us have access to your kid, brainwash them to be a pedophile or cut their penis off or their breast off.
[01:22:09.119 --> 01:22:12.079]  They want access to your children and they don't want any parental rights.
[01:22:12.319 --> 01:22:22.319]  And they're trying to act like that's a tyranny that you can't give them these seriously pornographic pedophilic books that we've documented that they are brainwashing people with.
[01:22:22.399 --> 01:22:23.840]  And the books are the tip of the iceberg.
[01:22:23.920 --> 01:22:24.720]  Let's continue.
[01:22:26.560 --> 01:22:28.800]  They don't think has value.
[01:22:29.439 --> 01:22:40.159]  You know, the end game here, the end game here is a white Christian theocracy that is not a democracy.
[01:22:40.399 --> 01:22:42.239]  That is not the founding principles of the world.
[01:22:44.239 --> 01:22:45.600]  Guaranteed she supports Islam.
[01:22:45.920 --> 01:22:46.880]  You don't have one.
[01:22:47.199 --> 01:22:55.920]  But don't you dare stop your kids from becoming better, more amazing individuals so we can hopefully change this world around us.
[01:22:56.239 --> 01:23:06.239]  Because if they're all going to be as ignorantly driven and uneducated as the guy who can't even spell his own name in a tweet, you're doomed.
[01:23:06.880 --> 01:23:09.279]  Female adult daycare is out of control.
[01:23:09.439 --> 01:23:10.239]  Big girl job.
[01:23:10.399 --> 01:23:13.439]  You know your job must be important when there's literally no one in the office.
[01:23:13.760 --> 01:23:17.600]  Consumed a beverage, turned a laptop on, and swizzed around in a chair.
[01:23:17.840 --> 01:23:19.359]  And it's lunchtime.
[01:23:20.319 --> 01:23:21.359]  Hard day at the office.
[01:23:21.600 --> 01:23:24.800]  It's my first day of training in DU as a consultant for Deloitte.
[01:23:24.880 --> 01:23:26.640]  I woke up at 6 a.m. to grab coffee.
[01:23:26.800 --> 01:23:27.119]  Coffee.
[01:23:27.279 --> 01:23:29.199]  Then I went to get breakfast with some of my friends.
[01:23:29.520 --> 01:23:29.680]  Food.
[01:23:29.840 --> 01:23:30.960]  Here's one of the coffee bars.
[01:23:31.199 --> 01:23:31.520]  Coffee.
[01:23:31.760 --> 01:23:33.279]  We did some team bonding exercises.
[01:23:33.600 --> 01:23:35.119]  Team bonding exercise.
[01:23:35.199 --> 01:23:36.479]  They're playing with Lego.
[01:23:36.640 --> 01:23:37.439]  It's a nursery.
[01:23:37.680 --> 01:23:39.359]  So here are some of the things I had for dinner.
[01:23:39.600 --> 01:23:40.000]  More food.
[01:23:40.159 --> 01:23:40.960]  It's now 8 p.m.
[01:23:41.199 --> 01:23:43.039]  We have more team bonding exercises.
[01:23:43.279 --> 01:23:43.840]  More nursery.
[01:23:44.000 --> 01:23:44.880]  Let's have some ice cream.
[01:23:45.039 --> 01:23:45.439]  More food.
[01:23:45.600 --> 01:23:46.560]  Hard day at the office.
[01:23:46.800 --> 01:23:48.960]  What work are these women even doing?
[01:23:49.199 --> 01:23:50.239]  Pointless meetings.
[01:23:50.479 --> 01:23:54.319]  Are these pampered adult daycare jobs making women happier?
[01:23:54.479 --> 01:23:58.640]  Depression in women doubles since the 1970s as they try to have it all.
[01:23:58.880 --> 01:24:02.640]  Anti-depressant use amongst adult U.S. women has surged since the 80s.
[01:24:02.800 --> 01:24:05.520]  It doesn't look like they're much happier, does it?
[01:24:05.840 --> 01:24:11.279]  And the point is, it's all engineered on record like Paul Ehrlich said they would do in the 70s.
[01:24:12.560 --> 01:24:15.279]  So bring down the West because it's an example of freedom of the world.
[01:24:15.359 --> 01:24:18.640]  It doesn't fit into globalism and the total slave technocracy model they have.
[01:24:18.800 --> 01:24:20.319]  That's the bottom line.
[01:24:20.640 --> 01:24:29.359]  Now, I want to play a few clips of Peter Thiel in different interviews talking about the Antichrist and a one-world government and what a terrible idea this total technocracy is.
[01:24:29.680 --> 01:24:36.800]  And then He's offering to Trump Palantir with Alex Karp to come in so that we can fight this with that.
[01:24:37.439 --> 01:24:42.560]  And then Alex Karp famously says we're going to censor and has censored the conservatives in Europe using his systems.
[01:24:42.800 --> 01:24:46.720]  And the Israelis use their AI, autonomous drones, to kill people with it.
[01:24:47.039 --> 01:24:54.560]  So, yeah, it's very schizophrenic, but the point is they're saying fight fire with fire.
[01:24:55.199 --> 01:25:00.159]  And they are moving into the administration.
[01:25:00.479 --> 01:25:04.000]  But then all the big globalist groups that are already in control, they're opposing it.
[01:25:04.159 --> 01:25:12.000]  So do you want Google running it and Oracle and Apple and Microsoft?
[01:25:12.319 --> 01:25:13.439]  Or do you want Palantir?
[01:25:13.760 --> 01:25:18.159]  How about we have a big debate about it and come together as a society and figure out a system to dismantle this?
[01:25:19.359 --> 01:25:20.319]  Because it's already in place.
[01:25:20.399 --> 01:25:21.520]  The technocracy is already there.
[01:25:21.760 --> 01:25:23.279]  That's my point about the whole thing.
[01:25:23.600 --> 01:25:31.279]  Before we go to two clubs with Peter Thiel and then more coming up after that, that's so important about lawfare and the globalist and the latest developments there.
[01:25:31.840 --> 01:25:34.560]  Please remember that this is the Alex Jones Network.
[01:25:34.640 --> 01:25:35.439]  This is our backup system.
[01:25:35.520 --> 01:25:38.479]  We've got the podcast studio, other studios, bigger being built, all that.
[01:25:38.640 --> 01:25:40.560]  We need to do some more shows out there soon.
[01:25:41.199 --> 01:25:42.000]  We're still fighting.
[01:25:42.079 --> 01:25:43.039]  We're still on air.
[01:25:43.359 --> 01:25:45.439]  And even if they shut down InfoWars, we're going to continue on.
[01:25:45.680 --> 01:25:47.359]  But that's only because of your support.
[01:25:47.680 --> 01:25:52.880]  Now, if you go to realalexjones.com, that only goes to the Alex Jones Network.
[01:25:53.199 --> 01:25:57.199]  It has the same supplements, the same Patriot apparel.
[01:25:57.279 --> 01:25:59.359]  It's just a clone of the AlexJonesStore.com.
[01:26:00.239 --> 01:26:07.840]  And the very best trilogy, the very best Optimal Human, the very best Irish Seamos, the very best Melfbethylene Blue.
[01:26:08.000 --> 01:26:12.159]  But if you go to theAlexJonesstore.com, sometimes there's sales on one site that aren't on the other side.
[01:26:12.399 --> 01:26:15.039]  If you go to thealxjonesstore.com, that's the ROL split up.
[01:26:15.359 --> 01:26:22.479]  ThealxjonStore.com, there's a sale there that's not at realalxjones.com.
[01:26:22.560 --> 01:26:25.520]  There's some sales at realxjones.com that aren't at thealxjonstore.com.
[01:26:25.840 --> 01:26:33.520]  There is a buy one bottle of ultra methylene blue liquid, already discounted, and get one bottle free.
[01:26:34.159 --> 01:26:41.119]  And you can lock in if you subscribe, cancel any time, but in perpetuity, if you stay subscribed, you get 50% off.
[01:26:41.680 --> 01:26:46.239]  So at thealexjonesstore.com has the best deal right now that ends tomorrow night at midnight.
[01:26:46.560 --> 01:26:51.439]  So you got less than 48 hours, 36 hours or whatever to get one bottle already discounted, get a free bottle.
[01:26:51.520 --> 01:26:52.479]  You've heard the right reviews.
[01:26:52.640 --> 01:26:53.199]  It's amazing.
[01:26:53.359 --> 01:26:55.920]  Thealxjonstore.com.
[01:26:56.239 --> 01:26:58.880]  And thealxjonstore.com also goes to fund InfoWars.
[01:26:59.199 --> 01:26:59.920]  That's what it does.
[01:27:00.239 --> 01:27:06.079]  But the deal's so good, even though I want to build the funding for the Alex Jones network here.
[01:27:06.399 --> 01:27:07.039]  That's the best deal.
[01:27:07.119 --> 01:27:11.920]  So I'm assuming you're there right now because that's the best deal over at thealxjonstore.com.
[01:27:12.560 --> 01:27:23.199]  And then if you go to defendalxjones.com, that is the fundraiser because the deep state Democrats sued my parents.
[01:27:23.840 --> 01:27:27.600]  That's how this harassment works to try to get to me and my parents are out of money.
[01:27:27.840 --> 01:27:29.199]  And I really need your support.
[01:27:29.520 --> 01:27:31.279]  You're supporting yourself when you do that.
[01:27:31.520 --> 01:27:33.520]  Defendalxjones.com.
[01:27:33.760 --> 01:27:34.479]  And I thank you for that.
[01:27:34.560 --> 01:27:35.600]  We just launched that.
[01:27:35.920 --> 01:27:38.319]  Seriously, folks, I really need your support.
[01:27:39.600 --> 01:27:41.119]  I cannot do this without you.
[01:27:41.439 --> 01:27:43.039]  And it's so frustrating.
[01:27:43.359 --> 01:27:46.159]  If you were here, if you saw the stuff behind the scenes, you've seen these lies.
[01:27:46.239 --> 01:27:47.359]  I have hundreds of millions of dollars.
[01:27:47.680 --> 01:27:49.520]  The New York Times had to say none of that was true.
[01:27:49.840 --> 01:27:50.800]  I don't have any money.
[01:27:51.119 --> 01:27:52.720]  I can barely even pay my own personal bills.
[01:27:52.800 --> 01:27:53.199]  That's fine.
[01:27:53.279 --> 01:27:54.079]  I don't feel like a loser.
[01:27:54.159 --> 01:27:54.960]  The left makes fun of me.
[01:27:55.039 --> 01:27:56.079]  Oh, ha ha, we got you.
[01:27:56.239 --> 01:27:56.880]  All this other crap.
[01:27:57.199 --> 01:28:02.079]  The point is, I'll be able to have a new network, a new system where I'm employed by it, and they can't stop the crew.
[01:28:02.239 --> 01:28:03.199]  They can't stop the shows.
[01:28:03.279 --> 01:28:04.640]  We plan to go 24 hours a day.
[01:28:04.880 --> 01:28:08.479]  We're going to just grow in the face of this incredible tyranny.
[01:28:08.800 --> 01:28:10.159]  But again, I cannot do it without you.
[01:28:10.239 --> 01:28:11.600]  DefendalxJones.com.
[01:28:11.840 --> 01:28:13.840]  However you choose to support, please take action.
[01:28:13.920 --> 01:28:14.960]  Get off the bench and do it today.
[01:28:15.039 --> 01:28:16.399]  This is not just your regular show.
[01:28:16.720 --> 01:28:17.760]  We are under massive attack.
[01:28:17.840 --> 01:28:19.199]  We've only stayed on there because of your support.
[01:28:19.359 --> 01:28:21.680]  DefendalxSones.com, thealxon store.com.
[01:28:21.760 --> 01:28:22.319]  Thank you so much.
[01:28:22.640 --> 01:28:24.239]  Here's some of Peter Thiel.
[01:28:24.399 --> 01:28:29.279]  I'm going to post this on Exus Live right now, but I'll post what he said there and what I said introing it.
[01:28:29.359 --> 01:28:30.640]  And I want to see what you think of this.
[01:28:30.720 --> 01:28:31.680]  Here it is.
[01:28:32.880 --> 01:28:36.399]  This is my very specific question for you, right?
[01:28:38.399 --> 01:28:39.840]  You're an investor in AI.
[01:28:41.199 --> 01:28:50.159]  You're deeply invested in Palantir, in military technology, in technologies of surveillance, in technologies of warfare, and so on, right?
[01:28:50.640 --> 01:29:10.640]  And it just seems to me that when you tell me a story about the Antichrist coming to power and using the fear of technological change to sort of impose order on the world, I feel like that Antichrist would maybe be using the tools that you were building, right?
[01:29:10.720 --> 01:29:19.039]  Like, wouldn't the Antichrist be like, great, you know, we're not going to have any more technological progress, but I really like what Palantir has done so far, right?
[01:29:19.359 --> 01:29:21.039]  I mean, isn't that a concern?
[01:29:21.199 --> 01:29:32.000]  Wouldn't that be the, you know, the irony of history would be that the man publicly worrying about the Antichrist accidentally hastens his or her arrival?
[01:29:35.520 --> 01:29:38.640]  Look, there are all these different scenarios.
[01:29:38.880 --> 01:29:40.960]  I obviously don't think that that's what I'm doing.
[01:29:42.159 --> 01:29:45.199]  I mean, to be clear, I don't think that's what you're doing either.
[01:29:45.359 --> 01:29:52.319]  I'm just interested in how you get to a world willing to submit to permanent authoritarian rule.
[01:29:52.800 --> 01:30:17.600]  Well, but again, there are these different gradations of this we can describe, but is this so preposterous, what I've just told you, as a broad account of the stagnation that the entire world has submitted for 50 years to peace and safetyism?
[01:30:17.760 --> 01:30:19.600]  This is a 1 Thessalonians 5.3.
[01:30:19.760 --> 01:30:24.439]  The slogan of the Antichrist is peace and safety, and we've submitted...
[01:30:31.760 --> 01:30:32.640]  Again, the catacomb.
[01:30:32.880 --> 01:30:36.319]  So he identifies it with a framework of society and government.
[01:30:36.640 --> 01:30:37.119]  All right.
[01:30:37.680 --> 01:30:41.760]  That's my little effort to present the concept of the catacomb.
[01:30:42.399 --> 01:30:43.760]  You use that concept how?
[01:30:44.319 --> 01:30:46.880]  You identify the catacomb through history.
[01:30:47.760 --> 01:30:53.119]  Yes, it is, as you said, it's a rather mysterious concept.
[01:30:53.359 --> 01:31:11.199]  You can identify it with the good aspects of the Roman Empire, certain political aspects of the Roman Catholic Church, individuals, institutions that somehow are trying to hold this runaway chaos in check.
[01:31:12.560 --> 01:31:14.560]  I don't think it's purely reactionary.
[01:31:15.359 --> 01:31:20.880]  You can think of Metternich post-Napoleon as sort of catacontic, but he's also modernizing.
[01:31:22.399 --> 01:31:24.720]  It is a thing of history, though.
[01:31:25.199 --> 01:31:35.199]  And so there are ways to do it that can be good for a time, but that will not necessarily work for all times.
[01:31:36.479 --> 01:31:46.479]  But I would always maybe go back to the apocalyptic specter would be Antichrist or Armageddon.
[01:31:48.319 --> 01:31:59.760]  And I think there is a lot in this runaway science technology that's pushing us towards something like Armageddon.
[01:32:01.119 --> 01:32:15.760]  And then there is the natural pushback on this is we will avoid Armageddon by having a one world state that has real teeth, real power.
[01:32:16.079 --> 01:32:19.840]  And the biblical term for that is the Antichrist.
[01:32:20.720 --> 01:32:28.399]  And the Christian intuition I have is I don't want Antichrist.
[01:32:28.479 --> 01:32:29.680]  I don't want Armageddon.
[01:32:30.079 --> 01:32:35.840]  I would like to find some narrow path between these two where we can avoid both.
[01:32:38.239 --> 01:32:44.159]  And then certainly there are ways that you defer it if you can.
[01:32:44.800 --> 01:32:46.239]  You try to do new things.
[01:32:46.640 --> 01:32:48.640]  I don't think it's a purely reactionary thing.
[01:32:49.359 --> 01:32:56.479]  It's not a pure Benedictine option where you just retreat into a monastery or something like that.
[01:32:56.720 --> 01:32:59.279]  I think that's the most accelerationist thing possible.
[01:33:03.119 --> 01:33:03.920]  You quit resisting.
[01:33:05.119 --> 01:33:06.560]  It sort of clears the field.
[01:33:06.640 --> 01:33:08.239]  It's like the Lord act in line.
[01:33:08.319 --> 01:33:10.880]  All that is necessary for evil to triumph is that good men do nothing.
