# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: e88e4929dc3fcfc98d92524c7c7cd4d1
[00:00:07.759 --> 00:00:08.240]  Christmas.
[03:00:31.600 --> 03:00:32.240]  Look at that camera.
[03:00:32.480 --> 03:00:33.440]  What else people need to know?
[03:00:33.600 --> 03:00:36.080]  What else do you have in there in that whole stack of documents?
[03:00:36.400 --> 03:00:39.840]  Well, firstly, thank you very much, Alex, for having me on again.
[03:00:40.000 --> 03:00:46.160]  We've been talking to each other for a very long time now, going back 20 years or so.
[03:00:46.800 --> 03:00:56.000]  You had Dell Big Tree on recently, and that was a fantastic study that Dell reported on, an inconvenient study.
[03:00:56.320 --> 03:00:58.960]  And I just want to reflect on it.
[03:00:59.680 --> 03:01:17.920]  I wasn't involved in making the film, but a very, very clever piece of work because what he did is to engage people on the pro-vaccine side, some very eminent doctors and one doctor in particular up at the Ford Medical Center in Michigan.
[03:01:18.560 --> 03:01:29.040]  And he said, look, you've got this huge data set that you've been collecting for many years on vaccines and vaccine reactions, the health of children following vaccination.
[03:01:29.360 --> 03:01:35.200]  Why not do a vaccinated versus unvaccinated study, the study that needs to be done?
[03:01:36.400 --> 03:01:40.480]  And if you're right, then we'll walk away.
[03:01:41.280 --> 03:01:50.240]  If you prove that vaccines are safe, that there is no difference in the health outcomes for vaccinated versus unvaccinated children, fair enough.
[03:01:50.560 --> 03:01:57.120]  And whatever happens, whether the study results are positive or negative, we will publish the study.
[03:01:57.280 --> 03:01:57.920]  And he agreed.
[03:01:58.080 --> 03:01:59.760]  The doctor agreed.
[03:02:00.080 --> 03:02:01.520]  And they went ahead and did the study.
[03:02:01.680 --> 03:02:02.880]  Dell didn't hear anything back.
[03:02:03.040 --> 03:02:04.880]  And he called them and he said, what's going on?
[03:02:05.040 --> 03:02:06.080]  He went up to meet with them.
[03:02:06.240 --> 03:02:11.200]  He sat down with this guy over dinner and he asked him what happened.
[03:02:11.360 --> 03:02:12.560]  And he told him the results.
[03:02:12.720 --> 03:02:28.560]  And the results showed comprehensively across the board, systematically, that health outcomes were significantly worse across a range of disorders in children who had been vaccinated compared with the unvaccinated.
[03:02:29.440 --> 03:02:40.480]  And he refused to publish the results despite, as a senior scientist, an academic, promising that he would whatever the outcome.
[03:02:40.800 --> 03:02:41.760]  And he wouldn't do it.
[03:02:41.920 --> 03:02:42.560]  Why?
[03:02:43.520 --> 03:02:46.800]  Because it might, it would certainly damage his career.
[03:02:46.960 --> 03:02:54.800]  It would be an end to what he considered to be an illustrious career as an infectious disease physician.
[03:02:55.680 --> 03:02:57.200]  How do we know this?
[03:02:57.840 --> 03:03:07.680]  Because Dell secretly filmed that interview, that encounter over dinner, and got the admission.
[03:03:08.000 --> 03:03:09.920]  And Dell put together a documentary.
[03:03:10.240 --> 03:03:19.120]  The lawyers for the Ford Medical Center found out about this and said, they sent a nasty gram saying, we're going to sue.
[03:03:19.200 --> 03:03:20.480]  This is defamation.
[03:03:21.360 --> 03:03:32.080]  And then Dell put up on the internet the video of the doctor being secretly filmed and confessing to the true reason why he didn't want to publish.
[03:03:32.240 --> 03:03:34.480]  Now, this is an absolute disgrace.
[03:03:34.720 --> 03:03:43.120]  If you are a scientist and if you publish a paper, you do so whether or not the findings support your hypothesis.
[03:03:43.360 --> 03:03:44.320]  That is good science.
[03:03:44.480 --> 03:03:50.080]  If you are not prepared to do that or will not do it after promising you're going to do it, you are not a scientist.
[03:03:50.240 --> 03:03:55.760]  Get out of the game, move on, but do not call yourself a scientist.
[03:03:56.400 --> 03:04:21.680]  And so what we have is another study of those few studies that have been done comparing health outcomes in vaccinated and under vaccinated individuals now from a major vaccine promoter, a major supporter of vaccines, showing absolutely making it quite clear that health outcomes are worse in the vaccinated, and he refuses to publish.
[03:04:21.920 --> 03:04:23.200]  And remember the key.
[03:04:23.840 --> 03:04:25.440]  He thought he was doing good.
[03:04:25.600 --> 03:04:26.640]  He said, I'll publish it.
[03:04:26.800 --> 03:04:28.320]  But when he found out he was wrong, he wouldn't.
[03:04:28.560 --> 03:04:29.200]  He wouldn't publish it.
[03:04:29.360 --> 03:04:42.800]  And the other thing about this, because I've been in a position where I've got people working for me, junior scientists who find their names, who get their names on that paper, they put their name to a study that he then refused to publish.
[03:04:42.960 --> 03:04:50.240]  If any of those junior scientists came to me for a job now, I would look at that and say, uh-uh, no.
[03:04:51.200 --> 03:04:55.200]  You didn't publish something that you swore that you were going to publish, that you should have published.
[03:04:55.520 --> 03:04:55.840]  Incredible.
[03:04:56.080 --> 03:05:25.920]  finish up with that in 60 seconds whoa dude is that methylene blue this house really knows me oh wow shill and jeet gummies i gotta hide these from melania she loved them bigly these sure tastes great and they're good for me too you can buy me now at the alexjon store.com
[03:05:28.800 --> 03:05:45.840]  well hello there info warriors we are having a 60 off sale on selected items take a look behind me we have the sea moss and shilla jeet gummies and you know we have the medical grade methylene blue that will light your ass up like a christmas tree
[03:05:49.360 --> 03:06:11.440]  you can also buy one of me in the store act now while supplies last from the front lines of the information war it's alex jones
[03:06:14.880 --> 03:06:22.800]  Well, the original whistleblower, dr Andrew Wakefield's, here, starting 30 years ago.
[03:06:22.880 --> 03:06:26.400]  I've been interviewing him over 20 uh, totally vindicated.
[03:06:26.480 --> 03:06:28.080]  You were people that just joined us.
[03:06:28.160 --> 03:06:37.840]  You were getting into an inconvenient study, undercover investigation in a film uh, with one of the main engines behind Robert F Kennedy Jr's work and his former head of his campaign, Del Bigtree.
[03:06:38.000 --> 03:06:38.800]  What a what a.
[03:06:39.600 --> 03:06:48.000]  The best part of my job is I get to know all the really real people and the, the light in his eyes and how well spoken he is, what he does, his track record and you too it's.
[03:06:48.000 --> 03:06:48.400]  It's great.
[03:06:48.560 --> 03:06:49.520]  I get around globalists.
[03:06:49.600 --> 03:06:51.440]  I feel like i'm dying speaking in their presence.
[03:06:51.760 --> 03:07:06.400]  But the fact that they got this top research scientist, vaccine expert to go do a study because he thought it would disprove Bigtree and Kennedy, and then it disproves him i'm just recapping and people tune in every second and then he won't publish it.
[03:07:06.560 --> 03:07:11.920]  So Big Tree goes and undercover records him admitting all of this I mean that is so bombshell.
[03:07:12.240 --> 03:07:17.200]  Yeah, their allegation was that we're not publishing the study because the science isn't good enough.
[03:07:17.280 --> 03:07:18.720]  It wasn't designed properly.
[03:07:19.040 --> 03:07:23.840]  They followed the CDC guidelines on such a study how to do such a study.
[03:07:24.160 --> 03:07:26.080]  He said, this is a good study.
[03:07:26.240 --> 03:07:26.960]  It's important.
[03:07:27.120 --> 03:07:30.960]  It should be published, but i'm not going to do it because it will ruin my coward.
[03:07:31.200 --> 03:07:34.400]  Well, that was a bad day for that hospital's lawyers, I can tell you.
[03:07:34.560 --> 03:07:37.120]  And then they tried to sue, but you had the video, so they had the video.
[03:07:37.280 --> 03:07:39.040]  So I wonder what's happening with them now?
[03:07:39.360 --> 03:07:42.080]  Gone quiet, I don't think they'll want to go anywhere near it.
[03:07:42.160 --> 03:07:44.640]  They'll hope it'll die a death and go away.
[03:07:46.240 --> 03:07:48.640]  That's the way they handle these things, what they did with Vax.
[03:07:48.800 --> 03:08:05.040]  When Vax came out, you'll remember this that he got into Tribeca film festival in New York, a prestigious film festival, one of the most prestigious film festivals in the country, run by Robert De Niro and they called us a few days later and said, your film has now been pulled from the festival.
[03:08:05.360 --> 03:08:08.704]  First time ever, a film had been censored from Tribeca.
[03:08:09.184 --> 03:08:19.104]  Those are a bad few days until Robert De Niro went on the Today Show and Good Morning America a week or two later and said we shouldn't have done that.
[03:08:19.264 --> 03:08:20.304]  We should have played that movie.
[03:08:20.464 --> 03:08:22.864]  Everybody should have seen it and made up their own minds.
[03:08:23.184 --> 03:08:24.864]  And it exploded worldwide.
[03:08:25.104 --> 03:08:25.584]  That was it.
[03:08:25.744 --> 03:08:29.824]  So censorship, paradoxically, Alex, failed them very badly there.
[03:08:29.984 --> 03:08:31.904]  Now they learn from that.
[03:08:32.224 --> 03:08:36.384]  They're slow learners, but they got there and they ignore it.
[03:08:36.544 --> 03:08:38.704]  They just learning about the Streisan effects.
[03:08:38.944 --> 03:08:40.944]  Yeah, they shut down social media.
[03:08:41.104 --> 03:08:43.024]  They won't let it go out on social media.
[03:08:43.344 --> 03:08:45.584]  They compromise movie theaters.
[03:08:45.744 --> 03:08:48.944]  We've had people outside movie theaters saying there's going to be a riot.
[03:08:49.344 --> 03:08:53.584]  These people are a bunch of ragtag communists going to call the riot.
[03:08:53.744 --> 03:08:54.144]  Oh, I know.
[03:08:54.224 --> 03:08:57.104]  Back when I used to make films and put them in theaters, they call bomb threats in.
[03:08:57.264 --> 03:08:57.504]  Oh, yeah.
[03:08:57.984 --> 03:08:59.104]  That's exactly what they do.
[03:08:59.264 --> 03:09:02.544]  They started playing a whole bunch of people in Florida went to the movie.
[03:09:02.704 --> 03:09:04.944]  They started playing an entirely different movie.
[03:09:05.264 --> 03:09:06.464]  So they were in on it.
[03:09:07.184 --> 03:09:09.264]  But they've done what they can.
[03:09:09.504 --> 03:09:11.104]  We'll continue to make movies.
[03:09:11.184 --> 03:09:12.544]  We'll continue to get them out there.
[03:09:12.864 --> 03:09:14.384]  But that's the thing about humans.
[03:09:14.704 --> 03:09:16.544]  What you tell us we can't see, we want to see.
[03:09:16.784 --> 03:09:17.664]  Oh, we're going to see it.
[03:09:17.984 --> 03:09:19.024]  We are going to see it.
[03:09:19.104 --> 03:09:19.184]  Yeah.
[03:09:19.264 --> 03:09:20.704]  Do these people not have children?
[03:09:20.944 --> 03:09:22.384]  Have they not seen that?
[03:09:23.024 --> 03:09:23.264]  Yeah.
[03:09:23.904 --> 03:09:26.224]  So the next film is a very important one to me.
[03:09:26.384 --> 03:09:27.504]  It means a great deal.
[03:09:28.944 --> 03:09:32.064]  Love anyone to get in touch with us who wants to get involved.
[03:09:32.384 --> 03:09:35.584]  Info at wakefieldmedia group.com.
[03:09:36.064 --> 03:09:38.384]  Looking for investors, not donors, investors.
[03:09:38.624 --> 03:09:42.624]  People deserve to be able to expect to make something back on their investment.
[03:09:43.264 --> 03:09:43.904]  It's beautiful.
[03:09:44.064 --> 03:09:48.784]  In closing, I want to give you the floor here with all the evidence you've got, all the knowledge, all the things that are going on.
[03:09:49.104 --> 03:09:50.224]  I got a few questions.
[03:09:50.544 --> 03:10:05.744]  I mean, look, I'm not a scientist or doctor like you, but I remember when my two middle daughters were like five and three, the neighbor's kids, and this was in well-to-do areas.
[03:10:05.904 --> 03:10:07.664]  These are educated, not dumb people.
[03:10:09.024 --> 03:10:16.224]  The mother, this is more like a, you know, wealthy hippie or whatever, but she's like, oh, my, my daughter's got measles.
[03:10:16.544 --> 03:10:18.224]  Want to come over for a measles party?
[03:10:18.544 --> 03:10:20.224]  I guess while your kids are healthy, you want it.
[03:10:20.544 --> 03:10:21.424]  And we're like, yeah.
[03:10:21.984 --> 03:10:25.824]  And then both my daughters got a few little spots and then it was over and it was gone.
[03:10:26.064 --> 03:10:28.624]  Now, maybe that's not the right thing to do, but I've heard of this.
[03:10:29.344 --> 03:10:31.664]  My point is, like Kennedy said, if you're run down, you're not healthy.
[03:10:31.744 --> 03:10:39.264]  The few measles deaths a year are people that already have like cancer and heart attacks and morbidities, but they act like measles is the end of the world.
[03:10:39.584 --> 03:10:44.464]  Hundreds in quarantine as South Carolina measles outbreak accelerates.
[03:10:46.144 --> 03:10:47.184]  What's really going on here?
[03:10:47.264 --> 03:10:50.864]  South Carolina measles outbreak is accelerating, driving hundreds into quarantine.
[03:10:50.944 --> 03:10:56.464]  And then I look when these come out in the past, it's usually the migrant populations that are bringing in different strains we're not used to.
[03:10:56.784 --> 03:10:57.824]  You're the expert on this.
[03:10:58.064 --> 03:10:59.504]  How dangerous is measles?
[03:10:59.824 --> 03:11:04.224]  Measles, let's go back to the beginning when the vaccine first came in.
[03:11:04.464 --> 03:11:11.824]  Up until about 1920, measles was a killer of children during epidemics, 120 per million during epidemics.
[03:11:12.144 --> 03:11:18.944]  Beyond 1920, there was a rapid, dramatic reduction in case fatality rate.
[03:11:19.264 --> 03:11:25.424]  It went down by 99.96% by the time the vaccine came on the market.
[03:11:26.064 --> 03:11:28.224]  Nothing to do with the vaccine.
[03:11:28.464 --> 03:11:30.704]  That was natural herd immunity.
[03:11:31.024 --> 03:11:40.144]  It was due to a change in the general well-being of people, sanitation, clean water, a change in the virus to become less serious.
[03:11:40.384 --> 03:11:43.424]  That's what viruses do in their interaction with human beings.
[03:11:43.744 --> 03:11:46.544]  A successful parasite doesn't kill its host.
[03:11:46.864 --> 03:11:51.504]  It allows itself to be perpetuated, one person to another, by not killing the host.
[03:11:51.744 --> 03:11:55.664]  Measles was becoming a milder and milder disease.
[03:11:55.984 --> 03:11:59.344]  First question is: what would have happened if we'd done nothing, no vaccine?
[03:11:59.584 --> 03:12:01.984]  That number would have decayed to zero.
[03:12:02.304 --> 03:12:06.464]  The mortality from measles was approaching zero.
[03:12:07.024 --> 03:12:15.824]  It was seen occasionally in people who got measles at an unusual age, either very young or very old, or in people who were already sick, as you pointed out.
[03:12:16.464 --> 03:12:27.584]  So, when they held a meeting at the National Institutes of Health in 1964, requested by Kennedy to look at universal measles vaccination, should we do it or shouldn't we?
[03:12:27.664 --> 03:12:32.304]  They got an expert in from the UK who was the world's leading infectious disease doctor.
[03:12:32.624 --> 03:12:34.704]  And he said, You really don't want to do this.
[03:12:34.864 --> 03:12:36.544]  You don't know enough about it.
[03:12:37.184 --> 03:12:44.544]  He said, One child per million, and I dare say it's the same in the States, is dying from measles during epidemics.
[03:12:45.184 --> 03:12:47.504]  What is different about that one child?
[03:12:47.824 --> 03:12:55.824]  Surely that's the question we should be asking, rather than anticipating universal measles vaccination for every child about which we know little.
[03:12:56.384 --> 03:13:01.824]  And even Enders, who had Harvard discovered measles virus, said, You really don't want to do this.
[03:13:02.064 --> 03:13:20.704]  If you give a vaccine that doesn't protect in the same way as natural infection, in other words, lifelong, if you need more than one dose, multiple doses, then what will happen is you will change the age profile of susceptibility and you will push people into those age ranges where it's a more dangerous disease.
[03:13:20.944 --> 03:13:24.304]  You do not know what you're doing, so don't do it.
[03:13:24.944 --> 03:13:26.944]  And they decided that they were going to do it.
[03:13:27.184 --> 03:13:34.944]  It wasn't, and this is the CDC's comment at the time, it wasn't because measles was a major killer, as they say now.
[03:13:35.584 --> 03:13:42.544]  It was because we have the technology to do it, to ensure the rapid eradication of measles.
[03:13:42.864 --> 03:13:44.464]  Well, that didn't happen either.
[03:13:44.784 --> 03:13:54.624]  Everything that they said is that, you know, one shot for life, rapid eradication of measles, no neurological injury from the vaccine.
[03:13:54.944 --> 03:13:55.824]  None of it was true.
[03:13:55.984 --> 03:13:59.984]  The vaccine can't be transmitted from a vaccinated to an unvaccinated disease.
[03:14:00.144 --> 03:14:00.784]  Yes, it can.
[03:14:01.104 --> 03:14:05.504]  So everything that public health came up with turned out to be false.
[03:14:05.824 --> 03:14:09.904]  And you threw this out, and I was on Joe Rogan's show years ago and said this, we'll pull up quickly.
[03:14:09.984 --> 03:14:10.944]  See if the crew can't.
[03:14:11.024 --> 03:14:13.584]  It varies from Australia to Europe to here, but it's basically the same.
[03:14:13.904 --> 03:14:15.344]  The graph always looks like this.
[03:14:15.664 --> 03:14:23.504]  Guys, type in drop in infectious disease, sanitation versus vaccination.
[03:14:23.664 --> 03:14:24.944]  Drop in infectious disease.
[03:14:26.224 --> 03:14:27.824]  Look at infectious disease mortality.
[03:14:28.144 --> 03:14:29.424]  Yeah, you tell me what the source.
[03:14:29.584 --> 03:14:29.744]  Go ahead.
[03:14:29.984 --> 03:14:37.104]  Okay, look at infectious measles mortality or infectious disease mortality over time.
[03:14:37.744 --> 03:14:40.064]  So, overhead shot, once they pull it up, you'll see this.
[03:14:40.144 --> 03:14:41.104]  It's basically the same overcover.
[03:14:41.264 --> 03:14:49.504]  So, here's 1900, and sanitation's coming in: better food, better nutrition, you know, not manure all in the streets, all the rest of it, or wash your clothes.
[03:14:49.824 --> 03:14:55.584]  And infectious disease goes like this, and you get to the 1940s, and then 50s shots start.
[03:14:55.744 --> 03:14:56.544]  It kind of goes like that.
[03:14:56.864 --> 03:14:57.904]  That's the graph.
[03:14:58.224 --> 03:15:02.704]  So, shots don't really start till about here, but then it goes back up.
[03:15:02.864 --> 03:15:04.784]  I mean, once you pull the graph, it basically follows that.
[03:15:04.944 --> 03:15:06.144]  I know you've seen it, Dr. Wakefeld.
[03:15:06.624 --> 03:15:07.104]  What is that?
[03:15:07.184 --> 03:15:09.344]  So, what made it do that before the shots come?
[03:15:09.504 --> 03:15:10.944]  Then, why did it go back up once the shots started?
[03:15:11.184 --> 03:15:11.664]  I didn't know that.
[03:15:12.064 --> 03:15:19.024]  See what the mortality, we're looking at mortality here, which is a very good measure of the seriousness of infection.
[03:15:19.344 --> 03:15:22.144]  The more serious it is, the greater the mortality rate.
[03:15:22.464 --> 03:15:28.144]  So, when we're looking at mortality from infectious disease, this is what many, many infectious diseases did.
[03:15:28.464 --> 03:15:33.184]  The mortality came down rapidly over the course of the 20th century.
[03:15:33.904 --> 03:15:35.424]  And what was it, the sanitation, the food?
[03:15:35.744 --> 03:15:36.704]  It was a whole host of it.
[03:15:36.784 --> 03:15:40.704]  There were two groups of things: it was viral-related and host-related.
[03:15:41.024 --> 03:15:49.984]  The host-related things were general things like better nutrition, better sanitation, better food, just better general health of the population.
[03:15:50.304 --> 03:15:55.664]  The virus-related things were things like it became less serious.
[03:15:55.824 --> 03:16:01.744]  It developed strains evolved that were less serious because they didn't want to kill their host.
[03:16:02.064 --> 03:16:09.104]  So when infections encounter man for the first time, often there's a very high mortality to begin with, and then it drops rapidly.
[03:16:09.264 --> 03:16:11.424]  And this happened with COVID as well.
[03:16:11.744 --> 03:16:17.424]  It became less and less of a serious condition over time, if it was ever a very serious condition.
[03:16:17.664 --> 03:16:26.544]  So that is just part of the equation between man and infectious agent that constitutes natural herd immunity.
[03:16:26.864 --> 03:16:31.024]  That should have been allowed to continue unabated and not interfere with.
[03:16:31.184 --> 03:16:33.104]  You cannot usurp nature.
[03:16:33.264 --> 03:16:35.184]  Nature will always exact a price.
[03:16:35.504 --> 03:16:43.184]  And the price is that what you're doing, the vaccine is putting more people at risk because they're not protected for life.
[03:16:43.504 --> 03:16:44.384]  What about with COVID?
[03:16:44.543 --> 03:16:56.972]  I don't know the scientific terms, but where you give an active pandemic, which it wasn't, but an infected population, the shot that then pressures the virus to evolve, and that gives rise to mutations.
[03:16:57.313 --> 03:16:58.233]  Well, this is absolutely...
[03:16:58.233 --> 03:16:59.093]  Oh, yeah, and they found it right here.
[03:16:59.333 --> 03:17:01.453]  Influencing pneumonia mortality rates.
[03:17:02.304 --> 03:17:02.624]  Yeah.
[03:17:02.944 --> 03:17:04.704]  So something similar, but that's a different graphic.
[03:17:04.784 --> 03:17:05.184]  Go ahead, sorry.
[03:17:05.344 --> 03:17:05.584]  That's right.
[03:17:05.904 --> 03:17:07.984]  So, sorry, what was the question again?
[03:17:08.704 --> 03:17:15.584]  Well, there's a lot of them, but you asked me, Emmy, what was the question?
[03:17:18.703 --> 03:17:19.384]  Oh, COVID.
[03:17:19.603 --> 03:17:23.663]  How did the COVID vaccines, I've been told by other scientists that it caused mutations that were bad.
[03:17:23.762 --> 03:17:23.882]  Right.
[03:17:23.904 --> 03:17:23.984]  Right.
[03:17:24.464 --> 03:17:28.544]  So let's just take the analogy of bacteria.
[03:17:29.664 --> 03:17:32.144]  Along come antibiotics, along come penicillin.
[03:17:32.464 --> 03:17:39.984]  Penicillin kills 95% of strains of a bacteria, but 5% are resistant.
[03:17:40.864 --> 03:17:46.544]  When the other 95% are out of the way, that 5% become the dominant species.
[03:17:46.864 --> 03:17:51.024]  The resistant bacteria become the dominant species and they take over.
[03:17:51.344 --> 03:17:54.464]  So you produce another antibiotic and it kills 95%.
[03:17:55.024 --> 03:17:58.944]  And then you've got 5% that are super dominant and so on and so forth.
[03:17:59.104 --> 03:18:00.784]  The same is happening for vaccines.
[03:18:01.104 --> 03:18:09.104]  So with the existing vaccines now, we're seeing emergent resistance, emergent strains of measles that are resistant to the current.
[03:18:09.504 --> 03:18:10.704]  So accelerating evolution.
[03:18:10.864 --> 03:18:11.264]  That's right.
[03:18:11.344 --> 03:18:12.384]  We are doing exactly that.
[03:18:12.544 --> 03:18:20.784]  We are putting a selection pressure on the virus to select mutations that get around the immunity that the vaccine produced.
[03:18:20.864 --> 03:18:21.984]  And that's what's happening.
[03:18:22.304 --> 03:18:25.584]  So this happened in an accelerated way with COVID.
[03:18:25.664 --> 03:18:30.064]  We all witnessed it, that we saw the evolution of different strains, multiple strains.
[03:18:30.384 --> 03:18:32.144]  For Pfizer, it was a godsend.
[03:18:32.384 --> 03:18:33.824]  They were creating it.
[03:18:34.144 --> 03:18:40.464]  They were the ones creating this genetic selection pressure with their so-called shot, but they were the ones who benefited.
[03:18:40.544 --> 03:18:43.744]  They said, we're going to have to have a new shot for each of these new strains.
[03:18:43.824 --> 03:18:46.864]  And by the way, beyond that, did you see the head of their mRNA group?
[03:18:47.184 --> 03:18:49.024]  People didn't believe it because he was 12 years old.
[03:18:49.264 --> 03:18:54.464]  James O'Keefe goes in and he says, no, we've already got new mutations on the shelf.
[03:18:54.784 --> 03:18:57.744]  We're going to release this new business model, which will be gained a function.
[03:18:57.904 --> 03:18:59.664]  But according to science I talked to, you don't even need that.
[03:18:59.744 --> 03:19:01.104]  It's going to cause any mutations.
[03:19:01.344 --> 03:19:01.504]  Yeah.
[03:19:01.984 --> 03:19:03.184]  Did you ever see that O'Keeffe interview?
[03:19:03.344 --> 03:19:03.744]  No, I didn't.
[03:19:03.824 --> 03:19:04.064]  I didn't.
[03:19:04.704 --> 03:19:08.624]  The head of Pfizer mRNA says, oh, we've already got them on the shelf.
[03:19:08.944 --> 03:19:09.184]  Yeah.
[03:19:10.624 --> 03:19:15.744]  This is just a job creation scheme for these people.
[03:19:15.904 --> 03:19:17.184]  They just go on making money.
[03:19:17.264 --> 03:19:19.104]  That's why it's got to be regulated properly.
[03:19:19.504 --> 03:19:20.624]  That's why it's got to stop.
[03:19:20.944 --> 03:19:25.104]  Well, the good news is until about two years ago, Fauci was really arrogant, trying to spew his bull.
[03:19:25.264 --> 03:19:26.224]  He hides now.
[03:19:27.184 --> 03:19:30.224]  Yeah, he's a busted flush.
[03:19:30.304 --> 03:19:33.424]  I mean, we've got a should there be accountability?
[03:19:33.664 --> 03:19:34.464]  Absolutely.
[03:19:34.784 --> 03:19:36.464]  But we've got more important things to do.
[03:19:36.544 --> 03:19:37.184]  We've got to move on.
[03:19:37.344 --> 03:19:40.624]  You know, the lawyers can take care of Tony Fauci.
[03:19:41.104 --> 03:19:42.864]  Well, you know who's most responsible.
[03:19:43.504 --> 03:19:49.264]  And I'm not going to say it's you because you've done more than probably anybody other than River Kovich Jr. or Dale Pigtree, but it's all of us.
[03:19:49.904 --> 03:19:51.584]  If you want to know who did this, look in the mirror.
[03:19:51.664 --> 03:19:52.704]  It's like a fever vendetta.
[03:19:52.864 --> 03:19:54.624]  He says, yeah, the government's corrupt.
[03:19:54.704 --> 03:19:55.424]  There's evil groups.
[03:19:55.744 --> 03:19:57.664]  We know who's really responsible.
[03:19:57.904 --> 03:19:59.024]  Just look in the mirror.
[03:19:59.344 --> 03:19:59.584]  Yeah.
[03:20:00.064 --> 03:20:02.224]  We do have to take personal responsibility for this.
[03:20:02.544 --> 03:20:03.424]  So many people are prepared.
[03:20:03.504 --> 03:20:05.504]  They just bury their heads, say, I don't want to hear about it.
[03:20:05.824 --> 03:20:07.504]  I don't want to talk about it over a family dinner.
[03:20:07.584 --> 03:20:08.864]  We're not discussing the vaccine.
[03:20:09.104 --> 03:20:09.664]  We're getting it.
[03:20:09.744 --> 03:20:10.464]  You're not getting it.
[03:20:10.624 --> 03:20:11.824]  Well, that's your choice.
[03:20:12.464 --> 03:20:13.344]  Good luck.
[03:20:13.664 --> 03:20:19.264]  And it's a very divisive thing, but the truth will emerge.
[03:20:19.424 --> 03:20:21.264]  And this is a classic example of that.
[03:20:21.424 --> 03:20:23.104]  The truth is now emerging.
[03:20:23.424 --> 03:20:26.544]  Well, we don't have a lot of heart disease in my family on both sides.
[03:20:26.864 --> 03:20:28.944]  And I'm not going to get into personal stuff because I don't want to know them.
[03:20:29.104 --> 03:20:36.944]  But there's one person in my pretty close family that demanded they go out and get Pfizer shots, got to.
[03:20:37.024 --> 03:20:41.664]  And they got kind of like a mild myocarditis.
[03:20:41.744 --> 03:20:44.464]  Now they have a heart arrhythmia.
[03:20:45.344 --> 03:20:49.424]  And now the doctors were telling them last week, well, maybe we'll do a catheter to fix it.
[03:20:49.504 --> 03:20:50.864]  It's just, I'm not a cardiologist.
[03:20:50.944 --> 03:20:55.744]  I just cannot believe like the what's the chances that the one person that took two shots has this?
[03:20:56.064 --> 03:20:58.144]  Yeah, well, it's now it's millions of people.
[03:20:58.304 --> 03:20:59.584]  We see it time and time again.
[03:20:59.904 --> 03:21:03.104]  So, yeah, it's it's it's been a nightmare.
[03:21:03.184 --> 03:21:09.344]  And it's taken people like Peter McCullough to bring proper scientific attention to this in a credible way.
[03:21:09.584 --> 03:21:10.544]  And I don't blame people that took it.
[03:21:10.624 --> 03:21:11.504]  They terrorized them.
[03:21:11.744 --> 03:21:12.544]  Yeah, they did.
[03:21:12.704 --> 03:21:13.264]  That's what they did.
[03:21:13.344 --> 03:21:14.864]  They operate on fear.
[03:21:15.504 --> 03:21:20.544]  And that's exactly how Tony Fauci achieved the end that he achieved.
[03:21:20.864 --> 03:21:30.384]  I can't tell you how many parents I've had in that chair and on video link who had healthy kids playing basketball, football, 13, 14, it's always boys.
[03:21:30.704 --> 03:21:33.104]  And man, they get that shot, boom, dead.
[03:21:33.424 --> 03:21:34.144]  Just bam.
[03:21:34.304 --> 03:21:39.984]  And I mean, and I noticed right before they rolled the shot out in Austin and in Phoenix, I was traveling around the country.
[03:21:40.304 --> 03:21:44.144]  They had billboards on buses saying heart attacks in kids is normal now.
[03:21:44.704 --> 03:21:47.984]  They even like pre-programmed it before they rolled it out.
[03:21:49.264 --> 03:21:49.664]  Wow.
[03:21:49.824 --> 03:21:51.104]  Have you seen the ads in Canada?
[03:21:51.264 --> 03:21:53.664]  Like heart attacks were normal in kids.
[03:21:53.984 --> 03:21:54.704]  Have you seen those?
[03:21:54.864 --> 03:21:56.464]  Well, I haven't, but what a disgrace.
[03:21:56.704 --> 03:21:57.904]  I mean, I don't watch that kind of thing.
[03:21:58.384 --> 03:21:59.744]  The thing is, it's the pre-programming.
[03:21:59.904 --> 03:22:00.064]  Yeah.
[03:22:00.704 --> 03:22:07.504]  Like, I'm no rocket scientist, but I know when I suddenly see billboards and things on buses, oh, heart attacks in kids is normal.
[03:22:08.144 --> 03:22:09.504]  Now, you know, something's wrong.
[03:22:09.824 --> 03:22:11.264]  People aren't buying it anymore.
[03:22:12.064 --> 03:22:13.104]  They've lost credibility.
[03:22:13.264 --> 03:22:14.144]  They're never going to get it back.
[03:22:14.304 --> 03:22:18.624]  Once you lose in public health, once you lose public trust, you'll never get it back.
[03:22:18.784 --> 03:22:19.984]  And the market will reflect that.
[03:22:20.464 --> 03:22:23.904]  Well, the last two Davos meetings were about regaining trust, but they don't.
[03:22:24.304 --> 03:22:24.944]  So what do they do?
[03:22:25.184 --> 03:22:25.584]  Too late.
[03:22:25.744 --> 03:22:26.224]  It's gone.
[03:22:26.544 --> 03:22:33.904]  It's gone because people like you and I will continue to point out the truth and reinforce the idea that they're not trustworthy.
[03:22:34.224 --> 03:22:35.424]  And their days are numbered.
[03:22:35.824 --> 03:22:36.384]  Look at that.
