[00:00:01.320 --> 00:00:03.700]  Other networks lie to you about what's happening now.
[03:04:59.209 --> 03:05:04.610]  That would also be a wedge against the Ottomans, who were seeking to get control of this region as well.
[03:05:05.110 --> 03:05:10.430]  Now, before that happens, though, there was the movements that Napoleon made, because Napoleon understood this as well.
[03:05:10.510 --> 03:05:12.290]  He wanted to get control of the Middle East.
[03:05:12.350 --> 03:05:15.629]  He wanted to wrest India from British control when it was a colony.
[03:05:16.610 --> 03:05:23.649]  And so a lot of the movements that Napoleon engaged in were geared towards this game as well, including his...
[03:05:24.569 --> 03:05:27.170]  Potential, perhaps, conversion to Islam.
[03:05:27.469 --> 03:05:32.270]  There was a period where Napoleon claimed to be somewhat of a convert, very interested in Islam.
[03:05:32.590 --> 03:05:36.909]  Other people think he was a Freemason and perhaps had been influenced by revolutionary philosophy.
[03:05:37.510 --> 03:05:39.850]  Who knows exactly what his intentions were.
[03:05:39.889 --> 03:05:46.190]  But we're going to notice as we look at a lot of these key spy characters that they do convert to Islam.
[03:05:46.329 --> 03:05:52.469]  But again, that might just be for spy geopolitical grifting psyops reasons.
[03:05:52.489 --> 03:05:58.209]  But regardless, Napoleon sought a lot of control of the region, but he ended up not getting it.
[03:05:58.269 --> 03:06:03.529]  He ended up being beaten out by the U.S. and by especially the U.K.
[03:06:03.529 --> 03:06:05.770]  And how was this done?
[03:06:05.930 --> 03:06:12.489]  What was the UK able to do to stop both Germany, Russia?
[03:06:13.600 --> 03:06:16.860]  And France from really having any control of the Middle East.
[03:06:17.000 --> 03:06:22.860]  Well, the first thing that they did, according to Meunier's analysis, was they made oil their number one priority.
[03:06:23.340 --> 03:06:28.959]  Oil becomes the key element in the entire great game throughout the Middle East.
[03:06:29.700 --> 03:06:39.440]  In the Middle East, as we said, as we know it, from Palestine to Persian India, all of this region is really established according to what the British Empire set up.
[03:06:40.780 --> 03:06:52.399]  And so all of these wars, all of these operations were able to be had due to sending out many of their spies under certain kinds of cover.
[03:06:52.879 --> 03:06:57.680]  And the number one cover that they really preferred to use was archaeology.
[03:06:57.959 --> 03:07:10.500]  So when you watch something like Indiana Jones and you watch him being an archaeologist, and if you watch the fourth installment of Indiana Jones, which wasn't a very good movie, but it did point out at the very beginning that...
[03:07:10.280 --> 03:07:11.219]  He was a spy.
[03:07:11.500 --> 03:07:17.860]  He tells when he's being interrogated, he says that he worked for the OSS, the predecessor to the CIA. But that's nothing new.
[03:07:17.959 --> 03:07:24.879]  That's actually the way that all these British imperial super spies operated during the turn of the last century.
[03:07:25.180 --> 03:07:30.479]  And so, for example, you have characters like T.E. Lawrence.
[03:07:30.879 --> 03:07:35.239]  Lawrence is one of the key figures who will play a major role.
[03:07:35.340 --> 03:07:38.000]  He's probably the most famous spy out of this whole time period.
[03:07:38.590 --> 03:07:45.629]  And he was the most famous of all of the British spies at this time, one of the most famous men in the world, in fact.
[03:07:46.250 --> 03:08:11.719]  And Lawrence is a really curious character because not only was he first recruited out of the history of being in the circles of the Royal Society and the Royal Institute for International Affairs, What's fascinating is that even non-conspiratorial texts like this just sort of historical intelligence analysis points out that it was the Rhodes-Milner Roundtable Group,
[03:08:11.840 --> 03:08:26.120]  the Fabian socialist elite set up by Cecil Rhodes and Lord Rothschild, that were the ones that recruited T.E. Lawrence to help go throughout the Middle East to pick certain tribes to be in charge, to carve it up, and they did this.
[03:08:26.459 --> 03:08:29.040]  Add the behest of what they call a, quote, new world order.
[03:08:29.159 --> 03:08:35.540]  That is the old world order of the British imperial structure based out of the British East India Company model of controlling the world.
[03:08:37.239 --> 03:08:50.139]  But the guy that was running all these operations in what they call the Arab Bureau for British Intelligence was a guy named David Hogarth, and he was a member of the Royal Institute for National Affairs, Rhodes Table Elite.
[03:08:50.360 --> 03:08:51.639]  He was a Roundtable member.
[03:08:52.809 --> 03:08:58.489]  And he saw a lot of promise in this young archaeologist named Thomas Edward Lawrence, T.E. Lawrence.
[03:08:58.489 --> 03:09:01.850]  If you've ever heard of Lawrence of Arabia, this is what we're talking about.
[03:09:02.270 --> 03:09:08.930]  Peter O'Toole placed him in the very famous movie, I think, that won many Academy Awards for cinematography, Lawrence of Arabia.
[03:09:09.309 --> 03:09:12.110]  Lawrence, of course, wrote the book Seven Pillars of Wisdom.
[03:09:13.569 --> 03:09:15.729]  And his job was really to...
[03:09:15.450 --> 03:09:18.610]  Do the work of the Royal Institute of International Affairs in the Middle East.
[03:09:18.969 --> 03:09:33.889]  And he, along with a couple other very important people, were sent under various covers, and they would do all kinds of wild operations, all kinds of anything, everything from assassinations, poisoning, to even sexpionage.
[03:09:34.149 --> 03:09:38.770]  In fact, T.E. Lawrence was famously a homosexual, and that worked very well.
[03:09:39.360 --> 03:09:50.920]  In a region where you might need to get dirt or information when homosexuality was, in many Muslim countries, at least on the books, illegal and immoral.
[03:09:51.299 --> 03:10:00.739]  And so this super spy was a kind of a gay Indiana Jones, if you want to put it that way, like running around doing all these operations.
[03:10:03.030 --> 03:10:08.989]  He worked together actually with a bunch of secret societies, believe it or not, that were set up all throughout the Middle East.
[03:10:09.209 --> 03:10:16.549]  And so the Masonic lodges that the British Empire had set up were very useful tools for British intelligence to use for various revolutions.
[03:10:16.909 --> 03:10:29.809]  Early on, they wanted to create a kind of pan-Arab nationalist conglomeration, but they realized that wasn't going to work because of so much factionalism amongst Islam and amongst the Middle Eastern world.
[03:10:30.370 --> 03:10:32.270]  And so then they decided to choose.
[03:10:35.379 --> 03:10:48.340]  And so Lawrence, for example, on all these journeys, while he was doing some archaeology, the primary job that he was doing for the Arab Bureau was reconnaissance and spying and looking for oil.
[03:10:49.059 --> 03:10:57.319]  And they would even tell the local tribespeople that they were looking for water when it was actually a mission to find oil.
[03:10:58.308 --> 03:11:04.367]  T. Lawrence wrote a book called The 27 Articles, which was a book on how to manipulate the Bedouin peoples.
[03:11:04.378 --> 03:11:08.738]  He had learned this through spending all the time and immersing himself in these various cultures.
[03:11:08.738 --> 03:11:11.967]  And it wasn't just Britain that was involved in this.
[03:11:11.978 --> 03:11:34.967]  It was also other spies were sent in, other gay spies were sent in, such as the French sending in a guy named Louis Monsignor, who was another gay spy master, worked with the French, who was involved in immersing himself in the Sufi orders and the Sufi mystical who was involved in immersing himself in the Sufi orders and the Sufi mystical sects and touching butts amongst the Sufis to try to
[03:11:37.040 --> 03:11:52.000]  And then, of course, we have the drama historically between Palestine and the Israeli settlers who were told by the British Empire that they should relocate to Palestine and colonize that region.
[03:11:52.399 --> 03:11:56.979]  To set up the Zionist state of Israel after the Balfour Declaration.
[03:11:57.340 --> 03:12:04.559]  But what's interesting is that it's very difficult to tell amongst these super spies what their positions really were.
[03:12:04.700 --> 03:12:10.739]  For one, they were at the behest of the Royal Society, the Royal Institute for National Affairs, the British imperial structure.
[03:12:11.219 --> 03:12:19.139]  And at the same time, they seem to, in many cases, have really loved the Arab people and have become Arabophiles, I guess you could say.
[03:12:19.760 --> 03:12:29.059]  And some of them even supposedly convert to Islam, as we'll see with St. John Philby, who is the father of the famous Cambridge Soviet defector, Kim Philby.
[03:12:30.040 --> 03:12:32.040]  He converts to Wahhabism.
[03:12:32.200 --> 03:12:39.979]  He becomes a Salafist, a person who aids in setting up the Saudi Arabian structure.
[03:12:39.979 --> 03:12:48.260]  And he basically crowns the Saudis, Ibn Saud, as the British puppet in Saudi Arabia.
[03:12:49.780 --> 03:13:03.420]  But after all of these exploits and all these operations that Lawrence had done, he was unable to really solve the issue between Muslims or Palestinians and Jewish settlers.
[03:13:03.680 --> 03:13:13.000]  And so this became a very difficult, testy situation because many of the super spies were, as we said, Arabists, and they were not for the Balfour Declaration.
[03:13:13.260 --> 03:13:17.239]  So this caused a split amongst the elite British power structure.
[03:13:17.360 --> 03:13:18.700]  In fact, I did a whole fourth hour.
[03:13:19.049 --> 03:13:27.530]  About a year ago on the complicated history of the establishment of the nation-state of Israel after the Balfour Declaration.
[03:13:28.989 --> 03:13:45.309]  But Lawrence wrote his book, Seven Pillars, dedicated to an anonymous character named S.A. It's not exactly clear who S.A. was, but many people theorize that S.A. was a spy that he worked together with named Sarah Aronson,
[03:13:45.389 --> 03:14:03.430]  who was a member of a Jewish spy network known as the NILI. It worked together with British intelligence and was killed by the Turks in 1917. But what's not widely known is that there were many amongst the early stages of what was prior to the Mossad.
[03:14:03.489 --> 03:14:06.750]  This is the history of the Irgun and the Stern gang and others.
[03:14:08.510 --> 03:14:25.239]  There was a split amongst some of them who were anti-British and did not want to be under British rule and actually sided with Germany, believe it or not, by the time of World War II. And so by this time, it appears that Lawrence, at least publicly, had become more and more in the vein of being very pro-German.
[03:14:25.559 --> 03:14:31.860]  But was this just part of the Royal Society of the Roundtable's high-level machinations?
[03:14:32.079 --> 03:14:39.920]  He had become very close with Oswald Mosley and very, very close friends with George Bernard Shaw, who I think also might have had Skittles' tendencies.
[03:14:40.100 --> 03:14:41.540]  So maybe they were more than just friends.
[03:14:42.409 --> 03:14:56.629]  But he was so anti-communist that he felt like it was necessary to be pro-German, which again is interesting because he also seems to be very pro-Zionist at times, yet he was opposed to the Balfour Declaration.
[03:14:56.989 --> 03:14:59.729]  So how do we make sense of these contradictory actions?
[03:14:59.950 --> 03:15:09.969]  Well, spies are servants to a bigger power, a bigger elite, and that's who they answer to, and so their actions might actually be consistently contradictory.
[03:15:11.959 --> 03:15:15.280]  This is all set up by the British Empire and its imperial structure.
[03:15:15.719 --> 03:15:17.500]  It's not being done organically.
[03:15:17.500 --> 03:15:24.840]  It's being done by an intentional series of machinations and events, done by assassinations, by false flags.
[03:15:25.399 --> 03:15:31.520]  In fact, British intelligence would come in and just have giant bags of money or gold that they would hand to the various tribal leaders to buy them off.
[03:15:31.659 --> 03:15:35.799]  The exact same thing that the CIA has famously done all throughout the Middle East as well.
[03:15:37.440 --> 03:15:40.600]  It's very well known that this was done in Afghanistan.
[03:15:41.319 --> 03:15:44.020]  In terms of Hamid Karzai and so forth.
[03:15:44.180 --> 03:15:45.860]  So nothing new here.
[03:15:46.059 --> 03:15:51.979]  Really, the American empire just picks up right off where the British empire left off.
[03:15:52.079 --> 03:16:02.540]  So as the British empire declines, as we get the rise of the American imperium, as the UK goes bankrupt, especially after decades of Labour Party socialist policies.
[03:16:02.680 --> 03:16:05.440]  In fact, when the Labour Party got in control...
[03:16:05.639 --> 03:16:14.360]  I think in the 40s and 50s, as I recall, they instituted the Social Security policies for the UK and literally bankrupted the country.
[03:16:14.700 --> 03:16:23.739]  And so Social Security was a socialist policy that Labor Party introduced to the UK based on what FDR had done in America.
[03:16:23.739 --> 03:16:33.379]  And they had to get bailed out by the U.S., by the West, by American interest in order to prop up the British government, which had completely failed.
[03:16:33.379 --> 03:16:40.379]  So you notice that labor seems to have a consistent, destructive, it's almost like an earlier version of Cloward and Piven.
[03:16:40.379 --> 03:16:46.298]  By design, they're able to destroy the country to put it into more and more social technocratic control.
[03:16:46.298 --> 03:16:47.539]  That's the ultimate design.
[03:16:47.539 --> 03:16:52.739]  We'll get to how we get from British imperial machinations to technocratic socialist control.
[03:16:52.739 --> 03:16:54.979]  control when we come back from this break.
[03:16:54.979 --> 03:16:55.930]  This is This is the Alex Jones Show.
[03:16:56.010 --> 03:16:56.389]  Don't go anywhere.
[03:16:56.450 --> 03:16:58.049]  I'm your guest host, Jay Dyer of Jay's Analysis.
[03:16:58.779 --> 03:17:01.780]  Ladies and gentlemen, Ultimate Turmeric is back in stock.
[03:17:01.920 --> 03:17:09.319]  Now, this concoction of turmeric is amazing and extremely bioavailable because it's loaded with ginger root and black pepper extract.
[03:17:09.479 --> 03:17:12.299]  Now, you might remember Brain Force Plus or Brain Force Ultra.
[03:17:12.299 --> 03:17:20.440]  We loaded that capsule with black pepper extract to ensure that it was as bioavailable as possible, and we used the same exact approach with Ultimate Turmeric.
[03:17:20.558 --> 03:17:28.277]  Now, if you're somebody who loves bodies, wants to fight for your joint health and fight against inflammation, then Ultimate Turmeric gummies are an amazing solution for you.
[03:17:28.277 --> 03:17:30.768]  Not only are they delicious, but they benefit your health.
[03:17:30.808 --> 03:17:32.798]  Now, I'm somebody who struggles with inflammation.
[03:17:32.817 --> 03:17:43.068]  After I spent some time at Eagle Pass, I could hardly walk because my ankle was so swollen from walking around the border and catching what the New World Order was sponsoring in terms of the invasion of our country by these migrants.
[03:17:43.077 --> 03:17:44.847]  Countless millions of migrants.
[03:17:44.858 --> 03:17:49.097]  Please go to thealexjonesstore.com and experience the benefits of Ultimate Turmeric right now.
[03:17:49.318 --> 03:17:58.518]  Not only because it's amazing for your health and inflammation and your joints, but because by doing so, you're keeping InfoWars on the air, fighting for this crew, and ensuring that Alex Jones will always be on the air.
[03:17:58.558 --> 03:18:00.438]  Welcome back to the fourth hour of the Alex Jones Show.
[03:18:00.450 --> 03:18:02.149]  I'm your guest host, Jay Dyer of Jay's Analysis.
[03:18:02.389 --> 03:18:08.450]  We're covering Giles Meunier's excellent book, Black Gold Spies, about the history of British intelligence.
[03:18:08.729 --> 03:18:16.709]  And this fueled much of World War I and World War II was the divvying up of these regions for control of this important natural resource.
[03:18:17.350 --> 03:18:26.110]  Next, I want to talk about a woman who was a wild and fascinating character that you wouldn't expect would be successful in these operations throughout this region.
[03:18:27.280 --> 03:18:47.260]  You can see how adept British intelligence was when it came to these kinds of operations, especially in terms of embedding their operatives in the local cultures, even in the point of supposedly converting and becoming fully Salafi, fully Wahhabi, or what have you.
[03:18:47.500 --> 03:18:50.219]  This is the figure known as Gertrude Bell.
[03:18:51.100 --> 03:18:55.409]  She was the daughter of Very wealthy people.
[03:18:55.610 --> 03:18:59.649]  She was very intelligent and had studied at Oxford.
[03:19:00.909 --> 03:19:05.750]  And I believe she's the first woman to get a degree in modern history from Oxford.
[03:19:06.069 --> 03:19:22.989]  And she decided that she wanted to go to Tehran in 1892. And there she studied and learned Farsi and mastered the poetry of medieval Sufi poets like Hafez.
[03:19:23.420 --> 03:19:31.940]  So, again, very odd actions for a female of the Victorian period, very against her nature.
[03:19:32.020 --> 03:19:35.219]  And you might think that she would be some sort of proto-feminist.
[03:19:35.360 --> 03:19:39.739]  Maybe in her actions she was, but at least in her own beliefs she was not.
[03:19:39.920 --> 03:19:51.100]  In fact, she had a tremendous love for the Bedouins, for the Muslims, for the Arabs, the people of this region, as well as the Iranians.
[03:19:53.409 --> 03:19:57.190]  She would be better off if she could travel and do archaeology.
[03:19:57.690 --> 03:20:07.450]  And it was here that she encountered this other super spy handler by the name of David Hogarth, the very guy that was the operative and recruiter of T.E. Lawrence.
[03:20:07.770 --> 03:20:21.750]  So Hogarth recruits her as well and decides that she might be perfect to send throughout the Middle East, all the way up into Syria and Iraq, to do archaeology.
[03:20:22.239 --> 03:20:26.659]  Now, what's fascinating is that she actually did do a lot of archaeology and historical research.
[03:20:26.860 --> 03:20:31.340]  She went and studied at former ancient Hittite capital cities.
[03:20:32.139 --> 03:20:40.420]  She wrote various texts that became kind of manuals for people studying and going throughout this region.
[03:20:41.159 --> 03:20:43.899]  And she even was the beard to T.E. Lawrence.
[03:20:44.120 --> 03:20:47.979]  Lawrence, who was gay, as we said, didn't want to be known as gay throughout the Middle East.
[03:20:48.159 --> 03:20:55.639]  And so she was kind of hanging around him in many instances, pretending to be his woman.
[03:20:56.739 --> 03:21:07.979]  But of course, she herself, I don't think she ever married and never found what she was looking for in a man because she was doing male men type operations in the Victorian era.
[03:21:08.540 --> 03:21:14.219]  In the Middle East, and so she just never was ever, she was doomed to never find a husband.
[03:21:14.620 --> 03:21:18.600]  She fell in love, I think, with a married British soldier, and that never worked out.
[03:21:19.899 --> 03:21:29.040]  But she was able to travel all throughout the Middle East, and for British intelligence at that time, record the family trees of many of the tribes.
[03:21:29.379 --> 03:21:31.700]  And so she was very adept at this.
[03:21:31.899 --> 03:21:32.780]  She figured out...
[03:21:33.680 --> 03:21:49.020]  All kinds of secrets, all kinds of information about oil fields throughout the Middle East, and was able to report back to the Aero Bureau and David Hogarth about all kinds of intelligence that was able to make London successful all throughout this region.
[03:21:49.329 --> 03:21:55.239]  And she worked together, for example, with T.E. Lawrence to oppose French intelligence and French operatives.
[03:21:55.239 --> 03:22:06.389]  And the game was all about getting the Mosul oil fields as well as appointing who would be the puppet rulers of Iraq and Saudi Arabia.
[03:22:06.399 --> 03:22:11.629]  Now, there's a movie that was recently – I didn't know this until I was reading this book, and I looked her up.
[03:22:11.639 --> 03:22:18.459]  There was a movie where Nicole Kidman plays her, which is interesting because, I mean, this woman looks absolutely nothing like Nicole Kidman.
[03:22:19.260 --> 03:22:22.700]  She looks more like, I don't know, Nicole Kidman's dad or something.
[03:22:22.840 --> 03:22:27.079]  She doesn't look at all like she would be some Hollywood A-lister.
[03:22:27.799 --> 03:22:29.700]  The movie did not get very good reviews.
[03:22:29.780 --> 03:22:34.479]  It is worth watching if you find this kind of history fascinating, kind of like Lawrence of Arabia.
[03:22:34.659 --> 03:22:40.079]  But she ends up being the eyes of British intelligence throughout Mesopotamia.
[03:22:40.500 --> 03:22:43.520]  She was also famously opposed to the Balfour Declaration.
[03:22:43.520 --> 03:22:54.940]  She had become very fascinated with all the various tribes and Arab peoples and wanted them to have a legitimate place within the British Empire.
[03:22:55.950 --> 03:23:01.950]  In a way to maintain their independence and yet be within the Imperium.
[03:23:02.389 --> 03:23:07.549]  And she, for example, participated in how to rig elections.
[03:23:07.790 --> 03:23:16.290]  She and T.E. Lawrence and the Arab Bureau were already rigging elections throughout the Middle East during this time period to ensure that the candidates that the British Empire wanted elected were elected.
[03:23:18.890 --> 03:23:24.069]  But what's fascinating is that she played a huge role in divvying up Syria and Iraq.
[03:23:24.069 --> 03:23:27.569]  In fact, she's one of the key people who helps to create Iraq.
[03:23:28.069 --> 03:23:39.209]  And this is at the behest of Dutch Royal Dutch Shell and a man named Henry Detering, who was, I think, the chairman of Royal Dutch Shell at that time.
[03:23:39.370 --> 03:23:42.170]  He was also a big supporter of Hitler.
[03:23:42.188 --> 03:23:50.328]  So Henry Detterning was a funder, even though he was a huge player in the British establishment during this time period.
[03:23:50.328 --> 03:23:57.568]  He put all kinds of money and support and ammunitions and so forth into Hitler during this time period.
[03:23:57.568 --> 03:24:11.948]  But in October of 1920, Gertrude Bell achieved her life goal, I guess you could say, of creating the nation state of Iraq together with British intelligence.
[03:24:12.590 --> 03:24:30.129]  And in 1920, British intelligence operative Sir Percy Cox, together with St. John Philby, announced the creation of the nation of Iraq in October 1920. So perhaps some of you thought that Iraq was some ancient nation.
[03:24:30.270 --> 03:24:30.569]  No, no, no.
[03:24:30.670 --> 03:24:40.850]  It had to do with the British Empire and the oil companies that were working together with the British Empire from America and from the UK and other countries, too.
[03:24:41.899 --> 03:24:45.319]  Carve up this region for those interests.
[03:24:45.700 --> 03:25:07.879]  In fact, in 1921, there was a conference called the Cairo Conference, where Winston Churchill, who was at that time Secretary of the State, this is obviously prior to World War II, organized this Cairo Conference where 40 experts in the Middle East came, including Gertrude Bell, Sir Percy Cox, Arnold Wilson, T.E. Lawrence, Kenan Cornwallis, all British intelligence, as well as many others.
[03:25:08.239 --> 03:25:11.360]  And it was dubbed the Conference of 40 Thieves.
[03:25:11.799 --> 03:25:21.680]  Because it was the personal triumph for Gertrude Bell and the Western oil interest to carve up the Middle East, according to British imperial designs.
[03:25:21.780 --> 03:25:28.639]  And it's also where they decided that King Faisal would be the ruling monarch that would be the puppet of the British Empire.
[03:25:28.860 --> 03:25:41.180]  This was really the purpose of the League of Nations at this time, was to try to create a balance there between Jews and Arabs in this region at the behest of the British Empire.
[03:25:41.559 --> 03:25:41.940]  Why?
[03:25:42.139 --> 03:25:44.100]  Because they love people, because they care about people.
[03:25:44.200 --> 03:25:46.340]  No, it's because of the control of oil.
[03:25:47.360 --> 03:25:53.899]  So you'll note that throughout this time, it's not just archaeologists that are the spies.
[03:25:54.079 --> 03:25:59.299]  There's also many religious spies, many priests, many missionaries are operating under spy cover.
[03:25:59.440 --> 03:26:04.719]  Oh, we're just here to scope out the region and write my book, but you're actually reporting back to British intelligence.
[03:26:05.040 --> 03:26:07.579]  And many academics were spies at this time.
[03:26:08.719 --> 03:26:20.139]  And so, curious though, just like the character of T.E. Lawrence, who met a suspicious death in a motorcycle accident, Gertrude Bell also supposedly kills herself.
[03:26:21.139 --> 03:26:25.180]  So these spies don't end up in a good situation.
[03:26:25.659 --> 03:26:32.479]  And whether she killed herself or was assassinated, it's not exactly known, but at least we think she killed herself.
[03:26:32.659 --> 03:26:35.780]  And that could have been because she never found a true...
[03:26:37.920 --> 03:26:40.659]  She kind of lived like a man her whole time.
[03:26:40.819 --> 03:26:42.120]  It's almost like there's a pattern here.
[03:26:42.840 --> 03:26:47.860]  It's a bunch of compromised gay spies that are setting up the entire modern world.
[03:26:48.000 --> 03:26:49.559]  I mean, economics as well.
[03:26:49.659 --> 03:26:57.020]  John Maynard Keynes was also a gay guy who really set up most of modern economic structures that we have in terms of Keynesianism.
[03:26:58.020 --> 03:27:04.540]  But a lot of people don't know that at the same time as the 1930s comes into play here, there is the 1933 Havara Agreement.
[03:27:05.979 --> 03:27:10.040]  Hitler aids in Jews being moved to Palestine.
[03:27:10.399 --> 03:27:15.420]  Hitler was actually pro the exportation of Jews to Palestine.
[03:27:15.420 --> 03:27:20.319]  He had no problem with a Jewish homeland, and he wanted that so that Jews would leave Germany.
[03:27:20.819 --> 03:27:23.120]  Not many people know about that Havara Agreement.
[03:27:23.120 --> 03:27:33.020]  It's called the Transfer Agreement of 1933. It was signed by Samuel Cohen, a citrus exporter who helped settle Jewish immigrants in Palestine, and Heinrich Wolff.
[03:27:33.469 --> 03:27:38.690]  The German consul in Jerusalem underneath Tiny Mustache Man.
[03:27:39.270 --> 03:27:49.190]  But this led to, again, a split amongst the Jews of more combative means, shall we say, the Oregon, the Stern Gang, and the Haganah.
[03:27:49.590 --> 03:27:52.930]  Some of them favored British rule, while some of them favored German rule.
[03:27:53.930 --> 03:28:03.489]  Hitler also decided that in order to fend off British influence in these regions, he would have to make an alliance with as many Arabs and Muslims as he could.
[03:28:03.509 --> 03:28:13.638]  This is why you get Hitler, for example, meeting with the Grand Mufti of Jerusalem, who I think F. William Ingdahl suspects was himself British intelligence.
[03:28:13.689 --> 03:28:18.569]  Haj Amin al-Husseini, if you ever look him up, he looks like Ryan Gosling.
[03:28:18.569 --> 03:28:22.629]  Perhaps Ryan Gosling in a previous life was the Grand Mufti of Jerusalem.
[03:28:22.829 --> 03:28:23.969]  I mean, they look spitting image.
[03:28:26.300 --> 03:28:35.920]  This perhaps has led some people to think that Hitler may have been all along kind of goaded on and used by the British Empire, perhaps even might have been a British agent.
[03:28:36.420 --> 03:28:47.420]  I don't know if it's totally that extreme, but the reason people say this is because there were so many things that Hitler did that he failed to, for example, seize the Suez Canal when he had a chance to.
[03:28:48.059 --> 03:28:52.639]  And he also initiated Directive 32, which would have dealt a fatal blow.
[03:28:53.770 --> 03:28:57.409]  To the British had he done it correctly, but he didn't.
[03:28:57.629 --> 03:29:05.350]  And so you get these very powerful Dutch Royal Shell operatives.
[03:29:05.530 --> 03:29:17.930]  You get people like Captain Vivian Starler, I think is his name, who with Detterding, as we said, from Shell, were big supporters and funders of Hitler.
[03:29:18.930 --> 03:29:25.010]  So in other words, a lot of what's going on in this time doesn't make sense in terms of Hitler's actions.
[03:29:25.069 --> 03:29:31.690]  Now, he could have just had a lot of strategic failures, but his failures just seem to consistently aid the British Empire.
[03:29:32.209 --> 03:29:55.379]  And together with, when you read Quigley, I think it's page 1049 of Tragedy and Hope, Quigley says that the Bank of England is who gave Hitler tremendous amounts of money, and it was run at that time by one of the Western, I think it was, he says, Somebody like Dulles or somebody had some role in the Bank of England, maybe Schroeder Bank or something like that.
[03:29:55.459 --> 03:29:56.100]  I'm going from memory.
[03:29:56.260 --> 03:30:03.319]  But the point is that Western power and Western money and influence aided Hitler to come to power, including the Bank of England.
[03:30:04.440 --> 03:30:12.799]  Quigley also has an entire chapter where the British continued to give Hitler funding throughout this time period of when they were telling him to take Poland.
[03:30:13.000 --> 03:30:13.379]  It's called...
[03:30:15.059 --> 03:30:23.020]  He was given, I think, $2 billion worth of Czech gold by the British, which signifies that the British were wanting him to do these actions.
[03:30:23.200 --> 03:30:30.680]  And then, of course, they turned their back on him if he was, in fact, not a British plan the whole time.
[03:30:32.959 --> 03:30:38.659]  So you have this fissure, as we said, amongst the pre-Massad groups.
[03:30:38.840 --> 03:30:40.659]  There was the Stern Gang, which was pro-German.
[03:30:41.100 --> 03:30:46.000]  And there was Yitzhak Shamir, which was pro-German, and then other members, the Haganah, were not.
[03:30:46.180 --> 03:30:55.180]  They were favoring either to overthrow British rule, hence you get the King David Hotel bombing, or they wanted to be completely independent.
[03:30:56.059 --> 03:31:09.129]  But regardless, this is what caused Hitler's downfall, because as he moved into Stalingrad, at the Battle of Stalingrad, He lost this battle because this was where he wanted the oil of the Caucasus region.
[03:31:09.370 --> 03:31:12.790]  If he could gain that oil, he could conceivably win the war.
[03:31:13.229 --> 03:31:22.250]  And it's precisely at this point that there was Operation Valkyrie, which is Count Klaus von Stauffenberg, as well as others who attempted to assassinate Hitler right at this time.
[03:31:22.409 --> 03:31:25.610]  If you've seen the Tom Cruise movie, Valkyrie, it is about this event.
[03:31:25.989 --> 03:31:32.649]  But Hitler did not succeed in getting the Baku oil fields, and in fact, he lost the Battle of Stalingrad, which cost him the war.
[03:31:33.239 --> 03:31:40.979]  But at this time, there were many spies throughout the Middle East, including many proficient German spy networks.
[03:31:41.319 --> 03:31:48.819]  There was Count Laszlo Almasi, who was the basis for the character that Ralph Fine plays in the movie The English Patient.
[03:31:49.180 --> 03:31:53.979]  And there was another half-German, half-Egyptian character named Gaffar John Epler.
[03:31:54.260 --> 03:31:58.979]  They were both members of the Aver, which was Hitler's spy network throughout the Middle East.
[03:31:59.180 --> 03:32:01.420]  And again, all of the spying was about oil.
[03:32:02.319 --> 03:32:03.040]  All of it.
[03:32:03.700 --> 03:32:33.519]  And in the case of Count Laszlo, I believe, or no, it's in the case of, excuse me, Epler, he failed because he was seduced by a Jewish prostitute named Yvette who was working for the Jewish agency, And she gave all of his bedroom secrets to the allies, whereas Rommel was relying upon Almasi and Epler for information, as well as relying on a belly dancer named Hekmat Fahmi,
[03:32:33.519 --> 03:32:45.510]  who would sleep with the British officers and give intelligence to Rommel who would sleep with the British officers and give intelligence to Rommel that they would spill in their So both sides were utilizing sex espionage here to try to win the war.
[03:32:45.520 --> 03:32:49.100]  But ultimately, Hitler's networks were not successful.
[03:32:49.379 --> 03:32:52.299]  There were also many French spy networks that were set up.
[03:32:52.179 --> 03:33:04.158]  In fact, some of the characters that the French used were just as wild and devious and adventurous as the other British spies that we know about.
[03:33:04.158 --> 03:33:07.308]  There was a woman named Marguerite d'Andorraine.
[03:33:07.318 --> 03:33:13.209]  She was a French operative who would basically go around the Middle East, sleep with everybody, and then poison them.
[03:33:13.218 --> 03:33:16.849]  She had a fake Islamic conversion and a fake Islamic marriage.
[03:33:18.349 --> 03:33:23.498]  But ultimately, she ended up being killed because she supported the Palestinians.
[03:33:23.498 --> 03:33:34.558]  And the idea was that her yacht guardian and a guy named Hans Abel, who was pro-Jewish, perhaps assassinated her.
[03:33:34.558 --> 03:33:45.929]  So ultimately, even with all the same skullduggery and techniques that the British had, the French and the Germans were not able to succeed in order to do it.
[03:33:45.930 --> 03:33:53.649]  In fact, there was a famous French spy, I think his name was Conrad, not Joseph Conrad, a different character.
[03:33:54.549 --> 03:33:58.690]  He actually did discover a lot of oil.
[03:33:59.370 --> 03:34:04.649]  But British intelligence was successful in cutting off his information, getting back to London.
[03:34:04.889 --> 03:34:10.709]  And so even though the French did discover, through their reconnaissance, through their spies, many places of oil.
[03:34:10.930 --> 03:34:13.090]  Conrad Killian is his name.
