# Transcription model: large-v3-turbo
[00:00:05.099 --> 00:00:06.759]  You're now entering.
[01:46:57.250 --> 01:46:59.130]  And thank God for it, we wouldn't have civilization.
[01:47:02.710 --> 01:47:10.829]  Now, I'm going to have a short little break of some great promos we put together that have gone super viral.
[01:47:11.590 --> 01:47:15.930]  And then I'm going to come back and get into mental illness.
[01:47:17.800 --> 01:47:23.260]  The fact that it's super entertaining, but I should do a poll on X tomorrow.
[01:47:23.560 --> 01:47:24.800]  I want to talk about this again.
[01:47:25.340 --> 01:47:29.039]  Should I have all these people on?
[01:47:29.439 --> 01:47:34.800]  Because it's super entertaining.
[01:47:35.699 --> 01:47:45.300]  But also, we can't just make fun of the left and people that serve the establishment and all their delusions believing too many can have a baby and that, you know, carbon is bad.
[01:47:45.579 --> 01:47:46.859]  And that carbon dioxide is bad.
[01:47:46.939 --> 01:47:47.600]  We should cut down trees.
[01:47:47.920 --> 01:47:58.380]  We should also, though, look at the whole kind of Q-ish thing and just all those other genres of delusion and address it.
[01:47:59.680 --> 01:48:07.939]  Because there are a lot of people waking up now and some of them get sucked in to the fact that, oh my God, everything was a lie from the globalists.
[01:48:08.159 --> 01:48:12.720]  But that doesn't mean then that there aren't good people at every level of society.
[01:48:12.880 --> 01:48:22.329]  And it certainly doesn't mean that the people That are recognized and under massive globalist attack that, oh, no, no, no, no, no, no, no.
[01:48:22.430 --> 01:48:25.409]  The people that helped expose this, the people that are under attack, they're not real.
[01:48:25.890 --> 01:48:27.449]  Only I am real.
[01:48:28.250 --> 01:48:32.869]  And so we got some examples of that coming up that are pretty entertaining.
[01:48:33.050 --> 01:48:39.789]  But I'm on the edge whether I should get into this kind of stuff, but I have a tendency, if I'm going to go into it, go whole hog.
[01:48:40.770 --> 01:48:42.470]  Because this stuff will all be super viral.
[01:48:42.720 --> 01:48:49.140]  I mean, look, I could get Kanye West back on the show, but then I'm kind of like, you know, I guess if he offers or something, I would do it.
[01:48:49.220 --> 01:48:52.020]  But then it kind of becomes a carnival thing.
[01:48:52.720 --> 01:48:58.340]  But I realized one reason I was so successful decades ago is I had fun about 10% of the time.
[01:48:58.520 --> 01:49:00.039]  I really don't do that anymore, do I?
[01:49:00.640 --> 01:49:01.800]  Maybe like 1% of the time.
[01:49:01.979 --> 01:49:07.859]  So I've just been thinking about the broadcast and making it even better.
[01:49:09.600 --> 01:49:11.680]  And God, look how fat I was there.
[01:49:13.479 --> 01:49:14.399]  Oh, my God.
[01:49:14.539 --> 01:49:15.640]  That's where they replaced me with a clone.
[01:49:16.239 --> 01:49:20.460]  So we're going to go to break and come back with this absolutely hilarious stuff.
[01:49:36.100 --> 01:49:45.840]  us.
[01:49:45.868 --> 01:49:50.247]  I was saved by God to make America great again.
[01:49:50.247 --> 01:49:56.278]  Oh God, please, won't you help me make it through?
[01:49:56.288 --> 01:49:58.788]  In the end, they're not coming after me.
[01:49:58.788 --> 01:50:01.788]  They're coming after you, and I'm just standing in their way.
[01:50:01.788 --> 01:50:06.288]  Yeah, here come the rooster.
[01:50:06.288 --> 01:50:15.948]  Yeah. No, he ain't gonna die.
[01:50:15.948 --> 01:50:24.807]  No, no, no.
[01:50:24.807 --> 01:50:29.448]  No, he ain't gonna die.
[01:50:29.448 --> 01:50:35.088]  1776! 1776!
[01:50:35.088 --> 01:50:38.028]  This is Code Red.
[01:50:38.028 --> 01:50:39.938]  I am ringing the alarm bell.
[01:50:39.948 --> 01:50:42.028]  We don't know what all they have on us.
[01:50:42.028 --> 01:50:58.358]  We don't know what all
[01:50:58.358 --> 01:51:12.009]  they have on us.
[01:51:12.009 --> 01:51:27.527]  We don't know what all they have on
[01:51:27.527 --> 01:51:30.307]  us.
[01:51:30.319 --> 01:51:35.259]  If somebody's going to try to blackmail me with advertising, blackmail me with money, go fuck yourself.
[01:51:35.259 --> 01:51:48.939]  1776! 1776!
[01:51:48.939 --> 01:52:07.059]  1776! They want to take away my freedom,
[01:52:07.059 --> 01:52:09.938]  because I will never let them take away your freedom.
[01:52:17.938 --> 01:52:25.258]  The real war is here, with the globalists, and Soros, and Obama, and the New World Order, and BlackRock.
[01:52:25.258 --> 01:52:28.819]  They've declared war on us, and we accept the challenge!
[01:52:28.819 --> 01:52:30.578]  We're taking the country back!
[01:52:46.939 --> 01:52:50.178]  A Monday warrior, mean, mean, stride.
[01:52:50.178 --> 01:52:52.978]  Today's Tom Sawyer, mean, mean, dry.
[01:52:52.978 --> 01:52:56.618]  All right.
[01:52:56.618 --> 01:53:00.959]  Here at the end of this special Saturday transmission from the Alex Ships Network,
[01:53:01.800 --> 01:53:18.800]  I want to talk about the great awakening that I predicted decades ago would be here and the fact that I explained that when we started to win, a lot of people wouldn't be able to believe it because the devil's greatest trick is convincing the world that good doesn't exist.
[01:53:18.979 --> 01:53:21.539]  His second biggest trick is convincing the world he doesn't exist.
[01:53:22.979 --> 01:53:27.680]  And so there are a lot of people that have just been waking up.
[01:53:28.880 --> 01:53:36.960]  And then, because the globalists, the corporate media lied about all this stuff that we've been exposing, they then think everything else isn't real.
[01:53:37.060 --> 01:53:38.359]  They think the world's flat.
[01:53:39.920 --> 01:53:40.840]  There's different groups.
[01:53:41.000 --> 01:53:50.460]  They think everything's perfectly fine, the Q thing, and Trump was going to win in 2020, and Biden was going to be executed on the inaugural stage.
[01:53:51.680 --> 01:53:57.640]  And they, you know, a few years ago, like a thousand people went to Dealey Plaza in Dallas.
[01:53:57.800 --> 01:54:07.340]  They thought that JFK Jr. was going to appear, and then when it doesn't happen, they feel like fools, and they're being manipulated by different globalist tentacles.
[01:54:07.619 --> 01:54:15.699]  And a lot of the white supremacist groups out there, it's turned out, have been funded by the ADL and other groups out there to make any criticism of Israel look illegitimate.
[01:54:16.319 --> 01:54:25.079]  That's why the ADL and all these groups attack me, because I'm going after the policies that bad groups like them are pushing, and it's a big tent, and everybody can get behind it.
[01:54:27.620 --> 01:54:33.100]  When I pick this out, this is just one of many because it's super entertaining.
[01:54:34.100 --> 01:54:41.760]  And I was trying to go to bed earlier last night instead of staying up to one or two working.
[01:54:42.199 --> 01:54:49.859]  And then I just saw this clip and I watched it and I sent it to Chase and the crew and I said, I got to cover this tomorrow.
[01:54:49.960 --> 01:54:50.579]  This is hilarious.
[01:54:51.340 --> 01:54:55.539]  And it was so hilarious that I started watching more of the clips.
[01:54:57.520 --> 01:55:01.619]  But a lot of what the guy was saying was actually true and very eloquent and very well said.
[01:55:02.199 --> 01:55:03.600]  And I'm just like, wow.
[01:55:04.260 --> 01:55:07.239]  And I thought, man, I could invite this guy to Austin.
[01:55:07.619 --> 01:55:09.000]  It's just one example.
[01:55:10.260 --> 01:55:15.199]  And, of course, have a film crew there the whole time, every minute.
[01:55:15.500 --> 01:55:17.260]  Because I've been around these people before.
[01:55:17.340 --> 01:55:17.779]  Not this guy.
[01:55:17.859 --> 01:55:18.539]  I'm not accusing him of this.
[01:55:18.619 --> 01:55:20.340]  But they will lie their asses off.
[01:55:21.319 --> 01:55:22.579]  You know, just constant.
[01:55:23.800 --> 01:55:26.699]  I mean, I see this with another well-known talk show host that I've been nice to.
[01:55:27.319 --> 01:55:28.279]  And I saw him a few months ago.
[01:55:28.439 --> 01:55:29.800]  I saw a clip popped up in my feed.
[01:55:30.220 --> 01:55:39.000]  I tried to go on Infowars shows, and they said, no, you're banned from the building and not allowed here, and you're banned.
[01:55:39.420 --> 01:55:41.399]  So I started calling, only got a couple other hosts.
[01:55:41.680 --> 01:55:48.819]  I called all three of them and finally got to Owen, and I said, hey, did you talk to this guy and tell him that he's banned from the shows?
[01:55:49.119 --> 01:55:53.020]  He said, no, I talked to him about some other stuff, but I didn't tell him that.
[01:55:53.140 --> 01:55:53.739]  He's lying.
[01:55:54.500 --> 01:55:56.659]  I mean, it's just like...
[01:55:56.659 --> 01:55:58.180]  It's crazy.
[01:55:59.119 --> 01:56:05.340]  So a lot of it is I could infight all day and get a bunch of views fighting with this person, fighting with that person.
[01:56:05.840 --> 01:56:07.199]  That's not what I'm trying to do.
[01:56:07.979 --> 01:56:13.239]  But it does irritate me when people say I'm on Ozempic because I wouldn't take that.
[01:56:13.300 --> 01:56:13.880]  It hurts your heart.
[01:56:13.960 --> 01:56:15.260]  It freezes your guts.
[01:56:16.260 --> 01:56:17.460]  I don't know people that are on it, man.
[01:56:17.539 --> 01:56:20.119]  They can't crap for a week and get all sick.
[01:56:20.260 --> 01:56:23.319]  I mean, I'm a critic of big pharma.
[01:56:23.789 --> 01:56:25.189]  Of the drugs they push.
[01:56:25.289 --> 01:56:29.310]  Whatever they're pushing is the latest thing that they've got insurance companies willing to pay for because they get a kickback.
[01:56:29.590 --> 01:56:31.189]  So no, I'm not an Ozempic.
[01:56:31.470 --> 01:56:37.489]  I'm on intermittent fasting, supplements, working out hard, trying to get more sleep, and praying.
[01:56:37.890 --> 01:56:41.029]  And I've lost 62 pounds in eight months.
[01:56:41.510 --> 01:56:43.510]  I got challenged by Joe Rogan to do it.
[01:56:43.670 --> 01:56:46.550]  He put me with one of his buddies, the guy he trains with, Sean Johnson.
[01:56:47.069 --> 01:56:50.649]  And almost every day we upload plebs to X of me working out.
[01:56:50.689 --> 01:56:52.409]  You can see me eight months ago.
[01:56:52.680 --> 01:56:53.539]  Because my shoulder was hurt.
[01:56:53.619 --> 01:56:56.439]  I could barely put a 10-pound dumbbell above my head.
[01:56:57.279 --> 01:57:05.100]  And now I'm able to shoulder press, you know, 170 pounds.
[01:57:05.579 --> 01:57:12.220]  And that's not a lot, but I was really in good shape muscular-wise when I was 20. I was, you know, I could do 225 over my head.
[01:57:12.539 --> 01:57:14.720]  But, I mean, I'm deadlifting 400 pounds again.
[01:57:15.319 --> 01:57:17.920]  I'm working out with 250, you know, doing six reps.
[01:57:18.479 --> 01:57:20.739]  I'm doing 100-pound dumbbell rows.
[01:57:21.680 --> 01:57:23.119]  I mean, I'm in there every day.
[01:57:23.239 --> 01:57:25.720]  I worked out for an hour this morning, got in a sauna for 20 minutes.
[01:57:26.779 --> 01:57:31.340]  And when I was younger, and I never even took these photos.
[01:57:31.500 --> 01:57:34.439]  I was at a gym and I was, believe it or not, that's 19 right there.
[01:57:35.119 --> 01:57:37.539]  And there was a trainer there and he said, hey, can I take a few pictures?
[01:57:38.119 --> 01:57:47.260]  If you guys type in Alex Jones, young, muscular, Alex Jones, young, shape, they have some compilations where it shows like the five or six photos that he was a former Marine trainer.
[01:57:47.760 --> 01:57:49.500]  You know, he never trained me, but he was a personal trainer.
[01:57:49.619 --> 01:57:50.100]  He wanted to take photos.
[01:57:50.500 --> 01:57:52.020]  Later, he gave those the Chronicle.
[01:57:52.340 --> 01:57:53.380]  I'd forgotten about them.
[01:57:54.039 --> 01:57:55.319]  And that's how you do it.
[01:57:55.380 --> 01:57:56.319]  I'll pull it up on my phone.
[01:57:56.460 --> 01:57:59.880]  The best way to do it is just go to Google, actually.
[01:58:01.119 --> 01:58:03.779]  And I'll show you the compilation photo.
[01:58:05.069 --> 01:58:15.059]  You just go to Google and you type in Alex Jones Young Muscles.
[01:58:15.059 --> 01:58:16.750]  you
[01:58:16.870 --> 01:58:23.170]  And there's compilation photos that come right up.
[01:58:23.329 --> 01:58:24.350]  Here. Overhead shot, please.
[01:58:24.649 --> 01:58:25.069]  Right here.
[01:58:25.949 --> 01:58:26.930]  So here it is right here.
[01:58:27.390 --> 01:58:28.109]  Overhead shot, please.
[01:58:28.210 --> 01:58:28.489]  There you go.
[01:58:28.590 --> 01:58:32.270]  Just type in Alex Jones Young Muscles and you can get that.
[01:58:32.630 --> 01:58:34.189]  And so, but I want to show people this shot.
[01:58:34.289 --> 01:58:34.930]  So let me just show you.
[01:58:35.189 --> 01:58:36.090]  So this is me.
[01:58:36.270 --> 01:58:37.729]  This is me at 19, okay?
[01:58:38.569 --> 01:58:39.109]  See right there?
[01:58:39.350 --> 01:58:41.130]  I can bench press 400 pounds.
[01:58:41.289 --> 01:58:43.029]  I can squat 600 pounds right there.
[01:58:43.130 --> 01:58:44.069]  No steroids, no nothing.
[01:58:44.609 --> 01:58:46.010]  Ran six miles every other day.
[01:58:49.020 --> 01:58:51.500]  And so that's called genetics.
[01:58:52.319 --> 01:58:59.939]  Now, you notice that, and yes, I obviously had a problem keeping the ladies off.
[01:59:00.140 --> 01:59:11.479]  But what I'm getting at here is that my mom's dad was the state track champ in hurdles and the 100-yard dash.
[01:59:11.619 --> 01:59:12.920]  I mean, I got some decent genetics.
[01:59:13.479 --> 01:59:15.619]  And my dad's family aren't any.
[01:59:15.869 --> 01:59:16.590]  Slotches either.
[01:59:18.029 --> 01:59:22.710]  That's, yeah, that's 19 too.
[01:59:23.369 --> 01:59:31.329]  So my point is, is that that person that's 19 looks different than this person.
[01:59:31.449 --> 01:59:32.649]  That's what aging does.
[01:59:33.029 --> 01:59:43.050]  Okay? Now, the Alex Jones that worked all the time and drank too much and still would hike a little and do weights once a week, but I never supercharged it.
[01:59:44.159 --> 01:59:59.859]  I got up to 290 pounds eight, nine months ago, and I had really bad sleep apnea, and I was just feeling terrible, and I was getting dizzy, and I went in and got my blood tested, and I was pre-diabetic, beginning to go into pre-diabetic,
[01:59:59.920 --> 02:00:06.859]  and my doctor said, you got to do something, and right at the same time, I was having dinner with Joe Rogan, and he said, you are a fat slob.
[02:00:06.960 --> 02:00:07.920]  I tell my friends this.
[02:00:08.319 --> 02:00:09.779]  You can work out at my gym if you want.
[02:00:09.960 --> 02:00:10.579]  Whatever you want.
[02:00:10.680 --> 02:00:11.359]  He's got a huge private gym.
[02:00:11.539 --> 02:00:14.279]  He said, but you've got to do this.
[02:00:15.520 --> 02:00:21.880]  And then separately, one of his friends, Sean Johnson, I was out there with him and Mickey Willis, a filmmaker.
[02:00:21.920 --> 02:00:24.180]  He said, yeah, Joe keeps talking about how you've got to get in shape.
[02:00:24.500 --> 02:00:26.640]  Joe since talked about how he encouraged me and all the rest of it.
[02:00:26.939 --> 02:00:28.239]  And now he got me with Sean.
[02:00:28.720 --> 02:00:30.199]  I've already known Sean for about four or five years.
[02:00:30.439 --> 02:00:31.260]  It's five years now.
[02:00:31.819 --> 02:00:34.220]  And Sean said, quit doing this.
[02:00:34.319 --> 02:00:37.340]  He goes, I'm a former Navy SEAL, demolition expert.
[02:00:38.590 --> 02:00:41.949]  Great shape, 41. He goes, I'll work out with you seven days a week when I'm in town.
[02:00:42.869 --> 02:00:47.130]  And so, and that's AI, but somehow that's what I actually look like.
[02:00:47.489 --> 02:00:48.710]  It's incredible how good AI is.
[02:00:48.810 --> 02:00:50.489]  I don't have acne on my back like that, though.
[02:00:51.869 --> 02:00:56.710]  So, why did AI put acne on my back?
[02:00:56.789 --> 02:00:58.569]  I don't know, but it's weird.
[02:00:59.130 --> 02:01:00.529]  I can take my shirt off and show you no acne.
[02:01:00.630 --> 02:01:01.329]  In fact, I'll do it in a minute.
[02:01:01.409 --> 02:01:02.210]  I actually don't take my shirt off here.
[02:01:02.829 --> 02:01:05.729]  But this is what we're dealing with.
[02:01:06.170 --> 02:01:08.090]  Okay? So I'm not an Ozempic.
[02:01:08.210 --> 02:01:09.510]  I've not been replaced with a clone.
[02:01:09.989 --> 02:01:14.170]  The Alex Jones you see at 19 looks different than the fat-ass Alex Jones eight months ago.
[02:01:14.489 --> 02:01:16.710]  And this one looks different because it's me.
[02:01:16.909 --> 02:01:21.270]  It's the same voice, the same brain, the same crew, the same family.
[02:01:21.310 --> 02:01:22.210]  And that's a fact.
[02:01:22.369 --> 02:01:23.229]  Anybody can verify that.
[02:01:23.310 --> 02:01:30.890]  But they'll show a photo from a year ago with a photo now or still shot and go, look, it's two different people.
[02:01:31.369 --> 02:01:33.630]  Well, I'm going to do this for the mentally ill people.
[02:01:34.610 --> 02:01:50.569]  I'm going to have the crew go and just take a few screenshots from eight months ago, seven months ago, a few screenshots just of the center shot in the main studio, so it's the same shot every day, and they can just time-lapse them with the eight months going up, you know, from whatever was eight months ago,
[02:01:51.069 --> 02:01:55.310]  August, September, so September, October, November, December, January, February, March, yeah.
[02:01:55.630 --> 02:01:58.569]  So we'll go back to September when I really started.
[02:01:59.569 --> 02:02:03.149]  I quit drinking a few weeks completely, actually about a month before that.
[02:02:03.640 --> 02:02:06.560]  So I quit drinking for a month, lost about six, seven pounds just doing that.
[02:02:07.060 --> 02:02:11.199]  Then I started the intermittent fasting, and then I immediately started to lose weight.
[02:02:12.720 --> 02:02:19.479]  And then about two months ago, I plateaued at 230, and it just kind of bounced there, and I quit intermittent fasting every day.
[02:02:19.659 --> 02:02:20.760]  I still did it three or four days a week.
[02:02:21.359 --> 02:02:24.939]  And Sean, Monday, last Monday, said, listen, you want to go to 220?
[02:02:25.140 --> 02:02:26.159]  He goes, I think you're fine-shaped now.
[02:02:26.220 --> 02:02:27.899]  You barely even got any fat on your side.
[02:02:28.479 --> 02:02:32.020]  He said, you're probably good at 230, because if you want to go down, go back to intermittent fasting.
[02:02:32.590 --> 02:02:37.329]  And let's mix more cardio in because we're also doing hiking up hills and stuff.
[02:02:37.529 --> 02:02:38.529]  Let's mix some more cardio.
[02:02:38.689 --> 02:02:41.489]  Instead of going 60 minutes, let's go 80 minutes most days.
[02:02:42.229 --> 02:02:49.630]  So instead of getting to the gym at 7.30, get to the gym at 7.00 and do cardio in between the sets, in between the supersets.
[02:02:52.650 --> 02:02:53.569]  This is everywhere.
[02:02:53.770 --> 02:02:58.489]  I mean, I see a million views here, two million there, three million there of videos and things saying I've been replaced.
[02:02:58.569 --> 02:03:00.569]  And some people are doing it just to troll people and get views.
[02:03:00.770 --> 02:03:02.949]  And that's fine because it ends up sending us viewers.
[02:03:03.090 --> 02:03:07.609]  But this guy, I just saw one of his clips of the day and thought what he was saying was true.
[02:03:07.949 --> 02:03:09.430]  And strangely enough, I sent it to the crew.
[02:03:09.470 --> 02:03:12.689]  I was going to play it, but I didn't get around to it.
[02:03:12.789 --> 02:03:14.409]  They'll tell you, I sent them like 50 clips.
[02:03:14.529 --> 02:03:15.529]  Maybe I played 15 of them.
[02:03:16.090 --> 02:03:21.689]  But then last night, I saw the guy on my feed, so I clicked it, said, let's see.
[02:03:22.090 --> 02:03:27.750]  It says, Alex Jones is owned by Israel 2. It was posted by somebody else.
[02:03:27.970 --> 02:03:29.210]  And I guess this is the full video.
[02:03:29.329 --> 02:03:35.250]  It's from Stop World Control, David J. Sorensen.
[02:03:35.529 --> 02:03:37.250]  Now, I want this guy on.
[02:03:37.390 --> 02:03:38.289]  Usually they won't come on.
[02:03:38.409 --> 02:03:39.770]  Like, David, I can tax me all the time now.
[02:03:39.829 --> 02:03:40.609]  I'm like, hey, David, come on.
[02:03:41.010 --> 02:03:42.189]  Nope, won't even respond back.
[02:03:42.770 --> 02:03:43.350]  That's fine.
[02:03:43.590 --> 02:03:44.869]  I mean, I feel sorry for David.
[02:03:44.989 --> 02:03:45.989]  You care about him and everything.
[02:03:46.460 --> 02:03:48.760]  But we're getting real stuff done against the globals.
[02:03:48.880 --> 02:03:52.119]  We're irrevocably damaging their system, their money, their projects.
[02:03:52.619 --> 02:03:55.460]  And then, you know, Musk or Trump go sideways, we'll expose that.
[02:03:55.659 --> 02:04:11.539]  But this clip is particularly interesting because he attacks Ike and says, Ike doesn't want you to think anybody's good or real but him, but that's what this guy is saying about me.
[02:04:12.699 --> 02:04:15.539]  He's saying nothing's real.
[02:04:15.869 --> 02:04:18.229]  Not your dog, not your cat, not your wife.
[02:04:19.729 --> 02:04:22.930]  But he's saying Alex Jones isn't real and, you know, nothing's real.
[02:04:23.090 --> 02:04:36.770]  So I guess there's a 20-30% of people out there that don't have logic or differentiation, but the corruption is so out in the open now that even they've woken up, they're being lied to, so now they think the world's flat and all this.
[02:04:36.829 --> 02:04:38.489]  And again, I'm not saying, David, I can this guy think the world's flat.
[02:04:38.770 --> 02:04:42.789]  I'm just saying, in general, it's this genre of stuff.
[02:04:42.970 --> 02:04:44.630]  No, I'm the same Alex Jones.
[02:04:44.970 --> 02:04:46.409]  That's been right about almost everything.
[02:04:47.010 --> 02:04:49.850]  You see me 30 years ago, it's the same thing I'm saying today.
[02:04:51.149 --> 02:04:52.550]  And they just misrepresent.
[02:04:52.850 --> 02:04:59.149]  And I only spend time on this because it is so interesting.
[02:05:00.409 --> 02:05:06.970]  So, again, you can look at somebody that's lost 62 pounds, and if you look at my face when I'm young, it's the same face.
[02:05:07.090 --> 02:05:07.649]  I have hair.
[02:05:07.789 --> 02:05:11.109]  I still got hair, but it's annoying, and there's none on top, so I just got rid of it.
[02:05:11.630 --> 02:05:12.789]  And people love it, by the way.
[02:05:14.900 --> 02:05:15.880]  I'll leave it at that.
[02:05:16.319 --> 02:05:17.720]  But you know what?
[02:05:17.939 --> 02:05:19.659]  I'm losing even more weight.
[02:05:20.500 --> 02:05:21.979]  I'm going down at least 10 more pounds.
[02:05:22.100 --> 02:05:23.039]  I want to go below 220.
[02:05:23.279 --> 02:05:24.100]  I don't want to be big.
[02:05:24.619 --> 02:05:33.380]  But my muscles have gotten bigger as the fat goes away because I'm doing it naturally, ladies and gentlemen.
[02:05:33.640 --> 02:05:35.439]  And that's the way to do it.
[02:05:36.079 --> 02:05:38.300]  So, here's the clip of this guy.
[02:05:38.460 --> 02:05:39.920]  It's hilarious, but it's also sad.
[02:05:41.779 --> 02:05:43.439]  And I can tell you, but...
[02:05:43.439 --> 02:05:45.679]  500% confidence.
[02:05:45.909 --> 02:05:47.829]  500? Hit pause and start again.
[02:05:48.590 --> 02:05:52.630]  500? Now, 500 is way better than 100.
[02:05:53.289 --> 02:05:56.470]  Or is it 500% of a million, so it's almost a play ball?
[02:05:56.970 --> 02:06:03.270]  I can tell you with 500% certainty that the Easter Bunny is real.
[02:06:04.510 --> 02:06:07.210]  Animals going to be bred and slaughtered?
[02:06:07.409 --> 02:06:09.750]  Of course we can live in the mineshafts.
[02:06:10.270 --> 02:06:13.350]  And we'll have to get the gross domestic product up in, say, 100 years.
[02:06:13.609 --> 02:06:21.569]  Of course, the females will have to be chosen for their stimulating quality because there will be much time and little to do.
[02:06:21.829 --> 02:06:28.729]  And, of course, we'll have to pick from our top military and political leaders to ensure the continuation of our culture.
[02:06:28.989 --> 02:06:30.210]  I'm quoting from Dr. Strangelo.
[02:06:30.310 --> 02:06:31.270]  I love it.
[02:06:31.430 --> 02:06:33.510]  I mean, you add the...
[02:06:34.409 --> 02:06:36.810]  Scandinavian or whatever accent to it.
[02:06:36.909 --> 02:06:39.029]  It just gets a real Dr. Evil flavor.
[02:06:39.350 --> 02:06:40.010]  Here, start over.
[02:06:41.590 --> 02:06:50.770]  And I can tell you with 500% confidence that we are no longer dealing with the original Alex Jones, the new guy that is replacing him.
[02:06:50.930 --> 02:06:52.210]  I call him Alex James.
[02:06:52.569 --> 02:07:00.289]  It is an entirely different person, a different personality, a different soul, a different character, but also a different skull.
[02:07:00.550 --> 02:07:01.029]  I mean...
[02:07:01.210 --> 02:07:02.550]  Completely different face.
[02:07:02.789 --> 02:07:04.649]  So something has happened there.
[02:07:04.850 --> 02:07:06.390]  Where is the real Alex Jones?
[02:07:06.529 --> 02:07:08.670]  I call the new dude Alex James.
[02:07:09.149 --> 02:07:14.470]  But you know, I'm mentioning this to you just to show you you're not awake.
[02:07:15.270 --> 02:07:16.630]  I mean...
[02:07:16.680 --> 02:07:17.979]  So many of us are not awake.
[02:07:18.159 --> 02:07:18.840]  We have no clue.
[02:07:18.960 --> 02:07:21.819]  We're being played all day long, all night long.
[02:07:22.359 --> 02:07:31.020]  We are, you know, they're dancing on the stage in front of our eyes and we don't even see that it's a stage.
[02:07:31.500 --> 02:07:33.880]  Guys, we are in the Great Awakening.
[02:07:34.039 --> 02:07:35.539]  We are busy waking up.
[02:07:35.720 --> 02:07:37.439]  We are in the process of waking up.
[02:07:37.619 --> 02:07:40.699]  I'm telling you this so that you would wake up even more.
[02:07:41.539 --> 02:07:45.600]  You know, don't let the bad actors divert you.
[02:07:46.520 --> 02:07:48.020]  Something also very important.
[02:07:48.199 --> 02:08:02.520]  There are many bad actors, many infiltrators, many agents in the truth movement whose mission is to discourage you, to depress you, to put you under a dark cloud of doom and gloom where there's no hope.
[02:08:02.640 --> 02:08:03.819]  David Icke is one of those.
[02:08:04.439 --> 02:08:06.100]  His message and his...
[02:08:06.100 --> 02:08:06.420]  Back it up.
[02:08:06.500 --> 02:08:07.119]  Sorry, I interrupted him.
[02:08:07.380 --> 02:08:11.800]  Back it up 10 seconds when he says, David Icke, so am I gloom and doom?
[02:08:12.979 --> 02:08:14.939]  Is Alex James...
[02:08:15.440 --> 02:08:16.579]  Really, Patrick Henry?
[02:08:18.180 --> 02:08:21.319]  So, this is amazing.
[02:08:22.539 --> 02:08:23.779]  This is absolutely amazing.
[02:08:24.119 --> 02:08:28.119]  Now, again, David Icke is one of these doom and gloom people.
[02:08:28.380 --> 02:08:31.159]  Now, he's got a point that David thinks nobody's real but him.
[02:08:31.479 --> 02:08:32.680]  And he's the only leader.
[02:08:32.859 --> 02:08:35.000]  And anybody else fighting tyranny is for a terror motive.
[02:08:35.199 --> 02:08:36.420]  And that's where David's at.
[02:08:38.180 --> 02:08:41.800]  But this guy's now saying that about everybody.
[02:08:42.079 --> 02:08:43.579]  And overall, David does a good job.
[02:08:43.699 --> 02:08:44.319]  He's a really smart guy.
[02:08:45.990 --> 02:08:49.329]  And I understand, you know, seeing the fact that we're winning and turning the tide.
[02:08:49.489 --> 02:08:50.229]  We still got big problems.
[02:08:50.449 --> 02:08:53.170]  There are a lot of people in powerful positions that don't want to destroy everything.
[02:08:54.949 --> 02:08:58.829]  So I've always thought when we really saw how bad the New World Order was, people would finally wake up.
[02:08:58.930 --> 02:08:59.590]  I've been saying that for decades.
[02:09:00.810 --> 02:09:04.369]  But that's the actual footage of the cloning tank.
[02:09:04.489 --> 02:09:05.250]  There's more than one of me.
[02:09:07.150 --> 02:09:08.570]  But getting serious here.
[02:09:08.570 --> 02:09:14.570]  Um. Thank you.
[02:09:14.600 --> 02:09:17.659]  Is this guy doing this for views, or does he really believe it?
[02:09:18.920 --> 02:09:25.199]  And I tend to think he's doing it just for views, but there are mentally ill people that then really believe this.
[02:09:25.279 --> 02:09:25.880]  Let's go back to him.
[02:09:30.020 --> 02:09:40.500]  There's many agents in the truth movement whose mission is to discourage you, to depress you, to put you under a dark cloud of doom and gloom where there's no hope.
[02:09:40.640 --> 02:09:41.800]  David Icke is one of those.
[02:09:42.270 --> 02:09:48.810]  His message and his task is to tell the people who wake up that there's no hope.
[02:09:48.970 --> 02:09:50.430]  That there's nothing we can do.
[02:09:50.550 --> 02:09:55.369]  Because we are being ruled by aliens.
[02:09:55.470 --> 02:10:00.550]  And we are all just entities in a computer game.
[02:10:00.649 --> 02:10:03.829]  He says that we are living in a computer simulation.
[02:10:04.109 --> 02:10:05.310]  That nothing is real.
[02:10:05.590 --> 02:10:10.250]  That our beloved pets are not real.
[02:10:11.819 --> 02:10:15.180]  Our partners and our children are not real.
[02:10:15.439 --> 02:10:16.560]  Nature is not real.
[02:10:16.960 --> 02:10:18.859]  He says there is no God.
[02:10:19.039 --> 02:10:19.979]  There is no creator.
[02:10:20.239 --> 02:10:21.199]  There's no hope.
[02:10:21.359 --> 02:10:22.319]  There's no life.
[02:10:23.000 --> 02:10:32.479]  There's nobody here to help us because we are all living in a digital computer simulation, a video game.
[02:10:33.180 --> 02:10:37.380]  And, you know, if you are a character in a video game, then there's nothing you can do.
[02:10:41.549 --> 02:10:52.689]  He destroys all hope and all efforts to liberate humanity by saying these kinds of nonsense.
[02:10:53.729 --> 02:10:55.390]  These kinds of nonsense.
[02:10:57.590 --> 02:11:03.350]  So... I'm not real, though.
[02:11:03.670 --> 02:11:04.890]  Your pet is not real.
