# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: a23bf4b0a482f14c0e2864bd70b6756b
[00:00:03.040 --> 00:00:04.240]  It's Sunday night.
[01:46:33.040 --> 01:46:35.200]  Here's the issue: I don't think it's going to fly over well.
[01:46:35.360 --> 01:46:40.560]  And the reason is, is because nobody was talking about this during the campaign.
[01:46:40.880 --> 01:46:55.280]  Now, we covered this campaign extensively, and not one time did we hear that there's a possibility that we might actually go to a ground war, maybe possibly, or a war at all with Venezuela.
[01:46:55.360 --> 01:47:00.400]  And these are the types of things, Alex, I think is really becoming problematic because it's a lot of warning.
[01:47:01.120 --> 01:47:02.720]  I'm going to turn this over to you, but let me just throw this out there.
[01:47:03.120 --> 01:47:04.240]  I'm not being an apologist for it.
[01:47:04.560 --> 01:47:11.200]  I'm not blaming Cuban Americans, but this is about if you take down Venezuela, it props up Cuba and Mexico.
[01:47:11.280 --> 01:47:12.400]  It's the senior partner.
[01:47:12.720 --> 01:47:18.640]  And so, Marco Rubio, who's been terrible in the past, very articulate, did a great job so far with Trump.
[01:47:18.800 --> 01:47:19.520]  Don't trust him.
[01:47:19.840 --> 01:47:20.480]  They want this.
[01:47:20.720 --> 01:47:22.960]  So, this is kind of a beyond neocon.
[01:47:23.120 --> 01:47:28.720]  It's like a even pre-neocon kind of right-wing thing to get rid of the commies.
[01:47:29.280 --> 01:47:32.800]  And Venezuela has been heavily involved in our elections and manipulation.
[01:47:32.880 --> 01:47:34.960]  So, the Democrats are definitely against us for that reason.
[01:47:35.280 --> 01:47:37.440]  But at the same time, I'm against it.
[01:47:37.760 --> 01:47:41.680]  Well, let's say I warn of it because of the trap factor.
[01:47:41.920 --> 01:47:42.960]  So, answer that question.
[01:47:43.040 --> 01:47:43.920]  I'm going to let you take over.
[01:47:44.080 --> 01:47:45.120]  I really want to hear what you have to say.
[01:47:45.200 --> 01:47:48.720]  But then, separately, what does Trump do about his sagging approval ratings?
[01:47:48.960 --> 01:47:50.160]  Where are we going into the future?
[01:47:50.320 --> 01:47:52.400]  What could he do to course correct Drew Hernandez?
[01:47:52.480 --> 01:47:53.520]  God bless you, take over.
[01:47:54.160 --> 01:47:55.440]  Yeah, Alex, I think it's simple.
[01:47:55.600 --> 01:48:00.800]  I think he just needs to execute and deliver on everything he was championing in the 2024 election.
[01:48:01.120 --> 01:48:03.200]  The mass deportations need to be expedited.
[01:48:03.360 --> 01:48:04.720]  They absolutely need to be.
[01:48:05.040 --> 01:48:07.680]  Back in on putting Israel before everything else.
[01:48:08.000 --> 01:48:12.720]  And obviously, a lot of the campaign promises that were made in 2024 seem to be kind of put on the back seat.
[01:48:12.880 --> 01:48:18.720]  However, also, I think he does have an opportunity to really have an economic turnaround and impact.
[01:48:18.960 --> 01:48:20.000]  And we kind of saw that.
[01:48:20.080 --> 01:48:21.040]  I'm going to get into that tonight.
[01:48:21.280 --> 01:48:28.640]  We kind of saw that after the 2016 election, 2017, things were not really turning around, but 2018 came and you did see the big turnaround.
[01:48:28.880 --> 01:48:30.080]  We'll get into that when we come back.
[01:48:30.240 --> 01:48:30.960]  Don't go anywhere, guys.
[01:48:31.040 --> 01:48:32.160]  Share the links.
[01:48:33.280 --> 01:48:35.120]  I've known Drew Hernandez for many years.
[01:48:35.440 --> 01:48:38.400]  This really smart guy is about to take over, but I have one more question for him.
[01:48:38.960 --> 01:48:44.560]  Really smart on politics, really smart on theology of the Bible, knows what he's talking about.
[01:48:44.880 --> 01:48:48.320]  And I struggle with this because I'm normally somebody that's very cut and dry.
[01:48:48.640 --> 01:48:53.520]  I'm very decisive because it's been so easy for 30 years on air.
[01:48:53.760 --> 01:48:56.400]  Plus, you've got the globalists.
[01:48:56.640 --> 01:48:58.160]  None of us are in power.
[01:48:58.640 --> 01:49:00.240]  They control Republicans and Democrats.
[01:49:00.320 --> 01:49:02.080]  They control the major parties all over the world.
[01:49:02.400 --> 01:49:03.440]  We're the opposition.
[01:49:03.600 --> 01:49:04.560]  We're just challenging them.
[01:49:04.640 --> 01:49:05.280]  It's so easy.
[01:49:05.600 --> 01:49:15.840]  Now to get Trump in and they're banning the poison shots and not all of them, but a lot of them and getting the fluoride out and the dyes and banning the hepatitis shot because it's not recommending it, basically bans it.
[01:49:15.920 --> 01:49:18.720]  They won't do it if it's not protected liability.
[01:49:19.360 --> 01:49:22.080]  So I paradoxically see more good being done than ever.
[01:49:22.320 --> 01:49:28.160]  Needle move massively for good, but then I see massive compromises and all sorts of bad stuff.
[01:49:28.480 --> 01:49:29.680]  And it's very paradoxical.
[01:49:29.760 --> 01:49:32.640]  And I pray constantly, God, what do I do about this?
[01:49:32.800 --> 01:49:36.000]  And God just says, support the good and expose the bad.
[01:49:36.640 --> 01:49:44.000]  But paradoxically, people say, oh, well, don't just say what if Kamala was in, but we should ask ourselves, what if they get in?
[01:49:44.160 --> 01:49:46.480]  Like, how do we hold Trump's feet in the fire, his people?
[01:49:46.800 --> 01:49:50.880]  How do we get good outcomes when we can, criticize them when we can?
[01:49:52.080 --> 01:49:55.520]  Because, you know, the larger question is, is Trump salvageable?
[01:49:55.680 --> 01:49:56.800]  Well, I don't think it even matters.
[01:49:57.120 --> 01:49:58.560]  It's not even a lesser or two evils.
[01:49:58.720 --> 01:50:00.480]  It's use what we've got.
[01:50:00.800 --> 01:50:08.160]  Like if you're in a ship in the ocean and it gets torpedoed and blows up, you just jump on some driftwood to try to get to shore.
[01:50:08.240 --> 01:50:11.040]  It's not like, oh, this driftwood's a lesser of two evils.
[01:50:11.120 --> 01:50:13.440]  It's a driftwood I've got versus the Democrats.
[01:50:13.520 --> 01:50:14.720]  They're a bunch of sharks.
[01:50:15.040 --> 01:50:26.320]  So I wrestle with this because, You know, do I just fully, you know, go crazy against Trump, try to get him back in track, which I do some.
[01:50:26.640 --> 01:50:29.600]  Then the left misrepresents what I've said, try to damage things.
[01:50:30.320 --> 01:50:35.200]  It's very complex at this point to actually be trying to govern instead of just being the opposition.
[01:50:35.360 --> 01:50:37.520]  I'm going to shut up now, but is Trump salvageable?
[01:50:37.680 --> 01:50:39.760]  What does he do to do it to Hernandez?
[01:50:40.400 --> 01:50:48.080]  Yeah, Alex, I think to answer your question, I think it's, I think this is more about moving on from Trump, if that makes any sense.
[01:50:48.240 --> 01:50:49.520]  That doesn't mean we hate Trump.
[01:50:49.600 --> 01:50:51.840]  That doesn't mean we can't just count on him.
[01:50:52.000 --> 01:50:52.800]  We brought him here.
[01:50:53.040 --> 01:50:55.680]  We can't, we have to start building a future regardless.
[01:50:56.000 --> 01:51:04.880]  And that's kind of where my mind has been at lately: is like, look, if he's got three years left, what does this look like for the thinking about that future?
[01:51:05.040 --> 01:51:06.080]  What you're saying is so right.
[01:51:06.320 --> 01:51:07.760]  I saw your show say a week ago.
[01:51:08.160 --> 01:51:08.640]  Exactly.
[01:51:10.320 --> 01:51:13.280]  Even if he was perfect, we can't count on a 79-year-old man.
[01:51:13.520 --> 01:51:14.960]  We have to put on the big boy pants.
[01:51:15.120 --> 01:51:16.000]  We've got to move on.
[01:51:16.080 --> 01:51:17.360]  What comes after Trump?
[01:51:18.000 --> 01:51:23.680]  And I think because Trump is such a massive, obvious figure, you can say he's polarizing.
[01:51:24.080 --> 01:51:24.640]  We know, right?
[01:51:24.720 --> 01:51:26.800]  The most famous guy walking on the face of planet Earth.
[01:51:27.120 --> 01:51:35.760]  But Trump resembles something that I think is going to need to be utilized for where, and I'll just use the right wing just for the sake of this conversation.
[01:51:36.080 --> 01:51:40.960]  I think Trump needs to be utilized right now for where we really do want to take things.
[01:51:41.280 --> 01:51:57.600]  Because if we cannot hold Trump accountable, if we can't hold the Trump administration accountable, if we can't do that right now, okay, in 2025, and again, for all these cucks out here that just cannot handle criticizing Trump, like I said, we don't, it's not that we hate him and we want him to fail.
[01:51:57.680 --> 01:51:58.880]  And we kind of voted for this guy.
[01:51:58.960 --> 01:52:00.160]  We need him to succeed.
[01:52:01.040 --> 01:52:11.200]  My thought process is it's time to move forward because if we can't hold the president accountable of these very serious things just this past year, who the hell can we hold accountable?
[01:52:11.440 --> 01:52:11.840]  Seriously.
[01:52:12.160 --> 01:52:16.000]  And I'm proud of populist Christian conservatives that we're not Nicola Democrats.
[01:52:16.320 --> 01:52:17.760]  We do get upset about things.
[01:52:17.840 --> 01:52:19.200]  The Democrats misrepresent every time.
[01:52:19.360 --> 01:52:21.680]  But look, it's a simple graph, but just tell me.
[01:52:22.000 --> 01:52:23.120]  You got Satan over here.
[01:52:23.200 --> 01:52:24.000]  You know what Satan is.
[01:52:24.080 --> 01:52:25.360]  You got Trump kind of in the middle.
[01:52:25.920 --> 01:52:28.160]  And you got us trying to do what God wants us to do.
[01:52:28.240 --> 01:52:29.520]  It's an oversimplification.
[01:52:29.840 --> 01:52:36.720]  But exactly, the Oberton window, he's being moved away from Trump over to the right direction, further away from Satan.
[01:52:36.960 --> 01:52:43.840]  Fine, we're glad he's a speed hum, but it's about us and our relationship with G-O-D, not about Trump.
[01:52:44.080 --> 01:52:47.120]  He just rode in on this wave as a surfer.
[01:52:47.760 --> 01:52:49.280]  We can't make it all about him.
[01:52:50.080 --> 01:52:53.280]  I think it's like children to try to say it's all about Trump.
[01:52:53.440 --> 01:52:58.560]  No, it's all about us and our relationship with God and what we're going to do for the next wave that's even bigger.
[01:52:59.200 --> 01:53:00.000]  And I agree.
[01:53:00.320 --> 01:53:07.360]  And politically, the point I'm trying to make to people tonight is, you know, because people really have to set their emotions aside.
[01:53:07.520 --> 01:53:09.280]  Like he's going to be 80 soon.
[01:53:09.680 --> 01:53:10.880]  He's got three years left.
[01:53:11.200 --> 01:53:13.120]  He's not going to be president forever.
[01:53:13.440 --> 01:53:18.560]  And we have to utilize him to demand what we truly are going to want for the future.
[01:53:18.880 --> 01:53:21.520]  If that makes any sense, and maybe people might not see it now.
[01:53:21.760 --> 01:53:22.880]  No, we will see it eventually.
[01:53:23.280 --> 01:53:23.680]  What's good?
[01:53:23.840 --> 01:53:27.440]  Build our movement on our beachhead like with Ron Paul that got Trump in with the Tea Party.
[01:53:27.520 --> 01:53:27.760]  Exactly.
[01:53:27.920 --> 01:53:28.880]  We have to move into the future.
[01:53:29.040 --> 01:53:30.160]  We built this already.
[01:53:30.320 --> 01:53:32.640]  We've realized we're the architects, not Trump.
[01:53:32.960 --> 01:53:34.256]  Because Because here's the thing, Alex.
[01:53:34.496 --> 01:53:35.936]  Do you know who is doing that?
[01:53:36.256 --> 01:53:39.376]  The neocons, the warmongers, the Lindsey Grahams, the Randy Fox.
[01:53:39.696 --> 01:53:39.936]  Exactly.
[01:53:40.016 --> 01:53:40.256]  They're all.
[01:53:40.416 --> 01:53:42.096]  And most of them interrupt is you're so on target.
[01:53:42.256 --> 01:53:43.936]  Because I actually did watch your show a bunch last week.
[01:53:44.016 --> 01:53:44.736]  And I'm asking the question.
[01:53:44.896 --> 01:53:46.416]  So I wanted you to do this.
[01:53:46.736 --> 01:53:47.136]  Exactly.
[01:53:47.296 --> 01:53:50.336]  They're saying, the Bush is saying, we're taking the Republican Party back over.
[01:53:50.656 --> 01:53:53.376]  They're all moving in and then funding.
[01:53:53.696 --> 01:53:55.056]  That's the paradox, though.
[01:53:56.816 --> 01:54:00.816]  Their bots are funding our infighting, which is healthy to keep Trump true.
[01:54:01.056 --> 01:54:02.096]  But I agree.
[01:54:02.256 --> 01:54:06.656]  Just give up and move on and stop using him as a safety blanket or as a baba.
[01:54:06.736 --> 01:54:08.256]  You know, babies love these little blankets.
[01:54:08.576 --> 01:54:12.096]  Stop using him as our security blanket and just say, fine, whatever.
[01:54:12.256 --> 01:54:13.296]  We don't even care about that.
[01:54:13.536 --> 01:54:16.256]  We're moving on, but we're certainly not going to let the neocons be in control.
[01:54:16.336 --> 01:54:16.896]  That's what you're saying.
[01:54:16.976 --> 01:54:20.016]  Is there's a battle over the future of post-Trump.
[01:54:20.336 --> 01:54:27.616]  And I agree because who are you going to look to to hold accountable to deliver on these very serious things?
[01:54:28.976 --> 01:54:34.336]  Things such as exposing the Epstein files, the tip of the spear of exposing the deep state.
[01:54:34.656 --> 01:54:41.056]  You talk about Elon Musk tonight, the EU, obviously trying to come down and destroy free speech and control the entire world.
[01:54:41.376 --> 01:54:42.416]  And there's so much bigger.
[01:54:43.216 --> 01:54:45.456]  Publicly ask Trump to defend him.
[01:54:46.656 --> 01:54:48.976]  Just like when we all got censored, I told Trump you're next.
[01:54:49.136 --> 01:54:49.776]  He was.
[01:54:50.096 --> 01:54:51.616]  Where is his instincts?
[01:54:53.056 --> 01:54:55.136]  They want to get Elon to get us.
[01:54:56.016 --> 01:54:59.456]  What I'm saying, Alex, is there's a lot more to come.
[01:54:59.776 --> 01:55:06.496]  I think there's a lot bigger and more dangerous and more evil and more twisted things that are on the horizon.
[01:55:06.816 --> 01:55:14.976]  And if MAGA just wants this shill because they're so afraid, they just want to run cover for Trump all the time when there's some serious stuff going on right now.
[01:55:16.336 --> 01:55:18.896]  Who are you truly going to look to in the future as a leader?
[01:55:20.576 --> 01:55:24.016]  It's like baby birds staying in the nest to be fed, not pushed out of the nest.
[01:55:24.096 --> 01:55:25.776]  It's time to be pushed out of the nest.
[01:55:26.096 --> 01:55:29.216]  And people will be groomed and they'll be trained to just accept evil.
[01:55:29.856 --> 01:55:35.696]  And that's always been kind of, listen, I threw on the MAGA hat 2015, 2015, 2016.
[01:55:35.936 --> 01:55:36.176]  Okay.
[01:55:36.336 --> 01:55:39.136]  So I don't need to be lectured by people like, oh, you're not really MAGA.
[01:55:39.216 --> 01:55:39.696]  You're a traitor.
[01:55:39.776 --> 01:55:44.176]  Like, no, dude, this is this, and this has been my problem for such a while.
[01:55:44.496 --> 01:55:53.136]  From the very beginning, and you know this, Alex, the very beginning, like the inception, the birth of MAGA was the number one thing that attracted me the most as an independent.
[01:55:53.296 --> 01:55:54.336]  I'm not a Republican.
[01:55:54.656 --> 01:55:54.816]  Okay.
[01:55:54.976 --> 01:55:56.416]  I'm sure as hell not a Democrat.
[01:55:56.496 --> 01:55:57.136]  I am an independent.
[01:55:57.216 --> 01:55:57.696]  I'm born again.
[01:55:57.776 --> 01:55:58.496]  I'm a Christian.
[01:55:58.816 --> 01:56:07.776]  The big thing that really attracted me of Trump in 2015, 2016 was we need to make America hold leaders accountable again.
[01:56:09.216 --> 01:56:20.656]  And that's really was this massive draw to just take down the deep state, drain the swamp, mass arrests, lock Hillary up, just really just full sweep reform across the entire board.
[01:56:20.976 --> 01:56:26.976]  And it just kind of seems like this past year, I don't know, Alex, it just seems like we're kind of going, we're so far away from that.
[01:56:27.056 --> 01:56:27.616]  You're not allowed to do it.
[01:56:28.496 --> 01:56:29.136]  Let me nail it.
[01:56:30.176 --> 01:56:30.656]  And I'm going to leave.
[01:56:31.136 --> 01:56:33.296]  You're going to go, but you're riveting here.
[01:56:34.896 --> 01:56:36.576]  I didn't expect perfection from him.
[01:56:36.736 --> 01:56:39.216]  He's getting way more done this time than last time.
[01:56:39.536 --> 01:56:41.936]  But the rhetoric is worse.
[01:56:42.256 --> 01:56:49.216]  He is slapping us down on so many subjects and so many areas trying to kill populism.
[01:56:50.176 --> 01:56:52.496]  And it's not just the Epstein thing.
[01:56:53.056 --> 01:56:58.976]  It's a bunch of other issues where he's getting somebody's telling him to do that.
[01:56:59.296 --> 01:57:00.176]  And that's what's bad.
[01:57:00.336 --> 01:57:02.656]  So it's not just that he couldn't get it all done.
[01:57:02.816 --> 01:57:04.016]  None of us expect that.
[01:57:04.336 --> 01:57:19.296]  It's that he is slapping down populism at so many points and acting like a globalist, which in a way may seem endearing because he could just do us the rhetoric, but stab us in the back.
[01:57:19.456 --> 01:57:21.136]  Instead, a lot of the action is really good.
[01:57:21.456 --> 01:57:23.456]  Then the rhetoric is actually anti-populist.
[01:57:23.536 --> 01:57:24.416]  What is that?
[01:57:25.696 --> 01:57:28.176]  I think Trump has, I mean, he said this several times.
[01:57:28.416 --> 01:57:30.896]  My life is a whole series of deals.
[01:57:31.136 --> 01:57:31.776]  It's obvious.
[01:57:31.936 --> 01:57:32.416]  It's clear.
[01:57:32.735 --> 01:57:38.336]  He took over 200 million from the APAC Adelson, the Israel first lobby.
[01:57:38.416 --> 01:57:42.815]  That's obviously going to have a major impact in his second term, his second administration.
[01:57:43.136 --> 01:57:50.576]  But also at the same time, you know, I've really been thinking about this a lot, Alex, and I'm just like, does Trump really want this thing to continue?
[01:57:50.735 --> 01:57:51.855]  Does he want MAGA?
[01:57:52.176 --> 01:57:58.576]  Does he want someone to come along and pick up the baton and just carry this thing forward in his name into the future?
[01:57:58.895 --> 01:58:05.935]  Or does he really want it to just kind of fizzle out and allow the neocons to take over and just pretty much bring things back to where they were?
[01:58:06.416 --> 01:58:07.056]  He made a deal.
[01:58:07.376 --> 01:58:10.176]  And I'm not saying he's done it, but we're seeing signs that could be the case.
[01:58:10.496 --> 01:58:17.056]  And that's what somebody would do that makes deals is fizzle it out, kill it.
[01:58:17.695 --> 01:58:19.296]  I think you just answered the riddle.
[01:58:19.536 --> 01:58:19.855]  I think.
[01:58:20.176 --> 01:58:23.615]  And you get to walk, and you get to walk away as a legend forever.
[01:58:23.935 --> 01:58:24.416]  I don't know.
[01:58:24.576 --> 01:58:25.376]  I'm just speculating.
[01:58:28.815 --> 01:58:30.336]  We just had a brainstorm.
[01:58:30.895 --> 01:58:34.815]  I think you just honed in on probably a hypothesis that may be true.
[01:58:35.136 --> 01:58:36.655]  In fact, my gut says it probably is.
[01:58:36.815 --> 01:58:38.176]  At least he's thinking about it.
[01:58:38.496 --> 01:58:40.096]  Why keep this fight going forever?
[01:58:40.336 --> 01:58:42.815]  His sons aren't, they're not bad, but they're not him.
[01:58:43.136 --> 01:58:45.855]  He doesn't trust people not to handle it when he's old.
[01:58:46.496 --> 01:58:51.695]  So he's starting to slow sell out ahead of this, and then he goes off into the sunset.
[01:58:52.016 --> 01:58:55.615]  I think, I think, I think, I think that's where this is going.
[01:58:55.855 --> 01:58:57.615]  Is there any way to salvage this?
[01:58:58.815 --> 01:58:59.376]  Yes.
[01:59:00.256 --> 01:59:01.216]  We need to double down.
[01:59:01.615 --> 01:59:04.016]  It was revolutionary before, which was the power.
[01:59:04.655 --> 01:59:05.775]  It still is, Alex.
[01:59:06.096 --> 01:59:06.655]  That's my point.
[01:59:06.975 --> 01:59:11.456]  It's like, I never moved from anything holding leaders accountable.
[01:59:11.615 --> 01:59:14.096]  That was MAGA from the beginning, including Trump, even in himself.
[01:59:14.256 --> 01:59:19.376]  I watched every single 2015, 2016 rally, every single one before I got into media, anything.
[01:59:19.695 --> 01:59:24.975]  I was listening to everything, and everything Trump was saying was, we got to hold people accountable, even me.
[01:59:25.136 --> 01:59:25.855]  This is about us.
[01:59:26.016 --> 01:59:26.895]  This is about the future.
[01:59:27.056 --> 01:59:27.935]  This is about the country.
[01:59:28.096 --> 01:59:29.136]  This is about America first.
[01:59:29.376 --> 01:59:31.216]  And it's like, you can't do that right now.
[01:59:31.536 --> 01:59:32.016]  Why?
[01:59:32.655 --> 01:59:33.935]  Why can't you do that right now?
[01:59:34.096 --> 01:59:34.735]  I don't understand.
[01:59:35.056 --> 01:59:36.176]  And you're not MAGA now.
[01:59:36.496 --> 01:59:37.456]  You're a rhino.
[01:59:38.655 --> 01:59:39.775]  You're the panic in.
[01:59:40.416 --> 01:59:41.056]  You're the traitor.
[01:59:41.136 --> 01:59:41.695]  It's like, what the hell?
[01:59:41.855 --> 01:59:46.655]  And it's a lot of people that jumped on the Trump train, maybe post-2020, 2023, which is fine, which is great.
[01:59:46.975 --> 01:59:49.296]  And then he wants why his numbers go down 15 points.
[01:59:49.456 --> 01:59:49.695]  Exactly.
[01:59:50.096 --> 01:59:52.735]  Alex, this really did.
[01:59:53.296 --> 02:00:01.216]  I think the self-destruction button was when Trump came out and said, listen, if you don't let this Epstein thing go, you're not my supporter anymore.
[02:00:01.456 --> 02:00:02.176]  I don't want your support.
[02:00:02.576 --> 02:00:05.216]  Like that moment was a big moment for a lot of people.
[02:00:05.536 --> 02:00:08.016]  I don't even think he realizes how damaging that is.
[02:00:08.256 --> 02:00:11.536]  I don't even think how, I don't even think MAGA will realize how damaging that is.
[02:00:11.695 --> 02:00:14.016]  At the time, I said this is, and I knew what it was.
[02:00:14.176 --> 02:00:16.336]  It's for the, it's not even the kids.
[02:00:16.416 --> 02:00:17.855]  It's the money laundering.
[02:00:18.416 --> 02:00:19.216]  It's all of it.
[02:00:19.775 --> 02:00:24.416]  People, people viewed that as, hey, I'm on their side now.
[02:00:24.975 --> 02:00:30.096]  Listen, and they may, that may not even, and like you said earlier, Alex, the messaging is just horrible.
[02:00:30.815 --> 02:00:32.815]  That may not be what's in his mind.
[02:00:33.216 --> 02:00:34.895]  That may not be defending what he did.
[02:00:35.056 --> 02:00:35.935]  I just know the lay of the land.
[02:00:36.096 --> 02:00:46.016]  What I'm saying is, dude, you don't like you, you built the perception that you have become the very thing that everyone got on board to oppose in 2015, 2016.
[02:00:46.336 --> 02:00:48.176]  At the messaging at the least, then there's the penalty.
[02:00:48.336 --> 02:00:49.136]  And I don't know how you feel about it.
[02:00:49.376 --> 02:00:55.695]  Chuck Schumer and Hakeem Jeffries and all of them that we know are literally goblins knocking down the gate.
[02:00:55.935 --> 02:00:57.855]  So how do you praying about it?
[02:00:58.016 --> 02:00:59.615]  Because I really pray every day about this.
[02:00:59.935 --> 02:01:06.655]  How do I morally not throw Trump out and give the enemy what they want, hold his feet to the fire, or do I not?
[02:01:07.695 --> 02:01:13.536]  And actually, and I try to, you know, but God's told me is basically back what he does is good.
[02:01:13.855 --> 02:01:14.976]  Attack what he does is bad.
[02:01:15.136 --> 02:01:16.576]  Just grade it like a report card.
[02:01:16.815 --> 02:01:17.056]  Agree.
[02:01:17.376 --> 02:01:20.655]  And tell people, and tell people what you said a few weeks ago when I posted.
[02:01:20.895 --> 02:01:22.256]  I said about, should we be double Trump?
[02:01:22.336 --> 02:01:23.456]  You said, I think it's time to move on.
[02:01:23.695 --> 02:01:25.935]  I think even he was perfect right now.
[02:01:26.176 --> 02:01:28.256]  We can't rely on a 79-year-old man.
[02:01:28.576 --> 02:01:30.256]  We need the trading wheels have to go off.
[02:01:30.416 --> 02:01:31.456]  We got him in to begin with.
[02:01:31.536 --> 02:01:31.855]  I agree.
[02:01:32.256 --> 02:01:33.056]  Let's say Trump's great.
[02:01:33.136 --> 02:01:33.856]  He's doing a great job.
[02:01:34.336 --> 02:01:36.976]  We got to move on and make it about us now and the future.
[02:01:37.136 --> 02:01:38.496]  It's post-Trump already.
[02:01:38.656 --> 02:01:39.776]  We got to move on.
[02:01:40.656 --> 02:01:41.296]  I agree.
[02:01:41.456 --> 02:01:44.816]  And I think this is my opinion.
[02:01:45.216 --> 02:01:46.416]  Lucky Senior Post on X.
[02:01:46.576 --> 02:01:47.696]  We still pray for him.
[02:01:47.936 --> 02:01:49.456]  We still back good stuff he does.
[02:01:49.776 --> 02:01:51.376]  We still hope for his success.
[02:01:51.696 --> 02:01:54.096]  But it's time to move on.
[02:01:54.416 --> 02:02:00.496]  But these things, these very central core things, the America first tenets, if you will, right?
[02:02:01.056 --> 02:02:05.856]  Opposing the deep state, the mass arrests, like going after the pedophile rings, all these massive things, right?
[02:02:07.376 --> 02:02:10.736]  These failures are more than just letting them slide, okay?
[02:02:11.056 --> 02:02:13.616]  Because these failures are communicating things.
[02:02:13.936 --> 02:02:16.416]  These failures of the lack of deep state arrests.
[02:02:16.736 --> 02:02:16.896]  Okay.
[02:02:17.056 --> 02:02:20.096]  Why is Obama not in prison at the least right now?
[02:02:20.416 --> 02:02:20.656]  Okay.
[02:02:21.696 --> 02:02:23.856]  Why is Barack Obama still out there?
[02:02:24.176 --> 02:02:25.776]  Why is AOC still out there?
[02:02:26.176 --> 02:02:29.136]  Why are these people still out here and they're free?
[02:02:29.456 --> 02:02:32.976]  This is really pissing a lot of people off because nothing's going to change.
[02:02:33.136 --> 02:02:34.096]  And this is my point.
[02:02:34.416 --> 02:02:36.336]  Of course, a Democrat's going to be in power again.
[02:02:36.656 --> 02:02:38.336]  Of course, they're going to win the House again.
[02:02:38.576 --> 02:02:40.256]  Of course, they're going to win the Senate again.
[02:02:40.576 --> 02:02:43.776]  And at that point, of course, they're going to come back and seek revenge against everyone.
[02:02:44.016 --> 02:02:44.896]  So what are we doing?
[02:02:45.136 --> 02:02:45.936]  What are we doing?
[02:02:46.256 --> 02:02:48.336]  Just waiting for the inevitable.
[02:02:48.656 --> 02:02:49.296]  Let me stop you there.
[02:02:49.376 --> 02:02:50.416]  Let me stop you there.
[02:02:51.296 --> 02:02:52.096]  I love AOC.
[02:02:52.176 --> 02:02:56.576]  She's a great lady, but she didn't tell me this, but I predicted a week before she was going to quit.
[02:02:56.896 --> 02:02:58.816]  She's like, we're not going to win and take him out.
[02:02:58.976 --> 02:03:00.576]  I've got to go sue for peace.
[02:03:01.296 --> 02:03:04.416]  That's a woman, great, smart lady at her level.
[02:03:04.736 --> 02:03:05.936]  I ain't suing for peace.
[02:03:06.016 --> 02:03:06.896]  I ain't selling out.
[02:03:07.136 --> 02:03:18.816]  So that's my horror and not wanting to turn loose to Trump because I need him to succeed because 100%, Drew, they've already tried to indict me many, many, I mean, for me, and I can't sell out.
[02:03:18.896 --> 02:03:19.616]  I don't know how.
[02:03:19.936 --> 02:03:25.536]  So to me, giving up on Trump is like literally being in the North Atlantic, 20 below zero water.
[02:03:25.616 --> 02:03:27.136]  I'm going to freeze in minutes and die.
[02:03:27.456 --> 02:03:29.536]  And the thing is deflating in front of me.
[02:03:29.776 --> 02:03:31.776]  And it's not, I'm just like, I'm about to sink.
[02:03:32.016 --> 02:03:33.776]  So I just got to go, God, it's in your hands.
[02:03:33.936 --> 02:03:34.256]  But yeah.
[02:03:34.576 --> 02:03:39.376]  Alex, I think the terminology is what might be, you know, mixing people up.
[02:03:39.536 --> 02:03:42.736]  It's like, I'm not in a place where it's like, give up on Trump, give up on Trump.
[02:03:42.816 --> 02:03:43.376]  I hate Trump.
[02:03:43.536 --> 02:03:43.936]  He's done.
[02:03:44.096 --> 02:03:44.736]  Get him out of here.
[02:03:45.376 --> 02:03:49.616]  I'm like, I'm holding him accountable because that's what I do with anybody.
[02:03:49.936 --> 02:03:52.096]  But you're wrong.
[02:03:52.336 --> 02:03:53.456]  He is deflating.
[02:03:53.616 --> 02:03:55.776]  Our lifeboat is sinking.
[02:03:57.376 --> 02:04:00.496]  But if nothing is done, it's a failure in the end.
[02:04:00.656 --> 02:04:02.976]  And that's why we need to keep pushing and pushing and pushing.
[02:04:03.536 --> 02:04:06.976]  So how do we go completely ape shit and put pressure on him to snap him?
[02:04:07.136 --> 02:04:08.496]  Because one thing, Trump can be erratic.
[02:04:08.576 --> 02:04:10.016]  We can snap him out of this.
[02:04:11.856 --> 02:04:18.096]  I think what needs to happen is, and this is just my observation, is like last time, you've got a lot of neocons.
[02:04:18.176 --> 02:04:19.456]  You've got a lot of people.
[02:04:19.776 --> 02:04:21.936]  You got a lot of swamp creatures around him.
[02:04:22.496 --> 02:04:25.696]  But also, he's just surrounded by all of these influencers.
[02:04:26.016 --> 02:04:28.336]  He's surrounded by all of these people that are unwilling to do this.
[02:04:29.216 --> 02:04:31.136]  These cabinet meetings where they give him blowjobs.
[02:04:31.296 --> 02:04:37.696]  I mean, it is just because listen, this isn't about, and I think people get stuck in this.
[02:04:37.776 --> 02:04:39.936]  They get stuck in like, you're just making Trump look bad.
[02:04:40.176 --> 02:04:40.576]  You're making him.
[02:04:40.816 --> 02:04:44.976]  No, dude, like the future of the Republic kind of hangs on this stuff.
