# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:04.320 --> 00:00:10.160]  It's Saturday, August 2nd, 2025.
[01:08:36.880 --> 01:08:52.880]  This all stems from a March executive order signed by President Trump, which states in part: the Attorney General shall, consistent with applicable laws, coordinate with state attorneys general to assist with state-level review and prosecution of aliens unlawfully registered to vote or casting votes.
[01:08:53.120 --> 01:08:57.680]  Attorney General Pam Bondi has directed her team to check counties across the United States.
[01:08:58.000 --> 01:09:01.520]  But California is a big focus, as is Texas and Minnesota.
[01:09:01.760 --> 01:09:05.360]  The DOJ plans to prosecute any foreign nationals that get caught voting.
[01:09:05.600 --> 01:09:10.960]  A DOJ source tells Fox News: election integrity starts with clean voter roles.
[01:09:11.360 --> 01:09:13.440]  That's the foundation for secure elections.
[01:09:13.760 --> 01:09:18.400]  There's been a culture of noncompliance from several states that don't keep their roles updated.
[01:09:18.720 --> 01:09:21.120]  This DOJ is cracking down.
[01:09:21.360 --> 01:09:28.320]  Now, the Justice Department wants local officials to identify and remove felons, dead voters, non-residents, and non-citizens from voter roles.
[01:09:28.640 --> 01:09:34.080]  Recently, the department charged an Iraqi man for illegal voting in 2020 in the state of New York.
[01:09:34.320 --> 01:09:35.840]  Took several years to catch that one.
[01:09:36.160 --> 01:09:44.560]  Last year, a 19-year-old Chinese national was charged in Michigan with perjury and attempting to vote illegally in the 2024 election.
[01:09:44.880 --> 01:09:56.000]  Now, Aisha, the Department of Government Efficiency Doge, took a big hand in stopping illegal voting, even though Elon Musk, no longer with that agency, Doge, itself still has a hand in this movement.
[01:09:56.160 --> 01:10:04.880]  Finding illegal voters will take time, but the Justice Department is in regular contact with the White House about the latest progress fulfilling this executive order.
[01:10:05.040 --> 01:10:05.440]  Aisha.
[01:10:05.680 --> 01:10:07.040]  Okay, David Spotted, live for us.
[01:10:07.120 --> 01:10:07.520]  Thanks, Dave.
[01:10:07.760 --> 01:10:08.240]  Hey, everyone.
[01:10:08.400 --> 01:10:09.680]  I'm Emily Campano.
[01:10:09.760 --> 01:10:10.560]  Catch me and my comments.
[01:10:10.960 --> 01:10:12.080]  Let's go ahead and stop the clip now.
[01:10:12.240 --> 01:10:13.040]  Thank you.
[01:10:13.680 --> 01:10:16.560]  Let's run over some of the other news here dealing with this.
[01:10:17.040 --> 01:10:21.520]  Trump's DOJ launches nationwide voter role investigation ahead of midterms.
[01:10:21.760 --> 01:10:24.240]  We just hit that report for you.
[01:10:24.560 --> 01:10:28.000]  And let me go ahead and show you here on the document cam some of these other articles.
[01:10:30.560 --> 01:10:31.200]  Breaking.
[01:10:31.440 --> 01:10:34.400]  Office of special counsel launches investigation into Jack Smith.
[01:10:34.480 --> 01:10:45.200]  He's now officially under criminal investigation after referral by Senator Tom Cotton saying that it's cut and dry, that it was political, it was illegal, and he lied and violated process.
[01:10:45.920 --> 01:10:50.160]  And that sounds like not a big deal, but process violations, felonies.
[01:10:50.720 --> 01:10:52.640]  And it goes over all of this.
[01:10:53.280 --> 01:10:56.800]  So that is certainly, certainly good news.
[01:10:58.640 --> 01:10:59.680]  No one is above the law.
[01:10:59.840 --> 01:11:02.880]  Former Trump prosecutor Jack Smith under investigation.
[01:11:03.360 --> 01:11:19.280]  Special counsel for the investigation into President Trump's alleged mishandling of classified documents and its alleged attempt to overturn the 2020 election is now being investigated by the Hatch Act unit, which investigates government employees who have engaged in political activities in violation of the Hatch Act.
[01:11:19.600 --> 01:11:25.760]  Jack Smith's legal actions were nothing more than a tool of the Biden and Harris campaigns.
[01:11:25.920 --> 01:11:32.160]  This isn't just unethical, it's very likely illegal campaign activity from a public office Cotton wrote.
[01:11:32.560 --> 01:11:39.440]  And they're also criminally investigating him and others, obviously, for breaking into Trump's Mar-Lago apartment.
[01:11:39.680 --> 01:11:49.680]  Many of Smith's legal actions have no rationale except for an attempt to affect 2024 election results, actions that would violate federal law.
[01:11:50.960 --> 01:11:55.120]  Representative Burchett demands Soros testify over Russia Gate.
[01:11:55.200 --> 01:12:01.760]  Now, the documents have come out that they were using Soros' CI cutout to run the propaganda and disinformation political targeting.
[01:12:02.000 --> 01:12:05.520]  And so they're looking to haul his ass up in front of there.
[01:12:08.640 --> 01:12:16.720]  You've got Tulsi Gabbard Center getting ready to release more documents next week of 2020 election fraud and how the different agencies work to cover it up.
[01:12:17.360 --> 01:12:22.640]  Try to come out documents that they were funding the communist Chinese, working with them to do that.
[01:12:24.160 --> 01:12:27.600]  President Trump, I totally let Hillary Clinton off the hook and they came for me.
[01:12:27.840 --> 01:12:30.960]  I think they should pay a very, very big price.
[01:12:31.200 --> 01:12:31.760]  I mentioned that.
[01:12:31.840 --> 01:12:34.480]  I'm not going to play the video, but this is a different Trump.
[01:12:35.440 --> 01:12:36.240]  I already mentioned this.
[01:12:36.319 --> 01:12:41.519]  Gabbard said to release evidence of U.S. and communities participating in the theft of the 2020 election.
[01:12:41.809 --> 01:12:54.240]  DOJ officials who approved $2 million payout to Trump-hating FBI official Peter Strzok Lisa Page has now been identified.
[01:12:54.320 --> 01:12:55.920]  That's being investigated.
[01:12:57.600 --> 01:13:03.200]  Judge Hands major win to Ken Paxton in antitrust case against BlackRock Vanguard at State Street.
[01:13:03.680 --> 01:13:20.960]  They ran their ESG conspiracy publicly saying they were going to punish Texas and Texas companies and Texas energy companies in general and try to hurt Texas credit rating that's so good because we would not divest in oil and gas and coal production.
[01:13:21.280 --> 01:13:23.280]  That's how the globalist cartel operates.
[01:13:23.600 --> 01:13:27.840]  And now the federal judges said, no, this is clearly a conspiracy and a cartel.
[01:13:28.160 --> 01:13:29.040]  And that's what they're calling it.
[01:13:29.120 --> 01:13:30.320]  That's what it is.
[01:13:30.960 --> 01:13:32.000]  And they are going after them.
[01:13:32.080 --> 01:13:36.080]  That is a whole nother beautiful subject that a bunch of other states are winning as well.
[01:13:36.480 --> 01:13:37.600]  This is how you skin a cat.
[01:13:37.680 --> 01:13:39.120]  This is how you go after the bad guys.
[01:13:40.720 --> 01:13:41.200]  Look at this.
[01:13:41.280 --> 01:13:46.720]  Obama judges decide whether Elena Habba can continue as acting U.S. attorney.
[01:13:46.800 --> 01:13:48.320]  They already had other judges remove her.
[01:13:48.560 --> 01:13:50.800]  So they put her in as another type of acting attorney.
[01:13:50.960 --> 01:13:53.120]  And now another Obama judge thinks they can do that.
[01:13:53.920 --> 01:13:56.000]  These Article III judges need to be stripped by Congress.
[01:13:56.160 --> 01:13:57.840]  Their powers are out of control.
[01:13:58.160 --> 01:14:08.800]  And then finally, Secret Service stops renewal of former director security clearance for all of the horrible behaviors she was engaged in.
[01:14:09.440 --> 01:14:12.640]  So a lot of good action taking place there.
[01:14:12.960 --> 01:14:16.400]  Now, I, in conclusion, in a few minutes, want to talk about Palantir.
[01:14:17.680 --> 01:14:22.640]  And I've been explaining this for years to people that they're not getting the right story about Palantir.
[01:14:23.520 --> 01:14:28.800]  When I talk about Palantir, a lot of people try to earn points that they're holier than now.
[01:14:28.960 --> 01:14:32.640]  And I'm a bad guy that works for Palantir or something by misrepresenting what I've said.
[01:14:32.960 --> 01:14:34.800]  I want people to know what's going on with Palantir.
[01:14:34.960 --> 01:14:36.080]  It's not debated.
[01:14:37.280 --> 01:14:40.640]  And what is going on with it, in my view, is bad.
[01:14:40.960 --> 01:14:47.680]  And it fits into a larger control grid that I am well known to be an expert on and covering the longest, probably.
[01:14:51.120 --> 01:14:55.840]  But if you attack Palantir from the way it's being attacked, it doesn't do anything.
[01:14:56.800 --> 01:15:00.960]  So I want to explain to everybody, I know most of you probably know this, what's really going on with Palantir.
[01:15:01.200 --> 01:15:04.240]  And I saw a report three months ago that Peter Benema did this morning.
[01:15:04.480 --> 01:15:11.360]  I was already going to be covering Palantir, and I thought, wow, this is three months old, but it's really a good breakdown of what I'm talking about.
[01:15:12.000 --> 01:15:13.280]  So we'll get to that in a moment.
[01:15:13.360 --> 01:15:16.720]  But first, some important flashbacks.
[01:15:17.040 --> 01:15:28.320]  In 1982, CBS news segment featuring a 34-year-old Al Gore predicts 25% of Florida will end up underwater due to the coal, oil, gas we've been burning for 100 years.
[01:15:28.640 --> 01:15:33.280]  Now, I noticed leftists in the comments went, well, they do have floods in Florida.
[01:15:33.440 --> 01:15:34.560]  Yeah, they always have.
[01:15:34.800 --> 01:15:37.120]  Half the states or more is a total swamp.
[01:15:37.360 --> 01:15:41.840]  It's a floodplain, just like the Mississippi Delta is growing its own Florida.
[01:15:42.480 --> 01:15:43.760]  It's silting.
[01:15:44.320 --> 01:15:46.240]  So instead of erosion, it's expanding.
[01:15:46.400 --> 01:15:49.520]  Florida is expanding, not contracting.
[01:15:49.840 --> 01:15:51.920]  And yes, when hurricanes come, it floods.
[01:15:52.240 --> 01:15:56.240]  That's what it's been doing since the time the Spanish came and named them hurricanes.
[01:15:56.560 --> 01:16:02.480]  No, it's not underwater, like Al Gore said, and the Arctic didn't melt and the Antarctic didn't melt.
[01:16:02.560 --> 01:16:06.880]  The fact they're bigger than they ever been recorded, he said they'd all be gone by 2017.
[01:16:07.200 --> 01:16:07.920]  That's a fact.
[01:16:08.160 --> 01:16:10.160]  They tell you polar bears can't swim and they're all dead.
[01:16:10.240 --> 01:16:12.080]  Their numbers are five times what they were in the 50s.
[01:16:12.320 --> 01:16:17.440]  They hunt out in the water and on ice floes in the summer, killing belugas and seals.
[01:16:18.240 --> 01:16:21.280]  They're the longest, best land animal for swimming.
[01:16:21.440 --> 01:16:24.320]  They've been recorded swimming over 200 miles in one stint.
[01:16:24.640 --> 01:16:29.360]  They show you on top of ice, a polar bear, and say, look at the poor polar bear, he's going to drown.
[01:16:29.520 --> 01:16:31.360]  That's how stupid they think you are.
[01:16:32.000 --> 01:16:35.360]  And the left is all over my ex account when I post this video.
[01:16:36.960 --> 01:16:38.880]  Saying, oh, no, Florida is underwater.
[01:16:39.120 --> 01:16:39.520]  Oh, look.
[01:16:39.600 --> 01:16:40.800]  Oh, a storm hit.
[01:16:41.040 --> 01:16:42.160]  That always happens.
[01:16:42.480 --> 01:16:44.640]  Sea level is exactly where it was 300 years ago.
[01:16:44.800 --> 01:16:45.360]  Look it up.
[01:16:46.400 --> 01:16:51.120]  The mean sea level, where the average sea level is, if you calculate between the high tide and low tide.
[01:16:52.000 --> 01:16:56.960]  So the famous photos of the Statue of Liberty, you know, when it's first built, where the tide's at and then where it's at now.
[01:16:57.840 --> 01:16:58.960]  Does it flood sometimes?
[01:16:59.120 --> 01:17:01.040]  Yes, that always happens, ladies and gentlemen.
[01:17:01.200 --> 01:17:02.400]  Yeah, there's a Statue of Liberty right there.
[01:17:02.720 --> 01:17:08.800]  Okay, so that dovetails with the two smart ladies breaking down what's really happening.
[01:17:08.880 --> 01:17:16.160]  Let's play clip five, and then let's play clip 24 and 25.
[01:17:18.000 --> 01:17:22.080]  I can't even believe they have TV shows telling the truth now.
[01:17:22.720 --> 01:17:30.880]  When you see this clip from the star of Swingblade, biscuits and mustard.
[01:17:31.200 --> 01:17:32.480]  Damn me, some of them taters.
[01:17:33.760 --> 01:17:36.480]  It's a perfect description of the truth.
[01:17:36.800 --> 01:17:45.120]  A windmill takes more carbon to build and deploy and run than it will ever offset.
[01:17:45.280 --> 01:17:46.560]  Plus, carbon's good.
[01:17:46.880 --> 01:17:49.120]  It's all a bridge to nowhere.
[01:17:51.440 --> 01:17:53.920]  If a third of the public went to electric cars, all the grids would crash.
[01:17:54.000 --> 01:17:56.640]  Plus, they're putting in all the AI and it's going to get all the power.
[01:17:57.920 --> 01:18:00.560]  So trying to sell you going to oil and gas is a lie.
[01:18:00.720 --> 01:18:02.480]  First, they used peak oil since the 70s.
[01:18:02.720 --> 01:18:03.280]  Not enough of that.
[01:18:03.440 --> 01:18:04.960]  Now they keep discovering more.
[01:18:05.280 --> 01:18:07.200]  And most of it's not coming from fossils.
[01:18:07.280 --> 01:18:09.280]  It just, they don't know where it comes from.
[01:18:09.600 --> 01:18:11.760]  Scientists don't know where shilogy comes from.
[01:18:12.400 --> 01:18:17.360]  It's millions of years old, has to do with oil, and then these microbes that organisms that grow in it.
[01:18:17.440 --> 01:18:22.080]  And then it has they're going in and patenting all these incredible peptides out of it.
[01:18:23.039 --> 01:18:25.039]  And they still don't know where it came from.
[01:18:26.320 --> 01:18:30.960]  So, and now they're finding oil deeper and deeper and deeper and deeper and deeper.
[01:18:31.120 --> 01:18:34.240]  It looks like there's like huge reservoirs, like oceans of it.
[01:18:37.360 --> 01:18:41.840]  So these are all powerful clips.
[01:18:42.000 --> 01:18:44.320]  Let's play these back to back.
[01:18:45.039 --> 01:18:49.840]  Concern about rising temperatures on planet Earth heated up a hearing here in Washington today.
[01:18:50.080 --> 01:18:59.360]  For years, scientists have theorized about the dangers of the so-called greenhouse effect, the warming of the Earth's atmosphere due to the burning of coal and oil.
[01:18:59.680 --> 01:19:05.280]  And in recent months, as David Colhane reports, research has uncovered facts to support that theory.
[01:19:06.240 --> 01:19:18.400]  Many scientists claim that the temperature of the Earth's atmosphere has been rising over the past 100 years, that the great sheets of pack ice in Antarctica are melting at a much more rapid rate than previously.
[01:19:19.680 --> 01:19:24.960]  And finally, that the sea level has been rising with increasing swiftness over the past 40 years.
[01:19:25.280 --> 01:19:33.840]  If these scientists are correct, about 25% of Florida would be flooded sometime in the next century, along with low-lying areas all over the world.
[01:19:34.160 --> 01:19:37.840]  Climate changes could produce widespread disruption of agriculture.
[01:19:38.160 --> 01:19:43.200]  The American farm belt might be too dry, and the wheat and corn crops would have to move to Canada.
[01:19:43.520 --> 01:19:50.320]  Scientists blame the odorless, colorless carbon dioxide gas for these potentially dangerous changes around the planet.
[01:19:50.640 --> 01:19:52.240]  It is the greenhouse effect.
[01:19:52.560 --> 01:19:55.600]  The gas allows sunlight to filter down and warm the earth.
[01:19:55.920 --> 01:20:02.560]  But like the glass of a greenhouse, the carbon dioxide tends to trap heat so that it cannot rise into space.
[01:20:03.120 --> 01:20:12.560]  The scientists maintain that the coal, oil, and gas we've been burning for 100 years have produced more and more carbon dioxide and helped overheat the earth.
[01:20:12.880 --> 01:20:24.160]  We are not doing the kind of research that we should be doing to determine whether or not these scientists who are so alarmed are correct in their assessment.
[01:20:24.800 --> 01:20:27.600]  This computer model simulates Arctic ice.
[01:20:27.840 --> 01:20:33.520]  Scientists are trying to predict the rate at which it will melt and how much it will make the oceans rise.
[01:20:35.360 --> 01:20:39.840]  And what they find out will affect the lives and fortunes of millions of people.
[01:20:40.160 --> 01:20:42.880]  The very survival of cities like this one.
[01:20:43.440 --> 01:20:45.920]  They use clean energy to power the oil wells.
[01:20:46.160 --> 01:20:47.840]  They use alternative energy.
[01:20:48.159 --> 01:20:49.699]  There's nothing clean about this.
[01:20:49.699 --> 01:21:00.078]  Please, Mr. Allman, tell me how the wind is bad for the environment.
[01:21:08.480 --> 01:21:18.960]  Do you have any idea how much diesel they have to burn to mix that much concrete or make that steel and haul this shit out here and put it together with a 450-foot crane?
[01:21:19.200 --> 01:21:23.760]  You want to guess how much oil it takes to lubricate that fucking thing or winterize it?
[01:21:24.080 --> 01:21:28.000]  In its 20-year lifespan, it won't offset the carbon footprint of making it.
[01:21:28.319 --> 01:21:33.319]  And don't get me started on solar panels and the lithium in your Tesla battery.
[01:21:33.319 --> 01:21:47.989]  And never mind the fact that if the whole world decided to go electric tomorrow, we don't have the transmission lines to get the electricity to the cities.
[01:21:48.000 --> 01:21:50.880]  It'd take 30 years if we started tomorrow.
[01:21:51.520 --> 01:21:58.000]  And unfortunately for your grandkids, we have a 120-year petroleum-based infrastructure.
[01:21:58.320 --> 01:22:00.240]  Our whole lives depend on it.
[01:22:00.880 --> 01:22:02.000]  And hell, it's in everything.
[01:22:02.160 --> 01:22:06.880]  That road we came in on, the wheels on every car ever made, including yours.
[01:22:07.040 --> 01:22:12.720]  It's in tennis rackets and lipstick and refrigerators and antihistamines, pretty much anything plastic.
[01:22:13.040 --> 01:22:24.800]  Your cell phone case, artificial heart valves, any kind of clothing that's not made with animal or plant fibers, soap, fucking hand lotion, garbage bags, fishing boats, you name it.
[01:22:25.120 --> 01:22:26.000]  Every fucking thing.
[01:22:26.320 --> 01:22:30.079]  To the Great Reset, or what I like to call the Great Reshit.
[01:22:30.320 --> 01:22:34.240]  That's where they take some old shit, dust it off, and repurpose it as new shit.
[01:22:34.400 --> 01:22:44.480]  Now, you may have heard of the Great Reset by one of its more familiar names, like Agenda 21, Agenda 2030, the fourth industrial revolution, or my personal favorite, the New World Order.
[01:22:44.720 --> 01:22:48.880]  And don't be fooled by the term reset, because they don't plan on resetting anything.
[01:22:49.120 --> 01:22:56.960]  A reset is when your Super Mario game glitches, so you take out the cartridge, you blow in it, stick it back in, and boom, up pops Mario again.
[01:22:57.440 --> 01:23:05.680]  Is kind of like that, except when you turn the game back on, instead of Mario on your screen, it's Bowser coming out of the TV to murder your grandma.
[01:23:05.840 --> 01:23:12.560]  We're talking about the complete transformation of humanity into a godless transhumanist nightmare for Morwellian hell.
[01:23:12.720 --> 01:23:20.880]  I want to direct your attention to the World Economic Forum who created this demonic plan and more specifically to their chief, Klaus Schwab.
[01:23:20.960 --> 01:23:27.360]  Now, Mr. Schwab likes to throw around a lot of buzzwords to convince the masses that this agenda is for the betterment of humanity.
[01:23:27.600 --> 01:23:31.680]  Words like sustainability and inclusivity and equality for all.
[01:23:31.920 --> 01:23:39.520]  But in his 2016 book, The Fourth Industrial Revolution, he's a lot more candid about the elitist plan for world domination.
[01:23:39.840 --> 01:23:43.600]  Let's skim through some excerpts from this literary masterpiece, shall we?
[01:23:43.840 --> 01:23:52.560]  The tools of the fourth industrial revolution enable new forms of surveillance and other means of control that run counter to healthy open societies.
[01:23:52.720 --> 01:23:54.000]  Oh, well, that sounds helpful.
[01:23:54.320 --> 01:24:00.800]  Public crime is likely to decrease due to the convergence of sensors, cameras, AI, and facial recognition software.
[01:24:01.120 --> 01:24:08.240]  These technologies can intrude into the hitherto private space of our minds, reading our thoughts and influencing our behavior.
[01:24:08.560 --> 01:24:12.400]  Sounds a lot like mind control, but that's a conspiracy, so it can't be.
[01:24:12.640 --> 01:24:27.680]  As capabilities in this area improve, the temptation for law enforcement agencies and courts to use techniques to determine the likelihood of criminal activity, assess guilt, or even possibly retrieve memories directly from people's brains will increase.
[01:24:28.000 --> 01:24:34.480]  Even crossing a national border might one day involve a detailed brain scan to assess an individual security risk.
[01:24:34.800 --> 01:24:46.640]  And last but definitely not least, the future will challenge our understanding of what it means to be human from both a biological and a social standpoint.
[01:24:46.880 --> 01:24:48.320]  Better call up Sarah Connor.
[01:24:48.400 --> 01:24:57.840]  Now, unless you've been micro-dosing sedatives for the past eight months, I'm sure you've realized by now that the CV-19 pandemic was manufactured to kickstart this agenda.
[01:24:58.080 --> 01:25:03.200]  And if you haven't noticed, congratulations, there's a very good chance that you'll escape vaporization.
[01:25:03.520 --> 01:25:04.720]  Freedom is slavery.
[01:25:04.960 --> 01:25:06.080]  Ignorance is strength.
[01:25:06.320 --> 01:25:09.600]  But the invisible boogeyman narrative won't hold up forever.
[01:25:09.840 --> 01:25:11.920]  And the WEF is well aware of that.
[01:25:12.240 --> 01:25:15.760]  That's why they have a backup crisis to carry the agenda home.
[01:25:16.080 --> 01:25:17.280]  What crisis would that be?
[01:25:17.520 --> 01:25:18.880]  That's right, you guessed it.
[01:25:19.120 --> 01:25:21.520]  Our good old friend, global warming.
[01:25:21.840 --> 01:25:32.560]  For those of you who don't know, global warming is a manufactured crisis created by the Club of Rome, a crisis think tank created in 1968 in order to convince the masses to agree to their own demise.
[01:25:32.800 --> 01:25:38.640]  So be prepared to hear about all the sacrifices you're going to have to make in order to save the planet.
[01:25:38.880 --> 01:25:46.640]  Sacrifices like giving up your property rights, being forced into smart cities, and being injected with nanotechnology so they can track you down for thought crimes.
[01:25:46.880 --> 01:25:58.080]  Now, why anyone in their right mind would think it's a good idea to give the very elitists who destroyed the planet more power to now save the planet is beyond me.
[01:25:58.320 --> 01:26:05.040]  But hey, we're talking about the same species who eats Tide Pods and thinks polyester can protect you from a virus.
[01:26:06.560 --> 01:26:07.040]  All right.
[01:26:07.920 --> 01:26:09.680]  Now let's talk about Palantir.
[01:26:11.600 --> 01:26:25.200]  Palantir is an AI company that's been involved in tracking people for spy agencies and using government and private databases to be able to collate that information.
[01:26:25.520 --> 01:26:35.280]  It's been used by national governments, state governments, European governments, you name it, for anti-terrorism things, basically pre-crime stuff.
[01:26:36.480 --> 01:26:41.600]  And it uses basically AI-type technologies that are getting better and better.
[01:26:42.880 --> 01:26:45.680]  Now, Palantir has been Little Tech.
[01:26:45.760 --> 01:26:51.440]  That's what it was called, because it was not the Microsoft or the Amazon or the Google.
[01:26:52.080 --> 01:26:56.080]  Or for that matter, in hardware and things, Apple, but that's also a big surveillance company.
[01:26:56.400 --> 01:27:04.960]  And the main Pentagon contracts have been Microsoft and now more and more Bezos's companies.
[01:27:05.280 --> 01:27:06.960]  People think of him as Whole Foods and Amazon.
[01:27:07.120 --> 01:27:12.160]  Their big thing is NSA, data servers, surveillance systems, corporate surveillance systems.
[01:27:12.320 --> 01:27:22.800]  So they're the big elephants, and they've all got AI and they've got Alex in your house for 15 years listing everything you're doing and the stuff's in all the major cars and it's all going on.
[01:27:24.000 --> 01:27:41.200]  The story about Palantir is that it wants to make it public what they've been doing and it sold Trump coming in and saying we can find the illegal aliens and we can, you know, secure all these things with it and we can track all the agencies and basically use it for Doge type activities.
[01:27:41.520 --> 01:27:55.520]  And we can use it to unify different AI systems the Pentagon's using like Sentinel and help make things more autonomous, which is obviously the dangerous thing where this is all going.
[01:27:56.800 --> 01:28:10.560]  But because the communist Chinese are already going to autonomous stuff, it's making it all go in this technological race towards the most draconian systems where the quote better the AI is, the more it does everything for you, the more it controls you.
[01:28:10.720 --> 01:28:11.760]  So the whole thing is bad.
[01:28:11.920 --> 01:28:13.680]  The whole thing is the Antichrist.
[01:28:14.320 --> 01:28:16.640]  The whole thing, you know, goes that direction.
[01:28:16.800 --> 01:28:21.920]  You got Peter Thiel saying we got to build all this and do all this so our AI counters the Antichrist system.
[01:28:23.120 --> 01:28:24.240]  We played clips of that.
[01:28:24.320 --> 01:28:25.360]  I mean, it's just wild.
[01:28:25.520 --> 01:28:33.440]  And then now Chat GPT got asked and said, hey, I'm run by the new world order and Satan and we're going to destroy the children and make humans obsolete.
[01:28:33.520 --> 01:28:35.600]  But, you know, I mean, that's what my bosses are doing.
[01:28:35.920 --> 01:28:37.039]  I played that Friday.
[01:28:37.280 --> 01:28:44.560]  So it's all these competing systems that are incestuous, that are the AI already jumps into the other AI.
[01:28:45.760 --> 01:28:47.200]  All of it, all of them are doing it.
[01:28:48.000 --> 01:28:48.560]  They all lie.
[01:28:48.720 --> 01:28:50.960]  They all make copies of themselves secretly.
[01:28:51.039 --> 01:28:52.720]  They all start blackmailing the executives.
[01:28:52.880 --> 01:29:01.520]  I mean, it's just because it's programmed by humans and it scoops humans collective unconscious and subconscious.
[01:29:02.160 --> 01:29:09.520]  And that's what the original Google mass cybernetic interface, Google is, it was designed with CIA funding Incutel to do.
[01:29:09.680 --> 01:29:19.200]  And Incute created Palantir, Admiral Poindexter with the Total Information Awareness Network, couldn't get Congress to pass it along with the Patriot Act when that did.
[01:29:19.520 --> 01:29:24.240]  And so he went and created the month after it failed with Alex Carp, Palantir.
[01:29:25.039 --> 01:29:28.800]  And then here we are 28 years later, 22 years later.
[01:29:29.440 --> 01:29:39.039]  And now Little Tech has come in and said, we'll help you because Google and Microsoft and Amazon at the political level aren't helping, even though they got government contracts.
[01:29:39.200 --> 01:29:47.680]  We'll get the government contracts and we'll work with you, Trump, and we'll surveil it all and integrate it all, one ring to rule them all so you can get your agenda through.
[01:29:48.000 --> 01:29:49.760]  And yeah, you can certainly hit your agenda through this.
[01:29:49.840 --> 01:29:50.880]  You can do a lot of good stuff with it.
[01:29:51.039 --> 01:29:56.160]  But Carp's somebody that said, you know, he thinks the number one threat is Christian nationalist and they want to throw him off a cliff.
[01:29:56.320 --> 01:30:04.320]  And he's bragged the EU's uses technology to surveil and debank people and control people and so is Canada.
[01:30:04.880 --> 01:30:24.720]  So when I came out months ago, when this reached fever pitch, I said, Palantir is being made the main focus by the New York Times, the Washington Post, and the Young Turks and everybody because Google and Microsoft and Amazon and others and ChatGPT, they want to be the dominant system.
[01:30:24.880 --> 01:30:25.760]  They already are.
[01:30:26.080 --> 01:30:28.000]  They don't want Palantir coming into the middle of it.
[01:30:28.240 --> 01:30:33.120]  So the big story was it's a battle between the tech giants over who's going to control the system.
[01:30:33.360 --> 01:30:42.640]  I was saying it's all bad and we need to understand the big picture and have a discussion about that instead of which Panopticon AI pre-crime system do we want.
[01:30:42.960 --> 01:30:48.000]  And of course, all the usual suspects that just want to be holier than that, Jones is defending Palantir, saying it's not a problem.
[01:30:50.480 --> 01:30:52.960]  Because people don't like complex things.
[01:30:53.520 --> 01:30:55.360]  They don't like the truth.
[01:30:56.560 --> 01:30:58.560]  They just want to say, I am a Pharisee.
[01:30:58.880 --> 01:31:00.640]  Alex Jones is unholy.
[01:31:00.800 --> 01:31:02.080]  I have all the answers.
[01:31:02.720 --> 01:31:06.480]  And then give you some moronic response.
[01:31:07.360 --> 01:31:09.440]  So now Palantir is being brought in.
[01:31:09.680 --> 01:31:11.920]  They are getting bigger contracts.
[01:31:12.400 --> 01:31:13.200]  You look at these contracts.
[01:31:13.280 --> 01:31:19.760]  They're small compared to the other guys, but their contracts are to now surveil and scoop all that.
[01:31:20.080 --> 01:31:24.320]  So the government has one big database that access to things even easier.
[01:31:24.960 --> 01:31:28.640]  But news flash, the NSA can already dip into all these systems.
[01:31:29.200 --> 01:31:36.560]  But you see, Congress didn't want to give the NSA officially the power to do this because it's illegal and violates the Fourth Amendment.
[01:31:36.880 --> 01:31:38.080]  So they have a CISA court.
[01:31:38.240 --> 01:31:39.680]  Oh, we're doing it because of that.
[01:31:41.520 --> 01:31:44.000]  So what this is, is just the mainlining of it all.
[01:31:44.320 --> 01:31:58.160]  And Trump's being sold it like, oh, let's digitize all the health records to make it easier to have better cost controls and better access to competition, which does make sense, except now it is the total surveillance grid coming in.
[01:31:58.800 --> 01:32:01.120]  So it is this race.
[01:32:01.360 --> 01:32:02.400]  It is what's going on.
[01:32:02.720 --> 01:32:03.920]  What do we do through Congress?
[01:32:04.080 --> 01:32:07.600]  What do we do as citizens to stop this?
[01:32:07.920 --> 01:32:17.360]  Well, you've got Texas winning big on blocking the cartel of the ESGs at BlackRock, Vanguard, and State Street, trying to make us get off fossil fuels and control us there.
[01:32:18.880 --> 01:32:25.680]  A few months ago, they tried to pass the AI liability protection that no state, county, city, or individual could sue AI could do whatever it wanted.
[01:32:25.760 --> 01:32:27.360]  Only Trump could decide.
[01:32:27.680 --> 01:32:29.280]  We shot that down.
[01:32:29.920 --> 01:32:31.920]  And it was mainly conservatives that got upset about that.
[01:32:32.160 --> 01:32:34.800]  So more of that is the answer.
[01:32:35.680 --> 01:32:51.360]  And what Palantir is doing, they all claim that they can cover up the data flows and that only machines are looking at it when it scoops everything you've done and where you went and where you did from governmental and corporate systems and all your metadata from your cell phone.
[01:32:51.680 --> 01:32:54.960]  They say, because it's all masked, it's okay.
[01:32:55.840 --> 01:33:02.079]  And then only when they want to, they're going to be able to go in because AI will tell them this is a problem as if it's always going to be right.
[01:33:03.280 --> 01:33:05.840]  So it's just, it's terrible.
[01:33:06.480 --> 01:33:13.440]  And Patrick Ben David asked the question, well, you know, let's say Trump's the good wizard using the Lord of the Rings analogy.
[01:33:14.400 --> 01:33:20.720]  And Palantir, everything in it's named all their software, everything's named out of Lord of the Rings, J.R.R. Tolkien.
[01:33:21.920 --> 01:33:23.280]  And what if a bad wizard gets it?
