# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.000 --> 00:00:01.040]  He's like, yeah, kid.
[01:27:34.400 --> 01:27:36.400]  Alex Jones does it again.
[01:27:38.800 --> 01:27:40.240]  But here's what's different.
[01:27:42.000 --> 01:27:46.800]  There are a bunch of people saying this weeks ago, nobody's even attacking them because nobody believes anything anymore.
[01:27:47.440 --> 01:28:02.640]  I genuinely have talked to a lot of medical doctors I know and pathologists and you Academy Award-winning actors can't the exact millisecond it hits That spinal cord out that fits with what the doctor said.
[01:28:02.880 --> 01:28:07.040]  I mean, he's, I mean, it's, it's, it's, you see that violently.
[01:28:07.280 --> 01:28:07.440]  Yeah.
[01:28:07.760 --> 01:28:12.800]  Uh, you can't fake that, like, oh, when I, when they do the pop, then I squeeze my hands.
[01:28:12.960 --> 01:28:14.000]  No, it's the millisecond.
[01:28:14.080 --> 01:28:15.360]  It's, it's gone.
[01:28:15.840 --> 01:28:16.800]  He's paralyzed.
[01:28:16.880 --> 01:28:19.040]  It's, it's, they got like five or six vertebrates.
[01:28:19.520 --> 01:28:20.400]  No, that's real.
[01:28:20.640 --> 01:28:22.720]  Just like you can't fake Trump getting shot.
[01:28:23.040 --> 01:28:24.880]  They shot people in the crowd, killed a person.
[01:28:25.200 --> 01:28:29.280]  Then another shot comes in from this angle and you can see it hitting the clothes and bags and hitting a person.
[01:28:29.840 --> 01:28:32.000]  So, no, those are real bullets at Trump.
[01:28:32.080 --> 01:28:34.880]  And, you know, he did turn at the right moment and it did nick him.
[01:28:35.200 --> 01:28:42.560]  And idiot liberals hold up five, five, six cartridges of the bullet and go, when that hits you, no, it's, it's a, it's a little bullet going this way.
[01:28:42.880 --> 01:28:45.040]  And that's exactly what happens.
[01:28:45.360 --> 01:28:55.680]  I have grazed animals before like wild hogs where they're like 100 yards away and you're like, pop, blah, blah, blah, blah, blah, blah, and you hit it, then it falls over, and then you see where you grazed across the back, and here's the back.
[01:28:56.000 --> 01:29:05.840]  And there's just a perfect graze so thin to the skin that there's like a little channel just across the back and like no blood because it only went in like a little bit or a tiny bit.
[01:29:06.000 --> 01:29:07.680]  So I've done that plenty.
[01:29:09.200 --> 01:29:13.040]  And so people are like, oh, you know, days later, there wasn't much of a mark.
[01:29:13.120 --> 01:29:15.760]  Well, I've been shot in the year with a 22 caliber pellet.
[01:29:16.000 --> 01:29:17.520]  So I can tell you about that.
[01:29:17.840 --> 01:29:30.560]  Some idiot kid we took down the ranch when I was like nine, we're out with 22 caliber pellet guns and he just at the end, for some reason, about 50 feet away, just pointed it at me, like thought he was joking around, didn't know it was loaded, shot it, and it went, I think it was this here.
[01:29:30.640 --> 01:29:34.480]  You can still see some of the lead back in it because it went through, but it left some of the lead.
[01:29:35.200 --> 01:29:39.680]  Bled like a stuck pig, but then closed up in like 30 minutes.
[01:29:40.000 --> 01:29:42.960]  And like I was at school days later, people like, you didn't get really shot.
[01:29:43.120 --> 01:29:46.080]  There's just a red dot right there because it closes up.
[01:29:46.720 --> 01:29:47.920]  So that's how the years are.
[01:29:48.080 --> 01:29:48.800]  Well, you were in the military.
[01:29:48.880 --> 01:29:49.920]  I'm sure you've seen similar things.
[01:29:50.080 --> 01:29:50.240]  Yeah.
[01:29:50.480 --> 01:29:53.440]  But, but no, I mean, look, Trump got shot.
[01:29:53.760 --> 01:29:55.040]  I know real stuff when I see it.
[01:29:55.120 --> 01:29:56.320]  We all know fake stuff when we see it.
[01:29:56.400 --> 01:29:57.600]  I thought we could tell fake AI.
[01:29:57.920 --> 01:29:59.600]  Charlie Kirk blasted.
[01:29:59.920 --> 01:30:04.640]  But I get why people look at all the weird anomalies because it all points towards that.
[01:30:05.120 --> 01:30:06.160]  You do a good job laying them out.
[01:30:06.240 --> 01:30:06.960]  You want to lay them out?
[01:30:07.520 --> 01:30:08.400]  What, as far as what I'm doing?
[01:30:08.560 --> 01:30:10.880]  Well, proviso, you're not saying this.
[01:30:11.120 --> 01:30:21.840]  You're just recounting what, you know, like, listen, when something like this happens, you have to look at what are the possibilities of like the actual motive and who did this, right?
[01:30:22.480 --> 01:30:28.320]  So in my opinion, it's like, okay, option number one, what they're telling us is absolutely correct.
[01:30:28.480 --> 01:30:29.760]  It was Tyler Robinson.
[01:30:29.920 --> 01:30:32.800]  He shot him from the roof and everything else is just weird.
[01:30:33.440 --> 01:30:38.480]  The second option is there was a second gunman and maybe they used Tyler as a decoy.
[01:30:38.800 --> 01:30:46.880]  And we're kind of seeing what looks to be, I mean, to me, it looks like they're covering something up.
[01:30:46.960 --> 01:30:48.160]  And I don't quite know why.
[01:30:48.480 --> 01:30:52.480]  I don't know why they took the narrative and ran with that so quickly.
[01:30:52.800 --> 01:31:01.920]  I don't know why Erica Kirk was giving Tyler forgiveness so quickly after the investigation was still ongoing.
[01:31:02.240 --> 01:31:07.120]  Why are you giving forgiveness to somebody that just killed your husband?
[01:31:07.280 --> 01:31:09.280]  And you don't even know if he's the actual guy.
[01:31:09.600 --> 01:31:11.440]  They haven't finished the investigation.
[01:31:12.240 --> 01:31:13.280]  That doesn't make any sense to me.
[01:31:13.440 --> 01:31:18.000]  Yeah, well, the way it comes out is that's how you basically say the person's guilty by forgiving them.
[01:31:18.080 --> 01:31:19.360]  It's like just shuts down the whole thing.
[01:31:19.760 --> 01:31:20.000]  It's over.
[01:31:20.320 --> 01:31:20.880]  We forgive him.
[01:31:20.960 --> 01:31:21.200]  Move on.
[01:31:21.440 --> 01:31:22.880]  Yeah, that doesn't line up.
[01:31:23.040 --> 01:31:42.000]  So if you're being real and you don't have to, you know, like put all your chips in one hat, but the last option, and there's only one option that answers every single question mark that all of these influencers have that are floating out all of these theories and all these video angles and everything.
[01:31:42.320 --> 01:31:44.640]  There's only one answer that answers all of it.
[01:31:44.880 --> 01:31:46.080]  And that this is fake.
[01:31:46.240 --> 01:31:47.520]  This is all staged.
[01:31:47.840 --> 01:31:52.320]  And that, like, why did you just send people their houses to harass them?
[01:31:52.480 --> 01:31:53.040]  What's that?
[01:31:53.360 --> 01:31:56.000]  Why'd you send people to this house to harass his family?
[01:31:56.880 --> 01:31:58.320]  Why'd you pee on their graves?
[01:31:58.960 --> 01:31:59.360]  No, no, no.
[01:31:59.440 --> 01:31:59.840]  That's what they'll do.
[01:31:59.920 --> 01:32:00.800]  I mean, they're not.
[01:32:01.200 --> 01:32:02.560]  Kirk's not going to do that, but imagine now.
[01:32:02.720 --> 01:32:04.640]  Why'd you send people their houses to harass them?
[01:32:04.880 --> 01:32:05.680]  All he did was ask questions.
[01:32:05.840 --> 01:32:06.720]  Why'd you pee on the grave?
[01:32:06.880 --> 01:32:09.280]  Well, it's why'cause he made $300 million off that?
[01:32:09.440 --> 01:32:11.280]  It's like, you just made $300 million by saying that.
[01:32:11.440 --> 01:32:11.520]  Yeah.
[01:32:11.760 --> 01:32:13.040]  No, but that's how it works.
[01:32:13.520 --> 01:32:14.720]  But see how the world's moved on?
[01:32:14.960 --> 01:32:16.000]  That's totally reasonable.
[01:32:16.080 --> 01:32:18.880]  And a bunch of the military people are saying what you're saying.
[01:32:18.960 --> 01:32:20.560]  They're saying, looks real when he gets shot.
[01:32:20.800 --> 01:32:21.600]  Where's the blood?
[01:32:21.920 --> 01:32:23.040]  And then all the rest of it.
[01:32:23.280 --> 01:32:25.120]  And then where's all the footage of him on the roof?
[01:32:25.200 --> 01:32:26.000]  They got all these cameras.
[01:32:26.080 --> 01:32:27.280]  Why are we showing only him running?
[01:32:27.600 --> 01:32:28.880]  And then all the weird anomalies there.
[01:32:29.040 --> 01:32:29.120]  Yeah.
[01:32:29.520 --> 01:32:30.000]  What does he go to?
[01:32:30.560 --> 01:32:32.800]  The point is, it's good you're asking those questions.
[01:32:33.120 --> 01:32:35.120]  It's American you're asking those questions.
[01:32:35.440 --> 01:32:36.640]  And it's not just okay.
[01:32:36.800 --> 01:32:37.840]  We're supposed to do that.
[01:32:38.160 --> 01:32:38.240]  Yeah.
[01:32:38.400 --> 01:32:38.560]  Yeah.
[01:32:38.720 --> 01:32:40.080]  Even if we're wrong, it's okay.
[01:32:40.240 --> 01:32:40.880]  Dig into this.
[01:32:41.440 --> 01:32:46.240]  As long as you're not going to hinder the investigation that they're doing on Tyler for this case that they're building on the guy.
[01:32:46.480 --> 01:32:46.960]  Like, right?
[01:32:47.120 --> 01:32:48.160]  You don't want to hurt the case.
[01:32:48.240 --> 01:32:54.320]  Like, if, because if all I know is, though, since when can he like he supposedly confessed three times and all this?
[01:32:54.560 --> 01:32:54.800]  Yeah.
[01:32:55.760 --> 01:32:57.360]  Why would they put the confession out?
[01:32:57.680 --> 01:32:58.880]  They would always do that.
[01:32:59.040 --> 01:32:59.200]  Yeah.
[01:32:59.520 --> 01:32:59.920]  I don't know.
[01:33:00.000 --> 01:33:01.760]  They're keeping a lot of things very secretive.
[01:33:02.000 --> 01:33:03.920]  And this is why influencers are out there.
[01:33:04.080 --> 01:33:07.040]  This is why everybody's fucking playing armchair CSI.
[01:33:07.440 --> 01:33:08.560]  Is that why you pee it on the Graves?
[01:33:09.920 --> 01:33:11.440]  No, but you see how it's just mindless?
[01:33:11.760 --> 01:33:13.040]  What do you think about Candace?
[01:33:13.200 --> 01:33:15.680]  What do you think about her stance on all of this right now?
[01:33:15.920 --> 01:33:20.880]  Because she has fucking backed herself into a corner and she's fucking got the claws out.
[01:33:20.960 --> 01:33:21.760]  She's fighting.
[01:33:22.080 --> 01:33:24.880]  Well, that's, I like Candace Owens, and we really discovered her.
[01:33:25.120 --> 01:33:25.680]  I like her too.
[01:33:26.160 --> 01:33:31.440]  I was one of the, I was like Paul Watson, my host, and we were the first to really ever get her on air.
[01:33:33.520 --> 01:33:35.040]  You know her origin story?
[01:33:35.680 --> 01:33:37.200]  The red, what is it?
[01:33:38.400 --> 01:33:40.480]  Red, pill, black, or black, pill, red.
[01:33:40.960 --> 01:33:44.640]  Well, she was going to start a social media for women.
[01:33:45.280 --> 01:33:48.160]  And then the liberals wanted to get control of it.
[01:33:48.640 --> 01:33:54.800]  They were false flagging her, threatening her, like white supremacist and stuff, but it was the women in the group doing it.
[01:33:55.120 --> 01:33:59.120]  So that's kind of how she woke up as a liberal because they were like Jesse Smolletting her.
[01:33:59.440 --> 01:34:00.160]  They were staging stuff.
[01:34:00.880 --> 01:34:12.240]  So and my lawyer, Norm Pattis from Sandy Hook up in Connecticut, where she's from, he actually represented her and got her a big settlement where she did go through racist stuff in high school and stuff.
[01:34:12.560 --> 01:34:14.240]  So I know all about Candace Owens.
[01:34:14.400 --> 01:34:16.160]  I think she is a good person.
[01:34:16.800 --> 01:34:19.280]  I think she means what she says.
[01:34:21.760 --> 01:34:23.360]  You think there's any truth to what she's saying?
[01:34:23.600 --> 01:34:27.200]  Well, you've got to give me the latest because all I know is this.
[01:34:30.080 --> 01:34:35.760]  She came out a few weeks ago and is like, he was shot from the front and it goes through the vertebrae and all that.
[01:34:36.960 --> 01:34:39.680]  And everybody's like, oh, my God, Candace Owens, I'm not lessening it.
[01:34:39.840 --> 01:34:44.480]  I'm like, I broke that like three weeks before that, which I'm not even upset about it.
[01:34:44.720 --> 01:34:48.320]  I'm glad that whatever she says, everybody pays a lot of attention to it because that was true what she said.
[01:34:48.640 --> 01:34:56.000]  And then they had, and the reason I got the details was the TPUSA head guy says, oh, you know, he's got my number.
[01:34:57.200 --> 01:35:01.760]  He calls me up 30 minutes after I do a post on X and he's like, oh, you know, 30 odd six.
[01:35:01.840 --> 01:35:04.240]  And I said, no way at that angle.
[01:35:04.880 --> 01:35:08.960]  And then, so he called me, gave me the full details of what later came out.
[01:35:09.280 --> 01:35:12.400]  And what he said, you know, it's what Candace is saying actually happened.
[01:35:13.840 --> 01:35:15.600]  My point is, she's going off what they say.
[01:35:15.760 --> 01:35:17.120]  We haven't gotten a coroner's report yet.
[01:35:17.200 --> 01:35:17.680]  Does that make sense?
[01:35:17.840 --> 01:35:17.920]  Yeah.
[01:35:18.080 --> 01:35:19.280]  So she's talking to the same people.
[01:35:19.520 --> 01:35:19.760]  Yeah.
[01:35:20.080 --> 01:35:22.880]  She thinks this was an Israeli hit, correct?
[01:35:23.040 --> 01:35:24.080]  Oh, is that what you're getting at?
[01:35:24.240 --> 01:35:24.400]  Yeah.
[01:35:24.960 --> 01:35:29.120]  Oh, yeah.
[01:35:29.200 --> 01:35:31.040]  I mean, she said a whole bunch of stuff about it.
[01:35:31.280 --> 01:35:33.360]  And I guess day one, everybody said it was Israel.
[01:35:34.320 --> 01:35:40.480]  So my thing is the Israel thing is something that sucks all the oxygen out of the room.
[01:35:40.800 --> 01:35:43.600]  So I wasn't being coy earlier when I'm like, what is she talking about?
[01:35:43.920 --> 01:35:45.360]  She said so much stuff.
[01:35:46.320 --> 01:35:54.400]  But I know that from the first day, people were saying he was getting critical of Israel.
[01:35:54.720 --> 01:35:56.800]  He was getting bullied by Israel.
[01:35:57.360 --> 01:35:59.200]  And so he was breaking with Israel.
[01:35:59.520 --> 01:36:01.680]  And then that became a controversy in of itself.
[01:36:01.840 --> 01:36:02.240]  Was he?
[01:36:02.400 --> 01:36:05.840]  Yes, he was saying in public speeches, I don't want to be bullied.
[01:36:06.160 --> 01:36:07.600]  And the lobby's out of control.
[01:36:07.840 --> 01:36:09.760]  And these donors are giving me problems.
[01:36:10.080 --> 01:36:11.040]  And so all that's true.
[01:36:11.120 --> 01:36:13.040]  So what Candace said was true there.
[01:36:14.960 --> 01:36:20.960]  And then, you know, people moved into other areas about what was going on with Candace.
[01:36:21.600 --> 01:36:26.800]  And she had the text messages where he was saying, I'm not going to be bullied by the Israel lobby.
[01:36:27.120 --> 01:36:30.720]  Basically just saying the same stuff again, but in text messages, but a little more intense.
[01:36:31.040 --> 01:36:33.040]  And then they were dumb enough to say she's a liar.
[01:36:33.360 --> 01:36:35.120]  Then, of course, she released him.
[01:36:35.440 --> 01:36:38.880]  And then she released even more text messages that he was fearing for his life.
[01:36:39.520 --> 01:36:50.560]  And he didn't specifically say Israel, but I think, you know, now that that's out, that moves Israel into being one of the top suspects, if not the top, I'd say the top three.
[01:36:50.880 --> 01:37:00.000]  I got a lot of criticism because by the second day of it, people were saying it was Israel because he'd had a public spat with him, basically everybody that wants to be independent ass.
[01:37:00.560 --> 01:37:05.760]  And so I just said, whoa, we can't say Israel did it before we have proof.
[01:37:06.400 --> 01:37:08.320]  And they're like, oh my God, you work for Netanyahu.
[01:37:08.480 --> 01:37:08.880]  Yeah, right.
[01:37:08.960 --> 01:37:15.120]  That's why, you know, I have the whole Israel lobby literally behind the lawsuits against me, all the rest of it, breathing down my neck.
[01:37:15.200 --> 01:37:21.280]  And they aren't talking about you guys at ADL galas and how the number one threat need to be put in jail, Sasha Baron Cohen.
[01:37:21.360 --> 01:37:21.920]  They're talking about me.
[01:37:22.080 --> 01:37:23.920]  Okay, so let's just get that straight.
[01:37:24.240 --> 01:37:29.280]  Because I come at the Israel lobby, both APAC and the ADL on the left, from a reasonable place.
[01:37:29.440 --> 01:37:30.160]  I don't want to destroy you.
[01:37:30.240 --> 01:37:31.120]  I don't want to blow up Israel.
[01:37:31.200 --> 01:37:34.000]  I don't hate you, but I don't want you involved in my politics.
[01:37:34.240 --> 01:37:39.200]  And I'm sick of hearing about how we're all racist if we don't do everything you say and open up the borders and all this.
[01:37:39.440 --> 01:37:41.520]  So just get out of my backyard.
[01:37:41.840 --> 01:37:42.880]  You got your territory.
[01:37:43.040 --> 01:37:44.960]  You wouldn't have me over there telling you what to do.
[01:37:45.280 --> 01:37:46.400]  Get out of my grill.
[01:37:46.960 --> 01:37:47.120]  Okay.
[01:37:47.280 --> 01:37:51.680]  But there's all sorts of groups and organizations like that, but I don't sit there at night jacking off going, I hate the Jews.
[01:37:52.400 --> 01:37:54.000]  That stuff just gets really old.
[01:37:54.320 --> 01:37:56.160]  So, well, that's what a lot of these guys that hate them do.
[01:37:56.400 --> 01:38:00.880]  They literally look, maybe I have an allergy to it because I've been on there 30 years plus.
[01:38:01.200 --> 01:38:02.640]  And I was on here just a few months.
[01:38:02.800 --> 01:38:10.400]  And like, I'd have guys come down in the studio and go, you're talking about the new world order, but you know, it's the Jews.
[01:38:10.480 --> 01:38:11.600]  And here's some pamphlets.
[01:38:11.840 --> 01:38:13.040]  We want to come on your show.
[01:38:13.360 --> 01:38:14.720]  And they'd be up there the next week.
[01:38:14.960 --> 01:38:16.480]  I've been on here like a month, 31 years ago.
[01:38:16.560 --> 01:38:18.960]  They're like, I noticed you didn't call me back.
[01:38:19.200 --> 01:38:20.480]  I guess you work for the Jews.
[01:38:21.200 --> 01:38:22.880]  And my friend, I was like, no, I hadn't read the stuff yet.
[01:38:22.960 --> 01:38:23.840]  It was like in the back of my car.
[01:38:23.920 --> 01:38:25.120]  I'm like, yeah.
[01:38:25.760 --> 01:38:28.000]  Joe's is kind of a Jewish name.
[01:38:28.320 --> 01:38:29.600]  We'll be watching you, boy.
[01:38:30.000 --> 01:38:40.880]  So my first experience was like, these people are like, just, I was like, well, they're the worst ambassadors there are because they're the little club that's good, and everyone else is not pure.
[01:38:41.200 --> 01:38:44.320]  And all leads, all roads lead to the Jews.
[01:38:44.640 --> 01:38:48.560]  And then meanwhile, they're like, you won't talk about the U.S. I mean, I literally have callers calling.
[01:38:48.720 --> 01:38:51.280]  They go, why are you covering up the USS Liberty?
[01:38:51.920 --> 01:38:55.040]  I've interviewed more of the people than anybody else because most of them are dead now.
[01:38:55.360 --> 01:38:56.960]  I made films about it.
[01:38:57.280 --> 01:38:59.120]  I'm a false flag expert.
[01:38:59.840 --> 01:39:02.080]  I put the USS Liberty on the map.
[01:39:02.720 --> 01:39:04.560]  And it's like, I've had callers before.
[01:39:04.800 --> 01:39:06.960]  Why are you not talking about the Federal Reserve?
[01:39:07.280 --> 01:39:07.600]  I don't know.
[01:39:07.600 --> 01:39:09.120]  I've only talked about it 10,000 times.
[01:39:09.680 --> 01:39:10.240]  What are you talking about?
[01:39:10.560 --> 01:39:19.280]  So on the issue of Israel, I couldn't say two days in Israel did it just because he was having a breakup with Israel.
[01:39:19.600 --> 01:39:19.920]  Okay.
[01:39:20.160 --> 01:39:24.400]  And then Netanyahu adds fuel the fire saying, I not killed Charlie Kirk and all that stuff.
[01:39:24.560 --> 01:39:25.280]  So I don't know.
[01:39:25.440 --> 01:39:26.560]  Is Israel capable?
[01:39:26.720 --> 01:39:30.160]  Is Benjamin Yetan Yahoo capable of killing Charlie Kirk?
[01:39:31.360 --> 01:39:33.440]  Are fish capable of swimming in the ocean?
[01:39:33.760 --> 01:39:34.000]  Okay.
[01:39:34.240 --> 01:39:36.160]  Can a bear take a dump in the woods?
[01:39:37.040 --> 01:39:38.240]  And let's go here.
[01:39:38.480 --> 01:39:43.680]  Netanyahu was involved with the CIA and Pentagon and the neocons running 9-11.
[01:39:43.840 --> 01:39:45.200]  That's a two-hour discussion.
[01:39:45.440 --> 01:39:46.080]  I got the receipts.
[01:39:46.240 --> 01:39:49.360]  Netanyahu was involved blowing up the World Trade Center.
[01:39:49.680 --> 01:39:51.360]  That's not covering up for Israel.
[01:39:51.440 --> 01:39:52.560]  That's meat and potatoes.
[01:39:52.640 --> 01:39:57.440]  I can name the groups, where the bombs were, the floors, the names, the people that planted the bombs.
[01:39:58.080 --> 01:39:58.720]  I'll come back to that.
[01:40:00.400 --> 01:40:04.240]  I've written books, made six films on it, had them try to destroy me over it.
[01:40:04.400 --> 01:40:05.840]  So now, is that all Jews?
[01:40:05.920 --> 01:40:15.520]  No, that's Netanyahu and the Neocons with the Neocons here staging it to be able to then launch their PAX Americano, new American century operation.
[01:40:16.160 --> 01:40:22.240]  So, you know, for me, Candace can, you know, talk about how she thinks Israel did it.
[01:40:22.560 --> 01:40:24.720]  And that's the big popular thing to think.
[01:40:24.800 --> 01:40:26.320]  And I think she really believes that.
[01:40:26.800 --> 01:40:31.760]  It's kind of like, you know, those ink blots where you kind of see what you want in it.
[01:40:32.480 --> 01:40:48.560]  And I wouldn't be surprised if it turns out that a weird RNC alliance that wanted control of the group because it was bigger than the RNC now and bigger than CPAC with Israel, you know, didn't use Israeli operatives because they're very competent in assassination to do it.
[01:40:48.880 --> 01:40:51.120]  That's a possibility, pure speculation.
[01:40:51.680 --> 01:40:55.360]  The DNC knows he got two and a half million people to vote for Trump was the reason he won.
[01:40:56.160 --> 01:40:59.360]  And they're the ones calling for him to die, celebrating when he died.
[01:40:59.680 --> 01:41:06.400]  And then you got all these other transifa, trans antifa out blasting people every week and shooting up.
[01:41:06.640 --> 01:41:11.600]  So I'm like, I'm like, yeah, DNC, RNC, Israel alliance.
[01:41:13.440 --> 01:41:21.680]  And then could it have been, I mean, if you got to sit there and start speculating, could the Chi-Coms do it?
[01:41:22.480 --> 01:41:23.280]  People talk about Russia.
[01:41:23.360 --> 01:41:24.480]  Russia barely has a footprint here.
[01:41:24.640 --> 01:41:25.520]  The Chi-Coms.
[01:41:25.600 --> 01:41:26.080]  Oh, my God.
[01:41:26.560 --> 01:41:27.600]  I mean, they're just all over us.
[01:41:27.840 --> 01:41:30.160]  Would they do something trying to trigger a civil war?
[01:41:31.840 --> 01:41:42.400]  But more the left, because I predicted when Charlie was hit the next day, I said, now they're going to claim that Charlie supporters are going to attack traditional black colleges.
[01:41:42.800 --> 01:41:44.400]  About a week later, they closed the malls.
[01:41:44.720 --> 01:41:47.280]  People were calling in saying for Charlie Kirk, we're going to kill you inwards.
[01:41:47.440 --> 01:41:48.880]  Turned out they tracked it back.
[01:41:50.000 --> 01:41:50.800]  It was the left doing it.
[01:41:51.040 --> 01:41:51.360]  Of course.
[01:41:51.840 --> 01:42:02.320]  But the point is, is that, no, I see leftist globalists, deep staters, fighting for the Democratic Party that's their control arm.
[01:42:03.520 --> 01:42:13.360]  And then you've got so many deep state moles in the FBI, and over half the FBI and DOJ is still their people that it's a DOJ cover-up operation because Patel didn't know anything.
[01:42:13.440 --> 01:42:14.240]  They're just told what to say.
[01:42:14.400 --> 01:42:18.000]  Like, who told Patel, oh, we have the guy a day before they did?
[01:42:18.480 --> 01:42:20.000]  They give him that to embarrass him.
[01:42:20.240 --> 01:42:22.000]  Everything they do is to make him look like fools.
[01:42:22.480 --> 01:42:24.640]  Sir, we have the footage of him in his cell hanging himself.
[01:42:24.800 --> 01:42:25.760]  Oh, actually, it's not.
[01:42:26.640 --> 01:42:28.320]  And I have that from Hollow FBI whistleblowers.
[01:42:28.560 --> 01:42:29.760]  So it's not that Patel's bad.
[01:42:29.840 --> 01:42:31.520]  He's in over his head, but so is everybody.
[01:42:31.680 --> 01:42:41.200]  It's like, you know, so, I mean, anybody that says they're not in over their head is a liar in life.
[01:42:42.400 --> 01:42:51.680]  Because, I mean, let's just take, you know, you're in some big shootout battle with 20, you know, 20 shooters shooting at you and you're not sure where they're all at and grenades are blowing up and stuff's happening.
[01:42:51.760 --> 01:42:54.720]  You know, yeah, everybody's in over their head.
[01:42:55.680 --> 01:43:00.960]  Again, but people that haven't lived, and I'm not trying to be mean people live in their mama's basement, but they just haven't lived.
[01:43:01.120 --> 01:43:01.920]  They've not been out there.
[01:43:02.080 --> 01:43:03.120]  They haven't had a bunch of experiences.
[01:43:03.520 --> 01:43:06.000]  No, the globalists are trying to get control.
[01:43:06.240 --> 01:43:08.800]  They're trying to bring in order and manipulate everything.
[01:43:09.120 --> 01:43:10.720]  And they're able to pull off a lot of stuff.
[01:43:11.040 --> 01:43:14.160]  And they do have most of the money and resources, but they're not all-powerful.
[01:43:14.400 --> 01:43:14.560]  Yeah.
[01:43:15.200 --> 01:43:26.640]  So I think the globalist CIA, Soros, deep state, real deep state, killed Charlie Kirk because he was breaking with all of it.
[01:43:26.880 --> 01:43:28.000]  And by extension, Israel.
[01:43:28.880 --> 01:43:31.760]  But Israel is the tale.
[01:43:32.080 --> 01:43:37.920]  The globalists in all of this set it up for this dialectic, for this clash that's going on.
[01:43:38.320 --> 01:43:41.440]  So it doesn't, it's not to defend Israel or what it does.
[01:43:41.600 --> 01:43:42.480]  It's to actually say what it is.
[01:43:42.720 --> 01:43:46.080]  Here's an example with the Nazis and the people that just obsess over Jews.
[01:43:46.320 --> 01:43:48.800]  If they slip on a banana pill, they think it's Jews.
[01:43:49.440 --> 01:43:52.000]  It's an excuse for them being lazy and stupid.
[01:43:52.640 --> 01:43:55.840]  I interviewed the chairman of the Joint Chiefs of Staff.
[01:43:56.480 --> 01:44:00.320]  I interviewed the head of the Judge Advocate General Secret Commission.
[01:44:00.960 --> 01:44:03.440]  I interviewed the first mate.
[01:44:03.760 --> 01:44:07.120]  McGonagall was dead by the time I was doing interviews 30 years ago on this.
[01:44:07.360 --> 01:44:09.680]  Because my listeners are like, hey, here's a book on the USS Liberty.
[01:44:09.760 --> 01:44:10.800]  Here's the VHS.
[01:44:11.040 --> 01:44:13.520]  Here's the head of the USS Liberty Organization.
[01:44:14.160 --> 01:44:19.680]  And so I'll say I've interviewed more than anybody ever has because most of them are dead.
[01:44:20.000 --> 01:44:22.240]  Most decorated ship in U.S. history.
[01:44:22.560 --> 01:44:26.960]  You got this big war, seven-day war, whatever it was going on.
[01:44:27.520 --> 01:44:32.960]  And the U.S. wants to come in on the side of Israel and attack Egypt.
[01:44:33.120 --> 01:44:37.200]  And they also want to try to invoke the Russians to come in and just have a full-out war.
[01:44:37.520 --> 01:44:46.560]  And so LBJ sends the boat there, parks it, and then they send the gunboats and the fighter bombers.
[01:44:46.880 --> 01:44:48.960]  And some of the fighter bombers see the big American flag.
[01:44:49.040 --> 01:44:52.240]  It's a big intelligence ship and refuse to attack it.
[01:44:52.560 --> 01:44:54.000]  Those guys later got court-martials.
[01:44:54.240 --> 01:44:55.360]  This is in the Israeli newspapers.
[01:44:55.520 --> 01:44:56.480]  So they send more.
[01:44:56.800 --> 01:44:58.640]  Then the gunboats attack it, torpedoes.
[01:44:58.880 --> 01:45:04.800]  Most attack ship ever, giant torpedo holes, hundreds, actually thousands of 50 cal and higher bullet holes all in it.
[01:45:05.120 --> 01:45:06.240]  But they had all the bulkheads.
[01:45:06.320 --> 01:45:06.800]  They locked it down.
[01:45:07.200 --> 01:45:09.760]  The captain has his guts tied in, you know, up there.
[01:45:09.920 --> 01:45:18.000]  Then they send in Israeli a day into it, Israeli commandos, Marines on helicopters, and they fly right up.
[01:45:18.080 --> 01:45:20.880]  They're about to get on and they see the sailors and they just refuse.
[01:45:21.440 --> 01:45:22.320]  The helicopters left.
[01:45:22.400 --> 01:45:24.800]  So, I mean, that's like even they were like, this is so evil.
[01:45:25.440 --> 01:45:27.200]  So, you know, I'm not defending the Jews.
[01:45:27.280 --> 01:45:30.080]  What they did was terrible, but people are like, we're not doing this.
[01:45:30.320 --> 01:45:32.720]  First squadron of planes, huge American flag ain't doing it.
[01:45:32.880 --> 01:45:33.840]  Recall, recall.
[01:45:34.400 --> 01:45:36.080]  You know, next group, do it.
[01:45:36.720 --> 01:45:39.040]  And so that's how this works.
[01:45:39.280 --> 01:45:46.480]  But I interviewed the admiral that was on the aircraft carrier, all of them.
[01:45:47.200 --> 01:45:49.760]  And so they get the call from LBJ.
[01:45:50.720 --> 01:45:54.480]  Now, now, this is the chairman of Joint Sea Staff I have on about it, all of them on.
[01:45:54.720 --> 01:45:59.200]  And the Nazis go, there's not telephones to the chips in the 60s, 67?
[01:45:59.280 --> 01:46:00.000]  The hell there ain't.
[01:46:00.240 --> 01:46:02.320]  They're on shortwave and they're on satellites.
[01:46:02.560 --> 01:46:03.760]  And it's in the congressional record.
[01:46:03.840 --> 01:46:06.240]  LBJ called them a satellite phone to them.
[01:46:06.400 --> 01:46:06.560]  Okay.
[01:46:07.120 --> 01:46:08.400]  The point is, it's on record.
