[00:00:00.069 --> 00:00:01.609]  Threat to America.
[02:33:22.055 --> 02:33:24.319]  It's Alex Jones.
[02:33:26.226 --> 02:33:28.727]  Coming up, Paul Watson's Nanny State Report.
[02:33:29.267 --> 02:33:37.750]  This new cop video that we just tweeted out at Real Alex Jones of a man stands up for his constitutional rights when they were going door-to-door without a warrant, quote, looking for a felon.
[02:33:38.791 --> 02:33:43.612]  You can say, well that's for our safety, but why'd we have a Bill of Rights before that said you can't do that?
[02:33:44.073 --> 02:33:45.693]  Because it always turns into a tyranny.
[02:33:45.713 --> 02:33:49.975]  Ebola patient escapes quarantine center in search of food.
[02:33:51.604 --> 02:33:52.465]  Not even feeding them.
[02:33:52.525 --> 02:33:55.528]  We have the Jacari Jackson breakdown on the sex tape release.
[02:33:55.928 --> 02:33:56.949]  Here's the headlines.
[02:33:57.830 --> 02:34:02.955]  Leaks of nude celebrity photos raises concerns about security of the cloud.
[02:34:04.656 --> 02:34:14.886]  Folks in the past didn't take their sex photos or photos of their girlfriend or whatever into the local shop to get developed because they wanted privacy.
[02:34:15.286 --> 02:34:17.308]  Why would you upload them to a cloud?
[02:34:20.325 --> 02:34:25.649]  Again, you were the one that reminded me of that and made that point, CJ, that what are people thinking?
[02:34:27.730 --> 02:34:31.193]  I can't possibly begin to imagine what they're thinking except for being lazy.
[02:34:31.213 --> 02:34:42.081]  We used to have these great little stores in the grocery store in the mall where you can get your photos developed and family photos were appropriate, but if you had any naughty photos, you'd use a Polaroid.
[02:34:42.961 --> 02:34:50.065]  Inexpensive device that develops pictures instantly for all you young folks that are wondering what a Polaroid is.
[02:34:50.745 --> 02:34:52.526]  Well, it's also the police state issue.
[02:34:52.546 --> 02:35:03.212]  Remember all the cases where it would be like two little girls with towels around them and they're hugging each other and they take their kids even though the social workers say there's no evidence of sexual abuse?
[02:35:04.772 --> 02:35:09.515]  I mean, it's, look, keep your private stuff private, ladies and gentlemen.
[02:35:11.078 --> 02:35:12.058]  It's just ridiculous.
[02:35:12.098 --> 02:35:17.440]  You got the Hunger Games bombshell and all of them hopping mad that they wanted to swap naked photos.
[02:35:17.900 --> 02:35:19.141]  Sex tapes are coming out.
[02:35:19.801 --> 02:35:21.321]  What did you people expect?
[02:35:21.842 --> 02:35:23.582]  It was Apple so you could trust it?
[02:35:25.263 --> 02:35:26.663]  The NSA data mines it.
[02:35:26.983 --> 02:35:29.924]  Jakari Jackson's report is coming up on that subject.
[02:35:29.964 --> 02:35:33.926]  This is all designed, the cloud is designed so they can snoop on you.
[02:35:34.206 --> 02:35:36.106]  So of course hackers can then exploit that.
[02:35:36.607 --> 02:35:37.667]  Use your brains people.
[02:35:42.867 --> 02:35:44.388]  All right, I want to rush through these calls.
[02:35:44.408 --> 02:35:46.328]  I've got like four or five video clips I want to get to.
[02:35:46.368 --> 02:35:48.749]  Judy in Florida, thanks for calling, thanks for holding.
[02:35:48.950 --> 02:35:49.530]  You're on the air.
[02:35:51.010 --> 02:35:51.711]  Hi, Alex.
[02:35:52.631 --> 02:36:00.094]  I wanted to say one thing about Joe Biggs in the TSA line and the pat-down that he experienced.
[02:36:00.674 --> 02:36:09.778]  I really think he used a tremendous amount of restraint and was a gentleman because that guy was dominating him and liking it.
[02:36:10.218 --> 02:36:10.598]  Oh yeah.
[02:36:10.658 --> 02:36:11.839]  That guy was a nemesis.
[02:36:12.634 --> 02:36:15.357]  I mean, I just thought it was disgusting.
[02:36:15.517 --> 02:36:16.899]  Because the guy knew who he was.
[02:36:16.939 --> 02:36:17.820]  I know he knew who he was.
[02:36:17.840 --> 02:36:19.261]  And he was doing it really hard, too.
[02:36:20.262 --> 02:36:21.604]  Yeah, it was a complete jerk.
[02:36:21.864 --> 02:36:23.666]  It's like, it just grosses me out.
[02:36:24.627 --> 02:36:30.012]  But see, that's government training us to that we put their, you know, we get their hands put on us.
[02:36:30.733 --> 02:36:31.975]  But then the border's wide open.
[02:36:32.015 --> 02:36:33.156]  It's just all a sick joke.
[02:36:34.334 --> 02:36:39.115]  But they know that we know it's a joke, even those that are halfway awake.
[02:36:39.775 --> 02:36:42.356]  But it's just, I can't believe the domination.
[02:36:42.376 --> 02:36:43.536]  I mean, I do, but I don't.
[02:36:44.177 --> 02:36:45.497]  It's just ridiculous.
[02:36:46.097 --> 02:36:58.520]  But I wanted to just bring up, this discussion has been up to my, you know, being able to talk to you has been really astounding because I was thinking earlier as I was working,
[02:36:59.156 --> 02:37:04.498]  About how there basically needs to be more compassion where people are concerned.
[02:37:04.998 --> 02:37:19.082]  I know the people that I talk to, customers of mine or just people in general, I know when I woke up, which was in 2001 when the major event occurred, that for a couple of days I couldn't get out of bed.
[02:37:19.642 --> 02:37:22.943]  I mean, that's how devastating, how shattered my paradigm was.
[02:37:23.681 --> 02:37:25.142]  And, you know, I wanted to die.
[02:37:25.262 --> 02:37:26.222]  That's how I felt like.
[02:37:26.302 --> 02:37:30.904]  I wanted to die because, you know, everything that I thought was reality was not.
[02:37:31.505 --> 02:37:40.049]  And I hear people say, well, you know, I'm going to be gone off this earth soon, or, you know, God's going to take me, or, you know, oh, I just want to bury my head in the sand.
[02:37:40.129 --> 02:37:41.669]  I mean, I hear these terms.
[02:37:42.150 --> 02:37:47.132]  And it's like, you know, when I look at, there's been a couple of conversations I've had with men where I see the fear
[02:37:47.856 --> 02:37:48.597]  In their eyes.
[02:37:48.657 --> 02:37:52.880]  And it's like, I don't know if there's a different way that needs to be developed to talk to people.
[02:37:53.181 --> 02:37:54.802]  You know, I'm no expert.
[02:37:54.982 --> 02:37:55.502]  Well, you're right.
[02:37:55.522 --> 02:37:59.466]  A lot of people you talk to about the New World Order, they feel so disempowered in their own lives.
[02:37:59.766 --> 02:38:02.028]  They know stuff's wrong, but don't tell me about it.
[02:38:02.088 --> 02:38:02.748]  What can I do?
[02:38:02.808 --> 02:38:04.250]  Well, you can stand up for yourself.
[02:38:04.530 --> 02:38:05.511]  You can have some respect.
[02:38:05.551 --> 02:38:06.632]  You can help other people.
[02:38:07.152 --> 02:38:11.476]  All of us having a better attitude, being a free people, will turn this around.
[02:38:12.797 --> 02:38:13.617]  I've talked about, you know,
[02:38:14.602 --> 02:38:16.083]  Start working on the local level.
[02:38:16.143 --> 02:38:22.588]  You know, I know that I've invited Rosa Quarry to come to my area and hopefully she's going to be able to come in November.
[02:38:22.608 --> 02:38:33.417]  I mean, I'm in email correspondence with her now, but it's like, you know, I know a lot of really rich folks that have no idea what sustainable developments are all about, but I know enough to know they're already being affected.
[02:38:34.364 --> 02:38:39.168]  Exactly, so you educate them, then they learn how they're being scammed, they'll start standing up against it.
[02:38:39.188 --> 02:38:48.995]  Because if you get the nouveau riche, if you get the middle class, the upper middle class, the wealthy aware of what's going on, they will then understand the larger paradigm and we'll have a new renaissance.
[02:38:49.336 --> 02:38:49.936]  Great points.
[02:38:50.417 --> 02:38:54.320]  I'm gonna go to Roberto in New York, then I'll go to video clips, and then back to George and Gary.
[02:38:54.640 --> 02:38:56.461]  Roberto, thanks for calling, you're on the air.
[02:38:58.223 --> 02:39:00.484]  Yes, hello Alex, it's a pleasure to speak to you.
[02:39:00.544 --> 02:39:01.265]  Nice to talk to you, brother.
[02:39:02.543 --> 02:39:08.585]  Yeah, I realize that the globalists, they kind of count on us to be non-critical thinkers.
[02:39:09.285 --> 02:39:14.126]  Like, when you turn on the TV, all you hear about is terrorism, terrorism, terrorism.
[02:39:14.686 --> 02:39:19.908]  And then when they cover the border, it's all about, oh, don't be racist, you know, don't be racist.
[02:39:20.448 --> 02:39:28.450]  And that's kind of like, to me, a father not wanting his daughter to get pregnant, but giving his daughter a bottle of vodka, a hotel room, and 500 bucks.
[02:39:29.463 --> 02:39:29.783]  I'm good.
[02:39:48.473 --> 02:39:48.953]  I hear you.
[02:39:49.854 --> 02:40:01.899]  It's because all these different corrupt cartels, whether it's the drug cartels, the pharma cartels, the police state cartels, the big banking cartels, the Saudi Arabian cartels, they know how to go get influence.
[02:40:01.919 --> 02:40:03.199]  They know how to buy politicians.
[02:40:03.240 --> 02:40:05.821]  They know how to cut people in on the piece of the action.
[02:40:06.461 --> 02:40:09.302]  And now corruption's growing, and it's just eating up the whole economy.
[02:40:09.762 --> 02:40:17.586]  And now they have Agenda 21 in the nanny state meant to, you know, get patents on hair dryers that are low wattage, and then you can only buy it from them.
[02:40:19.015 --> 02:40:25.537]  I mean, it's just where the whole economy is geared, where only General Electric can have a coal power plant, nobody else can.
[02:40:26.137 --> 02:40:33.498]  And where only, you know, this company can operate, or only McDonald's gets a health care waiver, which then makes their food less expensive.
[02:40:33.859 --> 02:40:46.682]  I mean, it's just, it's a gamed-rigged system, where the whole world is a cross between Las Vegas and a gulag, or the gulag archipelago, or the casino gulag that Max Keiser talks about.
[02:40:46.722 --> 02:40:47.762]  Thank you so much for the call.
[02:40:48.672 --> 02:41:04.381]  Speaking of the nanny state and Rosa Cora, Corey and Behind the Green Mask book that we sell at InfoWarsStore.com, dealing with government and its takeover worldwide, we're under UN treaty, even though we haven't signed on to it.
[02:41:06.602 --> 02:41:16.408]  Obama came out this week on Monday and he said, I will put in the carbon taxes on all human activity, a value-added tax,
[02:41:17.956 --> 02:41:19.597]  On basically all human activity.
[02:41:20.017 --> 02:41:30.562]  Food, produce, fuel, plastic, electronics, how they can work, air conditioning, carpeting, just everything, basically.
[02:41:31.102 --> 02:41:37.625]  We'll have a carbon tax, which also brings in government surveillance, government compliance, where mom and pops can't operate.
[02:41:40.627 --> 02:41:44.469]  I mean, Australia's been under this five years and it crippled them, so they're voting it out right now.
[02:41:44.489 --> 02:41:45.209]  In fact, they just did.
[02:41:48.305 --> 02:41:50.049]  But this is about control.
[02:41:50.149 --> 02:41:52.113]  We'll tell you what you can have in your house.
[02:41:52.353 --> 02:41:53.776]  We'll tell you what you can do.
[02:41:54.177 --> 02:41:55.400]  Nothing to do with the environment.
[02:41:59.312 --> 02:42:01.374]  Let's go ahead and go to Paul Watson's report.
[02:42:01.834 --> 02:42:13.564]  The nanny state EU has banned many types of vacuum cleaners and is also set to prohibit kettles, toasters, hairdryers and lawnmowers in the latest example of Eurocrats gone wild.
[02:42:14.204 --> 02:42:25.854]  Two years after a complete ban on incandescent light bulbs, today saw the start of a ban on vacuum cleaners that use over 1600 watts of power, all in the name of preventing global warming.
[02:42:26.354 --> 02:42:43.319]  That same global warming which over the last two years has resulted in an increase in the Arctic Sea ice cap by 42% or 5.6 million square kilometres, the same ice cap that Al Gore said would vanish completely by 2014.
[02:42:44.920 --> 02:42:52.362]  But even if you believe in the dogma of man-made global warming, this EU ban on appliances still makes no sense.
[02:42:52.902 --> 02:42:56.844]  If you cut the power of hair dryers by a third, then what are people going to do?
[02:42:56.884 --> 02:43:00.506]  They're simply going to use their hair dryers for a third longer.
[02:43:00.946 --> 02:43:05.248]  What kind of frigging imbeciles are coming up with these policies?
[02:43:05.828 --> 02:43:15.412]  The ban on high-powered vacuum cleaners, or in other words, ones that actually work, has caused a run on popular models in the United Kingdom, with sales soaring by over 50%.
[02:43:16.713 --> 02:43:25.761]  Retailers now face government inspections and the prospect of being shut down if they sell anything over a pathetic 900 watts.
[02:43:26.302 --> 02:43:27.103]  But that's not all.
[02:43:27.343 --> 02:43:35.911]  The European Commission plans to impose energy limitations on another 30 electrical items next year, including toasters, lawnmowers and kettles.
[02:43:36.491 --> 02:43:50.039]  And remember, while the EU does its level best to hamstring the free market with pointless restrictions that won't even save energy, China and India are building hundreds of coal-fired power plants every year.
[02:43:50.459 --> 02:43:53.580]  This has nothing to do with saving energy or saving the planet.
[02:43:53.801 --> 02:43:57.923]  This is about the nanny state burying its tentacles deeper
[02:43:58.283 --> 02:44:07.426]  into our private lives, choking consumer freedom and strangling a free market already labouring under an ongoing recession throughout Europe.
[02:44:07.706 --> 02:44:17.989]  And it's another perfect reason to get Britain out of the EU if David Cameron ever has the balls to graciously bestow us with a national referendum.
[02:44:18.269 --> 02:44:20.309]  Check out the other videos, subscribe to the channel.
[02:44:20.489 --> 02:44:21.489]  I'm Paul Joseph Watson.
[02:44:21.509 --> 02:44:23.150]  This is InfoWars.com.
[02:44:26.368 --> 02:44:28.409]  There you go, there is that breakdown.
[02:44:28.589 --> 02:44:35.952]  I want to go to this very powerful cop video here in a moment that's up on InfoWars.com and PrisonPlanet.com.
[02:44:36.392 --> 02:44:40.534]  Man stands up for the Constitution as police demand to enter home without warrant.
[02:44:40.974 --> 02:44:46.897]  But Kit Daniels just broke a story up on InfoWars.com and I'm glad he reminded me of this.
[02:44:47.457 --> 02:44:53.080]  Missing Libyan jetliners raises fears of suicide airliner attacks
[02:44:54.120 --> 02:44:58.921]  On 9-11, that is the Bill Gertz article.
[02:44:58.941 --> 02:45:00.902]  It's up on Drudge.
[02:45:01.382 --> 02:45:10.985]  But if you go to Infowars.com, we have an update, flashback, 13 airplanes vanish from radar months before theft of jetliners in Libya.
[02:45:11.991 --> 02:45:20.635]  Then we see the same make and model of the Malaysian aircraft disappear around Diego Garcia, and then another one magically gets shot down over Ukraine.
[02:45:21.335 --> 02:45:29.199]  Alleged hack attack took down air traffic control system in June, highlighting current dangers of missing jets.
[02:45:30.748 --> 02:45:48.306]  The disappearance of 11 jetliners in Libya brings to mind the 13 planes that vanished from radar in Europe due to the reported hack attack, highlighting a scenario in which commercial jets, invisible to radar, are purposely crashed into cities and other critical infrastructure.
[02:45:49.710 --> 02:45:53.633]  That's also a way for them to claim planes disappeared and then have them pop back up later.
[02:45:54.354 --> 02:46:02.461]  Back in June, two unprecedented blackouts caused 13 planes flying over Europe to disappear from radar screens leaving air traffic controllers with no information on their location.
[02:46:02.921 --> 02:46:06.985]  Speed detection or height and the series of blackouts lasts up to 25 minutes.
[02:46:08.286 --> 02:46:12.029]  Several reports suggested air traffic control systems were hacked according to the Telegraph.
[02:46:12.069 --> 02:46:14.992]  Planes disappeared from screens for a matter of seconds here and there.
[02:46:15.891 --> 02:46:20.114]  A German air traffic control spokesman said it must have been an external source of disruption.
[02:46:20.395 --> 02:46:30.803]  Yeah, just like on 9-11, their screens blacked out, or other simulated planes got put in by NORAD and other centralized DARPA systems that have control.
[02:46:31.343 --> 02:46:35.407]  See, they have back doors on the cell phones, the cloud, your smart meters.
[02:46:36.628 --> 02:46:43.093]  These are the little robots that are in control of everything, controlled by Skynet, the globalist eugenicist.
[02:46:44.662 --> 02:46:48.086]  And so now they're announcing in Tokyo, robot cops to watch the public.
[02:46:48.146 --> 02:46:50.048]  Robot cops to be in malls in England.
[02:46:50.528 --> 02:46:55.153]  Robots to serve people their food at hotels and hospitals.
[02:46:55.794 --> 02:47:00.659]  And again, robots won't tattle if you're being given a lethal injection nobody knows about.
[02:47:01.000 --> 02:47:02.782]  Robots won't care about war crimes.
[02:47:03.122 --> 02:47:06.646]  Robots won't say no delivering Stinger missiles to Al-Qaeda.
[02:47:11.525 --> 02:47:14.667]  It's the fact that we are entering an absolute science fiction time.
[02:47:15.027 --> 02:47:19.369]  Let me tell you, nobody should be bored right now, because this is an epic time to be alive.
[02:47:19.649 --> 02:47:20.790]  Let's go to this video.
[02:47:21.490 --> 02:47:26.213]  We just tweeted it out at RealAlexJones, easiest place to find it on Twitter, or InfoWars.com.
[02:47:26.533 --> 02:47:30.675]  Man stands up for his constitutional rights as police demand to enter his home without warrant.
[02:47:31.015 --> 02:47:32.576]  This is the way to handle the police state.
[02:47:32.596 --> 02:47:37.219]  He's polite, he's focused, he knows his rights, and they say, who you been listening to?
[02:47:37.799 --> 02:47:38.840]  They were going door to door,
[02:47:39.787 --> 02:47:40.527]  Knock, knock, knock.
[02:47:40.648 --> 02:47:41.708]  We're looking for a felon.
[02:47:41.728 --> 02:47:42.569]  Show us your ID.
[02:47:43.869 --> 02:47:46.051]  Not, hey, your neighbor saw you climbing in this house.
[02:47:46.351 --> 02:47:46.951]  Do you live here?
[02:47:47.031 --> 02:47:48.012]  Or, hey, your alarm went off.
[02:47:48.232 --> 02:47:48.993]  That would be reasonable.
[02:47:49.073 --> 02:47:51.034]  They would have a reason to come to your house, though.
[02:47:52.810 --> 02:47:55.211]  Hey, we think the Boston Bomber may be somewhere in the city.
[02:47:55.771 --> 02:47:56.691]  Come out with your hands up.
[02:47:57.011 --> 02:47:58.812]  And you're a blonde-haired woman or a black woman.
[02:47:59.032 --> 02:48:00.712]  You know, you're not the young man they're looking for.
[02:48:01.232 --> 02:48:02.452]  This is a police state.
[02:48:03.153 --> 02:48:05.053]  You can argue, well, the end justifies the means.
[02:48:05.513 --> 02:48:05.753]  No.
[02:48:06.053 --> 02:48:10.434]  It's never been allowed here, but it was allowed in Soviet Russia and Nazi Germany and North Korea.
[02:48:10.955 --> 02:48:12.015]  It is dangerous.
[02:48:12.495 --> 02:48:13.435]  It is evil.
[02:48:13.895 --> 02:48:15.696]  It is going to destroy this country.
[02:48:16.016 --> 02:48:17.916]  I don't care if the feds give you training to do it.
[02:48:18.196 --> 02:48:18.636]  It's wrong.
[02:48:19.117 --> 02:48:20.457]  Let's go to this video and audio.
[02:48:20.697 --> 02:48:21.457]  Hello, who is it?
[02:48:21.817 --> 02:48:22.337]  Hello, hello.
[02:48:22.357 --> 02:48:23.058]  Can you turn that off?
[02:48:23.178 --> 02:48:23.678]  No, I can't.
[02:48:23.858 --> 02:48:24.818]  Okay, I said turn it off.
[02:48:24.958 --> 02:48:25.198]  No.
[02:48:25.538 --> 02:48:26.279]  Yes, yes.
[02:48:26.299 --> 02:48:27.279]  Do you have a warrant?
[02:48:27.559 --> 02:48:28.279]  Hold on, hold on.
[02:48:28.339 --> 02:48:29.839]  Hold on, hold on.
[02:48:29.859 --> 02:48:31.000]  We have a baby here.
[02:48:31.080 --> 02:48:32.340]  Okay, let me explain yourself.
[02:48:32.500 --> 02:48:33.821]  I'm with the Sheriff's Department.
[02:48:33.841 --> 02:48:35.141]  We're looking for a wanted felon.
[02:48:35.301 --> 02:48:36.641]  Okay, he's not here.
[02:48:36.661 --> 02:48:37.001]  Turn that off.
[02:48:37.021 --> 02:48:37.902]  I don't know what it is.
[02:48:38.062 --> 02:48:39.002]  It's a cell phone.
[02:48:39.062 --> 02:48:40.162]  I don't know what it is.
[02:48:40.722 --> 02:48:41.503]  Don't put it in my face.
[02:48:42.103 --> 02:48:42.683]  Don't put it in my face.
[02:48:43.479 --> 02:48:44.321]  I don't have to tell you that.
[02:48:44.661 --> 02:48:45.323]  Do you have a warrant?
[02:48:45.784 --> 02:48:47.888]  First of all, I need three types of ID.
[02:48:48.148 --> 02:48:50.793]  Explain who you are, because you could be anybody dressed up in a uniform.
[02:48:51.114 --> 02:48:51.314]  Really?
[02:48:51.334 --> 02:48:52.336]  By the Supreme Court, yes.
[02:48:53.988 --> 02:48:55.109]  Do you want to play games?
[02:48:55.409 --> 02:48:56.070]  I'm not playing games.
[02:48:56.090 --> 02:48:58.933]  I'm going to drag you out if you... That's why I'm recording this.
[02:48:59.213 --> 02:48:59.734]  Straight to YouTube.
[02:48:59.794 --> 02:49:01.055]  Is there anybody else in the house, man?
[02:49:01.175 --> 02:49:02.536]  No, there's nobody else in the house.
[02:49:02.997 --> 02:49:03.998]  There's me and my family.
[02:49:04.138 --> 02:49:04.578]  That's it.
[02:49:04.779 --> 02:49:05.960]  Okay, let me explain it to you, okay?
[02:49:06.500 --> 02:49:10.384]  We got a female in the apartment complex, just got beat up by her poorly enlarged boyfriend.
[02:49:10.524 --> 02:49:11.505]  I watched the whole thing.
[02:49:11.765 --> 02:49:12.086]  You did?
[02:49:12.246 --> 02:49:12.546]  Yes.
[02:49:12.566 --> 02:49:12.786]  Okay.
[02:49:12.866 --> 02:49:15.369]  Then why don't you help us and step out and tell us what's going on?
[02:49:16.533 --> 02:49:17.493]  I've seen the dude walk off.
[02:49:17.593 --> 02:49:18.894]  I've seen him, I've heard him arguing.
[02:49:18.974 --> 02:49:19.474]  Do you know him?
[02:49:19.934 --> 02:49:20.835]  No, I don't.
[02:49:20.895 --> 02:49:22.035]  And you told him you guys are friends with him?
[02:49:22.516 --> 02:49:24.336]  No, I've seen him in my... He's my neighbor.
[02:49:24.376 --> 02:49:24.957]  Do you have an ID?
[02:49:24.977 --> 02:49:25.477]  As far as that?
[02:49:25.917 --> 02:49:27.238]  No, I don't have to describe that to you.
[02:49:27.378 --> 02:49:27.978]  Do you have a warrant?
[02:49:28.878 --> 02:49:30.139]  Or do you suspect me of committing a crime?
[02:49:31.658 --> 02:49:31.958]  I don't.
[02:49:31.978 --> 02:49:33.119]  You could be harboring a phage.
[02:49:33.179 --> 02:49:34.039]  I'm not harboring a phage.
[02:49:34.099 --> 02:49:35.960]  I'm not.
[02:49:36.000 --> 02:49:36.961]  There's nobody in here.
[02:49:37.261 --> 02:49:39.502]  If you want to check, please go get a warrant.
[02:49:39.922 --> 02:49:41.263]  There's nobody else in here.
[02:49:41.683 --> 02:49:44.185]  Sir, just show us ID and then we'll make sure.
[02:49:44.325 --> 02:49:45.105]  I'm not him.
[02:49:45.225 --> 02:49:45.785]  I'm not him.
[02:49:46.005 --> 02:49:46.286]  Okay.
[02:49:46.546 --> 02:49:47.446]  We don't know what he looks like.
[02:49:47.586 --> 02:49:47.866]  Okay.
[02:49:49.267 --> 02:49:49.767]  Okay.
[02:49:49.827 --> 02:49:51.528]  She'll explain to you what he looks like.
[02:49:51.588 --> 02:49:51.828]  Okay.
[02:49:51.909 --> 02:49:52.189]  Okay.
[02:49:52.209 --> 02:49:54.370]  She didn't describe what he looks like?
[02:49:54.930 --> 02:49:56.851]  I don't have to describe my ID.
[02:49:56.991 --> 02:49:59.372]  You have still not performed me 3 Forbes ID.
[02:50:00.992 --> 02:50:04.514]  The woman is behind him who called the cops.
[02:50:05.294 --> 02:50:06.134]  She knows it's not him.
[02:50:06.154 --> 02:50:07.735]  You guys are in violation of color law.
[02:50:08.353 --> 02:50:08.653]  Okay.
[02:50:09.094 --> 02:50:12.478]  Because you are at my door with guns, and I feel for my life.
[02:50:12.798 --> 02:50:13.920]  I have not committed no crime.
[02:50:13.960 --> 02:50:14.761]  This is law.
[02:50:15.041 --> 02:50:15.942]  I have not committed a crime.
[02:50:15.962 --> 02:50:17.564]  We're suspecting you're harming a fugitive.
[02:50:17.664 --> 02:50:19.166]  No, I am not harming a fugitive.
[02:50:19.286 --> 02:50:22.530]  Because you have no evidence, video or audio of me harming a fugitive.
[02:50:22.550 --> 02:50:23.512]  You are going off words.
[02:50:23.592 --> 02:50:23.892]  Okay.
[02:50:24.052 --> 02:50:25.594]  That's why we're here to check it out.
[02:50:25.714 --> 02:50:26.055]  Okay.
[02:50:26.095 --> 02:50:26.936]  There is no fugitive.
[02:50:28.067 --> 02:50:28.987]  Okay, we're all neighbors here.
[02:50:29.007 --> 02:50:30.648]  You need to knock on everybody's door.
[02:50:31.008 --> 02:50:32.368]  Okay, not if they said they came here.
[02:50:32.628 --> 02:50:34.068]  Okay, no, they didn't come here.
[02:50:34.128 --> 02:50:35.589]  Okay, why would he say he came here?
[02:50:35.949 --> 02:50:36.329]  I don't know.
[02:50:36.389 --> 02:50:37.249]  He didn't come here.
[02:50:37.289 --> 02:50:37.969]  I don't know why.
[02:50:38.309 --> 02:50:40.350]  Okay, so you saw him walk away?
[02:50:40.610 --> 02:50:41.810]  He walked away.
[02:50:41.850 --> 02:50:42.390]  To the back.
[02:50:42.850 --> 02:50:43.570]  Straight to the back.
[02:50:43.790 --> 02:50:44.951]  I don't know what's going on in the back.
[02:50:44.971 --> 02:50:46.071]  Can you keep your hands out?
[02:50:46.091 --> 02:50:46.271]  Okay.
[02:50:47.151 --> 02:50:47.631]  What's going on?
[02:50:48.151 --> 02:50:48.572]  What's going on?
[02:50:49.692 --> 02:50:51.132]  I just told you what I've seen.
[02:50:51.152 --> 02:50:51.452]  That's it.
[02:50:51.472 --> 02:50:52.072]  Can we check your house?
[02:50:52.732 --> 02:50:53.133]  Get a warrant.
[02:50:53.153 --> 02:50:54.313]  Would you allow us to check your house?
[02:50:54.333 --> 02:50:54.973]  Get a warrant.
[02:50:56.533 --> 02:50:56.833]  Thank you.
[02:50:57.194 --> 02:50:57.594]  Thank you.
[02:50:57.994 --> 02:50:58.415]  Close the door.
[02:51:01.237 --> 02:51:03.859]  Alright, I just skipped that network break because this is so important.
[02:51:03.879 --> 02:51:13.628]  Now again, those cops overall are being pretty reasonable after they first try to act like the phone's a gun and, you know, say, hey, you better watch it or I'll drag you out of here and all the rest of it.
[02:51:14.268 --> 02:51:16.150]  They then back down and are more reasonable.
[02:51:16.450 --> 02:51:22.095]  Clearly the woman's right there behind him saying she thinks he went in there and
[02:51:23.800 --> 02:51:26.202]  The end of the police did see somebody hiding back in there.
[02:51:26.262 --> 02:51:30.464]  They would have probable cause to come in, but no court is going to hold that up.
[02:51:30.945 --> 02:51:36.108]  But this woman says she thinks he went in there because they're neighbors and that he walked off.
[02:51:36.609 --> 02:51:49.317]  The point is, do you want people showing up at your door going, Hey, the neighbor thinks that he came in here.
[02:51:50.358 --> 02:51:51.579]  I mean, my dad has a neighbor.
[02:51:51.619 --> 02:51:53.300]  My dad's got four acres in the middle of town.
[02:51:54.295 --> 02:51:58.297]  They bought 20 years ago, and now it's got all built up around it.
[02:52:00.118 --> 02:52:01.259]  And I'm not trying to be mean.
[02:52:01.299 --> 02:52:03.260]  These people all have Democratic Party signs around it.
[02:52:04.801 --> 02:52:06.662]  And they're incredible control freaks.
[02:52:07.102 --> 02:52:09.124]  They're always calling code enforcers on each other.
[02:52:10.264 --> 02:52:11.165]  It's just ongoing.
[02:52:11.185 --> 02:52:14.827]  I go to my parents at least, you know, once every couple weeks for the kids to swim in their pool.
[02:52:16.008 --> 02:52:17.669]  They got like rope swings, all that kind of stuff.
[02:52:19.089 --> 02:52:20.230]  It's like a park over there.
[02:52:21.251 --> 02:52:23.432]  And I've been there three times the police have been called.
[02:52:25.282 --> 02:52:33.550]  One time my daughter was in the heated pool and my son was filling up the water gun with cold water shooting her and she screamed.
[02:52:33.570 --> 02:52:35.412]  It was obviously a little girl screaming and having a good time.
[02:52:35.432 --> 02:52:45.221]  And the police showed up and literally said, well, your neighbor said they thought they heard someone being beaten and attacked.
[02:52:46.562 --> 02:52:49.625]  And the cops said, you know, do you just, you know, mind if I just
[02:52:50.808 --> 02:52:52.509]  Look in, you know, your front door.
[02:52:53.190 --> 02:52:53.990]  And my dad's right there.
[02:52:54.010 --> 02:52:55.091]  We'd already gone in from the pool.
[02:52:55.491 --> 02:52:55.991]  He looked in.
[02:52:56.011 --> 02:52:56.692]  Everybody was fine.
[02:52:56.732 --> 02:52:57.472]  We just stuck his head in.
[02:52:57.492 --> 02:52:58.713]  He said, OK, sorry.
[02:52:58.773 --> 02:52:59.214]  See you later.
[02:52:59.714 --> 02:53:01.235]  Now, we could have said, no, no, no, you can't.
[02:53:01.275 --> 02:53:02.616]  But we're just sitting there.
[02:53:03.076 --> 02:53:04.097]  The front door's right there.
[02:53:04.117 --> 02:53:05.758]  The living room's right there.
[02:53:07.019 --> 02:53:08.660]  We're sitting there having, you know, dinner.
[02:53:09.540 --> 02:53:10.821]  Yeah, man, we're all family.
[02:53:10.841 --> 02:53:11.422]  Everything's fine.
[02:53:11.502 --> 02:53:11.942]  See, look.
[02:53:14.773 --> 02:53:20.639]  But then the cops went down, the neighbor was waiting, and was sitting there waving their arms, wanting us to get in trouble.
[02:53:23.341 --> 02:53:34.872]  The other two times, there's a neighborhood back behind my parents where they shoot fireworks, and that same neighbor, it's always got 15 Democratic Party signs in her yard.
[02:53:34.892 --> 02:53:37.114]  I just think that's interesting.
[02:53:38.024 --> 02:53:39.285]  Calls the cops and they come.
[02:53:39.305 --> 02:53:41.547]  This is two times I've been there.
