[00:00:00.009 --> 00:00:02.093]  Host, direct from Austin.
[02:23:38.042 --> 02:23:40.623]  Silver has always been nature's very own antibiotic.
[02:23:40.744 --> 02:23:44.766]  And only one system allows you to generate an endless supply of natural silver solutions.
[02:23:45.046 --> 02:23:46.286]  SilverLungs.com.
[02:23:46.446 --> 02:23:48.928]  You'll find no wild claims or pseudoscience.
[02:23:49.128 --> 02:23:51.929]  Just a lifetime of nano-sized pure silver solutions.
[02:23:52.129 --> 02:23:54.250]  The Silver Lungs Generator allows you to make your own.
[02:23:54.470 --> 02:23:56.231]  So stop paying for silver solutions.
[02:23:56.371 --> 02:24:01.714]  The unique lung delivery system targets respiratory infections where other silver solutions simply cannot reach.
[02:24:01.954 --> 02:24:05.616]  See the Silver Lungs Generator and lung delivery system at SilverLungs.com.
[02:24:05.736 --> 02:24:07.257]  That's SilverLungs.com.
[02:24:25.450 --> 02:24:52.514]  Today To see if I still feel I focus on the pain The only thing that's real The needle tears a hole The old familiar sting
[02:25:03.222 --> 02:25:07.923]  We must stop following anyone in this scum government.
[02:25:08.744 --> 02:25:11.945]  We must realize that we are overrun by evil.
[02:25:12.045 --> 02:25:15.667]  This has happened over and over again throughout history.
[02:25:21.257 --> 02:25:26.720]  Let's go back to Reverend Childress in this short segment.
[02:25:26.980 --> 02:25:29.821]  We'll break down some of the history of the black genocide on the other side.
[02:25:29.841 --> 02:25:40.265]  But the genocide of people in this country, those that are least advantaged, is a beta test in all the documents we covered last hour for everybody.
[02:25:41.025 --> 02:25:43.446]  The secret testing, all of it, it's being done to everybody.
[02:25:45.328 --> 02:25:52.791]  And Planned Parenthood and the Democratic Modern Party, I'm not even a Republican, folks, were set up to kill black people.
[02:25:53.151 --> 02:25:55.312]  I've got all the letters, all the documents, Margaret Sanger.
[02:25:55.933 --> 02:26:02.175]  And this is what makes me sick about MSNBC and Harris-Perry and all of them is they're just monsters, folks.
[02:26:02.575 --> 02:26:05.577]  And I've been around Democrats behind the scenes for years.
[02:26:06.477 --> 02:26:07.859]  And they are the nastiest group.
[02:26:07.879 --> 02:26:08.761]  They'll look at you.
[02:26:08.781 --> 02:26:09.542]  Black, white, I don't care.
[02:26:09.582 --> 02:26:10.183]  Particularly black.
[02:26:10.203 --> 02:26:11.625]  They go, there's not enough money.
[02:26:11.645 --> 02:26:13.067]  We need to get rid of these black people.
[02:26:13.087 --> 02:26:15.170]  And say bad names about them.
[02:26:15.551 --> 02:26:19.857]  And my thing is, is that these idiots believe Bill Gates when he says kill a granny.
[02:26:20.959 --> 02:26:21.600]  Kill granny.
[02:26:23.305 --> 02:26:26.847]  Get rid of granny, and then you can have ten teachers jobs.
[02:26:27.147 --> 02:26:29.188]  It's this idea that we kill people and get stuff.
[02:26:29.468 --> 02:26:31.729]  Folks, Japan's gonna collapse, Italy's gonna collapse.
[02:26:31.989 --> 02:26:34.230]  They have 1.2, 1.3 kids for every two adults.
[02:26:34.931 --> 02:26:37.752]  You need 2.1 replacement rate to even hold civilization up.
[02:26:38.192 --> 02:26:39.393]  And the globalists know this!
[02:26:40.113 --> 02:26:40.954]  And it makes me upset.
[02:26:41.134 --> 02:26:42.314]  Reverend Shoulders, I'm ranting.
[02:26:42.674 --> 02:26:43.495]  Keep making your points.
[02:26:43.835 --> 02:26:49.558]  Where you were going with this clash, where they're gonna make Christians pay for abortions, violating the First Amendment.
[02:26:49.598 --> 02:26:50.898]  I mean, it's just never gonna end.
[02:26:51.319 --> 02:26:51.639]  Go ahead.
[02:26:52.389 --> 02:26:58.754]  This is the most imposing and egregious legislation ever passed in this nation's history.
[02:26:59.535 --> 02:27:08.181]  And it was Albert Einstein who said, never surrender conscience, even if the state demands it.
[02:27:08.382 --> 02:27:09.803]  Well, he grew up in Germany.
[02:27:09.823 --> 02:27:11.044]  He knew what he was talking about.
[02:27:11.424 --> 02:27:14.947]  The state is demanding your conscience right now, America.
[02:27:15.527 --> 02:27:20.211]  The state is saying we are your conscience and we make your decisions.
[02:27:20.491 --> 02:27:21.452]  There's no such thing.
[02:27:21.652 --> 02:27:23.894]  We determine right and wrong.
[02:27:24.314 --> 02:27:28.057]  This is a serious time in this country and we need to wake up.
[02:27:28.537 --> 02:27:37.544]  Now, you mentioned the reporter from MSNBC that made the comment about the Romney child.
[02:27:37.985 --> 02:27:44.490]  You have to understand how this is all going down, what their means of seduction is.
[02:27:45.308 --> 02:27:49.592]  They have to lay a claim to the civil rights movement.
[02:27:49.732 --> 02:27:52.074]  They have to say they're the benevolent ones.
[02:27:52.435 --> 02:28:06.307]  They're the ones that are caring for the African-American and they use it as a means to embarrass whites and to control white America by then calling them racist if you don't agree with them.
[02:28:06.368 --> 02:28:08.670]  So, here's a perfect example of what I'm talking about.
[02:28:08.690 --> 02:28:09.891]  It was proven this past week.
[02:28:10.451 --> 02:28:21.256]  Phil Robinson, God bless him, Duck Dynasty, stood up for his conviction, stood up and said homosexuality is basically wrong, same-sex marriage is wrong.
[02:28:22.157 --> 02:28:24.418]  It was a GQ magazine interview
[02:28:25.490 --> 02:28:29.093]  Mainstream media said here's our chance to exert our power.
[02:28:29.154 --> 02:28:30.695]  We're going to get them to back down.
[02:28:31.235 --> 02:28:32.377]  Here's Jesse Jackson.
[02:28:32.517 --> 02:28:37.661]  You got to meet with me in 72 hours or we're going to, you know, insinuate we're going to boycott you.
[02:28:37.681 --> 02:28:40.124]  Thank God A&E told them to go take a hike.
[02:28:41.225 --> 02:28:43.607]  But yet also, thank God, money does speak.
[02:28:44.107 --> 02:28:48.430]  The family's stuck together, so he's right back where he's supposed to be.
[02:28:48.831 --> 02:28:50.112]  Why am I even mentioning this?
[02:28:50.572 --> 02:29:08.506]  In the same week, I repeat, the same week, Louis Faircon, the main potentate, the main leader for the Muslim movement in this country, went to the pulpit in Chicago and said, homosexuals should be beheaded.
[02:29:10.149 --> 02:29:13.450]  Why wasn't there any media about that?
[02:29:13.851 --> 02:29:24.215]  It's because they didn't want to bring attention to a prominent black male speaking against same-sex marriage that they had no answer to because this is not the scenario they're trying to project.
[02:29:24.555 --> 02:29:26.756]  Especially they only want to demonize Christians too.
[02:29:29.235 --> 02:29:30.476]  Right, exactly.
[02:29:30.616 --> 02:29:35.939]  Anything to do with Christ, Christian, they will attack, they will abuse.
[02:29:36.019 --> 02:29:40.462]  I want to ask you why that is, Reverend, on the other side, then get into some of the history of black genocide that you're an expert on.
[02:29:40.482 --> 02:29:42.904]  We'll be right back with our guests.
[02:29:43.024 --> 02:29:44.805]  This stuff really shakes me up, folks, because...
[02:29:45.936 --> 02:29:50.138]  It's so bizarro, Earl, where you're racist if you don't want to kill black babies.
[02:29:50.838 --> 02:29:55.740]  And then black people, liberal black people, get in your face like they want to get in a fight with you if you don't want to kill black people.
[02:29:56.061 --> 02:29:56.961]  I'm not kidding.
[02:29:57.061 --> 02:29:58.242]  I mean, it's crazy.
[02:29:58.922 --> 02:29:59.822]  We're on the march.
[02:30:00.323 --> 02:30:01.923]  The empire's on the run.
[02:30:02.844 --> 02:30:05.525]  Alex Jones and the GCN Radio Network.
[02:30:09.756 --> 02:30:12.500]  Alex Jones here with a message to fellow freedom lovers.
[02:30:12.781 --> 02:30:17.608]  The prognosis for the entire planetary economic system runs from bad to worse.
[02:30:17.789 --> 02:30:24.980]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[02:30:25.100 --> 02:30:30.505]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[02:30:30.725 --> 02:30:34.449]  These are items that I did research on, that I personally use.
[02:30:34.769 --> 02:30:39.273]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[02:30:39.493 --> 02:30:44.698]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[02:30:44.958 --> 02:30:48.019]  Strategic Relocation 3rd Edition by Joel Skousen.
[02:30:48.179 --> 02:30:50.420]  When Disaster Strikes by Matthew Stein.
[02:30:50.680 --> 02:30:55.242]  Therosafe used by Homeland Security to protect yourself during any radiological event.
[02:30:55.422 --> 02:30:57.903]  Hand-cranked shortwave AM FM radios.
[02:30:58.323 --> 02:31:05.326]  Everything that we've researched and found to be the best is available at Infowarshop.com and your purchase makes our InfoWar possible.
[02:31:05.526 --> 02:31:07.227]  We're getting prepared, are you?
[02:31:07.467 --> 02:31:18.511]  InfoWarsShop.com Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[02:31:18.591 --> 02:31:26.734]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[02:31:26.994 --> 02:31:31.677]  We have now managed to secure the sought-after beans in a highly customized blend.
[02:31:31.857 --> 02:31:38.581]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[02:31:38.661 --> 02:31:45.746]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[02:31:45.846 --> 02:31:52.690]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[02:31:52.850 --> 02:31:57.211]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[02:31:57.332 --> 02:32:00.593]  Available in original or with our immune support infusion blend.
[02:32:00.713 --> 02:32:06.855]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[02:32:07.035 --> 02:32:07.715]  Available at
[02:32:09.476 --> 02:32:10.336]  The facts are in.
[02:32:10.496 --> 02:32:11.617]  The studies are legion.
[02:32:11.897 --> 02:32:19.241]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[02:32:19.421 --> 02:32:22.843]  So why are the social engineers adding it to the water?
[02:32:23.243 --> 02:32:23.643]  Simple.
[02:32:23.804 --> 02:32:28.287]  Dumb down the host population that the parasitic technocracy is feeding on.
[02:32:28.527 --> 02:32:33.990]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[02:32:34.251 --> 02:32:50.302]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield Formulation, fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[02:32:50.582 --> 02:32:52.443]  Let's take a stand against the globalists.
[02:32:52.543 --> 02:32:54.866]  By blocking their poisons with Fluoride Shield.
[02:32:55.147 --> 02:32:56.989]  I use Fluoride Shield every day.
[02:32:57.310 --> 02:33:02.617]  Secure your Fluoride Shield and other pioneering formulations at InfoWarsLife.com today.
[02:33:02.877 --> 02:33:07.123]  Let's start cleansing our bodies now and support the Info War at the same time.
[02:33:07.283 --> 02:33:08.545]  That's InfoWarsLife.com
[02:33:11.877 --> 02:33:13.818]  You are obsolete, Mr. Wordsworth.
[02:33:14.278 --> 02:33:14.758]  A lie!
[02:33:15.178 --> 02:33:16.879]  No man is obsolete!
[02:33:17.179 --> 02:33:19.020]  You have no function, Mr. Wordsworth.
[02:33:19.060 --> 02:33:21.941]  You're an anachronism, like a ghost from another time!
[02:33:22.301 --> 02:33:27.424]  I am nothing more than a reminder to you that you cannot destroy truth by burning pages!
[02:33:27.764 --> 02:33:29.404]  You're a bug, Mr. Wordsworth!
[02:33:29.424 --> 02:33:30.525]  A crawling insect!
[02:33:31.185 --> 02:33:35.006]  Ugly, misformed little creature who has no purpose here, no meaning!
[02:33:35.606 --> 02:33:36.706]  I am a human being!
[02:33:37.106 --> 02:33:39.507]  Words, Mr. Wordsworth!
[02:33:40.147 --> 02:33:42.428]  That have no substance and no dimension!
[02:33:42.828 --> 02:33:44.328]  Like air, like the wind!
[02:33:44.848 --> 02:33:45.568]  I don't care!
[02:33:45.988 --> 02:33:47.009]  I tell you, I don't care!
[02:33:47.029 --> 02:33:49.129]  I'm a human being, I exist!
[02:33:49.209 --> 02:33:53.350]  And if I speak one thought aloud, that thought lives!
[02:33:54.093 --> 02:33:56.154]  Even after I'm shoveled into my grave!
[02:33:56.294 --> 02:33:59.535]  Delusions, Mr. Wordsworth!
[02:33:59.596 --> 02:34:06.879]  Delusions that you inject into your veins to make you think you have a strength when you have no strength at all!
[02:34:07.139 --> 02:34:09.680]  You have nothing but spindly limbs and a dream!
[02:34:10.100 --> 02:34:12.521]  And the state has no use for your kind!
[02:34:14.202 --> 02:34:17.744]  Resistance to tyrants is obedience to God.
[02:34:18.284 --> 02:34:20.025]  It's Alex Jones.
[02:34:24.722 --> 02:34:29.028]  We're now into the last 25-30 minutes of the worldwide transmission today.
[02:34:30.631 --> 02:34:31.672]  I'm your host Alex Jones.
[02:34:31.832 --> 02:34:33.194]  Reverend Sheldress is our guest.
[02:34:33.795 --> 02:34:37.721]  Blackgenocide.org, Pastor Clenard, Howard, Sheldress is our guest.
[02:34:39.555 --> 02:34:42.779]  And if you look at it, they only assault Christianity.
[02:34:42.819 --> 02:34:55.531]  They try to take it over, they try to megachurch it, they try to Romans 13 it, they try to InfraGard it, clergy response team it, faith-based initiative it, totally take it over, World Council of Churches, ecumenical, all of it.
[02:34:56.292 --> 02:35:03.639]  And now they've got it down to the point where they're going to make Catholic churches, Protestant churches, you name it, pay for abortion coverage.
[02:35:05.221 --> 02:35:10.406]  And they've got a tax in Travis County, the only county in Texas where taxpayers pay an abortion fee.
[02:35:11.807 --> 02:35:16.212]  So that's the type of stuff that's going on, and it's about forcing you to do what they want.
[02:35:16.632 --> 02:35:20.175]  Look at Italy, just said a 60-year-old man can grab an 11-year-old out of the back of a
[02:35:21.058 --> 02:35:24.780]  Yard and rape them, and the social workers say it's love.
[02:35:25.140 --> 02:35:26.641]  That's the actual AFP headline.
[02:35:27.381 --> 02:35:31.383]  They can teach five-year-olds how to have bestiality, you name it, in public schools.
[02:35:32.864 --> 02:35:36.526]  And again, it's called being politically correct.
[02:35:36.566 --> 02:35:38.207]  No, no, it's called evil taking over.
[02:35:39.387 --> 02:35:41.929]  And it's called assaulting everything that's good.
[02:35:42.009 --> 02:35:46.051]  And at the bottom of the rabbit hole, I've learned, is really evil people.
[02:35:47.779 --> 02:36:00.827]  And I'm not here judging people that have good hearts and don't consciously try to go out and do bad stuff, but these globalists get off on the bat, and they want to pull down all that's good, and there's a war on Christianity.
[02:36:02.984 --> 02:36:21.601]  Reverend Childress, talk about that and why they're persecuting the Christians and where you think this is going and why do you think they're accelerating their program with the same woman that made fun of Mitt Romney's grandchild being black in a white family and said, you know, there's nothing that, you know, these people are all different, you know, and is this racist or whatever?
[02:36:23.022 --> 02:36:26.585]  Dividing people and it's the same one that says the state controls your kids.
[02:36:26.946 --> 02:36:29.108]  I mean, they're really out in the open pushing the whole agenda.
[02:36:30.205 --> 02:36:37.810]  You know, unfortunately, and it's a deep unfortunately, that it's still, you know, politics is perception.
[02:36:38.471 --> 02:36:45.576]  And we still, America still feels that the Democratic Party, we're the facilitators of civil rights.
[02:36:46.076 --> 02:36:54.738]  And so these things that they're doing is actually to help people and be upward and mobile, and they could be nothing further than the truth.
[02:36:55.178 --> 02:36:57.679]  And you mentioned this case in England.
[02:36:57.719 --> 02:37:07.561]  I didn't hear of it before, and thank God I am hearing because I just had the discussion that the clergy do not realize that pedophilia is next.
[02:37:08.331 --> 02:37:13.493]  They're gaining this ground through the judicial tyranny on same-sex marriage.
[02:37:13.873 --> 02:37:30.420]  Pretty soon, everything, if you can change the definition of marriage, you can change, and of course you did it with the sanctity of life, the definition of what life is, you can now indeed communicate that what that man did to that 11-year-old girl is love.
[02:37:30.940 --> 02:37:33.881]  And our society, Christian, if you're a Christian,
[02:37:34.952 --> 02:37:37.153]  The line is drawn now.
[02:37:37.974 --> 02:37:40.915]  If we fold on this, we're done.
[02:37:41.515 --> 02:37:42.436]  We are done.
[02:37:42.796 --> 02:37:45.878]  And so I didn't ever want it to come to this.
[02:37:46.078 --> 02:37:50.220]  I never thought I'd live in America that there would be a day of time like this.
[02:37:50.880 --> 02:37:57.324]  But it has come and there must be a clear message sent to this administration.
[02:37:58.024 --> 02:37:59.185]  We will not comply.
[02:37:59.585 --> 02:37:59.705]  It's
[02:38:18.673 --> 02:38:21.494]  We, the people, must galvanize.
[02:38:21.994 --> 02:38:22.694]  We, the people.
[02:38:22.774 --> 02:38:24.495]  It has to be just like Dunk Dynasty.
[02:38:24.975 --> 02:38:27.215]  If pop don't go on, we all don't go on.
[02:38:27.656 --> 02:38:29.276]  That's the way it has to be right now.
[02:38:29.736 --> 02:38:40.099]  And so they have gained this mindset that I believe only good people, you mentioned what's at the bottom of the barrel,
[02:38:41.356 --> 02:38:48.918]  Once again, Edmund Burke, all evil has to do is to try and is for good people to say nothing and be silent.
[02:38:49.339 --> 02:38:53.440]  All the good people now, we have to take it up another level, another notch.
[02:38:54.020 --> 02:38:55.460]  We have to be vocal.
[02:38:55.981 --> 02:38:58.761]  This, the line is drawn, proceed no further.
[02:38:58.781 --> 02:39:00.642]  I believe Notre Dame today.
[02:39:01.698 --> 02:39:05.186]  Has to comply, according to the judge, to Obamacare.
[02:39:05.226 --> 02:39:07.391]  They have to provide these contraceptives.
[02:39:07.751 --> 02:39:08.373]  I wouldn't do it.
[02:39:08.974 --> 02:39:09.575]  I wouldn't do it.
[02:39:09.655 --> 02:39:10.758]  Just don't do it.
[02:39:10.998 --> 02:39:12.401]  You can't do it at this point.
[02:39:14.448 --> 02:39:18.652]  Well, look at how they're openly trying to tell churches what they can and can't do.
[02:39:18.692 --> 02:39:21.115]  That's totally the Soviet Union.
[02:39:21.135 --> 02:39:23.858]  I mean, there's no doubt that this is illegal.
[02:39:24.358 --> 02:39:27.141]  It's socialism, it's communism, whatever you want to call it.
[02:39:27.382 --> 02:39:28.122]  It's a takeover.
[02:39:28.263 --> 02:39:35.370]  I said from the beginning, and thank God for people like Ben Carson who are still echoing, this was never about health care.
[02:39:35.830 --> 02:39:37.232]  Never about health care.
[02:39:37.512 --> 02:39:40.633]  It was about control from day one.
[02:39:40.813 --> 02:39:42.014]  It's about control.
[02:39:42.434 --> 02:39:44.294]  It's about intrusion.
[02:39:44.454 --> 02:39:50.016]  It's about being able to sort out who our enemies are of the present administration.
[02:39:50.437 --> 02:39:59.920]  I mean, this is undoubtedly, we're at the threshold here and there's only one people, those good people you talked about, those good Americans.
[02:40:00.340 --> 02:40:02.421]  We cannot allow this.
[02:40:02.661 --> 02:40:03.881]  You just can't comply.
[02:40:04.481 --> 02:40:06.122]  We must now turn this around.
[02:40:06.822 --> 02:40:10.864]  In such fashion, peaceably, I believe, is the way to do it.
[02:40:11.025 --> 02:40:12.806]  I am a student of Dr. King.
[02:40:13.226 --> 02:40:16.488]  But there's no doubt, you cannot comply to this.
[02:40:16.568 --> 02:40:18.349]  Your rights are being taken away.
[02:40:18.769 --> 02:40:20.930]  Your freedoms are being taken away.
[02:40:21.330 --> 02:40:23.131]  And worst of all, conscience.
[02:40:23.812 --> 02:40:27.974]  You cannot allow government to dictate to you your conscience.
[02:40:28.653 --> 02:40:35.517]  And whether they like it or not, this is a Judeo-Christian country, Judeo-Christian built on those Christian principles.
[02:40:35.837 --> 02:40:37.178]  That is under attack.
[02:40:37.238 --> 02:40:38.919]  That is being stripped.
[02:40:38.999 --> 02:40:41.681]  That is what really is at the core of all of this.
[02:40:42.121 --> 02:40:45.463]  But that's what the mindset of which birthed
[02:40:45.883 --> 02:40:52.867]  That's right.
[02:40:53.207 --> 02:40:55.248]  That's right.
[02:40:55.288 --> 02:40:56.729]  The Bill of Rights was awesome.
[02:40:57.209 --> 02:40:59.950]  Sure it wasn't realized and still hasn't been fully realized.
[02:41:00.270 --> 02:41:04.533]  But we know what's coming in is classical tyranny, not classical
[02:41:05.473 --> 02:41:08.414]  Liberty, I mean, it is a spirit of the world though.
[02:41:08.574 --> 02:41:16.737]  It really does come down to this, that they're after real Christians, they're after homeschoolers, they're openly saying they're going to outlaw that in Ohio and places.
[02:41:17.117 --> 02:41:17.977]  I mean, they're coming.
[02:41:18.037 --> 02:41:22.239]  We've got to get on the offense now because they're not going to back down.
[02:41:23.144 --> 02:41:25.166]  Offense, offense, offense.
[02:41:25.246 --> 02:41:26.807]  We waited too long as it is.
[02:41:26.827 --> 02:41:31.011]  It shouldn't have got to this point.
[02:41:31.191 --> 02:41:32.993]  I'm doing a march in October.
[02:41:34.014 --> 02:41:35.175]  I will be at rallies.
[02:41:35.275 --> 02:41:37.797]  I'll be at the Walk for Life San Francisco.
[02:41:38.157 --> 02:41:43.722]  I'm going to tell you right now, that is going to be a highly charged political speech I give.
[02:41:45.524 --> 02:41:47.606]  And there's no doubt, I know they listen to my phone.
[02:41:47.626 --> 02:41:49.428]  I'm sure they know my website.
[02:41:50.008 --> 02:41:52.591]  The Congressional Black Caucus even mentioned me by name.
[02:41:52.651 --> 02:41:53.752]  I was very proud of that.
[02:41:54.133 --> 02:41:58.057]  But the fact of the matter is, if we do not stand up now,
[02:41:59.842 --> 02:42:07.805]  The America as we know it will be long gone and I would not want to believe that some people would say this law cannot be repealed.
[02:42:08.025 --> 02:42:09.486]  Any law can be repealed.
[02:42:09.526 --> 02:42:19.170]  That's all psych warfare when the Republican leadership won't get rid of it and oh it can't and oh it's a giant social takeover, social engineering, death panels.
[02:42:19.570 --> 02:42:22.331]  The big banks are behind it because they want all the extra money.
[02:42:22.671 --> 02:42:24.452]  I mean this is the end of this country.
[02:42:25.032 --> 02:42:29.674]  And people are saying, oh, we can't repeal it when it's completely unpopular across the board.
[02:42:29.714 --> 02:42:30.914]  It's all mind games.
[02:42:31.194 --> 02:42:32.975]  We have crooks in Washington.
[02:42:33.215 --> 02:42:35.636]  They have a 6% approval rating in Congress.
[02:42:35.876 --> 02:42:37.116]  They need to be arrested.
[02:42:37.636 --> 02:42:39.917]  This is a criminal conspiracy.
[02:42:40.277 --> 02:42:45.019]  And if they can kill 53 million babies, of course they can do secret testing on people.
[02:42:45.339 --> 02:42:46.260]  You know, everybody my age...
[02:43:01.016 --> 02:43:05.538]  That you may feel your time, you know, to retire or to lay back.
[02:43:05.979 --> 02:43:07.119]  No, we know the way.
[02:43:07.600 --> 02:43:15.123]  We know what the heart and the vision of the great visionaries of this country had for this country, and you're right.
[02:43:15.484 --> 02:43:18.905]  You know, I do a piece, we hold these truths to be self-evident.
[02:43:19.946 --> 02:43:25.349]  The nation never really held that truth, but one day, I believe Dr. King said we would hold that truth.
[02:43:25.869 --> 02:43:44.566]  I believe right now this is a defining hour where truly, and I don't want to use the term take our country back or that, but basically getting back to the heart of the Constitution, to the heart of the Declaration of Independence, in it is the most powerful political document ever
[02:43:45.550 --> 02:43:46.731]  Ever, ever conceived.
[02:43:47.492 --> 02:43:48.894]  We have to get back there.
[02:43:49.054 --> 02:43:50.115]  Demand there.
[02:43:50.496 --> 02:43:51.917]  It is still we the people.
[02:43:52.137 --> 02:43:56.942]  It's not perfect, but what is coming down the pike now is criminal.
[02:43:57.443 --> 02:43:59.305]  It is not freedom.
[02:43:59.705 --> 02:44:02.769]  It certainly isn't the vision of the founding fathers.
[02:44:03.389 --> 02:44:05.551]  And we have to be more vocal.
[02:44:05.571 --> 02:44:07.472]  We have to go to PTA boards.
[02:44:07.752 --> 02:44:10.875]  We have to go to our local town meetings and council meetings.
[02:44:10.895 --> 02:44:12.936]  We certainly have to go to the legislature.
[02:44:13.356 --> 02:44:19.261]  We have to use the intimidation of we the people.
[02:44:19.521 --> 02:44:21.462]  There's more of us than them.
[02:44:21.882 --> 02:44:22.583]  Case closed.
[02:44:22.803 --> 02:44:23.644]  We have to use that.
[02:44:23.924 --> 02:44:26.306]  And all of us have to step up.
[02:44:26.726 --> 02:44:27.667]  We're losing.
[02:44:28.427 --> 02:44:31.009]  I will not turn willfully.
[02:44:31.896 --> 02:44:37.318]  Uh, to my grandchildren, uh, a nation, uh, such of this, of this caliber.
[02:44:37.418 --> 02:44:41.719]  It would be criminal upon me not to do everything that you want.
[02:44:41.739 --> 02:44:41.819]  Sure.
[02:44:41.839 --> 02:44:47.260]  Well, I mean, Reverend, also, look how historically, once things get to this point, things collapse.
[02:44:47.320 --> 02:44:49.481]  It's not just going to keep rotting for a long time now.
[02:44:50.341 --> 02:44:53.342]  All of the liberty and all the blessings are leaving.
[02:44:53.422 --> 02:44:54.442]  The curses are coming.
[02:44:54.803 --> 02:44:55.843]  We're being overrun.
[02:44:56.784 --> 02:44:58.627]  All our basic freedoms are going away.
[02:44:58.647 --> 02:45:00.351]  The prosperity is going away.
[02:45:00.371 --> 02:45:05.480]  I mean, we know the wages of this collectivist New World Order are death.
[02:45:05.901 --> 02:45:08.225]  We know the fruits of this system are not good.
[02:45:09.358 --> 02:45:14.861]  And people like yourself, unquestionably, have to keep sounding that message.
[02:45:14.901 --> 02:45:19.363]  We can't assume people recognize that this is it.
[02:45:19.803 --> 02:45:29.067]  2014, probably the most important year of our nation's history, due to the climate and where we're at right now.
[02:45:29.847 --> 02:45:32.889]  It has never been this bad.
[02:45:33.309 --> 02:45:35.410]  And if there isn't a turnaround in 2014,
[02:45:38.071 --> 02:45:51.518]  I don't see us recovering, because it would mean that we capitulated and allowed this to go on without a significant, a significant upheaval, and certainly letting our voices be heard in November.
[02:45:51.898 --> 02:45:54.600]  This is an extremely pivotal year.
[02:45:54.920 --> 02:46:03.144]  Anyone who believes in righteousness and the goodness of the country, the Constitution, the Declaration of Independence,
[02:46:03.664 --> 02:46:09.607]  I mean, anyone who holds those things dear, you have to ask, what level do I take this to now?
[02:46:09.727 --> 02:46:11.988]  And whatever we've been doing is not good enough.
[02:46:12.028 --> 02:46:13.148]  I'm talking about myself, too.
[02:46:13.608 --> 02:46:15.669]  Whatever I've done, obviously, is not good enough.
[02:46:15.829 --> 02:46:17.210]  It's got to go to another level.
[02:46:18.351 --> 02:46:20.271]  This is war.
[02:46:20.812 --> 02:46:30.596]  And if, indeed, we are to survive, it's going to take those good people you mentioned earlier to know that good will triumph if good speaks up.
[02:46:31.076 --> 02:46:37.482]  If good is willing to sacrifice and go to the front line, good will prevail.
[02:46:37.582 --> 02:46:41.185]  God is still on the throne, but he's waiting for the good people to step forward.
[02:46:42.606 --> 02:46:44.768]  What's going to happen if we don't turn the country around?
[02:46:46.266 --> 02:46:48.589]  I don't even want to think about that, I'm going to be honest with you.
[02:46:48.689 --> 02:47:00.846]  I never thought, as I stated earlier, that I would never live in a country where there is no... I mean, how can you have an administration that just totally ignores
[02:47:01.346 --> 02:47:05.809]  The Constitution and the Declaration of Independence with impunity.
[02:47:06.109 --> 02:47:13.313]  I mean, who is challenging this onslaught against the rights of its citizens?
[02:47:13.753 --> 02:47:15.974]  And so the citizens at this point have to rise up.
[02:47:16.835 --> 02:47:21.117]  I can look at throughout history and see where this has happened in other countries.
[02:47:21.397 --> 02:47:23.358]  Once again, never thinking it could happen here.
[02:47:23.859 --> 02:47:29.262]  But I better be taking better notes on what I used to see in other nations because it is here.
[02:47:29.982 --> 02:47:39.106]  And if we do not rise up, and it's not going to be whether you're white or black, it's going to be whether you believe in righteousness.
[02:47:39.126 --> 02:47:41.828]  Do you believe that marriage is between one man and one woman?
[02:47:41.848 --> 02:47:43.889]  Do you believe that that is a baby?
[02:47:43.969 --> 02:47:44.909]  The sanctity of life?
[02:47:44.989 --> 02:47:46.850]  Those are the things that are going to galvanize you.
[02:47:46.870 --> 02:47:48.551]  Do you believe you have the right
[02:47:49.258 --> 02:47:55.263]  To basically believe as you choose to believe and to worship as you choose to worship.
[02:47:55.283 --> 02:47:56.604]  Do you have those rights?
[02:47:57.125 --> 02:48:02.469]  And from what I know of the history, that Christianity ought to trump all those.
[02:48:02.569 --> 02:48:14.419]  Why should I be in a nation that was founded by those principles and watch them dismantle those principles and every emblem or sign of those principles without saying something?
[02:48:15.443 --> 02:48:16.164]  This is absurd!
[02:48:45.323 --> 02:48:46.384]  I do see a backlash.
