[00:00:00.029 --> 00:00:00.629]  It's your family.
[02:22:39.972 --> 02:22:48.597]  Be prepared for unexpected emergencies and get the Berkey battery adapter complete with on-off switch for only $10 by calling New Millennium at 888-803-4438.
[02:22:52.359 --> 02:22:53.260]  That's toll free, 888-803-4438.
[02:23:03.433 --> 02:23:05.293]  Without cholesterol, your mood would drop.
[02:23:05.394 --> 02:23:06.614]  Your skin would dry out.
[02:23:06.754 --> 02:23:10.415]  You wouldn't make any vitamin D nor any bile to digest fatty foods.
[02:23:10.735 --> 02:23:12.475]  This is health journalist Bill Sardi.
[02:23:12.535 --> 02:23:15.456]  Cholesterol is not a life-threatening toxin.
[02:23:15.696 --> 02:23:21.698]  Despite efforts to reduce cholesterol and fats in your diet, your liver will make about a glass full of cholesterol a day.
[02:23:21.918 --> 02:23:25.359]  The bottom line is we need to maintain healthy cholesterol levels.
[02:23:25.619 --> 02:23:30.540]  That's just what Lifespan Nutrition has done with its revolutionary Normatrol formula.
[02:23:30.979 --> 02:23:37.023]  It provides potent amounts of lecithin along with rice bran, flaxseed, taurine, boron, and magnesium.
[02:23:37.383 --> 02:23:44.047]  Call 866-405-4000 to find out about this revolutionary dietary supplement called Normitrol.
[02:23:44.287 --> 02:23:46.849]  That's 866-405-4000.
[02:23:47.169 --> 02:23:51.051]  Lifespan Nutrition wants to help you maintain healthy cholesterol levels.
[02:23:51.072 --> 02:23:51.112]  866-405-4000.
[02:24:01.326 --> 02:24:03.228]  Waging war on corruption.
[02:24:03.728 --> 02:24:06.531]  Alex Jones on the GCM Radio Network.
[02:24:08.433 --> 02:24:13.318]  Coming up, we're going to talk about the military dictatorship, which they're now announcing they're publicly setting up.
[02:24:13.338 --> 02:24:16.401]  9-11 was only the setup for all of this.
[02:24:17.382 --> 02:24:18.243]  The preparation.
[02:24:19.524 --> 02:24:20.545]  The firing cap.
[02:24:22.373 --> 02:24:23.354]  It is so serious.
[02:24:23.474 --> 02:24:29.357]  And your calls in the next segment, Rodney in Connecticut and others, be patient.
[02:24:29.377 --> 02:24:29.617]  1-800-259-9231.
[02:24:29.637 --> 02:24:36.381]  I also want to talk about just the sheer evil of the New World Order that the average person just isn't conscious of, but is documented.
[02:24:37.482 --> 02:24:39.663]  And both you guys jump in any time here.
[02:24:40.204 --> 02:24:42.745]  I talked to a scientist doctor in the first hour.
[02:24:43.245 --> 02:24:45.006]  We've known about Mad Cow for a long time.
[02:24:45.026 --> 02:24:45.807]  They've covered it up.
[02:24:46.696 --> 02:24:50.418]  About two and a half to three years ago, a friend of ours named Jim Hale, who was a mechanic at American Airlines,
[02:25:10.031 --> 02:25:12.713]  He started getting sick and he didn't know what was wrong.
[02:25:12.753 --> 02:25:14.335]  He started losing coordination.
[02:25:14.395 --> 02:25:17.718]  He started having problems remembering things and so on.
[02:25:17.738 --> 02:25:21.941]  He had the classic symptoms of what at that time we figured was Alzheimer's.
[02:25:21.981 --> 02:25:24.544]  The only problem is the guy was only like 48 years old.
[02:25:25.525 --> 02:25:26.325]  He was in good health.
[02:25:26.345 --> 02:25:27.907]  There didn't seem to be anything else wrong with him.
[02:25:27.927 --> 02:25:32.250]  He was on all kinds of health food regimens and took all of his vitamins and herbs and everything.
[02:25:32.291 --> 02:25:37.275]  His wife and him were really, in fact, they were into selling these products and they were really into health.
[02:25:38.728 --> 02:25:52.598]  But he kept going downhill and downhill and finally he got to the point where they had to put him in the hospital and he started getting into extreme stages of what they said was Alzheimer's disease and of course our questions were how could a guy this young have Alzheimer's?
[02:25:54.800 --> 02:26:02.606]  He eventually died from it within a very short period of time after exhibiting the worst symptoms that show up.
[02:26:04.253 --> 02:26:10.218]  Inability to think and remember, can't move, shakiness, can't hardly walk, can't grip your hands, all of that stuff.
[02:26:10.819 --> 02:26:11.659]  And he died at St.
[02:26:11.699 --> 02:26:13.461]  Francis Hospital in Tulsa, Oklahoma.
[02:26:13.661 --> 02:26:15.763]  That's been almost three years ago now.
[02:26:16.563 --> 02:26:26.471]  And his wife was notified by one of the doctors at the hospital who was a whistleblower that said, your husband did not die from Alzheimer's.
[02:26:27.472 --> 02:26:27.933]  He said that
[02:26:29.018 --> 02:26:30.679]  Normally Alzheimer's doesn't kill you anyway.
[02:26:30.699 --> 02:26:32.440]  What happens is something else happens to your body.
[02:26:32.460 --> 02:26:34.341]  You lose your immune system, your heart goes, whatever.
[02:26:34.381 --> 02:26:37.082]  But he died because his brain ceased to function.
[02:26:37.642 --> 02:26:42.785]  And when they did the autopsy, what they found was Croutzfeldt-Jakob disease.
[02:26:42.845 --> 02:26:43.685]  And she said, what's that?
[02:26:43.765 --> 02:26:46.127]  He says it's mad cow disease, but they won't call it that.
[02:26:47.067 --> 02:26:54.791]  And it's interesting to note, by the way, that Dr. Alzheimer in 19, I think it was 1905, discovered Alzheimer's disease.
[02:26:55.556 --> 02:27:01.100]  As being in the population, which previous to 1900, you'd hardly ever heard of anybody getting Alzheimer's.
[02:27:01.760 --> 02:27:09.445]  And by the way, we have the doctor on, we've read the mainstream articles, it's now even the Associated Press, people under 30 getting Alzheimer's has quintupled.
[02:27:10.106 --> 02:27:12.227]  It didn't exist before, now it's all over the place.
[02:27:12.327 --> 02:27:24.816]  Right, but before the 1800s, we didn't have cancer, we didn't have Alzheimer's before 1900, and now all of a sudden we start discovering these things around the turn of the century and afterwards when we start getting inoculations and more different types of
[02:27:25.755 --> 02:27:26.556]  I don't know.
[02:27:41.417 --> 02:27:51.422]  So that became, the brain spongiform disease became Crowsfield-Yakub disease, and that's what they called it in humans, but in animals they called it other things depending on what animal it was.
[02:27:51.462 --> 02:27:54.643]  You know, pigs have a form of it, and I used to have the list in front of me.
[02:27:54.663 --> 02:27:56.044]  I don't have it right now, but you can look it up.
[02:27:57.024 --> 02:28:06.349]  Each animal has this type of disease here recently that you can actually find in the population of that livestock, and what they've done is the British, of course,
[02:28:07.213 --> 02:28:13.695]  I had it really bad long before we showed it being here, even though it had been here for a while in the elk herd, and then finally into the cow herd.
[02:28:14.295 --> 02:28:22.098]  And they found out that what it was, it was feeding animal parts back to animals.
[02:28:22.718 --> 02:28:26.239]  And now I've got horses, I've got chickens here, and I read the feed bags.
[02:28:26.520 --> 02:28:33.682]  And when we first got the animals, I started looking at feed bags, and I found out what companies produced feed made from rendered animal parts
[02:28:34.293 --> 02:28:37.877]  Uh, put back into pellet form and fed back to the animals, which they're not supposed to eat that.
[02:28:37.897 --> 02:28:43.982]  They're designed to be herbivores and not, uh, not eat protein, not eat, uh, the, uh, uh, different types of rendered animal parts.
[02:28:44.042 --> 02:28:45.043]  Cows aren't supposed to eat that.
[02:28:45.063 --> 02:28:48.206]  You start feeding them something they're not supposed to have, bad things happen, and this is what's happening.
[02:28:48.547 --> 02:28:51.209]  And now we've had a massive cover-up.
[02:28:51.309 --> 02:28:52.891]  Uh, Jack McClam comments on this.
[02:28:54.049 --> 02:29:07.759]  Well, you know, for ten years I toured with the Preparedness Expos and one of my bright spots was meeting and speaking along with Lenny Horowitz, Dr. Lenny Horowitz.
[02:29:08.439 --> 02:29:13.603]  And he's done some of the best research in some of the production of these
[02:29:14.679 --> 02:29:15.280]  I don't know.
[02:29:35.288 --> 02:29:38.631]  And so, uh, you know, I have a lot to say about these things.
[02:29:38.651 --> 02:29:40.092]  We'll talk about it when we get back, then.
[02:29:40.132 --> 02:29:43.374]  Then we'll shift gears into the police state and take your calls.
[02:29:43.534 --> 02:29:44.535]  Gentlemen, stay with us.
[02:29:46.977 --> 02:29:47.878]  We're on the march.
[02:29:48.378 --> 02:29:49.979]  The Empire's on the run.
[02:29:50.900 --> 02:29:53.602]  Alex Jones and the GCN Radio Network.
[02:29:57.068 --> 02:29:59.431]  So what's in your shampoo, bath soap, and dish soap?
[02:29:59.671 --> 02:30:03.516]  Chlorides, dyes, ethanol, sulfates, sodiums, formaldehydes, etc.?
[02:30:03.837 --> 02:30:04.658]  Read the labels.
[02:30:05.098 --> 02:30:09.203]  Inhaling exposure can lead to coughing, wheezing, shortness of breath, headache, and nausea.
[02:30:09.444 --> 02:30:13.589]  Also may be irritating to the skin and mucous membranes and cause you to seek medical help.
[02:30:13.989 --> 02:30:18.872]  Perfumes, also known as fragrance on a label, can indicate the presence of thousands of separate ingredients.
[02:30:19.253 --> 02:30:22.775]  Now just by one example, here's what's in my CalBen Pure Soap Shampoo.
[02:30:23.035 --> 02:30:28.379]  It's all natural, earth-friendly, it contains extra virgin cocoa butter oils and vegetable protein oils.
[02:30:28.639 --> 02:30:31.361]  No harsh chemicals, no animal tallow or testing.
[02:30:31.661 --> 02:30:32.562]  So what are you waiting for?
[02:30:32.882 --> 02:30:38.626]  Call now, 1-800-340-7091 and find out how a family of four can save over $1,000 per year on all their cleaning products with CalBen Pure Soaps.
[02:30:43.969 --> 02:30:45.391]  Call CalBen toll free at 1-800-340-7091.
[02:30:45.411 --> 02:30:46.432]  That's 800-340-7091 or visit CalBenPureSoap.com.
[02:30:56.784 --> 02:31:00.048]  Hi, this is Jack Browner with a gold alert from Midas Resources.
[02:31:00.508 --> 02:31:02.530]  Folks, it's time to shed your complacency.
[02:31:02.891 --> 02:31:05.494]  Gold has seldom, if ever, been a better buy.
[02:31:05.854 --> 02:31:10.399]  Midas Resources is now in a position to potentially show you considerable profits.
[02:31:10.599 --> 02:31:12.361]  But you have to act now!
[02:31:12.581 --> 02:31:18.708]  We have $10 collector gold coins at the closest price to melt I've seen in my 24 years in the business.
[02:31:19.148 --> 02:31:25.693]  These are the same coins that are likely to soon command substantial premium prices as they have in the past.
[02:31:25.913 --> 02:31:29.476]  We can deliver them to you now with minimal downside risk.
[02:31:29.716 --> 02:31:33.159]  Or we can let you buy them later at a considerable higher price.
[02:31:33.579 --> 02:31:35.881]  Don't buy them later, folks.
[02:31:36.221 --> 02:31:37.062]  Do it now.
[02:31:37.302 --> 02:31:46.669]  That's $10 collector gold coins, $10 and $20 collector gold coins at the nearest amount in my 24 years in this business called Midas Resources.
[02:31:47.170 --> 02:31:47.732]  That's Midas at 800-686-2237.
[02:31:55.728 --> 02:31:56.308]  You've heard of it.
[02:31:56.388 --> 02:31:57.268]  You've searched for it.
[02:31:57.429 --> 02:31:58.149]  We have it.
[02:31:58.289 --> 02:31:59.909]  I'm talking about Coral Calcium.
[02:32:00.009 --> 02:32:05.891]  Buy direct from the manufacturer and discover what thousands already know about the benefits of taking Coral Calcium supplements.
[02:32:06.171 --> 02:32:15.994]  OnlineCoralCalcium.com is an authorized dealer of authentic, as seen on TV, Coral Calcium Supreme and New Coral Calcium Supreme Plus, formulated by author-chemist Robert Barefoot.
[02:32:16.114 --> 02:32:19.015]  Visit OnlineCoralCalcium.com or call toll-free 877-330-1120.
[02:32:21.616 --> 02:32:22.096]  We're good to go!
[02:32:51.796 --> 02:32:54.898]  Order now and receive a free PH Health test kit and audio tape.
[02:32:57.599 --> 02:33:02.722]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[02:33:03.402 --> 02:33:05.764]  Because there's a war on for your mind.
[02:33:07.905 --> 02:33:10.006]  Monday through Friday from 11 a.m.
[02:33:10.126 --> 02:33:11.647]  until 2 p.m.
[02:33:11.727 --> 02:33:12.807]  Central Standard Time.
[02:33:12.867 --> 02:33:15.029]  Back from 9 to midnight Central Standard Time.
[02:33:15.389 --> 02:33:19.311]  Blasting out on the AM and FM dial from Rhode Island to Los Angeles, California.
[02:33:20.197 --> 02:33:29.084]  Simulcasting on Global Shortwave during the day at 12.172 and 93.20 and at night from 9 to midnight at 5.085 and 68.90.
[02:33:29.464 --> 02:33:34.808]  And on the internet at InfoWars.com and PrisonPlanet.com.
[02:33:35.329 --> 02:33:36.410]  Thank you for joining us.
[02:33:36.890 --> 02:33:40.733]  This is our final 26 minutes now in this year's shows.
[02:33:41.519 --> 02:33:44.901]  And we're talking to Colonel Craig Roberts and of course Jack McClam.
[02:33:44.921 --> 02:33:47.042]  We're about to go back to both these gentlemen.
[02:33:47.082 --> 02:33:48.243]  I know we got loaded phone lines.
[02:33:48.263 --> 02:33:48.883]  We'll get to those too.
[02:33:48.923 --> 02:33:50.164]  I want to finish up with Mad Cow.
[02:33:50.424 --> 02:33:51.624]  Then get into Police State.
[02:33:52.145 --> 02:33:56.607]  Our guest predictions for the next 365 days.
[02:33:57.788 --> 02:34:03.651]  Before we cover that plethora of info, I want to encourage all of you to get my films.
[02:34:03.871 --> 02:34:05.111]  I've made 10 videos.
[02:34:05.712 --> 02:34:07.513]  The latest is Matrix of Evil.
[02:34:07.533 --> 02:34:09.033]  It has Colonel Craig Roberts in it.
[02:34:09.093 --> 02:34:09.854]  Frank Morales.
[02:34:10.832 --> 02:34:17.974]  Congressman Ron Paul, Cynthia McKinney, she talks about the UN being a bunch of murderers and kidnapping children and 9-11.
[02:34:18.595 --> 02:34:19.735]  That'll wake the liberals up.
[02:34:19.755 --> 02:34:26.677]  We got Ron Paul talking about globalists running Washington, the neocons, the coming depression.
[02:34:27.458 --> 02:34:28.418]  Pretty powerful stuff.
[02:34:28.798 --> 02:34:29.498]  I'm in there.
[02:34:30.459 --> 02:34:32.759]  It's a great new video, a little over two hours long.
[02:34:33.059 --> 02:34:37.621]  There's police state, three total enslavement, masters of terror, 9-11, the road to tyranny.
[02:34:39.233 --> 02:34:42.397]  All my films are excellent, and you need to have them.
[02:34:42.417 --> 02:34:47.623]  They're $25.95 apiece, $20 when you order three or more, and that purchase also supports this show.
[02:34:47.923 --> 02:34:48.864]  That's a side issue.
[02:34:49.245 --> 02:34:52.508]  Get them because they're effective, they're documented, okay?
[02:34:53.049 --> 02:34:54.210]  And they're waking people up.
[02:34:54.290 --> 02:34:56.813]  So get the films, make at least ten copies.
[02:34:56.893 --> 02:34:57.314]  It's easy.
[02:34:57.814 --> 02:35:06.237]  Ten nights, pop in another tape by another VCR, make a copy, give it to police chiefs, sheriffs, county commissioners, local talk show hosts.
[02:35:06.797 --> 02:35:12.580]  Those are the big fish we're going after, because they're already going to know everything we tell them, but they never want to put it all together.
[02:35:13.140 --> 02:35:17.041]  You see, they're just kind of unconsciously looking at the world.
[02:35:17.421 --> 02:35:23.844]  We just take that hidden image that was already in plain view out into the open, and now no matter what they try, they're still going to see it.
[02:35:24.384 --> 02:35:26.985]  That's all we're doing is widening their perspective.
[02:35:28.560 --> 02:35:29.781]  Get the videos, folks.
[02:35:29.821 --> 02:35:31.101]  They're so important.
[02:35:31.441 --> 02:35:32.402]  Get the videos.
[02:35:32.442 --> 02:35:33.822]  Get my book, Descent into Tyranny.
[02:35:33.842 --> 02:35:37.364]  Get the new book I published, Order Out of Chaos, by Paul Watson.
[02:35:37.424 --> 02:35:38.124]  It's excellent.
[02:35:38.564 --> 02:35:44.647]  Go to Infowars.com or PrisonPlanet.com or call toll-free to order them.
[02:35:45.107 --> 02:35:47.988]  And operators are there 24 hours a day, morning, noon, and night, 1-888-253-3139.
[02:35:55.143 --> 02:36:12.487]  That's 888-253-3139, or just write to me, and I'm Alex Jones, at 3001 South Lamar, L-A-M-A-R, Suite 100, Austin, Texas, 78704.
[02:36:14.467 --> 02:36:16.707]  And for those that have gotten the films, I want to thank you.
[02:36:17.107 --> 02:36:18.368]  Please keep making copies.
[02:36:18.408 --> 02:36:19.928]  Continue to air them on AXS TV.
[02:36:20.548 --> 02:36:24.449]  Believe me, if we weren't out here doing this, we'd be in a lot worse shape today.
[02:36:25.089 --> 02:36:28.653]  Going back to Jack McClam and Craig Roberts.
[02:36:29.955 --> 02:36:30.876]  Exactly, Jack.
[02:36:30.916 --> 02:36:32.117]  They create the crisis.
[02:36:32.137 --> 02:36:33.459]  They allow it to take place.
[02:36:33.879 --> 02:36:34.800]  Then there's solution.
[02:36:34.860 --> 02:36:35.701]  I have it today.
[02:36:36.202 --> 02:36:38.705]  They want to put microchips by law on all the cattle.
[02:36:39.631 --> 02:36:42.832]  They want to have federal enforcers in all your farms and ranches.
[02:36:43.212 --> 02:36:46.393]  Meanwhile, big agribusiness, it's like Tyson Chicken.
[02:36:46.813 --> 02:36:49.594]  They can have 1,300 violations at one plant.
[02:36:49.834 --> 02:36:52.055]  Their competitor has two and gets shut down.
[02:36:52.615 --> 02:36:53.736]  Nothing happens to them.
[02:36:54.376 --> 02:36:55.756]  That's what I see coming out of this.
[02:36:55.796 --> 02:36:57.077]  What do you see happening, Jack?
[02:36:57.317 --> 02:36:59.177]  Brother, that's absolutely correct.
[02:36:59.458 --> 02:37:03.879]  I've been blessed over 20 years now of knowing some of the
[02:37:04.451 --> 02:37:27.663]  Most knowledgeable doctors in the country, medical personnel, you guys know them too, Dr. Stan Monteith and Dr., like I said, Lenny Horowitz and many others who have pinpointed the fact that there is a biological war going on on the American people and has been for a long time using biological and chemical weapons on our people.
[02:37:28.383 --> 02:37:30.264]  And they use it for everything.
[02:37:30.364 --> 02:37:32.225]  They use it to strike fear.
[02:37:33.047 --> 02:37:42.635]  In the minds of all Americans, they're using it to take over and destroy the small farms and ranches and turn them over to the agribusinesses, which are the international elite.
[02:37:43.055 --> 02:37:47.799]  And these are soft kill weapons that they can misdiagnose, correct, Craig?
[02:37:48.379 --> 02:37:48.940]  Absolutely.
[02:37:49.780 --> 02:37:56.686]  And you know, it's absolutely incredible that even when we, locally, get something diagnosed,
[02:37:58.134 --> 02:38:06.738]  You know, you can take just about anything that's cropped up in this country that got headlines, such as Legionnaire's disease and of course SARS and all of this.
[02:38:06.778 --> 02:38:11.401]  Anytime that they get this stuff, it becomes like the disease of the week and then it goes away under the carpet.
[02:38:11.421 --> 02:38:12.541]  Don't worry about it anymore.
[02:38:13.062 --> 02:38:16.383]  But it has an impact on the population and won't quit.
[02:38:16.423 --> 02:38:23.167]  When we had this latest outbreak of flu, I was doing a radio talk show in Fayetteville, Arkansas, and a guy called in.
[02:38:23.287 --> 02:38:26.709]  He worked at the local hospital and he said that they've reported three flu deaths
[02:38:27.565 --> 02:38:31.088]  In Arkansas, he said, we had nine in our hospital alone in the last two weeks.
[02:38:31.528 --> 02:38:35.991]  So a lot of this stuff goes underreported for various reasons, of course.
[02:38:36.512 --> 02:38:41.315]  But one thing that I always suspect, because I always look at the other side of the door anymore.
[02:38:41.555 --> 02:38:43.697]  I look in the shadows to see what the real truth is.
[02:38:44.337 --> 02:38:53.003]  And I always suspect that, I wonder how much, especially after writing the Medusa file, with all of the research we did and all the investigations we did at the government,
[02:38:53.527 --> 02:38:53.888]  I think?
[02:39:11.563 --> 02:39:19.266]  And how much of this stuff happens in your local town that you know about, and the locals know about, but it never goes uphill and gets reported in the national media?
[02:39:19.286 --> 02:39:27.230]  Well, that's the point I've made, is we have Project Shad up until 85, nerve-gassing troops and killing them, and then no one is charged because they were quote, following orders.
[02:39:27.730 --> 02:39:36.034]  I mean, we have a ruthless group of criminals running things, and Jack McClam, Craig Roberts, I want to briefly, and then I want to get into the militarization of police and some calls.
[02:39:36.654 --> 02:39:38.175]  Your predictions for the next year,
[02:39:39.075 --> 02:39:45.197]  What you see happening, and also I want to talk about the nature of evil, what the New World Order really is.
[02:39:46.737 --> 02:39:47.277]  Go ahead, Jack.
[02:39:47.577 --> 02:39:48.198]  Okay, brother.
[02:39:48.398 --> 02:40:00.561]  Well, our police association here, our main concern is that acts of terrorism used on the American people works miracles for the internationalists.
[02:40:01.141 --> 02:40:07.783]  So we see in this next year, horrible acts of terrorism are going to be used on the American people.
[02:40:08.579 --> 02:40:09.740]  For several reasons.
[02:40:10.020 --> 02:40:22.587]  One is to get them to acquiesce to giving up the rest of their rights and to allow the government to finish setting up this totalitarian martial law system here in America.
[02:40:22.607 --> 02:40:29.831]  And we definitely believe that the people, unless we can continue and get the listeners out there to
[02:40:30.495 --> 02:40:35.443]  Just get massive amounts of our publications and tapes and make copies of them.
[02:40:35.523 --> 02:40:36.023]  Get them out.
[02:40:36.424 --> 02:40:38.207]  Start this geometric progression.
[02:40:38.823 --> 02:40:47.585]  The American people are going to beg, actually not beg, we've decided they're going to demand martial law when this terrorism starts again.
[02:40:47.605 --> 02:40:52.926]  Well, that's because they've already put it in the back of their mind that the solution is martial law when it happens.
[02:40:52.946 --> 02:40:53.946]  They say it every day.
[02:40:54.266 --> 02:40:56.307]  Then folks think it's their own idea later.
[02:40:56.327 --> 02:40:58.907]  I mean, that's a classic tactic, Colonel, is it not?
[02:40:59.127 --> 02:41:02.448]  To plant a solution there a few months, a few years before?
[02:41:03.081 --> 02:41:09.686]  Oh yeah, and what they'll do is they'll dream up problems to say, this is what we're starting to look at right now.
[02:41:09.726 --> 02:41:15.129]  We think this might happen, so therefore we're going to pass laws in advance to make sure it doesn't happen for your own protection.
[02:41:15.549 --> 02:41:22.174]  And some of my predictions on this, I think that what we're going to have is reductions in the ability of the American people to travel about.
[02:41:22.874 --> 02:41:25.056]  We're going to be more confined to where we live.
[02:41:25.156 --> 02:41:27.718]  We may end up with internal passports like the Russians had.
[02:41:27.758 --> 02:41:31.200]  We've already been dissuaded from flying at the airports because we're treated like criminals.
[02:41:31.704 --> 02:41:33.465]  We're going to have registration of gun owners.
[02:41:34.465 --> 02:41:44.568]  You know, they say, well, we can't register firearms because of a couple of federal laws, but there's nothing to say they can't issue you a federal permit to buy a gun or to own a gun.
[02:41:44.768 --> 02:41:51.951]  Well, on top of this, showing it's all a fraud, Bush is going to, anybody who can get here will be legalized instantly.
[02:41:52.231 --> 02:42:00.634]  Oh yeah, you know, they're supplying the enemy and they're cutting down on the ability of us to defend ourselves against the enemy, which is basically a recipe for disaster.
[02:42:01.152 --> 02:42:05.333]  They're going to have probably restrictions on the amount of ammo you can buy or even have on your premises.
[02:42:06.833 --> 02:42:10.234]  They'll start controlling food purchases because they'll do it two ways.
[02:42:10.394 --> 02:42:14.055]  One, the amount and rationing due to whatever reason that the emergencies that will come up.
[02:42:14.115 --> 02:42:15.835]  And the other is because it's contaminated.
[02:42:15.895 --> 02:42:18.736]  You know, you've got to have it inspected and so on.
[02:42:19.536 --> 02:42:23.376]  They'll have cross-deputization of agencies more than they do now.
[02:42:23.416 --> 02:42:30.918]  In other words, the local sheriff and his deputies will be cross-deputized with the police from the towns within that county and they'll be cross-deputized
[02:42:31.263 --> 02:42:37.053]  with federal agencies and task forces so that eventually everybody will will come under the umbrella of homeland security
[02:42:37.483 --> 02:42:40.485]  As an anti-terrorist task force, or anti-terrorist organization.
[02:42:40.505 --> 02:42:42.447]  We're seeing this happen more and more every day right now.
[02:42:42.607 --> 02:42:45.469]  Well first they munialize with the MJTF, federally funded.
[02:42:45.709 --> 02:42:48.231]  Then they take that Lego set and plug it into the bigger one.
[02:42:48.511 --> 02:42:52.554]  And since Jack made this prediction of more terror, I agree with that.
[02:42:52.934 --> 02:43:05.423]  William Sapphire, the Neocon Chieftain in the New York Times today said, this is a prediction, the October surprise, I'm reading from him, affecting our election will be the capture of Bin Laden in Yemen,
[02:43:06.098 --> 02:43:11.860]  The daring escape of Saddam, a major terror attack in the U.S., finding a buried bag of anthrax in Tikrit.
[02:43:11.920 --> 02:43:12.780]  Gentleman comments.
[02:43:13.760 --> 02:43:19.161]  Well, I think, yeah, that's a real Easter basket full of colored eggs right there.
[02:43:20.462 --> 02:43:23.122]  Yeah, you know, there's no telling what they can crank up.
[02:43:23.223 --> 02:43:24.823]  It's absolutely incredible.
[02:43:25.439 --> 02:43:26.260]  I don't think so.
[02:43:40.791 --> 02:43:45.233]  You know, we're going to put this guy in jail and no one's going to talk to him because we don't want him to say what really happened.
[02:43:45.253 --> 02:43:52.537]  What's scary about Sapphire is last year they said, oh, he's got such a crystal ball, he predicted 9-11 with precision.
[02:43:52.757 --> 02:43:55.018]  Well, yeah, the guy's inside all this.
[02:43:55.478 --> 02:43:56.419]  Well, he's an outlet.
[02:43:57.119 --> 02:43:58.140]  You know, he's a mouthpiece.
[02:43:58.200 --> 02:43:58.980]  I mean, what can you say?
[02:44:01.221 --> 02:44:02.342]  Wow.
[02:44:02.642 --> 02:44:10.246]  We're going to have a total federalization of local police under these same rubrics here and also watch for
[02:44:10.996 --> 02:44:13.937]  The elimination of the election of the county sheriff.
[02:44:13.997 --> 02:44:16.178]  They're working very hard on this right now.
[02:44:16.318 --> 02:44:30.503]  One-third of the sheriffs across the country are now appointed by those more intelligent than the American people under this home rule situation where they're merging the police departments together to save tax dollars.
[02:44:30.543 --> 02:44:32.104]  The people fall for that every time.
[02:44:32.711 --> 02:44:52.059]  But elimination of the voting in of the county sheriff is big on their agenda because in certain areas like our place here and other places, the county sheriff can stop the federal Gestapo from coming into the county or coming into his federal compliance office and look at their paperwork and ask them what they're going to do.
[02:44:52.159 --> 02:44:53.620]  Hey, Craig, do you want to run for sheriff?
[02:44:57.140 --> 02:45:07.944]  Well, you know, they keep telling me I need to do that down here, but the problem is, that's a real job, and I had one once and didn't like it, you know, so... You know, it's one of those, you've got to get up in the morning and be there by 8 o'clock and it's 20 miles away, so I don't know.
[02:45:08.264 --> 02:45:16.006]  They pretty much let me run my little corner of the county down here the way I see fit, because no one comes down here unless they can play a banjo and they're not married to their cousin anyway, you know?
[02:45:16.346 --> 02:45:24.469]  Well, listen, Craig, now don't forget, you know, the government will give you a Apache helicopter and they'll pick you up right there at your home and whip you over those 20 miles
[02:45:25.256 --> 02:45:29.901]  Won't take you any time at all, and you can fly around in that Apache, supervising the people.
[02:45:30.161 --> 02:45:31.663]  You talked me into it, I guess I'll run.
[02:45:32.580 --> 02:45:33.941]  Well, yeah, he flies those.
[02:45:34.882 --> 02:45:38.364]  We got a bunch of callers here, but I want to get a comment from both of you.
[02:45:38.484 --> 02:45:40.905]  Eberhardt, I mean, I cannot make a big enough deal of this.
[02:45:41.406 --> 02:45:51.152]  The head of NORTHCOM says, well, the Pentagon's watching you, we're going to have troops on the streets, and martial law's the next step, and we're going to be involved in your life, and Franks is off saying this.
[02:45:51.692 --> 02:45:55.835]  Your take, gentlemen, on them openly, openly is talking about this now.
[02:45:57.026 --> 02:45:59.249]  Well, they're making it sound good for the people.
[02:45:59.269 --> 02:46:00.750]  The government's here to help you.
[02:46:01.171 --> 02:46:02.713]  And that's what they're talking about.
[02:46:02.753 --> 02:46:08.199]  And the American people are realizing that this is a dangerous world because there's these biologicals.
[02:46:08.319 --> 02:46:09.140]  People are dying.
[02:46:09.220 --> 02:46:10.982]  Mad cows are dying and everything.
[02:46:11.002 --> 02:46:14.066]  And people are getting so scared and so in fear.
[02:46:14.775 --> 02:46:20.719]  That they almost like to hear our representatives telling them how they're going to protect us and take care of us.
[02:46:20.799 --> 02:46:26.662]  And that's the definition of terrorism, is scaring somebody so they'll go along with your political policy, and that's a big question.
[02:46:26.942 --> 02:46:31.385]  Why did they just now announce that Mad Cow's here, when they've known it's been here for over a decade?
[02:46:32.746 --> 02:46:36.708]  Well, I think right now, you know, what they're doing is they're brickpiling.
[02:46:36.728 --> 02:46:41.851]  Now, an intelligence work we call brickpiling, or PSYOPs work you call brickpiling,
[02:46:42.316 --> 02:46:42.536]  I think?
[02:47:04.918 --> 02:47:12.392]  And yeah, we have to give up some rights and we have to have some more restrictions, but it's a different world today than it was in the 1950s or last year or whatever.
[02:47:12.692 --> 02:47:16.720]  And so people are talked into this, and you've got all the talking heads of mainstream media.
[02:47:17.068 --> 02:47:21.152]  Telling us, you know, this is what has to be done.
[02:47:21.232 --> 02:47:23.894]  It's too little, it's maybe too late, but it's the best we can do today.
[02:47:23.914 --> 02:47:27.657]  So it's a bunch of fast-talking carnival hucksters until our head spins.
[02:47:27.737 --> 02:47:29.238]  Jack McClam comments on this.
[02:47:29.459 --> 02:47:32.501]  Well, Craig's got it 100% right there.
[02:47:32.561 --> 02:47:41.088]  It's just a piling on, a piling on to create so much fear and consternation that the people are immobilized by fear.
[02:47:41.288 --> 02:47:45.332]  And they are going to depend 100% on their government coming in to save us.
