[00:00:00.109 --> 00:00:00.930]  But here's the goal.
[02:12:34.287 --> 02:12:41.111]  The medical tyranny of the United Nations set up by the Rockefellers and their lockstep operation is all public.
[02:12:42.639 --> 02:12:45.983]  And I agree with Joel Skousen, there is a big silver lining in all of this.
[02:12:46.003 --> 02:12:50.628]  I'm your host Alex Jones here back live on this live Tuesday edition.
[02:12:52.657 --> 02:13:02.162]  That they're overreaching and they're so arrogant they think the public doesn't watch WHO meetings where they admit the vaccines aren't helping people and are killing people just four months ago.
[02:13:03.762 --> 02:13:10.406]  They don't watch Event 201 Bill Gates events where they admit this is happening.
[02:13:10.666 --> 02:13:20.751]  They don't read Rockefeller Foundation documents like Lockstep that says an authoritarian world government that we need, in their words, will be brought in using this
[02:13:21.653 --> 02:13:46.316]  We're just gonna do all this, so they organize it all right in front of us like we're morons, and then they execute it, and then it's all selectively enforced, and the Democrats say, thank God to our separation of powers, the three branches, and then the state governments, and the federal system, and the fact that we've got two parties, they're still not perfect, they've got big problems, but people go, wait, Democrats aren't opening up?
[02:13:47.415 --> 02:13:48.675]  But the Republicans are trying.
[02:13:49.116 --> 02:13:59.439]  People understand at a fundamental level that we are under something I said I would start the entire broadcast with today and I didn't but I'm going to do it now.
[02:14:01.639 --> 02:14:03.740]  What is the definition of blockade?
[02:14:05.521 --> 02:14:06.341]  The isolation
[02:14:08.140 --> 02:14:23.434]  By a warring nation of an enemy area, such as a harbor, by troops or warships, to prevent passage of persons or supplies, broadly a restrictive measure designed to obstruct the commerce and communications of an unfriendly nation.
[02:14:27.378 --> 02:14:29.720]  Interruption of a normal psychological function.
[02:14:31.602 --> 02:14:33.904]  And then it goes on, well, what's house arrest?
[02:14:36.454 --> 02:14:38.035]  Same thing we're under is martial law.
[02:14:38.756 --> 02:14:39.897]  They're getting us ready for it.
[02:14:40.678 --> 02:14:41.558]  They're preparing us.
[02:14:41.639 --> 02:14:42.820]  And what does Zuckerberg say?
[02:14:43.340 --> 02:14:45.522]  Oh, we're going to watch you.
[02:14:45.582 --> 02:14:46.843]  We're talking to local governments.
[02:14:47.283 --> 02:14:49.906]  And if you protest, we're going to ban you off Facebook.
[02:14:51.227 --> 02:14:53.329]  So now the censorship's gone up.
[02:14:54.648 --> 02:14:55.769]  A billion percent?
[02:14:55.849 --> 02:15:00.814]  I mean, literally, from Alex Jones to me wake up, it's everything.
[02:15:01.534 --> 02:15:03.936]  Joel Skousen of WorldAffairsBrief.com.
[02:15:04.437 --> 02:15:09.701]  Joel, look at Oliver Darcy, the CNN creature.
[02:15:10.462 --> 02:15:19.266]  Anti-quarantine protests being organized through Facebook in California, New Jersey, and Nebraska are being removed from the platform on the instruction of governments in those three states.
[02:15:19.306 --> 02:15:23.308]  The instruction of governments, not injunctions, not lawsuits, no.
[02:15:23.949 --> 02:15:26.890]  Governments in those states because it violates stay-at-home orders.
[02:15:27.330 --> 02:15:28.291]  Facebook spokesperson.
[02:15:28.671 --> 02:15:32.293]  Turns out the states go, no, they called us and said we'll be like it and we said no.
[02:15:32.673 --> 02:15:33.473]  That's a lie.
[02:15:33.613 --> 02:15:36.075]  So it's CNN, who's the police dog,
[02:15:36.895 --> 02:15:48.461]  With Facebook and others and Big Tech lying and saying they have government authority to ban your right to go out and protest the fact you're being told that you are non-essential.
[02:15:49.401 --> 02:15:51.582]  Talk about Nazi, that means obsolete.
[02:15:51.943 --> 02:15:52.523]  Joel Skousen.
[02:15:54.024 --> 02:16:01.307]  Yeah, they've even told us that our First Amendment rights to protest, the free speech, to free assembly is non-essential, at least in North Carolina.
[02:16:01.347 --> 02:16:02.528]  That's what a sheriff tried to say.
[02:16:03.183 --> 02:16:08.515]  Now I can tell you that when you get arrested for some of these things and you ought to protest and let them arrest you.
[02:16:09.266 --> 02:16:19.028]  They're going to be bending over backwards to try to dismiss this case and let you off with a fine so that it doesn't go to trial, because they know this cannot be defended under current law before the courts.
[02:16:19.048 --> 02:16:20.488]  It's just going to get thrown out.
[02:16:20.508 --> 02:16:25.989]  That's right, and all our ancestors' blood and toil, going back to the Magna Carta, is now on the line.
[02:16:26.029 --> 02:16:31.990]  We're losing 900, 800 years of blood, millions dead, Joel.
[02:16:32.230 --> 02:16:33.570]  Explain this to people right now.
[02:16:34.031 --> 02:16:36.251]  All this freedom didn't just grow on a tree, did it?
[02:16:37.805 --> 02:16:38.425]  No, that's right.
[02:16:38.505 --> 02:16:43.828]  But that's because, you see, our public education system never educates people in constitutional rights.
[02:16:43.908 --> 02:16:46.230]  What's a proper law and what's an improper law?
[02:16:46.810 --> 02:16:47.871]  They don't get any of that.
[02:16:47.891 --> 02:16:49.211]  We don't even get that in college.
[02:16:49.231 --> 02:16:51.132]  You don't even get that in law school anymore.
[02:16:51.192 --> 02:16:53.854]  They don't teach the Constitution and its restriction.
[02:16:53.894 --> 02:16:55.335]  They teach case law.
[02:16:55.935 --> 02:16:57.376]  And they'll teach all about this.
[02:16:57.436 --> 02:16:58.416]  My brother's an attorney.
[02:16:58.436 --> 02:17:01.438]  He tells me, how do they just, and I asked him, how does he justify this?
[02:17:01.518 --> 02:17:02.459]  The Commerce Clause.
[02:17:02.779 --> 02:17:06.501]  The Commerce Clause has been used to justify all these emergency powers because
[02:17:07.216 --> 02:17:10.977]  The president has the authority to make sure that nothing interferes with commerce.
[02:17:11.017 --> 02:17:14.097]  Well, it's the authorities themselves interfering in commerce now.
[02:17:14.117 --> 02:17:22.739]  I was about to say, we need to respond that this is a blockade, this is globalist run, and we reject it, we reject fear.
[02:17:23.479 --> 02:17:30.480]  Franklin Delano Roosevelt, who I didn't like as a president, but who was telling the truth when he said, the only thing we have to fear is fear itself.
[02:17:30.540 --> 02:17:34.421]  And it's proven that the overblown nature and the fear was a hoax.
[02:17:36.192 --> 02:17:39.154]  Yes, but Roosevelt's statement was a political statement.
[02:17:39.235 --> 02:17:40.656]  He didn't believe that for a minute.
[02:17:40.776 --> 02:17:45.019]  He knew that his own government edicts would be the thing that people would really learn to fear.
[02:17:45.900 --> 02:17:51.144]  And so, I don't quote Roosevelt, but anyway, there is... No, no, I agree with you.
[02:17:51.184 --> 02:17:56.649]  Roosevelt was bad, but I'm saying, in this case, the only fear we have to fear is this propaganda.
[02:17:58.243 --> 02:18:01.144]  Yes, and the government power based upon that propaganda.
[02:18:01.244 --> 02:18:03.444]  I mean, what they have claimed to be able to do.
[02:18:03.924 --> 02:18:09.426]  Nobody ever used these emergency powers to this degree before, so nobody really knew what they would do under them.
[02:18:09.946 --> 02:18:18.148]  Now we know that the so-called broad authority, and that word is in most statements of emergency authority in the federal 1976 Act, the Utah 2016 Act,
[02:18:23.843 --> 02:18:31.845]  The health are given broad authority and those kinds of statements are unconstitutional when they start using that broad authority to violate your right.
[02:18:31.885 --> 02:18:32.385]  That's right, Joel.
[02:18:33.105 --> 02:18:35.366]  Right to do a business and we need to stop that.
[02:18:35.826 --> 02:18:41.367]  And there's just no way to stop that without a broad statement like I'm suggesting that says none of this stuff.
[02:18:42.207 --> 02:18:42.727]  It doesn't matter.
[02:18:42.787 --> 02:18:44.748]  We don't have to revise these emergency laws.
[02:18:44.788 --> 02:18:48.609]  We just simply have to say whatever's in them can't violate fundamental rights.
[02:18:49.049 --> 02:18:49.629]  That's right.
[02:18:49.669 --> 02:18:53.210]  Is Trump by the existing state and federal law, the Bill of Rights?
[02:18:54.249 --> 02:19:00.293]  Which again, you stated it correctly, under a republic, minority rights are protected as well as majority rights.
[02:19:00.673 --> 02:19:04.216]  You can't create just some law that violates these fundamental underpinnings.
[02:19:05.596 --> 02:19:05.897]  That's right.
[02:19:05.957 --> 02:19:07.598]  And you know, legislatures know that.
[02:19:07.698 --> 02:19:11.640]  And I'll tell you, a lot of these rural conservative legislatures are really open to suggestions.
[02:19:12.161 --> 02:19:23.008]  When I first threw this out last week, when Utah had opened a special session to talk about the coronavirus, they were going to vote on extending the government's power, which was limited to 30 days, to extend it.
[02:19:23.669 --> 02:19:27.211]  And I threw in this thing about, you know, these are a violation of federal rights.
[02:19:27.251 --> 02:19:28.973]  Not only you cannot, you extend it.
[02:19:29.793 --> 02:19:35.117]  You have to demand that they give a constitutional amendment if they're going to enforce these illegally.
[02:19:35.137 --> 02:19:37.138]  What you're about to say is they were all about to do it.
[02:19:37.158 --> 02:19:37.798]  They weren't bad.
[02:19:37.838 --> 02:19:40.340]  They were being stampeded by emotion and hysteria.
[02:19:40.740 --> 02:19:41.921]  But then they listened to you.
[02:19:41.941 --> 02:19:46.404]  And what you're saying is that people have the power to say, whoa, whoa, whoa, we're not buying into this.
[02:19:46.764 --> 02:19:47.985]  Remember what America is.
[02:19:48.085 --> 02:19:49.506]  Say no to the stampede.
[02:19:50.126 --> 02:19:52.448]  Every listener has to realize how critical they are in doing that.
[02:19:53.772 --> 02:20:00.556]  Yes, and a lot of the legislatures, you know, they knew intrinsically that this was wrong, but they didn't have the language, they didn't have the wherewithal.
[02:20:00.596 --> 02:20:06.740]  They know they're going to get attacked by the national media saying they're killing people if they don't hand power over to Fauci and the UN.
[02:20:07.901 --> 02:20:14.405]  And by the Republican, the mainstream, liberal Republican legislatures that are running even most conservative states.
[02:20:14.465 --> 02:20:15.925]  They knew that they would get attacked.
[02:20:16.506 --> 02:20:21.549]  And so by giving them this amendment power, I said, look, they try to attack you and say,
[02:20:22.236 --> 02:20:27.401]  And you just come back and say, what, you really are in favor of suspending our fundamental rights?
[02:20:28.101 --> 02:20:30.303]  And if you do, that takes the constitutional limit.
[02:20:30.544 --> 02:20:30.904]  You're right.
[02:20:31.024 --> 02:20:33.606]  Force them to say they want to kill America.
[02:20:36.969 --> 02:20:38.251]  Well, we're not going to let it happen.
[02:20:38.291 --> 02:20:41.614]  And that's why I said we have to build this movement in every state of the union.
[02:20:42.190 --> 02:20:45.872]  To stop these emergency powers, that's the best thing that we can do.
[02:20:45.892 --> 02:20:47.213]  Let me ask you this question in time.
[02:20:47.253 --> 02:20:49.554]  We have worldfirstbrief.com, Joel Skowzin, always amazing.
[02:20:50.395 --> 02:20:54.717]  You were here 11, 12 weeks ago, and I said, what comes next when the impeachment fails?
[02:20:55.318 --> 02:20:57.679]  And we talked about wars, bio-attacks, I don't know if you remember that.
[02:20:58.059 --> 02:20:59.560]  What comes next if this fails?
[02:20:59.640 --> 02:21:03.222]  I mean, this just shows Trump has to take out the deep state or we're screwed.
[02:21:04.143 --> 02:21:06.324]  And I just don't think he can do it because he's so surrounded.
[02:21:08.049 --> 02:21:08.589]  Well, that's right.
[02:21:08.649 --> 02:21:10.811]  It's proven by the way that he's handling security.
[02:21:10.991 --> 02:21:15.013]  He continues to resist, but they overload him with these expert opinions.
[02:21:15.073 --> 02:21:15.794]  And what can he do?
[02:21:16.234 --> 02:21:19.556]  He just doesn't have the background to be able to counter them with specifics.
[02:21:19.616 --> 02:21:22.518]  And there's nobody around him who has the background that can do that.
[02:21:22.538 --> 02:21:23.839]  But it's out there on the Internet.
[02:21:24.559 --> 02:21:27.161]  And we're just going to have to flood the world with truth.
[02:21:27.996 --> 02:21:37.829]  And with these resistance movements within the legislature themselves to put a halt to these emergency orders, because I'll tell you what comes next is another pandemic, another pandemic.
[02:21:37.869 --> 02:21:38.831]  They'll keep doing this.
[02:21:39.271 --> 02:21:42.476]  They know that nobody has the ability so far.
[02:21:42.756 --> 02:21:46.117]  Well I said this 10 weeks ago, it'll be like weather reports the new virus.
[02:21:46.377 --> 02:21:49.998]  Now they've said that, CNN, New York Times, it'll be like weather reports.
[02:21:50.238 --> 02:21:56.860]  Here's the UN, says life will never go back to normal, a new way of living under UN control.
[02:21:57.280 --> 02:21:57.600]  Boom!
[02:21:57.660 --> 02:21:59.980]  Just like that, they control us with viruses.
[02:22:00.040 --> 02:22:01.521]  Viruses always kill people, folks.
[02:22:01.801 --> 02:22:02.481]  This is incredible.
[02:22:02.501 --> 02:22:03.901]  Joel Scalzi, you've been on fire today.
[02:22:04.242 --> 02:22:04.822]  Thank you so much.
[02:22:04.882 --> 02:22:06.062]  Please join us more often.
[02:22:06.402 --> 02:22:07.462]  Please go on David Knight.
[02:22:07.522 --> 02:22:09.163]  Please go on Owen Schroeder.
[02:22:09.183 --> 02:22:09.563]  Thank you, sir.
[02:22:10.595 --> 02:22:11.055]  I'd love to.
[02:22:11.135 --> 02:22:12.176]  All right, folks.
[02:22:12.256 --> 02:22:13.357]  Alex Jones here back live.
[02:22:13.417 --> 02:22:14.598]  I appreciate callers holding.
[02:22:14.638 --> 02:22:16.459]  Some callers have been holding five minutes, just called in.
[02:22:16.479 --> 02:22:18.141]  Some have been holding over an hour.
[02:22:18.201 --> 02:22:21.423]  So we're going to go to Craig and we're going to go to Truther.
[02:22:21.443 --> 02:22:22.844]  We're going to go to Grant.
[02:22:23.404 --> 02:22:24.906]  Others have been holding the longest right now.
[02:22:24.926 --> 02:22:25.626]  And Joe and others.
[02:22:26.066 --> 02:22:26.727]  Grant in Florida.
[02:22:26.747 --> 02:22:27.307]  Thanks for holding.
[02:22:27.367 --> 02:22:27.648]  Welcome.
[02:22:27.688 --> 02:22:27.928]  Go ahead.
[02:22:29.056 --> 02:22:29.977]  Alex, thanks for having me.
[02:22:30.778 --> 02:22:32.039]  I'm holding an event this Friday.
[02:22:32.079 --> 02:22:34.162]  It's called Evening of Freedom.
[02:22:34.662 --> 02:22:35.783]  It's in South Florida.
[02:22:36.464 --> 02:22:40.328]  It's going to be from 7 to 8, and we're protesting this stay-at-home order over here.
[02:22:40.348 --> 02:22:46.375]  So it's going to be some music, it's going to be some prayer, and it's going to be a little bit of everything and just a good time.
[02:22:46.435 --> 02:22:46.715]  It's an hour.
[02:22:46.735 --> 02:22:48.758]  Well, that's awesome, because we're trying to create like a system.
[02:22:49.258 --> 02:22:58.063]  And the next day or two at TimeToOpen.com and Can'tCloseAmerica.com to where everybody can go post, you know, what you're doing so we can spotlight that and more.
[02:22:58.623 --> 02:22:59.403]  So that's exciting.
[02:22:59.723 --> 02:23:01.724]  How do people find out more about that event?
[02:23:03.005 --> 02:23:05.026]  Go on to Evening of Freedom on Facebook.
[02:23:05.046 --> 02:23:05.786]  We're still over there.
[02:23:05.806 --> 02:23:07.147]  I have a flyer on there.
[02:23:07.207 --> 02:23:08.408]  We might be banned.
[02:23:08.808 --> 02:23:10.769]  Yeah, you can't allow an Evening of Freedom.
[02:23:10.789 --> 02:23:13.250]  Zuckerberg doesn't allow Americans to meet.
[02:23:13.470 --> 02:23:15.331]  Wow, it's not like China.
[02:23:15.351 --> 02:23:16.572]  It's for your own good, of course.
[02:23:17.267 --> 02:23:18.187]  Yeah, exactly.
[02:23:18.607 --> 02:23:20.308]  I think people over here are really pissed off.
[02:23:20.628 --> 02:23:24.029]  Now, I do want to say, you're feeling that depression.
[02:23:24.509 --> 02:23:29.090]  I've been handing out flyers, I've been working real hard, and a lot of people are just so asleep.
[02:23:29.590 --> 02:23:31.691]  They're just going, so much hate, so much negativity.
[02:23:31.711 --> 02:23:32.951]  I don't want to say it's depression.
[02:23:35.312 --> 02:23:41.514]  I've got all the stuff I want to do, and I know how to do it, and then I'm just, the minutiae has got me pissed off.
[02:23:42.634 --> 02:23:44.575]  I don't want to complain on air.
[02:23:44.595 --> 02:23:45.735]  A lot of good things are happening.
[02:23:45.795 --> 02:23:48.316]  It's just, it should be so easy to beat this.
[02:23:48.396 --> 02:23:49.497]  We should reject this.
[02:23:50.017 --> 02:23:51.477]  We're supposedly Americans.
[02:23:51.497 --> 02:23:52.738]  This is ridiculous.
[02:23:53.118 --> 02:23:54.959]  And the thing is a hoax overall.
[02:23:55.719 --> 02:23:57.960]  And they're counting all deaths as it.
[02:23:58.280 --> 02:24:00.601]  And they're counting anybody with a flu virus as that.
[02:24:01.121 --> 02:24:04.882]  And they admit that the flu shot, if you took it, shows you as COVID-19.
[02:24:08.786 --> 02:24:17.991]  Positive, I mean, the thing is a giant stinking fraud, and then Fauci and the Gates Foundation are beyond their eyeballs.
[02:24:18.051 --> 02:24:24.334]  They're underwater involved in it, and it's confirmed it's man-made, and so they should be arrested!
[02:24:24.895 --> 02:24:32.619]  Not telling me that I can't ever go to a restaurant again, or I gotta take a damn shot with him and that other elf, Stephanopoulos, up there!
[02:24:33.499 --> 02:24:34.320]  Makes me sick!
[02:24:36.021 --> 02:24:37.942]  Piece of crap, that guy is behind it!
[02:24:38.993 --> 02:24:45.638]  He's shipped to China, he runs the Bio-Up Level 4 labs, I'm sick of the medical dictatorship and Bill Gates.
[02:24:46.038 --> 02:24:48.479]  So at least the good news is everybody knows Bill Gates is involved.
[02:24:48.800 --> 02:24:49.800]  Everybody hates his ass.
[02:24:50.401 --> 02:24:51.962]  So I should be more positive actually.
[02:24:52.682 --> 02:24:55.384]  The problem is I hold it back and I'm not acting like I really feel.
[02:24:56.045 --> 02:24:57.966]  How about I just come on air and really tell you what I think.
[02:24:58.006 --> 02:24:58.866]  Grant, God bless you.
[02:25:01.608 --> 02:25:03.730]  Kruther in California are on the air, go ahead.
[02:25:05.151 --> 02:25:08.873]  Hey Alex, this is East Bay Truther calling from FEMA Region 9.
[02:25:10.033 --> 02:25:13.895]  I wanted to go over Project Roomkey, which is starting to take place in California.
[02:25:15.636 --> 02:25:15.936]  Tell me.
[02:25:17.377 --> 02:25:28.622]  So Gavin Newsom, I mean American Psycho, decided to make a deal with motels and hotels all over California to start housing the homeless.
[02:25:29.343 --> 02:25:30.583]  But there's a catch to that.
[02:25:31.624 --> 02:25:34.405]  And I'm about to blow the whistle on something.
[02:25:35.007 --> 02:25:37.109]  Um, I'm going to protect my friend that gave this to me.
[02:25:37.129 --> 02:25:39.891]  I'm not going to... Let me guess, they got to take a microchip to stay there?
[02:25:40.972 --> 02:25:41.172]  No, no.
[02:25:41.252 --> 02:25:43.454]  It's a little bit different, but here's what we got.
[02:25:43.554 --> 02:25:46.897]  So, this is from County Health and Human Services Agency.
[02:25:47.557 --> 02:25:51.520]  I wanted to go over a few things with you to make sure your stay goes as smoothly as possible.
[02:25:51.740 --> 02:25:52.301]  And what's it called?
[02:25:52.381 --> 02:25:54.803]  Project... Project Wound Key?
[02:25:56.004 --> 02:25:56.324]  No, no.
[02:25:56.424 --> 02:25:57.024]  Room Key.
[02:25:57.485 --> 02:25:58.065]  Room Key.
[02:25:58.105 --> 02:25:58.586]  Room Key.
[02:25:58.626 --> 02:26:00.948]  So, this is a document from Project Room Key.
[02:26:01.808 --> 02:26:03.269]  So, this is for California.
[02:26:03.309 --> 02:26:03.950]  So, let me finish.
[02:26:04.622 --> 02:26:08.823]  First, we want you to know that we want to make sure your visit is as comfortable as possible.
[02:26:09.043 --> 02:26:19.286]  That said, you are here because coronavirus, a very serious disease, is being spread throughout the community and we all need to do everything we can to reduce the spread of the disease.
[02:26:19.726 --> 02:26:21.946]  So we are going to ask you to follow these three rules.
[02:26:22.486 --> 02:26:24.807]  Rule one, no guests at any time.
[02:26:25.567 --> 02:26:28.628]  Rule number two, you cannot leave the property at any time.
[02:26:29.328 --> 02:26:31.569]  Rule number three, no illegal activity.
[02:26:31.589 --> 02:26:33.429]  And then it goes on to say,
[02:26:34.161 --> 02:26:41.746]  You will have three scheduled 20-minute breaks a day where you can take a walk or go outside, and the time should be posted in your room.
[02:26:42.387 --> 02:26:46.730]  Remember, the goal of your stay is to keep you and the community safe.
[02:26:47.290 --> 02:26:53.115]  We have a zero-tolerance policy for breaking these rules, and if you violate any, you'll be asked to leave.
[02:26:53.935 --> 02:26:59.940]  You'll be getting separate calls from our staff soon who will ask you some questions and figure out what you need during the stay.
[02:27:00.700 --> 02:27:03.162]  We want to make sure that all your needs are met during this time.
[02:27:03.624 --> 02:27:06.845]  If at any time you feel you need hospitalization, call 9-1-1.
[02:27:07.805 --> 02:27:12.347]  By the way, sir, I didn't know about Project Room Key when I typed it in.
[02:27:12.387 --> 02:27:12.927]  There it is.
[02:27:13.507 --> 02:27:16.008]  They're basically locking people up as prisoners.
[02:27:17.349 --> 02:27:22.831]  Yeah, and the guards that are going to be guarding these motels are going to be private security guards.
[02:27:23.611 --> 02:27:27.972]  And each hotel is going to have two to three, maybe five guards watching.
[02:27:28.513 --> 02:27:32.574]  And their job is to keep an eye on the homeless people that are in those hotel rooms
[02:27:33.078 --> 02:27:39.440]  And if they leave, they're to call the sheriff and the police to have those people arrested for violating their shelter-in-place orders.
[02:27:39.480 --> 02:27:42.241]  Man, this is so Twilight Zone.
[02:27:42.301 --> 02:27:49.204]  It's the same Democrats in early March, late February, when Trump's like, block the Chinese flights, hell, middle of February.
[02:27:49.404 --> 02:27:50.465]  They're like, no, no, no!
[02:27:50.485 --> 02:27:54.226]  Because they were incubating it, like Mike Adams and myself and others pointed out.
[02:27:54.586 --> 02:27:56.087]  Fauci's like, oh no, bring them in.
[02:27:56.447 --> 02:27:58.087]  This is so obvious, Truther.
[02:27:58.127 --> 02:27:58.948]  What do you make of this?
[02:28:00.548 --> 02:28:02.289]  I think it's time for California to rise.
[02:28:03.198 --> 02:28:04.760]  And I think that's starting to happen.
[02:28:04.780 --> 02:28:06.902]  We've been having protests all over the state.
[02:28:07.002 --> 02:28:09.465]  We got some protests going on in Sacramento.
[02:28:10.426 --> 02:28:11.987]  More people need to blow the whistle.
[02:28:12.368 --> 02:28:15.931]  Work for these security agencies that are going to be securing the hotels.
[02:28:16.532 --> 02:28:17.673]  Get videos of it.
[02:28:17.693 --> 02:28:24.180]  Spread the news because you know Fox News is going to come out or you know the mainstream media is going to come out and say it's a great thing.
[02:28:24.778 --> 02:28:25.658]  Project Room Key.
[02:28:25.698 --> 02:28:28.119]  Everyone's getting their own key for a room to stay in.
[02:28:28.499 --> 02:28:31.261]  And they're going to be staying... But really it's Project Slave Key.
[02:28:31.341 --> 02:28:32.701]  Project Prison Key.
[02:28:33.221 --> 02:28:35.662]  Because they say you've got a key, but you're locked up.
[02:28:36.122 --> 02:28:36.803]  Can't leave.
[02:28:38.143 --> 02:28:38.603]  Amazing.
[02:28:38.623 --> 02:28:40.084]  And this sets an incredible precedent.
[02:28:40.184 --> 02:28:43.825]  And of course it's government money to these Cracker Box hotels.
[02:28:44.966 --> 02:28:45.606]  Do me a favor.
[02:28:45.906 --> 02:28:47.367]  I saw the articles you're talking about.
[02:28:47.407 --> 02:28:48.867]  Obviously that's an internal memo.
[02:28:49.247 --> 02:28:50.528]  If you could black it out.
[02:28:51.883 --> 02:28:52.103]  Yes, sir.
[02:28:52.143 --> 02:28:53.203]  And that's the agenda.
[02:28:53.223 --> 02:28:55.164]  They're going to start with the homeless.
[02:29:19.133 --> 02:29:24.980]  And who was talking about separating families, like they say Trump's doing at the border, but they want to do this nationwide.
[02:29:25.000 --> 02:29:29.306]  Oh, of course, California's the... Oh, I saw that with the homeless thing in California.
[02:29:29.326 --> 02:29:31.108]  They said it shelters separate families.
[02:29:31.448 --> 02:29:32.990]  Because people are going bankrupt during this.
[02:29:33.050 --> 02:29:33.892]  And by the way, renters...
[02:29:35.831 --> 02:29:42.353]  They're throwing people out of their houses in Austin and their condos and their apartments that can't pay rent because the checks aren't coming.
[02:29:42.693 --> 02:29:43.733]  Same thing in California.
[02:29:43.993 --> 02:29:45.834]  And now your kids get taken away from you.
[02:29:46.154 --> 02:29:50.896]  And I was reading they're also going to do forced inoculations, not for COVID-19, but once you get under this.
[02:29:51.296 --> 02:29:53.136]  Sir, what else does this document say?
[02:29:54.537 --> 02:29:56.097]  That was just basically it.
[02:29:56.197 --> 02:30:05.440]  But the guards that are on post are being told to call the cops or the sheriff to have, you know, the people that break the rules arrested and taken care of.
[02:30:05.913 --> 02:30:07.114]  Well, sir, let me put you on hold.
[02:30:07.474 --> 02:30:11.257]  I bet money Owen Troyer wants you on as a Project Roomkey whistleblower.
[02:30:12.178 --> 02:30:24.267]  And if you can get, if we can put him on the phone with Scott, his producer, and if we can get that set up and get that document to Owen, that would be a very important segment to show that, because that is not in the literature.
[02:30:24.307 --> 02:30:25.588]  But I think this man's telling the truth.
[02:30:25.868 --> 02:30:26.829]  Thank you so much, Truther.
[02:30:26.849 --> 02:30:32.793]  Let's pass this information on to Owen's producer for the war room coming up here in about 30 minutes, 32 minutes from now.
[02:30:34.409 --> 02:30:35.149]  Wow, that's what I mean.
[02:30:35.209 --> 02:30:37.671]  It's just... I don't want to say I'm exhausted.
[02:30:37.711 --> 02:30:38.531]  I'm not exhausted.
[02:30:39.072 --> 02:30:43.794]  I come in here and I look at all this and I just... You heard the caller.
[02:30:44.354 --> 02:30:46.716]  I've seen stuff just as bad as that I haven't even told you about.
[02:30:47.456 --> 02:30:50.778]  And then every day when the show ends, I feel guilty that I didn't cover enough.
[02:30:51.681 --> 02:30:53.262]  There's no way to cover it all though, I'm sorry.
[02:30:53.542 --> 02:30:57.703]  Defending the Republic from enemies foreign and domestic.
[02:30:58.443 --> 02:30:59.884]  It's Alex Jones.
[02:31:00.364 --> 02:31:05.206]  I personally am trying to figure out my psychology right now so that I can get control of it.
[02:31:07.346 --> 02:31:08.927]  Because I can take a lot.
[02:31:10.848 --> 02:31:17.790]  And watching American freedom and worldwide freedom butchered and knowing the very people caught red-handed behind it.
[02:31:20.765 --> 02:31:21.765]  Are the ones that did it.
[02:31:25.547 --> 02:31:26.207]  Pisses me off.
[02:31:26.828 --> 02:31:47.077]  But it reminds me of those times in my life, when I was younger, and three or four bullies, only happened a couple times, a couple dozen times maybe, maybe a dozen times, were beating me up, and the disgusting feeling of letting it happen, and then the exhilaration of going crazy and kicking their ass, even though they were a lot older than me and bigger.
[02:31:48.126 --> 02:31:53.832]  And it's that feeling though, but see, I can feel like I'm winning fighting them myself, but I'm a collectivist.
[02:31:54.073 --> 02:31:54.934]  I'm such an individual.
[02:31:55.494 --> 02:32:06.827]  I believe in individualism, but I'm a total collectivist that while kids are getting aborted and the third world's dying and people are being poisoned and they're getting away with it and Bill Gates is laughing, I feel like I'm having my ass kicked.
[02:32:12.093 --> 02:32:14.901]  I apologize to the crew too, because I've been a jerk the last week, man.
[02:32:15.282 --> 02:32:18.331]  And it's because watching our country burn down.
[02:32:20.504 --> 02:32:22.585]  You know, people say, oh, you know, it's a grand falloon.
[02:32:22.625 --> 02:32:23.466]  Why do you care about America?
[02:32:24.066 --> 02:32:28.708]  It's had its problems, but we had basic due process and rights and prosperity.
[02:32:29.169 --> 02:32:31.370]  And what's coming is going to be so horrible.
[02:32:31.450 --> 02:32:32.390]  And it's already here.
[02:32:32.770 --> 02:32:33.931]  You know, that's what it is.
[02:32:35.252 --> 02:32:43.996]  I hoped at a sick level that Revelation was just a choose your own adventure, a warning from God that if we didn't do the right thing, this would happen.
[02:32:44.977 --> 02:32:48.839]  And I tried to play games with God in my mind that, come on, it doesn't have to be that bad.
[02:32:52.219 --> 02:32:53.359]  It's not a choose your own adventure.
[02:32:54.740 --> 02:32:56.000]  God's already chose the adventure.
[02:32:57.240 --> 02:33:00.781]  And that's quite frankly what it is.
[02:33:03.181 --> 02:33:07.842]  I look at my children, I look at my three-year-old daughter who is incredible.
[02:33:10.343 --> 02:33:12.063]  Our joke is she's the Martian ambassador.
[02:33:12.083 --> 02:33:20.765]  She's got red hair and huge head like me and like speaks in full sentences and when she was like two years old and like well everybody gets freaked out around her
[02:33:25.198 --> 02:33:28.001]  It's crazy.
[02:33:28.621 --> 02:33:29.742]  She's not a Martian ambassador.
[02:33:29.762 --> 02:33:32.744]  It's just they know these advanced humans are coming on the planet right now.
[02:33:33.085 --> 02:33:34.186]  The globalists are scared of that.
[02:33:34.226 --> 02:33:36.167]  They know the real next advancements here.
[02:33:37.288 --> 02:33:38.969]  And my other children are amazing as well.
[02:33:39.150 --> 02:33:43.954]  And I look at them and it's a feeling beyond enragement.
[02:33:44.674 --> 02:33:46.796]  It's a feeling of, you better do something!
