[00:00:00.029 --> 00:00:00.929]  We're in an emergency.
[02:17:26.641 --> 02:17:27.302]  And why did I do that?
[02:17:29.143 --> 02:17:30.384]  Because we're in an emergency.
[02:17:30.424 --> 02:17:31.385]  We're under attack.
[02:17:32.526 --> 02:17:34.408]  And only by facing that can we turn this around.
[02:17:34.888 --> 02:17:35.829]  Vote fraud in Michigan.
[02:17:35.869 --> 02:17:39.492]  Massive dump of over 200,000 ballots in Biden all of a sudden appear.
[02:17:40.152 --> 02:17:41.113]  Oversight update.
[02:17:41.673 --> 02:17:43.315]  Officials call it a typo.
[02:17:45.981 --> 02:17:49.922]  But it isn't a typo, but they have been caught red-fricking-handed, Leigh-Anne.
[02:17:50.342 --> 02:17:51.662]  Right, all of them for Biden.
[02:17:51.702 --> 02:17:55.023]  And there's just so many different tactics they have to steal this election.
[02:17:55.543 --> 02:17:59.844]  One of those being calling the states early, before the polls were even closed.
[02:17:59.904 --> 02:18:01.784]  So they call Arizona, they call Nevada.
[02:18:02.985 --> 02:18:08.206]  What that does is it causes people who were going to vote in those states to stay home.
[02:18:08.346 --> 02:18:11.386]  Because we know conservatives are voting on the day of, leftists before on average.
[02:18:11.546 --> 02:18:11.806]  Exactly.
[02:18:11.866 --> 02:18:14.267]  And so that gives them that, yeah, that's election fixing right there.
[02:18:14.727 --> 02:18:19.471]  That is total election meddling because you had the mail-in ballots that were already starting to be counted.
[02:18:19.491 --> 02:18:20.372]  Because they're scared on the West Coast.
[02:18:20.392 --> 02:18:21.773]  We were saying California might go red.
[02:18:21.873 --> 02:18:22.133]  Yeah.
[02:18:22.313 --> 02:18:27.778]  Oh, I mean you see the 96-mile Trump rally, the Trump train in Nevada.
[02:18:28.399 --> 02:18:33.383]  96 miles of vehicles there with Trump flags representing, showing up.
[02:18:33.403 --> 02:18:38.307]  So then if they call these states early, anyone who's trying to go vote the day of,
[02:18:38.767 --> 02:18:40.848]  Maybe they're going to be a little bit dismayed.
[02:18:40.888 --> 02:18:42.469]  They're going to think their vote doesn't matter.
[02:18:42.609 --> 02:18:44.990]  Why should I go wait in line for several hours?
[02:18:45.351 --> 02:18:46.631]  Because they've already called the state.
[02:18:47.212 --> 02:18:48.712]  Absolute election meddling there.
[02:18:48.972 --> 02:18:51.194]  That's why, you know, your vote does matter.
[02:18:51.234 --> 02:18:52.094]  You've got to show up.
[02:18:52.294 --> 02:18:57.237]  But how incredible that even Fox News would call it so early.
[02:18:57.297 --> 02:19:02.459]  We were looking at the numbers and the percentages last night, just looking at each other like, this is crazy.
[02:19:02.560 --> 02:19:03.380]  Why are they calling it?
[02:19:03.420 --> 02:19:03.800]  It's 57% Trump.
[02:19:05.501 --> 02:19:06.743]  Why would they say it's for Biden?
[02:19:06.763 --> 02:19:08.565]  And that was happening in multiple states.
[02:19:09.166 --> 02:19:21.821]  And so I just think that the entire thing is just to make people just comfortable with whatever they declare, whoever they declare to be the winner, even if it doesn't make sense.
[02:19:22.081 --> 02:19:22.802]  And let's explain.
[02:19:22.822 --> 02:19:23.443]  It doesn't add up.
[02:19:24.488 --> 02:19:26.429]  Trump can come out and say this is a scam.
[02:19:26.609 --> 02:19:27.169]  I think I won.
[02:19:27.189 --> 02:19:27.869]  The evidence shows he did.
[02:19:27.889 --> 02:19:29.270]  But Biden can say similar things.
[02:19:29.290 --> 02:19:29.810]  That's OK.
[02:19:29.950 --> 02:19:30.130]  Right.
[02:19:30.270 --> 02:19:32.931]  I mean, again, this is a total fraud.
[02:19:32.991 --> 02:19:33.271]  All right.
[02:19:33.291 --> 02:19:34.992]  I know you're getting a lot of calls in the war room.
[02:19:35.632 --> 02:19:37.873]  We've got Pastor Gators coming up here in just a moment.
[02:19:38.233 --> 02:19:40.354]  Here's Trump campaign statement on Michigan lawsuit.
[02:19:40.814 --> 02:19:42.395]  His votes in Michigan continue to be counted.
[02:19:43.783 --> 02:19:47.084]  Presidential race in the state remains extremely tight as we always knew it would be.
[02:19:47.144 --> 02:19:52.885]  President Trump's campaign has not been provided with meaningful access to numerous counting locations to observe the opening of ballots.
[02:19:53.185 --> 02:19:55.106]  The counting process is guaranteed by Michigan law.
[02:19:55.906 --> 02:20:01.967]  We have filed suit today in Michigan Court of Claims to halt continuing until meaningful access can be granted.
[02:20:02.408 --> 02:20:07.629]  We also demand a review of those ballots which were opened and counted while we did not have meaningful access.
[02:20:08.069 --> 02:20:11.590]  President Trump is committed to ensuring that all legal votes are counted in Michigan and everywhere else.
[02:20:12.708 --> 02:20:16.329]  Bill Stephan, Trump 2020 campaign manager.
[02:20:16.349 --> 02:20:19.490]  Again, Trump campaign demands recount in Wisconsin.
[02:20:20.050 --> 02:20:21.411]  Developing Giuliani campaign.
[02:20:21.431 --> 02:20:23.652]  The whole press conference, Philadelphia, PA, 3.30 p.m.
[02:20:24.952 --> 02:20:26.633]  Eastern Standard Time, so that's 2.30.
[02:20:28.544 --> 02:20:35.191]  And, you know, we always love our great guest co-hosts that come in here, but they've always get that warning that sometimes we've got to break away.
[02:20:35.231 --> 02:20:40.195]  So Gators is coming up next segment, but then we're going to go to that Giuliani thing, and he'll be able to come on after and get him on as a guest as well.
[02:20:40.215 --> 02:20:41.637]  Look forward to what he has to say.
[02:20:41.657 --> 02:20:44.179]  Also, Rudolph Giuliani is en route to Philly with legal team.
[02:20:44.880 --> 02:20:45.741]  That's all coming up.
[02:20:45.801 --> 02:20:49.545]  Again, Biden campaign is aiming to declare victory by 4 p.m.
[02:20:50.045 --> 02:20:52.828]  I'm just going to end with this and hand it over to Mr. Gators.
[02:20:55.312 --> 02:20:57.413]  I told everybody that the fix is in.
[02:20:57.453 --> 02:20:58.993]  The enemy didn't put out these war plans.
[02:20:59.013 --> 02:21:00.994]  They didn't prepare all this to play games, okay?
[02:21:01.994 --> 02:21:03.514]  And all hell's about to break loose.
[02:21:03.534 --> 02:21:05.575]  I think they're going to run false flags and start a race war.
[02:21:05.615 --> 02:21:06.855]  All sorts of horrible crap.
[02:21:07.175 --> 02:21:10.196]  Bishop Larry Gaters will give you his take on this on the other side.
[02:21:10.816 --> 02:21:13.637]  But these are the times that try everyone's souls.
[02:21:14.637 --> 02:21:15.857]  And so just pray for America.
[02:21:15.897 --> 02:21:16.397]  Pray for the world.
[02:21:16.437 --> 02:21:17.258]  Pray for President Trump.
[02:21:17.318 --> 02:21:19.158]  Pray that this evil be brought to light.
[02:21:19.178 --> 02:21:20.578]  That these hidden things be exposed.
[02:21:20.959 --> 02:21:22.059]  I know Pastor Gaters is about
[02:21:23.161 --> 02:21:23.822]  To cover that.
[02:21:24.582 --> 02:21:25.943]  This is all coming up.
[02:21:25.963 --> 02:21:29.466]  We should probably get Pastor Gators back up tonight during the 7 to 9.
[02:21:29.506 --> 02:21:30.167]  I'll be up here with him.
[02:21:30.187 --> 02:21:31.408]  We'll get him on for 30 minutes then as well.
[02:21:31.428 --> 02:21:32.168]  I don't want to cut into his time.
[02:21:32.188 --> 02:21:32.929]  We really appreciate him.
[02:21:33.289 --> 02:21:34.910]  And Leon McAdoo will be here as well.
[02:21:34.950 --> 02:21:36.091]  But he'll come up next segment.
[02:21:36.111 --> 02:21:39.414]  Then we'll have the press conference there with Giuliani.
[02:21:39.454 --> 02:21:40.435]  This is all so critical.
[02:21:40.795 --> 02:21:41.515]  And then separately...
[02:21:42.441 --> 02:21:44.662]  I'm not complaining, and if it's God's will, that's just the way it is.
[02:21:45.422 --> 02:21:49.664]  The amount of money we brought in the last two or three days, if I did that every day, we'd go bankrupt in about six months.
[02:21:50.144 --> 02:21:50.704]  I'm not bitching.
[02:21:51.044 --> 02:21:53.225]  We had millions of new listeners yesterday.
[02:21:53.365 --> 02:21:53.725]  Millions.
[02:21:54.426 --> 02:21:57.127]  We could actually see watching and listening up a million at a time, okay?
[02:21:57.707 --> 02:22:00.708]  And we didn't bring enough money to keep the lights on.
[02:22:01.228 --> 02:22:05.930]  So I'm always having to like make, you know, on those days that are bigger days, I'm always trying to, it's how God does it.
[02:22:05.950 --> 02:22:07.531]  We're never really pushing over what we need.
[02:22:08.411 --> 02:22:09.991]  I need people to go to InfoWarsTore.com.
[02:22:10.091 --> 02:22:11.872]  I mean, you can see now, we have to stay in the fight.
[02:22:11.912 --> 02:22:12.892]  Trump's not going to save us.
[02:22:12.912 --> 02:22:13.632]  He needs our help.
[02:22:13.772 --> 02:22:14.432]  It's the other way around.
[02:22:16.053 --> 02:22:17.033]  InfoWarsTore.com.
[02:22:17.313 --> 02:22:18.413]  You need DNA Force Plus.
[02:22:18.453 --> 02:22:19.134]  It's back in stock.
[02:22:19.394 --> 02:22:20.194]  Big discounts on it.
[02:22:20.214 --> 02:22:20.634]  Free shipping.
[02:22:21.174 --> 02:22:22.254]  You need X2.
[02:22:23.215 --> 02:22:24.455]  You need Vitamineral Fusion.
[02:22:24.935 --> 02:22:25.715]  You need Ultra 12.
[02:22:25.755 --> 02:22:27.376]  These are all essential things.
[02:22:27.616 --> 02:22:28.276]  Look into it.
[02:22:28.336 --> 02:22:28.496]  Get it.
[02:22:28.516 --> 02:22:31.517]  It's what you should be doing for your immune system and all the crazy stuff that's going on.
[02:22:31.637 --> 02:22:32.697]  InfoWarsTore.com.
[02:22:33.817 --> 02:22:34.298]  We're good to go.
[02:22:50.214 --> 02:22:52.196]  So, we are not in Kansas anymore.
[02:22:52.216 --> 02:22:53.437]  We're in very, very dangerous waters.
[02:22:53.917 --> 02:22:55.239]  So, just please keep us on the air.
[02:22:55.359 --> 02:22:56.640]  Thank our local radio stations.
[02:22:56.660 --> 02:22:57.300]  Support them.
[02:22:57.701 --> 02:23:00.703]  And just go to InfoWarsTore.com to get the fish oil that's so good for you.
[02:23:01.164 --> 02:23:13.474]  And to get the books and the t-shirts and shortwave radios and non-GMO heirloom seeds and water filtration and solar panel systems and, you know, combat hatchets and just so much cool stuff at InfoWarsTore.com and the big sale.
[02:23:14.440 --> 02:23:15.341]  Is up there right now.
[02:23:15.661 --> 02:23:22.066]  50% off OnBody's Ultimate Tumor Formula and DNA Force Plus 2020 Election Super Sale.
[02:23:22.086 --> 02:23:24.167]  Now it's the days of hell sale.
[02:23:24.908 --> 02:23:25.669]  Thank you, McAdoo.
[02:23:25.709 --> 02:23:26.569]  It's so good to have you here.
[02:23:26.949 --> 02:23:28.030]  I'm so glad to be back.
[02:23:28.270 --> 02:23:31.233]  Well, if you've got the energy, which I think you do, we'll be back with us tonight.
[02:23:31.533 --> 02:23:33.174]  Live coverage continued at 9 p.m.
[02:23:33.394 --> 02:23:34.675]  Later, if stuff keeps unfolding.
[02:23:35.196 --> 02:23:36.236]  Patrick Gator, straight ahead.
[02:23:36.256 --> 02:23:36.637]  Stay with us.
[02:23:38.663 --> 02:23:41.825]  The globalists are trying to censor what you can see and what you can share.
[02:23:42.146 --> 02:23:42.926]  Don't let them win.
[02:23:43.327 --> 02:23:48.110]  Go to our emergency election newsletter at InfoWars.com forward slash newsletter.
[02:23:48.370 --> 02:23:51.913]  Sign up for free and get intel they don't want you to have and then share it.
[02:23:52.253 --> 02:23:54.555]  InfoWars.com forward slash newsletter.
[02:23:54.755 --> 02:23:57.197]  It's time to override the censors and get the truth out.
[02:23:58.968 --> 02:24:05.709]  Welcome to the Alex Jones Show with your guest host and moderator this afternoon, Bishop Larry Gators.
[02:24:05.789 --> 02:24:15.911]  I'm so very honored to be a part of the number one radio and television show in America and around the world.
[02:24:16.111 --> 02:24:18.332]  And that is the Alex Jones Show.
[02:24:18.772 --> 02:24:24.313]  Thank God for Alex Jones, my mentor, and for all of you patrons here in the United States of America.
[02:24:26.913 --> 02:24:31.894]  Is being taken over by communists, by socialists, and by devils.
[02:24:33.015 --> 02:24:38.576]  And the group that I blame the most are the churches.
[02:24:40.037 --> 02:24:50.539]  So then I want to talk about today for the next 30 to 35 minutes concerning exposing the war against the invisible enemy.
[02:24:51.380 --> 02:24:55.941]  Again, exposing against the war against the invisible enemy.
[02:24:57.262 --> 02:25:09.433]  So then I woke up this morning seeing Joe Sleepy Creeping Biden, who can't remember his left foot from his right thumb, taking the lead in the state of Michigan.
[02:25:10.093 --> 02:25:12.115]  This is a scam.
[02:25:12.876 --> 02:25:13.236]  Okay?
[02:25:13.977 --> 02:25:18.401]  This is the biggest cootie talk in American political history.
[02:25:19.842 --> 02:25:45.964]  Now, when you look at the family of Joe Biden, when I was on the Alex Jones Show a couple of weeks ago, and we talked about the coming fall of the Biden crime family, how is it that you faith-based leaders, faith-based pastors, who are supposed to be pro-life, but yet you are supporting a pro-death potential president?
[02:25:46.889 --> 02:26:12.787]  Joe Biden is anti-God, anti-Christ, anti-Bible, anti-America, but yet you have pastors in Michigan and Wisconsin, okay, here in New York City and around the country supporting the most corrupted political leader in the annals of American history, and that is Joe Sleepy Creeping Biden.
[02:26:14.202 --> 02:26:26.469]  Now, for the next four years, God forbid, if Joe Biden gets elected, this is what this thing is going to bring the end of what we call the United States of America.
[02:26:26.509 --> 02:26:43.179]  Now, I'm not a prophet of gloom and boom and destruction, but my assignment during this next 30 minutes to 45 minutes is to break down this foundation, this political and spiritual foundation.
[02:26:43.937 --> 02:26:47.459]  Concerning exposing the war against the invisible enemy.
[02:26:48.480 --> 02:26:51.521]  This is what Joe Biden is going to do.
[02:26:51.882 --> 02:26:52.242]  Okay?
[02:26:53.102 --> 02:26:56.324]  Joe Biden is going to shut down the churches.
[02:26:57.305 --> 02:27:00.687]  Joe Biden is going to increase abortion on demand.
[02:27:01.527 --> 02:27:06.450]  Joe Biden is going to attempt to destroy the first constitution.
[02:27:07.478 --> 02:27:33.172]  From 1776 that was later ratified three times thereafter in 1781, 87 and 89 by enacting the second constitution of 1871 that was put upon, pressure put upon the United States of America by the Rothschild dynasty out of Great Britain with the religious backing of the Vatican order in 1871 through Pope Pius IX
[02:27:36.491 --> 02:27:52.899]  Had put undue pressure upon President Ulysses S. Grant to destroy the first Constitution of 1776 that was ratified three times thereafter in 1781, 87, and 89.
[02:27:54.240 --> 02:27:59.762]  So then now we are called the United Corporation of America.
[02:28:00.923 --> 02:28:05.505]  So we were never designed, Patriots, to be a corporation.
[02:28:06.969 --> 02:28:14.152]  We were designed by God through the framers to be a Christian constitutional republic.
[02:28:14.612 --> 02:28:20.234]  But what I witnessed last night was nothing short of a coup.
[02:28:22.014 --> 02:28:34.999]  You had Joe Biden, who cannot remember his left foot from his right arm, who cannot speak anything within a coherent sentence.
[02:28:36.198 --> 02:28:40.640]  Who has to be propped up every morning, afternoon, and when the sun goes down.
[02:28:40.720 --> 02:28:46.503]  But yet, you're telling me that more than half of the country is voting for this man?
[02:28:47.904 --> 02:28:52.446]  This has Barack Hussein Obama's handprints all over this.
[02:28:53.766 --> 02:28:56.648]  Barack Obama doesn't care about Joe Biden.
[02:28:57.748 --> 02:29:00.490]  Barack Obama cares about Barack Obama.
[02:29:01.730 --> 02:29:05.392]  And there is no way, and I want you guys to hear me today,
[02:29:06.384 --> 02:29:11.168]  Because there is a righteous indignation within Bishop Gators.
[02:29:11.288 --> 02:29:13.911]  And to all of our patrons, my name is Bishop Larry Gators.
[02:29:14.511 --> 02:29:24.640]  I am the host and the moderator of the nationally syndicated radio talk show, Global Spiritual Revolution Radio, through the iHeartRadio Network in the iHeartMedia Group here in New York City, New York.
[02:29:24.680 --> 02:29:34.288]  We're also internationally syndicated through the WOR710AM family, where we are reaching 200 million people around the world.
[02:29:35.373 --> 02:29:38.035]  Exposing the war against the invisible enemy.
[02:29:40.157 --> 02:30:02.593]  When Donald Trump was elected four years ago, there were multiple coup d'etat attempts on his political life because of the Russian hoax, because of the fake dossier that was compiled by the former MI6 agent Christopher Steele.
[02:30:03.692 --> 02:30:23.740]  With the financial backing of the DNC, through the Clinton family, through Bonnie and Clyde, Bill and Hillary Clinton, and hiring Glenn R. Simpson of Fusion GPS to contact a story, blaming the president for fixing the election.
[02:30:25.241 --> 02:30:26.201]  And that didn't work.
[02:30:26.562 --> 02:30:31.944]  And thereby, from the Russian hoax, it brought us to the Ukrainian hoax.
[02:30:32.722 --> 02:30:38.054]  Concerning the Uranium One deal, which President Trump had nothing to do with.
[02:30:39.477 --> 02:30:40.440]  President Obama.
[02:30:41.417 --> 02:30:57.629]  Hillary Clinton sold 20% of our uranium to the Russians and thereby Barack Obama, who has a multi-million dollar home, not just in the Hamptons, not just in Chicago, but also in Washington, D.C.
[02:30:58.029 --> 02:30:58.290]  Why?
[02:30:58.590 --> 02:31:05.355]  Because he received millions of dollars from Vladimir Putin out of Russia because of the Uranium One deal.
[02:31:06.184 --> 02:31:11.387]  Including President Obama letting out gangsters, drug kingpins, and killers.
[02:31:12.908 --> 02:31:17.891]  Now Joe Biden is trying to take over the presidency.
[02:31:19.191 --> 02:31:20.572]  And this is what's going to happen.
[02:31:21.012 --> 02:31:25.795]  America will become a third world nation.
[02:31:27.176 --> 02:31:30.858]  This is a righteous indignation within Bishop Gators again.
[02:31:31.716 --> 02:31:34.237]  America will become a third world nation.
[02:31:34.637 --> 02:31:39.480]  I don't blame those on the left because you know what these devils are going to do.
[02:31:40.980 --> 02:31:52.206]  I blame you, the pastors, who were paid off by the Biden campaign to succumb to the political pressure of the left.
[02:31:53.546 --> 02:31:59.049]  Now in the second segment of our fourth hour, we're going to break down what happened last night.
[02:32:00.097 --> 02:32:04.961]  And I want you as patriots to fight this all the way to the Supreme Court.
[02:32:05.001 --> 02:32:15.810]  This is Bishop Larry Gators, guest hosting the fourth hour of America's number one talk show, The Alex Jones Show, where there is a war for your mind.
[02:32:16.230 --> 02:32:19.473]  We see here in the next two to three minutes on The Alex Jones Show.
[02:32:21.064 --> 02:32:33.155]  Welcome back to the fourth hour of America's number one radio talk show and America's number one television show, The Alex Jones Show on the all-powerful InfoWars.
[02:32:33.195 --> 02:32:36.858]  This is your host and guest moderator today, Bishop Larry Gators.
[02:32:36.978 --> 02:32:45.946]  I am the host of the nationally syndicated radio show Global Spiritual Revolution Radio through the iHeart Radio Network in the iHeart Media Group here in New York City, New York.
[02:32:46.006 --> 02:32:46.947]  I'm also the host
[02:32:47.647 --> 02:32:48.507]  We're good to go.
[02:33:07.273 --> 02:33:14.619]  Who had given up numerous CIA spies who were moles within the Chinese government.
[02:33:15.060 --> 02:33:23.026]  Joe Biden is a compromised asset of the Ministry of State Security, which is the Chinese equivalent of the American CIA.
[02:33:24.287 --> 02:33:34.476]  Now, Joe Biden had said a few weeks ago during the town hall, when he was asked by a mother concerning sex change operations for children.
[02:33:35.279 --> 02:33:49.124]  Joe Biden said unequivocally that he would wholeheartedly and politically approve for eight-year-old children to become a sexual disoriented type of person.
[02:33:49.184 --> 02:33:57.408]  In other words, he's for an eight-year-old child, a man, a boy to be a girl, and a girl to be a boy.
[02:33:57.428 --> 02:33:59.068]  This is madness.
[02:33:59.969 --> 02:34:03.310]  Joe Biden is going to open the borders again.
[02:34:04.406 --> 02:34:16.475]  In other words, you're going to have all of the policies that our great president, President Donald J. Trump, for the past three and a half, almost four years, those policies will be destroyed by the radical left.
[02:34:17.196 --> 02:34:23.000]  Joe Biden is going to initiate this contact tracing bill.
[02:34:23.681 --> 02:34:29.063]  That was written by Congressman Bobby Rush out of the state of Illinois.
[02:34:29.123 --> 02:34:35.685]  Bobby Rush, a former Black Panther who had his best friend, Frank Hampton, killed another time before another day.
[02:34:36.185 --> 02:34:47.348]  So this contact tracing bill of HR 6666 that is promoted by Bill Gates through the Bill and Melinda Robin Williams Gates Foundation
[02:34:48.238 --> 02:34:59.012]  Is pushing for the federal government to enact into law a policy that will force the government to force their entry into your home.
[02:34:59.588 --> 02:35:07.854]  And if you are tested positive for COVID-19, excellent link there guys, then you can be sent to a concentration camp.
[02:35:08.354 --> 02:35:18.020]  There are FEMA camps all over the country right now as we speak through the Federal Emergency Management Agency Department here in the United States.
[02:35:18.701 --> 02:35:20.542]  So Joe Biden
[02:35:21.215 --> 02:35:27.276]  Who is, pound for pound, the most corrupt politician in American history.
[02:35:27.676 --> 02:35:31.637]  Whose son, Hunter, is a raper of children.
[02:35:32.178 --> 02:35:35.998]  But yet, half of America, they don't care about that.
[02:35:36.679 --> 02:35:39.439]  They want this man to be voted into office.
[02:35:39.719 --> 02:35:40.459]  And why?
[02:35:40.900 --> 02:35:42.940]  Because they hate Donald Trump.
[02:35:43.818 --> 02:35:48.940]  So through this contact tracing bill of H.R.
[02:35:48.960 --> 02:36:01.983]  6666, which is not only politically and financially supported by Bill Gates, but also politically and financially supported by the former vice chairman of Microsoft, Steve Ballmer.
[02:36:02.964 --> 02:36:07.365]  Steve Ballmer is now the owner of the Los Angeles Clippers.
[02:36:08.200 --> 02:36:20.944]  Yes, that Steve Ballmer, who was the same Steve Ballmer who was the vice president and went on to be the chairman of Microsoft and now who owns the LA Clippers, which 98% of the team are black men.
[02:36:22.105 --> 02:36:29.927]  And it was Melinda Robbie William Gates said that black America would be the first ethnicity to receive the vaccination.
[02:36:30.588 --> 02:36:31.548]  What was she saying?
[02:36:32.388 --> 02:36:36.810]  She was saying that black people are going to be the first ones to be
[02:36:37.865 --> 02:36:38.665]  Exterminate it!
[02:36:39.826 --> 02:36:42.607]  This is what you're going to get with Joe Biden.
[02:36:42.787 --> 02:36:53.770]  Now, I'm going to say this, and it may sound harsh, but listen to what the Bishop has to say concerning exposing the war against the invisible enemy.
[02:36:54.811 --> 02:37:05.614]  If you allow Joe Biden Americans to become president, anything that happens in the next four years, you deserve it.
[02:37:06.175 --> 02:37:07.115]  Let me say this again.
[02:37:08.283 --> 02:37:22.573]  If you allow Joe Biden, Barack with a thousand different aliases Obama, and the radical left to assume power, anything that happens to this country, we deserve it.
[02:37:23.251 --> 02:37:38.394]  So Joe Biden is going to initiate this HR 6666 program in connection to Microsoft, including the activation of the 2020 WO 060606 bill.
[02:37:39.334 --> 02:37:43.095]  This cryptocurrency data activating system.
[02:37:43.955 --> 02:37:47.896]  Joe Biden is a Manchurian candidate.
[02:37:48.016 --> 02:37:48.816]  Let me say this again.
[02:37:49.694 --> 02:37:56.417]  Joseph Robinette Biden, who may very well be a clone, I don't know, okay?
[02:37:56.577 --> 02:37:58.178]  He is a controlled asset.
[02:37:59.078 --> 02:38:14.345]  And why is it, for the life of me, that spiritual leaders, pastors, who are supposed to be pro-life, and a lot of you are African American pastors, but you're voting for a man
[02:38:15.279 --> 02:38:23.041]  Who is backing for the extermination of not only babies, but also black children.
[02:38:23.961 --> 02:38:30.403]  Since 1973, close to 19 million black babies have been slaughtered.
[02:38:30.723 --> 02:38:30.943]  Why?
[02:38:31.163 --> 02:38:35.024]  Because of this witch, Margaret Sanger.
[02:38:36.105 --> 02:38:43.827]  Margaret Sanger once said, and I quote, that black America must be exterminated as human weeds.
[02:38:44.873 --> 02:38:46.954]  This is the side of Joe Biden.
[02:38:48.095 --> 02:38:56.119]  Joe Biden said to you black Americans, you ain't black if you're going to vote for Donald J. Trump.
[02:38:56.479 --> 02:39:06.664]  This is the same Joe Biden who signed a bill in 1974 promoting busing segregation between black and white kids.
[02:39:06.924 --> 02:39:10.466]  This is the same Joseph Robinette Biden.
[02:39:11.212 --> 02:39:33.707]  Who then, 20 years later, from 1974 to 1994, co-wrote, along with Bonnie and Clyde, Bill and Hillary Clinton, the 1994 Crime Bill, which put 2.7 million black men in prison, that at the time, between 1994 and the year 2000, was 10% of the black male population.
[02:39:40.439 --> 02:39:47.655]  So why are you black people voting for Joe Biden and especially the preachers?
[02:39:48.413 --> 02:39:51.095]  Pastors, you can't have it both ways.
[02:39:51.716 --> 02:40:00.582]  You can't say that you're pro-life, but yet you're voting for the complete opposite of what you believe in as a theologian.
[02:40:00.962 --> 02:40:03.424]  You cannot have it both ways, pastors.
[02:40:03.845 --> 02:40:11.751]  You cannot vote for Joe Biden, who is pro-death, but you yet are remaining pro-life.
[02:40:12.091 --> 02:40:13.352]  It doesn't work like that.
[02:40:13.892 --> 02:40:26.318]  Now, during the third segment, we're going to break this down even further that, God forbid, if Joe Robinette Biden wins this election by default because he cheated his way
[02:40:26.952 --> 02:40:36.405]  These are the repercussions that's going to happen to America concerning exposing the war against the invisible enemy.
[02:40:36.465 --> 02:40:44.556]  This is your host and moderator, Bishop Larry Gators, during the fourth hour of the Alex Jones Show, and we'll see you here in the next two to three minutes time.
[02:40:45.911 --> 02:40:51.854]  Welcome back to the fourth hour of the Alex Jones Show, for there is a war for your mind.
[02:40:52.294 --> 02:41:04.961]  Here with your host and moderator today, Bishop Larry Gators, on this fourth day of November in the year of 2020, exposing the war against the invisible enemy.
[02:41:05.061 --> 02:41:14.106]  And this is what's going to happen for the next four years, God forbid, if Joe Biden becomes elected and thereby steals this election.
[02:41:14.686 --> 02:41:20.308]  He's going to have those of Antifa, who are the military arm of Black Lives Matter.
[02:41:20.728 --> 02:41:27.430]  And Black Lives Matter is the propaganda arm of Antifa, led by three stinking witches.
[02:41:27.550 --> 02:41:30.271]  Now, you have to excuse my grammar.
[02:41:30.451 --> 02:41:32.072]  I'm a contract killer.
[02:41:32.592 --> 02:41:35.873]  I am what they call an American John Wick.
[02:41:35.993 --> 02:41:38.734]  I don't have any sympathy for witches.
[02:41:38.854 --> 02:41:40.615]  Yes, Alicia
[02:41:41.976 --> 02:41:53.644]  ... are stinking witches who are attempting to overthrow the United States of America through tyranny, through discombobulation.
[02:41:54.044 --> 02:42:03.651]  So if Joe Biden, who's a White House, whose presidency will be hijacked, not only by Antifa in Black Lives Matter,
[02:42:04.071 --> 02:42:24.986]  But also would be hijacked by the LGBTQRS community, including the squad led by a former bartender, you know, AOC, Alexandra Quirtez, who can't remember her leopard from her right ear.
[02:42:25.406 --> 02:42:30.750]  So then the Green New Deal would be a part of the Biden agenda.
[02:42:31.480 --> 02:42:33.982]  Joe Biden has been hijacked.
[02:42:34.582 --> 02:42:39.505]  These four witches that you see right now, these are witches.
[02:42:39.745 --> 02:42:42.126]  They're not witches because they're women.
[02:42:42.747 --> 02:42:45.729]  And they're not witches because they are women of color.
[02:42:46.389 --> 02:42:59.817]  Ladies and gentlemen, they are witches because they're operating under a spirit that is not of God concerning exposing the war against the invisible enemy.
[02:43:00.641 --> 02:43:13.586]  Including, don't be surprised if President Biden brings in a little kid by the name of Greta Thunberg to initiate the climate control policy.
[02:43:13.806 --> 02:43:15.106]  This is madness here.
[02:43:15.927 --> 02:43:21.749]  But who I blame, not so much Barack Obama, because we know he's a devil.
[02:43:22.529 --> 02:43:26.731]  I don't blame his wife, Michelle Obama.
[02:43:27.531 --> 02:43:29.632]  I blame you pastors.
[02:43:30.598 --> 02:43:57.639]  In Michigan, in New York City, in Wisconsin, in California, part of the National Alliance of Churches, you're supposed to be pro-God, pro-Jesus Christ, pro-Bible, and pro-life, but you're supporting a man whose sole intent is to destroy America, and that's Joe Biden.
[02:43:58.408 --> 02:44:20.258]  And so also, God forbid, if Joe Biden gets in, he is going to ship your jobs overseas by re-enacting NAFTA that President Bill Clinton, in his witch of a wife, Hillary, had instituted during the 1990s, during the Clinton administration.
[02:44:20.936 --> 02:44:38.546]  Through NAFTA, the North American Free Trade Agreement policy, Joe Biden is going to ship your jobs overseas and the entire United States for these America will end up like Baltimore, okay?
[02:44:38.867 --> 02:44:40.428]  Like Los Angeles.
[02:44:41.208 --> 02:44:43.149]  Crap holes like these cities.
[02:44:43.209 --> 02:44:43.469]  Why?
[02:44:43.750 --> 02:44:47.552]  Because you pastors, you're the blame for this.
[02:44:48.667 --> 02:44:55.013]  And it was the granddaughter of the late Dr. Billy Graham who is supporting Joe Biden.
[02:44:56.194 --> 02:45:09.927]  Christianity Today magazine came out a few months ago where the editor-in-chief wrote a demonic op-ed concerning his support for Joe Biden.
[02:45:09.947 --> 02:45:11.468]  Wait a minute now.
[02:45:11.488 --> 02:45:13.210]  How is a major Christian
