[00:00:00.535 --> 00:00:00.895]  Warning.
[03:04:52.176 --> 03:04:53.219]  Interest, but I just...
[03:04:57.102 --> 03:05:00.223]  Yeah, it wasn't a straight bribe.
[03:05:00.283 --> 03:05:05.184]  It was returning money that had been captured because of some of the sanctions that we'd put on.
[03:05:06.524 --> 03:05:09.264]  But, interesting stuff, you're right.
[03:05:10.805 --> 03:05:17.066]  The road has been paved by the previous administrations, but that's the reality now and Trump is having to deal with it.
[03:05:17.946 --> 03:05:21.807]  So, you know, we can only hope that he knows more than he seems to know.
[03:05:23.240 --> 03:05:24.101]  You know, I don't know.
[03:05:24.181 --> 03:05:26.803]  It's really hard to tell what he knows and what he doesn't.
[03:05:27.143 --> 03:05:38.753]  I mean, what we've seen, in my opinion, is, in the past few years, is some of the most surprise, some of the biggest surprises in curveballs that anyone's ever seen on the world stage.
[03:05:38.793 --> 03:05:48.621]  And so, and I heard someone explain it to me, and it made a lot of sense, is that one of the most powerful tools you could have if you were Trump is
[03:05:49.562 --> 03:05:51.444]  The power of not being predictable.
[03:05:51.704 --> 03:05:53.406]  The power of being completely unpredictable.
[03:05:53.466 --> 03:05:55.047]  And he has succeeded that.
[03:05:55.427 --> 03:06:01.273]  I don't know if that's all his own making or if he's been trained on how to do this, but he is a master of being unpredictable.
[03:06:02.173 --> 03:06:03.715]  No one really knows what he's going to do next.
[03:06:03.735 --> 03:06:06.757]  That came up to me when he was talking about cultural sites.
[03:06:07.608 --> 03:06:10.249]  That's a rather unpredictable thing to do.
[03:06:10.329 --> 03:06:12.329]  No one would have predicted him to do that.
[03:06:12.409 --> 03:06:20.511]  And what this does, what we've seen this do in the past, is this tends to cause people to hang themselves.
[03:06:21.352 --> 03:06:22.532]  We've been seeing a lot of that.
[03:06:22.572 --> 03:06:31.234]  We haven't seen complete justice yet, and we haven't gotten there yet, but we have seen people react badly to this unpredictability, as if they freak out.
[03:06:31.594 --> 03:06:33.575]  And to bring up QAnon once again,
[03:06:34.856 --> 03:06:45.787]  That is one of the things that Q is basically saying is the basic plan from day one is to basically make them hang themselves by creating a sense of despair for them.
[03:06:45.827 --> 03:06:54.797]  And Zach got me thinking about Obama and Kerry and God, wouldn't it be great to see this situation somehow help expose what happened there?
[03:06:54.817 --> 03:06:55.358]  Right.
[03:06:55.718 --> 03:07:12.125]  Well, and the insane thing about Trump, well you have to remember about him, is he's operating in a world where he's surrounded by enemies, he's surrounded by people undercutting and undermining and trying to subvert his attempts to, you know, do what he promised to do and fulfill his campaign guarantees.
[03:07:12.725 --> 03:07:16.066]  And so, but these people are the gatekeepers to power, right?
[03:07:16.086 --> 03:07:17.427]  So he has to always act
[03:07:18.027 --> 03:07:18.928]  With their approval.
[03:07:18.988 --> 03:07:23.632]  So how do you defeat people while they have essentially a veto over everything that you do, right?
[03:07:23.652 --> 03:07:30.237]  If Trump wants to do something, I mean, they control his information, they control his, you know, the orders as they go out.
[03:07:30.538 --> 03:07:40.026]  And we've seen this time and time again that he's had to expel people from his administration because they were leaking stuff or not, you know, following through with his thing.
[03:07:40.126 --> 03:07:44.549]  The whole impeachment hearings were all these unelected bureaucrats
[03:07:45.407 --> 03:07:50.589]  Basically saying, I didn't agree, so I wasn't going to do what the President of the United States ordered me to do.
[03:07:50.649 --> 03:07:55.851]  And so, he is in a situation that is nearly impossible.
[03:07:56.131 --> 03:07:59.152]  But luckily, if anybody can pull it out, it's going to be him.
[03:07:59.212 --> 03:08:02.353]  So, you know, we can hope for it more.
[03:08:02.393 --> 03:08:07.475]  But, you know, what you have right now is you have a lot of the conservative establishment
[03:08:09.236 --> 03:08:18.799]  Advocating in favor of what Trump is doing, advocating for more pressure of Iran, banging their chest, waving their flag and saying we need to, you know, avenge and protect our people.
[03:08:18.819 --> 03:08:20.099]  Of course, nobody's gotten hurt.
[03:08:20.119 --> 03:08:22.240]  You can always see when the media frames it.
[03:08:22.300 --> 03:08:25.741]  It's always, the way they frame it is so disingenuous.
[03:08:25.781 --> 03:08:28.102]  They'll say they've attacked Americans' interests.
[03:08:28.482 --> 03:08:29.482]  You know, that sort of thing.
[03:08:29.502 --> 03:08:31.363]  And you can just see in the writing, that's how they do it.
[03:08:31.623 --> 03:08:34.083]  So we got the media who wants the increase.
[03:08:34.123 --> 03:08:36.504]  You have a lot of Trump's advisors who want to increase.
[03:08:36.524 --> 03:08:41.345]  You have leaders of the Republican Party who are advocating for, you know, Lindsey Graham going on Hannity.
[03:08:41.425 --> 03:08:43.026]  Hannity himself doing it.
[03:08:43.046 --> 03:08:44.426]  So that's on one side.
[03:08:44.466 --> 03:08:51.328]  On the other side, you know, drowned out and largely shadow banned, if not outright banned, you have his true core supporters who have been with him forever.
[03:08:51.348 --> 03:08:52.488]  Because you got to remember, a lot of these
[03:08:53.268 --> 03:09:02.333]  A lot of these Fox people and, you know, neocon-type people were not pro-Trump until he got the nomination, even farther into his administration.
[03:09:03.193 --> 03:09:08.096]  So a lot of his true supporters, his core supporters, were there with him from the beginning.
[03:09:08.536 --> 03:09:16.200]  They're anti-war, they're trying to argue against it, but they don't have the Fox shows, they don't have the positions that would be able to influence Trump.
[03:09:16.220 --> 03:09:17.241]  Now, on the other hand,
[03:09:18.362 --> 03:09:27.765]  You do have, along with them, strangely enough, probably now you have the UAE, Saudi Arabia, and Israel saying, hey man, we're going to get attacked if you escalate.
[03:09:28.165 --> 03:09:29.685]  So you need to not escalate.
[03:09:29.705 --> 03:09:38.728]  And I think that was kind of a brilliant thing that Iran did by saying, our next wave of attacks will be insane, it'll be huge, but it'll be against Saudi Arabia, UAE, and Israel.
[03:09:38.768 --> 03:09:41.449]  And that way, then potentially he gets those countries
[03:09:42.563 --> 03:09:46.390]  Trying to get in contact with Trump and saying, hey, Trump, we don't want to be attacked.
[03:09:46.430 --> 03:09:48.092]  So, you know, don't attack.
[03:09:48.132 --> 03:09:49.715]  So that's one of the influences on Trump.
[03:09:49.735 --> 03:09:55.164]  And of course, Israel has already said we there's like we don't want any of your business about this killing of Soleimani.
[03:09:55.204 --> 03:09:55.305]  So.
[03:09:56.457 --> 03:10:07.451]  They're likely rather terrified of Iran just going full hot war, you know, insanity all over the Middle East with Hezbollah right on their doorstep in Lebanon, ready to rush over at any moment.
[03:10:08.352 --> 03:10:13.599]  So it seems like you got you got a balance of forces, some pushing for more attacks, some
[03:10:14.680 --> 03:10:23.723]  Pushing for less and it's Trump on the middle of the seesaw right now with the fate of the world in his hands, essentially.
[03:10:23.763 --> 03:10:26.363]  And that's one of the things that you got to remember about this.
[03:10:26.464 --> 03:10:27.284]  This is real life.
[03:10:27.324 --> 03:10:28.904]  This is happening by the minute.
[03:10:28.924 --> 03:10:32.585]  Donald Trump is a real man, you know, in Washington, D.C.
[03:10:32.685 --> 03:10:33.145]  right now.
[03:10:33.926 --> 03:10:37.927]  He is the one who will be making the decision and the rest of history for the next
[03:10:39.188 --> 03:10:43.251]  10,000 years could potentially be decided by the decision that he makes.
[03:10:43.311 --> 03:10:49.276]  So epic times, intense times, and I'm frankly honored to be here with you.
[03:10:49.316 --> 03:10:50.256]  We've gone for a while.
[03:10:50.276 --> 03:10:57.242]  We should say you can support this broadcast and everything that we do by going to InfowarsStore.com and making a purchase.
[03:10:57.282 --> 03:11:05.569]  It's the end of the year mega blowout sale, which means it's just absolutely irresponsible levels of discounts on some of these incredible products and everything
[03:11:06.129 --> 03:11:06.449]  That's right.
[03:11:24.989 --> 03:11:26.871]  Into the wee hours of the morning if need be.
[03:11:26.931 --> 03:11:31.816]  I doubt we'll go that long though, but at least deep into the night as long as new information is coming out.
[03:11:31.856 --> 03:11:33.297]  It looks like it is slowing down right now.
[03:11:33.938 --> 03:11:40.664]  But yes folks, everything we do here is supported solely, only, completely by fans like you.
[03:11:41.545 --> 03:11:44.009]  Going to Infowarsstore.com and making a purchase.
[03:11:44.069 --> 03:11:52.981]  It's just been whispered in my ear from the authorities behind the scenes that this is the last hours of the mega blowout sale.
[03:11:53.021 --> 03:11:54.203]  The last hours.
[03:11:54.303 --> 03:11:55.124]  Not the last days.
[03:11:56.586 --> 03:11:58.288]  The final hours.
[03:11:59.136 --> 03:11:59.716]  It's good to be here.
[03:11:59.736 --> 03:12:02.598]  I was thinking about what Zach said earlier about escalation and de-escalation.
[03:12:29.335 --> 03:12:34.358]  Two years have really launched a lot of attacks with their proxies against our allies.
[03:12:35.058 --> 03:12:46.185]  So as an American, I feel that their maybe words of setting something up to de-escalate or promising not to attack in the future is hollow to me.
[03:12:46.986 --> 03:12:48.186]  Because they've already done that.
[03:12:48.226 --> 03:12:49.327]  They've attacked oil fields.
[03:12:49.347 --> 03:12:50.348]  They've attacked tankers.
[03:12:50.908 --> 03:12:52.649]  They've attacked allies everywhere.
[03:12:52.729 --> 03:12:58.993]  And now they've attacked us, not through a proxy, but through the IRGC themselves and claim credit for it.
[03:12:59.679 --> 03:13:03.900]  That is a very big escalation, and I used to be a warfighter.
[03:13:04.720 --> 03:13:12.863]  And one thing that is always seems to be looked past is that your enemy has a say in that de-escalation as well.
[03:13:13.443 --> 03:13:16.444]  And just for a minute, I want you to ask yourself this.
[03:13:16.964 --> 03:13:19.084]  What if they do not want to de-escalate?
[03:13:20.025 --> 03:13:21.805]  I haven't heard anybody say that.
[03:13:22.445 --> 03:13:24.146]  And that's a very important question.
[03:13:24.626 --> 03:13:27.126]  Because then it comes down to, are we going to be the hammer?
[03:13:27.887 --> 03:13:28.987]  Or are we going to be the anvil?
[03:13:29.907 --> 03:13:36.890]  And as a voter, I voted for Trump and I will continue to vote for him and support him wherever, whatever he decides to do.
[03:13:37.890 --> 03:13:49.474]  Um, it's the one thing that I hate worse than war is dead Americans that, that could be prevented those bodies that, that, that can be saved those lives by, by fighting.
[03:13:49.534 --> 03:13:59.518]  Now, um, I have two children and I don't, I don't want my boys.
[03:14:00.287 --> 03:14:09.633]  To grow up and have to worry about, oh, I have to plan for this or will I be a victim of a terrorist attack here or or there or something like that?
[03:14:09.653 --> 03:14:12.155]  And I mean, I've had enough of it.
[03:14:12.675 --> 03:14:14.436]  You know, that's just what I have to say.
[03:14:15.777 --> 03:14:17.018]  I'm tired of living in fear.
[03:14:17.038 --> 03:14:20.380]  I think most of Americans are.
[03:14:21.261 --> 03:14:26.444]  And if we think we're going to throw off a global elitist cabal cabal structure,
[03:14:26.926 --> 03:14:30.867]  Without some bloodshed, we've blinded ourselves.
[03:14:31.408 --> 03:14:33.508]  I agree with that.
[03:14:33.528 --> 03:14:36.549]  So where do you think it ends, Travis?
[03:14:36.809 --> 03:14:53.275]  It ends with either Iran capitulating or we pull out of the Middle East and Iran secures their hegemony throughout the Middle East and then they become the major player and eventually develop a nuclear weapon which they had promised to use.
[03:14:53.995 --> 03:14:56.416]  And if we do pull out, we've turned our back
[03:14:57.091 --> 03:15:00.233]  On all of our allies in the Middle East and left them to the wolves.
[03:15:00.953 --> 03:15:03.714]  And as an American, when we give our word, we should keep it.
[03:15:04.675 --> 03:15:07.296]  If we don't, we have nothing.
[03:15:08.497 --> 03:15:14.659]  I know for a fact we have the hardware in the Middle East to bring Iran to its knees within an hour.
[03:15:15.840 --> 03:15:18.001]  And that's non-nuclear means.
[03:15:19.022 --> 03:15:25.144]  But we could take out every bit of their warfighting capability within 45 to 60 minutes.
[03:15:26.838 --> 03:15:28.039]  I have seen our hardware.
[03:15:28.139 --> 03:15:28.820]  It's doable.
[03:15:29.880 --> 03:15:35.064]  And I think the question is at this point is who's going to spill the most blood?
[03:15:35.785 --> 03:15:36.846]  That's the real question.
[03:15:37.926 --> 03:15:43.010]  Well, but is there a method or a path that we can follow in which
[03:15:44.636 --> 03:15:46.698]  You know, blood is not spilled at all.
[03:15:48.460 --> 03:15:54.625]  To me, that's the real question because, you know, I don't know how easy a war with Iran would be.
[03:15:54.726 --> 03:15:57.248]  I don't think it would be over in a matter of hours.
[03:15:57.268 --> 03:15:58.509]  We saw what happened with Iraq.
[03:15:59.050 --> 03:16:04.335]  That was 20 years ago and we're still there and it looks like it's only becoming more of a quagmire.
[03:16:04.355 --> 03:16:09.019]  In fact, the government that we helped establish with our actions and spent a trillion dollars
[03:16:09.179 --> 03:16:10.060]  We're good to go.
[03:16:28.138 --> 03:16:35.143]  I like this call and this is basically how my head was at, where my head and my gut was at pretty much all week.
[03:16:35.263 --> 03:16:49.652]  I kind of checked myself because the majority of the people that I listened to, the majority of people I respect, are very strongly against having any type of conflict and they've been talking about being anti-war so it's made me kind of question myself.
[03:16:50.232 --> 03:16:51.033]  A little bit more.
[03:16:51.433 --> 03:16:53.394]  However, this is how I feel.
[03:16:53.494 --> 03:16:56.316]  I feel like they want to escalate the war.
[03:16:56.376 --> 03:16:57.316]  That's their purpose.
[03:16:57.336 --> 03:16:59.998]  The purpose of the mullahs is to start a war.
[03:17:00.038 --> 03:17:00.718]  That's what they're doing.
[03:17:00.898 --> 03:17:02.059]  They're not trying to save face.
[03:17:02.980 --> 03:17:08.603]  And I have a feeling even if Trump does what a lot of us say we'd like to see him do and pull out, that's not going to stop Iran.
[03:17:08.623 --> 03:17:11.845]  They're going to look for another opportunity unless the sanctions can break them.
[03:17:11.865 --> 03:17:12.905]  This is why.
[03:17:13.025 --> 03:17:16.487]  And then the other thing to keep in mind is the people of Iran are sick of this as well.
[03:17:16.908 --> 03:17:18.609]  I keep hoping to see some type of
[03:17:19.589 --> 03:17:23.711]  Uh, something happened inside of Iran where they can take care of this themselves.
[03:17:24.432 --> 03:17:25.472]  But I do agree.
[03:17:26.073 --> 03:17:30.215]  This is just me responding to the call, not being a journalist, but where my head's at.
[03:17:30.675 --> 03:17:37.359]  I think we could, because if yes, Iraq was a failure and if we fought it like Iraq, then it would be another Iraq.
[03:17:37.419 --> 03:17:40.681]  But I think Iraq happened exactly how it was intended to happen.
[03:17:41.381 --> 03:17:55.366]  The point of Iraq was to destabilize that country, turn it into a quagmire, to make us look bad, to ruin that country, to just create all these refugees, to then flood all these other countries with in this soft, weird invasion that's happening by the UN.
[03:17:55.786 --> 03:18:09.210]  But if it were done right, within 48 hours, this mullah mafia would be wiped off the planet, and the people of Iran would be left to pick up the pieces with the help of some other people, and they could maybe bring back the Persian Empire.
[03:18:09.730 --> 03:18:12.130]  But this is just one man's dream.
[03:18:13.531 --> 03:18:14.711]  Epic dreams, indeed.
[03:18:14.731 --> 03:18:16.131]  Anything else before I let you go, Travis?
[03:18:16.151 --> 03:18:16.591]  Great call.
[03:18:18.212 --> 03:18:18.952]  Yeah.
[03:18:19.352 --> 03:18:21.772]  You know, you said, is there a path of no war?
[03:18:22.752 --> 03:18:34.094]  The only path of no war that I could see is that, you know, through some sort of diplomatic miracle that I believe Trump is capable of, because he's the dealmaker.
[03:18:34.554 --> 03:18:37.255]  We've seen him do some crazy things with North Korea.
[03:18:37.910 --> 03:18:53.937]  I mean, he's really, he's really diplomatic and the only way that would be is that somehow the Mullahs decide to actually have a real election and we get the right people elected in Iran for the Iranian people that are peaceful.
[03:18:54.357 --> 03:18:55.217]  That's the only way.
[03:18:56.878 --> 03:18:57.558]  Very good point.
[03:18:57.578 --> 03:18:58.899]  Thanks so much for the call, Travis.
[03:18:58.939 --> 03:19:02.220]  And actually, you know, he mentions a diplomatic
[03:19:03.658 --> 03:19:04.218]  We're good to go.
[03:19:23.650 --> 03:19:29.516]  Not lose any more of our soldiers for a godforsaken desert halfway across the world.
[03:19:30.137 --> 03:19:31.759]  That's how I feel about it personally.
[03:19:32.900 --> 03:19:34.161]  But let's keep going back to the calls.
[03:19:34.181 --> 03:19:36.483]  Richard in Texas has been holding a while.
[03:19:36.503 --> 03:19:37.404]  Thanks for calling, Richard.
[03:19:37.484 --> 03:19:38.125]  You are on the air.
[03:19:39.667 --> 03:19:40.247]  Hey, Harrison.
[03:19:40.287 --> 03:19:40.728]  Hey, Greg.
[03:19:42.289 --> 03:19:43.971]  First I just want to say real quick.
[03:19:45.293 --> 03:19:47.155]  Both you really respect you a lot.
[03:19:47.356 --> 03:19:55.526]  I don't agree with a lot of what Greg says, but I think everyone should give him a lot of respect because he's not someone who shoots his mouth off.
[03:19:55.566 --> 03:19:58.890]  He thinks about things carefully if I understand him correctly.
[03:19:59.010 --> 03:20:02.955]  So even when I don't agree with him, I think everyone should give him a lot of respect.
[03:20:03.696 --> 03:20:13.940]  Harrison, the only thing I've ever wanted to say to you is I know you don't like how much money is given to Israel, but I just wanted to say to you that Israel's not the problem.
[03:20:14.020 --> 03:20:15.261]  Mossad is the problem.
[03:20:15.301 --> 03:20:20.123]  So I would encourage you to speak out against Mossad and not just Israel in general.
[03:20:20.523 --> 03:20:21.343]  But love you both.
[03:20:21.463 --> 03:20:25.125]  You both are really just excellent journalists.
[03:20:26.832 --> 03:20:29.713]  I mean, just tremendous respect to both of you.
[03:20:47.698 --> 03:21:03.771]  I do hope, you know, maybe I need to be a little bit more careful with my words when I'm talking about a power structure over a state and the actors that are manipulating the American government rather than, you know, the people of that country, people who have no power to influence the things that I'm criticizing.
[03:21:03.831 --> 03:21:14.099]  And then I also want to echo your thoughts on Greg Reese, because ever since Greg started working at InfoWars, he and I have had very intense, very long arguments that I've never felt any sort of
[03:21:15.260 --> 03:21:20.002]  Antipathy or, you know, any sort of rough edges on either side.
[03:21:20.542 --> 03:21:22.683]  We'll argue about anything and it's always very fun.
[03:21:22.843 --> 03:21:25.343]  And I think that's one of the strengths of everybody here at InfoWars.
[03:21:25.384 --> 03:21:26.384]  We all hold our own views.
[03:21:26.704 --> 03:21:27.744]  We all hold our own opinions.
[03:21:28.324 --> 03:21:32.186]  But with that level of respect and understanding, we all can get along.
[03:21:32.266 --> 03:21:33.186]  Isn't that a beautiful view?
[03:21:33.206 --> 03:21:34.527]  Yeah, I think so too.
[03:21:34.847 --> 03:21:35.787]  I appreciate that call.
[03:21:35.827 --> 03:21:41.029]  And you know, it's funny, Harrison, you're right, because it's kind of interesting sitting down at this time tonight with you.
[03:21:41.969 --> 03:21:44.911]  Yeah, we do see, we don't see things completely eye-to-eye.
[03:21:44.951 --> 03:21:55.839]  In fact, I would say a lot, most of the people here at InfoWars that I work with, I noticed in the past few days that I might, you know, and I don't claim to know anything.
[03:21:56.659 --> 03:22:01.983]  Before I got involved with InfoWars, I was mostly an artist, a filmmaker, and a musician, I consider myself.
[03:22:03.183 --> 03:22:05.184]  You know, I try to follow a little bit here and there.
[03:22:05.204 --> 03:22:06.124]  I just have my opinions.
[03:22:06.184 --> 03:22:17.746]  But one of the things I've learned in the past week is, as I'm reading all my Twitter feeds of all my, you know, the conservatives and the patriots that I respect, I realize that I would probably be lumped in a category.
[03:22:17.766 --> 03:22:22.867]  I've heard people use the word like warmongers, war hawks, all these words.
[03:22:23.647 --> 03:22:27.728]  And I don't consider myself that, but I have put myself in check.
[03:22:28.388 --> 03:22:37.644]  Maybe it's, you know, Marine Corps brainwashing, or maybe I was just born a little crazy or something, but there's a, you know, there are...
[03:22:38.669 --> 03:22:43.092]  This whole war thing, when it comes up, I realize there's a great divide here among patriots.
[03:22:43.152 --> 03:22:45.093]  We're not all seeing the same way.
[03:22:45.254 --> 03:22:47.055]  And there's absolutely no easy answers, right?
[03:22:47.635 --> 03:22:53.359]  I would love an ideal world where you just go, we pull out and it's over and we no longer have to go die in that God-forsaken desert.
[03:22:53.599 --> 03:23:00.764]  But you also have to recognize that there is a reality to that and it's not going to be snap your fingers and, you know, and everything's peaceful all of a sudden.
[03:23:01.045 --> 03:23:07.269]  You do have to consider, well, are they going to start moving in on Iraq and, you know, increasing their power base and
[03:23:07.629 --> 03:23:10.451]  What are all the moves, all the different pieces that are moving around?
[03:23:10.491 --> 03:23:18.617]  It's very intricate, very complicated, and I think that's why there is no dogmatic sort of atmosphere.
[03:23:18.977 --> 03:23:26.902]  As much as that might seem strange to people who don't know about InfoWars, I think our true fans recognize that there is no consensus here.
[03:23:26.942 --> 03:23:33.187]  There's a lot of different sides, and everybody's respectful enough and open-minded enough to hear them.
[03:23:33.627 --> 03:23:35.709]  But Richard, I don't think that was the point of your call.
[03:23:35.729 --> 03:23:40.892]  I think that was just some inflating of our head sizes over here with the compliments.
[03:23:41.573 --> 03:23:46.477]  What did you want to, what comments did you have about the Iran situation tonight, Richard?
[03:23:46.677 --> 03:23:50.399]  So I just wanted to bring you some news on the ground in Texas.
[03:23:50.459 --> 03:23:54.382]  So I did contact military police at Fort Sam Houston.
[03:23:54.583 --> 03:23:59.046]  They said there is no credible threat of sleeper cells attacking them.
[03:23:59.628 --> 03:24:08.390]  When I talked to military police at Fort Hood, they gave me kind of a cryptic answer.
[03:24:08.610 --> 03:24:23.554]  They said, my wife's a mid-level army officer, and so I was explaining this to them and I just asked them for a response and they said, if there was a credible threat, then her commanding officer will inform her directly.
[03:24:23.574 --> 03:24:24.394]  And I was like,
[03:24:24.949 --> 03:24:26.209]  That's kind of a weird answer.
[03:24:27.850 --> 03:24:32.070]  But what I did want to talk about is because I just want to give you straight news.
[03:24:32.090 --> 03:24:34.911]  I don't want to give my opinion on these things.
[03:24:35.011 --> 03:24:37.671]  I just, you know, want to give you the facts.
[03:24:38.652 --> 03:24:45.093]  I spoke to my father, who was a high level manager in the aerospace industry, and asked him to check with people.
[03:24:45.813 --> 03:24:51.134]  And what's interesting is when this attack first happened, aerospace stocks jumped way up.
[03:24:51.917 --> 03:24:57.863]  And then they went back down and gold jumped way up and then it jumped back down.
[03:24:58.444 --> 03:25:05.592]  So I'm thinking Trump may be operating with some wisdom here.
[03:25:06.673 --> 03:25:14.041]  His financial advisors are quite intelligent and I'm thinking, I'm thinking, I'm thinking
[03:25:14.662 --> 03:25:20.565]  That he's really assessing the situation and trying to tamp it down.
[03:25:20.865 --> 03:25:27.469]  Now what I do want to say is my main opponents in this whole thing were always Clapper and Brennan.
[03:25:27.989 --> 03:25:31.671]  But I will say today I have a really high voter score.
[03:25:31.751 --> 03:25:34.272]  I donate to all Republican candidates.
[03:25:34.552 --> 03:25:37.354]  I, you know, fill out all the congressional surveys.
[03:25:37.414 --> 03:25:40.075]  So they always respond to me when I write stuff.
[03:25:40.095 --> 03:25:42.997]  So I did something a little bit Machiavellian today.
[03:25:43.721 --> 03:26:04.186]  And I wrote a letter to all the GOP congressional people that I have contact with, and I said, look, if Trump doesn't pull out of the Middle East and stop all foreign entanglement right now, I'm going to not only withdraw all donation from all GOP candidates, I'm going to put full support into Tulsi Gabbard.
[03:26:04.866 --> 03:26:08.167]  And that was probably, you know, a little bit, you know,
[03:26:09.255 --> 03:26:10.916]  Machiavellian, I shouldn't have done it.
[03:26:10.936 --> 03:26:12.056]  I just wanted to test the waters.
[03:26:12.356 --> 03:26:15.057]  But an hour later, that's when all this stuff broke out.
[03:26:15.558 --> 03:26:25.161]  So I'm kind of thinking there's really is some people in the GOP that are sick weirdos that just are trying to set this thing up for a war.
[03:26:25.181 --> 03:26:36.646]  Because, I mean, to have that level of response almost immediately, and I know Ron Paul was kind of criticizing this whole thing, and I made some comments to Ron Paul earlier.
[03:26:37.273 --> 03:26:55.446]  And I think this whole thing kind of stirs around in the pot, but I know several people that have worked on Greg Abbott's campaign and other sort of mid-level or high-level campaigns in Texas, and they're all thinking maybe there is a little bit of treason going on here.
[03:26:55.526 --> 03:26:57.007]  And I'm not sure.
[03:26:57.348 --> 03:26:59.209]  Like, I'm torn on this Pompeo thing.
[03:26:59.571 --> 03:27:02.572]  Like I really, my gut level, I don't like that dude.
[03:27:02.952 --> 03:27:06.034]  But his service record is very admirable.
[03:27:06.214 --> 03:27:11.136]  So I don't want to just come out here and defame this guy who really has served honorably.
[03:27:11.636 --> 03:27:14.057]  But I will say, Gina Haspel is a scumbag.
[03:27:14.517 --> 03:27:16.338]  So I don't know what to do with that.
[03:27:17.599 --> 03:27:18.179]  What are your thoughts?
[03:27:20.103 --> 03:27:22.106]  Trump is surrounded by scumbags right now.
[03:27:37.504 --> 03:28:01.246]  Somebody one of the crew members said earlier, you know, if only John McCain were alive to see this, you know He'd be so happy looking up from where he where he rests, you know Celebrating the fact that we finally have brought about his his long Desired worn around so I look at the people I don't like I see what they want and then I don't want that Typically the way I I make decisions.
[03:28:01.266 --> 03:28:01.967]  What do you think Greg?
[03:28:01.987 --> 03:28:02.007]  I
[03:28:02.788 --> 03:28:04.168]  I mean, I agree about John Bolton.
[03:28:04.208 --> 03:28:05.649]  John Bolton's a scumbag.
[03:28:05.749 --> 03:28:08.449]  John Bolton was a big part of Iran as well.
[03:28:08.529 --> 03:28:10.450]  He was a big supporter of the MKO.
[03:28:11.970 --> 03:28:18.371]  He was all ready to put the MKO in place of the Islamic Republic in this manufactured war that he so desperately wants.
[03:28:19.211 --> 03:28:20.072]  I like Pompeo.
[03:28:20.292 --> 03:28:23.252]  I mean, I don't know who any of these people are.
[03:28:23.272 --> 03:28:25.993]  I just go by my gut.
[03:28:26.253 --> 03:28:27.453]  I like what he says.
[03:28:27.593 --> 03:28:29.393]  Like you said, I like his record.
[03:28:29.973 --> 03:28:31.574]  The way I look at what's happening right now is
[03:28:33.095 --> 03:28:52.300]  If what has happened, if there is a massive movement that's happening behind the scenes to purge the deep state, to drain the swamp, which I believe there is, I believe this is much bigger than just President Donald Trump, if that is the case, then there are going to be a lot of people that were swamp players that
[03:28:53.200 --> 03:28:55.182]  That can afford to make penance.
[03:28:55.242 --> 03:28:56.503]  Not all can afford to make penance.
[03:28:56.543 --> 03:29:00.407]  Some have committed sins so great that they're just going to have to go down with the ship.
[03:29:01.068 --> 03:29:10.917]  But there's definitely going to be those that, you know, their crimes are minimal enough to where they can help out and serve the purge and make penance.
[03:29:10.997 --> 03:29:13.580]  And who knows, Pompeo may be one of those swamp rats.
[03:29:13.860 --> 03:29:18.522]  You know, Richard brought up, before he asked about the swamp rats, he brought up the economic situation.
[03:29:18.602 --> 03:29:21.783]  So these are some interesting notes from earlier in the year.
[03:29:21.803 --> 03:29:25.065]  Of course, Iran found an oil field with over 50 billion barrels.
[03:29:25.125 --> 03:29:29.547]  That was unveiled in November, which in and of itself I don't think is enough to
[03:29:30.796 --> 03:29:33.037]  You know, say, oh, we're going to war for oil.
[03:29:33.177 --> 03:29:41.880]  That was a lie from from the beginning, but is an interesting note to take in conjunction with what was unveiled, I believe, in September.
[03:29:41.940 --> 03:29:42.120]  Yeah.
[03:29:42.140 --> 03:29:56.325]  September 19th of 2019, which was that China made a giant 400 billion dollar investment deal with Iran, of which 280 billion is going towards developing Iran's oil, gas and petrochemical sector.
[03:29:56.365 --> 03:29:58.246]  So what we're seeing is China
[03:29:59.446 --> 03:30:09.129]  Really sewing themselves together with Iran, really becoming enmeshed in the Iranian financial situation.
[03:30:09.229 --> 03:30:16.171]  So definitely certain things to pay attention to because this isn't as much as, oh, he hit me so I'm going to hit him.
[03:30:16.211 --> 03:30:22.833]  There are so many insane things going on in the background that are determining things, that are influencing the way things are going to go.
[03:30:23.573 --> 03:30:26.454]  It has to be looked at holistically or all-encompassingly.
[03:30:28.394 --> 03:30:32.676]  John Bolton is gleefully giggling somewhere.
[03:30:32.696 --> 03:30:34.936]  All right, let's go back out to the calls.
[03:30:35.116 --> 03:30:37.377]  Jacob in California, thanks for holding.
[03:30:38.037 --> 03:30:39.438]  You are on the air, Jacob.
[03:30:40.758 --> 03:30:41.899]  Hey, what's going on, guys?
[03:30:42.839 --> 03:30:47.621]  You know, I just want to talk about, you know, the Iran and all that.
[03:30:48.541 --> 03:30:55.763]  I mean, to be honest with you, in my opinion, I feel like we should just screw these these towel heads and feed them to the ghosts that they rape.
[03:30:55.943 --> 03:30:57.624]  You know, Americans who say,
[03:30:58.075 --> 03:31:00.617]  How dare we oppress a group of brown people who should be deported?
[03:31:01.217 --> 03:31:11.044]  I can't believe that our country has become susceptible to this scrutiny, to this hatred of our president, that our own troops are worth less than a change of mind.
